word	Turkish-tr	emotion	emotion-intensity-score
good	iyi	anticipation	0.383
scientist	Bilim insanı	anticipation	0.383
undecided	kararsız	anticipation	0.383
humanitarian	insancıl	anticipation	0.383
depend	bağımlı	anticipation	0.383
dutiful	saygılı	anticipation	0.383
clock	saat	anticipation	0.375
sterling	som	anticipation	0.375
mountain	dağ	anticipation	0.375
savor	lezzet	anticipation	0.375
recurrent	tekrarlayan	anticipation	0.375
interim	geçici	anticipation	0.375
navigator	denizci	anticipation	0.375
gradual	kademeli	anticipation	0.375
interminable	bitmez tükenmez	anticipation	0.375
track	Izlemek	anticipation	0.375
public	halka açık	anticipation	0.375
cradle	beşik	anticipation	0.375
concealed	gizli	anticipation	0.367
lesson	ders	anticipation	0.367
instructions	Talimatlar	anticipation	0.367
shiver	titreme	anticipation	0.367
musical	müzikal	anticipation	0.367
towering	yüce	anticipation	0.367
whim	heves	anticipation	0.367
spear	mızrak	anticipation	0.367
convince	ikna etmek	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	uymak	anticipation	0.367
biennial	iki yıllık	anticipation	0.367
theology	ilahiyat	anticipation	0.359
offset	dengelemek	anticipation	0.359
atone	gönül almak	anticipation	0.359
timidity	ürkeklik	anticipation	0.359
theory	teori	anticipation	0.359
undying	ölümsüz	anticipation	0.359
plump	Tombul	anticipation	0.359
audience	seyirci	anticipation	0.357
nobility	soyluluk	anticipation	0.352
paragon	erdem örneği	anticipation	0.352
dietary	diyet	anticipation	0.352
closure	kapatma	anticipation	0.352
store	mağaza	anticipation	0.352
localize	yerelleştirmek	anticipation	0.352
cramp	kramp	anticipation	0.352
daily	günlük	anticipation	0.352
kindred	akraba	anticipation	0.352
farm	Çiftlik	anticipation	0.352
edition	baskı	anticipation	0.352
consecration	kutsama	anticipation	0.352
archaeology	arkeoloji	anticipation	0.344
mobile	seyyar	anticipation	0.344
errand	ayak işleri	anticipation	0.344
wireless	kablosuz	anticipation	0.344
mutable	değişken	anticipation	0.344
meditate	düşünmek	anticipation	0.344
stripped	sıyrılmıştır	anticipation	0.344
lessen	azaltmak	anticipation	0.336
unaccountable	sorumsuz	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	kardeşçe	anticipation	0.336
buddy	arkadaş	anticipation	0.336
unbeaten	dövülmemiş	anticipation	0.336
germ	mikrop	anticipation	0.336
dove	güvercin	anticipation	0.328
digress	sapmak	anticipation	0.328
ribbon	kurdele	anticipation	0.328
olfactory	koklama	anticipation	0.328
patient	hasta	anticipation	0.328
council	konsey	anticipation	0.328
possess	sahip olmak	anticipation	0.328
secular	laik	anticipation	0.328
chastity	iffet	anticipation	0.328
disposed	tanzim	anticipation	0.320
regularity	düzenlilik	anticipation	0.320
mediator	arabulucu	anticipation	0.320
scrutinize	dikkatle incelemek	anticipation	0.320
fancy	fantezi	anticipation	0.320
immature	olgunlaşmamış	anticipation	0.320
infanticide	bebek öldürme	anticipation	0.320
heft	itmek	anticipation	0.320
preservative	koruyucu	anticipation	0.320
paddle	kısa kürek	anticipation	0.320
cove	koy	anticipation	0.320
denying	inkar	anticipation	0.312
bugle	boru	anticipation	0.312
unpublished	yayınlanmamış	anticipation	0.312
analyst	analist	anticipation	0.312
grim	gaddar	anticipation	0.312
church	kilise	anticipation	0.312
priesthood	rahiplik	anticipation	0.305
mill	değirmen	anticipation	0.305
judicial	adli	anticipation	0.305
broadside	borda	anticipation	0.305
tributary	ırmağa karışan	anticipation	0.297
cap	kapak	anticipation	0.297
thermocouple	ısıl çift	anticipation	0.297
dismay	dehşet	anticipation	0.297
instructor	eğitmen	anticipation	0.297
saliva	tükürük	anticipation	0.297
exhaustion	tükenme	anticipation	0.297
bruise	çürük	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	evsiz	anticipation	0.289
visor	güneşlik	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	ağ	anticipation	0.289
shackle	kelepçe	anticipation	0.289
addresses	adresler	anticipation	0.289
noncompliance	uymama	anticipation	0.289
cataract	katarakt	anticipation	0.289
skewed	eğri	anticipation	0.281
astronomer	astronom	anticipation	0.281
neighbor	komşu	anticipation	0.281
holiness	kutsallık	anticipation	0.273
devil	şeytan	anticipation	0.273
cream	krem	anticipation	0.273
picket	kazık	anticipation	0.273
latent	gizli	anticipation	0.273
immaturity	hamlık	anticipation	0.273
sentence	cümle	anticipation	0.273
neighborhood	Komşuluk	anticipation	0.266
morals	töre	anticipation	0.266
lull	sükunet	anticipation	0.266
habitual	alışılmış	anticipation	0.266
weight	ağırlık	anticipation	0.258
bye	Hoşçakal	anticipation	0.258
forearm	kolun ön kısmı	anticipation	0.250
clown	palyaço	anticipation	0.250
organ	organ	anticipation	0.250
quote	alıntı	anticipation	0.242
commonplace	sıradan	anticipation	0.242
dictatorship	diktatörlük	anticipation	0.234
board	yazı tahtası	anticipation	0.234
white	beyaz	anticipation	0.234
treadmill	ayak değirmeni	anticipation	0.234
rail	Demiryolu	anticipation	0.234
sundial	güneş saati	anticipation	0.227
tree	ağaç	anticipation	0.227
paralysis	felç	anticipation	0.211
worm	solucan	anticipation	0.203
organization	organizasyon	anticipation	0.203
cement	çimento	anticipation	0.203
lagging	gecikmeli	anticipation	0.180
neutral	nötr	anticipation	0.148
cannibalism	yamyamlık	disgust	0.953
mutilation	sakatlama	disgust	0.930
molestation	sarkıntılık	disgust	0.914
incest	ensest	disgust	0.914
gonorrhea	belsoğukluğu	disgust	0.906
rape	kolza	disgust	0.906
cannibal	yamyam	disgust	0.898
rot	çürüme	disgust	0.891
corpse	ceset	disgust	0.883
massacre	katliam	disgust	0.883
excrement	dışkı	disgust	0.883
slaughter	katliam	disgust	0.875
barf	NO TRANSLATION	disgust	0.875
slaughterhouse	kesimhane	disgust	0.867
rancid	acımış	disgust	0.859
sewerage	kanalizasyon	disgust	0.859
incestuous	ensest yapan	disgust	0.859
filth	pislik	disgust	0.859
bigot	yobaz	disgust	0.859
infestation	istila	disgust	0.852
plague	veba	disgust	0.852
bloodthirsty	kana susamış	disgust	0.852
holocaust	soykırım	disgust	0.852
rotting	çürüyen	disgust	0.844
maggot	kurtçuk	disgust	0.844
feces	dışkı	disgust	0.844
fecal	dışkıya ait	disgust	0.844
murder	cinayet	disgust	0.839
infanticide	bebek öldürme	disgust	0.836
homicide	cinayet	disgust	0.836
asshole	Pislik	disgust	0.836
enslaved	köle	disgust	0.836
gore	peş	disgust	0.828
perverted	sapık	disgust	0.828
torture	işkence	disgust	0.828
slaughtering	kesim	disgust	0.828
excretion	boşaltım	disgust	0.828
contaminate	kirletmek	disgust	0.821
murderer	katil	disgust	0.820
gory	kanlı	disgust	0.820
repugnant	iğrenç	disgust	0.820
desecration	hürmetsizlik	disgust	0.820
grotesque	grotesk	disgust	0.820
revolting	iğrenç	disgust	0.820
diarrhoea	ishal	disgust	0.820
manure	gübre	disgust	0.820
terrorist	terörist	disgust	0.820
shit	bok	disgust	0.820
pervert	sapık	disgust	0.820
slavery	kölelik	disgust	0.812
faeces	dışkı	disgust	0.812
sewer	lağım	disgust	0.812
vomit	kusmak	disgust	0.812
manslaughter	adam öldürme	disgust	0.812
dismemberment	parçalama	disgust	0.812
cadaver	kadavra	disgust	0.812
hemorrhage	kanama	disgust	0.805
repulsive	itici	disgust	0.805
perverse	sapık	disgust	0.805
filthy	pis	disgust	0.797
sewage	kanalizasyon	disgust	0.797
depravity	ahlaksızlık	disgust	0.797
diseased	hastalıklı	disgust	0.797
carcass	leş	disgust	0.795
decompose	ayrıştırmak	disgust	0.789
vermin	haşarat	disgust	0.789
puke	kusmak	disgust	0.789
parasite	parazit	disgust	0.789
horrific	korkunç	disgust	0.789
gruesome	korkunç	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	sakat	disgust	0.789
murderous	ölüm saçan	disgust	0.789
decayed	çürümüş	disgust	0.789
herpes	uçuk	disgust	0.789
slime	balçık	disgust	0.781
flatulence	tantana	disgust	0.781
monstrosity	canavarlık	disgust	0.781
carnage	katliam	disgust	0.781
pestilence	veba	disgust	0.781
malaria	sıtma	disgust	0.781
crap	bok	disgust	0.781
toxic	toksik	disgust	0.773
loathsome	tiksindirici	disgust	0.773
insidious	sinsi	disgust	0.773
leprosy	cüzam	disgust	0.773
morgue	morg	disgust	0.773
pus	irin	disgust	0.773
herpesvirus	Herpes virüsü	disgust	0.773
whore	fahişe	disgust	0.766
cruel	acımasız	disgust	0.766
repugnance	iğrenme	disgust	0.766
revulsion	uzaklaştırılma	disgust	0.766
xenophobia	yabancı düşmanlığı	disgust	0.766
regurgitation	kusma	disgust	0.766
anthrax	şarbon	disgust	0.766
lynch	linç	disgust	0.766
dissection	teşrih	disgust	0.759
canker	pamukçuk	disgust	0.758
cruelty	acımasızlık	disgust	0.758
perversion	sapıklık	disgust	0.758
evil	kötülük	disgust	0.758
slum	gecekondu	disgust	0.758
infectious	bulaşıcı	disgust	0.758
mucous	mukoz	disgust	0.758
phlegm	balgam	disgust	0.758
leeches	sülükler	disgust	0.750
decomposition	ayrışma	disgust	0.750
sinister	uğursuz	disgust	0.750
corrupting	ayartıcı	disgust	0.750
demon	iblis	disgust	0.742
stinking	pis kokulu	disgust	0.742
septic	septik	disgust	0.742
deranged	dengesiz	disgust	0.742
bile	safra	disgust	0.742
soiled	kirli	disgust	0.742
mucus	sümük	disgust	0.742
abhorrence	nefret	disgust	0.742
abomination	nefret	disgust	0.742
sickening	mide bulandırıcı	disgust	0.742
demonic	şeytani	disgust	0.742
foul	faul	disgust	0.734
obese	aşırı şişman	disgust	0.734
sicken	bezdirmek	disgust	0.734
degeneracy	yozlaşma	disgust	0.734
crucifixion	çarmıha germe	disgust	0.734
despicable	adi	disgust	0.734
cancer	kanser	disgust	0.734
atrocity	gaddarlık	disgust	0.734
terrorism	terörizm	disgust	0.734
dirty	kirli	disgust	0.727
dysentery	dizanteri	disgust	0.727
adultery	zina	disgust	0.727
contamination	bulaşma	disgust	0.727
bacterium	bakteri	disgust	0.727
diabolical	şeytani	disgust	0.727
morbidity	morbidite	disgust	0.727
grisly	tüyler ürpertici	disgust	0.727
repulsion	itme	disgust	0.727
enema	lavman	disgust	0.727
contagion	bulaşma	disgust	0.719
disfigured	biçimsiz	disgust	0.719
muck	gübre	disgust	0.719
lewd	iffetsiz	disgust	0.719
garbage	çöp	disgust	0.719
autopsy	otopsi	disgust	0.719
bowels	bağırsak	disgust	0.719
gross	brüt	disgust	0.719
vulgar	kaba	disgust	0.719
barbaric	barbar	disgust	0.719
disgust	iğrenme	disgust	0.719
vicious	ahlaksız	disgust	0.719
entrails	bağırsaklar	disgust	0.719
deterioration	bozulma	disgust	0.719
pungent	keskin	disgust	0.719
bloodshed	kan dökme	disgust	0.714
violent	şiddetli	disgust	0.711
tyrant	tiran	disgust	0.711
poisoned	zehirlenmiş	disgust	0.711
pollute	kirletmek	disgust	0.711
wretched	berbat	disgust	0.711
nausea	mide bulantısı	disgust	0.711
mortification	kangren	disgust	0.711
gag	tıkaç	disgust	0.711
vulgarity	kabalık	disgust	0.703
disgusting	iğrenç	disgust	0.703
grope	okşamak	disgust	0.703
slut	sürtük	disgust	0.703
poisoning	zehirleme	disgust	0.703
depraved	ahlaksız	disgust	0.703
noxious	zararlı	disgust	0.703
porn	porno	disgust	0.703
nasty	pis	disgust	0.703
slimy	sümüklü	disgust	0.703
despotism	despotluk	disgust	0.703
nauseate	iğrenmek	disgust	0.703
secretion	salgı	disgust	0.703
constipation	kabızlık	disgust	0.703
hateful	nefret dolu	disgust	0.703
grime	kir	disgust	0.703
measles	kızamık	disgust	0.696
contagious	bulaşıcı	disgust	0.695
hellish	cehennemi	disgust	0.695
waste	atık	disgust	0.695
suicidal	intihar niteliğinde	disgust	0.695
abuse	taciz	disgust	0.695
hate	nefret	disgust	0.695
wretch	sefil	disgust	0.695
intestinal	bağırsak	disgust	0.695
wart	siğil	disgust	0.695
obesity	şişmanlık	disgust	0.695
scum	pislik	disgust	0.695
contaminated	kirlenmiş	disgust	0.688
disease	hastalık	disgust	0.688
rabid	kuduz	disgust	0.688
ooze	sızmak	disgust	0.688
treason	vatan hainliği	disgust	0.688
heartworm	heartworm	disgust	0.688
smut	sürme hastalığı	disgust	0.688
cholera	kolera	disgust	0.680
deformed	deforme olmuş	disgust	0.680
detest	nefret etmek	disgust	0.680
bestial	hayvani	disgust	0.680
sickness	hastalık	disgust	0.680
antichrist	Deccal	disgust	0.680
abhorrent	iğrenç	disgust	0.680
soulless	ruhsuz	disgust	0.680
freakish	garip	disgust	0.680
grimy	kirli	disgust	0.680
hatred	kin	disgust	0.680
pollution	kirlilik	disgust	0.680
germ	mikrop	disgust	0.680
abominate	tiksinmek	disgust	0.680
hell	cehennem	disgust	0.680
dilapidated	harap	disgust	0.672
dictatorship	diktatörlük	disgust	0.672
inhuman	insanlık dışı	disgust	0.672
greasy	yağlı	disgust	0.672
hideous	iğrenç	disgust	0.672
loathful	loathful	disgust	0.672
obscene	müstehcen	disgust	0.672
loathing	iğrenme	disgust	0.672
cess	cess	disgust	0.670
devil	şeytan	disgust	0.664
heretic	kâfir	disgust	0.664
nauseous	mide bulandırıcı	disgust	0.664
abominable	iğrenç	disgust	0.664
deformity	bozukluk	disgust	0.664
deadly	ölümcül	disgust	0.664
swine	domuz	disgust	0.664
discrimination	ayırt etme	disgust	0.664
masochism	mazoşizm	disgust	0.664
poisonous	zehirli	disgust	0.656
prejudiced	önyargılı	disgust	0.656
bacteria	bakteriler	disgust	0.656
death	ölüm	disgust	0.656
poison	zehir	disgust	0.656
trash	çöp	disgust	0.656
abortion	kürtaj	disgust	0.656
corruption	bozulma	disgust	0.656
victimized	mağdur	disgust	0.656
oppression	Baskı	disgust	0.656
goo	yapışkan madde	disgust	0.656
latrines	tuvaletler	disgust	0.656
horror	korku	disgust	0.656
horrible	korkunç	disgust	0.656
nefarious	çirkin	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	kindar	disgust	0.648
outhouse	ek bina	disgust	0.648
horrid	korkunç	disgust	0.648
detestation	iğrenme	disgust	0.648
sludge	sulu çamur	disgust	0.648
ugly	çirkin	disgust	0.648
trashy	değersiz	disgust	0.648
bitch	orospu	disgust	0.648
immoral	ahlaksız	disgust	0.648
malfeasance	kötülük	disgust	0.641
spew	kusmak	disgust	0.641
pimple	sivilce	disgust	0.641
indecency	ahlaksızlık	disgust	0.641
unsightly	çirkin	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	iğrenç	disgust	0.641
cystic	kistik	disgust	0.641
horrifying	korkunç	disgust	0.641
derogatory	küçültücü	disgust	0.641
laxative	müshil	disgust	0.641
criminality	suç	disgust	0.641
oppressive	baskıcı	disgust	0.633
sinful	günahkâr	disgust	0.633
bigoted	bağnaz	disgust	0.633
doomsday	kiyamet gunu	disgust	0.633
prostitution	fuhuş	disgust	0.633
ulcer	ülser	disgust	0.633
secrete	salgılamak	disgust	0.633
perpetrator	fail	disgust	0.633
rat	sıçan	disgust	0.633
queasy	kusacak gibi	disgust	0.633
mildew	küf	disgust	0.633
dastardly	alçak	disgust	0.625
disgraceful	ayıp	disgust	0.625
ghastly	korkunç	disgust	0.625
persecution	zulüm	disgust	0.625
devilish	şeytani	disgust	0.625
degrading	küçültücü	disgust	0.625
obscenity	müstehcenlik	disgust	0.625
fungus	mantar	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	oburluk	disgust	0.625
stools	tabureler	disgust	0.625
suffering	çile	disgust	0.625
contemptible	aşağılık	disgust	0.625
cuckold	boynuzlamak	disgust	0.625
bloated	şişmiş	disgust	0.625
aghast	donakalmış	disgust	0.625
betrayal	ihanet	disgust	0.617
guillotine	giyotin	disgust	0.617
infect	bulaştırmak	disgust	0.617
spoil	yağma	disgust	0.617
tetanus	tetanos	disgust	0.617
fat	şişman	disgust	0.617
louse	bit	disgust	0.617
malicious	kötü niyetli	disgust	0.617
polygamy	çok eşlilik	disgust	0.617
crusty	huysuz	disgust	0.617
atrocious	gaddarca	disgust	0.617
deceit	aldatma	disgust	0.617
termite	termit	disgust	0.617
loathe	tiksinmek	disgust	0.617
wench	haspa	disgust	0.617
dying	ölen	disgust	0.617
sickly	hastalıklı	disgust	0.617
diaper	bebek bezi	disgust	0.617
strangle	boğmak	disgust	0.617
drool	saçmalamak	disgust	0.609
slander	iftira	disgust	0.609
abhor	iğrenmek	disgust	0.609
venomous	zehirli	disgust	0.609
brothel	genelev	disgust	0.609
ghetto	geto	disgust	0.609
violently	şiddetle	disgust	0.609
hostile	düşmanca	disgust	0.609
sabotage	sabotaj	disgust	0.609
deform	çirkinleştirmek	disgust	0.609
bleeding	kanama	disgust	0.609
unwashed	yıkanmamış	disgust	0.602
lunacy	çılgınlık	disgust	0.602
imprisonment	hapis cezası	disgust	0.602
infidel	kâfir	disgust	0.602
deprivation	yoksunluk	disgust	0.602
traitor	hain	disgust	0.602
ugliness	çirkinlik	disgust	0.602
musty	küflü	disgust	0.602
illicit	yasadışı	disgust	0.602
swampy	bataklık	disgust	0.602
poaching	kaçak avcılık	disgust	0.602
hag	kocakarı	disgust	0.602
butcher	Kasap	disgust	0.594
lunatic	çılgın	disgust	0.594
venom	zehir	disgust	0.594
repelling	itici	disgust	0.594
thug	haydut	disgust	0.594
misery	sefalet	disgust	0.594
toilet	tuvalet	disgust	0.594
slug	sümüklüböcek	disgust	0.594
catastrophe	afet	disgust	0.594
epidemic	salgın	disgust	0.594
gut	bağırsak	disgust	0.594
intoxicated	sarhoş	disgust	0.594
blister	kabarcık	disgust	0.594
deceitful	hilekâr	disgust	0.594
hostility	düşmanlık	disgust	0.594
queasiness	mide bulantısı	disgust	0.594
lurid	korkunç	disgust	0.594
sinner	günahkâr	disgust	0.594
incubus	kâbus	disgust	0.586
lavatory	tuvalet	disgust	0.586
harass	bezdirmek	disgust	0.586
unclean	kirli	disgust	0.586
prostitute	fahişe	disgust	0.586
pornography	pornografi	disgust	0.586
dreadful	korkunç	disgust	0.586
deteriorated	kötüleşti	disgust	0.586
appalling	korkunç	disgust	0.586
unfaithful	vefasız	disgust	0.578
rash	isilik	disgust	0.578
humiliating	aşağılayıcı	disgust	0.578
ruinous	yıkıcı	disgust	0.578
squeamish	alıngan	disgust	0.578
offensive	saldırgan	disgust	0.578
conspirator	komplocu	disgust	0.578
larceny	hırsızlık	disgust	0.578
debauchery	sefahat	disgust	0.578
mangle	NO TRANSLATION	disgust	0.578
flea	Pire	disgust	0.578
hypocrite	iki yüzlü	disgust	0.578
retard	geciktirmek	disgust	0.578
fiend	şeytan	disgust	0.578
sick	hasta	disgust	0.578
quagmire	bataklık	disgust	0.578
expulsion	kovma	disgust	0.578
treacherous	hain	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	tükürmek	disgust	0.570
devastating	yıkıcı	disgust	0.570
bastard	Piç	disgust	0.570
messy	dağınık	disgust	0.570
flog	kamçılamak	disgust	0.570
egregious	yaman	disgust	0.570
swamp	bataklık	disgust	0.570
oppress	ezmek	disgust	0.570
despise	küçümsemek	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	yılan	disgust	0.570
snake	yılan	disgust	0.562
terrible	korkunç	disgust	0.562
awful	korkunç	disgust	0.562
harmful	zararlı	disgust	0.562
insanity	delilik	disgust	0.562
indecent	uygunsuz	disgust	0.562
sordid	çıkarcı	disgust	0.562
loo	tuvalet	disgust	0.562
scoundrel	alçak	disgust	0.562
enemy	düşman	disgust	0.562
stealing	çalma	disgust	0.562
alcoholism	alkolizm	disgust	0.562
humiliation	aşağılama	disgust	0.562
ruthless	acımasız	disgust	0.562
sloppy	yarım yamalak	disgust	0.562
tyrannical	zalim	disgust	0.562
harlot	fahişe	disgust	0.562
sinning	günah	disgust	0.562
robbery	soygun	disgust	0.555
insufferable	çekilmez	disgust	0.555
arsenic	arsenik	disgust	0.555
bloody	kanlı	disgust	0.555
odious	iğrenç	disgust	0.555
ridicule	alay	disgust	0.555
atrophy	atrofi	disgust	0.555
beastly	hayvanca	disgust	0.555
collusion	hile	disgust	0.555
distaste	tiksinme	disgust	0.555
segregate	ayırmak	disgust	0.555
discriminating	seçici	disgust	0.555
coward	korkak	disgust	0.555
wickedness	kötülük	disgust	0.555
threatening	tehdit	disgust	0.555
unattractive	çirkin	disgust	0.555
slayer	katil	disgust	0.555
flabby	gevşek	disgust	0.555
varicella	suçiçeği	disgust	0.555
miserable	sefil	disgust	0.547
sty	arpacık	disgust	0.547
ogre	canavar	disgust	0.547
coercion	zorlama	disgust	0.547
thief	hırsız	disgust	0.547
slur	ağzında yuvarlamak	disgust	0.547
suffocating	boğucu	disgust	0.547
anathema	aforoz	disgust	0.547
purgatory	araf	disgust	0.547
malevolent	kötü niyetli	disgust	0.547
bitterly	acı	disgust	0.547
burglar	hırsız	disgust	0.547
attacking	saldırma	disgust	0.547
vesicular	kabarcıklı	disgust	0.547
condemnation	kınama	disgust	0.547
pillage	talan	disgust	0.547
deleterious	zararlı	disgust	0.547
thrash	kıvranmak	disgust	0.539
repellant	kovucu	disgust	0.539
repudiation	boşama	disgust	0.539
infidelity	aldatma	disgust	0.539
liar	yalancı	disgust	0.539
fatty	yağlı	disgust	0.539
gob	ağız	disgust	0.539
sneer	alay	disgust	0.539
drunken	sarhoş	disgust	0.539
disgrace	rezalet	disgust	0.539
shame	utanç	disgust	0.539
jealous	kıskanç	disgust	0.539
imprisoned	hapsedilmiş	disgust	0.539
pig	domuz	disgust	0.539
greedy	açgözlü	disgust	0.539
sloth	tembellik	disgust	0.539
lethal	öldürücü	disgust	0.536
burnt	yanmış	disgust	0.531
aberration	aberasyon	disgust	0.531
condescension	tenezzül	disgust	0.531
hydrocephalus	hidrosefali	disgust	0.531
hanging	asılı	disgust	0.531
destructive	yıkıcı	disgust	0.531
smuggler	kaçakçı	disgust	0.531
intolerant	hoşgörüsüz	disgust	0.531
travesty	hiciv	disgust	0.531
intrusive	davetsiz	disgust	0.531
ruined	harap	disgust	0.531
withered	solmuş	disgust	0.531
disintegrate	dağılmak	disgust	0.531
brawl	kavga	disgust	0.531
blemish	leke	disgust	0.531
neurotic	evhamlı	disgust	0.531
blasphemous	kâfir	disgust	0.531
lying	yalan söyleme	disgust	0.531
painful	acı verici	disgust	0.531
avarice	açgözlülük	disgust	0.523
disgraced	rezil	disgust	0.523
mistress	metres	disgust	0.523
disparaging	kötüleyici	disgust	0.523
rubbish	çöp	disgust	0.523
derogation	eksiltme	disgust	0.523
accusation	suçlama	disgust	0.523
intolerance	hoşgörüsüzlük	disgust	0.523
incarceration	hapsetme	disgust	0.523
blighted	rüzgarlara	disgust	0.523
sump	lağım çukuru	disgust	0.516
deplorable	içler acısı	disgust	0.516
daemon	şeytan	disgust	0.516
cringe	yaltaklanmak	disgust	0.516
degrade	indirgemek	disgust	0.516
gutter	oluk	disgust	0.516
rob	soymak	disgust	0.516
grim	gaddar	disgust	0.516
defraud	dolandırmak	disgust	0.516
tortious	haksız	disgust	0.516
eradication	yok etme	disgust	0.516
stink	pis koku	disgust	0.516
convict	hükümlü	disgust	0.516
dishonor	onursuzluk	disgust	0.516
vulture	akbaba	disgust	0.516
remains	kalıntılar	disgust	0.516
mite	mayt	disgust	0.516
betray	açığa vurmak	disgust	0.516
sham	sahte	disgust	0.509
endemic	yöresel	disgust	0.508
bombed	bombalanmış	disgust	0.508
distress	sıkıntı	disgust	0.508
pest	haşere	disgust	0.508
incurable	çaresiz	disgust	0.508
worthless	değersiz	disgust	0.508
rejection	ret	disgust	0.508
distasteful	antipatik	disgust	0.508
schizophrenia	şizofreni	disgust	0.508
belittle	küçümsemek	disgust	0.508
smelling	kokan	disgust	0.508
cheat	hile	disgust	0.508
blob	damla	disgust	0.508
prisoner	tutsak	disgust	0.508
idiocy	aptallık	disgust	0.508
delirium	sayıklama	disgust	0.508
disaster	afet	disgust	0.508
crude	ham	disgust	0.508
resentment	kin	disgust	0.508
dreadfully	korkunç	disgust	0.508
glut	tokluk	disgust	0.508
polemic	polemik	disgust	0.500
derision	alay	disgust	0.500
idolatry	putperestlik	disgust	0.500
taboo	tabu	disgust	0.500
screaming	bağıran	disgust	0.500
banish	kovmak	disgust	0.500
dirt	kir	disgust	0.500
goblin	cin	disgust	0.500
shackle	kelepçe	disgust	0.500
bribery	rüşvet	disgust	0.500
flagrant	göze batan	disgust	0.500
jealousy	kıskançlık	disgust	0.500
impurity	kirlilik	disgust	0.500
theft	Çalınması	disgust	0.500
bitterness	acılık	disgust	0.500
offense	suç	disgust	0.500
impeach	itham etmek	disgust	0.500
blight	yıkım	disgust	0.500
duress	zorlama	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	hırs	disgust	0.500
tirade	tirad	disgust	0.500
squirm	kıvırmak	disgust	0.492
robber	soyguncu	disgust	0.492
ill	hasta	disgust	0.492
unconscionable	ölçüsüz	disgust	0.492
recession	durgunluk	disgust	0.492
gorge	vadi	disgust	0.492
wreck	enkaz	disgust	0.492
malign	habis	disgust	0.492
boil	kaynama	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	salak	disgust	0.492
disreputable	itibarsız	disgust	0.492
wasteful	savurgan	disgust	0.484
affliction	ızdırap	disgust	0.484
stain	leke	disgust	0.484
contempt	aşağılama	disgust	0.484
nappy	bebek bezi	disgust	0.484
mutiny	isyan	disgust	0.484
occult	gizli	disgust	0.484
tramp	serseri	disgust	0.484
unbearable	dayanılmaz	disgust	0.484
offender	suçlu	disgust	0.484
servile	köle	disgust	0.484
contraband	kaçak	disgust	0.484
raging	şiddetli	disgust	0.484
snarl	söylenmek	disgust	0.484
mad	deli	disgust	0.484
subjugation	boyun eğdirme	disgust	0.484
possessed	deli	disgust	0.484
animosity	düşmanlık	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	karalama	disgust	0.484
disrespectful	saygısız	disgust	0.484
mess	dağınıklık	disgust	0.484
nepotism	akrabasını tutma	disgust	0.484
inexcusable	affedilmez	disgust	0.484
pathetic	acıklı	disgust	0.477
unpleasant	hoş olmayan	disgust	0.477
suppression	Bastırma	disgust	0.477
mockery	alay	disgust	0.477
palsy	felç	disgust	0.477
criminal	adli	disgust	0.477
illegality	illegallik	disgust	0.477
uncaring	umursamaz	disgust	0.477
antagonistic	muhalif	disgust	0.477
immorality	ahlaksızlık	disgust	0.477
dismal	kasvetli	disgust	0.477
angry	kızgın	disgust	0.469
repellent	itici	disgust	0.469
cough	öksürük	disgust	0.469
arrogant	kibirli	disgust	0.469
grating	ızgara	disgust	0.469
aggravation	kızdırma	disgust	0.469
livid	mosmor	disgust	0.469
banishment	sürgün	disgust	0.469
shoddy	kalitesiz	disgust	0.469
banshee	ölüm perisi	disgust	0.469
poverty	yoksulluk	disgust	0.469
wallow	yuvarlanmak	disgust	0.469
outrage	rezalet	disgust	0.469
mocking	alaycı	disgust	0.469
furious	öfkeli	disgust	0.469
perspiration	terleme	disgust	0.469
prick	dikmek	disgust	0.461
recklessness	pervasızlık	disgust	0.461
distorted	bozuk	disgust	0.461
fraudulent	hileli	disgust	0.461
spider	örümcek	disgust	0.461
quack	vak	disgust	0.461
perdition	cehennem azabı	disgust	0.461
muddy	çamurlu	disgust	0.461
spurious	sahte	disgust	0.461
insulting	aşağılayıcı	disgust	0.461
scar	yara izi	disgust	0.461
deceive	aldatmak	disgust	0.461
unjustifiable	yersiz	disgust	0.461
fool	aptal	disgust	0.461
deplore	beğenmemek	disgust	0.461
plunder	yağma	disgust	0.461
aphid	yaprak biti	disgust	0.453
bane	yıkım	disgust	0.453
indignation	öfke	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	bencil	disgust	0.453
disparage	kötülemek	disgust	0.453
cur	sokak köpeği	disgust	0.453
