word	Hmong-hmn	emotion	emotion-intensity-score
seek	nrhiav	anticipation	0.586
impatient	siab luv	anticipation	0.586
overdue	dhau sijhawm	anticipation	0.586
crave	ntshaw	anticipation	0.586
flirt	flirt	anticipation	0.586
enthusiast	tus cwj pwm	anticipation	0.586
presumption	presumption	anticipation	0.586
immerse	raus dej	anticipation	0.586
progression	kev vam meej	anticipation	0.586
experiment	xyaum ua tej yam	anticipation	0.580
inviting	caw	anticipation	0.578
precarious	precarious	anticipation	0.578
blessing	foom koob hmoov	anticipation	0.578
harvest	sau	anticipation	0.578
transcendence	hloov dua siab tshiab	anticipation	0.578
heavenly	saum ntuj ceeb tsheej	anticipation	0.578
attainable	attainable	anticipation	0.578
enjoy	txaus siab rau	anticipation	0.578
divination	divination	anticipation	0.578
excavation	excavation	anticipation	0.578
healing	zoo	anticipation	0.578
majestic	majestic	anticipation	0.578
clamor	clamour	anticipation	0.578
thirst	nqhis dej	anticipation	0.578
remedy	tshuaj	anticipation	0.578
prosper	huaj vam	anticipation	0.578
risk	muaj hmoo	anticipation	0.578
angling	angling	anticipation	0.578
completing	ua kom tiav	anticipation	0.578
thriving	thriving	anticipation	0.578
zest	zest	anticipation	0.570
tease	teebmeem	anticipation	0.570
matchmaker	matchmaker	anticipation	0.570
prospectively	prospectively	anticipation	0.570
restlessness	nyob tsis tswm	anticipation	0.570
sweetheart	sweetheart	anticipation	0.570
emancipation	emancipation	anticipation	0.570
ultimate	qhov kawg	anticipation	0.570
invite	caw	anticipation	0.570
gambler	twv txiaj	anticipation	0.570
dare	twv	anticipation	0.570
plan	npaj	anticipation	0.570
magnificence	magnificence	anticipation	0.570
warned	ceeb toom	anticipation	0.570
finally	thaum kawg	anticipation	0.570
intimate	sib ze	anticipation	0.570
omen	npauj npaim	anticipation	0.570
attempt	sim	anticipation	0.562
forewarned	forewarned	anticipation	0.562
fun	lom zem	anticipation	0.562
festival	kev lom zem	anticipation	0.562
trophy	trophy	anticipation	0.562
rejoice	zoo siab	anticipation	0.562
fanfare	kev sib tw	anticipation	0.562
predilection	predilection	anticipation	0.562
exalt	exalt	anticipation	0.562
parade	parade	anticipation	0.562
enchant	enchant	anticipation	0.562
independence	kev ywj pheej	anticipation	0.562
expose	nthuav tawm	anticipation	0.562
immortality	kev tsis txawj tuag	anticipation	0.562
expected	qhov kev xav tau	anticipation	0.562
mysterious	mysterious	anticipation	0.562
hypothesis	kev ntseeg siab	anticipation	0.562
accolade	ua tsaug	anticipation	0.562
lover	tus hlub	anticipation	0.562
quicken	sai	anticipation	0.562
champion	tus yeej	anticipation	0.562
lovely	ntxim hlub	anticipation	0.555
rejoicing	rejoicing	anticipation	0.555
grasping	grasping	anticipation	0.555
grow	loj tuaj	anticipation	0.555
curiosity	xav paub	anticipation	0.555
splendor	splendor	anticipation	0.555
salvation	txoj kev cawm seej	anticipation	0.555
happy	zoo siab	anticipation	0.555
oracle	oracle	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	nthuav tawm	anticipation	0.555
boisterous	khoob khoob	anticipation	0.555
liberty	kev ywj pheej	anticipation	0.555
heroism	heroism	anticipation	0.555
feeling	kev xav	anticipation	0.555
shopping	khw	anticipation	0.555
fate	hmoo	anticipation	0.555
uneasiness	uneasiness	anticipation	0.555
speculative	speculative	anticipation	0.555
changeable	hloov tau	anticipation	0.547
recreational	ua si	anticipation	0.547
pray	thov Vajtswv	anticipation	0.547
warn	ceeb toom	anticipation	0.547
suspicious	yam txawv	anticipation	0.547
convergence	convergence	anticipation	0.547
incite	incite	anticipation	0.547
agape	agape	anticipation	0.547
morrow	tag kis	anticipation	0.547
abundance	abundance	anticipation	0.547
delighted	zoo siab	anticipation	0.547
resultant	ua tau	anticipation	0.547
hungry	tshaib plab	anticipation	0.547
monetary	nyiaj txiag	anticipation	0.547
vote	pov npav	anticipation	0.547
glory	yeeb koob	anticipation	0.547
glimmer	glimmer	anticipation	0.547
apprehensive	txhawj xeeb	anticipation	0.547
sorcery	sorcery	anticipation	0.547
bountiful	bountiful	anticipation	0.547
leisure	leisure	anticipation	0.547
probability	qhov muaj tseeb	anticipation	0.547
auction	auction	anticipation	0.539
hunting	tua tsiaj	anticipation	0.539
contingent	contingent	anticipation	0.539
hankering	hankering	anticipation	0.539
sensual	sensual	anticipation	0.539
blessings	cov koob hmoov	anticipation	0.539
ballot	daim ntawv xaiv tsa	anticipation	0.539
grandchildren	xeeb ntxwv	anticipation	0.539
entertainment	lom ze	anticipation	0.539
vindication	vindication	anticipation	0.539
worrying	txhawj xeeb	anticipation	0.539
tempest	tempest	anticipation	0.539
inquiry	nug	anticipation	0.539
merge	ua ke	anticipation	0.539
exceed	tshaj	anticipation	0.539
bounty	noj	anticipation	0.539
glad	zoo siab	anticipation	0.536
magnificent	zoo kawg li	anticipation	0.531
feat	Zoo siab	anticipation	0.531
stealthy	stealthy	anticipation	0.531
cheer	siab	anticipation	0.531
spirits	ntsuj plig	anticipation	0.531
visitor	qhua	anticipation	0.531
appeal	rov hais dua	anticipation	0.531
forming	sib sau	anticipation	0.531
hurried	hurried	anticipation	0.531
responsive	teb	anticipation	0.531
virginity	virginity	anticipation	0.531
deliverance	kev xaav	anticipation	0.531
betrothed	betrothed	anticipation	0.531
overthrow	overthrow	anticipation	0.531
harbinger	ntxeev siab	anticipation	0.531
raving	rawm	anticipation	0.531
celestial	xilethi-aus	anticipation	0.531
dread	dread	anticipation	0.531
germination	germination	anticipation	0.523
preparatory	npaj	anticipation	0.523
pleasant	qab ntxiag	anticipation	0.523
watch	saib	anticipation	0.523
prophet	tus yaj saub	anticipation	0.523
prognostic	prognostic	anticipation	0.523
haste	tsuag tsuag	anticipation	0.523
planning	npaj	anticipation	0.523
importance	tseem ceeb	anticipation	0.523
radiance	radiance	anticipation	0.523
prevail	huas	anticipation	0.523
cheery	cheery	anticipation	0.523
competition	kev sib tw	anticipation	0.523
ultimately	thaum kawg	anticipation	0.523
revive	rov qab txhawj	anticipation	0.523
beaming	beaming	anticipation	0.523
wait	tos	anticipation	0.523
child	tus me nyuam	anticipation	0.523
notification	ceeb toom	anticipation	0.523
hunter	tus neeg yos hav zoov	anticipation	0.523
explosive	tawg	anticipation	0.523
endanger	tsim txom	anticipation	0.516
time	sij hawm	anticipation	0.516
recreation	kev lom zem	anticipation	0.516
renovation	kev kho dua	anticipation	0.516
precious	precious	anticipation	0.516
begun	pib	anticipation	0.516
loom	loom	anticipation	0.516
compensate	nplua ntxiv	anticipation	0.516
treat	kho	anticipation	0.516
uncontrollable	uncontrollable	anticipation	0.516
present	tam sim no	anticipation	0.516
salary	nyiaj hli	anticipation	0.516
celebrity	celebrity	anticipation	0.516
owing	tshuav nuj nqi	anticipation	0.516
chocolate	chocolate	anticipation	0.516
caution	ceeb toom	anticipation	0.516
fermentation	fermentation	anticipation	0.516
sensuality	sensuality	anticipation	0.516
wilderness	wilderness	anticipation	0.508
signify	taw qhia	anticipation	0.508
transitional	hloov sijhawm	anticipation	0.508
intermission	intermission	anticipation	0.508
contemplation	xav txog	anticipation	0.508
vigilance	vigilance	anticipation	0.508
commemoration	kev nco txog	anticipation	0.508
practise	xyaum	anticipation	0.508
cue	cue	anticipation	0.508
infant	me nyuam mos	anticipation	0.508
dreadful	dreadful	anticipation	0.508
perfection	perfection	anticipation	0.508
elevation	nce	anticipation	0.508
prerequisite	ua ntej	anticipation	0.508
cultivate	cultivate	anticipation	0.508
horizon	qab ntug	anticipation	0.508
develop	tsim	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	ua luam dej	anticipation	0.500
attendance	tuaj koom	anticipation	0.500
nascent	nascent	anticipation	0.500
favorable	zoo siab	anticipation	0.500
peril	peril	anticipation	0.500
income	nyiaj tau	anticipation	0.500
ardent	ardent	anticipation	0.500
commemorate	commemorate	anticipation	0.500
doomsday	doomsday	anticipation	0.500
reconciliation	kev sib haum xeeb	anticipation	0.500
utopian	utopian	anticipation	0.500
romantic	romantic	anticipation	0.500
unbridled	unbridled	anticipation	0.500
sunny	tshav ntuj	anticipation	0.500
uphill	uphill	anticipation	0.500
intuitively	intuitively	anticipation	0.500
depart	khiav tawm	anticipation	0.500
eventuality	sijhawm	anticipation	0.500
puppy	tus menyuam dev	anticipation	0.500
zeal	zeal	anticipation	0.500
sneaking	sneaking	anticipation	0.500
ready	npaj txhij	anticipation	0.500
advocacy	kev tawm suab	anticipation	0.500
airport	tshav dav hlau	anticipation	0.500
litigate	litigate	anticipation	0.500
blindfold	blindfold	anticipation	0.500
undisclosed	undisclosed	anticipation	0.500
young	cov tub ntxhais hluas	anticipation	0.500
horoscope	horoscope	anticipation	0.500
invocation	invocation	anticipation	0.500
calculation	muab xam	anticipation	0.500
hero	hero	anticipation	0.500
court	lub tsev hais plaub	anticipation	0.492
repay	them rov qab	anticipation	0.492
improvise	txhim kho	anticipation	0.492
parole	tso tawm	anticipation	0.492
worry	txhawj xeeb	anticipation	0.492
inauguration	kev tsa tes	anticipation	0.492
gaping	sib txawv	anticipation	0.492
youth	cov hluas	anticipation	0.492
bless	foom koob hmoov	anticipation	0.492
defense	tiv thaiv	anticipation	0.492
heyday	heyday	anticipation	0.492
consequent	consequent	anticipation	0.492
proceeding	kev pib	anticipation	0.492
eventual	thaum kawg	anticipation	0.492
perspective	kev xav	anticipation	0.492
restorative	rov qab kho	anticipation	0.492
undertaking	ua haujlwm	anticipation	0.492
highest	siab tshaj	anticipation	0.491
duel	duel	anticipation	0.484
unexplained	unexplained	anticipation	0.484
tremor	tremor	anticipation	0.484
sharpen	hov	anticipation	0.484
generosity	siab dawb siab zoo	anticipation	0.484
voluptuous	voluptuous	anticipation	0.484
shortly	tsocai	anticipation	0.484
vow	cog lus	anticipation	0.484
contagion	sib kis	anticipation	0.484
letter	daim ntawv	anticipation	0.484
happen	tshwm sim	anticipation	0.484
threaten	hem	anticipation	0.484
conjure	conjure	anticipation	0.484
sparkle	sparkle	anticipation	0.484
engulf	engulf	anticipation	0.484
god	Vaj tswv	anticipation	0.484
correspondence	sau ntawv	anticipation	0.484
auspicious	auspicious	anticipation	0.484
princely	princely	anticipation	0.484
adore	nco txog	anticipation	0.477
enroll	sau npe	anticipation	0.477
determinate	txiav txim siab	anticipation	0.477
predispose	predispose	anticipation	0.477
clue	clue	anticipation	0.477
onset	pib	anticipation	0.477
powerful	haib	anticipation	0.477
glorify	yeeb koob	anticipation	0.477
glow	ci	anticipation	0.477
arbitration	arbitration	anticipation	0.477
torture	tsim txom	anticipation	0.477
gravitate	gravitate	anticipation	0.477
cherish	hlub	anticipation	0.477
contemplate	xav txog	anticipation	0.477
submit	xa	anticipation	0.477
perilous	perilous	anticipation	0.477
unification	unification	anticipation	0.477
score	qhab nia	anticipation	0.477
medal	khoom plig	anticipation	0.477
glide	glide	anticipation	0.477
recipient	tus neeg tau txais kev pab	anticipation	0.477
accompaniment	accompaniment	anticipation	0.477
praiseworthy	praiseworthy	anticipation	0.473
providing	muab	anticipation	0.469
motion	tsab ntawv tsa suab	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	ceev faj	anticipation	0.469
cash	nyiaj ntsuab	anticipation	0.469
precursor	precursor	anticipation	0.469
opera	opera	anticipation	0.469
elite	cog neeg ntse	anticipation	0.469
pry	pry	anticipation	0.469
hire	ntiav	anticipation	0.469
sweets	khoom qab zib	anticipation	0.469
star	lub hnub qub	anticipation	0.469
unsurpassed	unsurpassed	anticipation	0.469
successful	kev vam meej	anticipation	0.469
unknown	tsis paub	anticipation	0.469
immediately	tam sim ntawd	anticipation	0.469
starry	starry	anticipation	0.469
production	ntau lawm	anticipation	0.469
football	football	anticipation	0.469
completion	tiav	anticipation	0.469
scare	ntshai	anticipation	0.469
invoke	thov	anticipation	0.469
shaky	thawv	anticipation	0.469
dawn	kaj ntug	anticipation	0.469
creeping	creeping	anticipation	0.469
cheerfulness	zoo siab	anticipation	0.461
soundness	soundness	anticipation	0.461
mail	xa ntawv	anticipation	0.461
draft	cua ntsawj ntshab	anticipation	0.461
preliminary	ua ntej	anticipation	0.461
friendly	tus phooj ywg	anticipation	0.461
commemorative	commemorative	anticipation	0.461
extricate	rho tawm	anticipation	0.461
alive	ciaj sia	anticipation	0.461
untold	untold	anticipation	0.461
overture	overture	anticipation	0.461
excel	excel	anticipation	0.461
plight	plight	anticipation	0.461
synchronize	synchronize	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	sanctuary	anticipation	0.461
brilliant	ci ntsa iab	anticipation	0.461
pay	them	anticipation	0.461
shining	ci ntsa iab	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	testament	anticipation	0.461
jeopardy	kov yeej	anticipation	0.461
perpetuity	perpetuity	anticipation	0.453
elegance	elegance	anticipation	0.453
career	kev ua haujlwm	anticipation	0.453
basketball	basketball	anticipation	0.453
intimately	intimately	anticipation	0.453
renovate	kho dua	anticipation	0.453
supremacy	supremacy	anticipation	0.453
infinity	infinity	anticipation	0.453
unexpected	npaj txhij txog	anticipation	0.453
flinch	flinch	anticipation	0.453
complement	txhawb ntxiv	anticipation	0.453
prologue	prologue	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	kev tiv thaiv	anticipation	0.453
improve	txhim kho	anticipation	0.453
sunset	hnub poob	anticipation	0.453
inaugural	inaugural	anticipation	0.453
rehabilitation	rov kho	anticipation	0.453
fitting	phim	anticipation	0.445
surround	puag ncig	anticipation	0.445
share	sib qhia	anticipation	0.445
epidemic	phaum mob	anticipation	0.445
sweet	qab zib	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	zais	anticipation	0.445
confidence	cog qoob loo	anticipation	0.445
perfect	zoo meej	anticipation	0.445
sun	hnub ci	anticipation	0.445
veracity	tseeb tseeb	anticipation	0.445
volunteer	yeem pab dawb	anticipation	0.445
conjecture	conjecture	anticipation	0.445
medical	kev kho mob	anticipation	0.438
prepared	npaj	anticipation	0.438
superstitious	superstitious	anticipation	0.438
reconstruction	kev txua dua	anticipation	0.438
tickle	tickle	anticipation	0.438
faith	txoj kev ntseeg	anticipation	0.438
passenger	neeg caij npav	anticipation	0.438
saint	neeg dawb huv	anticipation	0.438
respect	hwm	anticipation	0.438
rabid	rabid	anticipation	0.438
reconstruct	reconstruct	anticipation	0.438
recombination	recombination	anticipation	0.438
devout	devout	anticipation	0.438
goodness	zoo	anticipation	0.438
angel	Angel	anticipation	0.438
ferment	ferment	anticipation	0.438
plea	plea	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	Teeb meem	anticipation	0.438
conservation	kev txuag	anticipation	0.438
serenity	serenity	anticipation	0.430
tabulate	tabulate	anticipation	0.430
install	nruab	anticipation	0.430
labyrinth	labyrinth	anticipation	0.430
venerable	venerable	anticipation	0.430
perpetuate	perpetuate	anticipation	0.430
strategist	strategist	anticipation	0.430
unverified	unverified	anticipation	0.430
tribunal	kev sibtham	anticipation	0.430
charitable	charitable	anticipation	0.430
luscious	luscious	anticipation	0.430
spa	spa	anticipation	0.430
peace	peace	anticipation	0.430
clap	npuaj	anticipation	0.430
conspirator	conspirator	anticipation	0.422
forestall	Forestall	anticipation	0.422
patience	kev siab ntev	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	grin	anticipation	0.422
revere	Tshaj tawm	anticipation	0.422
worship	pe hawm	anticipation	0.422
vista	vista	anticipation	0.422
laughter	luag	anticipation	0.422
volatility	volatility	anticipation	0.422
adrift	adrift	anticipation	0.422
candid	ntshiab	anticipation	0.422
edification	kho dua	anticipation	0.422
unresolved	daws tsis tau	anticipation	0.422
peaceful	tiaj tus	anticipation	0.422
recognizable	recognizable	anticipation	0.422
calls	hu	anticipation	0.414
weigh	hnyav	anticipation	0.414
probation	kev ua txhaum	anticipation	0.414
proficiency	kev paub	anticipation	0.414
morn	morn	anticipation	0.414
craps	craps	anticipation	0.414
detainee	detainee	anticipation	0.414
mediate	sib kho	anticipation	0.414
continue	ntxiv mus	anticipation	0.414
astrologer	astrologer	anticipation	0.414
punctual	sijhawm	anticipation	0.414
ordination	kev txiav txim	anticipation	0.414
pretty	zoo nkauj	anticipation	0.414
thought	xav	anticipation	0.414
grant	nyiaj pab	anticipation	0.414
withstand	withstand	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	tsis tu ncua	anticipation	0.414
sing	hu nkauj	anticipation	0.411
long	ntev	anticipation	0.406
confession	lees txim	anticipation	0.406
headlight	taws teeb	anticipation	0.406
prophylactic	prophylactic	anticipation	0.406
mother	niam	anticipation	0.406
debenture	debenture	anticipation	0.406
wizard	wizard	anticipation	0.406
university	tsev kawm ntawv	anticipation	0.406
proud	txaus siab	anticipation	0.406
midwife	tus poj niam	anticipation	0.406
banquet	banquet	anticipation	0.406
continuation	txuas ntxiv	anticipation	0.406
navigable	navigable	anticipation	0.406
punished	raug txim	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	kev nplij siab	anticipation	0.406
opponent	tus nrog sib ntaus	anticipation	0.406
subscribe	sau npe yuav	anticipation	0.406
outdo	tawm sab nraud	anticipation	0.406
nurture	nurture	anticipation	0.406
twinkle	twinkle	anticipation	0.406
deal	deal	anticipation	0.402
efficient	npaum	anticipation	0.398
representing	sawv cev	anticipation	0.398
simmer	simmer	anticipation	0.398
symphony	Symphony	anticipation	0.398
judiciary	kev ncaj ncees	anticipation	0.398
obliging	yuam kev	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	vigil	anticipation	0.398
death	tuag	anticipation	0.398
distracting	kev cuam tshuam	anticipation	0.398
mortification	kev tuag	anticipation	0.398
balm	tshuaj	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	saum toj	anticipation	0.398
lettered	sau ntawv	anticipation	0.398
reliance	kev tso siab	anticipation	0.398
poke	qhov quav	anticipation	0.391
unfulfilled	unfulfilled	anticipation	0.391
assurance	kev ruaj siab	anticipation	0.391
condemnation	kev raug txim	anticipation	0.391
undoubted	undoubted	anticipation	0.391
diplomacy	diplomacy	anticipation	0.391
familiarity	paub zoo	anticipation	0.391
antidote	antidote	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	lub hom phiaj	anticipation	0.391
maternal	niam txiv	anticipation	0.391
abeyance	abeyance	anticipation	0.391
art	kos duab	anticipation	0.391
linger	linger	anticipation	0.391
trust	ntseeg	anticipation	0.391
depraved	poob siab	anticipation	0.391
sanctify	dawb huv	anticipation	0.391
inoculation	tuag	anticipation	0.384
chant	chant	anticipation	0.383
banger	banger	anticipation	0.383
playground	chaw ua si	anticipation	0.383
failing	poob	anticipation	0.383
ship	nkoj	anticipation	0.383
hymn	zaj nkauj	anticipation	0.383
simplify	simplify	anticipation	0.383
ram	ram	anticipation	0.383
labor	ua zog	anticipation	0.383
discretion	kev pom zoo	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	zoo	anticipation	0.383
scientist	tus paub txog	anticipation	0.383
undecided	tsis meej pem	anticipation	0.383
humanitarian	humanitarian	anticipation	0.383
depend	nyob ntawm seb	anticipation	0.383
dutiful	dutiful	anticipation	0.383
clock	moos	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	roob	anticipation	0.375
savor	savor	anticipation	0.375
recurrent	recurrent	anticipation	0.375
interim	nruab nrab	anticipation	0.375
navigator	tus neeg tsav tsheb	anticipation	0.375
gradual	maj mam	anticipation	0.375
interminable	interminable	anticipation	0.375
track	khiav	anticipation	0.375
public	pej xeem	anticipation	0.375
cradle	menyuam	anticipation	0.375
concealed	zais	anticipation	0.367
lesson	zaj lus qhia	anticipation	0.367
instructions	cov lus qhia	anticipation	0.367
shiver	shiver	anticipation	0.367
musical	suab paj nruas	anticipation	0.367
towering	towering	anticipation	0.367
whim	whim	anticipation	0.367
spear	hmuv	anticipation	0.367
convince	hais tau	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	ua raws nraim li	anticipation	0.367
biennial	biennial	anticipation	0.367
theology	Vajluskub	anticipation	0.359
offset	offset	anticipation	0.359
atone	atone	anticipation	0.359
timidity	kev ntseeg	anticipation	0.359
theory	txoj kev xav	anticipation	0.359
undying	undying	anticipation	0.359
plump	plump	anticipation	0.359
audience	mloog	anticipation	0.357
nobility	nobility	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	kev noj haus	anticipation	0.352
closure	kaw	anticipation	0.352
store	khw	anticipation	0.352
localize	localize	anticipation	0.352
cramp	mob tob hau	anticipation	0.352
daily	txhua hnub	anticipation	0.352
kindred	tsev neeg	anticipation	0.352
farm	ua liaj ua teb	anticipation	0.352
edition	ib tsab	anticipation	0.352
consecration	fij siab	anticipation	0.352
archaeology	archeology	anticipation	0.344
mobile	mobile	anticipation	0.344
errand	hauj lwm	anticipation	0.344
wireless	wireless	anticipation	0.344
mutable	mutable	anticipation	0.344
meditate	ua tib zoo xav	anticipation	0.344
stripped	stripped	anticipation	0.344
lessen	tsawg	anticipation	0.336
unaccountable	unaccountable	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	kwv tij	anticipation	0.336
buddy	phooj ywg	anticipation	0.336
unbeaten	unbeaten	anticipation	0.336
germ	kab mob	anticipation	0.336
dove	nquab	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	Ribbon	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	tus neeg mob	anticipation	0.328
council	pawg sab laj	anticipation	0.328
possess	muaj	anticipation	0.328
secular	secular	anticipation	0.328
chastity	kev coj dawb huv	anticipation	0.328
disposed	muab pov tseg	anticipation	0.320
regularity	qhov ua tau zoo	anticipation	0.320
mediator	tus neeg tuaj daws teeb meem	anticipation	0.320
scrutinize	scrutinize	anticipation	0.320
fancy	zoo nkauj	anticipation	0.320
immature	tsis paub qab hau	anticipation	0.320
infanticide	infanticide	anticipation	0.320
heft	heft	anticipation	0.320
preservative	preservative	anticipation	0.320
paddle	duav	anticipation	0.320
cove	cove	anticipation	0.320
denying	tsis kam	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	unpublished	anticipation	0.312
analyst	analyst	anticipation	0.312
grim	grim	anticipation	0.312
church	lub koom txoos	anticipation	0.312
priesthood	lub pov thawj hwj	anticipation	0.305
mill	zeb	anticipation	0.305
judicial	kev ncaj ncees	anticipation	0.305
broadside	sab nrauv	anticipation	0.305
tributary	suav daws teeb meem	anticipation	0.297
cap	cap	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	dismay	anticipation	0.297
instructor	tus kws qhia	anticipation	0.297
saliva	qaub ncaug	anticipation	0.297
exhaustion	exhaustion	anticipation	0.297
bruise	bruise	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	tsis muaj tsev nyob	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	network	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	chaw nyob	anticipation	0.289
noncompliance	tsis ua raws cai	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	astronomer	anticipation	0.281
neighbor	tus neeg zej zog	anticipation	0.281
holiness	kev dawb huv	anticipation	0.273
devil	dab ntxwg nyoog	anticipation	0.273
cream	cream	anticipation	0.273
picket	picket	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	tsis paub qab hau	anticipation	0.273
sentence	kab lus	anticipation	0.273
neighborhood	neeg zej zog	anticipation	0.266
morals	kev coj dawb huv	anticipation	0.266
lull	lull	anticipation	0.266
habitual	habitual	anticipation	0.266
weight	yuag	anticipation	0.258
bye	bye	anticipation	0.258
forearm	forearm	anticipation	0.250
clown	clown	anticipation	0.250
organ	hloov khoom nruab nrog	anticipation	0.250
quote	tsocai	anticipation	0.242
commonplace	commonplace	anticipation	0.242
dictatorship	dictatorship	anticipation	0.234
board	lub rooj tsavxwm	anticipation	0.234
white	dawb	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	kev tsheb nqaj hlau	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	tsob ntoo	anticipation	0.227
paralysis	tuag tes tuag taw	anticipation	0.211
worm	cab	anticipation	0.203
organization	koom haum	anticipation	0.203
cement	MAAs	anticipation	0.203
lagging	lagging	anticipation	0.180
neutral	nruab nrab	anticipation	0.148
cannibalism	cannibalism	disgust	0.953
mutilation	mutilation	disgust	0.930
molestation	molestation	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	rape	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	rot	disgust	0.891
corpse	tuag	disgust	0.883
massacre	kev tua neeg pov tseg	disgust	0.883
excrement	kev ua tiav	disgust	0.883
slaughter	slaughter	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	tsiaj tua tsiaj	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	sewerage	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	kev phem	disgust	0.859
bigot	bigot	disgust	0.859
infestation	hnoos	disgust	0.852
plague	kab mob plague	disgust	0.852
bloodthirsty	bloodthirsty	disgust	0.852
holocaust	holocaust	disgust	0.852
rotting	rotting	disgust	0.844
maggot	maggot	disgust	0.844
feces	quav	disgust	0.844
fecal	fecal	disgust	0.844
murder	tua neeg	disgust	0.839
infanticide	infanticide	disgust	0.836
homicide	tua neeg	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	enslaved	disgust	0.836
gore	gore	disgust	0.828
perverted	quab yuam	disgust	0.828
torture	tsim txom	disgust	0.828
slaughtering	slaughtering	disgust	0.828
excretion	tshaj tawm	disgust	0.828
contaminate	paug	disgust	0.821
murderer	tua neeg	disgust	0.820
gory	gory	disgust	0.820
repugnant	kev sib tw	disgust	0.820
desecration	desecration	disgust	0.820
grotesque	grotesque	disgust	0.820
revolting	kev tawm tsam	disgust	0.820
diarrhoea	raws plab	disgust	0.820
manure	manure	disgust	0.820
terrorist	neeg ua phem	disgust	0.820
shit	shit	disgust	0.820
pervert	pervert	disgust	0.820
slavery	qhev	disgust	0.812
faeces	Faeces	disgust	0.812
sewer	phwj	disgust	0.812
vomit	ntuav	disgust	0.812
manslaughter	manslaughter	disgust	0.812
dismemberment	sib nrauj	disgust	0.812
cadaver	cadaver	disgust	0.812
hemorrhage	hemorrhage	disgust	0.805
repulsive	ntxeev siab	disgust	0.805
perverse	perverse	disgust	0.805
filthy	vuab tsuab	disgust	0.797
sewage	dej phwj tuaj	disgust	0.797
depravity	kev phem	disgust	0.797
diseased	muaj mob	disgust	0.797
carcass	lub cev	disgust	0.795
decompose	decompose	disgust	0.789
vermin	kab ntsig	disgust	0.789
puke	puke	disgust	0.789
parasite	cab	disgust	0.789
horrific	horrific	disgust	0.789
gruesome	kev ntxhov siab	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilated	disgust	0.789
murderous	murderous	disgust	0.789
decayed	decayed	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	flatulence	disgust	0.781
monstrosity	kev tsim tsa	disgust	0.781
carnage	carnage	disgust	0.781
pestilence	kab mob paug	disgust	0.781
malaria	Malaria	disgust	0.781
crap	crap	disgust	0.781
toxic	lom	disgust	0.773
loathsome	loathsome	disgust	0.773
insidious	insidious	disgust	0.773
leprosy	leprosy	disgust	0.773
morgue	morgue	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	niam ntiav	disgust	0.766
cruel	lim hiam	disgust	0.766
repugnance	repugnance	disgust	0.766
revulsion	tshem tawm	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	kev poob siab	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	sib cav	disgust	0.759
canker	canker	disgust	0.758
cruelty	kev phem	disgust	0.758
perversion	perversion	disgust	0.758
