word	French-fr	emotion	emotion-intensity-score
filth	saleté	disgust	0.859
bigot	bigot	disgust	0.859
infestation	infestation	disgust	0.852
plague	peste	disgust	0.852
bloodthirsty	sanguinaire	disgust	0.852
holocaust	holocauste	disgust	0.852
rotting	pourrir	disgust	0.844
maggot	asticot	disgust	0.844
feces	excréments	disgust	0.844
fecal	fécale	disgust	0.844
murder	meurtre	disgust	0.839
infanticide	infanticide	disgust	0.836
homicide	homicide	disgust	0.836
asshole	Connard	disgust	0.836
enslaved	esclave	disgust	0.836
gore	sang	disgust	0.828
perverted	pervers	disgust	0.828
torture	torture	disgust	0.828
slaughtering	abattage	disgust	0.828
excretion	excrétion	disgust	0.828
contaminate	contaminer	disgust	0.821
murderer	meurtrier	disgust	0.820
gory	sanglant	disgust	0.820
repugnant	répugnant	disgust	0.820
desecration	profanation	disgust	0.820
grotesque	grotesque	disgust	0.820
revolting	révoltant	disgust	0.820
diarrhoea	la diarrhée	disgust	0.820
manure	fumier	disgust	0.820
terrorist	terroriste	disgust	0.820
shit	merde	disgust	0.820
pervert	pervertir	disgust	0.820
slavery	esclavage	disgust	0.812
faeces	fèces	disgust	0.812
sewer	égout	disgust	0.812
vomit	vomir	disgust	0.812
manslaughter	homicide involontaire	disgust	0.812
dismemberment	démembrement	disgust	0.812
cadaver	cadavre	disgust	0.812
hemorrhage	hémorragie	disgust	0.805
repulsive	repoussant	disgust	0.805
perverse	pervers	disgust	0.805
filthy	crasseux	disgust	0.797
sewage	eaux usées	disgust	0.797
depravity	dépravation	disgust	0.797
diseased	malade	disgust	0.797
carcass	carcasse	disgust	0.795
decompose	décomposer	disgust	0.789
vermin	vermine	disgust	0.789
puke	dégueuler	disgust	0.789
parasite	parasite	disgust	0.789
horrific	horrible	disgust	0.789
gruesome	horrible	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilé	disgust	0.789
murderous	meurtrier	disgust	0.789
decayed	pourri	disgust	0.789
herpes	herpès	disgust	0.789
slime	vase	disgust	0.781
flatulence	flatulence	disgust	0.781
monstrosity	monstruosité	disgust	0.781
carnage	carnage	disgust	0.781
pestilence	peste	disgust	0.781
malaria	paludisme	disgust	0.781
crap	merde	disgust	0.781
toxic	toxique	disgust	0.773
loathsome	détestable	disgust	0.773
insidious	insidieux	disgust	0.773
leprosy	lèpre	disgust	0.773
morgue	morgue	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpèsvirus	disgust	0.773
whore	putain	disgust	0.766
cruel	cruel	disgust	0.766
repugnance	répugnance	disgust	0.766
revulsion	dégoût	disgust	0.766
xenophobia	xénophobie	disgust	0.766
regurgitation	régurgitation	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lyncher	disgust	0.766
dissection	dissection	disgust	0.759
canker	chancre	disgust	0.758
cruelty	cruauté	disgust	0.758
perversion	perversion	disgust	0.758
evil	mal	disgust	0.758
slum	taudis	disgust	0.758
infectious	infectieux	disgust	0.758
mucous	muqueux	disgust	0.758
phlegm	flegme	disgust	0.758
leeches	sangsues	disgust	0.750
decomposition	décomposition	disgust	0.750
sinister	sinistre	disgust	0.750
corrupting	corrompant	disgust	0.750
demon	démon	disgust	0.742
stinking	puant	disgust	0.742
septic	septique	disgust	0.742
deranged	dérangé	disgust	0.742
bile	bile	disgust	0.742
soiled	souillé	disgust	0.742
mucus	mucus	disgust	0.742
abhorrence	horreur	disgust	0.742
abomination	abomination	disgust	0.742
sickening	écœurant	disgust	0.742
demonic	démoniaque	disgust	0.742
foul	faute	disgust	0.734
obese	obèse	disgust	0.734
sicken	rendre malade	disgust	0.734
degeneracy	dégénérescence	disgust	0.734
crucifixion	crucifixion	disgust	0.734
despicable	méprisable	disgust	0.734
cancer	cancer	disgust	0.734
atrocity	atrocité	disgust	0.734
terrorism	terrorisme	disgust	0.734
dirty	sale	disgust	0.727
dysentery	dysenterie	disgust	0.727
adultery	adultère	disgust	0.727
contamination	contamination	disgust	0.727
bacterium	bactérie	disgust	0.727
diabolical	diabolique	disgust	0.727
morbidity	morbidité	disgust	0.727
grisly	macabre	disgust	0.727
repulsion	répulsion	disgust	0.727
enema	lavement	disgust	0.727
contagion	contagion	disgust	0.719
disfigured	défiguré	disgust	0.719
muck	boue	disgust	0.719
lewd	obscène	disgust	0.719
garbage	des ordures	disgust	0.719
autopsy	autopsie	disgust	0.719
bowels	intestins	disgust	0.719
gross	brut	disgust	0.719
vulgar	vulgaire	disgust	0.719
barbaric	barbare	disgust	0.719
disgust	dégoûter	disgust	0.719
vicious	vicieux	disgust	0.719
entrails	entrailles	disgust	0.719
deterioration	détérioration	disgust	0.719
pungent	âcre	disgust	0.719
bloodshed	effusion de sang	disgust	0.714
violent	violent	disgust	0.711
tyrant	tyran	disgust	0.711
poisoned	empoisonné	disgust	0.711
pollute	polluer	disgust	0.711
wretched	misérable	disgust	0.711
nausea	la nausée	disgust	0.711
mortification	mortification	disgust	0.711
gag	gag	disgust	0.711
vulgarity	la vulgarité	disgust	0.703
disgusting	répugnant	disgust	0.703
grope	tâtonner	disgust	0.703
slut	salope	disgust	0.703
poisoning	empoisonnement	disgust	0.703
depraved	dépravé	disgust	0.703
noxious	nuisible	disgust	0.703
porn	porno	disgust	0.703
nasty	méchant	disgust	0.703
slimy	visqueux	disgust	0.703
despotism	despotisme	disgust	0.703
nauseate	écœurer	disgust	0.703
secretion	sécrétion	disgust	0.703
constipation	constipation	disgust	0.703
hateful	odieux	disgust	0.703
grime	crasse	disgust	0.703
measles	rougeole	disgust	0.696
contagious	contagieux	disgust	0.695
hellish	atroce	disgust	0.695
waste	déchets	disgust	0.695
suicidal	suicidaire	disgust	0.695
abuse	abuser de	disgust	0.695
hate	haine	disgust	0.695
wretch	misérable	disgust	0.695
intestinal	intestinal	disgust	0.695
wart	verrue	disgust	0.695
obesity	obésité	disgust	0.695
scum	écume	disgust	0.695
contaminated	contaminés	disgust	0.688
disease	maladie	disgust	0.688
rabid	enragé	disgust	0.688
ooze	suinter	disgust	0.688
treason	trahison	disgust	0.688
heartworm	heartworm	disgust	0.688
smut	cochonneries	disgust	0.688
cholera	choléra	disgust	0.680
deformed	déformé	disgust	0.680
detest	détester	disgust	0.680
bestial	bestial	disgust	0.680
sickness	maladie	disgust	0.680
antichrist	Antéchrist	disgust	0.680
abhorrent	odieux	disgust	0.680
soulless	inhumain	disgust	0.680
freakish	bizarre	disgust	0.680
grimy	crasseux	disgust	0.680
hatred	haine	disgust	0.680
pollution	la pollution	disgust	0.680
germ	germe	disgust	0.680
abominate	abominer	disgust	0.680
hell	enfer	disgust	0.680
dilapidated	délabré	disgust	0.672
dictatorship	dictature	disgust	0.672
inhuman	inhumain	disgust	0.672
greasy	graisseux	disgust	0.672
hideous	hideux	disgust	0.672
loathful	détestable	disgust	0.672
obscene	obscène	disgust	0.672
loathing	répugnance	disgust	0.672
cess	cess	disgust	0.670
devil	diable	disgust	0.664
heretic	hérétique	disgust	0.664
nauseous	nauséeux	disgust	0.664
abominable	abominable	disgust	0.664
deformity	déformation	disgust	0.664
deadly	mortel	disgust	0.664
swine	porc	disgust	0.664
discrimination	discrimination	disgust	0.664
masochism	masochisme	disgust	0.664
poisonous	toxique	disgust	0.656
prejudiced	partial	disgust	0.656
bacteria	des bactéries	disgust	0.656
death	décès	disgust	0.656
poison	poison	disgust	0.656
trash	poubelle	disgust	0.656
abortion	Avortement	disgust	0.656
corruption	la corruption	disgust	0.656
victimized	victimisé	disgust	0.656
oppression	oppression	disgust	0.656
goo	goo	disgust	0.656
latrines	latrines	disgust	0.656
horror	horreur	disgust	0.656
horrible	horrible	disgust	0.656
nefarious	infâme	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	vindicatif	disgust	0.648
outhouse	appentis	disgust	0.648
horrid	affreux	disgust	0.648
detestation	haine	disgust	0.648
sludge	boue	disgust	0.648
ugly	laid	disgust	0.648
trashy	trash	disgust	0.648
bitch	chienne	disgust	0.648
immoral	immoral	disgust	0.648
malfeasance	malversation	disgust	0.641
spew	vomir	disgust	0.641
pimple	bouton	disgust	0.641
indecency	indécence	disgust	0.641
unsightly	disgracieux	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	infâme	disgust	0.641
cystic	cystique	disgust	0.641
horrifying	effroyable	disgust	0.641
derogatory	dérogatoire	disgust	0.641
laxative	laxatif	disgust	0.641
criminality	criminalité	disgust	0.641
oppressive	oppressif	disgust	0.633
sinful	coupable	disgust	0.633
bigoted	fanatique	disgust	0.633
doomsday	jour du Jugement dernier	disgust	0.633
prostitution	la prostitution	disgust	0.633
ulcer	ulcère	disgust	0.633
secrete	sécréter	disgust	0.633
perpetrator	auteur	disgust	0.633
rat	rat	disgust	0.633
queasy	mal à l'aise	disgust	0.633
mildew	moisissure	disgust	0.633
dastardly	lâche	disgust	0.625
disgraceful	honteux	disgust	0.625
ghastly	horrible	disgust	0.625
persecution	persécution	disgust	0.625
devilish	diabolique	disgust	0.625
degrading	dégradant	disgust	0.625
obscenity	obscénité	disgust	0.625
fungus	champignon	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	gourmandise	disgust	0.625
stools	selles	disgust	0.625
suffering	Souffrance	disgust	0.625
contemptible	méprisable	disgust	0.625
cuckold	cocu	disgust	0.625
bloated	gonflé	disgust	0.625
aghast	atterré	disgust	0.625
betrayal	trahison	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	infecter	disgust	0.617
spoil	gâcher	disgust	0.617
tetanus	tétanos	disgust	0.617
fat	graisse	disgust	0.617
louse	pou	disgust	0.617
malicious	mal intentionné	disgust	0.617
polygamy	la polygamie	disgust	0.617
crusty	croustillant	disgust	0.617
atrocious	atroce	disgust	0.617
deceit	tromperie	disgust	0.617
termite	termite	disgust	0.617
loathe	détester	disgust	0.617
wench	jeune fille	disgust	0.617
dying	en train de mourir	disgust	0.617
sickly	maladif	disgust	0.617
diaper	couche	disgust	0.617
strangle	étrangler	disgust	0.617
drool	baver	disgust	0.609
slander	calomnie	disgust	0.609
abhor	abhorrer	disgust	0.609
venomous	venimeux	disgust	0.609
brothel	maison de prostitution	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	violemment	disgust	0.609
hostile	hostile	disgust	0.609
sabotage	sabotage	disgust	0.609
deform	déformer	disgust	0.609
bleeding	saignement	disgust	0.609
unwashed	non lavé	disgust	0.602
lunacy	folie	disgust	0.602
imprisonment	emprisonnement	disgust	0.602
infidel	infidèle	disgust	0.602
deprivation	privation	disgust	0.602
traitor	traitre	disgust	0.602
ugliness	la laideur	disgust	0.602
musty	de moisi	disgust	0.602
illicit	illicite	disgust	0.602
swampy	marécageux	disgust	0.602
poaching	braconnage	disgust	0.602
hag	vieille sorcière	disgust	0.602
butcher	Boucher	disgust	0.594
lunatic	fou	disgust	0.594
venom	venin	disgust	0.594
repelling	repousser	disgust	0.594
thug	voyou	disgust	0.594
misery	misère	disgust	0.594
toilet	toilette	disgust	0.594
slug	limace	disgust	0.594
catastrophe	catastrophe	disgust	0.594
epidemic	épidémie	disgust	0.594
gut	intestin	disgust	0.594
intoxicated	ivre	disgust	0.594
blister	cloque	disgust	0.594
deceitful	trompeur	disgust	0.594
hostility	hostilité	disgust	0.594
queasiness	malaise	disgust	0.594
lurid	sinistre	disgust	0.594
sinner	pécheur	disgust	0.594
incubus	incube	disgust	0.586
lavatory	toilettes	disgust	0.586
harass	harceler	disgust	0.586
unclean	impur	disgust	0.586
prostitute	prostituée	disgust	0.586
pornography	pornographie	disgust	0.586
dreadful	horrible	disgust	0.586
deteriorated	détérioré	disgust	0.586
appalling	épouvantable	disgust	0.586
unfaithful	infidèle	disgust	0.578
rash	téméraire	disgust	0.578
humiliating	humiliant	disgust	0.578
ruinous	ruineux	disgust	0.578
squeamish	délicat	disgust	0.578
offensive	offensive	disgust	0.578
conspirator	conspirateur	disgust	0.578
larceny	vol	disgust	0.578
debauchery	débauche	disgust	0.578
mangle	mutiler	disgust	0.578
flea	Puce	disgust	0.578
hypocrite	hypocrite	disgust	0.578
retard	retard	disgust	0.578
fiend	démon	disgust	0.578
sick	malade	disgust	0.578
quagmire	bourbier	disgust	0.578
expulsion	expulsion	disgust	0.578
treacherous	perfide	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	cracher	disgust	0.570
devastating	dévastateur	disgust	0.570
bastard	Connard	disgust	0.570
messy	désordonné	disgust	0.570
flog	fouetter	disgust	0.570
egregious	énorme	disgust	0.570
swamp	marais	disgust	0.570
oppress	opprimer	disgust	0.570
despise	mépriser	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	serpent	disgust	0.570
snake	serpent	disgust	0.562
terrible	terrible	disgust	0.562
awful	terrible	disgust	0.562
harmful	nocif	disgust	0.562
insanity	folie	disgust	0.562
indecent	indécent	disgust	0.562
sordid	sordide	disgust	0.562
loo	loo	disgust	0.562
scoundrel	scélérat	disgust	0.562
enemy	ennemi	disgust	0.562
stealing	vol	disgust	0.562
alcoholism	alcoolisme	disgust	0.562
humiliation	humiliation	disgust	0.562
ruthless	impitoyable	disgust	0.562
sloppy	négligé	disgust	0.562
tyrannical	tyrannique	disgust	0.562
harlot	prostituée	disgust	0.562
sinning	pécher	disgust	0.562
robbery	vol	disgust	0.555
insufferable	insupportable	disgust	0.555
arsenic	arsenic	disgust	0.555
bloody	sanglant	disgust	0.555
odious	odieux	disgust	0.555
ridicule	ridicule	disgust	0.555
atrophy	atrophie	disgust	0.555
beastly	bestial	disgust	0.555
collusion	connivence	disgust	0.555
distaste	dégoût	disgust	0.555
segregate	séparer	disgust	0.555
discriminating	discriminant	disgust	0.555
coward	lâche	disgust	0.555
wickedness	la méchanceté	disgust	0.555
threatening	menaçant	disgust	0.555
unattractive	peu attrayant	disgust	0.555
slayer	tueur	disgust	0.555
flabby	flasque	disgust	0.555
varicella	varicelle	disgust	0.555
miserable	misérable	disgust	0.547
sty	porcherie	disgust	0.547
ogre	ogre	disgust	0.547
coercion	coercition	disgust	0.547
thief	voleur	disgust	0.547
slur	liaison	disgust	0.547
suffocating	étouffant	disgust	0.547
anathema	anathème	disgust	0.547
purgatory	purgatoire	disgust	0.547
malevolent	malveillant	disgust	0.547
bitterly	amèrement	disgust	0.547
burglar	cambrioleur	disgust	0.547
attacking	attaquer	disgust	0.547
vesicular	vésiculaire	disgust	0.547
condemnation	condamnation	disgust	0.547
pillage	pillage	disgust	0.547
deleterious	délétère	disgust	0.547
thrash	débattre	disgust	0.539
repellant	répulsif	disgust	0.539
repudiation	répudiation	disgust	0.539
infidelity	infidélité	disgust	0.539
liar	menteur	disgust	0.539
fatty	gras	disgust	0.539
gob	gueule	disgust	0.539
sneer	ricanement	disgust	0.539
drunken	ivre	disgust	0.539
disgrace	disgrâce	disgust	0.539
shame	la honte	disgust	0.539
jealous	jaloux	disgust	0.539
imprisoned	détenu	disgust	0.539
pig	porc	disgust	0.539
greedy	glouton	disgust	0.539
sloth	la paresse	disgust	0.539
lethal	mortel	disgust	0.536
burnt	brûlé	disgust	0.531
aberration	aberration	disgust	0.531
condescension	condescendance	disgust	0.531
hydrocephalus	hydrocéphalie	disgust	0.531
hanging	pendaison	disgust	0.531
destructive	destructeur	disgust	0.531
smuggler	contrebandier	disgust	0.531
intolerant	intolérant	disgust	0.531
travesty	travestir	disgust	0.531
intrusive	intrusif	disgust	0.531
ruined	ruiné	disgust	0.531
withered	flétri	disgust	0.531
disintegrate	désintégrer	disgust	0.531
brawl	bagarre	disgust	0.531
blemish	défaut	disgust	0.531
neurotic	névrosé	disgust	0.531
blasphemous	blasphématoire	disgust	0.531
lying	mensonge	disgust	0.531
painful	douloureux	disgust	0.531
avarice	avarice	disgust	0.523
disgraced	disgracié	disgust	0.523
mistress	maîtresse	disgust	0.523
disparaging	désobligeant	disgust	0.523
rubbish	ordures	disgust	0.523
derogation	dérogation	disgust	0.523
accusation	accusation	disgust	0.523
intolerance	intolérance	disgust	0.523
incarceration	incarcération	disgust	0.523
blighted	brûlé	disgust	0.523
sump	puisard	disgust	0.516
deplorable	déplorable	disgust	0.516
daemon	démon	disgust	0.516
cringe	reculer	disgust	0.516
degrade	dégrader	disgust	0.516
gutter	gouttière	disgust	0.516
rob	Rob	disgust	0.516
grim	sinistre	disgust	0.516
defraud	frauder	disgust	0.516
tortious	déloyal	disgust	0.516
eradication	éradication	disgust	0.516
stink	puanteur	disgust	0.516
convict	condamné	disgust	0.516
dishonor	déshonorer	disgust	0.516
vulture	vautour	disgust	0.516
remains	restes	disgust	0.516
mite	mite	disgust	0.516
betray	trahir	disgust	0.516
sham	faux	disgust	0.509
endemic	endémique	disgust	0.508
bombed	bombardé	disgust	0.508
distress	détresse	disgust	0.508
pest	ravageur	disgust	0.508
incurable	incurable	disgust	0.508
worthless	sans valeur	disgust	0.508
rejection	rejet	disgust	0.508
distasteful	désagréable	disgust	0.508
schizophrenia	schizophrénie	disgust	0.508
belittle	rabaisser	disgust	0.508
smelling	odeur	disgust	0.508
cheat	Tricher	disgust	0.508
blob	goutte	disgust	0.508
prisoner	prisonnier	disgust	0.508
idiocy	idiotie	disgust	0.508
delirium	délire	disgust	0.508
disaster	catastrophe	disgust	0.508
crude	brut	disgust	0.508
resentment	rancœur	disgust	0.508
dreadfully	terriblement	disgust	0.508
glut	surabondance	disgust	0.508
polemic	polémique	disgust	0.500
derision	dérision	disgust	0.500
idolatry	idolâtrie	disgust	0.500
taboo	tabou	disgust	0.500
screaming	en hurlant	disgust	0.500
banish	bannir	disgust	0.500
dirt	saleté	disgust	0.500
goblin	lutin	disgust	0.500
shackle	manille	disgust	0.500
bribery	corruption	disgust	0.500
flagrant	flagrant	disgust	0.500
jealousy	jalousie	disgust	0.500
impurity	impureté	disgust	0.500
theft	vol	disgust	0.500
bitterness	amertume	disgust	0.500
offense	infraction	disgust	0.500
impeach	accuser	disgust	0.500
blight	brûlure	disgust	0.500
duress	contrainte	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	avidité	disgust	0.500
tirade	tirade	disgust	0.500
squirm	se tortiller	disgust	0.492
robber	voleur	disgust	0.492
ill	mauvais	disgust	0.492
unconscionable	déraisonnable	disgust	0.492
recession	récession	disgust	0.492
gorge	gorge	disgust	0.492
wreck	épave	disgust	0.492
malign	calomnier	disgust	0.492
boil	ébullition	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idiot	disgust	0.492
disreputable	de mauvaise réputation	disgust	0.492
wasteful	gaspilleur	disgust	0.484
affliction	affliction	disgust	0.484
stain	tache	disgust	0.484
contempt	mépris	disgust	0.484
nappy	couche	disgust	0.484
mutiny	mutinerie	disgust	0.484
occult	occulte	disgust	0.484
tramp	tramp	disgust	0.484
unbearable	insupportable	disgust	0.484
offender	délinquant	disgust	0.484
servile	servile	disgust	0.484
contraband	contrebande	disgust	0.484
raging	rage	disgust	0.484
snarl	gronder	disgust	0.484
mad	furieux	disgust	0.484
subjugation	assujettissement	disgust	0.484
possessed	possédé	disgust	0.484
animosity	animosité	disgust	0.484
aversation	aversation	disgust	0.484
defamation	diffamation	disgust	0.484
disrespectful	irrespectueux	disgust	0.484
mess	désordre	disgust	0.484
nepotism	népotisme	disgust	0.484
inexcusable	inexcusable	disgust	0.484
pathetic	pathétique	disgust	0.477
unpleasant	désagréable	disgust	0.477
suppression	suppression	disgust	0.477
mockery	moquerie	disgust	0.477
palsy	paralysie	disgust	0.477
criminal	criminel	disgust	0.477
illegality	illégalité	disgust	0.477
uncaring	indifférent	disgust	0.477
antagonistic	antagoniste	disgust	0.477
immorality	immoralité	disgust	0.477
dismal	lugubre	disgust	0.477
angry	en colère	disgust	0.469
repellent	repoussant	disgust	0.469
cough	la toux	disgust	0.469
arrogant	arrogant	disgust	0.469
grating	grille	disgust	0.469
aggravation	aggravation	disgust	0.469
livid	livide	disgust	0.469
banishment	bannissement	disgust	0.469
shoddy	de mauvaise qualité	disgust	0.469
banshee	banshee	disgust	0.469
poverty	la pauvreté	disgust	0.469
wallow	se vautrer	disgust	0.469
outrage	outrage	disgust	0.469
mocking	railleur	disgust	0.469
furious	furieux	disgust	0.469
perspiration	transpiration	disgust	0.469
prick	piquer	disgust	0.461
recklessness	insouciance	disgust	0.461
distorted	déformé	disgust	0.461
fraudulent	frauduleux	disgust	0.461
spider	Araign? e	disgust	0.461
quack	charlatan	disgust	0.461
perdition	perdition	disgust	0.461
muddy	boueux	disgust	0.461
spurious	faux	disgust	0.461
insulting	insultant	disgust	0.461
scar	cicatrice	disgust	0.461
deceive	tromper	disgust	0.461
unjustifiable	injustifiable	disgust	0.461
fool	imbécile	disgust	0.461
deplore	déplorer	disgust	0.461
plunder	pillage	disgust	0.461
aphid	puceron	disgust	0.453
bane	fléau	disgust	0.453
indignation	indignation	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	égoïste	disgust	0.453
disparage	dénigrer	disgust	0.453
cur	cur	disgust	0.453
dishonest	malhonnête	disgust	0.453
stigma	stigmate	disgust	0.453
eschew	éviter	disgust	0.453
antipathy	antipathie	disgust	0.453
alienate	aliéner	disgust	0.453
disingenuous	fourbe	disgust	0.453
elimination	élimination	disgust	0.453
unthinkable	impensable	disgust	0.453
wasted	perdu	disgust	0.445
recalcitrant	récalcitrant	disgust	0.445
iniquity	iniquité	disgust	0.445
mosquito	moustique	disgust	0.445
caries	carie	disgust	0.445
bankruptcy	la faillite	disgust	0.445
egotistical	égoïste	disgust	0.445
piles	pieux	disgust	0.445
smell	odeur	disgust	0.445
vacuous	vide	disgust	0.445
despair	désespoir	disgust	0.445
opium	opium	disgust	0.445
garish	criard	disgust	0.445
lie	mensonge	disgust	0.445
pious	pieux	disgust	0.445
aversion	aversion	disgust	0.438
sticky	gluant	disgust	0.438
scream	crier	disgust	0.438
alien	extraterrestre	disgust	0.438
shun	éviter	disgust	0.438
abnormal	anormal	disgust	0.438
ashamed	honteux	disgust	0.438
inmate	détenu	disgust	0.438
abject	abject	disgust	0.438
hog	porc	disgust	0.438
hopelessness	désespoir	disgust	0.438
homeless	sans abri	disgust	0.438
obnoxious	odieux	disgust	0.438
curse	malédiction	disgust	0.430
creature	créature	disgust	0.430
cursing	maudire	disgust	0.430
illegal	illégal	disgust	0.430
lusty	vigoureux	disgust	0.430
shameless	éhonté	disgust	0.430
debris	débris	disgust	0.430
defiance	défi	disgust	0.430
pall	voile	disgust	0.430
falsity	fausseté	disgust	0.430
reflux	reflux	disgust	0.430
incredulous	incrédule	disgust	0.430
adverse	négatif	disgust	0.430
trickery	tromperie	disgust	0.430
callous	insensible	disgust	0.430
separatist	séparatiste	disgust	0.430
undesirable	indésirable	disgust	0.430
denounce	dénoncer	disgust	0.430
witch	sorcière	disgust	0.430
bum	clochard	disgust	0.422
bovine	bovine	disgust	0.422
denunciation	dénonciation	disgust	0.422
untidy	désordonné	disgust	0.422
impure	impur	disgust	0.422
mistrust	méfiance	disgust	0.422
tarnish	ternir	disgust	0.422
ferocious	féroce	disgust	0.422
gush	jet	disgust	0.422
infantile	infantile	disgust	0.422
ammonia	ammoniac	disgust	0.422
offend	offenser	disgust	0.422
idiotic	idiot	disgust	0.422
hypertrophy	hypertrophie	disgust	0.422
nicotine	nicotine	disgust	0.422
tasteless	insipide	disgust	0.422
pompous	pompeux	disgust	0.422
socialist	socialiste	disgust	0.422
delinquent	délinquant	disgust	0.422
swarm	essaim	disgust	0.422
contentious	contentieux	disgust	0.422
carelessness	négligence	disgust	0.422
hairy	poilu	disgust	0.422
wasting	gaspillage	disgust	0.422
slush	neige fondante	disgust	0.422
affront	affront	disgust	0.422
collapse	effondrer	disgust	0.422
badness	méchanceté	disgust	0.422
dishonesty	malhonnêteté	disgust	0.414
vegetative	végétatif	disgust	0.414
displacency	déplacement	disgust	0.414
unfavorable	défavorable	disgust	0.414
disobey	désobéir	disgust	0.414
sour	acide	disgust	0.414
socialism	socialisme	disgust	0.414
murky	sombre	disgust	0.414
neglected	négligé	disgust	0.414
drivel	radotage	disgust	0.414
vampire	vampire	disgust	0.414
litigious	litigieux	disgust	0.414
illegitimate	illégitime	disgust	0.414
disgruntled	mécontent	disgust	0.406
ignorant	ignorant	disgust	0.406
outcast	banni	disgust	0.406
unkind	méchant	disgust	0.406
repel	repousser	disgust	0.406
displeasure	mécontentement	disgust	0.406
phony	faux	disgust	0.406
shoplifting	vol à l'étalage	disgust	0.406
dislike	Ne pas aimer	disgust	0.406
unlawful	illicite	disgust	0.406
bogus	faux	disgust	0.406
discontinuity	discontinuité	disgust	0.406
recidivism	récidive	disgust	0.406
ungrateful	ingrat	disgust	0.406
wrongdoing	méfait	disgust	0.406
falsify	falsifier	disgust	0.406
prosecution	poursuite	disgust	0.406
failure	échec	disgust	0.398
loon	plongeon	disgust	0.398
lick	lécher	disgust	0.398
subvert	subvertir	disgust	0.398
rigor	rigueur	disgust	0.398
unruly	indiscipliné	disgust	0.398
paucity	manque	disgust	0.398
unnatural	non naturel	disgust	0.398
averse	averse	disgust	0.398
senseless	insensé	disgust	0.398
worsening	détérioration	disgust	0.398
disdain	mépris	disgust	0.398
woe	malheur	disgust	0.398
woefully	tristement	disgust	0.398
amphetamines	amphétamines	disgust	0.398
stingy	avare	disgust	0.398
crushing	écrasement	disgust	0.398
insult	insulter	disgust	0.393
damage	dommage	disgust	0.391
hardened	endurci	disgust	0.391
diatribe	diatribe	disgust	0.391
averseness	averseness	disgust	0.391
critter	critter	disgust	0.391
muff	manchon	disgust	0.391
antisocial	antisocial	disgust	0.391
punishment	Châtiment	disgust	0.391
bad	mal	disgust	0.391
punished	puni	disgust	0.391
disrelish	décréer	disgust	0.391
expel	expulser	disgust	0.391
farcical	grotesque	disgust	0.391
scorpion	Scorpion	disgust	0.391
sacrifices	sacrifices	disgust	0.383
plagiarism	plagiat	disgust	0.383
hypocritical	hypocrite	disgust	0.383
divorce	divorce	disgust	0.383
presumptuous	présomptueux	disgust	0.383
discord	discorde	disgust	0.383
fugitive	fugitif	disgust	0.383
fulsome	fulsome	disgust	0.383
shabby	minable	disgust	0.383
orc	orc	disgust	0.383
adder	additionneur	disgust	0.383
anaconda	anaconda	disgust	0.383
surly	bourru	disgust	0.383
irrational	irrationnel	disgust	0.383
disappoint	décevoir	disgust	0.383
illiterate	analphabète	disgust	0.383
lament	complainte	disgust	0.383
eviction	expulsion	disgust	0.383
teeming	grouillant	disgust	0.383
guilt	culpabilité	disgust	0.383
misconduct	inconduite	disgust	0.375
blame	faire des reproches	disgust	0.375
alienation	aliénation	disgust	0.375
depressing	déprimant	disgust	0.375
irritating	irritant	disgust	0.375
plight	situation critique	disgust	0.375
unworthy	indigne	disgust	0.375
dislocated	disloquée	disgust	0.375
scoff	moquerie	disgust	0.375
irritation	irritation	disgust	0.375
defective	défectueux	disgust	0.375
shock	choc	disgust	0.375
hoax	canular	disgust	0.367
coerce	contraindre	disgust	0.367
revoke	révoquer	disgust	0.367
stripped	dépouillé	disgust	0.367
exclusion	exclusion	disgust	0.367
blatant	flagrant	disgust	0.367
disillusionment	désillusion	disgust	0.367
squelch	écraser	disgust	0.367
unhealthy	mauvais pour la santé	disgust	0.367
toad	crapaud	disgust	0.367
wimpy	mauviette	disgust	0.367
pitfall	piège	disgust	0.367
vainly	vainement	disgust	0.367
powerless	impuissant	disgust	0.367
cad	goujat	disgust	0.367
hurtful	nuisible	disgust	0.367
shuddering	frissonner	disgust	0.367
wimp	mauviette	disgust	0.367
oddity	singularité	disgust	0.359
rebellion	rébellion	disgust	0.359
incompatible	incompatible	disgust	0.359
ineptitude	ineptie	disgust	0.359
dispose	disposer	disgust	0.359
disobedience	désobéissance	disgust	0.359
damn	Zut	disgust	0.359
bug	punaise	disgust	0.359
deserted	déserté	disgust	0.359
litigate	plaider	disgust	0.352
