word	Afrikaans-af	emotion	emotion-intensity-score
oracle	orakel	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	ontvou	anticipation	0.555
boisterous	lawaaierige	anticipation	0.555
liberty	vryheid	anticipation	0.555
heroism	heldhaftig	anticipation	0.555
feeling	gevoel	anticipation	0.555
shopping	Inkopies	anticipation	0.555
fate	lot	anticipation	0.555
uneasiness	ongemak	anticipation	0.555
speculative	spekulatiewe	anticipation	0.555
changeable	verwissel	anticipation	0.547
recreational	ontspanningsgeriewe	anticipation	0.547
pray	Bid	anticipation	0.547
warn	waarsku	anticipation	0.547
suspicious	verdagte	anticipation	0.547
convergence	konvergensie	anticipation	0.547
incite	aanhits	anticipation	0.547
agape	agape	anticipation	0.547
morrow	môre	anticipation	0.547
abundance	oorvloed	anticipation	0.547
delighted	verheug	anticipation	0.547
resultant	gevolglike	anticipation	0.547
hungry	honger	anticipation	0.547
monetary	monetêre	anticipation	0.547
vote	stem	anticipation	0.547
glory	heerlikheid	anticipation	0.547
glimmer	skynsel	anticipation	0.547
apprehensive	bekommerd	anticipation	0.547
sorcery	toorkuns	anticipation	0.547
bountiful	oorvloed	anticipation	0.547
leisure	ontspanning	anticipation	0.547
probability	waarskynlikheid	anticipation	0.547
auction	veiling	anticipation	0.539
hunting	jag	anticipation	0.539
contingent	voorwaardelike	anticipation	0.539
hankering	hunkering	anticipation	0.539
sensual	sensuele	anticipation	0.539
blessings	seëninge	anticipation	0.539
ballot	stembrief	anticipation	0.539
grandchildren	kleinkinders	anticipation	0.539
entertainment	vermaak	anticipation	0.539
vindication	regverdiging	anticipation	0.539
worrying	kommerwekkende	anticipation	0.539
tempest	storm	anticipation	0.539
inquiry	ondersoek	anticipation	0.539
merge	saam te smelt	anticipation	0.539
exceed	oorskry	anticipation	0.539
bounty	oorvloed	anticipation	0.539
glad	bly	anticipation	0.536
magnificent	pragtige	anticipation	0.531
feat	feat	anticipation	0.531
stealthy	onderduimse	anticipation	0.531
cheer	moed	anticipation	0.531
spirits	geeste	anticipation	0.531
visitor	besoeker	anticipation	0.531
appeal	appélleer	anticipation	0.531
forming	vorming	anticipation	0.531
hurried	haastige	anticipation	0.531
responsive	reageer	anticipation	0.531
virginity	maagdelikheid	anticipation	0.531
deliverance	verlossing	anticipation	0.531
betrothed	verloof	anticipation	0.531
overthrow	omverwerping	anticipation	0.531
harbinger	voorloper	anticipation	0.531
raving	raving	anticipation	0.531
celestial	hemelse	anticipation	0.531
dread	vrees	anticipation	0.531
germination	ontkieming	anticipation	0.523
preparatory	voorbereidende	anticipation	0.523
pleasant	aangename	anticipation	0.523
watch	kyk	anticipation	0.523
prophet	profeet	anticipation	0.523
prognostic	prognostiese	anticipation	0.523
haste	haas	anticipation	0.523
planning	beplanning	anticipation	0.523
importance	belangrikheid	anticipation	0.523
radiance	glans	anticipation	0.523
prevail	seëvier	anticipation	0.523
cheery	vrolik	anticipation	0.523
competition	kompetisie	anticipation	0.523
ultimately	uiteindelik	anticipation	0.523
revive	laat herleef	anticipation	0.523
beaming	stralende	anticipation	0.523
wait	wag	anticipation	0.523
child	kind	anticipation	0.523
notification	kennisgewing	anticipation	0.523
hunter	jagter	anticipation	0.523
explosive	plofbare	anticipation	0.523
endanger	in gevaar stel	anticipation	0.516
time	tyd	anticipation	0.516
recreation	ontspanning	anticipation	0.516
renovation	opknap	anticipation	0.516
precious	kosbare	anticipation	0.516
begun	begin	anticipation	0.516
loom	loom	anticipation	0.516
compensate	vergoed	anticipation	0.516
treat	behandel	anticipation	0.516
uncontrollable	onbeheerbare	anticipation	0.516
present	teenwoordig	anticipation	0.516
salary	salaris	anticipation	0.516
celebrity	celebrity	anticipation	0.516
owing	verskuldig	anticipation	0.516
chocolate	sjokolade	anticipation	0.516
caution	versigtigheid	anticipation	0.516
fermentation	fermentasie	anticipation	0.516
sensuality	sensualiteit	anticipation	0.516
wilderness	woestyn	anticipation	0.508
signify	dui	anticipation	0.508
transitional	oorgang	anticipation	0.508
intermission	ophou	anticipation	0.508
contemplation	nadenke	anticipation	0.508
vigilance	waaksaamheid	anticipation	0.508
commemoration	herdenking	anticipation	0.508
practise	praktyk	anticipation	0.508
cue	wit	anticipation	0.508
infant	baba	anticipation	0.508
dreadful	vreeslike	anticipation	0.508
perfection	perfeksie	anticipation	0.508
elevation	opstand	anticipation	0.508
prerequisite	voorvereiste	anticipation	0.508
cultivate	kweek	anticipation	0.508
horizon	horison	anticipation	0.508
develop	ontwikkel	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	swem	anticipation	0.500
attendance	bywoning	anticipation	0.500
nascent	ontluikende	anticipation	0.500
favorable	gunstige	anticipation	0.500
peril	gevaar	anticipation	0.500
income	inkomste	anticipation	0.500
ardent	vurige	anticipation	0.500
commemorate	herdenk	anticipation	0.500
doomsday	doem	anticipation	0.500
reconciliation	versoening	anticipation	0.500
utopian	utopiese	anticipation	0.500
romantic	romantiese	anticipation	0.500
unbridled	ongebreidelde	anticipation	0.500
sunny	sonnige	anticipation	0.500
uphill	opdraande	anticipation	0.500
intuitively	intuïtief	anticipation	0.500
depart	vertrek	anticipation	0.500
eventuality	gebeurlikheid	anticipation	0.500
puppy	hondjie	anticipation	0.500
zeal	ywer	anticipation	0.500
sneaking	sluipen	anticipation	0.500
ready	gereed	anticipation	0.500
advocacy	voorspraak	anticipation	0.500
airport	lughawe	anticipation	0.500
litigate	litigeer	anticipation	0.500
blindfold	blinddoek	anticipation	0.500
undisclosed	onbekende	anticipation	0.500
young	jong	anticipation	0.500
horoscope	horoskoop	anticipation	0.500
invocation	aanroeping	anticipation	0.500
calculation	berekening	anticipation	0.500
hero	held	anticipation	0.500
court	hof	anticipation	0.492
repay	terug te betaal	anticipation	0.492
improvise	improviseer	anticipation	0.492
parole	parool	anticipation	0.492
worry	bekommer	anticipation	0.492
inauguration	inhuldiging	anticipation	0.492
gaping	gapende	anticipation	0.492
youth	jeug	anticipation	0.492
bless	seën	anticipation	0.492
defense	verdediging	anticipation	0.492
heyday	bloeityd	anticipation	0.492
consequent	gevolglike	anticipation	0.492
proceeding	proses	anticipation	0.492
eventual	uiteindelike	anticipation	0.492
perspective	perspektief	anticipation	0.492
restorative	herstellende	anticipation	0.492
undertaking	onderneming	anticipation	0.492
highest	hoogste	anticipation	0.491
duel	tweestryd	anticipation	0.484
unexplained	onverklaarbare	anticipation	0.484
tremor	bewing	anticipation	0.484
sharpen	slyp	anticipation	0.484
generosity	vrygewigheid	anticipation	0.484
voluptuous	wulpse	anticipation	0.484
shortly	kort	anticipation	0.484
vow	gelofte	anticipation	0.484
contagion	besmetting	anticipation	0.484
letter	brief	anticipation	0.484
happen	gebeur	anticipation	0.484
threaten	dreig	anticipation	0.484
conjure	roep	anticipation	0.484
sparkle	skitter	anticipation	0.484
engulf	verswelg	anticipation	0.484
god	God	anticipation	0.484
correspondence	korrespondensie	anticipation	0.484
auspicious	luisterryke	anticipation	0.484
princely	prins	anticipation	0.484
adore	aanbid	anticipation	0.477
enroll	inskryf	anticipation	0.477
determinate	bepaalde	anticipation	0.477
predispose	vatbaar maak	anticipation	0.477
clue	leidraad	anticipation	0.477
onset	aanvang	anticipation	0.477
powerful	kragtige	anticipation	0.477
glorify	verheerlik	anticipation	0.477
glow	gloei	anticipation	0.477
arbitration	arbitrasie	anticipation	0.477
torture	marteling	anticipation	0.477
gravitate	swaartekrag	anticipation	0.477
cherish	koester	anticipation	0.477
contemplate	oorweeg	anticipation	0.477
submit	Indien	anticipation	0.477
perilous	gevaarlik	anticipation	0.477
unification	eenwording	anticipation	0.477
score	telling	anticipation	0.477
medal	medalje	anticipation	0.477
glide	gly	anticipation	0.477
recipient	ontvanger	anticipation	0.477
accompaniment	begeleiding	anticipation	0.477
praiseworthy	lofwaardige	anticipation	0.473
providing	verskaffing	anticipation	0.469
motion	beweging	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	versigtig	anticipation	0.469
cash	kontant	anticipation	0.469
precursor	voorloper	anticipation	0.469
opera	opera	anticipation	0.469
elite	elite	anticipation	0.469
pry	loer	anticipation	0.469
hire	huur	anticipation	0.469
sweets	lekkers	anticipation	0.469
star	ster	anticipation	0.469
unsurpassed	onoortreflike	anticipation	0.469
successful	suksesvol	anticipation	0.469
unknown	onbekend	anticipation	0.469
immediately	onmiddellik	anticipation	0.469
starry	sterrehemel	anticipation	0.469
production	produksie	anticipation	0.469
football	sokker	anticipation	0.469
completion	voltooiing	anticipation	0.469
scare	bang	anticipation	0.469
invoke	roep	anticipation	0.469
shaky	wankelrige	anticipation	0.469
dawn	aanbreek	anticipation	0.469
creeping	kruip	anticipation	0.469
cheerfulness	blymoedigheid	anticipation	0.461
soundness	gesondheid	anticipation	0.461
mail	pos	anticipation	0.461
draft	konsep	anticipation	0.461
preliminary	voorlopige	anticipation	0.461
friendly	vriendelike	anticipation	0.461
commemorative	herdenking	anticipation	0.461
extricate	bevry	anticipation	0.461
alive	lewendig	anticipation	0.461
untold	ongekende	anticipation	0.461
overture	ouverture	anticipation	0.461
excel	excel	anticipation	0.461
plight	lot	anticipation	0.461
synchronize	sinchroniseer	anticipation	0.461
punt	Punt	anticipation	0.461
sanctuary	heiligdom	anticipation	0.461
brilliant	briljant	anticipation	0.461
pay	betaal	anticipation	0.461
shining	skyn	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	testament	anticipation	0.461
jeopardy	gevaar	anticipation	0.461
perpetuity	vir altyd	anticipation	0.453
elegance	elegansie	anticipation	0.453
career	beroep	anticipation	0.453
basketball	basketbal	anticipation	0.453
intimately	intiem	anticipation	0.453
renovate	knap	anticipation	0.453
supremacy	oppergesag	anticipation	0.453
infinity	oneindig	anticipation	0.453
unexpected	onverwagte	anticipation	0.453
flinch	wankel	anticipation	0.453
complement	aanvulling	anticipation	0.453
prologue	proloog	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	voorkoming	anticipation	0.453
improve	verbeter	anticipation	0.453
sunset	sonsondergang	anticipation	0.453
inaugural	stigtingsvergadering	anticipation	0.453
rehabilitation	rehabilitasie	anticipation	0.453
fitting	pas	anticipation	0.445
surround	surround	anticipation	0.445
share	aandeel	anticipation	0.445
epidemic	epidemie	anticipation	0.445
sweet	soet	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	verberging	anticipation	0.445
confidence	vertroue	anticipation	0.445
perfect	perfekte	anticipation	0.445
sun	son	anticipation	0.445
veracity	waarheid	anticipation	0.445
volunteer	vrywilliger	anticipation	0.445
conjecture	veronderstelling	anticipation	0.445
medical	medies	anticipation	0.438
prepared	bereid	anticipation	0.438
superstitious	bygelowige	anticipation	0.438
reconstruction	rekonstruksie	anticipation	0.438
tickle	kielie	anticipation	0.438
faith	geloof	anticipation	0.438
passenger	passasier	anticipation	0.438
saint	heilige	anticipation	0.438
respect	opsigte	anticipation	0.438
rabid	hondsdol	anticipation	0.438
reconstruct	rekonstrueer	anticipation	0.438
recombination	rekombinasie	anticipation	0.438
devout	toegewyde	anticipation	0.438
goodness	goedheid	anticipation	0.438
angel	engel	anticipation	0.438
ferment	fermenteer	anticipation	0.438
plea	pleidooi	anticipation	0.438
aloha	Aloha	anticipation	0.438
serial	serial	anticipation	0.438
conservation	bewaring	anticipation	0.438
serenity	kalmte	anticipation	0.430
tabulate	tabuleer	anticipation	0.430
install	installeer	anticipation	0.430
labyrinth	labirint	anticipation	0.430
venerable	eerbiedwaardige	anticipation	0.430
perpetuate	voortbestaan	anticipation	0.430
strategist	strateeg	anticipation	0.430
unverified	geverifieerde	anticipation	0.430
tribunal	tribunaal	anticipation	0.430
charitable	liefdadigheid	anticipation	0.430
luscious	sappige	anticipation	0.430
spa	spa	anticipation	0.430
peace	vrede	anticipation	0.430
clap	klap	anticipation	0.430
conspirator	samesweerder	anticipation	0.422
forestall	voorkom	anticipation	0.422
patience	geduld	anticipation	0.422
oasis	oase	anticipation	0.422
grin	glimlag	anticipation	0.422
revere	REVERE	anticipation	0.422
worship	aanbidding	anticipation	0.422
vista	Vista	anticipation	0.422
laughter	lag	anticipation	0.422
volatility	wisselvalligheid	anticipation	0.422
adrift	adrift	anticipation	0.422
candid	openhartige	anticipation	0.422
edification	stigting	anticipation	0.422
unresolved	onopgeloste	anticipation	0.422
peaceful	vreedsame	anticipation	0.422
recognizable	herkenbaar	anticipation	0.422
calls	oproepe	anticipation	0.414
weigh	weeg	anticipation	0.414
probation	proef	anticipation	0.414
proficiency	vaardigheid	anticipation	0.414
morn	môre	anticipation	0.414
craps	craps	anticipation	0.414
detainee	aangehoudene	anticipation	0.414
mediate	bemiddel	anticipation	0.414
continue	aanhou	anticipation	0.414
astrologer	astroloog	anticipation	0.414
punctual	stiptelike	anticipation	0.414
ordination	koördinering	anticipation	0.414
pretty	mooi	anticipation	0.414
thought	gedink	anticipation	0.414
grant	verleen	anticipation	0.414
withstand	weerstaan	anticipation	0.414
frisky	dartel	anticipation	0.414
ongoing	deurlopende	anticipation	0.414
sing	sing	anticipation	0.411
long	lank	anticipation	0.406
confession	belydenis	anticipation	0.406
headlight	koplamp	anticipation	0.406
prophylactic	profilaktiese	anticipation	0.406
mother	moeder	anticipation	0.406
debenture	skuldbrief	anticipation	0.406
wizard	towenaar	anticipation	0.406
university	universiteit	anticipation	0.406
proud	trots	anticipation	0.406
midwife	vroedvrou	anticipation	0.406
banquet	banket	anticipation	0.406
continuation	voortsetting	anticipation	0.406
navigable	bevaarbare	anticipation	0.406
punished	gestraf	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	troos	anticipation	0.406
opponent	opponent	anticipation	0.406
subscribe	skryf	anticipation	0.406
outdo	oortref	anticipation	0.406
nurture	koester	anticipation	0.406
twinkle	vonkel	anticipation	0.406
deal	ooreenkoms	anticipation	0.402
efficient	doeltreffende	anticipation	0.398
representing	verteenwoordig	anticipation	0.398
simmer	prut	anticipation	0.398
symphony	simfonie	anticipation	0.398
judiciary	regbank	anticipation	0.398
obliging	hulpvaardig	anticipation	0.398
saintly	heilig	anticipation	0.398
vigil	nagwaak	anticipation	0.398
death	dood	anticipation	0.398
distracting	steurende	anticipation	0.398
mortification	tugtiging	anticipation	0.398
balm	salf	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	Top	anticipation	0.398
lettered	letters	anticipation	0.398
reliance	afhanklikheid	anticipation	0.398
poke	sak	anticipation	0.391
unfulfilled	onvervulde	anticipation	0.391
assurance	versekering	anticipation	0.391
condemnation	veroordeling	anticipation	0.391
undoubted	ongetwyfeld	anticipation	0.391
diplomacy	diplomasie	anticipation	0.391
familiarity	bekendheid	anticipation	0.391
antidote	teenmiddel	anticipation	0.391
chuckle	giggel	anticipation	0.391
objective	doel	anticipation	0.391
maternal	moederlike	anticipation	0.391
abeyance	tydelike opschorting	anticipation	0.391
art	kuns	anticipation	0.391
linger	Linger	anticipation	0.391
trust	vertroue	anticipation	0.391
depraved	verdorwe	anticipation	0.391
sanctify	heilig	anticipation	0.391
inoculation	Inenting	anticipation	0.384
chant	chant	anticipation	0.383
banger	hollander	anticipation	0.383
playground	speelgrond	anticipation	0.383
failing	versuim	anticipation	0.383
ship	skip	anticipation	0.383
hymn	lied	anticipation	0.383
simplify	vereenvoudig	anticipation	0.383
ram	ram	anticipation	0.383
labor	arbeid	anticipation	0.383
discretion	diskresie	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	goeie	anticipation	0.383
scientist	wetenskaplike	anticipation	0.383
undecided	onvoorspelbaar	anticipation	0.383
humanitarian	humanitêre	anticipation	0.383
depend	afhang	anticipation	0.383
dutiful	pligsgetrou	anticipation	0.383
clock	klok	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	berg	anticipation	0.375
savor	geur	anticipation	0.375
recurrent	herhalende	anticipation	0.375
interim	tussentydse	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	geleidelike	anticipation	0.375
interminable	eindelose	anticipation	0.375
track	spoor	anticipation	0.375
public	openbare	anticipation	0.375
cradle	wieg	anticipation	0.375
concealed	versteek	anticipation	0.367
lesson	les	anticipation	0.367
instructions	instruksies	anticipation	0.367
shiver	bewe	anticipation	0.367
musical	musikale	anticipation	0.367
towering	manjifieke	anticipation	0.367
whim	bevlieging	anticipation	0.367
spear	spies	anticipation	0.367
convince	oortuig	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	bly	anticipation	0.367
biennial	tweejaarlikse	anticipation	0.367
theology	teologie	anticipation	0.359
offset	verreken	anticipation	0.359
atone	versoening	anticipation	0.359
timidity	bedeesd	anticipation	0.359
theory	teorie	anticipation	0.359
undying	ewig	anticipation	0.359
plump	plomp	anticipation	0.359
audience	gehoor	anticipation	0.357
nobility	adel	anticipation	0.352
paragon	toonbeeld	anticipation	0.352
dietary	dieet	anticipation	0.352
closure	sluiting	anticipation	0.352
store	winkel	anticipation	0.352
localize	lokaliseer	anticipation	0.352
cramp	kramp	anticipation	0.352
daily	daaglikse	anticipation	0.352
kindred	familie	anticipation	0.352
farm	plaas	anticipation	0.352
edition	uitgawe	anticipation	0.352
consecration	toewyding	anticipation	0.352
archaeology	argeologie	anticipation	0.344
mobile	mobiele	anticipation	0.344
errand	taak	anticipation	0.344
wireless	draadlose	anticipation	0.344
mutable	wispelturig	anticipation	0.344
meditate	mediteer	anticipation	0.344
stripped	gestroop	anticipation	0.344
lessen	verminder	anticipation	0.336
unaccountable	onverklaarbaar	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	broederlike	anticipation	0.336
buddy	buddy	anticipation	0.336
unbeaten	onoorwonne	anticipation	0.336
germ	kiem	anticipation	0.336
dove	duif	anticipation	0.328
digress	afdwaal	anticipation	0.328
ribbon	lint	anticipation	0.328
olfactory	olfaktoriese	anticipation	0.328
patient	pasiënt	anticipation	0.328
council	raad	anticipation	0.328
possess	besit	anticipation	0.328
secular	sekulêre	anticipation	0.328
chastity	kuisheid	anticipation	0.328
disposed	hand gesit	anticipation	0.320
regularity	reëlmaat	anticipation	0.320
mediator	bemiddelaar	anticipation	0.320
scrutinize	bestudeer	anticipation	0.320
fancy	fancy	anticipation	0.320
immature	onvolwasse	anticipation	0.320
infanticide	kindermoord	anticipation	0.320
heft	hef	anticipation	0.320
preservative	preserveermiddel	anticipation	0.320
paddle	paddle	anticipation	0.320
cove	Cove	anticipation	0.320
denying	ontken	anticipation	0.312
bugle	beuel	anticipation	0.312
unpublished	ongepubliseerde	anticipation	0.312
analyst	ontleder	anticipation	0.312
grim	woede	anticipation	0.312
church	kerk	anticipation	0.312
priesthood	priesterskap	anticipation	0.305
mill	meul	anticipation	0.305
judicial	geregtelike	anticipation	0.305
broadside	Straat	anticipation	0.305
tributary	sytak	anticipation	0.297
cap	cap	anticipation	0.297
thermocouple	termokoppel	anticipation	0.297
dismay	ontsteltenis	anticipation	0.297
instructor	instrukteur	anticipation	0.297
saliva	speeksel	anticipation	0.297
exhaustion	uitputting	anticipation	0.297
bruise	vermorsel	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	haweloses	anticipation	0.289
visor	toesighouer	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	netwerk	anticipation	0.289
shackle	boei	anticipation	0.289
addresses	adresse	anticipation	0.289
noncompliance	nie-nakoming	anticipation	0.289
cataract	katarak	anticipation	0.289
skewed	skeef	anticipation	0.281
astronomer	sterrekundige	anticipation	0.281
neighbor	buurman	anticipation	0.281
holiness	heiligheid	anticipation	0.273
devil	duiwel	anticipation	0.273
cream	room	anticipation	0.273
picket	plakkaatbetoging	anticipation	0.273
latent	latente	anticipation	0.273
immaturity	onvolwassenheid	anticipation	0.273
sentence	sin	anticipation	0.273
neighborhood	buurt	anticipation	0.266
morals	morele waardes	anticipation	0.266
lull	stilte	anticipation	0.266
habitual	gewoontemisdadiger	anticipation	0.266
weight	gewig	anticipation	0.258
bye	bye	anticipation	0.258
forearm	voorarm	anticipation	0.250
clown	clown	anticipation	0.250
organ	orrel	anticipation	0.250
quote	kwotasie	anticipation	0.242
commonplace	alledaags	anticipation	0.242
dictatorship	diktatorskap	anticipation	0.234
board	raad	anticipation	0.234
white	wit	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	spoor	anticipation	0.234
sundial	sonwyser	anticipation	0.227
tree	boom	anticipation	0.227
paralysis	verlamming	anticipation	0.211
worm	wurm	anticipation	0.203
organization	organisasie	anticipation	0.203
cement	sement	anticipation	0.203
lagging	sloerende	anticipation	0.180
neutral	neutrale	anticipation	0.148
cannibalism	kannibalisme	disgust	0.953
mutilation	verminking	disgust	0.930
molestation	molestering	disgust	0.914
incest	bloedskande	disgust	0.914
gonorrhea	gonorree	disgust	0.906
rape	verkragting	disgust	0.906
cannibal	kannibaal	disgust	0.898
rot	vrot	disgust	0.891
corpse	lyk	disgust	0.883
massacre	slagting	disgust	0.883
excrement	ontlasting	disgust	0.883
slaughter	slagting	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	slagpale	disgust	0.867
rancid	galsterige	disgust	0.859
sewerage	riool	disgust	0.859
incestuous	bloedskendige	disgust	0.859
filth	vullis	disgust	0.859
bigot	kwezelaar	disgust	0.859
infestation	besmetting	disgust	0.852
plague	plaag	disgust	0.852
bloodthirsty	bloeddorstige	disgust	0.852
holocaust	holocaust	disgust	0.852
rotting	verrot	disgust	0.844
maggot	luim	disgust	0.844
feces	ontlasting	disgust	0.844
fecal	fecale	disgust	0.844
murder	moord	disgust	0.839
infanticide	kindermoord	disgust	0.836
homicide	moord	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	verslaaf	disgust	0.836
gore	Gore	disgust	0.828
perverted	verdraai	disgust	0.828
torture	marteling	disgust	0.828
slaughtering	slag	disgust	0.828
excretion	uitskeiding	disgust	0.828
contaminate	besoedel	disgust	0.821
murderer	moordenaar	disgust	0.820
gory	bloedige	disgust	0.820
repugnant	afstootlike	disgust	0.820
desecration	ontheiliging	disgust	0.820
grotesque	groteske	disgust	0.820
revolting	oproerige	disgust	0.820
diarrhoea	diarree	disgust	0.820
manure	mis	disgust	0.820
terrorist	terroriste	disgust	0.820
shit	kak	disgust	0.820
pervert	verdraai	disgust	0.820
slavery	slawerny	disgust	0.812
faeces	ontlasting	disgust	0.812
sewer	riool	disgust	0.812
vomit	uitbraaksel	disgust	0.812
manslaughter	strafbare manslag	disgust	0.812
dismemberment	verbrokkeling	disgust	0.812
cadaver	kadawer	disgust	0.812
hemorrhage	bloeding	disgust	0.805
repulsive	afstootlik	disgust	0.805
perverse	perverse	disgust	0.805
filthy	vuil	disgust	0.797
sewage	riool	disgust	0.797
depravity	verdorwenheid	disgust	0.797
diseased	siek	disgust	0.797
carcass	karkas	disgust	0.795
decompose	ontbind	disgust	0.789
vermin	ongediertes	disgust	0.789
puke	opgooi	disgust	0.789
parasite	parasiet	disgust	0.789
horrific	gruwelike	disgust	0.789
gruesome	grusame	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	vermink	disgust	0.789
murderous	moordende	disgust	0.789
decayed	verval	disgust	0.789
herpes	herpes	disgust	0.789
slime	slyk	disgust	0.781
flatulence	winderigheid	disgust	0.781
monstrosity	gedrog	disgust	0.781
carnage	slagting	disgust	0.781
pestilence	pes	disgust	0.781
malaria	malaria	disgust	0.781
crap	kak	disgust	0.781
toxic	giftige	disgust	0.773
loathsome	walglike	disgust	0.773
insidious	verraderlike	disgust	0.773
leprosy	melaatsheid	disgust	0.773
morgue	lykshuis	disgust	0.773
pus	etter	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	hoer	disgust	0.766
cruel	wrede	disgust	0.766
repugnance	afkeer	disgust	0.766
revulsion	afkeer	disgust	0.766
xenophobia	xenofobie	disgust	0.766
regurgitation	herhaling	disgust	0.766
anthrax	antraks	disgust	0.766
lynch	Lynch	disgust	0.766
dissection	disseksie	disgust	0.759
canker	kanker	disgust	0.758
cruelty	wreedheid	disgust	0.758
perversion	perversie	disgust	0.758
evil	kwaad	disgust	0.758
slum	slum	disgust	0.758
infectious	aansteeklike	disgust	0.758
mucous	slym	disgust	0.758
phlegm	slym	disgust	0.758
leeches	bloedsuiers	disgust	0.750
decomposition	ontbinding	disgust	0.750
sinister	sinistere	disgust	0.750
corrupting	onheil	disgust	0.750
demon	demoon	disgust	0.742
stinking	stinkende	disgust	0.742
septic	septiese	disgust	0.742
deranged	versteurde	disgust	0.742
bile	gal	disgust	0.742
soiled	vuil	disgust	0.742
mucus	slym	disgust	0.742
abhorrence	weersin	disgust	0.742
abomination	gruwel	disgust	0.742
sickening	walglike	disgust	0.742
demonic	demoniese	disgust	0.742
foul	vuil	disgust	0.734
obese	vetsugtig	disgust	0.734
sicken	siek	disgust	0.734
degeneracy	ontaarding	disgust	0.734
crucifixion	kruisiging	disgust	0.734
despicable	veragtelike	disgust	0.734
cancer	Kanker	disgust	0.734
atrocity	gruweldaad	disgust	0.734
terrorism	terrorisme	disgust	0.734
dirty	vuil	disgust	0.727
dysentery	disenterie	disgust	0.727
adultery	egbreuk	disgust	0.727
contamination	besoedeling	disgust	0.727
bacterium	bakterie	disgust	0.727
diabolical	diaboliese	disgust	0.727
morbidity	morbiditeit	disgust	0.727
grisly	onaangenaam	disgust	0.727
repulsion	afstoting	disgust	0.727
enema	enema	disgust	0.727
contagion	besmetting	disgust	0.719
disfigured	vermink	disgust	0.719
muck	muck	disgust	0.719
lewd	ontugtige	disgust	0.719
garbage	vullis	disgust	0.719
autopsy	lykskouing	disgust	0.719
bowels	ingewande	disgust	0.719
gross	bruto	disgust	0.719
vulgar	vulgêre	disgust	0.719
barbaric	barbaarse	disgust	0.719
disgust	walging	disgust	0.719
vicious	bose	disgust	0.719
entrails	binnegoed	disgust	0.719
deterioration	agteruitgang	disgust	0.719
pungent	skerp	disgust	0.719
bloodshed	bloedvergieting	disgust	0.714
violent	gewelddadige	disgust	0.711
tyrant	tiran	disgust	0.711
poisoned	vergiftig	disgust	0.711
pollute	besoedel	disgust	0.711
wretched	ellendig	disgust	0.711
nausea	naarheid	disgust	0.711
mortification	tugtiging	disgust	0.711
gag	gag	disgust	0.711
vulgarity	vulgariteit	disgust	0.703
disgusting	disgusting	disgust	0.703
grope	tas	disgust	0.703
slut	slet	disgust	0.703
poisoning	vergiftiging	disgust	0.703
depraved	verdorwe	disgust	0.703
noxious	skadelike	disgust	0.703
porn	porno	disgust	0.703
nasty	nare	disgust	0.703
slimy	slymerige	disgust	0.703
despotism	despotisme	disgust	0.703
nauseate	walgen	disgust	0.703
secretion	afskeiding	disgust	0.703
constipation	hardlywigheid	disgust	0.703
hateful	haatlike	disgust	0.703
grime	roet	disgust	0.703
measles	masels	disgust	0.696
contagious	aansteeklik	disgust	0.695
hellish	helse	disgust	0.695
waste	afval	disgust	0.695
suicidal	selfmoord	disgust	0.695
abuse	misbruik	disgust	0.695
hate	haat	disgust	0.695
wretch	ellendeling	disgust	0.695
intestinal	derm	disgust	0.695
wart	vrat	disgust	0.695
obesity	vetsug	disgust	0.695
scum	roes	disgust	0.695
contaminated	besmet	disgust	0.688
disease	siekte	disgust	0.688
rabid	hondsdol	disgust	0.688
ooze	modder	disgust	0.688
treason	verraad	disgust	0.688
heartworm	hart worm	disgust	0.688
smut	brand	disgust	0.688
cholera	cholera	disgust	0.680
deformed	misvormde	disgust	0.680
detest	hekel	disgust	0.680
bestial	dierlike	disgust	0.680
sickness	siekte	disgust	0.680
antichrist	antichris	disgust	0.680
abhorrent	gruwelike	disgust	0.680
soulless	siellose	disgust	0.680
freakish	grillig	disgust	0.680
grimy	vuil	disgust	0.680
hatred	haat	disgust	0.680
pollution	besoedeling	disgust	0.680
germ	kiem	disgust	0.680
abominate	verfoeien	disgust	0.680
