word	Macedonian-mk	emotion	emotion-intensity-score
contemptible	презир	disgust	0.625
cuckold	рогоносец	disgust	0.625
bloated	подуени	disgust	0.625
aghast	вознемирен	disgust	0.625
betrayal	предавство	disgust	0.617
guillotine	гилотина	disgust	0.617
infect	зарази	disgust	0.617
spoil	расипат	disgust	0.617
tetanus	тетанус	disgust	0.617
fat	масти	disgust	0.617
louse	вулкан	disgust	0.617
malicious	злонамерни	disgust	0.617
polygamy	полигамијата	disgust	0.617
crusty	корка	disgust	0.617
atrocious	крволочен	disgust	0.617
deceit	измама	disgust	0.617
termite	термит	disgust	0.617
loathe	лути	disgust	0.617
wench	пропаст	disgust	0.617
dying	умирање	disgust	0.617
sickly	болен	disgust	0.617
diaper	пелена	disgust	0.617
strangle	задуши	disgust	0.617
drool	drool	disgust	0.609
slander	клевета	disgust	0.609
abhor	одвратам	disgust	0.609
venomous	отровно	disgust	0.609
brothel	бордел	disgust	0.609
ghetto	гето	disgust	0.609
violently	насилно	disgust	0.609
hostile	непријателски	disgust	0.609
sabotage	саботажа	disgust	0.609
deform	деформира	disgust	0.609
bleeding	крварење	disgust	0.609
unwashed	неизмиени	disgust	0.602
lunacy	лудило	disgust	0.602
imprisonment	затвор	disgust	0.602
infidel	неверник	disgust	0.602
deprivation	лишување	disgust	0.602
traitor	предавник	disgust	0.602
ugliness	грдотија	disgust	0.602
musty	небесен	disgust	0.602
illicit	незаконски	disgust	0.602
swampy	мочуриште	disgust	0.602
poaching	ловење	disgust	0.602
hag	хаг	disgust	0.602
butcher	Месар	disgust	0.594
lunatic	лудак	disgust	0.594
venom	отров	disgust	0.594
repelling	отфрлање	disgust	0.594
thug	криминалец	disgust	0.594
misery	мизерија	disgust	0.594
toilet	тоалет	disgust	0.594
slug	голтка	disgust	0.594
catastrophe	катастрофа	disgust	0.594
epidemic	епидемија	disgust	0.594
gut	црево	disgust	0.594
intoxicated	затруени	disgust	0.594
blister	блистер	disgust	0.594
deceitful	измамнички	disgust	0.594
hostility	непријателство	disgust	0.594
queasiness	queasiness	disgust	0.594
lurid	луд	disgust	0.594
sinner	грешник	disgust	0.594
incubus	инкубус	disgust	0.586
lavatory	тоалетот	disgust	0.586
harass	малтретирање	disgust	0.586
unclean	нечист	disgust	0.586
prostitute	проститутка	disgust	0.586
pornography	порнографија	disgust	0.586
dreadful	страшна	disgust	0.586
deteriorated	влошена	disgust	0.586
appalling	ужасни	disgust	0.586
unfaithful	неверен	disgust	0.578
rash	осип	disgust	0.578
humiliating	понижувачки	disgust	0.578
ruinous	руини	disgust	0.578
squeamish	извивам	disgust	0.578
offensive	офанзива	disgust	0.578
conspirator	конспиратор	disgust	0.578
larceny	краде	disgust	0.578
debauchery	разврат	disgust	0.578
mangle	магли	disgust	0.578
flea	болва	disgust	0.578
hypocrite	лицемер	disgust	0.578
retard	ретардиран	disgust	0.578
fiend	тежок	disgust	0.578
sick	болен	disgust	0.578
quagmire	бајка	disgust	0.578
expulsion	протерување	disgust	0.578
treacherous	предавничка	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	плукаат	disgust	0.570
devastating	катастрофални	disgust	0.570
bastard	копиле	disgust	0.570
messy	неуредна	disgust	0.570
flog	каламбур	disgust	0.570
egregious	исклучително	disgust	0.570
swamp	мочуриште	disgust	0.570
oppress	угнетување	disgust	0.570
despise	презираат	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	змија	disgust	0.570
snake	змија	disgust	0.562
terrible	страшно	disgust	0.562
awful	Ужасно	disgust	0.562
harmful	штетно	disgust	0.562
insanity	лудило	disgust	0.562
indecent	непристојни	disgust	0.562
sordid	нервозен	disgust	0.562
loo	Loo	disgust	0.562
scoundrel	измамник	disgust	0.562
enemy	непријател	disgust	0.562
stealing	крадење	disgust	0.562
alcoholism	алкохолизам	disgust	0.562
humiliation	понижување	disgust	0.562
ruthless	безмилосен	disgust	0.562
sloppy	невешт	disgust	0.562
tyrannical	тирански	disgust	0.562
harlot	блудница	disgust	0.562
sinning	греши	disgust	0.562
robbery	кражба	disgust	0.555
insufferable	недоволно	disgust	0.555
arsenic	арсен	disgust	0.555
bloody	крвав	disgust	0.555
odious	омразен	disgust	0.555
ridicule	потсмев	disgust	0.555
atrophy	атрофија	disgust	0.555
beastly	тивко	disgust	0.555
collusion	заговор	disgust	0.555
distaste	нервозни	disgust	0.555
segregate	сегрегира	disgust	0.555
discriminating	дискриминирачки	disgust	0.555
coward	кукавица	disgust	0.555
wickedness	зло	disgust	0.555
threatening	заканувачки	disgust	0.555
unattractive	непривлечна	disgust	0.555
slayer	убиец	disgust	0.555
flabby	мрачен	disgust	0.555
varicella	варичела	disgust	0.555
miserable	мизерни	disgust	0.547
sty	шпион	disgust	0.547
ogre	ogre	disgust	0.547
coercion	принуда	disgust	0.547
thief	крадец	disgust	0.547
slur	slur	disgust	0.547
suffocating	задушувачки	disgust	0.547
anathema	анатема	disgust	0.547
purgatory	чистилиште	disgust	0.547
malevolent	злонамерни	disgust	0.547
bitterly	горко	disgust	0.547
burglar	крадец	disgust	0.547
attacking	напад	disgust	0.547
vesicular	везикуларна	disgust	0.547
condemnation	осуда	disgust	0.547
pillage	грабеж	disgust	0.547
deleterious	штетни	disgust	0.547
thrash	ѓубре	disgust	0.539
repellant	repellant	disgust	0.539
repudiation	отфрлање	disgust	0.539
infidelity	неверство	disgust	0.539
liar	лажго	disgust	0.539
fatty	масни	disgust	0.539
gob	готвење	disgust	0.539
sneer	потсмев	disgust	0.539
drunken	пијан	disgust	0.539
disgrace	срам	disgust	0.539
shame	срам	disgust	0.539
jealous	љубоморен	disgust	0.539
imprisoned	затворен	disgust	0.539
pig	свиња	disgust	0.539
greedy	алчен	disgust	0.539
sloth	мрзлив	disgust	0.539
lethal	смртоносна	disgust	0.536
burnt	изгорен	disgust	0.531
aberration	аберација	disgust	0.531
condescension	понижување	disgust	0.531
hydrocephalus	хидроцефалус	disgust	0.531
hanging	виси	disgust	0.531
destructive	деструктивни	disgust	0.531
smuggler	шверцер	disgust	0.531
intolerant	нетолерантен	disgust	0.531
travesty	травестија	disgust	0.531
intrusive	наметлива	disgust	0.531
ruined	руиниран	disgust	0.531
withered	исушени	disgust	0.531
disintegrate	се распадне	disgust	0.531
brawl	тепачка	disgust	0.531
blemish	шкарт	disgust	0.531
neurotic	невротичен	disgust	0.531
blasphemous	богохулен	disgust	0.531
lying	лажење	disgust	0.531
painful	болно	disgust	0.531
avarice	страст	disgust	0.523
disgraced	посрамен	disgust	0.523
mistress	љубовница	disgust	0.523
disparaging	омаловажувачки	disgust	0.523
rubbish	ѓубре	disgust	0.523
derogation	дерогација	disgust	0.523
accusation	обвинение	disgust	0.523
intolerance	нетолеранција	disgust	0.523
incarceration	затворање	disgust	0.523
blighted	заблудени	disgust	0.523
sump	капак	disgust	0.516
deplorable	непристоен	disgust	0.516
daemon	демон	disgust	0.516
cringe	работно време	disgust	0.516
degrade	деградира	disgust	0.516
gutter	олук	disgust	0.516
rob	Роб	disgust	0.516
grim	мрачни	disgust	0.516
defraud	измама	disgust	0.516
tortious	тивко	disgust	0.516
eradication	искоренување	disgust	0.516
stink	смрдеа	disgust	0.516
convict	осуденик	disgust	0.516
dishonor	срамно	disgust	0.516
vulture	мршојадец	disgust	0.516
remains	останува	disgust	0.516
mite	Мите	disgust	0.516
betray	предавам	disgust	0.516
sham	срам	disgust	0.509
endemic	ендемични	disgust	0.508
bombed	бомбардиран	disgust	0.508
distress	вознемиреност	disgust	0.508
pest	штетник	disgust	0.508
incurable	неизлечива	disgust	0.508
worthless	безвредни	disgust	0.508
rejection	одбивање	disgust	0.508
distasteful	невкусно	disgust	0.508
schizophrenia	шизофренија	disgust	0.508
belittle	омаловажувај	disgust	0.508
smelling	мириса	disgust	0.508
cheat	измамник	disgust	0.508
blob	дупка	disgust	0.508
prisoner	затвореник	disgust	0.508
idiocy	идиотизам	disgust	0.508
delirium	делириум	disgust	0.508
disaster	катастрофа	disgust	0.508
crude	сурова	disgust	0.508
resentment	незадоволство	disgust	0.508
dreadfully	страшно	disgust	0.508
glut	презаситеност	disgust	0.508
polemic	полемична	disgust	0.500
derision	потсмев	disgust	0.500
idolatry	идолопоклонство	disgust	0.500
taboo	табу	disgust	0.500
screaming	вреска	disgust	0.500
banish	прогони	disgust	0.500
dirt	нечистотија	disgust	0.500
goblin	гоблин	disgust	0.500
shackle	кал	disgust	0.500
bribery	мито	disgust	0.500
flagrant	флагрантно	disgust	0.500
jealousy	љубомора	disgust	0.500
impurity	нечистотија	disgust	0.500
theft	кражба	disgust	0.500
bitterness	горчина	disgust	0.500
offense	прекршок	disgust	0.500
impeach	импич	disgust	0.500
blight	лошо влијание	disgust	0.500
duress	принуда	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	алчноста	disgust	0.500
tirade	тирада	disgust	0.500
squirm	извивам	disgust	0.492
robber	крадец	disgust	0.492
ill	лошо	disgust	0.492
unconscionable	несвесно	disgust	0.492
recession	рецесија	disgust	0.492
gorge	клисура	disgust	0.492
wreck	руина	disgust	0.492
malign	малигни	disgust	0.492
boil	врие	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	идиот	disgust	0.492
disreputable	дискредитиран	disgust	0.492
wasteful	непотребно	disgust	0.484
affliction	болка	disgust	0.484
stain	дамка	disgust	0.484
contempt	презир	disgust	0.484
nappy	пелена	disgust	0.484
mutiny	бунт	disgust	0.484
occult	окултен	disgust	0.484
tramp	трамп	disgust	0.484
unbearable	неподнослива	disgust	0.484
offender	сторителот	disgust	0.484
servile	сервилен	disgust	0.484
contraband	шверц	disgust	0.484
raging	беснее	disgust	0.484
snarl	огорчено	disgust	0.484
mad	луд	disgust	0.484
subjugation	потчинување	disgust	0.484
possessed	поседува	disgust	0.484
animosity	непријателство	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	клевета	disgust	0.484
disrespectful	непочитување	disgust	0.484
mess	хаос	disgust	0.484
nepotism	непотизам	disgust	0.484
inexcusable	неоправдано	disgust	0.484
pathetic	патетично	disgust	0.477
unpleasant	непријатно	disgust	0.477
suppression	потиснување	disgust	0.477
mockery	исмејување	disgust	0.477
palsy	парализа	disgust	0.477
criminal	криминалец	disgust	0.477
illegality	незаконитост	disgust	0.477
uncaring	нерешителност	disgust	0.477
antagonistic	антагонистички	disgust	0.477
immorality	неморал	disgust	0.477
dismal	лош	disgust	0.477
angry	лути	disgust	0.469
repellent	отвратителен	disgust	0.469
cough	кашлица	disgust	0.469
arrogant	арогантен	disgust	0.469
grating	хелиум	disgust	0.469
aggravation	влошување	disgust	0.469
livid	бледо	disgust	0.469
banishment	протерување	disgust	0.469
shoddy	лошо	disgust	0.469
banshee	banshee	disgust	0.469
poverty	сиромаштија	disgust	0.469
wallow	валоа	disgust	0.469
outrage	бес	disgust	0.469
mocking	потсмевање	disgust	0.469
furious	бесен	disgust	0.469
perspiration	потење	disgust	0.469
prick	измамник	disgust	0.461
recklessness	непромисленост	disgust	0.461
distorted	искривени	disgust	0.461
fraudulent	измамнички	disgust	0.461
spider	пајак	disgust	0.461
quack	шаркане	disgust	0.461
perdition	погибел	disgust	0.461
muddy	калливи	disgust	0.461
spurious	лажен	disgust	0.461
insulting	навреда	disgust	0.461
scar	лузна	disgust	0.461
deceive	измами	disgust	0.461
unjustifiable	неоправдано	disgust	0.461
fool	будала	disgust	0.461
deplore	огорчавам	disgust	0.461
plunder	грабеж	disgust	0.461
aphid	листопад	disgust	0.453
bane	бен	disgust	0.453
indignation	индигнација	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	себични	disgust	0.453
disparage	омаловажување	disgust	0.453
cur	cur	disgust	0.453
dishonest	нечесен	disgust	0.453
stigma	стигмата	disgust	0.453
eschew	избегнувај	disgust	0.453
antipathy	антипатија	disgust	0.453
alienate	отуѓи	disgust	0.453
disingenuous	неискрен	disgust	0.453
elimination	елиминација	disgust	0.453
unthinkable	незамисливо	disgust	0.453
wasted	потроши	disgust	0.445
recalcitrant	непослушен	disgust	0.445
iniquity	беззаконие	disgust	0.445
mosquito	комарец	disgust	0.445
caries	кариес	disgust	0.445
bankruptcy	банкрот	disgust	0.445
egotistical	егитички	disgust	0.445
piles	купови	disgust	0.445
smell	мирис	disgust	0.445
vacuous	празен	disgust	0.445
despair	очај	disgust	0.445
opium	опиум	disgust	0.445
garish	Гариш	disgust	0.445
lie	лага	disgust	0.445
pious	побожен	disgust	0.445
aversion	аверзија	disgust	0.438
sticky	леплива	disgust	0.438
scream	крик	disgust	0.438
alien	странец	disgust	0.438
shun	избегнувај	disgust	0.438
abnormal	абнормални	disgust	0.438
ashamed	засрамен	disgust	0.438
inmate	затвореник	disgust	0.438
abject	абјект	disgust	0.438
hog	свиња	disgust	0.438
hopelessness	безнадежност	disgust	0.438
homeless	бездомници	disgust	0.438
obnoxious	ништожно	disgust	0.438
curse	проклетство	disgust	0.430
creature	суштество	disgust	0.430
cursing	пцуејќи	disgust	0.430
illegal	нелегално	disgust	0.430
lusty	похрабри	disgust	0.430
shameless	бесрамно	disgust	0.430
debris	остатоци	disgust	0.430
defiance	пркос	disgust	0.430
pall	pall	disgust	0.430
falsity	фалсификат	disgust	0.430
reflux	рефлукс	disgust	0.430
incredulous	неверодостојни	disgust	0.430
adverse	негативни	disgust	0.430
trickery	измама	disgust	0.430
callous	бездушен	disgust	0.430
separatist	сепаратистички	disgust	0.430
undesirable	непожелни	disgust	0.430
denounce	се откаже	disgust	0.430
witch	вештерка	disgust	0.430
bum	скитам	disgust	0.422
bovine	говеда	disgust	0.422
denunciation	откажување	disgust	0.422
untidy	неуреден	disgust	0.422
impure	нечисто	disgust	0.422
mistrust	недоверба	disgust	0.422
tarnish	оцрни	disgust	0.422
ferocious	жесток	disgust	0.422
gush	млаз	disgust	0.422
infantile	инфантилен	disgust	0.422
ammonia	амонијак	disgust	0.422
offend	навреди	disgust	0.422
idiotic	идиотски	disgust	0.422
hypertrophy	хипертрофија	disgust	0.422
nicotine	никотин	disgust	0.422
tasteless	без вкус	disgust	0.422
pompous	помпезно	disgust	0.422
socialist	социјалистички	disgust	0.422
delinquent	делинквент	disgust	0.422
swarm	рој	disgust	0.422
contentious	спорно	disgust	0.422
carelessness	негрижа	disgust	0.422
hairy	влакнести	disgust	0.422
wasting	губење	disgust	0.422
slush	каша	disgust	0.422
affront	навреда	disgust	0.422
collapse	колапс	disgust	0.422
badness	лошо	disgust	0.422
dishonesty	нечесност	disgust	0.414
vegetative	вегетативна	disgust	0.414
displacency	поместување	disgust	0.414
unfavorable	неповолно	disgust	0.414
disobey	непослушни	disgust	0.414
sour	кисело	disgust	0.414
socialism	социјализам	disgust	0.414
murky	мрачен	disgust	0.414
neglected	запоставени	disgust	0.414
drivel	возбуда	disgust	0.414
vampire	вампир	disgust	0.414
litigious	парничен	disgust	0.414
illegitimate	нелегитимен	disgust	0.414
disgruntled	незадоволни	disgust	0.406
ignorant	неуки	disgust	0.406
outcast	надвор	disgust	0.406
unkind	нељубезен	disgust	0.406
repel	отфрли	disgust	0.406
displeasure	незадоволство	disgust	0.406
phony	лажни	disgust	0.406
shoplifting	shoplifting	disgust	0.406
dislike	не им се допаѓаат	disgust	0.406
unlawful	незаконско	disgust	0.406
bogus	лажен	disgust	0.406
discontinuity	дисконтинуитет	disgust	0.406
recidivism	рецидивизам	disgust	0.406
ungrateful	неблагодарна	disgust	0.406
wrongdoing	прекршок	disgust	0.406
falsify	фалсификуваат	disgust	0.406
prosecution	гонење	disgust	0.406
failure	неуспех	disgust	0.398
loon	loon	disgust	0.398
lick	лижат	disgust	0.398
subvert	погубвам	disgust	0.398
rigor	строгост	disgust	0.398
unruly	непослушен	disgust	0.398
paucity	мало	disgust	0.398
unnatural	неприродно	disgust	0.398
averse	аверс	disgust	0.398
senseless	бесмислено	disgust	0.398
worsening	влошување	disgust	0.398
disdain	презир	disgust	0.398
woe	горко	disgust	0.398
woefully	woefully	disgust	0.398
amphetamines	амфетамини	disgust	0.398
stingy	скржавиот	disgust	0.398
crushing	дробење	disgust	0.398
insult	навреда	disgust	0.393
damage	штета	disgust	0.391
hardened	појачан	disgust	0.391
diatribe	diatribe	disgust	0.391
averseness	непријателство	disgust	0.391
critter	critter	disgust	0.391
muff	муф	disgust	0.391
antisocial	антисоцијален	disgust	0.391
punishment	казна	disgust	0.391
bad	лошо	disgust	0.391
punished	казнет	disgust	0.391
disrelish	безрезервна	disgust	0.391
expel	избркај	disgust	0.391
farcical	фарсично	disgust	0.391
scorpion	скорпија	disgust	0.391
sacrifices	жртви	disgust	0.383
plagiarism	плагијат	disgust	0.383
hypocritical	лицемерно	disgust	0.383
divorce	развод	disgust	0.383
presumptuous	претенциозно	disgust	0.383
discord	раздор	disgust	0.383
fugitive	бегалец	disgust	0.383
fulsome	fulsome	disgust	0.383
shabby	излитена	disgust	0.383
orc	orc	disgust	0.383
adder	седерот	disgust	0.383
anaconda	anaconda	disgust	0.383
surly	Груб	disgust	0.383
irrational	ирационален	disgust	0.383
disappoint	разочарај	disgust	0.383
illiterate	неписмени	disgust	0.383
lament	жалење	disgust	0.383
eviction	иселување	disgust	0.383
teeming	преполнување	disgust	0.383
guilt	вина	disgust	0.383
misconduct	несоодветно однесување	disgust	0.375
blame	Вина	disgust	0.375
alienation	отуѓување	disgust	0.375
depressing	депресивно	disgust	0.375
irritating	иритирачки	disgust	0.375
plight	мака	disgust	0.375
unworthy	недостоен	disgust	0.375
dislocated	дислоциран	disgust	0.375
scoff	потсмев	disgust	0.375
irritation	иритација	disgust	0.375
defective	дефектен	disgust	0.375
shock	шок	disgust	0.375
hoax	измама	disgust	0.367
coerce	принудува	disgust	0.367
revoke	одземе	disgust	0.367
stripped	одземени	disgust	0.367
exclusion	исклучување	disgust	0.367
blatant	бесрамно	disgust	0.367
disillusionment	разочарување	disgust	0.367
squelch	squelch	disgust	0.367
unhealthy	нездраво	disgust	0.367
toad	жаба	disgust	0.367
wimpy	wimpy	disgust	0.367
pitfall	замка	disgust	0.367
vainly	залудно	disgust	0.367
powerless	немоќен	disgust	0.367
cad	cad	disgust	0.367
hurtful	штетен	disgust	0.367
shuddering	тресење	disgust	0.367
wimp	wimp	disgust	0.367
oddity	чудак	disgust	0.359
rebellion	бунт	disgust	0.359
incompatible	некомпатибилни	disgust	0.359
ineptitude	непостојаност	disgust	0.359
dispose	располага	disgust	0.359
disobedience	непослушност	disgust	0.359
damn	проклето	disgust	0.359
bug	бубачка	disgust	0.359
deserted	напуштени	disgust	0.359
litigate	litigate	disgust	0.352
ridiculous	смешно	disgust	0.352
compost	компост	disgust	0.352
obi	obi	disgust	0.352
untoward	незгодно	disgust	0.352
censor	цензор	disgust	0.352
uncertain	неизвесно	disgust	0.352
lawyer	адвокат	disgust	0.352
flinch	flinch	disgust	0.352
flesh	месо	disgust	0.352
crushed	смачкана	disgust	0.352
displeased	незадоволен	disgust	0.352
inept	нервозен	disgust	0.352
wrongful	погрешно	disgust	0.352
cutting	сечење	disgust	0.352
fierce	жестока	disgust	0.352
misbehavior	погрешно однесување	disgust	0.352
frustrate	фрустрираат	disgust	0.352
dismissal	разрешување	disgust	0.352
disapprove	одобри	disgust	0.344
depreciate	игнорирање	disgust	0.344
tearful	плачлив	disgust	0.344
thoughtless	безмислено	disgust	0.336
unsettled	несмирен	disgust	0.336
lumpy	трнлив	disgust	0.336
discoloration	дисколорација	disgust	0.336
blunder	грешка	disgust	0.336
disinclination	недискриминација	disgust	0.336
distrust	недоверба	disgust	0.336
annoy	нервирај	disgust	0.336
lawsuit	тужба	disgust	0.336
discontent	незадоволство	disgust	0.336
grumble	поплака	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	дафт	disgust	0.336
heartsick	срцев	disgust	0.336
disliked	не му се допаѓа	disgust	0.336
bickering	расправии	disgust	0.336
disallowed	недозволено	disgust	0.336
unmanageable	неуправа	disgust	0.328
hydrophobia	хидрофобија	disgust	0.328
unsatisfactory	незадоволително	disgust	0.328
whine	лелекаат	disgust	0.328
exasperation	огорченост	disgust	0.328
instability	нестабилност	disgust	0.328
provoking	предизвикувајќи	disgust	0.328
disappointed	разочаран	disgust	0.328
inhibit	инхибираат	disgust	0.328
sly	итар	disgust	0.328
grievance	поплака	disgust	0.328
materialist	материјалист	disgust	0.328
excluded	исклучени	disgust	0.328
cacophony	какофонија	disgust	0.328
misleading	погрешно	disgust	0.321
disclaim	одрекувам	disgust	0.320
rags	партали	disgust	0.320
soot	саѓи	disgust	0.320
disservice	лоша услуга	disgust	0.320
unequal	нееднаков	disgust	0.320
humbug	humbug	disgust	0.320
reproach	срам	disgust	0.320
confined	ограничени	disgust	0.320
disapproving	неодобрување	disgust	0.320
annoyance	вознемиреност	disgust	0.320
mishap	несреќа	disgust	0.320
groan	стон	disgust	0.320
soil	почва	disgust	0.312
depreciated	амортизирана	disgust	0.312
disincline	disincline	disgust	0.312
inappropriate	несоодветно	disgust	0.312
inconsiderate	невнимателен	disgust	0.312
burke	бурке	disgust	0.312
overpriced	прескапата	disgust	0.312
sneeze	кивавица	disgust	0.312
stomach	стомак	disgust	0.312
criticize	критикуваат	disgust	0.312
theism	теизмот	disgust	0.312
disparity	диспаритет	disgust	0.305
gall	жолчка	disgust	0.305
latent	латентен	disgust	0.305
grumpy	пргаво	disgust	0.305
bang	тресне	disgust	0.305
inadmissible	неприфатливо	disgust	0.305
unfriendly	непријателски	disgust	0.305
shack	колиба	disgust	0.305
disliking	не ми се допаѓа	disgust	0.305
unaccountable	неопределен	disgust	0.305
coop	coop	disgust	0.304
scold	караница	disgust	0.297
growling	growling	disgust	0.297
lonely	осамен	disgust	0.297
delay	одложување	disgust	0.297
congress	конгрес	disgust	0.297
disregarded	игнорирани	disgust	0.297
disappointment	разочарување	disgust	0.297
backwards	наназад	disgust	0.297
soreness	болка	disgust	0.297
rogue	непријателски	disgust	0.297
infamous	озлогласен	disgust	0.289
lesbian	лезбејка	disgust	0.289
notoriety	озлогласеност	disgust	0.289
catechism	катехизам	disgust	0.289
flop	флоп	disgust	0.289
nettle	коприва	disgust	0.289
janitor	служител	disgust	0.289
saturated	заситен	disgust	0.281
gaby	габи	disgust	0.281
prohibited	забрането	disgust	0.281
remiss	незнам	disgust	0.281
unfair	нефер	disgust	0.281
desist	престанете	disgust	0.281
wince	Винкс	disgust	0.281
aftermath	последиците	disgust	0.281
huff	тежок	disgust	0.273
discolored	обезцветен	disgust	0.273
uneasy	непријатно	disgust	0.273
wrangling	расправии	disgust	0.273
tribunal	трибунал	disgust	0.273
weird	чудно	disgust	0.266
bureaucrat	бирократ	disgust	0.266
coldness	студенило	disgust	0.266
impolite	неволја	disgust	0.266
politic	политички	disgust	0.266
unsatisfied	незадоволни	disgust	0.266
swig	swig	disgust	0.266
inefficiency	неефикасност	disgust	0.266
frantic	избезумено	disgust	0.266
crawl	ползи	disgust	0.266
instinctive	инстинктивно	disgust	0.258
barrow	Бароу	disgust	0.258
incase	во случај	disgust	0.258
octopus	октопод	disgust	0.258
chagrin	разочарување	disgust	0.258
copycat	копирај	disgust	0.258
rascal	rascal	disgust	0.258
sarcasm	сарказам	disgust	0.258
gruff	груб	disgust	0.258
misconception	заблуда	disgust	0.250
hulk	мечка	disgust	0.250
shanghai	Шангај	disgust	0.250
baboon	бабун	disgust	0.250
disinclined	нескротлив	disgust	0.250
lose	изгуби	disgust	0.250
john	Џон	disgust	0.250
cupping	cupping	disgust	0.250
rook	лаж	disgust	0.242
gratuitous	бесплатен	disgust	0.242
entangled	заплеткано	disgust	0.242
opponent	противник	disgust	0.242
tariff	тарифа	disgust	0.242
scrub	чистење	disgust	0.242
resign	поднесе оставка	disgust	0.234
prolong	Продолжи	disgust	0.234
backwardness	назадност	disgust	0.234
reluctance	неподготвеност	disgust	0.234
questionable	сомнително	disgust	0.234
lagging	заостанува	disgust	0.234
unlucky	несреќен	disgust	0.234
misstatement	погрешно прикажување	disgust	0.234
reversal	пресврт	disgust	0.227
disqualified	дисквалификуван	disgust	0.227
subsidy	субвенција	disgust	0.227
ineffectual	неефективно	disgust	0.227
fussy	претрупан	disgust	0.227
unpopular	непопуларен	disgust	0.227
default	стандардно	disgust	0.227
intense	интензивно	disgust	0.219
dame	dame	disgust	0.219
evade	избегнувај	disgust	0.219
petroleum	нафта	disgust	0.219
weight	Тежина	disgust	0.219
frowning	намуртено	disgust	0.219
actionable	актуелен	disgust	0.211
tawny	tawny	disgust	0.211
donkey	магаре	disgust	0.211
unhappy	несреќни	disgust	0.211
indifference	рамнодушност	disgust	0.203
rave	рејвинг	disgust	0.203
birch	бреза	disgust	0.203
hood	хауба	disgust	0.203
desert	пустината	disgust	0.203
owing	поради тоа	disgust	0.203
gnome	gnome	disgust	0.203
awkwardness	непријатност	disgust	0.203
inconvenient	незгодно	disgust	0.203
dandy	леди	disgust	0.203
speck	дамка	disgust	0.203
fleece	руно	disgust	0.195
howl	завива	disgust	0.195
monochrome	монохроматски	disgust	0.195
airs	воздух	disgust	0.195
gelatin	желатин	disgust	0.195
misguided	NO TRANSLATION	disgust	0.195
morals	морал	disgust	0.195
dabbling	dabbling	disgust	0.195
celebrity	славна личност	disgust	0.188
avoid	избегнувајте	disgust	0.188
stalemate	ќор-сокак	disgust	0.188
lush	бујна	disgust	0.188
gent	Гент	disgust	0.188
lesser	помалку	disgust	0.188
sunk	потонат	disgust	0.180
nose	нос	disgust	0.180
claimant	тужителот	disgust	0.180
laughable	смешен	disgust	0.180
possession	поседување	disgust	0.180
larger	поголем	disgust	0.164
hoot	очај	disgust	0.164
mouthful	залак	disgust	0.164
thrift	штедливост	disgust	0.164
pregnancy	бременост	disgust	0.164
undoubted	несомнено	disgust	0.164
clamor	врева	disgust	0.156
misplace	погрешно	disgust	0.156
sentence	реченица	disgust	0.156
parrot	папагал	disgust	0.156
obliging	обврзувачки	disgust	0.156
nameless	безимени	disgust	0.148
bummer	bummer	disgust	0.148
feeling	чувство	disgust	0.141
elf	елф	disgust	0.141
excellence	совршеност	disgust	0.141
turn	пак	disgust	0.133
gray	сиво	disgust	0.133
asymmetry	асиметрија	disgust	0.133
clumsy	несмасен	disgust	0.133
stall	штанд	disgust	0.133
bran	трици	disgust	0.125
finally	конечно	disgust	0.125
lord	Господарот	disgust	0.125
boy	момче	disgust	0.117
cove	залив	disgust	0.117
nurture	негуваат	disgust	0.117
savor	мирис	disgust	0.117
lemon	лимон	disgust	0.109
winning	победа	disgust	0.109
powerful	моќен	disgust	0.102
glitter	сјај	disgust	0.094
interior	внатрешни работи	disgust	0.086
mind	ум	disgust	0.086
treat	третираат	disgust	0.078
interested	заинтересирани	disgust	0.078
abundance	изобилство	disgust	0.078
honest	искрен	disgust	0.055
kite	змеј	disgust	0.055
humble	смирен	disgust	0.047
tree	дрво	disgust	0.039
torture	мачење	fear	0.984
terrorist	терористички	fear	0.972
horrific	ужасно	fear	0.969
terrorism	тероризам	fear	0.969
terrorists	терористи	fear	0.969
suicidebombing	NO TRANSLATION	fear	0.967
kill	убиј	fear	0.962
homicidal	убиствени	fear	0.959
annihilate	уништува	fear	0.953
terror	терор	fear	0.953
murderer	убиец	fear	0.953
catastrophe	катастрофа	fear	0.953
dying	умирање	fear	0.948
war	војна	fear	0.942
bombing	бомбардирање	fear	0.938
bomb	бомба	fear	0.935
missiles	проектили	fear	0.934
horror	хорор	fear	0.923
brutality	бруталност	fear	0.922
bloodthirsty	жедните	fear	0.922
terrorize	тероризирам	fear	0.922
horrified	ужаснат	fear	0.922
murderous	убиствен	fear	0.920
massacre	масакр	fear	0.911
assassinate	атентат	fear	0.906
horrifying	ужасно	fear	0.906
fatality	фаталност	fear	0.906
murder	убиство	fear	0.906
mutilation	осакатување	fear	0.906
