word	Swedish-sv	emotion	emotion-intensity-score
lover	älskare	anticipation	0.562
quicken	påskynda	anticipation	0.562
champion	mästare	anticipation	0.562
lovely	härlig	anticipation	0.555
rejoicing	fröjd	anticipation	0.555
grasping	gripande	anticipation	0.555
grow	växa	anticipation	0.555
curiosity	nyfikenhet	anticipation	0.555
splendor	prakt	anticipation	0.555
salvation	frälsning	anticipation	0.555
happy	Lycklig	anticipation	0.555
oracle	orakel	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	veckla ut	anticipation	0.555
boisterous	stormig	anticipation	0.555
liberty	frihet	anticipation	0.555
heroism	hjältemod	anticipation	0.555
feeling	känsla	anticipation	0.555
shopping	handla	anticipation	0.555
fate	öde	anticipation	0.555
uneasiness	oro	anticipation	0.555
speculative	spekulativ	anticipation	0.555
changeable	föränderlig	anticipation	0.547
recreational	rekreations	anticipation	0.547
pray	be	anticipation	0.547
warn	varna	anticipation	0.547
suspicious	misstänksam	anticipation	0.547
convergence	konvergens	anticipation	0.547
incite	hetsa	anticipation	0.547
agape	agape	anticipation	0.547
morrow	morgondag	anticipation	0.547
abundance	överflöd	anticipation	0.547
delighted	förtjust	anticipation	0.547
resultant	resulterande	anticipation	0.547
hungry	hungrig	anticipation	0.547
monetary	monetär	anticipation	0.547
vote	rösta	anticipation	0.547
glory	ära	anticipation	0.547
glimmer	glimma	anticipation	0.547
apprehensive	orolig	anticipation	0.547
sorcery	trolldom	anticipation	0.547
bountiful	riklig	anticipation	0.547
leisure	fritid	anticipation	0.547
probability	sannolikhet	anticipation	0.547
auction	auktion	anticipation	0.539
hunting	jakt	anticipation	0.539
contingent	kontingent	anticipation	0.539
hankering	längtan	anticipation	0.539
sensual	sensuell	anticipation	0.539
blessings	välsignelser	anticipation	0.539
ballot	valsedel	anticipation	0.539
grandchildren	barnbarn	anticipation	0.539
entertainment	underhållning	anticipation	0.539
vindication	rättfärdigande	anticipation	0.539
worrying	oroande	anticipation	0.539
tempest	storm	anticipation	0.539
inquiry	förfrågan	anticipation	0.539
merge	sammanfoga	anticipation	0.539
exceed	överstiga	anticipation	0.539
bounty	frikostighet	anticipation	0.539
glad	glad	anticipation	0.536
magnificent	magnifik	anticipation	0.531
feat	bedrift	anticipation	0.531
stealthy	smyg	anticipation	0.531
cheer	heja på	anticipation	0.531
spirits	sprit	anticipation	0.531
visitor	besökare	anticipation	0.531
appeal	överklagande	anticipation	0.531
forming	formning	anticipation	0.531
hurried	skyndade	anticipation	0.531
responsive	mottaglig	anticipation	0.531
virginity	oskuld	anticipation	0.531
deliverance	befrielse	anticipation	0.531
betrothed	trolovad	anticipation	0.531
overthrow	störta	anticipation	0.531
harbinger	förebud	anticipation	0.531
raving	yra	anticipation	0.531
celestial	himmelsk	anticipation	0.531
dread	fruktan	anticipation	0.531
germination	groning	anticipation	0.523
preparatory	förberedande	anticipation	0.523
pleasant	behaglig	anticipation	0.523
watch	Kolla på	anticipation	0.523
prophet	profet	anticipation	0.523
prognostic	prognostiska	anticipation	0.523
haste	brådska	anticipation	0.523
planning	planera	anticipation	0.523
importance	betydelse	anticipation	0.523
radiance	strålglans	anticipation	0.523
prevail	råda	anticipation	0.523
cheery	glad	anticipation	0.523
competition	konkurrens	anticipation	0.523
ultimately	i sista hand	anticipation	0.523
revive	återuppliva	anticipation	0.523
beaming	strålande	anticipation	0.523
wait	vänta	anticipation	0.523
child	barn	anticipation	0.523
notification	underrättelse	anticipation	0.523
hunter	jägare	anticipation	0.523
explosive	explosiv	anticipation	0.523
endanger	äventyra	anticipation	0.516
time	tid	anticipation	0.516
recreation	rekreation	anticipation	0.516
renovation	renovering	anticipation	0.516
precious	dyrbar	anticipation	0.516
begun	börjat	anticipation	0.516
loom	vävstol	anticipation	0.516
compensate	kompensera	anticipation	0.516
treat	behandla	anticipation	0.516
uncontrollable	okontrollerbar	anticipation	0.516
present	närvarande	anticipation	0.516
salary	lön	anticipation	0.516
celebrity	kändis	anticipation	0.516
owing	SOM SKALL BETALAS	anticipation	0.516
chocolate	choklad	anticipation	0.516
caution	varning	anticipation	0.516
fermentation	jäsning	anticipation	0.516
sensuality	sensualitet	anticipation	0.516
wilderness	vildmark	anticipation	0.508
signify	betyda	anticipation	0.508
transitional	övergångs	anticipation	0.508
intermission	paus	anticipation	0.508
contemplation	begrundande	anticipation	0.508
vigilance	vaksamhet	anticipation	0.508
commemoration	åminnelse	anticipation	0.508
practise	öva	anticipation	0.508
cue	kö	anticipation	0.508
infant	spädbarn	anticipation	0.508
dreadful	hemsk	anticipation	0.508
perfection	fulländning	anticipation	0.508
elevation	elevation	anticipation	0.508
prerequisite	nödvändig förutsättning	anticipation	0.508
cultivate	odla	anticipation	0.508
horizon	horisont	anticipation	0.508
develop	utveckla	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	simma	anticipation	0.500
attendance	närvaro	anticipation	0.500
nascent	uppkommande	anticipation	0.500
favorable	gynnsam	anticipation	0.500
peril	fara	anticipation	0.500
income	inkomst	anticipation	0.500
ardent	ivrig	anticipation	0.500
commemorate	fira	anticipation	0.500
doomsday	domedag	anticipation	0.500
reconciliation	försoning	anticipation	0.500
utopian	utopisk	anticipation	0.500
romantic	romantisk	anticipation	0.500
unbridled	ohämmad	anticipation	0.500
sunny	solig	anticipation	0.500
uphill	uppför	anticipation	0.500
intuitively	intuitivt	anticipation	0.500
depart	avvika	anticipation	0.500
eventuality	eventualitet	anticipation	0.500
puppy	valp	anticipation	0.500
zeal	iver	anticipation	0.500
sneaking	smygande	anticipation	0.500
ready	redo	anticipation	0.500
advocacy	försvar	anticipation	0.500
airport	flygplats	anticipation	0.500
litigate	processa	anticipation	0.500
blindfold	ögonbindel	anticipation	0.500
undisclosed	hemlig	anticipation	0.500
young	ung	anticipation	0.500
horoscope	horoskop	anticipation	0.500
invocation	åkallan	anticipation	0.500
calculation	beräkning	anticipation	0.500
hero	hjälte	anticipation	0.500
court	domstol	anticipation	0.492
repay	återbetala	anticipation	0.492
improvise	improvisera	anticipation	0.492
parole	villkorlig frigivning	anticipation	0.492
worry	oroa	anticipation	0.492
inauguration	invigning	anticipation	0.492
gaping	gapande	anticipation	0.492
youth	ungdom	anticipation	0.492
bless	välsigna	anticipation	0.492
defense	försvar	anticipation	0.492
heyday	glanstid	anticipation	0.492
consequent	följd	anticipation	0.492
proceeding	förfarande	anticipation	0.492
eventual	eventuell	anticipation	0.492
perspective	perspektiv	anticipation	0.492
restorative	stärkande	anticipation	0.492
undertaking	företag	anticipation	0.492
highest	högsta	anticipation	0.491
duel	duell	anticipation	0.484
unexplained	oförklarad	anticipation	0.484
tremor	darrning	anticipation	0.484
sharpen	skärpa	anticipation	0.484
generosity	generositet	anticipation	0.484
voluptuous	vällustig	anticipation	0.484
shortly	inom kort	anticipation	0.484
vow	svära	anticipation	0.484
contagion	smitta	anticipation	0.484
letter	brev	anticipation	0.484
happen	hända	anticipation	0.484
threaten	hota	anticipation	0.484
conjure	trolla	anticipation	0.484
sparkle	gnistra	anticipation	0.484
engulf	uppsluka	anticipation	0.484
god	Gud	anticipation	0.484
correspondence	korrespondens	anticipation	0.484
auspicious	gynnsam	anticipation	0.484
princely	furstlig	anticipation	0.484
adore	älska	anticipation	0.477
enroll	skriva in	anticipation	0.477
determinate	bestämma	anticipation	0.477
predispose	predisponera	anticipation	0.477
clue	ledtråd	anticipation	0.477
onset	början	anticipation	0.477
powerful	kraftfull	anticipation	0.477
glorify	förhärliga	anticipation	0.477
glow	glöd	anticipation	0.477
arbitration	skiljedom	anticipation	0.477
torture	tortyr	anticipation	0.477
gravitate	gravitera	anticipation	0.477
cherish	vårda	anticipation	0.477
contemplate	överväga	anticipation	0.477
submit	lämna	anticipation	0.477
perilous	farlig	anticipation	0.477
unification	enande	anticipation	0.477
score	Göra	anticipation	0.477
medal	medalj	anticipation	0.477
glide	glida	anticipation	0.477
recipient	mottagare	anticipation	0.477
accompaniment	ackompanjemang	anticipation	0.477
praiseworthy	beröm	anticipation	0.473
providing	tillhandahålla	anticipation	0.469
motion	rörelse	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	försiktig	anticipation	0.469
cash	kontanter	anticipation	0.469
precursor	prekursor	anticipation	0.469
opera	opera	anticipation	0.469
elite	elit	anticipation	0.469
pry	bända	anticipation	0.469
hire	hyra	anticipation	0.469
sweets	sötsaker	anticipation	0.469
star	stjärna	anticipation	0.469
unsurpassed	oöverträffad	anticipation	0.469
successful	framgångsrik	anticipation	0.469
unknown	okänd	anticipation	0.469
immediately	omedelbart	anticipation	0.469
starry	starry	anticipation	0.469
production	produktion	anticipation	0.469
football	fotboll	anticipation	0.469
completion	komplettering	anticipation	0.469
scare	skrämma	anticipation	0.469
invoke	åberopa	anticipation	0.469
shaky	skakig	anticipation	0.469
dawn	gryning	anticipation	0.469
creeping	krypande	anticipation	0.469
cheerfulness	gladlynthet	anticipation	0.461
soundness	soliditet	anticipation	0.461
mail	post	anticipation	0.461
draft	förslag	anticipation	0.461
preliminary	preliminära	anticipation	0.461
friendly	vänlig	anticipation	0.461
commemorative	minnes-	anticipation	0.461
extricate	befria	anticipation	0.461
alive	Levande	anticipation	0.461
untold	omätlig	anticipation	0.461
overture	uvertyr	anticipation	0.461
excel	excel	anticipation	0.461
plight	svår situation	anticipation	0.461
synchronize	synkronisera	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	fristad	anticipation	0.461
brilliant	lysande	anticipation	0.461
pay	betala	anticipation	0.461
shining	lysande	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	testamente	anticipation	0.461
jeopardy	Jeopardy	anticipation	0.461
perpetuity	evighet	anticipation	0.453
elegance	elegans	anticipation	0.453
career	karriär	anticipation	0.453
basketball	basketboll	anticipation	0.453
intimately	intimt	anticipation	0.453
renovate	renovera	anticipation	0.453
supremacy	överlägsenhet	anticipation	0.453
infinity	oändlighet	anticipation	0.453
unexpected	oväntat	anticipation	0.453
flinch	rygga tillbaka	anticipation	0.453
complement	komplement	anticipation	0.453
prologue	prolog	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	förebyggande	anticipation	0.453
improve	förbättra	anticipation	0.453
sunset	solnedgång	anticipation	0.453
inaugural	öppnings-	anticipation	0.453
rehabilitation	rehabilitering	anticipation	0.453
fitting	passande	anticipation	0.445
surround	omge	anticipation	0.445
share	dela med sig	anticipation	0.445
epidemic	epidemi	anticipation	0.445
sweet	ljuv	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	döljande	anticipation	0.445
confidence	förtroende	anticipation	0.445
perfect	perfekt	anticipation	0.445
sun	Sol	anticipation	0.445
veracity	sanningshalten	anticipation	0.445
volunteer	volontär-	anticipation	0.445
conjecture	gissa	anticipation	0.445
medical	medicinsk	anticipation	0.438
prepared	beredd	anticipation	0.438
superstitious	vidskeplig	anticipation	0.438
reconstruction	rekonstruktion	anticipation	0.438
tickle	kittla	anticipation	0.438
faith	tro	anticipation	0.438
passenger	passagerare	anticipation	0.438
saint	helgon	anticipation	0.438
respect	respekt	anticipation	0.438
rabid	fanatisk	anticipation	0.438
reconstruct	rekonstruera	anticipation	0.438
recombination	rekombination	anticipation	0.438
devout	from	anticipation	0.438
goodness	godhet	anticipation	0.438
angel	ängel	anticipation	0.438
ferment	jäsa	anticipation	0.438
plea	grunden	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	serie-	anticipation	0.438
conservation	bevarande	anticipation	0.438
serenity	lugn	anticipation	0.430
tabulate	tabulera	anticipation	0.430
install	Installera	anticipation	0.430
labyrinth	labyrint	anticipation	0.430
venerable	ärevördig	anticipation	0.430
perpetuate	vidmakthålla	anticipation	0.430
strategist	strateg	anticipation	0.430
unverified	obekräftad	anticipation	0.430
tribunal	domstol	anticipation	0.430
charitable	välgörande	anticipation	0.430
luscious	läcker	anticipation	0.430
spa	spa	anticipation	0.430
peace	fred	anticipation	0.430
clap	klappa	anticipation	0.430
conspirator	konspiratör	anticipation	0.422
forestall	förebygga	anticipation	0.422
patience	tålamod	anticipation	0.422
oasis	oas	anticipation	0.422
grin	flin	anticipation	0.422
revere	vörda	anticipation	0.422
worship	dyrkan	anticipation	0.422
vista	perspektiv	anticipation	0.422
laughter	skratt	anticipation	0.422
volatility	flyktighet	anticipation	0.422
adrift	på drift	anticipation	0.422
candid	uppriktig	anticipation	0.422
edification	uppbyggelse	anticipation	0.422
unresolved	olöst	anticipation	0.422
peaceful	fredlig	anticipation	0.422
recognizable	igenkännlig	anticipation	0.422
calls	samtal	anticipation	0.414
weigh	väga	anticipation	0.414
probation	villkorlig dom	anticipation	0.414
proficiency	skicklighet	anticipation	0.414
morn	morgon	anticipation	0.414
craps	craps	anticipation	0.414
detainee	fånge	anticipation	0.414
mediate	medla	anticipation	0.414
continue	Fortsätta	anticipation	0.414
astrologer	astrolog	anticipation	0.414
punctual	punktlig	anticipation	0.414
ordination	prästvigning	anticipation	0.414
pretty	Söt	anticipation	0.414
thought	trodde	anticipation	0.414
grant	bevilja	anticipation	0.414
withstand	motstå	anticipation	0.414
frisky	yster	anticipation	0.414
ongoing	pågående	anticipation	0.414
sing	sjunga	anticipation	0.411
long	lång	anticipation	0.406
confession	bekännelse	anticipation	0.406
headlight	strålkastare	anticipation	0.406
prophylactic	profylaktisk	anticipation	0.406
mother	mor	anticipation	0.406
debenture	förlags	anticipation	0.406
wizard	trollkarl	anticipation	0.406
university	universitet	anticipation	0.406
proud	stolt	anticipation	0.406
midwife	barnmorska	anticipation	0.406
banquet	bankett	anticipation	0.406
continuation	fortsättning	anticipation	0.406
navigable	farbar	anticipation	0.406
punished	straffad	anticipation	0.406
chicane	chikan	anticipation	0.406
comfort	bekvämlighet	anticipation	0.406
opponent	motståndare	anticipation	0.406
subscribe	prenumerera	anticipation	0.406
outdo	bräcka	anticipation	0.406
nurture	uppfostran	anticipation	0.406
twinkle	tindra	anticipation	0.406
deal	handla	anticipation	0.402
efficient	effektiv	anticipation	0.398
representing	representerar	anticipation	0.398
simmer	sjuda	anticipation	0.398
symphony	symfoni	anticipation	0.398
judiciary	dömande	anticipation	0.398
obliging	tvinga	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	vaka	anticipation	0.398
death	död	anticipation	0.398
distracting	distraherande	anticipation	0.398
mortification	förödmjukelse	anticipation	0.398
balm	balsam	anticipation	0.398
guillotine	giljotin	anticipation	0.398
top	topp	anticipation	0.398
lettered	lettered	anticipation	0.398
reliance	beroende	anticipation	0.398
poke	peta	anticipation	0.391
unfulfilled	ouppfylld	anticipation	0.391
assurance	försäkran	anticipation	0.391
condemnation	fördömelse	anticipation	0.391
undoubted	obestridlig	anticipation	0.391
diplomacy	diplomati	anticipation	0.391
familiarity	förtrogenhet	anticipation	0.391
antidote	motgift	anticipation	0.391
chuckle	skrocka	anticipation	0.391
objective	mål	anticipation	0.391
maternal	moderlig	anticipation	0.391
abeyance	vilande	anticipation	0.391
art	konst	anticipation	0.391
linger	dröja kvar	anticipation	0.391
trust	förtroende	anticipation	0.391
depraved	depraverad	anticipation	0.391
sanctify	helga	anticipation	0.391
inoculation	ympning	anticipation	0.384
chant	sång	anticipation	0.383
banger	skorv	anticipation	0.383
playground	lekplats	anticipation	0.383
failing	brist	anticipation	0.383
ship	fartyg	anticipation	0.383
hymn	psalm	anticipation	0.383
simplify	förenkla	anticipation	0.383
ram	Bagge	anticipation	0.383
labor	arbetskraft	anticipation	0.383
discretion	diskretion	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	Bra	anticipation	0.383
scientist	forskare	anticipation	0.383
undecided	obeslutsam	anticipation	0.383
humanitarian	humanitär	anticipation	0.383
depend	bero	anticipation	0.383
dutiful	lydig	anticipation	0.383
clock	klocka	anticipation	0.375
sterling	sterling-	anticipation	0.375
mountain	Berg	anticipation	0.375
savor	njuta av	anticipation	0.375
recurrent	återkommande	anticipation	0.375
interim	tillfällig	anticipation	0.375
navigator	navigatör	anticipation	0.375
gradual	gradvis	anticipation	0.375
interminable	oändlig	anticipation	0.375
track	Spår	anticipation	0.375
public	offentlig	anticipation	0.375
cradle	vagga	anticipation	0.375
concealed	dold	anticipation	0.367
lesson	lektion	anticipation	0.367
instructions	instruktioner	anticipation	0.367
shiver	darrning	anticipation	0.367
musical	musikalisk	anticipation	0.367
towering	tornar	anticipation	0.367
whim	infall	anticipation	0.367
spear	spjut	anticipation	0.367
convince	övertyga	anticipation	0.367
sonar	ekolod	anticipation	0.367
abide	vistas	anticipation	0.367
biennial	tvåårig	anticipation	0.367
theology	teologi	anticipation	0.359
offset	offset	anticipation	0.359
atone	sona	anticipation	0.359
timidity	skygghet	anticipation	0.359
theory	teori	anticipation	0.359
undying	odödlig	anticipation	0.359
plump	knubbig	anticipation	0.359
audience	publik	anticipation	0.357
nobility	adel	anticipation	0.352
paragon	förebild	anticipation	0.352
dietary	diet-	anticipation	0.352
closure	stängning	anticipation	0.352
store	Lagra	anticipation	0.352
localize	lokalisera	anticipation	0.352
cramp	kramp	anticipation	0.352
daily	dagligen	anticipation	0.352
kindred	släkt	anticipation	0.352
farm	odla	anticipation	0.352
edition	utgåva	anticipation	0.352
consecration	invigning	anticipation	0.352
archaeology	arkeologi	anticipation	0.344
mobile	mobil	anticipation	0.344
errand	ärende	anticipation	0.344
wireless	trådlös	anticipation	0.344
mutable	föränderlig	anticipation	0.344
meditate	meditera	anticipation	0.344
stripped	avskalade	anticipation	0.344
lessen	minska	anticipation	0.336
unaccountable	oansvarig	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	broderlig	anticipation	0.336
buddy	kompis	anticipation	0.336
unbeaten	obesegrad	anticipation	0.336
germ	bakterie	anticipation	0.336
dove	duva	anticipation	0.328
digress	avvika	anticipation	0.328
ribbon	band	anticipation	0.328
olfactory	lukt-	anticipation	0.328
patient	patient	anticipation	0.328
council	råd	anticipation	0.328
possess	besitter	anticipation	0.328
secular	sekulär	anticipation	0.328
chastity	kyskhet	anticipation	0.328
disposed	anordnad	anticipation	0.320
regularity	korrekthet	anticipation	0.320
mediator	medlare	anticipation	0.320
scrutinize	granska	anticipation	0.320
fancy	fint	anticipation	0.320
immature	omogen	anticipation	0.320
infanticide	barnamord	anticipation	0.320
heft	heft	anticipation	0.320
preservative	konserveringsmedel	anticipation	0.320
paddle	paddla	anticipation	0.320
cove	cove	anticipation	0.320
denying	förneka	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	opublicerad	anticipation	0.312
analyst	analytiker	anticipation	0.312
grim	bister	anticipation	0.312
church	kyrka	anticipation	0.312
priesthood	prästadömet	anticipation	0.305
mill	kvarn	anticipation	0.305
judicial	rättslig	anticipation	0.305
broadside	bredsida	anticipation	0.305
tributary	biflod	anticipation	0.297
cap	keps	anticipation	0.297
thermocouple	termoelement	anticipation	0.297
dismay	bestörtning	anticipation	0.297
instructor	instruktör	anticipation	0.297
saliva	saliv	anticipation	0.297
exhaustion	utmattning	anticipation	0.297
bruise	blåmärke	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	hemlös	anticipation	0.289
visor	visir	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	nätverk	anticipation	0.289
shackle	schackel	anticipation	0.289
addresses	adresser	anticipation	0.289
noncompliance	noncompliance	anticipation	0.289
cataract	grå starr	anticipation	0.289
skewed	skev	anticipation	0.281
astronomer	astronom	anticipation	0.281
neighbor	granne	anticipation	0.281
holiness	helighet	anticipation	0.273
devil	jäkel	anticipation	0.273
cream	grädde	anticipation	0.273
picket	postering	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	omogenhet	anticipation	0.273
sentence	mening	anticipation	0.273
neighborhood	grannskap	anticipation	0.266
morals	moral	anticipation	0.266
lull	stiltje	anticipation	0.266
habitual	vanlig	anticipation	0.266
weight	vikt	anticipation	0.258
bye	adjö	anticipation	0.258
forearm	underarm	anticipation	0.250
clown	clown	anticipation	0.250
organ	organ	anticipation	0.250
quote	Citat	anticipation	0.242
commonplace	alldaglig	anticipation	0.242
dictatorship	diktatur	anticipation	0.234
board	styrelse	anticipation	0.234
white	vit	anticipation	0.234
treadmill	löpband	anticipation	0.234
rail	järnväg	anticipation	0.234
sundial	solur	anticipation	0.227
tree	träd	anticipation	0.227
paralysis	förlamning	anticipation	0.211
worm	mask	anticipation	0.203
organization	organisation	anticipation	0.203
cement	cement	anticipation	0.203
lagging	eftersläpande	anticipation	0.180
neutral	neutral	anticipation	0.148
cannibalism	kannibalism	disgust	0.953
mutilation	stympning	disgust	0.930
molestation	ofredande	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	våldta	disgust	0.906
cannibal	kannibal	disgust	0.898
rot	ruttna	disgust	0.891
corpse	lik	disgust	0.883
massacre	massaker	disgust	0.883
excrement	träck	disgust	0.883
slaughter	slakt	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	slakteri	disgust	0.867
rancid	härsken	disgust	0.859
sewerage	avloppsnät	disgust	0.859
incestuous	incestuös	disgust	0.859
filth	smuts	disgust	0.859
bigot	trångsynt	disgust	0.859
infestation	angrepp	disgust	0.852
plague	plåga	disgust	0.852
bloodthirsty	blodtörstig	disgust	0.852
holocaust	förintelse	disgust	0.852
rotting	rötning	disgust	0.844
maggot	mask	disgust	0.844
feces	avföring	disgust	0.844
fecal	fekal	disgust	0.844
murder	mörda	disgust	0.839
infanticide	barnamord	disgust	0.836
homicide	dråp	disgust	0.836
asshole	idiot	disgust	0.836
enslaved	enslaved	disgust	0.836
gore	levrat blod	disgust	0.828
perverted	pervers	disgust	0.828
torture	tortyr	disgust	0.828
slaughtering	slakt	disgust	0.828
excretion	exkretion	disgust	0.828
contaminate	förorena	disgust	0.821
murderer	mördare	disgust	0.820
gory	blodig	disgust	0.820
repugnant	motbjudande	disgust	0.820
desecration	vanhelgande	disgust	0.820
grotesque	grotesk	disgust	0.820
revolting	upprörande	disgust	0.820
diarrhoea	diarre	disgust	0.820
manure	gödsel	disgust	0.820
terrorist	terrorist	disgust	0.820
shit	Skit	disgust	0.820
pervert	pervers	disgust	0.820
slavery	slaveri	disgust	0.812
faeces	avföring	disgust	0.812
sewer	avlopp	disgust	0.812
vomit	kräkas	disgust	0.812
manslaughter	dråp	disgust	0.812
dismemberment	stympningen	disgust	0.812
cadaver	kadaver	disgust	0.812
hemorrhage	blödning	disgust	0.805
repulsive	motbjudande	disgust	0.805
perverse	pervers	disgust	0.805
filthy	snuskig	disgust	0.797
sewage	avlopp	disgust	0.797
depravity	sedefördärv	disgust	0.797
diseased	sjuklig	disgust	0.797
carcass	kadaver	disgust	0.795
decompose	bryta ned	disgust	0.789
vermin	skadedjur	disgust	0.789
puke	spy	disgust	0.789
parasite	parasit	disgust	0.789
horrific	fruktansvärda	disgust	0.789
gruesome	hemsk	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	stympade	disgust	0.789
murderous	mördande	disgust	0.789
decayed	förfallen	disgust	0.789
herpes	herpes	disgust	0.789
slime	slem	disgust	0.781
flatulence	flatulens	disgust	0.781
monstrosity	monster	disgust	0.781
carnage	blodbad	disgust	0.781
pestilence	pest	disgust	0.781
malaria	malaria	disgust	0.781
crap	skit	disgust	0.781
toxic	toxisk	disgust	0.773
loathsome	avskyvärd	disgust	0.773
insidious	smygande	disgust	0.773
leprosy	spetälska	disgust	0.773
morgue	bårhus	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	hora	disgust	0.766
cruel	grym	disgust	0.766
repugnance	avsky	disgust	0.766
revulsion	motvilja	disgust	0.766
xenophobia	främlingshat	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	mjältbrand	disgust	0.766
lynch	lyncha	disgust	0.766
dissection	dissektion	disgust	0.759
canker	kräfta	disgust	0.758
cruelty	grymhet	disgust	0.758
perversion	förvrängning	disgust	0.758
evil	ondska	disgust	0.758
slum	slum	disgust	0.758
infectious	infektiös	disgust	0.758
mucous	slem-	disgust	0.758
phlegm	slem	disgust	0.758
leeches	blodiglar	disgust	0.750
decomposition	sönderfall	disgust	0.750
sinister	olycksbådande	disgust	0.750
corrupting	korrumperande	disgust	0.750
demon	demon	disgust	0.742
stinking	stinkande	disgust	0.742
septic	septisk	disgust	0.742
deranged	rubbad	disgust	0.742
bile	galla	disgust	0.742
soiled	smutsad	disgust	0.742
mucus	slem	disgust	0.742
abhorrence	avsky	disgust	0.742
abomination	avsky	disgust	0.742
sickening	kväljande	disgust	0.742
demonic	demonisk	disgust	0.742
foul	ojust spel	disgust	0.734
obese	fet	disgust	0.734
sicken	äcklas	disgust	0.734
degeneracy	degeneration	disgust	0.734
crucifixion	crucifixion	disgust	0.734
despicable	föraktlig	disgust	0.734
cancer	cancer	disgust	0.734
atrocity	illdåd	disgust	0.734
terrorism	terrorism	disgust	0.734
dirty	smutsig	disgust	0.727
dysentery	dysenteri	disgust	0.727
adultery	otrohet	disgust	0.727
contamination	förorening	disgust	0.727
bacterium	bakterie	disgust	0.727
diabolical	djävulsk	disgust	0.727
morbidity	sjuklighet	disgust	0.727
grisly	hemsk	disgust	0.727
repulsion	repulsion	disgust	0.727
enema	lavemang	disgust	0.727
contagion	smitta	disgust	0.719
disfigured	vanställd	disgust	0.719
muck	mocka	disgust	0.719
lewd	oanständig	disgust	0.719
garbage	sopor	disgust	0.719
autopsy	obduktion	disgust	0.719
bowels	tarmar	disgust	0.719
gross	brutto	disgust	0.719
vulgar	vulgär	disgust	0.719
barbaric	barba	disgust	0.719
disgust	avsky	disgust	0.719
vicious	ond	disgust	0.719
entrails	inälvor	disgust	0.719
deterioration	försämring	disgust	0.719
pungent	skarp	disgust	0.719
bloodshed	blodsutgjutelse	disgust	0.714
violent	våldsam	disgust	0.711
tyrant	tyrann	disgust	0.711
poisoned	förgiftad	disgust	0.711
pollute	förorena	disgust	0.711
wretched	usel	disgust	0.711
nausea	illamående	disgust	0.711
mortification	förödmjukelse	disgust	0.711
gag	gag	disgust	0.711
vulgarity	vulgaritet	disgust	0.703
disgusting	äcklig	disgust	0.703
grope	famla	disgust	0.703
slut	slampa	disgust	0.703
poisoning	förgiftning	disgust	0.703
depraved	depraverad	disgust	0.703
noxious	skadlig	disgust	0.703
porn	porr	disgust	0.703
nasty	otäck	disgust	0.703
slimy	slemmig	disgust	0.703
despotism	despotism	disgust	0.703
nauseate	äckla	disgust	0.703
secretion	utsöndring	disgust	0.703
constipation	förstoppning	disgust	0.703
hateful	förhatlig	disgust	0.703
grime	smuts	disgust	0.703
measles	mässling	disgust	0.696
contagious	smittosam	disgust	0.695
hellish	helvetisk	disgust	0.695
waste	avfall	disgust	0.695
suicidal	suicidal	disgust	0.695
abuse	missbruk	disgust	0.695
hate	hata	disgust	0.695
wretch	usling	disgust	0.695
intestinal	tarm-	disgust	0.695
wart	vårta	disgust	0.695
obesity	fetma	disgust	0.695
scum	avskum	disgust	0.695
contaminated	förorenade	disgust	0.688
disease	sjukdom	disgust	0.688
rabid	fanatisk	disgust	0.688
ooze	sippra	disgust	0.688
treason	förräderi	disgust	0.688
heartworm	hjärtmask	disgust	0.688
smut	smut	disgust	0.688
cholera	kolera	disgust	0.680
deformed	deformerad	disgust	0.680
detest	avsky	disgust	0.680
bestial	bestialisk	disgust	0.680
sickness	sjukdom	disgust	0.680
antichrist	antikrist	disgust	0.680
abhorrent	motbjudande	disgust	0.680
soulless	själlös	disgust	0.680
freakish	underlig	disgust	0.680
grimy	grimy	disgust	0.680
hatred	hat	disgust	0.680
pollution	förorening	disgust	0.680
germ	bakterie	disgust	0.680
abominate	hata	disgust	0.680
hell	Helvete	disgust	0.680
dilapidated	förfallen	disgust	0.672
