word	Japanese-ja	emotion	emotion-intensity-score
conservation	保全	anticipation	0.438
serenity	静寂	anticipation	0.430
tabulate	表	anticipation	0.430
install	インストール	anticipation	0.430
labyrinth	ラビリンス	anticipation	0.430
venerable	由緒ある	anticipation	0.430
perpetuate	永続する	anticipation	0.430
strategist	ストラテジスト	anticipation	0.430
unverified	未確認の	anticipation	0.430
tribunal	裁判所	anticipation	0.430
charitable	慈善団体	anticipation	0.430
luscious	甘美な	anticipation	0.430
spa	スパ	anticipation	0.430
peace	平和	anticipation	0.430
clap	拍手する	anticipation	0.430
conspirator	共謀者	anticipation	0.422
forestall	守る	anticipation	0.422
patience	忍耐	anticipation	0.422
oasis	オアシス	anticipation	0.422
grin	微笑む	anticipation	0.422
revere	敬老	anticipation	0.422
worship	崇拝	anticipation	0.422
vista	ビスタ	anticipation	0.422
laughter	笑い	anticipation	0.422
volatility	ボラティリティ	anticipation	0.422
adrift	漂流する	anticipation	0.422
candid	率直	anticipation	0.422
edification	啓発	anticipation	0.422
unresolved	未解決	anticipation	0.422
peaceful	平和な	anticipation	0.422
recognizable	認識可能な	anticipation	0.422
calls	コール	anticipation	0.414
weigh	体重を計る	anticipation	0.414
probation	保護観察	anticipation	0.414
proficiency	熟練	anticipation	0.414
morn	朝	anticipation	0.414
craps	クラップス	anticipation	0.414
detainee	抑留者	anticipation	0.414
mediate	仲介する	anticipation	0.414
continue	持続する	anticipation	0.414
astrologer	占星術師	anticipation	0.414
punctual	定時の	anticipation	0.414
ordination	奉仕	anticipation	0.414
pretty	かなり	anticipation	0.414
thought	思想	anticipation	0.414
grant	付与	anticipation	0.414
withstand	耐える	anticipation	0.414
frisky	激しい	anticipation	0.414
ongoing	進行中の	anticipation	0.414
sing	歌う	anticipation	0.411
long	長いです	anticipation	0.406
confession	告白	anticipation	0.406
headlight	ヘッドライト	anticipation	0.406
prophylactic	予防的	anticipation	0.406
mother	母	anticipation	0.406
debenture	債券	anticipation	0.406
wizard	ウィザード	anticipation	0.406
university	大学	anticipation	0.406
proud	誇りに思う	anticipation	0.406
midwife	助産婦	anticipation	0.406
banquet	バンケット	anticipation	0.406
continuation	継続	anticipation	0.406
navigable	ナビゲート可能な	anticipation	0.406
punished	処罰された	anticipation	0.406
chicane	シケイン	anticipation	0.406
comfort	快適	anticipation	0.406
opponent	相手	anticipation	0.406
subscribe	申し込む	anticipation	0.406
outdo	アウトドア	anticipation	0.406
nurture	育成	anticipation	0.406
twinkle	つぶやく	anticipation	0.406
deal	対処	anticipation	0.402
efficient	効率的な	anticipation	0.398
representing	代理人	anticipation	0.398
simmer	煮る	anticipation	0.398
symphony	交響曲	anticipation	0.398
judiciary	司法	anticipation	0.398
obliging	義務づける	anticipation	0.398
saintly	聖人	anticipation	0.398
vigil	徹夜	anticipation	0.398
death	死	anticipation	0.398
distracting	気を散らす	anticipation	0.398
mortification	苦行	anticipation	0.398
balm	香ばしい	anticipation	0.398
guillotine	ギロチン	anticipation	0.398
top	上	anticipation	0.398
lettered	文字通り	anticipation	0.398
reliance	依存	anticipation	0.398
poke	ポーク	anticipation	0.391
unfulfilled	満たされていない	anticipation	0.391
assurance	保証	anticipation	0.391
condemnation	非難	anticipation	0.391
undoubted	疑いのない	anticipation	0.391
diplomacy	外交	anticipation	0.391
familiarity	親しみやすさ	anticipation	0.391
antidote	解毒剤	anticipation	0.391
chuckle	含み笑い	anticipation	0.391
objective	目的	anticipation	0.391
maternal	母性	anticipation	0.391
abeyance	停止	anticipation	0.391
art	アート	anticipation	0.391
linger	残忍な	anticipation	0.391
trust	信頼	anticipation	0.391
depraved	堕落した	anticipation	0.391
sanctify	神聖化する	anticipation	0.391
inoculation	接種	anticipation	0.384
chant	聖歌	anticipation	0.383
banger	バンガー	anticipation	0.383
playground	遊び場	anticipation	0.383
failing	失敗する	anticipation	0.383
ship	船	anticipation	0.383
hymn	賛美歌	anticipation	0.383
simplify	簡略化する	anticipation	0.383
ram	RAM	anticipation	0.383
labor	労働	anticipation	0.383
discretion	裁量	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	良い	anticipation	0.383
scientist	科学者	anticipation	0.383
undecided	未定	anticipation	0.383
humanitarian	人道的な	anticipation	0.383
depend	依存する	anticipation	0.383
dutiful	忠実な	anticipation	0.383
clock	クロック	anticipation	0.375
sterling	スターリング	anticipation	0.375
mountain	山	anticipation	0.375
savor	味わう	anticipation	0.375
recurrent	再発する	anticipation	0.375
interim	暫定	anticipation	0.375
navigator	ナビゲータ	anticipation	0.375
gradual	徐々に	anticipation	0.375
interminable	断続的な	anticipation	0.375
track	トラック	anticipation	0.375
public	パブリック	anticipation	0.375
cradle	受け台	anticipation	0.375
concealed	隠蔽された	anticipation	0.367
lesson	レッスン	anticipation	0.367
instructions	指示	anticipation	0.367
shiver	震える	anticipation	0.367
musical	ミュージカル	anticipation	0.367
towering	優しく	anticipation	0.367
whim	気まずい	anticipation	0.367
spear	槍	anticipation	0.367
convince	説得する	anticipation	0.367
sonar	ソナー	anticipation	0.367
abide	〜に従う	anticipation	0.367
biennial	二年ごと	anticipation	0.367
theology	神学	anticipation	0.359
offset	オフセット	anticipation	0.359
atone	償う	anticipation	0.359
timidity	臆病	anticipation	0.359
theory	理論	anticipation	0.359
undying	不滅	anticipation	0.359
plump	ふっくら	anticipation	0.359
audience	聴衆	anticipation	0.357
nobility	貴族	anticipation	0.352
paragon	パラゴン	anticipation	0.352
dietary	食物	anticipation	0.352
closure	閉鎖	anticipation	0.352
store	格納	anticipation	0.352
localize	ローカライズする	anticipation	0.352
cramp	けいれん	anticipation	0.352
daily	毎日	anticipation	0.352
kindred	同族	anticipation	0.352
farm	ファーム	anticipation	0.352
edition	版	anticipation	0.352
consecration	奉献	anticipation	0.352
archaeology	考古学	anticipation	0.344
mobile	モバイル	anticipation	0.344
errand	使い	anticipation	0.344
wireless	無線	anticipation	0.344
mutable	変更可能な	anticipation	0.344
meditate	瞑想する	anticipation	0.344
stripped	ストリップされた	anticipation	0.344
lessen	軽減する	anticipation	0.336
unaccountable	説明できない	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	兄弟	anticipation	0.336
buddy	バディ	anticipation	0.336
unbeaten	無敗	anticipation	0.336
germ	胚芽	anticipation	0.336
dove	鳩	anticipation	0.328
digress	脱走	anticipation	0.328
ribbon	リボン	anticipation	0.328
olfactory	嗅覚	anticipation	0.328
patient	患者	anticipation	0.328
council	評議会	anticipation	0.328
possess	所有する	anticipation	0.328
secular	世俗的な	anticipation	0.328
chastity	貞操	anticipation	0.328
disposed	処分する	anticipation	0.320
regularity	規則性	anticipation	0.320
mediator	メディエーター	anticipation	0.320
scrutinize	吟味する	anticipation	0.320
fancy	ファンシー	anticipation	0.320
immature	未熟	anticipation	0.320
infanticide	幼児期	anticipation	0.320
heft	体重	anticipation	0.320
preservative	防腐剤	anticipation	0.320
paddle	パドル	anticipation	0.320
cove	入り江	anticipation	0.320
denying	否定する	anticipation	0.312
bugle	バグル	anticipation	0.312
unpublished	未発表	anticipation	0.312
analyst	アナリスト	anticipation	0.312
grim	恐るべき	anticipation	0.312
church	教会	anticipation	0.312
priesthood	神権	anticipation	0.305
mill	ミル	anticipation	0.305
judicial	司法	anticipation	0.305
broadside	広大な側面	anticipation	0.305
tributary	支流	anticipation	0.297
cap	キャップ	anticipation	0.297
thermocouple	熱電対	anticipation	0.297
dismay	うんざりする	anticipation	0.297
instructor	インストラクター	anticipation	0.297
saliva	唾液	anticipation	0.297
exhaustion	疲労	anticipation	0.297
bruise	打撲傷	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	ホームレス	anticipation	0.289
visor	バイザー	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	ネットワーク	anticipation	0.289
shackle	足かせ	anticipation	0.289
addresses	アドレス	anticipation	0.289
noncompliance	違反	anticipation	0.289
cataract	白内障	anticipation	0.289
skewed	歪んだ	anticipation	0.281
astronomer	天文学者	anticipation	0.281
neighbor	隣人	anticipation	0.281
holiness	聖なる	anticipation	0.273
devil	悪魔	anticipation	0.273
cream	クリーム	anticipation	0.273
picket	ピケット	anticipation	0.273
latent	潜在	anticipation	0.273
immaturity	未熟	anticipation	0.273
sentence	文	anticipation	0.273
neighborhood	ご近所	anticipation	0.266
morals	道徳	anticipation	0.266
lull	ゆるす	anticipation	0.266
habitual	習慣的な	anticipation	0.266
weight	重量	anticipation	0.258
bye	バイ	anticipation	0.258
forearm	前腕部	anticipation	0.250
clown	ピエロ	anticipation	0.250
organ	器官	anticipation	0.250
quote	見積もり	anticipation	0.242
commonplace	普段の	anticipation	0.242
dictatorship	独裁	anticipation	0.234
board	ボード	anticipation	0.234
white	白	anticipation	0.234
treadmill	トレッドミル	anticipation	0.234
rail	レール	anticipation	0.234
sundial	日時計	anticipation	0.227
tree	木	anticipation	0.227
paralysis	麻痺	anticipation	0.211
worm	ワーム	anticipation	0.203
organization	組織	anticipation	0.203
cement	セメント	anticipation	0.203
lagging	遅れ	anticipation	0.180
neutral	中性	anticipation	0.148
cannibalism	共食い	disgust	0.953
mutilation	切除	disgust	0.930
molestation	虐待	disgust	0.914
incest	近親相姦	disgust	0.914
gonorrhea	淋病	disgust	0.906
rape	レイプ	disgust	0.906
cannibal	食堂	disgust	0.898
rot	腐敗	disgust	0.891
corpse	死体	disgust	0.883
massacre	虐殺	disgust	0.883
excrement	排泄物	disgust	0.883
slaughter	虐殺	disgust	0.875
barf	バーフ	disgust	0.875
slaughterhouse	屠殺場	disgust	0.867
rancid	嫌な	disgust	0.859
sewerage	下水	disgust	0.859
incestuous	近親相姦	disgust	0.859
filth	汚物	disgust	0.859
bigot	ぞんざい	disgust	0.859
infestation	侵入	disgust	0.852
plague	ペスト	disgust	0.852
bloodthirsty	血まみれの	disgust	0.852
holocaust	ホロコースト	disgust	0.852
rotting	腐っている	disgust	0.844
maggot	疥癬	disgust	0.844
feces	糞便	disgust	0.844
fecal	糞便	disgust	0.844
murder	殺人	disgust	0.839
infanticide	幼児期	disgust	0.836
homicide	殺人	disgust	0.836
asshole	下衆野郎	disgust	0.836
enslaved	奴隷にされた	disgust	0.836
gore	ゴア	disgust	0.828
perverted	堕ちた	disgust	0.828
torture	拷問	disgust	0.828
slaughtering	屠殺	disgust	0.828
excretion	排泄	disgust	0.828
contaminate	汚染する	disgust	0.821
murderer	殺人犯	disgust	0.820
gory	深刻な	disgust	0.820
repugnant	嫌な	disgust	0.820
desecration	冒涜	disgust	0.820
grotesque	グロテスク	disgust	0.820
revolting	反乱	disgust	0.820
diarrhoea	下痢	disgust	0.820
manure	肥料	disgust	0.820
terrorist	テロリスト	disgust	0.820
shit	たわごと	disgust	0.820
pervert	変態	disgust	0.820
slavery	奴隷	disgust	0.812
faeces	糞便	disgust	0.812
sewer	下水道	disgust	0.812
vomit	吐き気	disgust	0.812
manslaughter	殺害	disgust	0.812
dismemberment	断頭	disgust	0.812
cadaver	死体	disgust	0.812
hemorrhage	出血	disgust	0.805
repulsive	反発的な	disgust	0.805
perverse	勘違いする	disgust	0.805
filthy	汚い	disgust	0.797
sewage	下水	disgust	0.797
depravity	堕落	disgust	0.797
diseased	病気の	disgust	0.797
carcass	カーカス	disgust	0.795
decompose	分解する	disgust	0.789
vermin	害虫	disgust	0.789
puke	ポケ	disgust	0.789
parasite	寄生虫	disgust	0.789
horrific	恐ろしい	disgust	0.789
gruesome	ぞっとする	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	切り裂かれた	disgust	0.789
murderous	殺人的な	disgust	0.789
decayed	腐った	disgust	0.789
herpes	ヘルペス	disgust	0.789
slime	スライム	disgust	0.781
flatulence	鼓腸	disgust	0.781
monstrosity	怪物	disgust	0.781
carnage	大虐殺	disgust	0.781
pestilence	疫病	disgust	0.781
malaria	マラリア	disgust	0.781
crap	ひどい	disgust	0.781
toxic	毒性	disgust	0.773
loathsome	嫌な	disgust	0.773
insidious	陰気な	disgust	0.773
leprosy	ハンセン病	disgust	0.773
morgue	死体安置所	disgust	0.773
pus	膿	disgust	0.773
herpesvirus	ヘルペスウイルス	disgust	0.773
whore	売春婦	disgust	0.766
cruel	残酷な	disgust	0.766
repugnance	嫌悪	disgust	0.766
revulsion	嫌悪	disgust	0.766
xenophobia	異端恐怖症	disgust	0.766
regurgitation	逆流	disgust	0.766
anthrax	炭疽	disgust	0.766
lynch	リンチ	disgust	0.766
dissection	切開	disgust	0.759
canker	潰瘍	disgust	0.758
cruelty	残酷	disgust	0.758
perversion	倒錯	disgust	0.758
evil	悪の	disgust	0.758
slum	スラム	disgust	0.758
infectious	感染性の	disgust	0.758
mucous	粘液	disgust	0.758
phlegm	痰	disgust	0.758
leeches	ヒルズ	disgust	0.750
decomposition	分解	disgust	0.750
sinister	不吉な	disgust	0.750
corrupting	腐敗する	disgust	0.750
demon	悪魔	disgust	0.742
stinking	臭い	disgust	0.742
septic	敗血症	disgust	0.742
deranged	混乱した	disgust	0.742
bile	胆汁	disgust	0.742
soiled	汚れた	disgust	0.742
mucus	粘液	disgust	0.742
abhorrence	憎悪	disgust	0.742
abomination	嫌悪	disgust	0.742
sickening	嫌な	disgust	0.742
demonic	悪魔的な	disgust	0.742
foul	ファウル	disgust	0.734
obese	肥満	disgust	0.734
sicken	鶏	disgust	0.734
degeneracy	縮退	disgust	0.734
crucifixion	十字架	disgust	0.734
despicable	卑劣な	disgust	0.734
cancer	癌	disgust	0.734
atrocity	残虐行為	disgust	0.734
terrorism	テロ	disgust	0.734
dirty	汚れた	disgust	0.727
dysentery	赤痢	disgust	0.727
adultery	姦通	disgust	0.727
contamination	汚染	disgust	0.727
bacterium	細菌	disgust	0.727
diabolical	悪魔的な	disgust	0.727
morbidity	罹患率	disgust	0.727
grisly	激しく	disgust	0.727
repulsion	反発	disgust	0.727
enema	浣腸	disgust	0.727
contagion	伝染	disgust	0.719
disfigured	醜い	disgust	0.719
muck	ムック	disgust	0.719
lewd	うそつき	disgust	0.719
garbage	ゴミ	disgust	0.719
autopsy	剖検	disgust	0.719
bowels	腸	disgust	0.719
gross	キモい	disgust	0.719
vulgar	下品	disgust	0.719
barbaric	野蛮な	disgust	0.719
disgust	嫌悪	disgust	0.719
vicious	悪質な	disgust	0.719
entrails	内柵	disgust	0.719
deterioration	劣化	disgust	0.719
pungent	辛味	disgust	0.719
bloodshed	流血	disgust	0.714
violent	暴力的な	disgust	0.711
tyrant	暴君	disgust	0.711
poisoned	中毒	disgust	0.711
pollute	汚染する	disgust	0.711
wretched	悲惨な	disgust	0.711
nausea	吐き気	disgust	0.711
mortification	苦行	disgust	0.711
gag	ギャグ	disgust	0.711
vulgarity	下品	disgust	0.703
disgusting	嫌な	disgust	0.703
grope	酔う	disgust	0.703
slut	ふしだらな女	disgust	0.703
poisoning	中毒	disgust	0.703
depraved	堕落した	disgust	0.703
noxious	有害な	disgust	0.703
porn	ポルノ	disgust	0.703
nasty	不快な	disgust	0.703
slimy	ぬるぬる	disgust	0.703
despotism	専制主義	disgust	0.703
nauseate	吐き気	disgust	0.703
secretion	分泌	disgust	0.703
constipation	便秘	disgust	0.703
hateful	憎む	disgust	0.703
grime	汚れた	disgust	0.703
measles	麻疹	disgust	0.696
contagious	伝染する	disgust	0.695
hellish	地獄	disgust	0.695
waste	廃棄物	disgust	0.695
suicidal	自殺	disgust	0.695
abuse	乱用	disgust	0.695
hate	嫌い	disgust	0.695
wretch	惨めな	disgust	0.695
intestinal	腸	disgust	0.695
wart	いぼ	disgust	0.695
obesity	肥満	disgust	0.695
scum	スカム	disgust	0.695
contaminated	汚染された	disgust	0.688
disease	疾患	disgust	0.688
rabid	猛烈な	disgust	0.688
ooze	泡立つ	disgust	0.688
treason	反逆	disgust	0.688
heartworm	心臓病	disgust	0.688
smut	スマット	disgust	0.688
cholera	コレラ	disgust	0.680
deformed	変形した	disgust	0.680
detest	嫌う	disgust	0.680
bestial	獣医	disgust	0.680
sickness	病気	disgust	0.680
antichrist	赤ちゃん	disgust	0.680
abhorrent	忌まわしい	disgust	0.680
soulless	魂のない	disgust	0.680
freakish	奇妙な	disgust	0.680
grimy	汚れた	disgust	0.680
hatred	憎しみ	disgust	0.680
pollution	汚染	disgust	0.680
germ	胚芽	disgust	0.680
abominate	憎む	disgust	0.680
hell	地獄	disgust	0.680
dilapidated	荒廃した	disgust	0.672
dictatorship	独裁	disgust	0.672
inhuman	非人道的な	disgust	0.672
greasy	脂っこい	disgust	0.672
hideous	恐ろしいです	disgust	0.672
loathful	苦々しい	disgust	0.672
obscene	猥褻	disgust	0.672
loathing	嫌悪	disgust	0.672
cess	セス	disgust	0.670
devil	悪魔	disgust	0.664
heretic	異端者	disgust	0.664
nauseous	吐き気	disgust	0.664
abominable	忌み嫌う	disgust	0.664
deformity	変形	disgust	0.664
deadly	致命的	disgust	0.664
swine	豚	disgust	0.664
discrimination	差別	disgust	0.664
masochism	マゾヒズム	disgust	0.664
poisonous	有毒	disgust	0.656
prejudiced	偏見のある	disgust	0.656
bacteria	細菌	disgust	0.656
death	死	disgust	0.656
poison	毒	disgust	0.656
trash	ごみ	disgust	0.656
abortion	中絶	disgust	0.656
corruption	腐敗	disgust	0.656
victimized	被害者	disgust	0.656
oppression	抑圧	disgust	0.656
goo	グー	disgust	0.656
latrines	トイレ	disgust	0.656
horror	ホラー	disgust	0.656
horrible	恐ろしい	disgust	0.656
nefarious	凶悪	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	悪意のある	disgust	0.648
outhouse	アウトハウス	disgust	0.648
horrid	恐ろしい	disgust	0.648
detestation	嫌悪	disgust	0.648
sludge	スラッジ	disgust	0.648
ugly	醜い	disgust	0.648
trashy	くだらない	disgust	0.648
bitch	雌犬	disgust	0.648
immoral	不道徳な	disgust	0.648
malfeasance	不正行為	disgust	0.641
spew	噴出する	disgust	0.641
pimple	にきび	disgust	0.641
indecency	卑劣な	disgust	0.641
unsightly	見苦しい	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	悪質な	disgust	0.641
cystic	嚢胞性の	disgust	0.641
horrifying	恐ろしい	disgust	0.641
derogatory	侮辱的な	disgust	0.641
laxative	下剤	disgust	0.641
criminality	犯罪	disgust	0.641
oppressive	抑圧的な	disgust	0.633
sinful	罪深い	disgust	0.633
bigoted	股間	disgust	0.633
doomsday	最悪の日	disgust	0.633
prostitution	売春	disgust	0.633
ulcer	潰瘍	disgust	0.633
secrete	秘密	disgust	0.633
perpetrator	加害者	disgust	0.633
rat	ラット	disgust	0.633
queasy	不気味な	disgust	0.633
mildew	うどんこ病	disgust	0.633
dastardly	荒々しく	disgust	0.625
disgraceful	恥ずべき	disgust	0.625
ghastly	恐ろしい	disgust	0.625
persecution	迫害	disgust	0.625
devilish	悪質な	disgust	0.625
degrading	劣化する	disgust	0.625
obscenity	猥褻	disgust	0.625
fungus	真菌	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	大食い	disgust	0.625
stools	便	disgust	0.625
suffering	苦しみ	disgust	0.625
contemptible	軽蔑的な	disgust	0.625
cuckold	カッコウッド	disgust	0.625
bloated	肥大	disgust	0.625
aghast	ああ	disgust	0.625
betrayal	裏切り	disgust	0.617
guillotine	ギロチン	disgust	0.617
infect	感染する	disgust	0.617
spoil	台無しにする	disgust	0.617
tetanus	破傷風	disgust	0.617
fat	脂肪	disgust	0.617
louse	怠け者	disgust	0.617
malicious	悪意のある	disgust	0.617
polygamy	一夫多妻	disgust	0.617
crusty	痂皮	disgust	0.617
atrocious	ひどい	disgust	0.617
deceit	詐欺	disgust	0.617
termite	シロアリ	disgust	0.617
loathe	嫌う	disgust	0.617
wench	ウィンチェン	disgust	0.617
dying	死んでいる	disgust	0.617
sickly	病気	disgust	0.617
diaper	おむつ	disgust	0.617
strangle	絞首刑	disgust	0.617
drool	よだれ	disgust	0.609
slander	中傷	disgust	0.609
abhor	嫌う	disgust	0.609
venomous	有毒な	disgust	0.609
brothel	売春宿	disgust	0.609
ghetto	ゲットー	disgust	0.609
violently	激しく	disgust	0.609
hostile	敵対的な	disgust	0.609
sabotage	サボタージュ	disgust	0.609
deform	変形する	disgust	0.609
bleeding	出血	disgust	0.609
unwashed	洗われていない	disgust	0.602
lunacy	狂信	disgust	0.602
imprisonment	投獄	disgust	0.602
infidel	異端者	disgust	0.602
deprivation	剥奪	disgust	0.602
traitor	裏切り者	disgust	0.602
ugliness	醜さ	disgust	0.602
musty	必死の	disgust	0.602
illicit	不法	disgust	0.602
swampy	沼地	disgust	0.602
poaching	密猟	disgust	0.602
hag	ハグ	disgust	0.602
butcher	肉屋	disgust	0.594
lunatic	狂人	disgust	0.594
venom	毒	disgust	0.594
repelling	反発	disgust	0.594
thug	刺客	disgust	0.594
misery	不幸	disgust	0.594
toilet	トイレ	disgust	0.594
slug	スラグ	disgust	0.594
catastrophe	災害	disgust	0.594
epidemic	流行	disgust	0.594
gut	腸	disgust	0.594
intoxicated	酔う	disgust	0.594
blister	ブリスター	disgust	0.594
deceitful	欺く	disgust	0.594
hostility	敵意	disgust	0.594
queasiness	怠惰	disgust	0.594
lurid	甘い	disgust	0.594
sinner	罪人	disgust	0.594
incubus	インキュカス	disgust	0.586
lavatory	トイレ	disgust	0.586
harass	ハラス	disgust	0.586
unclean	汚れた	disgust	0.586
prostitute	売春婦	disgust	0.586
pornography	ポルノ	disgust	0.586
dreadful	恐ろしい	disgust	0.586
deteriorated	劣化した	disgust	0.586
appalling	ぞっとする	disgust	0.586
unfaithful	不誠実な	disgust	0.578
rash	発疹	disgust	0.578
humiliating	屈辱的な	disgust	0.578
ruinous	破滅的な	disgust	0.578
squeamish	嫌な	disgust	0.578
offensive	攻撃	disgust	0.578
conspirator	共謀者	disgust	0.578
larceny	窃盗	disgust	0.578
debauchery	放蕩	disgust	0.578
mangle	マングル	disgust	0.578
flea	ノミ	disgust	0.578
hypocrite	偽善者	disgust	0.578
retard	リタード	disgust	0.578
fiend	悪魔	disgust	0.578
sick	病気	disgust	0.578
quagmire	泥沼	disgust	0.578
expulsion	追放	disgust	0.578
treacherous	信じられない	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	唾を吐く	disgust	0.570
devastating	壊滅的な	disgust	0.570
bastard	クソ野郎	disgust	0.570
messy	厄介な	disgust	0.570
flog	鞭打ち	disgust	0.570
egregious	大変な	disgust	0.570
swamp	沼地	disgust	0.570
oppress	抑圧する	disgust	0.570
despise	軽蔑する	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	蛇	disgust	0.570
snake	ヘビ	disgust	0.562
terrible	ひどい	disgust	0.562
awful	ひどい	disgust	0.562
harmful	有害な	disgust	0.562
insanity	狂気	disgust	0.562
indecent	卑劣な	disgust	0.562
sordid	ソーダイド	disgust	0.562
loo	〜する	disgust	0.562
scoundrel	悪党	disgust	0.562
enemy	敵	disgust	0.562
stealing	窃盗	disgust	0.562
alcoholism	アルコール依存症	disgust	0.562
humiliation	屈辱	disgust	0.562
ruthless	無慈悲な	disgust	0.562
sloppy	汚い	disgust	0.562
tyrannical	専制政治	disgust	0.562
harlot	遊女	disgust	0.562
sinning	罪を犯す	disgust	0.562
robbery	強盗	disgust	0.555
insufferable	耐え難い	disgust	0.555
arsenic	砒素	disgust	0.555
bloody	血まみれの	disgust	0.555
odious	不愉快な	disgust	0.555
ridicule	嘲笑	disgust	0.555
atrophy	萎縮	disgust	0.555
beastly	獣医	disgust	0.555
collusion	共謀	disgust	0.555
distaste	嫌悪	disgust	0.555
segregate	分離する	disgust	0.555
discriminating	弁別する	disgust	0.555
coward	臆病者	disgust	0.555
wickedness	邪悪	disgust	0.555
threatening	脅かす	disgust	0.555
unattractive	魅力的ではない	disgust	0.555
slayer	殺人者	disgust	0.555
flabby	ふわふわした	disgust	0.555
varicella	水痘	disgust	0.555
miserable	悲惨な	disgust	0.547
sty	スティー	disgust	0.547
ogre	鬼	disgust	0.547
coercion	強要	disgust	0.547
thief	泥棒	disgust	0.547
slur	スラー	disgust	0.547
suffocating	窒息する	disgust	0.547
anathema	嫌悪	disgust	0.547
purgatory	煉獄	disgust	0.547
malevolent	悪質な	disgust	0.547
bitterly	激しく	disgust	0.547
burglar	泥棒	disgust	0.547
attacking	攻撃	disgust	0.547
vesicular	小胞	disgust	0.547
condemnation	非難	disgust	0.547
pillage	略奪	disgust	0.547
deleterious	有害な	disgust	0.547
thrash	スラッシュ	disgust	0.539
repellant	忌避剤	disgust	0.539
repudiation	否認	disgust	0.539
infidelity	不倫	disgust	0.539
liar	うそつき	disgust	0.539
fatty	脂肪	disgust	0.539
gob	ゴブ	disgust	0.539
sneer	卑しい	disgust	0.539
drunken	酔っぱらい	disgust	0.539
disgrace	恥ずべき	disgust	0.539
shame	恥	disgust	0.539
jealous	嫉妬	disgust	0.539
imprisoned	投獄された	disgust	0.539
pig	豚	disgust	0.539
greedy	貪欲	disgust	0.539
sloth	ナマケモノ	disgust	0.539
lethal	致死	disgust	0.536
burnt	焼けた	disgust	0.531
aberration	収差	disgust	0.531
condescension	軽蔑	disgust	0.531
hydrocephalus	水頭症	disgust	0.531
hanging	吊るす	disgust	0.531
destructive	破壊的	disgust	0.531
smuggler	密輸業者	disgust	0.531
intolerant	寛容な	disgust	0.531
travesty	駄作	disgust	0.531
intrusive	介入する	disgust	0.531
ruined	台無し	disgust	0.531
withered	枯れた	disgust	0.531
disintegrate	崩壊する	disgust	0.531
brawl	喧嘩	disgust	0.531
blemish	傷つける	disgust	0.531
neurotic	神経症	disgust	0.531
blasphemous	冒涜的な	disgust	0.531
lying	嘘つき	disgust	0.531
painful	痛い	disgust	0.531
avarice	貪欲	disgust	0.523
disgraced	恥ずべき	disgust	0.523
mistress	愛人	disgust	0.523
disparaging	卑劣な	disgust	0.523
rubbish	ごみ	disgust	0.523
derogation	逸脱	disgust	0.523
accusation	告発	disgust	0.523
intolerance	不寛容	disgust	0.523
incarceration	投獄	disgust	0.523
blighted	荒れた	disgust	0.523
sump	排水	disgust	0.516
deplorable	嘆かわしい	disgust	0.516
daemon	デーモン	disgust	0.516
cringe	うんざりする	disgust	0.516
degrade	劣化する	disgust	0.516
gutter	ガッター	disgust	0.516
rob	奪う	disgust	0.516
grim	恐るべき	disgust	0.516
defraud	欺瞞	disgust	0.516
tortious	不愉快な	disgust	0.516
eradication	根絶	disgust	0.516
stink	悪臭	disgust	0.516
convict	罪を犯す	disgust	0.516
dishonor	不名誉	disgust	0.516
vulture	コンドル	disgust	0.516
remains	残っている	disgust	0.516
mite	ダニ	disgust	0.516
betray	裏切る	disgust	0.516
sham	偽物	disgust	0.509
endemic	風土病	disgust	0.508
bombed	爆撃された	disgust	0.508
distress	苦痛	disgust	0.508
pest	害虫	disgust	0.508
incurable	不治の	disgust	0.508
worthless	役に立たない	disgust	0.508
rejection	拒絶	disgust	0.508
distasteful	嫌な	disgust	0.508
schizophrenia	統合失調症	disgust	0.508
belittle	卑劣な	disgust	0.508
smelling	臭い	disgust	0.508
cheat	カンニング	disgust	0.508
blob	ブロブ	disgust	0.508
prisoner	囚人	disgust	0.508
idiocy	白痴	disgust	0.508
delirium	せん妄	disgust	0.508
disaster	災害	disgust	0.508
crude	原油	disgust	0.508
resentment	憤慨	disgust	0.508
dreadfully	恐ろしい	disgust	0.508
glut	過剰	disgust	0.508
polemic	論争	disgust	0.500
derision	嘲り	disgust	0.500
idolatry	偶像崇拝	disgust	0.500
taboo	タブー	disgust	0.500
screaming	悲鳴を上げる	disgust	0.500
banish	追い払う	disgust	0.500
dirt	泥	disgust	0.500
goblin	ゴブリン	disgust	0.500
shackle	足かせ	disgust	0.500
bribery	贈収賄	disgust	0.500
flagrant	深刻な	disgust	0.500
jealousy	嫉妬	disgust	0.500
