word	Latvian-lv	emotion	emotion-intensity-score
worry	jāuztraucas	anticipation	0.492
inauguration	inaugurācija	anticipation	0.492
gaping	atvērta	anticipation	0.492
youth	jaunatne	anticipation	0.492
bless	svētī	anticipation	0.492
defense	aizsardzība	anticipation	0.492
heyday	izaugsme	anticipation	0.492
consequent	sekojošs	anticipation	0.492
proceeding	turpināt	anticipation	0.492
eventual	iespējams	anticipation	0.492
perspective	perspektīva	anticipation	0.492
restorative	atjaunojošs	anticipation	0.492
undertaking	uzņēmums	anticipation	0.492
highest	visaugstākais	anticipation	0.491
duel	duelis	anticipation	0.484
unexplained	neizskaidrojams	anticipation	0.484
tremor	trīce	anticipation	0.484
sharpen	asināt	anticipation	0.484
generosity	dāsnums	anticipation	0.484
voluptuous	garastāvošs	anticipation	0.484
shortly	īsi	anticipation	0.484
vow	solījums	anticipation	0.484
contagion	infekcija	anticipation	0.484
letter	vēstule	anticipation	0.484
happen	notikt	anticipation	0.484
threaten	apdraudēt	anticipation	0.484
conjure	piedzīvot	anticipation	0.484
sparkle	dzirksti	anticipation	0.484
engulf	apgrūtināt	anticipation	0.484
god	dievs	anticipation	0.484
correspondence	korespondence	anticipation	0.484
auspicious	labvēlīgs	anticipation	0.484
princely	princis	anticipation	0.484
adore	adore	anticipation	0.477
enroll	reģistrēties	anticipation	0.477
determinate	noteicošais	anticipation	0.477
predispose	predisponēt	anticipation	0.477
clue	pavediens	anticipation	0.477
onset	sākums	anticipation	0.477
powerful	spēcīgs	anticipation	0.477
glorify	slavēt	anticipation	0.477
glow	svelme	anticipation	0.477
arbitration	šķīrējtiesa	anticipation	0.477
torture	spīdzināšana	anticipation	0.477
gravitate	gravitēties	anticipation	0.477
cherish	lolot	anticipation	0.477
contemplate	apsvērt	anticipation	0.477
submit	Iesniegt	anticipation	0.477
perilous	bīstams	anticipation	0.477
unification	apvienošana	anticipation	0.477
score	vērtējums	anticipation	0.477
medal	medaļa	anticipation	0.477
glide	glide	anticipation	0.477
recipient	saņēmējs	anticipation	0.477
accompaniment	pavadījums	anticipation	0.477
praiseworthy	slavējams	anticipation	0.473
providing	nodrošinot	anticipation	0.469
motion	kustība	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	piesardzīgs	anticipation	0.469
cash	nauda	anticipation	0.469
precursor	prekursors	anticipation	0.469
opera	opera	anticipation	0.469
elite	elite	anticipation	0.469
pry	nulles	anticipation	0.469
hire	noma	anticipation	0.469
sweets	saldumi	anticipation	0.469
star	zvaigzne	anticipation	0.469
unsurpassed	nepārspējams	anticipation	0.469
successful	veiksmīga	anticipation	0.469
unknown	nezināms	anticipation	0.469
immediately	nekavējoties	anticipation	0.469
starry	zvaigžņains	anticipation	0.469
production	ražošana	anticipation	0.469
football	futbols	anticipation	0.469
completion	pabeigšana	anticipation	0.469
scare	nobiedēt	anticipation	0.469
invoke	atsaukties	anticipation	0.469
shaky	drebīgs	anticipation	0.469
dawn	rītausma	anticipation	0.469
creeping	slīdošs	anticipation	0.469
cheerfulness	jautrība	anticipation	0.461
soundness	drošība	anticipation	0.461
mail	pastu	anticipation	0.461
draft	melnraksts	anticipation	0.461
preliminary	pagaidu	anticipation	0.461
friendly	draudzīgs	anticipation	0.461
commemorative	piemiņas diena	anticipation	0.461
extricate	izņemt	anticipation	0.461
alive	dzīvs	anticipation	0.461
untold	neraksturīgs	anticipation	0.461
overture	overture	anticipation	0.461
excel	excel	anticipation	0.461
plight	nelaimes gadījums	anticipation	0.461
synchronize	sinhronizēt	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	svētnīca	anticipation	0.461
brilliant	izcili	anticipation	0.461
pay	maksāt	anticipation	0.461
shining	spīdēšana	anticipation	0.461
regatta	regatē	anticipation	0.461
testament	liecība	anticipation	0.461
jeopardy	apdraudējums	anticipation	0.461
perpetuity	nepārtrauktība	anticipation	0.453
elegance	elegance	anticipation	0.453
career	karjera	anticipation	0.453
basketball	basketbols	anticipation	0.453
intimately	cieši	anticipation	0.453
renovate	atjaunot	anticipation	0.453
supremacy	pārākums	anticipation	0.453
infinity	bezgalība	anticipation	0.453
unexpected	negaidīti	anticipation	0.453
flinch	šļirce	anticipation	0.453
complement	papildināt	anticipation	0.453
prologue	prologs	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	profilakse	anticipation	0.453
improve	uzlabot	anticipation	0.453
sunset	saulriets	anticipation	0.453
inaugural	atklāšana	anticipation	0.453
rehabilitation	rehabilitācija	anticipation	0.453
fitting	montāža	anticipation	0.445
surround	ieskauj	anticipation	0.445
share	dalīties	anticipation	0.445
epidemic	epidēmija	anticipation	0.445
sweet	salds	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	slēpšana	anticipation	0.445
confidence	uzticība	anticipation	0.445
perfect	ideāls	anticipation	0.445
sun	saule	anticipation	0.445
veracity	patiesība	anticipation	0.445
volunteer	brīvprātīgais	anticipation	0.445
conjecture	hipotēze	anticipation	0.445
medical	medicīniska	anticipation	0.438
prepared	sagatavots	anticipation	0.438
superstitious	māņticīgs	anticipation	0.438
reconstruction	rekonstrukcija	anticipation	0.438
tickle	ķerties	anticipation	0.438
faith	ticība	anticipation	0.438
passenger	pasažieris	anticipation	0.438
saint	svētais	anticipation	0.438
respect	cieņu	anticipation	0.438
rabid	traks	anticipation	0.438
reconstruct	rekonstruēt	anticipation	0.438
recombination	rekombinācija	anticipation	0.438
devout	dievbijīgs	anticipation	0.438
goodness	labums	anticipation	0.438
angel	eņģelis	anticipation	0.438
ferment	fermentēt	anticipation	0.438
plea	pamats	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	sērijas numurs	anticipation	0.438
conservation	saglabāšana	anticipation	0.438
serenity	mierīgums	anticipation	0.430
tabulate	tabulēt	anticipation	0.430
install	uzstādīt	anticipation	0.430
labyrinth	labirints	anticipation	0.430
venerable	cienījams	anticipation	0.430
perpetuate	saglabāt	anticipation	0.430
strategist	stratēģis	anticipation	0.430
unverified	nepārbaudīts	anticipation	0.430
tribunal	tribunāls	anticipation	0.430
charitable	labdarības	anticipation	0.430
luscious	salds	anticipation	0.430
spa	spa	anticipation	0.430
peace	miers	anticipation	0.430
clap	peldēt	anticipation	0.430
conspirator	sazvērējs	anticipation	0.422
forestall	novērstu	anticipation	0.422
patience	pacietība	anticipation	0.422
oasis	oāze	anticipation	0.422
grin	smaida	anticipation	0.422
revere	revere	anticipation	0.422
worship	pielūgt	anticipation	0.422
vista	vista	anticipation	0.422
laughter	smiekli	anticipation	0.422
volatility	nepastāvība	anticipation	0.422
adrift	adrift	anticipation	0.422
candid	atklāti	anticipation	0.422
edification	mācīšana	anticipation	0.422
unresolved	neatrisināts	anticipation	0.422
peaceful	miermīlīgs	anticipation	0.422
recognizable	atpazīstams	anticipation	0.422
calls	zvani	anticipation	0.414
weigh	svars	anticipation	0.414
probation	pārbaude	anticipation	0.414
proficiency	prasme	anticipation	0.414
morn	martā	anticipation	0.414
craps	craps	anticipation	0.414
detainee	aizturēts	anticipation	0.414
mediate	starpniecība	anticipation	0.414
continue	Turpināt	anticipation	0.414
astrologer	astrologs	anticipation	0.414
punctual	precīza	anticipation	0.414
ordination	ordinācija	anticipation	0.414
pretty	skaista	anticipation	0.414
thought	domāja	anticipation	0.414
grant	dotācija	anticipation	0.414
withstand	izturēt	anticipation	0.414
frisky	vilnīgs	anticipation	0.414
ongoing	notiek nepārtraukti	anticipation	0.414
sing	dzied	anticipation	0.411
long	ilgi	anticipation	0.406
confession	konfesija	anticipation	0.406
headlight	lukturis	anticipation	0.406
prophylactic	profilaktisks	anticipation	0.406
mother	māte	anticipation	0.406
debenture	debitoru parāds	anticipation	0.406
wizard	vednis	anticipation	0.406
university	universitāte	anticipation	0.406
proud	lepns	anticipation	0.406
midwife	vecmāte	anticipation	0.406
banquet	bankets	anticipation	0.406
continuation	turpinājums	anticipation	0.406
navigable	kuģojams	anticipation	0.406
punished	soda	anticipation	0.406
chicane	čikāns	anticipation	0.406
comfort	komforts	anticipation	0.406
opponent	pretinieks	anticipation	0.406
subscribe	abonēt	anticipation	0.406
outdo	pārspēt	anticipation	0.406
nurture	audzināt	anticipation	0.406
twinkle	mirgot	anticipation	0.406
deal	darījumu	anticipation	0.402
efficient	efektīvs	anticipation	0.398
representing	pārstāvot	anticipation	0.398
simmer	lēkt	anticipation	0.398
symphony	simfonija	anticipation	0.398
judiciary	tiesu sistēma	anticipation	0.398
obliging	pienākums	anticipation	0.398
saintly	svētais	anticipation	0.398
vigil	vigil	anticipation	0.398
death	nāve	anticipation	0.398
distracting	novērš uzmanību	anticipation	0.398
mortification	mirstība	anticipation	0.398
balm	balzams	anticipation	0.398
guillotine	giljotīna	anticipation	0.398
top	tops	anticipation	0.398
lettered	ar burtiem	anticipation	0.398
reliance	paļaušanās	anticipation	0.398
poke	mocīt	anticipation	0.391
unfulfilled	nepiepildīts	anticipation	0.391
assurance	garantija	anticipation	0.391
condemnation	nosodījums	anticipation	0.391
undoubted	neapšaubāms	anticipation	0.391
diplomacy	diplomātija	anticipation	0.391
familiarity	zināšanas	anticipation	0.391
antidote	antidots	anticipation	0.391
chuckle	mocīt	anticipation	0.391
objective	mērķis	anticipation	0.391
maternal	māte	anticipation	0.391
abeyance	apturēšana	anticipation	0.391
art	art	anticipation	0.391
linger	aizkavēties	anticipation	0.391
trust	uzticība	anticipation	0.391
depraved	izpostīts	anticipation	0.391
sanctify	svētīt	anticipation	0.391
inoculation	inokulācija	anticipation	0.384
chant	dziedāt	anticipation	0.383
banger	bangers	anticipation	0.383
playground	rotaļlaukums	anticipation	0.383
failing	ja nav	anticipation	0.383
ship	kuģis	anticipation	0.383
hymn	himna	anticipation	0.383
simplify	vienkāršot	anticipation	0.383
ram	ram	anticipation	0.383
labor	darbs	anticipation	0.383
discretion	rīcības brīvība	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	labi	anticipation	0.383
scientist	zinātnieks	anticipation	0.383
undecided	nav izlemts	anticipation	0.383
humanitarian	humanitārie	anticipation	0.383
depend	atkarīgs	anticipation	0.383
dutiful	pienācīgs	anticipation	0.383
clock	pulkstenis	anticipation	0.375
sterling	mārciņa	anticipation	0.375
mountain	kalns	anticipation	0.375
savor	izbaudīt	anticipation	0.375
recurrent	atkārtota	anticipation	0.375
interim	pagaidu	anticipation	0.375
navigator	navigators	anticipation	0.375
gradual	pakāpeniski	anticipation	0.375
interminable	beidzams	anticipation	0.375
track	dziesmu	anticipation	0.375
public	sabiedrība	anticipation	0.375
cradle	šūpulis	anticipation	0.375
concealed	slēpts	anticipation	0.367
lesson	nodarbība	anticipation	0.367
instructions	instrukcijas	anticipation	0.367
shiver	drebuļi	anticipation	0.367
musical	mūzikas	anticipation	0.367
towering	stiprs	anticipation	0.367
whim	kaprīze	anticipation	0.367
spear	šķēps	anticipation	0.367
convince	pārliecināt	anticipation	0.367
sonar	hidrolokators	anticipation	0.367
abide	paliec	anticipation	0.367
biennial	biennāle	anticipation	0.367
theology	teoloģija	anticipation	0.359
offset	kompensēt	anticipation	0.359
atone	atone	anticipation	0.359
timidity	kautrība	anticipation	0.359
theory	teorija	anticipation	0.359
undying	nemierīgs	anticipation	0.359
plump	plīvs	anticipation	0.359
audience	auditorija	anticipation	0.357
nobility	muižniecība	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	diēta	anticipation	0.352
closure	slēgšana	anticipation	0.352
store	veikals	anticipation	0.352
localize	lokalizēt	anticipation	0.352
cramp	krampji	anticipation	0.352
daily	katru dienu	anticipation	0.352
kindred	dzimtais	anticipation	0.352
farm	saimniecība	anticipation	0.352
edition	izdevums	anticipation	0.352
consecration	iesvētīšana	anticipation	0.352
archaeology	arheoloģija	anticipation	0.344
mobile	mobilais	anticipation	0.344
errand	uzdevums	anticipation	0.344
wireless	bezvadu	anticipation	0.344
mutable	maināms	anticipation	0.344
meditate	meditēt	anticipation	0.344
stripped	attīrīta	anticipation	0.344
lessen	samazināt	anticipation	0.336
unaccountable	neatsaucams	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	brāļi	anticipation	0.336
buddy	draugs	anticipation	0.336
unbeaten	nepārspēts	anticipation	0.336
germ	dīglis	anticipation	0.336
dove	balodis	anticipation	0.328
digress	novirzīt	anticipation	0.328
ribbon	lente	anticipation	0.328
olfactory	ožas	anticipation	0.328
patient	pacients	anticipation	0.328
council	padome	anticipation	0.328
possess	piemīt	anticipation	0.328
secular	laicīgs	anticipation	0.328
chastity	šķīstība	anticipation	0.328
disposed	apglabāts	anticipation	0.320
regularity	regularitāte	anticipation	0.320
mediator	starpnieks	anticipation	0.320
scrutinize	rūpīgi pārbaudīt	anticipation	0.320
fancy	iedomāts	anticipation	0.320
immature	nenobriedis	anticipation	0.320
infanticide	infantiķskābe	anticipation	0.320
heft	heft	anticipation	0.320
preservative	konservants	anticipation	0.320
paddle	bradāt	anticipation	0.320
cove	kārta	anticipation	0.320
denying	noliedz	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	nepublicēts	anticipation	0.312
analyst	analītiķis	anticipation	0.312
grim	slikts	anticipation	0.312
church	baznīca	anticipation	0.312
priesthood	priesterība	anticipation	0.305
mill	dzirnavas	anticipation	0.305
judicial	tiesu	anticipation	0.305
broadside	platjoslas	anticipation	0.305
tributary	pietece	anticipation	0.297
cap	vāciņš	anticipation	0.297
thermocouple	termopāri	anticipation	0.297
dismay	izbailes	anticipation	0.297
instructor	instruktors	anticipation	0.297
saliva	siekalu	anticipation	0.297
exhaustion	izsmelšana	anticipation	0.297
bruise	ievainojums	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	bezpajumtnieki	anticipation	0.289
visor	aizsargstikls	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	tīkls	anticipation	0.289
shackle	važas	anticipation	0.289
addresses	adreses	anticipation	0.289
noncompliance	neatbilstība	anticipation	0.289
cataract	katarakta	anticipation	0.289
skewed	šķībs	anticipation	0.281
astronomer	astronoms	anticipation	0.281
neighbor	kaimiņš	anticipation	0.281
holiness	svētums	anticipation	0.273
devil	velns	anticipation	0.273
cream	krējums	anticipation	0.273
picket	pikets	anticipation	0.273
latent	latents	anticipation	0.273
immaturity	nepilnvērtība	anticipation	0.273
sentence	teikums	anticipation	0.273
neighborhood	apkārtne	anticipation	0.266
morals	morāle	anticipation	0.266
lull	Lull	anticipation	0.266
habitual	ierasts	anticipation	0.266
weight	svars	anticipation	0.258
bye	līdz	anticipation	0.258
forearm	apakšdelms	anticipation	0.250
clown	klauns	anticipation	0.250
organ	orgāns	anticipation	0.250
quote	citāts	anticipation	0.242
commonplace	ikdienišķa lieta	anticipation	0.242
dictatorship	diktatūra	anticipation	0.234
board	dēlis	anticipation	0.234
white	balts	anticipation	0.234
treadmill	skrejceļš	anticipation	0.234
rail	dzelzceļš	anticipation	0.234
sundial	saules pulkstenis	anticipation	0.227
tree	koks	anticipation	0.227
paralysis	paralīze	anticipation	0.211
worm	tārps	anticipation	0.203
organization	organizācija	anticipation	0.203
cement	cements	anticipation	0.203
lagging	atpaliek	anticipation	0.180
neutral	neitrāla	anticipation	0.148
cannibalism	kanibālisms	disgust	0.953
mutilation	kropļošana	disgust	0.930
molestation	nepatīkamība	disgust	0.914
incest	incests	disgust	0.914
gonorrhea	gonoreja	disgust	0.906
rape	izvarošana	disgust	0.906
cannibal	kanibāls	disgust	0.898
rot	puvi	disgust	0.891
corpse	līķis	disgust	0.883
massacre	masu slepkavība	disgust	0.883
excrement	ekskrementi	disgust	0.883
slaughter	kaušana	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	kautuve	disgust	0.867
rancid	sarkans	disgust	0.859
sewerage	kanalizācija	disgust	0.859
incestuous	klepus	disgust	0.859
filth	netīrs	disgust	0.859
bigot	fanāts	disgust	0.859
infestation	invāzija	disgust	0.852
plague	plague	disgust	0.852
bloodthirsty	asprātīgs	disgust	0.852
holocaust	holokausts	disgust	0.852
rotting	puves	disgust	0.844
maggot	dumbrs	disgust	0.844
feces	izkārnījumi	disgust	0.844
fecal	fekāls	disgust	0.844
murder	slepkavība	disgust	0.839
infanticide	infantiķskābe	disgust	0.836
homicide	slepkavība	disgust	0.836
asshole	asins	disgust	0.836
enslaved	verdzība	disgust	0.836
gore	gore	disgust	0.828
perverted	izgaismots	disgust	0.828
torture	spīdzināšana	disgust	0.828
slaughtering	kaušana	disgust	0.828
excretion	izdalīšanās	disgust	0.828
contaminate	piesārņot	disgust	0.821
murderer	slepkava	disgust	0.820
gory	gory	disgust	0.820
repugnant	pretīgs	disgust	0.820
desecration	apvainojums	disgust	0.820
grotesque	grotesks	disgust	0.820
revolting	sacelšanās	disgust	0.820
diarrhoea	caureja	disgust	0.820
manure	kūtsmēsli	disgust	0.820
terrorist	terorists	disgust	0.820
shit	sūdi	disgust	0.820
pervert	izgriezt	disgust	0.820
slavery	verdzība	disgust	0.812
faeces	izkārnījumi	disgust	0.812
sewer	kanalizācija	disgust	0.812
vomit	vemšana	disgust	0.812
manslaughter	slepkavība	disgust	0.812
dismemberment	sadalīšana	disgust	0.812
cadaver	mirušais	disgust	0.812
hemorrhage	asiņošana	disgust	0.805
repulsive	atbaidošs	disgust	0.805
perverse	perverss	disgust	0.805
filthy	netīrs	disgust	0.797
sewage	kanalizācija	disgust	0.797
depravity	izvarīgums	disgust	0.797
diseased	slimība	disgust	0.797
carcass	liemeņa	disgust	0.795
decompose	sadalīties	disgust	0.789
vermin	kaitēkļi	disgust	0.789
puke	puke	disgust	0.789
parasite	parazīts	disgust	0.789
horrific	šausminoši	disgust	0.789
gruesome	šausmīgs	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	izkropļots	disgust	0.789
murderous	slepkavīgs	disgust	0.789
decayed	izpostīts	disgust	0.789
herpes	herpes	disgust	0.789
slime	gļotas	disgust	0.781
flatulence	vēdera uzpūšanās	disgust	0.781
monstrosity	monstrosity	disgust	0.781
carnage	asinis	disgust	0.781
pestilence	trakumsērga	disgust	0.781
malaria	malārija	disgust	0.781
crap	crap	disgust	0.781
toxic	toksisks	disgust	0.773
loathsome	nelaimīgs	disgust	0.773
insidious	mānīgs	disgust	0.773
leprosy	lepra	disgust	0.773
morgue	morgs	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvīruss	disgust	0.773
whore	prostitūta	disgust	0.766
cruel	nežēlīgs	disgust	0.766
repugnance	atriebība	disgust	0.766
revulsion	atgrūšana	disgust	0.766
xenophobia	ksenofobija	disgust	0.766
regurgitation	regurgitācija	disgust	0.766
anthrax	Sibīrijas mēris	disgust	0.766
lynch	lynch	disgust	0.766
dissection	šķelšanās	disgust	0.759
canker	bezdibens	disgust	0.758
cruelty	nežēlība	disgust	0.758
perversion	perversija	disgust	0.758
evil	ļaunums	disgust	0.758
slum	slaids	disgust	0.758
infectious	infekcijas	disgust	0.758
mucous	gļotāda	disgust	0.758
phlegm	šķidrums	disgust	0.758
leeches	dēles	disgust	0.750
decomposition	sadalīšanās	disgust	0.750
sinister	draudīgs	disgust	0.750
corrupting	bojāties	disgust	0.750
demon	dēmons	disgust	0.742
stinking	smirdošs	disgust	0.742
septic	septisks	disgust	0.742
deranged	nepareizs	disgust	0.742
bile	žults	disgust	0.742
soiled	netīras	disgust	0.742
mucus	gļotas	disgust	0.742
abhorrence	negodīgums	disgust	0.742
abomination	abominācija	disgust	0.742
sickening	sickening	disgust	0.742
demonic	dēmonisks	disgust	0.742
foul	nediena	disgust	0.734
obese	aptaukošanās	disgust	0.734
sicken	slikts	disgust	0.734
degeneracy	deģenerācija	disgust	0.734
crucifixion	krustā sišana	disgust	0.734
despicable	nicināms	disgust	0.734
cancer	vēzis	disgust	0.734
atrocity	zvērība	disgust	0.734
terrorism	terorisms	disgust	0.734
dirty	netīrs	disgust	0.727
dysentery	dizentērija	disgust	0.727
adultery	laulības pārkāpšana	disgust	0.727
contamination	piesārņojums	disgust	0.727
bacterium	baktērija	disgust	0.727
diabolical	velnišķīgs	disgust	0.727
morbidity	saslimstība	disgust	0.727
grisly	šausmīgi	disgust	0.727
repulsion	atbaidīšana	disgust	0.727
enema	klizma	disgust	0.727
contagion	infekcija	disgust	0.719
disfigured	izkropļots	disgust	0.719
muck	muck	disgust	0.719
lewd	nikns	disgust	0.719
garbage	atkritumi	disgust	0.719
autopsy	autopsija	disgust	0.719
bowels	zarnas	disgust	0.719
gross	bruto	disgust	0.719
vulgar	vulgārs	disgust	0.719
barbaric	barbarisks	disgust	0.719
disgust	riebums	disgust	0.719
vicious	ļaunais	disgust	0.719
entrails	ietekas	disgust	0.719
deterioration	pasliktināšanās	disgust	0.719
pungent	asa	disgust	0.719
bloodshed	asinsizliešana	disgust	0.714
violent	vardarbīgs	disgust	0.711
tyrant	tirāns	disgust	0.711
poisoned	saindēta	disgust	0.711
pollute	piesārņo	disgust	0.711
wretched	vājprātīgs	disgust	0.711
nausea	slikta dūša	disgust	0.711
mortification	mirstība	disgust	0.711
gag	gag	disgust	0.711
vulgarity	vulgaritāte	disgust	0.703
disgusting	pretīgi	disgust	0.703
grope	izskrūvēt	disgust	0.703
slut	slampa	disgust	0.703
poisoning	saindēšanās	disgust	0.703
depraved	izpostīts	disgust	0.703
noxious	kaitīgs	disgust	0.703
porn	porno	disgust	0.703
nasty	šķebinošs	disgust	0.703
slimy	gļošs	disgust	0.703
despotism	despotisms	disgust	0.703
nauseate	slikta dūša	disgust	0.703
secretion	sekrēcija	disgust	0.703
constipation	aizcietējums	disgust	0.703
hateful	naids	disgust	0.703
grime	netīrumi	disgust	0.703
measles	masalas	disgust	0.696
contagious	lipīga	disgust	0.695
hellish	ellišķīgs	disgust	0.695
waste	atkritumi	disgust	0.695
suicidal	pašnāvniecisks	disgust	0.695
abuse	ļaunprātīgi izmantot	disgust	0.695
hate	ienīst	disgust	0.695
wretch	vēdīgs	disgust	0.695
intestinal	zarnu trakta	disgust	0.695
wart	kārpu	disgust	0.695
obesity	aptaukošanās	disgust	0.695
scum	putraimi	disgust	0.695
contaminated	piesārņots	disgust	0.688
disease	slimība	disgust	0.688
rabid	traks	disgust	0.688
ooze	sūknis	disgust	0.688
treason	nodevība	disgust	0.688
heartworm	sirdstārpiņi	disgust	0.688
smut	smutēt	disgust	0.688
cholera	holera	disgust	0.680
deformed	deformēts	disgust	0.680
detest	kaitē	disgust	0.680
bestial	zvēri	disgust	0.680
sickness	slimība	disgust	0.680
antichrist	antikrists	disgust	0.680
abhorrent	negodīgi	disgust	0.680
soulless	bezkaunīgs	disgust	0.680
freakish	mīļš	disgust	0.680
grimy	slikts	disgust	0.680
hatred	naids	disgust	0.680
pollution	piesārņojums	disgust	0.680
germ	dīglis	disgust	0.680
abominate	abominate	disgust	0.680
hell	ellē	disgust	0.680
dilapidated	novecojis	disgust	0.672
dictatorship	diktatūra	disgust	0.672
inhuman	necilvēcīgi	disgust	0.672
greasy	taukains	disgust	0.672
hideous	slikts	disgust	0.672
loathful	nežēlīgs	disgust	0.672
obscene	nepatīkams	disgust	0.672
loathing	nepatika	disgust	0.672
cess	cess	disgust	0.670
devil	velns	disgust	0.664
heretic	ķeceris	disgust	0.664
nauseous	slikta dūša	disgust	0.664
abominable	negodīgi	disgust	0.664
deformity	deformācija	disgust	0.664
deadly	nāvējošs	disgust	0.664
swine	cūkas	disgust	0.664
discrimination	diskriminācija	disgust	0.664
masochism	masochisms	disgust	0.664
poisonous	indīgs	disgust	0.656
prejudiced	ievainots	disgust	0.656
bacteria	baktērijas	disgust	0.656
death	nāve	disgust	0.656
poison	indes	disgust	0.656
trash	atkritumi	disgust	0.656
abortion	aborts	disgust	0.656
corruption	korupcija	disgust	0.656
victimized	victimized	disgust	0.656
oppression	apspiestība	disgust	0.656
goo	goo	disgust	0.656
latrines	gultas vietas	disgust	0.656
horror	šausmas	disgust	0.656
horrible	briesmīgs	disgust	0.656
nefarious	naidīgs	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	apvainojošs	disgust	0.648
outhouse	ārpus mājas	disgust	0.648
horrid	briesmīgs	disgust	0.648
detestation	mierinājums	disgust	0.648
sludge	nogulsnes	disgust	0.648
ugly	neglīts	disgust	0.648
trashy	netīrs	disgust	0.648
bitch	kuce	disgust	0.648
immoral	amorāls	disgust	0.648
malfeasance	zādzība	disgust	0.641
spew	spew	disgust	0.641
pimple	pūtītes	disgust	0.641
indecency	nepateicība	disgust	0.641
unsightly	neizskatīgs	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	nelaimīgs	disgust	0.641
cystic	cistiskā	disgust	0.641
horrifying	šausmīgs	disgust	0.641
derogatory	izmisīgs	disgust	0.641
laxative	caurejošs	disgust	0.641
criminality	noziedzība	disgust	0.641
oppressive	represīvs	disgust	0.633
sinful	grēcīgs	disgust	0.633
bigoted	fanāti	disgust	0.633
doomsday	pasludināšanas diena	disgust	0.633
prostitution	prostitūcija	disgust	0.633
ulcer	čūla	disgust	0.633
secrete	izdalīt	disgust	0.633
perpetrator	vainīgais	disgust	0.633
rat	žurka	disgust	0.633
queasy	queasy	disgust	0.633
mildew	pelējums	disgust	0.633
dastardly	dusmīgs	disgust	0.625
disgraceful	apkaunojošs	disgust	0.625
ghastly	šausmīgi	disgust	0.625
persecution	vajāšana	disgust	0.625
devilish	velnišķīgs	disgust	0.625
degrading	pazemojošs	disgust	0.625
obscenity	neķītrība	disgust	0.625
fungus	sēnīte	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	gluttony	disgust	0.625
stools	izkārnījumi	disgust	0.625
suffering	ciešanas	disgust	0.625
contemptible	nicināms	disgust	0.625
cuckold	cūkas	disgust	0.625
bloated	uzpampis	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	nodevība	disgust	0.617
guillotine	giljotīna	disgust	0.617
infect	inficēt	disgust	0.617
spoil	sabojāt	disgust	0.617
tetanus	stingumkrampji	disgust	0.617
fat	tauki	disgust	0.617
louse	dusmas	disgust	0.617
malicious	ļaunprātīga	disgust	0.617
polygamy	poligāmija	disgust	0.617
crusty	garozi	disgust	0.617
atrocious	žēlsirdīgs	disgust	0.617
deceit	krāpšana	disgust	0.617
termite	termīts	disgust	0.617
loathe	nelaimīgs	disgust	0.617
wench	velns	disgust	0.617
dying	mirst	disgust	0.617
sickly	slimīgs	disgust	0.617
diaper	autiņš	disgust	0.617
strangle	strangle	disgust	0.617
drool	drool	disgust	0.609
slander	laupīšana	disgust	0.609
abhor	niknums	disgust	0.609
venomous	indīgs	disgust	0.609
brothel	bordelis	disgust	0.609
ghetto	geto	disgust	0.609
violently	vardarbīgi	disgust	0.609
hostile	naidīgs	disgust	0.609
sabotage	sabotāža	disgust	0.609
deform	deformēties	disgust	0.609
bleeding	asiņošana	disgust	0.609
unwashed	nemazgāts	disgust	0.602
lunacy	garlaicība	disgust	0.602
imprisonment	brīvības atņemšana	disgust	0.602
infidel	neticīgs	disgust	0.602
deprivation	atņemšana	disgust	0.602
traitor	nodevējs	disgust	0.602
ugliness	neglīts	disgust	0.602
musty	dubļains	disgust	0.602
illicit	nelikumīga	disgust	0.602
swampy	purvains	disgust	0.602
poaching	laupīšana	disgust	0.602
hag	hag	disgust	0.602
butcher	miesnieks	disgust	0.594
lunatic	dusmīgs	disgust	0.594
venom	inde	disgust	0.594
repelling	atgrūšana	disgust	0.594
thug	slepkava	disgust	0.594
misery	nelaime	disgust	0.594
toilet	tualete	disgust	0.594
slug	lode	disgust	0.594
catastrophe	katastrofa	disgust	0.594
epidemic	epidēmija	disgust	0.594
gut	zarnas	disgust	0.594
intoxicated	saindējies	disgust	0.594
blister	blisteris	disgust	0.594
deceitful	viltus	disgust	0.594
hostility	naidīgums	disgust	0.594
