word	Nyanja (Chichewa)-ny	emotion	emotion-intensity-score
disgusting	zonyansa	disgust	0.703
grope	kupusitsa	disgust	0.703
slut	slut	disgust	0.703
poisoning	poizoni	disgust	0.703
depraved	zonyansa	disgust	0.703
noxious	noxious	disgust	0.703
porn	zolaula	disgust	0.703
nasty	zovuta	disgust	0.703
slimy	slimy	disgust	0.703
despotism	zosokoneza	disgust	0.703
nauseate	kunyoza	disgust	0.703
secretion	chinsinsi	disgust	0.703
constipation	kudzimbidwa	disgust	0.703
hateful	chidani	disgust	0.703
grime	nthenda	disgust	0.703
measles	chikuku	disgust	0.696
contagious	wothandizira	disgust	0.695
hellish	hellish	disgust	0.695
waste	zonyansa	disgust	0.695
suicidal	kudzipha	disgust	0.695
abuse	nkhanza	disgust	0.695
hate	kudana	disgust	0.695
wretch	nthiti	disgust	0.695
intestinal	m'mimba	disgust	0.695
wart	wart	disgust	0.695
obesity	kunenepa kwambiri	disgust	0.695
scum	scum	disgust	0.695
contaminated	zonyansa	disgust	0.688
disease	matenda	disgust	0.688
rabid	kukwiya	disgust	0.688
ooze	tuluka	disgust	0.688
treason	chiwembu	disgust	0.688
heartworm	mtima wambiri	disgust	0.688
smut	smut	disgust	0.688
cholera	kolera	disgust	0.680
deformed	olumala	disgust	0.680
detest	zonyansa	disgust	0.680
bestial	kumenyana	disgust	0.680
sickness	matenda	disgust	0.680
antichrist	wotsutsakhristu	disgust	0.680
abhorrent	zonyansa	disgust	0.680
soulless	zosautsa	disgust	0.680
freakish	freakish	disgust	0.680
grimy	zosangalatsa	disgust	0.680
hatred	chidani	disgust	0.680
pollution	kuipitsa	disgust	0.680
germ	nyongolotsi	disgust	0.680
abominate	zonyansa	disgust	0.680
hell	gehena	disgust	0.680
dilapidated	zowonongeka	disgust	0.672
dictatorship	kupondereza	disgust	0.672
inhuman	opanda umunthu	disgust	0.672
greasy	mafuta	disgust	0.672
hideous	hideous	disgust	0.672
loathful	zonyansa	disgust	0.672
obscene	zonyansa	disgust	0.672
loathing	kudana	disgust	0.672
cess	cess	disgust	0.670
devil	mdierekezi	disgust	0.664
heretic	chinyengo	disgust	0.664
nauseous	zosautsa	disgust	0.664
abominable	zonyansa	disgust	0.664
deformity	kupunduka	disgust	0.664
deadly	chakupha	disgust	0.664
swine	nkhumba	disgust	0.664
discrimination	tsankho	disgust	0.664
masochism	masochism	disgust	0.664
poisonous	woopsa	disgust	0.656
prejudiced	tsankho	disgust	0.656
bacteria	mabakiteriya	disgust	0.656
death	imfa	disgust	0.656
poison	poizoni	disgust	0.656
trash	zinyalala	disgust	0.656
abortion	kuchotsa mimba	disgust	0.656
corruption	ziphuphu	disgust	0.656
victimized	ozunzidwa	disgust	0.656
oppression	kuponderezedwa	disgust	0.656
goo	goo	disgust	0.656
latrines	mipando	disgust	0.656
horror	mantha	disgust	0.656
horrible	zoopsa	disgust	0.656
nefarious	osasamala	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	kutsutsa	disgust	0.648
outhouse	m'nyumba	disgust	0.648
horrid	zovuta	disgust	0.648
detestation	zonyansa	disgust	0.648
sludge	sludge	disgust	0.648
ugly	zoipa	disgust	0.648
trashy	chiwonongeko	disgust	0.648
bitch	bitch	disgust	0.648
immoral	chiwerewere	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	spew	disgust	0.641
pimple	pimple	disgust	0.641
indecency	chisokonezo	disgust	0.641
unsightly	osayang'ana	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	woipa	disgust	0.641
cystic	cystic	disgust	0.641
horrifying	zoopsa	disgust	0.641
derogatory	kunyoza	disgust	0.641
laxative	laxative	disgust	0.641
criminality	zigawenga	disgust	0.641
oppressive	opondereza	disgust	0.633
sinful	wochimwa	disgust	0.633
bigoted	adagwedezeka	disgust	0.633
doomsday	doomsday	disgust	0.633
prostitution	uhule	disgust	0.633
ulcer	chilonda	disgust	0.633
secrete	secrete	disgust	0.633
perpetrator	wolakwira	disgust	0.633
rat	makoswe	disgust	0.633
queasy	zosangalatsa	disgust	0.633
mildew	mildew	disgust	0.633
dastardly	kudya mowa	disgust	0.625
disgraceful	zochititsa manyazi	disgust	0.625
ghastly	kusokonezeka	disgust	0.625
persecution	kuzunzidwa	disgust	0.625
devilish	mdierekezi	disgust	0.625
degrading	zonyansa	disgust	0.625
obscenity	kunyada	disgust	0.625
fungus	bowa	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	kususuka	disgust	0.625
stools	mipando	disgust	0.625
suffering	kuvutika	disgust	0.625
contemptible	amanyansidwa	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	yamasulidwa	disgust	0.625
aghast	zovuta	disgust	0.625
betrayal	kusakhulupirika	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	thandizani	disgust	0.617
spoil	kuwonongeka	disgust	0.617
tetanus	tetanasi	disgust	0.617
fat	mafuta	disgust	0.617
louse	louse	disgust	0.617
malicious	zoipa	disgust	0.617
polygamy	mitala	disgust	0.617
crusty	zopanda pake	disgust	0.617
atrocious	zowawa	disgust	0.617
deceit	chinyengo	disgust	0.617
termite	chiwonongeko	disgust	0.617
loathe	zonyansa	disgust	0.617
wench	wonch	disgust	0.617
dying	kufa	disgust	0.617
sickly	odwala	disgust	0.617
diaper	chojambula	disgust	0.617
strangle	sungani	disgust	0.617
drool	drool	disgust	0.609
slander	miseche	disgust	0.609
abhor	kudana	disgust	0.609
venomous	zowopsa	disgust	0.609
brothel	zachiwerewere	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	mwachiwawa	disgust	0.609
hostile	nkhanza	disgust	0.609
sabotage	chiwonongeko	disgust	0.609
deform	kutaya	disgust	0.609
bleeding	magazi	disgust	0.609
unwashed	osambidwa	disgust	0.602
lunacy	kudya	disgust	0.602
imprisonment	kumangidwa	disgust	0.602
infidel	osakhulupirira	disgust	0.602
deprivation	kunyansidwa	disgust	0.602
traitor	wotsutsa	disgust	0.602
ugliness	chinyengo	disgust	0.602
musty	musty	disgust	0.602
illicit	choletsedwa	disgust	0.602
swampy	mvula	disgust	0.602
poaching	poaching	disgust	0.602
hag	hag	disgust	0.602
butcher	wopha nyama	disgust	0.594
lunatic	lunatic	disgust	0.594
venom	utsi	disgust	0.594
repelling	kutembenuza	disgust	0.594
thug	thug	disgust	0.594
misery	zowawa	disgust	0.594
toilet	chimbudzi	disgust	0.594
slug	slug	disgust	0.594
catastrophe	masautso	disgust	0.594
epidemic	mliri	disgust	0.594
gut	matumbo	disgust	0.594
intoxicated	oledzera	disgust	0.594
blister	blister	disgust	0.594
deceitful	chinyengo	disgust	0.594
hostility	chidani	disgust	0.594
queasiness	kulemetsa	disgust	0.594
lurid	lurid	disgust	0.594
sinner	wochimwa	disgust	0.594
incubus	zopangira	disgust	0.586
lavatory	zopukutira	disgust	0.586
harass	kuzunza	disgust	0.586
unclean	wodetsedwa	disgust	0.586
prostitute	hule	disgust	0.586
pornography	zolaula	disgust	0.586
dreadful	zoopsa	disgust	0.586
deteriorated	zinasokonekera	disgust	0.586
appalling	zochititsa mantha	disgust	0.586
unfaithful	osakhulupirika	disgust	0.578
rash	kuthamanga	disgust	0.578
humiliating	zochititsa manyazi	disgust	0.578
ruinous	zopweteka	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	chokhumudwitsa	disgust	0.578
conspirator	wolemba boma	disgust	0.578
larceny	larceny	disgust	0.578
debauchery	kunyenga	disgust	0.578
mangle	mangolo	disgust	0.578
flea	utitiri	disgust	0.578
hypocrite	wonyenga	disgust	0.578
retard	kuchedwa	disgust	0.578
fiend	fiend	disgust	0.578
sick	odwala	disgust	0.578
quagmire	chiwonetsero	disgust	0.578
expulsion	kuchotsedwa	disgust	0.578
treacherous	achinyengo	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	kulavulira	disgust	0.570
devastating	zopweteka	disgust	0.570
bastard	Chitsiru	disgust	0.570
messy	zosokoneza	disgust	0.570
flog	sungani	disgust	0.570
egregious	zovuta	disgust	0.570
swamp	dzombe	disgust	0.570
oppress	kupondereza	disgust	0.570
despise	kunyoza	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	njoka	disgust	0.570
snake	njoka	disgust	0.562
terrible	zoopsa	disgust	0.562
awful	zoopsa	disgust	0.562
harmful	zoipa	disgust	0.562
insanity	kusankhana	disgust	0.562
indecent	zosayenera	disgust	0.562
sordid	zamatsenga	disgust	0.562
loo	loo	disgust	0.562
scoundrel	scoundrel	disgust	0.562
enemy	mdani	disgust	0.562
stealing	kuba	disgust	0.562
alcoholism	uchidakwa	disgust	0.562
humiliation	manyazi	disgust	0.562
ruthless	nkhanza	disgust	0.562
sloppy	osalankhula	disgust	0.562
tyrannical	achiwawa	disgust	0.562
harlot	hule	disgust	0.562
sinning	kuchimwa	disgust	0.562
robbery	kuba	disgust	0.555
insufferable	sungatheke	disgust	0.555
arsenic	arsenic	disgust	0.555
bloody	magazi	disgust	0.555
odious	odyetsa	disgust	0.555
ridicule	kunyoza	disgust	0.555
atrophy	atrophy	disgust	0.555
beastly	chirombo	disgust	0.555
collusion	kusamvana	disgust	0.555
distaste	zosokoneza	disgust	0.555
segregate	sungani	disgust	0.555
discriminating	kusankha	disgust	0.555
coward	coward	disgust	0.555
wickedness	zoipa	disgust	0.555
threatening	kuopseza	disgust	0.555
unattractive	zosangalatsa	disgust	0.555
slayer	wakupha	disgust	0.555
flabby	flabby	disgust	0.555
varicella	varicella	disgust	0.555
miserable	zomvetsa chisoni	disgust	0.547
sty	makina	disgust	0.547
ogre	ogre	disgust	0.547
coercion	kuumirizidwa	disgust	0.547
thief	wakuba	disgust	0.547
slur	slur	disgust	0.547
suffocating	kutsekemera	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	purigatoriyo	disgust	0.547
malevolent	zachiwawa	disgust	0.547
bitterly	zowawa	disgust	0.547
burglar	mbozi	disgust	0.547
attacking	kuwukira	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	kutsutsidwa	disgust	0.547
pillage	kuphwanya	disgust	0.547
deleterious	zopanda pake	disgust	0.547
thrash	thrash	disgust	0.539
repellant	wotsutsa	disgust	0.539
repudiation	kukana	disgust	0.539
infidelity	kusakhulupirika	disgust	0.539
liar	wabodza	disgust	0.539
fatty	mafuta	disgust	0.539
gob	gob	disgust	0.539
sneer	kunyoza	disgust	0.539
drunken	kuledzera	disgust	0.539
disgrace	manyazi	disgust	0.539
shame	manyazi	disgust	0.539
jealous	nsanje	disgust	0.539
imprisoned	kumangidwa	disgust	0.539
pig	nkhumba	disgust	0.539
greedy	wadyera	disgust	0.539
sloth	kutaya	disgust	0.539
lethal	zoopsa	disgust	0.536
burnt	zopsereza	disgust	0.531
aberration	kuchotsedwa	disgust	0.531
condescension	kudzichepetsa	disgust	0.531
hydrocephalus	hydrocephalus	disgust	0.531
hanging	atapachikidwa	disgust	0.531
destructive	chiwonongeko	disgust	0.531
smuggler	kusuta	disgust	0.531
intolerant	osakondana	disgust	0.531
travesty	travesty	disgust	0.531
intrusive	intrusive	disgust	0.531
ruined	kuwonongeka	disgust	0.531
withered	wouma	disgust	0.531
disintegrate	kusokoneza	disgust	0.531
brawl	chisokonezo	disgust	0.531
blemish	chilema	disgust	0.531
neurotic	neurotic	disgust	0.531
blasphemous	wonyoza	disgust	0.531
lying	kunama	disgust	0.531
painful	zowawa	disgust	0.531
avarice	avarice	disgust	0.523
disgraced	manyazi	disgust	0.523
mistress	mbuye	disgust	0.523
disparaging	kusokoneza	disgust	0.523
rubbish	zitsamba	disgust	0.523
derogation	kunyoza	disgust	0.523
accusation	mlandu	disgust	0.523
intolerance	kusagwirizana	disgust	0.523
incarceration	kutsekeredwa	disgust	0.523
blighted	zowonongeka	disgust	0.523
sump	sump	disgust	0.516
deplorable	zovuta	disgust	0.516
daemon	daemon	disgust	0.516
cringe	sungani	disgust	0.516
degrade	onyoza	disgust	0.516
gutter	chimbudzi	disgust	0.516
rob	kulanda	disgust	0.516
grim	zowawa	disgust	0.516
defraud	kunyenga	disgust	0.516
tortious	zowawa	disgust	0.516
eradication	kutha	disgust	0.516
stink	kununkha	disgust	0.516
convict	amatsutsa	disgust	0.516
dishonor	manyazi	disgust	0.516
vulture	vulture	disgust	0.516
remains	imakhalabe	disgust	0.516
mite	mite	disgust	0.516
betray	akupereka	disgust	0.516
sham	sham	disgust	0.509
endemic	zovuta	disgust	0.508
bombed	bombed	disgust	0.508
distress	kuvutika	disgust	0.508
pest	tizilombo	disgust	0.508
incurable	osachiritsika	disgust	0.508
worthless	wopanda pake	disgust	0.508
rejection	kukanidwa	disgust	0.508
distasteful	zosasangalatsa	disgust	0.508
schizophrenia	schizophrenia	disgust	0.508
belittle	onyoza	disgust	0.508
smelling	kununkhiza	disgust	0.508
cheat	chinyengo	disgust	0.508
blob	blob	disgust	0.508
prisoner	mkaidi	disgust	0.508
idiocy	idiocy	disgust	0.508
delirium	delirium	disgust	0.508
disaster	tsoka	disgust	0.508
crude	zopanda pake	disgust	0.508
resentment	mkwiyo	disgust	0.508
dreadfully	moopsa	disgust	0.508
glut	glut	disgust	0.508
polemic	zovuta	disgust	0.500
derision	kunyozedwa	disgust	0.500
idolatry	kupembedza mafano	disgust	0.500
taboo	taboo	disgust	0.500
screaming	akufuula	disgust	0.500
banish	zitha	disgust	0.500
dirt	dothi	disgust	0.500
goblin	goblin	disgust	0.500
shackle	kumangirira	disgust	0.500
bribery	chiphuphu	disgust	0.500
flagrant	zosavuta	disgust	0.500
jealousy	nsanje	disgust	0.500
impurity	kusayera	disgust	0.500
theft	kuba	disgust	0.500
bitterness	kuwawa	disgust	0.500
offense	chokhumudwitsa	disgust	0.500
impeach	impeach	disgust	0.500
blight	choipitsa	disgust	0.500
duress	kuthandizani	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	umbombo	disgust	0.500
tirade	tirade	disgust	0.500
squirm	sangalalani	disgust	0.492
robber	wakuba	disgust	0.492
ill	odwala	disgust	0.492
unconscionable	chosadziwika	disgust	0.492
recession	kutsika kwachuma	disgust	0.492
gorge	khola	disgust	0.492
wreck	kuwonongeka	disgust	0.492
malign	kunyoza	disgust	0.492
boil	wiritsani	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	Idiot	disgust	0.492
disreputable	osadziwika	disgust	0.492
wasteful	zonyansa	disgust	0.484
affliction	nsautso	disgust	0.484
stain	banga	disgust	0.484
contempt	kunyansidwa	disgust	0.484
nappy	sintha	disgust	0.484
mutiny	mutiny	disgust	0.484
occult	zamatsenga	disgust	0.484
tramp	kupondaponda	disgust	0.484
unbearable	chosakhululukidwa	disgust	0.484
offender	wolakwira	disgust	0.484
servile	otumikira	disgust	0.484
contraband	kusokoneza	disgust	0.484
raging	wokwiya	disgust	0.484
snarl	sungani	disgust	0.484
mad	opusa	disgust	0.484
subjugation	kugonjetsedwa	disgust	0.484
possessed	ali nawo	disgust	0.484
animosity	chidani	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	kufalitsa	disgust	0.484
disrespectful	kusalemekeza	disgust	0.484
mess	chisokonezo	disgust	0.484
nepotism	malingaliro	disgust	0.484
inexcusable	opanda chifukwa	disgust	0.484
pathetic	wokhumudwitsa	disgust	0.477
unpleasant	zosangalatsa	disgust	0.477
suppression	kuchotsa	disgust	0.477
mockery	kuseka	disgust	0.477
palsy	wodwala ziwalo	disgust	0.477
criminal	chigawenga	disgust	0.477
illegality	kusayeruzika	disgust	0.477
uncaring	osasamala	disgust	0.477
antagonistic	kutsutsa	disgust	0.477
immorality	chiwerewere	disgust	0.477
dismal	kusokonezeka	disgust	0.477
angry	wokwiya	disgust	0.469
repellent	wonyalanyaza	disgust	0.469
cough	chifuwa	disgust	0.469
arrogant	odzikuza	disgust	0.469
grating	kugaya	disgust	0.469
aggravation	zovuta	disgust	0.469
livid	zovuta	disgust	0.469
banishment	kuchotsedwa	disgust	0.469
shoddy	shoddy	disgust	0.469
banshee	banshee	disgust	0.469
poverty	umphaŵi	disgust	0.469
wallow	dulani	disgust	0.469
outrage	mkwiyo	disgust	0.469
mocking	kunyoza	disgust	0.469
furious	wokwiya	disgust	0.469
perspiration	thukuta	disgust	0.469
prick	choyamba	disgust	0.461
recklessness	kusalabadira	disgust	0.461
distorted	kusokonezedwa	disgust	0.461
fraudulent	chinyengo	disgust	0.461
spider	kangaude	disgust	0.461
quack	zosowa	disgust	0.461
perdition	chiwonongeko	disgust	0.461
muddy	matope	disgust	0.461
spurious	zonyansa	disgust	0.461
insulting	kunyoza	disgust	0.461
scar	zowawa	disgust	0.461
deceive	kunyenga	disgust	0.461
unjustifiable	osadziwika	disgust	0.461
fool	wopusa	disgust	0.461
deplore	dandaula	disgust	0.461
plunder	zofunkha	disgust	0.461
aphid	aphid	disgust	0.453
bane	bane	disgust	0.453
indignation	mkwiyo	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	odzikonda	disgust	0.453
disparage	kusokoneza	disgust	0.453
cur	pita	disgust	0.453
dishonest	wosakhulupirika	disgust	0.453
stigma	manyazi	disgust	0.453
eschew	eschew	disgust	0.453
antipathy	kusamvera	disgust	0.453
alienate	kuchotsa	disgust	0.453
disingenuous	osasamala	disgust	0.453
elimination	kuchotsa	disgust	0.453
unthinkable	zosatheka	disgust	0.453
wasted	adawonongeka	disgust	0.445
recalcitrant	recalcitrant	disgust	0.445
iniquity	zoipa	disgust	0.445
mosquito	udzudzu	disgust	0.445
caries	amalephera	disgust	0.445
bankruptcy	bankruptcy	disgust	0.445
egotistical	odzikuza	disgust	0.445
piles	milu	disgust	0.445
smell	fungo	disgust	0.445
vacuous	osakhudzidwa	disgust	0.445
despair	kukhumudwa	disgust	0.445
opium	opiamu	disgust	0.445
garish	garish	disgust	0.445
lie	bodza	disgust	0.445
pious	wopembedza	disgust	0.445
aversion	chisokonezo	disgust	0.438
sticky	zovuta	disgust	0.438
scream	kufuula	disgust	0.438
alien	mlendo	disgust	0.438
shun	pewani	disgust	0.438
abnormal	zachilendo	disgust	0.438
ashamed	manyazi	disgust	0.438
inmate	womangidwa	disgust	0.438
abject	zovuta	disgust	0.438
hog	nkhumba	disgust	0.438
hopelessness	kusowa chiyembekezo	disgust	0.438
homeless	opanda pokhala	disgust	0.438
obnoxious	zosautsa	disgust	0.438
curse	temberero	disgust	0.430
creature	cholengedwa	disgust	0.430
cursing	kutemberera	disgust	0.430
illegal	zoletsedwa	disgust	0.430
lusty	zonyansa	disgust	0.430
shameless	manyazi	disgust	0.430
debris	zinyalala	disgust	0.430
defiance	kutsutsa	disgust	0.430
pall	pall	disgust	0.430
falsity	zonyansa	disgust	0.430
reflux	reflux	disgust	0.430
incredulous	osakayikira	disgust	0.430
adverse	zovuta	disgust	0.430
trickery	chinyengo	disgust	0.430
callous	wosayamika	disgust	0.430
separatist	wopatukana	disgust	0.430
undesirable	zosayenera	disgust	0.430
denounce	onyoza	disgust	0.430
witch	mfiti	disgust	0.430
bum	bum	disgust	0.422
bovine	nkhumba	disgust	0.422
denunciation	chidzudzulo	disgust	0.422
untidy	osasamala	disgust	0.422
impure	zosayera	disgust	0.422
mistrust	kusakhulupirira	disgust	0.422
tarnish	kuwononga	disgust	0.422
ferocious	zoopsa	disgust	0.422
gush	kutsitsa	disgust	0.422
infantile	mwana wamng'ono	disgust	0.422
ammonia	ammonia	disgust	0.422
offend	akukhumudwitsa	disgust	0.422
idiotic	zosangalatsa	disgust	0.422
hypertrophy	kuwopsa	disgust	0.422
nicotine	chikonga	disgust	0.422
tasteless	zopanda pake	disgust	0.422
pompous	zamwano	disgust	0.422
socialist	chikhalidwe	disgust	0.422
delinquent	kupotoza	disgust	0.422
swarm	dzombe	disgust	0.422
contentious	kukangana	disgust	0.422
carelessness	kusasamala	disgust	0.422
hairy	zowawa	disgust	0.422
wasting	kuwononga	disgust	0.422
slush	slush	disgust	0.422
affront	chisokonezo	disgust	0.422
collapse	kugwa	disgust	0.422
badness	zoipa	disgust	0.422
dishonesty	kusakhulupirika	disgust	0.414
vegetative	vegetative	disgust	0.414
displacency	kusamuka	disgust	0.414
unfavorable	osakondweretsa	disgust	0.414
disobey	osamvera	disgust	0.414
sour	zowawa	disgust	0.414
socialism	chikhalidwe	disgust	0.414
murky	mdima	disgust	0.414
neglected	kunyalanyazidwa	disgust	0.414
drivel	kuyendetsa	disgust	0.414
vampire	vampire	disgust	0.414
litigious	zovuta	disgust	0.414
illegitimate	wosaloledwa	disgust	0.414
disgruntled	osakondwera	disgust	0.406
ignorant	osadziwa	disgust	0.406
outcast	osokonezeka	disgust	0.406
unkind	zosakoma mtima	disgust	0.406
repel	bwererani	disgust	0.406
displeasure	chisangalalo	disgust	0.406
phony	zovuta	disgust	0.406
shoplifting	kugulitsa m'masitolo	disgust	0.406
dislike	osakonda	disgust	0.406
unlawful	zoletsedwa	disgust	0.406
bogus	chinyengo	disgust	0.406
discontinuity	kusiya	disgust	0.406
recidivism	kubwezeretsedwa	disgust	0.406
ungrateful	osayamika	disgust	0.406
wrongdoing	cholakwika	disgust	0.406
falsify	kunyenga	disgust	0.406
prosecution	kutsutsa	disgust	0.406
failure	kulephera	disgust	0.398
loon	loon	disgust	0.398
lick	kunyenga	disgust	0.398
subvert	kusokoneza	disgust	0.398
rigor	zovuta	disgust	0.398
unruly	osayenera	disgust	0.398
paucity	kusowa	disgust	0.398
unnatural	zachilendo	disgust	0.398
averse	kutsutsana	disgust	0.398
senseless	wopanda nzeru	disgust	0.398
worsening	kuwonjezereka	disgust	0.398
disdain	kunyoza	disgust	0.398
woe	tsoka	disgust	0.398
woefully	tsoka	disgust	0.398
amphetamines	amphetamines	disgust	0.398
stingy	zovuta	disgust	0.398
crushing	kusweka	disgust	0.398
insult	kunyoza	disgust	0.393
damage	kuwonongeka	disgust	0.391
hardened	kuumitsa	disgust	0.391
diatribe	diatribe	disgust	0.391
averseness	kusokoneza	disgust	0.391
critter	wotsutsa	disgust	0.391
muff	muff	disgust	0.391
antisocial	kusagwirizana	disgust	0.391
punishment	chilango	disgust	0.391
bad	zoipa	disgust	0.391
punished	adzalangidwa	disgust	0.391
disrelish	kusokoneza	disgust	0.391
expel	tulutsani	disgust	0.391
farcical	zovuta	disgust	0.391
scorpion	scorpion	disgust	0.391
sacrifices	nsembe	disgust	0.383
plagiarism	zolaula	disgust	0.383
hypocritical	chinyengo	disgust	0.383
divorce	kusudzulana	disgust	0.383
presumptuous	odzikuza	disgust	0.383
discord	kusagwirizana	disgust	0.383
fugitive	wothawa	disgust	0.383
fulsome	fulsome	disgust	0.383
shabby	zovuta	disgust	0.383
orc	orc	disgust	0.383
adder	adder	disgust	0.383
anaconda	anaconda	disgust	0.383
surly	zokondweretsa	disgust	0.383
irrational	zopanda nzeru	disgust	0.383
disappoint	kudandaula	disgust	0.383
illiterate	osaphunzira	disgust	0.383
lament	kulira	disgust	0.383
eviction	kuchotsedwa	disgust	0.383
teeming	zolemba	disgust	0.383
guilt	kudziimba mlandu	disgust	0.383
misconduct	kulakwitsa	disgust	0.375
blame	mlandu	disgust	0.375
alienation	kuchoka	disgust	0.375
depressing	kukhumudwitsa	disgust	0.375
irritating	kukwiya	disgust	0.375
plight	zovuta	disgust	0.375
unworthy	osayenera	disgust	0.375
dislocated	anamasulidwa	disgust	0.375
scoff	kunyoza	disgust	0.375
irritation	kukwiya	disgust	0.375
defective	zopanda pake	disgust	0.375
shock	kudabwa	disgust	0.375
hoax	chopusitsira	disgust	0.367
coerce	pikani	disgust	0.367
revoke	kubwezeretsani	disgust	0.367
stripped	atachotsedwa	disgust	0.367
exclusion	kuchotsedwa	disgust	0.367
blatant	zosaoneka	disgust	0.367
disillusionment	kusokonezeka	disgust	0.367
squelch	sungani	disgust	0.367
unhealthy	zosayenera	disgust	0.367
toad	chophimba	disgust	0.367
wimpy	wimpy	disgust	0.367
pitfall	zovuta	disgust	0.367
vainly	zopanda pake	disgust	0.367
powerless	wopanda mphamvu	disgust	0.367
cad	cad	disgust	0.367
hurtful	zopweteka	disgust	0.367
shuddering	kusokoneza	disgust	0.367
wimp	wimp	disgust	0.367
oddity	zodabwitsa	disgust	0.359
rebellion	kupanduka	disgust	0.359
incompatible	zosagwirizana	disgust	0.359
ineptitude	kupanda	disgust	0.359
dispose	taya	disgust	0.359
disobedience	kusamvera	disgust	0.359
damn	Asa	disgust	0.359
bug	kachilomboka	disgust	0.359
deserted	wasiya	disgust	0.359
litigate	kutsutsana	disgust	0.352
ridiculous	zopusa	disgust	0.352
compost	kompositi	disgust	0.352
obi	obi	disgust	0.352
untoward	osagwira ntchito	disgust	0.352
censor	akuyang'ana	disgust	0.352
uncertain	osatsimikizika	disgust	0.352
lawyer	woyimira mlandu	disgust	0.352
flinch	flinch	disgust	0.352
flesh	mnofu	disgust	0.352
crushed	wosweka	disgust	0.352
displeased	osakondwera	disgust	0.352
inept	inept	disgust	0.352
wrongful	zolakwika	disgust	0.352
cutting	kudula	disgust	0.352
fierce	woopsa	disgust	0.352
misbehavior	khalidwe loipa	disgust	0.352
frustrate	zokhumudwitsa	disgust	0.352
dismissal	kuchotsedwa	disgust	0.352
disapprove	osavomereza	disgust	0.344
depreciate	kuchepa	disgust	0.344
tearful	kulira	disgust	0.344
thoughtless	osaganiza	disgust	0.336
unsettled	osasokonezeka	disgust	0.336
lumpy	lumpy	disgust	0.336
discoloration	kusinthika	disgust	0.336
blunder	zolakwika	disgust	0.336
disinclination	kusokonezeka	disgust	0.336
distrust	kusakhulupirika	disgust	0.336
annoy	kukwiya	disgust	0.336
lawsuit	mlandu	disgust	0.336
discontent	osakhutira	disgust	0.336
grumble	sungani	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	daft	disgust	0.336
heartsick	mtimaick	disgust	0.336
disliked	sakonda	disgust	0.336
bickering	kukangana	disgust	0.336
disallowed	adakana	disgust	0.336
unmanageable	chosamvetseka	disgust	0.328
hydrophobia	hydrophobia	disgust	0.328
unsatisfactory	osakhutiritsa	disgust	0.328
whine	kumveka	disgust	0.328
exasperation	kukwiya	disgust	0.328
instability	kusakhazikika	disgust	0.328
provoking	zowawa	disgust	0.328
disappointed	anakhumudwa	disgust	0.328
inhibit	ziletsa	disgust	0.328
sly	sly	disgust	0.328
grievance	zodandaula	disgust	0.328
materialist	wokonda zakuthupi	disgust	0.328
excluded	osatulutsidwa	disgust	0.328
cacophony	cacophony	disgust	0.328
misleading	kusocheretsa	disgust	0.321
disclaim	sungani	disgust	0.320
rags	ziphuphu	disgust	0.320
soot	mitsizi	disgust	0.320
disservice	sungani	disgust	0.320
unequal	osalinganizana	disgust	0.320
humbug	humbug	disgust	0.320
reproach	chitonzo	disgust	0.320
confined	atsekeredwa	disgust	0.320
disapproving	osavomereza	disgust	0.320
annoyance	kukwiya	disgust	0.320
mishap	kusokonezeka	disgust	0.320
groan	akubuula	disgust	0.320
soil	nthaka	disgust	0.312
depreciated	adanyozedwa	disgust	0.312
disincline	kusokoneza	disgust	0.312
inappropriate	zosayenera	disgust	0.312
inconsiderate	osaganizira ena	disgust	0.312
burke	burke	disgust	0.312
overpriced	zapitirira	disgust	0.312
sneeze	shenani	disgust	0.312
stomach	mimba	disgust	0.312
criticize	kutsutsa	disgust	0.312
theism	theism	disgust	0.312
disparity	kusagwirizana	disgust	0.305
gall	ndulu	disgust	0.305
latent	latentha	disgust	0.305
grumpy	grumpy	disgust	0.305
bang	bang	disgust	0.305
inadmissible	zosavomerezeka	disgust	0.305
unfriendly	osakonda	disgust	0.305
shack	mthunzi	disgust	0.305
disliking	kusokonezeka	disgust	0.305
unaccountable	osadziwika	disgust	0.305
coop	nkhumba	disgust	0.304
scold	sungani	disgust	0.297
growling	kukulira	disgust	0.297
