word	Lithuanian-lt	emotion	emotion-intensity-score
traitor	išdavikas	disgust	0.602
ugliness	bjaurumas	disgust	0.602
musty	purvinas	disgust	0.602
illicit	neteisėtas	disgust	0.602
swampy	pelkėtas	disgust	0.602
poaching	brakonieriavimas	disgust	0.602
hag	kaklelis	disgust	0.602
butcher	mėsininkas	disgust	0.594
lunatic	nemalonus	disgust	0.594
venom	nuodai	disgust	0.594
repelling	atstumiantis	disgust	0.594
thug	bjaurus	disgust	0.594
misery	nelaimė	disgust	0.594
toilet	tualetas	disgust	0.594
slug	šliužas	disgust	0.594
catastrophe	katastrofa	disgust	0.594
epidemic	epidemija	disgust	0.594
gut	žarnynas	disgust	0.594
intoxicated	apsvaigęs	disgust	0.594
blister	lizdinė plokštelė	disgust	0.594
deceitful	apgaulingas	disgust	0.594
hostility	priešiškumas	disgust	0.594
queasiness	nervingumas	disgust	0.594
lurid	purvinas	disgust	0.594
sinner	nusidėjėlis	disgust	0.594
incubus	inkubas	disgust	0.586
lavatory	tualetas	disgust	0.586
harass	priekabiauti	disgust	0.586
unclean	nešvarus	disgust	0.586
prostitute	prostitute	disgust	0.586
pornography	pornografija	disgust	0.586
dreadful	baisus	disgust	0.586
deteriorated	pablogėjo	disgust	0.586
appalling	baisus	disgust	0.586
unfaithful	netikri	disgust	0.578
rash	bėrimas	disgust	0.578
humiliating	žeminantis	disgust	0.578
ruinous	griovus	disgust	0.578
squeamish	gudrumas	disgust	0.578
offensive	agresyvus	disgust	0.578
conspirator	sąmokslininkas	disgust	0.578
larceny	larceny	disgust	0.578
debauchery	išblaškymas	disgust	0.578
mangle	mangle	disgust	0.578
flea	blusas	disgust	0.578
hypocrite	veidmainas	disgust	0.578
retard	retard	disgust	0.578
fiend	velnias	disgust	0.578
sick	serga	disgust	0.578
quagmire	dviratininkas	disgust	0.578
expulsion	išsiuntimas iš šalies	disgust	0.578
treacherous	klastingas	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	nerija	disgust	0.570
devastating	niokojantis	disgust	0.570
bastard	bastard	disgust	0.570
messy	netinkamas	disgust	0.570
flog	flogas	disgust	0.570
egregious	kankinantis	disgust	0.570
swamp	pelkė	disgust	0.570
oppress	prispausti	disgust	0.570
despise	niekinti	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	gyvatė	disgust	0.570
snake	gyvatė	disgust	0.562
terrible	baisi	disgust	0.562
awful	baisus	disgust	0.562
harmful	kenksmingas	disgust	0.562
insanity	beprotybė	disgust	0.562
indecent	nepadorus	disgust	0.562
sordid	sordid	disgust	0.562
loo	loo	disgust	0.562
scoundrel	nesąmonė	disgust	0.562
enemy	priešas	disgust	0.562
stealing	vagystė	disgust	0.562
alcoholism	alkoholizmas	disgust	0.562
humiliation	pažeminimas	disgust	0.562
ruthless	negailestingas	disgust	0.562
sloppy	nenuilstantis	disgust	0.562
tyrannical	tironiškas	disgust	0.562
harlot	brolija	disgust	0.562
sinning	nusikaltimas	disgust	0.562
robbery	apiplėšimas	disgust	0.555
insufferable	nepakeliamas	disgust	0.555
arsenic	arsenas	disgust	0.555
bloody	kruvinas	disgust	0.555
odious	bjaurus	disgust	0.555
ridicule	juoktis	disgust	0.555
atrophy	atrofija	disgust	0.555
beastly	bjaurus	disgust	0.555
collusion	sąmokslas	disgust	0.555
distaste	atsikratyti	disgust	0.555
segregate	atskirti	disgust	0.555
discriminating	diskriminuojantis	disgust	0.555
coward	bailys	disgust	0.555
wickedness	nedorybė	disgust	0.555
threatening	grasinanti	disgust	0.555
unattractive	nepatrauklus	disgust	0.555
slayer	Slayer	disgust	0.555
flabby	įtemptas	disgust	0.555
varicella	vėjaraupiai	disgust	0.555
miserable	apgailėtinas	disgust	0.547
sty	sty	disgust	0.547
ogre	Oglė	disgust	0.547
coercion	prievarta	disgust	0.547
thief	vagis	disgust	0.547
slur	slysti	disgust	0.547
suffocating	dusinanti	disgust	0.547
anathema	Anathema	disgust	0.547
purgatory	grynintuvas	disgust	0.547
malevolent	piktas	disgust	0.547
bitterly	kartaus	disgust	0.547
burglar	įsilaužimas	disgust	0.547
attacking	puola	disgust	0.547
vesicular	vezikulinis	disgust	0.547
condemnation	pasmerkimas	disgust	0.547
pillage	plėšimas	disgust	0.547
deleterious	žalingas	disgust	0.547
thrash	Thrash	disgust	0.539
repellant	repelentas	disgust	0.539
repudiation	atsisakymas	disgust	0.539
infidelity	netikėjimas	disgust	0.539
liar	melagis	disgust	0.539
fatty	riebalingas	disgust	0.539
gob	gob	disgust	0.539
sneer	sneer	disgust	0.539
drunken	girtas	disgust	0.539
disgrace	gėda	disgust	0.539
shame	gėda	disgust	0.539
jealous	pavydus	disgust	0.539
imprisoned	įkalintas	disgust	0.539
pig	kiaulė	disgust	0.539
greedy	godus	disgust	0.539
sloth	Liūdna	disgust	0.539
lethal	mirtina	disgust	0.536
burnt	sudegęs	disgust	0.531
aberration	aberacija	disgust	0.531
condescension	nusivylimas	disgust	0.531
hydrocephalus	hidrocefalija	disgust	0.531
hanging	kabantis	disgust	0.531
destructive	destruktyvus	disgust	0.531
smuggler	kontrabandininkas	disgust	0.531
intolerant	netoleranti	disgust	0.531
travesty	travesty	disgust	0.531
intrusive	intrusyvus	disgust	0.531
ruined	sugadintas	disgust	0.531
withered	nudrus	disgust	0.531
disintegrate	suskaidyti	disgust	0.531
brawl	sumušimas	disgust	0.531
blemish	trūkumas	disgust	0.531
neurotic	neurotiškas	disgust	0.531
blasphemous	šventvagiškas	disgust	0.531
lying	melas	disgust	0.531
painful	skausmingas	disgust	0.531
avarice	avarija	disgust	0.523
disgraced	gėda	disgust	0.523
mistress	šeimininkė	disgust	0.523
disparaging	nusivylimas	disgust	0.523
rubbish	šiukšlės	disgust	0.523
derogation	nukrypimas	disgust	0.523
accusation	kaltinimas	disgust	0.523
intolerance	netolerancija	disgust	0.523
incarceration	įkalinimas	disgust	0.523
blighted	blighted	disgust	0.523
sump	krosnelė	disgust	0.516
deplorable	apgailėtinas	disgust	0.516
daemon	daemonas	disgust	0.516
cringe	Cringe	disgust	0.516
degrade	pabloginti	disgust	0.516
gutter	latakai	disgust	0.516
rob	apiplėšti	disgust	0.516
grim	siauras	disgust	0.516
defraud	apgauti	disgust	0.516
tortious	tariamai	disgust	0.516
eradication	likvidavimas	disgust	0.516
stink	garsas	disgust	0.516
convict	kaltinamasis	disgust	0.516
dishonor	nesąžiningi	disgust	0.516
vulture	grifas	disgust	0.516
remains	lieka	disgust	0.516
mite	erkė	disgust	0.516
betray	išduoti	disgust	0.516
sham	plaktukas	disgust	0.509
endemic	endemiškas	disgust	0.508
bombed	bombardavo	disgust	0.508
distress	nelaimė	disgust	0.508
pest	kenkėjas	disgust	0.508
incurable	neišgydomas	disgust	0.508
worthless	beverčiai	disgust	0.508
rejection	atmetimas	disgust	0.508
distasteful	nepatogus	disgust	0.508
schizophrenia	šizofrenija	disgust	0.508
belittle	nuraminti	disgust	0.508
smelling	kvapas	disgust	0.508
cheat	apgauti	disgust	0.508
blob	BLOB	disgust	0.508
prisoner	kalinys	disgust	0.508
idiocy	idiotiškumas	disgust	0.508
delirium	deliriumas	disgust	0.508
disaster	nelaimė	disgust	0.508
crude	žalios	disgust	0.508
resentment	apmaudas	disgust	0.508
dreadfully	baisiai	disgust	0.508
glut	perpylimas	disgust	0.508
polemic	polemika	disgust	0.500
derision	sumišimas	disgust	0.500
idolatry	stabmeldystė	disgust	0.500
taboo	tabu	disgust	0.500
screaming	rėkia	disgust	0.500
banish	pašalinti	disgust	0.500
dirt	purvas	disgust	0.500
goblin	Goblinas	disgust	0.500
shackle	sijonas	disgust	0.500
bribery	kyšininkavimas	disgust	0.500
flagrant	akivaizdus	disgust	0.500
jealousy	pavydas	disgust	0.500
impurity	priemaiša	disgust	0.500
theft	vagystė	disgust	0.500
bitterness	kartumas	disgust	0.500
offense	nusikaltimas	disgust	0.500
impeach	impeach	disgust	0.500
blight	purvinas	disgust	0.500
duress	priversti	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	godumas	disgust	0.500
tirade	tirade	disgust	0.500
squirm	kramtyti	disgust	0.492
robber	plėšikas	disgust	0.492
ill	nesveikas	disgust	0.492
unconscionable	nepagrįstas	disgust	0.492
recession	nuosmukis	disgust	0.492
gorge	Gorge	disgust	0.492
wreck	avarija	disgust	0.492
malign	kenksmingas	disgust	0.492
boil	virti	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idiotas	disgust	0.492
disreputable	nepriimtinas	disgust	0.492
wasteful	švaistomi	disgust	0.484
affliction	nelaimė	disgust	0.484
stain	dėmė	disgust	0.484
contempt	panieka	disgust	0.484
nappy	vystyklai	disgust	0.484
mutiny	maištas	disgust	0.484
occult	okultas	disgust	0.484
tramp	trampinė	disgust	0.484
unbearable	nepakeliamas	disgust	0.484
offender	nusikaltėlis	disgust	0.484
servile	servile	disgust	0.484
contraband	kontrabanda	disgust	0.484
raging	siaubti	disgust	0.484
snarl	snarl	disgust	0.484
mad	piktas	disgust	0.484
subjugation	subjugavimas	disgust	0.484
possessed	turima	disgust	0.484
animosity	priešiškumas	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	šmeižtas	disgust	0.484
disrespectful	nepagarbus	disgust	0.484
mess	netvarka	disgust	0.484
nepotism	nepotizmas	disgust	0.484
inexcusable	nepateisinamas	disgust	0.484
pathetic	apgailėtina	disgust	0.477
unpleasant	nemalonus	disgust	0.477
suppression	slopinimas	disgust	0.477
mockery	pasityčiojimas	disgust	0.477
palsy	paralyžius	disgust	0.477
criminal	nusikalstamas	disgust	0.477
illegality	neteisėtumas	disgust	0.477
uncaring	neprilygstamas	disgust	0.477
antagonistic	antagonistinis	disgust	0.477
immorality	amoralumas	disgust	0.477
dismal	žiaurus	disgust	0.477
angry	piktas	disgust	0.469
repellent	atstumiantis	disgust	0.469
cough	kosulys	disgust	0.469
arrogant	arogantiškas	disgust	0.469
grating	groteles	disgust	0.469
aggravation	pablogėjimas	disgust	0.469
livid	gyvas	disgust	0.469
banishment	išvedimas	disgust	0.469
shoddy	menkas	disgust	0.469
banshee	banshee	disgust	0.469
poverty	skurdas	disgust	0.469
wallow	nuleisti	disgust	0.469
outrage	pasipiktinimas	disgust	0.469
mocking	išminkimas	disgust	0.469
furious	įsiutę	disgust	0.469
perspiration	prakaitavimas	disgust	0.469
prick	traukti	disgust	0.461
recklessness	neapdairumas	disgust	0.461
distorted	iškreipta	disgust	0.461
fraudulent	apgavikiškas	disgust	0.461
spider	voras	disgust	0.461
quack	kvailys	disgust	0.461
perdition	žudymas	disgust	0.461
muddy	purvinas	disgust	0.461
spurious	klaidingas	disgust	0.461
insulting	įžeidimas	disgust	0.461
scar	randas	disgust	0.461
deceive	apgauti	disgust	0.461
unjustifiable	nepagrįstas	disgust	0.461
fool	kvailys	disgust	0.461
deplore	apgailestauju	disgust	0.461
plunder	grobtis	disgust	0.461
aphid	aphid	disgust	0.453
bane	buna	disgust	0.453
indignation	pasipiktinimas	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	savanaudis	disgust	0.453
disparage	nusiminusi	disgust	0.453
cur	cur	disgust	0.453
dishonest	nesąžiningas	disgust	0.453
stigma	stigma	disgust	0.453
eschew	išvengti	disgust	0.453
antipathy	antipatija	disgust	0.453
alienate	atsikratyti	disgust	0.453
disingenuous	menkas	disgust	0.453
elimination	pašalinimas	disgust	0.453
unthinkable	neįsivaizduojamas	disgust	0.453
wasted	švaistomi	disgust	0.445
recalcitrant	nepaklusnus	disgust	0.445
iniquity	neteisybė	disgust	0.445
mosquito	uodai	disgust	0.445
caries	kariesas	disgust	0.445
bankruptcy	bankrotas	disgust	0.445
egotistical	egoistinis	disgust	0.445
piles	poliai	disgust	0.445
smell	kvapas	disgust	0.445
vacuous	laisvas	disgust	0.445
despair	neviltis	disgust	0.445
opium	opiumas	disgust	0.445
garish	garish	disgust	0.445
lie	melas	disgust	0.445
pious	dievobaimingas	disgust	0.445
aversion	nepasitenkinimas	disgust	0.438
sticky	lipnus	disgust	0.438
scream	šaukti	disgust	0.438
alien	užsienietis	disgust	0.438
shun	apsisaugoti	disgust	0.438
abnormal	nenormalus	disgust	0.438
ashamed	sugėdintas	disgust	0.438
inmate	kalinys	disgust	0.438
abject	abject	disgust	0.438
hog	šernas	disgust	0.438
hopelessness	beviltiškumas	disgust	0.438
homeless	benamiai	disgust	0.438
obnoxious	nemalonus	disgust	0.438
curse	prakeiksmas	disgust	0.430
creature	tvarinys	disgust	0.430
cursing	prakeikimas	disgust	0.430
illegal	neteisėtas	disgust	0.430
lusty	linksma	disgust	0.430
shameless	be nieko	disgust	0.430
debris	nuolaužos	disgust	0.430
defiance	nepasitenkinimas	disgust	0.430
pall	Pall	disgust	0.430
falsity	neteisingumas	disgust	0.430
reflux	refliuksas	disgust	0.430
incredulous	neatitikus	disgust	0.430
adverse	neigiamas	disgust	0.430
trickery	apgaulė	disgust	0.430
callous	kuklus	disgust	0.430
separatist	separatistinis	disgust	0.430
undesirable	nepageidautinas	disgust	0.430
denounce	denonsuoti	disgust	0.430
witch	ragana	disgust	0.430
bum	Bum	disgust	0.422
bovine	galvijai	disgust	0.422
denunciation	denonsavimas	disgust	0.422
untidy	netinkamas	disgust	0.422
impure	nešvarus	disgust	0.422
mistrust	nepasitikėjimas	disgust	0.422
tarnish	sumušti	disgust	0.422
ferocious	žiaurus	disgust	0.422
gush	gush	disgust	0.422
infantile	kūdikiškas	disgust	0.422
ammonia	amoniakas	disgust	0.422
offend	įžeisti	disgust	0.422
idiotic	idiotiškas	disgust	0.422
hypertrophy	hipertrofija	disgust	0.422
nicotine	nikotinas	disgust	0.422
tasteless	beskonis	disgust	0.422
pompous	pompuotas	disgust	0.422
socialist	socialistė	disgust	0.422
delinquent	nusikaltėlis	disgust	0.422
swarm	gurkšnis	disgust	0.422
contentious	ginčytina	disgust	0.422
carelessness	nerūpestingumas	disgust	0.422
hairy	plaukuotas	disgust	0.422
wasting	švaistyti	disgust	0.422
slush	skalauti	disgust	0.422
affront	apgauti	disgust	0.422
collapse	žlugti	disgust	0.422
badness	blogybė	disgust	0.422
dishonesty	nesąžiningumas	disgust	0.414
vegetative	vegetatyvinis	disgust	0.414
displacency	pasikeitimas	disgust	0.414
unfavorable	nepalankus	disgust	0.414
disobey	nepaklusti	disgust	0.414
sour	rūgštus	disgust	0.414
socialism	socializmas	disgust	0.414
murky	siauras	disgust	0.414
neglected	nepastebėta	disgust	0.414
drivel	Drivel	disgust	0.414
vampire	vampyras	disgust	0.414
litigious	ginčytinas	disgust	0.414
illegitimate	neteisėtas	disgust	0.414
disgruntled	nepatogus	disgust	0.406
ignorant	neišmanantis	disgust	0.406
outcast	apleistas	disgust	0.406
unkind	negeras	disgust	0.406
repel	atstumti	disgust	0.406
displeasure	nepatenkinti	disgust	0.406
phony	apgavikas	disgust	0.406
shoplifting	parduotuvių parduotuvės	disgust	0.406
dislike	nepatinka	disgust	0.406
unlawful	neteisėtas	disgust	0.406
bogus	fiktyvus	disgust	0.406
discontinuity	nutraukimas	disgust	0.406
recidivism	recidyvizmas	disgust	0.406
ungrateful	nepagarbus	disgust	0.406
wrongdoing	piktnaudžiavimas	disgust	0.406
falsify	klastoti	disgust	0.406
prosecution	baudžiamasis persekiojimas	disgust	0.406
failure	nesėkmė	disgust	0.398
loon	Loon	disgust	0.398
lick	laižyti	disgust	0.398
subvert	suplakti	disgust	0.398
rigor	griežtumas	disgust	0.398
unruly	nepaklusnus	disgust	0.398
paucity	mažumas	disgust	0.398
unnatural	nenatūralus	disgust	0.398
averse	nepasitenkinimas	disgust	0.398
senseless	beprasmis	disgust	0.398
worsening	blogėja	disgust	0.398
disdain	nusivylimas	disgust	0.398
woe	Vargas	disgust	0.398
woefully	apgailestauju	disgust	0.398
amphetamines	amfetaminai	disgust	0.398
stingy	švelnus	disgust	0.398
crushing	griovimas	disgust	0.398
insult	įžeidimas	disgust	0.393
damage	žala	disgust	0.391
hardened	grūdintas	disgust	0.391
diatribe	Diatribe	disgust	0.391
averseness	atvirumas	disgust	0.391
critter	Critter	disgust	0.391
muff	mufas	disgust	0.391
antisocial	antisocialas	disgust	0.391
punishment	bausmė	disgust	0.391
bad	blogai	disgust	0.391
punished	nubaustas	disgust	0.391
disrelish	atsikratyti	disgust	0.391
expel	išsiųsti	disgust	0.391
farcical	farcical	disgust	0.391
scorpion	skorpionas	disgust	0.391
sacrifices	aukos	disgust	0.383
plagiarism	plagiatas	disgust	0.383
hypocritical	veidmainiškas	disgust	0.383
divorce	skyrybos	disgust	0.383
presumptuous	įžūlus	disgust	0.383
discord	nesantaika	disgust	0.383
fugitive	bėgikas	disgust	0.383
fulsome	pilnas	disgust	0.383
shabby	apdriskęs	disgust	0.383
orc	orc	disgust	0.383
adder	papildiklis	disgust	0.383
anaconda	Anaconda	disgust	0.383
surly	drąsus	disgust	0.383
irrational	neracionalus	disgust	0.383
disappoint	nuvilti	disgust	0.383
illiterate	neraštingas	disgust	0.383
lament	gailestis	disgust	0.383
eviction	iškeldinimas	disgust	0.383
teeming	plakimas	disgust	0.383
guilt	kaltumas	disgust	0.383
misconduct	nusižengimas	disgust	0.375
blame	kaltinti	disgust	0.375
alienation	atsiskyrimas	disgust	0.375
depressing	depresija	disgust	0.375
irritating	dirgina	disgust	0.375
plight	sunku	disgust	0.375
unworthy	nepagrįstas	disgust	0.375
dislocated	dislokuotas	disgust	0.375
scoff	siautėti	disgust	0.375
irritation	dirginimas	disgust	0.375
defective	defektinis	disgust	0.375
shock	šokas	disgust	0.375
hoax	apgaulė	disgust	0.367
coerce	priversti	disgust	0.367
revoke	atšaukti	disgust	0.367
stripped	išvalytas	disgust	0.367
exclusion	išskyrimas	disgust	0.367
blatant	akivaizdus	disgust	0.367
disillusionment	nusivylimas	disgust	0.367
squelch	šlifuoti	disgust	0.367
unhealthy	nesveika	disgust	0.367
toad	rupūžė	disgust	0.367
wimpy	wimpy	disgust	0.367
pitfall	pataikymas	disgust	0.367
vainly	veltui	disgust	0.367
powerless	bejėgis	disgust	0.367
cad	Cad	disgust	0.367
hurtful	žalingas	disgust	0.367
shuddering	drebulys	disgust	0.367
wimp	wimp	disgust	0.367
oddity	keista	disgust	0.359
rebellion	sukilimas	disgust	0.359
incompatible	nesuderinama	disgust	0.359
ineptitude	netinkamumas	disgust	0.359
dispose	išmesti	disgust	0.359
disobedience	nepaklusnumas	disgust	0.359
damn	prakeiktas	disgust	0.359
bug	klaida	disgust	0.359
deserted	apleistas	disgust	0.359
litigate	ginčyti bylą	disgust	0.352
ridiculous	juokinga	disgust	0.352
compost	kompostas	disgust	0.352
obi	obi	disgust	0.352
untoward	nepageidaujamas	disgust	0.352
censor	cenzūra	disgust	0.352
uncertain	neaišku	disgust	0.352
lawyer	teisininkas	disgust	0.352
flinch	šnibždėti	disgust	0.352
flesh	kūnas	disgust	0.352
crushed	susmulkintas	disgust	0.352
displeased	nepatinka	disgust	0.352
inept	negerai	disgust	0.352
wrongful	neteisėtas	disgust	0.352
cutting	pjaustymas	disgust	0.352
fierce	aštri	disgust	0.352
misbehavior	neteisingas elgesys	disgust	0.352
frustrate	iškraipyti	disgust	0.352
dismissal	atleidimas iš darbo	disgust	0.352
disapprove	nepatvirtinkite	disgust	0.344
depreciate	nusidėvėjimas	disgust	0.344
tearful	ašarojimas	disgust	0.344
thoughtless	neapgalvotas	disgust	0.336
unsettled	nesuderinta	disgust	0.336
lumpy	vienkartinis	disgust	0.336
discoloration	spalvos pasikeitimas	disgust	0.336
blunder	klaida	disgust	0.336
disinclination	neviltis	disgust	0.336
distrust	nepasitikėjimas	disgust	0.336
annoy	erzina	disgust	0.336
lawsuit	ieškinys	disgust	0.336
discontent	nepasitenkinimas	disgust	0.336
grumble	šoktelėti	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	daft	disgust	0.336
heartsick	širdelė	disgust	0.336
disliked	nepatinka	disgust	0.336
bickering	siaubti	disgust	0.336
disallowed	neleidžiama	disgust	0.336
unmanageable	nevaldomas	disgust	0.328
hydrophobia	hidrofobija	disgust	0.328
unsatisfactory	nepatenkinama	disgust	0.328
whine	šypsotis	disgust	0.328
exasperation	pasipiktinimas	disgust	0.328
instability	nestabilumas	disgust	0.328
provoking	provokuojantis	disgust	0.328
disappointed	nusivylusi	disgust	0.328
inhibit	slopinti	disgust	0.328
sly	kvailas	disgust	0.328
grievance	skundas	disgust	0.328
materialist	materialistinis	disgust	0.328
excluded	neįtraukta	disgust	0.328
cacophony	kakofonija	disgust	0.328
misleading	klaidinantis	disgust	0.321
disclaim	atsisakyti	disgust	0.320
rags	skudurus	disgust	0.320
soot	suodžiai	disgust	0.320
disservice	kantrumas	disgust	0.320
unequal	nevienodas	disgust	0.320
humbug	Humbug	disgust	0.320
reproach	priekabiavimas	disgust	0.320
confined	uždaras	disgust	0.320
disapproving	nepatvirtinti	disgust	0.320
annoyance	erzina	disgust	0.320
mishap	nesėkmė	disgust	0.320
groan	groan	disgust	0.320
soil	dirvožemis	disgust	0.312
depreciated	nusidėvėjimas	disgust	0.312
disincline	iškraipyti	disgust	0.312
inappropriate	netinkamas	disgust	0.312
inconsiderate	nesvarbu	disgust	0.312
burke	burke	disgust	0.312
overpriced	pervertintas	disgust	0.312
sneeze	Čiaudėti	disgust	0.312
stomach	skrandis	disgust	0.312
criticize	kritikuoti	disgust	0.312
theism	teizmas	disgust	0.312
disparity	skirtumas	disgust	0.305
gall	tulžis	disgust	0.305
latent	latentinis	disgust	0.305
grumpy	bjaurus	disgust	0.305
bang	sprogti	disgust	0.305
inadmissible	nepriimtinas	disgust	0.305
unfriendly	nedraugiškas	disgust	0.305
shack	kratinys	disgust	0.305
disliking	nepatinka	disgust	0.305
unaccountable	neatsakomas	disgust	0.305
coop	bendradarbiauti	disgust	0.304
scold	šmeižti	disgust	0.297
growling	Groti	disgust	0.297
lonely	vienišas	disgust	0.297
delay	delsimas	disgust	0.297
congress	kongresas	disgust	0.297
disregarded	neatsižvelgiama	disgust	0.297
disappointment	nusivylimas	disgust	0.297
backwards	atgal	disgust	0.297
soreness	skausmas	disgust	0.297
rogue	nesąžiningi	disgust	0.297
infamous	liūdnai	disgust	0.289
lesbian	lesbiečių	disgust	0.289
notoriety	žinomumas	disgust	0.289
catechism	katekizmas	disgust	0.289
flop	flop	disgust	0.289
nettle	dilgėlė	disgust	0.289
janitor	Durininkas	disgust	0.289
saturated	prisotintas	disgust	0.281
gaby	gaby	disgust	0.281
prohibited	draudžiama	disgust	0.281
remiss	atleidimas	disgust	0.281
unfair	Nesąžininga	disgust	0.281
desist	atmesti	disgust	0.281
wince	nuraminti	disgust	0.281
aftermath	pasekmės	disgust	0.281
huff	Huff	disgust	0.273
discolored	pasikeitė	disgust	0.273
uneasy	neramus	disgust	0.273
wrangling	ginčytis	disgust	0.273
tribunal	tribunolas	disgust	0.273
weird	keista	disgust	0.266
bureaucrat	biurokratas	disgust	0.266
coldness	šaltis	disgust	0.266
impolite	nepagarbus	disgust	0.266
politic	politika	disgust	0.266
unsatisfied	nepatenkintas	disgust	0.266
swig	swig	disgust	0.266
inefficiency	neveiksmingumas	disgust	0.266
frantic	beviltiška	disgust	0.266
crawl	nuskaityti	disgust	0.266
instinctive	instinktyvus	disgust	0.258
barrow	barrow	disgust	0.258
incase	tuo atveju	disgust	0.258
octopus	aštuonkojai	disgust	0.258
chagrin	chagrin	disgust	0.258
copycat	kopijuoti	disgust	0.258
rascal	sunkus	disgust	0.258
sarcasm	sarkazmas	disgust	0.258
gruff	gruobas	disgust	0.258
misconception	klaidingas supratimas	disgust	0.250
hulk	Hulk	disgust	0.250
shanghai	Šanchajus	disgust	0.250
baboon	babuonas	disgust	0.250
disinclined	nesijaudintas	disgust	0.250
lose	prarasti	disgust	0.250
john	Jonas	disgust	0.250
cupping	puodelis	disgust	0.250
rook	rook	disgust	0.242
gratuitous	nemokamas	disgust	0.242
entangled	įsipainiojęs	disgust	0.242
opponent	priešininkas	disgust	0.242
tariff	tarifas	disgust	0.242
scrub	šveitimas	disgust	0.242
resign	pasitraukti	disgust	0.234
prolong	prailginti	disgust	0.234
backwardness	atsilikimas	disgust	0.234
reluctance	nenoras	disgust	0.234
questionable	abejotinas	disgust	0.234
lagging	atsilieka	disgust	0.234
unlucky	nelaimingas	disgust	0.234
misstatement	iškraipymas	disgust	0.234
reversal	pasikeitimas	disgust	0.227
disqualified	diskvalifikuotas	disgust	0.227
subsidy	subsidija	disgust	0.227
ineffectual	neefektyvus	disgust	0.227
fussy	baisus	disgust	0.227
unpopular	nepopuliarus	disgust	0.227
default	numatytas	disgust	0.227
intense	intensyvus	disgust	0.219
dame	dame	disgust	0.219
evade	išvengti	disgust	0.219
petroleum	naftos	disgust	0.219
weight	svoris	disgust	0.219
frowning	nemalonus	disgust	0.219
actionable	ginčytinas	disgust	0.211
tawny	tawny	disgust	0.211
donkey	asilas	disgust	0.211
unhappy	nelaimingas	disgust	0.211
indifference	abejingumas	disgust	0.203
rave	rave	disgust	0.203
birch	beržas	disgust	0.203
hood	gaubtas	disgust	0.203
desert	dykuma	disgust	0.203
owing	dėl to	disgust	0.203
gnome	gnome	disgust	0.203
awkwardness	nepatogumas	disgust	0.203
inconvenient	nepatogu	disgust	0.203
dandy	dandy	disgust	0.203
speck	speck	disgust	0.203
fleece	vilna	disgust	0.195
howl	gaudyti	disgust	0.195
monochrome	monochrominis	disgust	0.195
airs	airs	disgust	0.195
gelatin	želatina	disgust	0.195
misguided	NO TRANSLATION	disgust	0.195
morals	moralės	disgust	0.195
dabbling	dabbling	disgust	0.195
celebrity	garsenybė	disgust	0.188
avoid	vengti	disgust	0.188
stalemate	aklavietė	disgust	0.188
lush	sodrus	disgust	0.188
gent	Gent	disgust	0.188
lesser	mažesnis	disgust	0.188
sunk	nuskendo	disgust	0.180
nose	nosis	disgust	0.180
claimant	ieškovas	disgust	0.180
laughable	juokiasi	disgust	0.180
possession	valdymas	disgust	0.180
larger	didesnis	disgust	0.164
hoot	Hoot	disgust	0.164
mouthful	gurkšnis	disgust	0.164
thrift	taupymas	disgust	0.164
pregnancy	nėštumas	disgust	0.164
undoubted	neabejotinai	disgust	0.164
clamor	šoktelėti	disgust	0.156
misplace	klaidinga vieta	disgust	0.156
sentence	sakinys	disgust	0.156
parrot	papūga	disgust	0.156
obliging	privalomas	disgust	0.156
nameless	bevardis	disgust	0.148
bummer	bummeris	disgust	0.148
feeling	jausmas	disgust	0.141
elf	Elfas	disgust	0.141
excellence	kompetencija	disgust	0.141
turn	pasukti	disgust	0.133
gray	pilka	disgust	0.133
asymmetry	asimetrija	disgust	0.133
clumsy	gremėzdiškas	disgust	0.133
stall	stalas	disgust	0.133
bran	sėlenos	disgust	0.125
finally	pagaliau	disgust	0.125
lord	Viešpatie	disgust	0.125
boy	berniukas	disgust	0.117
cove	kava	disgust	0.117
nurture	ugdyti	disgust	0.117
savor	išgirsti	disgust	0.117
lemon	citrina	disgust	0.109
winning	laimėti	disgust	0.109
powerful	galingas	disgust	0.102
glitter	blizgučiai	disgust	0.094
interior	interjeras	disgust	0.086
mind	protas	disgust	0.086
treat	gydyk	disgust	0.078
interested	suinteresuotas	disgust	0.078
abundance	gausa	disgust	0.078
honest	nuoširdus	disgust	0.055
kite	aitvaras	disgust	0.055
humble	kuklus	disgust	0.047
tree	medis	disgust	0.039
torture	kankinimas	fear	0.984
terrorist	teroristas	fear	0.972
horrific	siaubingas	fear	0.969
terrorism	terorizmas	fear	0.969
terrorists	teroristai	fear	0.969
suicidebombing	NO TRANSLATION	fear	0.967
kill	nužudyti	fear	0.962
homicidal	žmogžudys	fear	0.959
annihilate	sunaikinti	fear	0.953
