word	Danish-da	emotion	emotion-intensity-score
masochism	masochisme	disgust	0.664
poisonous	giftig	disgust	0.656
prejudiced	forudindtaget	disgust	0.656
bacteria	bakterie	disgust	0.656
death	død	disgust	0.656
poison	gift	disgust	0.656
trash	affald	disgust	0.656
abortion	abort	disgust	0.656
corruption	korruption	disgust	0.656
victimized	offer	disgust	0.656
oppression	undertrykkelse	disgust	0.656
goo	goo	disgust	0.656
latrines	latriner	disgust	0.656
horror	rædsel	disgust	0.656
horrible	forfærdelig	disgust	0.656
nefarious	forbryderiske	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	hævngerrig	disgust	0.648
outhouse	udhus	disgust	0.648
horrid	fælt	disgust	0.648
detestation	afsky	disgust	0.648
sludge	slam	disgust	0.648
ugly	grim	disgust	0.648
trashy	trashy	disgust	0.648
bitch	tæve	disgust	0.648
immoral	umoralsk	disgust	0.648
malfeasance	embedsmisbrug	disgust	0.641
spew	udspy	disgust	0.641
pimple	filipens	disgust	0.641
indecency	uanstændighed	disgust	0.641
unsightly	uskøn	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	skurkagtige	disgust	0.641
cystic	cystisk	disgust	0.641
horrifying	gruopvækkende	disgust	0.641
derogatory	nedsættende	disgust	0.641
laxative	afføringsmiddel	disgust	0.641
criminality	kriminalitet	disgust	0.641
oppressive	undertrykkende	disgust	0.633
sinful	syndig	disgust	0.633
bigoted	bigot	disgust	0.633
doomsday	dommedag	disgust	0.633
prostitution	prostitution	disgust	0.633
ulcer	mavesår	disgust	0.633
secrete	udskille	disgust	0.633
perpetrator	gerningsmand	disgust	0.633
rat	rotte	disgust	0.633
queasy	kvalm	disgust	0.633
mildew	meldug	disgust	0.633
dastardly	nedrige	disgust	0.625
disgraceful	vanærende	disgust	0.625
ghastly	skrækkelige	disgust	0.625
persecution	forfølgelse	disgust	0.625
devilish	djævelsk	disgust	0.625
degrading	nedværdigende	disgust	0.625
obscenity	obskønitet	disgust	0.625
fungus	svamp	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	frådseri	disgust	0.625
stools	afføring	disgust	0.625
suffering	lidelse	disgust	0.625
contemptible	foragtelig	disgust	0.625
cuckold	hanrej	disgust	0.625
bloated	oppustet	disgust	0.625
aghast	forfærdet	disgust	0.625
betrayal	forræderi	disgust	0.617
guillotine	guillotinen	disgust	0.617
infect	inficere	disgust	0.617
spoil	forkæle	disgust	0.617
tetanus	stivkrampe	disgust	0.617
fat	fed	disgust	0.617
louse	lus	disgust	0.617
malicious	ondsindet	disgust	0.617
polygamy	polygami	disgust	0.617
crusty	crusty	disgust	0.617
atrocious	grusomme	disgust	0.617
deceit	bedrag	disgust	0.617
termite	termit	disgust	0.617
loathe	væmmes	disgust	0.617
wench	tøs	disgust	0.617
dying	døende	disgust	0.617
sickly	sygelig	disgust	0.617
diaper	ble	disgust	0.617
strangle	kvæle	disgust	0.617
drool	savle	disgust	0.609
slander	bagvaskelse	disgust	0.609
abhor	afskyr	disgust	0.609
venomous	giftig	disgust	0.609
brothel	bordel	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	voldsomt	disgust	0.609
hostile	fjendtlig	disgust	0.609
sabotage	sabotage	disgust	0.609
deform	deformere	disgust	0.609
bleeding	blødende	disgust	0.609
unwashed	uvaskede	disgust	0.602
lunacy	vanvid	disgust	0.602
imprisonment	fængsling	disgust	0.602
infidel	vantro	disgust	0.602
deprivation	afsavn	disgust	0.602
traitor	forræder	disgust	0.602
ugliness	grimhed	disgust	0.602
musty	muggen	disgust	0.602
illicit	ulovlig	disgust	0.602
swampy	sumpet	disgust	0.602
poaching	krybskytteri	disgust	0.602
hag	hag	disgust	0.602
butcher	slagter	disgust	0.594
lunatic	sindssyg	disgust	0.594
venom	venom	disgust	0.594
repelling	frastødende	disgust	0.594
thug	bandit	disgust	0.594
misery	elendighed	disgust	0.594
toilet	toilet	disgust	0.594
slug	slug	disgust	0.594
catastrophe	katastrofe	disgust	0.594
epidemic	epidemi	disgust	0.594
gut	tarm	disgust	0.594
intoxicated	beruset	disgust	0.594
blister	vabel	disgust	0.594
deceitful	bedragerisk	disgust	0.594
hostility	fjendtlighed	disgust	0.594
queasiness	queasiness	disgust	0.594
lurid	skumle	disgust	0.594
sinner	synder	disgust	0.594
incubus	Incubus	disgust	0.586
lavatory	toilet	disgust	0.586
harass	plage	disgust	0.586
unclean	urene	disgust	0.586
prostitute	prostitueret	disgust	0.586
pornography	pornografi	disgust	0.586
dreadful	forfærdelig	disgust	0.586
deteriorated	forværret	disgust	0.586
appalling	rystende	disgust	0.586
unfaithful	utro	disgust	0.578
rash	udslæt	disgust	0.578
humiliating	ydmygende	disgust	0.578
ruinous	ruinerende	disgust	0.578
squeamish	sarte	disgust	0.578
offensive	offensiv	disgust	0.578
conspirator	medsammensvoren	disgust	0.578
larceny	tyveri	disgust	0.578
debauchery	skørlevned	disgust	0.578
mangle	mangle	disgust	0.578
flea	loppe	disgust	0.578
hypocrite	hykler	disgust	0.578
retard	retard	disgust	0.578
fiend	djævel	disgust	0.578
sick	syg	disgust	0.578
quagmire	hængedynd	disgust	0.578
expulsion	udvisning	disgust	0.578
treacherous	forræderiske	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	spytte	disgust	0.570
devastating	ødelæggende	disgust	0.570
bastard	skiderik	disgust	0.570
messy	rodet	disgust	0.570
flog	piske	disgust	0.570
egregious	ekstreme	disgust	0.570
swamp	sump	disgust	0.570
oppress	undertrykke	disgust	0.570
despise	foragte	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	slange	disgust	0.570
snake	slange	disgust	0.562
terrible	forfærdeligt	disgust	0.562
awful	forfærdelig	disgust	0.562
harmful	skadelig	disgust	0.562
insanity	sindssyge	disgust	0.562
indecent	uanstændig	disgust	0.562
sordid	beskidt	disgust	0.562
loo	loo	disgust	0.562
scoundrel	slyngel	disgust	0.562
enemy	fjende	disgust	0.562
stealing	stjæle	disgust	0.562
alcoholism	alkoholisme	disgust	0.562
humiliation	ydmygelse	disgust	0.562
ruthless	ubarmhjertig	disgust	0.562
sloppy	sløset	disgust	0.562
tyrannical	tyranniske	disgust	0.562
harlot	skøge	disgust	0.562
sinning	synde	disgust	0.562
robbery	røveri	disgust	0.555
insufferable	ulidelig	disgust	0.555
arsenic	arsen	disgust	0.555
bloody	blodig	disgust	0.555
odious	frastødende	disgust	0.555
ridicule	latterliggøre	disgust	0.555
atrophy	atrofi	disgust	0.555
beastly	væmmelig	disgust	0.555
collusion	aftalt spil	disgust	0.555
distaste	afsmag	disgust	0.555
segregate	udskille	disgust	0.555
discriminating	diskriminerende	disgust	0.555
coward	kujon	disgust	0.555
wickedness	ondskab	disgust	0.555
threatening	truende	disgust	0.555
unattractive	uinteressante	disgust	0.555
slayer	slayer	disgust	0.555
flabby	slasket	disgust	0.555
varicella	varicella	disgust	0.555
miserable	elendig	disgust	0.547
sty	stald	disgust	0.547
ogre	trold	disgust	0.547
coercion	tvang	disgust	0.547
thief	tyv	disgust	0.547
slur	nedværdigelse	disgust	0.547
suffocating	kvælende	disgust	0.547
anathema	bandlyst	disgust	0.547
purgatory	skærsilden	disgust	0.547
malevolent	ondsindet	disgust	0.547
bitterly	bittert	disgust	0.547
burglar	indbrudstyv	disgust	0.547
attacking	angribe	disgust	0.547
vesicular	vesikulær	disgust	0.547
condemnation	fordømmelse	disgust	0.547
pillage	plyndring	disgust	0.547
deleterious	skadelig	disgust	0.547
thrash	thrash	disgust	0.539
repellant	frastødende	disgust	0.539
repudiation	afvisning	disgust	0.539
infidelity	utroskab	disgust	0.539
liar	løgner	disgust	0.539
fatty	fed	disgust	0.539
gob	gob	disgust	0.539
sneer	vrængen	disgust	0.539
drunken	beruset	disgust	0.539
disgrace	vanære	disgust	0.539
shame	skam	disgust	0.539
jealous	jaloux	disgust	0.539
imprisoned	fængslet	disgust	0.539
pig	svin	disgust	0.539
greedy	grådig	disgust	0.539
sloth	dovendyr	disgust	0.539
lethal	dødbringende	disgust	0.536
burnt	brændt	disgust	0.531
aberration	aberration	disgust	0.531
condescension	nedladenhed	disgust	0.531
hydrocephalus	hydrocephalus	disgust	0.531
hanging	hængende	disgust	0.531
destructive	Destruktiv	disgust	0.531
smuggler	smugler	disgust	0.531
intolerant	intolerant	disgust	0.531
travesty	parodi	disgust	0.531
intrusive	påtrængende	disgust	0.531
ruined	ødelagt	disgust	0.531
withered	visne	disgust	0.531
disintegrate	smuldre	disgust	0.531
brawl	slagsmål	disgust	0.531
blemish	skamplet	disgust	0.531
neurotic	neurotisk	disgust	0.531
blasphemous	blasfemisk	disgust	0.531
lying	at lyve	disgust	0.531
painful	smertefuld	disgust	0.531
avarice	griskhed	disgust	0.523
disgraced	vanærede	disgust	0.523
mistress	elskerinde	disgust	0.523
disparaging	nedsættende	disgust	0.523
rubbish	vrøvl	disgust	0.523
derogation	dispensation	disgust	0.523
accusation	anklage	disgust	0.523
intolerance	intolerance	disgust	0.523
incarceration	indespærring	disgust	0.523
blighted	ødelagt	disgust	0.523
sump	sump	disgust	0.516
deplorable	beklageligt	disgust	0.516
daemon	dæmon	disgust	0.516
cringe	krybe	disgust	0.516
degrade	nedbryde	disgust	0.516
gutter	tagrende	disgust	0.516
rob	røve	disgust	0.516
grim	barsk	disgust	0.516
defraud	bedrage	disgust	0.516
tortious	skadevoldende	disgust	0.516
eradication	udryddelse	disgust	0.516
stink	stinke	disgust	0.516
convict	straffefange	disgust	0.516
dishonor	vanære	disgust	0.516
vulture	Grib	disgust	0.516
remains	resterne	disgust	0.516
mite	mide	disgust	0.516
betray	forråde	disgust	0.516
sham	falsk	disgust	0.509
endemic	endemisk	disgust	0.508
bombed	bombet	disgust	0.508
distress	nød	disgust	0.508
pest	skadedyr	disgust	0.508
incurable	uhelbredelig	disgust	0.508
worthless	værdiløs	disgust	0.508
rejection	afvisning	disgust	0.508
distasteful	usmagelig	disgust	0.508
schizophrenia	skizofreni	disgust	0.508
belittle	forklejne	disgust	0.508
smelling	lugte	disgust	0.508
cheat	snyde	disgust	0.508
blob	klat	disgust	0.508
prisoner	fange	disgust	0.508
idiocy	idioti	disgust	0.508
delirium	delirium	disgust	0.508
disaster	katastrofe	disgust	0.508
crude	rå	disgust	0.508
resentment	vrede	disgust	0.508
dreadfully	frygtelig	disgust	0.508
glut	overflod	disgust	0.508
polemic	polemisk	disgust	0.500
derision	hån	disgust	0.500
idolatry	afgudsdyrkelse	disgust	0.500
taboo	tabu	disgust	0.500
screaming	skrigende	disgust	0.500
banish	forjage	disgust	0.500
dirt	smuds	disgust	0.500
goblin	goblin	disgust	0.500
shackle	bøjle	disgust	0.500
bribery	bestikkelse	disgust	0.500
flagrant	åbenlys	disgust	0.500
jealousy	misundelse	disgust	0.500
impurity	urenhed	disgust	0.500
theft	tyveri	disgust	0.500
bitterness	bitterhed	disgust	0.500
offense	forbrydelse	disgust	0.500
impeach	anklage	disgust	0.500
blight	afsvide	disgust	0.500
duress	tvang	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	grådighed	disgust	0.500
tirade	ordflom	disgust	0.500
squirm	vride	disgust	0.492
robber	røver	disgust	0.492
ill	syg	disgust	0.492
unconscionable	samvittighedsløse	disgust	0.492
recession	recession	disgust	0.492
gorge	kløft	disgust	0.492
wreck	vrag	disgust	0.492
malign	malign	disgust	0.492
boil	koge	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idiot	disgust	0.492
disreputable	berygtet	disgust	0.492
wasteful	ødsel	disgust	0.484
affliction	lidelse	disgust	0.484
stain	plet	disgust	0.484
contempt	foragt	disgust	0.484
nappy	ble	disgust	0.484
mutiny	mytteri	disgust	0.484
occult	okkulte	disgust	0.484
tramp	tramp	disgust	0.484
unbearable	uudholdelig	disgust	0.484
offender	gerningsmand	disgust	0.484
servile	servil	disgust	0.484
contraband	kontrabande	disgust	0.484
raging	raser	disgust	0.484
snarl	snerren	disgust	0.484
mad	gal	disgust	0.484
subjugation	undertvingelse	disgust	0.484
possessed	besad	disgust	0.484
animosity	fjendskab	disgust	0.484
aversation	aversation	disgust	0.484
defamation	ærekrænkelse	disgust	0.484
disrespectful	respektløst	disgust	0.484
mess	rod	disgust	0.484
nepotism	nepotisme	disgust	0.484
inexcusable	utilgiveligt	disgust	0.484
pathetic	patetisk	disgust	0.477
unpleasant	ubehagelig	disgust	0.477
suppression	undertrykkelse	disgust	0.477
mockery	hån	disgust	0.477
palsy	parese	disgust	0.477
criminal	kriminel	disgust	0.477
illegality	ulovlighed	disgust	0.477
uncaring	ufølsom	disgust	0.477
antagonistic	antagonistiske	disgust	0.477
immorality	umoral	disgust	0.477
dismal	trist	disgust	0.477
angry	vred	disgust	0.469
repellent	frastødende	disgust	0.469
cough	hoste	disgust	0.469
arrogant	arrogant	disgust	0.469
grating	rist	disgust	0.469
aggravation	forværring	disgust	0.469
livid	gusten	disgust	0.469
banishment	landsforvisning	disgust	0.469
shoddy	sjuskede	disgust	0.469
banshee	Banshee	disgust	0.469
poverty	fattigdom	disgust	0.469
wallow	svælge	disgust	0.469
outrage	skandale	disgust	0.469
mocking	spottende	disgust	0.469
furious	rasende	disgust	0.469
perspiration	sved	disgust	0.469
prick	pik	disgust	0.461
recklessness	hensynsløshed	disgust	0.461
distorted	forvrænget	disgust	0.461
fraudulent	svigagtig	disgust	0.461
spider	edderkop	disgust	0.461
quack	kvaksalver	disgust	0.461
perdition	fortabelse	disgust	0.461
muddy	mudret	disgust	0.461
spurious	uægte	disgust	0.461
insulting	fornærmende	disgust	0.461
scar	ar	disgust	0.461
deceive	bedrage	disgust	0.461
unjustifiable	uberettiget	disgust	0.461
fool	narre	disgust	0.461
deplore	beklage	disgust	0.461
plunder	plyndre	disgust	0.461
aphid	bladlus	disgust	0.453
bane	bane	disgust	0.453
indignation	harme	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	selvisk	disgust	0.453
disparage	underkende	disgust	0.453
cur	cur	disgust	0.453
dishonest	uærlig	disgust	0.453
stigma	stigmatisering	disgust	0.453
eschew	tage afstand	disgust	0.453
antipathy	antipati	disgust	0.453
alienate	fremmedgøre	disgust	0.453
disingenuous	tilsnigelse	disgust	0.453
elimination	elimination	disgust	0.453
unthinkable	utænkelig	disgust	0.453
wasted	spildt	disgust	0.445
recalcitrant	genstridige	disgust	0.445
iniquity	Uret	disgust	0.445
mosquito	myg	disgust	0.445
caries	caries	disgust	0.445
bankruptcy	konkurs	disgust	0.445
egotistical	egoistisk	disgust	0.445
piles	bunker	disgust	0.445
smell	lugt	disgust	0.445
vacuous	intetsigende	disgust	0.445
despair	fortvivlelse	disgust	0.445
opium	opium	disgust	0.445
garish	skrigende	disgust	0.445
lie	ligge	disgust	0.445
pious	fromme	disgust	0.445
aversion	aversion	disgust	0.438
sticky	klæbrig	disgust	0.438
scream	skrige	disgust	0.438
alien	alien	disgust	0.438
shun	skye	disgust	0.438
abnormal	abnorm	disgust	0.438
ashamed	skamme sig	disgust	0.438
inmate	indsatte	disgust	0.438
abject	ynkelig	disgust	0.438
hog	hog	disgust	0.438
hopelessness	håbløshed	disgust	0.438
homeless	hjemløs	disgust	0.438
obnoxious	klamt	disgust	0.438
curse	forbande	disgust	0.430
creature	væsen	disgust	0.430
cursing	forbandelse	disgust	0.430
illegal	ulovlig	disgust	0.430
lusty	kernesund	disgust	0.430
shameless	skamløs	disgust	0.430
debris	vragrester	disgust	0.430
defiance	trodsighed	disgust	0.430
pall	pall	disgust	0.430
falsity	falskheden	disgust	0.430
reflux	reflux	disgust	0.430
incredulous	skeptisk	disgust	0.430
adverse	ugunstig	disgust	0.430
trickery	svindel	disgust	0.430
callous	afstumpede	disgust	0.430
separatist	separatistiske	disgust	0.430
undesirable	uønsket	disgust	0.430
denounce	opsige	disgust	0.430
witch	heks	disgust	0.430
bum	vagabond	disgust	0.422
bovine	kvæg	disgust	0.422
denunciation	opsigelse	disgust	0.422
untidy	sjusket	disgust	0.422
impure	uren	disgust	0.422
mistrust	mistillid	disgust	0.422
tarnish	plette	disgust	0.422
ferocious	glubsk	disgust	0.422
gush	vælde	disgust	0.422
infantile	infantil	disgust	0.422
ammonia	ammoniak	disgust	0.422
offend	fornærme	disgust	0.422
idiotic	idiotisk	disgust	0.422
hypertrophy	hypertrofi	disgust	0.422
nicotine	nikotin	disgust	0.422
tasteless	smagløs	disgust	0.422
pompous	pompøse	disgust	0.422
socialist	socialist	disgust	0.422
delinquent	kriminel	disgust	0.422
swarm	sværm	disgust	0.422
contentious	omstridt	disgust	0.422
carelessness	ligegyldighed	disgust	0.422
hairy	behåret	disgust	0.422
wasting	spilder	disgust	0.422
slush	snesjap	disgust	0.422
affront	krænkelse	disgust	0.422
collapse	bryder sammen	disgust	0.422
badness	ondskab	disgust	0.422
dishonesty	uærlighed	disgust	0.414
vegetative	vegetativ	disgust	0.414
displacency	displacency	disgust	0.414
unfavorable	ugunstige	disgust	0.414
disobey	være ulydig	disgust	0.414
sour	sur	disgust	0.414
socialism	socialisme	disgust	0.414
murky	skumle	disgust	0.414
neglected	forsømt	disgust	0.414
drivel	vrøvl	disgust	0.414
vampire	vampyr	disgust	0.414
litigious	litigious	disgust	0.414
illegitimate	uægte	disgust	0.414
disgruntled	utilfredse	disgust	0.406
ignorant	uvidende	disgust	0.406
outcast	udstødt	disgust	0.406
unkind	uvenlig	disgust	0.406
repel	frastøde	disgust	0.406
displeasure	mishag	disgust	0.406
phony	falsk	disgust	0.406
shoplifting	butikstyveri	disgust	0.406
dislike	kan ikke lide	disgust	0.406
unlawful	ulovlig	disgust	0.406
bogus	fup	disgust	0.406
discontinuity	diskontinuitet	disgust	0.406
recidivism	tilbagefald	disgust	0.406
ungrateful	utaknemmelig	disgust	0.406
wrongdoing	forseelser	disgust	0.406
falsify	forfalske	disgust	0.406
prosecution	retsforfølgelse	disgust	0.406
failure	fiasko	disgust	0.398
loon	Loon	disgust	0.398
lick	slikke	disgust	0.398
subvert	undergrave	disgust	0.398
rigor	stringens	disgust	0.398
unruly	uregerlig	disgust	0.398
paucity	knapheden	disgust	0.398
unnatural	unaturlig	disgust	0.398
averse	utilbøjelig	disgust	0.398
senseless	meningsløs	disgust	0.398
worsening	forværring	disgust	0.398
disdain	Foragt	disgust	0.398
woe	ve	disgust	0.398
woefully	sørgeligt	disgust	0.398
amphetamines	amfetamin	disgust	0.398
stingy	nærig	disgust	0.398
crushing	knusning	disgust	0.398
insult	fornærme	disgust	0.393
damage	skade	disgust	0.391
hardened	hærdet	disgust	0.391
diatribe	diatribe	disgust	0.391
averseness	averseness	disgust	0.391
critter	critter	disgust	0.391
muff	muffe	disgust	0.391
antisocial	asocial	disgust	0.391
punishment	straf	disgust	0.391
bad	dårlig	disgust	0.391
punished	straffet	disgust	0.391
disrelish	disrelish	disgust	0.391
expel	bortvise	disgust	0.391
farcical	farceagtige	disgust	0.391
scorpion	skorpion	disgust	0.391
sacrifices	ofre	disgust	0.383
plagiarism	plagiat	disgust	0.383
hypocritical	dobbeltmoralsk	disgust	0.383
divorce	skilsmisse	disgust	0.383
presumptuous	anmassende	disgust	0.383
discord	disharmoni	disgust	0.383
fugitive	flygtning	disgust	0.383
fulsome	servile	disgust	0.383
shabby	lurvet	disgust	0.383
orc	orc	disgust	0.383
adder	adder	disgust	0.383
anaconda	anaconda	disgust	0.383
surly	surly	disgust	0.383
irrational	irrationel	disgust	0.383
disappoint	skuffe	disgust	0.383
illiterate	analfabetisk	disgust	0.383
lament	klagesang	disgust	0.383
eviction	udsættelse	disgust	0.383
teeming	vrimler	disgust	0.383
guilt	skyld	disgust	0.383
misconduct	dårlig opførsel	disgust	0.375
blame	bebrejde	disgust	0.375
alienation	fremmedgørelse	disgust	0.375
depressing	deprimerende	disgust	0.375
irritating	irriterende	disgust	0.375
plight	skæbne	disgust	0.375
unworthy	uværdig	disgust	0.375
dislocated	forvredet	disgust	0.375
scoff	håner	disgust	0.375
irritation	irritation	disgust	0.375
defective	defekt	disgust	0.375
shock	chok	disgust	0.375
hoax	fupnummer	disgust	0.367
coerce	tvinge	disgust	0.367
revoke	tilbagekalde	disgust	0.367
stripped	strippet	disgust	0.367
exclusion	undtagelse	disgust	0.367
blatant	åbenlys	disgust	0.367
disillusionment	desillusionering	disgust	0.367
squelch	squelch	disgust	0.367
unhealthy	usund	disgust	0.367
toad	tudse	disgust	0.367
wimpy	skvattet	disgust	0.367
pitfall	faldgrube	disgust	0.367
vainly	forgæves	disgust	0.367
powerless	magtesløs	disgust	0.367
cad	cad	disgust	0.367
hurtful	sårende	disgust	0.367
shuddering	gysende	disgust	0.367
wimp	skvat	disgust	0.367
oddity	særhed	disgust	0.359
rebellion	oprør	disgust	0.359
incompatible	uforenelig	disgust	0.359
ineptitude	uduelighed	disgust	0.359
dispose	disponere	disgust	0.359
disobedience	ulydighed	disgust	0.359
damn	for pokker	disgust	0.359
bug	insekt	disgust	0.359
deserted	øde	disgust	0.359
litigate	føre proces	disgust	0.352
ridiculous	latterlig	disgust	0.352
compost	kompost	disgust	0.352
obi	obi	disgust	0.352
untoward	genstridige	disgust	0.352
censor	censor	disgust	0.352
uncertain	usikker	disgust	0.352
lawyer	jurist	disgust	0.352
flinch	vige	disgust	0.352
flesh	kød	disgust	0.352
crushed	knust	disgust	0.352
displeased	utilfreds	disgust	0.352
inept	uduelig	disgust	0.352
wrongful	uretmæssig	disgust	0.352
cutting	skæring	disgust	0.352
fierce	voldsom	disgust	0.352
misbehavior	dårlig opførsel	disgust	0.352
frustrate	frustrere	disgust	0.352
dismissal	afskedigelse	disgust	0.352
disapprove	misbillige	disgust	0.344
depreciate	afskrive	disgust	0.344
tearful	tårevædet	disgust	0.344
thoughtless	tankeløs	disgust	0.336
unsettled	uafviklede	disgust	0.336
lumpy	klumpet	disgust	0.336
discoloration	misfarvning	disgust	0.336
blunder	bommert	disgust	0.336
disinclination	ulyst	disgust	0.336
distrust	mistillid	disgust	0.336
annoy	irritere	disgust	0.336
lawsuit	retssag	disgust	0.336
discontent	utilfredshed	disgust	0.336
grumble	knurre	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	dum	disgust	0.336
heartsick	heartsick	disgust	0.336
disliked	hadede	disgust	0.336
bickering	skænderier	disgust	0.336
disallowed	ikke tilladt	disgust	0.336
unmanageable	uoverskuelig	disgust	0.328
hydrophobia	hundegalskab	disgust	0.328
unsatisfactory	utilfredsstillende	disgust	0.328
whine	klynke	disgust	0.328
exasperation	harme	disgust	0.328
instability	ustabilitet	disgust	0.328
provoking	provokerende	disgust	0.328
disappointed	skuffet	disgust	0.328
inhibit	inhibere	disgust	0.328
sly	snu	disgust	0.328
grievance	klage	disgust	0.328
materialist	materialistiske	disgust	0.328
excluded	udelukket	disgust	0.328
cacophony	kakofoni	disgust	0.328
misleading	misvisende	disgust	0.321
disclaim	fralægger	disgust	0.320
rags	klude	disgust	0.320
soot	sod	disgust	0.320
disservice	bjørnetjeneste	disgust	0.320
unequal	ulige	disgust	0.320
humbug	humbug	disgust	0.320
reproach	bebrejdelse	disgust	0.320
confined	begrænset	disgust	0.320
disapproving	misbilligende	disgust	0.320
annoyance	irritation	disgust	0.320
mishap	uheld	disgust	0.320
groan	stønne	disgust	0.320
soil	jord	disgust	0.312
depreciated	afskrives	disgust	0.312
disincline	disincline	disgust	0.312
inappropriate	upassende	disgust	0.312
inconsiderate	ubetænksom	disgust	0.312
burke	Burke	disgust	0.312
overpriced	overpris	disgust	0.312
sneeze	nyse	disgust	0.312
stomach	mave	disgust	0.312
criticize	kritisere	disgust	0.312
theism	teisme	disgust	0.312
disparity	ulighed	disgust	0.305
gall	galde	disgust	0.305
latent	latent	disgust	0.305
grumpy	gnaven	disgust	0.305
bang	bang	disgust	0.305
inadmissible	afvises	disgust	0.305
unfriendly	uvenlig	disgust	0.305
shack	skur	disgust	0.305
disliking	disliking	disgust	0.305
unaccountable	uforklarlig	disgust	0.305
coop	samarbejde	disgust	0.304
scold	skælde ud	disgust	0.297
growling	knurren	disgust	0.297
lonely	ensom	disgust	0.297
delay	forsinke	disgust	0.297
congress	kongres	disgust	0.297
disregarded	bort	disgust	0.297
disappointment	skuffelse	disgust	0.297
backwards	tilbage	disgust	0.297
soreness	ømhed	disgust	0.297
rogue	Rogue	disgust	0.297
infamous	berygtede	disgust	0.289
lesbian	lesbisk	disgust	0.289
notoriety	berygtet	disgust	0.289
catechism	katekismus	disgust	0.289
flop	flop	disgust	0.289
nettle	brændenælde	disgust	0.289
janitor	pedel	disgust	0.289
saturated	mættet	disgust	0.281
gaby	gaby	disgust	0.281
prohibited	forbudt	disgust	0.281
remiss	efterladende	disgust	0.281
unfair	urimelig	disgust	0.281
desist	afstå	disgust	0.281
wince	krympe	disgust	0.281
aftermath	kølvandet	disgust	0.281
huff	mopset	disgust	0.273
discolored	misfarvet	disgust	0.273
uneasy	urolig	disgust	0.273
wrangling	tovtrækkeri	disgust	0.273
tribunal	domstol	disgust	0.273
weird	mærkelig	disgust	0.266
bureaucrat	bureaukrat	disgust	0.266
coldness	kulde	disgust	0.266
impolite	uhøfligt	disgust	0.266
politic	snedig	disgust	0.266
unsatisfied	utilfreds	disgust	0.266
swig	slurk	disgust	0.266
inefficiency	ineffektivitet	disgust	0.266
frantic	Hektisk	disgust	0.266
crawl	kravle	disgust	0.266
instinctive	instinktiv	disgust	0.258
barrow	trillebør	disgust	0.258
incase	i tilfælde af	disgust	0.258
octopus	blæksprutte	disgust	0.258
chagrin	ærgrelse	disgust	0.258
copycat	copycat	disgust	0.258
rascal	slyngel	disgust	0.258
sarcasm	sarkasme	disgust	0.258
gruff	bister	disgust	0.258
misconception	misforståelse	disgust	0.250
hulk	hulk	disgust	0.250
shanghai	shanghai	disgust	0.250
baboon	bavian	disgust	0.250
disinclined	utilbøjelige	disgust	0.250
lose	tabe	disgust	0.250
john	John	disgust	0.250
cupping	cupping	disgust	0.250
rook	råge	disgust	0.242
gratuitous	umotiveret	disgust	0.242
entangled	viklet ind	disgust	0.242
opponent	modstander	disgust	0.242
tariff	tarif	disgust	0.242
scrub	skrubbe	disgust	0.242
resign	træde tilbage	disgust	0.234
prolong	forlænge	disgust	0.234
backwardness	tilbageståenhed	disgust	0.234
reluctance	tilbageholdenhed	disgust	0.234
questionable	tvivlsom	disgust	0.234
lagging	halter	disgust	0.234
unlucky	uheldig	disgust	0.234
misstatement	fejlinformation	disgust	0.234
reversal	vending	disgust	0.227
disqualified	diskvalificeret	disgust	0.227
subsidy	tilskud	disgust	0.227
ineffectual	virkningsløs	disgust	0.227
fussy	kræsen	disgust	0.227
unpopular	upopulær	disgust	0.227
default	Standard	disgust	0.227
intense	intens	disgust	0.219
dame	dame	disgust	0.219
evade	unddrage	disgust	0.219
petroleum	petroleum	disgust	0.219
weight	vægt	disgust	0.219
frowning	vred	disgust	0.219
actionable	handlingsrettede	disgust	0.211
tawny	tawny	disgust	0.211
donkey	æsel	disgust	0.211
unhappy	ulykkelig	disgust	0.211
indifference	ligegyldighed	disgust	0.203
rave	rave	disgust	0.203
birch	birk	disgust	0.203
hood	hætte	disgust	0.203
desert	ørken	disgust	0.203
owing	På grund	disgust	0.203
gnome	gnome	disgust	0.203
awkwardness	kejtethed	disgust	0.203
inconvenient	ubelejligt	disgust	0.203
dandy	dandy	disgust	0.203
speck	plet	disgust	0.203
fleece	fleece	disgust	0.195
howl	hyle	disgust	0.195
monochrome	monokrom	disgust	0.195
airs	airs	disgust	0.195
gelatin	gelatine	disgust	0.195
misguided	vildledt	disgust	0.195
morals	moral	disgust	0.195
dabbling	dabbling	disgust	0.195
celebrity	berømthed	disgust	0.188
avoid	undgå	disgust	0.188
stalemate	dødvande	disgust	0.188
