word	Irish-ga	emotion	emotion-intensity-score
invocation	glaoch	anticipation	0.500
calculation	ríomh	anticipation	0.500
hero	laoch	anticipation	0.500
court	cúirt	anticipation	0.492
repay	aisíoc	anticipation	0.492
improvise	feabhsaithe	anticipation	0.492
parole	parole	anticipation	0.492
worry	imní ort	anticipation	0.492
inauguration	tionscnamh	anticipation	0.492
gaping	bearna	anticipation	0.492
youth	óige	anticipation	0.492
bless	bless	anticipation	0.492
defense	cosaint	anticipation	0.492
heyday	lá	anticipation	0.492
consequent	dá bhrí sin	anticipation	0.492
proceeding	dul ar aghaidh	anticipation	0.492
eventual	deiridh	anticipation	0.492
perspective	peirspictíocht	anticipation	0.492
restorative	athshlánaithe	anticipation	0.492
undertaking	gnóthas	anticipation	0.492
highest	is airde	anticipation	0.491
duel	duel	anticipation	0.484
unexplained	neamhchomhnaithe	anticipation	0.484
tremor	tremor	anticipation	0.484
sharpen	géaraigh	anticipation	0.484
generosity	fhlaithiúlacht	anticipation	0.484
voluptuous	voluptuous	anticipation	0.484
shortly	go gairid	anticipation	0.484
vow	vow	anticipation	0.484
contagion	ionghabháil	anticipation	0.484
letter	litir	anticipation	0.484
happen	tarlú	anticipation	0.484
threaten	bagairt	anticipation	0.484
conjure	coinnigh	anticipation	0.484
sparkle	sparkle	anticipation	0.484
engulf	engulf	anticipation	0.484
god	dia	anticipation	0.484
correspondence	comhfhreagras	anticipation	0.484
auspicious	auspicious	anticipation	0.484
princely	princely	anticipation	0.484
adore	adhair	anticipation	0.477
enroll	clárú	anticipation	0.477
determinate	a chinneadh	anticipation	0.477
predispose	predispose	anticipation	0.477
clue	fios	anticipation	0.477
onset	ag tosú	anticipation	0.477
powerful	cumhachtach	anticipation	0.477
glorify	glorify	anticipation	0.477
glow	glow	anticipation	0.477
arbitration	Eadrána	anticipation	0.477
torture	céasadh	anticipation	0.477
gravitate	léirigh	anticipation	0.477
cherish	cherish	anticipation	0.477
contemplate	machnamh	anticipation	0.477
submit	cuir isteach	anticipation	0.477
perilous	éadócaireach	anticipation	0.477
unification	aontú	anticipation	0.477
score	scór	anticipation	0.477
medal	bonn	anticipation	0.477
glide	Sleamhnaigh	anticipation	0.477
recipient	faighteoir	anticipation	0.477
accompaniment	tionlacan	anticipation	0.477
praiseworthy	moladh	anticipation	0.473
providing	ag soláthar	anticipation	0.469
motion	tairiscint	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	aireach	anticipation	0.469
cash	airgead	anticipation	0.469
precursor	réamhtheachtaí	anticipation	0.469
opera	ceoldráma	anticipation	0.469
elite	mionlach	anticipation	0.469
pry	pry	anticipation	0.469
hire	ar cíos	anticipation	0.469
sweets	milseáin	anticipation	0.469
star	réalta	anticipation	0.469
unsurpassed	unsurpassed	anticipation	0.469
successful	rathúil	anticipation	0.469
unknown	anaithnid	anticipation	0.469
immediately	láithreach	anticipation	0.469
starry	starry	anticipation	0.469
production	táirgeadh	anticipation	0.469
football	peile	anticipation	0.469
completion	críochnaithe	anticipation	0.469
scare	scare	anticipation	0.469
invoke	agairt	anticipation	0.469
shaky	shaky	anticipation	0.469
dawn	dawn	anticipation	0.469
creeping	creeping	anticipation	0.469
cheerfulness	áthas	anticipation	0.461
soundness	fuaimeacht	anticipation	0.461
mail	phost	anticipation	0.461
draft	dréacht	anticipation	0.461
preliminary	réamh	anticipation	0.461
friendly	cairdiúil	anticipation	0.461
commemorative	cuimhneacháin	anticipation	0.461
extricate	leathnú	anticipation	0.461
alive	beo	anticipation	0.461
untold	neamhthuairisc	anticipation	0.461
overture	overture	anticipation	0.461
excel	barr	anticipation	0.461
plight	buan	anticipation	0.461
synchronize	sioncrónú	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	tearmann	anticipation	0.461
brilliant	iontach	anticipation	0.461
pay	pá	anticipation	0.461
shining	shining	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	deimhniú	anticipation	0.461
jeopardy	cionta	anticipation	0.461
perpetuity	suthain	anticipation	0.453
elegance	elegance	anticipation	0.453
career	gairme	anticipation	0.453
basketball	cispheile	anticipation	0.453
intimately	intimately	anticipation	0.453
renovate	athnuachan	anticipation	0.453
supremacy	ceannasacht	anticipation	0.453
infinity	éigríoch	anticipation	0.453
unexpected	gan choinne	anticipation	0.453
flinch	flinch	anticipation	0.453
complement	comhlánú	anticipation	0.453
prologue	prologue	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	cosc	anticipation	0.453
improve	feabhas a chur	anticipation	0.453
sunset	luí na gréine	anticipation	0.453
inaugural	tionscnaimh	anticipation	0.453
rehabilitation	athshlánú	anticipation	0.453
fitting	feistiú	anticipation	0.445
surround	timpeall	anticipation	0.445
share	sciar	anticipation	0.445
epidemic	eipidéim	anticipation	0.445
sweet	milis	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	ceilt	anticipation	0.445
confidence	muinín	anticipation	0.445
perfect	foirfe	anticipation	0.445
sun	ghrian	anticipation	0.445
veracity	fírinneacht	anticipation	0.445
volunteer	deonach	anticipation	0.445
conjecture	conjecture	anticipation	0.445
medical	leighis	anticipation	0.438
prepared	ullmhaithe	anticipation	0.438
superstitious	superstitious	anticipation	0.438
reconstruction	atógáil	anticipation	0.438
tickle	cuir tic	anticipation	0.438
faith	Creideamh	anticipation	0.438
passenger	paisinéir	anticipation	0.438
saint	naomh	anticipation	0.438
respect	meas	anticipation	0.438
rabid	raidió	anticipation	0.438
reconstruct	athchruthú	anticipation	0.438
recombination	athdhéanamh	anticipation	0.438
devout	devout	anticipation	0.438
goodness	maitheas	anticipation	0.438
angel	aingeal	anticipation	0.438
ferment	coipeadh	anticipation	0.438
plea	pléadáil	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	sraithuimhir	anticipation	0.438
conservation	caomhnú	anticipation	0.438
serenity	serenity	anticipation	0.430
tabulate	tabulate	anticipation	0.430
install	shuiteáil	anticipation	0.430
labyrinth	labyrinth	anticipation	0.430
venerable	venerable	anticipation	0.430
perpetuate	leanúint ar aghaidh	anticipation	0.430
strategist	straitéisí	anticipation	0.430
unverified	gan fhíorú	anticipation	0.430
tribunal	binse	anticipation	0.430
charitable	carthanachta	anticipation	0.430
luscious	luscious	anticipation	0.430
spa	Spa	anticipation	0.430
peace	síocháin	anticipation	0.430
clap	bualadh	anticipation	0.430
conspirator	conspirator	anticipation	0.422
forestall	foraoise	anticipation	0.422
patience	foighne	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	grin	anticipation	0.422
revere	revere	anticipation	0.422
worship	adhradh	anticipation	0.422
vista	vista	anticipation	0.422
laughter	gáire	anticipation	0.422
volatility	luaineacht	anticipation	0.422
adrift	adrift	anticipation	0.422
candid	candid	anticipation	0.422
edification	athchóiriú	anticipation	0.422
unresolved	gan réiteach	anticipation	0.422
peaceful	síochánta	anticipation	0.422
recognizable	aitheanta	anticipation	0.422
calls	glaonna	anticipation	0.414
weigh	meáchan	anticipation	0.414
probation	promhadh	anticipation	0.414
proficiency	inniúlacht	anticipation	0.414
morn	morn	anticipation	0.414
craps	craps	anticipation	0.414
detainee	detainee	anticipation	0.414
mediate	idirghabháil	anticipation	0.414
continue	leanúint ar aghaidh	anticipation	0.414
astrologer	astrologer	anticipation	0.414
punctual	poncúil	anticipation	0.414
ordination	comhordú	anticipation	0.414
pretty	deas	anticipation	0.414
thought	smaoinimh	anticipation	0.414
grant	deontas	anticipation	0.414
withstand	a sheasamh	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	leanúnach	anticipation	0.414
sing	canadh	anticipation	0.411
long	fada	anticipation	0.406
confession	admháil	anticipation	0.406
headlight	ceann solais	anticipation	0.406
prophylactic	profhlactic	anticipation	0.406
mother	Máthair	anticipation	0.406
debenture	bintiúr	anticipation	0.406
wizard	draoi	anticipation	0.406
university	ollscoil	anticipation	0.406
proud	bródúil as	anticipation	0.406
midwife	cnáimhseach	anticipation	0.406
banquet	féasta	anticipation	0.406
continuation	leanúint	anticipation	0.406
navigable	inseolta	anticipation	0.406
punished	a phionósú	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	chompord	anticipation	0.406
opponent	comhraic	anticipation	0.406
subscribe	síntiús a íoc	anticipation	0.406
outdo	amach	anticipation	0.406
nurture	a chothú	anticipation	0.406
twinkle	twinkle	anticipation	0.406
deal	déileáil	anticipation	0.402
efficient	éifeachtach	anticipation	0.398
representing	a ionadaíonn	anticipation	0.398
simmer	suanbhruith	anticipation	0.398
symphony	siansaíocht	anticipation	0.398
judiciary	breithiúna	anticipation	0.398
obliging	oibleagáid	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	faire	anticipation	0.398
death	bás	anticipation	0.398
distracting	distracting	anticipation	0.398
mortification	morghnú	anticipation	0.398
balm	balm	anticipation	0.398
guillotine	gilillín	anticipation	0.398
top	barr	anticipation	0.398
lettered	litrithe	anticipation	0.398
reliance	ag brath	anticipation	0.398
poke	poke	anticipation	0.391
unfulfilled	neamhchomhlíonadh	anticipation	0.391
assurance	dearbhú	anticipation	0.391
condemnation	cáineadh	anticipation	0.391
undoubted	gan amhras	anticipation	0.391
diplomacy	taidhleoireacht	anticipation	0.391
familiarity	eolas	anticipation	0.391
antidote	antidote	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	cuspóir	anticipation	0.391
maternal	máthar	anticipation	0.391
abeyance	éirí as	anticipation	0.391
art	ealaín	anticipation	0.391
linger	i gcónaí	anticipation	0.391
trust	muinín	anticipation	0.391
depraved	cráite	anticipation	0.391
sanctify	sanctify	anticipation	0.391
inoculation	ionaclaithe	anticipation	0.384
chant	chant	anticipation	0.383
banger	banger	anticipation	0.383
playground	clós súgartha	anticipation	0.383
failing	mainneachtain	anticipation	0.383
ship	long	anticipation	0.383
hymn	hymn	anticipation	0.383
simplify	simpligh	anticipation	0.383
ram	Ram	anticipation	0.383
labor	saothair	anticipation	0.383
discretion	rogha	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	maith	anticipation	0.383
scientist	eolaí	anticipation	0.383
undecided	gan chinneadh	anticipation	0.383
humanitarian	daonnúil	anticipation	0.383
depend	ag brath	anticipation	0.383
dutiful	dutiful	anticipation	0.383
clock	clog	anticipation	0.375
sterling	steirling	anticipation	0.375
mountain	sliabh	anticipation	0.375
savor	savor	anticipation	0.375
recurrent	athfhillteach	anticipation	0.375
interim	eatramhach	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	de réir a chéile	anticipation	0.375
interminable	deireadh	anticipation	0.375
track	rian	anticipation	0.375
public	poiblí	anticipation	0.375
cradle	cradle	anticipation	0.375
concealed	folaithe	anticipation	0.367
lesson	ceacht	anticipation	0.367
instructions	treoracha	anticipation	0.367
shiver	shiver	anticipation	0.367
musical	ceoil	anticipation	0.367
towering	tóir	anticipation	0.367
whim	whim	anticipation	0.367
spear	spear	anticipation	0.367
convince	Cuir ina luí air	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	cloí	anticipation	0.367
biennial	débhliantúil	anticipation	0.367
theology	diagacht	anticipation	0.359
offset	fritháireamh	anticipation	0.359
atone	atone	anticipation	0.359
timidity	timidity	anticipation	0.359
theory	teoiric	anticipation	0.359
undying	undying	anticipation	0.359
plump	plump	anticipation	0.359
audience	lucht féachana	anticipation	0.357
nobility	uaisle	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	cothaithe	anticipation	0.352
closure	dúnadh	anticipation	0.352
store	siopa	anticipation	0.352
localize	áitiú	anticipation	0.352
cramp	cramp	anticipation	0.352
daily	laethúil	anticipation	0.352
kindred	comhchineáil	anticipation	0.352
farm	feirme	anticipation	0.352
edition	eagrán	anticipation	0.352
consecration	consecration	anticipation	0.352
archaeology	seandálaíocht	anticipation	0.344
mobile	soghluaiste	anticipation	0.344
errand	comhartha	anticipation	0.344
wireless	Gan sreang	anticipation	0.344
mutable	mutable	anticipation	0.344
meditate	meditate	anticipation	0.344
stripped	stripped	anticipation	0.344
lessen	níos lú	anticipation	0.336
unaccountable	neamh-inmhianaithe	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	deartháir	anticipation	0.336
buddy	cara	anticipation	0.336
unbeaten	neamhshóisialta	anticipation	0.336
germ	germ	anticipation	0.336
dove	col	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	ribín	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	othar	anticipation	0.328
council	comhairle	anticipation	0.328
possess	seilbh	anticipation	0.328
secular	an t-urrús	anticipation	0.328
chastity	chastity	anticipation	0.328
disposed	diúscartha	anticipation	0.320
regularity	rialtacht	anticipation	0.320
mediator	idirghabhálaí	anticipation	0.320
scrutinize	scrúdaigh	anticipation	0.320
fancy	mhaisiúil	anticipation	0.320
immature	neamhaibí	anticipation	0.320
infanticide	naíonán	anticipation	0.320
heft	heft	anticipation	0.320
preservative	leasaitheach	anticipation	0.320
paddle	paddle	anticipation	0.320
cove	cove	anticipation	0.320
denying	dhiúltú	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	neamhfhoilsithe	anticipation	0.312
analyst	anailísí	anticipation	0.312
grim	grim	anticipation	0.312
church	eaglais	anticipation	0.312
priesthood	sagartacht	anticipation	0.305
mill	muileann	anticipation	0.305
judicial	breithiúnach	anticipation	0.305
broadside	taobh thiar	anticipation	0.305
tributary	abhainn	anticipation	0.297
cap	caipín	anticipation	0.297
thermocouple	teirmeachúpla	anticipation	0.297
dismay	briseadh	anticipation	0.297
instructor	teagascóir	anticipation	0.297
saliva	seile	anticipation	0.297
exhaustion	ídiú	anticipation	0.297
bruise	bruise	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	gan dídean	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	líonra	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	seoltaí	anticipation	0.289
noncompliance	neamhchomhlíonadh	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	réalteolaí	anticipation	0.281
neighbor	comharsa	anticipation	0.281
holiness	naofa	anticipation	0.273
devil	diabhal	anticipation	0.273
cream	uachtar	anticipation	0.273
picket	picéad	anticipation	0.273
latent	Folaigh	anticipation	0.273
immaturity	neamhshuim	anticipation	0.273
sentence	pianbhreith	anticipation	0.273
neighborhood	comharsanacht	anticipation	0.266
morals	moral	anticipation	0.266
lull	lull	anticipation	0.266
habitual	de ghnáth	anticipation	0.266
weight	meáchan	anticipation	0.258
bye	slán	anticipation	0.258
forearm	forearm	anticipation	0.250
clown	clown	anticipation	0.250
organ	orgán	anticipation	0.250
quote	ceanglófar	anticipation	0.242
commonplace	coitianta	anticipation	0.242
dictatorship	deachtóireacht	anticipation	0.234
board	bord	anticipation	0.234
white	bán	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	iarnród	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	crann	anticipation	0.227
paralysis	pairilis	anticipation	0.211
worm	worm	anticipation	0.203
organization	eagraíocht	anticipation	0.203
cement	stroighin	anticipation	0.203
lagging	lagging	anticipation	0.180
neutral	neodrach	anticipation	0.148
cannibalism	cannibalism	disgust	0.953
mutilation	milleadh	disgust	0.930
molestation	molestation	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	éigniú	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	lobhadh	disgust	0.891
corpse	corpse	disgust	0.883
massacre	maisreabhra	disgust	0.883
excrement	eisfhearadh	disgust	0.883
slaughter	marú	disgust	0.875
barf	barra	disgust	0.875
slaughterhouse	seamlas	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	séarachas	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	filth	disgust	0.859
bigot	móróide	disgust	0.859
infestation	infestation	disgust	0.852
plague	phlá	disgust	0.852
bloodthirsty	bloodthirsty	disgust	0.852
holocaust	holocaust	disgust	0.852
rotting	rothlú	disgust	0.844
maggot	maggot	disgust	0.844
feces	feces	disgust	0.844
fecal	fecal	disgust	0.844
murder	dúnmharú	disgust	0.839
infanticide	naíonán	disgust	0.836
homicide	homicide	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	slabhra	disgust	0.836
gore	gore	disgust	0.828
perverted	neamhbhriste	disgust	0.828
torture	céasadh	disgust	0.828
slaughtering	marú	disgust	0.828
excretion	eisfhearadh	disgust	0.828
contaminate	éilliú	disgust	0.821
murderer	murtóir	disgust	0.820
gory	gory	disgust	0.820
repugnant	contúirteach	disgust	0.820
desecration	desecration	disgust	0.820
grotesque	grotesque	disgust	0.820
revolting	imithe	disgust	0.820
diarrhoea	buinneach	disgust	0.820
manure	aoileach	disgust	0.820
terrorist	sceimhlitheoireachta	disgust	0.820
shit	cac	disgust	0.820
pervert	pervert	disgust	0.820
slavery	sclábhaíocht	disgust	0.812
faeces	faeces	disgust	0.812
sewer	séarach	disgust	0.812
vomit	vomit	disgust	0.812
manslaughter	dúnorgain	disgust	0.812
dismemberment	dífhostú	disgust	0.812
cadaver	cábhán	disgust	0.812
hemorrhage	hemorrhage	disgust	0.805
repulsive	repulsive	disgust	0.805
perverse	truaillithe	disgust	0.805
filthy	trua	disgust	0.797
sewage	séarachais	disgust	0.797
depravity	depravity	disgust	0.797
diseased	galar	disgust	0.797
carcass	conablach	disgust	0.795
decompose	dianscaoileann	disgust	0.789
vermin	mná	disgust	0.789
puke	puke	disgust	0.789
parasite	parasite	disgust	0.789
horrific	uafásach	disgust	0.789
gruesome	gruesome	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilated	disgust	0.789
murderous	dúnmharfach	disgust	0.789
decayed	imithe	disgust	0.789
herpes	deir	disgust	0.789
slime	slime	disgust	0.781
flatulence	flatulence	disgust	0.781
monstrosity	monstrosity	disgust	0.781
carnage	carnage	disgust	0.781
pestilence	pest	disgust	0.781
malaria	malaria	disgust	0.781
crap	cacamas	disgust	0.781
toxic	tocsaineach	disgust	0.773
loathsome	loathsome	disgust	0.773
insidious	insidious	disgust	0.773
leprosy	luibhre	disgust	0.773
morgue	morgue	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	bréagán	disgust	0.766
cruel	éadrócaireach	disgust	0.766
repugnance	repugnance	disgust	0.766
revulsion	athbheochan	disgust	0.766
xenophobia	xeifóibe	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	scaipeadh	disgust	0.759
canker	canker	disgust	0.758
cruelty	cruálacht	disgust	0.758
perversion	sárú	disgust	0.758
evil	olc	disgust	0.758
slum	slum	disgust	0.758
infectious	tógálach	disgust	0.758
mucous	mucous	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	dianscaoileadh	disgust	0.750
sinister	sinister	disgust	0.750
corrupting	truaillithe	disgust	0.750
demon	Demon	disgust	0.742
stinking	stinking	disgust	0.742
septic	seipteach	disgust	0.742
deranged	deranged	disgust	0.742
bile	bile	disgust	0.742
soiled	soiled	disgust	0.742
mucus	mucus	disgust	0.742
abhorrence	abhorrence	disgust	0.742
abomination	abomination	disgust	0.742
sickening	breoite	disgust	0.742
demonic	demonic	disgust	0.742
foul	salach	disgust	0.734
obese	murtallach	disgust	0.734
sicken	sicken	disgust	0.734
degeneracy	degeneracy	disgust	0.734
crucifixion	crucifixion	disgust	0.734
despicable	suarach	disgust	0.734
cancer	ailse	disgust	0.734
atrocity	atrocity	disgust	0.734
terrorism	sceimhlitheoireacht	disgust	0.734
dirty	salach	disgust	0.727
dysentery	dysentery	disgust	0.727
adultery	adhaltranas	disgust	0.727
contamination	éilliú	disgust	0.727
bacterium	baictéar	disgust	0.727
diabolical	diabolical	disgust	0.727
morbidity	morbacht	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	díbirt	disgust	0.727
enema	enema	disgust	0.727
contagion	ionghabháil	disgust	0.719
disfigured	disfigured	disgust	0.719
muck	muck	disgust	0.719
lewd	lewd	disgust	0.719
garbage	truflais	disgust	0.719
autopsy	autopsy	disgust	0.719
bowels	bowels	disgust	0.719
gross	comhlán	disgust	0.719
vulgar	vulgar	disgust	0.719
barbaric	barbaric	disgust	0.719
disgust	disgust	disgust	0.719
vicious	dona	disgust	0.719
entrails	iontrálacha	disgust	0.719
deterioration	meathlú	disgust	0.719
pungent	pungent	disgust	0.719
bloodshed	fola fuaite	disgust	0.714
violent	foréigneach	disgust	0.711
tyrant	tyrant	disgust	0.711
poisoned	nimhithe	disgust	0.711
pollute	truaillithe	disgust	0.711
wretched	mise	disgust	0.711
nausea	nausea	disgust	0.711
mortification	morghnú	disgust	0.711
gag	gag	disgust	0.711
vulgarity	vulgarity	disgust	0.703
disgusting	disgusting	disgust	0.703
grope	grope	disgust	0.703
slut	slut	disgust	0.703
poisoning	nimhiú	disgust	0.703
depraved	cráite	disgust	0.703
noxious	imní	disgust	0.703
porn	porn	disgust	0.703
nasty	olc	disgust	0.703
slimy	slimy	disgust	0.703
despotism	despotism	disgust	0.703
nauseate	nauseate	disgust	0.703
secretion	secretion	disgust	0.703
constipation	constipation	disgust	0.703
hateful	hateful	disgust	0.703
grime	grime	disgust	0.703
measles	na mbriathar	disgust	0.696
contagious	tógálach	disgust	0.695
hellish	hellish	disgust	0.695
waste	dramhaíl	disgust	0.695
suicidal	féinmharú	disgust	0.695
abuse	mí-úsáid	disgust	0.695
hate	fuath	disgust	0.695
wretch	wretch	disgust	0.695
intestinal	intestinal	disgust	0.695
wart	wart	disgust	0.695
obesity	murtall	disgust	0.695
scum	scum	disgust	0.695
contaminated	éillithe	disgust	0.688
disease	galar	disgust	0.688
rabid	raidió	disgust	0.688
ooze	ooze	disgust	0.688
treason	tréas	disgust	0.688
heartworm	croí	disgust	0.688
smut	smut	disgust	0.688
cholera	cólera	disgust	0.680
deformed	dífhoirmithe	disgust	0.680
detest	breá	disgust	0.680
bestial	is fearr	disgust	0.680
sickness	breoiteachta	disgust	0.680
antichrist	antichrist	disgust	0.680
abhorrent	abhorrent	disgust	0.680
soulless	soulless	disgust	0.680
freakish	freakish	disgust	0.680
grimy	grimy	disgust	0.680
hatred	fuath	disgust	0.680
pollution	truailliú	disgust	0.680
germ	germ	disgust	0.680
abominate	abominable	disgust	0.680
hell	ifreann	disgust	0.680
dilapidated	dilapidated	disgust	0.672
dictatorship	deachtóireacht	disgust	0.672
inhuman	neamhhiontach	disgust	0.672
greasy	gréisceach	disgust	0.672
hideous	hideous	disgust	0.672
loathful	loathful	disgust	0.672
obscene	géar	disgust	0.672
loathing	bualadh	disgust	0.672
cess	cess	disgust	0.670
devil	diabhal	disgust	0.664
heretic	heretic	disgust	0.664
nauseous	nauseous	disgust	0.664
abominable	abominable	disgust	0.664
deformity	deformity	disgust	0.664
deadly	deadly	disgust	0.664
swine	muc	disgust	0.664
discrimination	idirdhealú	disgust	0.664
masochism	masochachas	disgust	0.664
poisonous	nimhiúil	disgust	0.656
prejudiced	dochar	disgust	0.656
bacteria	baictéir	disgust	0.656
death	bás	disgust	0.656
poison	nimh	disgust	0.656
trash	bruscar	disgust	0.656
abortion	ginmhilleadh	disgust	0.656
corruption	éilliú	disgust	0.656
victimized	íospartach	disgust	0.656
oppression	brú	disgust	0.656
goo	goo	disgust	0.656
latrines	leabhráin	disgust	0.656
horror	uafásach	disgust	0.656
horrible	uafásach	disgust	0.656
nefarious	neamhfhiosach	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	díograsach	disgust	0.648
outhouse	outhouse	disgust	0.648
horrid	horrid	disgust	0.648
detestation	detestation	disgust	0.648
sludge	sloda	disgust	0.648
ugly	gránna	disgust	0.648
trashy	trashy	disgust	0.648
bitch	bitch	disgust	0.648
immoral	mímhorálta	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	spew	disgust	0.641
pimple	pimple	disgust	0.641
indecency	neamhchiontach	disgust	0.641
unsightly	gan mhoill	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	díograiseach	disgust	0.641
cystic	cisteach	disgust	0.641
horrifying	uafásach	disgust	0.641
derogatory	mhaolú	disgust	0.641
laxative	laxative	disgust	0.641
criminality	coiriúlacht	disgust	0.641
oppressive	oppressive	disgust	0.633
sinful	sinful	disgust	0.633
bigoted	bigoted	disgust	0.633
doomsday	doomsday	disgust	0.633
prostitution	striapachas	disgust	0.633
ulcer	ulcer	disgust	0.633
secrete	secrete	disgust	0.633
perpetrator	an té a rinne	disgust	0.633
rat	francach	disgust	0.633
queasy	queasy	disgust	0.633
mildew	mildew	disgust	0.633
dastardly	dastardly	disgust	0.625
disgraceful	náire	disgust	0.625
ghastly	ghastly	disgust	0.625
persecution	géarleanúint	disgust	0.625
devilish	devilish	disgust	0.625
degrading	díghrádú	disgust	0.625
obscenity	géarchacht	disgust	0.625
fungus	fungas	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	gluttony	disgust	0.625
stools	stóil	disgust	0.625
suffering	fulaingt	disgust	0.625
contemptible	díspeagtha	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	bloated	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	bradóireacht	disgust	0.617
guillotine	gilillín	disgust	0.617
infect	infect	disgust	0.617
spoil	spoil	disgust	0.617
tetanus	teiteanas	disgust	0.617
fat	saill	disgust	0.617
louse	louse	disgust	0.617
malicious	mailíseach	disgust	0.617
polygamy	polygamy	disgust	0.617
crusty	crusty	disgust	0.617
atrocious	aisteach	disgust	0.617
deceit	cealg	disgust	0.617
termite	termite	disgust	0.617
loathe	báire	disgust	0.617
wench	wench	disgust	0.617
dying	ag fáil bháis	disgust	0.617
sickly	breoite	disgust	0.617
diaper	diaper	disgust	0.617
strangle	strangle	disgust	0.617
drool	drool	disgust	0.609
slander	cailliúint	disgust	0.609
abhor	abhor	disgust	0.609
venomous	venomous	disgust	0.609
brothel	caisleán	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	go foréigneach	disgust	0.609
hostile	naimhdeach	disgust	0.609
sabotage	sabotáiste	disgust	0.609
deform	deform	disgust	0.609
bleeding	fuiliú	disgust	0.609
unwashed	neamhtheite	disgust	0.602
lunacy	geallann	disgust	0.602
imprisonment	príosúnacht	disgust	0.602
infidel	infidel	disgust	0.602
deprivation	díothacht	disgust	0.602
traitor	fealltóir	disgust	0.602
ugliness	ugliness	disgust	0.602
musty	musty	disgust	0.602
illicit	aindleathach	disgust	0.602
swampy	swampy	disgust	0.602
poaching	poaching	disgust	0.602
hag	geal	disgust	0.602
butcher	búistéir	disgust	0.594
lunatic	gráinneach	disgust	0.594
venom	venom	disgust	0.594
repelling	repelling	disgust	0.594
thug	thug	disgust	0.594
misery	trua	disgust	0.594
toilet	leithris	disgust	0.594
slug	slug	disgust	0.594
catastrophe	tubaiste	disgust	0.594
epidemic	eipidéim	disgust	0.594
gut	gut	disgust	0.594
intoxicated	meisciúil	disgust	0.594
blister	blister	disgust	0.594
deceitful	mealltach	disgust	0.594
hostility	naimhdeas	disgust	0.594
queasiness	scéalta	disgust	0.594
lurid	lurid	disgust	0.594
sinner	peacaí	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	caitheamh	disgust	0.586
harass	ciapadh	disgust	0.586
unclean	neamhghlan	disgust	0.586
prostitute	prostitute	disgust	0.586
pornography	pornagrafaíocht	disgust	0.586
dreadful	aisteach	disgust	0.586
deteriorated	meathlaithe	disgust	0.586
appalling	uafásach	disgust	0.586
unfaithful	neamhchiontach	disgust	0.578
rash	rash	disgust	0.578
humiliating	maolú	disgust	0.578
ruinous	tobhta	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	ionsaitheacha	disgust	0.578
