word	Bosnian-bs	emotion	emotion-intensity-score
desecration	skrnavljenje	disgust	0.820
grotesque	groteskno	disgust	0.820
revolting	revolting	disgust	0.820
diarrhoea	dijareja	disgust	0.820
manure	stajnjak	disgust	0.820
terrorist	terorista	disgust	0.820
shit	sranje	disgust	0.820
pervert	pervert	disgust	0.820
slavery	ropstvo	disgust	0.812
faeces	fekalije	disgust	0.812
sewer	kanalizacija	disgust	0.812
vomit	povraćanje	disgust	0.812
manslaughter	ubojstvo	disgust	0.812
dismemberment	dismemberment	disgust	0.812
cadaver	kadaver	disgust	0.812
hemorrhage	hemoragija	disgust	0.805
repulsive	odvratno	disgust	0.805
perverse	perverzno	disgust	0.805
filthy	prljavo	disgust	0.797
sewage	kanalizacija	disgust	0.797
depravity	omalovažavanje	disgust	0.797
diseased	obolelih	disgust	0.797
carcass	trup	disgust	0.795
decompose	raspadati	disgust	0.789
vermin	vermin	disgust	0.789
puke	puke	disgust	0.789
parasite	parazit	disgust	0.789
horrific	užasno	disgust	0.789
gruesome	grozno	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	pohabljen	disgust	0.789
murderous	ubilački	disgust	0.789
decayed	raspadan	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	nadutost	disgust	0.781
monstrosity	monstrosnost	disgust	0.781
carnage	krvarenje	disgust	0.781
pestilence	pomalo	disgust	0.781
malaria	malariju	disgust	0.781
crap	sranje	disgust	0.781
toxic	toksično	disgust	0.773
loathsome	odvratno	disgust	0.773
insidious	podmukao	disgust	0.773
leprosy	lezija	disgust	0.773
morgue	morgue	disgust	0.773
pus	gnoj	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	kurva	disgust	0.766
cruel	okrutno	disgust	0.766
repugnance	odvratnost	disgust	0.766
revulsion	odvratnost	disgust	0.766
xenophobia	ksenofobija	disgust	0.766
regurgitation	regurgitacija	disgust	0.766
anthrax	antraks	disgust	0.766
lynch	linč	disgust	0.766
dissection	dissection	disgust	0.759
canker	canker	disgust	0.758
cruelty	okrutnost	disgust	0.758
perversion	perverznost	disgust	0.758
evil	zlo	disgust	0.758
slum	slum	disgust	0.758
infectious	zarazno	disgust	0.758
mucous	sluzokože	disgust	0.758
phlegm	flegm	disgust	0.758
leeches	pijavice	disgust	0.750
decomposition	razgradnja	disgust	0.750
sinister	zloban	disgust	0.750
corrupting	korupcija	disgust	0.750
demon	demon	disgust	0.742
stinking	smrdljivi	disgust	0.742
septic	septička	disgust	0.742
deranged	poremećeni	disgust	0.742
bile	žuč	disgust	0.742
soiled	prljav	disgust	0.742
mucus	sluz	disgust	0.742
abhorrence	aborencija	disgust	0.742
abomination	abomination	disgust	0.742
sickening	bolesno	disgust	0.742
demonic	demonski	disgust	0.742
foul	foul	disgust	0.734
obese	gojazan	disgust	0.734
sicken	bolesna	disgust	0.734
degeneracy	degeneracija	disgust	0.734
crucifixion	raspeće	disgust	0.734
despicable	odvratan	disgust	0.734
cancer	rak	disgust	0.734
atrocity	zločin	disgust	0.734
terrorism	terorizam	disgust	0.734
dirty	prljavi	disgust	0.727
dysentery	dizenterija	disgust	0.727
adultery	preljuba	disgust	0.727
contamination	kontaminacija	disgust	0.727
bacterium	bakterija	disgust	0.727
diabolical	dijabolično	disgust	0.727
morbidity	morbiditet	disgust	0.727
grisly	grizljivo	disgust	0.727
repulsion	odbijanje	disgust	0.727
enema	klistir	disgust	0.727
contagion	zaraza	disgust	0.719
disfigured	izobličeno	disgust	0.719
muck	muck	disgust	0.719
lewd	neudate	disgust	0.719
garbage	smeće	disgust	0.719
autopsy	autopsija	disgust	0.719
bowels	creva	disgust	0.719
gross	bruto	disgust	0.719
vulgar	vulgarno	disgust	0.719
barbaric	varvarski	disgust	0.719
disgust	odugovlačenje	disgust	0.719
vicious	pokvaren	disgust	0.719
entrails	unutrašnjost	disgust	0.719
deterioration	pogoršanje	disgust	0.719
pungent	oštar	disgust	0.719
bloodshed	krvoproliće	disgust	0.714
violent	nasilan	disgust	0.711
tyrant	tiran	disgust	0.711
poisoned	otrovan	disgust	0.711
pollute	zagađivati	disgust	0.711
wretched	nesretan	disgust	0.711
nausea	mučnina	disgust	0.711
mortification	mortification	disgust	0.711
gag	gag	disgust	0.711
vulgarity	vulgarnost	disgust	0.703
disgusting	odvratno	disgust	0.703
grope	grope	disgust	0.703
slut	drolja	disgust	0.703
poisoning	trovanje	disgust	0.703
depraved	odvratan	disgust	0.703
noxious	štetan	disgust	0.703
porn	porn	disgust	0.703
nasty	gadno	disgust	0.703
slimy	slimy	disgust	0.703
despotism	despotizam	disgust	0.703
nauseate	mučiti	disgust	0.703
secretion	sekreciju	disgust	0.703
constipation	konstipacija	disgust	0.703
hateful	mržnje	disgust	0.703
grime	grime	disgust	0.703
measles	ošpore	disgust	0.696
contagious	zarazno	disgust	0.695
hellish	pakleno	disgust	0.695
waste	otpad	disgust	0.695
suicidal	suicidalan	disgust	0.695
abuse	zloupotreba	disgust	0.695
hate	mrzite	disgust	0.695
wretch	nervoza	disgust	0.695
intestinal	creva	disgust	0.695
wart	bradavica	disgust	0.695
obesity	gojaznost	disgust	0.695
scum	scum	disgust	0.695
contaminated	kontaminiran	disgust	0.688
disease	bolesti	disgust	0.688
rabid	besni	disgust	0.688
ooze	ooze	disgust	0.688
treason	izdaju	disgust	0.688
heartworm	heartworm	disgust	0.688
smut	smut	disgust	0.688
cholera	kolera	disgust	0.680
deformed	deformiran	disgust	0.680
detest	odvratite	disgust	0.680
bestial	bestial	disgust	0.680
sickness	bolest	disgust	0.680
antichrist	antihrist	disgust	0.680
abhorrent	odvratan	disgust	0.680
soulless	bez duše	disgust	0.680
freakish	divno	disgust	0.680
grimy	grimy	disgust	0.680
hatred	mržnja	disgust	0.680
pollution	zagađenje	disgust	0.680
germ	klica	disgust	0.680
abominate	abominate	disgust	0.680
hell	dođavola	disgust	0.680
dilapidated	raspadan	disgust	0.672
dictatorship	diktatura	disgust	0.672
inhuman	nečovječno	disgust	0.672
greasy	mastan	disgust	0.672
hideous	odvratno	disgust	0.672
loathful	gnjevito	disgust	0.672
obscene	opscen	disgust	0.672
loathing	omalovažavanje	disgust	0.672
cess	cess	disgust	0.670
devil	đavo	disgust	0.664
heretic	heretic	disgust	0.664
nauseous	muka	disgust	0.664
abominable	odvratno	disgust	0.664
deformity	deformiteta	disgust	0.664
deadly	smrtonosno	disgust	0.664
swine	svinja	disgust	0.664
discrimination	diskriminacija	disgust	0.664
masochism	mazohizam	disgust	0.664
poisonous	otrovna	disgust	0.656
prejudiced	predrasude	disgust	0.656
bacteria	bakterije	disgust	0.656
death	smrt	disgust	0.656
poison	otrov	disgust	0.656
trash	smeće	disgust	0.656
abortion	abortus	disgust	0.656
corruption	korupcija	disgust	0.656
victimized	žrtva	disgust	0.656
oppression	ugnjetavanje	disgust	0.656
goo	goo	disgust	0.656
latrines	toaleti	disgust	0.656
horror	užas	disgust	0.656
horrible	užasno	disgust	0.656
nefarious	nefarious	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	vindictive	disgust	0.648
outhouse	outhouse	disgust	0.648
horrid	užasno	disgust	0.648
detestation	odvratnost	disgust	0.648
sludge	mulj	disgust	0.648
ugly	ružno	disgust	0.648
trashy	trashy	disgust	0.648
bitch	kučka	disgust	0.648
immoral	nemoralno	disgust	0.648
malfeasance	zloupotreba	disgust	0.641
spew	spew	disgust	0.641
pimple	pimple	disgust	0.641
indecency	nesigurnost	disgust	0.641
unsightly	nevjerojatno	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	negativan	disgust	0.641
cystic	cistična	disgust	0.641
horrifying	užasavajuće	disgust	0.641
derogatory	ponižavajuće	disgust	0.641
laxative	laksativ	disgust	0.641
criminality	kriminalitet	disgust	0.641
oppressive	opresivna	disgust	0.633
sinful	grešno	disgust	0.633
bigoted	pobunjenik	disgust	0.633
doomsday	Doomsday	disgust	0.633
prostitution	prostitucija	disgust	0.633
ulcer	čir	disgust	0.633
secrete	secrete	disgust	0.633
perpetrator	počinioca	disgust	0.633
rat	pacov	disgust	0.633
queasy	nestrpljivo	disgust	0.633
mildew	membrana	disgust	0.633
dastardly	kasno	disgust	0.625
disgraceful	sramota	disgust	0.625
ghastly	strašno	disgust	0.625
persecution	progon	disgust	0.625
devilish	đavolski	disgust	0.625
degrading	ponižavajuće	disgust	0.625
obscenity	opscenost	disgust	0.625
fungus	gljivica	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	opojnost	disgust	0.625
stools	stolice	disgust	0.625
suffering	patnja	disgust	0.625
contemptible	zanemarljiv	disgust	0.625
cuckold	rogonja	disgust	0.625
bloated	naduvana	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	izdaja	disgust	0.617
guillotine	giljotina	disgust	0.617
infect	zaraziti	disgust	0.617
spoil	razmaziti	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	mast	disgust	0.617
louse	ušće	disgust	0.617
malicious	zlonamerni	disgust	0.617
polygamy	poligamija	disgust	0.617
crusty	crusty	disgust	0.617
atrocious	odvratno	disgust	0.617
deceit	prevara	disgust	0.617
termite	termit	disgust	0.617
loathe	loathe	disgust	0.617
wench	wench	disgust	0.617
dying	umiranje	disgust	0.617
sickly	bolesno	disgust	0.617
diaper	pelena	disgust	0.617
strangle	zadaviti	disgust	0.617
drool	drool	disgust	0.609
slander	klevetanje	disgust	0.609
abhor	uznemiri se	disgust	0.609
venomous	otrovna	disgust	0.609
brothel	bordel	disgust	0.609
ghetto	geto	disgust	0.609
violently	nasilno	disgust	0.609
hostile	neprijateljski	disgust	0.609
sabotage	sabotaža	disgust	0.609
deform	deformirati	disgust	0.609
bleeding	krvarenje	disgust	0.609
unwashed	neizbrani	disgust	0.602
lunacy	Lunacy	disgust	0.602
imprisonment	zatvaranje	disgust	0.602
infidel	nevernik	disgust	0.602
deprivation	deprivacija	disgust	0.602
traitor	izdajnik	disgust	0.602
ugliness	ružnoće	disgust	0.602
musty	pustinja	disgust	0.602
illicit	nezakonito	disgust	0.602
swampy	mokar	disgust	0.602
poaching	lovstvo	disgust	0.602
hag	hag	disgust	0.602
butcher	mesar	disgust	0.594
lunatic	ludak	disgust	0.594
venom	otrov	disgust	0.594
repelling	odbijanje	disgust	0.594
thug	siledžija	disgust	0.594
misery	beda	disgust	0.594
toilet	toalet	disgust	0.594
slug	slug	disgust	0.594
catastrophe	katastrofa	disgust	0.594
epidemic	epidemija	disgust	0.594
gut	gut	disgust	0.594
intoxicated	opojno	disgust	0.594
blister	blister	disgust	0.594
deceitful	lažni	disgust	0.594
hostility	neprijateljstvo	disgust	0.594
queasiness	queasiness	disgust	0.594
lurid	lurid	disgust	0.594
sinner	grešnik	disgust	0.594
incubus	inkubus	disgust	0.586
lavatory	toalet	disgust	0.586
harass	maltretiranje	disgust	0.586
unclean	nečisti	disgust	0.586
prostitute	prostitutka	disgust	0.586
pornography	pornografija	disgust	0.586
dreadful	strašno	disgust	0.586
deteriorated	pogoršano	disgust	0.586
appalling	grozno	disgust	0.586
unfaithful	nevjeran	disgust	0.578
rash	osip	disgust	0.578
humiliating	ponižavajuće	disgust	0.578
ruinous	ruševina	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	ofanzivno	disgust	0.578
conspirator	zaverenik	disgust	0.578
larceny	larceny	disgust	0.578
debauchery	debauchery	disgust	0.578
mangle	mangle	disgust	0.578
flea	buba	disgust	0.578
hypocrite	licemjer	disgust	0.578
retard	retard	disgust	0.578
fiend	fiend	disgust	0.578
sick	bolestan	disgust	0.578
quagmire	tepih	disgust	0.578
expulsion	protjerivanje	disgust	0.578
treacherous	izdajnički	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	pljuvati	disgust	0.570
devastating	razarajuće	disgust	0.570
bastard	kopile	disgust	0.570
messy	neuredan	disgust	0.570
flog	flog	disgust	0.570
egregious	egregious	disgust	0.570
swamp	močvara	disgust	0.570
oppress	potlačiti	disgust	0.570
despise	prezira	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	zmija	disgust	0.570
snake	zmija	disgust	0.562
terrible	strašno	disgust	0.562
awful	strašno	disgust	0.562
harmful	štetno	disgust	0.562
insanity	ludilo	disgust	0.562
indecent	nepristojna	disgust	0.562
sordid	srdačan	disgust	0.562
loo	loo	disgust	0.562
scoundrel	neljto	disgust	0.562
enemy	neprijatelj	disgust	0.562
stealing	krađa	disgust	0.562
alcoholism	alkoholizam	disgust	0.562
humiliation	poniženje	disgust	0.562
ruthless	nemilosrdan	disgust	0.562
sloppy	neugodan	disgust	0.562
tyrannical	tiranski	disgust	0.562
harlot	bludnica	disgust	0.562
sinning	greenje	disgust	0.562
robbery	pljačka	disgust	0.555
insufferable	nepodnošljivo	disgust	0.555
arsenic	arsen	disgust	0.555
bloody	krvavo	disgust	0.555
odious	odvratan	disgust	0.555
ridicule	posmeh	disgust	0.555
atrophy	atrofija	disgust	0.555
beastly	zverno	disgust	0.555
collusion	dogovaranje	disgust	0.555
distaste	odvratno	disgust	0.555
segregate	odvojite se	disgust	0.555
discriminating	diskriminirajući	disgust	0.555
coward	kukavica	disgust	0.555
wickedness	zla	disgust	0.555
threatening	preteći	disgust	0.555
unattractive	neprivlačna	disgust	0.555
slayer	ubica	disgust	0.555
flabby	mršavi	disgust	0.555
varicella	varicella	disgust	0.555
miserable	mizeran	disgust	0.547
sty	špijun	disgust	0.547
ogre	ogre	disgust	0.547
coercion	prinuda	disgust	0.547
thief	lopov	disgust	0.547
slur	slur	disgust	0.547
suffocating	gušenje	disgust	0.547
anathema	anatema	disgust	0.547
purgatory	čistilište	disgust	0.547
malevolent	zlonamjeran	disgust	0.547
bitterly	gorko	disgust	0.547
burglar	provalnik	disgust	0.547
attacking	napada	disgust	0.547
vesicular	vezikularno	disgust	0.547
condemnation	osuda	disgust	0.547
pillage	pljačka	disgust	0.547
deleterious	štetno	disgust	0.547
thrash	trh	disgust	0.539
repellant	repelentan	disgust	0.539
repudiation	odbacivanje	disgust	0.539
infidelity	neverstvo	disgust	0.539
liar	lažov	disgust	0.539
fatty	masnoće	disgust	0.539
gob	gob	disgust	0.539
sneer	sneer	disgust	0.539
drunken	pijan	disgust	0.539
disgrace	sramota	disgust	0.539
shame	sramota	disgust	0.539
jealous	ljubomorna	disgust	0.539
imprisoned	zatvoren	disgust	0.539
pig	svinja	disgust	0.539
greedy	pohlepan	disgust	0.539
sloth	slot	disgust	0.539
lethal	smrtonosno	disgust	0.536
burnt	spržen	disgust	0.531
aberration	aberacija	disgust	0.531
condescension	poniženje	disgust	0.531
hydrocephalus	hidrocefalus	disgust	0.531
hanging	visi	disgust	0.531
destructive	destruktivno	disgust	0.531
smuggler	švercer	disgust	0.531
intolerant	netolerantno	disgust	0.531
travesty	travestija	disgust	0.531
intrusive	intrusivno	disgust	0.531
ruined	uništena	disgust	0.531
withered	usude	disgust	0.531
disintegrate	dezintegrirati	disgust	0.531
brawl	bravo	disgust	0.531
blemish	nedostatak	disgust	0.531
neurotic	neurotik	disgust	0.531
blasphemous	blasphem	disgust	0.531
lying	laganje	disgust	0.531
painful	bolan	disgust	0.531
avarice	avarice	disgust	0.523
disgraced	poniženi	disgust	0.523
mistress	ljubavnica	disgust	0.523
disparaging	omalovažavanje	disgust	0.523
rubbish	smeće	disgust	0.523
derogation	odstupanje	disgust	0.523
accusation	optužba	disgust	0.523
intolerance	netolerancija	disgust	0.523
incarceration	zatvaranje	disgust	0.523
blighted	oštećen	disgust	0.523
sump	sump	disgust	0.516
deplorable	žalosno	disgust	0.516
daemon	daemon	disgust	0.516
cringe	cringe	disgust	0.516
degrade	degradira	disgust	0.516
gutter	oluci	disgust	0.516
rob	rob	disgust	0.516
grim	grim	disgust	0.516
defraud	defraud	disgust	0.516
tortious	tortuno	disgust	0.516
eradication	iskorenjivanje	disgust	0.516
stink	smrdljiv	disgust	0.516
convict	osuđenik	disgust	0.516
dishonor	dishonor	disgust	0.516
vulture	vulture	disgust	0.516
remains	ostaje	disgust	0.516
mite	mite	disgust	0.516
betray	izdaj	disgust	0.516
sham	sram	disgust	0.509
endemic	endemična	disgust	0.508
bombed	bombardovana	disgust	0.508
distress	nevolja	disgust	0.508
pest	štetočina	disgust	0.508
incurable	neizlečiva	disgust	0.508
worthless	bezvrijedno	disgust	0.508
rejection	odbacivanje	disgust	0.508
distasteful	odvratan	disgust	0.508
schizophrenia	šizofrenija	disgust	0.508
belittle	omalovažava	disgust	0.508
smelling	miris	disgust	0.508
cheat	varaj	disgust	0.508
blob	blob	disgust	0.508
prisoner	zatvorenik	disgust	0.508
idiocy	idiocija	disgust	0.508
delirium	delirium	disgust	0.508
disaster	katastrofa	disgust	0.508
crude	sirovo	disgust	0.508
resentment	nezadovoljstvo	disgust	0.508
dreadfully	užasno	disgust	0.508
glut	glut	disgust	0.508
polemic	polemika	disgust	0.500
derision	podmirenje	disgust	0.500
idolatry	idolatrija	disgust	0.500
taboo	tabu	disgust	0.500
screaming	vrištanje	disgust	0.500
banish	izbaciti	disgust	0.500
dirt	prljavština	disgust	0.500
goblin	goblin	disgust	0.500
shackle	šakl	disgust	0.500
bribery	podmićivanje	disgust	0.500
flagrant	flagrantno	disgust	0.500
jealousy	ljubomora	disgust	0.500
impurity	nečistoće	disgust	0.500
theft	krađa	disgust	0.500
bitterness	gorčina	disgust	0.500
offense	prekršaj	disgust	0.500
impeach	impeach	disgust	0.500
blight	blata	disgust	0.500
duress	prinuda	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	pohlepa	disgust	0.500
tirade	tirade	disgust	0.500
squirm	švercanje	disgust	0.492
robber	pljačkaš	disgust	0.492
ill	bolestan	disgust	0.492
unconscionable	Nepovezan	disgust	0.492
recession	recesija	disgust	0.492
gorge	klisure	disgust	0.492
wreck	olupina	disgust	0.492
malign	maligni	disgust	0.492
boil	kuvati	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idiot	disgust	0.492
disreputable	zabrinut	disgust	0.492
wasteful	rasipno	disgust	0.484
affliction	bolest	disgust	0.484
stain	mrlja	disgust	0.484
contempt	prezir	disgust	0.484
nappy	nappa	disgust	0.484
mutiny	pobuna	disgust	0.484
occult	okultni	disgust	0.484
tramp	tramp	disgust	0.484
unbearable	nepodnošljivo	disgust	0.484
offender	prestupnik	disgust	0.484
servile	servile	disgust	0.484
contraband	kontraband	disgust	0.484
raging	besan	disgust	0.484
snarl	gnjaviti	disgust	0.484
mad	lud	disgust	0.484
subjugation	potčinjavanje	disgust	0.484
possessed	posjedovao	disgust	0.484
animosity	animozitet	disgust	0.484
aversation	averzacija	disgust	0.484
defamation	kleveta	disgust	0.484
disrespectful	nepoštiv	disgust	0.484
mess	nered	disgust	0.484
nepotism	nepotizam	disgust	0.484
inexcusable	neoprostivo	disgust	0.484
pathetic	patetično	disgust	0.477
unpleasant	neprijatno	disgust	0.477
suppression	supresija	disgust	0.477
mockery	ismevanje	disgust	0.477
palsy	paraliza	disgust	0.477
criminal	kriminalac	disgust	0.477
illegality	nezakonitost	disgust	0.477
uncaring	uncaring	disgust	0.477
antagonistic	antagonistički	disgust	0.477
immorality	nemoralnost	disgust	0.477
dismal	loše	disgust	0.477
angry	ljuti	disgust	0.469
repellent	repelent	disgust	0.469
cough	kašalj	disgust	0.469
arrogant	arogantan	disgust	0.469
grating	rešetka	disgust	0.469
aggravation	pogoršanje	disgust	0.469
livid	livid	disgust	0.469
banishment	proterivanje	disgust	0.469
shoddy	jebeno	disgust	0.469
banshee	banshee	disgust	0.469
poverty	siromaštvo	disgust	0.469
wallow	valoviti	disgust	0.469
outrage	ljutnja	disgust	0.469
mocking	mocking	disgust	0.469
furious	besan	disgust	0.469
perspiration	znojenje	disgust	0.469
prick	prick	disgust	0.461
recklessness	nesmotrenost	disgust	0.461
distorted	iskrivljeno	disgust	0.461
fraudulent	lažna	disgust	0.461
spider	pauk	disgust	0.461
quack	kvak	disgust	0.461
perdition	propast	disgust	0.461
muddy	mudljiv	disgust	0.461
spurious	lažno	disgust	0.461
insulting	vređanje	disgust	0.461
scar	ožiljak	disgust	0.461
deceive	prevariti	disgust	0.461
unjustifiable	neopravdano	disgust	0.461
fool	budala	disgust	0.461
deplore	oštro	disgust	0.461
plunder	pljačka	disgust	0.461
aphid	aphid	disgust	0.453
bane	bane	disgust	0.453
indignation	indignation	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	sebično	disgust	0.453
disparage	omalovažavanje	disgust	0.453
cur	cur	disgust	0.453
dishonest	neiskreno	disgust	0.453
stigma	stigma	disgust	0.453
eschew	eschew	disgust	0.453
antipathy	antipatija	disgust	0.453
alienate	otuđi	disgust	0.453
disingenuous	neiskreno	disgust	0.453
elimination	eliminacija	disgust	0.453
unthinkable	nezamislivo	disgust	0.453
wasted	izgubljeno	disgust	0.445
recalcitrant	neposlušni	disgust	0.445
iniquity	bezakonje	disgust	0.445
mosquito	komarac	disgust	0.445
caries	karijesa	disgust	0.445
bankruptcy	stečaj	disgust	0.445
egotistical	egotistički	disgust	0.445
piles	gomile	disgust	0.445
smell	miris	disgust	0.445
vacuous	vacuous	disgust	0.445
despair	očaj	disgust	0.445
opium	opijum	disgust	0.445
garish	garish	disgust	0.445
lie	laži	disgust	0.445
pious	pobožni	disgust	0.445
aversion	averzija	disgust	0.438
sticky	lepljiva	disgust	0.438
scream	vrišti	disgust	0.438
alien	vanzemaljac	disgust	0.438
shun	shun	disgust	0.438
abnormal	abnormalno	disgust	0.438
ashamed	sram	disgust	0.438
inmate	zatvorenik	disgust	0.438
abject	abject	disgust	0.438
hog	svinja	disgust	0.438
hopelessness	beznadežnost	disgust	0.438
homeless	beskućnici	disgust	0.438
obnoxious	bezobrazno	disgust	0.438
curse	prokletstvo	disgust	0.430
creature	stvorenje	disgust	0.430
cursing	psovanje	disgust	0.430
illegal	ilegalno	disgust	0.430
lusty	Lusty	disgust	0.430
shameless	besramno	disgust	0.430
debris	ostaci	disgust	0.430
defiance	prkos	disgust	0.430
pall	pall	disgust	0.430
falsity	falsity	disgust	0.430
reflux	refluks	disgust	0.430
incredulous	neverovatno	disgust	0.430
adverse	negativno	disgust	0.430
trickery	trik	disgust	0.430
callous	nepopustljiv	disgust	0.430
separatist	separatist	disgust	0.430
undesirable	nepoželjan	disgust	0.430
denounce	otkazati	disgust	0.430
witch	veštica	disgust	0.430
bum	bum	disgust	0.422
bovine	goveda	disgust	0.422
denunciation	otkazivanje	disgust	0.422
untidy	neuredan	disgust	0.422
impure	nečisto	disgust	0.422
mistrust	nepoverenje	disgust	0.422
tarnish	opaliti	disgust	0.422
ferocious	divljač	disgust	0.422
gush	gurati	disgust	0.422
infantile	infantilno	disgust	0.422
ammonia	amonijak	disgust	0.422
offend	uvrijediti	disgust	0.422
idiotic	idioti	disgust	0.422
hypertrophy	hipertrofija	disgust	0.422
nicotine	nikotin	disgust	0.422
tasteless	bez ukusa	disgust	0.422
pompous	pompezan	disgust	0.422
socialist	socijalistički	disgust	0.422
delinquent	delinkvent	disgust	0.422
swarm	roj	disgust	0.422
contentious	sporno	disgust	0.422
carelessness	nebriga	disgust	0.422
hairy	dlakav	disgust	0.422
wasting	rasipanje	disgust	0.422
slush	slush	disgust	0.422
affront	oprosti	disgust	0.422
collapse	kolaps	disgust	0.422
badness	loše	disgust	0.422
dishonesty	nepoštenost	disgust	0.414
vegetative	vegetativni	disgust	0.414
displacency	pomjerenost	disgust	0.414
unfavorable	nepovoljan	disgust	0.414
disobey	neposlušni	disgust	0.414
sour	kiselo	disgust	0.414
socialism	socijalizam	disgust	0.414
murky	mutan	disgust	0.414
neglected	zanemaren	disgust	0.414
drivel	pogon	disgust	0.414
vampire	vampir	disgust	0.414
litigious	parnični	disgust	0.414
illegitimate	nelegitimno	disgust	0.414
disgruntled	nezadovoljan	disgust	0.406
ignorant	neznalica	disgust	0.406
outcast	izašao	disgust	0.406
unkind	unkind	disgust	0.406
repel	odbiti	disgust	0.406
displeasure	nezadovoljstvo	disgust	0.406
phony	lažna	disgust	0.406
shoplifting	krađa	disgust	0.406
dislike	Ne volim	disgust	0.406
unlawful	nezakonito	disgust	0.406
bogus	lažno	disgust	0.406
discontinuity	diskontinuitet	disgust	0.406
recidivism	recidivizam	disgust	0.406
ungrateful	nezahvalno	disgust	0.406
wrongdoing	pogrešno postupanje	disgust	0.406
falsify	falsify	disgust	0.406
prosecution	gonjenje	disgust	0.406
failure	neuspeh	disgust	0.398
loon	loon	disgust	0.398
lick	lizati	disgust	0.398
subvert	subvert	disgust	0.398
rigor	rigor	disgust	0.398
unruly	nepopravljivo	disgust	0.398
paucity	slabosti	disgust	0.398
unnatural	neprirodno	disgust	0.398
averse	averse	disgust	0.398
senseless	besmisleno	disgust	0.398
worsening	pogoršanje	disgust	0.398
disdain	prezira	disgust	0.398
woe	teško	disgust	0.398
woefully	woefully	disgust	0.398
amphetamines	amfetamini	disgust	0.398
stingy	skriveni	disgust	0.398
crushing	drobljenje	disgust	0.398
insult	uvreda	disgust	0.393
damage	šteta	disgust	0.391
hardened	ojačan	disgust	0.391
diatribe	diatribe	disgust	0.391
averseness	nesigurnost	disgust	0.391
critter	critter	disgust	0.391
muff	muff	disgust	0.391
antisocial	antisocijalno	disgust	0.391
punishment	kazna	disgust	0.391
bad	loše	disgust	0.391
punished	kažnjeno	disgust	0.391
disrelish	Isprazni	disgust	0.391
expel	expel	disgust	0.391
farcical	farcical	disgust	0.391
scorpion	škorpija	disgust	0.391
sacrifices	žrtve	disgust	0.383
plagiarism	plagijat	disgust	0.383
hypocritical	licemerno	disgust	0.383
divorce	razvod	disgust	0.383
presumptuous	presumptuous	disgust	0.383
discord	razdora	disgust	0.383
fugitive	begunac	disgust	0.383
fulsome	fulsome	disgust	0.383
shabby	otrcani	disgust	0.383
orc	orc	disgust	0.383
adder	sabirnica	disgust	0.383
anaconda	anaconda	disgust	0.383
surly	suptilno	disgust	0.383
irrational	iracionalan	disgust	0.383
disappoint	razočaraj	disgust	0.383
illiterate	nepismeno	disgust	0.383
lament	lament	disgust	0.383
eviction	iseljenje	disgust	0.383
teeming	teeming	disgust	0.383
guilt	krivica	disgust	0.383
misconduct	loše ponašanje	disgust	0.375
blame	krivicu	disgust	0.375
alienation	otuđenje	disgust	0.375
depressing	depresivno	disgust	0.375
irritating	iritantno	disgust	0.375
plight	stanje	disgust	0.375
unworthy	nedostojan	disgust	0.375
dislocated	dislocated	disgust	0.375
scoff	iscrpljuju	disgust	0.375
irritation	iritacija	disgust	0.375
defective	defektan	disgust	0.375
shock	šok	disgust	0.375
hoax	prevara	disgust	0.367
coerce	prisiljavanje	disgust	0.367
revoke	opozvati	disgust	0.367
stripped	uklonjen	disgust	0.367
exclusion	isključivanje	disgust	0.367
blatant	blatantan	disgust	0.367
disillusionment	razočaranje	disgust	0.367
squelch	squelch	disgust	0.367
unhealthy	nezdravo	disgust	0.367
toad	žaba	disgust	0.367
wimpy	wimpy	disgust	0.367
pitfall	pitfall	disgust	0.367
vainly	zamišljeno	disgust	0.367
powerless	nemoćan	disgust	0.367
cad	cad	disgust	0.367
hurtful	šteta	disgust	0.367
shuddering	trese	disgust	0.367
wimp	wimp	disgust	0.367
oddity	čudesnost	disgust	0.359
rebellion	pobuna	disgust	0.359
incompatible	nekompatibilno	disgust	0.359
ineptitude	ineptitude	disgust	0.359
dispose	raspolagati	disgust	0.359
disobedience	neposlušnost	disgust	0.359
damn	Prokletstvo	disgust	0.359
bug	bug	disgust	0.359
deserted	napušteno	disgust	0.359
litigate	sudija	disgust	0.352
ridiculous	smešno	disgust	0.352
compost	kompost	disgust	0.352
obi	obi	disgust	0.352
untoward	nepopustljiv	disgust	0.352
