word	Korean-ko	emotion	emotion-intensity-score
overdue	연체 된	anticipation	0.586
crave	갈망하다	anticipation	0.586
flirt	바람둥이	anticipation	0.586
enthusiast	열성가	anticipation	0.586
presumption	가정	anticipation	0.586
immerse	잠그다	anticipation	0.586
progression	진행	anticipation	0.586
experiment	실험	anticipation	0.580
inviting	초대하다	anticipation	0.578
precarious	믿을 수 없는	anticipation	0.578
blessing	축복	anticipation	0.578
harvest	수확	anticipation	0.578
transcendence	초월	anticipation	0.578
heavenly	천국 같은	anticipation	0.578
attainable	이를 수 있는	anticipation	0.578
enjoy	즐겨	anticipation	0.578
divination	점	anticipation	0.578
excavation	발굴	anticipation	0.578
healing	치료	anticipation	0.578
majestic	위엄 있는	anticipation	0.578
clamor	외치다	anticipation	0.578
thirst	갈증	anticipation	0.578
remedy	치료제	anticipation	0.578
prosper	번영하다	anticipation	0.578
risk	위험	anticipation	0.578
angling	낚시	anticipation	0.578
completing	완료	anticipation	0.578
thriving	번성하는	anticipation	0.578
zest	풍미	anticipation	0.570
tease	볶다	anticipation	0.570
matchmaker	결혼 중매인	anticipation	0.570
prospectively	전향 적으로	anticipation	0.570
restlessness	안절부절 못하는	anticipation	0.570
sweetheart	연인	anticipation	0.570
emancipation	해방	anticipation	0.570
ultimate	최고의	anticipation	0.570
invite	초대	anticipation	0.570
gambler	노름꾼	anticipation	0.570
dare	도전	anticipation	0.570
plan	계획	anticipation	0.570
magnificence	웅대	anticipation	0.570
warned	경고 한	anticipation	0.570
finally	마침내	anticipation	0.570
intimate	친밀한	anticipation	0.570
omen	전조	anticipation	0.570
attempt	시도	anticipation	0.562
forewarned	미리 경고 한	anticipation	0.562
fun	장난	anticipation	0.562
festival	제전	anticipation	0.562
trophy	트로피	anticipation	0.562
rejoice	기쁘게 하다	anticipation	0.562
fanfare	과시	anticipation	0.562
predilection	편애	anticipation	0.562
exalt	높이다	anticipation	0.562
parade	축제	anticipation	0.562
enchant	호리다	anticipation	0.562
independence	독립	anticipation	0.562
expose	폭로	anticipation	0.562
immortality	불사	anticipation	0.562
expected	예상 한	anticipation	0.562
mysterious	신비한	anticipation	0.562
hypothesis	가설	anticipation	0.562
accolade	영예	anticipation	0.562
lover	연인	anticipation	0.562
quicken	빠르게 하다	anticipation	0.562
champion	챔피언	anticipation	0.562
lovely	아름다운	anticipation	0.555
rejoicing	기쁨	anticipation	0.555
grasping	붙잡는	anticipation	0.555
grow	자라다	anticipation	0.555
curiosity	호기심	anticipation	0.555
splendor	화려	anticipation	0.555
salvation	구원	anticipation	0.555
happy	행복	anticipation	0.555
oracle	신탁	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	펴다	anticipation	0.555
boisterous	거친	anticipation	0.555
liberty	자유	anticipation	0.555
heroism	영웅적 자질	anticipation	0.555
feeling	감각	anticipation	0.555
shopping	쇼핑	anticipation	0.555
fate	운명	anticipation	0.555
uneasiness	불안	anticipation	0.555
speculative	위험한	anticipation	0.555
changeable	변하기 쉬운	anticipation	0.547
recreational	레크리에이션	anticipation	0.547
pray	빌다	anticipation	0.547
warn	경고하다	anticipation	0.547
suspicious	의심 많은	anticipation	0.547
convergence	수렴	anticipation	0.547
incite	선동하다	anticipation	0.547
agape	입을 딱 벌리고	anticipation	0.547
morrow	이튿날	anticipation	0.547
abundance	풍부	anticipation	0.547
delighted	기쁜	anticipation	0.547
resultant	결과	anticipation	0.547
hungry	배고픈	anticipation	0.547
monetary	화폐의	anticipation	0.547
vote	투표	anticipation	0.547
glory	영광	anticipation	0.547
glimmer	희미한 빛	anticipation	0.547
apprehensive	걱정스러운	anticipation	0.547
sorcery	마법	anticipation	0.547
bountiful	풍부한	anticipation	0.547
leisure	여가	anticipation	0.547
probability	개연성	anticipation	0.547
auction	경매	anticipation	0.539
hunting	수렵	anticipation	0.539
contingent	분견대	anticipation	0.539
hankering	열망	anticipation	0.539
sensual	관능적 인	anticipation	0.539
blessings	축복	anticipation	0.539
ballot	투표권	anticipation	0.539
grandchildren	손자	anticipation	0.539
entertainment	환대	anticipation	0.539
vindication	옹호	anticipation	0.539
worrying	걱정하는	anticipation	0.539
tempest	대소동	anticipation	0.539
inquiry	문의	anticipation	0.539
merge	병합하다	anticipation	0.539
exceed	넘다	anticipation	0.539
bounty	하사품	anticipation	0.539
glad	기쁜	anticipation	0.536
magnificent	장엄한	anticipation	0.531
feat	위업	anticipation	0.531
stealthy	은밀한	anticipation	0.531
cheer	격려	anticipation	0.531
spirits	주정	anticipation	0.531
visitor	방문객	anticipation	0.531
appeal	항소	anticipation	0.531
forming	형성	anticipation	0.531
hurried	서두르다	anticipation	0.531
responsive	반응이 빠른	anticipation	0.531
virginity	처녀성	anticipation	0.531
deliverance	구출	anticipation	0.531
betrothed	약혼자	anticipation	0.531
overthrow	타도	anticipation	0.531
harbinger	선구자	anticipation	0.531
raving	미쳐 날뛰는	anticipation	0.531
celestial	중국인	anticipation	0.531
dread	공포	anticipation	0.531
germination	발아	anticipation	0.523
preparatory	예비의	anticipation	0.523
pleasant	쾌적한	anticipation	0.523
watch	손목 시계	anticipation	0.523
prophet	예언자	anticipation	0.523
prognostic	전조	anticipation	0.523
haste	서두름	anticipation	0.523
planning	계획	anticipation	0.523
importance	중요성	anticipation	0.523
radiance	발광	anticipation	0.523
prevail	흐르다	anticipation	0.523
cheery	기분 좋은	anticipation	0.523
competition	경쟁	anticipation	0.523
ultimately	궁극적으로	anticipation	0.523
revive	부흥시키다	anticipation	0.523
beaming	빛나는	anticipation	0.523
wait	기다림	anticipation	0.523
child	어린이	anticipation	0.523
notification	공고	anticipation	0.523
hunter	사냥꾼	anticipation	0.523
explosive	폭발물	anticipation	0.523
endanger	위태롭게	anticipation	0.516
time	시각	anticipation	0.516
recreation	휴양	anticipation	0.516
renovation	혁신	anticipation	0.516
precious	귀한	anticipation	0.516
begun	시작된	anticipation	0.516
loom	직조기	anticipation	0.516
compensate	보상하다	anticipation	0.516
treat	턱	anticipation	0.516
uncontrollable	제어 할 수없는	anticipation	0.516
present	선물	anticipation	0.516
salary	봉급	anticipation	0.516
celebrity	명성	anticipation	0.516
owing	빚지고있는	anticipation	0.516
chocolate	초콜릿	anticipation	0.516
caution	주의	anticipation	0.516
fermentation	발효	anticipation	0.516
sensuality	호색	anticipation	0.516
wilderness	황야	anticipation	0.508
signify	의미하다	anticipation	0.508
transitional	과도기적	anticipation	0.508
intermission	중지	anticipation	0.508
contemplation	묵상	anticipation	0.508
vigilance	각성	anticipation	0.508
commemoration	기념	anticipation	0.508
practise	연습	anticipation	0.508
cue	큐	anticipation	0.508
infant	유아	anticipation	0.508
dreadful	무서운	anticipation	0.508
perfection	완전	anticipation	0.508
elevation	높이	anticipation	0.508
prerequisite	전제 조건	anticipation	0.508
cultivate	기르다	anticipation	0.508
horizon	수평선	anticipation	0.508
develop	나타나게 하다	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	수영	anticipation	0.500
attendance	출석	anticipation	0.500
nascent	초기	anticipation	0.500
favorable	유리한	anticipation	0.500
peril	위험	anticipation	0.500
income	수입	anticipation	0.500
ardent	불타는	anticipation	0.500
commemorate	기념하다	anticipation	0.500
doomsday	최후의 심판의 날	anticipation	0.500
reconciliation	화해	anticipation	0.500
utopian	유토피아의	anticipation	0.500
romantic	낭만적 인	anticipation	0.500
unbridled	구속을받지 않은	anticipation	0.500
sunny	맑은	anticipation	0.500
uphill	고개 위로	anticipation	0.500
intuitively	직관적으로	anticipation	0.500
depart	출발하다	anticipation	0.500
eventuality	궁극	anticipation	0.500
puppy	강아지	anticipation	0.500
zeal	열성	anticipation	0.500
sneaking	몰래 움직이는	anticipation	0.500
ready	준비된	anticipation	0.500
advocacy	옹호	anticipation	0.500
airport	공항	anticipation	0.500
litigate	소송하다	anticipation	0.500
blindfold	눈가리개	anticipation	0.500
undisclosed	공개되지 않은	anticipation	0.500
young	젊은	anticipation	0.500
horoscope	점성	anticipation	0.500
invocation	기도	anticipation	0.500
calculation	계산	anticipation	0.500
hero	영웅	anticipation	0.500
court	법정	anticipation	0.492
repay	갚다	anticipation	0.492
improvise	즉석에서 연주하다	anticipation	0.492
parole	맹세	anticipation	0.492
worry	걱정	anticipation	0.492
inauguration	취임	anticipation	0.492
gaping	갈라지는	anticipation	0.492
youth	청소년	anticipation	0.492
bless	신을 하다	anticipation	0.492
defense	방어	anticipation	0.492
heyday	전성기	anticipation	0.492
consequent	당연한 결과	anticipation	0.492
proceeding	진행	anticipation	0.492
eventual	어쩌면 일어날 수도 있는	anticipation	0.492
perspective	원근법	anticipation	0.492
restorative	강장제	anticipation	0.492
undertaking	사업	anticipation	0.492
highest	제일 높은	anticipation	0.491
duel	결투	anticipation	0.484
unexplained	설명 할 수없는	anticipation	0.484
tremor	떨림	anticipation	0.484
sharpen	갈다	anticipation	0.484
generosity	관대	anticipation	0.484
voluptuous	기분 좋은	anticipation	0.484
shortly	곧	anticipation	0.484
vow	맹세	anticipation	0.484
contagion	전염병	anticipation	0.484
letter	편지	anticipation	0.484
happen	우연히 있다	anticipation	0.484
threaten	위협하다	anticipation	0.484
conjure	창작하다	anticipation	0.484
sparkle	불꽃	anticipation	0.484
engulf	삼키다	anticipation	0.484
god	하나님	anticipation	0.484
correspondence	일치	anticipation	0.484
auspicious	길조	anticipation	0.484
princely	왕자 다운	anticipation	0.484
adore	경앙하다	anticipation	0.477
enroll	싸다	anticipation	0.477
determinate	한정된	anticipation	0.477
predispose	기분이 나쁜	anticipation	0.477
clue	실마리	anticipation	0.477
onset	습격	anticipation	0.477
powerful	강한	anticipation	0.477
glorify	영화 롭게하다	anticipation	0.477
glow	불타는 듯한 빛깔	anticipation	0.477
arbitration	중재	anticipation	0.477
torture	고문	anticipation	0.477
gravitate	끌다	anticipation	0.477
cherish	소중히 하다	anticipation	0.477
contemplate	생각하다	anticipation	0.477
submit	제출하다	anticipation	0.477
perilous	위험한	anticipation	0.477
unification	통일	anticipation	0.477
score	점수	anticipation	0.477
medal	메달	anticipation	0.477
glide	활주	anticipation	0.477
recipient	수령인	anticipation	0.477
accompaniment	반주	anticipation	0.477
praiseworthy	기특한	anticipation	0.473
providing	제공하는	anticipation	0.469
motion	운동	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	조심성 있는	anticipation	0.469
cash	현금	anticipation	0.469
precursor	전구 물질	anticipation	0.469
opera	오페라	anticipation	0.469
elite	엘리트	anticipation	0.469
pry	캐내다	anticipation	0.469
hire	고용	anticipation	0.469
sweets	과자	anticipation	0.469
star	별	anticipation	0.469
unsurpassed	이겨낼 사람 없는	anticipation	0.469
successful	성공한	anticipation	0.469
unknown	알 수 없는	anticipation	0.469
immediately	바로	anticipation	0.469
starry	별이 빛나는	anticipation	0.469
production	생산	anticipation	0.469
football	축구	anticipation	0.469
completion	완성	anticipation	0.469
scare	공황	anticipation	0.469
invoke	~을 부르다	anticipation	0.469
shaky	흔들리는	anticipation	0.469
dawn	새벽	anticipation	0.469
creeping	포복	anticipation	0.469
cheerfulness	쾌활함	anticipation	0.461
soundness	건강	anticipation	0.461
mail	우편	anticipation	0.461
draft	초안	anticipation	0.461
preliminary	예비의	anticipation	0.461
friendly	친한	anticipation	0.461
commemorative	기념품	anticipation	0.461
extricate	구해 내다	anticipation	0.461
alive	살아 있는	anticipation	0.461
untold	헤아릴 수 없는	anticipation	0.461
overture	서장	anticipation	0.461
excel	뛰어나다	anticipation	0.461
plight	상태	anticipation	0.461
synchronize	동기화하다	anticipation	0.461
punt	펀트	anticipation	0.461
sanctuary	성역	anticipation	0.461
brilliant	훌륭한	anticipation	0.461
pay	지불	anticipation	0.461
shining	빛나는	anticipation	0.461
regatta	요트 경주	anticipation	0.461
testament	성서	anticipation	0.461
jeopardy	위험	anticipation	0.461
perpetuity	영속	anticipation	0.453
elegance	우아	anticipation	0.453
career	직업	anticipation	0.453
basketball	농구	anticipation	0.453
intimately	친밀하게	anticipation	0.453
renovate	새롭게 하다	anticipation	0.453
supremacy	최고	anticipation	0.453
infinity	무한대	anticipation	0.453
unexpected	예기치 않은	anticipation	0.453
flinch	꽁무니 빼다	anticipation	0.453
complement	보어	anticipation	0.453
prologue	프롤로그	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	예방	anticipation	0.453
improve	돌리다	anticipation	0.453
sunset	일몰	anticipation	0.453
inaugural	취임식	anticipation	0.453
rehabilitation	복권	anticipation	0.453
fitting	입어 보기	anticipation	0.445
surround	서라운드	anticipation	0.445
share	몫	anticipation	0.445
epidemic	전염병	anticipation	0.445
sweet	단	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	은폐	anticipation	0.445
confidence	자신	anticipation	0.445
perfect	완전한	anticipation	0.445
sun	태양	anticipation	0.445
veracity	정확성	anticipation	0.445
volunteer	지원자	anticipation	0.445
conjecture	어림짐작	anticipation	0.445
medical	의료	anticipation	0.438
prepared	준비된	anticipation	0.438
superstitious	미신적 인	anticipation	0.438
reconstruction	재건	anticipation	0.438
tickle	간지럼	anticipation	0.438
faith	신앙	anticipation	0.438
passenger	승객	anticipation	0.438
saint	성자	anticipation	0.438
respect	존경	anticipation	0.438
rabid	맹렬한	anticipation	0.438
reconstruct	재건하다	anticipation	0.438
recombination	재조합	anticipation	0.438
devout	독실한	anticipation	0.438
goodness	선량	anticipation	0.438
angel	천사	anticipation	0.438
ferment	효소	anticipation	0.438
plea	항변	anticipation	0.438
aloha	알로하	anticipation	0.438
serial	연속물	anticipation	0.438
conservation	보존	anticipation	0.438
serenity	평온	anticipation	0.430
tabulate	표로 만들다	anticipation	0.430
install	설치하다	anticipation	0.430
labyrinth	미궁	anticipation	0.430
venerable	오래된	anticipation	0.430
perpetuate	영속하다	anticipation	0.430
strategist	전략가	anticipation	0.430
unverified	확인되지 않은	anticipation	0.430
tribunal	법정	anticipation	0.430
charitable	자비로운	anticipation	0.430
luscious	감미로운	anticipation	0.430
spa	온천	anticipation	0.430
peace	평화	anticipation	0.430
clap	박수	anticipation	0.430
conspirator	공모자	anticipation	0.422
forestall	앞서다	anticipation	0.422
patience	인내	anticipation	0.422
oasis	오아시스	anticipation	0.422
grin	이를 드러내고 웃다	anticipation	0.422
revere	숭배하다	anticipation	0.422
worship	예배	anticipation	0.422
vista	추억	anticipation	0.422
laughter	웃음	anticipation	0.422
volatility	휘발성	anticipation	0.422
adrift	떠돌아	anticipation	0.422
candid	솔직한	anticipation	0.422
edification	교화	anticipation	0.422
unresolved	해결되지 않은	anticipation	0.422
peaceful	평화로운	anticipation	0.422
recognizable	확인할 수 있는	anticipation	0.422
calls	전화	anticipation	0.414
weigh	달다	anticipation	0.414
probation	집행 유예	anticipation	0.414
proficiency	진보	anticipation	0.414
morn	아침	anticipation	0.414
craps	크랩	anticipation	0.414
detainee	억류자	anticipation	0.414
mediate	중재하다	anticipation	0.414
continue	잇다	anticipation	0.414
astrologer	점성가	anticipation	0.414
punctual	시간을 정하다	anticipation	0.414
ordination	안수식	anticipation	0.414
pretty	예쁜	anticipation	0.414
thought	생각	anticipation	0.414
grant	부여	anticipation	0.414
withstand	버티다	anticipation	0.414
frisky	유쾌한	anticipation	0.414
ongoing	전진	anticipation	0.414
sing	노래	anticipation	0.411
long	긴	anticipation	0.406
confession	고백	anticipation	0.406
headlight	전조등	anticipation	0.406
prophylactic	예방의	anticipation	0.406
mother	어머니	anticipation	0.406
debenture	회사채	anticipation	0.406
wizard	마법사	anticipation	0.406
university	대학	anticipation	0.406
proud	교만한	anticipation	0.406
midwife	산파	anticipation	0.406
banquet	연회	anticipation	0.406
continuation	계속	anticipation	0.406
navigable	항해 가능한	anticipation	0.406
punished	처벌 된	anticipation	0.406
chicane	발뺌	anticipation	0.406
comfort	위로	anticipation	0.406
opponent	상대	anticipation	0.406
subscribe	구독하다	anticipation	0.406
outdo	능가하다	anticipation	0.406
nurture	양육	anticipation	0.406
twinkle	눈빛	anticipation	0.406
deal	거래	anticipation	0.402
efficient	실력 있는	anticipation	0.398
representing	대표하는	anticipation	0.398
simmer	끓이다	anticipation	0.398
symphony	교향곡	anticipation	0.398
judiciary	사법부	anticipation	0.398
obliging	기꺼이 남을 돌봐 주는	anticipation	0.398
saintly	신성한	anticipation	0.398
vigil	철야 기도	anticipation	0.398
death	죽음	anticipation	0.398
distracting	산만하게하는	anticipation	0.398
mortification	고행	anticipation	0.398
balm	향유	anticipation	0.398
guillotine	기요틴	anticipation	0.398
top	상단	anticipation	0.398
lettered	문자 그대로의	anticipation	0.398
reliance	신뢰	anticipation	0.398
poke	찌름	anticipation	0.391
unfulfilled	완성되지 않은	anticipation	0.391
assurance	보증	anticipation	0.391
condemnation	비난	anticipation	0.391
undoubted	의심 할 여지없이	anticipation	0.391
diplomacy	외교	anticipation	0.391
familiarity	정통	anticipation	0.391
antidote	해독제	anticipation	0.391
chuckle	킬킬 웃음	anticipation	0.391
objective	목표	anticipation	0.391
maternal	산모	anticipation	0.391
abeyance	중지	anticipation	0.391
art	미술	anticipation	0.391
linger	질질 끌게 하다	anticipation	0.391
trust	믿음	anticipation	0.391
depraved	타락한	anticipation	0.391
sanctify	거룩하게하다	anticipation	0.391
inoculation	접종	anticipation	0.384
chant	성가	anticipation	0.383
banger	소시지	anticipation	0.383
playground	운동장	anticipation	0.383
failing	실패	anticipation	0.383
ship	배	anticipation	0.383
hymn	찬송가	anticipation	0.383
simplify	단순화하다	anticipation	0.383
ram	램	anticipation	0.383
labor	노동	anticipation	0.383
discretion	신중	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	좋은	anticipation	0.383
scientist	과학자	anticipation	0.383
undecided	결정되지 않은	anticipation	0.383
humanitarian	인도 주의적	anticipation	0.383
depend	의존하다	anticipation	0.383
dutiful	의무적 인	anticipation	0.383
clock	시계	anticipation	0.375
sterling	영화	anticipation	0.375
mountain	산	anticipation	0.375
savor	맛	anticipation	0.375
recurrent	반복적 인	anticipation	0.375
interim	짬	anticipation	0.375
navigator	항해자	anticipation	0.375
gradual	점진적	anticipation	0.375
interminable	끝내주는	anticipation	0.375
track	선로	anticipation	0.375
public	공공의	anticipation	0.375
cradle	요람	anticipation	0.375
concealed	숨기는	anticipation	0.367
lesson	교훈	anticipation	0.367
instructions	명령	anticipation	0.367
shiver	떨다	anticipation	0.367
musical	뮤지컬	anticipation	0.367
towering	높이 솟은	anticipation	0.367
whim	변덕	anticipation	0.367
spear	창	anticipation	0.367
convince	납득시키다	anticipation	0.367
sonar	소나	anticipation	0.367
abide	머물다	anticipation	0.367
biennial	격년제의	anticipation	0.367
theology	신학	anticipation	0.359
offset	오프셋	anticipation	0.359
atone	속죄하다	anticipation	0.359
timidity	소심	anticipation	0.359
theory	이론	anticipation	0.359
undying	죽지 않는	anticipation	0.359
plump	쿵	anticipation	0.359
audience	청중	anticipation	0.357
nobility	귀족	anticipation	0.352
paragon	모범	anticipation	0.352
dietary	식이 요법	anticipation	0.352
closure	폐쇄	anticipation	0.352
store	저장	anticipation	0.352
localize	지역화하다	anticipation	0.352
cramp	쥐	anticipation	0.352
daily	매일	anticipation	0.352
kindred	혈연	anticipation	0.352
farm	농장	anticipation	0.352
edition	판	anticipation	0.352
consecration	헌신	anticipation	0.352
archaeology	고고학	anticipation	0.344
mobile	변하기 쉬운	anticipation	0.344
errand	심부름	anticipation	0.344
wireless	무선 전화	anticipation	0.344
mutable	변하기 쉬운	anticipation	0.344
meditate	꾀하다	anticipation	0.344
stripped	박탈 된	anticipation	0.344
lessen	적게 하다	anticipation	0.336
unaccountable	설명 할 수없는	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	형제	anticipation	0.336
buddy	동료	anticipation	0.336
unbeaten	매 맞지 않은	anticipation	0.336
germ	세균	anticipation	0.336
dove	비둘기	anticipation	0.328
digress	탈선하다	anticipation	0.328
ribbon	리본	anticipation	0.328
olfactory	후각의	anticipation	0.328
patient	환자	anticipation	0.328
council	이사회	anticipation	0.328
possess	붙잡다	anticipation	0.328
secular	속가	anticipation	0.328
chastity	순결	anticipation	0.328
disposed	처분 된	anticipation	0.320
regularity	정격	anticipation	0.320
mediator	중재인	anticipation	0.320
scrutinize	자세히 보다	anticipation	0.320
fancy	공상	anticipation	0.320
immature	미성숙 한	anticipation	0.320
infanticide	유아 살해	anticipation	0.320
heft	무게	anticipation	0.320
preservative	예방법	anticipation	0.320
paddle	외륜	anticipation	0.320
cove	후미	anticipation	0.320
denying	부정한	anticipation	0.312
bugle	나팔	anticipation	0.312
unpublished	널리 알려지지 않은	anticipation	0.312
analyst	분석자	anticipation	0.312
grim	엄한	anticipation	0.312
church	교회에	anticipation	0.312
priesthood	사제직	anticipation	0.305
mill	밀	anticipation	0.305
judicial	사법의	anticipation	0.305
broadside	현측	anticipation	0.305
tributary	지류	anticipation	0.297
cap	캡	anticipation	0.297
thermocouple	열전대	anticipation	0.297
dismay	당황	anticipation	0.297
instructor	강사	anticipation	0.297
saliva	타액	anticipation	0.297
exhaustion	피로	anticipation	0.297
bruise	타박상	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	노숙자	anticipation	0.289
visor	챙	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	회로망	anticipation	0.289
shackle	걸쇠	anticipation	0.289
addresses	구애	anticipation	0.289
noncompliance	비준수	anticipation	0.289
cataract	백내장	anticipation	0.289
skewed	비뚤어진	anticipation	0.281
astronomer	천문학 자	anticipation	0.281
neighbor	이웃 사람	anticipation	0.281
holiness	신성한 것	anticipation	0.273
devil	악마	anticipation	0.273
cream	크림	anticipation	0.273
picket	피켓	anticipation	0.273
latent	숨어있는	anticipation	0.273
immaturity	미숙	anticipation	0.273
sentence	문장	anticipation	0.273
neighborhood	이웃	anticipation	0.266
morals	수신	anticipation	0.266
lull	달래다	anticipation	0.266
habitual	습관적인	anticipation	0.266
weight	무게	anticipation	0.258
bye	안녕	anticipation	0.258
forearm	전완	anticipation	0.250
clown	시골뜨기	anticipation	0.250
organ	오르간	anticipation	0.250
quote	인용문	anticipation	0.242
commonplace	평범한	anticipation	0.242
dictatorship	절대권	anticipation	0.234
board	판	anticipation	0.234
white	화이트	anticipation	0.234
treadmill	밟아 돌리는 바퀴	anticipation	0.234
rail	레일	anticipation	0.234
sundial	해시계	anticipation	0.227
tree	나무	anticipation	0.227
paralysis	마비	anticipation	0.211
worm	벌레	anticipation	0.203
organization	조직	anticipation	0.203
cement	시멘트	anticipation	0.203
lagging	보온재	anticipation	0.180
neutral	중립국	anticipation	0.148
cannibalism	식인 풍습	disgust	0.953
mutilation	절단	disgust	0.930
molestation	방해	disgust	0.914
incest	근친 상간	disgust	0.914
gonorrhea	임질	disgust	0.906
rape	강간	disgust	0.906
cannibal	식인종	disgust	0.898
rot	썩음	disgust	0.891
corpse	시체	disgust	0.883
massacre	대학살	disgust	0.883
excrement	배설물	disgust	0.883
slaughter	학살	disgust	0.875
barf	바프	disgust	0.875
slaughterhouse	도살장	disgust	0.867
rancid	썩은 냄새	disgust	0.859
sewerage	하수 설비	disgust	0.859
incestuous	근친상간의	disgust	0.859
filth	오물	disgust	0.859
bigot	뱃머리	disgust	0.859
infestation	침입	disgust	0.852
plague	역병	disgust	0.852
bloodthirsty	피에 굶주린	disgust	0.852
holocaust	대학살	disgust	0.852
rotting	썩어가는	disgust	0.844
maggot	변덕	disgust	0.844
feces	대변	disgust	0.844
fecal	배설물	disgust	0.844
murder	살인	disgust	0.839
infanticide	유아 살해	disgust	0.836
homicide	살인	disgust	0.836
asshole	항문	disgust	0.836
enslaved	예속 된	disgust	0.836
gore	핏덩어리	disgust	0.828
perverted	이상의	disgust	0.828
torture	고문	disgust	0.828
slaughtering	도살	disgust	0.828
excretion	배설	disgust	0.828
contaminate	오염시키다	disgust	0.821
murderer	살인자	disgust	0.820
gory	피투성이의	disgust	0.820
repugnant	지겨운	disgust	0.820
desecration	신성 모독	disgust	0.820
grotesque	그로테스크 한	disgust	0.820
revolting	반란군	disgust	0.820
diarrhoea	설사	disgust	0.820
manure	비료	disgust	0.820
terrorist	테러리스트	disgust	0.820
shit	똥	disgust	0.820
pervert	나쁜 길로 이끌다	disgust	0.820
slavery	노예 제도	disgust	0.812
faeces	찌끼	disgust	0.812
sewer	하수	disgust	0.812
vomit	토하다	disgust	0.812
manslaughter	살인	disgust	0.812
dismemberment	절단	disgust	0.812
cadaver	시체	disgust	0.812
hemorrhage	출혈	disgust	0.805
repulsive	반발하는	disgust	0.805
perverse	비뚤어진	disgust	0.805
filthy	불결한	disgust	0.797
sewage	하수 오물	disgust	0.797
depravity	타락	disgust	0.797
diseased	병든	disgust	0.797
carcass	시체	disgust	0.795
decompose	분해하다	disgust	0.789
vermin	해충	disgust	0.789
puke	구토	disgust	0.789
parasite	기생물	disgust	0.789
horrific	무서운	disgust	0.789
gruesome	소름 끼치는	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	절단 된	disgust	0.789
murderous	살인적인	disgust	0.789
decayed	부패한	disgust	0.789
herpes	수포진	disgust	0.789
slime	더러운 것	disgust	0.781
flatulence	공허	disgust	0.781
monstrosity	기괴	disgust	0.781
carnage	대학살	disgust	0.781
pestilence	역병	disgust	0.781
malaria	말라리아	disgust	0.781
crap	쓰레기	disgust	0.781
toxic	유독 한	disgust	0.773
loathsome	기분 나쁜	disgust	0.773
insidious	교활한	disgust	0.773
leprosy	나병	disgust	0.773
morgue	거만	disgust	0.773
pus	고름	disgust	0.773
herpesvirus	헤르페스 바이러스	disgust	0.773
whore	매춘부	disgust	0.766
cruel	잔인한	disgust	0.766
repugnance	모순	disgust	0.766
revulsion	격변	disgust	0.766
xenophobia	외국인 혐오증	disgust	0.766
regurgitation	역류	disgust	0.766
anthrax	탄저병	disgust	0.766
lynch	사형	disgust	0.766
dissection	해부	disgust	0.759
canker	구강 궤양	disgust	0.758
cruelty	잔학	disgust	0.758
perversion	곡해	disgust	0.758
evil	악	disgust	0.758
slum	빈민굴	disgust	0.758
infectious	전염성의	disgust	0.758
mucous	점액의	disgust	0.758
phlegm	담	disgust	0.758
leeches	거머리	disgust	0.750
decomposition	분해	disgust	0.750
sinister	불길한	disgust	0.750
corrupting	부패하는	disgust	0.750
demon	악마	disgust	0.742
stinking	악취가 나는	disgust	0.742
septic	부패물	disgust	0.742
deranged	엉망이 된	disgust	0.742
bile	담즙	disgust	0.742
soiled	더러워진	disgust	0.742
mucus	점액	disgust	0.742
abhorrence	혐오	disgust	0.742
abomination	질색	disgust	0.742
sickening	병 들게하는	disgust	0.742
demonic	악마 같은	disgust	0.742
foul	반칙	disgust	0.734
obese	뚱뚱한	disgust	0.734
sicken	싫증 나게 하다	disgust	0.734
degeneracy	퇴화	disgust	0.734
crucifixion	큰 시련	disgust	0.734
despicable	비열한	disgust	0.734
cancer	암	disgust	0.734
atrocity	포악	disgust	0.734
terrorism	테러	disgust	0.734
dirty	더러운	disgust	0.727
dysentery	이질	disgust	0.727
adultery	간통	disgust	0.727
contamination	오염	disgust	0.727
bacterium	박테리아	disgust	0.727
diabolical	악마 같은	disgust	0.727
morbidity	병적 상태	disgust	0.727
grisly	소름 끼치게 하는	disgust	0.727
repulsion	반발	disgust	0.727
enema	관장	disgust	0.727
contagion	전염병	disgust	0.719
disfigured	모양이 변형 된	disgust	0.719
muck	쓰레기	disgust	0.719
lewd	음란 한	disgust	0.719
garbage	찌꺼기	disgust	0.719
autopsy	검시	disgust	0.719
bowels	창자	disgust	0.719
gross	심한	disgust	0.719
vulgar	저속한	disgust	0.719
barbaric	야만인 같은	disgust	0.719
disgust	싫음	disgust	0.719
vicious	나쁜	disgust	0.719
entrails	내장	disgust	0.719
deterioration	악화	disgust	0.719
pungent	날카로운	disgust	0.719
bloodshed	유혈	disgust	0.714
