word	Kazakh-kk	emotion	emotion-intensity-score
sweets	тәттілер	anticipation	0.469
star	жұлдыз	anticipation	0.469
unsurpassed	артық емес	anticipation	0.469
successful	табысты	anticipation	0.469
unknown	белгісіз	anticipation	0.469
immediately	дереу	anticipation	0.469
starry	жұлдызды	anticipation	0.469
production	өндіріс	anticipation	0.469
football	футбол	anticipation	0.469
completion	аяқтау	anticipation	0.469
scare	қорқыныш	anticipation	0.469
invoke	шақырыңыз	anticipation	0.469
shaky	шытты	anticipation	0.469
dawn	таңғы	anticipation	0.469
creeping	серпіліс	anticipation	0.469
cheerfulness	көңілділік	anticipation	0.461
soundness	сенімділік	anticipation	0.461
mail	пошта	anticipation	0.461
draft	жоба	anticipation	0.461
preliminary	алдын ала	anticipation	0.461
friendly	достық	anticipation	0.461
commemorative	естелік	anticipation	0.461
extricate	құтқару	anticipation	0.461
alive	тірі	anticipation	0.461
untold	жоқ	anticipation	0.461
overture	ауытқу	anticipation	0.461
excel	excel	anticipation	0.461
plight	қиын жағдай	anticipation	0.461
synchronize	синхрондау	anticipation	0.461
punt	нүкте	anticipation	0.461
sanctuary	қасиетті орын	anticipation	0.461
brilliant	тамаша	anticipation	0.461
pay	төлеу	anticipation	0.461
shining	жарқырайды	anticipation	0.461
regatta	регатасы	anticipation	0.461
testament	өсиет	anticipation	0.461
jeopardy	қауіпті	anticipation	0.461
perpetuity	мәңгі	anticipation	0.453
elegance	талғампаздығы	anticipation	0.453
career	Мансап	anticipation	0.453
basketball	баскетбол	anticipation	0.453
intimately	жақында	anticipation	0.453
renovate	жөндеу	anticipation	0.453
supremacy	үстемдік	anticipation	0.453
infinity	шексіздік	anticipation	0.453
unexpected	күтпеген	anticipation	0.453
flinch	флинч	anticipation	0.453
complement	қосымша	anticipation	0.453
prologue	проглог	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	алдын алу	anticipation	0.453
improve	жақсарту	anticipation	0.453
sunset	батуы	anticipation	0.453
inaugural	кіріспе	anticipation	0.453
rehabilitation	оңалту	anticipation	0.453
fitting	орнату	anticipation	0.445
surround	қоршалған	anticipation	0.445
share	үлесі	anticipation	0.445
epidemic	эпидемия	anticipation	0.445
sweet	тәтті	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	жасыру	anticipation	0.445
confidence	сенім	anticipation	0.445
perfect	мінсіз	anticipation	0.445
sun	күн	anticipation	0.445
veracity	шынайылық	anticipation	0.445
volunteer	ерікті	anticipation	0.445
conjecture	гипотеза	anticipation	0.445
medical	медициналық	anticipation	0.438
prepared	дайындалды	anticipation	0.438
superstitious	ырымдық	anticipation	0.438
reconstruction	қайта құру	anticipation	0.438
tickle	қыдыру	anticipation	0.438
faith	сенім	anticipation	0.438
passenger	жолаушы	anticipation	0.438
saint	қасиетті	anticipation	0.438
respect	құрмет	anticipation	0.438
rabid	рабид	anticipation	0.438
reconstruct	қайта құру	anticipation	0.438
recombination	рекомбинация	anticipation	0.438
devout	Діншіл	anticipation	0.438
goodness	жақсылық	anticipation	0.438
angel	періште	anticipation	0.438
ferment	ашыту	anticipation	0.438
plea	өтініш	anticipation	0.438
aloha	алоха	anticipation	0.438
serial	сериялық	anticipation	0.438
conservation	сақтау	anticipation	0.438
serenity	тыныштық	anticipation	0.430
tabulate	табуляция	anticipation	0.430
install	орнату	anticipation	0.430
labyrinth	лабиринт	anticipation	0.430
venerable	құрметті	anticipation	0.430
perpetuate	мәңгілікке	anticipation	0.430
strategist	стратег	anticipation	0.430
unverified	расталмаған	anticipation	0.430
tribunal	трибунал	anticipation	0.430
charitable	қайырымдылық	anticipation	0.430
luscious	керемет	anticipation	0.430
spa	СПА	anticipation	0.430
peace	бейбітшілік	anticipation	0.430
clap	шапалақтап	anticipation	0.430
conspirator	күзетші	anticipation	0.422
forestall	алдын ала ескерту	anticipation	0.422
patience	шыдамдылық	anticipation	0.422
oasis	оазис	anticipation	0.422
grin	грин	anticipation	0.422
revere	ренжіту	anticipation	0.422
worship	ғибадат	anticipation	0.422
vista	виста	anticipation	0.422
laughter	күлкі	anticipation	0.422
volatility	құбылмалылық	anticipation	0.422
adrift	қолайсыздық	anticipation	0.422
candid	ашық	anticipation	0.422
edification	түзету	anticipation	0.422
unresolved	шешілмеген	anticipation	0.422
peaceful	бейбітшілік	anticipation	0.422
recognizable	танымал	anticipation	0.422
calls	қоңыраулар	anticipation	0.414
weigh	салмақ	anticipation	0.414
probation	сынақ мерзімі	anticipation	0.414
proficiency	біліктілігі	anticipation	0.414
morn	сәттілік	anticipation	0.414
craps	жарықтар	anticipation	0.414
detainee	ұсталған адам	anticipation	0.414
mediate	делдалдық	anticipation	0.414
continue	жалғастыру	anticipation	0.414
astrologer	астролог	anticipation	0.414
punctual	ұқыптылық	anticipation	0.414
ordination	үйлестіру	anticipation	0.414
pretty	әдемі	anticipation	0.414
thought	ой	anticipation	0.414
grant	грант	anticipation	0.414
withstand	қарсы тұру	anticipation	0.414
frisky	шырынды	anticipation	0.414
ongoing	жалғасуда	anticipation	0.414
sing	ән айту	anticipation	0.411
long	ұзақ	anticipation	0.406
confession	мойындау	anticipation	0.406
headlight	фара	anticipation	0.406
prophylactic	профилактикалық	anticipation	0.406
mother	анасы	anticipation	0.406
debenture	борыштық міндеттемелер	anticipation	0.406
wizard	шебері	anticipation	0.406
university	университет	anticipation	0.406
proud	мақтаныш	anticipation	0.406
midwife	акушер	anticipation	0.406
banquet	банкет	anticipation	0.406
continuation	жалғастыру	anticipation	0.406
navigable	кеме жүретін	anticipation	0.406
punished	жазаланды	anticipation	0.406
chicane	шикан	anticipation	0.406
comfort	жайлылық	anticipation	0.406
opponent	қарсылас	anticipation	0.406
subscribe	жазылу	anticipation	0.406
outdo	outdo	anticipation	0.406
nurture	тәрбиелеу	anticipation	0.406
twinkle	жарқырау	anticipation	0.406
deal	мәміле	anticipation	0.402
efficient	нәтижелі	anticipation	0.398
representing	өкілдік етеді	anticipation	0.398
simmer	қайнатыңыз	anticipation	0.398
symphony	симфониялық	anticipation	0.398
judiciary	сот жүйесі	anticipation	0.398
obliging	міндетті түрде	anticipation	0.398
saintly	қасиетті	anticipation	0.398
vigil	қырағы	anticipation	0.398
death	өлім	anticipation	0.398
distracting	алаңдаушылық	anticipation	0.398
mortification	өлім-жітім	anticipation	0.398
balm	бальзам	anticipation	0.398
guillotine	гильотин	anticipation	0.398
top	жоғарғы жағы	anticipation	0.398
lettered	хат жазылған	anticipation	0.398
reliance	сенім	anticipation	0.398
poke	келемеждеу	anticipation	0.391
unfulfilled	орындалмады	anticipation	0.391
assurance	сенімділік	anticipation	0.391
condemnation	айыптау	anticipation	0.391
undoubted	сөз жоқ	anticipation	0.391
diplomacy	дипломатия	anticipation	0.391
familiarity	танысу	anticipation	0.391
antidote	антидот	anticipation	0.391
chuckle	күледі	anticipation	0.391
objective	мақсат	anticipation	0.391
maternal	аналық	anticipation	0.391
abeyance	абайла	anticipation	0.391
art	өнер	anticipation	0.391
linger	қалдыру	anticipation	0.391
trust	сенімділік	anticipation	0.391
depraved	бұзылған	anticipation	0.391
sanctify	қасиетті ету	anticipation	0.391
inoculation	инокуляция	anticipation	0.384
chant	ән айту	anticipation	0.383
banger	бангер	anticipation	0.383
playground	ойын алаңы	anticipation	0.383
failing	сәтсіздікке	anticipation	0.383
ship	кеме	anticipation	0.383
hymn	әнұран	anticipation	0.383
simplify	жеңілдетеді	anticipation	0.383
ram	Жедел Жадтау Құрылғысы	anticipation	0.383
labor	еңбек	anticipation	0.383
discretion	қалауы	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	жақсы	anticipation	0.383
scientist	ғалым	anticipation	0.383
undecided	белгісіз	anticipation	0.383
humanitarian	гуманитарлық	anticipation	0.383
depend	байланысты	anticipation	0.383
dutiful	ұқыпты	anticipation	0.383
clock	сағат	anticipation	0.375
sterling	стерлинг	anticipation	0.375
mountain	тау	anticipation	0.375
savor	дәмі	anticipation	0.375
recurrent	қайталанатын	anticipation	0.375
interim	аралық	anticipation	0.375
navigator	навигатор	anticipation	0.375
gradual	бірте-бірте	anticipation	0.375
interminable	үзіліссіз	anticipation	0.375
track	жол	anticipation	0.375
public	қоғамдық	anticipation	0.375
cradle	бесігі	anticipation	0.375
concealed	жасырын	anticipation	0.367
lesson	сабақ	anticipation	0.367
instructions	нұсқаулар	anticipation	0.367
shiver	сілкініс	anticipation	0.367
musical	музыкалық	anticipation	0.367
towering	көтерілу	anticipation	0.367
whim	жымиып	anticipation	0.367
spear	найза	anticipation	0.367
convince	сендіру	anticipation	0.367
sonar	Сонар	anticipation	0.367
abide	сақтаңыз	anticipation	0.367
biennial	екіжылдық	anticipation	0.367
theology	теология	anticipation	0.359
offset	офсет	anticipation	0.359
atone	жоқ	anticipation	0.359
timidity	қорқыныш	anticipation	0.359
theory	теориясы	anticipation	0.359
undying	жоқ	anticipation	0.359
plump	толықтыру	anticipation	0.359
audience	аудитория	anticipation	0.357
nobility	ақсүйектер	anticipation	0.352
paragon	парагон	anticipation	0.352
dietary	диеталық	anticipation	0.352
closure	жабу	anticipation	0.352
store	дүкен	anticipation	0.352
localize	локализациялау	anticipation	0.352
cramp	каскады	anticipation	0.352
daily	күн сайын	anticipation	0.352
kindred	туыстық	anticipation	0.352
farm	шаруашылық	anticipation	0.352
edition	басылым	anticipation	0.352
consecration	адалдық	anticipation	0.352
archaeology	археология	anticipation	0.344
mobile	ұялы телефон	anticipation	0.344
errand	әрекет	anticipation	0.344
wireless	сымсыз	anticipation	0.344
mutable	өзгермейтін	anticipation	0.344
meditate	медитация	anticipation	0.344
stripped	айырылған	anticipation	0.344
lessen	азайту	anticipation	0.336
unaccountable	есепке алынбайды	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	бауырластық	anticipation	0.336
buddy	дос	anticipation	0.336
unbeaten	непобедимый	anticipation	0.336
germ	ұрық	anticipation	0.336
dove	көгершін	anticipation	0.328
digress	ауытқу	anticipation	0.328
ribbon	таспа	anticipation	0.328
olfactory	хош иісті заттар	anticipation	0.328
patient	науқас	anticipation	0.328
council	кеңес	anticipation	0.328
possess	ие	anticipation	0.328
secular	зайырлы	anticipation	0.328
chastity	тазалық	anticipation	0.328
disposed	орналастырылған	anticipation	0.320
regularity	тұрақтылық	anticipation	0.320
mediator	медиатор	anticipation	0.320
scrutinize	тексеріңіз	anticipation	0.320
fancy	фантазия	anticipation	0.320
immature	жетілмеген	anticipation	0.320
infanticide	нәресте жанұясы	anticipation	0.320
heft	гравитация	anticipation	0.320
preservative	консервант	anticipation	0.320
paddle	таяқша	anticipation	0.320
cove	қапталған	anticipation	0.320
denying	бас тартады	anticipation	0.312
bugle	қате	anticipation	0.312
unpublished	жарияланбаған	anticipation	0.312
analyst	талдаушы	anticipation	0.312
grim	ұсақ	anticipation	0.312
church	шіркеу	anticipation	0.312
priesthood	діни қызметкерлер	anticipation	0.305
mill	диірмен	anticipation	0.305
judicial	сот	anticipation	0.305
broadside	кеңістікте	anticipation	0.305
tributary	ағыны	anticipation	0.297
cap	қақпақ	anticipation	0.297
thermocouple	термопары	anticipation	0.297
dismay	қасіретін	anticipation	0.297
instructor	нұсқаушы	anticipation	0.297
saliva	сілекей	anticipation	0.297
exhaustion	сарқылу	anticipation	0.297
bruise	көгеру	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	үйсіз	anticipation	0.289
visor	сөре	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	желі	anticipation	0.289
shackle	шкаф	anticipation	0.289
addresses	мекен-жайлары	anticipation	0.289
noncompliance	сəйкес келмеуі	anticipation	0.289
cataract	катаракта	anticipation	0.289
skewed	қисық	anticipation	0.281
astronomer	астроном	anticipation	0.281
neighbor	көрші	anticipation	0.281
holiness	қасиетті	anticipation	0.273
devil	шайтан	anticipation	0.273
cream	крем	anticipation	0.273
picket	пикет	anticipation	0.273
latent	жасырын	anticipation	0.273
immaturity	жетілмегендігі	anticipation	0.273
sentence	сөйлем	anticipation	0.273
neighborhood	Көршілестік	anticipation	0.266
morals	адамгершілік	anticipation	0.266
lull	ақсүйек	anticipation	0.266
habitual	әдеттегі	anticipation	0.266
weight	салмағы	anticipation	0.258
bye	байт	anticipation	0.258
forearm	білек	anticipation	0.250
clown	клоун	anticipation	0.250
organ	орган	anticipation	0.250
quote	дәйексөз	anticipation	0.242
commonplace	әдеттегідей	anticipation	0.242
dictatorship	диктатура	anticipation	0.234
board	тақтайша	anticipation	0.234
white	ақ	anticipation	0.234
treadmill	жүгіру жолы	anticipation	0.234
rail	темір жол	anticipation	0.234
sundial	күн сағаттары	anticipation	0.227
tree	ағаш	anticipation	0.227
paralysis	паралич	anticipation	0.211
worm	құрт	anticipation	0.203
organization	ұйым	anticipation	0.203
cement	цемент	anticipation	0.203
lagging	артта қалдыру	anticipation	0.180
neutral	бейтарап	anticipation	0.148
cannibalism	канниибализм	disgust	0.953
mutilation	мылтық	disgust	0.930
molestation	ұрлық	disgust	0.914
incest	инсайт	disgust	0.914
gonorrhea	гонорея	disgust	0.906
rape	зорлау	disgust	0.906
cannibal	каннибал	disgust	0.898
rot	шірік	disgust	0.891
corpse	мәйіті	disgust	0.883
massacre	қырғын	disgust	0.883
excrement	экскремация	disgust	0.883
slaughter	сою	disgust	0.875
barf	барф	disgust	0.875
slaughterhouse	кесу үйі	disgust	0.867
rancid	ренжіген	disgust	0.859
sewerage	кәріз жүйесі	disgust	0.859
incestuous	инклюзивті	disgust	0.859
filth	қоқыс	disgust	0.859
bigot	фанат	disgust	0.859
infestation	жұқтыру	disgust	0.852
plague	оба	disgust	0.852
bloodthirsty	қантөгісті	disgust	0.852
holocaust	Холокост	disgust	0.852
rotting	шіріп кету	disgust	0.844
maggot	шірік	disgust	0.844
feces	нәжіс	disgust	0.844
fecal	фекальды	disgust	0.844
murder	өлтіру	disgust	0.839
infanticide	нәресте жанұясы	disgust	0.836
homicide	кісі өлтіру	disgust	0.836
asshole	Нақұрыс	disgust	0.836
enslaved	құлдықта	disgust	0.836
gore	горы	disgust	0.828
perverted	бұзылған	disgust	0.828
torture	азаптау	disgust	0.828
slaughtering	сою	disgust	0.828
excretion	экстракция	disgust	0.828
contaminate	ластанған	disgust	0.821
murderer	өлтіруші	disgust	0.820
gory	қорқыныш	disgust	0.820
repugnant	ренжіген	disgust	0.820
desecration	құрметтеу	disgust	0.820
grotesque	гротеск	disgust	0.820
revolting	көтеріліс	disgust	0.820
diarrhoea	диарея	disgust	0.820
manure	көңді	disgust	0.820
terrorist	террорист	disgust	0.820
shit	қоқыс	disgust	0.820
pervert	бұзақылық	disgust	0.820
slavery	құлдық	disgust	0.812
faeces	нәжіс	disgust	0.812
sewer	кәріз	disgust	0.812
vomit	құсу	disgust	0.812
manslaughter	адам өлтіру	disgust	0.812
dismemberment	бөлшектеу	disgust	0.812
cadaver	кадвер	disgust	0.812
hemorrhage	қан кету	disgust	0.805
repulsive	революциялық	disgust	0.805
perverse	қате	disgust	0.805
filthy	лас	disgust	0.797
sewage	ағынды сулар	disgust	0.797
depravity	бұзақылық	disgust	0.797
diseased	ауру	disgust	0.797
carcass	қаңқа	disgust	0.795
decompose	ыдырауы	disgust	0.789
vermin	жәндіктер	disgust	0.789
puke	puke	disgust	0.789
parasite	паразиттер	disgust	0.789
horrific	түршігерлік	disgust	0.789
gruesome	қауіпті	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	бұзылған	disgust	0.789
murderous	өлтіруші	disgust	0.789
decayed	ыдыраған	disgust	0.789
herpes	Герпес	disgust	0.789
slime	шірік	disgust	0.781
flatulence	метеоризм	disgust	0.781
monstrosity	монстросия	disgust	0.781
carnage	қырғын	disgust	0.781
pestilence	індет	disgust	0.781
malaria	безгек	disgust	0.781
crap	күлді	disgust	0.781
toxic	улы	disgust	0.773
loathsome	лас	disgust	0.773
insidious	ұятсыз	disgust	0.773
leprosy	алапес	disgust	0.773
morgue	морге	disgust	0.773
pus	бауыр	disgust	0.773
herpesvirus	герпесвирус	disgust	0.773
whore	жезөкше	disgust	0.766
cruel	қатыгез	disgust	0.766
repugnance	репрессия	disgust	0.766
revulsion	қуғындау	disgust	0.766
xenophobia	ксенофобия	disgust	0.766
regurgitation	қалпына келтіру	disgust	0.766
anthrax	күйдіргі	disgust	0.766
lynch	линч	disgust	0.766
dissection	диссекция	disgust	0.759
canker	шабуылшы	disgust	0.758
cruelty	қатыгездік	disgust	0.758
perversion	бұзақылық	disgust	0.758
evil	жауыз	disgust	0.758
slum	шлейф	disgust	0.758
infectious	жұқпалы	disgust	0.758
mucous	шырышты	disgust	0.758
phlegm	бөкселер	disgust	0.758
leeches	пияздар	disgust	0.750
decomposition	ыдырау	disgust	0.750
sinister	қатерлі	disgust	0.750
corrupting	бүлінген	disgust	0.750
demon	демон	disgust	0.742
stinking	ұят	disgust	0.742
septic	септикалық	disgust	0.742
deranged	бұзылған	disgust	0.742
bile	өт	disgust	0.742
soiled	кірлеген	disgust	0.742
mucus	слиз	disgust	0.742
abhorrence	жексұрындық	disgust	0.742
abomination	жындыру	disgust	0.742
sickening	ауру	disgust	0.742
demonic	жынды	disgust	0.742
foul	фол	disgust	0.734
obese	семіздік	disgust	0.734
sicken	ауру	disgust	0.734
degeneracy	вирустар	disgust	0.734
crucifixion	шегелеу	disgust	0.734
despicable	жалған	disgust	0.734
cancer	қатерлі ісік	disgust	0.734
atrocity	зорлық-зомбылық	disgust	0.734
terrorism	терроризм	disgust	0.734
dirty	кірлеген	disgust	0.727
dysentery	дизентерия	disgust	0.727
adultery	неке адалдығын бұзу	disgust	0.727
contamination	ластануы	disgust	0.727
bacterium	бактерия	disgust	0.727
diabolical	диаболикалық	disgust	0.727
morbidity	ауру	disgust	0.727
grisly	қыңыр	disgust	0.727
repulsion	итермелеу	disgust	0.727
enema	көкірекше	disgust	0.727
contagion	жұқтыру	disgust	0.719
disfigured	нашар	disgust	0.719
muck	құмыра	disgust	0.719
lewd	жалған	disgust	0.719
garbage	қоқыс	disgust	0.719
autopsy	ашу	disgust	0.719
bowels	ішек	disgust	0.719
gross	жалпы	disgust	0.719
vulgar	вульгар	disgust	0.719
barbaric	варвардік	disgust	0.719
disgust	жиренішті	disgust	0.719
vicious	қатал	disgust	0.719
entrails	ішектер	disgust	0.719
deterioration	нашарлауы	disgust	0.719
pungent	өткір	disgust	0.719
bloodshed	қантөгісті	disgust	0.714
violent	зорлық-зомбылық	disgust	0.711
tyrant	титан	disgust	0.711
poisoned	уланған	disgust	0.711
pollute	ластау	disgust	0.711
wretched	бақытсыз	disgust	0.711
nausea	айнуы	disgust	0.711
mortification	өлім-жітім	disgust	0.711
gag	гаг	disgust	0.711
vulgarity	вульгарность	disgust	0.703
disgusting	жиренішті	disgust	0.703
grope	grope	disgust	0.703
slut	фрагмент	disgust	0.703
poisoning	улану	disgust	0.703
depraved	бұзылған	disgust	0.703
noxious	зиянды	disgust	0.703
porn	порно	disgust	0.703
nasty	нашар	disgust	0.703
slimy	жіңішке	disgust	0.703
despotism	деспотизм	disgust	0.703
nauseate	айнуы	disgust	0.703
secretion	секреция	disgust	0.703
constipation	іш қату	disgust	0.703
hateful	жексұрын	disgust	0.703
grime	шірік	disgust	0.703
measles	қызылша	disgust	0.696
contagious	жұқпалы	disgust	0.695
hellish	тозақ	disgust	0.695
waste	жарату	disgust	0.695
suicidal	өзіне-өзі қол жұмсау	disgust	0.695
abuse	теріс пайдалану	disgust	0.695
hate	жек көру	disgust	0.695
wretch	қасқыр	disgust	0.695
intestinal	ішек	disgust	0.695
wart	соқырлар	disgust	0.695
obesity	семіздік	disgust	0.695
scum	шірік	disgust	0.695
contaminated	ластанған	disgust	0.688
disease	ауру	disgust	0.688
rabid	рабид	disgust	0.688
ooze	озеге	disgust	0.688
treason	наразылық	disgust	0.688
heartworm	жүрек соғысы	disgust	0.688
smut	түтін	disgust	0.688
cholera	тырысқақ	disgust	0.680
deformed	деформацияланған	disgust	0.680
detest	жәбірлеу	disgust	0.680
bestial	сиқырлы	disgust	0.680
sickness	ауру	disgust	0.680
antichrist	Дьяхрист	disgust	0.680
abhorrent	жексұрын	disgust	0.680
soulless	жансыз	disgust	0.680
freakish	қасіретін	disgust	0.680
grimy	грими	disgust	0.680
hatred	өшпенділік	disgust	0.680
pollution	ластануы	disgust	0.680
germ	ұрық	disgust	0.680
abominate	ұятсыз	disgust	0.680
hell	тозақ	disgust	0.680
dilapidated	бүлінген	disgust	0.672
dictatorship	диктатура	disgust	0.672
inhuman	адамгершілік емес	disgust	0.672
greasy	майлы	disgust	0.672
hideous	қорқынышты	disgust	0.672
loathful	нашар	disgust	0.672
obscene	әдепсіз	disgust	0.672
loathing	жәбірлеу	disgust	0.672
cess	бас тарту	disgust	0.670
devil	шайтан	disgust	0.664
heretic	еретуші	disgust	0.664
nauseous	ашкөздік	disgust	0.664
abominable	ұятсыз	disgust	0.664
deformity	деформация	disgust	0.664
deadly	өлім	disgust	0.664
swine	шошқалар	disgust	0.664
discrimination	кемсіту	disgust	0.664
masochism	масочизм	disgust	0.664
poisonous	улы	disgust	0.656
prejudiced	алдын-ала ойластырылған	disgust	0.656
bacteria	бактериялар	disgust	0.656
death	өлім	disgust	0.656
poison	улану	disgust	0.656
trash	қоқыс	disgust	0.656
abortion	түсік тастау	disgust	0.656
corruption	жемқорлық	disgust	0.656
victimized	зардап шеккен	disgust	0.656
oppression	қысымшылық	disgust	0.656
goo	goo	disgust	0.656
latrines	дәретханалар	disgust	0.656
horror	қасіретін	disgust	0.656
horrible	түршігерлік	disgust	0.656
nefarious	нашар	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	кек алу	disgust	0.648
outhouse	сыртындағы үй	disgust	0.648
horrid	түршігерлік	disgust	0.648
detestation	жексұрындық	disgust	0.648
sludge	шлам	disgust	0.648
ugly	нәзік	disgust	0.648
trashy	қоқыс	disgust	0.648
bitch	ботқа	disgust	0.648
immoral	ақымақтық	disgust	0.648
malfeasance	құқық бұзушылық	disgust	0.641
spew	қайнатпа	disgust	0.641
pimple	пимпл	disgust	0.641
indecency	адалдық	disgust	0.641
unsightly	көрінбейтін	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	түршігерлік	disgust	0.641
cystic	мистикалық	disgust	0.641
horrifying	қасіретін	disgust	0.641
derogatory	кемсітушілік	disgust	0.641
laxative	лакциялық	disgust	0.641
criminality	қылмыс	disgust	0.641
oppressive	ренішті	disgust	0.633
sinful	күнәкар	disgust	0.633
bigoted	фанат	disgust	0.633
doomsday	ақырзаман	disgust	0.633
prostitution	жезөкшелік	disgust	0.633
ulcer	жара	disgust	0.633
secrete	құпиялылық	disgust	0.633
perpetrator	қылмыскер	disgust	0.633
rat	егеуіш	disgust	0.633
queasy	қанықтыру	disgust	0.633
mildew	көгеру	disgust	0.633
dastardly	ерікті түрде	disgust	0.625
disgraceful	ұятсыз	disgust	0.625
ghastly	қасіретті	disgust	0.625
persecution	қудалау	disgust	0.625
devilish	шіркеу	disgust	0.625
degrading	қорлайтын	disgust	0.625
obscenity	ұятсыздық	disgust	0.625
fungus	саңырауқұлақтар	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	ашкөздік	disgust	0.625
stools	табуреткалар	disgust	0.625
suffering	азап	disgust	0.625
contemptible	жексұрын	disgust	0.625
cuckold	дөңес	disgust	0.625
bloated	шөгеді	disgust	0.625
aghast	қасірет	disgust	0.625
betrayal	сатқындық	disgust	0.617
guillotine	гильотин	disgust	0.617
infect	жұқтыру	disgust	0.617
spoil	бүлінген	disgust	0.617
tetanus	сіреспе	disgust	0.617
fat	май	disgust	0.617
louse	тегі	disgust	0.617
malicious	зиянды	disgust	0.617
polygamy	полигамия	disgust	0.617
crusty	қытырлақ	disgust	0.617
atrocious	қатал	disgust	0.617
deceit	алдау	disgust	0.617
termite	термит	disgust	0.617
loathe	нашар	disgust	0.617
wench	венч	disgust	0.617
dying	өледі	disgust	0.617
sickly	ауру	disgust	0.617
diaper	аяқ киім	disgust	0.617
strangle	шегеді	disgust	0.617
drool	қылқалам	disgust	0.609
slander	жала жапты	disgust	0.609
abhor	жек көріңіз	disgust	0.609
venomous	улы	disgust	0.609
brothel	бордель	disgust	0.609
ghetto	геттоларда	disgust	0.609
violently	зорлықпен	disgust	0.609
hostile	дұшпандық	disgust	0.609
sabotage	саботаж	disgust	0.609
deform	деформация	disgust	0.609
bleeding	қан кету	disgust	0.609
unwashed	жуылмаған	disgust	0.602
lunacy	ұятсыздық	disgust	0.602
imprisonment	түрмеге қамау	disgust	0.602
infidel	сенімсіздік	disgust	0.602
deprivation	айыру	disgust	0.602
traitor	сатқын	disgust	0.602
ugliness	нәзіктік	disgust	0.602
musty	қылшықсыз	disgust	0.602
illicit	заңсыз	disgust	0.602
swampy	батпақты	disgust	0.602
poaching	браконьерлік	disgust	0.602
hag	хаг	disgust	0.602
butcher	қасапшы	disgust	0.594
lunatic	ақылсыз	disgust	0.594
venom	улы	disgust	0.594
repelling	репеллент	disgust	0.594
thug	ұрлық	disgust	0.594
misery	қасірет	disgust	0.594
toilet	дәретхана	disgust	0.594
slug	соққы	disgust	0.594
catastrophe	апат	disgust	0.594
epidemic	эпидемия	disgust	0.594
gut	ішек	disgust	0.594
intoxicated	мас күйінде	disgust	0.594
blister	блистер	disgust	0.594
deceitful	алдамшы	disgust	0.594
hostility	қастық	disgust	0.594
queasiness	кезектілік	disgust	0.594
lurid	ұсақ	disgust	0.594
sinner	күнәкар	disgust	0.594
incubus	инкубус	disgust	0.586
lavatory	дәретхана	disgust	0.586
harass	тітіркендіреді	disgust	0.586
unclean	таза емес	disgust	0.586
prostitute	жезөкше	disgust	0.586
pornography	порнография	disgust	0.586
dreadful	қорқынышты	disgust	0.586
deteriorated	нашарлады	disgust	0.586
appalling	қасіретін	disgust	0.586
unfaithful	адал емес	disgust	0.578
rash	бөртпе	disgust	0.578
humiliating	қорлайтын	disgust	0.578
ruinous	қасірет шеккен	disgust	0.578
squeamish	сынған	disgust	0.578
offensive	қорлайтын	disgust	0.578
conspirator	күзетші	disgust	0.578
larceny	ұрлық	disgust	0.578
debauchery	абайсызда	disgust	0.578
mangle	манжа	disgust	0.578
flea	бүргеден	disgust	0.578
hypocrite	екіжақты	disgust	0.578
retard	кешігу	disgust	0.578
fiend	fiend	disgust	0.578
sick	науқас	disgust	0.578
quagmire	шұңқыр	disgust	0.578
expulsion	шығарып тастау	disgust	0.578
treacherous	алдамшы	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	түкіру	disgust	0.570
devastating	қиратушы	disgust	0.570
bastard	Жетесіз	disgust	0.570
messy	лас	disgust	0.570
flog	соққы	disgust	0.570
egregious	еріксіз	disgust	0.570
swamp	батпақ	disgust	0.570
oppress	қысым көрсетіңіз	disgust	0.570
despise	реніш	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	жылан	disgust	0.570
snake	жылан	disgust	0.562
terrible	түршігерлік	disgust	0.562
awful	түршігерлік	disgust	0.562
harmful	зиянды	disgust	0.562
insanity	ақылсыздық	disgust	0.562
indecent	ұятсыз	disgust	0.562
sordid	сирек	disgust	0.562
loo	лок	disgust	0.562
scoundrel	қорлау	disgust	0.562
enemy	жау	disgust	0.562
stealing	ұрлау	disgust	0.562
alcoholism	алкоголизм	disgust	0.562
humiliation	қорлау	disgust	0.562
ruthless	ажалсыз	disgust	0.562
sloppy	икемді	disgust	0.562
tyrannical	зұлымдық	disgust	0.562
harlot	сойшы	disgust	0.562
sinning	күнә жасау	disgust	0.562
robbery	қарақшылық	disgust	0.555
insufferable	қолайсыз	disgust	0.555
arsenic	мышьяк	disgust	0.555
bloody	қанды	disgust	0.555
