word	Latin-la	emotion	emotion-intensity-score
await	expecto	anticipation	0.633
passion	passion	anticipation	0.633
firstborn	primogenitum	anticipation	0.633
captivate	captarent	anticipation	0.633
prepare	para	anticipation	0.633
miracle	miraculum	anticipation	0.633
triumphant	triumphantes;	anticipation	0.625
lust	libidine	anticipation	0.625
retirement	retirement	anticipation	0.625
escape	effugium	anticipation	0.625
gift	donum	anticipation	0.625
inspiration	inspirante,	anticipation	0.625
optimism	in optimam partem interpretantes	anticipation	0.625
foresee	euentura prouidere	anticipation	0.625
ripen	cum maturescere	anticipation	0.625
revival	gentem	anticipation	0.625
embrace	embrace	anticipation	0.617
risky	massa	anticipation	0.617
ambition	gloria	anticipation	0.617
simmering	bullientibus	anticipation	0.617
surprisingly	mIRUM	anticipation	0.617
verge	paene	anticipation	0.617
enchanting	lepidus	anticipation	0.617
bloom	flore	anticipation	0.617
foresight	foresight	anticipation	0.617
foreboding	arcebant aegram	anticipation	0.617
destined	destined	anticipation	0.617
succeeding	Proximis	anticipation	0.609
magical	magicis	anticipation	0.609
bonus	bonus	anticipation	0.609
lookout	cave	anticipation	0.609
matrimony	matrimonium	anticipation	0.609
alerts	In summis montibus	anticipation	0.609
anxiety	anxietatem	anticipation	0.609
seductive	dulcia facit	anticipation	0.609
forecast	praenuntientur	anticipation	0.609
intended	animo	anticipation	0.602
inspire	inspire	anticipation	0.602
diagnosis	Diagnose	anticipation	0.602
visionary	visionaria;	anticipation	0.602
nervous	nervous	anticipation	0.602
deserve	digna	anticipation	0.602
fulfillment	plenitudo	anticipation	0.602
picnic	picnic	anticipation	0.602
applicant	applicant	anticipation	0.602
foreseen	praevisa	anticipation	0.602
entertaining	delectabiles	anticipation	0.602
revenge	vindicta	anticipation	0.602
success	victoria	anticipation	0.602
prophetic	prophetarum	anticipation	0.602
winner	victorem	anticipation	0.602
longing	superindui cupientes	anticipation	0.602
boomerang	boomerang	anticipation	0.602
result	exitum	anticipation	0.594
accelerate	accelerate	anticipation	0.594
buzz	Buzz	anticipation	0.594
acquiring	acquirendo	anticipation	0.594
marry	nubere	anticipation	0.594
illuminate	illustrant	anticipation	0.594
romance	romance	anticipation	0.594
rekindle	Illum cupimus	anticipation	0.594
luck	fortuna	anticipation	0.594
advent	Adventus	anticipation	0.594
preparedness	praeparatio	anticipation	0.594
momentum	momentum	anticipation	0.594
arrive	perveniet	anticipation	0.594
predict	praedicere	anticipation	0.589
sequel	ductus	anticipation	0.586
money	pecunia	anticipation	0.586
endeavor	nitimini	anticipation	0.586
auspices	auspicia	anticipation	0.586
fiesta	Fusce ut	anticipation	0.586
raffle	raffle	anticipation	0.586
preparation	praeparatio	anticipation	0.586
uplift	ad altiora animos alliciant	anticipation	0.586
investigation	inquisitio	anticipation	0.586
gambling	alea	anticipation	0.586
delightful	aspectuque delectabile	anticipation	0.586
enjoying	enjoying	anticipation	0.586
seek	quaerere	anticipation	0.586
impatient	debeam contristari	anticipation	0.586
overdue	indulgendo inveterascere	anticipation	0.586
crave	desideres	anticipation	0.586
flirt	LUDO	anticipation	0.586
enthusiast	FANATICUS	anticipation	0.586
presumption	praesumptione	anticipation	0.586
immerse	baptizabit	anticipation	0.586
progression	progressum	anticipation	0.586
experiment	experimentum	anticipation	0.580
inviting	invitant	anticipation	0.578
precarious	instabilemque ingressum praebebat	anticipation	0.578
blessing	beneficium	anticipation	0.578
harvest	messis	anticipation	0.578
transcendence	denegatio trascendentium,	anticipation	0.578
heavenly	caelesti	anticipation	0.578
attainable	quam impetrabilem fore	anticipation	0.578
enjoy	fruor	anticipation	0.578
divination	divinatio ambigua	anticipation	0.578
excavation	EXCAVATIO	anticipation	0.578
healing	sanitatem	anticipation	0.578
majestic	sublimis	anticipation	0.578
clamor	cantu clamoribusque uariis	anticipation	0.578
thirst	sitis	anticipation	0.578
remedy	remedium	anticipation	0.578
prosper	prosperabuntur	anticipation	0.578
risk	periculum	anticipation	0.578
angling	rumusculos aucuperis	anticipation	0.578
completing	completing	anticipation	0.578
thriving	sime convalescit	anticipation	0.578
zest	cupido	anticipation	0.570
tease	VEXO	anticipation	0.570
matchmaker	conciliantis ago	anticipation	0.570
prospectively	prospectively	anticipation	0.570
restlessness	volutatione extrahas	anticipation	0.570
sweetheart	puella	anticipation	0.570
emancipation	liberatio	anticipation	0.570
ultimate	ultimate	anticipation	0.570
invite	invite	anticipation	0.570
gambler	et aleo,	anticipation	0.570
dare	audendum	anticipation	0.570
plan	consilium	anticipation	0.570
magnificence	gloria	anticipation	0.570
warned	monuit	anticipation	0.570
finally	tandem	anticipation	0.570
intimate	familiarius	anticipation	0.570
omen	omen	anticipation	0.570
attempt	conatus	anticipation	0.562
forewarned	arsurum praemonuisse	anticipation	0.562
fun	amet	anticipation	0.562
festival	festival	anticipation	0.562
trophy	tropaeis funebribus	anticipation	0.562
rejoice	exsultate	anticipation	0.562
fanfare	ambitione	anticipation	0.562
predilection	praedilectionis	anticipation	0.562
exalt	exaltate,	anticipation	0.562
parade	agnitio vultus	anticipation	0.562
enchant	fascinare	anticipation	0.562
independence	libertatem	anticipation	0.562
expose	revelabo stultitiam	anticipation	0.562
immortality	immortalitatis	anticipation	0.562
expected	expectata	anticipation	0.562
mysterious	arcanum	anticipation	0.562
hypothesis	hypothesi	anticipation	0.562
accolade	accolade	anticipation	0.562
lover	amans	anticipation	0.562
quicken	vivificabit	anticipation	0.562
champion	champion	anticipation	0.562
lovely	amabilia	anticipation	0.555
rejoicing	gaudens	anticipation	0.555
grasping	cura superflua	anticipation	0.555
grow	crescere	anticipation	0.555
curiosity	curiositas	anticipation	0.555
splendor	claritate	anticipation	0.555
salvation	salutis	anticipation	0.555
happy	felix	anticipation	0.555
oracle	foribus oraculi	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	unfold	anticipation	0.555
boisterous	truces	anticipation	0.555
liberty	libertatem	anticipation	0.555
heroism	fortitudinem patrare	anticipation	0.555
feeling	sensum	anticipation	0.555
shopping	shopping	anticipation	0.555
fate	fatum	anticipation	0.555
uneasiness	molestiae	anticipation	0.555
speculative	speculativam,	anticipation	0.555
changeable	variabilis	anticipation	0.547
recreational	ludicras	anticipation	0.547
pray	tandem	anticipation	0.547
warn	moneo	anticipation	0.547
suspicious	suspectum	anticipation	0.547
convergence	convergence	anticipation	0.547
incite	instigare	anticipation	0.547
agape	attonitis inhians	anticipation	0.547
morrow	cras	anticipation	0.547
abundance	abundantia	anticipation	0.547
delighted	laetus	anticipation	0.547
resultant	inde	anticipation	0.547
hungry	esuriit	anticipation	0.547
monetary	pecuniaria	anticipation	0.547
vote	suffragium	anticipation	0.547
glory	gloria	anticipation	0.547
glimmer	lUMEN	anticipation	0.547
apprehensive	cognitiva	anticipation	0.547
sorcery	maleficis artibus	anticipation	0.547
bountiful	exclude:	anticipation	0.547
leisure	otium	anticipation	0.547
probability	probabilitas	anticipation	0.547
auction	auction	anticipation	0.539
hunting	venandi	anticipation	0.539
contingent	contingens	anticipation	0.539
hankering	affectatas	anticipation	0.539
sensual	sensuale	anticipation	0.539
blessings	beneficia	anticipation	0.539
ballot	deinde sortiti	anticipation	0.539
grandchildren	nepotes habet:	anticipation	0.539
entertainment	entertainment	anticipation	0.539
vindication	Vindiciae	anticipation	0.539
worrying	EXERCITUS	anticipation	0.539
tempest	tempestas	anticipation	0.539
inquiry	inquisitionis	anticipation	0.539
merge	confundantur	anticipation	0.539
exceed	exsupero	anticipation	0.539
bounty	praecipuum ponebatur	anticipation	0.539
glad	gaudeo	anticipation	0.536
magnificent	magnifico	anticipation	0.531
feat	Natus	anticipation	0.531
stealthy	furtim,	anticipation	0.531
cheer	animaequiores	anticipation	0.531
spirits	spirituum	anticipation	0.531
visitor	visitor	anticipation	0.531
appeal	appeal	anticipation	0.531
forming	formatam	anticipation	0.531
hurried	festinavit,	anticipation	0.531
responsive	responsurum	anticipation	0.531
virginity	virginitas	anticipation	0.531
deliverance	liberatio	anticipation	0.531
betrothed	sponsum	anticipation	0.531
overthrow	in exemplum subversionis	anticipation	0.531
harbinger	destinarat purgandis mentibus praepositam	anticipation	0.531
raving	insani	anticipation	0.531
celestial	caelestibus	anticipation	0.531
dread	formidabant universi	anticipation	0.531
germination	areolis germinis	anticipation	0.523
preparatory	praeparatorios perficiendos	anticipation	0.523
pleasant	iucundum	anticipation	0.523
watch	vigilate	anticipation	0.523
prophet	prophetam	anticipation	0.523
prognostic	prognosticon	anticipation	0.523
haste	festina	anticipation	0.523
planning	consilio	anticipation	0.523
importance	momenti	anticipation	0.523
radiance	radium	anticipation	0.523
prevail	prævalebunt	anticipation	0.523
cheery	GAUDENS	anticipation	0.523
competition	competition	anticipation	0.523
ultimately	ultimately	anticipation	0.523
revive	vivifica	anticipation	0.523
beaming	collucentibus facibus	anticipation	0.523
wait	manere	anticipation	0.523
child	puer	anticipation	0.523
notification	Notification	anticipation	0.523
hunter	venandi	anticipation	0.523
explosive	explosive	anticipation	0.523
endanger	periculum	anticipation	0.516
time	tempus	anticipation	0.516
recreation	recreatio	anticipation	0.516
renovation	renovatio	anticipation	0.516
precious	pretiosum,	anticipation	0.516
begun	inceperat	anticipation	0.516
loom	vastae	anticipation	0.516
compensate	crudelitas redundat	anticipation	0.516
treat	tractare,	anticipation	0.516
uncontrollable	impotent!	anticipation	0.516
present	praesenti	anticipation	0.516
salary	salarium	anticipation	0.516
celebrity	celebritas	anticipation	0.516
owing	RELICUS	anticipation	0.516
chocolate	scelerisque	anticipation	0.516
caution	Caute	anticipation	0.516
fermentation	Daemonialitas fermentatione	anticipation	0.516
sensuality	sensualitas	anticipation	0.516
wilderness	deserto	anticipation	0.508
signify	quod	anticipation	0.508
transitional	transeuntem,	anticipation	0.508
intermission	intermissio	anticipation	0.508
contemplation	contemplatio	anticipation	0.508
vigilance	vigiliarumque adici	anticipation	0.508
commemoration	meam commemorationem	anticipation	0.508
practise	praxi	anticipation	0.508
cue	SIGNUM	anticipation	0.508
infant	infans	anticipation	0.508
dreadful	horribili	anticipation	0.508
perfection	perfectum	anticipation	0.508
elevation	elevation	anticipation	0.508
prerequisite	permoventia	anticipation	0.508
cultivate	colunt	anticipation	0.508
horizon	horizon	anticipation	0.508
develop	develop	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	natare	anticipation	0.500
attendance	comitatus	anticipation	0.500
nascent	commisi nascentia	anticipation	0.500
favorable	aequo	anticipation	0.500
peril	periculum	anticipation	0.500
income	reditus	anticipation	0.500
ardent	ardens	anticipation	0.500
commemorate	memoriam agimus;	anticipation	0.500
doomsday	super viros Iuda	anticipation	0.500
reconciliation	reconciliationis	anticipation	0.500
utopian	utopian	anticipation	0.500
romantic	venereum	anticipation	0.500
unbridled	infreni cingunt	anticipation	0.500
sunny	serenum	anticipation	0.500
uphill	totiens luditur saxo	anticipation	0.500
intuitively	intuitive	anticipation	0.500
depart	discedite	anticipation	0.500
eventuality	fortunam,	anticipation	0.500
puppy	catulum	anticipation	0.500
zeal	studium	anticipation	0.500
sneaking	PUSILLUS	anticipation	0.500
ready	paratus	anticipation	0.500
advocacy	patrocínio assequámur	anticipation	0.500
airport	aeroportus	anticipation	0.500
litigate	litigare	anticipation	0.500
blindfold	opertis	anticipation	0.500
undisclosed	detecta:	anticipation	0.500
young	iuvenis	anticipation	0.500
horoscope	Genituram	anticipation	0.500
invocation	invocatio	anticipation	0.500
calculation	calculation	anticipation	0.500
hero	heros	anticipation	0.500
court	atrium	anticipation	0.492
repay	reddens retribuet	anticipation	0.492
improvise	Vestibulum	anticipation	0.492
parole	fidem	anticipation	0.492
worry	solliciti	anticipation	0.492
inauguration	magistratum inierunt	anticipation	0.492
gaping	solvit hiatus	anticipation	0.492
youth	puer	anticipation	0.492
bless	benedicite	anticipation	0.492
defense	defensionis	anticipation	0.492
heyday	flos	anticipation	0.492
consequent	consequens	anticipation	0.492
proceeding	proceeding	anticipation	0.492
eventual	eventual	anticipation	0.492
perspective	perspective	anticipation	0.492
restorative	reficiat	anticipation	0.492
undertaking	inceptum	anticipation	0.492
highest	summa	anticipation	0.491
duel	duellum	anticipation	0.484
unexplained	incognita	anticipation	0.484
tremor	tremor	anticipation	0.484
sharpen	acuet	anticipation	0.484
generosity	beneficentia	anticipation	0.484
voluptuous	voluptaria cupiditatis	anticipation	0.484
shortly	paulo	anticipation	0.484
vow	votum vovit	anticipation	0.484
contagion	contactus aegrorum	anticipation	0.484
letter	litterae	anticipation	0.484
happen	factum	anticipation	0.484
threaten	remittentes minas	anticipation	0.484
conjure	sie	anticipation	0.484
sparkle	coruscent	anticipation	0.484
engulf	devorat	anticipation	0.484
god	Deus	anticipation	0.484
correspondence	correspondentia	anticipation	0.484
auspicious	auspicium	anticipation	0.484
princely	princeps	anticipation	0.484
adore	adorant	anticipation	0.477
enroll	profiteretur	anticipation	0.477
determinate	definito	anticipation	0.477
predispose	disponere	anticipation	0.477
clue	clue	anticipation	0.477
onset	principium	anticipation	0.477
powerful	potens	anticipation	0.477
glorify	glorificamus	anticipation	0.477
glow	meridiem	anticipation	0.477
arbitration	arbitrium	anticipation	0.477
torture	cruciatu	anticipation	0.477
gravitate	condescendere	anticipation	0.477
cherish	foveam	anticipation	0.477
contemplate	considerabit	anticipation	0.477
submit	submittere	anticipation	0.477
perilous	periculosum	anticipation	0.477
unification	coniunctionis	anticipation	0.477
score	score	anticipation	0.477
medal	numisma	anticipation	0.477
glide	LABOR	anticipation	0.477
recipient	recipient	anticipation	0.477
accompaniment	vasa cantici	anticipation	0.477
praiseworthy	laude	anticipation	0.473
providing	providing	anticipation	0.469
motion	motus	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	circumspectus	anticipation	0.469
cash	cash	anticipation	0.469
precursor	praecursorem	anticipation	0.469
opera	opera	anticipation	0.469
elite	electi	anticipation	0.469
pry	SCRUTOR	anticipation	0.469
hire	pretium	anticipation	0.469
sweets	dulcibus	anticipation	0.469
star	stella	anticipation	0.469
unsurpassed	Novella sub hiis	anticipation	0.469
successful	felix	anticipation	0.469
unknown	incognita	anticipation	0.469
immediately	statim	anticipation	0.469
starry	sidereum	anticipation	0.469
production	Fabricatio	anticipation	0.469
football	eu	anticipation	0.469
completion	completionem	anticipation	0.469
scare	terrent	anticipation	0.469
invoke	Invocatio	anticipation	0.469
shaky	instabilitate	anticipation	0.469
dawn	aurora	anticipation	0.469
creeping	reptile	anticipation	0.469
cheerfulness	hilaritate	anticipation	0.461
soundness	repraesentas incolumes:	anticipation	0.461
mail	mail	anticipation	0.461
draft	capturam	anticipation	0.461
preliminary	praevia	anticipation	0.461
friendly	amicissimum	anticipation	0.461
commemorative	commemorativum	anticipation	0.461
extricate	inde evadere	anticipation	0.461
alive	vivus	anticipation	0.461
untold	quamplurimis adquisuit	anticipation	0.461
overture	anteludium	anticipation	0.461
excel	Excel	anticipation	0.461
plight	rebus	anticipation	0.461
synchronize	synchronize	anticipation	0.461
punt	contum	anticipation	0.461
sanctuary	sanctum	anticipation	0.461
brilliant	praeclarum	anticipation	0.461
pay	redde	anticipation	0.461
shining	lucet	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	testamentum	anticipation	0.461
jeopardy	periculum deducat:	anticipation	0.461
perpetuity	perpetuum	anticipation	0.453
elegance	ornate	anticipation	0.453
career	vitae	anticipation	0.453
basketball	basketball	anticipation	0.453
intimately	familiarius	anticipation	0.453
renovate	renovate	anticipation	0.453
supremacy	imperium	anticipation	0.453
infinity	infinitum	anticipation	0.453
unexpected	inopinatum	anticipation	0.453
flinch	stant obnixi	anticipation	0.453
complement	complement	anticipation	0.453
prologue	Incipit prologus	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	praeventionis	anticipation	0.453
improve	meliorem	anticipation	0.453
sunset	solis occasum	anticipation	0.453
inaugural	medica inauguralis,	anticipation	0.453
rehabilitation	semper	anticipation	0.453
fitting	decet	anticipation	0.445
surround	circumdantibus	anticipation	0.445
share	share	anticipation	0.445
epidemic	pestilentia	anticipation	0.445
sweet	dulcis	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	latebra	anticipation	0.445
confidence	fiduciam	anticipation	0.445
perfect	perfectus	anticipation	0.445
sun	solis	anticipation	0.445
veracity	veritate	anticipation	0.445
volunteer	voluntarius	anticipation	0.445
conjecture	coniectura,	anticipation	0.445
medical	medicorum	anticipation	0.438
prepared	paratus	anticipation	0.438
superstitious	superstitionis	anticipation	0.438
reconstruction	refectionem	anticipation	0.438
tickle	titillationem	anticipation	0.438
faith	fidem	anticipation	0.438
passenger	viatoribus	anticipation	0.438
saint	sanctus	anticipation	0.438
respect	quantum	anticipation	0.438
rabid	rabido	anticipation	0.438
reconstruct	dulcemque	anticipation	0.438
recombination	remixtura	anticipation	0.438
devout	religiosus,	anticipation	0.438
goodness	bonitatem	anticipation	0.438
angel	angelus	anticipation	0.438
ferment	fermentum	anticipation	0.438
plea	causa	anticipation	0.438
aloha	Dei	anticipation	0.438
serial	vide	anticipation	0.438
conservation	conservationem	anticipation	0.438
serenity	serenitatem	anticipation	0.430
tabulate	tabulate	anticipation	0.430
install	install	anticipation	0.430
labyrinth	labyrinthus	anticipation	0.430
venerable	venerable	anticipation	0.430
perpetuate	perpetuaret,	anticipation	0.430
strategist	strategist	anticipation	0.430
unverified	sine verificatione,	anticipation	0.430
tribunal	tribunalis	anticipation	0.430
charitable	associationes caritativae	anticipation	0.430
luscious	PRAEDULCIS	anticipation	0.430
spa	Spa	anticipation	0.430
peace	pax	anticipation	0.430
clap	SAMECH plauserunt	anticipation	0.430
conspirator	e coniuratis,	anticipation	0.422
forestall	praecurrere	anticipation	0.422
patience	patientia	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	RICTUM	anticipation	0.422
revere	veneraris	anticipation	0.422
worship	cultum	anticipation	0.422
vista	Vista	anticipation	0.422
laughter	risus	anticipation	0.422
volatility	LEVITAS	anticipation	0.422
adrift	supervenit navigantibus nobis	anticipation	0.422
candid	aequus	anticipation	0.422
edification	aedificatio	anticipation	0.422
unresolved	caligo indiscussa	anticipation	0.422
peaceful	pacificae	anticipation	0.422
recognizable	cognoscitur	anticipation	0.422
calls	vocat	anticipation	0.414
weigh	aeque ponderare	anticipation	0.414
probation	probationis	anticipation	0.414
proficiency	progressus sum	anticipation	0.414
morn	mane junctum	anticipation	0.414
craps	poker	anticipation	0.414
detainee	detainee	anticipation	0.414
mediate	medium	anticipation	0.414
continue	continue	anticipation	0.414
astrologer	et Chaldaeo	anticipation	0.414
punctual	punctualis	anticipation	0.414
ordination	ordinem	anticipation	0.414
pretty	satis	anticipation	0.414
thought	putaverunt	anticipation	0.414
grant	dona	anticipation	0.414
withstand	sustinere	anticipation	0.414
frisky	ludit	anticipation	0.414
ongoing	ongoing	anticipation	0.414
sing	cantabo	anticipation	0.411
long	longus	anticipation	0.406
confession	confessio	anticipation	0.406
headlight	headlight	anticipation	0.406
prophylactic	prophylactic	anticipation	0.406
mother	mater	anticipation	0.406
debenture	debenture	anticipation	0.406
wizard	nec divinos	anticipation	0.406
university	vniuersitatis	anticipation	0.406
proud	superbus	anticipation	0.406
midwife	eas pariunt	anticipation	0.406
banquet	convivium	anticipation	0.406
continuation	Sequentia	anticipation	0.406
navigable	pus navigabile	anticipation	0.406
punished	poenas	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	consolatione;	anticipation	0.406
opponent	adversarius	anticipation	0.406
subscribe	subscribe	anticipation	0.406
outdo	Adiuvabo postmodo	anticipation	0.406
nurture	educate	anticipation	0.406
twinkle	scintillat	anticipation	0.406
deal	multum	anticipation	0.402
efficient	agentibus	anticipation	0.398
representing	representing	anticipation	0.398
simmer	fremat	anticipation	0.398
symphony	et symphoniae	anticipation	0.398
judiciary	civilibus	anticipation	0.398
obliging	commode scripta	anticipation	0.398
saintly	sanctus	anticipation	0.398
vigil	idolorum dormiunt	anticipation	0.398
death	mortem	anticipation	0.398
distracting	distracting	anticipation	0.398
mortification	mortificatiónem júgiter	anticipation	0.398
balm	resina	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	summitatem	anticipation	0.398
lettered	litterato,	anticipation	0.398
reliance	fiducia	anticipation	0.398
poke	quaero	anticipation	0.391
unfulfilled	parum	anticipation	0.391
assurance	susciperent veritatem	anticipation	0.391
condemnation	judicium	anticipation	0.391
undoubted	dubium	anticipation	0.391
diplomacy	artibus	anticipation	0.391
familiarity	consuetudinem	anticipation	0.391
antidote	ferus Hippomedon quamquam	anticipation	0.391
chuckle	CACHINNO	anticipation	0.391
objective	objective	anticipation	0.391
maternal	materno	anticipation	0.391
abeyance	suspensa neutro inclinatis	anticipation	0.391
art	artem	anticipation	0.391
linger	morari	anticipation	0.391
trust	fiducia	anticipation	0.391
depraved	improbus	anticipation	0.391
sanctify	sanctificate	anticipation	0.391
inoculation	Ammonium	anticipation	0.384
chant	cantus	anticipation	0.383
banger	banger	anticipation	0.383
playground	oculis capti fodere cubilia	anticipation	0.383
failing	minus	anticipation	0.383
ship	navis	anticipation	0.383
hymn	hymnus	anticipation	0.383
simplify	simpliciorem reddere	anticipation	0.383
ram	aries	anticipation	0.383
labor	laborem	anticipation	0.383
discretion	eruditis intersum cogitationibus	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	bonum	anticipation	0.383
scientist	physicus	anticipation	0.383
undecided	ambiguas actitata stetit fixa	anticipation	0.383
humanitarian	humanitariae	anticipation	0.383
depend	depend	anticipation	0.383
dutiful	honestus	anticipation	0.383
clock	horologium	anticipation	0.375
sterling	sterlingorum,	anticipation	0.375
mountain	mons	anticipation	0.375
savor	suavitatis	anticipation	0.375
recurrent	recurrentes	anticipation	0.375
interim	interim	anticipation	0.375
navigator	Navigator	anticipation	0.375
gradual	gradual	anticipation	0.375
interminable	Aeternitas = interminabilis	anticipation	0.375
track	semita	anticipation	0.375
public	publicae	anticipation	0.375
cradle	cunabula	anticipation	0.375
concealed	celantur	anticipation	0.367
lesson	Lectio	anticipation	0.367
instructions	instructiones	anticipation	0.367
shiver	tremere	anticipation	0.367
musical	musicis	anticipation	0.367
towering	alta ferentis	anticipation	0.367
whim	arbitrium	anticipation	0.367
spear	hastam	anticipation	0.367
convince	arguere	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	me manere	anticipation	0.367
biennial	stimulant trieterica Baccho	anticipation	0.367
theology	theologia	anticipation	0.359
offset	offset	anticipation	0.359
atone	luet numeroque	anticipation	0.359
timidity	timidum effecit	anticipation	0.359
theory	doctrina	anticipation	0.359
undying	aeternumque adytis effert	anticipation	0.359
plump	PLENUS	anticipation	0.359
audience	auditorium	anticipation	0.357
nobility	nobilitatis	anticipation	0.352
paragon	noster	anticipation	0.352
dietary	puritate alimentorum	anticipation	0.352
closure	Agricola	anticipation	0.352
store	store	anticipation	0.352
localize	languages	anticipation	0.352
cramp	angustiam dolorificam	anticipation	0.352
daily	cotidie	anticipation	0.352
kindred	eroque tecum	anticipation	0.352
farm	villam	anticipation	0.352
edition	edition	anticipation	0.352
consecration	consecratio	anticipation	0.352
archaeology	SCIENTIA ANTIQUITATIS	anticipation	0.344
mobile	mobili	anticipation	0.344
errand	nuntius	anticipation	0.344
wireless	wireless	anticipation	0.344
mutable	mutabilia	anticipation	0.344
meditate	sed meditaberis	anticipation	0.344
stripped	Nam expoliavit	anticipation	0.344
lessen	minuere	anticipation	0.336
unaccountable	omne inenarrabili tabe	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	amorem fraternitatis,	anticipation	0.336
buddy	buddy	anticipation	0.336
unbeaten	invictus	anticipation	0.336
germ	germine cohaerente	anticipation	0.336
dove	columba	anticipation	0.328
digress	incepto longius abierim	anticipation	0.328
ribbon	uitta	anticipation	0.328
olfactory	primordium	anticipation	0.328
patient	patientes estote	anticipation	0.328
council	concilio	anticipation	0.328
possess	possidebit	anticipation	0.328
secular	saecularia	anticipation	0.328
chastity	pudoris	anticipation	0.328
disposed	dispositi	anticipation	0.320
regularity	ordinatae sunt	anticipation	0.320
mediator	medium	anticipation	0.320
scrutinize	utens intueri consuetus	anticipation	0.320
fancy	impetus	anticipation	0.320
immature	prope puberem	anticipation	0.320
infanticide	infanticidium	anticipation	0.320
heft	librare conor	anticipation	0.320
preservative	medicamentum	anticipation	0.320
paddle	gerens paxillum	anticipation	0.320
cove	cove	anticipation	0.320
denying	denegando	anticipation	0.312
bugle	edictum	anticipation	0.312
unpublished	nondum editorum	anticipation	0.312
analyst	Analyticum	anticipation	0.312
grim	truci	anticipation	0.312
church	ecclesia,	anticipation	0.312
priesthood	sacerdotium vindicetis	anticipation	0.305
mill	molendini	anticipation	0.305
judicial	iudicialis	anticipation	0.305
broadside	transuersa obiceretur hosti,	anticipation	0.305
tributary	fecit tributarias:	anticipation	0.297
cap	c	anticipation	0.297
thermocouple	Thermocouple	anticipation	0.297
dismay	angustia	anticipation	0.297
instructor	magister	anticipation	0.297
saliva	salivam	anticipation	0.297
exhaustion	lassitudinem	anticipation	0.297
bruise	cicatrix	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	profugo	anticipation	0.289
visor	BUCCULA	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	network	anticipation	0.289
shackle	& pe dica	anticipation	0.289
addresses	oratio	anticipation	0.289
noncompliance	noncompliance	anticipation	0.289
cataract	suffusio	anticipation	0.289
skewed	alid sinistra	anticipation	0.281
astronomer	astrologus	anticipation	0.281
neighbor	vicinus	anticipation	0.281
holiness	sanctus	anticipation	0.273
devil	diabolus	anticipation	0.273
cream	crepito	anticipation	0.273
picket	Milites aegre id	anticipation	0.273
latent	latentis	anticipation	0.273
immaturity	perpendentur immaturitas	anticipation	0.273
sentence	damnationem	anticipation	0.273
neighborhood	propinqua	anticipation	0.266
morals	moribus	anticipation	0.266
lull	otium	anticipation	0.266
habitual	habitus	anticipation	0.266
weight	pondus	anticipation	0.258
bye	vale	anticipation	0.258
forearm	brachij regione siti	anticipation	0.250
clown	Corydon	anticipation	0.250
organ	organi	anticipation	0.250
quote	quote	anticipation	0.242
commonplace	Vulgaria	anticipation	0.242
dictatorship	dictatura	anticipation	0.234
board	tabula	anticipation	0.234
white	album	anticipation	0.234
treadmill	antliam condemnato	anticipation	0.234
rail	metuunt blasphemantes	anticipation	0.234
sundial	uicibusque recedit	anticipation	0.227
tree	Arbor	anticipation	0.227
paralysis	nervorum resolutiones	anticipation	0.211
worm	ubi vermis	anticipation	0.203
organization	organization	anticipation	0.203
cement	cemento	anticipation	0.203
lagging	languescens	anticipation	0.180
neutral	neutrum	anticipation	0.148
cannibalism	Insulae Canibalium	disgust	0.953
mutilation	truncatione	disgust	0.930
molestation	otium	disgust	0.914
incest	incestum	disgust	0.914
gonorrhea	gonorrhoea	disgust	0.906
rape	stuprum	disgust	0.906
cannibal	Anthropophagos,	disgust	0.898
rot	putredine,	disgust	0.891
corpse	cadaveribus Pugnatur	disgust	0.883
massacre	caedem	disgust	0.883
excrement	humo operies	disgust	0.883
slaughter	caedes	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	MACELLUM	disgust	0.867
rancid	rancidum	disgust	0.859
sewerage	sewerage	disgust	0.859
incestuous	nefandos occupat	disgust	0.859
filth	sordes	disgust	0.859
bigot	bigot	disgust	0.859
infestation	infestatio	disgust	0.852
plague	plaga	disgust	0.852
bloodthirsty	viri sanguinum	disgust	0.852
holocaust	holocaustum	disgust	0.852
rotting	putridum	disgust	0.844
maggot	sternetur tinea	disgust	0.844
feces	faecibus exturbandis opitulatur	disgust	0.844
fecal	fecal	disgust	0.844
murder	occidendum	disgust	0.839
infanticide	infanticidium	disgust	0.836
homicide	caedis	disgust	0.836
asshole	culus	disgust	0.836
