word	Portuguese (Portugal, Brazil)-pt	emotion	emotion-intensity-score
picket	piquete	anticipation	0.273
latent	latente	anticipation	0.273
immaturity	imaturidade	anticipation	0.273
sentence	frase	anticipation	0.273
neighborhood	bairro	anticipation	0.266
morals	moral	anticipation	0.266
lull	calmaria	anticipation	0.266
habitual	habitual	anticipation	0.266
weight	peso	anticipation	0.258
bye	tchau	anticipation	0.258
forearm	antebraço	anticipation	0.250
clown	palhaço	anticipation	0.250
organ	órgão	anticipation	0.250
quote	citar	anticipation	0.242
commonplace	comum	anticipation	0.242
dictatorship	ditadura	anticipation	0.234
board	borda	anticipation	0.234
white	branco	anticipation	0.234
treadmill	esteira	anticipation	0.234
rail	trilho	anticipation	0.234
sundial	relógio de sol	anticipation	0.227
tree	árvore	anticipation	0.227
paralysis	paralisia	anticipation	0.211
worm	Minhoca	anticipation	0.203
organization	organização	anticipation	0.203
cement	cimento	anticipation	0.203
lagging	atrasado	anticipation	0.180
neutral	neutro	anticipation	0.148
cannibalism	canibalismo	disgust	0.953
mutilation	mutilação	disgust	0.930
molestation	molestação	disgust	0.914
incest	incesto	disgust	0.914
gonorrhea	gonorréia	disgust	0.906
rape	estupro	disgust	0.906
cannibal	canibal	disgust	0.898
rot	podridão	disgust	0.891
corpse	cadáver	disgust	0.883
massacre	massacre	disgust	0.883
excrement	excremento	disgust	0.883
slaughter	abate	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	matadouro	disgust	0.867
rancid	rançoso	disgust	0.859
sewerage	sistema de esgoto	disgust	0.859
incestuous	incestuoso	disgust	0.859
filth	sujeira	disgust	0.859
bigot	intolerante	disgust	0.859
infestation	infestação	disgust	0.852
plague	praga	disgust	0.852
bloodthirsty	sanguinário	disgust	0.852
holocaust	holocausto	disgust	0.852
rotting	apodrecendo	disgust	0.844
maggot	larva	disgust	0.844
feces	fezes	disgust	0.844
fecal	fecal	disgust	0.844
murder	assassinato	disgust	0.839
infanticide	infanticídio	disgust	0.836
homicide	homicídio	disgust	0.836
asshole	Idiota	disgust	0.836
enslaved	escravizado	disgust	0.836
gore	nesga	disgust	0.828
perverted	pervertido	disgust	0.828
torture	tortura	disgust	0.828
slaughtering	abate	disgust	0.828
excretion	excreção	disgust	0.828
contaminate	contaminar	disgust	0.821
murderer	assassino	disgust	0.820
gory	sangrento	disgust	0.820
repugnant	repugnante	disgust	0.820
desecration	profanação	disgust	0.820
grotesque	grotesco	disgust	0.820
revolting	revoltante	disgust	0.820
diarrhoea	diarréia	disgust	0.820
manure	estrume	disgust	0.820
terrorist	terrorista	disgust	0.820
shit	merda	disgust	0.820
pervert	perverter	disgust	0.820
slavery	escravidão	disgust	0.812
faeces	fezes	disgust	0.812
sewer	esgoto	disgust	0.812
vomit	vomitar	disgust	0.812
manslaughter	homicídio	disgust	0.812
dismemberment	desmembramento	disgust	0.812
cadaver	cadáver	disgust	0.812
hemorrhage	hemorragia	disgust	0.805
repulsive	repulsivo	disgust	0.805
perverse	perverso	disgust	0.805
filthy	imundo	disgust	0.797
sewage	esgoto	disgust	0.797
depravity	depravação	disgust	0.797
diseased	doente	disgust	0.797
carcass	carcaça	disgust	0.795
decompose	decompor	disgust	0.789
vermin	vermes	disgust	0.789
puke	vomitar	disgust	0.789
parasite	parasita	disgust	0.789
horrific	horrível	disgust	0.789
gruesome	horrível	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilado	disgust	0.789
murderous	assassino	disgust	0.789
decayed	decadente	disgust	0.789
herpes	herpes	disgust	0.789
slime	lodo	disgust	0.781
flatulence	flatulência	disgust	0.781
monstrosity	monstruosidade	disgust	0.781
carnage	carnificina	disgust	0.781
pestilence	peste	disgust	0.781
malaria	malária	disgust	0.781
crap	porcaria	disgust	0.781
toxic	tóxico	disgust	0.773
loathsome	repugnante	disgust	0.773
insidious	insidioso	disgust	0.773
leprosy	lepra	disgust	0.773
morgue	necrotério	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvírus	disgust	0.773
whore	prostituta	disgust	0.766
cruel	cruel	disgust	0.766
repugnance	repugnância	disgust	0.766
revulsion	repulsa	disgust	0.766
xenophobia	xenofobia	disgust	0.766
regurgitation	regurgitação	disgust	0.766
anthrax	antraz	disgust	0.766
lynch	linchamento	disgust	0.766
dissection	dissecação	disgust	0.759
canker	corroer	disgust	0.758
cruelty	crueldade	disgust	0.758
perversion	perversão	disgust	0.758
evil	mal	disgust	0.758
slum	favela	disgust	0.758
infectious	infeccioso	disgust	0.758
mucous	muco	disgust	0.758
phlegm	catarro	disgust	0.758
leeches	sanguessugas	disgust	0.750
decomposition	decomposição	disgust	0.750
sinister	sinistro	disgust	0.750
corrupting	corrompendo	disgust	0.750
demon	demônio	disgust	0.742
stinking	fedendo	disgust	0.742
septic	séptico	disgust	0.742
deranged	enlouquecido	disgust	0.742
bile	bile	disgust	0.742
soiled	sujo	disgust	0.742
mucus	muco	disgust	0.742
abhorrence	aversão	disgust	0.742
abomination	abominação	disgust	0.742
sickening	enjoativo	disgust	0.742
demonic	demoníaco	disgust	0.742
foul	falta	disgust	0.734
obese	obeso	disgust	0.734
sicken	adoecer	disgust	0.734
degeneracy	degeneração	disgust	0.734
crucifixion	crucificação	disgust	0.734
despicable	desprezível	disgust	0.734
cancer	Câncer	disgust	0.734
atrocity	atrocidade	disgust	0.734
terrorism	terrorismo	disgust	0.734
dirty	sujo	disgust	0.727
dysentery	disenteria	disgust	0.727
adultery	adultério	disgust	0.727
contamination	contaminação	disgust	0.727
bacterium	bactéria	disgust	0.727
diabolical	diabólico	disgust	0.727
morbidity	morbilidade	disgust	0.727
grisly	grisalho	disgust	0.727
repulsion	repulsão	disgust	0.727
enema	enema	disgust	0.727
contagion	contágio	disgust	0.719
disfigured	desfigurado	disgust	0.719
muck	sujar	disgust	0.719
lewd	sensual	disgust	0.719
garbage	lixo	disgust	0.719
autopsy	autópsia	disgust	0.719
bowels	entranhas	disgust	0.719
gross	Bruto	disgust	0.719
vulgar	vulgar	disgust	0.719
barbaric	bárbaro	disgust	0.719
disgust	desgosto	disgust	0.719
vicious	vicioso	disgust	0.719
entrails	entranhas	disgust	0.719
deterioration	deterioração	disgust	0.719
pungent	pungente	disgust	0.719
bloodshed	derramamento de sangue	disgust	0.714
violent	violento	disgust	0.711
tyrant	tirano	disgust	0.711
poisoned	envenenado	disgust	0.711
pollute	poluir	disgust	0.711
wretched	desgraçado	disgust	0.711
nausea	náusea	disgust	0.711
mortification	mortificação	disgust	0.711
gag	mordaça	disgust	0.711
vulgarity	vulgaridade	disgust	0.703
disgusting	repugnante	disgust	0.703
grope	tatear	disgust	0.703
slut	vagabunda	disgust	0.703
poisoning	envenenamento	disgust	0.703
depraved	depravado	disgust	0.703
noxious	nocivo	disgust	0.703
porn	pornô	disgust	0.703
nasty	desagradável	disgust	0.703
slimy	viscoso	disgust	0.703
despotism	despotismo	disgust	0.703
nauseate	náusea	disgust	0.703
secretion	secreção	disgust	0.703
constipation	Prisão de ventre	disgust	0.703
hateful	odioso	disgust	0.703
grime	sujeira	disgust	0.703
measles	sarampo	disgust	0.696
contagious	contagioso	disgust	0.695
hellish	infernal	disgust	0.695
waste	desperdício	disgust	0.695
suicidal	suicida	disgust	0.695
abuse	Abuso	disgust	0.695
hate	ódio	disgust	0.695
wretch	desgraçado	disgust	0.695
intestinal	intestinal	disgust	0.695
wart	verruga	disgust	0.695
obesity	obesidade	disgust	0.695
scum	escumalha	disgust	0.695
contaminated	contaminado	disgust	0.688
disease	doença	disgust	0.688
rabid	raivoso	disgust	0.688
ooze	escorrer	disgust	0.688
treason	traição	disgust	0.688
heartworm	dirofilariose	disgust	0.688
smut	sujeira	disgust	0.688
cholera	cólera	disgust	0.680
deformed	deformado	disgust	0.680
detest	detestar	disgust	0.680
bestial	bestial	disgust	0.680
sickness	doença	disgust	0.680
antichrist	anticristo	disgust	0.680
abhorrent	repugnante	disgust	0.680
soulless	Desumano	disgust	0.680
freakish	esquisito	disgust	0.680
grimy	sujo	disgust	0.680
hatred	ódio	disgust	0.680
pollution	poluição	disgust	0.680
germ	germe	disgust	0.680
abominate	abominar	disgust	0.680
hell	inferno	disgust	0.680
dilapidated	dilapidado	disgust	0.672
dictatorship	ditadura	disgust	0.672
inhuman	desumano	disgust	0.672
greasy	gorduroso	disgust	0.672
hideous	hediondo	disgust	0.672
loathful	repugnante	disgust	0.672
obscene	obsceno	disgust	0.672
loathing	repugnância	disgust	0.672
cess	cessar	disgust	0.670
devil	diabo	disgust	0.664
heretic	herege	disgust	0.664
nauseous	enjoado	disgust	0.664
abominable	abominável	disgust	0.664
deformity	deformidade	disgust	0.664
deadly	mortal	disgust	0.664
swine	suína	disgust	0.664
discrimination	discriminação	disgust	0.664
masochism	masoquismo	disgust	0.664
poisonous	venenoso	disgust	0.656
prejudiced	preconceituoso	disgust	0.656
bacteria	bactérias	disgust	0.656
death	morte	disgust	0.656
poison	Poção	disgust	0.656
trash	Lixo	disgust	0.656
abortion	aborto	disgust	0.656
corruption	corrupção	disgust	0.656
victimized	vitimado	disgust	0.656
oppression	opressão	disgust	0.656
goo	goo	disgust	0.656
latrines	latrinas	disgust	0.656
horror	Horror	disgust	0.656
horrible	horrível	disgust	0.656
nefarious	nefasto	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	vingativo	disgust	0.648
outhouse	casinha	disgust	0.648
horrid	horrível	disgust	0.648
detestation	detestação	disgust	0.648
sludge	lodo	disgust	0.648
ugly	feio	disgust	0.648
trashy	inútil	disgust	0.648
bitch	cadela	disgust	0.648
immoral	imoral	disgust	0.648
malfeasance	prevaricação	disgust	0.641
spew	vomitar	disgust	0.641
pimple	espinha	disgust	0.641
indecency	indecência	disgust	0.641
unsightly	desagradável	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	vilão	disgust	0.641
cystic	cística	disgust	0.641
horrifying	horripilante	disgust	0.641
derogatory	depreciativo	disgust	0.641
laxative	laxante	disgust	0.641
criminality	criminalidade	disgust	0.641
oppressive	opressivo	disgust	0.633
sinful	pecaminoso	disgust	0.633
bigoted	intolerante	disgust	0.633
doomsday	Apocalipse	disgust	0.633
prostitution	prostituição	disgust	0.633
ulcer	úlcera	disgust	0.633
secrete	secretar	disgust	0.633
perpetrator	autor	disgust	0.633
rat	rato	disgust	0.633
queasy	enjoado	disgust	0.633
mildew	mofo	disgust	0.633
dastardly	covarde	disgust	0.625
disgraceful	vergonhoso	disgust	0.625
ghastly	medonho	disgust	0.625
persecution	perseguição	disgust	0.625
devilish	diabólico	disgust	0.625
degrading	degradante	disgust	0.625
obscenity	obscenidade	disgust	0.625
fungus	fungo	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	gula	disgust	0.625
stools	fezes	disgust	0.625
suffering	sofrimento	disgust	0.625
contemptible	desprezível	disgust	0.625
cuckold	corno	disgust	0.625
bloated	inchado	disgust	0.625
aghast	espantado	disgust	0.625
betrayal	traição	disgust	0.617
guillotine	guilhotina	disgust	0.617
infect	infectar	disgust	0.617
spoil	estragar	disgust	0.617
tetanus	tétano	disgust	0.617
fat	gordo	disgust	0.617
louse	piolho	disgust	0.617
malicious	malicioso	disgust	0.617
polygamy	poligamia	disgust	0.617
crusty	duro	disgust	0.617
atrocious	atroz	disgust	0.617
deceit	engano	disgust	0.617
termite	cupim	disgust	0.617
loathe	detestar	disgust	0.617
wench	prostituta	disgust	0.617
dying	morrendo	disgust	0.617
sickly	doentio	disgust	0.617
diaper	fralda	disgust	0.617
strangle	estrangular	disgust	0.617
drool	babar	disgust	0.609
slander	calúnia	disgust	0.609
abhor	abominar	disgust	0.609
venomous	venenoso	disgust	0.609
brothel	bordel	disgust	0.609
ghetto	gueto	disgust	0.609
violently	violentamente	disgust	0.609
hostile	hostil	disgust	0.609
sabotage	sabotar	disgust	0.609
deform	deformar	disgust	0.609
bleeding	sangramento	disgust	0.609
unwashed	não lavado	disgust	0.602
lunacy	loucura	disgust	0.602
imprisonment	prisão	disgust	0.602
infidel	infiel	disgust	0.602
deprivation	privação	disgust	0.602
traitor	traidor	disgust	0.602
ugliness	feiúra	disgust	0.602
musty	mofado	disgust	0.602
illicit	ilícito	disgust	0.602
swampy	pantanoso	disgust	0.602
poaching	caça furtiva	disgust	0.602
hag	bruxa	disgust	0.602
butcher	açougueiro	disgust	0.594
lunatic	lunático	disgust	0.594
venom	veneno	disgust	0.594
repelling	repelindo	disgust	0.594
thug	bandido	disgust	0.594
misery	miséria	disgust	0.594
toilet	banheiro	disgust	0.594
slug	lesma	disgust	0.594
catastrophe	catástrofe	disgust	0.594
epidemic	epidemia	disgust	0.594
gut	intestino	disgust	0.594
intoxicated	intoxicado	disgust	0.594
blister	blister	disgust	0.594
deceitful	enganoso	disgust	0.594
hostility	hostilidade	disgust	0.594
queasiness	náusea	disgust	0.594
lurid	chocante	disgust	0.594
sinner	pecador	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	lavatório	disgust	0.586
harass	molestar	disgust	0.586
unclean	imundo	disgust	0.586
prostitute	prostituta	disgust	0.586
pornography	pornografia	disgust	0.586
dreadful	terrível	disgust	0.586
deteriorated	deteriorado	disgust	0.586
appalling	aterrador	disgust	0.586
unfaithful	infiel	disgust	0.578
rash	erupção cutânea	disgust	0.578
humiliating	humilhante	disgust	0.578
ruinous	ruinoso	disgust	0.578
squeamish	melindroso	disgust	0.578
offensive	ofensiva	disgust	0.578
conspirator	conspirador	disgust	0.578
larceny	furto	disgust	0.578
debauchery	devassidão	disgust	0.578
mangle	mangle	disgust	0.578
flea	pulga	disgust	0.578
hypocrite	hipócrita	disgust	0.578
retard	retardar	disgust	0.578
fiend	demônio	disgust	0.578
sick	doente	disgust	0.578
quagmire	atoleiro	disgust	0.578
expulsion	expulsão	disgust	0.578
treacherous	traiçoeiro	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	cuspir	disgust	0.570
devastating	devastador	disgust	0.570
bastard	Desgraçado	disgust	0.570
messy	bagunçado	disgust	0.570
flog	flog	disgust	0.570
egregious	notório	disgust	0.570
swamp	pântano	disgust	0.570
oppress	oprimir	disgust	0.570
despise	desprezar	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	serpente	disgust	0.570
snake	serpente	disgust	0.562
terrible	terrivel	disgust	0.562
awful	horrível	disgust	0.562
harmful	prejudicial	disgust	0.562
insanity	insanidade	disgust	0.562
indecent	indecente	disgust	0.562
sordid	sórdido	disgust	0.562
loo	loo	disgust	0.562
scoundrel	canalha	disgust	0.562
enemy	inimigo	disgust	0.562
stealing	roubando	disgust	0.562
alcoholism	alcoolismo	disgust	0.562
humiliation	humilhação	disgust	0.562
ruthless	cruel	disgust	0.562
sloppy	desleixado	disgust	0.562
tyrannical	tirânico	disgust	0.562
harlot	prostituta	disgust	0.562
sinning	pecar	disgust	0.562
robbery	roubo	disgust	0.555
insufferable	insuportável	disgust	0.555
arsenic	arsênico	disgust	0.555
bloody	sangrento	disgust	0.555
odious	odioso	disgust	0.555
ridicule	ridículo	disgust	0.555
atrophy	atrofia	disgust	0.555
beastly	bestial	disgust	0.555
collusion	conluio	disgust	0.555
distaste	aversão	disgust	0.555
segregate	segregar	disgust	0.555
discriminating	discriminando	disgust	0.555
coward	covarde	disgust	0.555
wickedness	maldade	disgust	0.555
threatening	ameaçador	disgust	0.555
unattractive	pouco atraente	disgust	0.555
slayer	assassino	disgust	0.555
flabby	flácido	disgust	0.555
varicella	varicela	disgust	0.555
miserable	miserável	disgust	0.547
sty	chiqueiro	disgust	0.547
ogre	ogro	disgust	0.547
coercion	coerção	disgust	0.547
thief	ladrao	disgust	0.547
slur	insulto	disgust	0.547
suffocating	sufocante	disgust	0.547
anathema	anátema	disgust	0.547
purgatory	purgatório	disgust	0.547
malevolent	malévolo	disgust	0.547
bitterly	amargamente	disgust	0.547
burglar	assaltante	disgust	0.547
attacking	atacante	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	condenação	disgust	0.547
pillage	pilhagem	disgust	0.547
deleterious	deletério	disgust	0.547
thrash	thrash	disgust	0.539
repellant	repelente	disgust	0.539
repudiation	repúdio	disgust	0.539
infidelity	infidelidade	disgust	0.539
liar	mentiroso	disgust	0.539
fatty	gordinho	disgust	0.539
gob	gob	disgust	0.539
sneer	zombar	disgust	0.539
drunken	bêbado	disgust	0.539
disgrace	desgraça	disgust	0.539
shame	vergonha	disgust	0.539
jealous	com ciumes	disgust	0.539
imprisoned	aprisionado	disgust	0.539
pig	porco	disgust	0.539
greedy	ávido	disgust	0.539
sloth	preguiça	disgust	0.539
lethal	letal	disgust	0.536
burnt	queimado	disgust	0.531
aberration	aberração	disgust	0.531
condescension	condescendência	disgust	0.531
hydrocephalus	hidrocefalia	disgust	0.531
hanging	suspensão	disgust	0.531
destructive	destrutivo	disgust	0.531
smuggler	contrabandista	disgust	0.531
intolerant	intolerante	disgust	0.531
travesty	farsa	disgust	0.531
intrusive	intrusivo	disgust	0.531
ruined	arruinado	disgust	0.531
withered	murcho	disgust	0.531
disintegrate	desintegrar	disgust	0.531
brawl	briga	disgust	0.531
blemish	defeito	disgust	0.531
neurotic	neurótico	disgust	0.531
blasphemous	blasfemo	disgust	0.531
lying	deitado	disgust	0.531
painful	doloroso	disgust	0.531
avarice	avareza	disgust	0.523
disgraced	desgraçado	disgust	0.523
mistress	amante	disgust	0.523
disparaging	depreciativo	disgust	0.523
rubbish	lixo	disgust	0.523
derogation	derrogação	disgust	0.523
accusation	acusação	disgust	0.523
intolerance	intolerância	disgust	0.523
incarceration	encarceramento	disgust	0.523
blighted	arruinado	disgust	0.523
sump	depósito	disgust	0.516
deplorable	deplorável	disgust	0.516
daemon	daemon	disgust	0.516
cringe	encolher	disgust	0.516
degrade	degradar	disgust	0.516
gutter	calha	disgust	0.516
rob	roubar	disgust	0.516
grim	sombrio	disgust	0.516
defraud	defraudar	disgust	0.516
tortious	tortuoso	disgust	0.516
eradication	erradicação	disgust	0.516
stink	fedor	disgust	0.516
convict	condenar	disgust	0.516
dishonor	desonra	disgust	0.516
vulture	abutre	disgust	0.516
remains	permanece	disgust	0.516
mite	ácaro	disgust	0.516
betray	trair	disgust	0.516
sham	farsa, falso	disgust	0.509
endemic	endêmico	disgust	0.508
bombed	bombardeado	disgust	0.508
distress	angústia	disgust	0.508
pest	praga	disgust	0.508
incurable	incurável	disgust	0.508
worthless	inútil	disgust	0.508
rejection	rejeição	disgust	0.508
distasteful	desagradável	disgust	0.508
schizophrenia	esquizofrenia	disgust	0.508
belittle	depreciar	disgust	0.508
smelling	cheirando	disgust	0.508
cheat	enganação	disgust	0.508
blob	blob	disgust	0.508
prisoner	prisioneiro	disgust	0.508
idiocy	idiotice	disgust	0.508
delirium	delírio	disgust	0.508
disaster	desastre	disgust	0.508
crude	bruto	disgust	0.508
resentment	ressentimento	disgust	0.508
dreadfully	terrivelmente	disgust	0.508
glut	excesso	disgust	0.508
polemic	polêmica	disgust	0.500
derision	escárnio	disgust	0.500
idolatry	idolatria	disgust	0.500
taboo	tabu	disgust	0.500
screaming	gritando	disgust	0.500
banish	banir	disgust	0.500
dirt	sujeira	disgust	0.500
goblin	goblin	disgust	0.500
shackle	grilhão	disgust	0.500
bribery	suborno	disgust	0.500
flagrant	flagrante	disgust	0.500
jealousy	ciúmes	disgust	0.500
impurity	impureza	disgust	0.500
theft	roubo	disgust	0.500
bitterness	amargura	disgust	0.500
offense	ofensa	disgust	0.500
impeach	acusar	disgust	0.500
blight	ferrugem	disgust	0.500
duress	coação	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	ganância	disgust	0.500
tirade	tirada	disgust	0.500
squirm	contorcer-se	disgust	0.492
robber	ladrão	disgust	0.492
ill	eu vou	disgust	0.492
unconscionable	inconcebível	disgust	0.492
recession	recessão	disgust	0.492
gorge	desfiladeiro	disgust	0.492
wreck	destruir	disgust	0.492
malign	maligno	disgust	0.492
boil	ferver	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idiota	disgust	0.492
disreputable	desonroso	disgust	0.492
wasteful	desperdício	disgust	0.484
affliction	aflição	disgust	0.484
stain	mancha	disgust	0.484
contempt	desprezo	disgust	0.484
nappy	fralda	disgust	0.484
mutiny	motim	disgust	0.484
occult	oculto	disgust	0.484
tramp	vagabundo	disgust	0.484
unbearable	insuportável	disgust	0.484
offender	infrator	disgust	0.484
servile	servil	disgust	0.484
contraband	contrabando	disgust	0.484
raging	enfurecido	disgust	0.484
snarl	rosnar	disgust	0.484
mad	louco	disgust	0.484
subjugation	subjugação	disgust	0.484
possessed	possuído	disgust	0.484
animosity	antipatia	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	difamação	disgust	0.484
disrespectful	desrespeitoso	disgust	0.484
mess	bagunça	disgust	0.484
nepotism	nepotismo	disgust	0.484
inexcusable	indesculpável	disgust	0.484
pathetic	patético	disgust	0.477
unpleasant	desagradável	disgust	0.477
suppression	supressão	disgust	0.477
mockery	zombaria	disgust	0.477
palsy	paralisia	disgust	0.477
criminal	Criminoso	disgust	0.477
illegality	ilegalidade	disgust	0.477
uncaring	indiferente	disgust	0.477
antagonistic	antagônico	disgust	0.477
immorality	imoralidade	disgust	0.477
dismal	triste	disgust	0.477
angry	Bravo	disgust	0.469
repellent	repelente	disgust	0.469
cough	tosse	disgust	0.469
arrogant	arrogante	disgust	0.469
grating	ralar	disgust	0.469
aggravation	agravamento	disgust	0.469
livid	lívido	disgust	0.469
banishment	banimento	disgust	0.469
shoddy	de má qualidade	disgust	0.469
banshee	alma penada	disgust	0.469
poverty	pobreza	disgust	0.469
wallow	chafurdar	disgust	0.469
outrage	ultraje	disgust	0.469
mocking	zombando	disgust	0.469
furious	furioso	disgust	0.469
perspiration	transpiração	disgust	0.469
prick	pica	disgust	0.461
recklessness	imprudência	disgust	0.461
distorted	distorcido	disgust	0.461
fraudulent	fraudulento	disgust	0.461
spider	aranha	disgust	0.461
quack	charlatão	disgust	0.461
perdition	perdição	disgust	0.461
muddy	turvar	disgust	0.461
spurious	espúrio	disgust	0.461
insulting	insultando	disgust	0.461
scar	cicatriz	disgust	0.461
deceive	enganar	disgust	0.461
unjustifiable	injustificável	disgust	0.461
fool	idiota	disgust	0.461
deplore	deplore	disgust	0.461
plunder	pilhagem	disgust	0.461
aphid	afídio	disgust	0.453
bane	bane	disgust	0.453
indignation	indignação	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	egoísta	disgust	0.453
disparage	depreciar	disgust	0.453
cur	cur	disgust	0.453
dishonest	desonesto	disgust	0.453
stigma	estigma	disgust	0.453
eschew	fugir	disgust	0.453
antipathy	antipatia	disgust	0.453
alienate	alienar	disgust	0.453
disingenuous	insincero	disgust	0.453
elimination	eliminação	disgust	0.453
unthinkable	impensável	disgust	0.453
wasted	desperdiçado	disgust	0.445
recalcitrant	recalcitrante	disgust	0.445
iniquity	iniqüidade	disgust	0.445
mosquito	mosquito	disgust	0.445
caries	cárie	disgust	0.445
bankruptcy	falência	disgust	0.445
egotistical	egoísta	disgust	0.445
piles	pilhas	disgust	0.445
smell	cheiro	disgust	0.445
vacuous	vazio	disgust	0.445
despair	desespero	disgust	0.445
opium	ópio	disgust	0.445
garish	berrante	disgust	0.445
lie	mentira	disgust	0.445
pious	piedoso	disgust	0.445
aversion	aversão	disgust	0.438
sticky	pegajoso	disgust	0.438
scream	grito	disgust	0.438
alien	estrangeiro	disgust	0.438
shun	evita	disgust	0.438
abnormal	anormal	disgust	0.438
ashamed	envergonhado	disgust	0.438
inmate	preso	disgust	0.438
abject	abjeto	disgust	0.438
hog	porco	disgust	0.438
hopelessness	desesperança	disgust	0.438
homeless	sem casa	disgust	0.438
obnoxious	obnóxio	disgust	0.438
curse	maldição	disgust	0.430
creature	criatura	disgust	0.430
cursing	maldição	disgust	0.430
illegal	ilegal	disgust	0.430
lusty	sensual	disgust	0.430
shameless	desavergonhado	disgust	0.430
debris	detritos	disgust	0.430
defiance	desafio	disgust	0.430
pall	mortalha	disgust	0.430
falsity	falsidade	disgust	0.430
reflux	refluxo	disgust	0.430
incredulous	incrédulo	disgust	0.430
adverse	desfavoraveis	disgust	0.430
trickery	trapaça	disgust	0.430
callous	insensível	disgust	0.430
separatist	separatista	disgust	0.430
undesirable	indesejável	disgust	0.430
denounce	denunciar	disgust	0.430
witch	bruxa	disgust	0.430
bum	vagabundo	disgust	0.422
bovine	bovino	disgust	0.422
denunciation	denúncia	disgust	0.422
untidy	desarrumado	disgust	0.422
impure	impuro	disgust	0.422
mistrust	desconfiança	disgust	0.422
tarnish	manchar	disgust	0.422
ferocious	feroz	disgust	0.422
gush	jorrar	disgust	0.422
infantile	infantil	disgust	0.422
ammonia	amônia	disgust	0.422
offend	ofender	disgust	0.422
idiotic	idiota	disgust	0.422
hypertrophy	hipertrofia	disgust	0.422
nicotine	nicotina	disgust	0.422
tasteless	insípido	disgust	0.422
pompous	pomposo	disgust	0.422
socialist	socialista	disgust	0.422
delinquent	delinquente	disgust	0.422
swarm	enxame	disgust	0.422
contentious	contencioso	disgust	0.422
carelessness	descuido	disgust	0.422
hairy	peludo	disgust	0.422
wasting	desperdiçando	disgust	0.422
slush	lama	disgust	0.422
affront	afronta	disgust	0.422
collapse	colapso	disgust	0.422
badness	maldade	disgust	0.422
dishonesty	desonestidade	disgust	0.414
vegetative	vegetativo	disgust	0.414
displacency	deslocamento	disgust	0.414
unfavorable	desfavorável	disgust	0.414
disobey	desobedecer	disgust	0.414
sour	azedar	disgust	0.414
socialism	socialismo	disgust	0.414
murky	obscuro	disgust	0.414
neglected	negligenciado	disgust	0.414
drivel	drivel	disgust	0.414
vampire	vampiro	disgust	0.414
litigious	litigioso	disgust	0.414
illegitimate	ilegítimo	disgust	0.414
disgruntled	desapontado	disgust	0.406
ignorant	ignorante	disgust	0.406
outcast	exilado	disgust	0.406
unkind	indelicado	disgust	0.406
repel	repelir	disgust	0.406
displeasure	descontentamento	disgust	0.406
phony	falso	disgust	0.406
shoplifting	furto em lojas	disgust	0.406
dislike	não gostar	disgust	0.406
unlawful	ilegal	disgust	0.406
bogus	falso	disgust	0.406
discontinuity	descontinuidade	disgust	0.406
recidivism	reincidência	disgust	0.406
ungrateful	ingrato	disgust	0.406
wrongdoing	transgressão	disgust	0.406
falsify	falsificar	disgust	0.406
prosecution	acusação	disgust	0.406
failure	falha	disgust	0.398
loon	loon	disgust	0.398
lick	lamber	disgust	0.398
subvert	subverter	disgust	0.398
rigor	rigor	disgust	0.398
unruly	indisciplinado	disgust	0.398
paucity	escassez	disgust	0.398
unnatural	antinatural	disgust	0.398
averse	avesso	disgust	0.398
senseless	sem sentido	disgust	0.398
worsening	piora	disgust	0.398
disdain	desdém	disgust	0.398
woe	ai	disgust	0.398
woefully	lamentavelmente	disgust	0.398
amphetamines	anfetaminas	disgust	0.398
stingy	mesquinho	disgust	0.398
crushing	esmagamento	disgust	0.398
insult	insulto	disgust	0.393
damage	danificar	disgust	0.391
hardened	endurecido	disgust	0.391
diatribe	diatribe	disgust	0.391
averseness	aversão	disgust	0.391
critter	bicho	disgust	0.391
muff	muff	disgust	0.391
antisocial	anti-social	disgust	0.391
punishment	punição	disgust	0.391
bad	mau	disgust	0.391
punished	punido	disgust	0.391
disrelish	disrelish	disgust	0.391
expel	expulsar	disgust	0.391
farcical	ridículo	disgust	0.391
scorpion	escorpião	disgust	0.391
sacrifices	sacrifícios	disgust	0.383
plagiarism	plágio	disgust	0.383
hypocritical	hipócrita	disgust	0.383
divorce	divórcio	disgust	0.383
presumptuous	presunçoso	disgust	0.383
discord	discórdia	disgust	0.383
fugitive	fugitivo	disgust	0.383
fulsome	volúvel	disgust	0.383
shabby	gasto	disgust	0.383
