word	Samoan-sm	emotion	emotion-intensity-score
glorify	viia	anticipation	0.477
glow	moli	anticipation	0.477
arbitration	faamasinoga	anticipation	0.477
torture	faʻaleagaina	anticipation	0.477
gravitate	siaki	anticipation	0.477
cherish	faapelepele	anticipation	0.477
contemplate	mafaufau	anticipation	0.477
submit	lafo	anticipation	0.477
perilous	matautia	anticipation	0.477
unification	faʻatasi	anticipation	0.477
score	sikoa	anticipation	0.477
medal	pine	anticipation	0.477
glide	tafe	anticipation	0.477
recipient	tagata maua	anticipation	0.477
accompaniment	taʻavale	anticipation	0.477
praiseworthy	tauleleia	anticipation	0.473
providing	saunia	anticipation	0.469
motion	lafo	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	faʻaeteete	anticipation	0.469
cash	tinoitupe	anticipation	0.469
precursor	vailaau muamua	anticipation	0.469
opera	opera	anticipation	0.469
elite	tagata matutua	anticipation	0.469
pry	pry	anticipation	0.469
hire	totogi	anticipation	0.469
sweets	sweets	anticipation	0.469
star	fetu	anticipation	0.469
unsurpassed	e le mafaamatalaina	anticipation	0.469
successful	manuia	anticipation	0.469
unknown	le iloa	anticipation	0.469
immediately	vave	anticipation	0.469
starry	faʻanoanoa	anticipation	0.469
production	gaosiga	anticipation	0.469
football	lakapi	anticipation	0.469
completion	maeʻa	anticipation	0.469
scare	fefefe	anticipation	0.469
invoke	talosalo	anticipation	0.469
shaky	le mautonu	anticipation	0.469
dawn	taeao	anticipation	0.469
creeping	fetolofi	anticipation	0.469
cheerfulness	fiafia	anticipation	0.461
soundness	lelei	anticipation	0.461
mail	imeli	anticipation	0.461
draft	ata tusi	anticipation	0.461
preliminary	amataga	anticipation	0.461
friendly	faauo	anticipation	0.461
commemorative	faamanatu	anticipation	0.461
extricate	faʻaumatia	anticipation	0.461
alive	ola	anticipation	0.461
untold	leai se tala	anticipation	0.461
overture	toesea	anticipation	0.461
excel	sili atu	anticipation	0.461
plight	faʻalavelave	anticipation	0.461
synchronize	faʻafetaui	anticipation	0.461
punt	puno	anticipation	0.461
sanctuary	malumalu	anticipation	0.461
brilliant	susulu	anticipation	0.461
pay	totogi	anticipation	0.461
shining	susulu	anticipation	0.461
regatta	toe faʻaaogaina	anticipation	0.461
testament	molimau	anticipation	0.461
jeopardy	lamatia	anticipation	0.461
perpetuity	tumau	anticipation	0.453
elegance	eleeʻa	anticipation	0.453
career	matata	anticipation	0.453
basketball	pasiketipolo	anticipation	0.453
intimately	i totonu	anticipation	0.453
renovate	toe faafou	anticipation	0.453
supremacy	supavaisa	anticipation	0.453
infinity	leai se aoga	anticipation	0.453
unexpected	faʻafuaseʻi	anticipation	0.453
flinch	flinch	anticipation	0.453
complement	faʻapitoa	anticipation	0.453
prologue	folasaga	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	puipuiga	anticipation	0.453
improve	faʻaleleia	anticipation	0.453
sunset	goto le la	anticipation	0.453
inaugural	inaugural	anticipation	0.453
rehabilitation	toe faʻaleleia	anticipation	0.453
fitting	talafeagai	anticipation	0.445
surround	siosiomia	anticipation	0.445
share	faʻasoa	anticipation	0.445
epidemic	faʻamaʻi	anticipation	0.445
sweet	suamalie	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	natia	anticipation	0.445
confidence	talitonu	anticipation	0.445
perfect	atoatoa	anticipation	0.445
sun	la	anticipation	0.445
veracity	amio saʻo	anticipation	0.445
volunteer	volenitia	anticipation	0.445
conjecture	mafaufauga	anticipation	0.445
medical	fomaʻi	anticipation	0.438
prepared	saunia	anticipation	0.438
superstitious	taufaasese	anticipation	0.438
reconstruction	toe fausia	anticipation	0.438
tickle	logoleleia	anticipation	0.438
faith	faatuatua	anticipation	0.438
passenger	pasese	anticipation	0.438
saint	tagata paia	anticipation	0.438
respect	faaaloalo	anticipation	0.438
rabid	fabid	anticipation	0.438
reconstruct	toe fausia	anticipation	0.438
recombination	toe faʻatulaga	anticipation	0.438
devout	faamaoni	anticipation	0.438
goodness	lelei	anticipation	0.438
angel	agelu	anticipation	0.438
ferment	faʻamalosi	anticipation	0.438
plea	tagi	anticipation	0.438
aloha	alofa	anticipation	0.438
serial	telefoni	anticipation	0.438
conservation	faasao	anticipation	0.438
serenity	filemu	anticipation	0.430
tabulate	faʻamaonia	anticipation	0.430
install	faʻapipiʻi	anticipation	0.430
labyrinth	labyrinth	anticipation	0.430
venerable	mamalu	anticipation	0.430
perpetuate	faaauau pea	anticipation	0.430
strategist	taʻiala	anticipation	0.430
unverified	lē faʻamaonia	anticipation	0.430
tribunal	faamasinoga	anticipation	0.430
charitable	agaalofa	anticipation	0.430
luscious	luscious	anticipation	0.430
spa	spa	anticipation	0.430
peace	filemu	anticipation	0.430
clap	patipati	anticipation	0.430
conspirator	fouvale	anticipation	0.422
forestall	faʻamalosi	anticipation	0.422
patience	onosai	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	olo	anticipation	0.422
revere	faaaloalo	anticipation	0.422
worship	tapuai	anticipation	0.422
vista	vista	anticipation	0.422
laughter	ata	anticipation	0.422
volatility	utiuti	anticipation	0.422
adrift	faʻatau	anticipation	0.422
candid	saʻo	anticipation	0.422
edification	faʻamalosia	anticipation	0.422
unresolved	leʻi foia	anticipation	0.422
peaceful	filemu	anticipation	0.422
recognizable	iloagofie	anticipation	0.422
calls	valaau	anticipation	0.414
weigh	mamafa	anticipation	0.414
probation	avanoa faataitai	anticipation	0.414
proficiency	tomai	anticipation	0.414
morn	taeao	anticipation	0.414
craps	vaʻa	anticipation	0.414
detainee	tagata taofia	anticipation	0.414
mediate	faʻatalanoa	anticipation	0.414
continue	faaauau	anticipation	0.414
astrologer	tagata vaʻai	anticipation	0.414
punctual	punctual	anticipation	0.414
ordination	faauuga	anticipation	0.414
pretty	aulelei	anticipation	0.414
thought	manatu	anticipation	0.414
grant	faʻataga	anticipation	0.414
withstand	tu	anticipation	0.414
frisky	fisa	anticipation	0.414
ongoing	faaauau pea	anticipation	0.414
sing	pese	anticipation	0.411
long	umi	anticipation	0.406
confession	taʻutaʻu atu	anticipation	0.406
headlight	susulu malamalama	anticipation	0.406
prophylactic	prophylactic	anticipation	0.406
mother	tina	anticipation	0.406
debenture	aitalafu	anticipation	0.406
wizard	taulaitu	anticipation	0.406
university	iunivesite	anticipation	0.406
proud	mitamita	anticipation	0.406
midwife	faatosaga	anticipation	0.406
banquet	taumafataga	anticipation	0.406
continuation	faaauauga	anticipation	0.406
navigable	faʻataʻavalevale	anticipation	0.406
punished	faasala	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	faamafanafanaga	anticipation	0.406
opponent	tagata tetee	anticipation	0.406
subscribe	totogi	anticipation	0.406
outdo	fafo	anticipation	0.406
nurture	faafailele	anticipation	0.406
twinkle	moli	anticipation	0.406
deal	taulimaina	anticipation	0.402
efficient	lelei	anticipation	0.398
representing	fai ma sui	anticipation	0.398
simmer	faʻapena	anticipation	0.398
symphony	faʻalogo	anticipation	0.398
judiciary	faamasinoga	anticipation	0.398
obliging	faʻamalosia	anticipation	0.398
saintly	tagata mama	anticipation	0.398
vigil	mataala	anticipation	0.398
death	maliu	anticipation	0.398
distracting	faʻalavelave	anticipation	0.398
mortification	maliu	anticipation	0.398
balm	pulu	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	luga	anticipation	0.398
lettered	faʻatagaina	anticipation	0.398
reliance	faalagolago	anticipation	0.398
poke	leaga	anticipation	0.391
unfulfilled	e leʻi maeʻa	anticipation	0.391
assurance	mautinoa	anticipation	0.391
condemnation	taʻusalaga	anticipation	0.391
undoubted	leai se masalosalo	anticipation	0.391
diplomacy	diplomacy	anticipation	0.391
familiarity	masani	anticipation	0.391
antidote	vaifofo	anticipation	0.391
chuckle	selu	anticipation	0.391
objective	sini	anticipation	0.391
maternal	tina	anticipation	0.391
abeyance	faʻailoga	anticipation	0.391
art	faatufugaga	anticipation	0.391
linger	faʻaauau	anticipation	0.391
trust	faʻalagolago	anticipation	0.391
depraved	leaga	anticipation	0.391
sanctify	faapaia	anticipation	0.391
inoculation	tui	anticipation	0.384
chant	pese	anticipation	0.383
banger	banger	anticipation	0.383
playground	malae taʻavale	anticipation	0.383
failing	toilalo	anticipation	0.383
ship	vaa	anticipation	0.383
hymn	pese	anticipation	0.383
simplify	faʻafaigofie	anticipation	0.383
ram	mamoe	anticipation	0.383
labor	galuega	anticipation	0.383
discretion	faitalia	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	lelei	anticipation	0.383
scientist	saienitisi	anticipation	0.383
undecided	leai se isi	anticipation	0.383
humanitarian	fesoasoani agaalofa	anticipation	0.383
depend	faalagolago	anticipation	0.383
dutiful	faaaloalo	anticipation	0.383
clock	uati	anticipation	0.375
sterling	faʻamaonia	anticipation	0.375
mountain	mauga	anticipation	0.375
savor	mea manogi	anticipation	0.375
recurrent	faʻaauau	anticipation	0.375
interim	le tumau	anticipation	0.375
navigator	tagata folau	anticipation	0.375
gradual	faifai malie	anticipation	0.375
interminable	leai	anticipation	0.375
track	auala	anticipation	0.375
public	tagata lautele	anticipation	0.375
cradle	pepe	anticipation	0.375
concealed	natia	anticipation	0.367
lesson	lesona	anticipation	0.367
instructions	faatonuga	anticipation	0.367
shiver	sulu	anticipation	0.367
musical	musika	anticipation	0.367
towering	maualuga	anticipation	0.367
whim	faʻailoga	anticipation	0.367
spear	tao	anticipation	0.367
convince	talitonu	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	tausisia	anticipation	0.367
biennial	lua tausaga	anticipation	0.367
theology	aʻoaʻoga	anticipation	0.359
offset	faʻasalaga	anticipation	0.359
atone	togiola	anticipation	0.359
timidity	valea	anticipation	0.359
theory	aʻoaʻoga	anticipation	0.359
undying	leai	anticipation	0.359
plump	tele	anticipation	0.359
audience	tagata maimoa	anticipation	0.357
nobility	mamalu	anticipation	0.352
paragon	paʻu	anticipation	0.352
dietary	taumafa	anticipation	0.352
closure	tapunia	anticipation	0.352
store	faleoloa	anticipation	0.352
localize	sueina	anticipation	0.352
cramp	vaʻavaʻa	anticipation	0.352
daily	i aso uma	anticipation	0.352
kindred	ituaiga	anticipation	0.352
farm	faatoaga	anticipation	0.352
edition	lomiga	anticipation	0.352
consecration	faapaiaga	anticipation	0.352
archaeology	archeology	anticipation	0.344
mobile	telefoni	anticipation	0.344
errand	feau	anticipation	0.344
wireless	leai se mea	anticipation	0.344
mutable	mafai ona faʻaaogaina	anticipation	0.344
meditate	mafaufau loloto	anticipation	0.344
stripped	aveese	anticipation	0.344
lessen	faaitiitia	anticipation	0.336
unaccountable	le mafai ona iloa	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	tuagane	anticipation	0.336
buddy	uo	anticipation	0.336
unbeaten	lē faʻaleagaina	anticipation	0.336
germ	siama	anticipation	0.336
dove	lupe	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	lipine	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	onosai	anticipation	0.328
council	aufono	anticipation	0.328
possess	maua	anticipation	0.328
secular	lalolagi	anticipation	0.328
chastity	legavia	anticipation	0.328
disposed	lafoaʻi	anticipation	0.320
regularity	masani	anticipation	0.320
mediator	faufautua	anticipation	0.320
scrutinize	iloilo	anticipation	0.320
fancy	lalelei	anticipation	0.320
immature	vave	anticipation	0.320
infanticide	pepe fananau mai	anticipation	0.320
heft	gaogao	anticipation	0.320
preservative	puipuia	anticipation	0.320
paddle	papa	anticipation	0.320
cove	mata	anticipation	0.320
denying	faafitia	anticipation	0.312
bugle	oso	anticipation	0.312
unpublished	e lei faasalalauina	anticipation	0.312
analyst	tagata suʻesuʻe	anticipation	0.312
grim	leaga	anticipation	0.312
church	falesa	anticipation	0.312
priesthood	perisitua	anticipation	0.305
mill	mea gaosi	anticipation	0.305
judicial	faamasinoga	anticipation	0.305
broadside	lautele lautele	anticipation	0.305
tributary	faʻaaloalo	anticipation	0.297
cap	ufi	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	faanoanoa	anticipation	0.297
instructor	faiaoga	anticipation	0.297
saliva	fuga	anticipation	0.297
exhaustion	vaivai	anticipation	0.297
bruise	tuʻimomomo	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	leai se fale	anticipation	0.289
visor	visa	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	fesoʻotaiga	anticipation	0.289
shackle	laʻau	anticipation	0.289
addresses	tuatusi	anticipation	0.289
noncompliance	le tausisia	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	tagata suʻesuʻe i le vateatea	anticipation	0.281
neighbor	tuaoi	anticipation	0.281
holiness	paia	anticipation	0.273
devil	tiapolo	anticipation	0.273
cream	kulimi	anticipation	0.273
picket	piko	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	faʻamalolo	anticipation	0.273
sentence	faasalaga	anticipation	0.273
neighborhood	tuaoi	anticipation	0.266
morals	amio lelei	anticipation	0.266
lull	lull	anticipation	0.266
habitual	masani	anticipation	0.266
weight	mamafa	anticipation	0.258
bye	fa	anticipation	0.258
forearm	muaʻi	anticipation	0.250
clown	sulu	anticipation	0.250
organ	okeni	anticipation	0.250
quote	upusii	anticipation	0.242
commonplace	nofoaga masani	anticipation	0.242
dictatorship	pule faʻamalosi	anticipation	0.234
board	laupapa	anticipation	0.234
white	lanu pa'epa'e	anticipation	0.234
treadmill	lapisi	anticipation	0.234
rail	nofoaafi	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	laau	anticipation	0.227
paralysis	maʻi pipili	anticipation	0.211
worm	anufe	anticipation	0.203
organization	faalapotopotoga	anticipation	0.203
cement	sima	anticipation	0.203
lagging	lafoaʻi	anticipation	0.180
neutral	le faʻaituau	anticipation	0.148
cannibalism	agavaʻa	disgust	0.953
mutilation	faʻamaʻi	disgust	0.930
molestation	faʻalavelave	disgust	0.914
incest	faʻailoga	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	faʻailoga	disgust	0.906
cannibal	Kanani	disgust	0.898
rot	pala	disgust	0.891
corpse	tino oti	disgust	0.883
massacre	fasioti tagata	disgust	0.883
excrement	otaota	disgust	0.883
slaughter	fasiga	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	fale fasimanu	disgust	0.867
rancid	taʻavale	disgust	0.859
sewerage	otaota vale	disgust	0.859
incestuous	faʻailoga	disgust	0.859
filth	eleelea	disgust	0.859
bigot	tele	disgust	0.859
infestation	faʻailoga	disgust	0.852
plague	mala	disgust	0.852
bloodthirsty	toto	disgust	0.852
holocaust	taulaga mu	disgust	0.852
rotting	solo	disgust	0.844
maggot	mago	disgust	0.844
feces	feces	disgust	0.844
fecal	feʻai	disgust	0.844
murder	fasioti tagata	disgust	0.839
infanticide	pepe fananau mai	disgust	0.836
homicide	fasioti tagata	disgust	0.836
asshole	osofaʻi	disgust	0.836
enslaved	pologa	disgust	0.836
gore	gore	disgust	0.828
perverted	fesuiaʻi	disgust	0.828
torture	faʻaleagaina	disgust	0.828
slaughtering	fasiotia	disgust	0.828
excretion	pule faitalia	disgust	0.828
contaminate	faaleagaina	disgust	0.821
murderer	fasioti tagata	disgust	0.820
gory	gory	disgust	0.820
repugnant	fouvale	disgust	0.820
desecration	leaga	disgust	0.820
grotesque	faʻataʻavale	disgust	0.820
revolting	fouvale	disgust	0.820
diarrhoea	manava manava	disgust	0.820
manure	manu	disgust	0.820
terrorist	tagata faatupu faalavelave	disgust	0.820
shit	migao	disgust	0.820
pervert	faʻasoesa	disgust	0.820
slavery	pologa	disgust	0.812
faeces	faeces	disgust	0.812
sewer	vai	disgust	0.812
vomit	vili	disgust	0.812
manslaughter	fasioti tagata	disgust	0.812
dismemberment	le mautonu	disgust	0.812
cadaver	tagata faʻatau	disgust	0.812
hemorrhage	afaina	disgust	0.805
repulsive	inoino	disgust	0.805
perverse	fefinauaʻi	disgust	0.805
filthy	eleelea	disgust	0.797
sewage	vaʻaia	disgust	0.797
depravity	leaga	disgust	0.797
diseased	maʻi	disgust	0.797
carcass	tino oti	disgust	0.795
decompose	lafoaʻi	disgust	0.789
vermin	vermin	disgust	0.789
puke	puke	disgust	0.789
parasite	parasite	disgust	0.789
horrific	mataʻutia	disgust	0.789
gruesome	mataʻutia	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilated	disgust	0.789
murderous	fasioti tagata	disgust	0.789
decayed	faaleagaina	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	afaina	disgust	0.781
monstrosity	mataʻutia	disgust	0.781
carnage	tagata oti	disgust	0.781
pestilence	faʻamaʻi	disgust	0.781
malaria	malaria	disgust	0.781
crap	vaʻa	disgust	0.781
toxic	toʻila	disgust	0.773
loathsome	mea inosia	disgust	0.773
insidious	taufaasese	disgust	0.773
leprosy	lepela	disgust	0.773
morgue	morgue	disgust	0.773
pus	tulei	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	fafine talitane	disgust	0.766
cruel	saua	disgust	0.766
repugnance	fouvale	disgust	0.766
revulsion	osofaiga	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	faʻatonutonuga	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	faʻasesega	disgust	0.759
canker	faʻanoanoa	disgust	0.758
cruelty	saua	disgust	0.758
perversion	faʻasoesa	disgust	0.758
evil	leaga	disgust	0.758
slum	moe	disgust	0.758
infectious	afaina	disgust	0.758
mucous	mucous	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	lago	disgust	0.750
decomposition	faʻavae	disgust	0.750
sinister	agasala	disgust	0.750
corrupting	faaleagaina	disgust	0.750
demon	temoni	disgust	0.742
stinking	sulu	disgust	0.742
septic	septic	disgust	0.742
deranged	vavae ese	disgust	0.742
bile	talo	disgust	0.742
soiled	leaga	disgust	0.742
mucus	kulupu	disgust	0.742
abhorrence	inoino	disgust	0.742
abomination	mea inosia	disgust	0.742
sickening	maʻi	disgust	0.742
demonic	temoni	disgust	0.742
foul	leaga	disgust	0.734
obese	feʻaveaʻi	disgust	0.734
sicken	maʻi	disgust	0.734
degeneracy	degeneracy	disgust	0.734
crucifixion	faasatauroga	disgust	0.734
despicable	inoino	disgust	0.734
cancer	kanesa	disgust	0.734
atrocity	toilalo	disgust	0.734
terrorism	faiga faatupu faalavelave	disgust	0.734
dirty	eleelea	disgust	0.727
dysentery	vailaʻau	disgust	0.727
adultery	mulilua	disgust	0.727
contamination	faʻaleagaina	disgust	0.727
bacterium	siama	disgust	0.727
diabolical	tiapolo	disgust	0.727
morbidity	maʻi	disgust	0.727
grisly	mataʻutia	disgust	0.727
repulsion	osofaʻiga	disgust	0.727
enema	enema	disgust	0.727
contagion	feʻau	disgust	0.719
disfigured	faʻaleagaina	disgust	0.719
muck	muck	disgust	0.719
lewd	leaga	disgust	0.719
garbage	otaota	disgust	0.719
autopsy	autopsy	disgust	0.719
bowels	manava	disgust	0.719
gross	leaga	disgust	0.719
vulgar	leaga	disgust	0.719
barbaric	feʻai	disgust	0.719
disgust	inoino	disgust	0.719
vicious	mataʻutia	disgust	0.719
entrails	tui	disgust	0.719
deterioration	faʻaleagaina	disgust	0.719
pungent	pala	disgust	0.719
bloodshed	toto masaa	disgust	0.714
violent	vevesi	disgust	0.711
tyrant	ita	disgust	0.711
poisoned	mea oona	disgust	0.711
pollute	eleelea	disgust	0.711
wretched	leaga	disgust	0.711
nausea	taʻavale	disgust	0.711
mortification	maliu	disgust	0.711
gag	gag	disgust	0.711
vulgarity	upu leaga	disgust	0.703
disgusting	inosia	disgust	0.703
grope	tauva	disgust	0.703
slut	paʻu	disgust	0.703
poisoning	mea oona	disgust	0.703
depraved	leaga	disgust	0.703
noxious	leaga	disgust	0.703
porn	porn	disgust	0.703
nasty	leaga	disgust	0.703
slimy	taugofie	disgust	0.703
despotism	inoino	disgust	0.703
nauseate	faʻafiafia	disgust	0.703
secretion	faasee	disgust	0.703
constipation	malosi	disgust	0.703
hateful	inoino	disgust	0.703
grime	meaʻai	disgust	0.703
measles	gaʻo	disgust	0.696
contagious	pipisi	disgust	0.695
hellish	seoli	disgust	0.695
waste	otaota	disgust	0.695
suicidal	suicidal	disgust	0.695
abuse	faʻaleagaina	disgust	0.695
hate	inoino	disgust	0.695
wretch	leaga	disgust	0.695
intestinal	tuila	disgust	0.695
wart	lapisi	disgust	0.695
obesity	afaina	disgust	0.695
scum	maʻila	disgust	0.695
contaminated	faaleagaina	disgust	0.688
disease	faamaʻi	disgust	0.688
rabid	fabid	disgust	0.688
ooze	ooze	disgust	0.688
treason	fouvale	disgust	0.688
heartworm	loto momomo	disgust	0.688
smut	fiafia	disgust	0.688
cholera	cholera	disgust	0.680
deformed	leaga	disgust	0.680
detest	inoino	disgust	0.680
bestial	sili	disgust	0.680
sickness	maʻi	disgust	0.680
antichrist	anetikeriso	disgust	0.680
abhorrent	inoino	disgust	0.680
soulless	leai se agaga	disgust	0.680
freakish	faʻalavelave	disgust	0.680
grimy	leaga	disgust	0.680
hatred	inoino	disgust	0.680
pollution	filogia	disgust	0.680
germ	siama	disgust	0.680
abominate	inoino	disgust	0.680
hell	seoli	disgust	0.680
dilapidated	faʻaleagaina	disgust	0.672
dictatorship	pule faʻamalosi	disgust	0.672
inhuman	tagata leaga	disgust	0.672
greasy	suauʻu	disgust	0.672
hideous	natia	disgust	0.672
loathful	ita	disgust	0.672
obscene	valea	disgust	0.672
loathing	ita	disgust	0.672
cess	leai	disgust	0.670
devil	tiapolo	disgust	0.664
heretic	pepelo	disgust	0.664
nauseous	tausaafia	disgust	0.664
abominable	inosia	disgust	0.664
deformity	leaga	disgust	0.664
deadly	oti	disgust	0.664
swine	puaa	disgust	0.664
discrimination	faʻailoga	disgust	0.664
masochism	masochism	disgust	0.664
poisonous	mea oona	disgust	0.656
prejudiced	faʻaituau	disgust	0.656
bacteria	siama	disgust	0.656
death	maliu	disgust	0.656
poison	mea oona	disgust	0.656
trash	lapisi	disgust	0.656
abortion	faapaʻu pepe	disgust	0.656
corruption	faiga le tonu	disgust	0.656
victimized	ua afaina	disgust	0.656
oppression	faʻasauā	disgust	0.656
goo	goo	disgust	0.656
latrines	latrines	disgust	0.656
horror	fefe	disgust	0.656
horrible	mataʻutia	disgust	0.656
nefarious	leaga	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	faʻamaonia	disgust	0.648
outhouse	fale	disgust	0.648
horrid	mataʻutia	disgust	0.648
detestation	faʻaleagaina	disgust	0.648
sludge	sludge	disgust	0.648
ugly	mataga	disgust	0.648
trashy	lapisi	disgust	0.648
bitch	fasipolo	disgust	0.648
immoral	le mama	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	vaʻai	disgust	0.641
pimple	pimple	disgust	0.641
indecency	amioga mataga	disgust	0.641
unsightly	le mautinoa	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	tagata leaga	disgust	0.641
cystic	cystic	disgust	0.641
horrifying	taufaamatau	disgust	0.641
derogatory	faʻaleagaina	disgust	0.641
laxative	laxative	disgust	0.641
criminality	solitulafono	disgust	0.641
oppressive	faʻaleagaina	disgust	0.633
sinful	agasala	disgust	0.633
bigoted	telefoni	disgust	0.633
doomsday	aso ole aso	disgust	0.633
prostitution	talitane	disgust	0.633
ulcer	maʻi maʻi	disgust	0.633
secrete	faʻamalosi	disgust	0.633
perpetrator	tagata faʻamalosi	disgust	0.633
rat	rat	disgust	0.633
queasy	valea	disgust	0.633
mildew	manogi	disgust	0.633
dastardly	vave	disgust	0.625
disgraceful	faʻalumaina	disgust	0.625
ghastly	pepelo	disgust	0.625
persecution	sauaga	disgust	0.625
devilish	tiapolo	disgust	0.625
degrading	faʻaleagaina	disgust	0.625
obscenity	amio leaga	disgust	0.625
fungus	malie	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	'aiʻona	disgust	0.625
stools	ogaumu	disgust	0.625
suffering	mafatiaga	disgust	0.625
contemptible	taufaaleaga	disgust	0.625
cuckold	lapisi	disgust	0.625
bloated	fuga	disgust	0.625
aghast	taua	disgust	0.625
betrayal	faalataina	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	afaina	disgust	0.617
spoil	faoa	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	gaʻo	disgust	0.617
louse	faʻamalosi	disgust	0.617
malicious	leaga	disgust	0.617
polygamy	televave	disgust	0.617
crusty	faʻamaʻi	disgust	0.617
atrocious	leaga	disgust	0.617
deceit	taufaasese	disgust	0.617
termite	vaitaimi	disgust	0.617
loathe	ita	disgust	0.617
wench	wench	disgust	0.617
dying	oti	disgust	0.617
sickly	maʻi	disgust	0.617
diaper	faʻamaʻi	disgust	0.617
strangle	strangle	disgust	0.617
drool	pa'ū	disgust	0.609
slander	taufaaleaga	disgust	0.609
abhor	inoino	disgust	0.609
venomous	gaʻo	disgust	0.609
brothel	fale talitane	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	ma le sauā	disgust	0.609
hostile	ita	disgust	0.609
sabotage	sabotage	disgust	0.609
deform	pala	disgust	0.609
bleeding	toto le toto	disgust	0.609
unwashed	leʻi faʻaumatia	disgust	0.602
lunacy	pule sili	disgust	0.602
imprisonment	falepuipui	disgust	0.602
infidel	lē talitonu	disgust	0.602
deprivation	faoa	disgust	0.602
traitor	tagata faʻatau	disgust	0.602
ugliness	leaga	disgust	0.602
musty	tatau	disgust	0.602
illicit	faʻamaonia	disgust	0.602
swampy	aau	disgust	0.602
poaching	poaching	disgust	0.602
hag	hag	disgust	0.602
butcher	faʻatau	disgust	0.594
lunatic	lunatic	disgust	0.594
venom	venu	disgust	0.594
repelling	faʻamalo	disgust	0.594
thug	uʻu	disgust	0.594
misery	faanoanoa	disgust	0.594
toilet	faletaele	disgust	0.594
slug	slug	disgust	0.594
catastrophe	faʻalavelave	disgust	0.594
epidemic	faʻamaʻi	disgust	0.594
gut	gutu	disgust	0.594
intoxicated	onā	disgust	0.594
blister	afaina	disgust	0.594
deceitful	taufaasese	disgust	0.594
hostility	ita	disgust	0.594
queasiness	faitioga	disgust	0.594
lurid	lurid	disgust	0.594
sinner	tagata agasala	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	laulau	disgust	0.586
harass	faʻalavelave	disgust	0.586
unclean	le mama	disgust	0.586
prostitute	fafine talitane	disgust	0.586
pornography	ponokalafi	disgust	0.586
dreadful	mataʻutia	disgust	0.586
deteriorated	faasolosolo malie	disgust	0.586
appalling	maofa	disgust	0.586
unfaithful	lē faʻamaoni	disgust	0.578
rash	vave	disgust	0.578
humiliating	faalumaina	disgust	0.578
ruinous	leaga	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	ita	disgust	0.578
conspirator	fouvale	disgust	0.578
larceny	tele	disgust	0.578
debauchery	faʻatafuna	disgust	0.578
mangle	mangle	disgust	0.578
flea	fulu	disgust	0.578
hypocrite	pepelo	disgust	0.578
retard	vave le taimi	disgust	0.578
fiend	fiend	disgust	0.578
sick	maʻi	disgust	0.578
quagmire	fagmire	disgust	0.578
expulsion	tuliesea	disgust	0.578
treacherous	taufaaleaga	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	feanu	disgust	0.570
devastating	faʻalavelave	disgust	0.570
bastard	faʻailoga	disgust	0.570
messy	mea leaga	disgust	0.570
flog	flog	disgust	0.570
egregious	egregious	disgust	0.570
swamp	aau	disgust	0.570
oppress	faʻasauā	disgust	0.570
despise	inoino	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	gata	disgust	0.570
snake	gata	disgust	0.562
terrible	mataʻutia	disgust	0.562
awful	leaga	disgust	0.562
harmful	leaga	disgust	0.562
