word	Spanish-es	emotion	emotion-intensity-score
patient	paciente	anticipation	0.328
council	Consejo	anticipation	0.328
possess	poseer	anticipation	0.328
secular	secular	anticipation	0.328
chastity	castidad	anticipation	0.328
disposed	dispuesto	anticipation	0.320
regularity	regularidad	anticipation	0.320
mediator	mediador	anticipation	0.320
scrutinize	escudriñar	anticipation	0.320
fancy	lujoso	anticipation	0.320
immature	inmaduro	anticipation	0.320
infanticide	infanticidio	anticipation	0.320
heft	peso	anticipation	0.320
preservative	preservativo	anticipation	0.320
paddle	paleta	anticipation	0.320
cove	ensenada	anticipation	0.320
denying	negando	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	inédito	anticipation	0.312
analyst	analista	anticipation	0.312
grim	severo	anticipation	0.312
church	Iglesia	anticipation	0.312
priesthood	sacerdocio	anticipation	0.305
mill	molino	anticipation	0.305
judicial	judicial	anticipation	0.305
broadside	costado	anticipation	0.305
tributary	afluente	anticipation	0.297
cap	gorra	anticipation	0.297
thermocouple	par termoeléctrico	anticipation	0.297
dismay	consternación	anticipation	0.297
instructor	instructor	anticipation	0.297
saliva	saliva	anticipation	0.297
exhaustion	agotamiento	anticipation	0.297
bruise	moretón	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	sin hogar	anticipation	0.289
visor	visera	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	red	anticipation	0.289
shackle	encadenar	anticipation	0.289
addresses	direcciones	anticipation	0.289
noncompliance	incumplimiento	anticipation	0.289
cataract	catarata	anticipation	0.289
skewed	sesgado	anticipation	0.281
astronomer	astrónomo	anticipation	0.281
neighbor	vecino	anticipation	0.281
holiness	santidad	anticipation	0.273
devil	diablo	anticipation	0.273
cream	crema	anticipation	0.273
picket	piquete	anticipation	0.273
latent	latente	anticipation	0.273
immaturity	inmadurez	anticipation	0.273
sentence	frase	anticipation	0.273
neighborhood	barrio	anticipation	0.266
morals	moralidad	anticipation	0.266
lull	calma	anticipation	0.266
habitual	habitual	anticipation	0.266
weight	peso	anticipation	0.258
bye	adiós	anticipation	0.258
forearm	antebrazo	anticipation	0.250
clown	payaso	anticipation	0.250
organ	Organo	anticipation	0.250
quote	citar	anticipation	0.242
commonplace	vulgar	anticipation	0.242
dictatorship	dictadura	anticipation	0.234
board	tablero	anticipation	0.234
white	blanco	anticipation	0.234
treadmill	rueda de andar	anticipation	0.234
rail	carril	anticipation	0.234
sundial	reloj de sol	anticipation	0.227
tree	árbol	anticipation	0.227
paralysis	parálisis	anticipation	0.211
worm	gusano	anticipation	0.203
organization	organización	anticipation	0.203
cement	cemento	anticipation	0.203
lagging	rezagado	anticipation	0.180
neutral	neutral	anticipation	0.148
cannibalism	canibalismo	disgust	0.953
mutilation	mutilación	disgust	0.930
molestation	acoso	disgust	0.914
incest	incesto	disgust	0.914
gonorrhea	gonorrea	disgust	0.906
rape	violación	disgust	0.906
cannibal	caníbal	disgust	0.898
rot	putrefacción	disgust	0.891
corpse	cadáver	disgust	0.883
massacre	masacre	disgust	0.883
excrement	excremento	disgust	0.883
slaughter	sacrificio	disgust	0.875
barf	Barf	disgust	0.875
slaughterhouse	matadero	disgust	0.867
rancid	rancio	disgust	0.859
sewerage	alcantarillado	disgust	0.859
incestuous	incestuoso	disgust	0.859
filth	inmundicia	disgust	0.859
bigot	fanático	disgust	0.859
infestation	infestación	disgust	0.852
plague	Plaga	disgust	0.852
bloodthirsty	sanguinario	disgust	0.852
holocaust	holocausto	disgust	0.852
rotting	podrido	disgust	0.844
maggot	gusano	disgust	0.844
feces	heces	disgust	0.844
fecal	fecal	disgust	0.844
murder	asesinato	disgust	0.839
infanticide	infanticidio	disgust	0.836
homicide	homicidio	disgust	0.836
asshole	Estúpido	disgust	0.836
enslaved	esclavizado	disgust	0.836
gore	sangre	disgust	0.828
perverted	pervertido	disgust	0.828
torture	tortura	disgust	0.828
slaughtering	matanza	disgust	0.828
excretion	excreción	disgust	0.828
contaminate	contaminar	disgust	0.821
murderer	asesino	disgust	0.820
gory	sangriento	disgust	0.820
repugnant	repugnante	disgust	0.820
desecration	profanación	disgust	0.820
grotesque	grotesco	disgust	0.820
revolting	repugnante	disgust	0.820
diarrhoea	Diarrea	disgust	0.820
manure	estiércol	disgust	0.820
terrorist	terrorista	disgust	0.820
shit	mierda	disgust	0.820
pervert	pervertido	disgust	0.820
slavery	esclavitud	disgust	0.812
faeces	excrementos	disgust	0.812
sewer	alcantarilla	disgust	0.812
vomit	vómito	disgust	0.812
manslaughter	homicidio involuntario	disgust	0.812
dismemberment	desmembramiento	disgust	0.812
cadaver	cadáver	disgust	0.812
hemorrhage	hemorragia	disgust	0.805
repulsive	repulsivo	disgust	0.805
perverse	perverso	disgust	0.805
filthy	inmundo	disgust	0.797
sewage	aguas residuales	disgust	0.797
depravity	depravación	disgust	0.797
diseased	enfermo	disgust	0.797
carcass	cuerpo	disgust	0.795
decompose	descomponer	disgust	0.789
vermin	alimañas	disgust	0.789
puke	vómito	disgust	0.789
parasite	parásito	disgust	0.789
horrific	horrendo	disgust	0.789
gruesome	horrible	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilado	disgust	0.789
murderous	asesino	disgust	0.789
decayed	deteriorado	disgust	0.789
herpes	herpes	disgust	0.789
slime	limo	disgust	0.781
flatulence	flatulencia	disgust	0.781
monstrosity	monstruosidad	disgust	0.781
carnage	carnicería	disgust	0.781
pestilence	pestilencia	disgust	0.781
malaria	malaria	disgust	0.781
crap	mierda	disgust	0.781
toxic	tóxico	disgust	0.773
loathsome	repugnante	disgust	0.773
insidious	insidioso	disgust	0.773
leprosy	lepra	disgust	0.773
morgue	morgue	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	puta	disgust	0.766
cruel	cruel	disgust	0.766
repugnance	repugnancia	disgust	0.766
revulsion	repugnancia	disgust	0.766
xenophobia	xenofobia	disgust	0.766
regurgitation	regurgitación	disgust	0.766
anthrax	ántrax	disgust	0.766
lynch	linchar	disgust	0.766
dissection	disección	disgust	0.759
canker	llaga gangrenosa	disgust	0.758
cruelty	crueldad	disgust	0.758
perversion	perversión	disgust	0.758
evil	mal	disgust	0.758
slum	barrio bajo	disgust	0.758
infectious	infeccioso	disgust	0.758
mucous	mucoso	disgust	0.758
phlegm	flema	disgust	0.758
leeches	sanguijuelas	disgust	0.750
decomposition	descomposición	disgust	0.750
sinister	siniestro	disgust	0.750
corrupting	corrompiendo	disgust	0.750
demon	demonio	disgust	0.742
stinking	maloliente	disgust	0.742
septic	séptico	disgust	0.742
deranged	trastornado	disgust	0.742
bile	bilis	disgust	0.742
soiled	manchado	disgust	0.742
mucus	moco	disgust	0.742
abhorrence	aborrecimiento	disgust	0.742
abomination	abominación	disgust	0.742
sickening	nauseabundo	disgust	0.742
demonic	demoníaco	disgust	0.742
foul	falta	disgust	0.734
obese	obeso	disgust	0.734
sicken	enfermar	disgust	0.734
degeneracy	degeneración	disgust	0.734
crucifixion	crucifixión	disgust	0.734
despicable	despreciable	disgust	0.734
cancer	cáncer	disgust	0.734
atrocity	atrocidad	disgust	0.734
terrorism	terrorismo	disgust	0.734
dirty	sucio	disgust	0.727
dysentery	disentería	disgust	0.727
adultery	adulterio	disgust	0.727
contamination	contaminación	disgust	0.727
bacterium	bacteria	disgust	0.727
diabolical	diabólico	disgust	0.727
morbidity	morbosidad	disgust	0.727
grisly	espeluznante	disgust	0.727
repulsion	repulsión	disgust	0.727
enema	enema	disgust	0.727
contagion	contagio	disgust	0.719
disfigured	desfigurado	disgust	0.719
muck	estiércol	disgust	0.719
lewd	lascivo	disgust	0.719
garbage	basura	disgust	0.719
autopsy	autopsia	disgust	0.719
bowels	intestinos	disgust	0.719
gross	bruto	disgust	0.719
vulgar	vulgar	disgust	0.719
barbaric	bárbaro	disgust	0.719
disgust	asco	disgust	0.719
vicious	vicioso	disgust	0.719
entrails	entrañas	disgust	0.719
deterioration	deterioro	disgust	0.719
pungent	acre	disgust	0.719
bloodshed	matanza	disgust	0.714
violent	violento	disgust	0.711
tyrant	tirano	disgust	0.711
poisoned	envenenado	disgust	0.711
pollute	contaminar	disgust	0.711
wretched	desdichado	disgust	0.711
nausea	náusea	disgust	0.711
mortification	mortificación	disgust	0.711
gag	mordaza	disgust	0.711
vulgarity	vulgaridad	disgust	0.703
disgusting	asqueroso	disgust	0.703
grope	ir a tientas	disgust	0.703
slut	puta	disgust	0.703
poisoning	envenenamiento	disgust	0.703
depraved	depravado	disgust	0.703
noxious	nocivo	disgust	0.703
porn	pornografía	disgust	0.703
nasty	asqueroso	disgust	0.703
slimy	baboso	disgust	0.703
despotism	despotismo	disgust	0.703
nauseate	repugnar	disgust	0.703
secretion	secreción	disgust	0.703
constipation	estreñimiento	disgust	0.703
hateful	odioso	disgust	0.703
grime	mugre	disgust	0.703
measles	sarampión	disgust	0.696
contagious	contagioso	disgust	0.695
hellish	infernal	disgust	0.695
waste	residuos	disgust	0.695
suicidal	suicida	disgust	0.695
abuse	abuso	disgust	0.695
hate	odio	disgust	0.695
wretch	desgraciado	disgust	0.695
intestinal	intestinal	disgust	0.695
wart	verruga	disgust	0.695
obesity	obesidad	disgust	0.695
scum	escoria	disgust	0.695
contaminated	contaminado	disgust	0.688
disease	enfermedad	disgust	0.688
rabid	rabioso	disgust	0.688
ooze	rezumar	disgust	0.688
treason	traición	disgust	0.688
heartworm	gusano del corazón	disgust	0.688
smut	tizón	disgust	0.688
cholera	cólera	disgust	0.680
deformed	deformado	disgust	0.680
detest	detestar	disgust	0.680
bestial	bestial	disgust	0.680
sickness	enfermedad	disgust	0.680
antichrist	antecristo	disgust	0.680
abhorrent	aborrecible	disgust	0.680
soulless	sin alma	disgust	0.680
freakish	monstruoso	disgust	0.680
grimy	mugriento	disgust	0.680
hatred	odio	disgust	0.680
pollution	contaminación	disgust	0.680
germ	germen	disgust	0.680
abominate	abominar	disgust	0.680
hell	infierno	disgust	0.680
dilapidated	arruinado	disgust	0.672
dictatorship	dictadura	disgust	0.672
inhuman	inhumano	disgust	0.672
greasy	grasiento	disgust	0.672
hideous	horrible	disgust	0.672
loathful	detestable	disgust	0.672
obscene	obsceno	disgust	0.672
loathing	aversión	disgust	0.672
cess	impuesto	disgust	0.670
devil	diablo	disgust	0.664
heretic	hereje	disgust	0.664
nauseous	nauseabundo	disgust	0.664
abominable	abominable	disgust	0.664
deformity	deformidad	disgust	0.664
deadly	mortal	disgust	0.664
swine	cerdo	disgust	0.664
discrimination	discriminación	disgust	0.664
masochism	masoquismo	disgust	0.664
poisonous	venenoso	disgust	0.656
prejudiced	parcial	disgust	0.656
bacteria	bacteria	disgust	0.656
death	muerte	disgust	0.656
poison	veneno	disgust	0.656
trash	basura	disgust	0.656
abortion	aborto	disgust	0.656
corruption	corrupción	disgust	0.656
victimized	victimizado	disgust	0.656
oppression	opresión	disgust	0.656
goo	cosa muy pegajosa	disgust	0.656
latrines	letrinas	disgust	0.656
horror	horror	disgust	0.656
horrible	horrible	disgust	0.656
nefarious	vil	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	vengativo	disgust	0.648
outhouse	anexo	disgust	0.648
horrid	horrible	disgust	0.648
detestation	detestación	disgust	0.648
sludge	lodo	disgust	0.648
ugly	feo	disgust	0.648
trashy	de pacotilla	disgust	0.648
bitch	perra	disgust	0.648
immoral	inmoral	disgust	0.648
malfeasance	crimen	disgust	0.641
spew	arrojar	disgust	0.641
pimple	espinilla	disgust	0.641
indecency	indecencia	disgust	0.641
unsightly	feo	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	villano	disgust	0.641
cystic	cístico	disgust	0.641
horrifying	horripilante	disgust	0.641
derogatory	despectivo	disgust	0.641
laxative	laxante	disgust	0.641
criminality	criminalidad	disgust	0.641
oppressive	opresivo	disgust	0.633
sinful	pecaminoso	disgust	0.633
bigoted	fanático	disgust	0.633
doomsday	Día del Juicio Final	disgust	0.633
prostitution	prostitución	disgust	0.633
ulcer	úlcera	disgust	0.633
secrete	secretar	disgust	0.633
perpetrator	autor	disgust	0.633
rat	rata	disgust	0.633
queasy	mareado	disgust	0.633
mildew	moho	disgust	0.633
dastardly	ruin	disgust	0.625
disgraceful	vergonzoso	disgust	0.625
ghastly	horrible	disgust	0.625
persecution	persecucion	disgust	0.625
devilish	diabólico	disgust	0.625
degrading	degradante	disgust	0.625
obscenity	obscenidad	disgust	0.625
fungus	hongo	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	glotonería	disgust	0.625
stools	taburetes	disgust	0.625
suffering	sufrimiento	disgust	0.625
contemptible	despreciable	disgust	0.625
cuckold	cornudo	disgust	0.625
bloated	hinchado	disgust	0.625
aghast	espantado	disgust	0.625
betrayal	traición	disgust	0.617
guillotine	guillotina	disgust	0.617
infect	infectar	disgust	0.617
spoil	mimar	disgust	0.617
tetanus	tétanos	disgust	0.617
fat	grasa	disgust	0.617
louse	piojo	disgust	0.617
malicious	malicioso	disgust	0.617
polygamy	poligamia	disgust	0.617
crusty	crujiente	disgust	0.617
atrocious	atroz	disgust	0.617
deceit	engaño	disgust	0.617
termite	termita	disgust	0.617
loathe	detestar	disgust	0.617
wench	moza	disgust	0.617
dying	moribundo	disgust	0.617
sickly	enfermizo	disgust	0.617
diaper	pañal	disgust	0.617
strangle	estrangular	disgust	0.617
drool	babear	disgust	0.609
slander	calumnia	disgust	0.609
abhor	aborrecer	disgust	0.609
venomous	venenoso	disgust	0.609
brothel	burdel	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	violentamente	disgust	0.609
hostile	hostil	disgust	0.609
sabotage	sabotaje	disgust	0.609
deform	deformar	disgust	0.609
bleeding	sangría	disgust	0.609
unwashed	sucio	disgust	0.602
lunacy	locura	disgust	0.602
imprisonment	prisión	disgust	0.602
infidel	infiel	disgust	0.602
deprivation	privación	disgust	0.602
traitor	traidor	disgust	0.602
ugliness	fealdad	disgust	0.602
musty	rancio	disgust	0.602
illicit	ilícito	disgust	0.602
swampy	pantanoso	disgust	0.602
poaching	caza furtiva	disgust	0.602
hag	bruja	disgust	0.602
butcher	Carnicero	disgust	0.594
lunatic	lunático	disgust	0.594
venom	veneno	disgust	0.594
repelling	repeler	disgust	0.594
thug	matón	disgust	0.594
misery	miseria	disgust	0.594
toilet	baño	disgust	0.594
slug	babosa	disgust	0.594
catastrophe	catástrofe	disgust	0.594
epidemic	epidemia	disgust	0.594
gut	intestino	disgust	0.594
intoxicated	embriagado	disgust	0.594
blister	ampolla	disgust	0.594
deceitful	engañoso	disgust	0.594
hostility	hostilidad	disgust	0.594
queasiness	náuseas	disgust	0.594
lurid	espeluznante	disgust	0.594
sinner	pecador	disgust	0.594
incubus	íncubo	disgust	0.586
lavatory	lavabo	disgust	0.586
harass	acosar	disgust	0.586
unclean	inmundo	disgust	0.586
prostitute	prostituta	disgust	0.586
pornography	pornografía	disgust	0.586
dreadful	terrible	disgust	0.586
deteriorated	deteriorado	disgust	0.586
appalling	pésimo	disgust	0.586
unfaithful	infiel	disgust	0.578
rash	erupción	disgust	0.578
humiliating	humillante	disgust	0.578
ruinous	ruinoso	disgust	0.578
squeamish	delicado	disgust	0.578
offensive	ofensiva	disgust	0.578
conspirator	conspirador	disgust	0.578
larceny	hurto	disgust	0.578
debauchery	libertinaje	disgust	0.578
mangle	mutilar	disgust	0.578
flea	pulga	disgust	0.578
hypocrite	hipócrita	disgust	0.578
retard	retardar	disgust	0.578
fiend	demonio	disgust	0.578
sick	enfermos	disgust	0.578
quagmire	cenagal	disgust	0.578
expulsion	expulsión	disgust	0.578
treacherous	traicionero	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	escupir	disgust	0.570
devastating	devastador	disgust	0.570
bastard	Bastardo	disgust	0.570
messy	sucio	disgust	0.570
flog	azotar	disgust	0.570
egregious	enorme	disgust	0.570
swamp	pantano	disgust	0.570
oppress	oprimir	disgust	0.570
despise	despreciar	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	serpiente	disgust	0.570
snake	serpiente	disgust	0.562
terrible	terrible	disgust	0.562
awful	horrible	disgust	0.562
harmful	perjudicial	disgust	0.562
insanity	locura	disgust	0.562
indecent	indecente	disgust	0.562
sordid	sórdido	disgust	0.562
loo	lavabo	disgust	0.562
scoundrel	sinvergüenza	disgust	0.562
enemy	enemigo	disgust	0.562
stealing	robando	disgust	0.562
alcoholism	alcoholismo	disgust	0.562
humiliation	humillación	disgust	0.562
ruthless	implacable	disgust	0.562
sloppy	poco riguroso	disgust	0.562
tyrannical	tiránico	disgust	0.562
harlot	ramera	disgust	0.562
sinning	pecando	disgust	0.562
robbery	robo	disgust	0.555
insufferable	insufrible	disgust	0.555
arsenic	arsénico	disgust	0.555
bloody	sangriento	disgust	0.555
odious	odioso	disgust	0.555
ridicule	ridículo	disgust	0.555
atrophy	atrofia	disgust	0.555
beastly	bestial	disgust	0.555
collusion	colusión	disgust	0.555
distaste	disgusto	disgust	0.555
segregate	segregar	disgust	0.555
discriminating	discriminante	disgust	0.555
coward	cobarde	disgust	0.555
wickedness	malicia	disgust	0.555
threatening	amenazante	disgust	0.555
unattractive	no atractivo	disgust	0.555
slayer	asesino	disgust	0.555
flabby	flácido	disgust	0.555
varicella	varicela	disgust	0.555
miserable	miserable	disgust	0.547
sty	orzuelo	disgust	0.547
ogre	ogro	disgust	0.547
coercion	coerción	disgust	0.547
thief	ladrón	disgust	0.547
slur	calumnia	disgust	0.547
suffocating	sofocante	disgust	0.547
anathema	anatema	disgust	0.547
purgatory	purgatorio	disgust	0.547
malevolent	malévolo	disgust	0.547
bitterly	amargamente	disgust	0.547
burglar	ladrón	disgust	0.547
attacking	agresor	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	condenación	disgust	0.547
pillage	pillaje	disgust	0.547
deleterious	perjudicial	disgust	0.547
thrash	movimiento de piernas	disgust	0.539
repellant	repelente	disgust	0.539
repudiation	repudio	disgust	0.539
infidelity	infidelidad	disgust	0.539
liar	mentiroso	disgust	0.539
fatty	graso	disgust	0.539
gob	trozo	disgust	0.539
sneer	burla	disgust	0.539
drunken	borracho	disgust	0.539
disgrace	desgracia	disgust	0.539
shame	vergüenza	disgust	0.539
jealous	celoso	disgust	0.539
imprisoned	encarcelado	disgust	0.539
pig	cerdo	disgust	0.539
greedy	codicioso	disgust	0.539
sloth	perezoso	disgust	0.539
lethal	letal	disgust	0.536
burnt	quemado	disgust	0.531
aberration	aberración	disgust	0.531
condescension	condescendencia	disgust	0.531
hydrocephalus	hidrocefalia	disgust	0.531
hanging	colgando	disgust	0.531
destructive	destructivo	disgust	0.531
smuggler	contrabandista	disgust	0.531
intolerant	intolerante	disgust	0.531
travesty	parodia	disgust	0.531
intrusive	intruso	disgust	0.531
ruined	arruinado	disgust	0.531
withered	marchito	disgust	0.531
disintegrate	desintegrarse	disgust	0.531
brawl	pelearse	disgust	0.531
blemish	defecto	disgust	0.531
neurotic	neurótico	disgust	0.531
blasphemous	blasfemo	disgust	0.531
lying	acostado	disgust	0.531
painful	doloroso	disgust	0.531
avarice	avaricia	disgust	0.523
disgraced	deshonrado	disgust	0.523
mistress	amante	disgust	0.523
disparaging	despectivo	disgust	0.523
rubbish	basura	disgust	0.523
derogation	humillación	disgust	0.523
accusation	acusación	disgust	0.523
intolerance	intolerancia	disgust	0.523
incarceration	encarcelamiento	disgust	0.523
blighted	arruinado	disgust	0.523
sump	sumidero	disgust	0.516
deplorable	deplorable	disgust	0.516
daemon	demonio	disgust	0.516
cringe	encogerse	disgust	0.516
degrade	degradar	disgust	0.516
gutter	canal	disgust	0.516
rob	robar	disgust	0.516
grim	severo	disgust	0.516
defraud	defraudar	disgust	0.516
tortious	tortuoso	disgust	0.516
eradication	erradicación	disgust	0.516
stink	hedor	disgust	0.516
convict	condenar	disgust	0.516
dishonor	deshonra	disgust	0.516
vulture	buitre	disgust	0.516
remains	permanece	disgust	0.516
mite	ácaro	disgust	0.516
betray	traicionar	disgust	0.516
sham	impostor	disgust	0.509
endemic	endémico	disgust	0.508
bombed	bombardeado	disgust	0.508
distress	angustia	disgust	0.508
pest	parásito	disgust	0.508
incurable	incurable	disgust	0.508
worthless	sin valor	disgust	0.508
rejection	rechazo	disgust	0.508
distasteful	desagradable	disgust	0.508
schizophrenia	esquizofrenia	disgust	0.508
belittle	empequeñecer	disgust	0.508
smelling	oliendo	disgust	0.508
cheat	engañar	disgust	0.508
blob	gota	disgust	0.508
prisoner	prisionero	disgust	0.508
idiocy	idiotez	disgust	0.508
delirium	delirio	disgust	0.508
disaster	desastre	disgust	0.508
crude	crudo	disgust	0.508
resentment	resentimiento	disgust	0.508
dreadfully	horrorosamente	disgust	0.508
glut	exceso	disgust	0.508
polemic	polémica	disgust	0.500
derision	burla	disgust	0.500
idolatry	idolatría	disgust	0.500
taboo	tabú	disgust	0.500
screaming	gritando	disgust	0.500
banish	desterrar	disgust	0.500
dirt	suciedad	disgust	0.500
goblin	duende	disgust	0.500
shackle	encadenar	disgust	0.500
bribery	soborno	disgust	0.500
flagrant	flagrante	disgust	0.500
jealousy	celos	disgust	0.500
impurity	impureza	disgust	0.500
theft	robo	disgust	0.500
bitterness	amargura	disgust	0.500
offense	ofensa	disgust	0.500
impeach	procesar	disgust	0.500
blight	plaga	disgust	0.500
duress	coacción	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	codicia	disgust	0.500
tirade	diatriba	disgust	0.500
squirm	retorcerse	disgust	0.492
robber	ladrón	disgust	0.492
ill	enfermo	disgust	0.492
unconscionable	excesivo	disgust	0.492
recession	recesión	disgust	0.492
gorge	garganta	disgust	0.492
wreck	ruina	disgust	0.492
malign	maligno	disgust	0.492
boil	hervir	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idiota	disgust	0.492
disreputable	de mala fama	disgust	0.492
wasteful	antieconómico	disgust	0.484
affliction	aflicción	disgust	0.484
stain	manchar	disgust	0.484
contempt	desprecio	disgust	0.484
nappy	pañal	disgust	0.484
mutiny	motín	disgust	0.484
occult	oculto	disgust	0.484
tramp	vagabundo	disgust	0.484
unbearable	inaguantable	disgust	0.484
offender	delincuente	disgust	0.484
servile	servil	disgust	0.484
contraband	contrabando	disgust	0.484
raging	furioso	disgust	0.484
snarl	gruñido	disgust	0.484
mad	enojado	disgust	0.484
subjugation	subyugación	disgust	0.484
possessed	poseído	disgust	0.484
animosity	animosidad	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	difamación	disgust	0.484
disrespectful	irrespetuoso	disgust	0.484
mess	lío	disgust	0.484
nepotism	nepotismo	disgust	0.484
inexcusable	inexcusable	disgust	0.484
pathetic	patético	disgust	0.477
unpleasant	desagradable	disgust	0.477
suppression	supresión	disgust	0.477
mockery	mofa	disgust	0.477
palsy	parálisis	disgust	0.477
criminal	criminal	disgust	0.477
illegality	ilegalidad	disgust	0.477
uncaring	indiferente	disgust	0.477
antagonistic	antagonista	disgust	0.477
immorality	inmoralidad	disgust	0.477
dismal	triste	disgust	0.477
angry	enojado	disgust	0.469
repellent	repelente	disgust	0.469
cough	tos	disgust	0.469
arrogant	arrogante	disgust	0.469
grating	rejilla	disgust	0.469
aggravation	agravación	disgust	0.469
livid	lívido	disgust	0.469
banishment	destierro	disgust	0.469
shoddy	pacotilla	disgust	0.469
banshee	Banshee	disgust	0.469
poverty	pobreza	disgust	0.469
wallow	revolcarse por	disgust	0.469
outrage	atropello	disgust	0.469
mocking	burlón	disgust	0.469
furious	furioso	disgust	0.469
perspiration	transpiración	disgust	0.469
prick	pinchazo	disgust	0.461
recklessness	imprudencia	disgust	0.461
distorted	distorsionado	disgust	0.461
fraudulent	fraudulento	disgust	0.461
spider	araña	disgust	0.461
quack	curandero	disgust	0.461
perdition	perdición	disgust	0.461
muddy	fangoso	disgust	0.461
spurious	espurio	disgust	0.461
insulting	insultante	disgust	0.461
scar	cicatriz	disgust	0.461
deceive	engañar	disgust	0.461
unjustifiable	injustificable	disgust	0.461
fool	tonto	disgust	0.461
deplore	deplorar	disgust	0.461
plunder	saquear	disgust	0.461
aphid	áfido	disgust	0.453
bane	perdición	disgust	0.453
indignation	indignación	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	egoísta	disgust	0.453
disparage	menospreciar	disgust	0.453
cur	canalla	disgust	0.453
dishonest	deshonesto	disgust	0.453
stigma	estigma	disgust	0.453
eschew	evitar	disgust	0.453
antipathy	antipatía	disgust	0.453
alienate	enajenar	disgust	0.453
disingenuous	falso	disgust	0.453
elimination	eliminación	disgust	0.453
unthinkable	inconcebible	disgust	0.453
wasted	vano	disgust	0.445
recalcitrant	recalcitrante	disgust	0.445
iniquity	iniquidad	disgust	0.445
mosquito	mosquito	disgust	0.445
caries	caries	disgust	0.445
bankruptcy	bancarrota	disgust	0.445
egotistical	ególatra	disgust	0.445
piles	hemorroides	disgust	0.445
smell	oler	disgust	0.445
vacuous	vacío	disgust	0.445
despair	desesperación	disgust	0.445
opium	opio	disgust	0.445
garish	llamativo	disgust	0.445
lie	mentira	disgust	0.445
pious	piadoso	disgust	0.445
aversion	aversión	disgust	0.438
sticky	pegajoso	disgust	0.438
scream	gritar	disgust	0.438
alien	extraterrestre	disgust	0.438
shun	rehuir	disgust	0.438
abnormal	anormal	disgust	0.438
ashamed	avergonzado	disgust	0.438
inmate	preso	disgust	0.438
abject	abyecto	disgust	0.438
hog	cerdo	disgust	0.438
hopelessness	desesperación	disgust	0.438
homeless	sin hogar	disgust	0.438
obnoxious	desagradable	disgust	0.438
curse	maldición	disgust	0.430
creature	criatura	disgust	0.430
cursing	maldiciendo	disgust	0.430
illegal	ilegal	disgust	0.430
lusty	fuerte	disgust	0.430
shameless	desvergonzado	disgust	0.430
debris	escombros	disgust	0.430
defiance	desafío	disgust	0.430
pall	féretro	disgust	0.430
falsity	falsedad	disgust	0.430
reflux	reflujo	disgust	0.430
incredulous	incrédulo	disgust	0.430
adverse	adverso	disgust	0.430
trickery	astucia	disgust	0.430
callous	calloso	disgust	0.430
separatist	separatista	disgust	0.430
undesirable	indeseable	disgust	0.430
denounce	denunciar	disgust	0.430
witch	bruja	disgust	0.430
bum	culo	disgust	0.422
bovine	bovino	disgust	0.422
denunciation	denuncia	disgust	0.422
untidy	desordenado	disgust	0.422
impure	impuro	disgust	0.422
mistrust	desconfianza	disgust	0.422
tarnish	deslustre	disgust	0.422
ferocious	feroz	disgust	0.422
gush	chorro	disgust	0.422
infantile	infantil	disgust	0.422
ammonia	amoníaco	disgust	0.422
offend	ofender	disgust	0.422
idiotic	idiota	disgust	0.422
hypertrophy	hipertrofia	disgust	0.422
nicotine	nicotina	disgust	0.422
tasteless	insípido	disgust	0.422
pompous	pomposo	disgust	0.422
socialist	socialista	disgust	0.422
delinquent	delincuente	disgust	0.422
swarm	enjambre	disgust	0.422
contentious	contencioso	disgust	0.422
carelessness	descuido	disgust	0.422
hairy	peludo	disgust	0.422
wasting	debilitante	disgust	0.422
slush	fango	disgust	0.422
affront	afrenta	disgust	0.422
collapse	colapso	disgust	0.422
badness	maldad	disgust	0.422
dishonesty	deshonestidad	disgust	0.414
vegetative	vegetativo	disgust	0.414
displacency	desplazamiento	disgust	0.414
unfavorable	desfavorable	disgust	0.414
disobey	desobedecer	disgust	0.414
sour	agrio	disgust	0.414
socialism	socialismo	disgust	0.414
murky	turbio	disgust	0.414
neglected	descuidado	disgust	0.414
drivel	mentiras	disgust	0.414
vampire	vampiro	disgust	0.414
litigious	litigioso	disgust	0.414
illegitimate	ilegítimo	disgust	0.414
disgruntled	descontento	disgust	0.406
ignorant	ignorante	disgust	0.406
outcast	paria	disgust	0.406
unkind	cruel	disgust	0.406
repel	repeler	disgust	0.406
