word	Tagalog (Filipino)-tl	emotion	emotion-intensity-score
trophy	tropeo	anticipation	0.562
rejoice	magalak	anticipation	0.562
fanfare	panoorin	anticipation	0.562
predilection	predilection	anticipation	0.562
exalt	itaas	anticipation	0.562
parade	parada	anticipation	0.562
enchant	magayuma	anticipation	0.562
independence	pagsasarili	anticipation	0.562
expose	ilantad	anticipation	0.562
immortality	kawalang-kamatayan	anticipation	0.562
expected	inaasahan	anticipation	0.562
mysterious	mahiwaga	anticipation	0.562
hypothesis	teorya	anticipation	0.562
accolade	parangalan	anticipation	0.562
lover	magkasintahan	anticipation	0.562
quicken	buhayin	anticipation	0.562
champion	kampeon	anticipation	0.562
lovely	kaibig-ibig	anticipation	0.555
rejoicing	pagsasaya	anticipation	0.555
grasping	matakaw	anticipation	0.555
grow	lumaki	anticipation	0.555
curiosity	pagkamausisa	anticipation	0.555
splendor	kaluwalhatian	anticipation	0.555
salvation	kaligtasan	anticipation	0.555
happy	masaya	anticipation	0.555
oracle	orakulo	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	lumabas	anticipation	0.555
boisterous	maingay	anticipation	0.555
liberty	kalayaan	anticipation	0.555
heroism	kabayanihan	anticipation	0.555
feeling	pakiramdam	anticipation	0.555
shopping	pamimili	anticipation	0.555
fate	kapalaran	anticipation	0.555
uneasiness	pagkabalisa	anticipation	0.555
speculative	teorya	anticipation	0.555
changeable	nababago	anticipation	0.547
recreational	libangan	anticipation	0.547
pray	manalangin	anticipation	0.547
warn	balaan	anticipation	0.547
suspicious	kahina-hinala	anticipation	0.547
convergence	tagpo	anticipation	0.547
incite	mag-udyok	anticipation	0.547
agape	agape	anticipation	0.547
morrow	bukas	anticipation	0.547
abundance	kasaganaan	anticipation	0.547
delighted	Nagagalak	anticipation	0.547
resultant	nagresulta	anticipation	0.547
hungry	gutom	anticipation	0.547
monetary	pera	anticipation	0.547
vote	bumoto	anticipation	0.547
glory	kaluwalhatian	anticipation	0.547
glimmer	glimmer	anticipation	0.547
apprehensive	nag-aalala	anticipation	0.547
sorcery	pangkukulam	anticipation	0.547
bountiful	mapagbigay	anticipation	0.547
leisure	paglilibang	anticipation	0.547
probability	posibilidad	anticipation	0.547
auction	subasta	anticipation	0.539
hunting	pangangaso	anticipation	0.539
contingent	contingent	anticipation	0.539
hankering	hankering	anticipation	0.539
sensual	animal	anticipation	0.539
blessings	pagpapala	anticipation	0.539
ballot	balota	anticipation	0.539
grandchildren	mga apo	anticipation	0.539
entertainment	Aliwan	anticipation	0.539
vindication	pagtatanggol	anticipation	0.539
worrying	nababahala	anticipation	0.539
tempest	bagyo	anticipation	0.539
inquiry	pagtatanong	anticipation	0.539
merge	pagsamahin	anticipation	0.539
exceed	lumagpas	anticipation	0.539
bounty	kapagbigayan	anticipation	0.539
glad	masaya	anticipation	0.536
magnificent	kahanga-hanga	anticipation	0.531
feat	gawa	anticipation	0.531
stealthy	pailalim	anticipation	0.531
cheer	magsaya	anticipation	0.531
spirits	espiritu	anticipation	0.531
visitor	bisita	anticipation	0.531
appeal	apila	anticipation	0.531
forming	pagbabalangkas	anticipation	0.531
hurried	minadali	anticipation	0.531
responsive	tumutugon	anticipation	0.531
virginity	birhen	anticipation	0.531
deliverance	pagpapalaya	anticipation	0.531
betrothed	katipan	anticipation	0.531
overthrow	ibagsak	anticipation	0.531
harbinger	tagapagbalita	anticipation	0.531
raving	nagsisisigaw	anticipation	0.531
celestial	celestial	anticipation	0.531
dread	kasindak-sindak	anticipation	0.531
germination	pagtubo	anticipation	0.523
preparatory	paghahanda	anticipation	0.523
pleasant	maayang	anticipation	0.523
watch	panoorin	anticipation	0.523
prophet	propeta	anticipation	0.523
prognostic	prognostic	anticipation	0.523
haste	pagmamadali	anticipation	0.523
planning	pagpaplano	anticipation	0.523
importance	kahalagahan	anticipation	0.523
radiance	ningning	anticipation	0.523
prevail	mananaig	anticipation	0.523
cheery	masigla	anticipation	0.523
competition	kumpetisyon	anticipation	0.523
ultimately	sa huli	anticipation	0.523
revive	pasiglahin	anticipation	0.523
beaming	lumalaki	anticipation	0.523
wait	maghintay	anticipation	0.523
child	anak	anticipation	0.523
notification	abiso	anticipation	0.523
hunter	mangangaso	anticipation	0.523
explosive	paputok	anticipation	0.523
endanger	ilagay sa panganib	anticipation	0.516
time	oras	anticipation	0.516
recreation	libangan	anticipation	0.516
renovation	pagkukumpuni	anticipation	0.516
precious	mahalaga	anticipation	0.516
begun	nagsimula	anticipation	0.516
loom	habihan	anticipation	0.516
compensate	magbayad	anticipation	0.516
treat	gamutin	anticipation	0.516
uncontrollable	hindi mapigilan	anticipation	0.516
present	kasalukuyan	anticipation	0.516
salary	suweldo	anticipation	0.516
celebrity	tanyag na tao	anticipation	0.516
owing	utang	anticipation	0.516
chocolate	tsokolate	anticipation	0.516
caution	mag-ingat	anticipation	0.516
fermentation	pagbuburo	anticipation	0.516
sensuality	kahalayan	anticipation	0.516
wilderness	ilang	anticipation	0.508
signify	magpahiwatig	anticipation	0.508
transitional	palampas	anticipation	0.508
intermission	intermission	anticipation	0.508
contemplation	pagmumuni-muni	anticipation	0.508
vigilance	pagbabantay	anticipation	0.508
commemoration	pagdiriwang	anticipation	0.508
practise	pagsasanay	anticipation	0.508
cue	cue	anticipation	0.508
infant	sanggol	anticipation	0.508
dreadful	kakila-kilabot	anticipation	0.508
perfection	pagiging perpekto	anticipation	0.508
elevation	elevation	anticipation	0.508
prerequisite	pangunang kailangan	anticipation	0.508
cultivate	linangin	anticipation	0.508
horizon	abot-tanaw	anticipation	0.508
develop	bumuo	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	lumangoy	anticipation	0.500
attendance	pagdalo	anticipation	0.500
nascent	nagbubuhat	anticipation	0.500
favorable	kanais-nais	anticipation	0.500
peril	kapahamakan	anticipation	0.500
income	kita	anticipation	0.500
ardent	ardent	anticipation	0.500
commemorate	gunitain	anticipation	0.500
doomsday	katapusan ng mundo	anticipation	0.500
reconciliation	pagkakasundo	anticipation	0.500
utopian	utopian	anticipation	0.500
romantic	romantikong	anticipation	0.500
unbridled	walang pigil	anticipation	0.500
sunny	maaraw	anticipation	0.500
uphill	pataas	anticipation	0.500
intuitively	intuitively	anticipation	0.500
depart	umalis	anticipation	0.500
eventuality	parati	anticipation	0.500
puppy	puppy	anticipation	0.500
zeal	sigasig	anticipation	0.500
sneaking	lumilipad	anticipation	0.500
ready	handa na	anticipation	0.500
advocacy	pagtataguyod	anticipation	0.500
airport	paliparan	anticipation	0.500
litigate	litigate	anticipation	0.500
blindfold	nakapiring	anticipation	0.500
undisclosed	undisclosed	anticipation	0.500
young	bata pa	anticipation	0.500
horoscope	horoscope	anticipation	0.500
invocation	pagsang-ayon	anticipation	0.500
calculation	pagkalkula	anticipation	0.500
hero	bayani	anticipation	0.500
court	hukuman	anticipation	0.492
repay	bayaran	anticipation	0.492
improvise	kumusta	anticipation	0.492
parole	parole	anticipation	0.492
worry	mag-alala	anticipation	0.492
inauguration	pagpapasinaya	anticipation	0.492
gaping	nakanganga	anticipation	0.492
youth	kabataan	anticipation	0.492
bless	pagpalain	anticipation	0.492
defense	pagtatanggol	anticipation	0.492
heyday	heyday	anticipation	0.492
consequent	bunga nito	anticipation	0.492
proceeding	magpatuloy	anticipation	0.492
eventual	sa wakas	anticipation	0.492
perspective	pananaw	anticipation	0.492
restorative	restorative	anticipation	0.492
undertaking	pagsasagawa	anticipation	0.492
highest	pinakamataas	anticipation	0.491
duel	labanan	anticipation	0.484
unexplained	hindi maipaliwanag	anticipation	0.484
tremor	panginginig	anticipation	0.484
sharpen	patalasin	anticipation	0.484
generosity	kabutihang-loob	anticipation	0.484
voluptuous	kagalakan	anticipation	0.484
shortly	sa ilang sandali	anticipation	0.484
vow	panata	anticipation	0.484
contagion	contagion	anticipation	0.484
letter	sulat	anticipation	0.484
happen	mangyari	anticipation	0.484
threaten	nagbabanta	anticipation	0.484
conjure	kumusta	anticipation	0.484
sparkle	brilyo	anticipation	0.484
engulf	lumambot	anticipation	0.484
god	diyos	anticipation	0.484
correspondence	liham	anticipation	0.484
auspicious	mapalad	anticipation	0.484
princely	prinsipe	anticipation	0.484
adore	sambahin	anticipation	0.477
enroll	magpatala	anticipation	0.477
determinate	determinate	anticipation	0.477
predispose	predisposed	anticipation	0.477
clue	bakas	anticipation	0.477
onset	simula	anticipation	0.477
powerful	malakas	anticipation	0.477
glorify	luwalhatiin	anticipation	0.477
glow	mamula	anticipation	0.477
arbitration	arbitrasyon	anticipation	0.477
torture	labis na pagpapahirap	anticipation	0.477
gravitate	maglakad	anticipation	0.477
cherish	mahalin	anticipation	0.477
contemplate	pagnilayan	anticipation	0.477
submit	ipasa	anticipation	0.477
perilous	mapanganib	anticipation	0.477
unification	pag-iisa	anticipation	0.477
score	puntos	anticipation	0.477
medal	medalya	anticipation	0.477
glide	lumakad	anticipation	0.477
recipient	tatanggap	anticipation	0.477
accompaniment	saliw	anticipation	0.477
praiseworthy	kapuri-puri	anticipation	0.473
providing	pagbibigay	anticipation	0.469
motion	galaw	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	maingat	anticipation	0.469
cash	cash	anticipation	0.469
precursor	pauna	anticipation	0.469
opera	opera	anticipation	0.469
elite	piling tao	anticipation	0.469
pry	pry	anticipation	0.469
hire	pag-upa	anticipation	0.469
sweets	Matamis	anticipation	0.469
star	bituin	anticipation	0.469
unsurpassed	hindi maunahan	anticipation	0.469
successful	matagumpay	anticipation	0.469
unknown	hindi alam	anticipation	0.469
immediately	kaagad	anticipation	0.469
starry	kumikislap	anticipation	0.469
production	produksyon	anticipation	0.469
football	football	anticipation	0.469
completion	pagkumpleto	anticipation	0.469
scare	takot	anticipation	0.469
invoke	tumawag	anticipation	0.469
shaky	nanginginig	anticipation	0.469
dawn	madaling araw	anticipation	0.469
creeping	gumagapang	anticipation	0.469
cheerfulness	kagalakan	anticipation	0.461
soundness	kagalingan	anticipation	0.461
mail	mail	anticipation	0.461
draft	draft	anticipation	0.461
preliminary	paunang	anticipation	0.461
friendly	friendly	anticipation	0.461
commemorative	pangunita	anticipation	0.461
extricate	magpalabas	anticipation	0.461
alive	buhay	anticipation	0.461
untold	hindi katanggap-tanggap	anticipation	0.461
overture	overture	anticipation	0.461
excel	excel	anticipation	0.461
plight	kalagayan	anticipation	0.461
synchronize	i-synchronize	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	santuwaryo	anticipation	0.461
brilliant	napakatalino	anticipation	0.461
pay	magbayad	anticipation	0.461
shining	nagniningning	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	Tipan	anticipation	0.461
jeopardy	panganib	anticipation	0.461
perpetuity	walang katapusan	anticipation	0.453
elegance	kagandahan	anticipation	0.453
career	karera	anticipation	0.453
basketball	basketball	anticipation	0.453
intimately	intimately	anticipation	0.453
renovate	ayusin	anticipation	0.453
supremacy	supremacy	anticipation	0.453
infinity	kawalang-hanggan	anticipation	0.453
unexpected	hindi inaasahang	anticipation	0.453
flinch	kumislap	anticipation	0.453
complement	umakma	anticipation	0.453
prologue	prologo	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	pag-iwas	anticipation	0.453
improve	mapabuti	anticipation	0.453
sunset	paglubog ng araw	anticipation	0.453
inaugural	pampasinaya	anticipation	0.453
rehabilitation	rehabilitasyon	anticipation	0.453
fitting	angkop	anticipation	0.445
surround	palibutan	anticipation	0.445
share	ibahagi	anticipation	0.445
epidemic	epidemya	anticipation	0.445
sweet	matamis	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	pagkatago	anticipation	0.445
confidence	kumpiyansa	anticipation	0.445
perfect	perpekto	anticipation	0.445
sun	araw	anticipation	0.445
veracity	katotohanan	anticipation	0.445
volunteer	boluntaryo	anticipation	0.445
conjecture	haka-haka	anticipation	0.445
medical	medikal	anticipation	0.438
prepared	handa na	anticipation	0.438
superstitious	superstitious	anticipation	0.438
reconstruction	pagbabagong-tatag	anticipation	0.438
tickle	tickle	anticipation	0.438
faith	pananampalataya	anticipation	0.438
passenger	pasahero	anticipation	0.438
saint	santo	anticipation	0.438
respect	paggalang	anticipation	0.438
rabid	masugid	anticipation	0.438
reconstruct	buuin muli	anticipation	0.438
recombination	recombination	anticipation	0.438
devout	taos-puso	anticipation	0.438
goodness	kabutihan	anticipation	0.438
angel	anghel	anticipation	0.438
ferment	umuulan	anticipation	0.438
plea	pakiusap	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	serial	anticipation	0.438
conservation	konserbasyon	anticipation	0.438
serenity	katahimikan	anticipation	0.430
tabulate	magbuklod	anticipation	0.430
install	i-install	anticipation	0.430
labyrinth	labirint	anticipation	0.430
venerable	kagalang-galang	anticipation	0.430
perpetuate	ipagpatuloy	anticipation	0.430
strategist	strategist	anticipation	0.430
unverified	hindi na-verify	anticipation	0.430
tribunal	hukuman	anticipation	0.430
charitable	kawanggawa	anticipation	0.430
luscious	masarap	anticipation	0.430
spa	spa	anticipation	0.430
peace	kapayapaan	anticipation	0.430
clap	pumalakpak	anticipation	0.430
conspirator	kumander	anticipation	0.422
forestall	tumigil ka	anticipation	0.422
patience	pasensya	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	ngumiti	anticipation	0.422
revere	sumasampalataya	anticipation	0.422
worship	pagsamba	anticipation	0.422
vista	vista	anticipation	0.422
laughter	tawa	anticipation	0.422
volatility	pagkasumpungin	anticipation	0.422
adrift	lumayo ka	anticipation	0.422
candid	tapat	anticipation	0.422
edification	pagbubuhay	anticipation	0.422
unresolved	hindi nalutas	anticipation	0.422
peaceful	mapayapa	anticipation	0.422
recognizable	makikilala	anticipation	0.422
calls	tawag	anticipation	0.414
weigh	timbangin	anticipation	0.414
probation	probasyon	anticipation	0.414
proficiency	kasanayan	anticipation	0.414
morn	umaga	anticipation	0.414
craps	craps	anticipation	0.414
detainee	detenido	anticipation	0.414
mediate	mamagitan	anticipation	0.414
continue	magpatuloy	anticipation	0.414
astrologer	astrologer	anticipation	0.414
punctual	walang oras	anticipation	0.414
ordination	ordinasyon	anticipation	0.414
pretty	maganda	anticipation	0.414
thought	naisip	anticipation	0.414
grant	bigyan	anticipation	0.414
withstand	makatiis	anticipation	0.414
frisky	maliksi	anticipation	0.414
ongoing	patuloy na	anticipation	0.414
sing	kumanta	anticipation	0.411
long	mahaba	anticipation	0.406
confession	pag-amin	anticipation	0.406
headlight	headlight	anticipation	0.406
prophylactic	pansamantala	anticipation	0.406
mother	ina	anticipation	0.406
debenture	debenture	anticipation	0.406
wizard	wizard	anticipation	0.406
university	unibersidad	anticipation	0.406
proud	mapagmataas	anticipation	0.406
midwife	midwife	anticipation	0.406
banquet	piging	anticipation	0.406
continuation	pagpapatuloy	anticipation	0.406
navigable	magagamit sa paglalayag	anticipation	0.406
punished	pinarusahan	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	kaginhawahan	anticipation	0.406
opponent	kalaban	anticipation	0.406
subscribe	mag-subscribe	anticipation	0.406
outdo	lumalabas	anticipation	0.406
nurture	mag-alaga	anticipation	0.406
twinkle	kumikislap	anticipation	0.406
deal	pakikitungo	anticipation	0.402
efficient	mahusay	anticipation	0.398
representing	kumakatawan	anticipation	0.398
simmer	kumulo	anticipation	0.398
symphony	simponya	anticipation	0.398
judiciary	hudikatura	anticipation	0.398
obliging	mapagbigay	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	vigil	anticipation	0.398
death	kamatayan	anticipation	0.398
distracting	nakakagambala	anticipation	0.398
mortification	pagkamuhi	anticipation	0.398
balm	balsamo	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	itaas	anticipation	0.398
lettered	sulat	anticipation	0.398
reliance	pagsalig	anticipation	0.398
poke	sundutin	anticipation	0.391
unfulfilled	hindi natapos	anticipation	0.391
assurance	katiyakan	anticipation	0.391
condemnation	paghatol	anticipation	0.391
undoubted	walang alinlangan	anticipation	0.391
diplomacy	diplomasya	anticipation	0.391
familiarity	pamilyar	anticipation	0.391
antidote	antidote	anticipation	0.391
chuckle	tumawa nang marahan	anticipation	0.391
objective	layunin	anticipation	0.391
maternal	ina	anticipation	0.391
abeyance	abeyance	anticipation	0.391
art	sining	anticipation	0.391
linger	magtagal	anticipation	0.391
trust	tiwala	anticipation	0.391
depraved	malupit	anticipation	0.391
sanctify	magpakabanal	anticipation	0.391
inoculation	pagbabakuna	anticipation	0.384
chant	umawit	anticipation	0.383
banger	banger	anticipation	0.383
playground	palaruan	anticipation	0.383
failing	nanghihina	anticipation	0.383
ship	barko	anticipation	0.383
hymn	himno	anticipation	0.383
simplify	pasimplehin	anticipation	0.383
ram	ram	anticipation	0.383
labor	paggawa	anticipation	0.383
discretion	pagpapasya	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	mabuti	anticipation	0.383
scientist	siyentipiko	anticipation	0.383
undecided	nag-aalinlangan	anticipation	0.383
humanitarian	makatao	anticipation	0.383
depend	depende	anticipation	0.383
dutiful	masunurin	anticipation	0.383
clock	orasan	anticipation	0.375
sterling	esterlina	anticipation	0.375
mountain	bundok	anticipation	0.375
savor	lasa	anticipation	0.375
recurrent	pabalik-balik	anticipation	0.375
interim	pansamantala	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	unti-unti	anticipation	0.375
interminable	hindi kapani-paniwala	anticipation	0.375
track	subaybayan	anticipation	0.375
public	pampubliko	anticipation	0.375
cradle	duyan	anticipation	0.375
concealed	lingid	anticipation	0.367
lesson	aralin	anticipation	0.367
instructions	mga tagubilin	anticipation	0.367
shiver	manginig	anticipation	0.367
musical	musikal	anticipation	0.367
towering	matayog	anticipation	0.367
whim	kadalasan	anticipation	0.367
spear	sibat	anticipation	0.367
convince	kumbinsihin	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	sumunod ka	anticipation	0.367
biennial	biennial	anticipation	0.367
theology	teolohiya	anticipation	0.359
offset	offset	anticipation	0.359
atone	atone	anticipation	0.359
timidity	pagkamahiyain	anticipation	0.359
theory	teorya	anticipation	0.359
undying	walang hanggan	anticipation	0.359
plump	mabilog	anticipation	0.359
audience	madla	anticipation	0.357
nobility	kagitingan	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	pandiyeta	anticipation	0.352
closure	pagsasara	anticipation	0.352
store	mag-imbak	anticipation	0.352
localize	naisalokal	anticipation	0.352
cramp	kram	anticipation	0.352
daily	araw-araw	anticipation	0.352
kindred	kamag-anak	anticipation	0.352
farm	sakahan	anticipation	0.352
edition	edisyon	anticipation	0.352
consecration	pagtatalaga	anticipation	0.352
archaeology	arkeolohiya	anticipation	0.344
mobile	mobile	anticipation	0.344
errand	lakad	anticipation	0.344
wireless	wireless	anticipation	0.344
mutable	maaaring baguhin	anticipation	0.344
meditate	magnilay	anticipation	0.344
stripped	Nakuha	anticipation	0.344
lessen	bawasan	anticipation	0.336
unaccountable	hindi maipaliliwanag	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	kapatid	anticipation	0.336
buddy	buddy	anticipation	0.336
unbeaten	walang kapantay	anticipation	0.336
germ	mikrobyo	anticipation	0.336
dove	kalapati	anticipation	0.328
digress	lumihis	anticipation	0.328
ribbon	laso	anticipation	0.328
olfactory	olpaktoryo	anticipation	0.328
patient	pasyente	anticipation	0.328
council	konseho	anticipation	0.328
possess	nagtataglay	anticipation	0.328
secular	walang kaugnayan sa relihiyon	anticipation	0.328
chastity	kalinisang puri	anticipation	0.328
disposed	itapon	anticipation	0.320
regularity	regularidad	anticipation	0.320
mediator	tagapamagitan	anticipation	0.320
scrutinize	siyasating mabuti	anticipation	0.320
fancy	magarbong	anticipation	0.320
immature	wala pa	anticipation	0.320
infanticide	pagpapasuso	anticipation	0.320
heft	heft	anticipation	0.320
preservative	pang-imbak	anticipation	0.320
paddle	paddle	anticipation	0.320
cove	cove	anticipation	0.320
denying	pagtanggi	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	hindi nai-publish	anticipation	0.312
analyst	analyst	anticipation	0.312
grim	malupit	anticipation	0.312
church	simbahan	anticipation	0.312
priesthood	pagkasaserdote	anticipation	0.305
mill	gilingan	anticipation	0.305
judicial	panghukuman	anticipation	0.305
broadside	broadside	anticipation	0.305
tributary	pagsasamahan	anticipation	0.297
cap	takip	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	pagkabalisa	anticipation	0.297
instructor	magtuturo	anticipation	0.297
saliva	laway	anticipation	0.297
exhaustion	kapaguran	anticipation	0.297
bruise	bruise	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	walang tahanan	anticipation	0.289
visor	takip	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	network	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	mga address	anticipation	0.289
noncompliance	hindi pagsunod	anticipation	0.289
cataract	katarata	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	astronomer	anticipation	0.281
neighbor	kapit-bahay	anticipation	0.281
holiness	kabanalan	anticipation	0.273
devil	diyablo	anticipation	0.273
cream	cream	anticipation	0.273
picket	piket	anticipation	0.273
latent	tago	anticipation	0.273
immaturity	kawalang-hanggan	anticipation	0.273
sentence	pangungusap	anticipation	0.273
neighborhood	kapitbahayan	anticipation	0.266
morals	moralidad	anticipation	0.266
lull	lull	anticipation	0.266
habitual	karaniwan	anticipation	0.266
weight	timbang	anticipation	0.258
bye	bye	anticipation	0.258
forearm	bisig	anticipation	0.250
clown	clown	anticipation	0.250
organ	organ	anticipation	0.250
quote	quote	anticipation	0.242
commonplace	karaniwan	anticipation	0.242
dictatorship	diktadura	anticipation	0.234
board	board	anticipation	0.234
white	puti	anticipation	0.234
treadmill	gilingang pinepedalan	anticipation	0.234
rail	tren	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	puno	anticipation	0.227
paralysis	pagkalumpo	anticipation	0.211
worm	uod	anticipation	0.203
organization	organisasyon	anticipation	0.203
cement	semento	anticipation	0.203
lagging	lagging	anticipation	0.180
neutral	neutral	anticipation	0.148
cannibalism	cannibalism	disgust	0.953
mutilation	pinsala	disgust	0.930
molestation	pag-abuso	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	panggagahasa	disgust	0.906
cannibal	kanibal	disgust	0.898
rot	mabulok	disgust	0.891
corpse	bangkay	disgust	0.883
massacre	pagpatay	disgust	0.883
excrement	excrement	disgust	0.883
slaughter	pagpatay	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	bahay-katayan	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	alkantarilya	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	dumi	disgust	0.859
bigot	bigot	disgust	0.859
infestation	infestation	disgust	0.852
plague	salot	disgust	0.852
bloodthirsty	uhaw sa dugo	disgust	0.852
holocaust	Holocaust	disgust	0.852
rotting	nabubulok	disgust	0.844
maggot	maggot	disgust	0.844
feces	feces	disgust	0.844
fecal	fecal	disgust	0.844
murder	pagpatay	disgust	0.839
infanticide	pagpapasuso	disgust	0.836
homicide	pagpatay ng tao	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	enslaved	disgust	0.836
gore	gore	disgust	0.828
perverted	taliwas	disgust	0.828
torture	labis na pagpapahirap	disgust	0.828
slaughtering	pagpatay	disgust	0.828
excretion	pagpapalabas	disgust	0.828
contaminate	mahawahan	disgust	0.821
murderer	mamamatay-tao	disgust	0.820
gory	madugo	disgust	0.820
repugnant	kasuklam-suklam	disgust	0.820
desecration	pagpapahiya	disgust	0.820
grotesque	katawa-tawa	disgust	0.820
revolting	paninirang-puri	disgust	0.820
diarrhoea	pagtatae	disgust	0.820
manure	pataba	disgust	0.820
terrorist	terorista	disgust	0.820
shit	shit	disgust	0.820
pervert	pervert	disgust	0.820
slavery	pang-aalipin	disgust	0.812
faeces	alak	disgust	0.812
sewer	paagusan	disgust	0.812
vomit	suka	disgust	0.812
manslaughter	pagpatay ng tao	disgust	0.812
dismemberment	paghihiwalay	disgust	0.812
cadaver	cadaver	disgust	0.812
hemorrhage	pagdurugo	disgust	0.805
repulsive	kasuklam-suklam	disgust	0.805
perverse	masama	disgust	0.805
filthy	marumi	disgust	0.797
sewage	dumi sa alkantarilya	disgust	0.797
depravity	kasamaan	disgust	0.797
diseased	may sakit	disgust	0.797
carcass	bangkay	disgust	0.795
decompose	mabulok	disgust	0.789
vermin	vermin	disgust	0.789
puke	puke	disgust	0.789
parasite	parasito	disgust	0.789
horrific	nakakatakot	disgust	0.789
gruesome	nakakatakot	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	lutasin	disgust	0.789
murderous	nakamamatay	disgust	0.789
decayed	nabulok	disgust	0.789
herpes	herpes	disgust	0.789
slime	putik	disgust	0.781
flatulence	utak	disgust	0.781
monstrosity	monstrosity	disgust	0.781
carnage	pagpatay	disgust	0.781
pestilence	salot	disgust	0.781
malaria	malarya	disgust	0.781
crap	crap	disgust	0.781
toxic	nakakalason	disgust	0.773
loathsome	kasuklam-suklam	disgust	0.773
insidious	mapanira	disgust	0.773
leprosy	ketong	disgust	0.773
morgue	morge	disgust	0.773
pus	nana	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	kalapating mababa ang lipad	disgust	0.766
cruel	malupit	disgust	0.766
repugnance	pagkawasak	disgust	0.766
revulsion	pag-alis	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	pagkakatay	disgust	0.759
canker	canker	disgust	0.758
cruelty	kalupitan	disgust	0.758
perversion	kabuktutan	disgust	0.758
evil	masama	disgust	0.758
slum	slum	disgust	0.758
infectious	nakakahawa	disgust	0.758
mucous	mucous	disgust	0.758
phlegm	plema	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	agnas	disgust	0.750
sinister	masama	disgust	0.750
corrupting	corrupting	disgust	0.750
demon	demonyo	disgust	0.742
stinking	mabaho	disgust	0.742
septic	septic	disgust	0.742
deranged	deranged	disgust	0.742
bile	apdo	disgust	0.742
soiled	marumi	disgust	0.742
mucus	mucus	disgust	0.742
abhorrence	pagkagalit	disgust	0.742
abomination	pagkasuklam	disgust	0.742
sickening	nakakasakit	disgust	0.742
demonic	demonyo	disgust	0.742
foul	napakarumi	disgust	0.734
obese	napakataba	disgust	0.734
sicken	sicken	disgust	0.734
degeneracy	degeneracy	disgust	0.734
crucifixion	pagpapako sa krus	disgust	0.734
despicable	kasuklam-suklam	disgust	0.734
cancer	kanser	disgust	0.734
atrocity	kasamaan	disgust	0.734
terrorism	terorismo	disgust	0.734
dirty	marumi	disgust	0.727
dysentery	iti	disgust	0.727
adultery	pangangalunya	disgust	0.727
contamination	karumihan	disgust	0.727
bacterium	bacterium	disgust	0.727
diabolical	diyosiko	disgust	0.727
morbidity	morbidity	disgust	0.727
grisly	maingay	disgust	0.727
repulsion	pagtanggi	disgust	0.727
enema	enema	disgust	0.727
contagion	contagion	disgust	0.719
disfigured	napakarumi	disgust	0.719
muck	putik	disgust	0.719
lewd	malaswa	disgust	0.719
garbage	basura	disgust	0.719
autopsy	autopsy	disgust	0.719
bowels	mga bituka	disgust	0.719
gross	gross	disgust	0.719
vulgar	bulgar	disgust	0.719
barbaric	barbariko	disgust	0.719
disgust	pagkasuya	disgust	0.719
vicious	mabisyo	disgust	0.719
entrails	mga bituka	disgust	0.719
deterioration	pagkasira	disgust	0.719
pungent	pungent	disgust	0.719
bloodshed	pagdanak ng dugo	disgust	0.714
violent	marahas	disgust	0.711
tyrant	tyrant	disgust	0.711
poisoned	poisoned	disgust	0.711
pollute	dumi	disgust	0.711
wretched	nakakalungkot	disgust	0.711
