word	Urdu-ur	emotion	emotion-intensity-score
tabulate	طلاق دینا	anticipation	0.430
install	انسٹال کریں	anticipation	0.430
labyrinth	بھولبلییا	anticipation	0.430
venerable	سنجیدہ	anticipation	0.430
perpetuate	برقرار رکھو	anticipation	0.430
strategist	حکمت عملی	anticipation	0.430
unverified	غیر تصدیق شدہ	anticipation	0.430
tribunal	ٹربیونل	anticipation	0.430
charitable	صدقہ	anticipation	0.430
luscious	خوشگوار	anticipation	0.430
spa	سپا	anticipation	0.430
peace	امن	anticipation	0.430
clap	کلپ	anticipation	0.430
conspirator	سازش	anticipation	0.422
forestall	جنگلات	anticipation	0.422
patience	صبر	anticipation	0.422
oasis	اویسس	anticipation	0.422
grin	گرین	anticipation	0.422
revere	احترام	anticipation	0.422
worship	عبادت	anticipation	0.422
vista	ویٹا	anticipation	0.422
laughter	ہنسی	anticipation	0.422
volatility	اتار چڑھاؤ	anticipation	0.422
adrift	مشغول	anticipation	0.422
candid	صاف گوئی	anticipation	0.422
edification	ایڈیشن	anticipation	0.422
unresolved	غیر حل شدہ	anticipation	0.422
peaceful	پرامن	anticipation	0.422
recognizable	شناختی	anticipation	0.422
calls	کالز	anticipation	0.414
weigh	وزن	anticipation	0.414
probation	امتحان	anticipation	0.414
proficiency	مہارت	anticipation	0.414
morn	صبح	anticipation	0.414
craps	کیپس	anticipation	0.414
detainee	قیدی	anticipation	0.414
mediate	ثالثی	anticipation	0.414
continue	جاری رہے	anticipation	0.414
astrologer	ستارہ	anticipation	0.414
punctual	وقت کی پابند	anticipation	0.414
ordination	حکم	anticipation	0.414
pretty	خوبصورت	anticipation	0.414
thought	سوچا	anticipation	0.414
grant	عطا	anticipation	0.414
withstand	سامنا کرنا پڑا	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	جاری	anticipation	0.414
sing	گانا	anticipation	0.411
long	طویل	anticipation	0.406
confession	اقرار	anticipation	0.406
headlight	ہیڈلائٹ	anticipation	0.406
prophylactic	نبوت	anticipation	0.406
mother	ماں	anticipation	0.406
debenture	ڈبینچر	anticipation	0.406
wizard	جادوگر	anticipation	0.406
university	جامع درس گاہ	anticipation	0.406
proud	فخر ہے	anticipation	0.406
midwife	قابلیت	anticipation	0.406
banquet	ضیافت	anticipation	0.406
continuation	تسلسل	anticipation	0.406
navigable	نیویگیشن	anticipation	0.406
punished	سزا دی	anticipation	0.406
chicane	چاکلیٹ	anticipation	0.406
comfort	آرام	anticipation	0.406
opponent	مخالف	anticipation	0.406
subscribe	سبسکرائب	anticipation	0.406
outdo	باہر	anticipation	0.406
nurture	کھانا پکانا	anticipation	0.406
twinkle	جڑواں بچے	anticipation	0.406
deal	معاہدہ	anticipation	0.402
efficient	موثر	anticipation	0.398
representing	نمائندگی	anticipation	0.398
simmer	چھلانگ	anticipation	0.398
symphony	سمفنی	anticipation	0.398
judiciary	عدلیہ	anticipation	0.398
obliging	فرض ہے	anticipation	0.398
saintly	سنتری	anticipation	0.398
vigil	نگرانی	anticipation	0.398
death	موت	anticipation	0.398
distracting	پریشان کن	anticipation	0.398
mortification	موت	anticipation	0.398
balm	بام	anticipation	0.398
guillotine	گلیٹن	anticipation	0.398
top	اوپر	anticipation	0.398
lettered	خط	anticipation	0.398
reliance	انحصار	anticipation	0.398
poke	پکا	anticipation	0.391
unfulfilled	ناقابل یقین	anticipation	0.391
assurance	یقین دہانی کرائی	anticipation	0.391
condemnation	مذمت	anticipation	0.391
undoubted	بے حد	anticipation	0.391
diplomacy	سفارتکاری	anticipation	0.391
familiarity	واقفیت	anticipation	0.391
antidote	اینٹیڈیٹ	anticipation	0.391
chuckle	منہ دبا ہنسنا	anticipation	0.391
objective	مقصد	anticipation	0.391
maternal	زچگی	anticipation	0.391
abeyance	ہمت	anticipation	0.391
art	آرٹ	anticipation	0.391
linger	ادرک	anticipation	0.391
trust	اعتماد	anticipation	0.391
depraved	خراب	anticipation	0.391
sanctify	پاک	anticipation	0.391
inoculation	غفلت	anticipation	0.384
chant	چاند	anticipation	0.383
banger	بینجر	anticipation	0.383
playground	کھیل کا میدان	anticipation	0.383
failing	ناکامی	anticipation	0.383
ship	جہاز	anticipation	0.383
hymn	حمد	anticipation	0.383
simplify	آسان	anticipation	0.383
ram	رام	anticipation	0.383
labor	مزدور	anticipation	0.383
discretion	صوابدید	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	اچھی	anticipation	0.383
scientist	سائنسدان	anticipation	0.383
undecided	ناگزیر	anticipation	0.383
humanitarian	انسانی حقوق	anticipation	0.383
depend	انحصار	anticipation	0.383
dutiful	بیوقوف	anticipation	0.383
clock	گھڑی	anticipation	0.375
sterling	سٹرلنگ	anticipation	0.375
mountain	پہاڑ	anticipation	0.375
savor	ذائقہ	anticipation	0.375
recurrent	بار بار	anticipation	0.375
interim	عبوری	anticipation	0.375
navigator	نیویگیٹر	anticipation	0.375
gradual	بتدریج	anticipation	0.375
interminable	مداخلت	anticipation	0.375
track	ٹریک کریں	anticipation	0.375
public	عوام	anticipation	0.375
cradle	پادری	anticipation	0.375
concealed	چھپی ہوئی	anticipation	0.367
lesson	سبق	anticipation	0.367
instructions	ہدایات	anticipation	0.367
shiver	کاںپنا	anticipation	0.367
musical	موسیقی	anticipation	0.367
towering	ٹاور	anticipation	0.367
whim	ویسے	anticipation	0.367
spear	سپیئر	anticipation	0.367
convince	قائل کرنا	anticipation	0.367
sonar	سونار	anticipation	0.367
abide	رہو	anticipation	0.367
biennial	باہمی	anticipation	0.367
theology	نظریہ	anticipation	0.359
offset	آفسیٹ	anticipation	0.359
atone	اونٹ	anticipation	0.359
timidity	ٹھوس	anticipation	0.359
theory	نظریہ	anticipation	0.359
undying	undying	anticipation	0.359
plump	بولڈ	anticipation	0.359
audience	سامعین	anticipation	0.357
nobility	نیکی	anticipation	0.352
paragon	پارنج	anticipation	0.352
dietary	غذائیت	anticipation	0.352
closure	بندش	anticipation	0.352
store	اسٹور	anticipation	0.352
localize	مقامی بنانا	anticipation	0.352
cramp	چراغ	anticipation	0.352
daily	روزانہ	anticipation	0.352
kindred	بدقسمتی	anticipation	0.352
farm	فارم	anticipation	0.352
edition	ایڈیشن	anticipation	0.352
consecration	رضاکارانہ	anticipation	0.352
archaeology	آثار قدیمہ	anticipation	0.344
mobile	موبائل	anticipation	0.344
errand	غلطی	anticipation	0.344
wireless	وائرلیس	anticipation	0.344
mutable	قابل اطلاق	anticipation	0.344
meditate	غور کریں	anticipation	0.344
stripped	چھٹکارا	anticipation	0.344
lessen	کم	anticipation	0.336
unaccountable	ناقابل قبول	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	بھائی	anticipation	0.336
buddy	دوست	anticipation	0.336
unbeaten	بے شک	anticipation	0.336
germ	بیماری	anticipation	0.336
dove	کبوتر	anticipation	0.328
digress	ہک	anticipation	0.328
ribbon	ربن	anticipation	0.328
olfactory	زراعت	anticipation	0.328
patient	صبر	anticipation	0.328
council	کونسل	anticipation	0.328
possess	مالک ہے	anticipation	0.328
secular	دنیاوی	anticipation	0.328
chastity	عقل	anticipation	0.328
disposed	خارج کر دیا	anticipation	0.320
regularity	باقاعدگی سے	anticipation	0.320
mediator	ثالثی	anticipation	0.320
scrutinize	جانچ پڑتال کریں	anticipation	0.320
fancy	پسند	anticipation	0.320
immature	ناجائز	anticipation	0.320
infanticide	بچے بازی	anticipation	0.320
heft	سات	anticipation	0.320
preservative	محافظ	anticipation	0.320
paddle	پیڈل	anticipation	0.320
cove	کوو	anticipation	0.320
denying	انکار	anticipation	0.312
bugle	بگل	anticipation	0.312
unpublished	غیر شائع شدہ	anticipation	0.312
analyst	تجزیہ کار	anticipation	0.312
grim	سخت	anticipation	0.312
church	چرچ	anticipation	0.312
priesthood	پوجاپن	anticipation	0.305
mill	چکی	anticipation	0.305
judicial	عدلیہ	anticipation	0.305
broadside	بروڈائڈ	anticipation	0.305
tributary	خراج تحسین	anticipation	0.297
cap	کیپ	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	ڈراپ	anticipation	0.297
instructor	انسٹرکٹر	anticipation	0.297
saliva	لالو	anticipation	0.297
exhaustion	ہم آہنگی	anticipation	0.297
bruise	ذائقہ	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	بے گھر	anticipation	0.289
visor	ویزا	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	نیٹ ورک	anticipation	0.289
shackle	ہڑتال	anticipation	0.289
addresses	پتے	anticipation	0.289
noncompliance	غیر عدم اطمینان	anticipation	0.289
cataract	موتیابند	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	astronomer	anticipation	0.281
neighbor	پڑوسی	anticipation	0.281
holiness	پاکیزگی	anticipation	0.273
devil	شیطان	anticipation	0.273
cream	کریم	anticipation	0.273
picket	ٹکٹ	anticipation	0.273
latent	طے شدہ	anticipation	0.273
immaturity	لاپتہ	anticipation	0.273
sentence	جملہ	anticipation	0.273
neighborhood	پڑوسی	anticipation	0.266
morals	اخلاقیات	anticipation	0.266
lull	ہلکے	anticipation	0.266
habitual	عادت	anticipation	0.266
weight	وزن	anticipation	0.258
bye	الوداع	anticipation	0.258
forearm	فورئرم	anticipation	0.250
clown	جواہرات	anticipation	0.250
organ	عضو	anticipation	0.250
quote	اقتباس	anticipation	0.242
commonplace	عام	anticipation	0.242
dictatorship	آمریت	anticipation	0.234
board	بورڈ	anticipation	0.234
white	سفید	anticipation	0.234
treadmill	ٹریڈمل	anticipation	0.234
rail	ریل	anticipation	0.234
sundial	سنجیدگی	anticipation	0.227
tree	درخت	anticipation	0.227
paralysis	پارلیمنٹ	anticipation	0.211
worm	کیڑا	anticipation	0.203
organization	تنظیم	anticipation	0.203
cement	سیمنٹ	anticipation	0.203
lagging	جھگڑا	anticipation	0.180
neutral	غیر جانبدار	anticipation	0.148
cannibalism	کیننبلازم	disgust	0.953
mutilation	تخروپن	disgust	0.930
molestation	جھٹکا	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	گوورراہ	disgust	0.906
rape	عصمت دری	disgust	0.906
cannibal	کیننبل	disgust	0.898
rot	گھڑی	disgust	0.891
corpse	لاشیں	disgust	0.883
massacre	قتل عام	disgust	0.883
excrement	کھدائی	disgust	0.883
slaughter	ذبح	disgust	0.875
barf	NO TRANSLATION	disgust	0.875
slaughterhouse	ذبح ہاؤس	disgust	0.867
rancid	رقاص	disgust	0.859
sewerage	سیوریج	disgust	0.859
incestuous	ناقابل یقین	disgust	0.859
filth	گندگی	disgust	0.859
bigot	بڑا	disgust	0.859
infestation	infestation	disgust	0.852
plague	افسوس	disgust	0.852
bloodthirsty	خونی	disgust	0.852
holocaust	ہالوکاسٹ	disgust	0.852
rotting	روٹنگ	disgust	0.844
maggot	جادوگر	disgust	0.844
feces	پاخانہ	disgust	0.844
fecal	fecal	disgust	0.844
murder	قتل	disgust	0.839
infanticide	بچے بازی	disgust	0.836
homicide	قتل	disgust	0.836
asshole	گدی	disgust	0.836
enslaved	غلامی	disgust	0.836
gore	گورا	disgust	0.828
perverted	خراب	disgust	0.828
torture	تشدد	disgust	0.828
slaughtering	ذبح کرنا	disgust	0.828
excretion	حوصلہ افزائی	disgust	0.828
contaminate	آلودگی	disgust	0.821
murderer	قاتل	disgust	0.820
gory	گوری	disgust	0.820
repugnant	بدبختی	disgust	0.820
desecration	بیداری	disgust	0.820
grotesque	groteque	disgust	0.820
revolting	بغاوت	disgust	0.820
diarrhoea	اسہال	disgust	0.820
manure	کھاد	disgust	0.820
terrorist	دہشت گرد	disgust	0.820
shit	گندگی	disgust	0.820
pervert	خراب	disgust	0.820
slavery	غلامی	disgust	0.812
faeces	faeces	disgust	0.812
sewer	سیور	disgust	0.812
vomit	سورہ	disgust	0.812
manslaughter	ہنسی	disgust	0.812
dismemberment	تباہی	disgust	0.812
cadaver	cadaver	disgust	0.812
hemorrhage	ہجوم	disgust	0.805
repulsive	معتبر	disgust	0.805
perverse	خطرناک	disgust	0.805
filthy	گندی	disgust	0.797
sewage	گندگی	disgust	0.797
depravity	دریافت	disgust	0.797
diseased	بیمار	disgust	0.797
carcass	گدھے	disgust	0.795
decompose	بے حد	disgust	0.789
vermin	ورمین	disgust	0.789
puke	پکن	disgust	0.789
parasite	پرجیوی	disgust	0.789
horrific	خوفناک	disgust	0.789
gruesome	زبردست	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	متعدد	disgust	0.789
murderous	قاتل	disgust	0.789
decayed	خرابی	disgust	0.789
herpes	ہیپس	disgust	0.789
slime	سلیمان	disgust	0.781
flatulence	خوشبو	disgust	0.781
monstrosity	بھوک	disgust	0.781
carnage	قتل عام	disgust	0.781
pestilence	پیدائش	disgust	0.781
malaria	ملیریا	disgust	0.781
crap	پٹا	disgust	0.781
toxic	زہریلا	disgust	0.773
loathsome	غریب	disgust	0.773
insidious	اندیشہ	disgust	0.773
leprosy	جذباتی	disgust	0.773
morgue	مورگیو	disgust	0.773
pus	پیس	disgust	0.773
herpesvirus	ہیپیسویرس	disgust	0.773
whore	کسبی	disgust	0.766
cruel	ظالمانہ	disgust	0.766
repugnance	بدبختی	disgust	0.766
revulsion	تنقید	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	رجسٹر	disgust	0.766
anthrax	انتھراکس	disgust	0.766
lynch	لنچ	disgust	0.766
dissection	کھپت	disgust	0.759
canker	کینکر	disgust	0.758
cruelty	ظلم	disgust	0.758
perversion	پرورش	disgust	0.758
evil	برائی	disgust	0.758
slum	سلیمان	disgust	0.758
infectious	انفیکشن	disgust	0.758
mucous	چپچپا	disgust	0.758
phlegm	دلہن	disgust	0.758
leeches	لچک	disgust	0.750
decomposition	تخریب	disgust	0.750
sinister	اشوب	disgust	0.750
corrupting	خرابی	disgust	0.750
demon	راکشس	disgust	0.742
stinking	گھومنا	disgust	0.742
septic	سیپٹیک	disgust	0.742
deranged	خراب ہو گیا	disgust	0.742
bile	ٹائل	disgust	0.742
soiled	گندا	disgust	0.742
mucus	ممک	disgust	0.742
abhorrence	پریشانی	disgust	0.742
abomination	نفرت	disgust	0.742
sickening	بیمار	disgust	0.742
demonic	شیطان	disgust	0.742
foul	گندے	disgust	0.734
obese	موٹے	disgust	0.734
sicken	بیمار	disgust	0.734
degeneracy	اپنسیسی	disgust	0.734
crucifixion	مصیبت	disgust	0.734
despicable	ناجائز	disgust	0.734
cancer	کینسر	disgust	0.734
atrocity	ظلم	disgust	0.734
terrorism	دہشت گردی	disgust	0.734
dirty	گندی	disgust	0.727
dysentery	ڈسینٹری	disgust	0.727
adultery	زنا	disgust	0.727
contamination	آلودگی	disgust	0.727
bacterium	بیکٹیریم	disgust	0.727
diabolical	شیطان	disgust	0.727
morbidity	مریض	disgust	0.727
grisly	افسوس	disgust	0.727
repulsion	تکرار	disgust	0.727
enema	اینیما	disgust	0.727
contagion	کنجن	disgust	0.719
disfigured	بے نقاب	disgust	0.719
muck	بتھ	disgust	0.719
lewd	لیو	disgust	0.719
garbage	ردی کی ٹوکری	disgust	0.719
autopsy	پوسٹ مارٹم	disgust	0.719
bowels	کشتی	disgust	0.719
gross	مجموعی	disgust	0.719
vulgar	بیہودہ	disgust	0.719
barbaric	جراثیم	disgust	0.719
disgust	نفرت	disgust	0.719
vicious	شیطانی	disgust	0.719
entrails	داخلہ	disgust	0.719
deterioration	خرابی	disgust	0.719
pungent	پھنسے	disgust	0.719
bloodshed	خون کا خون	disgust	0.714
violent	پرتشدد	disgust	0.711
tyrant	ظالم	disgust	0.711
poisoned	زہریلا	disgust	0.711
pollute	آلودگی	disgust	0.711
wretched	خراب	disgust	0.711
nausea	نیزا	disgust	0.711
mortification	موت	disgust	0.711
gag	گھاگ	disgust	0.711
vulgarity	فحش	disgust	0.703
disgusting	نفرت	disgust	0.703
grope	گروپ	disgust	0.703
slut	slut	disgust	0.703
poisoning	زہریلا	disgust	0.703
depraved	خراب	disgust	0.703
noxious	بے چینی	disgust	0.703
porn	فحش	disgust	0.703
nasty	گندی	disgust	0.703
slimy	پتلی	disgust	0.703
despotism	ناپسندی	disgust	0.703
nauseate	غیر جانبدار	disgust	0.703
secretion	مصیبت	disgust	0.703
constipation	قبض	disgust	0.703
hateful	نفرت سے نفرت	disgust	0.703
grime	گرے	disgust	0.703
measles	خسرہ	disgust	0.696
contagious	متعدی	disgust	0.695
hellish	ہیلو	disgust	0.695
waste	فضلہ	disgust	0.695
suicidal	خودکش	disgust	0.695
abuse	بدسلوکی	disgust	0.695
hate	سے نفرت	disgust	0.695
wretch	برائی	disgust	0.695
intestinal	گھسنا	disgust	0.695
wart	وارٹ	disgust	0.695
obesity	موٹاپا	disgust	0.695
scum	گم	disgust	0.695
contaminated	آلودہ	disgust	0.688
disease	بیماری	disgust	0.688
rabid	خرگوش	disgust	0.688
ooze	آلو	disgust	0.688
treason	غداری	disgust	0.688
heartworm	دل کی بیماری	disgust	0.688
smut	تمباکو نوشی	disgust	0.688
cholera	کولرا	disgust	0.680
deformed	بگاڑ دیا	disgust	0.680
detest	جاننا	disgust	0.680
bestial	بہترین	disgust	0.680
sickness	بیماری	disgust	0.680
antichrist	اینٹی مسیح	disgust	0.680
abhorrent	پرجوش	disgust	0.680
soulless	افسوس	disgust	0.680
freakish	پاگل	disgust	0.680
grimy	غمگین	disgust	0.680
hatred	نفرت	disgust	0.680
pollution	آلودگی	disgust	0.680
germ	بیماری	disgust	0.680
abominate	نفرت کرو	disgust	0.680
hell	جہنم	disgust	0.680
dilapidated	خراب	disgust	0.672
dictatorship	آمریت	disgust	0.672
inhuman	غیر انسانی	disgust	0.672
greasy	خوشگوار	disgust	0.672
hideous	پوشیدہ	disgust	0.672
loathful	بے حد	disgust	0.672
obscene	فحش	disgust	0.672
loathing	ڈھیلا	disgust	0.672
cess	سیروس	disgust	0.670
devil	شیطان	disgust	0.664
heretic	ورزش	disgust	0.664
nauseous	غصہ	disgust	0.664
abominable	بدمعاش	disgust	0.664
deformity	اخترتی	disgust	0.664
deadly	مہلک	disgust	0.664
swine	سوائن	disgust	0.664
discrimination	امتیازی سلوک	disgust	0.664
masochism	ماسکوزم	disgust	0.664
poisonous	زہریلا	disgust	0.656
prejudiced	تعصب	disgust	0.656
bacteria	بیکٹیریا	disgust	0.656
death	موت	disgust	0.656
poison	زہر	disgust	0.656
trash	ردی کی ٹوکری	disgust	0.656
abortion	ہراساں کرنا	disgust	0.656
corruption	فساد	disgust	0.656
victimized	مظلوم	disgust	0.656
oppression	جبر	disgust	0.656
goo	goo	disgust	0.656
latrines	لچکدار	disgust	0.656
horror	ہارر	disgust	0.656
horrible	خوفناک	disgust	0.656
nefarious	ناپاک	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	بدمعاش	disgust	0.648
outhouse	گھریلو	disgust	0.648
horrid	افسوس	disgust	0.648
detestation	تنصیب	disgust	0.648
sludge	کیچڑ	disgust	0.648
ugly	بدصورت	disgust	0.648
trashy	ردی کی ٹوکری	disgust	0.648
bitch	کتیا	disgust	0.648
immoral	غیر اخلاقی	disgust	0.648
malfeasance	لاپتہ	disgust	0.641
spew	سپو	disgust	0.641
pimple	موڑ	disgust	0.641
indecency	بے گناہ	disgust	0.641
unsightly	ناراضگی سے	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	ھلنایک	disgust	0.641
cystic	سستک	disgust	0.641
horrifying	خوفناک	disgust	0.641
derogatory	ناجائز	disgust	0.641
laxative	الیکشن	disgust	0.641
criminality	جرمانہ	disgust	0.641
oppressive	ظالمانہ	disgust	0.633
sinful	گنہگار	disgust	0.633
bigoted	بڑا	disgust	0.633
doomsday	قیامت کا دن	disgust	0.633
prostitution	طوائف	disgust	0.633
ulcer	السر	disgust	0.633
secrete	سیکنڈری	disgust	0.633
perpetrator	مجرم	disgust	0.633
rat	چوہا	disgust	0.633
queasy	قطار	disgust	0.633
mildew	mildew	disgust	0.633
dastardly	بدقسمتی سے	disgust	0.625
disgraceful	شرمناک	disgust	0.625
ghastly	ماضی	disgust	0.625
persecution	پریشانی	disgust	0.625
devilish	شیطان	disgust	0.625
degrading	بے حد	disgust	0.625
obscenity	غیر جانبدار	disgust	0.625
fungus	فنگس	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	بدمعاش	disgust	0.625
stools	سٹول	disgust	0.625
suffering	مصیبت	disgust	0.625
contemptible	احتیاط سے	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	پھولا ہوا	disgust	0.625
aghast	ابرسٹ	disgust	0.625
betrayal	دھوکہ	disgust	0.617
guillotine	گلیٹن	disgust	0.617
infect	انفیکشن	disgust	0.617
spoil	خراب ہو	disgust	0.617
tetanus	تیتانوس	disgust	0.617
fat	چربی	disgust	0.617
louse	خوشبو	disgust	0.617
malicious	بدقسمتی سے	disgust	0.617
polygamy	کثرت ازواج	disgust	0.617
crusty	crusty	disgust	0.617
atrocious	زبردست	disgust	0.617
deceit	دھوکہ / فشنگ	disgust	0.617
termite	ٹرمائٹ	disgust	0.617
loathe	loathe	disgust	0.617
wench	وینچ	disgust	0.617
dying	مردہ	disgust	0.617
sickly	بیمار	disgust	0.617
diaper	ڈایپر	disgust	0.617
strangle	اجنبی	disgust	0.617
drool	drool	disgust	0.609
slander	بدمعاش	disgust	0.609
abhor	ابھر	disgust	0.609
venomous	زہریلا	disgust	0.609
brothel	سفاکانہ	disgust	0.609
ghetto	یہودی بستی	disgust	0.609
violently	خلاف ورزی	disgust	0.609
hostile	دشمن	disgust	0.609
sabotage	تخریب	disgust	0.609
deform	اختر	disgust	0.609
bleeding	خون بہاؤ	disgust	0.609
unwashed	ناپسندی	disgust	0.602
lunacy	لالچ	disgust	0.602
imprisonment	قید	disgust	0.602
infidel	افسوس	disgust	0.602
deprivation	محروم	disgust	0.602
traitor	غدار	disgust	0.602
ugliness	بدسورت	disgust	0.602
musty	مٹھائی	disgust	0.602
illicit	غیر قانونی	disgust	0.602
swampy	دلکش	disgust	0.602
poaching	غصہ	disgust	0.602
hag	ہگ	disgust	0.602
butcher	کسائ	disgust	0.594
lunatic	پاگل	disgust	0.594
venom	زہریلا	disgust	0.594
repelling	تکرار	disgust	0.594
thug	ٹھگ	disgust	0.594
misery	مصیبت	disgust	0.594
toilet	ٹوائلٹ	disgust	0.594
slug	سلگ	disgust	0.594
catastrophe	تباہی	disgust	0.594
epidemic	وبا	disgust	0.594
gut	گٹ	disgust	0.594
intoxicated	زہریلا	disgust	0.594
blister	چھالا	disgust	0.594
deceitful	دھوکہ دہی	disgust	0.594
hostility	دشمنیت	disgust	0.594
queasiness	قطار	disgust	0.594
lurid	lurid	disgust	0.594
sinner	گنہگار	disgust	0.594
incubus	انتباہ	disgust	0.586
lavatory	چاول	disgust	0.586
harass	ہراساں کرنا	disgust	0.586
unclean	ناپاک	disgust	0.586
prostitute	طوائف	disgust	0.586
pornography	جنسی اجزاء	disgust	0.586
dreadful	خوفناک	disgust	0.586
deteriorated	خراب ہوگیا	disgust	0.586
appalling	اپنانے	disgust	0.586
unfaithful	بے نظیر	disgust	0.578
rash	رش	disgust	0.578
humiliating	ذلت آمیز	disgust	0.578
ruinous	برباد	disgust	0.578
squeamish	منشیات	disgust	0.578
offensive	جارحانہ	disgust	0.578
conspirator	سازش	disgust	0.578
larceny	لالچی	disgust	0.578
debauchery	مچھر	disgust	0.578
mangle	NO TRANSLATION	disgust	0.578
flea	پسو	disgust	0.578
hypocrite	منافق	disgust	0.578
retard	رکھو	disgust	0.578
fiend	فخر	disgust	0.578
sick	بیمار	disgust	0.578
quagmire	جھگڑا	disgust	0.578
expulsion	اخراج	disgust	0.578
treacherous	غدار	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	توڑ	disgust	0.570
devastating	تباہ کن	disgust	0.570
bastard	حرامزادہ	disgust	0.570
messy	گندا	disgust	0.570
flog	جھگڑا	disgust	0.570
egregious	زبردست	disgust	0.570
swamp	دلدل	disgust	0.570
oppress	ظلم	disgust	0.570
despise	نفرت	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	سانپ	disgust	0.570
snake	سانپ	disgust	0.562
terrible	خوفناک	disgust	0.562
awful	خوفناک	disgust	0.562
harmful	نقصان دہ	disgust	0.562
insanity	جنون	disgust	0.562
indecent	بے حد	disgust	0.562
sordid	سختی	disgust	0.562
loo	لاؤ	disgust	0.562
scoundrel	گراؤنڈ	disgust	0.562
enemy	دشمن	disgust	0.562
stealing	چوری	disgust	0.562
alcoholism	شراب	disgust	0.562
humiliation	ذلت	disgust	0.562
ruthless	بے رحم	disgust	0.562
sloppy	لاپرواہ	disgust	0.562
tyrannical	ظالم	disgust	0.562
harlot	ہارٹٹ	disgust	0.562
sinning	گنہگار	disgust	0.562
robbery	ڈکیتی	disgust	0.555
insufferable	ناقابل یقین	disgust	0.555
arsenic	ارسنک	disgust	0.555
bloody	خونی	disgust	0.555
odious	عجیب	disgust	0.555
ridicule	مذاق	disgust	0.555
atrophy	اسففی	disgust	0.555
beastly	بیشک	disgust	0.555
collusion	الجھن	disgust	0.555
distaste	فاصلہ	disgust	0.555
segregate	الگ	disgust	0.555
discriminating	امتیازی سلوک	disgust	0.555
coward	ساتھی	disgust	0.555
wickedness	بدکاری	disgust	0.555
threatening	دھمکی	disgust	0.555
unattractive	ناجائز	disgust	0.555
slayer	خونی	disgust	0.555
flabby	بہاؤ	disgust	0.555
varicella	varicella	disgust	0.555
miserable	بدقسمتی	disgust	0.547
sty	اسٹائل	disgust	0.547
ogre	اور	disgust	0.547
coercion	جبر	disgust	0.547
thief	چور	disgust	0.547
slur	سوراخ	disgust	0.547
suffocating	گھبراہٹ	disgust	0.547
anathema	عنہا	disgust	0.547
purgatory	جراحی	disgust	0.547
malevolent	ناپسندی	disgust	0.547
bitterly	سختی سے	disgust	0.547
burglar	چور	disgust	0.547
attacking	حملہ	disgust	0.547
vesicular	ویسولر	disgust	0.547
condemnation	مذمت	disgust	0.547
pillage	تکلیف	disgust	0.547
deleterious	بے حد	disgust	0.547
thrash	پھینکنا	disgust	0.539
repellant	دوبارہ	disgust	0.539
repudiation	ردعمل	disgust	0.539
infidelity	بے گناہ	disgust	0.539
liar	جھوٹا	disgust	0.539
fatty	فیٹی	disgust	0.539
gob	گوب	disgust	0.539
sneer	ناراضگی	disgust	0.539
drunken	شرابی	disgust	0.539
disgrace	ذلت	disgust	0.539
shame	شرم	disgust	0.539
jealous	حسد	disgust	0.539
imprisoned	قید	disgust	0.539
pig	سور	disgust	0.539
greedy	لالچی	disgust	0.539
sloth	سلاٹ	disgust	0.539
lethal	مہلک	disgust	0.536
burnt	جلدی	disgust	0.531
aberration	ابلاغ	disgust	0.531
condescension	تعصب	disgust	0.531
hydrocephalus	ہائڈرویسفلس	disgust	0.531
hanging	پھانسی	disgust	0.531
destructive	تباہ کن	disgust	0.531
smuggler	قاچاق	disgust	0.531
intolerant	غیر جانبدار	disgust	0.531
travesty	لچکدار	disgust	0.531
intrusive	اندرونی	disgust	0.531
ruined	برباد	disgust	0.531
withered	متفق	disgust	0.531
disintegrate	ختم ہو جاؤ	disgust	0.531
brawl	جھگڑا	disgust	0.531
blemish	بیوقوف	disgust	0.531
neurotic	نیوروٹو	disgust	0.531
blasphemous	کفر	disgust	0.531
lying	جھوٹ بولا	disgust	0.531
painful	دردناک	disgust	0.531
avarice	avarice	disgust	0.523
disgraced	بدبختی	disgust	0.523
mistress	مالکن	disgust	0.523
disparaging	متفق	disgust	0.523
rubbish	گندگی	disgust	0.523
derogation	وجوہات	disgust	0.523
accusation	الزام	disgust	0.523
intolerance	بدبختی	disgust	0.523
incarceration	بغاوت	disgust	0.523
blighted	خوفناک	disgust	0.523
sump	سکمپ	disgust	0.516
