word	Hausa-ha	emotion	emotion-intensity-score
objective	haƙiƙa	anticipation	0.391
maternal	iyaye	anticipation	0.391
abeyance	lalata	anticipation	0.391
art	art	anticipation	0.391
linger	Linger	anticipation	0.391
trust	dogara	anticipation	0.391
depraved	ɓata	anticipation	0.391
sanctify	tsarkakewa	anticipation	0.391
inoculation	inoculation	anticipation	0.384
chant	gira	anticipation	0.383
banger	banger	anticipation	0.383
playground	filin wasa	anticipation	0.383
failing	kasawa	anticipation	0.383
ship	jirgin	anticipation	0.383
hymn	yabo	anticipation	0.383
simplify	sauƙaƙe	anticipation	0.383
ram	rago	anticipation	0.383
labor	aiki	anticipation	0.383
discretion	hankali	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	kyau	anticipation	0.383
scientist	masanin kimiyya	anticipation	0.383
undecided	undecided	anticipation	0.383
humanitarian	agaji	anticipation	0.383
depend	dogara	anticipation	0.383
dutiful	mai tausayi	anticipation	0.383
clock	agogo	anticipation	0.375
sterling	bakara	anticipation	0.375
mountain	dutse	anticipation	0.375
savor	savor	anticipation	0.375
recurrent	komawa	anticipation	0.375
interim	lokaci lokaci	anticipation	0.375
navigator	mai kulawa	anticipation	0.375
gradual	saurin hankali	anticipation	0.375
interminable	ƙarshe	anticipation	0.375
track	waƙa	anticipation	0.375
public	jama'a	anticipation	0.375
cradle	shimfiɗar jariri	anticipation	0.375
concealed	boye	anticipation	0.367
lesson	darasi	anticipation	0.367
instructions	umarnin	anticipation	0.367
shiver	shiver	anticipation	0.367
musical	m	anticipation	0.367
towering	m	anticipation	0.367
whim	whim	anticipation	0.367
spear	mashi	anticipation	0.367
convince	shawo	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	zauna	anticipation	0.367
biennial	biennial	anticipation	0.367
theology	tauhidin	anticipation	0.359
offset	biya	anticipation	0.359
atone	saka	anticipation	0.359
timidity	timidity	anticipation	0.359
theory	ka'idar	anticipation	0.359
undying	bace	anticipation	0.359
plump	plump	anticipation	0.359
audience	masu sauraro	anticipation	0.357
nobility	nobility	anticipation	0.352
paragon	alamar	anticipation	0.352
dietary	abincin abincin	anticipation	0.352
closure	ƙulli	anticipation	0.352
store	kantin sayar da	anticipation	0.352
localize	gano wuri	anticipation	0.352
cramp	damuwa	anticipation	0.352
daily	kowace rana	anticipation	0.352
kindred	dangi	anticipation	0.352
farm	gona	anticipation	0.352
edition	edition	anticipation	0.352
consecration	tsararwa	anticipation	0.352
archaeology	archeology	anticipation	0.344
mobile	wayar hannu	anticipation	0.344
errand	errand	anticipation	0.344
wireless	mara waya	anticipation	0.344
mutable	mutable	anticipation	0.344
meditate	yi tunani	anticipation	0.344
stripped	kuta	anticipation	0.344
lessen	rage	anticipation	0.336
unaccountable	rashin tabbas	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	yan'uwa	anticipation	0.336
buddy	buddy	anticipation	0.336
unbeaten	unbeaten	anticipation	0.336
germ	ƙwaya	anticipation	0.336
dove	kurciya	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	kintinkiri	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	haƙuri	anticipation	0.328
council	majalisa	anticipation	0.328
possess	mallaki	anticipation	0.328
secular	mutane	anticipation	0.328
chastity	tsarki	anticipation	0.328
disposed	shirya	anticipation	0.320
regularity	tsari akai-akai	anticipation	0.320
mediator	matsakanci	anticipation	0.320
scrutinize	bincikar	anticipation	0.320
fancy	zato	anticipation	0.320
immature	m	anticipation	0.320
infanticide	kashe kansa	anticipation	0.320
heft	sata	anticipation	0.320
preservative	mai kiyayewa	anticipation	0.320
paddle	kullun	anticipation	0.320
cove	cove	anticipation	0.320
denying	musun	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	unpublished	anticipation	0.312
analyst	analyst	anticipation	0.312
grim	grim	anticipation	0.312
church	coci	anticipation	0.312
priesthood	firist	anticipation	0.305
mill	inji	anticipation	0.305
judicial	shari'a	anticipation	0.305
broadside	broadside	anticipation	0.305
tributary	tributary	anticipation	0.297
cap	hat	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	damuwa	anticipation	0.297
instructor	koyarwa	anticipation	0.297
saliva	yaudara	anticipation	0.297
exhaustion	rashin	anticipation	0.297
bruise	kurkusa	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	rashin gida	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	cibiyar sadarwa	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	adiresoshin	anticipation	0.289
noncompliance	rashin amincewa	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	astronomer	anticipation	0.281
neighbor	makwabcin	anticipation	0.281
holiness	tsarki	anticipation	0.273
devil	shaidan	anticipation	0.273
cream	cream	anticipation	0.273
picket	picket	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	immaturity	anticipation	0.273
sentence	jumla	anticipation	0.273
neighborhood	unguwa	anticipation	0.266
morals	halin kirki	anticipation	0.266
lull	lull	anticipation	0.266
habitual	al'ada	anticipation	0.266
weight	nauyi	anticipation	0.258
bye	bye	anticipation	0.258
forearm	forearm	anticipation	0.250
clown	clown	anticipation	0.250
organ	kwaya	anticipation	0.250
quote	faɗar	anticipation	0.242
commonplace	sananne	anticipation	0.242
dictatorship	mulkin kama karya	anticipation	0.234
board	hukumar	anticipation	0.234
white	fararen	anticipation	0.234
treadmill	zane	anticipation	0.234
rail	Rail	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	itace	anticipation	0.227
paralysis	inna	anticipation	0.211
worm	tsutsa	anticipation	0.203
organization	kungiyar	anticipation	0.203
cement	ciminti	anticipation	0.203
lagging	lagging	anticipation	0.180
neutral	tsaka tsaki	anticipation	0.148
cannibalism	cannibalism	disgust	0.953
mutilation	lalata	disgust	0.930
molestation	ci gaba	disgust	0.914
incest	haɗi	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	fyade	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	rot	disgust	0.891
corpse	gawa	disgust	0.883
massacre	kisan gilla	disgust	0.883
excrement	rashi	disgust	0.883
slaughter	kisan	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	kisan ginin	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	tsagewa	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	ƙazanta	disgust	0.859
bigot	babbanot	disgust	0.859
infestation	infestation	disgust	0.852
plague	annoba	disgust	0.852
bloodthirsty	jinin jini	disgust	0.852
holocaust	hadayu	disgust	0.852
rotting	rotting	disgust	0.844
maggot	maggot	disgust	0.844
feces	feces	disgust	0.844
fecal	fecal	disgust	0.844
murder	kisan kai	disgust	0.839
infanticide	kashe kansa	disgust	0.836
homicide	kisan kai	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	bautar	disgust	0.836
gore	gore	disgust	0.828
perverted	karkatar da	disgust	0.828
torture	azabtarwa	disgust	0.828
slaughtering	kisan	disgust	0.828
excretion	raguwa	disgust	0.828
contaminate	gurbata	disgust	0.821
murderer	kisan kai	disgust	0.820
gory	gory	disgust	0.820
repugnant	m	disgust	0.820
desecration	lalata	disgust	0.820
grotesque	grotesque	disgust	0.820
revolting	revolting	disgust	0.820
diarrhoea	zawo	disgust	0.820
manure	taki	disgust	0.820
terrorist	ta'addanci	disgust	0.820
shit	shit	disgust	0.820
pervert	karkata	disgust	0.820
slavery	bautar	disgust	0.812
faeces	faeces	disgust	0.812
sewer	tsagi	disgust	0.812
vomit	vomit	disgust	0.812
manslaughter	kisan kai	disgust	0.812
dismemberment	dismemberment	disgust	0.812
cadaver	cadaver	disgust	0.812
hemorrhage	ciwon jini	disgust	0.805
repulsive	m	disgust	0.805
perverse	rudani	disgust	0.805
filthy	m	disgust	0.797
sewage	tsagi	disgust	0.797
depravity	lalata	disgust	0.797
diseased	marasa lafiya	disgust	0.797
carcass	gawa	disgust	0.795
decompose	decompose	disgust	0.789
vermin	vermin	disgust	0.789
puke	littafin	disgust	0.789
parasite	m	disgust	0.789
horrific	m	disgust	0.789
gruesome	m	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilated	disgust	0.789
murderous	kisan kai	disgust	0.789
decayed	decayed	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	flatulence	disgust	0.781
monstrosity	hauka	disgust	0.781
carnage	kisan	disgust	0.781
pestilence	annoba	disgust	0.781
malaria	malaria	disgust	0.781
crap	crap	disgust	0.781
toxic	mai guba	disgust	0.773
loathsome	abin ƙyama	disgust	0.773
insidious	m	disgust	0.773
leprosy	kuturta	disgust	0.773
morgue	morgue	disgust	0.773
pus	tura	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	karuwa	disgust	0.766
cruel	mugunta	disgust	0.766
repugnance	rushewa	disgust	0.766
revulsion	farfado	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	dissection	disgust	0.759
canker	canker	disgust	0.758
cruelty	mugunta	disgust	0.758
perversion	rushewa	disgust	0.758
evil	mugunta	disgust	0.758
slum	barci	disgust	0.758
infectious	m	disgust	0.758
mucous	mucous	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	hanyoyi	disgust	0.750
decomposition	bazuwar	disgust	0.750
sinister	sinister	disgust	0.750
corrupting	gurbata	disgust	0.750
demon	aljanu	disgust	0.742
stinking	m	disgust	0.742
septic	septic	disgust	0.742
deranged	bare	disgust	0.742
bile	bile	disgust	0.742
soiled	tsafe	disgust	0.742
mucus	ƙulla	disgust	0.742
abhorrence	hauka	disgust	0.742
abomination	abin ƙyama	disgust	0.742
sickening	sickening	disgust	0.742
demonic	demonic	disgust	0.742
foul	m	disgust	0.734
obese	obese	disgust	0.734
sicken	sicken	disgust	0.734
degeneracy	degeneracy	disgust	0.734
crucifixion	gicciye	disgust	0.734
despicable	m	disgust	0.734
cancer	ciwon daji	disgust	0.734
atrocity	atrocity	disgust	0.734
terrorism	ta'addanci	disgust	0.734
dirty	datti	disgust	0.727
dysentery	dysentery	disgust	0.727
adultery	zina	disgust	0.727
contamination	cutar	disgust	0.727
bacterium	kwayoyin	disgust	0.727
diabolical	diabolical	disgust	0.727
morbidity	ciwo	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	sakewa	disgust	0.727
enema	enema	disgust	0.727
contagion	contagion	disgust	0.719
disfigured	disfigured	disgust	0.719
muck	muck	disgust	0.719
lewd	lalata	disgust	0.719
garbage	datti	disgust	0.719
autopsy	autopsy	disgust	0.719
bowels	bowels	disgust	0.719
gross	babban	disgust	0.719
vulgar	m	disgust	0.719
barbaric	barbaric	disgust	0.719
disgust	ƙyama	disgust	0.719
vicious	mugunta	disgust	0.719
entrails	ciki	disgust	0.719
deterioration	lalacewa	disgust	0.719
pungent	pungent	disgust	0.719
bloodshed	zubar da jini	disgust	0.714
violent	tashin hankali	disgust	0.711
tyrant	mai tsanani	disgust	0.711
poisoned	guba	disgust	0.711
pollute	gurbata	disgust	0.711
wretched	mugunta	disgust	0.711
nausea	tashin zuciya	disgust	0.711
mortification	cin hanci	disgust	0.711
gag	gag	disgust	0.711
vulgarity	lalata	disgust	0.703
disgusting	abin banƙyama	disgust	0.703
grope	Girma	disgust	0.703
slut	barci	disgust	0.703
poisoning	guba	disgust	0.703
depraved	ɓata	disgust	0.703
noxious	m	disgust	0.703
porn	batsa	disgust	0.703
nasty	m	disgust	0.703
slimy	slimy	disgust	0.703
despotism	despotism	disgust	0.703
nauseate	nauseate	disgust	0.703
secretion	mugunta	disgust	0.703
constipation	maƙarƙashiya	disgust	0.703
hateful	m	disgust	0.703
grime	gashi	disgust	0.703
measles	kyanda	disgust	0.696
contagious	m	disgust	0.695
hellish	Jahannamah	disgust	0.695
waste	sharar gida	disgust	0.695
suicidal	suicidal	disgust	0.695
abuse	zagi	disgust	0.695
hate	ƙiyayya	disgust	0.695
wretch	mugunta	disgust	0.695
intestinal	na hanji	disgust	0.695
wart	wart	disgust	0.695
obesity	kiba	disgust	0.695
scum	scum	disgust	0.695
contaminated	gurbata	disgust	0.688
disease	cuta	disgust	0.688
rabid	rabid	disgust	0.688
ooze	ooze	disgust	0.688
treason	cin amana	disgust	0.688
heartworm	heartworm	disgust	0.688
smut	smut	disgust	0.688
cholera	kwalara	disgust	0.680
deformed	maras kyau	disgust	0.680
detest	detest	disgust	0.680
bestial	mafi kyau	disgust	0.680
sickness	cuta	disgust	0.680
antichrist	maƙiyin Kristi	disgust	0.680
abhorrent	m	disgust	0.680
soulless	rai	disgust	0.680
freakish	faɗakarwa	disgust	0.680
grimy	grimy	disgust	0.680
hatred	ƙiyayya	disgust	0.680
pollution	gurbata	disgust	0.680
germ	ƙwaya	disgust	0.680
abominate	baƙanci	disgust	0.680
hell	jahannama	disgust	0.680
dilapidated	dilapidated	disgust	0.672
dictatorship	mulkin kama karya	disgust	0.672
inhuman	m	disgust	0.672
greasy	m	disgust	0.672
hideous	hideous	disgust	0.672
loathful	m	disgust	0.672
obscene	rikice	disgust	0.672
loathing	raina	disgust	0.672
cess	Cess	disgust	0.670
devil	shaidan	disgust	0.664
heretic	bidi'a	disgust	0.664
nauseous	nauseous	disgust	0.664
abominable	abin ƙyama	disgust	0.664
deformity	deformity	disgust	0.664
deadly	m	disgust	0.664
swine	aladu	disgust	0.664
discrimination	nuna bambanci	disgust	0.664
masochism	masochism	disgust	0.664
poisonous	guba	disgust	0.656
prejudiced	ƙiyayya	disgust	0.656
bacteria	kwayoyin	disgust	0.656
death	mutuwa	disgust	0.656
poison	guba	disgust	0.656
trash	sharar	disgust	0.656
abortion	zubar da ciki	disgust	0.656
corruption	cin hanci da rashawa	disgust	0.656
victimized	cin zarafi	disgust	0.656
oppression	zalunci	disgust	0.656
goo	goo	disgust	0.656
latrines	latrines	disgust	0.656
horror	tsoro	disgust	0.656
horrible	m	disgust	0.656
nefarious	ba da kariya ba	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	vindictive	disgust	0.648
outhouse	outhouse	disgust	0.648
horrid	tsoro	disgust	0.648
detestation	ƙiyayya	disgust	0.648
sludge	sludge	disgust	0.648
ugly	mummuna	disgust	0.648
trashy	trashy	disgust	0.648
bitch	Ciyawa	disgust	0.648
immoral	lalata	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	spew	disgust	0.641
pimple	misali	disgust	0.641
indecency	lalata	disgust	0.641
unsightly	unsightly	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	villainous	disgust	0.641
cystic	musa	disgust	0.641
horrifying	muni	disgust	0.641
derogatory	derogatory	disgust	0.641
laxative	laxative	disgust	0.641
criminality	laifi	disgust	0.641
oppressive	zalunci	disgust	0.633
sinful	zunubi	disgust	0.633
bigoted	babba	disgust	0.633
doomsday	doomsday	disgust	0.633
prostitution	karuwanci	disgust	0.633
ulcer	ulcer	disgust	0.633
secrete	secrete	disgust	0.633
perpetrator	farfadowa	disgust	0.633
rat	rat	disgust	0.633
queasy	raɗaɗi	disgust	0.633
mildew	mildew	disgust	0.633
dastardly	dastardly	disgust	0.625
disgraceful	abin kunya	disgust	0.625
ghastly	ghastly	disgust	0.625
persecution	tsananta	disgust	0.625
devilish	shaidan	disgust	0.625
degrading	lalata	disgust	0.625
obscenity	lalata	disgust	0.625
fungus	naman gwari	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	gluttony	disgust	0.625
stools	harsuna	disgust	0.625
suffering	wahala	disgust	0.625
contemptible	abin razana	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	m	disgust	0.625
aghast	warst	disgust	0.625
betrayal	cin amana	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	harba	disgust	0.617
spoil	ganimar	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	mai	disgust	0.617
louse	lalata	disgust	0.617
malicious	malicious	disgust	0.617
polygamy	polygamy	disgust	0.617
crusty	crusty	disgust	0.617
atrocious	m	disgust	0.617
deceit	yaudara	disgust	0.617
termite	lokaci	disgust	0.617
loathe	loathe	disgust	0.617
wench	wench	disgust	0.617
dying	mutuwa	disgust	0.617
sickly	rashin lafiya	disgust	0.617
diaper	diaper	disgust	0.617
strangle	baƙi	disgust	0.617
drool	drool	disgust	0.609
slander	ƙiren ƙarya	disgust	0.609
abhor	abhor	disgust	0.609
venomous	venomous	disgust	0.609
brothel	gidan ibada	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	tashin hankali	disgust	0.609
hostile	maƙiya	disgust	0.609
sabotage	sabotage	disgust	0.609
deform	deform	disgust	0.609
bleeding	zub da jini	disgust	0.609
unwashed	unwashed	disgust	0.602
lunacy	lunacy	disgust	0.602
imprisonment	ɗaurin kurkuku	disgust	0.602
infidel	kafiri	disgust	0.602
deprivation	ɓata	disgust	0.602
traitor	satar	disgust	0.602
ugliness	ugliness	disgust	0.602
musty	musty	disgust	0.602
illicit	rashin adalci	disgust	0.602
swampy	swampy	disgust	0.602
poaching	poaching	disgust	0.602
hag	hag	disgust	0.602
butcher	buƙata	disgust	0.594
lunatic	damuwa	disgust	0.594
venom	venom	disgust	0.594
repelling	sake sakewa	disgust	0.594
thug	thug	disgust	0.594
misery	wahala	disgust	0.594
toilet	bayan gida	disgust	0.594
slug	slug	disgust	0.594
catastrophe	hadarin	disgust	0.594
epidemic	annoba	disgust	0.594
gut	gut	disgust	0.594
intoxicated	m	disgust	0.594
blister	damuwa	disgust	0.594
deceitful	yaudara	disgust	0.594
hostility	ƙiyayya	disgust	0.594
queasiness	damuwa	disgust	0.594
lurid	lurid	disgust	0.594
sinner	mai zunubi	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	lavatory	disgust	0.586
harass	damuwa	disgust	0.586
unclean	marar tsarki	disgust	0.586
prostitute	karuwa	disgust	0.586
pornography	batsa	disgust	0.586
dreadful	tsoro	disgust	0.586
deteriorated	ci gaba	disgust	0.586
appalling	abin mamaki	disgust	0.586
unfaithful	m	disgust	0.578
rash	rash	disgust	0.578
humiliating	ƙasƙanci	disgust	0.578
ruinous	lalata	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	m	disgust	0.578
conspirator	conspirator	disgust	0.578
larceny	larceny	disgust	0.578
debauchery	lalata	disgust	0.578
mangle	mangle	disgust	0.578
flea	ƙuma	disgust	0.578
hypocrite	munafuki	disgust	0.578
retard	jinkirta	disgust	0.578
fiend	fiend	disgust	0.578
sick	rashin lafiya	disgust	0.578
quagmire	girgizar ƙasa	disgust	0.578
expulsion	fitar da shi	disgust	0.578
treacherous	mayaudara	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	tofa	disgust	0.570
devastating	yanci	disgust	0.570
bastard	bastard	disgust	0.570
messy	m	disgust	0.570
flog	flog	disgust	0.570
egregious	ba bisa doka ba	disgust	0.570
swamp	swamp	disgust	0.570
oppress	zalunci	disgust	0.570
despise	raina	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	maciji	disgust	0.570
snake	maciji	disgust	0.562
terrible	m	disgust	0.562
awful	m	disgust	0.562
harmful	cutarwa	disgust	0.562
insanity	rashin ƙarfi	disgust	0.562
indecent	almubazzaranci	disgust	0.562
sordid	sordid	disgust	0.562
loo	Ai	disgust	0.562
scoundrel	mai lalata	disgust	0.562
enemy	makiya	disgust	0.562
stealing	sata	disgust	0.562
alcoholism	barasa	disgust	0.562
humiliation	wulakanci	disgust	0.562
ruthless	m	disgust	0.562
sloppy	m	disgust	0.562
tyrannical	cin zarafi	disgust	0.562
harlot	karuwa	disgust	0.562
sinning	zunubi	disgust	0.562
robbery	fashi	disgust	0.555
insufferable	insufficientrable	disgust	0.555
arsenic	arsenic	disgust	0.555
bloody	jini	disgust	0.555
odious	m	disgust	0.555
ridicule	ba'a	disgust	0.555
atrophy	atrophy	disgust	0.555
beastly	wildly	disgust	0.555
collusion	rikici	disgust	0.555
distaste	gurbata	disgust	0.555
segregate	segregate	disgust	0.555
discriminating	nuna bambanci	disgust	0.555
coward	matsorata	disgust	0.555
wickedness	mugunta	disgust	0.555
threatening	barazana	disgust	0.555
unattractive	unattractive	disgust	0.555
slayer	kisa	disgust	0.555
flabby	flabby	disgust	0.555
varicella	varicella	disgust	0.555
miserable	baƙin ciki	disgust	0.547
sty	Sty	disgust	0.547
ogre	ogre	disgust	0.547
coercion	kisa	disgust	0.547
thief	barawo	disgust	0.547
slur	slur	disgust	0.547
suffocating	ci	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	gashi	disgust	0.547
malevolent	yan kasuwa	disgust	0.547
bitterly	m	disgust	0.547
burglar	burglar	disgust	0.547
attacking	kai hare hare	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	yanke hukunci	disgust	0.547
pillage	pillage	disgust	0.547
deleterious	m	disgust	0.547
thrash	fashe	disgust	0.539
repellant	repellant	disgust	0.539
repudiation	sabani	disgust	0.539
infidelity	kafirci	disgust	0.539
liar	makarya	disgust	0.539
fatty	m	disgust	0.539
gob	gob	disgust	0.539
sneer	sneer	disgust	0.539
drunken	giya	disgust	0.539
disgrace	wulakanci	disgust	0.539
shame	kunya	disgust	0.539
jealous	kishi	disgust	0.539
imprisoned	kurkuku	disgust	0.539
pig	alade	disgust	0.539
greedy	m	disgust	0.539
sloth	raguwa	disgust	0.539
lethal	na mutuwa	disgust	0.536
burnt	ƙonawa	disgust	0.531
aberration	aberration	disgust	0.531
condescension	karfin zuciya	disgust	0.531
hydrocephalus	hydrocephalus	disgust	0.531
hanging	rataye	disgust	0.531
destructive	hallakaswa	disgust	0.531
smuggler	smuggler	disgust	0.531
intolerant	m	disgust	0.531
travesty	farfajiya	disgust	0.531
intrusive	intrusive	disgust	0.531
ruined	lalata	disgust	0.531
withered	ƙẽƙasassu	disgust	0.531
disintegrate	disintegrate	disgust	0.531
brawl	brawl	disgust	0.531
blemish	bama	disgust	0.531
neurotic	neurotic	disgust	0.531
blasphemous	sabo	disgust	0.531
lying	kwance	disgust	0.531
painful	mai raɗaɗi	disgust	0.531
avarice	avarice	disgust	0.523
disgraced	abin kunya	disgust	0.523
mistress	farka	disgust	0.523
disparaging	disparaging	disgust	0.523
rubbish	tsabta	disgust	0.523
derogation	sasantawa	disgust	0.523
accusation	zargi	disgust	0.523
intolerance	rashin haƙuri	disgust	0.523
incarceration	kisa	disgust	0.523
blighted	m	disgust	0.523
sump	sump	disgust	0.516
deplorable	deplorable	disgust	0.516
daemon	daemon	disgust	0.516
cringe	cringe	disgust	0.516
degrade	rage	disgust	0.516
gutter	gutter	disgust	0.516
rob	fashi	disgust	0.516
grim	grim	disgust	0.516
defraud	defraud	disgust	0.516
tortious	mai tsanani	disgust	0.516
eradication	karewa	disgust	0.516
stink	wari	disgust	0.516
convict	mai laifin	disgust	0.516
dishonor	wulakanci	disgust	0.516
vulture	yanki	disgust	0.516
remains	ya kasance	disgust	0.516
mite	mite	disgust	0.516
betray	cin amana	disgust	0.516
sham	sham	disgust	0.509
endemic	damuwa	disgust	0.508
bombed	bomb	disgust	0.508
distress	wahala	disgust	0.508
pest	kwaro	disgust	0.508
incurable	wanda ba zai iya ba	disgust	0.508
worthless	maras amfani	disgust	0.508
rejection	kin amincewa	disgust	0.508
distasteful	m	disgust	0.508
schizophrenia	schizophrenia	disgust	0.508
belittle	belittle	disgust	0.508
smelling	smelling	disgust	0.508
cheat	yaudara	disgust	0.508
blob	blob	disgust	0.508
prisoner	fursuna	disgust	0.508
idiocy	idiocy	disgust	0.508
delirium	delirium	disgust	0.508
disaster	bala'i	disgust	0.508
crude	danye	disgust	0.508
resentment	fushi	disgust	0.508
dreadfully	tsoro	disgust	0.508
glut	glut	disgust	0.508
polemic	almara	disgust	0.500
derision	derision	disgust	0.500
idolatry	bautar gumaka	disgust	0.500
taboo	taboo	disgust	0.500
screaming	kururuwa	disgust	0.500
banish	banish	disgust	0.500
dirt	datti	disgust	0.500
goblin	goblin	disgust	0.500
shackle	shackle	disgust	0.500
bribery	bribery	disgust	0.500
flagrant	m	disgust	0.500
jealousy	kishi	disgust	0.500
impurity	rashin tsarki	disgust	0.500
theft	sata	disgust	0.500
bitterness	haushi	disgust	0.500
offense	laifi	disgust	0.500
impeach	impeach	disgust	0.500
blight	Blight	disgust	0.500
duress	duress	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	zari	disgust	0.500
tirade	tirade	disgust	0.500
squirm	squirm	disgust	0.492
robber	robber	disgust	0.492
ill	rashin lafiya	disgust	0.492
unconscionable	maras komai	disgust	0.492
recession	koma bayan tattalin arziki	disgust	0.492
gorge	kwazazzabo	disgust	0.492
wreck	fashe	disgust	0.492
malign	malign	disgust	0.492
boil	tafasa	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	wawa	disgust	0.492
disreputable	disreputable	disgust	0.492
wasteful	maras kyau	disgust	0.484
affliction	cũta	disgust	0.484
stain	gurgu	disgust	0.484
contempt	raini	disgust	0.484
nappy	nappy	disgust	0.484
mutiny	mutiny	disgust	0.484
occult	occult	disgust	0.484
tramp	tattake	disgust	0.484
unbearable	wanda ba dama a jure masa ba	disgust	0.484
offender	laifi	disgust	0.484
servile	bawa	disgust	0.484
contraband	rikitarwa	disgust	0.484
raging	raging	disgust	0.484
snarl	snarl	disgust	0.484
mad	mahaukaci	disgust	0.484
subjugation	subjugation	disgust	0.484
possessed	mallaki	disgust	0.484
animosity	m	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	defamation	disgust	0.484
disrespectful	rashin girmamawa	disgust	0.484
mess	rikici	disgust	0.484
nepotism	nepotism	disgust	0.484
inexcusable	inexcusable	disgust	0.484
pathetic	raɗaɗi	disgust	0.477
unpleasant	m	disgust	0.477
suppression	kawarwa	disgust	0.477
mockery	ba'a	disgust	0.477
palsy	palsy	disgust	0.477
criminal	laifi	disgust	0.477
illegality	rashin bin doka	disgust	0.477
uncaring	ba tare da damu ba	disgust	0.477
antagonistic	antagonistic	disgust	0.477
immorality	lalata	disgust	0.477
dismal	m	disgust	0.477
angry	fushi	disgust	0.469
repellent	m	disgust	0.469
cough	tari	disgust	0.469
arrogant	girman kai	disgust	0.469
grating	grating	disgust	0.469
aggravation	damuwa	disgust	0.469
livid	livid	disgust	0.469
banishment	fitarwa	disgust	0.469
shoddy	shoddy	disgust	0.469
banshee	banshee	disgust	0.469
poverty	talauci	disgust	0.469
wallow	wallow	disgust	0.469
outrage	ƙyama	disgust	0.469
mocking	dariya	disgust	0.469
furious	fushi	disgust	0.469
perspiration	gumi	disgust	0.469
prick	prick	disgust	0.461
recklessness	rashin hankali	disgust	0.461
distorted	gurbata	disgust	0.461
fraudulent	fraudulent	disgust	0.461
spider	gizo-gizo	disgust	0.461
quack	quack	disgust	0.461
perdition	halaka	disgust	0.461
muddy	muddy	disgust	0.461
spurious	m	disgust	0.461
insulting	m	disgust	0.461
scar	scar	disgust	0.461
deceive	yaudara	disgust	0.461
unjustifiable	rashin amincewa	disgust	0.461
fool	wawa	disgust	0.461
deplore	deplore	disgust	0.461
plunder	ganimar	disgust	0.461
aphid	aphid	disgust	0.453
bane	bane	disgust	0.453
indignation	fushi	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	son kai	disgust	0.453
disparage	disparage	disgust	0.453
cur	cur	disgust	0.453
dishonest	rashin gaskiya	disgust	0.453
stigma	lalata	disgust	0.453
eschew	bace	disgust	0.453
antipathy	antipathy	disgust	0.453
alienate	ba da izini ba	disgust	0.453
disingenuous	m	disgust	0.453
elimination	kawarwa	disgust	0.453
unthinkable	wanda ba a iya tsammani ba	disgust	0.453
