word	Pashto-ps	emotion	emotion-intensity-score
reliance	تکیه کول	anticipation	0.398
poke	ټوکه	anticipation	0.391
unfulfilled	ناڅاپه	anticipation	0.391
assurance	ډاډ	anticipation	0.391
condemnation	غندنه	anticipation	0.391
undoubted	بې له شکه	anticipation	0.391
diplomacy	ډیپلوماسۍ	anticipation	0.391
familiarity	پیژندګلوی	anticipation	0.391
antidote	د ضد درملنه	anticipation	0.391
chuckle	غلا	anticipation	0.391
objective	موخه	anticipation	0.391
maternal	مور	anticipation	0.391
abeyance	پاتې کیدل	anticipation	0.391
art	هنر	anticipation	0.391
linger	ژړا	anticipation	0.391
trust	باور	anticipation	0.391
depraved	خراب شوی	anticipation	0.391
sanctify	حرمت وکړئ	anticipation	0.391
inoculation	انضباط	anticipation	0.384
chant	خندا	anticipation	0.383
banger	بینجر	anticipation	0.383
playground	د لوبې ډګر	anticipation	0.383
failing	ناکامۍ	anticipation	0.383
ship	واټن	anticipation	0.383
hymn	حمد	anticipation	0.383
simplify	ساده کول	anticipation	0.383
ram	رام	anticipation	0.383
labor	کار	anticipation	0.383
discretion	اختصاص	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	ښه	anticipation	0.383
scientist	ساینس پوه	anticipation	0.383
undecided	بې ځایه شوی	anticipation	0.383
humanitarian	بشردوستانه	anticipation	0.383
depend	پورې تړاو لري	anticipation	0.383
dutiful	بې رحمه	anticipation	0.383
clock	ساعت	anticipation	0.375
sterling	سټیلنګ	anticipation	0.375
mountain	غرونه	anticipation	0.375
savor	خواړه	anticipation	0.375
recurrent	بیاکتنه	anticipation	0.375
interim	لنډمهاله	anticipation	0.375
navigator	نومونکی	anticipation	0.375
gradual	تدریجی	anticipation	0.375
interminable	مداخله	anticipation	0.375
track	پټه	anticipation	0.375
public	عامه	anticipation	0.375
cradle	پدی	anticipation	0.375
concealed	پټول	anticipation	0.367
lesson	لوست	anticipation	0.367
instructions	لارښوونې	anticipation	0.367
shiver	توره	anticipation	0.367
musical	موسيقي	anticipation	0.367
towering	غرونه	anticipation	0.367
whim	ویاړ	anticipation	0.367
spear	سپک	anticipation	0.367
convince	قانع کول	anticipation	0.367
sonar	سونار	anticipation	0.367
abide	ژوندی	anticipation	0.367
biennial	دوه کلن	anticipation	0.367
theology	نظريه	anticipation	0.359
offset	افشاء	anticipation	0.359
atone	د	anticipation	0.359
timidity	تیریدوالی	anticipation	0.359
theory	تیوري	anticipation	0.359
undying	بې ځایه	anticipation	0.359
plump	ټوپک	anticipation	0.359
audience	لیدونکي	anticipation	0.357
nobility	نیکمرغي	anticipation	0.352
paragon	پارګون	anticipation	0.352
dietary	خواړه	anticipation	0.352
closure	تړل	anticipation	0.352
store	زېرمه	anticipation	0.352
localize	ځایي کول	anticipation	0.352
cramp	درد	anticipation	0.352
daily	هره ورځ	anticipation	0.352
kindred	مهربانۍ	anticipation	0.352
farm	فارم	anticipation	0.352
edition	نسخه	anticipation	0.352
consecration	قناعت ورکول	anticipation	0.352
archaeology	لرغونپوهنه	anticipation	0.344
mobile	ګرځنده	anticipation	0.344
errand	غلطی	anticipation	0.344
wireless	بېسیم	anticipation	0.344
mutable	متغیر	anticipation	0.344
meditate	تمرکز وکړئ	anticipation	0.344
stripped	لرې شوی	anticipation	0.344
lessen	کم شوی	anticipation	0.336
unaccountable	ناباوره وړ	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	ورور	anticipation	0.336
buddy	هلک	anticipation	0.336
unbeaten	ناڅاپه	anticipation	0.336
germ	ګرمه	anticipation	0.336
dove	کڅوړی	anticipation	0.328
digress	هضم	anticipation	0.328
ribbon	ربن	anticipation	0.328
olfactory	زېرمه	anticipation	0.328
patient	ناروغ	anticipation	0.328
council	شورا	anticipation	0.328
possess	لرئ	anticipation	0.328
secular	سیکولر	anticipation	0.328
chastity	عصمت	anticipation	0.328
disposed	سپارل شوي	anticipation	0.320
regularity	منظمیت	anticipation	0.320
mediator	منځګړی	anticipation	0.320
scrutinize	ارزول	anticipation	0.320
fancy	فینسي	anticipation	0.320
immature	ناباوره	anticipation	0.320
infanticide	د ماشومانو وژنه	anticipation	0.320
heft	اوه	anticipation	0.320
preservative	محافظه کار	anticipation	0.320
paddle	پوډل	anticipation	0.320
cove	کوو	anticipation	0.320
denying	انکار	anticipation	0.312
bugle	بلګ	anticipation	0.312
unpublished	ناپېژندل شوی	anticipation	0.312
analyst	شنونکی	anticipation	0.312
grim	ګرانه	anticipation	0.312
church	کلیسا	anticipation	0.312
priesthood	کښتۍ	anticipation	0.305
mill	مل	anticipation	0.305
judicial	قضايي	anticipation	0.305
broadside	بروډیډیډ	anticipation	0.305
tributary	پیژندنه	anticipation	0.297
cap	کیپ	anticipation	0.297
thermocouple	توروکوپل	anticipation	0.297
dismay	ویره	anticipation	0.297
instructor	ښوونکى	anticipation	0.297
saliva	لارو	anticipation	0.297
exhaustion	تنفس	anticipation	0.297
bruise	زخم	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	بې کوره	anticipation	0.289
visor	ویزې	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	شبکه	anticipation	0.289
shackle	ټوټه	anticipation	0.289
addresses	پته	anticipation	0.289
noncompliance	ناباوره کول	anticipation	0.289
cataract	موټرایټ	anticipation	0.289
skewed	خوله شوی	anticipation	0.281
astronomer	ستورپوهنه	anticipation	0.281
neighbor	ګاونډی	anticipation	0.281
holiness	پاکۍ	anticipation	0.273
devil	شیطان	anticipation	0.273
cream	کریم	anticipation	0.273
picket	پیټ	anticipation	0.273
latent	لنډمهاله	anticipation	0.273
immaturity	ناامني	anticipation	0.273
sentence	سزا	anticipation	0.273
neighborhood	ګاونډی	anticipation	0.266
morals	اخلاقيات	anticipation	0.266
lull	غوږ	anticipation	0.266
habitual	عادت	anticipation	0.266
weight	وزن	anticipation	0.258
bye	د خدای په امان	anticipation	0.258
forearm	فورم	anticipation	0.250
clown	ځمکه	anticipation	0.250
organ	سازمان	anticipation	0.250
quote	ټکي	anticipation	0.242
commonplace	عام ځای	anticipation	0.242
dictatorship	ديکتاتوري	anticipation	0.234
board	بورډ	anticipation	0.234
white	سپین	anticipation	0.234
treadmill	تکمیل	anticipation	0.234
rail	رېل	anticipation	0.234
sundial	سوډالیل	anticipation	0.227
tree	ونه	anticipation	0.227
paralysis	پارلسيز	anticipation	0.211
worm	کورت	anticipation	0.203
organization	سازمان	anticipation	0.203
cement	سیمنټ	anticipation	0.203
lagging	ټکونه	anticipation	0.180
neutral	بې طرفه	anticipation	0.148
cannibalism	کوبیلالیزم	disgust	0.953
mutilation	تنفس کول	disgust	0.930
molestation	تاوان	disgust	0.914
incest	انسټیټیوټ	disgust	0.914
gonorrhea	ګونوریا	disgust	0.906
rape	جنسي تیري	disgust	0.906
cannibal	نوبل	disgust	0.898
rot	روټ	disgust	0.891
corpse	مرکه	disgust	0.883
massacre	وژنې	disgust	0.883
excrement	ککړتیا	disgust	0.883
slaughter	وژنه	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	وژنه	disgust	0.867
rancid	ناراضه	disgust	0.859
sewerage	سيند	disgust	0.859
incestuous	بې رحمه	disgust	0.859
filth	خندا	disgust	0.859
bigot	ستره	disgust	0.859
infestation	انفجار	disgust	0.852
plague	تغیر	disgust	0.852
bloodthirsty	وینې	disgust	0.852
holocaust	هالوکوست	disgust	0.852
rotting	ویرول	disgust	0.844
maggot	مګګټ	disgust	0.844
feces	ټوټې	disgust	0.844
fecal	فیزل	disgust	0.844
murder	وژنه	disgust	0.839
infanticide	د ماشومانو وژنه	disgust	0.836
homicide	وژنه	disgust	0.836
asshole	گدی	disgust	0.836
enslaved	غلا شوی	disgust	0.836
gore	ډوډۍ	disgust	0.828
perverted	خراب شوی	disgust	0.828
torture	شکنجې	disgust	0.828
slaughtering	وژنه	disgust	0.828
excretion	خوځښت	disgust	0.828
contaminate	ککړتيا	disgust	0.821
murderer	قاتل	disgust	0.820
gory	ګوری	disgust	0.820
repugnant	ناڅاپه	disgust	0.820
desecration	توپان	disgust	0.820
grotesque	گرټوک	disgust	0.820
revolting	بغاوت کول	disgust	0.820
diarrhoea	نس ناستی	disgust	0.820
manure	څاروی	disgust	0.820
terrorist	ترهګر	disgust	0.820
shit	شیټ	disgust	0.820
pervert	خرابول	disgust	0.820
slavery	غلامۍ	disgust	0.812
faeces	غوږونه	disgust	0.812
sewer	سيند	disgust	0.812
vomit	ومنل	disgust	0.812
manslaughter	لاسي	disgust	0.812
dismemberment	ټوټه ټوټه	disgust	0.812
cadaver	کډوال	disgust	0.812
hemorrhage	هډوکي	disgust	0.805
repulsive	تکرار	disgust	0.805
perverse	ناڅاپه	disgust	0.805
filthy	خندا	disgust	0.797
sewage	ساه	disgust	0.797
depravity	درغلۍ	disgust	0.797
diseased	ناروغ	disgust	0.797
carcass	غصب	disgust	0.795
decompose	له منځه وړل	disgust	0.789
vermin	واټن	disgust	0.789
puke	پیوستون	disgust	0.789
parasite	پرازیت	disgust	0.789
horrific	افسوس	disgust	0.789
gruesome	سخته	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	متقابل	disgust	0.789
murderous	وژنه	disgust	0.789
decayed	قضاوت	disgust	0.789
herpes	هیپونه	disgust	0.789
slime	سلیزه	disgust	0.781
flatulence	لوړېدل	disgust	0.781
monstrosity	بېوزلۍ	disgust	0.781
carnage	غصب	disgust	0.781
pestilence	جراحی	disgust	0.781
malaria	ملاریا	disgust	0.781
crap	ټوټه	disgust	0.781
toxic	زهرجن	disgust	0.773
loathsome	لوېدیځ	disgust	0.773
insidious	اندیښمن	disgust	0.773
leprosy	تنفس	disgust	0.773
morgue	مورګی	disgust	0.773
pus	مخ	disgust	0.773
herpesvirus	هیپیسویرس	disgust	0.773
whore	وينه	disgust	0.766
cruel	ظالمانه	disgust	0.766
repugnance	تکرار	disgust	0.766
revulsion	تاوان	disgust	0.766
xenophobia	ایکسینفوبیا	disgust	0.766
regurgitation	راجستر	disgust	0.766
anthrax	انټراکس	disgust	0.766
lynch	لینچ	disgust	0.766
dissection	اختطاف	disgust	0.759
canker	کانکر	disgust	0.758
cruelty	ظلم	disgust	0.758
perversion	بدلون	disgust	0.758
evil	بد	disgust	0.758
slum	غره	disgust	0.758
infectious	انفجار	disgust	0.758
mucous	مغز	disgust	0.758
phlegm	فاګم	disgust	0.758
leeches	لچکونه	disgust	0.750
decomposition	تخریب	disgust	0.750
sinister	سګرټ	disgust	0.750
corrupting	فاسد کول	disgust	0.750
demon	شیطان	disgust	0.742
stinking	وهل	disgust	0.742
septic	سپتیک	disgust	0.742
deranged	له منځه وړي	disgust	0.742
bile	تڼۍ	disgust	0.742
soiled	غوړ شوی	disgust	0.742
mucus	مغز	disgust	0.742
abhorrence	بښنه	disgust	0.742
abomination	ککړتيا	disgust	0.742
sickening	ناروغی	disgust	0.742
demonic	شیطان	disgust	0.742
foul	غلا	disgust	0.734
obese	موجوديت	disgust	0.734
sicken	ناروغ	disgust	0.734
degeneracy	اپینورسیسی	disgust	0.734
crucifixion	مصرف	disgust	0.734
despicable	ناڅاپه	disgust	0.734
cancer	سرطان	disgust	0.734
atrocity	ظلم	disgust	0.734
terrorism	ترهګري	disgust	0.734
dirty	ناڅاپه	disgust	0.727
dysentery	ډیزاین	disgust	0.727
adultery	زنا	disgust	0.727
contamination	ککړتيا	disgust	0.727
bacterium	باکتریایم	disgust	0.727
diabolical	ډابوليکي	disgust	0.727
morbidity	ناروغۍ	disgust	0.727
grisly	سخته	disgust	0.727
repulsion	تاوان	disgust	0.727
enema	انیما	disgust	0.727
contagion	ککړتیا	disgust	0.719
disfigured	بېلې شوې	disgust	0.719
muck	بویه	disgust	0.719
lewd	لیوال	disgust	0.719
garbage	غالۍ	disgust	0.719
autopsy	خپل ځان	disgust	0.719
bowels	خواړه	disgust	0.719
gross	مجموعه	disgust	0.719
vulgar	غریب	disgust	0.719
barbaric	وحشي	disgust	0.719
disgust	ناڅاپه	disgust	0.719
vicious	شیطان	disgust	0.719
entrails	ننوتل	disgust	0.719
deterioration	خرابیدل	disgust	0.719
pungent	پوندین	disgust	0.719
bloodshed	وینې وینې	disgust	0.714
violent	تاوتریخوالی	disgust	0.711
tyrant	ظالم	disgust	0.711
poisoned	زه زهر شوی يم	disgust	0.711
pollute	ککړتيا	disgust	0.711
wretched	خراب شوی	disgust	0.711
nausea	نسیسا	disgust	0.711
mortification	مړینه	disgust	0.711
gag	ګيګ	disgust	0.711
vulgarity	ناڅاپه	disgust	0.703
disgusting	بې شرمه	disgust	0.703
grope	ګروپ	disgust	0.703
slut	غلام	disgust	0.703
poisoning	زهرجن	disgust	0.703
depraved	خراب شوی	disgust	0.703
noxious	زړورتیا	disgust	0.703
porn	فحش	disgust	0.703
nasty	چټل	disgust	0.703
slimy	خوږه	disgust	0.703
despotism	توقیف	disgust	0.703
nauseate	ناڅاپه	disgust	0.703
secretion	حساسیت	disgust	0.703
constipation	قبضه کول	disgust	0.703
hateful	نفرت	disgust	0.703
grime	ګرام	disgust	0.703
measles	خوله	disgust	0.696
contagious	متضاد	disgust	0.695
hellish	هیلوش	disgust	0.695
waste	ضایع کول	disgust	0.695
suicidal	ځان وژونکی	disgust	0.695
abuse	ناوړه ګټه اخیستنه	disgust	0.695
hate	نفرت	disgust	0.695
wretch	وریچ	disgust	0.695
intestinal	انتاني	disgust	0.695
wart	واټ	disgust	0.695
obesity	موټری	disgust	0.695
scum	سکوم	disgust	0.695
contaminated	ککړ شوی	disgust	0.688
disease	ناروغۍ	disgust	0.688
rabid	سپکاوی	disgust	0.688
ooze	اوز کړئ	disgust	0.688
treason	غداري	disgust	0.688
heartworm	دلسوونکی	disgust	0.688
smut	غوږ	disgust	0.688
cholera	کولرا	disgust	0.680
deformed	ککړ شوی	disgust	0.680
detest	ویرول	disgust	0.680
bestial	ښه	disgust	0.680
sickness	ناروغۍ	disgust	0.680
antichrist	ضد	disgust	0.680
abhorrent	خوندور	disgust	0.680
soulless	بده مرغه	disgust	0.680
freakish	ځړول	disgust	0.680
grimy	ژړا	disgust	0.680
hatred	نفرت	disgust	0.680
pollution	ککړتيا	disgust	0.680
germ	ګرمه	disgust	0.680
abominate	زیانمن کړئ	disgust	0.680
hell	دوزخ	disgust	0.680
dilapidated	خراب وي	disgust	0.672
dictatorship	ديکتاتوري	disgust	0.672
inhuman	غیر انساني	disgust	0.672
greasy	غوړ	disgust	0.672
hideous	پټونکی	disgust	0.672
loathful	ناڅاپه	disgust	0.672
obscene	غصب	disgust	0.672
loathing	لرې کول	disgust	0.672
cess	سیف	disgust	0.670
devil	شیطان	disgust	0.664
heretic	ژوندی	disgust	0.664
nauseous	ناڅاپه	disgust	0.664
abominable	ناڅاپه	disgust	0.664
deformity	ککړتیا	disgust	0.664
deadly	وژنه	disgust	0.664
swine	سوین	disgust	0.664
discrimination	تبعیض	disgust	0.664
masochism	ماسکوزم	disgust	0.664
poisonous	زهرجن	disgust	0.656
prejudiced	تعصب شوی	disgust	0.656
bacteria	باکتریا	disgust	0.656
death	مړینه	disgust	0.656
poison	زهر	disgust	0.656
trash	کوډ	disgust	0.656
abortion	سقط	disgust	0.656
corruption	فساد	disgust	0.656
victimized	قربانی شوی	disgust	0.656
oppression	ظلم	disgust	0.656
goo	goo	disgust	0.656
latrines	تشنابونه	disgust	0.656
horror	ډار	disgust	0.656
horrible	ډارونکی	disgust	0.656
nefarious	ناڅاپه	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	وحشیانه	disgust	0.648
outhouse	outhouse	disgust	0.648
horrid	خندا	disgust	0.648
detestation	توقیف	disgust	0.648
sludge	غوسه	disgust	0.648
ugly	بدمرغه	disgust	0.648
trashy	تیری	disgust	0.648
bitch	کښته	disgust	0.648
immoral	غیر اخلاقي	disgust	0.648
malfeasance	ناڅاپه	disgust	0.641
spew	سپو	disgust	0.641
pimple	مڼه	disgust	0.641
indecency	بې سواده	disgust	0.641
unsightly	ناڅاپه	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	ناڅاپه	disgust	0.641
cystic	سسټیک	disgust	0.641
horrifying	ډارونکی	disgust	0.641
derogatory	ناڅاپه	disgust	0.641
laxative	زغم	disgust	0.641
criminality	جرم	disgust	0.641
oppressive	ظالمانه	disgust	0.633
sinful	ګناهګار	disgust	0.633
bigoted	لوی شوی	disgust	0.633
doomsday	قیامت	disgust	0.633
prostitution	زړورتيا	disgust	0.633
ulcer	السرس	disgust	0.633
secrete	جریان	disgust	0.633
perpetrator	مرتکب	disgust	0.633
rat	سور	disgust	0.633
queasy	قطار	disgust	0.633
mildew	mildew	disgust	0.633
dastardly	خندا	disgust	0.625
disgraceful	بې رحمه	disgust	0.625
ghastly	بده	disgust	0.625
persecution	ځورونې	disgust	0.625
devilish	شیطان	disgust	0.625
degrading	خرابیدل	disgust	0.625
obscenity	غصب	disgust	0.625
fungus	فنګس	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	ګلوټوني	disgust	0.625
stools	غله	disgust	0.625
suffering	درد	disgust	0.625
contemptible	حساس	disgust	0.625
cuckold	کڅوړه	disgust	0.625
bloated	غوړ شوی	disgust	0.625
aghast	عاجل	disgust	0.625
betrayal	خيانت	disgust	0.617
guillotine	ګیلیوټین	disgust	0.617
infect	متاثره کول	disgust	0.617
spoil	خرابه شوه	disgust	0.617
tetanus	تیتانوس	disgust	0.617
fat	غوړ	disgust	0.617
louse	مېړه	disgust	0.617
malicious	ناوړه	disgust	0.617
polygamy	کثافات	disgust	0.617
crusty	زړور	disgust	0.617
atrocious	ظالمانه	disgust	0.617
deceit	غلا	disgust	0.617
termite	اوږد مهاله	disgust	0.617
loathe	لوټی	disgust	0.617
wench	واښه	disgust	0.617
dying	مړه کيږي	disgust	0.617
sickly	ناروغ	disgust	0.617
diaper	ډایپر	disgust	0.617
strangle	اجنډا	disgust	0.617
drool	پری	disgust	0.609
slander	بښونکی	disgust	0.609
abhor	خوره	disgust	0.609
venomous	ناڅاپه	disgust	0.609
brothel	بوټۍ	disgust	0.609
ghetto	ګوتو	disgust	0.609
violently	سرغړونه	disgust	0.609
hostile	دښمنان	disgust	0.609
sabotage	سباوټ	disgust	0.609
deform	ککړتیا	disgust	0.609
bleeding	وینې وینې	disgust	0.609
unwashed	ناڅاپه	disgust	0.602
lunacy	غوسه	disgust	0.602
imprisonment	حبس	disgust	0.602
infidel	کافر	disgust	0.602
deprivation	محرومیت	disgust	0.602
traitor	غصب	disgust	0.602
ugliness	غصب	disgust	0.602
musty	ماته	disgust	0.602
illicit	غیرقانوني	disgust	0.602
swampy	خندا	disgust	0.602
poaching	خندا	disgust	0.602
hag	هګ	disgust	0.602
butcher	قصاب	disgust	0.594
lunatic	لونټیک	disgust	0.594
venom	venom	disgust	0.594
repelling	تکرار	disgust	0.594
thug	غلا	disgust	0.594
misery	بدبختۍ	disgust	0.594
toilet	تشناب	disgust	0.594
slug	غوراوي	disgust	0.594
catastrophe	آفت وژونکی	disgust	0.594
epidemic	ایډیدیمیک	disgust	0.594
gut	غوږ	disgust	0.594
intoxicated	زهرجن شوی	disgust	0.594
blister	غوړ	disgust	0.594
deceitful	غلا	disgust	0.594
hostility	دښمنۍ	disgust	0.594
queasiness	لیرې کول	disgust	0.594
lurid	لند	disgust	0.594
sinner	ګناهکار	disgust	0.594
incubus	انبوبس	disgust	0.586
lavatory	غوړ	disgust	0.586
harass	ځورول	disgust	0.586
unclean	ناپاک	disgust	0.586
prostitute	فاسد	disgust	0.586
pornography	نښې نښانې	disgust	0.586
dreadful	ډارونکی	disgust	0.586
deteriorated	خراب شوی	disgust	0.586
appalling	ناڅاپه	disgust	0.586
unfaithful	بې رحمه	disgust	0.578
rash	غوړ	disgust	0.578
humiliating	سپکاوی کول	disgust	0.578
ruinous	ویجاړونکی	disgust	0.578
squeamish	سلام	disgust	0.578
offensive	سرغړونه	disgust	0.578
conspirator	سازش	disgust	0.578
larceny	لارسي	disgust	0.578
debauchery	مباحثه	disgust	0.578
mangle	منګل	disgust	0.578
flea	پټه	disgust	0.578
hypocrite	منافق	disgust	0.578
retard	تیریدل	disgust	0.578
fiend	خوښ	disgust	0.578
sick	ناروغ	disgust	0.578
quagmire	کګرمیر	disgust	0.578
expulsion	اخراج	disgust	0.578
treacherous	خیانت	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	سپک	disgust	0.570
devastating	ویجاړونکی	disgust	0.570
bastard	ارمونى	disgust	0.570
messy	خندا	disgust	0.570
flog	بوی	disgust	0.570
egregious	متفاوت	disgust	0.570
swamp	ډډه کول	disgust	0.570
oppress	ظلم	disgust	0.570
despise	ناڅاپه	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	ناپاک	disgust	0.570
snake	سانپ	disgust	0.562
terrible	ناوړه	disgust	0.562
awful	ډارونکی	disgust	0.562
harmful	زیانمنونکی	disgust	0.562
insanity	بې شرمۍ	disgust	0.562
indecent	بې وسه	disgust	0.562
sordid	سرډیډ	disgust	0.562
loo	هو	disgust	0.562
scoundrel	ګوتو	disgust	0.562
enemy	دښمن	disgust	0.562
stealing	غلا کول	disgust	0.562
alcoholism	شراب	disgust	0.562
humiliation	ذلت	disgust	0.562
ruthless	بې رحمه	disgust	0.562
sloppy	زوړ	disgust	0.562
tyrannical	ظالمانه	disgust	0.562
harlot	هارډټ	disgust	0.562
sinning	ګناه کول	disgust	0.562
robbery	غلا	disgust	0.555
insufferable	ناڅاپه	disgust	0.555
arsenic	آرسنسي	disgust	0.555
bloody	وینې	disgust	0.555
odious	خیر	disgust	0.555
ridicule	خندا	disgust	0.555
atrophy	هوایی	disgust	0.555
beastly	په زړه پورې	disgust	0.555
collusion	کولی	disgust	0.555
distaste	تاوان	disgust	0.555
segregate	جلا کول	disgust	0.555
discriminating	تبعیض	disgust	0.555
coward	ساتونکی	disgust	0.555
wickedness	بد	disgust	0.555
threatening	ګواښول	disgust	0.555
unattractive	ناڅاپه	disgust	0.555
slayer	لرې	disgust	0.555
flabby	چټکۍ	disgust	0.555
varicella	ويريلا	disgust	0.555
miserable	بدبخته	disgust	0.547
sty	سټیټ	disgust	0.547
ogre	د	disgust	0.547
coercion	تاوان	disgust	0.547
thief	چور	disgust	0.547
slur	لرې کړئ	disgust	0.547
suffocating	ماتول	disgust	0.547
anathema	اناتما	disgust	0.547
purgatory	بغاوت	disgust	0.547
malevolent	کمزوری	disgust	0.547
bitterly	تیریږي	disgust	0.547
burglar	چورلکه	disgust	0.547
attacking	برید کول	disgust	0.547
vesicular	ویزیکول	disgust	0.547
condemnation	غندنه	disgust	0.547
pillage	غلا	disgust	0.547
deleterious	خراب	disgust	0.547
thrash	غلا کول	disgust	0.539
repellant	تکرار	disgust	0.539
repudiation	تکرار	disgust	0.539
infidelity	بدبختۍ	disgust	0.539
liar	دروغ	disgust	0.539
fatty	غوړ	disgust	0.539
gob	ګوب	disgust	0.539
sneer	سينه	disgust	0.539
drunken	شرک	disgust	0.539
disgrace	خفه کول	disgust	0.539
shame	شرم	disgust	0.539
jealous	حسد	disgust	0.539
imprisoned	بندي شوی	disgust	0.539
pig	سور	disgust	0.539
greedy	لالچی	disgust	0.539
sloth	غوټۍ	disgust	0.539
lethal	وژونکی	disgust	0.536
burnt	سوځول	disgust	0.531
aberration	تاوان	disgust	0.531
condescension	تعقیب	disgust	0.531
hydrocephalus	هايدروسفالس	disgust	0.531
hanging	ځړول	disgust	0.531
destructive	ویجاړونکی	disgust	0.531
smuggler	قاچاق وړونکي	disgust	0.531
intolerant	ناخبره	disgust	0.531
travesty	تاوان	disgust	0.531
intrusive	ځړول	disgust	0.531
ruined	ویجاړ شوی	disgust	0.531
withered	تاوان	disgust	0.531
disintegrate	ویجاړ کړئ	disgust	0.531
brawl	شخړه	disgust	0.531
blemish	بې رحمه	disgust	0.531
neurotic	نیورټوټ	disgust	0.531
blasphemous	کفر	disgust	0.531
lying	دروغ دی	disgust	0.531
painful	دردناک	disgust	0.531
avarice	د واورې	disgust	0.523
disgraced	خپه شوی	disgust	0.523
mistress	مالګې	disgust	0.523
disparaging	توپیر	disgust	0.523
rubbish	ټوپک	disgust	0.523
derogation	تکرار	disgust	0.523
accusation	تورونه	disgust	0.523
intolerance	ناخبره	disgust	0.523
incarceration	بندیز	disgust	0.523
blighted	بده مرغه	disgust	0.523
sump	ټوپک	disgust	0.516
deplorable	ناڅاپه	disgust	0.516
daemon	daemon	disgust	0.516
cringe	کښته	disgust	0.516
degrade	ړنګول	disgust	0.516
gutter	ګټر	disgust	0.516
rob	غلا کول	disgust	0.516
grim	ګرانه	disgust	0.516
defraud	ککړتیا	disgust	0.516
tortious	شکنجې	disgust	0.516
eradication	له منځه وړل	disgust	0.516
stink	ټکول	disgust	0.516
convict	محکوم کول	disgust	0.516
dishonor	بې شرمه	disgust	0.516
vulture	خندا	disgust	0.516
remains	پاتې دي	disgust	0.516
mite	میتود	disgust	0.516
betray	خيانت	disgust	0.516
sham	شام	disgust	0.509
endemic	ډډیمیک	disgust	0.508
bombed	بمبار شوی	disgust	0.508
distress	مصیبت	disgust	0.508
pest	آفت	disgust	0.508
incurable	مناسب	disgust	0.508
worthless	بې ارزښته	disgust	0.508
rejection	رد کول	disgust	0.508
distasteful	ناڅاپه	disgust	0.508
schizophrenia	schizophrenia	disgust	0.508
belittle	بېړه	disgust	0.508
smelling	بوخت	disgust	0.508
cheat	غلا وکړه	disgust	0.508
blob	بلب	disgust	0.508
prisoner	بنديان	disgust	0.508
idiocy	idiocy	disgust	0.508
delirium	Delirium	disgust	0.508
disaster	ناورین	disgust	0.508
crude	خام	disgust	0.508
resentment	تاوان	disgust	0.508
dreadfully	په زړه پورې	disgust	0.508
glut	لوټ	disgust	0.508
polemic	فقه	disgust	0.500
derision	تاوان	disgust	0.500
idolatry	بتګړه	disgust	0.500
taboo	ممنوع	disgust	0.500
screaming	چيغې وهل	disgust	0.500
banish	بندیز	disgust	0.500
dirt	مايع	disgust	0.500
goblin	ګوبل	disgust	0.500
shackle	ټوټه	disgust	0.500
bribery	رشوت ورکول	disgust	0.500
flagrant	flagrant	disgust	0.500
jealousy	حسد	disgust	0.500
impurity	ناامني	disgust	0.500
theft	غلا	disgust	0.500
bitterness	سخته	disgust	0.500
offense	جرم	disgust	0.500
impeach	خنډ	disgust	0.500
blight	ویره	disgust	0.500
duress	پیوستون	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	لالچ	disgust	0.500
tirade	ټیرډ	disgust	0.500
squirm	ټوپک	disgust	0.492
robber	غلا	disgust	0.492
ill	ناروغ	disgust	0.492
unconscionable	ناڅاپه	disgust	0.492
recession	تاوان	disgust	0.492
gorge	ګرده	disgust	0.492
wreck	ټوټه	disgust	0.492
malign	ناسم	disgust	0.492
boil	باندی	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idiot	disgust	0.492
disreputable	ناڅاپه	disgust	0.492
wasteful	ضایع شوی	disgust	0.484
affliction	تاوان	disgust	0.484
stain	ډډ	disgust	0.484
contempt	سپکاوی	disgust	0.484
nappy	ناڅاپه	disgust	0.484
mutiny	متقابل	disgust	0.484
occult	سپکاوی	disgust	0.484
tramp	ټراپ	disgust	0.484
unbearable	بې بنسټه	disgust	0.484
offender	مجرم	disgust	0.484
servile	خدمتونه	disgust	0.484
contraband	کنډک	disgust	0.484
raging	زنګونه	disgust	0.484
snarl	انځور	disgust	0.484
mad	ګرانه	disgust	0.484
subjugation	ضمیمه	disgust	0.484
possessed	درلود	disgust	0.484
animosity	ښکاري	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	افترا	disgust	0.484
disrespectful	بې رحمه	disgust	0.484
mess	خندا	disgust	0.484
