word	Igbo-ig	emotion	emotion-intensity-score
punt	ụtụ	anticipation	0.461
sanctuary	ebe nsọ	anticipation	0.461
brilliant	brilliant	anticipation	0.461
pay	akwụ ụgwọ	anticipation	0.461
shining	enwu	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	nkwa	anticipation	0.461
jeopardy	egwu	anticipation	0.461
perpetuity	na mgbe ebighi ebi	anticipation	0.453
elegance	dị mma	anticipation	0.453
career	ọrụ	anticipation	0.453
basketball	basketball	anticipation	0.453
intimately	nke ọma	anticipation	0.453
renovate	ndozi	anticipation	0.453
supremacy	elu	anticipation	0.453
infinity	ebighi ebi	anticipation	0.453
unexpected	atụghị anya ya	anticipation	0.453
flinch	flinch	anticipation	0.453
complement	kwadoro	anticipation	0.453
prologue	okwu mmalite	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	mgbochi	anticipation	0.453
improve	meziwanye	anticipation	0.453
sunset	ọdịda anyanwụ	anticipation	0.453
inaugural	inaugural	anticipation	0.453
rehabilitation	nhazi	anticipation	0.453
fitting	kwesịrị ekwesị	anticipation	0.445
surround	gbara gburugburu	anticipation	0.445
share	ịkekọrịta	anticipation	0.445
epidemic	ntiwapụ	anticipation	0.445
sweet	ụtọ	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	ezo	anticipation	0.445
confidence	obi ike	anticipation	0.445
perfect	zuru okè	anticipation	0.445
sun	anyanwụ	anticipation	0.445
veracity	eziokwu	anticipation	0.445
volunteer	wepụtara onwe ya	anticipation	0.445
conjecture	echiche	anticipation	0.445
medical	ọgwụ	anticipation	0.438
prepared	kwadebere	anticipation	0.438
superstitious	nkwenkwe ụgha	anticipation	0.438
reconstruction	nwughari	anticipation	0.438
tickle	akọrọ	anticipation	0.438
faith	okwukwe	anticipation	0.438
passenger	njem	anticipation	0.438
saint	saint	anticipation	0.438
respect	nkwanye ùgwù	anticipation	0.438
rabid	rabid	anticipation	0.438
reconstruct	nwughari	anticipation	0.438
recombination	recombination	anticipation	0.438
devout	obi ebere	anticipation	0.438
goodness	ịdị mma	anticipation	0.438
angel	mmụọ ozi	anticipation	0.438
ferment	nri	anticipation	0.438
plea	arịọ	anticipation	0.438
aloha	ima	anticipation	0.438
serial	usoro ihe omume	anticipation	0.438
conservation	nchekwa	anticipation	0.438
serenity	obi iru ala	anticipation	0.430
tabulate	dee	anticipation	0.430
install	tinye	anticipation	0.430
labyrinth	uzo	anticipation	0.430
venerable	mara mma	anticipation	0.430
perpetuate	aga n'ihu	anticipation	0.430
strategist	onye nduzi	anticipation	0.430
unverified	unverified	anticipation	0.430
tribunal	ikpe ikpe	anticipation	0.430
charitable	ebere	anticipation	0.430
luscious	obi ụtọ	anticipation	0.430
spa	spa	anticipation	0.430
peace	udo	anticipation	0.430
clap	kpoo	anticipation	0.430
conspirator	onye nkwekọrịta	anticipation	0.422
forestall	na-echekwa	anticipation	0.422
patience	ndidi	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	egwu	anticipation	0.422
revere	asọpụrụ	anticipation	0.422
worship	efe ofufe	anticipation	0.422
vista	vista	anticipation	0.422
laughter	ịchị ọchị	anticipation	0.422
volatility	volatility	anticipation	0.422
adrift	adrift	anticipation	0.422
candid	eziokwu	anticipation	0.422
edification	edozi	anticipation	0.422
unresolved	edozibeghị	anticipation	0.422
peaceful	udo	anticipation	0.422
recognizable	achọpụta	anticipation	0.422
calls	oku	anticipation	0.414
weigh	tụọ	anticipation	0.414
probation	nwa oge	anticipation	0.414
proficiency	ogo	anticipation	0.414
morn	ụtụtụ	anticipation	0.414
craps	craps	anticipation	0.414
detainee	detainee	anticipation	0.414
mediate	na-agbasa	anticipation	0.414
continue	gaa n'ihu	anticipation	0.414
astrologer	onye na-agụ kpakpando	anticipation	0.414
punctual	oge	anticipation	0.414
ordination	nhazi	anticipation	0.414
pretty	mara mma	anticipation	0.414
thought	chere	anticipation	0.414
grant	nye	anticipation	0.414
withstand	eguzogide	anticipation	0.414
frisky	ike	anticipation	0.414
ongoing	aga n'ihu	anticipation	0.414
sing	na-abụ abụ	anticipation	0.411
long	ogologo	anticipation	0.406
confession	nkwupụta	anticipation	0.406
headlight	isi oriọna	anticipation	0.406
prophylactic	prophylactic	anticipation	0.406
mother	nne	anticipation	0.406
debenture	ndebanye ego	anticipation	0.406
wizard	ọkachamara	anticipation	0.406
university	mahadum	anticipation	0.406
proud	mpako	anticipation	0.406
midwife	midwife	anticipation	0.406
banquet	oriri	anticipation	0.406
continuation	n'ihu	anticipation	0.406
navigable	ụgbọ mmiri	anticipation	0.406
punished	ahụhụ	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	nkasi obi	anticipation	0.406
opponent	onye iro	anticipation	0.406
subscribe	denye aha	anticipation	0.406
outdo	outdo	anticipation	0.406
nurture	zụlite	anticipation	0.406
twinkle	twinkle	anticipation	0.406
deal	eme	anticipation	0.402
efficient	nke oma	anticipation	0.398
representing	na-anọchi anya	anticipation	0.398
simmer	simmer	anticipation	0.398
symphony	nchịkọta	anticipation	0.398
judiciary	ikpe ikpe	anticipation	0.398
obliging	iwu	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	anya	anticipation	0.398
death	ọnwụ	anticipation	0.398
distracting	na-adọpụ uche	anticipation	0.398
mortification	mmebi	anticipation	0.398
balm	balm	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	n'elu	anticipation	0.398
lettered	ndetu	anticipation	0.398
reliance	ndabere	anticipation	0.398
poke	aru	anticipation	0.391
unfulfilled	emezughị	anticipation	0.391
assurance	mmesi obi ike	anticipation	0.391
condemnation	ikpe	anticipation	0.391
undoubted	obi abụọ adịghị ya	anticipation	0.391
diplomacy	diplomacy	anticipation	0.391
familiarity	maara ihe	anticipation	0.391
antidote	ngwọta	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	ihe mgbaru ọsọ	anticipation	0.391
maternal	nne	anticipation	0.391
abeyance	ịbịa	anticipation	0.391
art	nka	anticipation	0.391
linger	echere	anticipation	0.391
trust	tụkwasị obi	anticipation	0.391
depraved	abaghị uru	anticipation	0.391
sanctify	doo nsọ	anticipation	0.391
inoculation	inoculation	anticipation	0.384
chant	abụ	anticipation	0.383
banger	banger	anticipation	0.383
playground	ebe egwuregwu	anticipation	0.383
failing	ada ada	anticipation	0.383
ship	ụgbọ mmiri	anticipation	0.383
hymn	abụ	anticipation	0.383
simplify	mee mfe	anticipation	0.383
ram	ebule	anticipation	0.383
labor	arụ ọrụ	anticipation	0.383
discretion	ezi uche	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	mma	anticipation	0.383
scientist	ọkà mmụta sayensị	anticipation	0.383
undecided	undecided	anticipation	0.383
humanitarian	ndi mmadu	anticipation	0.383
depend	adabere	anticipation	0.383
dutiful	dị mma	anticipation	0.383
clock	elekere	anticipation	0.375
sterling	ọ bụ	anticipation	0.375
mountain	ugwu	anticipation	0.375
savor	esi ísì ụtọ	anticipation	0.375
recurrent	na-agaghachi azụ	anticipation	0.375
interim	ogologo oge	anticipation	0.375
navigator	ọkwọ ụgbọ mmiri	anticipation	0.375
gradual	nwayọọ nwayọọ	anticipation	0.375
interminable	adịghị mma	anticipation	0.375
track	egwu	anticipation	0.375
public	ọha	anticipation	0.375
cradle	nwa	anticipation	0.375
concealed	zoro ezo	anticipation	0.367
lesson	nkuzi	anticipation	0.367
instructions	ntụziaka	anticipation	0.367
shiver	shiver	anticipation	0.367
musical	egwu	anticipation	0.367
towering	elu	anticipation	0.367
whim	whim	anticipation	0.367
spear	ube	anticipation	0.367
convince	kwenye	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	nọgide	anticipation	0.367
biennial	biennial	anticipation	0.367
theology	nkà mmụta okpukpe	anticipation	0.359
offset	iwe	anticipation	0.359
atone	atone	anticipation	0.359
timidity	ihere	anticipation	0.359
theory	nkwupụta	anticipation	0.359
undying	enweghị	anticipation	0.359
plump	ngwa ngwa	anticipation	0.359
audience	ndị na-ege ntị	anticipation	0.357
nobility	mba	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	nri	anticipation	0.352
closure	mmechi	anticipation	0.352
store	ụlọ ahịa	anticipation	0.352
localize	chọta	anticipation	0.352
cramp	mgbochi	anticipation	0.352
daily	kwa ụbọchị	anticipation	0.352
kindred	agbụrụ	anticipation	0.352
farm	ugbo	anticipation	0.352
edition	mbipụta	anticipation	0.352
consecration	nhazi	anticipation	0.352
archaeology	nkà mmụta ihe ochie	anticipation	0.344
mobile	mobile	anticipation	0.344
errand	ozi	anticipation	0.344
wireless	wireless	anticipation	0.344
mutable	ekwu okwu	anticipation	0.344
meditate	tụgharịa uche	anticipation	0.344
stripped	ewepu	anticipation	0.344
lessen	belata	anticipation	0.336
unaccountable	enweghị ike	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	nwanne	anticipation	0.336
buddy	enyi	anticipation	0.336
unbeaten	unbeaten	anticipation	0.336
germ	ọ bụ	anticipation	0.336
dove	nduru	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	mpempe akwụkwọ	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	ndidi	anticipation	0.328
council	nzukọ	anticipation	0.328
possess	nwere	anticipation	0.328
secular	ego	anticipation	0.328
chastity	ịdị ọcha	anticipation	0.328
disposed	achọrọ	anticipation	0.320
regularity	mgbe niile	anticipation	0.320
mediator	onye ogbugbo	anticipation	0.320
scrutinize	nyochaa	anticipation	0.320
fancy	fancy	anticipation	0.320
immature	akaghi aka	anticipation	0.320
infanticide	igbu nwa	anticipation	0.320
heft	na-agba	anticipation	0.320
preservative	onye nche	anticipation	0.320
paddle	paddle	anticipation	0.320
cove	anya	anticipation	0.320
denying	na-agọnahụ	anticipation	0.312
bugle	bube	anticipation	0.312
unpublished	enweghị akwụkwọ	anticipation	0.312
analyst	nyocha	anticipation	0.312
grim	oke	anticipation	0.312
church	ụka	anticipation	0.312
priesthood	ndị nchụàjà	anticipation	0.305
mill	igwe igwe	anticipation	0.305
judicial	ikpe	anticipation	0.305
broadside	sara mbara	anticipation	0.305
tributary	ndi mmadu	anticipation	0.297
cap	okpu	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	nhụsianya	anticipation	0.297
instructor	onye nkuzi	anticipation	0.297
saliva	afụ	anticipation	0.297
exhaustion	ike ọgwụgwụ	anticipation	0.297
bruise	ọnya	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	enweghị ebe obibi	anticipation	0.289
visor	nleta	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	netwọk	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	adreesị	anticipation	0.289
noncompliance	nkwenye	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	na-eche	anticipation	0.281
astronomer	onye na-enyocha mbara igwe	anticipation	0.281
neighbor	onye agbata obi	anticipation	0.281
holiness	ịdị nsọ	anticipation	0.273
devil	Ekwensu	anticipation	0.273
cream	ude	anticipation	0.273
picket	osisi	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	imaturity	anticipation	0.273
sentence	ikpe	anticipation	0.273
neighborhood	agbata	anticipation	0.266
morals	omume ọma	anticipation	0.266
lull	lull	anticipation	0.266
habitual	emekarị	anticipation	0.266
weight	arọ	anticipation	0.258
bye	bye	anticipation	0.258
forearm	ebu agha	anticipation	0.250
clown	ncha	anticipation	0.250
organ	ngwa	anticipation	0.250
quote	ikwu okwu	anticipation	0.242
commonplace	ebe niile	anticipation	0.242
dictatorship	ọchịchị aka ike	anticipation	0.234
board	osisi	anticipation	0.234
white	ọcha	anticipation	0.234
treadmill	mgbidi	anticipation	0.234
rail	okporo ígwè	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	osisi	anticipation	0.227
paralysis	ahụ mkpọnwụ	anticipation	0.211
worm	ikpuru	anticipation	0.203
organization	nzukọ	anticipation	0.203
cement	ciment	anticipation	0.203
lagging	agbaghara	anticipation	0.180
neutral	anọpụ iche	anticipation	0.148
cannibalism	cannibalism	disgust	0.953
mutilation	nbibi	disgust	0.930
molestation	nsogbu	disgust	0.914
incest	agbata	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	mmeko nwoke	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	ire ere	disgust	0.891
corpse	ozu	disgust	0.883
massacre	mgbuchapụ	disgust	0.883
excrement	nsị	disgust	0.883
slaughter	igbu	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	ulo mkpocha	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	sewerage	disgust	0.859
incestuous	obi ebere	disgust	0.859
filth	ure	disgust	0.859
bigot	nnukwu	disgust	0.859
infestation	nbanye	disgust	0.852
plague	ọrịa	disgust	0.852
bloodthirsty	ọbara ọbara	disgust	0.852
holocaust	ịchụ àjà	disgust	0.852
rotting	ntụgharị	disgust	0.844
maggot	maggot	disgust	0.844
feces	feces	disgust	0.844
fecal	fecal	disgust	0.844
murder	igbu ọchụ	disgust	0.839
infanticide	igbu nwa	disgust	0.836
homicide	igbu ọchụ	disgust	0.836
asshole	Ike	disgust	0.836
enslaved	ohu	disgust	0.836
gore	gore	disgust	0.828
perverted	mebiri	disgust	0.828
torture	ịta ahụhụ	disgust	0.828
slaughtering	igbu egbu	disgust	0.828
excretion	excretion	disgust	0.828
contaminate	merụọ	disgust	0.821
murderer	onye na-egbu ọchụ	disgust	0.820
gory	gory	disgust	0.820
repugnant	na-asọ oyi	disgust	0.820
desecration	adịghị ọcha	disgust	0.820
grotesque	grotesque	disgust	0.820
revolting	nnupụisi	disgust	0.820
diarrhoea	afọ ọsịsa	disgust	0.820
manure	nri	disgust	0.820
terrorist	na-eyi ọha egwu	disgust	0.820
shit	shit	disgust	0.820
pervert	gbagwoju anya	disgust	0.820
slavery	ịgba ohu	disgust	0.812
faeces	ọ dị mma	disgust	0.812
sewer	nsị	disgust	0.812
vomit	vomit	disgust	0.812
manslaughter	igbu mmadu	disgust	0.812
dismemberment	nkwenye	disgust	0.812
cadaver	cadaver	disgust	0.812
hemorrhage	ọbara ọgbụgba	disgust	0.805
repulsive	na-asọ oyi	disgust	0.805
perverse	omume rụrụ arụ	disgust	0.805
filthy	rụrụ arụ	disgust	0.797
sewage	mmiri mmiri	disgust	0.797
depravity	mmebi iwu	disgust	0.797
diseased	ọrịa	disgust	0.797
carcass	ozu	disgust	0.795
decompose	decompose	disgust	0.789
vermin	mpi	disgust	0.789
puke	akwukwo	disgust	0.789
parasite	parasaiti	disgust	0.789
horrific	egwu	disgust	0.789
gruesome	egwu	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilated	disgust	0.789
murderous	igbu ọchụ	disgust	0.789
decayed	decayed	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	flatulence	disgust	0.781
monstrosity	ego	disgust	0.781
carnage	mmebi	disgust	0.781
pestilence	ọrịa na-efe efe	disgust	0.781
malaria	ịba	disgust	0.781
crap	ncha	disgust	0.781
toxic	egbu egbu	disgust	0.773
loathsome	ihe arụ	disgust	0.773
insidious	ihe ojoo	disgust	0.773
leprosy	ekpenta	disgust	0.773
morgue	morgue	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	akwụna	disgust	0.766
cruel	obi ọjọọ	disgust	0.766
repugnance	na-asọ oyi	disgust	0.766
revulsion	nnupụisi	disgust	0.766
xenophobia	ntinye	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	dissection	disgust	0.759
canker	ike	disgust	0.758
cruelty	obi ọjọọ	disgust	0.758
perversion	akpaghasị	disgust	0.758
evil	ọjọọ	disgust	0.758
slum	ezumike	disgust	0.758
infectious	na-efe efe	disgust	0.758
mucous	mucous	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	anya	disgust	0.750
decomposition	decomposition	disgust	0.750
sinister	dị njọ	disgust	0.750
corrupting	emebi	disgust	0.750
demon	mmụọ ọjọọ	disgust	0.742
stinking	na-agwụ ike	disgust	0.742
septic	septic	disgust	0.742
deranged	gbapụ	disgust	0.742
bile	bile	disgust	0.742
soiled	edozi	disgust	0.742
mucus	agba	disgust	0.742
abhorrence	asọpụrụ	disgust	0.742
abomination	ihe arụ	disgust	0.742
sickening	ọrịa	disgust	0.742
demonic	ndị mmụọ ọjọọ	disgust	0.742
foul	aghara	disgust	0.734
obese	obese	disgust	0.734
sicken	sicken	disgust	0.734
degeneracy	degeneracy	disgust	0.734
crucifixion	crucifixion	disgust	0.734
despicable	ihe jọgburu onwe ya	disgust	0.734
cancer	cancer	disgust	0.734
atrocity	atrocity	disgust	0.734
terrorism	iyi ọha egwu	disgust	0.734
dirty	unyi	disgust	0.727
dysentery	ọnyụnyụ ọbara	disgust	0.727
adultery	ịkwa iko	disgust	0.727
contamination	nje	disgust	0.727
bacterium	nje	disgust	0.727
diabolical	ekwensu	disgust	0.727
morbidity	ezighi ezi	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	nkwụsị	disgust	0.727
enema	enema	disgust	0.727
contagion	na-efe efe	disgust	0.719
disfigured	disfigured	disgust	0.719
muck	elu	disgust	0.719
lewd	omume rụrụ arụ	disgust	0.719
garbage	ahihia	disgust	0.719
autopsy	nke nwere ike ime	disgust	0.719
bowels	obi	disgust	0.719
gross	oke	disgust	0.719
vulgar	nzuzu	disgust	0.719
barbaric	ụba	disgust	0.719
disgust	akparị	disgust	0.719
vicious	obi ọjọọ	disgust	0.719
entrails	nabata	disgust	0.719
deterioration	njọ	disgust	0.719
pungent	dị egwu	disgust	0.719
bloodshed	ịwụfu ọbara	disgust	0.714
violent	eme ihe ike	disgust	0.711
tyrant	onye isi ike	disgust	0.711
poisoned	nsi	disgust	0.711
pollute	mmetọ	disgust	0.711
wretched	wretched	disgust	0.711
nausea	nausea	disgust	0.711
mortification	mmebi	disgust	0.711
gag	gag	disgust	0.711
vulgarity	abaghị uru	disgust	0.703
disgusting	na-asọ oyi	disgust	0.703
grope	grope	disgust	0.703
slut	ezumike	disgust	0.703
poisoning	nsi	disgust	0.703
depraved	abaghị uru	disgust	0.703
noxious	ihe ojoo	disgust	0.703
porn	porn	disgust	0.703
nasty	mkpari	disgust	0.703
slimy	slimy	disgust	0.703
despotism	enweghị nkwenye	disgust	0.703
nauseate	nauseate	disgust	0.703
secretion	arụ ọrụ	disgust	0.703
constipation	njigide	disgust	0.703
hateful	kpọrọ asị	disgust	0.703
grime	ihe ndozi	disgust	0.703
measles	ọrịa	disgust	0.696
contagious	na-efe efe	disgust	0.695
hellish	hellish	disgust	0.695
waste	n'efu	disgust	0.695
suicidal	igbu onwe ya	disgust	0.695
abuse	mmegbu	disgust	0.695
hate	ịkpọasị	disgust	0.695
wretch	ajọ	disgust	0.695
intestinal	eriri afọ	disgust	0.695
wart	wart	disgust	0.695
obesity	oke ibu	disgust	0.695
scum	scum	disgust	0.695
contaminated	emerụ	disgust	0.688
disease	ọrịa	disgust	0.688
rabid	rabid	disgust	0.688
ooze	gbanye	disgust	0.688
treason	mkpesa	disgust	0.688
heartworm	obi	disgust	0.688
smut	smut	disgust	0.688
cholera	cholera	disgust	0.680
deformed	deformed	disgust	0.680
detest	asị	disgust	0.680
bestial	kacha mma	disgust	0.680
sickness	ọrịa	disgust	0.680
antichrist	onye na-emegide Kraịst	disgust	0.680
abhorrent	ihere	disgust	0.680
soulless	enweghị mkpụrụ obi	disgust	0.680
freakish	freakish	disgust	0.680
grimy	grimy	disgust	0.680
hatred	ịkpọasị	disgust	0.680
pollution	mmetọ	disgust	0.680
germ	ọ bụ	disgust	0.680
abominate	kpọrọ asị	disgust	0.680
hell	hell	disgust	0.680
dilapidated	dilapidated	disgust	0.672
dictatorship	ọchịchị aka ike	disgust	0.672
inhuman	ndị obi ọjọọ	disgust	0.672
greasy	kegriiz	disgust	0.672
hideous	ezo	disgust	0.672
loathful	akparị	disgust	0.672
obscene	ihe rụrụ arụ	disgust	0.672
loathing	akparị	disgust	0.672
cess	kwụsịrị	disgust	0.670
devil	Ekwensu	disgust	0.664
heretic	onye nwere okwukwe	disgust	0.664
nauseous	nauseous	disgust	0.664
abominable	abominable	disgust	0.664
deformity	nrụrụ	disgust	0.664
deadly	egbu egbu	disgust	0.664
swine	ezì	disgust	0.664
discrimination	ịkpa ókè	disgust	0.664
masochism	masochism	disgust	0.664
poisonous	nsi	disgust	0.656
prejudiced	ajọ mbunobi	disgust	0.656
bacteria	nje bacteria	disgust	0.656
death	ọnwụ	disgust	0.656
poison	nsi	disgust	0.656
trash	ahịhịa	disgust	0.656
abortion	ite ime	disgust	0.656
corruption	nrụrụ aka	disgust	0.656
victimized	emegbu	disgust	0.656
oppression	mmegbu	disgust	0.656
goo	goo	disgust	0.656
latrines	latrines	disgust	0.656
horror	egwu	disgust	0.656
horrible	jọgburu onwe ya	disgust	0.656
nefarious	adịghị njọ	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	na-agbagha	disgust	0.648
outhouse	ụlọ	disgust	0.648
horrid	horrid	disgust	0.648
detestation	mmejọ	disgust	0.648
sludge	sludge	disgust	0.648
ugly	jọgburu onwe ya	disgust	0.648
trashy	ahịhịa	disgust	0.648
bitch	bitch	disgust	0.648
immoral	omume rụrụ arụ	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	ngwa	disgust	0.641
pimple	ụdị	disgust	0.641
indecency	omume rụrụ arụ	disgust	0.641
unsightly	unsightly	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	na-emerụ ahụ	disgust	0.641
cystic	cystic	disgust	0.641
horrifying	egwu	disgust	0.641
derogatory	derogatory	disgust	0.641
laxative	laxative	disgust	0.641
criminality	omekome	disgust	0.641
oppressive	mmegbu	disgust	0.633
sinful	mmehie	disgust	0.633
bigoted	echekwa	disgust	0.633
doomsday	doomsday	disgust	0.633
prostitution	akwụna	disgust	0.633
ulcer	ọnyá afọ	disgust	0.633
secrete	secrete	disgust	0.633
perpetrator	onye ndu	disgust	0.633
rat	oke	disgust	0.633
queasy	ndokwa	disgust	0.633
mildew	agha	disgust	0.633
dastardly	ngwa ngwa	disgust	0.625
disgraceful	ihere	disgust	0.625
ghastly	ghastly	disgust	0.625
persecution	mkpagbu	disgust	0.625
devilish	ekwensu	disgust	0.625
degrading	eweda ala	disgust	0.625
obscenity	okwu njakịrị	disgust	0.625
fungus	ero	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	ịṅụbiga mmanya ókè	disgust	0.625
stools	oche	disgust	0.625
suffering	ahụhụ	disgust	0.625
contemptible	dị njọ	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	acha ọkụ	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	aghụghọ	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	ọnya	disgust	0.617
spoil	ihe nkwata	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	abụba	disgust	0.617
louse	mechie	disgust	0.617
malicious	obi	disgust	0.617
polygamy	ịlụ nwanyị	disgust	0.617
crusty	kịtịkpa	disgust	0.617
atrocious	ike	disgust	0.617
deceit	aghụghọ	disgust	0.617
termite	termite	disgust	0.617
loathe	na-ahụ anya	disgust	0.617
wench	wench	disgust	0.617
dying	ọnwụ	disgust	0.617
sickly	arịa ọrịa	disgust	0.617
diaper	ederede	disgust	0.617
strangle	nya	disgust	0.617
drool	drool	disgust	0.609
slander	nkwutọ	disgust	0.609
abhor	ihere	disgust	0.609
venomous	vom	disgust	0.609
brothel	ụlọ nsọ	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	ike	disgust	0.609
hostile	onye iro	disgust	0.609
sabotage	nchikota	disgust	0.609
deform	deform	disgust	0.609
bleeding	ọbara ọgbụgba	disgust	0.609
unwashed	unwashed	disgust	0.602
lunacy	onyeisi	disgust	0.602
imprisonment	mkpọrọ	disgust	0.602
infidel	onye na-ekweghị ekwe	disgust	0.602
deprivation	abaghị uru	disgust	0.602
traitor	onye ngha	disgust	0.602
ugliness	ugliness	disgust	0.602
musty	musty	disgust	0.602
illicit	ezighi ezi	disgust	0.602
swampy	swampy	disgust	0.602
poaching	nhazi	disgust	0.602
hag	hag	disgust	0.602
butcher	onye na-egbu anụ	disgust	0.594
lunatic	akpa ume	disgust	0.594
venom	venom	disgust	0.594
repelling	na-agbapụta	disgust	0.594
thug	mechie	disgust	0.594
misery	nhụsianya	disgust	0.594
toilet	ụlọ mposi	disgust	0.594
slug	slug	disgust	0.594
catastrophe	ọdachi	disgust	0.594
epidemic	ntiwapụ	disgust	0.594
gut	gut	disgust	0.594
intoxicated	mmanya	disgust	0.594
blister	ọnya	disgust	0.594
deceitful	aghụghọ	disgust	0.594
hostility	iro	disgust	0.594
queasiness	dị nro	disgust	0.594
lurid	agha	disgust	0.594
sinner	mmehie	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	lavatory	disgust	0.586
harass	nsogbu	disgust	0.586
unclean	adịghị ọcha	disgust	0.586
prostitute	akwụna	disgust	0.586
pornography	foto gba ọtọ	disgust	0.586
dreadful	egwu	disgust	0.586
deteriorated	njọ	disgust	0.586
appalling	na-eju anya	disgust	0.586
unfaithful	ekwesịghị ntụkwasị obi	disgust	0.578
rash	ọkụ ọkụ	disgust	0.578
humiliating	ihere	disgust	0.578
ruinous	mbibi	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	iwe	disgust	0.578
conspirator	onye nkwekọrịta	disgust	0.578
larceny	akwa ụra	disgust	0.578
debauchery	ịkwa iko	disgust	0.578
mangle	mangle	disgust	0.578
flea	uba	disgust	0.578
hypocrite	onye ihu abụọ	disgust	0.578
retard	nkwụsị	disgust	0.578
fiend	ọkụnd	disgust	0.578
sick	ọrịa	disgust	0.578
quagmire	nkwụsịtụ	disgust	0.578
expulsion	nchụpụ	disgust	0.578
treacherous	aghụghọ	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	afụ ọnụ	disgust	0.570
devastating	ihe ojoo	disgust	0.570
bastard	Enwe nne enwe nna	disgust	0.570
messy	ihe ojoo	disgust	0.570
flog	afu	disgust	0.570
egregious	egregious	disgust	0.570
swamp	apiti	disgust	0.570
oppress	mmegbu	disgust	0.570
despise	leda anya	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	agwọ	disgust	0.570
snake	agwọ	disgust	0.562
terrible	egwu	disgust	0.562
awful	egwu	disgust	0.562
harmful	emerụ	disgust	0.562
insanity	adịghị ọcha	disgust	0.562
indecent	adịghị mma	disgust	0.562
sordid	sordid	disgust	0.562
loo	Lee	disgust	0.562
scoundrel	onye na-ama jijiji	disgust	0.562
enemy	onye iro	disgust	0.562
stealing	izu ohi	disgust	0.562
alcoholism	aṅụrụma	disgust	0.562
humiliation	mmechuihu	disgust	0.562
ruthless	enweghị obi ebere	disgust	0.562
sloppy	nkwụsị	disgust	0.562
tyrannical	na-achị achị	disgust	0.562
harlot	nwanyị akwụna	disgust	0.562
sinning	eme mmehie	disgust	0.562
robbery	izu ohi	disgust	0.555
insufferable	ezighi ezi	disgust	0.555
arsenic	arsenic	disgust	0.555
bloody	ọbara	disgust	0.555
odious	jọgburu onwe ya	disgust	0.555
ridicule	akwa emo	disgust	0.555
atrophy	atrophy	disgust	0.555
beastly	anụ ọhịa	disgust	0.555
collusion	nkwekọrịta	disgust	0.555
distaste	gbasaa	disgust	0.555
segregate	segregate	disgust	0.555
discriminating	ịkpa ókè	disgust	0.555
coward	ụjọ	disgust	0.555
wickedness	ajọ omume	disgust	0.555
threatening	egwu	disgust	0.555
unattractive	adịghị mma	disgust	0.555
slayer	egbu ọchụ	disgust	0.555
