word	Yoruba-yo	emotion	emotion-intensity-score
eventual	eventual	anticipation	0.492
perspective	irisi	anticipation	0.492
restorative	isọdọtun	anticipation	0.492
undertaking	igbiyanju	anticipation	0.492
highest	ga	anticipation	0.491
duel	duel	anticipation	0.484
unexplained	unexplained	anticipation	0.484
tremor	tremor	anticipation	0.484
sharpen	ṣe atunṣe	anticipation	0.484
generosity	ojurere	anticipation	0.484
voluptuous	voluptuous	anticipation	0.484
shortly	ni kete	anticipation	0.484
vow	ẹjẹ jẹ	anticipation	0.484
contagion	contagion	anticipation	0.484
letter	lẹta ti o wa	anticipation	0.484
happen	ṣẹlẹ	anticipation	0.484
threaten	Irokeke	anticipation	0.484
conjure	conjure	anticipation	0.484
sparkle	sparkle	anticipation	0.484
engulf	binu	anticipation	0.484
god	ọlọrun	anticipation	0.484
correspondence	lẹta	anticipation	0.484
auspicious	aṣeyọri	anticipation	0.484
princely	ọmọ ọba	anticipation	0.484
adore	fẹran	anticipation	0.477
enroll	fi orukọ silẹ	anticipation	0.477
determinate	ti pari	anticipation	0.477
predispose	predispose	anticipation	0.477
clue	itọkasi	anticipation	0.477
onset	ibẹrẹ	anticipation	0.477
powerful	lagbara	anticipation	0.477
glorify	ṣe ogo	anticipation	0.477
glow	alábá	anticipation	0.477
arbitration	idajọ	anticipation	0.477
torture	iwa ipọnju	anticipation	0.477
gravitate	gravitate	anticipation	0.477
cherish	ẹwọn	anticipation	0.477
contemplate	ronu	anticipation	0.477
submit	fi silẹ	anticipation	0.477
perilous	perilous	anticipation	0.477
unification	unification	anticipation	0.477
score	O wole	anticipation	0.477
medal	agbalagba	anticipation	0.477
glide	Gidun	anticipation	0.477
recipient	olugba	anticipation	0.477
accompaniment	igbasilẹ	anticipation	0.477
praiseworthy	iyìn	anticipation	0.473
providing	pese	anticipation	0.469
motion	išipopada	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	ṣọra	anticipation	0.469
cash	owo	anticipation	0.469
precursor	ṣaaju	anticipation	0.469
opera	opera	anticipation	0.469
elite	Gbajumo	anticipation	0.469
pry	Pry	anticipation	0.469
hire	ọwẹ	anticipation	0.469
sweets	didun didun	anticipation	0.469
star	Star	anticipation	0.469
unsurpassed	unurpassed	anticipation	0.469
successful	aseyori	anticipation	0.469
unknown	aimọ	anticipation	0.469
immediately	lẹsẹkẹsẹ	anticipation	0.469
starry	Starry	anticipation	0.469
production	gbóògì	anticipation	0.469
football	bọọlu	anticipation	0.469
completion	Ipari	anticipation	0.469
scare	ibanuje	anticipation	0.469
invoke	sọ pe	anticipation	0.469
shaky	gbigbọn	anticipation	0.469
dawn	owurọ	anticipation	0.469
creeping	ti nrakò	anticipation	0.469
cheerfulness	idunnu	anticipation	0.461
soundness	didun	anticipation	0.461
mail	mail	anticipation	0.461
draft	igbiyanju	anticipation	0.461
preliminary	alakoko	anticipation	0.461
friendly	ore	anticipation	0.461
commemorative	iranti iranti	anticipation	0.461
extricate	yọkufẹ	anticipation	0.461
alive	laaye	anticipation	0.461
untold	untold	anticipation	0.461
overture	yọ kuro	anticipation	0.461
excel	tayo	anticipation	0.461
plight	ipo	anticipation	0.461
synchronize	muṣiṣẹ pọ	anticipation	0.461
punt	ọwọn	anticipation	0.461
sanctuary	mimọ	anticipation	0.461
brilliant	o wu	anticipation	0.461
pay	sanwo	anticipation	0.461
shining	didan	anticipation	0.461
regatta	atunṣe	anticipation	0.461
testament	majẹmu	anticipation	0.461
jeopardy	iparun	anticipation	0.461
perpetuity	nigbagbogbo	anticipation	0.453
elegance	didara	anticipation	0.453
career	iṣẹ	anticipation	0.453
basketball	bọọlu inu agbọn	anticipation	0.453
intimately	intimately	anticipation	0.453
renovate	atunṣe	anticipation	0.453
supremacy	iṣeduro	anticipation	0.453
infinity	ailopin	anticipation	0.453
unexpected	airotẹlẹ	anticipation	0.453
flinch	flinch	anticipation	0.453
complement	iranlowo	anticipation	0.453
prologue	prologue	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	idena	anticipation	0.453
improve	ṣatunṣe	anticipation	0.453
sunset	Iwọoorun	anticipation	0.453
inaugural	inaugural	anticipation	0.453
rehabilitation	isodi titun	anticipation	0.453
fitting	yẹ	anticipation	0.445
surround	yika	anticipation	0.445
share	ipin	anticipation	0.445
epidemic	ajakale-arun	anticipation	0.445
sweet	dun	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	ipamọ	anticipation	0.445
confidence	igboya	anticipation	0.445
perfect	pipe	anticipation	0.445
sun	oorun	anticipation	0.445
veracity	otitọ	anticipation	0.445
volunteer	iyọọda	anticipation	0.445
conjecture	conjecture	anticipation	0.445
medical	egbogi	anticipation	0.438
prepared	pese sile	anticipation	0.438
superstitious	superstitious	anticipation	0.438
reconstruction	atunkọ	anticipation	0.438
tickle	ami-ami	anticipation	0.438
faith	igbagbọ	anticipation	0.438
passenger	irin ajo	anticipation	0.438
saint	mimo	anticipation	0.438
respect	ọwọ	anticipation	0.438
rabid	rabid	anticipation	0.438
reconstruct	tun tun ṣe atunṣe	anticipation	0.438
recombination	atunkọ	anticipation	0.438
devout	olufokansin	anticipation	0.438
goodness	ire	anticipation	0.438
angel	angeli	anticipation	0.438
ferment	ferment	anticipation	0.438
plea	ẹbẹ	anticipation	0.438
aloha	alaafia	anticipation	0.438
serial	ni tẹlentẹle	anticipation	0.438
conservation	itoju	anticipation	0.438
serenity	isinmi	anticipation	0.430
tabulate	tabulate	anticipation	0.430
install	fi sori ẹrọ	anticipation	0.430
labyrinth	labyrinth	anticipation	0.430
venerable	ti o pọju	anticipation	0.430
perpetuate	duro titi	anticipation	0.430
strategist	strategist	anticipation	0.430
unverified	unverified	anticipation	0.430
tribunal	ile-ẹjọ	anticipation	0.430
charitable	alaafia	anticipation	0.430
luscious	luscious	anticipation	0.430
spa	Sipaa	anticipation	0.430
peace	alaafia	anticipation	0.430
clap	pipin	anticipation	0.430
conspirator	igbimọ	anticipation	0.422
forestall	dabobo	anticipation	0.422
patience	sũru	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	grin	anticipation	0.422
revere	oju	anticipation	0.422
worship	ijosin	anticipation	0.422
vista	vista	anticipation	0.422
laughter	ẹrin	anticipation	0.422
volatility	ailawọn	anticipation	0.422
adrift	adrift	anticipation	0.422
candid	olootu	anticipation	0.422
edification	idasilẹ	anticipation	0.422
unresolved	alaiwadi	anticipation	0.422
peaceful	alaafia	anticipation	0.422
recognizable	recognizable	anticipation	0.422
calls	Awọn ipe	anticipation	0.414
weigh	ṣe iwọn	anticipation	0.414
probation	igbawọṣẹ	anticipation	0.414
proficiency	pipe	anticipation	0.414
morn	owurọ	anticipation	0.414
craps	craps	anticipation	0.414
detainee	ominira	anticipation	0.414
mediate	mediate	anticipation	0.414
continue	tẹsiwaju	anticipation	0.414
astrologer	astrologer	anticipation	0.414
punctual	punctual	anticipation	0.414
ordination	igbasilẹ	anticipation	0.414
pretty	lẹwa	anticipation	0.414
thought	ro	anticipation	0.414
grant	fifun	anticipation	0.414
withstand	withstand	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	ti nlọ lọwọ	anticipation	0.414
sing	kọrin	anticipation	0.411
long	gun	anticipation	0.406
confession	ijewo	anticipation	0.406
headlight	ori iboju	anticipation	0.406
prophylactic	prophylactic	anticipation	0.406
mother	iya	anticipation	0.406
debenture	iwe ifowopamọ	anticipation	0.406
wizard	oluṣeto	anticipation	0.406
university	ile-ẹkọ giga	anticipation	0.406
proud	gberaga	anticipation	0.406
midwife	agbẹbi	anticipation	0.406
banquet	aseye	anticipation	0.406
continuation	itesiwaju	anticipation	0.406
navigable	navigable	anticipation	0.406
punished	ijiya	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	itunu	anticipation	0.406
opponent	alatako	anticipation	0.406
subscribe	ṣe alabapin	anticipation	0.406
outdo	outdo	anticipation	0.406
nurture	ntọju	anticipation	0.406
twinkle	twinkle	anticipation	0.406
deal	iṣowo	anticipation	0.402
efficient	daradara	anticipation	0.398
representing	išeduro	anticipation	0.398
simmer	simmer	anticipation	0.398
symphony	tẹnumọ	anticipation	0.398
judiciary	adajo	anticipation	0.398
obliging	rọwọ	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	vigil	anticipation	0.398
death	iku	anticipation	0.398
distracting	distracting	anticipation	0.398
mortification	mortification	anticipation	0.398
balm	balm	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	oke	anticipation	0.398
lettered	iwe-iwe	anticipation	0.398
reliance	igbẹkẹle	anticipation	0.398
poke	poke	anticipation	0.391
unfulfilled	unfulfilled	anticipation	0.391
assurance	idaniloju	anticipation	0.391
condemnation	idajọ	anticipation	0.391
undoubted	laiseaniani	anticipation	0.391
diplomacy	diplomacy	anticipation	0.391
familiarity	imamọ	anticipation	0.391
antidote	antidote	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	ohun	anticipation	0.391
maternal	iya	anticipation	0.391
abeyance	abe	anticipation	0.391
art	aworan	anticipation	0.391
linger	pẹ	anticipation	0.391
trust	igbekele	anticipation	0.391
depraved	ti fi ara rẹ silẹ	anticipation	0.391
sanctify	sọ di mimọ	anticipation	0.391
inoculation	inoculation	anticipation	0.384
chant	korin	anticipation	0.383
banger	banger	anticipation	0.383
playground	ibi-idaraya	anticipation	0.383
failing	aṣiṣe	anticipation	0.383
ship	ọkọ	anticipation	0.383
hymn	orin orin	anticipation	0.383
simplify	simplify	anticipation	0.383
ram	Àgbo	anticipation	0.383
labor	laala	anticipation	0.383
discretion	lakaye	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	dara	anticipation	0.383
scientist	ọmowé	anticipation	0.383
undecided	undecided	anticipation	0.383
humanitarian	omoniyan eniyan	anticipation	0.383
depend	dale	anticipation	0.383
dutiful	alaafia	anticipation	0.383
clock	aago	anticipation	0.375
sterling	ọdun mẹta	anticipation	0.375
mountain	oke	anticipation	0.375
savor	savor	anticipation	0.375
recurrent	loorekoore	anticipation	0.375
interim	adele	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	fifẹ	anticipation	0.375
interminable	ailopin	anticipation	0.375
track	orin	anticipation	0.375
public	gbangba	anticipation	0.375
cradle	jojolo	anticipation	0.375
concealed	ti pa	anticipation	0.367
lesson	ẹkọ	anticipation	0.367
instructions	awọn ilana	anticipation	0.367
shiver	shiver	anticipation	0.367
musical	orin orin	anticipation	0.367
towering	towering	anticipation	0.367
whim	whim	anticipation	0.367
spear	ọkọ	anticipation	0.367
convince	ṣe idaniloju	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	duro	anticipation	0.367
biennial	biennial	anticipation	0.367
theology	eko nipa esin	anticipation	0.359
offset	aiṣedeede	anticipation	0.359
atone	atone	anticipation	0.359
timidity	timidity	anticipation	0.359
theory	yii	anticipation	0.359
undying	laisi	anticipation	0.359
plump	plump	anticipation	0.359
audience	jepe	anticipation	0.357
nobility	ipo-aṣẹ	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	ti ijẹun niwọn	anticipation	0.352
closure	Bíbo	anticipation	0.352
store	itaja	anticipation	0.352
localize	wa agbegbe	anticipation	0.352
cramp	cramp	anticipation	0.352
daily	lojojumo	anticipation	0.352
kindred	ibatan	anticipation	0.352
farm	r'oko	anticipation	0.352
edition	àtúnse	anticipation	0.352
consecration	ifi-ara-mimọ	anticipation	0.352
archaeology	archaeological	anticipation	0.344
mobile	alagbeka	anticipation	0.344
errand	errand	anticipation	0.344
wireless	alailowaya	anticipation	0.344
mutable	ti o ṣeeṣe	anticipation	0.344
meditate	ṣe àṣàrò	anticipation	0.344
stripped	ti yọ kuro	anticipation	0.344
lessen	dinku	anticipation	0.336
unaccountable	ko ṣeeṣe	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	arakunrin	anticipation	0.336
buddy	ore	anticipation	0.336
unbeaten	unbeaten	anticipation	0.336
germ	germ	anticipation	0.336
dove	Eye Adaba	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	ribbon	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	alaisan	anticipation	0.328
council	igbimọ	anticipation	0.328
possess	gba	anticipation	0.328
secular	alailesin	anticipation	0.328
chastity	iwa-aiwa	anticipation	0.328
disposed	sọnu	anticipation	0.320
regularity	deedee	anticipation	0.320
mediator	mediator	anticipation	0.320
scrutinize	ṣàyẹwò	anticipation	0.320
fancy	fancy	anticipation	0.320
immature	immature	anticipation	0.320
infanticide	ipilẹku ara ẹni	anticipation	0.320
heft	jẹ	anticipation	0.320
preservative	aṣoju	anticipation	0.320
paddle	paddle	anticipation	0.320
cove	ṣojukokoro	anticipation	0.320
denying	irọ	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	ti a ko ti kọjade	anticipation	0.312
analyst	Oluyanju	anticipation	0.312
grim	jamu	anticipation	0.312
church	ijo	anticipation	0.312
priesthood	alufaa	anticipation	0.305
mill	ọlọ	anticipation	0.305
judicial	idajọ	anticipation	0.305
broadside	gbooro	anticipation	0.305
tributary	ti o ṣe itọrẹ	anticipation	0.297
cap	fila	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	dismay	anticipation	0.297
instructor	oluko	anticipation	0.297
saliva	itọ	anticipation	0.297
exhaustion	imukuro	anticipation	0.297
bruise	bruise	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	aini ile	anticipation	0.289
visor	oju	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	nẹtiwọki	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	adirẹsi	anticipation	0.289
noncompliance	alaigbagbọ	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	astronomer	anticipation	0.281
neighbor	aladugbo	anticipation	0.281
holiness	mimo	anticipation	0.273
devil	esu	anticipation	0.273
cream	ipara	anticipation	0.273
picket	picket	anticipation	0.273
latent	Latent	anticipation	0.273
immaturity	Imura	anticipation	0.273
sentence	gbolohun	anticipation	0.273
neighborhood	agbegbe	anticipation	0.266
morals	awọn iwa	anticipation	0.266
lull	lull	anticipation	0.266
habitual	aṣa	anticipation	0.266
weight	iwuwo	anticipation	0.258
bye	bye	anticipation	0.258
forearm	iwaju	anticipation	0.250
clown	apanilerin	anticipation	0.250
organ	eto ara	anticipation	0.250
quote	gbigba	anticipation	0.242
commonplace	ibi ti o wọpọ	anticipation	0.242
dictatorship	alakoso	anticipation	0.234
board	ọkọ	anticipation	0.234
white	funfun	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	iṣinipopada	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	igi	anticipation	0.227
paralysis	paralysis	anticipation	0.211
worm	alagidi	anticipation	0.203
organization	agbari	anticipation	0.203
cement	simenti	anticipation	0.203
lagging	lagging	anticipation	0.180
neutral	didoju	anticipation	0.148
cannibalism	cannibalism	disgust	0.953
mutilation	ipalara	disgust	0.930
molestation	ipalara	disgust	0.914
incest	ifẹkufẹ	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	ifipabanilopo	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	rot	disgust	0.891
corpse	okú	disgust	0.883
massacre	ipakupa	disgust	0.883
excrement	excrement	disgust	0.883
slaughter	ipakupa	disgust	0.875
barf	NO TRANSLATION	disgust	0.875
slaughterhouse	ipakoko	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	isokuso	disgust	0.859
incestuous	aiṣedede	disgust	0.859
filth	erupẹ	disgust	0.859
bigot	nlaot	disgust	0.859
infestation	aṣiṣe	disgust	0.852
plague	ìyọnu	disgust	0.852
bloodthirsty	ibajẹ ẹjẹ	disgust	0.852
holocaust	iworo	disgust	0.852
rotting	rotting	disgust	0.844
maggot	maggot	disgust	0.844
feces	feces	disgust	0.844
fecal	fecal	disgust	0.844
murder	ipaniyan	disgust	0.839
infanticide	ipilẹku ara ẹni	disgust	0.836
homicide	homicide	disgust	0.836
asshole	Iwoomusu	disgust	0.836
enslaved	ṣe ẹrú	disgust	0.836
gore	Gore	disgust	0.828
perverted	ti ṣubu	disgust	0.828
torture	iwa ipọnju	disgust	0.828
slaughtering	ipaniyan	disgust	0.828
excretion	iyatọ	disgust	0.828
contaminate	ti doti	disgust	0.821
murderer	apaniyan	disgust	0.820
gory	gory	disgust	0.820
repugnant	aṣiwère	disgust	0.820
desecration	desecration	disgust	0.820
grotesque	grotesque	disgust	0.820
revolting	atako	disgust	0.820
diarrhoea	gbuuru	disgust	0.820
manure	maalu	disgust	0.820
terrorist	apanilaya	disgust	0.820
shit	nik	disgust	0.820
pervert	pervert	disgust	0.820
slavery	ifiwo	disgust	0.812
faeces	faeces	disgust	0.812
sewer	koto idoti	disgust	0.812
vomit	eebi	disgust	0.812
manslaughter	apaniyan	disgust	0.812
dismemberment	aiṣedeede	disgust	0.812
cadaver	ipalara	disgust	0.812
hemorrhage	iṣọn ẹjẹ	disgust	0.805
repulsive	aṣiṣe	disgust	0.805
perverse	alagidi	disgust	0.805
filthy	odidi	disgust	0.797
sewage	omiwe omi	disgust	0.797
depravity	aibajẹ	disgust	0.797
diseased	ailera	disgust	0.797
carcass	okú	disgust	0.795
decompose	decompose	disgust	0.789
vermin	vermin	disgust	0.789
puke	iwe	disgust	0.789
parasite	SAAW	disgust	0.789
horrific	ẹru	disgust	0.789
gruesome	onibaje	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilated	disgust	0.789
murderous	apaniyan	disgust	0.789
decayed	decayed	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	flatulence	disgust	0.781
monstrosity	monstrosity	disgust	0.781
carnage	awọn oniroyin	disgust	0.781
pestilence	ajakalẹ-arun	disgust	0.781
malaria	ibajẹ	disgust	0.781
crap	apẹrẹ	disgust	0.781
toxic	majele	disgust	0.773
loathsome	ipalara	disgust	0.773
insidious	ẹtan	disgust	0.773
leprosy	ẹtẹ	disgust	0.773
morgue	morgue	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	panṣaga	disgust	0.766
cruel	onilara	disgust	0.766
repugnance	aibuku	disgust	0.766
revulsion	igbesẹ	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	Lynch	disgust	0.766
dissection	dissection	disgust	0.759
canker	canker	disgust	0.758
cruelty	ìkà	disgust	0.758
perversion	iṣiro	disgust	0.758
evil	ibi	disgust	0.758
slum	giramu	disgust	0.758
infectious	àkóràn	disgust	0.758
mucous	mucous	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	woches	disgust	0.750
decomposition	jijera	disgust	0.750
sinister	ọdajẹ	disgust	0.750
corrupting	ibajẹ	disgust	0.750
demon	eṣu	disgust	0.742
stinking	mimu	disgust	0.742
septic	septic	disgust	0.742
deranged	deranged	disgust	0.742
bile	bile	disgust	0.742
soiled	soiled	disgust	0.742
mucus	mucus	disgust	0.742
abhorrence	ẹgan	disgust	0.742
abomination	irira	disgust	0.742
sickening	aisan	disgust	0.742
demonic	eṣu	disgust	0.742
foul	ahon	disgust	0.734
obese	sanra	disgust	0.734
sicken	sicken	disgust	0.734
degeneracy	degeneracy	disgust	0.734
crucifixion	agbelebu	disgust	0.734
despicable	alaafia	disgust	0.734
cancer	akàn	disgust	0.734
atrocity	atrocity	disgust	0.734
terrorism	ipanilaya	disgust	0.734
dirty	ni idọti	disgust	0.727
dysentery	dysentery	disgust	0.727
adultery	panṣaga	disgust	0.727
contamination	aibikita	disgust	0.727
bacterium	bacterium	disgust	0.727
diabolical	diabolical	disgust	0.727
morbidity	idaabobo	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	repulsion	disgust	0.727
enema	enema	disgust	0.727
contagion	contagion	disgust	0.719
disfigured	disfigured	disgust	0.719
muck	muck	disgust	0.719
lewd	ipalara	disgust	0.719
garbage	idoti	disgust	0.719
autopsy	autopsy	disgust	0.719
bowels	ẹdun	disgust	0.719
gross	gross	disgust	0.719
vulgar	vulgar	disgust	0.719
barbaric	alabọn	disgust	0.719
disgust	ibanuje	disgust	0.719
vicious	vicious	disgust	0.719
entrails	inu inu	disgust	0.719
deterioration	ilọsiwaju	disgust	0.719
pungent	Pungent	disgust	0.719
bloodshed	ẹjẹ	disgust	0.714
violent	iwa-ipa	disgust	0.711
tyrant	alakoso	disgust	0.711
poisoned	ti oloro	disgust	0.711
pollute	ibajẹ	disgust	0.711
wretched	alaafia	disgust	0.711
nausea	Nausea	disgust	0.711
mortification	mortification	disgust	0.711
gag	gag	disgust	0.711
vulgarity	aibuku	disgust	0.703
disgusting	irira	disgust	0.703
grope	grope	disgust	0.703
slut	Ifaworanhan	disgust	0.703
poisoning	ti oloro	disgust	0.703
depraved	ti fi ara rẹ silẹ	disgust	0.703
noxious	alakoye	disgust	0.703
porn	onihoho	disgust	0.703
nasty	ẹgbin	disgust	0.703
slimy	slimy	disgust	0.703
despotism	despotism	disgust	0.703
nauseate	nauseate	disgust	0.703
secretion	yomijade	disgust	0.703
constipation	àìrígbẹyà	disgust	0.703
hateful	korira	disgust	0.703
grime	akoko didun	disgust	0.703
measles	ailera	disgust	0.696
contagious	ran	disgust	0.695
hellish	apaadi	disgust	0.695
waste	egbin	disgust	0.695
suicidal	suicidal	disgust	0.695
abuse	abuse	disgust	0.695
hate	korira	disgust	0.695
wretch	ipalara	disgust	0.695
intestinal	oporoku	disgust	0.695
wart	wart	disgust	0.695
obesity	isanraju	disgust	0.695
scum	scum	disgust	0.695
contaminated	ti doti	disgust	0.688
disease	aisan	disgust	0.688
rabid	rabid	disgust	0.688
ooze	ooze	disgust	0.688
treason	iparun	disgust	0.688
heartworm	ibanujẹ	disgust	0.688
smut	smut	disgust	0.688
cholera	cholera	disgust	0.680
deformed	deformed	disgust	0.680
detest	detest	disgust	0.680
bestial	bestial	disgust	0.680
sickness	aisan	disgust	0.680
antichrist	Dajjal	disgust	0.680
abhorrent	aboruru	disgust	0.680
soulless	ọkàn	disgust	0.680
freakish	freakish	disgust	0.680
grimy	grimy	disgust	0.680
hatred	ikorira	disgust	0.680
pollution	idoti	disgust	0.680
germ	germ	disgust	0.680
abominate	olododo	disgust	0.680
hell	apaadi	disgust	0.680
dilapidated	dilapidated	disgust	0.672
dictatorship	alakoso	disgust	0.672
inhuman	ipalara eniyan	disgust	0.672
greasy	greasy	disgust	0.672
hideous	hideous	disgust	0.672
loathful	ibanujẹ	disgust	0.672
obscene	oju-ara	disgust	0.672
loathing	ipalara	disgust	0.672
cess	cess	disgust	0.670
devil	esu	disgust	0.664
heretic	alaiṣe	disgust	0.664
nauseous	nauseous	disgust	0.664
abominable	ohun irira	disgust	0.664
deformity	idibajẹ	disgust	0.664
deadly	oloro	disgust	0.664
swine	ẹlẹdẹ	disgust	0.664
discrimination	iyasoto	disgust	0.664
masochism	masochism	disgust	0.664
poisonous	loro	disgust	0.656
prejudiced	ikorira	disgust	0.656
bacteria	kokoro arun	disgust	0.656
death	iku	disgust	0.656
poison	majele	disgust	0.656
trash	idọti	disgust	0.656
abortion	iṣẹyun	disgust	0.656
corruption	ibajẹ	disgust	0.656
victimized	ti ni ipalara	disgust	0.656
oppression	irẹjẹ	disgust	0.656
goo	goo	disgust	0.656
latrines	latrines	disgust	0.656
horror	ibanuje	disgust	0.656
horrible	ẹru	disgust	0.656
nefarious	ko dara	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	njẹri	disgust	0.648
outhouse	ile-ile	disgust	0.648
horrid	ibanujẹ	disgust	0.648
detestation	ikorira	disgust	0.648
sludge	sludge	disgust	0.648
ugly	ilosiwaju	disgust	0.648
trashy	idọti	disgust	0.648
bitch	bishi	disgust	0.648
immoral	alaimọ	disgust	0.648
malfeasance	alaafia	disgust	0.641
spew	spew	disgust	0.641
pimple	pimple	disgust	0.641
indecency	aibikita	disgust	0.641
unsightly	unsightly	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	ẹlẹwà	disgust	0.641
cystic	cystic	disgust	0.641
horrifying	ẹru	disgust	0.641
derogatory	derogatory	disgust	0.641
laxative	laxative	disgust	0.641
criminality	odaran	disgust	0.641
oppressive	oppressive	disgust	0.633
sinful	ẹlẹṣẹ	disgust	0.633
bigoted	bigoted	disgust	0.633
doomsday	doomsday	disgust	0.633
prostitution	panṣaga	disgust	0.633
ulcer	ulcer	disgust	0.633
secrete	secrete	disgust	0.633
perpetrator	alaisan	disgust	0.633
rat	eku	disgust	0.633
queasy	irora	disgust	0.633
mildew	imuwodu	disgust	0.633
dastardly	dastardly	disgust	0.625
disgraceful	itiju	disgust	0.625
ghastly	ghastly	disgust	0.625
persecution	inunibini	disgust	0.625
devilish	eṣu	disgust	0.625
degrading	sisẹ	disgust	0.625
obscenity	ẹgan	disgust	0.625
fungus	fungus	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	gluttony	disgust	0.625
stools	awọn atẹgun	disgust	0.625
suffering	ijiya	disgust	0.625
contemptible	ohun ti o ni imọran	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	bloated	disgust	0.625
aghast	ti o dara julọ	disgust	0.625
betrayal	betrayal	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	àkóràn	disgust	0.617
spoil	Bàjẹ	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	sanra	disgust	0.617
louse	louse	disgust	0.617
malicious	irira	disgust	0.617
polygamy	ilobirin pupọ	disgust	0.617
crusty	crusty	disgust	0.617
atrocious	atrocious	disgust	0.617
deceit	ẹtan	disgust	0.617
termite	igbagbe	disgust	0.617
loathe	loathe	disgust	0.617
wench	wench	disgust	0.617
dying	ku	disgust	0.617
sickly	aisan	disgust	0.617
diaper	iledìí	disgust	0.617
strangle	strangle	disgust	0.617
drool	silẹ	disgust	0.609
slander	egan	disgust	0.609
abhor	korira	disgust	0.609
venomous	o jẹun	disgust	0.609
brothel	ile-iwe	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	agbara	disgust	0.609
hostile	ṣodi si	disgust	0.609
sabotage	ijabọ	disgust	0.609
deform	deform	disgust	0.609
bleeding	ẹjẹ	disgust	0.609
unwashed	unwashed	disgust	0.602
lunacy	alakoso	disgust	0.602
imprisonment	ewon	disgust	0.602
infidel	alaigbagbọ	disgust	0.602
deprivation	aini aini	disgust	0.602
traitor	onibajẹ	disgust	0.602
ugliness	ibanujẹ	disgust	0.602
musty	musty	disgust	0.602
illicit	ibajẹ	disgust	0.602
swampy	swampy	disgust	0.602
poaching	poaching	disgust	0.602
hag	jẹ	disgust	0.602
butcher	butcher	disgust	0.594
lunatic	alaafia	disgust	0.594
venom	venom	disgust	0.594
repelling	atunṣe	disgust	0.594
thug	ṣan	disgust	0.594
misery	ibanujẹ	disgust	0.594
toilet	igbonse	disgust	0.594
slug	slug	disgust	0.594
catastrophe	iparun	disgust	0.594
epidemic	ajakale-arun	disgust	0.594
gut	Gut	disgust	0.594
intoxicated	mimu	disgust	0.594
blister	blister	disgust	0.594
deceitful	ẹtan	disgust	0.594
hostility	imudaniloju	disgust	0.594
queasiness	ibanujẹ	disgust	0.594
lurid	lurid	disgust	0.594
sinner	ẹlẹṣẹ	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	lavatory	disgust	0.586
harass	aṣiṣe	disgust	0.586
unclean	alaimọ	disgust	0.586
prostitute	panṣaga	disgust	0.586
pornography	aworan iwokuwo	disgust	0.586
dreadful	ẹru	disgust	0.586
deteriorated	deteriorated	disgust	0.586
appalling	appalling	disgust	0.586
unfaithful	alaigbagbọ	disgust	0.578
rash	sisun	disgust	0.578
humiliating	itiju	disgust	0.578
