word	Hawaiian-haw	emotion	emotion-intensity-score
stools	nā papahana	disgust	0.625
suffering	pilikia	disgust	0.625
contemptible	nā mea manaʻoʻole	disgust	0.625
cuckold	Kupona	disgust	0.625
bloated	pau	disgust	0.625
aghast	ke kaua	disgust	0.625
betrayal	ke kumakaia	disgust	0.617
guillotine	ke kālani	disgust	0.617
infect	hoʻopau	disgust	0.617
spoil	waiwai pio	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	momona	disgust	0.617
louse	ka hopena	disgust	0.617
malicious	maikaʻi	disgust	0.617
polygamy	nui wahine	disgust	0.617
crusty	kāwili	disgust	0.617
atrocious	ʻokoʻa	disgust	0.617
deceit	hoʻopunipuni	disgust	0.617
termite	manawa lōʻihi	disgust	0.617
loathe	loathe	disgust	0.617
wench	wench	disgust	0.617
dying	make	disgust	0.617
sickly	maʻi	disgust	0.617
diaper	ka diaper	disgust	0.617
strangle	kāleka	disgust	0.617
drool	iho	disgust	0.609
slander	haʻi wahaheʻe	disgust	0.609
abhor	hoʻowahāwahā	disgust	0.609
venomous	mea inu	disgust	0.609
brothel	halekula	disgust	0.609
ghetto	kūkā	disgust	0.609
violently	ikaika	disgust	0.609
hostile	ʻenemi	disgust	0.609
sabotage	hoʻopiʻi	disgust	0.609
deform	hoʻopau	disgust	0.609
bleeding	kaheʻana	disgust	0.609
unwashed	ʻaʻole i holoiʻia	disgust	0.602
lunacy	lunahip	disgust	0.602
imprisonment	hoopaahao	disgust	0.602
infidel	ka mea hoʻomaloka	disgust	0.602
deprivation	nele	disgust	0.602
traitor	ka mea hoʻopunipuni	disgust	0.602
ugliness	ugliness	disgust	0.602
musty	nui	disgust	0.602
illicit	hewa	disgust	0.602
swampy	kapihi	disgust	0.602
poaching	poaching	disgust	0.602
hag	hag	disgust	0.602
butcher	make	disgust	0.594
lunatic	ka lunamaka	disgust	0.594
venom	kaona	disgust	0.594
repelling	hoʻopiʻi	disgust	0.594
thug	ʻo ia	disgust	0.594
misery	pōʻino	disgust	0.594
toilet	halepaku	disgust	0.594
slug	hilahila	disgust	0.594
catastrophe	ka pōʻino	disgust	0.594
epidemic	maʻi	disgust	0.594
gut	ʻoki	disgust	0.594
intoxicated	i mea inu	disgust	0.594
blister	pōkole	disgust	0.594
deceitful	hoʻopunipuni	disgust	0.594
hostility	haunaele	disgust	0.594
queasiness	ʻoluʻolu	disgust	0.594
lurid	lurid	disgust	0.594
sinner	hewa	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	lavatory	disgust	0.586
harass	pilikia	disgust	0.586
unclean	haumia	disgust	0.586
prostitute	wahine hoʻokamakama	disgust	0.586
pornography	pila kiʻi	disgust	0.586
dreadful	weliweli	disgust	0.586
deteriorated	ua paʻakikī	disgust	0.586
appalling	auhea	disgust	0.586
unfaithful	hana hewa	disgust	0.578
rash	kūleʻa	disgust	0.578
humiliating	e hoʻohaʻahaʻaʻia ana	disgust	0.578
ruinous	ʻo ka luku	disgust	0.578
squeamish	hoʻokuʻu	disgust	0.578
offensive	hewa	disgust	0.578
conspirator	kipi	disgust	0.578
larceny	nui	disgust	0.578
debauchery	ka waiwai hōʻailona	disgust	0.578
mangle	mangle	disgust	0.578
flea	puaʻa	disgust	0.578
hypocrite	ka hookamani	disgust	0.578
retard	hoʻi	disgust	0.578
fiend	ke ahi	disgust	0.578
sick	maʻi	disgust	0.578
quagmire	i ka quagmire	disgust	0.578
expulsion	kipakuʻia	disgust	0.578
treacherous	hoʻopunipuni	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	ke kuha	disgust	0.570
devastating	nā pōʻino	disgust	0.570
bastard	ka wahine	disgust	0.570
messy	Kalā	disgust	0.570
flog	flog	disgust	0.570
egregious	e like me ka inoa	disgust	0.570
swamp	ka pulu	disgust	0.570
oppress	hoʻokaumaha	disgust	0.570
despise	hoʻowahāwahā	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	ka nahesa	disgust	0.570
snake	snake	disgust	0.562
terrible	weliweli	disgust	0.562
awful	weliweli	disgust	0.562
harmful	pilikia	disgust	0.562
insanity	naʻaupō	disgust	0.562
indecent	'ākau	disgust	0.562
sordid	maikaʻi	disgust	0.562
loo	ia	disgust	0.562
scoundrel	ka mea hōʻailona	disgust	0.562
enemy	ʻenemi	disgust	0.562
stealing	ʻaihue	disgust	0.562
alcoholism	ka waiʻona	disgust	0.562
humiliation	ka hoʻohaʻahaʻa	disgust	0.562
ruthless	i ka manaʻo wiwoʻole	disgust	0.562
sloppy	pōʻino	disgust	0.562
tyrannical	hoʻonāukiuki	disgust	0.562
harlot	wahine moekolohe	disgust	0.562
sinning	hewa	disgust	0.562
robbery	pōā	disgust	0.555
insufferable	ʻaʻole lawa	disgust	0.555
arsenic	arsenic	disgust	0.555
bloody	koko	disgust	0.555
odious	ino	disgust	0.555
ridicule	ʻakaʻaka	disgust	0.555
atrophy	ke atrophy	disgust	0.555
beastly	holoholona	disgust	0.555
collusion	ka hakakā	disgust	0.555
distaste	hoʻopiʻi	disgust	0.555
segregate	wehewehe	disgust	0.555
discriminating	ka hoʻokae	disgust	0.555
coward	makaʻu	disgust	0.555
wickedness	hewa	disgust	0.555
threatening	weliweli	disgust	0.555
unattractive	maikaʻiʻole	disgust	0.555
slayer	pepehi kanaka	disgust	0.555
flabby	Pākiʻi	disgust	0.555
varicella	ʻo varicella	disgust	0.555
miserable	pōʻino	disgust	0.547
sty	'ō	disgust	0.547
ogre	opu	disgust	0.547
coercion	ka hoʻoikaika	disgust	0.547
thief	kaʻaihue	disgust	0.547
slur	ka slur	disgust	0.547
suffocating	make	disgust	0.547
anathema	hōʻai'ē	disgust	0.547
purgatory	pīkeke	disgust	0.547
malevolent	nā poʻe malihini	disgust	0.547
bitterly	eha	disgust	0.547
burglar	pōkole	disgust	0.547
attacking	kū'ē	disgust	0.547
vesicular	ke kai	disgust	0.547
condemnation	hoohewa	disgust	0.547
pillage	pau	disgust	0.547
deleterious	hoʻopau	disgust	0.547
thrash	ua hina	disgust	0.539
repellant	hoʻopiʻi hou	disgust	0.539
repudiation	hoʻopōʻino	disgust	0.539
infidelity	hōʻole	disgust	0.539
liar	wahahee	disgust	0.539
fatty	momona	disgust	0.539
gob	kaomi	disgust	0.539
sneer	sneer	disgust	0.539
drunken	Inu	disgust	0.539
disgrace	hilahila	disgust	0.539
shame	hilahila	disgust	0.539
jealous	hae	disgust	0.539
imprisoned	e paʻahaoʻia	disgust	0.539
pig	puaʻa	disgust	0.539
greedy	makemake	disgust	0.539
sloth	hele	disgust	0.539
lethal	pepehi	disgust	0.536
burnt	ke ahi	disgust	0.531
aberration	hoʻohaʻahaʻa	disgust	0.531
condescension	ke kūlike	disgust	0.531
hydrocephalus	ka hydrocephalus	disgust	0.531
hanging	kauʻia	disgust	0.531
destructive	e luku ana	disgust	0.531
smuggler	ka mea maʻa	disgust	0.531
intolerant	ke komoʻole	disgust	0.531
travesty	ke akamai	disgust	0.531
intrusive	hika	disgust	0.531
ruined	ua wāwahiʻia	disgust	0.531
withered	ua maloo	disgust	0.531
disintegrate	hoʻokaʻawaleʻia	disgust	0.531
brawl	ke kūkā	disgust	0.531
blemish	hala kīnā	disgust	0.531
neurotic	neurotic	disgust	0.531
blasphemous	'ōlelo hōʻino	disgust	0.531
lying	e moe ana	disgust	0.531
painful	eha	disgust	0.531
avarice	hoʻopōʻino	disgust	0.523
disgraced	hōʻinoʻia	disgust	0.523
mistress	haku wahine	disgust	0.523
disparaging	hoʻopau	disgust	0.523
rubbish	ōpala	disgust	0.523
derogation	kūkā	disgust	0.523
accusation	hewa	disgust	0.523
intolerance	ke kali	disgust	0.523
incarceration	ka hoʻokomo	disgust	0.523
blighted	ua pōʻino	disgust	0.523
sump	nui	disgust	0.516
deplorable	nā meaʻino	disgust	0.516
daemon	daemon	disgust	0.516
cringe	hana	disgust	0.516
degrade	hoʻopau	disgust	0.516
gutter	kūkā	disgust	0.516
rob	mea hao	disgust	0.516
grim	nui	disgust	0.516
defraud	hoʻopunipuni	disgust	0.516
tortious	hewa	disgust	0.516
eradication	palekana	disgust	0.516
stink	pilau	disgust	0.516
convict	hewa	disgust	0.516
dishonor	hōʻinoʻia	disgust	0.516
vulture	ka manu	disgust	0.516
remains	koe	disgust	0.516
mite	mite	disgust	0.516
betray	ke kumakaia	disgust	0.516
sham	sham	disgust	0.509
endemic	hope	disgust	0.508
bombed	pāpāʻia	disgust	0.508
distress	pilikia	disgust	0.508
pest	pest	disgust	0.508
incurable	he meaʻaiʻole	disgust	0.508
worthless	makehewa	disgust	0.508
rejection	haʻalele	disgust	0.508
distasteful	haʻalulu	disgust	0.508
schizophrenia	maʻi schizophrenia	disgust	0.508
belittle	ke kuhi	disgust	0.508
smelling	nā mea hoʻonani	disgust	0.508
cheat	ole	disgust	0.508
blob	pā	disgust	0.508
prisoner	paʻahao	disgust	0.508
idiocy	ʻikeʻole	disgust	0.508
delirium	ka delirium	disgust	0.508
disaster	ka pōʻino	disgust	0.508
crude	eʻoki	disgust	0.508
resentment	ka huhū	disgust	0.508
dreadfully	weliweli	disgust	0.508
glut	wili	disgust	0.508
polemic	polemic	disgust	0.500
derision	ka hoʻohenehene	disgust	0.500
idolatry	hoomana kii	disgust	0.500
taboo	kapu	disgust	0.500
screaming	e ho'ōho ana	disgust	0.500
banish	e kue	disgust	0.500
dirt	lepo	disgust	0.500
goblin	ke kalo	disgust	0.500
shackle	ka wai	disgust	0.500
bribery	hana kīʻaha	disgust	0.500
flagrant	kūkala	disgust	0.500
jealousy	ka lili	disgust	0.500
impurity	haumia	disgust	0.500
theft	ʻaihue	disgust	0.500
bitterness	ʻawaʻawa	disgust	0.500
offense	hewa	disgust	0.500
impeach	ke kuʻi	disgust	0.500
blight	nā hua'ōlelo	disgust	0.500
duress	ke aliʻi	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	manaʻo nui	disgust	0.500
tirade	ʻoka	disgust	0.500
squirm	ka hu	disgust	0.492
robber	pōā	disgust	0.492
ill	maʻi	disgust	0.492
unconscionable	ʻaʻohe mea hoʻopoʻawa	disgust	0.492
recession	hoʻi hou	disgust	0.492
gorge	ke kani	disgust	0.492
wreck	wreck	disgust	0.492
malign	hōʻino	disgust	0.492
boil	'ōpē	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	hilahilaʻole	disgust	0.492
disreputable	ʻaʻohe kūlana	disgust	0.492
wasteful	ua palaho	disgust	0.484
affliction	pilikia	disgust	0.484
stain	'āpō	disgust	0.484
contempt	hoʻowahāwahā	disgust	0.484
nappy	hula	disgust	0.484
mutiny	keʻano	disgust	0.484
occult	hilahila	disgust	0.484
tramp	ka wāwae	disgust	0.484
unbearable	ʻoluʻoluʻole	disgust	0.484
offender	hewa	disgust	0.484
servile	kauā	disgust	0.484
contraband	kū'ē'ē	disgust	0.484
raging	hoʻoulu	disgust	0.484
snarl	ka lehu	disgust	0.484
mad	huhū	disgust	0.484
subjugation	ka hoʻokuʻu	disgust	0.484
possessed	ua loaʻa	disgust	0.484
animosity	haunaele	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	'ōlelo hōʻino	disgust	0.484
disrespectful	hōʻole	disgust	0.484
mess	Kalā	disgust	0.484
nepotism	nepotism	disgust	0.484
inexcusable	ʻaʻohe mea kūpono	disgust	0.484
pathetic	hoʻopono	disgust	0.477
unpleasant	ʻoluʻolu	disgust	0.477
suppression	hoʻopauʻia	disgust	0.477
mockery	ka hoʻohenehene	disgust	0.477
palsy	maʻi maʻi	disgust	0.477
criminal	hewa	disgust	0.477
illegality	hewa	disgust	0.477
uncaring	me ke kuhiʻole	disgust	0.477
antagonistic	ke kū'ē	disgust	0.477
immorality	hewa	disgust	0.477
dismal	pilikia	disgust	0.477
angry	huhū	disgust	0.469
repellent	hoʻopiʻi	disgust	0.469
cough	nā'ī	disgust	0.469
arrogant	ka haʻaheo	disgust	0.469
grating	ka papaʻana	disgust	0.469
aggravation	ʻo ka hoʻonāukiuki	disgust	0.469
livid	livid	disgust	0.469
banishment	ke kipakuʻia	disgust	0.469
shoddy	kāpili	disgust	0.469
banshee	banahee	disgust	0.469
poverty	nele	disgust	0.469
wallow	wallow	disgust	0.469
outrage	ka huhū	disgust	0.469
mocking	eʻakaʻaka ana	disgust	0.469
furious	e huhū	disgust	0.469
perspiration	ka wehe	disgust	0.469
prick	prick	disgust	0.461
recklessness	manaʻoʻole	disgust	0.461
distorted	hoʻopunipuniʻia	disgust	0.461
fraudulent	hoʻopunipuni	disgust	0.461
spider	kikooho	disgust	0.461
quack	ka hoʻolālā	disgust	0.461
perdition	hala	disgust	0.461
muddy	palaka	disgust	0.461
spurious	hoʻopiʻi	disgust	0.461
insulting	hōʻino	disgust	0.461
scar	maʻile	disgust	0.461
deceive	hoʻopunipuni	disgust	0.461
unjustifiable	ʻaʻohe pono	disgust	0.461
fool	lapuwale	disgust	0.461
deplore	kūlana	disgust	0.461
plunder	hao	disgust	0.461
aphid	aphid	disgust	0.453
bane	e	disgust	0.453
indignation	huhū	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	manaʻo wale	disgust	0.453
disparage	disparage	disgust	0.453
cur	pā	disgust	0.453
dishonest	halaʻole	disgust	0.453
stigma	pilikia	disgust	0.453
eschew	wehe	disgust	0.453
antipathy	ke hōʻole	disgust	0.453
alienate	ke kū'ē	disgust	0.453
disingenuous	ʻikeʻole	disgust	0.453
elimination	hoʻokalakala	disgust	0.453
unthinkable	makemakeʻole	disgust	0.453
wasted	ua'ānaiʻia	disgust	0.445
recalcitrant	hoʻomanaʻo	disgust	0.445
iniquity	hewa	disgust	0.445
mosquito	makai	disgust	0.445
caries	kālai	disgust	0.445
bankruptcy	hale kūʻai	disgust	0.445
egotistical	egotistical	disgust	0.445
piles	piula	disgust	0.445
smell	ʻala	disgust	0.445
vacuous	haunaele	disgust	0.445
despair	pōʻino	disgust	0.445
opium	opium	disgust	0.445
garish	mālama	disgust	0.445
lie	wahaheʻe	disgust	0.445
pious	kaulike	disgust	0.445
aversion	kūiho	disgust	0.438
sticky	kūkuʻi	disgust	0.438
scream	uē	disgust	0.438
alien	malihini	disgust	0.438
shun	haʻalele	disgust	0.438
abnormal	ʻanoʻino	disgust	0.438
ashamed	hilahila	disgust	0.438
inmate	ka mea make	disgust	0.438
abject	abject	disgust	0.438
hog	puaʻa	disgust	0.438
hopelessness	hopeʻole	disgust	0.438
homeless	homeless	disgust	0.438
obnoxious	hilahila	disgust	0.438
curse	hōʻino	disgust	0.430
creature	mea hana	disgust	0.430
cursing	pōʻino	disgust	0.430
illegal	hewa	disgust	0.430
lusty	makemake	disgust	0.430
shameless	hilahila	disgust	0.430
debris	nā kiʻi	disgust	0.430
defiance	ke kū'ē	disgust	0.430
pall	pall	disgust	0.430
falsity	hewa	disgust	0.430
reflux	reflux	disgust	0.430
incredulous	hōʻole	disgust	0.430
adverse	ke kū'ē	disgust	0.430
trickery	hana hoʻopunipuni	disgust	0.430
callous	nāwaliwali	disgust	0.430
separatist	kaʻawale	disgust	0.430
undesirable	makemakeʻole	disgust	0.430
denounce	hōʻole	disgust	0.430
witch	ka poʻe kilokilo	disgust	0.430
bum	bum	disgust	0.422
bovine	kāla pua	disgust	0.422
denunciation	ka hō'āhewa	disgust	0.422
untidy	ʻaʻole pono	disgust	0.422
impure	haumia	disgust	0.422
mistrust	hilinaʻi	disgust	0.422
tarnish	keki	disgust	0.422
ferocious	ferocious	disgust	0.422
gush	kūkā	disgust	0.422
infantile	keiki hānai	disgust	0.422
ammonia	amonia	disgust	0.422
offend	hewa	disgust	0.422
idiotic	ʻikeʻole	disgust	0.422
hypertrophy	ke koko	disgust	0.422
nicotine	Nicotine	disgust	0.422
tasteless	makemakeʻole	disgust	0.422
pompous	pompous	disgust	0.422
socialist	olakino	disgust	0.422
delinquent	hoʻopono	disgust	0.422
swarm	manawa	disgust	0.422
contentious	ke kū'ē'ē	disgust	0.422
carelessness	palekana	disgust	0.422
hairy	lauoho	disgust	0.422
wasting	e hoʻoweliweli ana	disgust	0.422
slush	hoʻokuʻu	disgust	0.422
affront	ka paʻi	disgust	0.422
collapse	hāneʻe	disgust	0.422
badness	hewa	disgust	0.422
dishonesty	halaʻole	disgust	0.414
vegetative	'ōpiopio	disgust	0.414
displacency	ka pilikia	disgust	0.414
unfavorable	maikaʻiʻole	disgust	0.414
disobey	ʻo ke kipi	disgust	0.414
sour	maikaʻi	disgust	0.414
socialism	ka hoʻomana	disgust	0.414
murky	ka murky	disgust	0.414
neglected	ua haʻaleleʻia	disgust	0.414
drivel	drivel	disgust	0.414
vampire	ke ola	disgust	0.414
litigious	hoʻopiʻi	disgust	0.414
illegitimate	nā mea kīnā	disgust	0.414
disgruntled	hoʻopiʻi	disgust	0.406
ignorant	naʻaupō	disgust	0.406
outcast	ua hoʻokaeʻia	disgust	0.406
unkind	hanaʻino	disgust	0.406
repel	hoʻopō	disgust	0.406
displeasure	hōʻoluʻolu	disgust	0.406
phony	phony	disgust	0.406
shoplifting	kākoʻo	disgust	0.406
dislike	makemakeʻole	disgust	0.406
unlawful	ʻaʻole kūpono	disgust	0.406
bogus	hiʻona	disgust	0.406
discontinuity	kūmau	disgust	0.406
recidivism	ʻike hou	disgust	0.406
ungrateful	hōʻoleʻole	disgust	0.406
wrongdoing	hewa	disgust	0.406
falsify	hoʻopunipuni	disgust	0.406
prosecution	hoopii	disgust	0.406
failure	nele	disgust	0.398
loon	loon	disgust	0.398
lick	lick	disgust	0.398
subvert	e hoʻololi	disgust	0.398
rigor	kūmā	disgust	0.398
unruly	ke kipi	disgust	0.398
paucity	paucity	disgust	0.398
unnatural	keʻano kūlohelohe	disgust	0.398
averse	pale	disgust	0.398
senseless	naʻaupō	disgust	0.398
worsening	nāwaliwali	disgust	0.398
disdain	hoʻowahāwahā	disgust	0.398
woe	auwē	disgust	0.398
woefully	auwē	disgust	0.398
amphetamines	amphetamines	disgust	0.398
stingy	nā meaʻeleʻele	disgust	0.398
crushing	e uhaʻi	disgust	0.398
insult	hōʻino	disgust	0.393
damage	hewa	disgust	0.391
hardened	ua paʻakikī	disgust	0.391
diatribe	diatribe	disgust	0.391
averseness	averseeness	disgust	0.391
critter	ʻike	disgust	0.391
muff	muff	disgust	0.391
antisocial	ke kū'ē'ē	disgust	0.391
punishment	ka hoʻopaʻi	disgust	0.391
bad	hewa	disgust	0.391
punished	hoʻopaʻi	disgust	0.391
disrelish	wehewehe	disgust	0.391
expel	hoʻokuke	disgust	0.391
farcical	kūkā	disgust	0.391
scorpion	wiona	disgust	0.391
sacrifices	mōhai	disgust	0.383
plagiarism	ka pākani	disgust	0.383
hypocritical	hypocrite	disgust	0.383
divorce	hemo	disgust	0.383
presumptuous	ke kūlana kiʻekiʻe	disgust	0.383
discord	ke kū'ē	disgust	0.383
fugitive	ka mea mahuka	disgust	0.383
fulsome	maikaʻi loa	disgust	0.383
shabby	hoʻopiʻi	disgust	0.383
orc	aiʻole	disgust	0.383
adder	adder	disgust	0.383
anaconda	anaconda	disgust	0.383
surly	nui	disgust	0.383
irrational	ʻokoʻa	disgust	0.383
disappoint	pilikia	disgust	0.383
illiterate	ʻikeʻole	disgust	0.383
lament	e uwē	disgust	0.383
eviction	ke kipakuʻia	disgust	0.383
teeming	kūkā	disgust	0.383
guilt	hewa	disgust	0.383
misconduct	hewa	disgust	0.375
blame	hewa	disgust	0.375
alienation	ke kūkā	disgust	0.375
depressing	ke kaumaha	disgust	0.375
irritating	ka huhū	disgust	0.375
plight	ke kūlana	disgust	0.375
unworthy	ʻaʻohe pono	disgust	0.375
dislocated	hemo	disgust	0.375
scoff	haʻaka	disgust	0.375
irritation	ka huhū	disgust	0.375
defective	hoʻopau	disgust	0.375
shock	ka hopena	disgust	0.375
hoax	hoax	disgust	0.367
coerce	ka hao	disgust	0.367
revoke	hoʻokuʻu	disgust	0.367
stripped	weheʻia	disgust	0.367
exclusion	ka hoʻoneʻe	disgust	0.367
blatant	kūkala	disgust	0.367
disillusionment	ka hōʻeha	disgust	0.367
squelch	ke kuhi	disgust	0.367
unhealthy	maʻiʻole	disgust	0.367
toad	ka'ōpala	disgust	0.367
wimpy	wimpy	disgust	0.367
pitfall	ka lua	disgust	0.367
vainly	makehewa	disgust	0.367
powerless	nāwaliwali	disgust	0.367
cad	kālepa	disgust	0.367
hurtful	ʻeha	disgust	0.367
shuddering	haʻalulu	disgust	0.367
wimp	wimp	disgust	0.367
oddity	oddity	disgust	0.359
rebellion	kipi	disgust	0.359
incompatible	i ka hikiʻole	disgust	0.359
ineptitude	ʻikeʻole	disgust	0.359
dispose	waiho	disgust	0.359
disobedience	ka hoʻoloheʻole	disgust	0.359
damn	hoʻopōʻino	disgust	0.359
bug	Bug	disgust	0.359
deserted	ua haʻalele	disgust	0.359
litigate	hoʻopau	disgust	0.352
ridiculous	kaʻakaʻaka	disgust	0.352
compost	compost	disgust	0.352
obi	aloha	disgust	0.352
untoward	wehewehe	disgust	0.352
censor	censor	disgust	0.352
uncertain	ʻikeʻole	disgust	0.352
lawyer	loio	disgust	0.352
flinch	ka uila	disgust	0.352
flesh	kaʻiʻo	disgust	0.352
crushed	i paʻi	disgust	0.352
displeased	ʻoluʻoluʻole	disgust	0.352
inept	ʻaʻohe	disgust	0.352
wrongful	hewaʻole	disgust	0.352
cutting	ʻoki	disgust	0.352
fierce	ua ikaika	disgust	0.352
misbehavior	hewa	disgust	0.352
frustrate	hōʻeha	disgust	0.352
dismissal	hoʻokuʻu	disgust	0.352
disapprove	hōʻole	disgust	0.344
depreciate	hōʻinoʻole	disgust	0.344
tearful	haʻalulu	disgust	0.344
thoughtless	manaʻoʻole	disgust	0.336
unsettled	hoʻopauʻole	disgust	0.336
lumpy	ka lumpy	disgust	0.336
discoloration	ʻike wehewehe	disgust	0.336
blunder	pōʻino	disgust	0.336
disinclination	ke kū'ēʻole	disgust	0.336
distrust	hilinaʻi	disgust	0.336
annoy	huhū	disgust	0.336
lawsuit	hoʻokolokolo	disgust	0.336
discontent	kūleʻa	disgust	0.336
grumble	e'ōhumu	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	ʻo	disgust	0.336
heartsick	puʻuwai	disgust	0.336
disliked	makemakeʻole	disgust	0.336
bickering	nā hakakā	disgust	0.336
disallowed	hōʻoleʻia	disgust	0.336
unmanageable	maikaʻiʻole	disgust	0.328
hydrophobia	hydrophobia	disgust	0.328
unsatisfactory	ʻaʻole pono	disgust	0.328
whine	u	disgust	0.328
exasperation	hoʻopiʻi	disgust	0.328
instability	ka pilikia	disgust	0.328
provoking	hoʻonāukiuki	disgust	0.328
disappointed	pōʻino	disgust	0.328
inhibit	hoʻopunipuni	disgust	0.328
sly	me	disgust	0.328
grievance	pilikia	disgust	0.328
materialist	materialist	disgust	0.328
excluded	ke waihoʻia	disgust	0.328
cacophony	kope	disgust	0.328
misleading	hoʻopunipuni	disgust	0.321
disclaim	wehewehe	disgust	0.320
rags	nā lole	disgust	0.320
soot	lae	disgust	0.320
disservice	ka pani	disgust	0.320
unequal	kūʻole	disgust	0.320
humbug	humbug	disgust	0.320
reproach	ka hōʻino	disgust	0.320
confined	e hoʻopaʻaʻia	disgust	0.320
disapproving	hōʻoleʻole	disgust	0.320
annoyance	hōʻehaʻeha	disgust	0.320
mishap	mishap	disgust	0.320
groan	e kaniuhu ana	disgust	0.320
soil	'āina	disgust	0.312
depreciated	hoʻopauʻia	disgust	0.312
disincline	hōʻole	disgust	0.312
inappropriate	ʻaʻole kūpono	disgust	0.312
inconsiderate	ke kuhihewa	disgust	0.312
burke	burke	disgust	0.312
overpriced	i luna	disgust	0.312
sneeze	kekē	disgust	0.312
stomach	ka'ōpū	disgust	0.312
criticize	e hōʻoia	disgust	0.312
theism	ka hana	disgust	0.312
disparity	ka hala	disgust	0.305
gall	ʻolo	disgust	0.305
latent	kaomi	disgust	0.305
grumpy	'ōhumu	disgust	0.305
bang	Pā	disgust	0.305
inadmissible	hikiʻole ke mālama	disgust	0.305
unfriendly	alohaʻole	disgust	0.305
shack	kahe	disgust	0.305
disliking	makemakeʻole	disgust	0.305
unaccountable	unaccountable	disgust	0.305
coop	hoop	disgust	0.304
scold	e uhauha	disgust	0.297
growling	kūkala	disgust	0.297
lonely	wale	disgust	0.297
delay	ke kali	disgust	0.297
congress	halepule	disgust	0.297
disregarded	hōʻoleʻole	disgust	0.297
disappointment	hōʻino	disgust	0.297
backwards	i hope	disgust	0.297
soreness	nui	disgust	0.297
rogue	lālā	disgust	0.297
infamous	nuiʻole	disgust	0.289
lesbian	ʻo nā wāhine	disgust	0.289
notoriety	mahalo	disgust	0.289
catechism	ka catechism	disgust	0.289
flop	ka pā	disgust	0.289
nettle	ka upena	disgust	0.289
janitor	ukuha	disgust	0.289
saturated	ua hoʻomaʻemaʻeʻia	disgust	0.281
gaby	ʻo ia	disgust	0.281
prohibited	pāpāʻia	disgust	0.281
remiss	i ka hoʻopaʻi	disgust	0.281
unfair	kūponoʻole	disgust	0.281
desist	haʻalele	disgust	0.281
wince	lanakila	disgust	0.281
aftermath	mahope	disgust	0.281
huff	huff	disgust	0.273
discolored	ʻikeʻia	disgust	0.273
uneasy	ʻoluʻolu	disgust	0.273
wrangling	e hakakā	disgust	0.273
tribunal	ka aha hoʻokolokolo	disgust	0.273
weird	ʻokoʻa	disgust	0.266
bureaucrat	hale hana	disgust	0.266
coldness	maikaʻi	disgust	0.266
impolite	hilahilaʻole	disgust	0.266
politic	kūkala	disgust	0.266
unsatisfied	ʻaʻole kūpono	disgust	0.266
swig	puana	disgust	0.266
inefficiency	ʻikeʻole	disgust	0.266
frantic	hele	disgust	0.266
crawl	pupule	disgust	0.266
instinctive	ke kikowaena	disgust	0.258
barrow	kele	disgust	0.258
incase	inā	disgust	0.258
octopus	ʻO ka polio	disgust	0.258
chagrin	ʻoliʻoli	disgust	0.258
copycat	kope kope	disgust	0.258
rascal	'Okela	disgust	0.258
sarcasm	nā'ōlelo hoʻokipa	disgust	0.258
gruff	kūkā	disgust	0.258
misconception	ke kuhihewa	disgust	0.250
hulk	hulk	disgust	0.250
shanghai	shanghai	disgust	0.250
baboon	pāpuni	disgust	0.250
disinclined	hōʻole	disgust	0.250
lose	make	disgust	0.250
john	john	disgust	0.250
cupping	ke kīʻaha	disgust	0.250
rook	hele	disgust	0.242
gratuitous	ʻoluʻolu	disgust	0.242
entangled	hoʻopiliʻia	disgust	0.242
opponent	hoa paio	disgust	0.242
tariff	ka uku hoʻolimalima	disgust	0.242
scrub	make	disgust	0.242
resign	haʻalele	disgust	0.234
prolong	lōʻihi	disgust	0.234
backwardness	hoʻi hope	disgust	0.234
reluctance	ke kuhi	disgust	0.234
questionable	pilikia	disgust	0.234
lagging	lagging	disgust	0.234
unlucky	pōmaikaʻi	disgust	0.234
misstatement	'ōlelo kuhihewa	disgust	0.234
reversal	ke hoʻololi	disgust	0.227
disqualified	hōʻoleʻia	disgust	0.227
subsidy	hāʻawi kālā	disgust	0.227
ineffectual	kūʻole	disgust	0.227
fussy	hele	disgust	0.227
unpopular	ʻoluʻoluʻole	disgust	0.227
default	paʻamau	disgust	0.227
intense	ikaika	disgust	0.219
dame	wahine	disgust	0.219
evade	pale aku	disgust	0.219
petroleum	ka paila	disgust	0.219
weight	ke kaumaha	disgust	0.219
frowning	keʻakeʻa	disgust	0.219
actionable	wikiwiki	disgust	0.211
tawny	kekena	disgust	0.211
donkey	ka hoki	disgust	0.211
unhappy	pōʻino	disgust	0.211
indifference	ʻikeʻole	disgust	0.203
rave	hana	disgust	0.203
birch	birch	disgust	0.203
hood	ka hopena	disgust	0.203
desert	waonahele	disgust	0.203
owing	no ke kumu	disgust	0.203
