word	Esperanto-eo	emotion	emotion-intensity-score
illuminate	lumigu	anticipation	0.594
romance	am-afero	anticipation	0.594
rekindle	rekoni ĝin	anticipation	0.594
luck	ŝanco	anticipation	0.594
advent	alveno	anticipation	0.594
preparedness	preteco	anticipation	0.594
momentum	imposto	anticipation	0.594
arrive	alvenu	anticipation	0.594
predict	antaŭdiri	anticipation	0.589
sequel	sekvo	anticipation	0.586
money	mono	anticipation	0.586
endeavor	penado	anticipation	0.586
auspices	aŭspicioj	anticipation	0.586
fiesta	Festo	anticipation	0.586
raffle	rafilo	anticipation	0.586
preparation	preparado	anticipation	0.586
uplift	levita	anticipation	0.586
investigation	esploro	anticipation	0.586
gambling	ludado	anticipation	0.586
delightful	plaĉa	anticipation	0.586
enjoying	ĝuante	anticipation	0.586
seek	serĉu	anticipation	0.586
impatient	senpacienca	anticipation	0.586
overdue	superdita	anticipation	0.586
crave	kuraĝu	anticipation	0.586
flirt	flirtu	anticipation	0.586
enthusiast	entuziasmulo	anticipation	0.586
presumption	supozo	anticipation	0.586
immerse	mergi	anticipation	0.586
progression	progreso	anticipation	0.586
experiment	eksperimento	anticipation	0.580
inviting	invitante	anticipation	0.578
precarious	malfortika	anticipation	0.578
blessing	beno	anticipation	0.578
harvest	rikolto	anticipation	0.578
transcendence	transcendenco	anticipation	0.578
heavenly	ĉiela	anticipation	0.578
attainable	atingebla	anticipation	0.578
enjoy	ĝui	anticipation	0.578
divination	admirado	anticipation	0.578
excavation	elfosado	anticipation	0.578
healing	resanigo	anticipation	0.578
majestic	majesta	anticipation	0.578
clamor	krio	anticipation	0.578
thirst	soifo	anticipation	0.578
remedy	rimedo	anticipation	0.578
prosper	prosperi	anticipation	0.578
risk	risko	anticipation	0.578
angling	angulado	anticipation	0.578
completing	kompletigante	anticipation	0.578
thriving	prosperante	anticipation	0.578
zest	zest	anticipation	0.570
tease	manko	anticipation	0.570
matchmaker	koŝmakisto	anticipation	0.570
prospectively	prospektive	anticipation	0.570
restlessness	inquietud	anticipation	0.570
sweetheart	karulino	anticipation	0.570
emancipation	emancipado	anticipation	0.570
ultimate	finfina	anticipation	0.570
invite	inviti	anticipation	0.570
gambler	ludanto	anticipation	0.570
dare	kuraĝu	anticipation	0.570
plan	plano	anticipation	0.570
magnificence	grandiozeco	anticipation	0.570
warned	avertita	anticipation	0.570
finally	fine	anticipation	0.570
intimate	intima	anticipation	0.570
omen	Aŭguro	anticipation	0.570
attempt	provo	anticipation	0.562
forewarned	pravigita	anticipation	0.562
fun	amuza	anticipation	0.562
festival	festivalo	anticipation	0.562
trophy	Trofeo	anticipation	0.562
rejoice	ĝoju	anticipation	0.562
fanfare	fanfarono	anticipation	0.562
predilection	predilekto	anticipation	0.562
exalt	altigi	anticipation	0.562
parade	defilado	anticipation	0.562
enchant	ravu	anticipation	0.562
independence	sendependeco	anticipation	0.562
expose	elmontru	anticipation	0.562
immortality	senmorteco	anticipation	0.562
expected	atendita	anticipation	0.562
mysterious	mistera	anticipation	0.562
hypothesis	hipotezo	anticipation	0.562
accolade	aklazo	anticipation	0.562
lover	amanto	anticipation	0.562
quicken	rapidu	anticipation	0.562
champion	ĉampiono	anticipation	0.562
lovely	Amindaj	anticipation	0.555
rejoicing	ĝojante	anticipation	0.555
grasping	kaptante	anticipation	0.555
grow	kreski	anticipation	0.555
curiosity	vidindaĵo	anticipation	0.555
splendor	splendo	anticipation	0.555
salvation	savo	anticipation	0.555
happy	feliĉa	anticipation	0.555
oracle	orakolo	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	disfaldi	anticipation	0.555
boisterous	boisterous	anticipation	0.555
liberty	libereco	anticipation	0.555
heroism	heroeco	anticipation	0.555
feeling	sentante	anticipation	0.555
shopping	aĉetoj	anticipation	0.555
fate	sorto	anticipation	0.555
uneasiness	maltrankvilo	anticipation	0.555
speculative	especulativa	anticipation	0.555
changeable	ŝanĝebla	anticipation	0.547
recreational	distra	anticipation	0.547
pray	preĝu	anticipation	0.547
warn	avertu	anticipation	0.547
suspicious	sospechoso	anticipation	0.547
convergence	konverĝo	anticipation	0.547
incite	instigu	anticipation	0.547
agape	agape	anticipation	0.547
morrow	morgaŭ	anticipation	0.547
abundance	abundo	anticipation	0.547
delighted	ĝojis	anticipation	0.547
resultant	rezulto	anticipation	0.547
hungry	malsata	anticipation	0.547
monetary	mona	anticipation	0.547
vote	voĉdoni	anticipation	0.547
glory	gloro	anticipation	0.547
glimmer	lumo	anticipation	0.547
apprehensive	maltrankvila	anticipation	0.547
sorcery	sorĉistino	anticipation	0.547
bountiful	bonfaraj	anticipation	0.547
leisure	senokupeco	anticipation	0.547
probability	probablo	anticipation	0.547
auction	aŭkcio	anticipation	0.539
hunting	ĉasado	anticipation	0.539
contingent	kontingento	anticipation	0.539
hankering	hontante	anticipation	0.539
sensual	malĉasta	anticipation	0.539
blessings	benoj	anticipation	0.539
ballot	balotado	anticipation	0.539
grandchildren	nepoj	anticipation	0.539
entertainment	entretenimiento	anticipation	0.539
vindication	depostulo	anticipation	0.539
worrying	maltrankvila	anticipation	0.539
tempest	tempesto	anticipation	0.539
inquiry	enketo	anticipation	0.539
merge	kunfandi	anticipation	0.539
exceed	superi	anticipation	0.539
bounty	komponaĵo	anticipation	0.539
glad	Gaja	anticipation	0.536
magnificent	superba	anticipation	0.531
feat	heroaĵo	anticipation	0.531
stealthy	sensenca	anticipation	0.531
cheer	ĝoji	anticipation	0.531
spirits	spiritoj	anticipation	0.531
visitor	vizitanto	anticipation	0.531
appeal	rimedo	anticipation	0.531
forming	formante	anticipation	0.531
hurried	rapidis	anticipation	0.531
responsive	respondema	anticipation	0.531
virginity	virginecon	anticipation	0.531
deliverance	savo	anticipation	0.531
betrothed	fianĉino	anticipation	0.531
overthrow	renversi	anticipation	0.531
harbinger	harbinger	anticipation	0.531
raving	ravante	anticipation	0.531
celestial	Celestial	anticipation	0.531
dread	timu	anticipation	0.531
germination	germinado	anticipation	0.523
preparatory	preparatoria	anticipation	0.523
pleasant	agrabla	anticipation	0.523
watch	rigardu	anticipation	0.523
prophet	profeto	anticipation	0.523
prognostic	prognoza	anticipation	0.523
haste	rapida	anticipation	0.523
planning	planado	anticipation	0.523
importance	graveco	anticipation	0.523
radiance	radianco	anticipation	0.523
prevail	triumfi	anticipation	0.523
cheery	ĝojo	anticipation	0.523
competition	konkurenco	anticipation	0.523
ultimately	finfine	anticipation	0.523
revive	revivi	anticipation	0.523
beaming	rakante	anticipation	0.523
wait	atendu	anticipation	0.523
child	infano	anticipation	0.523
notification	sciigo	anticipation	0.523
hunter	ĉasisto	anticipation	0.523
explosive	eksploda	anticipation	0.523
endanger	endanĝerigi	anticipation	0.516
time	tempo	anticipation	0.516
recreation	amuzaĵo	anticipation	0.516
renovation	renovigo	anticipation	0.516
precious	grandvalora	anticipation	0.516
begun	komencita	anticipation	0.516
loom	lumo	anticipation	0.516
compensate	kompensu	anticipation	0.516
treat	trakti	anticipation	0.516
uncontrollable	incontrolable	anticipation	0.516
present	ĉeestanta	anticipation	0.516
salary	salajro	anticipation	0.516
celebrity	famulo	anticipation	0.516
owing	pro tio	anticipation	0.516
chocolate	ĉokolado	anticipation	0.516
caution	singardemo	anticipation	0.516
fermentation	fermentado	anticipation	0.516
sensuality	sensualidad	anticipation	0.516
wilderness	dezerto	anticipation	0.508
signify	signifi	anticipation	0.508
transitional	transira	anticipation	0.508
intermission	interrompo	anticipation	0.508
contemplation	kontemplado	anticipation	0.508
vigilance	vigla	anticipation	0.508
commemoration	memorfestado	anticipation	0.508
practise	praktiki	anticipation	0.508
cue	cue	anticipation	0.508
infant	infano	anticipation	0.508
dreadful	terura	anticipation	0.508
perfection	perfekteco	anticipation	0.508
elevation	alto	anticipation	0.508
prerequisite	kondiĉo	anticipation	0.508
cultivate	kultivi	anticipation	0.508
horizon	horizonto	anticipation	0.508
develop	disvolvi	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	naĝi	anticipation	0.500
attendance	asistencia	anticipation	0.500
nascent	komencanto	anticipation	0.500
favorable	favora	anticipation	0.500
peril	danĝero	anticipation	0.500
income	enspezoj	anticipation	0.500
ardent	arda	anticipation	0.500
commemorate	memorfesti	anticipation	0.500
doomsday	finfine	anticipation	0.500
reconciliation	reconciliación	anticipation	0.500
utopian	utopian	anticipation	0.500
romantic	romantika	anticipation	0.500
unbridled	senbrida	anticipation	0.500
sunny	sunplena	anticipation	0.500
uphill	supre	anticipation	0.500
intuitively	intuicie	anticipation	0.500
depart	foriru	anticipation	0.500
eventuality	eventualeco	anticipation	0.500
puppy	hundido	anticipation	0.500
zeal	fervoro	anticipation	0.500
sneaking	sneaking	anticipation	0.500
ready	preta	anticipation	0.500
advocacy	rekompenco	anticipation	0.500
airport	flughaveno	anticipation	0.500
litigate	malpermesu	anticipation	0.500
blindfold	duobla	anticipation	0.500
undisclosed	malkaŝita	anticipation	0.500
young	juna	anticipation	0.500
horoscope	horoskopo	anticipation	0.500
invocation	alvoko	anticipation	0.500
calculation	kalkulo	anticipation	0.500
hero	heroo	anticipation	0.500
court	tribunalo	anticipation	0.492
repay	repagi	anticipation	0.492
improvise	improvizi	anticipation	0.492
parole	paroli	anticipation	0.492
worry	maltrankviliĝu	anticipation	0.492
inauguration	inaŭguro	anticipation	0.492
gaping	gapante	anticipation	0.492
youth	juneco	anticipation	0.492
bless	benu	anticipation	0.492
defense	defendo	anticipation	0.492
heyday	heyday	anticipation	0.492
consequent	konsekvenca	anticipation	0.492
proceeding	procedante	anticipation	0.492
eventual	eventuale	anticipation	0.492
perspective	perspektivo	anticipation	0.492
restorative	restariga	anticipation	0.492
undertaking	entrepreni	anticipation	0.492
highest	plej alta	anticipation	0.491
duel	duelo	anticipation	0.484
unexplained	neklarigebla	anticipation	0.484
tremor	tremo	anticipation	0.484
sharpen	akkuzi	anticipation	0.484
generosity	generosidad	anticipation	0.484
voluptuous	voluptuosa	anticipation	0.484
shortly	baldaŭ	anticipation	0.484
vow	promeson	anticipation	0.484
contagion	kontakto	anticipation	0.484
letter	letero	anticipation	0.484
happen	okazas	anticipation	0.484
threaten	minacas	anticipation	0.484
conjure	konsekri	anticipation	0.484
sparkle	ekbrilo	anticipation	0.484
engulf	engulf	anticipation	0.484
god	Dio	anticipation	0.484
correspondence	korespondado	anticipation	0.484
auspicious	auspicaj	anticipation	0.484
princely	princie	anticipation	0.484
adore	adori	anticipation	0.477
enroll	enskribi	anticipation	0.477
determinate	determinita	anticipation	0.477
predispose	predisponi	anticipation	0.477
clue	pardonu	anticipation	0.477
onset	komenco	anticipation	0.477
powerful	potenca	anticipation	0.477
glorify	gloru	anticipation	0.477
glow	brilas	anticipation	0.477
arbitration	arbitracio	anticipation	0.477
torture	torturo	anticipation	0.477
gravitate	gravitu	anticipation	0.477
cherish	ĉesu	anticipation	0.477
contemplate	kontempli	anticipation	0.477
submit	sendu	anticipation	0.477
perilous	peza	anticipation	0.477
unification	unuiĝo	anticipation	0.477
score	poentaro	anticipation	0.477
medal	medalo	anticipation	0.477
glide	plani	anticipation	0.477
recipient	ricevanto	anticipation	0.477
accompaniment	akompano	anticipation	0.477
praiseworthy	laŭdinda	anticipation	0.473
providing	provizante	anticipation	0.469
motion	movado	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	singardema	anticipation	0.469
cash	mono	anticipation	0.469
precursor	pioniro	anticipation	0.469
opera	opero	anticipation	0.469
elite	elito	anticipation	0.469
pry	pry	anticipation	0.469
hire	dungi	anticipation	0.469
sweets	dolĉaĵoj	anticipation	0.469
star	stelo	anticipation	0.469
unsurpassed	sen sukceso	anticipation	0.469
successful	sukcesa	anticipation	0.469
unknown	nekonata	anticipation	0.469
immediately	tuj	anticipation	0.469
starry	stelo	anticipation	0.469
production	produktado	anticipation	0.469
football	futbalo	anticipation	0.469
completion	finaĵo	anticipation	0.469
scare	timigi	anticipation	0.469
invoke	invokas	anticipation	0.469
shaky	malklara	anticipation	0.469
dawn	tagiĝo	anticipation	0.469
creeping	rampante	anticipation	0.469
cheerfulness	gajeco	anticipation	0.461
soundness	soneco	anticipation	0.461
mail	poŝto	anticipation	0.461
draft	projekto	anticipation	0.461
preliminary	preliminar	anticipation	0.461
friendly	amika	anticipation	0.461
commemorative	conmemorativa	anticipation	0.461
extricate	ekskludi	anticipation	0.461
alive	viva	anticipation	0.461
untold	senkonscii	anticipation	0.461
overture	malfermo	anticipation	0.461
excel	elstari	anticipation	0.461
plight	malfeliĉo	anticipation	0.461
synchronize	sinkronigi	anticipation	0.461
punt	puno	anticipation	0.461
sanctuary	sanktejo	anticipation	0.461
brilliant	brila	anticipation	0.461
pay	pagu	anticipation	0.461
shining	brilanta	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	testamento	anticipation	0.461
jeopardy	kompromito	anticipation	0.461
perpetuity	eterneco	anticipation	0.453
elegance	eleganteco	anticipation	0.453
career	kariero	anticipation	0.453
basketball	basketbalo	anticipation	0.453
intimately	intime	anticipation	0.453
renovate	renovigi	anticipation	0.453
supremacy	supereco	anticipation	0.453
infinity	multego	anticipation	0.453
unexpected	Neatendita	anticipation	0.453
flinch	kliniĝu	anticipation	0.453
complement	komplemento	anticipation	0.453
prologue	antaŭparolo	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	antaŭzorgo	anticipation	0.453
improve	plibonigi	anticipation	0.453
sunset	sunsubiro	anticipation	0.453
inaugural	inaŭgura	anticipation	0.453
rehabilitation	rehabilitación	anticipation	0.453
fitting	taŭga	anticipation	0.445
surround	ĉirkaŭi	anticipation	0.445
share	kunhavigi	anticipation	0.445
epidemic	epidemio	anticipation	0.445
sweet	dolĉa	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	kaŝado	anticipation	0.445
confidence	konfido	anticipation	0.445
perfect	perfekta	anticipation	0.445
sun	sunon	anticipation	0.445
veracity	vereco	anticipation	0.445
volunteer	volontulo	anticipation	0.445
conjecture	konjektas	anticipation	0.445
medical	medicinaj	anticipation	0.438
prepared	preta	anticipation	0.438
superstitious	superstiĉa	anticipation	0.438
reconstruction	rekonstruo	anticipation	0.438
tickle	tikli	anticipation	0.438
faith	fido	anticipation	0.438
passenger	pasaĝero	anticipation	0.438
saint	sanktulo	anticipation	0.438
respect	respekto	anticipation	0.438
rabid	rabema	anticipation	0.438
reconstruct	rekonstrui	anticipation	0.438
recombination	rekominaĵo	anticipation	0.438
devout	beata	anticipation	0.438
goodness	bonon	anticipation	0.438
angel	anĝelo	anticipation	0.438
ferment	fermenti	anticipation	0.438
plea	peto	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	seria	anticipation	0.438
conservation	konservado	anticipation	0.438
serenity	sereneco	anticipation	0.430
tabulate	tabulado	anticipation	0.430
install	instali	anticipation	0.430
labyrinth	labirinto	anticipation	0.430
venerable	respektinda	anticipation	0.430
perpetuate	eternigi	anticipation	0.430
strategist	strategisto	anticipation	0.430
unverified	nevidebla	anticipation	0.430
tribunal	tribunalo	anticipation	0.430
charitable	bonfara	anticipation	0.430
luscious	ridinda	anticipation	0.430
spa	banurbo	anticipation	0.430
peace	paco	anticipation	0.430
clap	kroĉu	anticipation	0.430
conspirator	konspiro	anticipation	0.422
forestall	arbaro	anticipation	0.422
patience	pacienco	anticipation	0.422
oasis	oazo	anticipation	0.422
grin	gaja	anticipation	0.422
revere	malĝojo	anticipation	0.422
worship	kulto	anticipation	0.422
vista	vido	anticipation	0.422
laughter	ridado	anticipation	0.422
volatility	volatilidad	anticipation	0.422
adrift	adiaŭi	anticipation	0.422
candid	kuraĝa	anticipation	0.422
edification	edificación	anticipation	0.422
unresolved	ne solvita	anticipation	0.422
peaceful	paca	anticipation	0.422
recognizable	rekonebla	anticipation	0.422
calls	nomitaj	anticipation	0.414
weigh	pesi	anticipation	0.414
probation	provo	anticipation	0.414
proficiency	kapableco	anticipation	0.414
morn	mateno	anticipation	0.414
craps	krapoj	anticipation	0.414
detainee	detenita	anticipation	0.414
mediate	median	anticipation	0.414
continue	daŭrigu	anticipation	0.414
astrologer	astrologo	anticipation	0.414
punctual	Pute	anticipation	0.414
ordination	ordigo	anticipation	0.414
pretty	bela	anticipation	0.414
thought	pensis	anticipation	0.414
grant	Donu	anticipation	0.414
withstand	rezisti	anticipation	0.414
frisky	freneza	anticipation	0.414
ongoing	daŭranta	anticipation	0.414
sing	kantu	anticipation	0.411
long	longa	anticipation	0.406
confession	konfeso	anticipation	0.406
headlight	kaploko	anticipation	0.406
prophylactic	profiláctico	anticipation	0.406
mother	patrino	anticipation	0.406
debenture	debenturo	anticipation	0.406
wizard	sorĉisto	anticipation	0.406
university	universitato	anticipation	0.406
proud	fiera	anticipation	0.406
midwife	akuŝistino	anticipation	0.406
banquet	bankedo	anticipation	0.406
continuation	daŭrigo	anticipation	0.406
navigable	ŝipveturebla	anticipation	0.406
punished	punita	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	komforto	anticipation	0.406
opponent	kontraŭulo	anticipation	0.406
subscribe	aboni	anticipation	0.406
outdo	ekstere	anticipation	0.406
nurture	nutrado	anticipation	0.406
twinkle	bendu	anticipation	0.406
deal	trakti	anticipation	0.402
efficient	efika	anticipation	0.398
representing	reprezentanta	anticipation	0.398
simmer	mildigi	anticipation	0.398
symphony	simfonio	anticipation	0.398
judiciary	juĝistaro	anticipation	0.398
obliging	deviga	anticipation	0.398
saintly	Sanktulo	anticipation	0.398
vigil	vigla	anticipation	0.398
death	morto	anticipation	0.398
distracting	distri	anticipation	0.398
mortification	mortigo	anticipation	0.398
balm	balzamo	anticipation	0.398
guillotine	gilotino	anticipation	0.398
top	supro	anticipation	0.398
lettered	literoj	anticipation	0.398
reliance	fidindeco	anticipation	0.398
poke	poke	anticipation	0.391
unfulfilled	ne plenumita	anticipation	0.391
assurance	certigo	anticipation	0.391
condemnation	kondamno	anticipation	0.391
undoubted	sen dubo	anticipation	0.391
diplomacy	diplomatio	anticipation	0.391
familiarity	familiareco	anticipation	0.391
antidote	kontraŭveneno	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	objektiva	anticipation	0.391
maternal	patrina	anticipation	0.391
abeyance	afero	anticipation	0.391
art	arto	anticipation	0.391
linger	daŭri	anticipation	0.391
trust	konfidi	anticipation	0.391
depraved	depravita	anticipation	0.391
sanctify	sanktigu	anticipation	0.391
inoculation	inokulo	anticipation	0.384
chant	ĉanto	anticipation	0.383
banger	banger	anticipation	0.383
playground	ludejo	anticipation	0.383
failing	malsukcesante	anticipation	0.383
ship	ŝipo	anticipation	0.383
hymn	himno	anticipation	0.383
simplify	simpligi	anticipation	0.383
ram	RAM	anticipation	0.383
labor	laboro	anticipation	0.383
discretion	bontrovo	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	bona	anticipation	0.383
scientist	scienculo	anticipation	0.383
undecided	hezitema	anticipation	0.383
humanitarian	humana	anticipation	0.383
depend	dependas	anticipation	0.383
dutiful	kompatema	anticipation	0.383
clock	horloĝo	anticipation	0.375
sterling	sterlingo	anticipation	0.375
mountain	monto	anticipation	0.375
savor	savoro	anticipation	0.375
recurrent	recurrente	anticipation	0.375
interim	interimaj	anticipation	0.375
navigator	naviganto	anticipation	0.375
gradual	laŭgrada	anticipation	0.375
interminable	senfina	anticipation	0.375
track	aŭtoveturejo	anticipation	0.375
public	publika	anticipation	0.375
cradle	bazita	anticipation	0.375
concealed	kaŝita	anticipation	0.367
lesson	leciono	anticipation	0.367
instructions	instrukcioj	anticipation	0.367
shiver	tremu	anticipation	0.367
musical	muzika	anticipation	0.367
towering	turanta	anticipation	0.367
whim	kaprico	anticipation	0.367
spear	lanco	anticipation	0.367
convince	konvinki	anticipation	0.367
sonar	soni	anticipation	0.367
abide	restu	anticipation	0.367
biennial	dujara	anticipation	0.367
theology	teologio	anticipation	0.359
offset	kompenso	anticipation	0.359
atone	atone	anticipation	0.359
timidity	timemo	anticipation	0.359
theory	teorio	anticipation	0.359
undying	maldika	anticipation	0.359
plump	plump	anticipation	0.359
audience	aŭdienco	anticipation	0.357
nobility	nobelaro	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	dieta	anticipation	0.352
closure	fermo	anticipation	0.352
store	vendejo	anticipation	0.352
localize	lokalizi	anticipation	0.352
cramp	krampo	anticipation	0.352
daily	ĉiutage	anticipation	0.352
kindred	familio	anticipation	0.352
farm	bieno	anticipation	0.352
edition	eldono	anticipation	0.352
consecration	konsekrado	anticipation	0.352
archaeology	arkeologio	anticipation	0.344
mobile	poŝtelefono	anticipation	0.344
errand	ordono	anticipation	0.344
wireless	sendrata	anticipation	0.344
mutable	mutable	anticipation	0.344
meditate	meditu	anticipation	0.344
stripped	senvestigita	anticipation	0.344
lessen	malplenigi	anticipation	0.336
unaccountable	nekalkulebla	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	frato	anticipation	0.336
buddy	buddy	anticipation	0.336
unbeaten	neatenebla	anticipation	0.336
germ	ĝermo	anticipation	0.336
dove	kolombo	anticipation	0.328
digress	fosi	anticipation	0.328
ribbon	rubando	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	pacienca	anticipation	0.328
council	konsilio	anticipation	0.328
possess	posedi	anticipation	0.328
secular	sekulara	anticipation	0.328
chastity	castidad	anticipation	0.328
disposed	disponita	anticipation	0.320
regularity	reguleco	anticipation	0.320
mediator	interulo	anticipation	0.320
scrutinize	scrutini	anticipation	0.320
fancy	fantazio	anticipation	0.320
immature	nematura	anticipation	0.320
infanticide	infanmortigo	anticipation	0.320
heft	heft	anticipation	0.320
preservative	konservativa	anticipation	0.320
paddle	paŝu	anticipation	0.320
cove	volbo	anticipation	0.320
denying	neante	anticipation	0.312
bugle	buklo	anticipation	0.312
unpublished	inédita	anticipation	0.312
analyst	analizisto	anticipation	0.312
grim	grim	anticipation	0.312
church	preĝejo	anticipation	0.312
priesthood	pastreco	anticipation	0.305
mill	muelilo	anticipation	0.305
judicial	juĝa	anticipation	0.305
broadside	larĝa	anticipation	0.305
tributary	tributario	anticipation	0.297
cap	ĉapo	anticipation	0.297
thermocouple	termokalo	anticipation	0.297
dismay	konsterno	anticipation	0.297
instructor	instruisto	anticipation	0.297
saliva	salivo	anticipation	0.297
exhaustion	elĉerpiĝo	anticipation	0.297
bruise	bruiso	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	senhejma	anticipation	0.289
visor	Vizoro	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	reto	anticipation	0.289
shackle	kruĉu	anticipation	0.289
addresses	adresoj	anticipation	0.289
noncompliance	Nekomplikaĵo	anticipation	0.289
cataract	katarakto	anticipation	0.289
skewed	skuita	anticipation	0.281
astronomer	astronomo	anticipation	0.281
neighbor	najbaro	anticipation	0.281
holiness	sankteco	anticipation	0.273
devil	diablo	anticipation	0.273
cream	kremo	anticipation	0.273
picket	pikilo	anticipation	0.273
latent	latenta	anticipation	0.273
immaturity	Senmateco	anticipation	0.273
sentence	juĝa decido	anticipation	0.273
neighborhood	kvartalo	anticipation	0.266
morals	moralaj	anticipation	0.266
lull	lulilo	anticipation	0.266
habitual	kutima	anticipation	0.266
weight	pezo	anticipation	0.258
bye	adiaŭ	anticipation	0.258
forearm	antaŭbrako	anticipation	0.250
clown	pajaco	anticipation	0.250
organ	orgeno	anticipation	0.250
quote	citaĵo	anticipation	0.242
commonplace	komuna loko	anticipation	0.242
dictatorship	diktatoreco	anticipation	0.234
board	tabulo	anticipation	0.234
white	blanka	anticipation	0.234
treadmill	treadmilo	anticipation	0.234
rail	fervojo	anticipation	0.234
sundial	sunsubiro	anticipation	0.227
tree	arbo	anticipation	0.227
paralysis	paralizo	anticipation	0.211
worm	vermo	anticipation	0.203
organization	organizo	anticipation	0.203
cement	cemento	anticipation	0.203
lagging	malfiksante	anticipation	0.180
neutral	neŭtrala	anticipation	0.148
cannibalism	canibalismo	disgust	0.953
mutilation	mutilado	disgust	0.930
molestation	molestado	disgust	0.914
incest	incesto	disgust	0.914
gonorrhea	gonorreo	disgust	0.906
rape	seksperfortado	disgust	0.906
cannibal	canibalo	disgust	0.898
rot	turni	disgust	0.891
corpse	kadavro	disgust	0.883
massacre	masakro	disgust	0.883
excrement	ekskremento	disgust	0.883
slaughter	buĉado	disgust	0.875
barf	barfo	disgust	0.875
slaughterhouse	buĉejo	disgust	0.867
rancid	rankulo	disgust	0.859
sewerage	kloako	disgust	0.859
incestuous	incestuoso	disgust	0.859
filth	malpura	disgust	0.859
bigot	granda	disgust	0.859
infestation	infesto	disgust	0.852
plague	pesto	disgust	0.852
bloodthirsty	sangavaj	disgust	0.852
holocaust	holokaŭsto	disgust	0.852
rotting	turnado	disgust	0.844
maggot	sorĉisto	disgust	0.844
feces	hezoj	disgust	0.844
fecal	fekalo	disgust	0.844
murder	murdo	disgust	0.839
infanticide	infanmortigo	disgust	0.836
homicide	hommortigo	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	sklavoj	disgust	0.836
gore	gore	disgust	0.828
perverted	pervertita	disgust	0.828
torture	torturo	disgust	0.828
slaughtering	buĉante	disgust	0.828
excretion	ekskrecio	disgust	0.828
contaminate	polui	disgust	0.821
murderer	murdisto	disgust	0.820
gory	gory	disgust	0.820
repugnant	kontraŭa	disgust	0.820
desecration	desecración	disgust	0.820
grotesque	groteska	disgust	0.820
revolting	ribelante	disgust	0.820
diarrhoea	diareo	disgust	0.820
manure	manure	disgust	0.820
terrorist	teroristo	disgust	0.820
shit	mordeto	disgust	0.820
pervert	perversa	disgust	0.820
slavery	sklaveco	disgust	0.812
faeces	Hakoj	disgust	0.812
sewer	kloako	disgust	0.812
vomit	vomito	disgust	0.812
manslaughter	mortigo	disgust	0.812
dismemberment	desmembramiento	disgust	0.812
cadaver	kadavro	disgust	0.812
hemorrhage	hemorragia	disgust	0.805
repulsive	malklara	disgust	0.805
perverse	malica	disgust	0.805
filthy	malpura	disgust	0.797
sewage	kloakaĵo	disgust	0.797
depravity	depravado	disgust	0.797
diseased	malsana	disgust	0.797
carcass	kadavro	disgust	0.795
decompose	descompone	disgust	0.789
vermin	mino	disgust	0.789
puke	puke	disgust	0.789
parasite	parásito	disgust	0.789
horrific	terura	disgust	0.789
gruesome	terura	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	kripla	disgust	0.789
murderous	murdaj	disgust	0.789
decayed	dekadita	disgust	0.789
herpes	herpeto	disgust	0.789
slime	ŝlimo	disgust	0.781
flatulence	flatulenco	disgust	0.781
monstrosity	monstreco	disgust	0.781
carnage	karno	disgust	0.781
pestilence	pesto	disgust	0.781
malaria	malario	disgust	0.781
crap	plado	disgust	0.781
toxic	venena	disgust	0.773
loathsome	maldolĉa	disgust	0.773
insidious	insida	disgust	0.773
leprosy	lepro	disgust	0.773
morgue	morgu	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesviruso	disgust	0.773
whore	malĉastistino	disgust	0.766
cruel	kruela	disgust	0.766
repugnance	repugnance	disgust	0.766
revulsion	revulsion	disgust	0.766
xenophobia	xenofobio	disgust	0.766
regurgitation	regurgitado	disgust	0.766
anthrax	antrakso	disgust	0.766
lynch	Lynch	disgust	0.766
dissection	disección	disgust	0.759
canker	kruĉo	disgust	0.758
cruelty	krueleco	disgust	0.758
perversion	perverseco	disgust	0.758
evil	malbone	disgust	0.758
slum	ŝtono	disgust	0.758
infectious	infekta	disgust	0.758
mucous	mucoso	disgust	0.758
phlegm	flegmo	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	malkomponaĵo	disgust	0.750
sinister	sinistra	disgust	0.750
corrupting	korupte	disgust	0.750
demon	demono	disgust	0.742
stinking	stinkanta	disgust	0.742
septic	septika	disgust	0.742
