word	Cebuano-ceb	emotion	emotion-intensity-score
omen	omen	anticipation	0.570
attempt	pagsulay	anticipation	0.562
forewarned	gipasidan-an	anticipation	0.562
fun	makalingaw	anticipation	0.562
festival	pista	anticipation	0.562
trophy	trophy	anticipation	0.562
rejoice	magmaya	anticipation	0.562
fanfare	Gisulayan	anticipation	0.562
predilection	predilection	anticipation	0.562
exalt	pagbayaw	anticipation	0.562
parade	parade	anticipation	0.562
enchant	madanihon	anticipation	0.562
independence	kagawasan	anticipation	0.562
expose	ibutyag	anticipation	0.562
immortality	imortalidad	anticipation	0.562
expected	gilauman	anticipation	0.562
mysterious	misteryoso	anticipation	0.562
hypothesis	pangagpas	anticipation	0.562
accolade	pasidungog	anticipation	0.562
lover	mahigugmaon	anticipation	0.562
quicken	buhata	anticipation	0.562
champion	champion	anticipation	0.562
lovely	matahum	anticipation	0.555
rejoicing	kalipay	anticipation	0.555
grasping	paghawid	anticipation	0.555
grow	motubo	anticipation	0.555
curiosity	pagkamausisaon	anticipation	0.555
splendor	kahalangdon	anticipation	0.555
salvation	kaluwasan	anticipation	0.555
happy	malipayon	anticipation	0.555
oracle	orakulo	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	gibuksan	anticipation	0.555
boisterous	boisterous	anticipation	0.555
liberty	kagawasan	anticipation	0.555
heroism	pagkabayani	anticipation	0.555
feeling	pagbati	anticipation	0.555
shopping	pagpamalit	anticipation	0.555
fate	kapalaran	anticipation	0.555
uneasiness	kabalisa	anticipation	0.555
speculative	pangagpas	anticipation	0.555
changeable	mausab	anticipation	0.547
recreational	paglulinghayaw	anticipation	0.547
pray	ampo	anticipation	0.547
warn	nagpasidaan	anticipation	0.547
suspicious	katahap	anticipation	0.547
convergence	pagtagbo	anticipation	0.547
incite	pagdasig	anticipation	0.547
agape	agape	anticipation	0.547
morrow	ugma	anticipation	0.547
abundance	kabuhong	anticipation	0.547
delighted	nalipay	anticipation	0.547
resultant	resulta	anticipation	0.547
hungry	gutom	anticipation	0.547
monetary	kwarta	anticipation	0.547
vote	pagboto	anticipation	0.547
glory	himaya	anticipation	0.547
glimmer	glimmer	anticipation	0.547
apprehensive	nahadlok	anticipation	0.547
sorcery	pagpamarang	anticipation	0.547
bountiful	dagaya	anticipation	0.547
leisure	paglulinghayaw	anticipation	0.547
probability	kalagmitan	anticipation	0.547
auction	subasta	anticipation	0.539
hunting	pagpangayam	anticipation	0.539
contingent	contingent	anticipation	0.539
hankering	hankering	anticipation	0.539
sensual	mahilayon	anticipation	0.539
blessings	mga panalangin	anticipation	0.539
ballot	balota	anticipation	0.539
grandchildren	mga apo	anticipation	0.539
entertainment	kalingawan	anticipation	0.539
vindication	pagbayad	anticipation	0.539
worrying	nabalaka	anticipation	0.539
tempest	bagyo	anticipation	0.539
inquiry	pagpangutana	anticipation	0.539
merge	paghiusa	anticipation	0.539
exceed	molabaw	anticipation	0.539
bounty	bounty	anticipation	0.539
glad	malipayon	anticipation	0.536
magnificent	halangdon	anticipation	0.531
feat	kalamposan	anticipation	0.531
stealthy	pirme	anticipation	0.531
cheer	kalipay	anticipation	0.531
spirits	mga espiritu	anticipation	0.531
visitor	bisita	anticipation	0.531
appeal	apelar	anticipation	0.531
forming	pagtukod	anticipation	0.531
hurried	nagdali	anticipation	0.531
responsive	responsive	anticipation	0.531
virginity	pagkaulay	anticipation	0.531
deliverance	pagluwas	anticipation	0.531
betrothed	Gisulayan	anticipation	0.531
overthrow	pagkapukan	anticipation	0.531
harbinger	awhag	anticipation	0.531
raving	Naglibog	anticipation	0.531
celestial	celestial	anticipation	0.531
dread	kahadlok	anticipation	0.531
germination	pagtubo	anticipation	0.523
preparatory	pagpangandam	anticipation	0.523
pleasant	nindot	anticipation	0.523
watch	pagbantay	anticipation	0.523
prophet	propeta	anticipation	0.523
prognostic	panglantaw	anticipation	0.523
haste	pagdali	anticipation	0.523
planning	pagplano	anticipation	0.523
importance	kamahinungdanon	anticipation	0.523
radiance	kahayag	anticipation	0.523
prevail	mopatigbabaw	anticipation	0.523
cheery	malipayon	anticipation	0.523
competition	kompetisyon	anticipation	0.523
ultimately	sa katapusan	anticipation	0.523
revive	pagpabuhi	anticipation	0.523
beaming	naglihok	anticipation	0.523
wait	paghulat	anticipation	0.523
child	bata	anticipation	0.523
notification	pahibalo	anticipation	0.523
hunter	mangangayam	anticipation	0.523
explosive	eksplosibo	anticipation	0.523
endanger	makuyaw	anticipation	0.516
time	panahon	anticipation	0.516
recreation	paglingaw-lingaw	anticipation	0.516
renovation	pagbag-o	anticipation	0.516
precious	bililhon	anticipation	0.516
begun	nagsugod	anticipation	0.516
loom	hablanan	anticipation	0.516
compensate	pagbayad	anticipation	0.516
treat	pagtagad	anticipation	0.516
uncontrollable	dili mapugngan	anticipation	0.516
present	karon	anticipation	0.516
salary	sweldo	anticipation	0.516
celebrity	artista	anticipation	0.516
owing	utang	anticipation	0.516
chocolate	chocolate	anticipation	0.516
caution	Pasidaan	anticipation	0.516
fermentation	pag-ferment	anticipation	0.516
sensuality	kalaw-ayan	anticipation	0.516
wilderness	kamingawan	anticipation	0.508
signify	nagpasabot	anticipation	0.508
transitional	transisyonal	anticipation	0.508
intermission	paghunong	anticipation	0.508
contemplation	pagpamalandong	anticipation	0.508
vigilance	pagbantay	anticipation	0.508
commemoration	paghandum	anticipation	0.508
practise	pagbansay	anticipation	0.508
cue	cue	anticipation	0.508
infant	bata	anticipation	0.508
dreadful	makalilisang	anticipation	0.508
perfection	pagkahingpit	anticipation	0.508
elevation	pagtubo	anticipation	0.508
prerequisite	gikinahanglan	anticipation	0.508
cultivate	pag-ugmad	anticipation	0.508
horizon	kapunawpunawan	anticipation	0.508
develop	paglambo	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	paglangoy	anticipation	0.500
attendance	pagtambong	anticipation	0.500
nascent	nagsugod	anticipation	0.500
favorable	paborable	anticipation	0.500
peril	katalagman	anticipation	0.500
income	kita	anticipation	0.500
ardent	ardent	anticipation	0.500
commemorate	paghandum	anticipation	0.500
doomsday	kataposan sa kalibotan	anticipation	0.500
reconciliation	pagpasig-uli	anticipation	0.500
utopian	utopian	anticipation	0.500
romantic	romantiko	anticipation	0.500
unbridled	dili mapugngan	anticipation	0.500
sunny	sunny	anticipation	0.500
uphill	uphill	anticipation	0.500
intuitively	intuitively	anticipation	0.500
depart	pahawa	anticipation	0.500
eventuality	panghitabo	anticipation	0.500
puppy	itoy	anticipation	0.500
zeal	kakugi	anticipation	0.500
sneaking	paglighot	anticipation	0.500
ready	andam	anticipation	0.500
advocacy	adbokasiya	anticipation	0.500
airport	airport	anticipation	0.500
litigate	litokon	anticipation	0.500
blindfold	taptap sa mata	anticipation	0.500
undisclosed	wala mahibal-an	anticipation	0.500
young	batan-on	anticipation	0.500
horoscope	horoscope	anticipation	0.500
invocation	pagsangpit	anticipation	0.500
calculation	pagkalkulo	anticipation	0.500
hero	bayani	anticipation	0.500
court	korte	anticipation	0.492
repay	pagbayad	anticipation	0.492
improvise	pag-uswag	anticipation	0.492
parole	parole	anticipation	0.492
worry	kabalaka	anticipation	0.492
inauguration	inagurasyon	anticipation	0.492
gaping	gape	anticipation	0.492
youth	kabatan-onan	anticipation	0.492
bless	pagpanalangin	anticipation	0.492
defense	depensa	anticipation	0.492
heyday	heyday	anticipation	0.492
consequent	resulta	anticipation	0.492
proceeding	nagpadayon	anticipation	0.492
eventual	sa katapusan	anticipation	0.492
perspective	panglantaw	anticipation	0.492
restorative	pagpasig-uli	anticipation	0.492
undertaking	kalihokan	anticipation	0.492
highest	labing taas	anticipation	0.491
duel	duel	anticipation	0.484
unexplained	wala'y gisulti	anticipation	0.484
tremor	pagkurog	anticipation	0.484
sharpen	mahait	anticipation	0.484
generosity	pagkamahinatagon	anticipation	0.484
voluptuous	talagsaon	anticipation	0.484
shortly	wala madugay	anticipation	0.484
vow	panaad	anticipation	0.484
contagion	contagion	anticipation	0.484
letter	sulat	anticipation	0.484
happen	mahitabo	anticipation	0.484
threaten	naghulga	anticipation	0.484
conjure	pagpuyo	anticipation	0.484
sparkle	sparkle	anticipation	0.484
engulf	makalibog	anticipation	0.484
god	Dios	anticipation	0.484
correspondence	sulat	anticipation	0.484
auspicious	mapuslanon	anticipation	0.484
princely	prinsipe	anticipation	0.484
adore	adore	anticipation	0.477
enroll	pagpalista	anticipation	0.477
determinate	determinado	anticipation	0.477
predispose	predispose	anticipation	0.477
clue	pahibal-an	anticipation	0.477
onset	pagsugod	anticipation	0.477
powerful	gamhanan	anticipation	0.477
glorify	paghimaya	anticipation	0.477
glow	kahayag	anticipation	0.477
arbitration	arbitrasyon	anticipation	0.477
torture	torture	anticipation	0.477
gravitate	pagkalunod	anticipation	0.477
cherish	mahalon	anticipation	0.477
contemplate	hunahunaa	anticipation	0.477
submit	submit	anticipation	0.477
perilous	peligroso	anticipation	0.477
unification	paghiusa	anticipation	0.477
score	iskor	anticipation	0.477
medal	medal	anticipation	0.477
glide	pag-agas	anticipation	0.477
recipient	makadawat	anticipation	0.477
accompaniment	duyog	anticipation	0.477
praiseworthy	dalaygon	anticipation	0.473
providing	paghatag	anticipation	0.469
motion	paglihok	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	mabinantayon	anticipation	0.469
cash	cash	anticipation	0.469
precursor	pasiuna	anticipation	0.469
opera	opera	anticipation	0.469
elite	elite	anticipation	0.469
pry	pry	anticipation	0.469
hire	hire	anticipation	0.469
sweets	tam-is	anticipation	0.469
star	bituon	anticipation	0.469
unsurpassed	dili maunsa	anticipation	0.469
successful	malampuson	anticipation	0.469
unknown	wala mailhi	anticipation	0.469
immediately	diha-diha dayon	anticipation	0.469
starry	bituon	anticipation	0.469
production	produksyon	anticipation	0.469
football	football	anticipation	0.469
completion	pagkompleto	anticipation	0.469
scare	mahadlok	anticipation	0.469
invoke	pangayo	anticipation	0.469
shaky	kahadlok	anticipation	0.469
dawn	kaadlawon	anticipation	0.469
creeping	nagakamang	anticipation	0.469
cheerfulness	malipayon	anticipation	0.461
soundness	pagkamaayo	anticipation	0.461
mail	mail	anticipation	0.461
draft	draft	anticipation	0.461
preliminary	pasiuna	anticipation	0.461
friendly	mahigalaon	anticipation	0.461
commemorative	commemorative	anticipation	0.461
extricate	ipagawas	anticipation	0.461
alive	buhi	anticipation	0.461
untold	dili maihap	anticipation	0.461
overture	sobra	anticipation	0.461
excel	excel	anticipation	0.461
plight	kahimtang	anticipation	0.461
synchronize	i-synchronize	anticipation	0.461
punt	punto	anticipation	0.461
sanctuary	santuaryo	anticipation	0.461
brilliant	hayag	anticipation	0.461
pay	pagbayad	anticipation	0.461
shining	nagsidlak	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	Tugon	anticipation	0.461
jeopardy	katalagman	anticipation	0.461
perpetuity	walay katapusan	anticipation	0.453
elegance	elegante	anticipation	0.453
career	karera	anticipation	0.453
basketball	basketball	anticipation	0.453
intimately	suod nga higala	anticipation	0.453
renovate	pag-ayo	anticipation	0.453
supremacy	supremacy	anticipation	0.453
infinity	walay katapusan	anticipation	0.453
unexpected	wala damha	anticipation	0.453
flinch	nagkurog	anticipation	0.453
complement	katimbang	anticipation	0.453
prologue	prologo	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	pagpugong	anticipation	0.453
improve	sa pagpalambo sa	anticipation	0.453
sunset	pagsalop sa adlaw	anticipation	0.453
inaugural	inaugural	anticipation	0.453
rehabilitation	rehabilitasyon	anticipation	0.453
fitting	haom	anticipation	0.445
surround	palibut	anticipation	0.445
share	pagpakigbahin	anticipation	0.445
epidemic	epidemya	anticipation	0.445
sweet	matam-is	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	pagtago	anticipation	0.445
confidence	pagsalig	anticipation	0.445
perfect	hingpit	anticipation	0.445
sun	adlaw	anticipation	0.445
veracity	pagkatinuod	anticipation	0.445
volunteer	boluntaryo	anticipation	0.445
conjecture	panghunahuna	anticipation	0.445
medical	medikal	anticipation	0.438
prepared	andam	anticipation	0.438
superstitious	matuotuohon	anticipation	0.438
reconstruction	pagtukod pag-usab	anticipation	0.438
tickle	tickle	anticipation	0.438
faith	pagsalig	anticipation	0.438
passenger	pasahero	anticipation	0.438
saint	santos	anticipation	0.438
respect	pagtahod	anticipation	0.438
rabid	rabid	anticipation	0.438
reconstruct	pag-reconstruct	anticipation	0.438
recombination	recombination	anticipation	0.438
devout	diosnon	anticipation	0.438
goodness	kaayo	anticipation	0.438
angel	anghel	anticipation	0.438
ferment	pag-ilis	anticipation	0.438
plea	pangaliya	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	Serial	anticipation	0.438
conservation	konserbasyon	anticipation	0.438
serenity	kalinaw	anticipation	0.430
tabulate	tabulate	anticipation	0.430
install	pag-instalar	anticipation	0.430
labyrinth	labirint	anticipation	0.430
venerable	halangdon	anticipation	0.430
perpetuate	magpadayon	anticipation	0.430
strategist	strategist	anticipation	0.430
unverified	dili na masulbad	anticipation	0.430
tribunal	tribunal	anticipation	0.430
charitable	mahigugmaon	anticipation	0.430
luscious	luscious	anticipation	0.430
spa	spa	anticipation	0.430
peace	kalinaw	anticipation	0.430
clap	magpakpak	anticipation	0.430
conspirator	Nagplano	anticipation	0.422
forestall	kalinaw	anticipation	0.422
patience	pailub	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	grin	anticipation	0.422
revere	nagpasidungog	anticipation	0.422
worship	pagsimba	anticipation	0.422
vista	vista	anticipation	0.422
laughter	katawa	anticipation	0.422
volatility	pagkasuka	anticipation	0.422
adrift	hinay-hinay	anticipation	0.422
candid	dili tinuod	anticipation	0.422
edification	pagpalig-on	anticipation	0.422
unresolved	wala masulbad	anticipation	0.422
peaceful	malinawon	anticipation	0.422
recognizable	makilala	anticipation	0.422
calls	nagtawag	anticipation	0.414
weigh	timbangon	anticipation	0.414
probation	pagsulay	anticipation	0.414
proficiency	kahanas	anticipation	0.414
morn	sa buntag	anticipation	0.414
craps	craps	anticipation	0.414
detainee	detenido	anticipation	0.414
mediate	pag-agi	anticipation	0.414
continue	magpadayon	anticipation	0.414
astrologer	astrologo	anticipation	0.414
punctual	punctual	anticipation	0.414
ordination	ordinasyon	anticipation	0.414
pretty	gwapa	anticipation	0.414
thought	naghunahuna	anticipation	0.414
grant	paghatag	anticipation	0.414
withstand	pag-antos	anticipation	0.414
frisky	makuyaw	anticipation	0.414
ongoing	nagpadayon	anticipation	0.414
sing	kantaha	anticipation	0.411
long	dugay	anticipation	0.406
confession	pagsugid	anticipation	0.406
headlight	headlight	anticipation	0.406
prophylactic	prophylactic	anticipation	0.406
mother	inahan	anticipation	0.406
debenture	debenture	anticipation	0.406
wizard	wizard	anticipation	0.406
university	unibersidad	anticipation	0.406
proud	mapahitas-on	anticipation	0.406
midwife	mananabang	anticipation	0.406
banquet	bangkete	anticipation	0.406
continuation	pagpadayon	anticipation	0.406
navigable	malipayon	anticipation	0.406
punished	gisilotan	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	paghupay	anticipation	0.406
opponent	kaatbang	anticipation	0.406
subscribe	subscribe	anticipation	0.406
outdo	Gawas pa	anticipation	0.406
nurture	pag-amuma	anticipation	0.406
twinkle	pagkidlap	anticipation	0.406
deal	atubang	anticipation	0.402
efficient	hapsay	anticipation	0.398
representing	nagrepresentar	anticipation	0.398
simmer	simmer	anticipation	0.398
symphony	symphony	anticipation	0.398
judiciary	judiciary	anticipation	0.398
obliging	mapugos	anticipation	0.398
saintly	balaan	anticipation	0.398
vigil	vigil	anticipation	0.398
death	kamatayon	anticipation	0.398
distracting	makalinga	anticipation	0.398
mortification	pagpaubos	anticipation	0.398
balm	balsamo	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	ibabaw	anticipation	0.398
lettered	sulat	anticipation	0.398
reliance	pagsalig	anticipation	0.398
poke	poke	anticipation	0.391
unfulfilled	wala matuman	anticipation	0.391
assurance	kasiguroan	anticipation	0.391
condemnation	panghimaraut	anticipation	0.391
undoubted	wala'y kabalaka	anticipation	0.391
diplomacy	diplomasya	anticipation	0.391
familiarity	pamilyar	anticipation	0.391
antidote	antidote	anticipation	0.391
chuckle	nanghupaw	anticipation	0.391
objective	tumong	anticipation	0.391
maternal	inahan	anticipation	0.391
abeyance	abeyance	anticipation	0.391
art	art	anticipation	0.391
linger	nagpabilin	anticipation	0.391
trust	pagsalig	anticipation	0.391
depraved	nahugawan	anticipation	0.391
sanctify	magbalaan	anticipation	0.391
inoculation	inoculation	anticipation	0.384
chant	awit	anticipation	0.383
banger	banger	anticipation	0.383
playground	playground	anticipation	0.383
failing	pagkapakyas	anticipation	0.383
ship	barko	anticipation	0.383
hymn	himno	anticipation	0.383
simplify	pasimplehon	anticipation	0.383
ram	karnero	anticipation	0.383
labor	paghago	anticipation	0.383
discretion	pagkabuotan	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	maayo	anticipation	0.383
scientist	siyentipiko	anticipation	0.383
undecided	nga wala'y mahimo	anticipation	0.383
humanitarian	humanitarian	anticipation	0.383
depend	nagsalig	anticipation	0.383
dutiful	dutiful	anticipation	0.383
clock	orasan	anticipation	0.375
sterling	maayo	anticipation	0.375
mountain	bukid	anticipation	0.375
savor	lami	anticipation	0.375
recurrent	balik-balik	anticipation	0.375
interim	interim	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	anam-anam	anticipation	0.375
interminable	walay katapusan	anticipation	0.375
track	track	anticipation	0.375
public	publiko	anticipation	0.375
cradle	duyan	anticipation	0.375
concealed	natago	anticipation	0.367
lesson	leksyon	anticipation	0.367
instructions	mga instruksyon	anticipation	0.367
shiver	pagkurog	anticipation	0.367
musical	musikal	anticipation	0.367
towering	taas nga bukid	anticipation	0.367
whim	kahinam	anticipation	0.367
spear	sibat	anticipation	0.367
convince	kombinsido	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	magpabilin	anticipation	0.367
biennial	biennial	anticipation	0.367
theology	teolohiya	anticipation	0.359
offset	gibug-aton	anticipation	0.359
atone	pagtan-aw	anticipation	0.359
timidity	timidity	anticipation	0.359
theory	teorya	anticipation	0.359
undying	dili mahitabo	anticipation	0.359
plump	tambok	anticipation	0.359
audience	mamiminaw	anticipation	0.357
nobility	kadungganan	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	pagkaon	anticipation	0.352
closure	pagsira	anticipation	0.352
store	tindahan	anticipation	0.352
localize	localize	anticipation	0.352
cramp	cramp	anticipation	0.352
daily	adlaw-adlaw	anticipation	0.352
kindred	mga kaliwatan	anticipation	0.352
farm	umahan	anticipation	0.352
edition	edisyon	anticipation	0.352
consecration	pagpahinungod	anticipation	0.352
archaeology	arkeolohiya	anticipation	0.344
mobile	mobile	anticipation	0.344
errand	gipadala	anticipation	0.344
wireless	wireless	anticipation	0.344
mutable	mausab	anticipation	0.344
meditate	pagpamalandong	anticipation	0.344
stripped	gikuha	anticipation	0.344
lessen	pagkunhod	anticipation	0.336
unaccountable	dili maisip	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	igsoon nga lalaki	anticipation	0.336
buddy	buddy	anticipation	0.336
unbeaten	walay pilde	anticipation	0.336
germ	kagaw	anticipation	0.336
dove	salampati	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	ribbon	anticipation	0.328
olfactory	oliba	anticipation	0.328
patient	mapailubon	anticipation	0.328
council	konseho	anticipation	0.328
possess	pag-angkon	anticipation	0.328
secular	sekular	anticipation	0.328
chastity	kaputli	anticipation	0.328
disposed	nahimulag	anticipation	0.320
regularity	pagkaparehas	anticipation	0.320
mediator	tigpataliwala	anticipation	0.320
scrutinize	susihon	anticipation	0.320
fancy	nindot	anticipation	0.320
immature	wala pa	anticipation	0.320
infanticide	pagpatay sa masuso	anticipation	0.320
heft	heft	anticipation	0.320
preservative	preserbatibo	anticipation	0.320
paddle	paddle	anticipation	0.320
cove	cove	anticipation	0.320
denying	paglimod	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	wala mamantala	anticipation	0.312
analyst	analista	anticipation	0.312
grim	grim	anticipation	0.312
church	simbahan	anticipation	0.312
priesthood	pagkapari	anticipation	0.305
mill	galingan	anticipation	0.305
judicial	judicial	anticipation	0.305
broadside	broadside	anticipation	0.305
tributary	tigbayad sa buhis	anticipation	0.297
cap	Cap	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	kaguol	anticipation	0.297
instructor	instruktor	anticipation	0.297
saliva	laway	anticipation	0.297
exhaustion	kakapoy	anticipation	0.297
bruise	bruise	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	walay balay	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	network	anticipation	0.289
shackle	pagdako	anticipation	0.289
addresses	mga pakigpulong	anticipation	0.289
noncompliance	dili pagsunod	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	astronomo	anticipation	0.281
neighbor	silingan	anticipation	0.281
holiness	pagkabalaan	anticipation	0.273
devil	yawa	anticipation	0.273
cream	cream	anticipation	0.273
picket	piket	anticipation	0.273
latent	tago	anticipation	0.273
immaturity	pagkadili	anticipation	0.273
sentence	paghukom	anticipation	0.273
neighborhood	kasilinganan	anticipation	0.266
morals	moralidad	anticipation	0.266
lull	lull	anticipation	0.266
habitual	kinaiyanhon	anticipation	0.266
weight	gibug-aton	anticipation	0.258
bye	bye	anticipation	0.258
forearm	bukton	anticipation	0.250
clown	clown	anticipation	0.250
organ	organ	anticipation	0.250
quote	pagkutlo	anticipation	0.242
commonplace	ordinaryo na kaayo	anticipation	0.242
dictatorship	diktadurya	anticipation	0.234
board	board	anticipation	0.234
white	puti	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	riles	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	kahoy	anticipation	0.227
paralysis	paralysis	anticipation	0.211
worm	ulod	anticipation	0.203
organization	organisasyon	anticipation	0.203
cement	semento	anticipation	0.203
lagging	pagkawala	anticipation	0.180
neutral	neyutral	anticipation	0.148
cannibalism	cannibalism	disgust	0.953
mutilation	mutilation	disgust	0.930
molestation	molestation	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	paglugos	disgust	0.906
cannibal	kanibal	disgust	0.898
rot	madunot	disgust	0.891
corpse	patay nga lawas	disgust	0.883
massacre	pagpamatay	disgust	0.883
excrement	kinalibang	disgust	0.883
slaughter	pagpamatay	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	pagpatay	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	hugaw	disgust	0.859
incestuous	insesto	disgust	0.859
filth	kahugaw	disgust	0.859
bigot	bigot	disgust	0.859
infestation	paghugpa	disgust	0.852
plague	hampak	disgust	0.852
bloodthirsty	uhaw sa dugo	disgust	0.852
holocaust	holocaust	disgust	0.852
rotting	pagkaguba	disgust	0.844
maggot	ulod	disgust	0.844
feces	hugaw	disgust	0.844
fecal	hugaw	disgust	0.844
murder	pagpatay	disgust	0.839
infanticide	pagpatay sa masuso	disgust	0.836
homicide	homicide	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	naulipon	disgust	0.836
gore	gore	disgust	0.828
perverted	hiwi	disgust	0.828
torture	torture	disgust	0.828
slaughtering	pagpatay	disgust	0.828
excretion	paghubas	disgust	0.828
contaminate	hugaw	disgust	0.821
murderer	mamumuno	disgust	0.820
gory	gory	disgust	0.820
repugnant	salawayon	disgust	0.820
desecration	pagpakasala	disgust	0.820
grotesque	grotesque	disgust	0.820
revolting	mabangis	disgust	0.820
diarrhoea	kalibang	disgust	0.820
manure	manure	disgust	0.820
terrorist	terorista	disgust	0.820
shit	shit	disgust	0.820
pervert	hiwi	disgust	0.820
slavery	pagkaulipon	disgust	0.812
faeces	mga dahon	disgust	0.812
sewer	hugaw	disgust	0.812
vomit	gisuka	disgust	0.812
manslaughter	pagpatay sa tawo	disgust	0.812
dismemberment	pagbungkag	disgust	0.812
cadaver	cadaver	disgust	0.812
hemorrhage	pagdugo	disgust	0.805
repulsive	makaluluoy	disgust	0.805
perverse	hiwi	disgust	0.805
filthy	mahugaw	disgust	0.797
sewage	hugaw	disgust	0.797
depravity	pagkadautan	disgust	0.797
diseased	masakiton	disgust	0.797
carcass	patay nga lawas	disgust	0.795
decompose	madunot	disgust	0.789
vermin	vermin	disgust	0.789
puke	puke	disgust	0.789
parasite	parasite	disgust	0.789
horrific	makalilisang	disgust	0.789
gruesome	makalilisang	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilated	disgust	0.789
murderous	pagpatay	disgust	0.789
decayed	pagkadunot	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	utok	disgust	0.781
monstrosity	pagkalabaw	disgust	0.781
carnage	pagpatay	disgust	0.781
pestilence	kamatay	disgust	0.781
malaria	malarya	disgust	0.781
crap	crap	disgust	0.781
toxic	makahilo	disgust	0.773
loathsome	makalagot	disgust	0.773
insidious	maliputon	disgust	0.773
leprosy	sanlahon	disgust	0.773
morgue	morgue	disgust	0.773
pus	puspos	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	mamumuno	disgust	0.766
cruel	mapintas	disgust	0.766
repugnance	pagkasuko	disgust	0.766
revulsion	pagbag-o	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	dissection	disgust	0.759
canker	canker	disgust	0.758
cruelty	kabangis	disgust	0.758
perversion	kahiwian	disgust	0.758
evil	dautan	disgust	0.758
slum	slum	disgust	0.758
infectious	makatakod	disgust	0.758
mucous	mucous	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	mga alimyon	disgust	0.750
decomposition	pagkadunot	disgust	0.750
sinister	daotan	disgust	0.750
corrupting	makadaot	disgust	0.750
demon	demonyo	disgust	0.742
stinking	baho	disgust	0.742
septic	septic	disgust	0.742
deranged	giyubit	disgust	0.742
bile	bile	disgust	0.742
soiled	nanglubog	disgust	0.742
mucus	mucus	disgust	0.742
abhorrence	pagdumot	disgust	0.742
abomination	dulumtanan	disgust	0.742
sickening	sakit	disgust	0.742
demonic	demonyohanon	disgust	0.742
foul	mahugaw	disgust	0.734
obese	obese	disgust	0.734
sicken	sicken	disgust	0.734
degeneracy	pagkaubos	disgust	0.734
crucifixion	paglansang sa krus	disgust	0.734
despicable	talamayon	disgust	0.734
cancer	kanser	disgust	0.734
atrocity	kasuko	disgust	0.734
terrorism	terorismo	disgust	0.734
dirty	hugaw	disgust	0.727
dysentery	dysentery	disgust	0.727
adultery	pagpanapaw	disgust	0.727
contamination	kontaminasyon	disgust	0.727
bacterium	bakterya	disgust	0.727
diabolical	yawan-on	disgust	0.727
morbidity	morbidity	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	pagdumot	disgust	0.727
enema	enema	disgust	0.727
contagion	contagion	disgust	0.719
disfigured	nangaguba	disgust	0.719
muck	muck	disgust	0.719
lewd	malaw-ay	disgust	0.719
garbage	basura	disgust	0.719
autopsy	autopsy	disgust	0.719
bowels	mga tiyan	disgust	0.719
gross	gross	disgust	0.719
vulgar	bulgar	disgust	0.719
barbaric	barbaric	disgust	0.719
disgust	kasuko	disgust	0.719
vicious	mapintas	disgust	0.719
entrails	mga entrails	disgust	0.719
deterioration	pagsamot	disgust	0.719
pungent	pungent	disgust	0.719
bloodshed	pagpaagas sa dugo	disgust	0.714
violent	mapintas	disgust	0.711
tyrant	tyrant	disgust	0.711
poisoned	hilo	disgust	0.711
pollute	paghugaw	disgust	0.711
wretched	makalolooy	disgust	0.711
