word	Finnish-fi	emotion	emotion-intensity-score
inaugural	virkaanastujaiset	anticipation	0.453
rehabilitation	kuntoutus	anticipation	0.453
fitting	asennus	anticipation	0.445
surround	ympäröidä	anticipation	0.445
share	Jaa	anticipation	0.445
epidemic	epidemia	anticipation	0.445
sweet	makea	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	salaaminen	anticipation	0.445
confidence	luottamus	anticipation	0.445
perfect	täydellinen	anticipation	0.445
sun	aurinko	anticipation	0.445
veracity	totuudenmukaisuus	anticipation	0.445
volunteer	vapaaehtoinen	anticipation	0.445
conjecture	otaksuma	anticipation	0.445
medical	lääketieteellinen	anticipation	0.438
prepared	valmis	anticipation	0.438
superstitious	taikauskoinen	anticipation	0.438
reconstruction	jälleenrakennus	anticipation	0.438
tickle	kutittaa	anticipation	0.438
faith	usko	anticipation	0.438
passenger	matkustaja	anticipation	0.438
saint	pyhimys	anticipation	0.438
respect	kunnioittaminen	anticipation	0.438
rabid	yltiöpäinen	anticipation	0.438
reconstruct	rekonstruoida	anticipation	0.438
recombination	rekombinaatio	anticipation	0.438
devout	harras	anticipation	0.438
goodness	hyvyys	anticipation	0.438
angel	enkeli	anticipation	0.438
ferment	käydä	anticipation	0.438
plea	vetoomus	anticipation	0.438
aloha	näkemiin	anticipation	0.438
serial	sarja	anticipation	0.438
conservation	säilyttäminen	anticipation	0.438
serenity	tyyneys	anticipation	0.430
tabulate	taulukoida	anticipation	0.430
install	Asentaa	anticipation	0.430
labyrinth	labyrintti	anticipation	0.430
venerable	kunnioitettava	anticipation	0.430
perpetuate	ikuistaa	anticipation	0.430
strategist	strategi	anticipation	0.430
unverified	vahvistamattomia	anticipation	0.430
tribunal	tuomioistuin	anticipation	0.430
charitable	hyväntekeväisyys-	anticipation	0.430
luscious	mehevä	anticipation	0.430
spa	kylpylä	anticipation	0.430
peace	rauha	anticipation	0.430
clap	taputtaa	anticipation	0.430
conspirator	salaliittolainen	anticipation	0.422
forestall	estää	anticipation	0.422
patience	kärsivällisyys	anticipation	0.422
oasis	keidas	anticipation	0.422
grin	virne	anticipation	0.422
revere	kunnioittaa syvästi	anticipation	0.422
worship	palvonta	anticipation	0.422
vista	näköala	anticipation	0.422
laughter	nauru	anticipation	0.422
volatility	haihtuvuus	anticipation	0.422
adrift	tuuliajolla	anticipation	0.422
candid	vilpitön	anticipation	0.422
edification	mielenylennys	anticipation	0.422
unresolved	ratkaisematon	anticipation	0.422
peaceful	rauhallinen	anticipation	0.422
recognizable	tunnistettava	anticipation	0.422
calls	puhelut	anticipation	0.414
weigh	punnita	anticipation	0.414
probation	koeaika	anticipation	0.414
proficiency	pätevyys	anticipation	0.414
morn	aamu	anticipation	0.414
craps	noppapeli	anticipation	0.414
detainee	poliittinen vanki	anticipation	0.414
mediate	välittää	anticipation	0.414
continue	jatkaa	anticipation	0.414
astrologer	astrologi	anticipation	0.414
punctual	täsmällinen	anticipation	0.414
ordination	koordinointi	anticipation	0.414
pretty	nätti	anticipation	0.414
thought	ajatus	anticipation	0.414
grant	myöntää	anticipation	0.414
withstand	kestää	anticipation	0.414
frisky	vallaton	anticipation	0.414
ongoing	jatkuva	anticipation	0.414
sing	laulaa	anticipation	0.411
long	pitkä	anticipation	0.406
confession	tunnustus	anticipation	0.406
headlight	ajovalot	anticipation	0.406
prophylactic	profylaktinen	anticipation	0.406
mother	äiti	anticipation	0.406
debenture	joukkovelkakirjalainan	anticipation	0.406
wizard	velho	anticipation	0.406
university	yliopisto	anticipation	0.406
proud	ylpeä	anticipation	0.406
midwife	kätilö	anticipation	0.406
banquet	banketti	anticipation	0.406
continuation	jatkaminen	anticipation	0.406
navigable	purjehduskelpoinen	anticipation	0.406
punished	rangaistaan	anticipation	0.406
chicane	juoni	anticipation	0.406
comfort	mukavuus	anticipation	0.406
opponent	vastustaja	anticipation	0.406
subscribe	merkitä	anticipation	0.406
outdo	päihittää	anticipation	0.406
nurture	vaalia	anticipation	0.406
twinkle	tuike	anticipation	0.406
deal	sopimus	anticipation	0.402
efficient	tehokas	anticipation	0.398
representing	edustavat	anticipation	0.398
simmer	kiehua	anticipation	0.398
symphony	sinfonia	anticipation	0.398
judiciary	oikeuslaitos	anticipation	0.398
obliging	huomaavainen	anticipation	0.398
saintly	hurskas	anticipation	0.398
vigil	aatto	anticipation	0.398
death	kuolema	anticipation	0.398
distracting	häiritsevää	anticipation	0.398
mortification	häpeä	anticipation	0.398
balm	lohtu	anticipation	0.398
guillotine	giljotiini	anticipation	0.398
top	ylin	anticipation	0.398
lettered	oppinut	anticipation	0.398
reliance	riippuvuus	anticipation	0.398
poke	tuupata	anticipation	0.391
unfulfilled	täyttymätön	anticipation	0.391
assurance	varmuus	anticipation	0.391
condemnation	tuomitseminen	anticipation	0.391
undoubted	kiistaton	anticipation	0.391
diplomacy	diplomatia	anticipation	0.391
familiarity	perehtyneisyys	anticipation	0.391
antidote	vastamyrkky	anticipation	0.391
chuckle	hihittää	anticipation	0.391
objective	tavoite	anticipation	0.391
maternal	äidin	anticipation	0.391
abeyance	ratkaisun viipyminen	anticipation	0.391
art	taide	anticipation	0.391
linger	viipyä	anticipation	0.391
trust	luottamus	anticipation	0.391
depraved	turmeltunut	anticipation	0.391
sanctify	pyhittää	anticipation	0.391
inoculation	rokotus	anticipation	0.384
chant	laulaa	anticipation	0.383
banger	makkara	anticipation	0.383
playground	leikkikenttä	anticipation	0.383
failing	puuttuessa	anticipation	0.383
ship	alus	anticipation	0.383
hymn	virsi	anticipation	0.383
simplify	yksinkertaistaa	anticipation	0.383
ram	RAM	anticipation	0.383
labor	työvoima	anticipation	0.383
discretion	harkinnan	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	hyvä	anticipation	0.383
scientist	tiedemies	anticipation	0.383
undecided	ratkaisematta	anticipation	0.383
humanitarian	humanitaarinen	anticipation	0.383
depend	riippua	anticipation	0.383
dutiful	velvollisuudentuntoinen	anticipation	0.383
clock	kello	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	vuori	anticipation	0.375
savor	maistella	anticipation	0.375
recurrent	toistuva	anticipation	0.375
interim	väliaikainen	anticipation	0.375
navigator	Navigator	anticipation	0.375
gradual	asteittainen	anticipation	0.375
interminable	loputon	anticipation	0.375
track	seurata	anticipation	0.375
public	julkinen	anticipation	0.375
cradle	kehto	anticipation	0.375
concealed	piilotettu	anticipation	0.367
lesson	oppitunti	anticipation	0.367
instructions	ohjeet	anticipation	0.367
shiver	vapista	anticipation	0.367
musical	musikaali	anticipation	0.367
towering	kiihkeä	anticipation	0.367
whim	päähänpisto	anticipation	0.367
spear	keihäs	anticipation	0.367
convince	vakuuttaa	anticipation	0.367
sonar	ääniluotain	anticipation	0.367
abide	asua	anticipation	0.367
biennial	kaksivuotinen	anticipation	0.367
theology	teologia	anticipation	0.359
offset	offset	anticipation	0.359
atone	sovittamaan	anticipation	0.359
timidity	arkuus	anticipation	0.359
theory	teoria	anticipation	0.359
undying	ikuinen	anticipation	0.359
plump	pullea	anticipation	0.359
audience	yleisö	anticipation	0.357
nobility	aatelisto	anticipation	0.352
paragon	esikuva	anticipation	0.352
dietary	ruokavalio-	anticipation	0.352
closure	päättäminen	anticipation	0.352
store	myymälä	anticipation	0.352
localize	paikallistaa	anticipation	0.352
cramp	kramppi	anticipation	0.352
daily	päivittäin	anticipation	0.352
kindred	sukulais-	anticipation	0.352
farm	maatila	anticipation	0.352
edition	painos	anticipation	0.352
consecration	vihkiminen	anticipation	0.352
archaeology	arkeologia	anticipation	0.344
mobile	mobile	anticipation	0.344
errand	asialla	anticipation	0.344
wireless	langaton	anticipation	0.344
mutable	vaihteleva	anticipation	0.344
meditate	mietiskellä	anticipation	0.344
stripped	riisuttu	anticipation	0.344
lessen	vähentyä	anticipation	0.336
unaccountable	selittämätön	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	veljellinen	anticipation	0.336
buddy	kaveri	anticipation	0.336
unbeaten	lyömätön	anticipation	0.336
germ	alkio	anticipation	0.336
dove	kyyhkynen	anticipation	0.328
digress	eksyä	anticipation	0.328
ribbon	nauha	anticipation	0.328
olfactory	haju-	anticipation	0.328
patient	potilas	anticipation	0.328
council	neuvosto	anticipation	0.328
possess	omistaa	anticipation	0.328
secular	maallinen	anticipation	0.328
chastity	siveys	anticipation	0.328
disposed	sijoitettu	anticipation	0.320
regularity	säännöllisyys	anticipation	0.320
mediator	sovittelija	anticipation	0.320
scrutinize	tutkia tarkasti	anticipation	0.320
fancy	mieltymys	anticipation	0.320
immature	kehittymätön	anticipation	0.320
infanticide	lapsenmurha	anticipation	0.320
heft	Heft	anticipation	0.320
preservative	säilöntäaine	anticipation	0.320
paddle	meloa	anticipation	0.320
cove	lahti	anticipation	0.320
denying	kieltää	anticipation	0.312
bugle	toitottaa	anticipation	0.312
unpublished	julkaisematon	anticipation	0.312
analyst	analyytikko	anticipation	0.312
grim	synkkä	anticipation	0.312
church	kirkko	anticipation	0.312
priesthood	pappeus	anticipation	0.305
mill	mylly	anticipation	0.305
judicial	oikeudellinen	anticipation	0.305
broadside	kyljittäin	anticipation	0.305
tributary	sivujoki	anticipation	0.297
cap	korkki	anticipation	0.297
thermocouple	termoelementin	anticipation	0.297
dismay	tyrmistys	anticipation	0.297
instructor	ohjaaja	anticipation	0.297
saliva	sylki	anticipation	0.297
exhaustion	uupumus	anticipation	0.297
bruise	mustelma	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	asunnoton	anticipation	0.289
visor	lippa	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	verkko	anticipation	0.289
shackle	kahlehtia	anticipation	0.289
addresses	osoitteet	anticipation	0.289
noncompliance	Vastuu siirtyy	anticipation	0.289
cataract	kaihi	anticipation	0.289
skewed	vinossa	anticipation	0.281
astronomer	tähtitieteilijä	anticipation	0.281
neighbor	naapuri-	anticipation	0.281
holiness	pyhyys	anticipation	0.273
devil	paholainen	anticipation	0.273
cream	kerma	anticipation	0.273
picket	lakkovahti	anticipation	0.273
latent	piilevä	anticipation	0.273
immaturity	kypsymättömyyttä	anticipation	0.273
sentence	tuomita	anticipation	0.273
neighborhood	naapuruus	anticipation	0.266
morals	moraali	anticipation	0.266
lull	tuudittaa	anticipation	0.266
habitual	tavanomainen	anticipation	0.266
weight	paino	anticipation	0.258
bye	Hei hei	anticipation	0.258
forearm	kyynärvarsi	anticipation	0.250
clown	klovni	anticipation	0.250
organ	urut	anticipation	0.250
quote	lainata	anticipation	0.242
commonplace	arkipäiväinen	anticipation	0.242
dictatorship	diktatuuri	anticipation	0.234
board	lauta	anticipation	0.234
white	valkoinen	anticipation	0.234
treadmill	juoksumatto	anticipation	0.234
rail	kisko	anticipation	0.234
sundial	aurinkokello	anticipation	0.227
tree	puu	anticipation	0.227
paralysis	halvaus	anticipation	0.211
worm	mato	anticipation	0.203
organization	organisaatio	anticipation	0.203
cement	sementti	anticipation	0.203
lagging	jääneillä	anticipation	0.180
neutral	neutraali	anticipation	0.148
cannibalism	kannibalismi	disgust	0.953
mutilation	silpominen	disgust	0.930
molestation	ahdistelu	disgust	0.914
incest	insesti	disgust	0.914
gonorrhea	tippuri	disgust	0.906
rape	raiskata	disgust	0.906
cannibal	kannibaali	disgust	0.898
rot	laho	disgust	0.891
corpse	ruumis	disgust	0.883
massacre	verilöyly	disgust	0.883
excrement	uloste	disgust	0.883
slaughter	teurastus	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	teurastamo	disgust	0.867
rancid	eltaantunut	disgust	0.859
sewerage	viemäröinti	disgust	0.859
incestuous	insesti-	disgust	0.859
filth	saasta	disgust	0.859
bigot	kiihkoilija	disgust	0.859
infestation	tartuntoja	disgust	0.852
plague	vitsaus	disgust	0.852
bloodthirsty	verenhimoinen	disgust	0.852
holocaust	holokausti	disgust	0.852
rotting	mätänevät	disgust	0.844
maggot	toukka	disgust	0.844
feces	ulosteet	disgust	0.844
fecal	ulosteen	disgust	0.844
murder	murhata	disgust	0.839
infanticide	lapsenmurha	disgust	0.836
homicide	murha	disgust	0.836
asshole	kusipää	disgust	0.836
enslaved	orjuutettu	disgust	0.836
gore	hurme	disgust	0.828
perverted	kieroutunut	disgust	0.828
torture	kiduttaa	disgust	0.828
slaughtering	teurastus	disgust	0.828
excretion	eritys	disgust	0.828
contaminate	saastuttaa	disgust	0.821
murderer	murhaaja	disgust	0.820
gory	kammottava	disgust	0.820
repugnant	vastenmielinen	disgust	0.820
desecration	häpäiseminen	disgust	0.820
grotesque	groteski	disgust	0.820
revolting	vastenmielinen	disgust	0.820
diarrhoea	ripuli	disgust	0.820
manure	lanta	disgust	0.820
terrorist	terroristi	disgust	0.820
shit	paska	disgust	0.820
pervert	perverssi	disgust	0.820
slavery	orjuus	disgust	0.812
faeces	ulosteet	disgust	0.812
sewer	viemäri	disgust	0.812
vomit	oksentaa	disgust	0.812
manslaughter	tappo	disgust	0.812
dismemberment	silpominen	disgust	0.812
cadaver	ruumis	disgust	0.812
hemorrhage	verenvuoto	disgust	0.805
repulsive	vastenmielinen	disgust	0.805
perverse	kieroutunut	disgust	0.805
filthy	likainen	disgust	0.797
sewage	jätevesi	disgust	0.797
depravity	turmelus	disgust	0.797
diseased	sairas	disgust	0.797
carcass	ruho	disgust	0.795
decompose	hajota	disgust	0.789
vermin	syöpäläiset	disgust	0.789
puke	oksentaa	disgust	0.789
parasite	loinen	disgust	0.789
horrific	kauhistuttava	disgust	0.789
gruesome	hirvittävä	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	silvottu	disgust	0.789
murderous	murhanhimoinen	disgust	0.789
decayed	rappeutunut	disgust	0.789
herpes	herpes	disgust	0.789
slime	lima	disgust	0.781
flatulence	ilmavaivat	disgust	0.781
monstrosity	rumilus	disgust	0.781
carnage	verilöyly	disgust	0.781
pestilence	rutto	disgust	0.781
malaria	malaria	disgust	0.781
crap	paska	disgust	0.781
toxic	myrkyllinen	disgust	0.773
loathsome	inhottava	disgust	0.773
insidious	salakavala	disgust	0.773
leprosy	lepra	disgust	0.773
morgue	ruumishuone	disgust	0.773
pus	mätä	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	huora	disgust	0.766
cruel	julma	disgust	0.766
repugnance	vastenmielisyys	disgust	0.766
revulsion	inho	disgust	0.766
xenophobia	muukalaisviha	disgust	0.766
regurgitation	pulauttelu	disgust	0.766
anthrax	pernarutto	disgust	0.766
lynch	lynkata	disgust	0.766
dissection	leikkely	disgust	0.759
canker	syöpä	disgust	0.758
cruelty	julmuus	disgust	0.758
perversion	perversio	disgust	0.758
evil	paha	disgust	0.758
slum	slummi	disgust	0.758
infectious	tarttuva	disgust	0.758
mucous	limakalvojen	disgust	0.758
phlegm	lima	disgust	0.758
leeches	iilimatoja	disgust	0.750
decomposition	hajoaminen	disgust	0.750
sinister	synkkä	disgust	0.750
corrupting	turmelee	disgust	0.750
demon	demoni	disgust	0.742
stinking	haiseva	disgust	0.742
septic	septinen	disgust	0.742
deranged	häiriintynyt	disgust	0.742
bile	sappi	disgust	0.742
soiled	likainen	disgust	0.742
mucus	lima	disgust	0.742
abhorrence	kammo	disgust	0.742
abomination	inhottavuus	disgust	0.742
sickening	kuvottava	disgust	0.742
demonic	demoninen	disgust	0.742
foul	virhe	disgust	0.734
obese	liikalihava	disgust	0.734
sicken	yököttää	disgust	0.734
degeneracy	rappeutuminen	disgust	0.734
crucifixion	ristiinnaulitseminen	disgust	0.734
despicable	halveksittava	disgust	0.734
cancer	syöpä	disgust	0.734
atrocity	julmuus	disgust	0.734
terrorism	terrorismi	disgust	0.734
dirty	likainen	disgust	0.727
dysentery	punatauti	disgust	0.727
adultery	aviorikos	disgust	0.727
contamination	saastuminen	disgust	0.727
bacterium	bakteeri	disgust	0.727
diabolical	pirullinen	disgust	0.727
morbidity	sairastuvuus	disgust	0.727
grisly	kammottava	disgust	0.727
repulsion	vastenmielisyys	disgust	0.727
enema	peräruiske	disgust	0.727
contagion	tartunta	disgust	0.719
disfigured	häirinneet	disgust	0.719
muck	sonta	disgust	0.719
lewd	irstas	disgust	0.719
garbage	roska	disgust	0.719
autopsy	ruumiinavaus	disgust	0.719
bowels	suolisto	disgust	0.719
gross	brutto	disgust	0.719
vulgar	vulgaari	disgust	0.719
barbaric	sivistymätön	disgust	0.719
disgust	inho	disgust	0.719
vicious	häijy	disgust	0.719
entrails	sisälmykset	disgust	0.719
deterioration	heikkeneminen	disgust	0.719
pungent	pistävä	disgust	0.719
bloodshed	verenvuodatus	disgust	0.714
violent	väkivaltainen	disgust	0.711
tyrant	tyranni	disgust	0.711
poisoned	myrkytetty	disgust	0.711
pollute	saastuttaa	disgust	0.711
wretched	kurja	disgust	0.711
nausea	pahoinvointi	disgust	0.711
mortification	häpeä	disgust	0.711
gag	suukapula	disgust	0.711
vulgarity	mauttomuus	disgust	0.703
disgusting	ällöttävä	disgust	0.703
grope	hipelöidä	disgust	0.703
slut	lutka	disgust	0.703
poisoning	myrkytys	disgust	0.703
depraved	turmeltunut	disgust	0.703
noxious	haitallinen	disgust	0.703
porn	porno	disgust	0.703
nasty	ilkeä	disgust	0.703
slimy	limainen	disgust	0.703
despotism	hirmuvalta	disgust	0.703
nauseate	kuvottaa	disgust	0.703
secretion	eritys	disgust	0.703
constipation	ummetus	disgust	0.703
hateful	vastenmielinen	disgust	0.703
grime	lika	disgust	0.703
measles	tuhkarokko	disgust	0.696
contagious	tarttuva	disgust	0.695
hellish	helvetillinen	disgust	0.695
waste	jätteet	disgust	0.695
suicidal	itsemurha-	disgust	0.695
abuse	väärinkäyttö	disgust	0.695
hate	vihata	disgust	0.695
wretch	raukka	disgust	0.695
intestinal	suolisto-	disgust	0.695
wart	syylä	disgust	0.695
obesity	liikalihavuus	disgust	0.695
scum	vaahto	disgust	0.695
contaminated	saastunut	disgust	0.688
disease	tauti	disgust	0.688
rabid	yltiöpäinen	disgust	0.688
ooze	tihkua	disgust	0.688
treason	maanpetos	disgust	0.688
heartworm	Sydänmatotartunnan	disgust	0.688
smut	noki	disgust	0.688
cholera	kolera	disgust	0.680
deformed	epämuodostunut	disgust	0.680
detest	inhota	disgust	0.680
bestial	eläimellinen	disgust	0.680
sickness	sairaus	disgust	0.680
antichrist	antikristus	disgust	0.680
abhorrent	vastenmielinen	disgust	0.680
soulless	sieluton	disgust	0.680
freakish	omituinen	disgust	0.680
grimy	likainen	disgust	0.680
hatred	viha	disgust	0.680
pollution	saastuminen	disgust	0.680
germ	alkio	disgust	0.680
abominate	inhota	disgust	0.680
hell	helvetti	disgust	0.680
dilapidated	rappeutunut	disgust	0.672
dictatorship	diktatuuri	disgust	0.672
inhuman	epäinhimillinen	disgust	0.672
greasy	rasvainen	disgust	0.672
hideous	hirveä	disgust	0.672
loathful	inhottava	disgust	0.672
obscene	säädytön	disgust	0.672
loathing	inho	disgust	0.672
cess	Cess	disgust	0.670
devil	paholainen	disgust	0.664
heretic	harhaoppinen	disgust	0.664
nauseous	pahoinvoiva	disgust	0.664
abominable	iljettävä	disgust	0.664
deformity	epämuodostuma	disgust	0.664
deadly	tappava	disgust	0.664
swine	sika	disgust	0.664
discrimination	syrjintä	disgust	0.664
masochism	masokismi	disgust	0.664
poisonous	Varo myrkyllistä	disgust	0.656
prejudiced	ennakkoluuloinen	disgust	0.656
bacteria	bakteerit	disgust	0.656
death	kuolema	disgust	0.656
poison	myrkyttää	disgust	0.656
trash	roska	disgust	0.656
abortion	abortti	disgust	0.656
corruption	korruptio	disgust	0.656
victimized	kostotoimien	disgust	0.656
oppression	sorto	disgust	0.656
goo	liisteri	disgust	0.656
latrines	käymälät	disgust	0.656
horror	kauhu	disgust	0.656
horrible	kamala	disgust	0.656
nefarious	ilkeä	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	kostonhimoinen	disgust	0.648
outhouse	ulkorakennus	disgust	0.648
horrid	hirveä	disgust	0.648
detestation	inho jtk kohtaan	disgust	0.648
sludge	liete	disgust	0.648
ugly	ruma	disgust	0.648
trashy	surkea	disgust	0.648
bitch	narttu	disgust	0.648
immoral	moraaliton	disgust	0.648
malfeasance	väärinkäytöksistä	disgust	0.641
spew	oksentaa	disgust	0.641
pimple	näppylä	disgust	0.641
indecency	säädyttömyys	disgust	0.641
unsightly	ruma	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	häijy	disgust	0.641
cystic	kystinen	disgust	0.641
horrifying	kauhistuttava	disgust	0.641
derogatory	halventava	disgust	0.641
laxative	laksatiivi	disgust	0.641
criminality	rikollisuus	disgust	0.641
oppressive	ahdistava	disgust	0.633
sinful	syntinen	disgust	0.633
bigoted	kiihkoileva	disgust	0.633
doomsday	tuomiopäivä	disgust	0.633
prostitution	prostituutio	disgust	0.633
ulcer	haava	disgust	0.633
secrete	erittää	disgust	0.633
perpetrator	rikoksentekijä	disgust	0.633
rat	rotta	disgust	0.633
queasy	sekaisin	disgust	0.633
mildew	homehtua	disgust	0.633
dastardly	viheliäinen	disgust	0.625
disgraceful	häpeällinen	disgust	0.625
ghastly	kamala	disgust	0.625
persecution	vaino	disgust	0.625
devilish	pirullinen	disgust	0.625
degrading	halventava	disgust	0.625
obscenity	törkeys	disgust	0.625
fungus	sieni	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	mässäily	disgust	0.625
stools	ulosteet	disgust	0.625
suffering	kärsimys	disgust	0.625
contemptible	halveksittava	disgust	0.625
cuckold	aisankannattaja	disgust	0.625
bloated	paisunut	disgust	0.625
aghast	tyrmistynyt jstk	disgust	0.625
betrayal	petos	disgust	0.617
guillotine	giljotiini	disgust	0.617
infect	tartuttaa	disgust	0.617
spoil	pilata	disgust	0.617
tetanus	jäykkäkouristus	disgust	0.617
fat	rasva	disgust	0.617
louse	täi	disgust	0.617
malicious	ilkeä	disgust	0.617
polygamy	moniavioisuus	disgust	0.617
crusty	kärttyisä	disgust	0.617
atrocious	julma	disgust	0.617
deceit	petos	disgust	0.617
termite	termiitti	disgust	0.617
loathe	inhota	disgust	0.617
wench	lutka	disgust	0.617
dying	kuoleva	disgust	0.617
sickly	sairaalloinen	disgust	0.617
diaper	vaippa	disgust	0.617
strangle	kuristaa	disgust	0.617
drool	kuolata	disgust	0.609
slander	herjata	disgust	0.609
abhor	inhota	disgust	0.609
venomous	myrkyllinen	disgust	0.609
brothel	bordelli	disgust	0.609
ghetto	getto	disgust	0.609
violently	väkivaltaisesti	disgust	0.609
hostile	vihamielinen	disgust	0.609
sabotage	sabotoida	disgust	0.609
deform	rumentaa	disgust	0.609
bleeding	verenvuoto	disgust	0.609
unwashed	pesemätön	disgust	0.602
lunacy	järjettömyys	disgust	0.602
imprisonment	vankeus	disgust	0.602
infidel	uskoton	disgust	0.602
deprivation	riistäminen	disgust	0.602
traitor	petturi	disgust	0.602
ugliness	rumuus	disgust	0.602
musty	ummehtunut	disgust	0.602
illicit	laiton	disgust	0.602
swampy	soinen	disgust	0.602
poaching	salametsästys	disgust	0.602
hag	akka	disgust	0.602
butcher	lihakauppias	disgust	0.594
lunatic	hullu	disgust	0.594
venom	myrkky	disgust	0.594
repelling	hylkivä	disgust	0.594
thug	roisto	disgust	0.594
misery	kurjuus	disgust	0.594
toilet	WC	disgust	0.594
slug	etana	disgust	0.594
catastrophe	katastrofi	disgust	0.594
epidemic	epidemia	disgust	0.594
gut	tyhjentää	disgust	0.594
intoxicated	päihtynyt	disgust	0.594
blister	rakkula	disgust	0.594
deceitful	petollinen	disgust	0.594
hostility	vihamielisyys	disgust	0.594
queasiness	queasiness	disgust	0.594
lurid	karmea	disgust	0.594
sinner	syntinen	disgust	0.594
incubus	Incubus	disgust	0.586
lavatory	WC	disgust	0.586
harass	häiritä	disgust	0.586
unclean	epäpuhdas	disgust	0.586
prostitute	prostituoitu	disgust	0.586
pornography	pornografia	disgust	0.586
dreadful	kauhea	disgust	0.586
deteriorated	heikkeni	disgust	0.586
appalling	kauhistuttava	disgust	0.586
unfaithful	uskoton	disgust	0.578
rash	ihottuma	disgust	0.578
humiliating	nöyryyttävä	disgust	0.578
ruinous	tuhoisa	disgust	0.578
squeamish	pikkutarkka	disgust	0.578
offensive	hyökkäys	disgust	0.578
conspirator	salaliittolainen	disgust	0.578
larceny	varkaus	disgust	0.578
debauchery	irstailu	disgust	0.578
mangle	mankeli	disgust	0.578
flea	kirppu	disgust	0.578
hypocrite	tekopyhä	disgust	0.578
retard	kehitysvammainen	disgust	0.578
fiend	intoilija	disgust	0.578
sick	sairas	disgust	0.578
quagmire	suo	disgust	0.578
expulsion	karkotus	disgust	0.578
treacherous	petollinen	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	sylkeä	disgust	0.570
devastating	tuhoisa	disgust	0.570
bastard	kusipää	disgust	0.570
messy	sotkuinen	disgust	0.570
flog	ruoskia	disgust	0.570
egregious	törkeä	disgust	0.570
swamp	suo	disgust	0.570
oppress	sortaa	disgust	0.570
despise	halveksia	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	käärme	disgust	0.570
snake	käärme	disgust	0.562
terrible	kauhea	disgust	0.562
awful	hirveä	disgust	0.562
harmful	haitallinen	disgust	0.562
insanity	järjettömyys	disgust	0.562
indecent	säädytön	disgust	0.562
sordid	ikävä	disgust	0.562
loo	vessa	disgust	0.562
scoundrel	roisto	disgust	0.562
enemy	vihollinen	disgust	0.562
stealing	varkaus	disgust	0.562
alcoholism	alkoholismi	disgust	0.562
humiliation	nöyryytys	disgust	0.562
ruthless	häikäilemätön	disgust	0.562
sloppy	huolimaton	disgust	0.562
tyrannical	tyrannimainen	disgust	0.562
harlot	portto	disgust	0.562
sinning	syntiä	disgust	0.562
robbery	ryöstö	disgust	0.555
insufferable	sietämätön	disgust	0.555
arsenic	arsenikki	disgust	0.555
bloody	verinen	disgust	0.555
odious	vastenmielinen	disgust	0.555
ridicule	pilkka	disgust	0.555
atrophy	surkastuminen	disgust	0.555
beastly	hirveä	disgust	0.555
collusion	salainen sopimus	disgust	0.555
distaste	vastenmielisyys	disgust	0.555
segregate	eristää	disgust	0.555
discriminating	erottava	disgust	0.555
coward	pelkuri	disgust	0.555
wickedness	pahuus	disgust	0.555
threatening	uhkaava	disgust	0.555
unattractive	epämieluisa	disgust	0.555
slayer	Slayer	disgust	0.555
flabby	vetelä	disgust	0.555
varicella	varicella	disgust	0.555
miserable	kurja	disgust	0.547
sty	sikolätti	disgust	0.547
ogre	hirviö	disgust	0.547
coercion	pakko	disgust	0.547
thief	varas	disgust	0.547
slur	loukkaus	disgust	0.547
suffocating	tukahduttava	disgust	0.547
anathema	pannajulistus	disgust	0.547
purgatory	kiirastuli	disgust	0.547
malevolent	pahansuopa	disgust	0.547
bitterly	karvaasti	disgust	0.547
burglar	murtovaras	disgust	0.547
attacking	hyökkää	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	tuomitseminen	disgust	0.547
pillage	ryöstely	disgust	0.547
deleterious	vahingollinen	disgust	0.547
thrash	puida	disgust	0.539
repellant	karkote	disgust	0.539
repudiation	kieltäminen	disgust	0.539
infidelity	uskottomuus	disgust	0.539
liar	valehtelija	disgust	0.539
fatty	rasvainen	disgust	0.539
gob	monttu	disgust	0.539
sneer	ivata	disgust	0.539
drunken	humalainen	disgust	0.539
disgrace	häpeä	disgust	0.539
shame	häpeä	disgust	0.539
jealous	mustasukkainen	disgust	0.539
imprisoned	vangittiin	disgust	0.539
pig	sika	disgust	0.539
greedy	ahne	disgust	0.539
sloth	laiskiainen	disgust	0.539
lethal	tappava	disgust	0.536
burnt	palanut	disgust	0.531
aberration	poikkeama	disgust	0.531
condescension	alentuvaisuus	disgust	0.531
hydrocephalus	vesipää	disgust	0.531
