word	Basque-eu	emotion	emotion-intensity-score
soundness	sendotasuna	anticipation	0.461
mail	mail	anticipation	0.461
draft	zirriborro	anticipation	0.461
preliminary	aurretiazko	anticipation	0.461
friendly	errespetatzen	anticipation	0.461
commemorative	oroitzapenezko	anticipation	0.461
extricate	extricate	anticipation	0.461
alive	bizirik	anticipation	0.461
untold	untold	anticipation	0.461
overture	obertura	anticipation	0.461
excel	excel	anticipation	0.461
plight	egoera latza	anticipation	0.461
synchronize	sinkronizatu	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	santutegia	anticipation	0.461
brilliant	bikain	anticipation	0.461
pay	ordaindu	anticipation	0.461
shining	distiratsuak	anticipation	0.461
regatta	estropada	anticipation	0.461
testament	testamentu	anticipation	0.461
jeopardy	arriskuan	anticipation	0.461
perpetuity	betiko	anticipation	0.453
elegance	dotorezia	anticipation	0.453
career	karrera	anticipation	0.453
basketball	saskibaloi	anticipation	0.453
intimately	hertsiki	anticipation	0.453
renovate	berritzeko	anticipation	0.453
supremacy	nagusitasuna	anticipation	0.453
infinity	infinitua	anticipation	0.453
unexpected	ustekabeko	anticipation	0.453
flinch	kuzkurtu	anticipation	0.453
complement	osagarria	anticipation	0.453
prologue	hitzaurre	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	prebentzioa	anticipation	0.453
improve	hobetu	anticipation	0.453
sunset	ilunabarra	anticipation	0.453
inaugural	inaugurazio	anticipation	0.453
rehabilitation	errehabilitazio	anticipation	0.453
fitting	egokitzea	anticipation	0.445
surround	ingurugiro	anticipation	0.445
share	share	anticipation	0.445
epidemic	epidemia	anticipation	0.445
sweet	gozoa	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	ezkutatzea	anticipation	0.445
confidence	konfiantza	anticipation	0.445
perfect	perfektua	anticipation	0.445
sun	eguzkia	anticipation	0.445
veracity	egiazkoak	anticipation	0.445
volunteer	boluntario	anticipation	0.445
conjecture	aierua	anticipation	0.445
medical	mediku	anticipation	0.438
prepared	prestatu	anticipation	0.438
superstitious	superstizio	anticipation	0.438
reconstruction	berreraikuntza	anticipation	0.438
tickle	tickle	anticipation	0.438
faith	fede	anticipation	0.438
passenger	bidaiari	anticipation	0.438
saint	santu	anticipation	0.438
respect	errespetua	anticipation	0.438
rabid	rabid	anticipation	0.438
reconstruct	berreraikitzeko	anticipation	0.438
recombination	birkonbinazio	anticipation	0.438
devout	elizkoia	anticipation	0.438
goodness	bondad	anticipation	0.438
angel	aingeru	anticipation	0.438
ferment	hartzigarri	anticipation	0.438
plea	erregu	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	serie-	anticipation	0.438
conservation	kontserbazio	anticipation	0.438
serenity	lasaitasuna	anticipation	0.430
tabulate	tabulatuak	anticipation	0.430
install	instalatu	anticipation	0.430
labyrinth	labirinto	anticipation	0.430
venerable	agurgarri	anticipation	0.430
perpetuate	betikotu	anticipation	0.430
strategist	estratega	anticipation	0.430
unverified	egiaztatu gabeko	anticipation	0.430
tribunal	tribunal	anticipation	0.430
charitable	ongintzako	anticipation	0.430
luscious	luscious	anticipation	0.430
spa	spa	anticipation	0.430
peace	bakea	anticipation	0.430
clap	clap	anticipation	0.430
conspirator	konspiratzailea	anticipation	0.422
forestall	forestall	anticipation	0.422
patience	pazientzia	anticipation	0.422
oasis	oasi	anticipation	0.422
grin	grina	anticipation	0.422
revere	revere	anticipation	0.422
worship	gurtza	anticipation	0.422
vista	vista	anticipation	0.422
laughter	barrea	anticipation	0.422
volatility	lurrunkortasun	anticipation	0.422
adrift	noraezean	anticipation	0.422
candid	laño	anticipation	0.422
edification	Eraikinak	anticipation	0.422
unresolved	konpondu	anticipation	0.422
peaceful	baketsu	anticipation	0.422
recognizable	ezagut	anticipation	0.422
calls	deiak	anticipation	0.414
weigh	pisatzen	anticipation	0.414
probation	zentzagarriko	anticipation	0.414
proficiency	gaitasun	anticipation	0.414
morn	Morn	anticipation	0.414
craps	Craps	anticipation	0.414
detainee	atxilotuaren	anticipation	0.414
mediate	bitartekari	anticipation	0.414
continue	jarraitu	anticipation	0.414
astrologer	astrologer	anticipation	0.414
punctual	puntualak	anticipation	0.414
ordination	koordinazioa	anticipation	0.414
pretty	nahiko	anticipation	0.414
thought	pentsatu	anticipation	0.414
grant	egoztea	anticipation	0.414
withstand	jasan	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	etengabeko	anticipation	0.414
sing	abestu	anticipation	0.411
long	luze	anticipation	0.406
confession	aitortza	anticipation	0.406
headlight	headlight	anticipation	0.406
prophylactic	prophylactic	anticipation	0.406
mother	ama	anticipation	0.406
debenture	obligazio	anticipation	0.406
wizard	laguntzailea	anticipation	0.406
university	unibertsitate	anticipation	0.406
proud	harro	anticipation	0.406
midwife	emaginak	anticipation	0.406
banquet	oturuntza	anticipation	0.406
continuation	jarraipena	anticipation	0.406
navigable	nabigagarria	anticipation	0.406
punished	zigortu	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	erosotasuna	anticipation	0.406
opponent	aurkari	anticipation	0.406
subscribe	harpide	anticipation	0.406
outdo	outdo	anticipation	0.406
nurture	elikatu	anticipation	0.406
twinkle	Twinkle	anticipation	0.406
deal	tratua	anticipation	0.402
efficient	eraginkor	anticipation	0.398
representing	ordezkari	anticipation	0.398
simmer	simmer	anticipation	0.398
symphony	sinfonia	anticipation	0.398
judiciary	judizial	anticipation	0.398
obliging	obliging	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	Vigil	anticipation	0.398
death	heriotza	anticipation	0.398
distracting	distracting	anticipation	0.398
mortification	atsekaberako	anticipation	0.398
balm	ixten	anticipation	0.398
guillotine	gillotina	anticipation	0.398
top	goiko	anticipation	0.398
lettered	hizkiz	anticipation	0.398
reliance	reliance	anticipation	0.398
poke	Poke	anticipation	0.391
unfulfilled	bete	anticipation	0.391
assurance	bermea	anticipation	0.391
condemnation	gaitzespen	anticipation	0.391
undoubted	undoubted	anticipation	0.391
diplomacy	diplomazia	anticipation	0.391
familiarity	etxekotasuna	anticipation	0.391
antidote	antidotoa	anticipation	0.391
chuckle	algara	anticipation	0.391
objective	Helburu	anticipation	0.391
maternal	amaren	anticipation	0.391
abeyance	abeyance	anticipation	0.391
art	art	anticipation	0.391
linger	linger	anticipation	0.391
trust	konfiantza	anticipation	0.391
depraved	depraved	anticipation	0.391
sanctify	sanctifica	anticipation	0.391
inoculation	inoculation	anticipation	0.384
chant	chant	anticipation	0.383
banger	banger	anticipation	0.383
playground	jolastokia	anticipation	0.383
failing	Huts	anticipation	0.383
ship	itsasontzi	anticipation	0.383
hymn	ereserkia	anticipation	0.383
simplify	errazteko	anticipation	0.383
ram	RAM	anticipation	0.383
labor	lanaren	anticipation	0.383
discretion	diskrezioa	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	ona	anticipation	0.383
scientist	zientzialari	anticipation	0.383
undecided	undecided	anticipation	0.383
humanitarian	humanitarioa	anticipation	0.383
depend	mendekoak	anticipation	0.383
dutiful	dutiful	anticipation	0.383
clock	erlojua	anticipation	0.375
sterling	esterlina	anticipation	0.375
mountain	mendi	anticipation	0.375
savor	usai	anticipation	0.375
recurrent	errepikari	anticipation	0.375
interim	behineko	anticipation	0.375
navigator	nabigatzailea	anticipation	0.375
gradual	pixkanakako	anticipation	0.375
interminable	interminable	anticipation	0.375
track	track	anticipation	0.375
public	publiko	anticipation	0.375
cradle	sehaskan	anticipation	0.375
concealed	ezkutaturik	anticipation	0.367
lesson	ikasgaia	anticipation	0.367
instructions	argibideak	anticipation	0.367
shiver	hotzikara	anticipation	0.367
musical	musikala	anticipation	0.367
towering	towering	anticipation	0.367
whim	kapritxoa	anticipation	0.367
spear	lantza	anticipation	0.367
convince	konbentzitu	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	bete beharko	anticipation	0.367
biennial	bi urtez behin	anticipation	0.367
theology	teologia	anticipation	0.359
offset	desplazamendu	anticipation	0.359
atone	atone	anticipation	0.359
timidity	egonezina	anticipation	0.359
theory	teoria	anticipation	0.359
undying	undying	anticipation	0.359
plump	plump	anticipation	0.359
audience	ikusleek	anticipation	0.357
nobility	noblezia	anticipation	0.352
paragon	Paragon	anticipation	0.352
dietary	dieta	anticipation	0.352
closure	itxiera	anticipation	0.352
store	denda	anticipation	0.352
localize	arazketa	anticipation	0.352
cramp	cramp	anticipation	0.352
daily	eguneroko	anticipation	0.352
kindred	kindred	anticipation	0.352
farm	baserriko	anticipation	0.352
edition	edizioa	anticipation	0.352
consecration	consagración	anticipation	0.352
archaeology	arkeologia	anticipation	0.344
mobile	mobile	anticipation	0.344
errand	mandatu	anticipation	0.344
wireless	haririk gabeko	anticipation	0.344
mutable	mutable	anticipation	0.344
meditate	gogoeta	anticipation	0.344
stripped	biluztu	anticipation	0.344
lessen	arintzeko	anticipation	0.336
unaccountable	ulergaitza	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	anai	anticipation	0.336
buddy	buddy	anticipation	0.336
unbeaten	unbeaten	anticipation	0.336
germ	ernamuina	anticipation	0.336
dove	usoa	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	zinta	anticipation	0.328
olfactory	usaimen	anticipation	0.328
patient	Pazientzia	anticipation	0.328
council	udaletxea	anticipation	0.328
possess	edukitzeko	anticipation	0.328
secular	laikoa	anticipation	0.328
chastity	kastitatea	anticipation	0.328
disposed	bota	anticipation	0.320
regularity	erregulartasuna	anticipation	0.320
mediator	bitartekari	anticipation	0.320
scrutinize	aztertzen	anticipation	0.320
fancy	dotoreetan	anticipation	0.320
immature	heldugabe	anticipation	0.320
infanticide	infanticide	anticipation	0.320
heft	heft	anticipation	0.320
preservative	kontserbatzaile	anticipation	0.320
paddle	padel	anticipation	0.320
cove	kala	anticipation	0.320
denying	ukatuz	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	argitaragabeak	anticipation	0.312
analyst	analista	anticipation	0.312
grim	sombría	anticipation	0.312
church	eliza	anticipation	0.312
priesthood	apaizgoa	anticipation	0.305
mill	errota	anticipation	0.305
judicial	judizialak	anticipation	0.305
broadside	broadside	anticipation	0.305
tributary	afluente	anticipation	0.297
cap	txano	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	jarriz	anticipation	0.297
instructor	monitore	anticipation	0.297
saliva	saliva	anticipation	0.297
exhaustion	neke	anticipation	0.297
bruise	bruise	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	etxerik	anticipation	0.289
visor	bisera	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	sarea	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	helbideak	anticipation	0.289
noncompliance	noncompliance	anticipation	0.289
cataract	katarata	anticipation	0.289
skewed	zeharkako	anticipation	0.281
astronomer	astronomoa	anticipation	0.281
neighbor	bizilaguna	anticipation	0.281
holiness	Saindutassunetan	anticipation	0.273
devil	deabrua	anticipation	0.273
cream	krema	anticipation	0.273
picket	pikete	anticipation	0.273
latent	ezkutuko	anticipation	0.273
immaturity	immaturity	anticipation	0.273
sentence	esaldi	anticipation	0.273
neighborhood	auzoa	anticipation	0.266
morals	moralaren	anticipation	0.266
lull	lull	anticipation	0.266
habitual	ohiko	anticipation	0.266
weight	pisua	anticipation	0.258
bye	bye	anticipation	0.258
forearm	forearm	anticipation	0.250
clown	clown	anticipation	0.250
organ	organoa	anticipation	0.250
quote	aurrekontua	anticipation	0.242
commonplace	normalagoa	anticipation	0.242
dictatorship	diktadura	anticipation	0.234
board	taula	anticipation	0.234
white	Zuri-	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	trenbide	anticipation	0.234
sundial	Sari	anticipation	0.227
tree	zuhaitz	anticipation	0.227
paralysis	paralisi	anticipation	0.211
worm	harra	anticipation	0.203
organization	antolakuntza	anticipation	0.203
cement	zementu	anticipation	0.203
lagging	lagging	anticipation	0.180
neutral	neutral	anticipation	0.148
cannibalism	kanibalismoa	disgust	0.953
mutilation	mozketa	disgust	0.930
molestation	molestation	disgust	0.914
incest	intzestua	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	bortxaketa	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	ustel	disgust	0.891
corpse	gorpua	disgust	0.883
massacre	sarraskia	disgust	0.883
excrement	gorotz	disgust	0.883
slaughter	Sarraski	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	hiltegi	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	estolderia	disgust	0.859
incestuous	intzestu	disgust	0.859
filth	filth	disgust	0.859
bigot	bigot	disgust	0.859
infestation	infestation	disgust	0.852
plague	izurria	disgust	0.852
bloodthirsty	basatia	disgust	0.852
holocaust	holokaustoa	disgust	0.852
rotting	usteltzen	disgust	0.844
maggot	maggot	disgust	0.844
feces	denbora	disgust	0.844
fecal	gorotz	disgust	0.844
murder	hilketa	disgust	0.839
infanticide	infanticide	disgust	0.836
homicide	hilketa	disgust	0.836
asshole	gilipollas	disgust	0.836
enslaved	esklabu	disgust	0.836
gore	gore	disgust	0.828
perverted	perverted	disgust	0.828
torture	tortura	disgust	0.828
slaughtering	hilketa	disgust	0.828
excretion	iraizketa	disgust	0.828
contaminate	kutsatu	disgust	0.821
murderer	hiltzaile	disgust	0.820
gory	góry	disgust	0.820
repugnant	repugnant	disgust	0.820
desecration	profanazioa	disgust	0.820
grotesque	groteskoa	disgust	0.820
revolting	revolting	disgust	0.820
diarrhoea	beherakoa	disgust	0.820
manure	simaurra	disgust	0.820
terrorist	terrorista	disgust	0.820
shit	kaka	disgust	0.820
pervert	pervert	disgust	0.820
slavery	esklabotza	disgust	0.812
faeces	gorozkiak	disgust	0.812
sewer	estolda	disgust	0.812
vomit	Vomit	disgust	0.812
manslaughter	Manslaughter	disgust	0.812
dismemberment	desegin	disgust	0.812
cadaver	cadaver	disgust	0.812
hemorrhage	hemorragia	disgust	0.805
repulsive	repulsive	disgust	0.805
perverse	gaizto	disgust	0.805
filthy	filthy	disgust	0.797
sewage	saneamendu	disgust	0.797
depravity	depravity	disgust	0.797
diseased	gaixotutako	disgust	0.797
carcass	carcass	disgust	0.795
decompose	deskonposatzen	disgust	0.789
vermin	vermin	disgust	0.789
puke	puke	disgust	0.789
parasite	bizkarroi	disgust	0.789
horrific	beldurgarria	disgust	0.789
gruesome	gruesome	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutila	disgust	0.789
murderous	hiltzaile	disgust	0.789
decayed	decayed	disgust	0.789
herpes	herpes	disgust	0.789
slime	Lohi	disgust	0.781
flatulence	flatulence	disgust	0.781
monstrosity	monstrosity	disgust	0.781
carnage	sarraski	disgust	0.781
pestilence	izurritea	disgust	0.781
malaria	malaria	disgust	0.781
crap	crap	disgust	0.781
toxic	toxikoak	disgust	0.773
loathsome	nazkagarria	disgust	0.773
insidious	Maltzurrak	disgust	0.773
leprosy	legenarra	disgust	0.773
morgue	morgue	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	Herpesvirus	disgust	0.773
whore	puta	disgust	0.766
cruel	krudela	disgust	0.766
repugnance	nazka	disgust	0.766
revulsion	revulsion	disgust	0.766
xenophobia	xenofobia	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	Anthrax	disgust	0.766
lynch	Lynch	disgust	0.766
dissection	disekzio	disgust	0.759
canker	canker	disgust	0.758
cruelty	krudelkeria	disgust	0.758
perversion	perbertsio	disgust	0.758
evil	gaiztoak	disgust	0.758
slum	auzo	disgust	0.758
infectious	infekziosoen	disgust	0.758
mucous	muki	disgust	0.758
phlegm	Flem	disgust	0.758
leeches	izainak	disgust	0.750
decomposition	deskonposizio	disgust	0.750
sinister	maltzur	disgust	0.750
corrupting	corrupting	disgust	0.750
demon	Deabru	disgust	0.742
stinking	stinking	disgust	0.742
septic	putzu	disgust	0.742
deranged	deranged	disgust	0.742
bile	behazun	disgust	0.742
soiled	soiled	disgust	0.742
mucus	moco	disgust	0.742
abhorrence	abhorrence	disgust	0.742
abomination	abomination	disgust	0.742
sickening	sickening	disgust	0.742
demonic	deabruzko	disgust	0.742
foul	nazkagarri	disgust	0.734
obese	obesitatea	disgust	0.734
sicken	gaixotu	disgust	0.734
degeneracy	degeneracy	disgust	0.734
crucifixion	Gurutziltzatzearen	disgust	0.734
despicable	zital	disgust	0.734
cancer	minbizia	disgust	0.734
atrocity	ankerkeria	disgust	0.734
terrorism	terrorismoa	disgust	0.734
dirty	zikinak	disgust	0.727
dysentery	dysentery	disgust	0.727
adultery	adulterioak	disgust	0.727
contamination	kutsadura	disgust	0.727
bacterium	bakterioaren	disgust	0.727
diabolical	diabolical	disgust	0.727
morbidity	erikortasun	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	aldarapen	disgust	0.727
enema	enema	disgust	0.727
contagion	kutsadura	disgust	0.719
disfigured	desitxuratuta	disgust	0.719
muck	muck	disgust	0.719
lewd	lewd	disgust	0.719
garbage	zabor	disgust	0.719
autopsy	Autopsia	disgust	0.719
bowels	barrena	disgust	0.719
gross	gordina	disgust	0.719
vulgar	vulgar	disgust	0.719
barbaric	barbarie	disgust	0.719
disgust	nazka	disgust	0.719
vicious	gurpil	disgust	0.719
entrails	erraiak	disgust	0.719
deterioration	hondatzea	disgust	0.719
pungent	pungent	disgust	0.719
bloodshed	bloodshed	disgust	0.714
violent	bortitza	disgust	0.711
tyrant	tirano	disgust	0.711
poisoned	pozoitu	disgust	0.711
pollute	kutsatzen	disgust	0.711
wretched	penagarria	disgust	0.711
nausea	goragalea	disgust	0.711
mortification	atsekaberako	disgust	0.711
gag	gag	disgust	0.711
vulgarity	vulgarity	disgust	0.703
disgusting	disgusting	disgust	0.703
grope	grope	disgust	0.703
slut	slut	disgust	0.703
poisoning	intoxikazioak	disgust	0.703
depraved	depraved	disgust	0.703
noxious	kaltegarriak	disgust	0.703
porn	pornoa	disgust	0.703
nasty	gaizto	disgust	0.703
slimy	slimy	disgust	0.703
despotism	despotismoa	disgust	0.703
nauseate	birtual	disgust	0.703
secretion	jariaketa	disgust	0.703
constipation	idorreria	disgust	0.703
hateful	gorrotagarria	disgust	0.703
grime	grime	disgust	0.703
measles	Elgorria	disgust	0.696
contagious	kutsakorra	disgust	0.695
hellish	hellish	disgust	0.695
waste	hondakin	disgust	0.695
suicidal	suizida	disgust	0.695
abuse	tratu txarrak	disgust	0.695
hate	gorroto	disgust	0.695
wretch	olako	disgust	0.695
intestinal	heste	disgust	0.695
wart	wart	disgust	0.695
obesity	obesitatea	disgust	0.695
scum	scum	disgust	0.695
contaminated	kutsatutako	disgust	0.688
disease	gaixotasunak	disgust	0.688
rabid	rabid	disgust	0.688
ooze	ooze	disgust	0.688
treason	traizioa	disgust	0.688
heartworm	heartworm	disgust	0.688
smut	smut	disgust	0.688
cholera	kolera	disgust	0.680
deformed	deformatu	disgust	0.680
detest	gorrotatu	disgust	0.680
bestial	bestial	disgust	0.680
sickness	gaixotasun	disgust	0.680
antichrist	Anticristo	disgust	0.680
abhorrent	abhorrent	disgust	0.680
soulless	Gogo bako	disgust	0.680
freakish	freakish	disgust	0.680
grimy	grimy	disgust	0.680
hatred	gorrotoa	disgust	0.680
pollution	kutsadura	disgust	0.680
germ	ernamuina	disgust	0.680
abominate	nardagarri	disgust	0.680
hell	infernua	disgust	0.680
dilapidated	kalamastran	disgust	0.672
dictatorship	diktadura	disgust	0.672
inhuman	anker	disgust	0.672
greasy	greasy	disgust	0.672
hideous	izugarri	disgust	0.672
loathful	loathful	disgust	0.672
obscene	lizuna	disgust	0.672
loathing	nazka	disgust	0.672
cess	prozesu	disgust	0.670
devil	deabrua	disgust	0.664
heretic	heretic	disgust	0.664
nauseous	nauseous	disgust	0.664
abominable	abominable	disgust	0.664
deformity	deformazioa	disgust	0.664
deadly	hilgarria	disgust	0.664
swine	txerri	disgust	0.664
discrimination	diskriminazioa	disgust	0.664
masochism	masokismoa	disgust	0.664
poisonous	pozoitsu	disgust	0.656
prejudiced	trabarik	disgust	0.656
bacteria	bakteriak	disgust	0.656
death	heriotza	disgust	0.656
poison	pozoia	disgust	0.656
trash	trash	disgust	0.656
abortion	abortua	disgust	0.656
corruption	ustelkeria	disgust	0.656
victimized	biktima	disgust	0.656
oppression	zapalkuntza	disgust	0.656
goo	goo	disgust	0.656
latrines	komunak	disgust	0.656
horror	beldurrezko	disgust	0.656
horrible	izugarria	disgust	0.656
nefarious	nefarious	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	vindictive	disgust	0.648
outhouse	outhouse	disgust	0.648
horrid	Horren	disgust	0.648
detestation	gorrotoa	disgust	0.648
sludge	lohi	disgust	0.648
ugly	itsusiak	disgust	0.648
trashy	trashy	disgust	0.648
bitch	puta	disgust	0.648
immoral	immoral	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	spew	disgust	0.641
pimple	pimple	disgust	0.641
indecency	lotsagabekeria	disgust	0.641
unsightly	unsightly	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	villainous	disgust	0.641
cystic	kistikoa	disgust	0.641
horrifying	izugarri	disgust	0.641
derogatory	derogatory	disgust	0.641
laxative	laxative	disgust	0.641
criminality	kriminalitatea	disgust	0.641
oppressive	zapaltzailearen	disgust	0.633
sinful	bekatari	disgust	0.633
bigoted	bigoted	disgust	0.633
doomsday	eraisten	disgust	0.633
prostitution	prostituzioa	disgust	0.633
ulcer	ultzera	disgust	0.633
secrete	jariatzeko	disgust	0.633
perpetrator	perpetrator	disgust	0.633
rat	arratoi	disgust	0.633
queasy	queasy	disgust	0.633
mildew	lizuna	disgust	0.633
dastardly	dastardly	disgust	0.625
disgraceful	lotsagarria	disgust	0.625
ghastly	itsusi	disgust	0.625
persecution	jazarpena	disgust	0.625
devilish	devilish	disgust	0.625
degrading	umiliagarririk	disgust	0.625
obscenity	harako	disgust	0.625
fungus	onddo	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	gluttony	disgust	0.625
stools	mahairik	disgust	0.625
suffering	jasaten	disgust	0.625
contemptible	mesprezagarria	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	bloated	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	traizioa	disgust	0.617
guillotine	gillotina	disgust	0.617
infect	kutsa	disgust	0.617
spoil	hondatu	disgust	0.617
tetanus	tetanosa	disgust	0.617
fat	potolo	disgust	0.617
louse	zorri	disgust	0.617
malicious	maltzur	disgust	0.617
polygamy	polygamy	disgust	0.617
crusty	crusty	disgust	0.617
atrocious	atrocious	disgust	0.617
deceit	iruzur	disgust	0.617
termite	termite	disgust	0.617
loathe	nekez kokatzen	disgust	0.617
wench	neska	disgust	0.617
dying	hiltzen	disgust	0.617
sickly	sickly	disgust	0.617
diaper	diaper	disgust	0.617
strangle	itotzeko	disgust	0.617
drool	drool	disgust	0.609
slander	slander	disgust	0.609
abhor	gaitzesten	disgust	0.609
venomous	venomous	disgust	0.609
brothel	brothel	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	bortizki	disgust	0.609
hostile	etsai	disgust	0.609
sabotage	sabotaje	disgust	0.609
deform	deformatze	disgust	0.609
bleeding	hemorragia	disgust	0.609
unwashed	garbitu gabe utzi	disgust	0.602
lunacy	lunacy	disgust	0.602
imprisonment	kartzelatzea	disgust	0.602
infidel	infidel	disgust	0.602
deprivation	gabezia	disgust	0.602
traitor	traidore	disgust	0.602
ugliness	itsustasuna	disgust	0.602
musty	musty	disgust	0.602
illicit	legez kanpoko	disgust	0.602
swampy	swampy	disgust	0.602
poaching	ezkutuko ehiza	disgust	0.602
hag	hag	disgust	0.602
butcher	harakin	disgust	0.594
lunatic	Lunatic	disgust	0.594
venom	pozoia	disgust	0.594
repelling	garaituak	disgust	0.594
thug	thug	disgust	0.594
misery	miseria	disgust	0.594
toilet	komuneko	disgust	0.594
slug	slug	disgust	0.594
catastrophe	katastrofe	disgust	0.594
epidemic	epidemia	disgust	0.594
gut	gut	disgust	0.594
intoxicated	mozkortu	disgust	0.594
blister	blister	disgust	0.594
deceitful	deceitful	disgust	0.594
hostility	etsaitasuna	disgust	0.594
queasiness	queasiness	disgust	0.594
lurid	lurid	disgust	0.594
sinner	bekatari	disgust	0.594
incubus	Incubus	disgust	0.586
lavatory	komuna	disgust	0.586
harass	zirikatzen	disgust	0.586
unclean	kutsatua	disgust	0.586
prostitute	prostituta	disgust	0.586
pornography	pornografia	disgust	0.586
dreadful	beldurgarri	disgust	0.586
deteriorated	txarrera	disgust	0.586
appalling	appalling	disgust	0.586
unfaithful	unfaithful	disgust	0.578
rash	rash	disgust	0.578
humiliating	humiliating	disgust	0.578
ruinous	hondakintzat	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	iraingarria	disgust	0.578
conspirator	konspiratzailea	disgust	0.578
larceny	lapurreta	disgust	0.578
debauchery	debauchery	disgust	0.578
mangle	mangle	disgust	0.578
flea	bigarren eskuko	disgust	0.578
hypocrite	hipokrita	disgust	0.578
retard	retard	disgust	0.578
fiend	fiend	disgust	0.578
sick	gaixo	disgust	0.578
quagmire	sasian	disgust	0.578
expulsion	kanporatzea	disgust	0.578
treacherous	treacherous	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	Spit	disgust	0.570
devastating	suntsitzaileak	disgust	0.570
bastard	kabroia	disgust	0.570
messy	narratsa	disgust	0.570
flog	flog	disgust	0.570
egregious	egregious	disgust	0.570
swamp	swamp	disgust	0.570
oppress	zapaltzen	disgust	0.570
despise	mespretxatzen	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	suge	disgust	0.570
snake	suge	disgust	0.562
terrible	terrible	disgust	0.562
awful	beldurgarria	disgust	0.562
harmful	kaltegarriak	disgust	0.562
insanity	eromena	disgust	0.562
indecent	indecent	disgust	0.562
sordid	sordid	disgust	0.562
loo	loo	disgust	0.562
scoundrel	scoundrel	disgust	0.562
enemy	etsaia	disgust	0.562
stealing	lapurretan	disgust	0.562
alcoholism	alkoholarekin	disgust	0.562
humiliation	irain	disgust	0.562
ruthless	ruthless	disgust	0.562
sloppy	sloppy	disgust	0.562
tyrannical	tiraniko	disgust	0.562
harlot	emagaldu	disgust	0.562
sinning	bekatu	disgust	0.562
robbery	lapurreta	disgust	0.555
insufferable	insufferable	disgust	0.555
arsenic	artsenikoa	disgust	0.555
bloody	odoltsua	disgust	0.555
odious	gorrotagarri	disgust	0.555
ridicule	irrigarri	disgust	0.555
atrophy	atrofia	disgust	0.555
beastly	nazkagarri	disgust	0.555
collusion	collusion	disgust	0.555
distaste	distaste	disgust	0.555
segregate	bereiztea	disgust	0.555
discriminating	Diskriminaziozko	disgust	0.555
coward	koldar	disgust	0.555
wickedness	gaiztakeriak	disgust	0.555
threatening	mehatxatzaileak	disgust	0.555
unattractive	unattractive	disgust	0.555
slayer	hiltzailea	disgust	0.555
flabby	flabby	disgust	0.555
varicella	varicella	disgust	0.555
miserable	miserable	disgust	0.547
sty	sty	disgust	0.547
ogre	Ogro	disgust	0.547
coercion	indarkeriaren	disgust	0.547
thief	Sustrai	disgust	0.547
slur	slur	disgust	0.547
suffocating	itogarria	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	Purgatorio	disgust	0.547
malevolent	malevolent	disgust	0.547
bitterly	bitterly	disgust	0.547
burglar	rateros	disgust	0.547
attacking	erasotzeko	disgust	0.547
vesicular	besikulako	disgust	0.547
condemnation	gaitzespen	disgust	0.547
pillage	lapurretak	disgust	0.547
deleterious	deleterious	disgust	0.547
thrash	thrash	disgust	0.539
repellant	repellant	disgust	0.539
repudiation	zapuzketa	disgust	0.539
infidelity	infidelity	disgust	0.539
liar	gezurti	disgust	0.539
fatty	gantz	disgust	0.539
gob	gob	disgust	0.539
