word	Maori-mi	emotion	emotion-intensity-score
homeless	kahore he kainga	anticipation	0.289
visor	Tuhinga	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	whatunga	anticipation	0.289
shackle	kapi	anticipation	0.289
addresses	wāhitau	anticipation	0.289
noncompliance	Tuhinga	anticipation	0.289
cataract	whakaheke	anticipation	0.289
skewed	Tuhinga o mua	anticipation	0.281
astronomer	kaiauroro	anticipation	0.281
neighbor	hoa tata	anticipation	0.281
holiness	tapu	anticipation	0.273
devil	rewera	anticipation	0.273
cream	kirīmi	anticipation	0.273
picket	pihikete	anticipation	0.273
latent	Tuhinga o mua	anticipation	0.273
immaturity	Tuhinga o mua	anticipation	0.273
sentence	Tuhinga	anticipation	0.273
neighborhood	tata	anticipation	0.266
morals	ngā moemoeka	anticipation	0.266
lull	whakaheke	anticipation	0.266
habitual	te tikanga	anticipation	0.266
weight	te taimaha	anticipation	0.258
bye	Tuhinga o mua	anticipation	0.258
forearm	Tuhinga o mua	anticipation	0.250
clown	Tuhinga o mua	anticipation	0.250
organ	poroporo	anticipation	0.250
quote	whakahua	anticipation	0.242
commonplace	waahi	anticipation	0.242
dictatorship	rangatira	anticipation	0.234
board	poari	anticipation	0.234
white	ma	anticipation	0.234
treadmill	Tuhinga o mua	anticipation	0.234
rail	raina	anticipation	0.234
sundial	Tuhinga o mua	anticipation	0.227
tree	rakau	anticipation	0.227
paralysis	pararutiki	anticipation	0.211
worm	kutukutu	anticipation	0.203
organization	whakahaere	anticipation	0.203
cement	ciment	anticipation	0.203
lagging	whakaheke	anticipation	0.180
neutral	Tuhinga o mua	anticipation	0.148
cannibalism	te tipu	disgust	0.953
mutilation	whakaheke	disgust	0.930
molestation	Tuhinga o mua	disgust	0.914
incest	whakahirahira	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	rape	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	pirau	disgust	0.891
corpse	tinana	disgust	0.883
massacre	te patu	disgust	0.883
excrement	koha	disgust	0.883
slaughter	patu	disgust	0.875
barf	Tuhinga	disgust	0.875
slaughterhouse	whare patu	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	te wehenga	disgust	0.859
incestuous	whakahirahira	disgust	0.859
filth	paru	disgust	0.859
bigot	nui	disgust	0.859
infestation	Tuhinga	disgust	0.852
plague	whiu	disgust	0.852
bloodthirsty	te toto	disgust	0.852
holocaust	whakaeke	disgust	0.852
rotting	hurihuri	disgust	0.844
maggot	maggot	disgust	0.844
feces	Tuhinga o mua	disgust	0.844
fecal	kawe	disgust	0.844
murder	kohuru	disgust	0.839
infanticide	te patu tamaiti	disgust	0.836
homicide	kohuru	disgust	0.836
asshole	Tuhinga	disgust	0.836
enslaved	pononga	disgust	0.836
gore	Tuhinga	disgust	0.828
perverted	ka whakakorea	disgust	0.828
torture	whakatupato	disgust	0.828
slaughtering	patu	disgust	0.828
excretion	Tuhinga o mua	disgust	0.828
contaminate	whakapoke	disgust	0.821
murderer	kaikohuru	disgust	0.820
gory	Tuhinga	disgust	0.820
repugnant	whakahou	disgust	0.820
desecration	haukore	disgust	0.820
grotesque	hake	disgust	0.820
revolting	whakatikatika	disgust	0.820
diarrhoea	te matereti	disgust	0.820
manure	maaka	disgust	0.820
terrorist	kaiwhakatuma	disgust	0.820
shit	shit	disgust	0.820
pervert	rereke	disgust	0.820
slavery	Tuhinga o mua	disgust	0.812
faeces	Tuhinga	disgust	0.812
sewer	kaukau	disgust	0.812
vomit	ruaki	disgust	0.812
manslaughter	Tuhinga o mua	disgust	0.812
dismemberment	Tuhinga o mua	disgust	0.812
cadaver	kairangahau	disgust	0.812
hemorrhage	te urutaru	disgust	0.805
repulsive	whakahihi	disgust	0.805
perverse	he rereke	disgust	0.805
filthy	poke	disgust	0.797
sewage	te wewete	disgust	0.797
depravity	kino	disgust	0.797
diseased	mate	disgust	0.797
carcass	tinana	disgust	0.795
decompose	whakaheke	disgust	0.789
vermin	Tuhinga	disgust	0.789
puke	puke	disgust	0.789
parasite	parapara	disgust	0.789
horrific	kino	disgust	0.789
gruesome	whakawehi	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilated	disgust	0.789
murderous	kohuru	disgust	0.789
decayed	kua pirau	disgust	0.789
herpes	herpes	disgust	0.789
slime	panuku	disgust	0.781
flatulence	flatulence	disgust	0.781
monstrosity	Tuhinga o mua	disgust	0.781
carnage	Tuhinga o mua	disgust	0.781
pestilence	mate uruta	disgust	0.781
malaria	malaria	disgust	0.781
crap	pupuhi	disgust	0.781
toxic	toka	disgust	0.773
loathsome	kino	disgust	0.773
insidious	poauau	disgust	0.773
leprosy	te repera	disgust	0.773
morgue	morgue	disgust	0.773
pus	pana	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	wahine kairau	disgust	0.766
cruel	kino	disgust	0.766
repugnance	repugnance	disgust	0.766
revulsion	whakaheke	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	Tuhinga	disgust	0.766
dissection	Tuhinga	disgust	0.759
canker	pakaru	disgust	0.758
cruelty	tukino	disgust	0.758
perversion	he rereke	disgust	0.758
evil	kino	disgust	0.758
slum	Tuhinga	disgust	0.758
infectious	pupuhi	disgust	0.758
mucous	mucous	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	Tuhinga	disgust	0.750
decomposition	Tuhinga	disgust	0.750
sinister	hara	disgust	0.750
corrupting	kino	disgust	0.750
demon	rewera	disgust	0.742
stinking	pupuhi	disgust	0.742
septic	Tuhinga	disgust	0.742
deranged	wehea	disgust	0.742
bile	bile	disgust	0.742
soiled	kua poke	disgust	0.742
mucus	Tuhinga	disgust	0.742
abhorrence	whakahianga	disgust	0.742
abomination	mea whakarihariha	disgust	0.742
sickening	maama	disgust	0.742
demonic	rewera	disgust	0.742
foul	kino	disgust	0.734
obese	kohu	disgust	0.734
sicken	haurangi	disgust	0.734
degeneracy	degeneracy	disgust	0.734
crucifixion	ripekatia	disgust	0.734
despicable	kino	disgust	0.734
cancer	mate pukupuku	disgust	0.734
atrocity	aukati	disgust	0.734
terrorism	pakanga	disgust	0.734
dirty	paru	disgust	0.727
dysentery	Tuhinga o mua	disgust	0.727
adultery	puremu	disgust	0.727
contamination	te rereke	disgust	0.727
bacterium	huakeri	disgust	0.727
diabolical	rewera	disgust	0.727
morbidity	mate	disgust	0.727
grisly	maata	disgust	0.727
repulsion	whakahou	disgust	0.727
enema	Tuhinga	disgust	0.727
contagion	contagion	disgust	0.719
disfigured	whakahua	disgust	0.719
muck	peke	disgust	0.719
lewd	kino	disgust	0.719
garbage	otaota	disgust	0.719
autopsy	autopsy	disgust	0.719
bowels	whekau	disgust	0.719
gross	nui	disgust	0.719
vulgar	kino	disgust	0.719
barbaric	Tuhinga	disgust	0.719
disgust	kino	disgust	0.719
vicious	kino	disgust	0.719
entrails	nga whekau	disgust	0.719
deterioration	Tuhinga o mua	disgust	0.719
pungent	pungent	disgust	0.719
bloodshed	te toto	disgust	0.714
violent	te tutu	disgust	0.711
tyrant	kino	disgust	0.711
poisoned	kawa	disgust	0.711
pollute	whakapokea	disgust	0.711
wretched	pouri	disgust	0.711
nausea	taunaha	disgust	0.711
mortification	mate	disgust	0.711
gag	Tuhinga	disgust	0.711
vulgarity	whakapehapeha	disgust	0.703
disgusting	whakarihariha	disgust	0.703
grope	pupuhi	disgust	0.703
slut	paheke	disgust	0.703
poisoning	whakawera	disgust	0.703
depraved	kua pahuatia	disgust	0.703
noxious	kino	disgust	0.703
porn	porn	disgust	0.703
nasty	he kino	disgust	0.703
slimy	Tuhinga o mua	disgust	0.703
despotism	Tuhinga o mua	disgust	0.703
nauseate	maunu	disgust	0.703
secretion	raweke	disgust	0.703
constipation	Tuhinga	disgust	0.703
hateful	kino	disgust	0.703
grime	Tuhinga	disgust	0.703
measles	tohu	disgust	0.696
contagious	haurangi	disgust	0.695
hellish	pouri	disgust	0.695
waste	ururua	disgust	0.695
suicidal	koiora	disgust	0.695
abuse	tukino	disgust	0.695
hate	kino	disgust	0.695
wretch	kino	disgust	0.695
intestinal	taiao	disgust	0.695
wart	wart	disgust	0.695
obesity	nui	disgust	0.695
scum	paraka	disgust	0.695
contaminated	kua poke	disgust	0.688
disease	mate	disgust	0.688
rabid	rabid	disgust	0.688
ooze	Tuhinga o mua	disgust	0.688
treason	whakapae	disgust	0.688
heartworm	ngakau	disgust	0.688
smut	makutu	disgust	0.688
cholera	cholera	disgust	0.680
deformed	ka pakaru	disgust	0.680
detest	kino	disgust	0.680
bestial	Tuhinga o mua	disgust	0.680
sickness	mate	disgust	0.680
antichrist	anatikaraiti	disgust	0.680
abhorrent	whakahiahia	disgust	0.680
soulless	kore rawa	disgust	0.680
freakish	Tuhinga o mua	disgust	0.680
grimy	paku	disgust	0.680
hatred	kino	disgust	0.680
pollution	te paru	disgust	0.680
germ	Tuhinga	disgust	0.680
abominate	whakarihariha	disgust	0.680
hell	he reinga	disgust	0.680
dilapidated	Tuhinga ka whai mai	disgust	0.672
dictatorship	rangatira	disgust	0.672
inhuman	kino	disgust	0.672
greasy	haurangi	disgust	0.672
hideous	huna	disgust	0.672
loathful	kino	disgust	0.672
obscene	paku	disgust	0.672
loathing	te kino	disgust	0.672
cess	Tuhinga	disgust	0.670
devil	rewera	disgust	0.664
heretic	hihiri	disgust	0.664
nauseous	maunu	disgust	0.664
abominable	whakarihariha	disgust	0.664
deformity	te paruparu	disgust	0.664
deadly	mate	disgust	0.664
swine	puaa	disgust	0.664
discrimination	whakahirahira	disgust	0.664
masochism	Tuhinga o mua	disgust	0.664
poisonous	mate	disgust	0.656
prejudiced	ka kino	disgust	0.656
bacteria	huakita	disgust	0.656
death	mate	disgust	0.656
poison	kawa	disgust	0.656
trash	otaota	disgust	0.656
abortion	mate mate	disgust	0.656
corruption	pirau	disgust	0.656
victimized	ka whiua	disgust	0.656
oppression	tukino	disgust	0.656
goo	goo	disgust	0.656
latrines	latrines	disgust	0.656
horror	wehi	disgust	0.656
horrible	whakawehi	disgust	0.656
nefarious	nefarious	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	he tohu	disgust	0.648
outhouse	whare	disgust	0.648
horrid	whakaharahara	disgust	0.648
detestation	whakahi	disgust	0.648
sludge	ngutu	disgust	0.648
ugly	kino	disgust	0.648
trashy	Tuhinga	disgust	0.648
bitch	tohua	disgust	0.648
immoral	moepuku	disgust	0.648
malfeasance	Tuhinga o mua	disgust	0.641
spew	tohua	disgust	0.641
pimple	pimple	disgust	0.641
indecency	hara	disgust	0.641
unsightly	kore	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	kino	disgust	0.641
cystic	haurangi	disgust	0.641
horrifying	whakawehi	disgust	0.641
derogatory	Tuhinga o mua	disgust	0.641
laxative	Tuhinga	disgust	0.641
criminality	hara	disgust	0.641
oppressive	he tukino	disgust	0.633
sinful	hara	disgust	0.633
bigoted	nui	disgust	0.633
doomsday	rarangi	disgust	0.633
prostitution	moepuku	disgust	0.633
ulcer	mate	disgust	0.633
secrete	huna	disgust	0.633
perpetrator	kaitautoko	disgust	0.633
rat	rat	disgust	0.633
queasy	Tuhinga o mua	disgust	0.633
mildew	koriri	disgust	0.633
dastardly	maata	disgust	0.625
disgraceful	he whakama	disgust	0.625
ghastly	haunga	disgust	0.625
persecution	whakatoi	disgust	0.625
devilish	rewera	disgust	0.625
degrading	whakaheke	disgust	0.625
obscenity	kino	disgust	0.625
fungus	harore	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	pupuhi	disgust	0.625
stools	nga papa	disgust	0.625
suffering	mamae	disgust	0.625
contemptible	whakapae	disgust	0.625
cuckold	te koroka	disgust	0.625
bloated	ka maama	disgust	0.625
aghast	Tuhinga o mua	disgust	0.625
betrayal	tinihanga	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	whakapoke	disgust	0.617
spoil	taonga	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	ngako	disgust	0.617
louse	whakaheke	disgust	0.617
malicious	kino	disgust	0.617
polygamy	wahine kotahi	disgust	0.617
crusty	Tuhinga o mua	disgust	0.617
atrocious	Tuhinga o mua	disgust	0.617
deceit	tinihanga	disgust	0.617
termite	Tuhinga	disgust	0.617
loathe	kino	disgust	0.617
wench	wench	disgust	0.617
dying	mate	disgust	0.617
sickly	mate	disgust	0.617
diaper	hoahoa	disgust	0.617
strangle	taatai	disgust	0.617
drool	whakaheke	disgust	0.609
slander	korero kino	disgust	0.609
abhor	whakarihariha	disgust	0.609
venomous	waipiro	disgust	0.609
brothel	whare karakia	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	pakari	disgust	0.609
hostile	hoariri	disgust	0.609
sabotage	Tuhinga o mua	disgust	0.609
deform	whakaheke	disgust	0.609
bleeding	toto	disgust	0.609
unwashed	kahore i horoia	disgust	0.602
lunacy	rangatira	disgust	0.602
imprisonment	whare herehere	disgust	0.602
infidel	whakapono	disgust	0.602
deprivation	Tuhinga o mua	disgust	0.602
traitor	kaihoko	disgust	0.602
ugliness	ugliness	disgust	0.602
musty	mema	disgust	0.602
illicit	hara	disgust	0.602
swampy	kauhoe	disgust	0.602
poaching	poaching	disgust	0.602
hag	hag	disgust	0.602
butcher	kapi	disgust	0.594
lunatic	Tuhinga o mua	disgust	0.594
venom	waipiro	disgust	0.594
repelling	whakahou	disgust	0.594
thug	Tuhinga o mua	disgust	0.594
misery	pouri	disgust	0.594
toilet	wharepaku	disgust	0.594
slug	Tuhinga	disgust	0.594
catastrophe	he parekura	disgust	0.594
epidemic	mate uruta	disgust	0.594
gut	pupuhi	disgust	0.594
intoxicated	haurangi	disgust	0.594
blister	panuku	disgust	0.594
deceitful	tinihanga	disgust	0.594
hostility	hoariri	disgust	0.594
queasiness	te waatea	disgust	0.594
lurid	Tuhinga	disgust	0.594
sinner	hara	disgust	0.594
incubus	haupapa	disgust	0.586
lavatory	Tuhinga	disgust	0.586
harass	hara	disgust	0.586
unclean	poke	disgust	0.586
prostitute	wahine kairau	disgust	0.586
pornography	pakiwaitara	disgust	0.586
dreadful	nui	disgust	0.586
deteriorated	ka mate	disgust	0.586
appalling	whakaharahara	disgust	0.586
unfaithful	kore he	disgust	0.578
rash	pupuhi	disgust	0.578
humiliating	whakaiti	disgust	0.578
ruinous	ruinga	disgust	0.578
squeamish	whakahua	disgust	0.578
offensive	kino	disgust	0.578
conspirator	kaipupuri	disgust	0.578
larceny	Tuhinga o mua	disgust	0.578
debauchery	Tuhinga o mua	disgust	0.578
mangle	mangle	disgust	0.578
flea	pupuhi	disgust	0.578
hypocrite	tangata tinihanga	disgust	0.578
retard	Tuhinga o mua	disgust	0.578
fiend	fiend	disgust	0.578
sick	mate	disgust	0.578
quagmire	haumaru	disgust	0.578
expulsion	Tuhinga	disgust	0.578
treacherous	tinihanga	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	tuwha	disgust	0.570
devastating	te painga	disgust	0.570
bastard	pakaru	disgust	0.570
messy	Tuhinga	disgust	0.570
flog	pereki	disgust	0.570
egregious	Tuhinga	disgust	0.570
swamp	kauhoe	disgust	0.570
oppress	tukino	disgust	0.570
despise	whakahawea	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	nakahi	disgust	0.570
snake	maoa	disgust	0.562
terrible	wehi	disgust	0.562
awful	kino	disgust	0.562
harmful	kino	disgust	0.562
insanity	wairangi	disgust	0.562
indecent	hara	disgust	0.562
sordid	Tuhinga	disgust	0.562
loo	Kei te	disgust	0.562
scoundrel	Tuhinga o mua	disgust	0.562
enemy	hoariri	disgust	0.562
stealing	tahae	disgust	0.562
alcoholism	waipiro	disgust	0.562
humiliation	whakaiti	disgust	0.562
ruthless	haurangi	disgust	0.562
sloppy	pakaru	disgust	0.562
tyrannical	whakatikatika	disgust	0.562
harlot	wahine kairau	disgust	0.562
sinning	hara	disgust	0.562
robbery	tahae	disgust	0.555
insufferable	kaore i taea	disgust	0.555
arsenic	arsenic	disgust	0.555
bloody	toto	disgust	0.555
odious	kino	disgust	0.555
ridicule	whakahi	disgust	0.555
atrophy	atrophy	disgust	0.555
beastly	kararehe	disgust	0.555
collusion	whakahianga	disgust	0.555
distaste	whakaheke	disgust	0.555
segregate	wehea	disgust	0.555
discriminating	whakatinana	disgust	0.555
coward	mataku	disgust	0.555
wickedness	kino	disgust	0.555
threatening	whakawehi	disgust	0.555
unattractive	kaore e ahuareka	disgust	0.555
slayer	kohuru	disgust	0.555
flabby	pupuhi	disgust	0.555
varicella	varicella	disgust	0.555
miserable	pouri	disgust	0.547
sty	hoahoa	disgust	0.547
ogre	Tuhinga	disgust	0.547
coercion	te kaha	disgust	0.547
thief	tahae	disgust	0.547
slur	Tuhinga	disgust	0.547
suffocating	whakamamae	disgust	0.547
anathema	Tuhinga o mua	disgust	0.547
purgatory	purgatori	disgust	0.547
malevolent	marea	disgust	0.547
bitterly	kawa	disgust	0.547
burglar	pakaru	disgust	0.547
attacking	whakaeke	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	whakatau	disgust	0.547
pillage	whakapoke	disgust	0.547
deleterious	Tuhinga	disgust	0.547
thrash	ka hinga	disgust	0.539
repellant	Tuhinga o mua	disgust	0.539
repudiation	whakahē	disgust	0.539
infidelity	whakaponokore	disgust	0.539
liar	teka	disgust	0.539
fatty	nui	disgust	0.539
gob	koko	disgust	0.539
sneer	koha	disgust	0.539
drunken	haurangi	disgust	0.539
disgrace	whakama	disgust	0.539
shame	whakama	disgust	0.539
jealous	hae	disgust	0.539
imprisoned	herea	disgust	0.539
pig	poaka	disgust	0.539
greedy	haurangi	disgust	0.539
sloth	toenga	disgust	0.539
lethal	mate	disgust	0.536
burnt	tahu	disgust	0.531
aberration	whakaheke	disgust	0.531
condescension	Tuhinga o mua	disgust	0.531
hydrocephalus	hydrocephalus	disgust	0.531
hanging	te whakairi	disgust	0.531
destructive	whakangaro	disgust	0.531
smuggler	Tuhinga o mua	disgust	0.531
intolerant	whakahē	disgust	0.531
travesty	Tuhinga o mua	disgust	0.531
intrusive	pupuhi	disgust	0.531
ruined	ngaro	disgust	0.531
withered	maroke	disgust	0.531
disintegrate	whakakorea	disgust	0.531
brawl	Tuhinga o mua	disgust	0.531
blemish	he koha	disgust	0.531
neurotic	neurotic	disgust	0.531
blasphemous	kohukohu	disgust	0.531
lying	takoto	disgust	0.531
painful	mamae	disgust	0.531
avarice	Tuhinga	disgust	0.523
disgraced	ka whakama	disgust	0.523
mistress	rangatira	disgust	0.523
disparaging	whakakore	disgust	0.523
rubbish	te paru	disgust	0.523
derogation	Tuhinga	disgust	0.523
accusation	whakapae	disgust	0.523
intolerance	te manawanui	disgust	0.523
incarceration	whakatupapatanga	disgust	0.523
blighted	ka pakaru	disgust	0.523
sump	Tuhinga	disgust	0.516
deplorable	kino	disgust	0.516
daemon	daemon	disgust	0.516
cringe	Tuhinga o mua	disgust	0.516
degrade	whakaheke	disgust	0.516
gutter	pupuhi	disgust	0.516
rob	pahua	disgust	0.516
grim	Tuhinga o mua	disgust	0.516
defraud	tinihanga	disgust	0.516
tortious	he kino	disgust	0.516
eradication	whakakorenga	disgust	0.516
stink	pupuhi	disgust	0.516
convict	hara	disgust	0.516
dishonor	whakama	disgust	0.516
vulture	te hae	disgust	0.516
remains	noho tonu	disgust	0.516
mite	mite	disgust	0.516
betray	tinihanga	disgust	0.516
sham	Tuhinga	disgust	0.509
endemic	mutunga	disgust	0.508
bombed	pakaru	disgust	0.508
distress	pouri	disgust	0.508
pest	pest	disgust	0.508
incurable	kaore e taea	disgust	0.508
worthless	he horihori	disgust	0.508
rejection	Tuhinga	disgust	0.508
distasteful	he raruraru	disgust	0.508
schizophrenia	schizophrenia	disgust	0.508
belittle	Tuhinga o mua	disgust	0.508
smelling	pupuhi	disgust	0.508
cheat	tinihangatia	disgust	0.508
blob	pakaru	disgust	0.508
prisoner	herehere	disgust	0.508
idiocy	Tuhinga	disgust	0.508
delirium	Tuhinga	disgust	0.508
disaster	kino	disgust	0.508
crude	kino	disgust	0.508
resentment	riri	disgust	0.508
dreadfully	nui	disgust	0.508
glut	pupuhi	disgust	0.508
polemic	poemiki	disgust	0.500
derision	whakahi	disgust	0.500
idolatry	karakia whakapakoko	disgust	0.500
taboo	taboo	disgust	0.500
screaming	hamama	disgust	0.500
banish	Tuhinga	disgust	0.500
dirt	paru	disgust	0.500
goblin	Tuhinga o mua	disgust	0.500
shackle	kapi	disgust	0.500
bribery	hokohoko	disgust	0.500
flagrant	whakaharahara	disgust	0.500
jealousy	hae	disgust	0.500
impurity	poke	disgust	0.500
theft	tahae	disgust	0.500
bitterness	kawa	disgust	0.500
offense	hara	disgust	0.500
impeach	impeach	disgust	0.500
blight	pupuhi	disgust	0.500
duress	Tuhinga o mua	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	hiahia	disgust	0.500
tirade	Tuhinga o mua	disgust	0.500
squirm	Tuhinga o mua	disgust	0.492
robber	pahua	disgust	0.492
ill	mate	disgust	0.492
unconscionable	kaore e taea	disgust	0.492
recession	Tuhinga	disgust	0.492
gorge	korokoro	disgust	0.492
wreck	takahi	disgust	0.492
malign	whakahua	disgust	0.492
boil	kohuatia	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	kawe	disgust	0.492
disreputable	kaore e taea	disgust	0.492
wasteful	memeha	disgust	0.484
affliction	Tuhinga o mua	disgust	0.484
stain	paru	disgust	0.484
contempt	whakahawea	disgust	0.484
nappy	kaore	disgust	0.484
mutiny	whakaheke	disgust	0.484
occult	hara	disgust	0.484
tramp	takahi	disgust	0.484
unbearable	kore e taea	disgust	0.484
offender	hara	disgust	0.484
servile	taatai	disgust	0.484
contraband	whakawhitinga	disgust	0.484
raging	te riri	disgust	0.484
snarl	ngongo	disgust	0.484
mad	haurangi	disgust	0.484
subjugation	Tuhinga	disgust	0.484
possessed	kei roto	disgust	0.484
animosity	haurangi	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	whakapae	disgust	0.484
disrespectful	whakahē	disgust	0.484
mess	Tuhinga	disgust	0.484
nepotism	nepotism	disgust	0.484
inexcusable	inexcusable	disgust	0.484
pathetic	te aroha	disgust	0.477
unpleasant	kino	disgust	0.477
suppression	whakakapi	disgust	0.477
mockery	whakahi	disgust	0.477
palsy	palsy	disgust	0.477
criminal	hara	disgust	0.477
illegality	ture kore	disgust	0.477
uncaring	Tuhinga o mua	disgust	0.477
antagonistic	whakahē	disgust	0.477
immorality	moepuku	disgust	0.477
dismal	kino	disgust	0.477
angry	riri	disgust	0.469
repellent	Tuhinga o mua	disgust	0.469
cough	mare	disgust	0.469
arrogant	whakapehapeha	disgust	0.469
grating	taunga	disgust	0.469
aggravation	Tuhinga o mua	disgust	0.469
livid	Tuhinga	disgust	0.469
banishment	Tuhinga o mua	disgust	0.469
shoddy	Tuhinga o mua	disgust	0.469
banshee	banshee	disgust	0.469
poverty	rawakore	disgust	0.469
wallow	takahuri	disgust	0.469
outrage	te riri	disgust	0.469
mocking	moata	disgust	0.469
furious	riri	disgust	0.469
perspiration	te wera	disgust	0.469
prick	prick	disgust	0.461
recklessness	whakahē	disgust	0.461
distorted	ka rereke	disgust	0.461
fraudulent	tinihanga	disgust	0.461
spider	pungawerewere	disgust	0.461
quack	Tuhinga o mua	disgust	0.461
perdition	mate	disgust	0.461
muddy	paru	disgust	0.461
spurious	pupuhi	disgust	0.461
insulting	whakahi	disgust	0.461
scar	toka	disgust	0.461
deceive	tinihanga	disgust	0.461
unjustifiable	kore e taea	disgust	0.461
fool	wairangi	disgust	0.461
deplore	pororaru	disgust	0.461
plunder	pahua	disgust	0.461
aphid	aphid	disgust	0.453
bane	bane	disgust	0.453
indignation	riri	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	whaiaro	disgust	0.453
disparage	whakapae	disgust	0.453
cur	pene	disgust	0.453
dishonest	he hianga	disgust	0.453
stigma	paku	disgust	0.453
eschew	Tuhinga	disgust	0.453
antipathy	Tuhinga o mua	disgust	0.453
alienate	tohatoha	disgust	0.453
disingenuous	kaore ano kia mohio	disgust	0.453
elimination	whakakoretanga	disgust	0.453
unthinkable	kaore e taea	disgust	0.453
wasted	ngaro	disgust	0.445
recalcitrant	whakamahara	disgust	0.445
iniquity	hara	disgust	0.445
mosquito	makariri	disgust	0.445
caries	caries	disgust	0.445
bankruptcy	pakihi	disgust	0.445
egotistical	hei tauira	disgust	0.445
piles	pika	disgust	0.445
smell	kakara	disgust	0.445
vacuous	ngoikore	disgust	0.445
despair	pouri	disgust	0.445
opium	opium	disgust	0.445
garish	whakamahara	disgust	0.445
lie	takoto	disgust	0.445
pious	karakia	disgust	0.445
aversion	Tuhinga	disgust	0.438
sticky	paku	disgust	0.438
scream	hamama	disgust	0.438
alien	tangata ke	disgust	0.438
shun	ka karo	disgust	0.438
abnormal	he kino	disgust	0.438
ashamed	whakama	disgust	0.438
inmate	mate	disgust	0.438
abject	whakaiti	disgust	0.438
hog	hog	disgust	0.438
hopelessness	te koretake	disgust	0.438
homeless	kahore he kainga	disgust	0.438
obnoxious	whakaharahara	disgust	0.438
curse	kanga	disgust	0.430
creature	mea hanga	disgust	0.430
cursing	kanga	disgust	0.430
illegal	ture kore	disgust	0.430
lusty	hiahia	disgust	0.430
shameless	whakama	disgust	0.430
debris	nga otaota	disgust	0.430
defiance	whakahē	disgust	0.430
pall	Tuhinga o mua	disgust	0.430
falsity	hara	disgust	0.430
reflux	reflux	disgust	0.430
incredulous	whakahirahira	disgust	0.430
adverse	kino	disgust	0.430
trickery	tinihanga	disgust	0.430
callous	whakapehapeha	disgust	0.430
separatist	Tuhinga	disgust	0.430
undesirable	kore e pai	disgust	0.430
denounce	whakapae	disgust	0.430
witch	witch	disgust	0.430
bum	Tuhinga	disgust	0.422
bovine	bovine	disgust	0.422
denunciation	Tuhinga o mua	disgust	0.422
untidy	kore he	disgust	0.422
impure	pokekore	disgust	0.422
mistrust	whakahē	disgust	0.422
tarnish	tarnish	disgust	0.422
ferocious	haurangi	disgust	0.422
gush	pupuhi	disgust	0.422
infantile	tamariki	disgust	0.422
ammonia	amonia	disgust	0.422
offend	hara	disgust	0.422
idiotic	hauputu	disgust	0.422
hypertrophy	hypertrophy	disgust	0.422
nicotine	Nicotine	disgust	0.422
tasteless	kaore ano	disgust	0.422
pompous	pompous	disgust	0.422
socialist	tangata hapori	disgust	0.422
delinquent	whakaheke	disgust	0.422
swarm	Tuhinga	disgust	0.422
contentious	tautohe	disgust	0.422
carelessness	te kore whakaaro	disgust	0.422
hairy	huruhuru	disgust	0.422
wasting	ka ngaro	disgust	0.422
slush	pupuhi	disgust	0.422
affront	whakaeke	disgust	0.422
collapse	ka hinga	disgust	0.422
badness	kino	disgust	0.422
dishonesty	te tinihanga	disgust	0.414
vegetative	vegetative	disgust	0.414
displacency	Tuhinga o mua	disgust	0.414
unfavorable	he kino	disgust	0.414
disobey	te tutu	disgust	0.414
sour	kawa	disgust	0.414
socialism	hapori	disgust	0.414
murky	murky	disgust	0.414
neglected	Tuhinga o mua	disgust	0.414
drivel	Tuhinga	disgust	0.414
vampire	vampire	disgust	0.414
litigious	Tuhinga	disgust	0.414
illegitimate	ture	disgust	0.414
disgruntled	ka pouri	disgust	0.406
ignorant	kuware	disgust	0.406
outcast	whakaheke	disgust	0.406
unkind	kino	disgust	0.406
repel	Tuhinga o mua	disgust	0.406
displeasure	kino	disgust	0.406
phony	waea	disgust	0.406
shoplifting	Tuhinga o mua	disgust	0.406
dislike	kino	disgust	0.406
unlawful	kore he ture	disgust	0.406
bogus	pupuhi	disgust	0.406
