word	Estonian-et	emotion	emotion-intensity-score
buzz	buzz	anticipation	0.594
acquiring	omandamine	anticipation	0.594
marry	abielluda	anticipation	0.594
illuminate	valgustama	anticipation	0.594
romance	romantikat	anticipation	0.594
rekindle	taastumine	anticipation	0.594
luck	õnne	anticipation	0.594
advent	advent	anticipation	0.594
preparedness	valmisolek	anticipation	0.594
momentum	hoogu	anticipation	0.594
arrive	saabuma	anticipation	0.594
predict	ennustada	anticipation	0.589
sequel	järge	anticipation	0.586
money	raha	anticipation	0.586
endeavor	püüdma	anticipation	0.586
auspices	egiidi all	anticipation	0.586
fiesta	fiesta	anticipation	0.586
raffle	loosimine	anticipation	0.586
preparation	ettevalmistamine	anticipation	0.586
uplift	tõusulaine	anticipation	0.586
investigation	uurimine	anticipation	0.586
gambling	hasartmängud	anticipation	0.586
delightful	õnnelik	anticipation	0.586
enjoying	nautida	anticipation	0.586
seek	otsima	anticipation	0.586
impatient	kannatamatu	anticipation	0.586
overdue	hilinenud	anticipation	0.586
crave	ihkama	anticipation	0.586
flirt	flirt	anticipation	0.586
enthusiast	entusiast	anticipation	0.586
presumption	eeldus	anticipation	0.586
immerse	sukelduma	anticipation	0.586
progression	progressioon	anticipation	0.586
experiment	katse	anticipation	0.580
inviting	kutsudes	anticipation	0.578
precarious	ebakindel	anticipation	0.578
blessing	õnnistamine	anticipation	0.578
harvest	saagikoristus	anticipation	0.578
transcendence	transtsendentsus	anticipation	0.578
heavenly	taevane	anticipation	0.578
attainable	saavutatav	anticipation	0.578
enjoy	naudi	anticipation	0.578
divination	ennustamine	anticipation	0.578
excavation	kaevetööd	anticipation	0.578
healing	paranemine	anticipation	0.578
majestic	majesteetlik	anticipation	0.578
clamor	klamma	anticipation	0.578
thirst	janu	anticipation	0.578
remedy	parandus	anticipation	0.578
prosper	õitsema	anticipation	0.578
risk	risk	anticipation	0.578
angling	kalastamine	anticipation	0.578
completing	lõpetades	anticipation	0.578
thriving	edukas	anticipation	0.578
zest	zest	anticipation	0.570
tease	tease	anticipation	0.570
matchmaker	leppija	anticipation	0.570
prospectively	edasiulatuvalt	anticipation	0.570
restlessness	rahutus	anticipation	0.570
sweetheart	kullake	anticipation	0.570
emancipation	emantsipatsioon	anticipation	0.570
ultimate	parim	anticipation	0.570
invite	kutsuda	anticipation	0.570
gambler	mängur	anticipation	0.570
dare	julge	anticipation	0.570
plan	plaan	anticipation	0.570
magnificence	suurepärasus	anticipation	0.570
warned	hoiatas	anticipation	0.570
finally	lõpuks	anticipation	0.570
intimate	intiimne	anticipation	0.570
omen	omeen	anticipation	0.570
attempt	katse	anticipation	0.562
forewarned	ennetähtaegne	anticipation	0.562
fun	lõbus	anticipation	0.562
festival	festival	anticipation	0.562
trophy	trofee	anticipation	0.562
rejoice	rõõmutsege	anticipation	0.562
fanfare	fanfaar	anticipation	0.562
predilection	eelistused	anticipation	0.562
exalt	ülendama	anticipation	0.562
parade	paraad	anticipation	0.562
enchant	uhkeldama	anticipation	0.562
independence	sõltumatus	anticipation	0.562
expose	paljastada	anticipation	0.562
immortality	suretus	anticipation	0.562
expected	oodata	anticipation	0.562
mysterious	salapärane	anticipation	0.562
hypothesis	hüpotees	anticipation	0.562
accolade	auhinda	anticipation	0.562
lover	armastaja	anticipation	0.562
quicken	kiirenema	anticipation	0.562
champion	meister	anticipation	0.562
lovely	armas	anticipation	0.555
rejoicing	rõõmus	anticipation	0.555
grasping	haarates	anticipation	0.555
grow	kasvatada	anticipation	0.555
curiosity	uudishimu	anticipation	0.555
splendor	hiilgus	anticipation	0.555
salvation	lunastus	anticipation	0.555
happy	õnnelik	anticipation	0.555
oracle	orakel	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	lahti	anticipation	0.555
boisterous	tormakas	anticipation	0.555
liberty	vabadus	anticipation	0.555
heroism	kangelaslikkus	anticipation	0.555
feeling	tunne	anticipation	0.555
shopping	ostmine	anticipation	0.555
fate	saatus	anticipation	0.555
uneasiness	rahutus	anticipation	0.555
speculative	spekulatiivne	anticipation	0.555
changeable	muutuv	anticipation	0.547
recreational	puhkeala	anticipation	0.547
pray	palvetama	anticipation	0.547
warn	hoiata	anticipation	0.547
suspicious	kahtlane	anticipation	0.547
convergence	lähenemine	anticipation	0.547
incite	ärritama	anticipation	0.547
agape	agape	anticipation	0.547
morrow	homme	anticipation	0.547
abundance	arvukus	anticipation	0.547
delighted	rõõmus	anticipation	0.547
resultant	sellest tulenev	anticipation	0.547
hungry	näljane	anticipation	0.547
monetary	rahaline	anticipation	0.547
vote	hääletama	anticipation	0.547
glory	hiilgus	anticipation	0.547
glimmer	glimmer	anticipation	0.547
apprehensive	murettekitav	anticipation	0.547
sorcery	nõidus	anticipation	0.547
bountiful	rikkalik	anticipation	0.547
leisure	vaba aja veetmine	anticipation	0.547
probability	tõenäosus	anticipation	0.547
auction	oksjonil	anticipation	0.539
hunting	jahindus	anticipation	0.539
contingent	tingimuslik	anticipation	0.539
hankering	hirmuäratav	anticipation	0.539
sensual	sensuaalne	anticipation	0.539
blessings	õnnistused	anticipation	0.539
ballot	hääletusvoor	anticipation	0.539
grandchildren	lapselapsed	anticipation	0.539
entertainment	meelelahutus	anticipation	0.539
vindication	tõestamine	anticipation	0.539
worrying	murettekitav	anticipation	0.539
tempest	ahm	anticipation	0.539
inquiry	küsitlus	anticipation	0.539
merge	ühendama	anticipation	0.539
exceed	ületada	anticipation	0.539
bounty	halastus	anticipation	0.539
glad	hea meel	anticipation	0.536
magnificent	suurepärane	anticipation	0.531
feat	feat	anticipation	0.531
stealthy	salajane	anticipation	0.531
cheer	tervitada	anticipation	0.531
spirits	vaimud	anticipation	0.531
visitor	külaline	anticipation	0.531
appeal	apellatsioonkaebus	anticipation	0.531
forming	moodustades	anticipation	0.531
hurried	kiirustasid	anticipation	0.531
responsive	reageeriv	anticipation	0.531
virginity	neitsilikkus	anticipation	0.531
deliverance	vabastamine	anticipation	0.531
betrothed	vallutatud	anticipation	0.531
overthrow	kukutama	anticipation	0.531
harbinger	ettekandja	anticipation	0.531
raving	raev	anticipation	0.531
celestial	taevas	anticipation	0.531
dread	hirmus	anticipation	0.531
germination	idanemine	anticipation	0.523
preparatory	ettevalmistav	anticipation	0.523
pleasant	meeldiv	anticipation	0.523
watch	vaata	anticipation	0.523
prophet	prohvet	anticipation	0.523
prognostic	prognostiline	anticipation	0.523
haste	kiirustama	anticipation	0.523
planning	planeerimine	anticipation	0.523
importance	tähtsus	anticipation	0.523
radiance	sära	anticipation	0.523
prevail	valitsevad	anticipation	0.523
cheery	rõõmsameelne	anticipation	0.523
competition	konkurentsi	anticipation	0.523
ultimately	lõpuks	anticipation	0.523
revive	taaselustada	anticipation	0.523
beaming	säravad	anticipation	0.523
wait	oota	anticipation	0.523
child	laps	anticipation	0.523
notification	teatis	anticipation	0.523
hunter	jahimees	anticipation	0.523
explosive	plahvatusohtlik	anticipation	0.523
endanger	ohtu	anticipation	0.516
time	aeg	anticipation	0.516
recreation	puhkus	anticipation	0.516
renovation	renoveerimine	anticipation	0.516
precious	kallis	anticipation	0.516
begun	alanud	anticipation	0.516
loom	kudumismasin	anticipation	0.516
compensate	kompenseerima	anticipation	0.516
treat	ravige	anticipation	0.516
uncontrollable	kontrollimatu	anticipation	0.516
present	present	anticipation	0.516
salary	palk	anticipation	0.516
celebrity	kuulsus	anticipation	0.516
owing	tänu sellele	anticipation	0.516
chocolate	šokolaad	anticipation	0.516
caution	ettevaatlik	anticipation	0.516
fermentation	kääritamine	anticipation	0.516
sensuality	sensuaalsus	anticipation	0.516
wilderness	kõrbes	anticipation	0.508
signify	tähistavad	anticipation	0.508
transitional	üleminekuperiood	anticipation	0.508
intermission	vaheaeg	anticipation	0.508
contemplation	mõtlemine	anticipation	0.508
vigilance	valvsus	anticipation	0.508
commemoration	mälestamine	anticipation	0.508
practise	praktika	anticipation	0.508
cue	kiri	anticipation	0.508
infant	laps	anticipation	0.508
dreadful	kohutav	anticipation	0.508
perfection	täiuslikkus	anticipation	0.508
elevation	kõrgendus	anticipation	0.508
prerequisite	eeltingimus	anticipation	0.508
cultivate	kasvatada	anticipation	0.508
horizon	silmapiiril	anticipation	0.508
develop	arenema	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	ujuma	anticipation	0.500
attendance	osalemine	anticipation	0.500
nascent	tekib	anticipation	0.500
favorable	soodsad	anticipation	0.500
peril	oht	anticipation	0.500
income	tulu	anticipation	0.500
ardent	süütu	anticipation	0.500
commemorate	mälestama	anticipation	0.500
doomsday	lõppkuupäev	anticipation	0.500
reconciliation	leppimine	anticipation	0.500
utopian	utoopiline	anticipation	0.500
romantic	romantiline	anticipation	0.500
unbridled	unbridled	anticipation	0.500
sunny	päikseline	anticipation	0.500
uphill	ülesmäge	anticipation	0.500
intuitively	intuitiivselt	anticipation	0.500
depart	lahkuma	anticipation	0.500
eventuality	võimalust	anticipation	0.500
puppy	kutsikas	anticipation	0.500
zeal	innukus	anticipation	0.500
sneaking	hiiliva	anticipation	0.500
ready	valmis	anticipation	0.500
advocacy	propageerimine	anticipation	0.500
airport	lennujaam	anticipation	0.500
litigate	kohtuprotsess	anticipation	0.500
blindfold	silmad kinni	anticipation	0.500
undisclosed	avalikustamata	anticipation	0.500
young	noor	anticipation	0.500
horoscope	horoskoop	anticipation	0.500
invocation	kutsumine	anticipation	0.500
calculation	arvutus	anticipation	0.500
hero	kangelane	anticipation	0.500
court	kohus	anticipation	0.492
repay	tagasi maksta	anticipation	0.492
improvise	improviseerima	anticipation	0.492
parole	parole	anticipation	0.492
worry	muretsema	anticipation	0.492
inauguration	inauguratsioon	anticipation	0.492
gaping	lõhenenud	anticipation	0.492
youth	noored	anticipation	0.492
bless	õnnistagu	anticipation	0.492
defense	kaitse	anticipation	0.492
heyday	õitsengu aeg	anticipation	0.492
consequent	sellest tulenevalt	anticipation	0.492
proceeding	menetluses	anticipation	0.492
eventual	lõpuks	anticipation	0.492
perspective	vaatenurk	anticipation	0.492
restorative	taastav	anticipation	0.492
undertaking	ettevõtja	anticipation	0.492
highest	kõrgeim	anticipation	0.491
duel	duell	anticipation	0.484
unexplained	seletamatu	anticipation	0.484
tremor	treemor	anticipation	0.484
sharpen	teritama	anticipation	0.484
generosity	suuremeelsus	anticipation	0.484
voluptuous	lummav	anticipation	0.484
shortly	varsti	anticipation	0.484
vow	lubadus	anticipation	0.484
contagion	nakkus	anticipation	0.484
letter	kirjaga	anticipation	0.484
happen	juhtuda	anticipation	0.484
threaten	ähvardada	anticipation	0.484
conjure	kutsuma	anticipation	0.484
sparkle	särama	anticipation	0.484
engulf	haarama	anticipation	0.484
god	Jumal	anticipation	0.484
correspondence	kirjavahetus	anticipation	0.484
auspicious	õnnelik	anticipation	0.484
princely	vürstlik	anticipation	0.484
adore	jumaldan	anticipation	0.477
enroll	registreeruma	anticipation	0.477
determinate	määrav	anticipation	0.477
predispose	eelistada	anticipation	0.477
clue	vihje	anticipation	0.477
onset	algus	anticipation	0.477
powerful	võimas	anticipation	0.477
glorify	austustage	anticipation	0.477
glow	kuma	anticipation	0.477
arbitration	vahekohtumenetlus	anticipation	0.477
torture	piinamine	anticipation	0.477
gravitate	koormama	anticipation	0.477
cherish	hellitada	anticipation	0.477
contemplate	kaaluge	anticipation	0.477
submit	Esita	anticipation	0.477
perilous	ohtlik	anticipation	0.477
unification	ühendamine	anticipation	0.477
score	skoor	anticipation	0.477
medal	medal	anticipation	0.477
glide	libisemine	anticipation	0.477
recipient	saaja	anticipation	0.477
accompaniment	saade	anticipation	0.477
praiseworthy	kiiduväärt	anticipation	0.473
providing	pakkudes	anticipation	0.469
motion	liikumine	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	ettevaatlik	anticipation	0.469
cash	sularahas	anticipation	0.469
precursor	prekursor	anticipation	0.469
opera	ooper	anticipation	0.469
elite	eliit	anticipation	0.469
pry	pry	anticipation	0.469
hire	palgata	anticipation	0.469
sweets	maiustused	anticipation	0.469
star	täht	anticipation	0.469
unsurpassed	ületamatu	anticipation	0.469
successful	edukas	anticipation	0.469
unknown	teadmata	anticipation	0.469
immediately	kohe	anticipation	0.469
starry	starry	anticipation	0.469
production	tootmine	anticipation	0.469
football	Jalgpall	anticipation	0.469
completion	lõpuleviimine	anticipation	0.469
scare	hirmutada	anticipation	0.469
invoke	kutsuma	anticipation	0.469
shaky	lollakas	anticipation	0.469
dawn	dawn	anticipation	0.469
creeping	roojad	anticipation	0.469
cheerfulness	rõõmsus	anticipation	0.461
soundness	usaldusväärsus	anticipation	0.461
mail	posti teel	anticipation	0.461
draft	eelnõu	anticipation	0.461
preliminary	esialgne	anticipation	0.461
friendly	sõbralik	anticipation	0.461
commemorative	mälestusmärk	anticipation	0.461
extricate	hõõruda	anticipation	0.461
alive	elus	anticipation	0.461
untold	ütlemata	anticipation	0.461
overture	overture	anticipation	0.461
excel	suurepärane	anticipation	0.461
plight	kohutav olukord	anticipation	0.461
synchronize	sünkroonida	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	pühakoda	anticipation	0.461
brilliant	suurepärane	anticipation	0.461
pay	maksma	anticipation	0.461
shining	särav	anticipation	0.461
regatta	regati	anticipation	0.461
testament	testament	anticipation	0.461
jeopardy	oht	anticipation	0.461
perpetuity	igavene	anticipation	0.453
elegance	elegantsus	anticipation	0.453
career	karjäär	anticipation	0.453
basketball	korvpall	anticipation	0.453
intimately	tihedalt	anticipation	0.453
renovate	renoveerige	anticipation	0.453
supremacy	ülimuslikkus	anticipation	0.453
infinity	lõpmatus	anticipation	0.453
unexpected	ootamatu	anticipation	0.453
flinch	lendama	anticipation	0.453
complement	täiendus	anticipation	0.453
prologue	proloog	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	ärahoidmine	anticipation	0.453
improve	paranema	anticipation	0.453
sunset	päikeseloojangut	anticipation	0.453
inaugural	inauguratsioon	anticipation	0.453
rehabilitation	taastusravi	anticipation	0.453
fitting	paigaldamine	anticipation	0.445
surround	ümbritsema	anticipation	0.445
share	jagada	anticipation	0.445
epidemic	epideemia	anticipation	0.445
sweet	magus	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	varjamine	anticipation	0.445
confidence	usaldust	anticipation	0.445
perfect	täiuslik	anticipation	0.445
sun	päike	anticipation	0.445
veracity	õigsus	anticipation	0.445
volunteer	vabatahtlik	anticipation	0.445
conjecture	oletus	anticipation	0.445
medical	meditsiiniline	anticipation	0.438
prepared	valmis	anticipation	0.438
superstitious	ebausklik	anticipation	0.438
reconstruction	rekonstrueerimine	anticipation	0.438
tickle	kummardama	anticipation	0.438
faith	usk	anticipation	0.438
passenger	reisija	anticipation	0.438
saint	pühak	anticipation	0.438
respect	austama	anticipation	0.438
rabid	kurb	anticipation	0.438
reconstruct	rekonstrueerima	anticipation	0.438
recombination	rekombinatsioon	anticipation	0.438
devout	pühendunud	anticipation	0.438
goodness	headus	anticipation	0.438
angel	ingel	anticipation	0.438
ferment	käärima	anticipation	0.438
plea	väide	anticipation	0.438
aloha	Aloha	anticipation	0.438
serial	seerianumber	anticipation	0.438
conservation	kaitse	anticipation	0.438
serenity	rahulikkus	anticipation	0.430
tabulate	tabuleerida	anticipation	0.430
install	installida	anticipation	0.430
labyrinth	labürint	anticipation	0.430
venerable	auväärne	anticipation	0.430
perpetuate	püsib	anticipation	0.430
strategist	strateeg	anticipation	0.430
unverified	kontrollimata	anticipation	0.430
tribunal	kohus	anticipation	0.430
charitable	heategevuslik	anticipation	0.430
luscious	lõhnakas	anticipation	0.430
spa	spaa	anticipation	0.430
peace	rahu	anticipation	0.430
clap	plaksutama	anticipation	0.430
conspirator	võlur	anticipation	0.422
forestall	vältima	anticipation	0.422
patience	kannatlikkust	anticipation	0.422
oasis	oaas	anticipation	0.422
grin	naerata	anticipation	0.422
revere	austama	anticipation	0.422
worship	kummardama	anticipation	0.422
vista	vista	anticipation	0.422
laughter	naer	anticipation	0.422
volatility	volatiilsus	anticipation	0.422
adrift	eemale	anticipation	0.422
candid	siiralt	anticipation	0.422
edification	õpetamine	anticipation	0.422
unresolved	lahendamata	anticipation	0.422
peaceful	rahumeelne	anticipation	0.422
recognizable	äratuntav	anticipation	0.422
calls	kõned	anticipation	0.414
weigh	kaaluge	anticipation	0.414
probation	katseaeg	anticipation	0.414
proficiency	oskus	anticipation	0.414
morn	hommikul	anticipation	0.414
craps	craps	anticipation	0.414
detainee	kinnipeetav	anticipation	0.414
mediate	vahendab	anticipation	0.414
continue	jätkake	anticipation	0.414
astrologer	astroloog	anticipation	0.414
punctual	täpne	anticipation	0.414
ordination	koordineerimine	anticipation	0.414
pretty	ilus	anticipation	0.414
thought	mõtlesin	anticipation	0.414
grant	toetus	anticipation	0.414
withstand	vastu pidama	anticipation	0.414
frisky	vilets	anticipation	0.414
ongoing	jätkuv	anticipation	0.414
sing	laulda	anticipation	0.411
long	pikk	anticipation	0.406
confession	ülestunnistus	anticipation	0.406
headlight	esituled	anticipation	0.406
prophylactic	profülaktiline	anticipation	0.406
mother	ema	anticipation	0.406
debenture	võlakiri	anticipation	0.406
wizard	nõustaja	anticipation	0.406
university	ülikool	anticipation	0.406
proud	uhke	anticipation	0.406
midwife	ämmaemand	anticipation	0.406
banquet	pidusöök	anticipation	0.406
continuation	jätkamine	anticipation	0.406
navigable	laevatatav	anticipation	0.406
punished	karistatud	anticipation	0.406
chicane	šikaan	anticipation	0.406
comfort	mugavus	anticipation	0.406
opponent	vastane	anticipation	0.406
subscribe	tellida	anticipation	0.406
outdo	vallandada	anticipation	0.406
nurture	kasvatada	anticipation	0.406
twinkle	vilkuma	anticipation	0.406
deal	tegelema	anticipation	0.402
efficient	efektiivne	anticipation	0.398
representing	esindavad	anticipation	0.398
simmer	keeda	anticipation	0.398
symphony	sümfoonia	anticipation	0.398
judiciary	kohtusüsteem	anticipation	0.398
obliging	kohustatud	anticipation	0.398
saintly	püha	anticipation	0.398
vigil	vigil	anticipation	0.398
death	surm	anticipation	0.398
distracting	häirivad	anticipation	0.398
mortification	kärbimine	anticipation	0.398
balm	palsam	anticipation	0.398
guillotine	giljotiin	anticipation	0.398
top	üleval	anticipation	0.398
lettered	kirjaga	anticipation	0.398
reliance	sõltuvus	anticipation	0.398
poke	kohe	anticipation	0.391
unfulfilled	täitmata	anticipation	0.391
assurance	kindlustus	anticipation	0.391
condemnation	hukkamõistu	anticipation	0.391
undoubted	kahtlemata	anticipation	0.391
diplomacy	diplomaatia	anticipation	0.391
familiarity	tuttav	anticipation	0.391
antidote	antidoot	anticipation	0.391
chuckle	naerma	anticipation	0.391
objective	objektiivne	anticipation	0.391
maternal	ema	anticipation	0.391
abeyance	peatamine	anticipation	0.391
art	art	anticipation	0.391
linger	järele jääda	anticipation	0.391
trust	usaldust	anticipation	0.391
depraved	rikutud	anticipation	0.391
sanctify	pühitsema	anticipation	0.391
inoculation	inokuleerimine	anticipation	0.384
chant	chant	anticipation	0.383
banger	banger	anticipation	0.383
playground	mänguväljak	anticipation	0.383
failing	läbi kukkuma	anticipation	0.383
ship	laeva	anticipation	0.383
hymn	hümn	anticipation	0.383
simplify	lihtsustama	anticipation	0.383
ram	ram	anticipation	0.383
labor	töö	anticipation	0.383
discretion	kaalutlusõigus	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	hea	anticipation	0.383
scientist	teadlane	anticipation	0.383
undecided	lahendamata	anticipation	0.383
humanitarian	humanitaarabi	anticipation	0.383
depend	sõltuvad	anticipation	0.383
dutiful	kohusetundlik	anticipation	0.383
clock	kell	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	mägi	anticipation	0.375
savor	lõhnama	anticipation	0.375
recurrent	korduv	anticipation	0.375
interim	ajutine	anticipation	0.375
navigator	navigaator	anticipation	0.375
gradual	järkjärguline	anticipation	0.375
interminable	lõputult	anticipation	0.375
track	jälgida	anticipation	0.375
public	avalik	anticipation	0.375
cradle	häll	anticipation	0.375
concealed	varjatud	anticipation	0.367
lesson	õppetund	anticipation	0.367
instructions	juhised	anticipation	0.367
shiver	jama	anticipation	0.367
musical	muusikaline	anticipation	0.367
towering	tõusev	anticipation	0.367
whim	kapriis	anticipation	0.367
spear	oda	anticipation	0.367
convince	veenda	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	järgige	anticipation	0.367
biennial	biennaal	anticipation	0.367
theology	teoloogia	anticipation	0.359
offset	nihe	anticipation	0.359
atone	puhas	anticipation	0.359
timidity	ahnusus	anticipation	0.359
theory	teooria	anticipation	0.359
undying	surematu	anticipation	0.359
plump	tühine	anticipation	0.359
audience	vaatajaskond	anticipation	0.357
nobility	aadel	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	dieet	anticipation	0.352
closure	sulgemine	anticipation	0.352
store	poodi	anticipation	0.352
localize	lokaliseerima	anticipation	0.352
cramp	kramp	anticipation	0.352
daily	iga päev	anticipation	0.352
kindred	sugulane	anticipation	0.352
farm	talu	anticipation	0.352
edition	väljaanne	anticipation	0.352
consecration	pühitsemine	anticipation	0.352
archaeology	arheoloogia	anticipation	0.344
mobile	mobiilne	anticipation	0.344
errand	ülesanne	anticipation	0.344
wireless	traadita	anticipation	0.344
mutable	muteeritav	anticipation	0.344
meditate	mediteerima	anticipation	0.344
stripped	kooritud	anticipation	0.344
lessen	vähendama	anticipation	0.336
unaccountable	vastutustundetu	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	vendlikult	anticipation	0.336
buddy	sõber	anticipation	0.336
unbeaten	löömata	anticipation	0.336
germ	idu	anticipation	0.336
dove	tuvi	anticipation	0.328
digress	taganema	anticipation	0.328
ribbon	Pael	anticipation	0.328
olfactory	lõhnav	anticipation	0.328
patient	patsient	anticipation	0.328
council	volikogu	anticipation	0.328
possess	omama	anticipation	0.328
secular	ilmalik	anticipation	0.328
chastity	kirglikkus	anticipation	0.328
disposed	asetatud	anticipation	0.320
regularity	regulaarsus	anticipation	0.320
mediator	vahendaja	anticipation	0.320
scrutinize	uurima	anticipation	0.320
fancy	peen	anticipation	0.320
immature	ebaküps	anticipation	0.320
infanticide	lapsehoolduspuhkus	anticipation	0.320
heft	kallis	anticipation	0.320
preservative	säilitusaine	anticipation	0.320
paddle	mõla	anticipation	0.320
cove	jõgi	anticipation	0.320
denying	eitamine	anticipation	0.312
bugle	lööma	anticipation	0.312
unpublished	avaldamata	anticipation	0.312
analyst	analüütik	anticipation	0.312
grim	mustad	anticipation	0.312
church	kirik	anticipation	0.312
priesthood	preesterkond	anticipation	0.305
mill	mill	anticipation	0.305
judicial	kohtulik	anticipation	0.305
broadside	laia taha	anticipation	0.305
tributary	lisajõed	anticipation	0.297
cap	kork	anticipation	0.297
thermocouple	termopaar	anticipation	0.297
dismay	häpe	anticipation	0.297
instructor	õpetaja	anticipation	0.297
saliva	sülg	anticipation	0.297
exhaustion	ammendumine	anticipation	0.297
bruise	verevalumid	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	kodutud	anticipation	0.289
visor	visiir	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	võrk	anticipation	0.289
shackle	varras	anticipation	0.289
addresses	aadressid	anticipation	0.289
noncompliance	mittevastavus	anticipation	0.289
cataract	katarakt	anticipation	0.289
skewed	kitsas	anticipation	0.281
astronomer	astronoom	anticipation	0.281
neighbor	naaber	anticipation	0.281
holiness	pühadus	anticipation	0.273
devil	kurat	anticipation	0.273
cream	kreem	anticipation	0.273
picket	pikett	anticipation	0.273
latent	latentne	anticipation	0.273
immaturity	ebaküpsus	anticipation	0.273
sentence	lause	anticipation	0.273
neighborhood	naabruskond	anticipation	0.266
morals	moraalid	anticipation	0.266
lull	kummitama	anticipation	0.266
habitual	harilik	anticipation	0.266
weight	kaal	anticipation	0.258
bye	bye	anticipation	0.258
forearm	käsivars	anticipation	0.250
clown	kloun	anticipation	0.250
organ	orel	anticipation	0.250
quote	tsiteerida	anticipation	0.242
commonplace	tavaline	anticipation	0.242
dictatorship	diktatuur	anticipation	0.234
board	pardal	anticipation	0.234
white	valge	anticipation	0.234
treadmill	jooksulint	anticipation	0.234
rail	raudtee	anticipation	0.234
sundial	päikesekell	anticipation	0.227
tree	puu	anticipation	0.227
paralysis	paralüüs	anticipation	0.211
worm	uss	anticipation	0.203
organization	organisatsioon	anticipation	0.203
cement	tsement	anticipation	0.203
lagging	maha jäänud	anticipation	0.180
neutral	neutraalne	anticipation	0.148
cannibalism	kannibalism	disgust	0.953
mutilation	moonutamine	disgust	0.930
molestation	kiusatus	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonorröa	disgust	0.906
rape	vägistamine	disgust	0.906
cannibal	kannibal	disgust	0.898
rot	mädanema	disgust	0.891
corpse	surnukeha	disgust	0.883
massacre	veresaun	disgust	0.883
excrement	väljaheidet	disgust	0.883
slaughter	tapmine	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	tapamaja	disgust	0.867
rancid	hanestunud	disgust	0.859
sewerage	kanalisatsioon	disgust	0.859
incestuous	kõhukinnisus	disgust	0.859
filth	mustus	disgust	0.859
bigot	võlur	disgust	0.859
infestation	nakatumine	disgust	0.852
plague	katk	disgust	0.852
bloodthirsty	verejanuline	disgust	0.852
holocaust	holokausti	disgust	0.852
rotting	mädanenud	disgust	0.844
maggot	Marmoto	disgust	0.844
feces	väljaheited	disgust	0.844
fecal	fekaal	disgust	0.844
murder	mõrv	disgust	0.839
infanticide	lapsehoolduspuhkus	disgust	0.836
homicide	tapmine	disgust	0.836
asshole	sitapea	disgust	0.836
enslaved	orjastatud	disgust	0.836
gore	gore	disgust	0.828
perverted	rikutud	disgust	0.828
torture	piinamine	disgust	0.828
slaughtering	tapmine	disgust	0.828
excretion	eritumine	disgust	0.828
contaminate	saasta	disgust	0.821
murderer	mõrvar	disgust	0.820
gory	kallis	disgust	0.820
repugnant	häbiväärne	disgust	0.820
desecration	petmine	disgust	0.820
grotesque	grotesque	disgust	0.820
revolting	mässuline	disgust	0.820
diarrhoea	kõhulahtisus	disgust	0.820
manure	sõnnik	disgust	0.820
terrorist	terrorist	disgust	0.820
shit	jama	disgust	0.820
pervert	pervert	disgust	0.820
slavery	orjus	disgust	0.812
faeces	fekaalid	disgust	0.812
sewer	kanalisatsioon	disgust	0.812
vomit	oksendama	disgust	0.812
manslaughter	tapmine	disgust	0.812
dismemberment	lahutamine	disgust	0.812
cadaver	lõvi	disgust	0.812
hemorrhage	hemorraagia	disgust	0.805
repulsive	kohutav	disgust	0.805
perverse	perversne	disgust	0.805
filthy	räpane	disgust	0.797
sewage	kanalisatsioon	disgust	0.797
depravity	väärkohtlemine	disgust	0.797
diseased	haige	disgust	0.797
carcass	rümp	disgust	0.795
decompose	lagunevad	disgust	0.789
vermin	kahjurid	disgust	0.789
puke	oksendama	disgust	0.789
parasite	parasiit	disgust	0.789
horrific	kohutav	disgust	0.789
gruesome	kohutav	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	moonutatud	disgust	0.789
murderous	mõrvarlik	disgust	0.789
decayed	lagunenud	disgust	0.789
herpes	herpes	disgust	0.789
slime	lima	disgust	0.781
flatulence	kõhupuhitus	disgust	0.781
monstrosity	koletisus	disgust	0.781
carnage	tapmine	disgust	0.781
pestilence	mürgitus	disgust	0.781
malaria	malaaria	disgust	0.781
crap	jama	disgust	0.781
toxic	mürgine	disgust	0.773
loathsome	vihane	disgust	0.773
insidious	salajane	disgust	0.773
leprosy	leepra	disgust	0.773
morgue	morgi	disgust	0.773
pus	pool	disgust	0.773
herpesvirus	herpesviirus	disgust	0.773
whore	hoor	disgust	0.766
cruel	julm	disgust	0.766
repugnance	vastumeelsus	disgust	0.766
revulsion	revultsus	disgust	0.766
