word	Georgian-ka	emotion	emotion-intensity-score
sisterhood	sisterhood	anger	0.015
musical	მუსიკალური	anger	0.011
tree	ხე	anger	0.000
anticipation	მოლოდინი	anticipation	0.859
excited	აღფრთოვანებული	anticipation	0.859
anticipate	მოსალოდნელია	anticipation	0.820
excitement	შფოთვა	anticipation	0.820
eagerness	სურვილი	anticipation	0.812
exciting	საინტერესო	anticipation	0.797
expectant	expectant	anticipation	0.789
thrilling	ამაღელვებელი	anticipation	0.781
hope	იმედი მაქვს	anticipation	0.773
quest	ქვესტი	anticipation	0.766
expectance	მოლოდინი	anticipation	0.750
countdown	countdown	anticipation	0.750
start	დაიწყე	anticipation	0.750
anticipatory	წინაპირობა	anticipation	0.750
adventure	სათავგადასავლო	anticipation	0.750
eager	სურვილი	anticipation	0.742
climax	კულმინაცია	anticipation	0.742
excite	excite	anticipation	0.742
prophecy	წინასწარმეტყველება	anticipation	0.742
arouse	აწუხებს	anticipation	0.742
expect	ველით	anticipation	0.742
birth	დაბადების	anticipation	0.734
ejaculation	ეგაქულაცია	anticipation	0.734
announcement	გამოცხადება	anticipation	0.734
liberation	გათავისუფლება	anticipation	0.727
urgent	სასწრაფოდ	anticipation	0.727
expecting	ველოდები	anticipation	0.727
expectancy	ლოდინი	anticipation	0.727
imminent	გარდაუვალია	anticipation	0.727
aspire	ასპარეზზე	anticipation	0.719
prospect	პერსპექტივა	anticipation	0.719
trepidation	სიხარბეს	anticipation	0.719
reunion	გაერთიანება	anticipation	0.719
prospection	კეთილდღეობა	anticipation	0.719
voyage	ვოიაჟი	anticipation	0.719
mystery	საიდუმლო	anticipation	0.711
journey	მოგზაურობა	anticipation	0.711
kiss	კოცნა	anticipation	0.711
enthusiasm	ენთუზიაზმი	anticipation	0.711
suspense	შეჩერება	anticipation	0.711
ecstasy	ექსტაზი	anticipation	0.711
rapture	rapture	anticipation	0.711
yearning	yearning	anticipation	0.711
urgency	სასწრაფო	anticipation	0.703
destination	დანიშნულება	anticipation	0.703
frantic	frantic	anticipation	0.703
excitation	აღგზნება	anticipation	0.703
thrill	მღელვარე	anticipation	0.703
prospective	პერსპექტივა	anticipation	0.703
hopeful	იმედი მაქვს	anticipation	0.703
lottery	ლატარიაში	anticipation	0.703
progress	პროგრესი	anticipation	0.703
tantalizing	tantalizing	anticipation	0.703
advance	წინსვლა	anticipation	0.695
explore	გამოკვლევა	anticipation	0.695
liberate	გათავისუფლება	anticipation	0.695
readiness	მზადყოფნა	anticipation	0.695
hurry	ჩქარობს	anticipation	0.695
arrival	ჩამოსვლა	anticipation	0.695
vacation	შვებულება	anticipation	0.695
expectation	მოლოდინი	anticipation	0.695
sex	სექსი	anticipation	0.695
achievement	მიღწევა	anticipation	0.695
prediction	პროგნოზირება	anticipation	0.695
allure	allure	anticipation	0.688
ecstatic	ენერგიული	anticipation	0.688
approaching	ახლოვდება	anticipation	0.688
uprising	აჯანყება	anticipation	0.680
honeymoon	თაფლობის თვე	anticipation	0.680
roulette	რულეტკა	anticipation	0.680
crescendo	კრესენდო	anticipation	0.672
holiday	დღესასწაული	anticipation	0.672
wishful	wishful	anticipation	0.672
celebrating	ზეიმობს	anticipation	0.672
waiting	ელოდება	anticipation	0.664
winnings	მოგება	anticipation	0.664
orgasm	ორგაზმი	anticipation	0.664
winning	გამარჯვება	anticipation	0.664
impending	მოსალოდნელია	anticipation	0.664
invitation	მოწვევა	anticipation	0.664
rescue	სამაშველო	anticipation	0.664
craving	craving	anticipation	0.664
triumph	ტრიუმფი	anticipation	0.664
celebration	დღესასწაული	anticipation	0.656
victory	გამარჯვება	anticipation	0.656
aspiring	მიისწრაფვის	anticipation	0.656
gain	მოგება	anticipation	0.656
jackpot	ჯეკპოტი	anticipation	0.656
marriage	ქორწინება	anticipation	0.656
strive	ვცდილობთ	anticipation	0.656
bridegroom	სიძე	anticipation	0.656
reward	ჯილდო	anticipation	0.656
fortune	ბედი	anticipation	0.656
bridal	საქორწილო	anticipation	0.656
courtship	courtship	anticipation	0.656
treasure	საგანძური	anticipation	0.648
opportunity	შესაძლებლობა	anticipation	0.648
intrigue	ინტრიგა	anticipation	0.648
delivery	მიწოდება	anticipation	0.648
alertness	სიფხიზლე	anticipation	0.648
aspiration	სწრაფვა	anticipation	0.648
inheritance	სამკვიდრო	anticipation	0.648
rising	იზრდება	anticipation	0.648
tomorrow	ხვალ	anticipation	0.648
prescient	prescient	anticipation	0.648
crowning	გვირგვინი	anticipation	0.648
revolution	რევოლუცია	anticipation	0.641
erotic	ეროტიკა	anticipation	0.641
spectacular	სანახაობრივი	anticipation	0.641
anxious	შეშფოთებულია	anticipation	0.641
expedition	ექსპედიცია	anticipation	0.641
possibility	შესაძლებლობა	anticipation	0.641
launch	დაიწყოს	anticipation	0.641
bride	პატარძალი	anticipation	0.641
celebrated	აღინიშნება	anticipation	0.641
prognosis	პროგნოზი	anticipation	0.641
engaged	ჩართული	anticipation	0.641
reckoning	ითხოვა	anticipation	0.641
award	ჯილდო	anticipation	0.641
happiness	ბედნიერება	anticipation	0.641
hype	Hype	anticipation	0.641
receiving	მიღება	anticipation	0.641
curious	საინტერესოა	anticipation	0.633
succeed	წარმატების მიღწევა	anticipation	0.633
birthday	დაბადების დღე	anticipation	0.633
graduation	დამთავრების	anticipation	0.633
beware	სიფრთხილე	anticipation	0.633
vision	ხედვა	anticipation	0.633
passionate	ვნებიანი	anticipation	0.633
delight	აღფრთოვანებული	anticipation	0.633
destiny	ბედი	anticipation	0.633
ominous	საშიში	anticipation	0.633
coming	მოდის	anticipation	0.633
await	დაველოდოთ	anticipation	0.633
passion	ვნება	anticipation	0.633
firstborn	პირმშო	anticipation	0.633
captivate	დატყვევება	anticipation	0.633
prepare	მომზადება	anticipation	0.633
miracle	სასწაული	anticipation	0.633
triumphant	ტრიუმფანტი	anticipation	0.625
lust	იმედგაცრუება	anticipation	0.625
retirement	საპენსიო	anticipation	0.625
escape	გაქცევა	anticipation	0.625
gift	საჩუქარი	anticipation	0.625
inspiration	შთაგონების	anticipation	0.625
optimism	ოპტიმიზმი	anticipation	0.625
foresee	განჭვრეტა	anticipation	0.625
ripen	ripen	anticipation	0.625
revival	აღორძინება	anticipation	0.625
embrace	იკისროს	anticipation	0.617
risky	სარისკო	anticipation	0.617
ambition	ამბიცია	anticipation	0.617
simmering	simmering	anticipation	0.617
surprisingly	გასაკვირი	anticipation	0.617
verge	პირას	anticipation	0.617
enchanting	მომაჯადოებელი	anticipation	0.617
bloom	Bloom	anticipation	0.617
foresight	წინასწარმეტყველება	anticipation	0.617
foreboding	foreboding	anticipation	0.617
destined	განკუთვნილია	anticipation	0.617
succeeding	გამოგვდის	anticipation	0.609
magical	ჯადოსნური	anticipation	0.609
bonus	ბონუსი	anticipation	0.609
lookout	ფრთხილად	anticipation	0.609
matrimony	ქორწინება	anticipation	0.609
alerts	შეტყობინებები	anticipation	0.609
anxiety	შფოთვა	anticipation	0.609
seductive	seductive	anticipation	0.609
forecast	პროგნოზი	anticipation	0.609
intended	განკუთვნილია	anticipation	0.602
inspire	გააჩინოს	anticipation	0.602
diagnosis	დიაგნოზი	anticipation	0.602
visionary	ხედვა	anticipation	0.602
nervous	ნერვული	anticipation	0.602
deserve	იმსახურებს	anticipation	0.602
fulfillment	შესრულება	anticipation	0.602
picnic	პიკნიკი	anticipation	0.602
applicant	განმცხადებელი	anticipation	0.602
foreseen	გათვალისწინებული	anticipation	0.602
entertaining	გასართობი	anticipation	0.602
revenge	შურისძიება	anticipation	0.602
success	წარმატება	anticipation	0.602
prophetic	წინასწარმეტყველური	anticipation	0.602
winner	გამარჯვებული	anticipation	0.602
longing	ლტოლვა	anticipation	0.602
boomerang	ბუმერანგი	anticipation	0.602
result	შედეგი	anticipation	0.594
accelerate	დააჩქაროს	anticipation	0.594
buzz	ხმაურს	anticipation	0.594
acquiring	იძენს	anticipation	0.594
marry	ცოლად	anticipation	0.594
illuminate	განათება	anticipation	0.594
romance	რომანი	anticipation	0.594
rekindle	rekindle	anticipation	0.594
luck	გისურვებთ	anticipation	0.594
advent	სამყარო	anticipation	0.594
preparedness	მზადყოფნა	anticipation	0.594
momentum	იმპულსი	anticipation	0.594
arrive	ჩამოვა	anticipation	0.594
predict	პროგნოზირება	anticipation	0.589
sequel	გაგრძელებაა	anticipation	0.586
money	ფული	anticipation	0.586
endeavor	შეეცდებიან	anticipation	0.586
auspices	ე	anticipation	0.586
fiesta	ფეისტეა	anticipation	0.586
raffle	გათამაშება	anticipation	0.586
preparation	მომზადება	anticipation	0.586
uplift	ამაღლება	anticipation	0.586
investigation	გამოძიება	anticipation	0.586
gambling	სათამაშო	anticipation	0.586
delightful	ლაღი	anticipation	0.586
enjoying	მოსარგებლე	anticipation	0.586
seek	ეძებს	anticipation	0.586
impatient	მოუთმენელი	anticipation	0.586
overdue	ვადაგადაცილებული	anticipation	0.586
crave	სენატში	anticipation	0.586
flirt	flirt	anticipation	0.586
enthusiast	ენთუზიასტი	anticipation	0.586
presumption	ვარაუდი	anticipation	0.586
immerse	immerse	anticipation	0.586
progression	პროგრესიით	anticipation	0.586
experiment	ექსპერიმენტი	anticipation	0.580
inviting	მოწვევა	anticipation	0.578
precarious	საეჭვოა	anticipation	0.578
blessing	კურთხევა	anticipation	0.578
harvest	მოსავალი	anticipation	0.578
transcendence	ტრანსცენდენცია	anticipation	0.578
heavenly	ზეციური	anticipation	0.578
attainable	მიღწეული	anticipation	0.578
enjoy	სარგებლობენ	anticipation	0.578
divination	divination	anticipation	0.578
excavation	გათხრები	anticipation	0.578
healing	სამკურნალო	anticipation	0.578
majestic	დიდებული	anticipation	0.578
clamor	კამათის	anticipation	0.578
thirst	წყურვილი	anticipation	0.578
remedy	წამალია	anticipation	0.578
prosper	წარმატებული	anticipation	0.578
risk	რისკი	anticipation	0.578
angling	გაბრაზება	anticipation	0.578
completing	დასრულება	anticipation	0.578
thriving	წარმატებული	anticipation	0.578
zest	zest	anticipation	0.570
tease	გაღიზიანება	anticipation	0.570
matchmaker	მაჭანკო	anticipation	0.570
prospectively	პერსპექტივაში	anticipation	0.570
restlessness	მოუსვენრობა	anticipation	0.570
sweetheart	მიყვარხარ	anticipation	0.570
emancipation	ემანსიპაცია	anticipation	0.570
ultimate	საბოლოო	anticipation	0.570
invite	მოიწვიე	anticipation	0.570
gambler	მოთამაშე	anticipation	0.570
dare	გაბედავს	anticipation	0.570
plan	გეგმა	anticipation	0.570
magnificence	ბრწყინვალება	anticipation	0.570
warned	გაფრთხილებული	anticipation	0.570
finally	საბოლოოდ	anticipation	0.570
intimate	ინტიმური	anticipation	0.570
omen	ომენი	anticipation	0.570
attempt	მცდელობა	anticipation	0.562
forewarned	forewarned	anticipation	0.562
fun	გართობა	anticipation	0.562
festival	ფესტივალი	anticipation	0.562
trophy	თასი	anticipation	0.562
rejoice	იხარეთ	anticipation	0.562
fanfare	გულშემატკივართა	anticipation	0.562
predilection	predilection	anticipation	0.562
exalt	დიდად	anticipation	0.562
parade	აღლუმი	anticipation	0.562
enchant	მოჯადოება	anticipation	0.562
independence	დამოუკიდებლობა	anticipation	0.562
expose	გამოვლენა	anticipation	0.562
immortality	უკვდავება	anticipation	0.562
expected	მოსალოდნელია	anticipation	0.562
mysterious	იდუმალი	anticipation	0.562
hypothesis	ჰიპოთეზა	anticipation	0.562
accolade	accolade	anticipation	0.562
lover	შეყვარებული	anticipation	0.562
quicken	სწრაფი	anticipation	0.562
champion	ჩემპიონი	anticipation	0.562
lovely	ლამაზი	anticipation	0.555
rejoicing	სიხარულით	anticipation	0.555
grasping	grasping	anticipation	0.555
grow	იზრდება	anticipation	0.555
curiosity	ცნობისმოყვარეობა	anticipation	0.555
splendor	ბრწყინვალება	anticipation	0.555
salvation	ხსნა	anticipation	0.555
happy	ბედნიერი	anticipation	0.555
oracle	oracle	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	ვითარდება	anticipation	0.555
boisterous	მღელვარე	anticipation	0.555
liberty	თავისუფლება	anticipation	0.555
heroism	გმირობა	anticipation	0.555
feeling	შეგრძნება	anticipation	0.555
shopping	სავაჭრო	anticipation	0.555
fate	ბედი	anticipation	0.555
uneasiness	უსიამოვნება	anticipation	0.555
speculative	სპეკულაცია	anticipation	0.555
changeable	ცვალებადია	anticipation	0.547
recreational	რეკრეაციული	anticipation	0.547
pray	ილოცეთ	anticipation	0.547
warn	გააფრთხილო	anticipation	0.547
suspicious	საეჭვოა	anticipation	0.547
convergence	დაახლოება	anticipation	0.547
incite	უბიძგებენ	anticipation	0.547
agape	ალეპე	anticipation	0.547
morrow	ხვალ	anticipation	0.547
abundance	სიუხვე	anticipation	0.547
delighted	აღფრთოვანებული	anticipation	0.547
resultant	შედეგად	anticipation	0.547
hungry	მშიერი	anticipation	0.547
monetary	მონეტარული	anticipation	0.547
vote	ხმის მიცემა	anticipation	0.547
glory	დიდება	anticipation	0.547
glimmer	წებოვანი	anticipation	0.547
apprehensive	საშიში	anticipation	0.547
sorcery	ჯადოქარი	anticipation	0.547
bountiful	კეთილშობილური	anticipation	0.547
leisure	დასვენება	anticipation	0.547
probability	ალბათობა	anticipation	0.547
auction	აუქციონი	anticipation	0.539
hunting	ნადირობა	anticipation	0.539
contingent	კონტინგენტი	anticipation	0.539
hankering	გატაცება	anticipation	0.539
sensual	სენსუალური	anticipation	0.539
blessings	კურთხევები	anticipation	0.539
ballot	ბიულეტენი	anticipation	0.539
grandchildren	შვილიშვილები	anticipation	0.539
entertainment	გასართობი	anticipation	0.539
vindication	დამტკიცება	anticipation	0.539
worrying	შემაშფოთებელია	anticipation	0.539
tempest	ქარიშხალი	anticipation	0.539
inquiry	გამოძიება	anticipation	0.539
merge	შერწყმა	anticipation	0.539
exceed	აღემატებოდეს	anticipation	0.539
bounty	Bounty	anticipation	0.539
glad	მოხარული ვარ	anticipation	0.536
magnificent	ბრწყინვალე	anticipation	0.531
feat	feat	anticipation	0.531
stealthy	stealthy	anticipation	0.531
cheer	გულშემატკივართა	anticipation	0.531
spirits	სულები	anticipation	0.531
visitor	სტუმარი	anticipation	0.531
appeal	მიმართვა	anticipation	0.531
forming	ფორმირება	anticipation	0.531
hurried	ჩქარობს	anticipation	0.531
responsive	საპასუხოდ	anticipation	0.531
virginity	ქალწულობა	anticipation	0.531
deliverance	ხსნა	anticipation	0.531
betrothed	betrothed	anticipation	0.531
overthrow	დამხობა	anticipation	0.531
harbinger	ჰერბინგერი	anticipation	0.531
raving	რაინდები	anticipation	0.531
celestial	ზეციური	anticipation	0.531
dread	შიში	anticipation	0.531
germination	germination	anticipation	0.523
preparatory	მოსამზადებელი	anticipation	0.523
pleasant	სასიამოვნო	anticipation	0.523
watch	უყურებს	anticipation	0.523
prophet	წინასწარმეტყველი	anticipation	0.523
prognostic	პროგნოზირება	anticipation	0.523
haste	დაჩქარება	anticipation	0.523
planning	დაგეგმვა	anticipation	0.523
importance	მნიშვნელობა	anticipation	0.523
radiance	სიკაშკაშე	anticipation	0.523
prevail	გაიმარჯვებს	anticipation	0.523
cheery	ყველი	anticipation	0.523
competition	კონკურენცია	anticipation	0.523
ultimately	საბოლოო ჯამში	anticipation	0.523
revive	აღორძინება	anticipation	0.523
beaming	beaming	anticipation	0.523
wait	დაველოდოთ	anticipation	0.523
child	ბავშვი	anticipation	0.523
notification	შეტყობინება	anticipation	0.523
hunter	მონადირე	anticipation	0.523
explosive	ასაფეთქებელი	anticipation	0.523
endanger	საფრთხეს უქმნის	anticipation	0.516
time	დრო	anticipation	0.516
recreation	დასვენება	anticipation	0.516
renovation	რემონტით	anticipation	0.516
precious	ძვირფასი	anticipation	0.516
begun	დაიწყო	anticipation	0.516
loom	იკვეთება	anticipation	0.516
compensate	კომპენსაცია	anticipation	0.516
treat	მკურნალობა	anticipation	0.516
uncontrollable	უკონტროლო	anticipation	0.516
present	აწმყო	anticipation	0.516
salary	ხელფასი	anticipation	0.516
celebrity	სახელგანთქმული	anticipation	0.516
owing	გამო	anticipation	0.516
chocolate	შოკოლადი	anticipation	0.516
caution	სიფრთხილით	anticipation	0.516
fermentation	დუღილი	anticipation	0.516
sensuality	სენსუალურობა	anticipation	0.516
wilderness	უდაბნოში	anticipation	0.508
signify	ნიშნავდეს	anticipation	0.508
transitional	გარდამავალი	anticipation	0.508
intermission	ინტერვალით	anticipation	0.508
contemplation	დაფიქრება	anticipation	0.508
vigilance	სიფხიზლე	anticipation	0.508
commemoration	ხსენება	anticipation	0.508
practise	პრაქტიკა	anticipation	0.508
cue	cue	anticipation	0.508
infant	ჩვილი	anticipation	0.508
dreadful	საშინელი	anticipation	0.508
perfection	სრულყოფა	anticipation	0.508
elevation	სიმაღლე	anticipation	0.508
prerequisite	წინაპირობა	anticipation	0.508
cultivate	ამუშავებენ	anticipation	0.508
horizon	ჰორიზონტზე	anticipation	0.508
develop	განვითარება	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	ბანაობა	anticipation	0.500
attendance	დასწრება	anticipation	0.500
nascent	nascent	anticipation	0.500
favorable	ხელსაყრელი	anticipation	0.500
peril	საფრთხე	anticipation	0.500
income	შემოსავალი	anticipation	0.500
ardent	მგზნებარე	anticipation	0.500
commemorate	აღსანიშნავად	anticipation	0.500
doomsday	ექიმები	anticipation	0.500
reconciliation	შერიგება	anticipation	0.500
utopian	უტოპიური	anticipation	0.500
romantic	რომანტიული	anticipation	0.500
unbridled	აღვირახსნილი	anticipation	0.500
sunny	მზიანი	anticipation	0.500
uphill	აღზევება	anticipation	0.500
intuitively	ინტუიციურად	anticipation	0.500
depart	გამგზავრება	anticipation	0.500
eventuality	საბოლოოობა	anticipation	0.500
puppy	ლეკვი	anticipation	0.500
zeal	ენთუზიაზმი	anticipation	0.500
sneaking	sneaking	anticipation	0.500
ready	მზად არის	anticipation	0.500
advocacy	ადვოკატირება	anticipation	0.500
airport	აეროპორტი	anticipation	0.500
litigate	იმოქმედე	anticipation	0.500
blindfold	ბლაინდი	anticipation	0.500
undisclosed	გაურკვეველია	anticipation	0.500
young	ახალგაზრდა	anticipation	0.500
horoscope	ჰოროსკოპი	anticipation	0.500
invocation	invocation	anticipation	0.500
calculation	გაანგარიშება	anticipation	0.500
hero	გმირი	anticipation	0.500
court	სასამართლოში	anticipation	0.492
repay	დაფარეთ	anticipation	0.492
improvise	improvise	anticipation	0.492
parole	ვადაგადაცილებული	anticipation	0.492
worry	შეშფოთება	anticipation	0.492
inauguration	ინაუგურაცია	anticipation	0.492
gaping	gaping	anticipation	0.492
youth	ახალგაზრდობა	anticipation	0.492
bless	დალოცოს	anticipation	0.492
defense	დაცვა	anticipation	0.492
heyday	აყვავება	anticipation	0.492
consequent	შესაბამისად	anticipation	0.492
proceeding	მიმდინარეობს	anticipation	0.492
eventual	საბოლოო	anticipation	0.492
perspective	პერსპექტივა	anticipation	0.492
restorative	აღდგენა	anticipation	0.492
undertaking	წამოწყება	anticipation	0.492
highest	უმაღლესი	anticipation	0.491
duel	დუელი	anticipation	0.484
unexplained	აუხსნელი	anticipation	0.484
tremor	თრთოლა	anticipation	0.484
sharpen	sharpen	anticipation	0.484
generosity	სიკეთისთვის	anticipation	0.484
voluptuous	voluptuous	anticipation	0.484
shortly	ცოტა ხნით	anticipation	0.484
vow	vow	anticipation	0.484
contagion	დაპირისპირება	anticipation	0.484
letter	წერილი	anticipation	0.484
happen	მოხდეს	anticipation	0.484
threaten	იმუქრებიან	anticipation	0.484
conjure	conjure	anticipation	0.484
sparkle	მუხტი	anticipation	0.484
engulf	engulf	anticipation	0.484
god	ღმერთი	anticipation	0.484
correspondence	კორესპონდენცია	anticipation	0.484
auspicious	auspicious	anticipation	0.484
princely	სამკვიდრო	anticipation	0.484
adore	adore	anticipation	0.477
enroll	ჩაირიცხოთ	anticipation	0.477
determinate	განმსაზღვრელი	anticipation	0.477
predispose	განზრახ	anticipation	0.477
clue	ნახავ	anticipation	0.477
onset	დაწყების	anticipation	0.477
powerful	ძლიერი	anticipation	0.477
glorify	განადიდე	anticipation	0.477
glow	დიზელის	anticipation	0.477
arbitration	არბიტრაჟი	anticipation	0.477
torture	წამება	anticipation	0.477
gravitate	გრავიტაცია	anticipation	0.477
cherish	ვაფასებთ	anticipation	0.477
contemplate	ვიფიქროთ	anticipation	0.477
submit	წარუდგინოს	anticipation	0.477
perilous	საშიში	anticipation	0.477
unification	გაერთიანების	anticipation	0.477
score	ანგარიშით	anticipation	0.477
medal	მედალი	anticipation	0.477
glide	სრიალი	anticipation	0.477
recipient	მიმღები	anticipation	0.477
accompaniment	თანხლებით	anticipation	0.477
praiseworthy	დიდება	anticipation	0.473
providing	უზრუნველყოფს	anticipation	0.469
motion	შუამდგომლობა	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	ფრთხილი	anticipation	0.469
cash	ნაღდი ფული	anticipation	0.469
precursor	წინამორბედი	anticipation	0.469
opera	საოპერო	anticipation	0.469
elite	ელიტა	anticipation	0.469
pry	pry	anticipation	0.469
hire	დაქირავება	anticipation	0.469
sweets	ტკბილეული	anticipation	0.469
star	ვარსკვლავი	anticipation	0.469
unsurpassed	unsurpassed	anticipation	0.469
successful	წარმატებული	anticipation	0.469
unknown	უცნობი	anticipation	0.469
immediately	სასწრაფოდ	anticipation	0.469
starry	ვარსკვლავური	anticipation	0.469
production	წარმოება	anticipation	0.469
football	ფეხბურთი	anticipation	0.469
completion	დასრულება	anticipation	0.469
scare	შეშინება	anticipation	0.469
invoke	მოიყვანოს	anticipation	0.469
shaky	shaky	anticipation	0.469
dawn	გამთენიისას	anticipation	0.469
creeping	მცოცავი	anticipation	0.469
cheerfulness	მხიარულება	anticipation	0.461
soundness	სიჯიუტე	anticipation	0.461
mail	ფოსტა	anticipation	0.461
draft	პროექტი	anticipation	0.461
preliminary	წინასწარი	anticipation	0.461
friendly	მეგობრული	anticipation	0.461
commemorative	სამახსოვრო	anticipation	0.461
extricate	გაფართოება	anticipation	0.461
alive	ცოცხალია	anticipation	0.461
untold	untold	anticipation	0.461
overture	გადატვირთვა	anticipation	0.461
excel	Excel	anticipation	0.461
plight	მდგომარეობა	anticipation	0.461
synchronize	სინქრონიზაცია	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	საკურთხევლის	anticipation	0.461
brilliant	ბრწყინვალე	anticipation	0.461
pay	გადაიხადოს	anticipation	0.461
shining	ანათებს	anticipation	0.461
regatta	რეკატა	anticipation	0.461
testament	აღთქმა	anticipation	0.461
jeopardy	საფრთხის ქვეშ	anticipation	0.461
perpetuity	მუდმივი	anticipation	0.453
elegance	ელეგანტურობა	anticipation	0.453
career	კარიერა	anticipation	0.453
basketball	კალათბურთი	anticipation	0.453
intimately	მჭიდროდ	anticipation	0.453
renovate	სარემონტო	anticipation	0.453
supremacy	უზენაესობა	anticipation	0.453
infinity	უსასრულობა	anticipation	0.453
unexpected	მოულოდნელი	anticipation	0.453
flinch	flinch	anticipation	0.453
complement	შეავსებს	anticipation	0.453
prologue	პროლოგი	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	პრევენცია	anticipation	0.453
improve	გაუმჯობესება	anticipation	0.453
sunset	ჩასვლა	anticipation	0.453
inaugural	პირველი	anticipation	0.453
rehabilitation	რეაბილიტაცია	anticipation	0.453
fitting	იარაღი	anticipation	0.445
surround	გარს	anticipation	0.445
share	წილი	anticipation	0.445
epidemic	ეპიდემია	anticipation	0.445
sweet	ტკბილი	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	დაფარვა	anticipation	0.445
confidence	ნდობა	anticipation	0.445
perfect	სრულყოფილი	anticipation	0.445
sun	მზე	anticipation	0.445
veracity	სიზუსტე	anticipation	0.445
volunteer	მოხალისე	anticipation	0.445
conjecture	conjecture	anticipation	0.445
medical	სამედიცინო	anticipation	0.438
prepared	მომზადდა	anticipation	0.438
superstitious	ცრემლავი	anticipation	0.438
reconstruction	რეკონსტრუქცია	anticipation	0.438
tickle	tickle	anticipation	0.438
faith	რწმენა	anticipation	0.438
passenger	მგზავრი	anticipation	0.438
saint	წმინდანი	anticipation	0.438
respect	პატივისცემა	anticipation	0.438
rabid	rabid	anticipation	0.438
reconstruct	რეკონსტრუქცია	anticipation	0.438
recombination	recombination	anticipation	0.438
devout	devout	anticipation	0.438
goodness	სიკეთე	anticipation	0.438
angel	ანგელოზი	anticipation	0.438
ferment	ფერმენტი	anticipation	0.438
plea	საპროცესო	anticipation	0.438
aloha	ალოა	anticipation	0.438
serial	სერიალი	anticipation	0.438
conservation	კონსერვაცია	anticipation	0.438
serenity	მშვიდად	anticipation	0.430
tabulate	დაანგარიშება	anticipation	0.430
install	დაინსტალირება	anticipation	0.430
labyrinth	ლაბირინთი	anticipation	0.430
venerable	მხცოვანი	anticipation	0.430
perpetuate	perpetuate	anticipation	0.430
strategist	სტრატეგი	anticipation	0.430
unverified	გადაუმოწმებელი	anticipation	0.430
tribunal	ტრიბუნალი	anticipation	0.430
charitable	საქველმოქმედო	anticipation	0.430
luscious	luscious	anticipation	0.430
spa	სპა	anticipation	0.430
peace	მშვიდობა	anticipation	0.430
clap	clap	anticipation	0.430
conspirator	შეთქმულება	anticipation	0.422
forestall	ტყე	anticipation	0.422
patience	მოთმინება	anticipation	0.422
oasis	ოაზისი	anticipation	0.422
grin	ხრახნი	anticipation	0.422
revere	revere	anticipation	0.422
worship	თაყვანისცემა	anticipation	0.422
vista	vista	anticipation	0.422
laughter	სიცილი	anticipation	0.422
volatility	არასტაბილურობა	anticipation	0.422
adrift	მიდრეკილება	anticipation	0.422
candid	ფარული	anticipation	0.422
edification	edification	anticipation	0.422
unresolved	გადაუჭრელი	anticipation	0.422
peaceful	მშვიდობიანი	anticipation	0.422
recognizable	ცნობადი	anticipation	0.422
calls	ზარები	anticipation	0.414
weigh	წონა	anticipation	0.414
probation	პრობაცია	anticipation	0.414
proficiency	ცოდნა	anticipation	0.414
morn	morn	anticipation	0.414
craps	craps	anticipation	0.414
detainee	დაკავებული	anticipation	0.414
mediate	შუამავლობა	anticipation	0.414
continue	გაგრძელდება	anticipation	0.414
astrologer	ასტროლოგი	anticipation	0.414
punctual	პუნქტუალური	anticipation	0.414
ordination	კოორდინაცია	anticipation	0.414
pretty	ლამაზი	anticipation	0.414
thought	ეგონა	anticipation	0.414
grant	გრანტი	anticipation	0.414
withstand	გაუძლოს	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	მიმდინარეობს	anticipation	0.414
sing	მღერიან	anticipation	0.411
long	ხანგრძლივი	anticipation	0.406
confession	აღიარება	anticipation	0.406
headlight	headlight	anticipation	0.406
prophylactic	პროფილაქტიკა	anticipation	0.406
mother	დედა	anticipation	0.406
debenture	debenture	anticipation	0.406
wizard	ოსტატი	anticipation	0.406
university	უნივერსიტეტი	anticipation	0.406
proud	ამაყი	anticipation	0.406
midwife	ბებიაქალი	anticipation	0.406
banquet	ბანკეტი	anticipation	0.406
continuation	გაგრძელება	anticipation	0.406
navigable	ნავიგაცია	anticipation	0.406
punished	ისჯება	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	კომფორტი	anticipation	0.406
opponent	მოწინააღმდეგე	anticipation	0.406
subscribe	გამოწერა	anticipation	0.406
outdo	outdo	anticipation	0.406
nurture	გავაგრძელოთ კითხვა ...	anticipation	0.406
twinkle	twinkle	anticipation	0.406
deal	გარიგება	anticipation	0.402
efficient	ეფექტური	anticipation	0.398
representing	წარმოადგენს	anticipation	0.398
simmer	simmer	anticipation	0.398
symphony	სიმფონია	anticipation	0.398
judiciary	სასამართლო	anticipation	0.398
obliging	ავალდებულებს	anticipation	0.398
saintly	წმინდანი	anticipation	0.398
vigil	გაათენა	anticipation	0.398
death	სიკვდილი	anticipation	0.398
