word	Thai-th	emotion	emotion-intensity-score
harry	ก่อกวน	anger	0.212
shortage	ความขาดแคลน	anger	0.212
adder	งูพิษ	anger	0.212
melodrama	เรื่องประโลมโลก	anger	0.212
overplayed	overplayed	anger	0.206
possession	สมบัติ	anger	0.206
desert	ทะเลทราย	anger	0.206
pout	หน้ามุ่ย	anger	0.203
uninvited	ไม่ได้รับเชิญ	anger	0.203
arraignment	การฟ้องร้อง	anger	0.203
inefficient	ไม่มีประสิทธิภาพ	anger	0.203
rook	โกง	anger	0.203
unlucky	โชคร้าย	anger	0.203
unpaid	ยังไม่ได้ชำระ	anger	0.203
backbone	กระดูกสันหลัง	anger	0.203
sentence	ประโยค	anger	0.203
powerless	ไม่มีอำนาจ	anger	0.203
court	ศาล	anger	0.199
endless	ไม่มีที่สิ้นสุด	anger	0.198
adverts	โฆษณา	anger	0.197
delay	ความล่าช้า	anger	0.197
misstatement	ถ้อยแถลงผิด	anger	0.197
distracted	วอกแวก	anger	0.197
misunderstanding	เข้าใจผิด	anger	0.195
excite	ตื่นเต้น	anger	0.191
inadmissible	ไม่สามารถจะยอมรับได้	anger	0.191
lightning	ฟ้าแลบ	anger	0.189
incase	เผื่อ	anger	0.188
preclude	ดักคอ	anger	0.188
insecure	ไม่ปลอดภัย	anger	0.188
mournful	โศกเศร้า	anger	0.188
rating	อันดับ	anger	0.182
mistress	ผู้เป็นที่รัก	anger	0.182
pare	NO TRANSLATION	anger	0.182
mutter	NO TRANSLATION	anger	0.182
claimant	โจทก์	anger	0.182
insist	ยืนยัน	anger	0.182
distracting	ซึ่งทำให้วอกแวก	anger	0.182
opium	ฝิ่น	anger	0.180
willful	จงใจ	anger	0.176
deserve	สมน้ำสมเนื้อ	anger	0.176
insists	ยืนยัน	anger	0.175
treat	รักษา	anger	0.175
misplace	ใส่ผิดที่	anger	0.172
indecisive	ไม่เด็ดขาด	anger	0.172
gibberish	ซึ่งพูดพล่อยๆ	anger	0.172
fleece	ขนแกะ	anger	0.172
fee	ค่าธรรมเนียม	anger	0.172
peice	NO TRANSLATION	anger	0.172
liberate	ปลดปล่อย	anger	0.172
excitation	กระตุ้น	anger	0.172
hormonal	เกี่ยวกับฮอร์โมน	anger	0.172
mighty	เกรียงไกร	anger	0.172
thanksalot	NO TRANSLATION	anger	0.172
yelp	ร้องเอ๋ง	anger	0.168
unequal	ไม่เท่ากัน	anger	0.167
insufficiency	ความไม่เพียงพอ	anger	0.167
hamstring	เอ็นร้อยหวาย	anger	0.167
bargaining	การต่อรองราคา	anger	0.167
mule	ล่อ	anger	0.167
insignificant	จิ๊บจ๊อย	anger	0.167
attentionseekers	NO TRANSLATION	anger	0.163
indifference	ความไม่แยแส	anger	0.156
rheumatism	โรคไขข้อ	anger	0.156
coop	สุ่ม	anger	0.156
forearm	ปลายแขน	anger	0.156
uncertain	ไม่แน่ใจ	anger	0.152
bee	ผึ้ง	anger	0.152
justthebeginning	NO TRANSLATION	anger	0.152
involvement	การมีส่วนร่วม	anger	0.152
disinformation	บิดเบือน	anger	0.152
attorney	อัยการ	anger	0.152
underpaid	ได้รับค่าจ้างน้อยไป	anger	0.152
pretending	การทำท่า	anger	0.152
campaigning	การรณรงค์	anger	0.151
hopelessness	ความสิ้นหวัง	anger	0.149
feeling	ความรู้สึก	anger	0.147
legalized	ทำให้การค้า	anger	0.145
caution	ความระมัดระวัง	anger	0.145
subsidy	เงินสมทบ	anger	0.141
obliging	เป็นมิตร	anger	0.141
morals	ธรรมะ	anger	0.141
sterling	เงินสเตอร์ลิง	anger	0.141
wimpy	Wimpy	anger	0.140
bummer	คนเกียจคร้าน	anger	0.139
misspell	สะกดคำผิด	anger	0.136
saloon	รถเก๋ง	anger	0.136
repay	ชำระคืน	anger	0.136
blemish	ด่างพร้อย	anger	0.136
surcharge	คิดค่าใช้จ่าย	anger	0.136
geez	geez	anger	0.136
birch	ไม้เรียว	anger	0.135
noob	Noob	anger	0.133
honk	บีบแตร	anger	0.133
orchestra	วงออเคสตรา	anger	0.132
competitive	การแข่งขัน	anger	0.125
wireless	ไร้สาย	anger	0.125
standstill	การนิ่งเฉย	anger	0.125
mosque	มัสยิด	anger	0.122
reversal	ความผกผัน	anger	0.121
inattention	การไม่ตั้งใจ	anger	0.121
lace	ปัก	anger	0.118
elbow	ข้อศอก	anger	0.117
instinctive	เกี่ยวกับสัญชาตญาณ	anger	0.112
chant	สวดมนต์	anger	0.111
lonely	เหงา	anger	0.109
gnome	คำพังเพย	anger	0.109
tolerate	ทนต่อ	anger	0.106
management	การจัดการ	anger	0.102
advocacy	ทนาย	anger	0.100
moral	คุณธรรม	anger	0.094
roadworks	ซ่อมถนน	anger	0.091
honest	ซื่อสัตย์	anger	0.087
forgetful	ขี้ลืม	anger	0.076
gent	สุภาพบุรุษ	anger	0.076
liquor	สุรา	anger	0.075
money	เงิน	anger	0.074
hood	กระโปรงหน้ารถ	anger	0.071
curriculum	หลักสูตร	anger	0.063
words	คำ	anger	0.062
smell	กลิ่น	anger	0.061
elf	เด็กซน	anger	0.061
playful	ขี้เล่น	anger	0.061
opera	อุปรากร	anger	0.061
nurture	บำรุง	anger	0.059
asleeep	NO TRANSLATION	anger	0.059
counsellor	ผู้ให้คำปรึกษา	anger	0.059
trumpet	แตรลำโพง	anger	0.059
birthplace	บ้านเกิด	anger	0.051
ribbon	ริบบิ้น	anger	0.047
youth	หนุ่ม	anger	0.045
vote	โหวต	anger	0.045
cash	เงินสด	anger	0.039
wannasleep	NO TRANSLATION	anger	0.031
dame	แม่บ้าน	anger	0.030
waffle	ขนมชนิดหนึ่ง	anger	0.030
buffet	บุฟเฟ่ต์	anger	0.029
celebrity	ชื่อเสียง	anger	0.026
autocorrect	การแก้ไขอัตโนมัติ	anger	0.015
sisterhood	ความเป็นพี่น้องกัน	anger	0.015
musical	ดนตรี	anger	0.011
tree	ต้นไม้	anger	0.000
anticipation	ความคาดหมาย	anticipation	0.859
excited	ตื่นเต้น	anticipation	0.859
anticipate	คาดหวัง	anticipation	0.820
excitement	ความตื่นเต้น	anticipation	0.820
eagerness	ความกระตือรือร้น	anticipation	0.812
exciting	น่าตื่นเต้น	anticipation	0.797
expectant	ซึ่งคาดหมายไว้	anticipation	0.789
thrilling	น่าตื่นเต้น	anticipation	0.781
hope	หวัง	anticipation	0.773
quest	การแสวงหา	anticipation	0.766
expectance	ความคาดหวัง	anticipation	0.750
countdown	นับถอยหลัง	anticipation	0.750
start	เริ่มต้น	anticipation	0.750
anticipatory	ที่มุ่งหวัง	anticipation	0.750
adventure	การผจญภัย	anticipation	0.750
eager	กระตือรือร้น	anticipation	0.742
climax	จุดสำคัญ	anticipation	0.742
excite	ตื่นเต้น	anticipation	0.742
prophecy	คำทำนาย	anticipation	0.742
arouse	กระตุ้น	anticipation	0.742
expect	คาดหวัง	anticipation	0.742
birth	กำเนิด	anticipation	0.734
ejaculation	การพุ่งออกมา	anticipation	0.734
announcement	การประกาศ	anticipation	0.734
liberation	การปลดปล่อย	anticipation	0.727
urgent	ด่วน	anticipation	0.727
expecting	คาดหวังว่า	anticipation	0.727
expectancy	ความคาดหมาย	anticipation	0.727
imminent	ใกล้	anticipation	0.727
aspire	ปรารถนา	anticipation	0.719
prospect	โอกาส	anticipation	0.719
trepidation	ความกังวลใจ	anticipation	0.719
reunion	การรวมตัวใหม่	anticipation	0.719
prospection	prospection	anticipation	0.719
voyage	การเดินเรือ	anticipation	0.719
mystery	ความลึกลับ	anticipation	0.711
journey	การเดินทาง	anticipation	0.711
kiss	จูบ	anticipation	0.711
enthusiasm	ความกระตือรือร้น	anticipation	0.711
suspense	ความใจจดใจจ่อ	anticipation	0.711
ecstasy	ความปีติยินดี	anticipation	0.711
rapture	ความปลาบปลื้มใจ	anticipation	0.711
yearning	การโหยหา	anticipation	0.711
urgency	การเร่งรีบ	anticipation	0.703
destination	ปลายทาง	anticipation	0.703
frantic	คลั่ง	anticipation	0.703
excitation	กระตุ้น	anticipation	0.703
thrill	หวาม	anticipation	0.703
prospective	ที่คาดหวัง	anticipation	0.703
hopeful	มีความหวัง	anticipation	0.703
lottery	หวย	anticipation	0.703
progress	ความคืบหน้า	anticipation	0.703
tantalizing	การยั่วเย้า	anticipation	0.703
advance	ความก้าวหน้า	anticipation	0.695
explore	สำรวจ	anticipation	0.695
liberate	ปลดปล่อย	anticipation	0.695
readiness	การเตรียมความพร้อม	anticipation	0.695
hurry	รีบเร่ง	anticipation	0.695
arrival	การมาถึง	anticipation	0.695
vacation	วันหยุด	anticipation	0.695
expectation	ความคาดหวัง	anticipation	0.695
sex	เพศ	anticipation	0.695
achievement	ความสำเร็จ	anticipation	0.695
prediction	คาดการณ์	anticipation	0.695
allure	จูงใจ	anticipation	0.688
ecstatic	ซึ่งปีติยินดี	anticipation	0.688
approaching	ใกล้เข้ามา	anticipation	0.688
uprising	การจลาจล	anticipation	0.680
honeymoon	ดื่มน้ำผึ้งพระจันทร์	anticipation	0.680
roulette	รูเล็ต	anticipation	0.680
crescendo	เสียงดังขึ้นโดยลำดับ	anticipation	0.672
holiday	วันหยุด	anticipation	0.672
wishful	ปรารถนา	anticipation	0.672
celebrating	ฉลอง	anticipation	0.672
waiting	ที่รอ	anticipation	0.664
winnings	เงินที่ได้มา	anticipation	0.664
orgasm	การสำเร็จความใคร่	anticipation	0.664
winning	การชนะ	anticipation	0.664
impending	ที่ใกล้เข้ามา	anticipation	0.664
invitation	คำเชิญ	anticipation	0.664
rescue	กู้ภัย	anticipation	0.664
craving	ความอยาก	anticipation	0.664
triumph	ชัย	anticipation	0.664
celebration	งานเฉลิมฉลอง	anticipation	0.656
victory	ชัยชนะ	anticipation	0.656
aspiring	ที่ต้องการ	anticipation	0.656
gain	ได้รับ	anticipation	0.656
jackpot	เงินรางวัล	anticipation	0.656
marriage	การแต่งงาน	anticipation	0.656
strive	มุ่งมั่น	anticipation	0.656
bridegroom	เจ้าบ้าว	anticipation	0.656
reward	รางวัล	anticipation	0.656
fortune	โชคลาภ	anticipation	0.656
bridal	ของเจ้าสาว	anticipation	0.656
courtship	การติดผู้หญิง	anticipation	0.656
treasure	สมบัติ	anticipation	0.648
opportunity	โอกาส	anticipation	0.648
intrigue	วางอุบาย	anticipation	0.648
delivery	การจัดส่ง	anticipation	0.648
alertness	การเตรียมพร้อม	anticipation	0.648
aspiration	ความทะเยอทะยาน	anticipation	0.648
inheritance	มรดก	anticipation	0.648
rising	ที่เพิ่มสูงขึ้น	anticipation	0.648
tomorrow	วันพรุ่งนี้	anticipation	0.648
prescient	ทิพยเนตร	anticipation	0.648
crowning	เป็นยอด	anticipation	0.648
revolution	การปฏิวัติ	anticipation	0.641
erotic	เกี่ยวกับกาม	anticipation	0.641
spectacular	น่าตื่นเต้น	anticipation	0.641
anxious	กระวนกระวาย	anticipation	0.641
expedition	การเดินทาง	anticipation	0.641
possibility	ความเป็นไปได้	anticipation	0.641
launch	เปิด	anticipation	0.641
bride	เจ้าสาว	anticipation	0.641
celebrated	โด่งดัง	anticipation	0.641
prognosis	การทำนาย	anticipation	0.641
engaged	หมั้น	anticipation	0.641
reckoning	การคำนวณ	anticipation	0.641
award	รางวัล	anticipation	0.641
happiness	ความสุข	anticipation	0.641
hype	hype	anticipation	0.641
receiving	การได้รับ	anticipation	0.641
curious	อยากรู้อยากเห็น	anticipation	0.633
succeed	ประสบความสำเร็จ	anticipation	0.633
birthday	วันเกิด	anticipation	0.633
graduation	การสำเร็จการศึกษา	anticipation	0.633
beware	ระวัง	anticipation	0.633
vision	วิสัยทัศน์	anticipation	0.633
passionate	หลงใหล	anticipation	0.633
delight	สุข	anticipation	0.633
destiny	โชคชะตา	anticipation	0.633
ominous	เป็นลางไม่ดี	anticipation	0.633
coming	มา	anticipation	0.633
await	รอคอย	anticipation	0.633
passion	ความชอบ	anticipation	0.633
firstborn	ลูกคนหัวปี	anticipation	0.633
captivate	จับใจ	anticipation	0.633
prepare	เตรียมการ	anticipation	0.633
miracle	ปาฏิหาริย์	anticipation	0.633
triumphant	มีชัย	anticipation	0.625
lust	ความต้องการทางเพศ	anticipation	0.625
retirement	การเกษียณอายุ	anticipation	0.625
escape	หนี	anticipation	0.625
gift	ของขวัญ	anticipation	0.625
inspiration	แรงบันดาลใจ	anticipation	0.625
optimism	แง่ดี	anticipation	0.625
foresee	คาด	anticipation	0.625
ripen	ทำให้สุก	anticipation	0.625
revival	การฟื้นฟู	anticipation	0.625
embrace	โอบกอด	anticipation	0.617
risky	เสี่ยง	anticipation	0.617
ambition	ความทะเยอทะยาน	anticipation	0.617
simmering	เดือดปุด ๆ	anticipation	0.617
surprisingly	อย่างแปลกใจ	anticipation	0.617
verge	ปาก	anticipation	0.617
enchanting	เจ้าเสน่ห์	anticipation	0.617
bloom	เบ่งบาน	anticipation	0.617
foresight	ความสุขุม	anticipation	0.617
foreboding	สังหรฌ์	anticipation	0.617
destined	ลิขิต	anticipation	0.617
succeeding	ที่ประสบความสำเร็จ	anticipation	0.609
magical	ขลัง	anticipation	0.609
bonus	โบนัส	anticipation	0.609
lookout	ระวัง	anticipation	0.609
matrimony	การแต่งงาน	anticipation	0.609
alerts	การแจ้งเตือน	anticipation	0.609
anxiety	ความกังวล	anticipation	0.609
seductive	มีเสน่ห์	anticipation	0.609
forecast	พยากรณ์	anticipation	0.609
intended	ตั้งใจว่า	anticipation	0.602
inspire	บันดาลใจ	anticipation	0.602
diagnosis	การวินิจฉัยโรค	anticipation	0.602
visionary	จินตนาการ	anticipation	0.602
nervous	หงุดหงิด	anticipation	0.602
deserve	สมน้ำสมเนื้อ	anticipation	0.602
fulfillment	การบรรลุเป้าหมาย	anticipation	0.602
picnic	ปิกนิก	anticipation	0.602
applicant	ผู้ขอ	anticipation	0.602
foreseen	ที่คาดการณ์	anticipation	0.602
entertaining	ความบันเทิง	anticipation	0.602
revenge	แก้แค้น	anticipation	0.602
success	ความสำเร็จ	anticipation	0.602
prophetic	เกี่ยวกับการพยากรณ์	anticipation	0.602
winner	ผู้ชนะ	anticipation	0.602
longing	ความปรารถนา	anticipation	0.602
boomerang	บูมเมอแรง	anticipation	0.602
result	ผล	anticipation	0.594
accelerate	เร่งความเร็ว	anticipation	0.594
buzz	ฉวัดเฉวียน	anticipation	0.594
acquiring	การแสวงหา	anticipation	0.594
marry	แต่งงาน	anticipation	0.594
illuminate	เปล่ง	anticipation	0.594
romance	ความโรแมนติก	anticipation	0.594
rekindle	จุดอีกครั้ง	anticipation	0.594
luck	โชค	anticipation	0.594
advent	การกำเนิด	anticipation	0.594
preparedness	ความพร้อม	anticipation	0.594
momentum	โมเมนตัม	anticipation	0.594
arrive	มาถึง	anticipation	0.594
predict	ทำนาย	anticipation	0.589
sequel	ผลสืบเนื่อง	anticipation	0.586
money	เงิน	anticipation	0.586
endeavor	พยายาม	anticipation	0.586
auspices	การอุปถัมภ์	anticipation	0.586
fiesta	เฟียสต้า	anticipation	0.586
raffle	หวย	anticipation	0.586
preparation	การจัดเตรียม	anticipation	0.586
uplift	ยก	anticipation	0.586
investigation	ตรวจสอบ	anticipation	0.586
gambling	การเล่นการพนัน	anticipation	0.586
delightful	น่ารื่นรมย์	anticipation	0.586
enjoying	เพลิดเพลินกับ	anticipation	0.586
seek	แสวงหา	anticipation	0.586
impatient	ใจร้อน	anticipation	0.586
overdue	ค้างชำระ	anticipation	0.586
crave	กระหาย	anticipation	0.586
flirt	เจ้าชู้	anticipation	0.586
enthusiast	คนที่กระตือรือร้น	anticipation	0.586
presumption	ข้อสันนิษฐาน	anticipation	0.586
immerse	แช่	anticipation	0.586
progression	ขบวน	anticipation	0.586
experiment	การทดลอง	anticipation	0.580
inviting	ดึงดูดใจ	anticipation	0.578
precarious	ล่อแหลม	anticipation	0.578
blessing	ให้ศีลให้พร	anticipation	0.578
harvest	เก็บเกี่ยว	anticipation	0.578
transcendence	วิชชา	anticipation	0.578
heavenly	จากสวรรค์	anticipation	0.578
attainable	สำเร็จได้	anticipation	0.578
enjoy	สนุก	anticipation	0.578
divination	ดวงชะตา	anticipation	0.578
excavation	การขุดค้น	anticipation	0.578
healing	การรักษา	anticipation	0.578
majestic	คู่บารมี	anticipation	0.578
clamor	เสียงโห่ร้อง	anticipation	0.578
thirst	ความกระหายน้ำ	anticipation	0.578
remedy	วิธีการรักษา	anticipation	0.578
prosper	เจริญ	anticipation	0.578
risk	อันตราย	anticipation	0.578
angling	การตกปลา	anticipation	0.578
completing	เสร็จสิ้น	anticipation	0.578
thriving	การเจริญรุ่งเรือง	anticipation	0.578
zest	ความเอร็ดอร่อย	anticipation	0.570
tease	แซว	anticipation	0.570
matchmaker	เถ้าแก่	anticipation	0.570
prospectively	ทันที	anticipation	0.570
restlessness	ความร้อนรน	anticipation	0.570
sweetheart	หวานใจ	anticipation	0.570
emancipation	การปลดปล่อย	anticipation	0.570
ultimate	ที่สุด	anticipation	0.570
invite	เชิญ	anticipation	0.570
gambler	นักการพนัน	anticipation	0.570
dare	กล้า	anticipation	0.570
plan	วางแผน	anticipation	0.570
magnificence	ความงดงาม	anticipation	0.570
warned	เตือน	anticipation	0.570
finally	ในที่สุด	anticipation	0.570
intimate	ใกล้ชิด	anticipation	0.570
omen	ลาง	anticipation	0.570
attempt	พยายาม	anticipation	0.562
forewarned	เตือน	anticipation	0.562
fun	สนุก	anticipation	0.562
festival	งานเทศกาล	anticipation	0.562
trophy	สิ่งที่เป็นอนุสรณ์	anticipation	0.562
rejoice	ชื่นชมยินดี	anticipation	0.562
fanfare	การประโคม	anticipation	0.562
predilection	ความสมัครใจ	anticipation	0.562
exalt	ยกย่อง	anticipation	0.562
parade	ขบวนแห่	anticipation	0.562
enchant	ร่ายมนต์	anticipation	0.562
independence	ความเป็นอิสระ	anticipation	0.562
expose	เปิดเผย	anticipation	0.562
immortality	ความอมตะ	anticipation	0.562
expected	ที่คาดหวัง	anticipation	0.562
mysterious	ลึกลับ	anticipation	0.562
hypothesis	สมมติฐาน	anticipation	0.562
accolade	การได้รับเกียรติ	anticipation	0.562
lover	คนรัก	anticipation	0.562
quicken	เร่ง	anticipation	0.562
champion	แชมป์	anticipation	0.562
lovely	น่ารัก	anticipation	0.555
rejoicing	ซึ่งดีใจ	anticipation	0.555
grasping	โลภ	anticipation	0.555
grow	เจริญ	anticipation	0.555
curiosity	ความอยากรู้	anticipation	0.555
splendor	ความงดงาม	anticipation	0.555
salvation	นฤพาน	anticipation	0.555
happy	มีความสุข	anticipation	0.555
oracle	คำพยากรณ์	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	แฉ	anticipation	0.555
boisterous	อึกทึก	anticipation	0.555
liberty	เสรีภาพ	anticipation	0.555
heroism	ความเป็นวีรบุรุษ	anticipation	0.555
feeling	ความรู้สึก	anticipation	0.555
shopping	ช้อปปิ้ง	anticipation	0.555
fate	โชคชะตา	anticipation	0.555
uneasiness	ความไม่สบายใจ	anticipation	0.555
speculative	เกี่ยวกับการพิจารณา	anticipation	0.555
changeable	เปลี่ยนแปลงได้	anticipation	0.547
recreational	พักผ่อนหย่อนใจ	anticipation	0.547
pray	อธิษฐาน	anticipation	0.547
warn	เตือน	anticipation	0.547
suspicious	พิรุธ	anticipation	0.547
convergence	การลู่เข้า	anticipation	0.547
incite	ปลุกระดม	anticipation	0.547
agape	อ้าปากกว้าง	anticipation	0.547
morrow	วันรุ่งขึ้น	anticipation	0.547
abundance	ความอุดมสมบูรณ์	anticipation	0.547
delighted	ยินดี	anticipation	0.547
resultant	ผลลัพธ์	anticipation	0.547
hungry	หิว	anticipation	0.547
monetary	เป็นเงิน	anticipation	0.547
vote	โหวต	anticipation	0.547
glory	ความรุ่งโรจน์	anticipation	0.547
glimmer	ริบหรี่	anticipation	0.547
apprehensive	เกรงกลัว	anticipation	0.547
sorcery	เวทมนตร์	anticipation	0.547
bountiful	มากมาย	anticipation	0.547
leisure	ที่เดินทางมาพักผ่อน	anticipation	0.547
probability	ความน่าจะเป็น	anticipation	0.547
auction	ประมูล	anticipation	0.539
hunting	การล่าสัตว์	anticipation	0.539
contingent	ผูกพัน	anticipation	0.539
hankering	ความทะเยอทะยาน	anticipation	0.539
sensual	กระตุ้นความรู้สึก	anticipation	0.539
blessings	อาศิรพจน์	anticipation	0.539
ballot	การลงคะแนนเสียง	anticipation	0.539
grandchildren	ลูกหลาน	anticipation	0.539
entertainment	การบันเทิง	anticipation	0.539
vindication	การปลดปล่อย	anticipation	0.539
worrying	น่าหนักใจ	anticipation	0.539
tempest	ความวุ่นวาย	anticipation	0.539
inquiry	การสอบสวน	anticipation	0.539
merge	ผสาน	anticipation	0.539
exceed	เกินกว่า	anticipation	0.539
bounty	เงินรางวัล	anticipation	0.539
glad	ดีใจ	anticipation	0.536
magnificent	งดงาม	anticipation	0.531
feat	ความสำเร็จ	anticipation	0.531
stealthy	หลบ ๆ ซ่อน ๆ	anticipation	0.531
cheer	เชียร์	anticipation	0.531
spirits	สุรา	anticipation	0.531
visitor	ผู้มาเยือน	anticipation	0.531
appeal	อุทธรณ์	anticipation	0.531
forming	การขึ้นรูป	anticipation	0.531
hurried	ที่รีบร้อน	anticipation	0.531
responsive	อ่อนไหว	anticipation	0.531
virginity	ความบริสุทธิ์	anticipation	0.531
deliverance	การปลดปล่อย	anticipation	0.531
betrothed	คู่หมั้น	anticipation	0.531
overthrow	การล้มล้าง	anticipation	0.531
harbinger	ลางสังหรณ์	anticipation	0.531
raving	เพ้อ	anticipation	0.531
celestial	เกี่ยวกับท้องฟ้า	anticipation	0.531
dread	กลัว	anticipation	0.531
germination	การงอก	anticipation	0.523
preparatory	เป็นการเตรียมการ	anticipation	0.523
pleasant	น่ารื่นรมย์	anticipation	0.523
watch	ดู	anticipation	0.523
prophet	ศาสดา	anticipation	0.523
prognostic	ซึ่งแสดงอาการ	anticipation	0.523
haste	ความเร่งรีบ	anticipation	0.523
planning	การวางแผน	anticipation	0.523
importance	ความสำคัญ	anticipation	0.523
radiance	ความสว่าง	anticipation	0.523
prevail	เหนือกว่า	anticipation	0.523
cheery	ชื่นบาน	anticipation	0.523
competition	การแข่งขัน	anticipation	0.523
ultimately	ในที่สุด	anticipation	0.523
revive	ฟื้น	anticipation	0.523
beaming	ยิ้มแย้มแจ่มใส	anticipation	0.523
wait	รอ	anticipation	0.523
child	เด็ก	anticipation	0.523
notification	การแจ้งเตือน	anticipation	0.523
hunter	ผู้ล่า	anticipation	0.523
explosive	ระเบิด	anticipation	0.523
endanger	ทำให้เป็นอันตราย	anticipation	0.516
time	เวลา	anticipation	0.516
recreation	การพักผ่อนหย่อนใจ	anticipation	0.516
renovation	การปรับปรุงใหม่	anticipation	0.516
precious	ล้ำค่า	anticipation	0.516
begun	เริ่ม	anticipation	0.516
loom	กี่ทอผ้า	anticipation	0.516
compensate	ทดแทน	anticipation	0.516
treat	รักษา	anticipation	0.516
uncontrollable	ไม่สามารถบังคับได้	anticipation	0.516
present	นำเสนอ	anticipation	0.516
salary	เงินเดือน	anticipation	0.516
celebrity	ชื่อเสียง	anticipation	0.516
owing	ยังค้างอยู่	anticipation	0.516
chocolate	ช็อคโกแลต	anticipation	0.516
caution	ความระมัดระวัง	anticipation	0.516
fermentation	การหมัก	anticipation	0.516
sensuality	ราคะ	anticipation	0.516
wilderness	ความเป็นป่า	anticipation	0.508
signify	มีความหมายว่า	anticipation	0.508
transitional	เกี่ยวกับการนำส่ง	anticipation	0.508
intermission	ช่วงระยะหยุดพัก	anticipation	0.508
contemplation	ฌาน	anticipation	0.508
vigilance	ความระมัดระวัง	anticipation	0.508
commemoration	ที่ระลึก	anticipation	0.508
practise	การปฏิบัติ	anticipation	0.508
cue	คิว	anticipation	0.508
infant	ทารก	anticipation	0.508
dreadful	น่ากลัว	anticipation	0.508
perfection	ความสมบูรณ์	anticipation	0.508
elevation	การยกระดับ	anticipation	0.508
prerequisite	ที่จำเป็นต้องมี	anticipation	0.508
cultivate	ปลูกฝัง	anticipation	0.508
horizon	ขอบฟ้า	anticipation	0.508
develop	พัฒนา	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	การว่ายน้ำ	anticipation	0.500
attendance	การดูแลรักษา	anticipation	0.500
nascent	ตั้งไข่	anticipation	0.500
favorable	อย่างดี	anticipation	0.500
peril	พิษภัย	anticipation	0.500
income	เงินได้	anticipation	0.500
ardent	กระตือรือร้น	anticipation	0.500
commemorate	เป็นอนุสรณ์	anticipation	0.500
doomsday	วันโลกาวินาศ	anticipation	0.500
reconciliation	การประนีประนอม	anticipation	0.500
utopian	ยูโทเปีย	anticipation	0.500
romantic	โรแมนติก	anticipation	0.500
unbridled	ดื้อด้าน	anticipation	0.500
sunny	แดดจัด	anticipation	0.500
uphill	ขึ้นเนิน	anticipation	0.500
intuitively	อย่างสังหรณ์ใจ	anticipation	0.500
depart	ออก	anticipation	0.500
eventuality	เหตุการณ์ที่ไม่แน่นอน	anticipation	0.500
puppy	ลูกสุนัข	anticipation	0.500
zeal	ความกระตือรือร้น	anticipation	0.500
sneaking	ด้อม	anticipation	0.500
ready	พร้อมแล้ว	anticipation	0.500
advocacy	ทนาย	anticipation	0.500
airport	สนามบิน	anticipation	0.500
litigate	ฟ้องร้อง	anticipation	0.500
blindfold	ซึ่งปิดตา	anticipation	0.500
undisclosed	ไม่เปิดเผย	anticipation	0.500
young	หนุ่มสาว	anticipation	0.500
horoscope	ดวงชะตา	anticipation	0.500
invocation	การภาวนา	anticipation	0.500
calculation	การคำนวณ	anticipation	0.500
hero	พระเอก	anticipation	0.500
court	ศาล	anticipation	0.492
repay	ชำระคืน	anticipation	0.492
improvise	กระทำอย่างไม่ได้	anticipation	0.492
parole	ทัณฑ์บน	anticipation	0.492
worry	กังวล	anticipation	0.492
inauguration	การเข้ารับตำแหน่ง	anticipation	0.492
gaping	เหวอะ	anticipation	0.492
youth	หนุ่ม	anticipation	0.492
bless	ให้ศีลให้พร	anticipation	0.492
defense	ป้องกัน	anticipation	0.492
heyday	ความมั่งคั่ง	anticipation	0.492
consequent	เป็นผลลัพธ์	anticipation	0.492
proceeding	กิจการ	anticipation	0.492
eventual	ในที่สุด	anticipation	0.492
perspective	มุมมอง	anticipation	0.492
restorative	บำรุงกำลัง	anticipation	0.492
undertaking	กิจการ	anticipation	0.492
highest	สูงสุด	anticipation	0.491
duel	ต่อสู้กันตัวต่อตัว	anticipation	0.484
unexplained	ไม่ได้อธิบาย	anticipation	0.484
tremor	การสั่นสะเทือน	anticipation	0.484
sharpen	กรีด	anticipation	0.484
generosity	ความเอื้ออาทร	anticipation	0.484
voluptuous	ยั่วยวน	anticipation	0.484
shortly	ในไม่ช้า	anticipation	0.484
vow	สาบาน	anticipation	0.484
contagion	การแพร่กระจาย	anticipation	0.484
letter	จดหมาย	anticipation	0.484
happen	เกิดขึ้น	anticipation	0.484
threaten	ขู่	anticipation	0.484
conjure	ปลุกผี	anticipation	0.484
sparkle	ประกายไฟ	anticipation	0.484
engulf	เขมือบ	anticipation	0.484
god	พระเจ้า	anticipation	0.484
correspondence	จดหมาย	anticipation	0.484
auspicious	ฤกษ์งามยามดี	anticipation	0.484
princely	ของเจ้า	anticipation	0.484
adore	รัก	anticipation	0.477
enroll	ลงทะเบียน	anticipation	0.477
determinate	เด็ดขาด	anticipation	0.477
predispose	จูงใจ	anticipation	0.477
clue	เงื่อนงำ	anticipation	0.477
onset	การโจมตี	anticipation	0.477
powerful	มีอำนาจ	anticipation	0.477
glorify	เชิดชู	anticipation	0.477
glow	เรืองแสง	anticipation	0.477
arbitration	อนุญาโตตุลาการ	anticipation	0.477
torture	การทรมาน	anticipation	0.477
gravitate	ไหล	anticipation	0.477
cherish	หวงแหน	anticipation	0.477
contemplate	คิด	anticipation	0.477
submit	เสนอ	anticipation	0.477
