word	Mongolian-mn	emotion	emotion-intensity-score
prophylactic	урьдчилан сэргийлэх үйл ажиллагаа	anticipation	0.406
mother	ээж	anticipation	0.406
debenture	debenture	anticipation	0.406
wizard	шидтэн	anticipation	0.406
university	их сургууль	anticipation	0.406
proud	бахархалтай	anticipation	0.406
midwife	эх баригчид	anticipation	0.406
banquet	үдэшлэг	anticipation	0.406
continuation	үргэлжлэл	anticipation	0.406
navigable	далайд гарцгүй	anticipation	0.406
punished	шийтгэсэн	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	тав тухтай байдал	anticipation	0.406
opponent	өрсөлдөгч	anticipation	0.406
subscribe	Захиалга өгөх	anticipation	0.406
outdo	outdoors	anticipation	0.406
nurture	асрах	anticipation	0.406
twinkle	гялалзах	anticipation	0.406
deal	гэрээ	anticipation	0.402
efficient	үр ашигтай	anticipation	0.398
representing	төлөөлөх	anticipation	0.398
simmer	simmer	anticipation	0.398
symphony	симфони	anticipation	0.398
judiciary	шүүх засаглал	anticipation	0.398
obliging	хүлээх	anticipation	0.398
saintly	ариун гэгээнтэн	anticipation	0.398
vigil	vigil	anticipation	0.398
death	үхэл	anticipation	0.398
distracting	анхаарал хандуулах	anticipation	0.398
mortification	унасан	anticipation	0.398
balm	гавар	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	дээд	anticipation	0.398
lettered	захидал	anticipation	0.398
reliance	найдвартай байх	anticipation	0.398
poke	нураах	anticipation	0.391
unfulfilled	биелээгүй	anticipation	0.391
assurance	баталгаажуулалт	anticipation	0.391
condemnation	буруутгал	anticipation	0.391
undoubted	эргэлзээгүй	anticipation	0.391
diplomacy	дипломат харилцаа	anticipation	0.391
familiarity	танил	anticipation	0.391
antidote	хордлого	anticipation	0.391
chuckle	инээдтэй	anticipation	0.391
objective	зорилго	anticipation	0.391
maternal	эхийн	anticipation	0.391
abeyance	суллах	anticipation	0.391
art	урлаг	anticipation	0.391
linger	үргэлжлүүлэн	anticipation	0.391
trust	итгэх	anticipation	0.391
depraved	доройтсон	anticipation	0.391
sanctify	ариусгана	anticipation	0.391
inoculation	тарих	anticipation	0.384
chant	мантра	anticipation	0.383
banger	banger	anticipation	0.383
playground	тоглоомын талбай	anticipation	0.383
failing	амжилтгүй болсон	anticipation	0.383
ship	хөлөг онгоц	anticipation	0.383
hymn	дуулал	anticipation	0.383
simplify	хялбаршуулсан	anticipation	0.383
ram	хуц	anticipation	0.383
labor	хөдөлмөр	anticipation	0.383
discretion	үзэл бодол	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	сайн байна	anticipation	0.383
scientist	эрдэмтэн	anticipation	0.383
undecided	Үгүй	anticipation	0.383
humanitarian	хүмүүнлэг	anticipation	0.383
depend	хамаарна	anticipation	0.383
dutiful	эрхэм дээд	anticipation	0.383
clock	цаг	anticipation	0.375
sterling	Сл	anticipation	0.375
mountain	уул	anticipation	0.375
savor	амттай	anticipation	0.375
recurrent	давтамж	anticipation	0.375
interim	завсрын	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	аажмаар	anticipation	0.375
interminable	хугацаа дуусах	anticipation	0.375
track	мөр	anticipation	0.375
public	нийтийн	anticipation	0.375
cradle	өлгий	anticipation	0.375
concealed	нуугдмал	anticipation	0.367
lesson	хичээл	anticipation	0.367
instructions	зааварчилгаа	anticipation	0.367
shiver	чичирч байна	anticipation	0.367
musical	Хөгжим	anticipation	0.367
towering	Тэнгэрийн улс	anticipation	0.367
whim	дуртай	anticipation	0.367
spear	жад	anticipation	0.367
convince	итгэж байна	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	тэвчээртэй бай	anticipation	0.367
biennial	хоёр жил	anticipation	0.367
theology	теологи	anticipation	0.359
offset	офсет	anticipation	0.359
atone	atone	anticipation	0.359
timidity	айдас хүйдэстэй	anticipation	0.359
theory	онол	anticipation	0.359
undying	Үгүй	anticipation	0.359
plump	махлаг	anticipation	0.359
audience	үзэгчид	anticipation	0.357
nobility	язгууртнууд	anticipation	0.352
paragon	Парагон	anticipation	0.352
dietary	хооллолт	anticipation	0.352
closure	хаах	anticipation	0.352
store	дэлгүүр	anticipation	0.352
localize	орон нутгийн	anticipation	0.352
cramp	cramp	anticipation	0.352
daily	өдөр бүр	anticipation	0.352
kindred	төрөл төрөгсөд	anticipation	0.352
farm	ферм	anticipation	0.352
edition	хэвлэл	anticipation	0.352
consecration	ариун өргөл	anticipation	0.352
archaeology	археологи	anticipation	0.344
mobile	гар утас	anticipation	0.344
errand	мэдэгдэл	anticipation	0.344
wireless	утасгүй	anticipation	0.344
mutable	өөрчлөгдөх боломжтой	anticipation	0.344
meditate	бясалгал	anticipation	0.344
stripped	хаясан	anticipation	0.344
lessen	багасгах	anticipation	0.336
unaccountable	буруу байна	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	ах дүү	anticipation	0.336
buddy	найз нөхөд	anticipation	0.336
unbeaten	ялагдалгүй	anticipation	0.336
germ	үр хөврөл	anticipation	0.336
dove	тагтаа	anticipation	0.328
digress	засах	anticipation	0.328
ribbon	тууз	anticipation	0.328
olfactory	олзворлодог	anticipation	0.328
patient	өвчтөн	anticipation	0.328
council	зөвлөл	anticipation	0.328
possess	эзэмшдэг	anticipation	0.328
secular	иргэний харьяалал	anticipation	0.328
chastity	ариун явдал	anticipation	0.328
disposed	устгасан	anticipation	0.320
regularity	тогтмол байх	anticipation	0.320
mediator	зуучлагч	anticipation	0.320
scrutinize	шалгах	anticipation	0.320
fancy	сонирхолтой	anticipation	0.320
immature	хөгжилтэй	anticipation	0.320
infanticide	нялхас алах	anticipation	0.320
heft	heft	anticipation	0.320
preservative	бэлгэвч	anticipation	0.320
paddle	сэлүүр	anticipation	0.320
cove	cove	anticipation	0.320
denying	үгүйсгэх	anticipation	0.312
bugle	үлгэр	anticipation	0.312
unpublished	хэвлэгдээгүй	anticipation	0.312
analyst	шинжээч	anticipation	0.312
grim	аймшигтай	anticipation	0.312
church	сүм	anticipation	0.312
priesthood	санваартан	anticipation	0.305
mill	тээрэм	anticipation	0.305
judicial	шүүх	anticipation	0.305
broadside	broadside	anticipation	0.305
tributary	цутгал	anticipation	0.297
cap	хивс	anticipation	0.297
thermocouple	термометр	anticipation	0.297
dismay	сэтгэл гутрал	anticipation	0.297
instructor	багш	anticipation	0.297
saliva	шүлс	anticipation	0.297
exhaustion	ядрах	anticipation	0.297
bruise	хөхөрсөн	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	орон гэргүй	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	сүлжээ	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	хаягууд	anticipation	0.289
noncompliance	зөрчил	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	Тэнцүү	anticipation	0.281
astronomer	одон орон судлаач	anticipation	0.281
neighbor	хөрш	anticipation	0.281
holiness	ариун байдал	anticipation	0.273
devil	чөтгөр	anticipation	0.273
cream	тос	anticipation	0.273
picket	пикап	anticipation	0.273
latent	нууцлагдмал	anticipation	0.273
immaturity	төлөвшөөгүй	anticipation	0.273
sentence	өгүүлбэр	anticipation	0.273
neighborhood	хөрш	anticipation	0.266
morals	ёс суртахуун	anticipation	0.266
lull	уйтгартай байна	anticipation	0.266
habitual	ердийн юм	anticipation	0.266
weight	жин	anticipation	0.258
bye	Баярлалаа	anticipation	0.258
forearm	шуу	anticipation	0.250
clown	алиалагч	anticipation	0.250
organ	эрхтэн	anticipation	0.250
quote	иш татах	anticipation	0.242
commonplace	ердийн зүйл	anticipation	0.242
dictatorship	дарангуйлал	anticipation	0.234
board	самбар	anticipation	0.234
white	цагаан	anticipation	0.234
treadmill	гүйлтийн зам	anticipation	0.234
rail	төмөр зам	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	мод	anticipation	0.227
paralysis	саажилттай	anticipation	0.211
worm	өт	anticipation	0.203
organization	байгууллага	anticipation	0.203
cement	цемент	anticipation	0.203
lagging	хоцорсон	anticipation	0.180
neutral	төвийг сахисан	anticipation	0.148
cannibalism	Каннибализм	disgust	0.953
mutilation	гэмтэл	disgust	0.930
molestation	хулгайлсан юм	disgust	0.914
incest	Гэмт хэрэг	disgust	0.914
gonorrhea	заг хүйтэн	disgust	0.906
rape	хүчингийн хэрэг	disgust	0.906
cannibal	каннибал	disgust	0.898
rot	ялзрах	disgust	0.891
corpse	цогцос	disgust	0.883
massacre	аллага үйлдсэн	disgust	0.883
excrement	ялгадас	disgust	0.883
slaughter	нядлах	disgust	0.875
barf	барк	disgust	0.875
slaughterhouse	нядалгааны газар	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	бохирын систем	disgust	0.859
incestuous	урамшуулал	disgust	0.859
filth	бузар юм	disgust	0.859
bigot	bigot	disgust	0.859
infestation	Халдваргүйжүүлэлт	disgust	0.852
plague	тахал	disgust	0.852
bloodthirsty	bloodthirsty	disgust	0.852
holocaust	Нуралт	disgust	0.852
rotting	уналт	disgust	0.844
maggot	бөөрөнхий	disgust	0.844
feces	ялгадас	disgust	0.844
fecal	fecal	disgust	0.844
murder	аллага	disgust	0.839
infanticide	нялхас алах	disgust	0.836
homicide	хүн амины хэрэг	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	боолчлогдсон	disgust	0.836
gore	Гор	disgust	0.828
perverted	төөрөлдсөн	disgust	0.828
torture	эрүүдэн шүүх	disgust	0.828
slaughtering	нядлах	disgust	0.828
excretion	ялгадас	disgust	0.828
contaminate	бохирдуулдаг	disgust	0.821
murderer	алуурчин	disgust	0.820
gory	галзуу	disgust	0.820
repugnant	хортой	disgust	0.820
desecration	гутаан доромжилдог	disgust	0.820
grotesque	grotesque	disgust	0.820
revolting	харгислал	disgust	0.820
diarrhoea	суулгах	disgust	0.820
manure	бууц	disgust	0.820
terrorist	террорист	disgust	0.820
shit	шив	disgust	0.820
pervert	Гэмтсэн	disgust	0.820
slavery	боолчлол	disgust	0.812
faeces	ялгадас	disgust	0.812
sewer	бохирын хоолой	disgust	0.812
vomit	бөөлжис	disgust	0.812
manslaughter	хүн алсан	disgust	0.812
dismemberment	задлах	disgust	0.812
cadaver	үхсэн	disgust	0.812
hemorrhage	цус алдалт	disgust	0.805
repulsive	бузар юм	disgust	0.805
perverse	буруу зүйл	disgust	0.805
filthy	бузар юм	disgust	0.797
sewage	бохир ус	disgust	0.797
depravity	доройтол	disgust	0.797
diseased	өвчтэй байсан	disgust	0.797
carcass	гулууз	disgust	0.795
decompose	задрах	disgust	0.789
vermin	үйрмэг	disgust	0.789
puke	Пек	disgust	0.789
parasite	шимэгчид	disgust	0.789
horrific	аймшигтай	disgust	0.789
gruesome	аймшигтай	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	алга болсон	disgust	0.789
murderous	алуурчин	disgust	0.789
decayed	муудсан	disgust	0.789
herpes	Herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	гөлгөр	disgust	0.781
monstrosity	гайхамшигтай	disgust	0.781
carnage	аллага	disgust	0.781
pestilence	тахал	disgust	0.781
malaria	malaria	disgust	0.781
crap	гэж хэлэв	disgust	0.781
toxic	хортой	disgust	0.773
loathsome	бузар юм	disgust	0.773
insidious	хор хөнөөлтэй	disgust	0.773
leprosy	уяман юм	disgust	0.773
morgue	хоргодох газар	disgust	0.773
pus	Нугас	disgust	0.773
herpesvirus	Herpesvirus	disgust	0.773
whore	эрхлэгч	disgust	0.766
cruel	хэрцгий	disgust	0.766
repugnance	золгүй явдал	disgust	0.766
revulsion	таталт	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	регургитаци	disgust	0.766
anthrax	боомоор	disgust	0.766
lynch	lynch	disgust	0.766
dissection	dissection	disgust	0.759
canker	canker	disgust	0.758
cruelty	харгислал	disgust	0.758
perversion	гажуудал	disgust	0.758
evil	хорон муу	disgust	0.758
slum	ядуусын хороолол	disgust	0.758
infectious	халдвартай	disgust	0.758
mucous	салс	disgust	0.758
phlegm	цэр	disgust	0.758
leeches	луус	disgust	0.750
decomposition	ялзрал	disgust	0.750
sinister	Нууц	disgust	0.750
corrupting	авлигатай	disgust	0.750
demon	чөтгөр	disgust	0.742
stinking	үнэртэж байна	disgust	0.742
septic	септик	disgust	0.742
deranged	доогуур нь	disgust	0.742
bile	цөс	disgust	0.742
soiled	вааруужин	disgust	0.742
mucus	салс	disgust	0.742
abhorrence	жигшсэн юм	disgust	0.742
abomination	жигшүүрт юм	disgust	0.742
sickening	өвдөх	disgust	0.742
demonic	чөтгөр	disgust	0.742
foul	Бохирдлоо	disgust	0.734
obese	таргалалт	disgust	0.734
sicken	саадаг	disgust	0.734
degeneracy	доройтол	disgust	0.734
crucifixion	цовдлолт	disgust	0.734
despicable	жигшмээр юм	disgust	0.734
cancer	хорт хавдар	disgust	0.734
atrocity	харгис хэрцгий байдал	disgust	0.734
terrorism	терроризм	disgust	0.734
dirty	бохир	disgust	0.727
dysentery	цусан суулга	disgust	0.727
adultery	садар самуун	disgust	0.727
contamination	бохирдол	disgust	0.727
bacterium	бактери	disgust	0.727
diabolical	бүдүүлэг юм	disgust	0.727
morbidity	өвчлөл	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	түрэмгийлэл	disgust	0.727
enema	бургуй	disgust	0.727
contagion	халдвар авах	disgust	0.719
disfigured	өөрчлөгдсөн	disgust	0.719
muck	Нугас	disgust	0.719
lewd	завхай байна	disgust	0.719
garbage	хог	disgust	0.719
autopsy	орлуулалт	disgust	0.719
bowels	гэдэс	disgust	0.719
gross	нийт	disgust	0.719
vulgar	бүдүүлэг	disgust	0.719
barbaric	Барбари муутай	disgust	0.719
disgust	жигшүүрт зүйл	disgust	0.719
vicious	харгис	disgust	0.719
entrails	гэдэс дотор	disgust	0.719
deterioration	муудах	disgust	0.719
pungent	хурц ухаан	disgust	0.719
bloodshed	цус урсгалт	disgust	0.714
violent	хүчирхийлэл	disgust	0.711
tyrant	дарангуйлагч	disgust	0.711
poisoned	хордсон	disgust	0.711
pollute	бохирдолт	disgust	0.711
wretched	аймшигтай	disgust	0.711
nausea	дотор муухайрах	disgust	0.711
mortification	унасан	disgust	0.711
gag	бөө	disgust	0.711
vulgarity	бүдүүлэг үг хэллэг	disgust	0.703
disgusting	жигшмээр юм	disgust	0.703
grope	завхайрал	disgust	0.703
slut	slut	disgust	0.703
poisoning	хордлого	disgust	0.703
depraved	доройтсон	disgust	0.703
noxious	хортой	disgust	0.703
porn	порно	disgust	0.703
nasty	муухай	disgust	0.703
slimy	туранхай	disgust	0.703
despotism	despotism	disgust	0.703
nauseate	тайвширдаг	disgust	0.703
secretion	шүүрэл	disgust	0.703
constipation	өтгөн хатах	disgust	0.703
hateful	үзэн яддаг	disgust	0.703
grime	шохой	disgust	0.703
measles	улаан бурхан	disgust	0.696
contagious	халдвар авах	disgust	0.695
hellish	hellish	disgust	0.695
waste	хог хаягдал	disgust	0.695
suicidal	Амиа хорлох	disgust	0.695
abuse	хүчирхийлэл	disgust	0.695
hate	үзэн ядалт	disgust	0.695
wretch	сонин	disgust	0.695
intestinal	гэдэсний өвчин	disgust	0.695
wart	ууц	disgust	0.695
obesity	таргалалт	disgust	0.695
scum	бузар юм	disgust	0.695
contaminated	бохирдсон	disgust	0.688
disease	өвчин	disgust	0.688
rabid	галзуу	disgust	0.688
ooze	ooze	disgust	0.688
treason	харгислал	disgust	0.688
heartworm	зүрхний цохилт	disgust	0.688
smut	Смит	disgust	0.688
cholera	cholera	disgust	0.680
deformed	гажигтай	disgust	0.680
detest	хорлон сүйтгэх	disgust	0.680
bestial	bestial	disgust	0.680
sickness	өвчин	disgust	0.680
antichrist	Антихрист	disgust	0.680
abhorrent	бузар юм	disgust	0.680
soulless	Соёл	disgust	0.680
freakish	аймшигтай	disgust	0.680
grimy	grimy	disgust	0.680
hatred	үзэн ядалт	disgust	0.680
pollution	бохирдол	disgust	0.680
germ	үр хөврөл	disgust	0.680
abominate	жигшүүрт юм	disgust	0.680
hell	там	disgust	0.680
dilapidated	бүдүүлэг юм	disgust	0.672
dictatorship	дарангуйлал	disgust	0.672
inhuman	хүнлэг бус	disgust	0.672
greasy	тослог	disgust	0.672
hideous	жигтэйхэн	disgust	0.672
loathful	бузар юм	disgust	0.672
obscene	садар самуун	disgust	0.672
loathing	бузар юм	disgust	0.672
cess	cess	disgust	0.670
devil	чөтгөр	disgust	0.664
heretic	омог	disgust	0.664
nauseous	уйтгартай	disgust	0.664
abominable	жигшүүрт юм	disgust	0.664
deformity	деформаци	disgust	0.664
deadly	үхэлтэй	disgust	0.664
swine	гахай	disgust	0.664
discrimination	ялгаварлан гадуурхалт	disgust	0.664
masochism	Масокизм	disgust	0.664
poisonous	хортой	disgust	0.656
prejudiced	гадуурхагдсан	disgust	0.656
bacteria	бактери	disgust	0.656
death	үхэл	disgust	0.656
poison	хор	disgust	0.656
trash	хогийн сав	disgust	0.656
abortion	үр хөндөлт	disgust	0.656
corruption	авлига	disgust	0.656
victimized	хохирогч	disgust	0.656
oppression	дарлал	disgust	0.656
goo	goo	disgust	0.656
latrines	жорлон	disgust	0.656
horror	Айдас	disgust	0.656
horrible	аймшигтай	disgust	0.656
nefarious	муухай	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	Өшөө авалт	disgust	0.648
outhouse	гэр хороолол	disgust	0.648
horrid	аймшигтай	disgust	0.648
detestation	доромжлол	disgust	0.648
sludge	лаг	disgust	0.648
ugly	муухай	disgust	0.648
trashy	хогийн сав	disgust	0.648
bitch	гичий	disgust	0.648
immoral	ёс суртахуунгүй	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	бүү хий	disgust	0.641
pimple	Батга	disgust	0.641
indecency	Худалгүй байдал	disgust	0.641
unsightly	харамсалтай	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	муу санаатай	disgust	0.641
cystic	цистик	disgust	0.641
horrifying	аймшигтай	disgust	0.641
derogatory	доройтсон	disgust	0.641
laxative	laxative	disgust	0.641
criminality	гэмт хэрэг	disgust	0.641
oppressive	дарангуйлал	disgust	0.633
sinful	нүгэлтэй	disgust	0.633
bigoted	түгшүүртэй	disgust	0.633
doomsday	Дараа нь	disgust	0.633
prostitution	биеэ үнэлэх явдал	disgust	0.633
ulcer	шархлаа	disgust	0.633
secrete	нууцлах	disgust	0.633
perpetrator	гэмт хэрэгтэн	disgust	0.633
rat	хулгана	disgust	0.633
queasy	амар амгалан	disgust	0.633
mildew	mildew	disgust	0.633
dastardly	Гайхамшгаарай	disgust	0.625
disgraceful	харамсалтай	disgust	0.625
ghastly	Хөөрхий	disgust	0.625
persecution	хавчлага	disgust	0.625
devilish	чөтгөр	disgust	0.625
degrading	доройтсон	disgust	0.625
obscenity	садар самуун явдал	disgust	0.625
fungus	мөөгөнцөр	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	gluttony	disgust	0.625
stools	Баасанд	disgust	0.625
suffering	зовж байна	disgust	0.625
contemptible	бузар юм	disgust	0.625
cuckold	Хөөрхий	disgust	0.625
bloated	халууцаж байна	disgust	0.625
aghast	агш	disgust	0.625
betrayal	урвалт	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	халдвар авах	disgust	0.617
spoil	олз омог	disgust	0.617
tetanus	татран	disgust	0.617
fat	өөх тос	disgust	0.617
louse	Сонссон	disgust	0.617
malicious	хортой	disgust	0.617
polygamy	полигон	disgust	0.617
crusty	crusty	disgust	0.617
atrocious	аймшигтай	disgust	0.617
deceit	хууран мэхлэх	disgust	0.617
termite	морин шоргоолж	disgust	0.617
loathe	үзэн яддаг	disgust	0.617
wench	wench	disgust	0.617
dying	үхэж байна	disgust	0.617
sickly	өвчтэй байна	disgust	0.617
diaper	живх	disgust	0.617
strangle	тархи	disgust	0.617
drool	drool	disgust	0.609
slander	гүтгэлэг	disgust	0.609
abhor	жигшин зэвүүцэх	disgust	0.609
venomous	хортой	disgust	0.609
brothel	язгууртан	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	хүчтэй	disgust	0.609
hostile	дайсагнасан	disgust	0.609
sabotage	хорлон сүйтгэх ажиллагаа	disgust	0.609
deform	гажигтай	disgust	0.609
bleeding	цус алдалт	disgust	0.609
unwashed	цэвэрлэсэнгүй	disgust	0.602
lunacy	Сонирхолтой	disgust	0.602
imprisonment	шоронд хорих	disgust	0.602
infidel	үл итгэгч	disgust	0.602
deprivation	дутагдал	disgust	0.602
traitor	урвагч	disgust	0.602
ugliness	муухай юм	disgust	0.602
musty	барзгар	disgust	0.602
illicit	хууль бус	disgust	0.602
swampy	намаг	disgust	0.602
poaching	хулгайн ан	disgust	0.602
hag	hag	disgust	0.602
butcher	нядалгаа	disgust	0.594
lunatic	Тэнэг хүн	disgust	0.594
venom	хоруу чанар	disgust	0.594
repelling	буцааж хаях	disgust	0.594
thug	үерхэх	disgust	0.594
misery	зовлон зүдүүр	disgust	0.594
toilet	бие засах газар	disgust	0.594
slug	Slug	disgust	0.594
catastrophe	гамшиг	disgust	0.594
epidemic	тархалт	disgust	0.594
gut	гэдэс	disgust	0.594
intoxicated	согтуу	disgust	0.594
blister	цэврүү	disgust	0.594
deceitful	заль мэх	disgust	0.594
hostility	дайсагнал	disgust	0.594
queasiness	амар амгалан	disgust	0.594
lurid	людид	disgust	0.594
sinner	нүгэлтэн	disgust	0.594
incubus	инкубус	disgust	0.586
lavatory	угаалгын газар	disgust	0.586
harass	Дарамтлах	disgust	0.586
unclean	бузар юм	disgust	0.586
prostitute	биеэ үнэлэгч	disgust	0.586
pornography	порнограф	disgust	0.586
dreadful	аймшигтай	disgust	0.586
deteriorated	муудсан	disgust	0.586
appalling	аймшигтай	disgust	0.586
unfaithful	үнэнч бус	disgust	0.578
rash	тууралт	disgust	0.578
humiliating	ичиж байна	disgust	0.578
ruinous	хор уршигтай	disgust	0.578
squeamish	сахилгатай	disgust	0.578
offensive	довтлох	disgust	0.578
conspirator	хуйвалдагч	disgust	0.578
larceny	шинэхэн	disgust	0.578
debauchery	үзэн ядалт	disgust	0.578
mangle	зэрэмдэглэсэн	disgust	0.578
flea	бүүрэг	disgust	0.578
hypocrite	хоёр нүүртэй	disgust	0.578
retard	retard	disgust	0.578
fiend	дүр	disgust	0.578
sick	өвчтэй	disgust	0.578
quagmire	quagmire	disgust	0.578
expulsion	албадан гаргах	disgust	0.578
treacherous	заль мэх	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	нулимах	disgust	0.570
devastating	сүйрэх	disgust	0.570
bastard	Новш	disgust	0.570
messy	Муухай	disgust	0.570
flog	flog	disgust	0.570
egregious	Хэцүү юм	disgust	0.570
swamp	намаг	disgust	0.570
oppress	дарангуйлал	disgust	0.570
despise	үзэн ядалт	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	могой	disgust	0.570
snake	могой	disgust	0.562
terrible	аймшигтай	disgust	0.562
awful	аймшигтай	disgust	0.562
harmful	хортой	disgust	0.562
insanity	галзуурал	disgust	0.562
indecent	зохисгүй юм	disgust	0.562
sordid	шоолсон	disgust	0.562
loo	loo	disgust	0.562
scoundrel	харгис хэрцгий	disgust	0.562
enemy	дайсан	disgust	0.562
stealing	хулгай хийх	disgust	0.562
alcoholism	архидалт	disgust	0.562
humiliation	доромжлол	disgust	0.562
ruthless	харгис хэрцгий	disgust	0.562
sloppy	уйтгартай байна	disgust	0.562
tyrannical	харгислал	disgust	0.562
harlot	янхан	disgust	0.562
sinning	нүгэл үйлдэх	disgust	0.562
robbery	дээрэм	disgust	0.555
insufferable	Улирлын шинжтэй	disgust	0.555
arsenic	хүнцэл	disgust	0.555
bloody	Цуст	disgust	0.555
odious	ер бусын	disgust	0.555
ridicule	шоолох	disgust	0.555
atrophy	хатингаршил	disgust	0.555
beastly	бузар юм	disgust	0.555
collusion	хуйвалдаан	disgust	0.555
distaste	хоцрогдсон	disgust	0.555
segregate	салгах	disgust	0.555
discriminating	ялгаварлах	disgust	0.555
coward	Ачаалал	disgust	0.555
wickedness	ёс бус явдал	disgust	0.555
threatening	аюул заналхийлж байна	disgust	0.555
unattractive	сэтгэл татамгүй	disgust	0.555
slayer	slayer	disgust	0.555
flabby	flabby	disgust	0.555
varicella	салхин цэцэг	disgust	0.555
miserable	зовлонтой	disgust	0.547
sty	sty	disgust	0.547
ogre	Огре	disgust	0.547
coercion	албадлага	disgust	0.547
thief	хулгайч	disgust	0.547
slur	slur	disgust	0.547
suffocating	сохрох	disgust	0.547
anathema	анатейм	disgust	0.547
purgatory	цэвэр ариун байдал	disgust	0.547
malevolent	харамсалтай	disgust	0.547
bitterly	гашуунаар	disgust	0.547
burglar	хулгайч	disgust	0.547
attacking	довтолж байна	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	буруутгал	disgust	0.547
pillage	хулгайлах	disgust	0.547
deleterious	хор хөнөөлтэй	disgust	0.547
thrash	thrash	disgust	0.539
repellant	хорлон сүйтгэгч	disgust	0.539
repudiation	татгалзах	disgust	0.539
infidelity	үнэнч бус	disgust	0.539
liar	худалч	disgust	0.539
fatty	өөх тос	disgust	0.539
gob	gob	disgust	0.539
sneer	Сэлэнгэ	disgust	0.539
drunken	согтуу	disgust	0.539
disgrace	ичгүүр	disgust	0.539
shame	ичгүүр	disgust	0.539
jealous	хартай	disgust	0.539
imprisoned	шоронд хоригдсон	disgust	0.539
pig	гахай	disgust	0.539
greedy	шунахай явдал	disgust	0.539
sloth	Sloth	disgust	0.539
lethal	үхэл	disgust	0.536
burnt	шатсан	disgust	0.531
aberration	гажилт	disgust	0.531
condescension	хүлцэл	disgust	0.531
hydrocephalus	гидроцефалус	disgust	0.531
hanging	өлгөгдсөн	disgust	0.531
destructive	хор хөнөөлтэй	disgust	0.531
smuggler	хууль бус наймаачин	disgust	0.531
intolerant	үл тэвчих	disgust	0.531
travesty	Турмаар байна	disgust	0.531
intrusive	интрузив	disgust	0.531
ruined	сүйрсэн	disgust	0.531
withered	хатсан	disgust	0.531
disintegrate	эвдэрсэн	disgust	0.531
brawl	маргалдах	disgust	0.531
blemish	өө сэвгүй	disgust	0.531
neurotic	невроз	disgust	0.531
blasphemous	доромжлох	disgust	0.531
lying	хэвтэж байна	disgust	0.531
painful	өвдөлт	disgust	0.531
avarice	Хөөрхий	disgust	0.523
disgraced	ичгүүртэй	disgust	0.523
mistress	эмээ	disgust	0.523
disparaging	эмзэглэв	disgust	0.523
rubbish	хог хаягдал	disgust	0.523
derogation	татан авалт	disgust	0.523
accusation	яллах	disgust	0.523
intolerance	үл тэвчих	disgust	0.523
incarceration	шоронд хорих	disgust	0.523
blighted	хортой	disgust	0.523
sump	sump	disgust	0.516
deplorable	гашуун зовлонтой	disgust	0.516
daemon	дэмон	disgust	0.516
cringe	зангидаж байна	disgust	0.516
degrade	доройтсон	disgust	0.516
gutter	ус зайлуулах хоолой	disgust	0.516
rob	дээрэм	disgust	0.516
grim	аймшигтай	disgust	0.516
defraud	хууран мэхлэх	disgust	0.516
tortious	золгүй явдал	disgust	0.516
eradication	устгах	disgust	0.516
stink	үнэртэж байна	disgust	0.516
convict	яллагдагч	disgust	0.516
dishonor	доромжлол	disgust	0.516
vulture	үлэг гүрвэл	disgust	0.516
remains	үлдсэн	disgust	0.516
mite	хачиг	disgust	0.516
betray	урвах	disgust	0.516
sham	Шам	disgust	0.509
endemic	эндемик	disgust	0.508
bombed	Буужуулсан	disgust	0.508
distress	зовлон зүдгүүр	disgust	0.508
pest	хортон шавьж	disgust	0.508
incurable	эдгэршгүй	disgust	0.508
worthless	Үгүй	disgust	0.508
rejection	татгалзах	disgust	0.508
distasteful	садар самуун	disgust	0.508
schizophrenia	Шизофрения	disgust	0.508
belittle	хоромхон зуурт	disgust	0.508
