word	Haitian Creole-ht	emotion	emotion-intensity-score
shortly	yon ti tan	anticipation	0.484
vow	ve	anticipation	0.484
contagion	kontajman	anticipation	0.484
letter	lèt	anticipation	0.484
happen	rive	anticipation	0.484
threaten	menase	anticipation	0.484
conjure	konjure	anticipation	0.484
sparkle	c klere	anticipation	0.484
engulf	vale	anticipation	0.484
god	Bondye	anticipation	0.484
correspondence	korespondans	anticipation	0.484
auspicious	favorab	anticipation	0.484
princely	priyè	anticipation	0.484
adore	adore	anticipation	0.477
enroll	enskri	anticipation	0.477
determinate	detèmine	anticipation	0.477
predispose	predispoz	anticipation	0.477
clue	siy	anticipation	0.477
onset	Kòmanse	anticipation	0.477
powerful	pwisan	anticipation	0.477
glorify	glorifye	anticipation	0.477
glow	lumière	anticipation	0.477
arbitration	abitraj	anticipation	0.477
torture	tòti	anticipation	0.477
gravitate	gravite	anticipation	0.477
cherish	cherish	anticipation	0.477
contemplate	kontanple	anticipation	0.477
submit	soumèt	anticipation	0.477
perilous	danjere	anticipation	0.477
unification	inifikasyon	anticipation	0.477
score	nòt	anticipation	0.477
medal	meday	anticipation	0.477
glide	glise	anticipation	0.477
recipient	benefisyè	anticipation	0.477
accompaniment	akonpayman	anticipation	0.477
praiseworthy	lwanj	anticipation	0.473
providing	bay	anticipation	0.469
motion	mouvman	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	pridan	anticipation	0.469
cash	lajan kach	anticipation	0.469
precursor	précurseur	anticipation	0.469
opera	opera	anticipation	0.469
elite	elit	anticipation	0.469
pry	pry	anticipation	0.469
hire	anboche	anticipation	0.469
sweets	bagay dous	anticipation	0.469
star	zetwal	anticipation	0.469
unsurpassed	surpase	anticipation	0.469
successful	siksè	anticipation	0.469
unknown	enkoni	anticipation	0.469
immediately	imedyatman	anticipation	0.469
starry	etwal	anticipation	0.469
production	pwodiksyon	anticipation	0.469
football	foutbòl	anticipation	0.469
completion	fini	anticipation	0.469
scare	fè pè	anticipation	0.469
invoke	envoke	anticipation	0.469
shaky	enkyete	anticipation	0.469
dawn	dimanch maten	anticipation	0.469
creeping	trennen sou vant	anticipation	0.469
cheerfulness	kè kontan	anticipation	0.461
soundness	sonite	anticipation	0.461
mail	lapòs	anticipation	0.461
draft	bouyon	anticipation	0.461
preliminary	preliminè	anticipation	0.461
friendly	zanmitay	anticipation	0.461
commemorative	komemoratif	anticipation	0.461
extricate	ekstrèm	anticipation	0.461
alive	vivan	anticipation	0.461
untold	inonbrabl	anticipation	0.461
overture	ouvè	anticipation	0.461
excel	briye	anticipation	0.461
plight	konba	anticipation	0.461
synchronize	senkroniz	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	Tanp lan	anticipation	0.461
brilliant	briyan	anticipation	0.461
pay	peye	anticipation	0.461
shining	klere byen bèl	anticipation	0.461
regatta	rejat	anticipation	0.461
testament	kontra Bondye	anticipation	0.461
jeopardy	danje	anticipation	0.461
perpetuity	pèpetuite	anticipation	0.453
elegance	distenksyon	anticipation	0.453
career	karyè	anticipation	0.453
basketball	baskètbòl	anticipation	0.453
intimately	intimately	anticipation	0.453
renovate	renovasyon	anticipation	0.453
supremacy	Sipremasi	anticipation	0.453
infinity	Infinity	anticipation	0.453
unexpected	inatandi	anticipation	0.453
flinch	flinch	anticipation	0.453
complement	konpleman	anticipation	0.453
prologue	prolog	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	prevansyon	anticipation	0.453
improve	amelyore	anticipation	0.453
sunset	solèy kouche	anticipation	0.453
inaugural	inogirasyon	anticipation	0.453
rehabilitation	reyabilitasyon	anticipation	0.453
fitting	Fitting	anticipation	0.445
surround	antoure	anticipation	0.445
share	pataje	anticipation	0.445
epidemic	epidemi	anticipation	0.445
sweet	dous	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	kache	anticipation	0.445
confidence	konfyans	anticipation	0.445
perfect	pafè	anticipation	0.445
sun	solèy	anticipation	0.445
veracity	veras	anticipation	0.445
volunteer	volontè	anticipation	0.445
conjecture	konjekti	anticipation	0.445
medical	medikal	anticipation	0.438
prepared	prepare	anticipation	0.438
superstitious	sipèstisye	anticipation	0.438
reconstruction	rekonstriksyon an	anticipation	0.438
tickle	satisfe	anticipation	0.438
faith	lafwa	anticipation	0.438
passenger	pasaje	anticipation	0.438
saint	saint	anticipation	0.438
respect	respè	anticipation	0.438
rabid	rabid	anticipation	0.438
reconstruct	rekonstwi	anticipation	0.438
recombination	rekombinasyon	anticipation	0.438
devout	devout	anticipation	0.438
goodness	bonte	anticipation	0.438
angel	anj	anticipation	0.438
ferment	fèm	anticipation	0.438
plea	lapriyè	anticipation	0.438
aloha	premyèman	anticipation	0.438
serial	seri	anticipation	0.438
conservation	konsèvasyon	anticipation	0.438
serenity	serenite	anticipation	0.430
tabulate	tabli	anticipation	0.430
install	enstale	anticipation	0.430
labyrinth	labirent	anticipation	0.430
venerable	venere	anticipation	0.430
perpetuate	perpétuer	anticipation	0.430
strategist	stratèj	anticipation	0.430
unverified	verifye	anticipation	0.430
tribunal	tribinal la	anticipation	0.430
charitable	charitab	anticipation	0.430
luscious	Apetisan	anticipation	0.430
spa	spa	anticipation	0.430
peace	lapè	anticipation	0.430
clap	bat bravo	anticipation	0.430
conspirator	konspiratè	anticipation	0.422
forestall	forè	anticipation	0.422
patience	pasyans	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	grin	anticipation	0.422
revere	revere	anticipation	0.422
worship	adore	anticipation	0.422
vista	vista	anticipation	0.422
laughter	ri	anticipation	0.422
volatility	volatilité	anticipation	0.422
adrift	Adjwen	anticipation	0.422
candid	fran	anticipation	0.422
edification	Edikasyon	anticipation	0.422
unresolved	ki pako rezoud	anticipation	0.422
peaceful	lapè	anticipation	0.422
recognizable	rekonèt	anticipation	0.422
calls	apèl	anticipation	0.414
weigh	peze	anticipation	0.414
probation	pwobasyon	anticipation	0.414
proficiency	konpetans	anticipation	0.414
morn	morn	anticipation	0.414
craps	krap	anticipation	0.414
detainee	prizonye	anticipation	0.414
mediate	medyatè	anticipation	0.414
continue	kontinye	anticipation	0.414
astrologer	astrolog	anticipation	0.414
punctual	ponktyalite	anticipation	0.414
ordination	seremoni	anticipation	0.414
pretty	bèl	anticipation	0.414
thought	te panse	anticipation	0.414
grant	sibvansyon	anticipation	0.414
withstand	kenbe tèt avè l '	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	kontinyèl	anticipation	0.414
sing	chante	anticipation	0.411
long	lontan	anticipation	0.406
confession	konfesyon	anticipation	0.406
headlight	limyè	anticipation	0.406
prophylactic	pwofilaktik	anticipation	0.406
mother	manman	anticipation	0.406
debenture	debenture	anticipation	0.406
wizard	sòsye	anticipation	0.406
university	inivèsite	anticipation	0.406
proud	fyè	anticipation	0.406
midwife	fanm ansent	anticipation	0.406
banquet	bankè	anticipation	0.406
continuation	kontinyasyon	anticipation	0.406
navigable	navigab	anticipation	0.406
punished	pini	anticipation	0.406
chicane	chikane	anticipation	0.406
comfort	konfò	anticipation	0.406
opponent	advèsè	anticipation	0.406
subscribe	abònman	anticipation	0.406
outdo	deyò	anticipation	0.406
nurture	nouri	anticipation	0.406
twinkle	twinkle	anticipation	0.406
deal	kontra	anticipation	0.402
efficient	efikas	anticipation	0.398
representing	reprezante	anticipation	0.398
simmer	mitone	anticipation	0.398
symphony	Symphony	anticipation	0.398
judiciary	jidisyè	anticipation	0.398
obliging	obligasyon	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	viji	anticipation	0.398
death	lanmò	anticipation	0.398
distracting	distrè	anticipation	0.398
mortification	mortification	anticipation	0.398
balm	balm	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	tèt	anticipation	0.398
lettered	lèt	anticipation	0.398
reliance	reliance	anticipation	0.398
poke	pike	anticipation	0.391
unfulfilled	unfulfilled	anticipation	0.391
assurance	asirans	anticipation	0.391
condemnation	kondanasyon	anticipation	0.391
undoubted	san dout	anticipation	0.391
diplomacy	diplomasi	anticipation	0.391
familiarity	abitye	anticipation	0.391
antidote	antidot	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	objektif	anticipation	0.391
maternal	matènèl	anticipation	0.391
abeyance	absans	anticipation	0.391
art	atizay	anticipation	0.391
linger	ankò	anticipation	0.391
trust	konfyans	anticipation	0.391
depraved	peche	anticipation	0.391
sanctify	sanktifye	anticipation	0.391
inoculation	inokulasyon	anticipation	0.384
chant	chant	anticipation	0.383
banger	banger	anticipation	0.383
playground	lakou rekreyasyon	anticipation	0.383
failing	fail	anticipation	0.383
ship	bato	anticipation	0.383
hymn	kantik	anticipation	0.383
simplify	senplifye	anticipation	0.383
ram	belye mouton	anticipation	0.383
labor	travay	anticipation	0.383
discretion	diskresyon	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	bon	anticipation	0.383
scientist	syantis	anticipation	0.383
undecided	deside	anticipation	0.383
humanitarian	imanitè	anticipation	0.383
depend	depann de	anticipation	0.383
dutiful	obligatwa	anticipation	0.383
clock	revèy	anticipation	0.375
sterling	Sterling	anticipation	0.375
mountain	montay	anticipation	0.375
savor	gou	anticipation	0.375
recurrent	frekan	anticipation	0.375
interim	pwovizwa	anticipation	0.375
navigator	navigatè	anticipation	0.375
gradual	gradyèl	anticipation	0.375
interminable	endiferab	anticipation	0.375
track	tras	anticipation	0.375
public	piblik	anticipation	0.375
cradle	bèso	anticipation	0.375
concealed	kache	anticipation	0.367
lesson	leson	anticipation	0.367
instructions	enstriksyon yo	anticipation	0.367
shiver	tranble	anticipation	0.367
musical	mizik	anticipation	0.367
towering	imans	anticipation	0.367
whim	kapris	anticipation	0.367
spear	frenn	anticipation	0.367
convince	konvenk	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	rete	anticipation	0.367
biennial	Biennial	anticipation	0.367
theology	teyoloji	anticipation	0.359
offset	konpanse	anticipation	0.359
atone	aton	anticipation	0.359
timidity	timidite	anticipation	0.359
theory	teyori	anticipation	0.359
undying	onè	anticipation	0.359
plump	gra	anticipation	0.359
audience	odyans	anticipation	0.357
nobility	noblès	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	dyetetik	anticipation	0.352
closure	fèmti	anticipation	0.352
store	magazen	anticipation	0.352
localize	lokalize	anticipation	0.352
cramp	kranp	anticipation	0.352
daily	chak jou	anticipation	0.352
kindred	fanmi	anticipation	0.352
farm	fèm	anticipation	0.352
edition	edisyon	anticipation	0.352
consecration	konsekrasyon	anticipation	0.352
archaeology	akeyoloji	anticipation	0.344
mobile	mobil	anticipation	0.344
errand	Komisyon	anticipation	0.344
wireless	san fil	anticipation	0.344
mutable	mityèl	anticipation	0.344
meditate	medite	anticipation	0.344
stripped	dezabiye	anticipation	0.344
lessen	diminye	anticipation	0.336
unaccountable	inaktif	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	frè	anticipation	0.336
buddy	zanmi	anticipation	0.336
unbeaten	unbeaten	anticipation	0.336
germ	jèm	anticipation	0.336
dove	pijon	anticipation	0.328
digress	dijere	anticipation	0.328
ribbon	riban	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	pasyan	anticipation	0.328
council	konsèy	anticipation	0.328
possess	posede	anticipation	0.328
secular	eksklizyon	anticipation	0.328
chastity	chastete	anticipation	0.328
disposed	dispoze	anticipation	0.320
regularity	regilarite	anticipation	0.320
mediator	medyatè	anticipation	0.320
scrutinize	egzamine	anticipation	0.320
fancy	anpenpan	anticipation	0.320
immature	imatur	anticipation	0.320
infanticide	enfantisid	anticipation	0.320
heft	Heft	anticipation	0.320
preservative	konsèvasyon	anticipation	0.320
paddle	pagay	anticipation	0.320
cove	Cove	anticipation	0.320
denying	refize	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	pibliye	anticipation	0.312
analyst	analis	anticipation	0.312
grim	grimas	anticipation	0.312
church	legliz	anticipation	0.312
priesthood	prètriz	anticipation	0.305
mill	moulen	anticipation	0.305
judicial	jidisyè	anticipation	0.305
broadside	gran wout	anticipation	0.305
tributary	tributary	anticipation	0.297
cap	bouchon	anticipation	0.297
thermocouple	tèrmokòl	anticipation	0.297
dismay	pè	anticipation	0.297
instructor	enstriktè	anticipation	0.297
saliva	krache	anticipation	0.297
exhaustion	fatig	anticipation	0.297
bruise	kraze	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	ki san kay	anticipation	0.289
visor	vizyèr	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	rezo	anticipation	0.289
shackle	bat	anticipation	0.289
addresses	adrès	anticipation	0.289
noncompliance	non konplè	anticipation	0.289
cataract	katarakt	anticipation	0.289
skewed	fwote	anticipation	0.281
astronomer	astwonòm	anticipation	0.281
neighbor	frè parèy la	anticipation	0.281
holiness	sentete	anticipation	0.273
devil	move lespri	anticipation	0.273
cream	krèm	anticipation	0.273
picket	grèv	anticipation	0.273
latent	inaktif	anticipation	0.273
immaturity	imatite	anticipation	0.273
sentence	fraz	anticipation	0.273
neighborhood	katye	anticipation	0.266
morals	moral	anticipation	0.266
lull	kalme	anticipation	0.266
habitual	abitid	anticipation	0.266
weight	pwa	anticipation	0.258
bye	bye	anticipation	0.258
forearm	avanbra	anticipation	0.250
clown	kloun	anticipation	0.250
organ	ògàn	anticipation	0.250
quote	quote	anticipation	0.242
commonplace	Choudrant	anticipation	0.242
dictatorship	diktati	anticipation	0.234
board	tablo	anticipation	0.234
white	blan	anticipation	0.234
treadmill	tapi	anticipation	0.234
rail	tren	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	pyebwa	anticipation	0.227
paralysis	paralizi	anticipation	0.211
worm	vè k'ap manje kadav	anticipation	0.203
organization	òganizasyon	anticipation	0.203
cement	siman	anticipation	0.203
lagging	reta	anticipation	0.180
neutral	net	anticipation	0.148
cannibalism	kanibalism	disgust	0.953
mutilation	mutilasyon	disgust	0.930
molestation	molèstasyon	disgust	0.914
incest	ensès	disgust	0.914
gonorrhea	gonore	disgust	0.906
rape	vyòl	disgust	0.906
cannibal	kanibal	disgust	0.898
rot	pouri	disgust	0.891
corpse	kadav	disgust	0.883
massacre	Masak	disgust	0.883
excrement	ekstèsyon	disgust	0.883
slaughter	touye	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	labatwa	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	egou yo	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	filt	disgust	0.859
bigot	bigot	disgust	0.859
infestation	enfeksyon	disgust	0.852
plague	epidemi	disgust	0.852
bloodthirsty	asasen	disgust	0.852
holocaust	holocaust	disgust	0.852
rotting	pouri	disgust	0.844
maggot	maggot	disgust	0.844
feces	poupou	disgust	0.844
fecal	fecal	disgust	0.844
murder	touye moun	disgust	0.839
infanticide	enfantisid	disgust	0.836
homicide	omisid	disgust	0.836
asshole	estipid	disgust	0.836
enslaved	esklav	disgust	0.836
gore	Gore	disgust	0.828
perverted	perverted	disgust	0.828
torture	tòti	disgust	0.828
slaughtering	touye	disgust	0.828
excretion	eskresyon	disgust	0.828
contaminate	kontamine	disgust	0.821
murderer	ansasen	disgust	0.820
gory	Gory	disgust	0.820
repugnant	repiyan	disgust	0.820
desecration	desecration	disgust	0.820
grotesque	grotèsk	disgust	0.820
revolting	revòlt	disgust	0.820
diarrhoea	dyare	disgust	0.820
manure	fimye	disgust	0.820
terrorist	teworis	disgust	0.820
shit	kaka	disgust	0.820
pervert	pervert	disgust	0.820
slavery	esklavaj	disgust	0.812
faeces	faeces	disgust	0.812
sewer	egou	disgust	0.812
vomit	vomi	disgust	0.812
manslaughter	asasina	disgust	0.812
dismemberment	demantelman	disgust	0.812
cadaver	kadav	disgust	0.812
hemorrhage	emoraji	disgust	0.805
repulsive	repouse	disgust	0.805
perverse	move	disgust	0.805
filthy	sal	disgust	0.797
sewage	dlo egou	disgust	0.797
depravity	koripsyon	disgust	0.797
diseased	malad	disgust	0.797
carcass	kadav	disgust	0.795
decompose	dekonpoze	disgust	0.789
vermin	vèmin	disgust	0.789
puke	puke	disgust	0.789
parasite	parazit	disgust	0.789
horrific	terib	disgust	0.789
gruesome	gruesome	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	rache	disgust	0.789
murderous	touye moun	disgust	0.789
decayed	pouri	disgust	0.789
herpes	èpès	disgust	0.789
slime	limon	disgust	0.781
flatulence	flatulans	disgust	0.781
monstrosity	monstrozite	disgust	0.781
carnage	carnage	disgust	0.781
pestilence	maladi	disgust	0.781
malaria	malarya	disgust	0.781
crap	krap	disgust	0.781
toxic	toksik	disgust	0.773
loathsome	dousman	disgust	0.773
insidious	trètr	disgust	0.773
leprosy	Leprosy	disgust	0.773
morgue	mòg	disgust	0.773
pus	pi	disgust	0.773
herpesvirus	èpèsvirus	disgust	0.773
whore	jennès	disgust	0.766
cruel	mechan	disgust	0.766
repugnance	repiyans	disgust	0.766
revulsion	revòlt	disgust	0.766
xenophobia	Ksenofobi	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	diseksyon	disgust	0.759
canker	kansè	disgust	0.758
cruelty	mechanste	disgust	0.758
perversion	pervertion	disgust	0.758
evil	sa ki mal	disgust	0.758
slum	bidonvil	disgust	0.758
infectious	enfektye	disgust	0.758
mucous	mikez	disgust	0.758
phlegm	flèm	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	dekonpozisyon	disgust	0.750
sinister	dezas	disgust	0.750
corrupting	kòwonpi	disgust	0.750
demon	move lespri	disgust	0.742
stinking	santi bon	disgust	0.742
septic	septik	disgust	0.742
deranged	deranje	disgust	0.742
bile	kòlè	disgust	0.742
soiled	sal	disgust	0.742
mucus	mikis	disgust	0.742
abhorrence	abominasyon	disgust	0.742
abomination	abominasyon	disgust	0.742
sickening	danjere	disgust	0.742
demonic	dyabolik	disgust	0.742
foul	foul	disgust	0.734
obese	obèz	disgust	0.734
sicken	sèk	disgust	0.734
degeneracy	dejeneresans	disgust	0.734
crucifixion	krisifiksyon	disgust	0.734
despicable	embesil	disgust	0.734
cancer	kansè	disgust	0.734
atrocity	atwosite	disgust	0.734
terrorism	teworis	disgust	0.734
dirty	sal	disgust	0.727
dysentery	disantri	disgust	0.727
adultery	adiltè	disgust	0.727
contamination	kontaminasyon	disgust	0.727
bacterium	bakteri	disgust	0.727
diabolical	diabolik	disgust	0.727
morbidity	morbidite	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	repouse	disgust	0.727
enema	enema	disgust	0.727
contagion	kontajman	disgust	0.719
disfigured	defini	disgust	0.719
muck	fimye	disgust	0.719
lewd	lewd	disgust	0.719
garbage	fatra	disgust	0.719
autopsy	otopsi	disgust	0.719
bowels	zantray	disgust	0.719
gross	brit	disgust	0.719
vulgar	vilgè	disgust	0.719
barbaric	barbarism	disgust	0.719
disgust	degou	disgust	0.719
vicious	visye	disgust	0.719
entrails	entrails	disgust	0.719
deterioration	deteryorasyon	disgust	0.719
pungent	pike	disgust	0.719
bloodshed	san koule	disgust	0.714
violent	vyolan	disgust	0.711
tyrant	tiran	disgust	0.711
poisoned	anpwazonnen	disgust	0.711
pollute	polye	disgust	0.711
wretched	terib	disgust	0.711
nausea	kè plen	disgust	0.711
mortification	mortification	disgust	0.711
gag	gag	disgust	0.711
vulgarity	vulgarite	disgust	0.703
disgusting	degoutan	disgust	0.703
grope	grope	disgust	0.703
slut	souyon	disgust	0.703
poisoning	anpwazònman	disgust	0.703
depraved	peche	disgust	0.703
noxious	enkyete	disgust	0.703
porn	pònografi	disgust	0.703
nasty	degoutan	disgust	0.703
slimy	mens	disgust	0.703
despotism	despotism	disgust	0.703
nauseate	nuzere	disgust	0.703
secretion	sekresyon	disgust	0.703
constipation	konstipasyon	disgust	0.703
hateful	rayisab	disgust	0.703
grime	salte	disgust	0.703
measles	lawoujòl	disgust	0.696
contagious	kontajye	disgust	0.695
hellish	infernal	disgust	0.695
waste	dechè	disgust	0.695
suicidal	swisid	disgust	0.695
abuse	abi	disgust	0.695
hate	rayi	disgust	0.695
wretch	dezòd	disgust	0.695
intestinal	entesten	disgust	0.695
wart	Wart	disgust	0.695
obesity	obezite	disgust	0.695
scum	scum	disgust	0.695
contaminated	kontamine	disgust	0.688
disease	maladi	disgust	0.688
rabid	rabid	disgust	0.688
ooze	ooze	disgust	0.688
treason	trayizon	disgust	0.688
heartworm	kè	disgust	0.688
smut	konba	disgust	0.688
cholera	kolera	disgust	0.680
deformed	defòme	disgust	0.680
detest	detest	disgust	0.680
bestial	pi bon	disgust	0.680
sickness	maladi	disgust	0.680
antichrist	antikristyanism	disgust	0.680
abhorrent	abondan	disgust	0.680
soulless	initil	disgust	0.680
freakish	freakish	disgust	0.680
grimy	grimy	disgust	0.680
hatred	rayisman	disgust	0.680
pollution	polisyon	disgust	0.680
germ	jèm	disgust	0.680
abominate	abominab	disgust	0.680
hell	lanfè	disgust	0.680
dilapidated	Delambre	disgust	0.672
dictatorship	diktati	disgust	0.672
inhuman	imèn	disgust	0.672
greasy	gra	disgust	0.672
hideous	efreyan	disgust	0.672
loathful	malè	disgust	0.672
obscene	obsèn	disgust	0.672
loathing	malè	disgust	0.672
cess	ses	disgust	0.670
devil	move lespri	disgust	0.664
heretic	eretik	disgust	0.664
nauseous	nouri	disgust	0.664
abominable	abominab	disgust	0.664
deformity	defo	disgust	0.664
deadly	ki ka touye moun	disgust	0.664
swine	kochon	disgust	0.664
discrimination	diskriminasyon	disgust	0.664
masochism	masochism	disgust	0.664
poisonous	pwazon	disgust	0.656
prejudiced	prejije	disgust	0.656
bacteria	bakteri	disgust	0.656
death	lanmò	disgust	0.656
poison	pwazon	disgust	0.656
trash	fatra	disgust	0.656
abortion	avòtman	disgust	0.656
corruption	koripsyon	disgust	0.656
victimized	viktim	disgust	0.656
oppression	opresyon	disgust	0.656
goo	Goo	disgust	0.656
latrines	latrin	disgust	0.656
horror	laterè	disgust	0.656
horrible	terib	disgust	0.656
nefarious	nefarious	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	vanjans	disgust	0.648
outhouse	outhouse	disgust	0.648
horrid	sezi	disgust	0.648
detestation	detestasyon	disgust	0.648
sludge	depo	disgust	0.648
ugly	lèd	disgust	0.648
trashy	trashy	disgust	0.648
bitch	bitch	disgust	0.648
immoral	imoral	disgust	0.648
malfeasance	malfezan	disgust	0.641
spew	Spew	disgust	0.641
pimple	bouton	disgust	0.641
indecency	endesans	disgust	0.641
unsightly	disgrasyeu	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	mechan	disgust	0.641
cystic	sistik	disgust	0.641
horrifying	enkyete	disgust	0.641
derogatory	imilyan	disgust	0.641
laxative	Laksatif	disgust	0.641
criminality	kriminalite	disgust	0.641
oppressive	opresif	disgust	0.633
sinful	peche	disgust	0.633
bigoted	Grandi	disgust	0.633
doomsday	doomsday	disgust	0.633
prostitution	pwostitisyon	disgust	0.633
ulcer	ilsè	disgust	0.633
secrete	sekrete	disgust	0.633
perpetrator	moun ki komèt krim lan	disgust	0.633
rat	rat	disgust	0.633
queasy	queasy	disgust	0.633
mildew	kanni	disgust	0.633
dastardly	dastardly	disgust	0.625
disgraceful	dezagreyab	disgust	0.625
ghastly	efreyan	disgust	0.625
persecution	pèsekisyon	disgust	0.625
devilish	devilish	disgust	0.625
degrading	degrade	disgust	0.625
obscenity	obscenity	disgust	0.625
fungus	chanpiyon	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	gouman	disgust	0.625
stools	ban	disgust	0.625
suffering	soufrans	disgust	0.625
contemptible	dezagreyab	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	boure	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	trayizon	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	enfekte	disgust	0.617
spoil	gate	disgust	0.617
tetanus	tetanòs	disgust	0.617
fat	grès	disgust	0.617
louse	louse	disgust	0.617
malicious	move	disgust	0.617
polygamy	poligami	disgust	0.617
crusty	kroustiyan	disgust	0.617
atrocious	atròs	disgust	0.617
deceit	twonpe	disgust	0.617
termite	termite	disgust	0.617
loathe	fè mal	disgust	0.617
wench	ap viv	disgust	0.617
dying	mouri	disgust	0.617
sickly	malad	disgust	0.617
diaper	kouchèt	disgust	0.617
strangle	trangle	disgust	0.617
drool	drool	disgust	0.609
slander	kalomnye	disgust	0.609
abhor	dezòd	disgust	0.609
venomous	danjere	disgust	0.609
brothel	bordel	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	vyolans	disgust	0.609
hostile	ostil	disgust	0.609
sabotage	sabotaj	disgust	0.609
deform	deform	disgust	0.609
bleeding	senyen	disgust	0.609
unwashed	wouj	disgust	0.602
lunacy	lunacy	disgust	0.602
imprisonment	prizon	disgust	0.602
infidel	enfidel	disgust	0.602
deprivation	privasyon	disgust	0.602
traitor	trayi	disgust	0.602
ugliness	lestomak	disgust	0.602
musty	mou	disgust	0.602
illicit	ilegal	disgust	0.602
swampy	swampy	disgust	0.602
poaching	poche	disgust	0.602
hag	hag	disgust	0.602
butcher	bouche	disgust	0.594
lunatic	lunatik	disgust	0.594
venom	venn	disgust	0.594
repelling	repouse	disgust	0.594
thug	thug	disgust	0.594
misery	mizè	disgust	0.594
toilet	twalèt	disgust	0.594
slug	paresseux	disgust	0.594
catastrophe	katastwòf	disgust	0.594
epidemic	epidemi	disgust	0.594
gut	zantray	disgust	0.594
intoxicated	entoksike	disgust	0.594
blister	ti anpoul	disgust	0.594
deceitful	twonpe moun	disgust	0.594
hostility	ostilite	disgust	0.594
queasiness	queasiness	disgust	0.594
lurid	lurid	disgust	0.594
sinner	pechè	disgust	0.594
incubus	enkubus	disgust	0.586
lavatory	lavabo	disgust	0.586
harass	anmède	disgust	0.586
unclean	malad	disgust	0.586
prostitute	fanm movèz vi	disgust	0.586
pornography	pònografi	disgust	0.586
dreadful	grangou	disgust	0.586
deteriorated	deteryore	disgust	0.586
appalling	terifyan	disgust	0.586
unfaithful	enfidèl	disgust	0.578
rash	gratèl	disgust	0.578
humiliating	imilyan	disgust	0.578
ruinous	kraze	disgust	0.578
squeamish	prese	disgust	0.578
offensive	ofansif	disgust	0.578
conspirator	konspiratè	disgust	0.578
larceny	larenn	disgust	0.578
debauchery	debòch	disgust	0.578
mangle	mangle	disgust	0.578
flea	avyon	disgust	0.578
hypocrite	ipokrit	disgust	0.578
retard	retade	disgust	0.578
fiend	fiend	disgust	0.578
sick	malad	disgust	0.578
quagmire	quagmire	disgust	0.578
expulsion	ekspilsyon	disgust	0.578
treacherous	trèt	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	krache	disgust	0.570
devastating	devastatè	disgust	0.570
bastard	bata	disgust	0.570
messy	dezòdone	disgust	0.570
flog	baton	disgust	0.570
egregious	étranjé	disgust	0.570
swamp	marekaj	disgust	0.570
oppress	peze	disgust	0.570
despise	meprize	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	sèpan	disgust	0.570
snake	koulèv	disgust	0.562
terrible	terib	disgust	0.562
awful	terib	disgust	0.562
harmful	danjere	disgust	0.562
insanity	foli	disgust	0.562
indecent	endesan	disgust	0.562
sordid	sordid	disgust	0.562
loo	loo	disgust	0.562
scoundrel	tronpe	disgust	0.562
enemy	lènmi	disgust	0.562
stealing	vòlè	disgust	0.562
alcoholism	alkòl	disgust	0.562
humiliation	imilyasyon	disgust	0.562
ruthless	san pitye	disgust	0.562
sloppy	sloppy	disgust	0.562
tyrannical	tirannik	disgust	0.562
harlot	jennès	disgust	0.562
sinning	fè peche	disgust	0.562
robbery	vòlè	disgust	0.555
insufferable	insuportabl	disgust	0.555
arsenic	asenik	disgust	0.555
bloody	san	disgust	0.555
