word	Slovak-sk	emotion	emotion-intensity-score
counsellor	poradca	anger	0.059
trumpet	trúbka	anger	0.059
birthplace	rodisko	anger	0.051
ribbon	stuha	anger	0.047
youth	mladosti	anger	0.045
vote	hlasovanie	anger	0.045
cash	peňažný	anger	0.039
wannasleep	NO TRANSLATION	anger	0.031
dame	dáma	anger	0.030
waffle	vafle	anger	0.030
buffet	bufet	anger	0.029
celebrity	osobnosť	anger	0.026
autocorrect	opravy	anger	0.015
sisterhood	sesterstva	anger	0.015
musical	hudobné	anger	0.011
tree	strom	anger	0.000
anticipation	očakávania	anticipation	0.859
excited	vzrušený	anticipation	0.859
anticipate	predbiehať	anticipation	0.820
excitement	vzrušenie	anticipation	0.820
eagerness	dychtivosť	anticipation	0.812
exciting	vzrušujúce	anticipation	0.797
expectant	čakajúci	anticipation	0.789
thrilling	vzrušujúce	anticipation	0.781
hope	nádej	anticipation	0.773
quest	pátranie	anticipation	0.766
expectance	očakávania	anticipation	0.750
countdown	odpočítavanie	anticipation	0.750
start	štart	anticipation	0.750
anticipatory	predbežný	anticipation	0.750
adventure	dobrodružstvo	anticipation	0.750
eager	dychtivý	anticipation	0.742
climax	vyvrcholenie	anticipation	0.742
excite	rozčúliť	anticipation	0.742
prophecy	proroctvo	anticipation	0.742
arouse	vzbudiť	anticipation	0.742
expect	očakávať	anticipation	0.742
birth	pôrod	anticipation	0.734
ejaculation	ejakulácia	anticipation	0.734
announcement	oznámenia	anticipation	0.734
liberation	oslobodenie	anticipation	0.727
urgent	naliehavý	anticipation	0.727
expecting	čaká	anticipation	0.727
expectancy	očakávania	anticipation	0.727
imminent	hroziacej	anticipation	0.727
aspire	túžiť	anticipation	0.719
prospect	vyhliadka	anticipation	0.719
trepidation	chvenie	anticipation	0.719
reunion	konštatovanie	anticipation	0.719
prospection	prospekce	anticipation	0.719
voyage	plavba	anticipation	0.719
mystery	tajomstvo	anticipation	0.711
journey	cesta	anticipation	0.711
kiss	bozk	anticipation	0.711
enthusiasm	nadšenie	anticipation	0.711
suspense	napätie	anticipation	0.711
ecstasy	extázy	anticipation	0.711
rapture	vytrhnutiu	anticipation	0.711
yearning	túžba	anticipation	0.711
urgency	naliehavosť	anticipation	0.703
destination	destinácia	anticipation	0.703
frantic	zúrivý	anticipation	0.703
excitation	podráždenie	anticipation	0.703
thrill	vzrušenie	anticipation	0.703
prospective	budúca	anticipation	0.703
hopeful	nádejný	anticipation	0.703
lottery	lotérie	anticipation	0.703
progress	pokrok	anticipation	0.703
tantalizing	vzrušujúce	anticipation	0.703
advance	záloha	anticipation	0.695
explore	preskúmať	anticipation	0.695
liberate	oslobodiť	anticipation	0.695
readiness	pripravenosť	anticipation	0.695
hurry	ponáhľať	anticipation	0.695
arrival	prílet	anticipation	0.695
vacation	dovolenka	anticipation	0.695
expectation	očakávania	anticipation	0.695
sex	sex	anticipation	0.695
achievement	úspech	anticipation	0.695
prediction	predpoveď	anticipation	0.695
allure	lákať	anticipation	0.688
ecstatic	extatickom	anticipation	0.688
approaching	blíži	anticipation	0.688
uprising	povstanie	anticipation	0.680
honeymoon	medové týždne	anticipation	0.680
roulette	ruleta	anticipation	0.680
crescendo	crescendo	anticipation	0.672
holiday	dovolenka	anticipation	0.672
wishful	túžobný	anticipation	0.672
celebrating	oslavuje	anticipation	0.672
waiting	čakania	anticipation	0.664
winnings	výhry	anticipation	0.664
orgasm	orgazmus	anticipation	0.664
winning	víťazný	anticipation	0.664
impending	hroziacej	anticipation	0.664
invitation	pozvánka	anticipation	0.664
rescue	záchrana	anticipation	0.664
craving	túžba	anticipation	0.664
triumph	triumf	anticipation	0.664
celebration	slávnosť	anticipation	0.656
victory	víťazstvo	anticipation	0.656
aspiring	ctižiadostivý	anticipation	0.656
gain	zisk	anticipation	0.656
jackpot	jackpot	anticipation	0.656
marriage	manželstvo	anticipation	0.656
strive	usilovať	anticipation	0.656
bridegroom	ženích	anticipation	0.656
reward	odmena	anticipation	0.656
fortune	šťastie	anticipation	0.656
bridal	svadobné	anticipation	0.656
courtship	pytačky	anticipation	0.656
treasure	poklad	anticipation	0.648
opportunity	príležitosť	anticipation	0.648
intrigue	Intriga	anticipation	0.648
delivery	dodávka	anticipation	0.648
alertness	ostražitosť	anticipation	0.648
aspiration	ašpirácie	anticipation	0.648
inheritance	dedičstvo	anticipation	0.648
rising	stúpajúca	anticipation	0.648
tomorrow	zajtra	anticipation	0.648
prescient	jasnozrivý	anticipation	0.648
crowning	vrcholný	anticipation	0.648
revolution	revolúcia	anticipation	0.641
erotic	erotický	anticipation	0.641
spectacular	okázalý	anticipation	0.641
anxious	úzkostlivý	anticipation	0.641
expedition	expedície	anticipation	0.641
possibility	možnosť	anticipation	0.641
launch	odpálenie	anticipation	0.641
bride	nevesta	anticipation	0.641
celebrated	preslávený	anticipation	0.641
prognosis	prognóza	anticipation	0.641
engaged	zasnúbený	anticipation	0.641
reckoning	počítanie	anticipation	0.641
award	udeliť	anticipation	0.641
happiness	šťastie	anticipation	0.641
hype	humbuk	anticipation	0.641
receiving	prijímanie	anticipation	0.641
curious	zvedavý	anticipation	0.633
succeed	mať úspech	anticipation	0.633
birthday	narodeniny	anticipation	0.633
graduation	promócie	anticipation	0.633
beware	pozor	anticipation	0.633
vision	videnie	anticipation	0.633
passionate	vášnivý	anticipation	0.633
delight	potešenie	anticipation	0.633
destiny	osud	anticipation	0.633
ominous	skazonosný	anticipation	0.633
coming	príchod	anticipation	0.633
await	očakávať	anticipation	0.633
passion	vášeň	anticipation	0.633
firstborn	prvorodený	anticipation	0.633
captivate	upútať	anticipation	0.633
prepare	pripraviť	anticipation	0.633
miracle	zázrak	anticipation	0.633
triumphant	triumfálny	anticipation	0.625
lust	chtíč	anticipation	0.625
retirement	odchod do dôchodku	anticipation	0.625
escape	uniknúť	anticipation	0.625
gift	darček	anticipation	0.625
inspiration	inšpirácie	anticipation	0.625
optimism	optimizmus	anticipation	0.625
foresee	predvídať	anticipation	0.625
ripen	dozrieť	anticipation	0.625
revival	oživenie	anticipation	0.625
embrace	objatie	anticipation	0.617
risky	riskantné	anticipation	0.617
ambition	ctižiadosť	anticipation	0.617
simmering	tlejúcich	anticipation	0.617
surprisingly	prekvapivo	anticipation	0.617
verge	okruh	anticipation	0.617
enchanting	očarujúce	anticipation	0.617
bloom	kvet	anticipation	0.617
foresight	prezieravosť	anticipation	0.617
foreboding	predtucha	anticipation	0.617
destined	určený	anticipation	0.617
succeeding	darí	anticipation	0.609
magical	kúzelný	anticipation	0.609
bonus	prémia	anticipation	0.609
lookout	dávaj pozor	anticipation	0.609
matrimony	manželstvo	anticipation	0.609
alerts	výstrahy	anticipation	0.609
anxiety	úzkosť	anticipation	0.609
seductive	zvodný	anticipation	0.609
forecast	predpoveď	anticipation	0.609
intended	zamýšľaný	anticipation	0.602
inspire	inšpirovať	anticipation	0.602
diagnosis	diagnóza	anticipation	0.602
visionary	vizionár	anticipation	0.602
nervous	Nervózny	anticipation	0.602
deserve	zaslúžiť	anticipation	0.602
fulfillment	splnenie	anticipation	0.602
picnic	piknik	anticipation	0.602
applicant	žiadateľ	anticipation	0.602
foreseen	predpokladaný	anticipation	0.602
entertaining	zábavný	anticipation	0.602
revenge	pomsta	anticipation	0.602
success	úspech	anticipation	0.602
prophetic	prorocký	anticipation	0.602
winner	víťaz	anticipation	0.602
longing	túžobný	anticipation	0.602
boomerang	bumerang	anticipation	0.602
result	výsledok	anticipation	0.594
accelerate	urýchliť	anticipation	0.594
buzz	bzučať	anticipation	0.594
acquiring	získavanie	anticipation	0.594
marry	oženiť	anticipation	0.594
illuminate	osvetliť	anticipation	0.594
romance	romance	anticipation	0.594
rekindle	oživiť	anticipation	0.594
luck	šťastie	anticipation	0.594
advent	príchod	anticipation	0.594
preparedness	pripravenosť	anticipation	0.594
momentum	spád	anticipation	0.594
arrive	prísť	anticipation	0.594
predict	predpovedať	anticipation	0.589
sequel	pokračovanie	anticipation	0.586
money	peniaze	anticipation	0.586
endeavor	usilovať	anticipation	0.586
auspices	záštita	anticipation	0.586
fiesta	slávnosť	anticipation	0.586
raffle	tombola	anticipation	0.586
preparation	príprava	anticipation	0.586
uplift	zdvíhanie	anticipation	0.586
investigation	vyšetrovanie	anticipation	0.586
gambling	Karban	anticipation	0.586
delightful	lahodný	anticipation	0.586
enjoying	teší	anticipation	0.586
seek	usilovať	anticipation	0.586
impatient	netrpezlivý	anticipation	0.586
overdue	oneskorený	anticipation	0.586
crave	dožadovať sa	anticipation	0.586
flirt	flirtovať	anticipation	0.586
enthusiast	nadšenec	anticipation	0.586
presumption	predpoklad	anticipation	0.586
immerse	ponoriť	anticipation	0.586
progression	postup	anticipation	0.586
experiment	experiment	anticipation	0.580
inviting	lákavý	anticipation	0.578
precarious	riskantné	anticipation	0.578
blessing	požehnanie	anticipation	0.578
harvest	žatvy	anticipation	0.578
transcendence	dokonalosť	anticipation	0.578
heavenly	nebeský	anticipation	0.578
attainable	dosiahnuteľný	anticipation	0.578
enjoy	Užite si to	anticipation	0.578
divination	veštenie	anticipation	0.578
excavation	vyhĺbenie	anticipation	0.578
healing	liečenie	anticipation	0.578
majestic	majestátne	anticipation	0.578
clamor	krik	anticipation	0.578
thirst	smäd	anticipation	0.578
remedy	liek	anticipation	0.578
prosper	prosperovať	anticipation	0.578
risk	nebezpečenstvo	anticipation	0.578
angling	rybárčenie	anticipation	0.578
completing	absolvovaní	anticipation	0.578
thriving	prosperujúce	anticipation	0.578
zest	říz	anticipation	0.570
tease	vtipálek	anticipation	0.570
matchmaker	dohadzovač	anticipation	0.570
prospectively	výhľadovo	anticipation	0.570
restlessness	roztržitosť	anticipation	0.570
sweetheart	miláčik	anticipation	0.570
emancipation	emancipácia	anticipation	0.570
ultimate	konečný	anticipation	0.570
invite	vyzvať	anticipation	0.570
gambler	hazardný hráč	anticipation	0.570
dare	odvážiť sa	anticipation	0.570
plan	plán	anticipation	0.570
magnificence	veľkoleposť	anticipation	0.570
warned	varoval	anticipation	0.570
finally	konečne	anticipation	0.570
intimate	intímne	anticipation	0.570
omen	omen	anticipation	0.570
attempt	pokus	anticipation	0.562
forewarned	varovaná	anticipation	0.562
fun	zábava	anticipation	0.562
festival	festival	anticipation	0.562
trophy	trofej	anticipation	0.562
rejoice	radovať sa	anticipation	0.562
fanfare	fanfára	anticipation	0.562
predilection	záľuba	anticipation	0.562
exalt	povýšiť	anticipation	0.562
parade	sprievod	anticipation	0.562
enchant	očarovať	anticipation	0.562
independence	nezávislosť	anticipation	0.562
expose	vystaviť	anticipation	0.562
immortality	nesmrteľnosť	anticipation	0.562
expected	očakávaný	anticipation	0.562
mysterious	tajomný	anticipation	0.562
hypothesis	hypotéza	anticipation	0.562
accolade	vyznamenanie	anticipation	0.562
lover	milovník	anticipation	0.562
quicken	zrýchliť	anticipation	0.562
champion	majster	anticipation	0.562
lovely	pôvabný	anticipation	0.555
rejoicing	veselí	anticipation	0.555
grasping	chamtivý	anticipation	0.555
grow	rásť, pestovať	anticipation	0.555
curiosity	zvedavosť	anticipation	0.555
splendor	nádhera	anticipation	0.555
salvation	spása	anticipation	0.555
happy	šťasný	anticipation	0.555
oracle	veštec	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	rozvinúť	anticipation	0.555
boisterous	búrlivý	anticipation	0.555
liberty	sloboda	anticipation	0.555
heroism	hrdinstvo	anticipation	0.555
feeling	pocit	anticipation	0.555
shopping	nakupovanie	anticipation	0.555
fate	osud	anticipation	0.555
uneasiness	nepokoj	anticipation	0.555
speculative	špekulatívne	anticipation	0.555
changeable	premenlivý	anticipation	0.547
recreational	rekreačné	anticipation	0.547
pray	modliť sa	anticipation	0.547
warn	varovať	anticipation	0.547
suspicious	podozrivý	anticipation	0.547
convergence	konvergencie	anticipation	0.547
incite	podnecovať	anticipation	0.547
agape	s ústami dokorán	anticipation	0.547
morrow	zajtrajšok	anticipation	0.547
abundance	hojnosť	anticipation	0.547
delighted	potešený	anticipation	0.547
resultant	výsledný	anticipation	0.547
hungry	hladný	anticipation	0.547
monetary	peňažný	anticipation	0.547
vote	hlasovanie	anticipation	0.547
glory	sláva	anticipation	0.547
glimmer	záblesk	anticipation	0.547
apprehensive	chápavý	anticipation	0.547
sorcery	čarodejníctvo	anticipation	0.547
bountiful	štedrý	anticipation	0.547
leisure	voľný čas	anticipation	0.547
probability	pravdepodobnosť	anticipation	0.547
auction	aukcie	anticipation	0.539
hunting	poľovníctvo	anticipation	0.539
contingent	kontingent	anticipation	0.539
hankering	toužení	anticipation	0.539
sensual	zmyselný	anticipation	0.539
blessings	požehnania	anticipation	0.539
ballot	hlasovanie	anticipation	0.539
grandchildren	vnúčatá	anticipation	0.539
entertainment	zábava	anticipation	0.539
vindication	ospravedlnenie	anticipation	0.539
worrying	znepokojujúce	anticipation	0.539
tempest	búrka	anticipation	0.539
inquiry	dotaz	anticipation	0.539
merge	zlúčiť	anticipation	0.539
exceed	prekročiť	anticipation	0.539
bounty	štedrosť	anticipation	0.539
glad	rád	anticipation	0.536
magnificent	veľkolepý	anticipation	0.531
feat	výkon	anticipation	0.531
stealthy	kradmý	anticipation	0.531
cheer	potešiť	anticipation	0.531
spirits	nálada	anticipation	0.531
visitor	návštevník	anticipation	0.531
appeal	odvolanie	anticipation	0.531
forming	formujúce	anticipation	0.531
hurried	uponáhľaný	anticipation	0.531
responsive	citlivý	anticipation	0.531
virginity	panenstvo	anticipation	0.531
deliverance	vyslobodenie	anticipation	0.531
betrothed	zasnúbený	anticipation	0.531
overthrow	zvrhnutie	anticipation	0.531
harbinger	hlásateľ	anticipation	0.531
raving	nepríčetný	anticipation	0.531
celestial	nebeský	anticipation	0.531
dread	děs	anticipation	0.531
germination	klíčenie	anticipation	0.523
preparatory	prípravný	anticipation	0.523
pleasant	príjemný	anticipation	0.523
watch	hodinky	anticipation	0.523
prophet	prorok	anticipation	0.523
prognostic	prognostický	anticipation	0.523
haste	spech	anticipation	0.523
planning	plánovanie	anticipation	0.523
importance	dôležitosť	anticipation	0.523
radiance	žiara	anticipation	0.523
prevail	prevládať	anticipation	0.523
cheery	radostný	anticipation	0.523
competition	súťaž	anticipation	0.523
ultimately	nakoniec	anticipation	0.523
revive	oživiť	anticipation	0.523
beaming	rozžiarený	anticipation	0.523
wait	počkať	anticipation	0.523
child	dieťa	anticipation	0.523
notification	oznámenia	anticipation	0.523
hunter	lovec	anticipation	0.523
explosive	výbušný	anticipation	0.523
endanger	ohroziť	anticipation	0.516
time	čas	anticipation	0.516
recreation	rekreácia	anticipation	0.516
renovation	renovácie	anticipation	0.516
precious	vzácny	anticipation	0.516
begun	Začatie	anticipation	0.516
loom	tkáčsky stav	anticipation	0.516
compensate	kompenzovať	anticipation	0.516
treat	zaobchádzať	anticipation	0.516
uncontrollable	neovládateľný	anticipation	0.516
present	prítomný	anticipation	0.516
salary	plat	anticipation	0.516
celebrity	osobnosť	anticipation	0.516
owing	nezaplatený	anticipation	0.516
chocolate	čokoláda	anticipation	0.516
caution	opatrnosť	anticipation	0.516
fermentation	kvasenie	anticipation	0.516
sensuality	zmyselnosť	anticipation	0.516
wilderness	divokosť	anticipation	0.508
signify	znamenať	anticipation	0.508
transitional	prechodný	anticipation	0.508
intermission	prestávka	anticipation	0.508
contemplation	rozjímanie	anticipation	0.508
vigilance	bdelosť	anticipation	0.508
commemoration	spomienková slávnosť	anticipation	0.508
practise	praxe	anticipation	0.508
cue	tágo	anticipation	0.508
infant	nemluvňa	anticipation	0.508
dreadful	príšerný	anticipation	0.508
perfection	dokonalosť	anticipation	0.508
elevation	nadmorská výška	anticipation	0.508
prerequisite	predpoklad	anticipation	0.508
cultivate	pestovať	anticipation	0.508
horizon	horizont	anticipation	0.508
develop	vypracovať	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	plávanie	anticipation	0.500
attendance	prezencia	anticipation	0.500
nascent	vznikajúce	anticipation	0.500
favorable	priaznivý	anticipation	0.500
peril	nebezpečenstvo	anticipation	0.500
income	príjem	anticipation	0.500
ardent	žhavý	anticipation	0.500
commemorate	pripomenúť	anticipation	0.500
doomsday	súdny deň	anticipation	0.500
reconciliation	zmierenie	anticipation	0.500
utopian	utopické	anticipation	0.500
romantic	romantický	anticipation	0.500
unbridled	bezuzdný	anticipation	0.500
sunny	slnečno	anticipation	0.500
uphill	do kopca	anticipation	0.500
intuitively	intuitívne	anticipation	0.500
depart	odísť	anticipation	0.500
eventuality	možnosť	anticipation	0.500
puppy	šteňa	anticipation	0.500
zeal	nadšenie	anticipation	0.500
sneaking	postupný	anticipation	0.500
ready	pripravený	anticipation	0.500
advocacy	obhajoba	anticipation	0.500
airport	LETISKO	anticipation	0.500
litigate	viesť spor	anticipation	0.500
blindfold	páska	anticipation	0.500
undisclosed	neuverejnené	anticipation	0.500
young	mladý	anticipation	0.500
horoscope	horoskop	anticipation	0.500
invocation	invokácie	anticipation	0.500
calculation	kalkulácia	anticipation	0.500
hero	hrdina	anticipation	0.500
court	súd	anticipation	0.492
repay	splatiť	anticipation	0.492
improvise	improvizovať	anticipation	0.492
parole	čestné slovo	anticipation	0.492
worry	znepokojovať	anticipation	0.492
inauguration	inaugurácie	anticipation	0.492
gaping	zející	anticipation	0.492
youth	mladosti	anticipation	0.492
bless	požehnať	anticipation	0.492
defense	obrana	anticipation	0.492
heyday	rozkvet	anticipation	0.492
consequent	vyplývajúce	anticipation	0.492
proceeding	rokovania	anticipation	0.492
eventual	eventuálnej	anticipation	0.492
perspective	perspektíva	anticipation	0.492
restorative	posilňujúci	anticipation	0.492
undertaking	záväzok	anticipation	0.492
highest	najvyššiu	anticipation	0.491
duel	súboj	anticipation	0.484
unexplained	nevysvetlený	anticipation	0.484
tremor	tremor	anticipation	0.484
sharpen	brúsiť	anticipation	0.484
generosity	štedrosť	anticipation	0.484
voluptuous	zmyselný	anticipation	0.484
shortly	čoskoro	anticipation	0.484
vow	prísaha	anticipation	0.484
contagion	nákaza	anticipation	0.484
letter	písmeno	anticipation	0.484
happen	stať sa	anticipation	0.484
threaten	hroziť	anticipation	0.484
conjure	vykúzliť	anticipation	0.484
sparkle	trblietanie	anticipation	0.484
engulf	pohltiť	anticipation	0.484
god	boh	anticipation	0.484
correspondence	korešpondencia	anticipation	0.484
auspicious	nádejný	anticipation	0.484
princely	kniežací	anticipation	0.484
adore	uctievať	anticipation	0.477
enroll	zapísať	anticipation	0.477
determinate	určitý	anticipation	0.477
predispose	napred pripraviť	anticipation	0.477
clue	vodítko	anticipation	0.477
onset	počiatok	anticipation	0.477
powerful	mocný	anticipation	0.477
glorify	velebiť	anticipation	0.477
glow	žiara	anticipation	0.477
arbitration	arbitráž	anticipation	0.477
torture	mučenia	anticipation	0.477
gravitate	gravitovat	anticipation	0.477
cherish	opatrovať	anticipation	0.477
contemplate	zamýšľať	anticipation	0.477
submit	Predložiť	anticipation	0.477
perilous	nebezpečný	anticipation	0.477
unification	zjednotenie	anticipation	0.477
score	skóre	anticipation	0.477
medal	medaily	anticipation	0.477
glide	kĺzať	anticipation	0.477
recipient	príjemcu	anticipation	0.477
accompaniment	sprievod	anticipation	0.477
praiseworthy	chvályhodný	anticipation	0.473
providing	ak	anticipation	0.469
motion	pohyb	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	opatrný	anticipation	0.469
cash	peňažný	anticipation	0.469
precursor	predchodca	anticipation	0.469
opera	opera	anticipation	0.469
elite	elita	anticipation	0.469
pry	sliediť	anticipation	0.469
hire	najať	anticipation	0.469
sweets	cukroví	anticipation	0.469
star	hviezda	anticipation	0.469
unsurpassed	neprekonaný	anticipation	0.469
successful	úspešný	anticipation	0.469
unknown	nevedno	anticipation	0.469
immediately	bezodkladne	anticipation	0.469
starry	hviezdicovitá	anticipation	0.469
production	výroba	anticipation	0.469
football	futbal	anticipation	0.469
completion	absolvovaní	anticipation	0.469
scare	vydesiť	anticipation	0.469
invoke	vzývať	anticipation	0.469
shaky	neistý	anticipation	0.469
dawn	svitania	anticipation	0.469
creeping	postupný	anticipation	0.469
cheerfulness	veselí	anticipation	0.461
soundness	dôkladnosť	anticipation	0.461
mail	pošta	anticipation	0.461
draft	návrh	anticipation	0.461
preliminary	predbežný	anticipation	0.461
friendly	priateľský	anticipation	0.461
commemorative	pamätné	anticipation	0.461
extricate	vyslobodiť	anticipation	0.461
alive	nažive	anticipation	0.461
untold	nevýslovný	anticipation	0.461
overture	predohra	anticipation	0.461
excel	vynikať	anticipation	0.461
plight	vážna situácia	anticipation	0.461
synchronize	synchronizovať	anticipation	0.461
punt	pramice	anticipation	0.461
sanctuary	svätyne	anticipation	0.461
brilliant	brilantný	anticipation	0.461
pay	platiť	anticipation	0.461
shining	lesklý	anticipation	0.461
regatta	regata	anticipation	0.461
testament	testament	anticipation	0.461
jeopardy	ohrozenie	anticipation	0.461
perpetuity	večnosť	anticipation	0.453
elegance	elegancia	anticipation	0.453
career	kariéra	anticipation	0.453
basketball	basketball	anticipation	0.453
intimately	dôverne	anticipation	0.453
renovate	renovovať	anticipation	0.453
supremacy	nadvláda	anticipation	0.453
infinity	nekonečno	anticipation	0.453
unexpected	neočakávaný	anticipation	0.453
flinch	cúvnuť	anticipation	0.453
complement	doplnok	anticipation	0.453
prologue	prológ	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	prevencia	anticipation	0.453
improve	zdokonaliť	anticipation	0.453
sunset	západ slnka	anticipation	0.453
inaugural	inauguračnú	anticipation	0.453
rehabilitation	rehabilitácia	anticipation	0.453
fitting	vybavenie	anticipation	0.445
surround	obklopiť	anticipation	0.445
share	zdieľam	anticipation	0.445
epidemic	epidémie	anticipation	0.445
sweet	sladký	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	zatajenie	anticipation	0.445
confidence	dôvera	anticipation	0.445
perfect	perfektný	anticipation	0.445
sun	slnko	anticipation	0.445
veracity	pravdovravnosť	anticipation	0.445
volunteer	dobrovoľník	anticipation	0.445
conjecture	dohad	anticipation	0.445
medical	lekársky	anticipation	0.438
prepared	pripravený	anticipation	0.438
superstitious	poverčivý	anticipation	0.438
reconstruction	rekonštrukcia	anticipation	0.438
tickle	šteklenie	anticipation	0.438
faith	viera	anticipation	0.438
passenger	cestujúci	anticipation	0.438
saint	svätec	anticipation	0.438
respect	rešpekt	anticipation	0.438
rabid	spupný	anticipation	0.438
reconstruct	rekonštruovať	anticipation	0.438
recombination	rekombinácie	anticipation	0.438
devout	zbožný	anticipation	0.438
goodness	dobrota	anticipation	0.438
angel	anjel	anticipation	0.438
ferment	kvas	anticipation	0.438
plea	námietka	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	sériový	anticipation	0.438
conservation	konzervácia	anticipation	0.438
serenity	vyrovnanosť	anticipation	0.430
tabulate	sploštiť	anticipation	0.430
install	inštalovať	anticipation	0.430
labyrinth	labyrint	anticipation	0.430
venerable	ctihodný	anticipation	0.430
perpetuate	zvečniť	anticipation	0.430
strategist	stratég	anticipation	0.430
unverified	neoverený	anticipation	0.430
tribunal	tribunál	anticipation	0.430
charitable	charitatívne	anticipation	0.430
luscious	lahodný	anticipation	0.430
spa	kúpele	anticipation	0.430
peace	mier	anticipation	0.430
clap	tlieskanie	anticipation	0.430
conspirator	spiklenec	anticipation	0.422
forestall	predísť	anticipation	0.422
patience	trpezlivosť	anticipation	0.422
oasis	oáza	anticipation	0.422
grin	úsmev	anticipation	0.422
revere	ctiť	anticipation	0.422
worship	uctievanie	anticipation	0.422
vista	priehľad	anticipation	0.422
laughter	smiech	anticipation	0.422
volatility	prchavosť	anticipation	0.422
adrift	nezakotvený	anticipation	0.422
candid	úprimný	anticipation	0.422
edification	poučenie	anticipation	0.422
unresolved	nevyriešený	anticipation	0.422
peaceful	pokojný	anticipation	0.422
recognizable	poznateľný	anticipation	0.422
calls	volá	anticipation	0.414
weigh	vážiť	anticipation	0.414
probation	skúška	anticipation	0.414
proficiency	zručnosť	anticipation	0.414
morn	ráno	anticipation	0.414
craps	craps	anticipation	0.414
detainee	väzeň	anticipation	0.414
mediate	sprostredkujúci	anticipation	0.414
continue	ďalej	anticipation	0.414
astrologer	astrológ	anticipation	0.414
punctual	presný	anticipation	0.414
ordination	vysvätenia	anticipation	0.414
pretty	pekný	anticipation	0.414
thought	myšlienka	anticipation	0.414
grant	udeliť	anticipation	0.414
withstand	vydržať	anticipation	0.414
frisky	skotačivý	anticipation	0.414
ongoing	pokračujúce	anticipation	0.414
sing	spievať	anticipation	0.411
long	dlho	anticipation	0.406
confession	vyznanie	anticipation	0.406
headlight	svetlomet	anticipation	0.406
prophylactic	profylaktický	anticipation	0.406
mother	matka	anticipation	0.406
debenture	dlhopis	anticipation	0.406
wizard	čarodejník	anticipation	0.406
university	univerzitnú	anticipation	0.406
proud	hrdý	anticipation	0.406
midwife	pôrodná asistentka	anticipation	0.406
banquet	banket	anticipation	0.406
continuation	pokračovanie	anticipation	0.406
navigable	splavný	anticipation	0.406
punished	potrestaný	anticipation	0.406
chicane	zlosť	anticipation	0.406
comfort	pohodlie	anticipation	0.406
opponent	protivník	anticipation	0.406
subscribe	predplatiť	anticipation	0.406
outdo	predčiť	anticipation	0.406
nurture	živiť	anticipation	0.406
twinkle	Okamih	anticipation	0.406
deal	obchod	anticipation	0.402
efficient	účinný	anticipation	0.398
representing	predstavujúce	anticipation	0.398
simmer	vrieť	anticipation	0.398
symphony	symfónia	anticipation	0.398
judiciary	súdnictvo	anticipation	0.398
obliging	ochotný	anticipation	0.398
saintly	svätý	anticipation	0.398
vigil	bdenia	anticipation	0.398
death	úmrtia	anticipation	0.398
distracting	rozptyľujúce	anticipation	0.398
mortification	umŕtvovaní	anticipation	0.398
balm	balzam	anticipation	0.398
guillotine	gilotína	anticipation	0.398
top	top	anticipation	0.398
lettered	sčítaný	anticipation	0.398
reliance	spoľahnutie	anticipation	0.398
poke	strčiť	anticipation	0.391
unfulfilled	nesplnený	anticipation	0.391
assurance	uistenie	anticipation	0.391
condemnation	odsúdenie	anticipation	0.391
undoubted	nepochybný	anticipation	0.391
diplomacy	diplomacia	anticipation	0.391
familiarity	oboznámenosť	anticipation	0.391
antidote	protijed	anticipation	0.391
chuckle	chichot	anticipation	0.391
objective	objektívny	anticipation	0.391
maternal	materský	anticipation	0.391
abeyance	suspenzie	anticipation	0.391
art	umenie	anticipation	0.391
linger	prodleva	anticipation	0.391
trust	dôvera	anticipation	0.391
depraved	spustnutý	anticipation	0.391
sanctify	posvätiť	anticipation	0.391
inoculation	očkovanie	anticipation	0.384
chant	chorál	anticipation	0.383
banger	petarda	anticipation	0.383
playground	detské ihrisko	anticipation	0.383
failing	nedostatok	anticipation	0.383
ship	loď	anticipation	0.383
hymn	hymnus	anticipation	0.383
simplify	zjednodušiť	anticipation	0.383
ram	baran	anticipation	0.383
labor	práce	anticipation	0.383
discretion	diskrétnosť	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	dobrý	anticipation	0.383
scientist	vedec	anticipation	0.383
undecided	nerozhodný	anticipation	0.383
humanitarian	humanitárna	anticipation	0.383
depend	závisieť	anticipation	0.383
dutiful	svedomitý	anticipation	0.383
clock	hodiny	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	vrch	anticipation	0.375
savor	nádych	anticipation	0.375
recurrent	opakujúci	anticipation	0.375
interim	dočasnej	anticipation	0.375
navigator	navigátor	anticipation	0.375
gradual	postupný	anticipation	0.375
interminable	nekonečný	anticipation	0.375
track	stopa	anticipation	0.375
public	verejnosť	anticipation	0.375
cradle	kolíska	anticipation	0.375
concealed	skrytá	anticipation	0.367
lesson	lekcie	anticipation	0.367
instructions	inštrukcie	anticipation	0.367
shiver	zachvenie	anticipation	0.367
musical	hudobné	anticipation	0.367
