word	Slovenian-sl	emotion	emotion-intensity-score
denying	zanikanje	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	neobjavljeno	anticipation	0.312
analyst	analitik	anticipation	0.312
grim	mračno	anticipation	0.312
church	cerkev	anticipation	0.312
priesthood	duhovništvo	anticipation	0.305
mill	mlin	anticipation	0.305
judicial	sodni	anticipation	0.305
broadside	širše	anticipation	0.305
tributary	pritok	anticipation	0.297
cap	pokrovček	anticipation	0.297
thermocouple	termoelement	anticipation	0.297
dismay	razburjaj	anticipation	0.297
instructor	inštruktor	anticipation	0.297
saliva	slina	anticipation	0.297
exhaustion	izčrpanost	anticipation	0.297
bruise	modrica	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	brezdomci	anticipation	0.289
visor	vizir	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	omrežje	anticipation	0.289
shackle	skodelico	anticipation	0.289
addresses	naslovi	anticipation	0.289
noncompliance	neupoštevanje	anticipation	0.289
cataract	katarakta	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	astronom	anticipation	0.281
neighbor	sosed	anticipation	0.281
holiness	svetost	anticipation	0.273
devil	Hudič	anticipation	0.273
cream	krema	anticipation	0.273
picket	picket	anticipation	0.273
latent	latenten	anticipation	0.273
immaturity	nezrelost	anticipation	0.273
sentence	stavka	anticipation	0.273
neighborhood	soseska	anticipation	0.266
morals	morale	anticipation	0.266
lull	zaspani	anticipation	0.266
habitual	navadno	anticipation	0.266
weight	utež	anticipation	0.258
bye	zdravo	anticipation	0.258
forearm	podlaket	anticipation	0.250
clown	klovn	anticipation	0.250
organ	organ	anticipation	0.250
quote	kvota	anticipation	0.242
commonplace	običajno	anticipation	0.242
dictatorship	diktatura	anticipation	0.234
board	tabla	anticipation	0.234
white	bela	anticipation	0.234
treadmill	tekalna tirnica	anticipation	0.234
rail	železnica	anticipation	0.234
sundial	sončna ura	anticipation	0.227
tree	drevo	anticipation	0.227
paralysis	paraliza	anticipation	0.211
worm	črv	anticipation	0.203
organization	organizacija	anticipation	0.203
cement	cement	anticipation	0.203
lagging	zaostajajo	anticipation	0.180
neutral	nevtralen	anticipation	0.148
cannibalism	kanibalizem	disgust	0.953
mutilation	pohabljanje	disgust	0.930
molestation	zloraba	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonoreja	disgust	0.906
rape	posilstvo	disgust	0.906
cannibal	kanibal	disgust	0.898
rot	gnilobe	disgust	0.891
corpse	trupla	disgust	0.883
massacre	pokol	disgust	0.883
excrement	iztrebki	disgust	0.883
slaughter	zakol	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	klavnice	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	kanalizacija	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	prst	disgust	0.859
bigot	bigot	disgust	0.859
infestation	okužba	disgust	0.852
plague	kuga	disgust	0.852
bloodthirsty	krvoločno	disgust	0.852
holocaust	holokavst	disgust	0.852
rotting	gnitje	disgust	0.844
maggot	maggot	disgust	0.844
feces	iztrebki	disgust	0.844
fecal	fekal	disgust	0.844
murder	umor	disgust	0.839
infanticide	infanticide	disgust	0.836
homicide	umor	disgust	0.836
asshole	kreten	disgust	0.836
enslaved	zasužnjen	disgust	0.836
gore	gore	disgust	0.828
perverted	perverzni	disgust	0.828
torture	mučenje	disgust	0.828
slaughtering	zakol	disgust	0.828
excretion	izločanje	disgust	0.828
contaminate	kontaminirati	disgust	0.821
murderer	morilec	disgust	0.820
gory	krava	disgust	0.820
repugnant	odvratni	disgust	0.820
desecration	skrunjenje	disgust	0.820
grotesque	groteskno	disgust	0.820
revolting	revoltiranje	disgust	0.820
diarrhoea	driska	disgust	0.820
manure	gnoj	disgust	0.820
terrorist	terorista	disgust	0.820
shit	sranje	disgust	0.820
pervert	pervert	disgust	0.820
slavery	suženjstvo	disgust	0.812
faeces	blato	disgust	0.812
sewer	kanalizacija	disgust	0.812
vomit	bruhanje	disgust	0.812
manslaughter	uboj	disgust	0.812
dismemberment	razčlenjevanje	disgust	0.812
cadaver	kadaver	disgust	0.812
hemorrhage	krvavitev	disgust	0.805
repulsive	odvraten	disgust	0.805
perverse	perverznost	disgust	0.805
filthy	prljavo	disgust	0.797
sewage	kanalizacija	disgust	0.797
depravity	odvratnost	disgust	0.797
diseased	obolelih	disgust	0.797
carcass	trup	disgust	0.795
decompose	razgraditi	disgust	0.789
vermin	škodljivec	disgust	0.789
puke	puke	disgust	0.789
parasite	parazit	disgust	0.789
horrific	grozno	disgust	0.789
gruesome	grozno	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	pohabljen	disgust	0.789
murderous	morilec	disgust	0.789
decayed	razpadlo	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	napenjanje	disgust	0.781
monstrosity	pošast	disgust	0.781
carnage	pokolja	disgust	0.781
pestilence	kuga	disgust	0.781
malaria	malarija	disgust	0.781
crap	sranje	disgust	0.781
toxic	strupeno	disgust	0.773
loathsome	Grozljivo	disgust	0.773
insidious	pokvaren	disgust	0.773
leprosy	gobavost	disgust	0.773
morgue	mrtvašnica	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	kurba	disgust	0.766
cruel	kruto	disgust	0.766
repugnance	odvratnost	disgust	0.766
revulsion	odvratnost	disgust	0.766
xenophobia	ksenofobija	disgust	0.766
regurgitation	regurgitacija	disgust	0.766
anthrax	antraks	disgust	0.766
lynch	Linč	disgust	0.766
dissection	disekcija	disgust	0.759
canker	canker	disgust	0.758
cruelty	krutost	disgust	0.758
perversion	perverznost	disgust	0.758
evil	zlo	disgust	0.758
slum	slum	disgust	0.758
infectious	nalezljiv	disgust	0.758
mucous	sluz	disgust	0.758
phlegm	flegm	disgust	0.758
leeches	pijavke	disgust	0.750
decomposition	razgradnja	disgust	0.750
sinister	zloben	disgust	0.750
corrupting	pokvaril	disgust	0.750
demon	demon	disgust	0.742
stinking	smrdljiv	disgust	0.742
septic	septična	disgust	0.742
deranged	zmeden	disgust	0.742
bile	žolč	disgust	0.742
soiled	umazano	disgust	0.742
mucus	sluz	disgust	0.742
abhorrence	aborstanca	disgust	0.742
abomination	gnusoba	disgust	0.742
sickening	bolan	disgust	0.742
demonic	demonsko	disgust	0.742
foul	prekršek	disgust	0.734
obese	debel	disgust	0.734
sicken	bolan	disgust	0.734
degeneracy	degeneracijo	disgust	0.734
crucifixion	križanje	disgust	0.734
despicable	prezira	disgust	0.734
cancer	rak	disgust	0.734
atrocity	grozote	disgust	0.734
terrorism	terorizem	disgust	0.734
dirty	umazano	disgust	0.727
dysentery	dysentery	disgust	0.727
adultery	prešuštvo	disgust	0.727
contamination	kontaminacija	disgust	0.727
bacterium	bakterija	disgust	0.727
diabolical	diabolično	disgust	0.727
morbidity	obolevnost	disgust	0.727
grisly	Grozljivo	disgust	0.727
repulsion	odboj	disgust	0.727
enema	klistir	disgust	0.727
contagion	okužba	disgust	0.719
disfigured	zmešan	disgust	0.719
muck	Muck	disgust	0.719
lewd	neumni	disgust	0.719
garbage	smeti	disgust	0.719
autopsy	obdukcija	disgust	0.719
bowels	črevesja	disgust	0.719
gross	bruto	disgust	0.719
vulgar	vulgarno	disgust	0.719
barbaric	barbarski	disgust	0.719
disgust	gnus	disgust	0.719
vicious	začaran	disgust	0.719
entrails	notranjost	disgust	0.719
deterioration	poslabšanje	disgust	0.719
pungent	ostro	disgust	0.719
bloodshed	krvoproba	disgust	0.714
violent	nasilno	disgust	0.711
tyrant	tiran	disgust	0.711
poisoned	zastrupljen	disgust	0.711
pollute	onesnažiti	disgust	0.711
wretched	beden	disgust	0.711
nausea	slabost	disgust	0.711
mortification	grozenje	disgust	0.711
gag	gag	disgust	0.711
vulgarity	vulgarnost	disgust	0.703
disgusting	Odvratno	disgust	0.703
grope	grope	disgust	0.703
slut	kurba	disgust	0.703
poisoning	zastrupitev	disgust	0.703
depraved	odvraten	disgust	0.703
noxious	škodljiv	disgust	0.703
porn	pornografija	disgust	0.703
nasty	grdo	disgust	0.703
slimy	slim	disgust	0.703
despotism	despotizem	disgust	0.703
nauseate	pomirjati	disgust	0.703
secretion	izločanje	disgust	0.703
constipation	zaprtje	disgust	0.703
hateful	sovraštvo	disgust	0.703
grime	grime	disgust	0.703
measles	ošpice	disgust	0.696
contagious	nalezljivo	disgust	0.695
hellish	peklensko	disgust	0.695
waste	odpadki	disgust	0.695
suicidal	samomoril	disgust	0.695
abuse	zlorabe	disgust	0.695
hate	sovraštvo	disgust	0.695
wretch	nesreča	disgust	0.695
intestinal	črevesje	disgust	0.695
wart	bradavice	disgust	0.695
obesity	debelost	disgust	0.695
scum	žrebec	disgust	0.695
contaminated	kontaminirano	disgust	0.688
disease	bolezen	disgust	0.688
rabid	poln	disgust	0.688
ooze	izcedek	disgust	0.688
treason	izdaja	disgust	0.688
heartworm	srčni hormon	disgust	0.688
smut	strmina	disgust	0.688
cholera	kolera	disgust	0.680
deformed	deformiran	disgust	0.680
detest	odvratiti	disgust	0.680
bestial	bestial	disgust	0.680
sickness	bolezen	disgust	0.680
antichrist	antikrist	disgust	0.680
abhorrent	Odvratno	disgust	0.680
soulless	brez duše	disgust	0.680
freakish	čudaško	disgust	0.680
grimy	grimy	disgust	0.680
hatred	sovraštvo	disgust	0.680
pollution	onesnaževanje	disgust	0.680
germ	kalčki	disgust	0.680
abominate	oporekati	disgust	0.680
hell	hudiča	disgust	0.680
dilapidated	razpadajoče	disgust	0.672
dictatorship	diktatura	disgust	0.672
inhuman	nečloveško	disgust	0.672
greasy	mastno	disgust	0.672
hideous	odvraten	disgust	0.672
loathful	grdo	disgust	0.672
obscene	nespodobno	disgust	0.672
loathing	Odsotnost	disgust	0.672
cess	cess	disgust	0.670
devil	Hudič	disgust	0.664
heretic	heretika	disgust	0.664
nauseous	slabost	disgust	0.664
abominable	gnusno	disgust	0.664
deformity	deformiteta	disgust	0.664
deadly	smrtonosno	disgust	0.664
swine	svinja	disgust	0.664
discrimination	diskriminacija	disgust	0.664
masochism	mazohizem	disgust	0.664
poisonous	strupen	disgust	0.656
prejudiced	predsodkov	disgust	0.656
bacteria	bakterije	disgust	0.656
death	smrt	disgust	0.656
poison	strup	disgust	0.656
trash	smeti	disgust	0.656
abortion	splav	disgust	0.656
corruption	korupcija	disgust	0.656
victimized	žrtev	disgust	0.656
oppression	zatiranje	disgust	0.656
goo	Goo	disgust	0.656
latrines	toaletne potrebščine	disgust	0.656
horror	grozo	disgust	0.656
horrible	grozno	disgust	0.656
nefarious	neumni	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	maščevalen	disgust	0.648
outhouse	zunaj	disgust	0.648
horrid	grozno	disgust	0.648
detestation	odvratnost	disgust	0.648
sludge	blato	disgust	0.648
ugly	grdo	disgust	0.648
trashy	smetan	disgust	0.648
bitch	prasica	disgust	0.648
immoral	nemoralno	disgust	0.648
malfeasance	zlorabe	disgust	0.641
spew	spew	disgust	0.641
pimple	pimple	disgust	0.641
indecency	nespodobnost	disgust	0.641
unsightly	grdo	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	zloben	disgust	0.641
cystic	cistično	disgust	0.641
horrifying	grozljivo	disgust	0.641
derogatory	derogatory	disgust	0.641
laxative	laksativ	disgust	0.641
criminality	kriminaliteta	disgust	0.641
oppressive	zatiranje	disgust	0.633
sinful	grešno	disgust	0.633
bigoted	pobožen	disgust	0.633
doomsday	Doomsday	disgust	0.633
prostitution	prostitucija	disgust	0.633
ulcer	razjeda	disgust	0.633
secrete	izločiti	disgust	0.633
perpetrator	storilca	disgust	0.633
rat	podgana	disgust	0.633
queasy	nerodno	disgust	0.633
mildew	plesni	disgust	0.633
dastardly	skrajno	disgust	0.625
disgraceful	sramotno	disgust	0.625
ghastly	grozno	disgust	0.625
persecution	preganjanje	disgust	0.625
devilish	hudič	disgust	0.625
degrading	ponižujoče	disgust	0.625
obscenity	obscenost	disgust	0.625
fungus	glivica	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	obžalovanja	disgust	0.625
stools	blato	disgust	0.625
suffering	trpljenje	disgust	0.625
contemptible	zanemarljivo	disgust	0.625
cuckold	rogoza	disgust	0.625
bloated	napihnjen	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	izdaja	disgust	0.617
guillotine	giljotina	disgust	0.617
infect	okužijo	disgust	0.617
spoil	pokvaril	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	maščobe	disgust	0.617
louse	Vaza	disgust	0.617
malicious	zlonamerno	disgust	0.617
polygamy	poligamija	disgust	0.617
crusty	skorja	disgust	0.617
atrocious	grozno	disgust	0.617
deceit	prevara	disgust	0.617
termite	termit	disgust	0.617
loathe	prezirati	disgust	0.617
wench	žganje	disgust	0.617
dying	umiranje	disgust	0.617
sickly	bolan	disgust	0.617
diaper	Plenic	disgust	0.617
strangle	zadaviti	disgust	0.617
drool	drool	disgust	0.609
slander	klevetanje	disgust	0.609
abhor	Odguba	disgust	0.609
venomous	strupeni	disgust	0.609
brothel	bordel	disgust	0.609
ghetto	Ghetto	disgust	0.609
violently	nasilno	disgust	0.609
hostile	sovražno	disgust	0.609
sabotage	sabotaža	disgust	0.609
deform	deformirati	disgust	0.609
bleeding	krvavitev	disgust	0.609
unwashed	neobremenjen	disgust	0.602
lunacy	Lunacy	disgust	0.602
imprisonment	zapora	disgust	0.602
infidel	neupravičeno	disgust	0.602
deprivation	pomanjkanje	disgust	0.602
traitor	izdajalec	disgust	0.602
ugliness	grdost	disgust	0.602
musty	bedak	disgust	0.602
illicit	nedovoljeno	disgust	0.602
swampy	močviren	disgust	0.602
poaching	lova	disgust	0.602
hag	hag	disgust	0.602
butcher	mesar	disgust	0.594
lunatic	ludak	disgust	0.594
venom	strup	disgust	0.594
repelling	odbijanje	disgust	0.594
thug	mrtev	disgust	0.594
misery	beda	disgust	0.594
toilet	WC	disgust	0.594
slug	slug	disgust	0.594
catastrophe	katastrofa	disgust	0.594
epidemic	epidemija	disgust	0.594
gut	čreva	disgust	0.594
intoxicated	opojno	disgust	0.594
blister	pretisni omot	disgust	0.594
deceitful	Prevara	disgust	0.594
hostility	sovražnost	disgust	0.594
queasiness	queasiness	disgust	0.594
lurid	lurid	disgust	0.594
sinner	grešnik	disgust	0.594
incubus	inkubus	disgust	0.586
lavatory	stranišče	disgust	0.586
harass	nadlegovati	disgust	0.586
unclean	nečisto	disgust	0.586
prostitute	prostitutka	disgust	0.586
pornography	pornografija	disgust	0.586
dreadful	grozno	disgust	0.586
deteriorated	poslabšala	disgust	0.586
appalling	grozljivo	disgust	0.586
unfaithful	neutemeljen	disgust	0.578
rash	izpuščaj	disgust	0.578
humiliating	ponižujoče	disgust	0.578
ruinous	uničujoče	disgust	0.578
squeamish	Squeamish	disgust	0.578
offensive	žaljivo	disgust	0.578
conspirator	zaviralec	disgust	0.578
larceny	tatvine	disgust	0.578
debauchery	razuzdanost	disgust	0.578
mangle	mangle	disgust	0.578
flea	bolha	disgust	0.578
hypocrite	hinavec	disgust	0.578
retard	retard	disgust	0.578
fiend	fiend	disgust	0.578
sick	bolan	disgust	0.578
quagmire	Čarovnik	disgust	0.578
expulsion	izgon	disgust	0.578
treacherous	izdajalski	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	pljuvati	disgust	0.570
devastating	uničujoče	disgust	0.570
bastard	prasec	disgust	0.570
messy	grdo	disgust	0.570
flog	flog	disgust	0.570
egregious	izjemno	disgust	0.570
swamp	močvirje	disgust	0.570
oppress	zatirati	disgust	0.570
despise	prezira	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	kača	disgust	0.570
snake	kača	disgust	0.562
terrible	grozno	disgust	0.562
awful	grozno	disgust	0.562
harmful	škodljivo	disgust	0.562
insanity	norost	disgust	0.562
indecent	nespodoben	disgust	0.562
sordid	srd	disgust	0.562
loo	loo	disgust	0.562
scoundrel	Nesreča	disgust	0.562
enemy	sovražnik	disgust	0.562
stealing	krasti	disgust	0.562
alcoholism	alkoholizem	disgust	0.562
humiliation	ponižanje	disgust	0.562
ruthless	brezobzirno	disgust	0.562
sloppy	nelagodno	disgust	0.562
tyrannical	tiransko	disgust	0.562
harlot	bludnica	disgust	0.562
sinning	grešenje	disgust	0.562
robbery	rop	disgust	0.555
insufferable	nepremagljiv	disgust	0.555
arsenic	arzen	disgust	0.555
bloody	krvavo	disgust	0.555
odious	Odporen	disgust	0.555
ridicule	posmeh	disgust	0.555
atrophy	atrofija	disgust	0.555
beastly	živahno	disgust	0.555
collusion	dogovarjanje	disgust	0.555
distaste	vznemirjanje	disgust	0.555
segregate	ločite	disgust	0.555
discriminating	diskriminatorno	disgust	0.555
coward	strahopetec	disgust	0.555
wickedness	hudobnost	disgust	0.555
threatening	grozi	disgust	0.555
unattractive	neprivlačna	disgust	0.555
slayer	Slayer	disgust	0.555
flabby	mrzlo	disgust	0.555
varicella	varicella	disgust	0.555
miserable	nesrečen	disgust	0.547
sty	šopek	disgust	0.547
ogre	ogre	disgust	0.547
coercion	prisila	disgust	0.547
thief	tat	disgust	0.547
slur	slur	disgust	0.547
suffocating	zaduši	disgust	0.547
anathema	anatema	disgust	0.547
purgatory	čistilnico	disgust	0.547
malevolent	zlonamerno	disgust	0.547
bitterly	grenko	disgust	0.547
burglar	vlomilec	disgust	0.547
attacking	napadajo	disgust	0.547
vesicular	vezikularno	disgust	0.547
condemnation	obsodba	disgust	0.547
pillage	pljačko	disgust	0.547
deleterious	škodljivo	disgust	0.547
thrash	trh	disgust	0.539
repellant	repelent	disgust	0.539
repudiation	odklonitev	disgust	0.539
infidelity	nezvestoba	disgust	0.539
liar	lažnivec	disgust	0.539
fatty	maščobo	disgust	0.539
gob	gob	disgust	0.539
sneer	sranje	disgust	0.539
drunken	pijani	disgust	0.539
disgrace	sramota	disgust	0.539
shame	sram	disgust	0.539
jealous	ljubosumen	disgust	0.539
imprisoned	zaprli	disgust	0.539
pig	prašič	disgust	0.539
greedy	pohlepen	disgust	0.539
sloth	len	disgust	0.539
lethal	smrtonosno	disgust	0.536
burnt	zgorela	disgust	0.531
aberration	aberacija	disgust	0.531
condescension	zmedenost	disgust	0.531
hydrocephalus	hidrocefalus	disgust	0.531
hanging	visi	disgust	0.531
destructive	uničujoče	disgust	0.531
smuggler	tihotapec	disgust	0.531
intolerant	nestrpno	disgust	0.531
travesty	travestija	disgust	0.531
intrusive	vsiljiv	disgust	0.531
ruined	uničen	disgust	0.531
withered	sušen	disgust	0.531
disintegrate	razpadati	disgust	0.531
brawl	preganjati	disgust	0.531
blemish	pomanjkljivost	disgust	0.531
neurotic	nevrotično	disgust	0.531
blasphemous	bogokleten	disgust	0.531
lying	laž	disgust	0.531
painful	boleče	disgust	0.531
avarice	avarice	disgust	0.523
disgraced	osramotil	disgust	0.523
mistress	ljubica	disgust	0.523
disparaging	prezira	disgust	0.523
rubbish	smeti	disgust	0.523
derogation	odstopanje	disgust	0.523
accusation	obtožba	disgust	0.523
intolerance	nestrpnost	disgust	0.523
incarceration	zaprtje	disgust	0.523
blighted	uničil	disgust	0.523
sump	Sump	disgust	0.516
deplorable	žalostno	disgust	0.516
daemon	daemon	disgust	0.516
cringe	obrobje	disgust	0.516
degrade	degradira	disgust	0.516
gutter	žleb	disgust	0.516
rob	rob	disgust	0.516
grim	mračno	disgust	0.516
defraud	goljufija	disgust	0.516
tortious	mučen	disgust	0.516
eradication	izkoreninjenje	disgust	0.516
stink	smrdi	disgust	0.516
convict	obsojenec	disgust	0.516
dishonor	sramoto	disgust	0.516
vulture	mrkva	disgust	0.516
remains	ostanki	disgust	0.516
mite	pršice	disgust	0.516
betray	izdati	disgust	0.516
sham	lažno	disgust	0.509
endemic	endemično	disgust	0.508
bombed	bombardiran	disgust	0.508
distress	stisko	disgust	0.508
pest	škodljivec	disgust	0.508
incurable	neozdravljiv	disgust	0.508
worthless	brez vrednosti	disgust	0.508
rejection	zavrnitev	disgust	0.508
distasteful	neudobno	disgust	0.508
schizophrenia	shizofrenija	disgust	0.508
belittle	slabost	disgust	0.508
smelling	vonj	disgust	0.508
cheat	goljufija	disgust	0.508
blob	blob	disgust	0.508
prisoner	zapornik	disgust	0.508
idiocy	idiocija	disgust	0.508
delirium	delirium	disgust	0.508
disaster	katastrofa	disgust	0.508
crude	surovo	disgust	0.508
resentment	nezadovoljstvo	disgust	0.508
dreadfully	grozno	disgust	0.508
glut	brez glutena	disgust	0.508
polemic	polemika	disgust	0.500
derision	izzivanje	disgust	0.500
idolatry	idolatrija	disgust	0.500
taboo	tabu	disgust	0.500
screaming	kričati	disgust	0.500
banish	izgnan	disgust	0.500
dirt	umazanija	disgust	0.500
goblin	goblin	disgust	0.500
shackle	skodelico	disgust	0.500
bribery	podkupovanje	disgust	0.500
flagrant	flagrant	disgust	0.500
jealousy	ljubosumje	disgust	0.500
impurity	nečistost	disgust	0.500
theft	kraje	disgust	0.500
bitterness	grenkobe	disgust	0.500
offense	prekršek	disgust	0.500
impeach	odpustiti	disgust	0.500
blight	blato	disgust	0.500
duress	prisilo	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	pohlep	disgust	0.500
tirade	tirade	disgust	0.500
squirm	potapljati	disgust	0.492
robber	ropar	disgust	0.492
ill	bolan	disgust	0.492
unconscionable	nezavesten	disgust	0.492
recession	recesija	disgust	0.492
gorge	soteska	disgust	0.492
wreck	razbitino	disgust	0.492
malign	maligna	disgust	0.492
boil	zavrite	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idiot	disgust	0.492
disreputable	zanemarljiv	disgust	0.492
wasteful	potratno	disgust	0.484
affliction	trpljenje	disgust	0.484
stain	madež	disgust	0.484
contempt	prezir	disgust	0.484
nappy	plenice	disgust	0.484
mutiny	upor	disgust	0.484
occult	okultno	disgust	0.484
tramp	tramp	disgust	0.484
unbearable	neznosen	disgust	0.484
offender	storilec	disgust	0.484
servile	servile	disgust	0.484
contraband	kontraband	disgust	0.484
raging	divja	disgust	0.484
snarl	gnus	disgust	0.484
mad	jezen	disgust	0.484
subjugation	podrejanje	disgust	0.484
possessed	posedovali	disgust	0.484
animosity	sovražnost	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	obrekovanje	disgust	0.484
disrespectful	nespoštljivo	disgust	0.484
mess	nered	disgust	0.484
nepotism	nepotizem	disgust	0.484
inexcusable	neizprosno	disgust	0.484
pathetic	pomilovanja vreden	disgust	0.477
unpleasant	neprijeten	disgust	0.477
suppression	zatiranje	disgust	0.477
mockery	posmehovanje	disgust	0.477
palsy	paraliza	disgust	0.477
criminal	kriminalec	disgust	0.477
illegality	nezakonitost	disgust	0.477
uncaring	uncaring	disgust	0.477
antagonistic	antagonistično	disgust	0.477
immorality	nemoralnost	disgust	0.477
dismal	žalostno	disgust	0.477
angry	jezen	disgust	0.469
repellent	repelent	disgust	0.469
cough	kašelj	disgust	0.469
arrogant	aroganten	disgust	0.469
grating	ribanje	disgust	0.469
aggravation	poslabšanje	disgust	0.469
livid	LIVE	disgust	0.469
banishment	izgon	disgust	0.469
shoddy	Dražilen	disgust	0.469
banshee	Banshee	disgust	0.469
poverty	revščina	disgust	0.469
wallow	valovito	disgust	0.469
outrage	ogorčenje	disgust	0.469
mocking	zmešan	disgust	0.469
furious	besno	disgust	0.469
perspiration	znojenje	disgust	0.469
prick	prick	disgust	0.461
recklessness	brezobzirnost	disgust	0.461
distorted	izkrivljeno	disgust	0.461
fraudulent	goljufivo	disgust	0.461
spider	pajek	disgust	0.461
quack	kvak	disgust	0.461
perdition	pogin	disgust	0.461
muddy	blatno	disgust	0.461
spurious	lažno	disgust	0.461
insulting	žalitev	disgust	0.461
scar	brazgotina	disgust	0.461
deceive	zavede	disgust	0.461
unjustifiable	neupravičeno	disgust	0.461
fool	bedak	disgust	0.461
deplore	obžalujem	disgust	0.461
plunder	plunder	disgust	0.461
aphid	ušesa	disgust	0.453
bane	Bane	disgust	0.453
indignation	ogorčenje	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	sebičen	disgust	0.453
disparage	zaničevanje	disgust	0.453
cur	cur	disgust	0.453
dishonest	nepošteni	disgust	0.453
stigma	stigma	disgust	0.453
eschew	izogibati se	disgust	0.453
antipathy	antipatija	disgust	0.453
alienate	odtuji	disgust	0.453
disingenuous	neupravičeno	disgust	0.453
elimination	odprava	disgust	0.453
unthinkable	nepredstavljivo	disgust	0.453
wasted	zapravili	disgust	0.445
recalcitrant	Odsoten	disgust	0.445
iniquity	krivdo	disgust	0.445
mosquito	komar	disgust	0.445
caries	kariesa	disgust	0.445
bankruptcy	stečaj	disgust	0.445
egotistical	egotistični	disgust	0.445
piles	kupi	disgust	0.445
smell	vonj	disgust	0.445
vacuous	prazni	disgust	0.445
despair	obup	disgust	0.445
opium	opij	disgust	0.445
garish	Garish	disgust	0.445
lie	laž	disgust	0.445
pious	pobožni	disgust	0.445
aversion	averzijo	disgust	0.438
sticky	lepljivo	disgust	0.438
scream	kričati	disgust	0.438
alien	tujec	disgust	0.438
shun	Izogibaj se	disgust	0.438
abnormal	nenormalno	disgust	0.438
ashamed	sram	disgust	0.438
inmate	zapornik	disgust	0.438
abject	abject	disgust	0.438
hog	svinja	disgust	0.438
hopelessness	brezupa	disgust	0.438
homeless	brezdomci	disgust	0.438
obnoxious	neumnost	disgust	0.438
curse	prekletstvo	disgust	0.430
creature	bitje	disgust	0.430
cursing	preklinjanje	disgust	0.430
illegal	nezakonito	disgust	0.430
lusty	Lusty	disgust	0.430
shameless	brez sramu	disgust	0.430
debris	ostanki	disgust	0.430
defiance	premirje	disgust	0.430
pall	pall	disgust	0.430
falsity	lažno	disgust	0.430
reflux	refluks	disgust	0.430
incredulous	neverjetno	disgust	0.430
adverse	neugodno	disgust	0.430
trickery	trik	disgust	0.430
callous	neumnost	disgust	0.430
separatist	separatist	disgust	0.430
undesirable	nezaželeno	disgust	0.430
denounce	odpovedati	disgust	0.430
witch	čarovnica	disgust	0.430
bum	bum	disgust	0.422
bovine	govedo	disgust	0.422
denunciation	odpoved	disgust	0.422
untidy	Neupravičeno	disgust	0.422
impure	nečisto	disgust	0.422
mistrust	nezaupanje	disgust	0.422
tarnish	Tarnish	disgust	0.422
ferocious	svoboden	disgust	0.422
gush	Odjebi	disgust	0.422
infantile	infantilno	disgust	0.422
ammonia	amoniak	disgust	0.422
offend	užaljen	disgust	0.422
idiotic	idioti	disgust	0.422
hypertrophy	hipertrofija	disgust	0.422
nicotine	nikotin	disgust	0.422
tasteless	brez okusa	disgust	0.422
pompous	pompozna	disgust	0.422
socialist	socialistično	disgust	0.422
delinquent	prestopnik	disgust	0.422
swarm	roj	disgust	0.422
contentious	sporno	disgust	0.422
carelessness	neprevidnost	disgust	0.422
hairy	dlakavi	disgust	0.422
wasting	izgublja	disgust	0.422
slush	slush	disgust	0.422
affront	napasti	disgust	0.422
collapse	kolaps	disgust	0.422
badness	slabost	disgust	0.422
dishonesty	nepoštenost	disgust	0.414
vegetative	vegetativno	disgust	0.414
displacency	premikanje	disgust	0.414
unfavorable	neugodno	disgust	0.414
disobey	ne poslušaj	disgust	0.414
sour	kislo	disgust	0.414
socialism	socializem	disgust	0.414
murky	Mračen	disgust	0.414
neglected	zanemarjena	disgust	0.414
drivel	pogum	disgust	0.414
vampire	vampir	disgust	0.414
litigious	pravdni	disgust	0.414
illegitimate	nezakonito	disgust	0.414
disgruntled	nezadovoljni	disgust	0.406
ignorant	nevedni	disgust	0.406
outcast	Izgubljeno	disgust	0.406
unkind	neutemeljen	disgust	0.406
repel	odbijte	disgust	0.406
displeasure	nezadovoljstvo	disgust	0.406
phony	lažni	disgust	0.406
