word	Uzbek-uz	emotion	emotion-intensity-score
happy	baxtli	anticipation	0.555
oracle	Oracle	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	ochish	anticipation	0.555
boisterous	g'azablangan	anticipation	0.555
liberty	ozodlik	anticipation	0.555
heroism	qahramonlik	anticipation	0.555
feeling	his qilish	anticipation	0.555
shopping	xarid qilish	anticipation	0.555
fate	taqdiri	anticipation	0.555
uneasiness	bezovtalik	anticipation	0.555
speculative	spekulyativ	anticipation	0.555
changeable	o'zgarishi mumkin	anticipation	0.547
recreational	dam olish	anticipation	0.547
pray	ibodat qiling	anticipation	0.547
warn	ogohlantir	anticipation	0.547
suspicious	shubhali	anticipation	0.547
convergence	yaqinlik	anticipation	0.547
incite	Rag'batlantirish	anticipation	0.547
agape	agape	anticipation	0.547
morrow	Ertaga	anticipation	0.547
abundance	mo'l-ko'lchilik	anticipation	0.547
delighted	Men maftunman	anticipation	0.547
resultant	natijada	anticipation	0.547
hungry	ochlik	anticipation	0.547
monetary	pul	anticipation	0.547
vote	ovoz berish	anticipation	0.547
glory	shon-sharaf	anticipation	0.547
glimmer	jilvalanadi	anticipation	0.547
apprehensive	xavfli	anticipation	0.547
sorcery	sehrgarlik	anticipation	0.547
bountiful	mo'l-ko'lchilik	anticipation	0.547
leisure	dam olish	anticipation	0.547
probability	ehtimollik	anticipation	0.547
auction	auktsion	anticipation	0.539
hunting	ovchilik	anticipation	0.539
contingent	shartli	anticipation	0.539
hankering	hankering	anticipation	0.539
sensual	sezgi	anticipation	0.539
blessings	ne'matlar	anticipation	0.539
ballot	ovoz berish	anticipation	0.539
grandchildren	nabiralari	anticipation	0.539
entertainment	o'yin-kulgi	anticipation	0.539
vindication	vindikatsiya	anticipation	0.539
worrying	tashvishlantiruvchi	anticipation	0.539
tempest	bo'ron	anticipation	0.539
inquiry	so'rovnoma	anticipation	0.539
merge	birlashma	anticipation	0.539
exceed	ortiq	anticipation	0.539
bounty	bardoshlik	anticipation	0.539
glad	xursand bo'ldim	anticipation	0.536
magnificent	ajoyib	anticipation	0.531
feat	feat	anticipation	0.531
stealthy	yashirincha	anticipation	0.531
cheer	hayqiriq	anticipation	0.531
spirits	spirtli ichimliklar	anticipation	0.531
visitor	Mehmon	anticipation	0.531
appeal	Shikoyat qilish	anticipation	0.531
forming	shakllantirish	anticipation	0.531
hurried	tezda	anticipation	0.531
responsive	sezgir	anticipation	0.531
virginity	bokiralik	anticipation	0.531
deliverance	najot	anticipation	0.531
betrothed	nishonlangan	anticipation	0.531
overthrow	ag'darish	anticipation	0.531
harbinger	harbinger	anticipation	0.531
raving	sharmandalik	anticipation	0.531
celestial	samoviy	anticipation	0.531
dread	qo'rqish	anticipation	0.531
germination	Chaynash	anticipation	0.523
preparatory	tayyorgarlik	anticipation	0.523
pleasant	yoqimli	anticipation	0.523
watch	tomosha qiling	anticipation	0.523
prophet	Payg'ambar	anticipation	0.523
prognostic	prognoz qilish	anticipation	0.523
haste	shoshilinch	anticipation	0.523
planning	rejalashtirish	anticipation	0.523
importance	ahamiyati	anticipation	0.523
radiance	shaffoflik	anticipation	0.523
prevail	ustunlik qiladi	anticipation	0.523
cheery	quvnoq	anticipation	0.523
competition	musobaqa	anticipation	0.523
ultimately	oxirida	anticipation	0.523
revive	jonlantirish	anticipation	0.523
beaming	chiroyli	anticipation	0.523
wait	Kutmoq	anticipation	0.523
child	bola	anticipation	0.523
notification	xabarnoma	anticipation	0.523
hunter	ovchi	anticipation	0.523
explosive	portlovchi moddalar	anticipation	0.523
endanger	xavf tug'diradi	anticipation	0.516
time	vaqt	anticipation	0.516
recreation	dam olish	anticipation	0.516
renovation	yangilash	anticipation	0.516
precious	qimmatli	anticipation	0.516
begun	boshlandi	anticipation	0.516
loom	tayoq	anticipation	0.516
compensate	kompensatsiya qilish	anticipation	0.516
treat	davolash	anticipation	0.516
uncontrollable	boshqarish mumkin emas	anticipation	0.516
present	mavjud	anticipation	0.516
salary	ish haqi	anticipation	0.516
celebrity	mashhur	anticipation	0.516
owing	qarzdorlik	anticipation	0.516
chocolate	shokolad	anticipation	0.516
caution	ehtiyot bo'ling	anticipation	0.516
fermentation	fermentatsiya	anticipation	0.516
sensuality	shahvoniylik	anticipation	0.516
wilderness	sahroda	anticipation	0.508
signify	anglatadi	anticipation	0.508
transitional	o'tish davri	anticipation	0.508
intermission	uzilishlar	anticipation	0.508
contemplation	tafakkur qilish	anticipation	0.508
vigilance	hushyorlik	anticipation	0.508
commemoration	xotiralar	anticipation	0.508
practise	amaliyot	anticipation	0.508
cue	belgisi	anticipation	0.508
infant	chaqaloq	anticipation	0.508
dreadful	qo'rqinchli	anticipation	0.508
perfection	mukammallik	anticipation	0.508
elevation	balandligi	anticipation	0.508
prerequisite	old shart	anticipation	0.508
cultivate	o'stirish	anticipation	0.508
horizon	ufqda	anticipation	0.508
develop	rivojlantirish	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	suzish	anticipation	0.500
attendance	ishtirok etish	anticipation	0.500
nascent	yangi tug'ilgan	anticipation	0.500
favorable	qulay	anticipation	0.500
peril	xavf	anticipation	0.500
income	daromad	anticipation	0.500
ardent	qizg'in	anticipation	0.500
commemorate	xotiralar	anticipation	0.500
doomsday	Qiyomat kuni	anticipation	0.500
reconciliation	kelishuv	anticipation	0.500
utopian	utopik	anticipation	0.500
romantic	ishqiy	anticipation	0.500
unbridled	qisqartirilgan	anticipation	0.500
sunny	quyoshli	anticipation	0.500
uphill	yuqoriga ko'tarildi	anticipation	0.500
intuitively	intuitiv ravishda	anticipation	0.500
depart	ketish	anticipation	0.500
eventuality	ehtimollik	anticipation	0.500
puppy	kuchukcha	anticipation	0.500
zeal	g'ayrat	anticipation	0.500
sneaking	yovuzlik	anticipation	0.500
ready	tayyor	anticipation	0.500
advocacy	advokatlashtirish	anticipation	0.500
airport	aeroporti	anticipation	0.500
litigate	sudlash	anticipation	0.500
blindfold	ko'r-ko'rona	anticipation	0.500
undisclosed	oshkor qilinmagan	anticipation	0.500
young	yosh	anticipation	0.500
horoscope	burjlar	anticipation	0.500
invocation	chaqiruv	anticipation	0.500
calculation	hisoblash	anticipation	0.500
hero	qahramon	anticipation	0.500
court	sud	anticipation	0.492
repay	qaytarib bering	anticipation	0.492
improvise	Improvise	anticipation	0.492
parole	shartli jazo	anticipation	0.492
worry	tashvishlaning	anticipation	0.492
inauguration	inauguratsiya	anticipation	0.492
gaping	gapirish	anticipation	0.492
youth	yoshlar	anticipation	0.492
bless	muborak bo'l	anticipation	0.492
defense	himoya qilish	anticipation	0.492
heyday	shamol	anticipation	0.492
consequent	natijada	anticipation	0.492
proceeding	davom etmoqda	anticipation	0.492
eventual	natijada	anticipation	0.492
perspective	kuzatasiz	anticipation	0.492
restorative	tiklash	anticipation	0.492
undertaking	majburiyatlari	anticipation	0.492
highest	eng yuqori	anticipation	0.491
duel	duel	anticipation	0.484
unexplained	tushunarsiz	anticipation	0.484
tremor	tremor	anticipation	0.484
sharpen	aniqlang	anticipation	0.484
generosity	saxiylik	anticipation	0.484
voluptuous	jo'shqin	anticipation	0.484
shortly	qisqa vaqt ichida	anticipation	0.484
vow	qasam ichish	anticipation	0.484
contagion	yuqumli kasalliklar	anticipation	0.484
letter	xat	anticipation	0.484
happen	sodir bo'lmoq	anticipation	0.484
threaten	tahdid qilish	anticipation	0.484
conjure	jasorat	anticipation	0.484
sparkle	uchqun	anticipation	0.484
engulf	engish	anticipation	0.484
god	xudo	anticipation	0.484
correspondence	yozishmalar	anticipation	0.484
auspicious	xayrli	anticipation	0.484
princely	shahzoda	anticipation	0.484
adore	yoqimli	anticipation	0.477
enroll	ro'yxatga olish	anticipation	0.477
determinate	aniqlanadi	anticipation	0.477
predispose	oldindan belgilash	anticipation	0.477
clue	maslahat olish	anticipation	0.477
onset	boshlanishi	anticipation	0.477
powerful	kuchli	anticipation	0.477
glorify	ulug'lash	anticipation	0.477
glow	yorug'lik	anticipation	0.477
arbitration	arbitraj	anticipation	0.477
torture	qiynoqlar	anticipation	0.477
gravitate	tortish	anticipation	0.477
cherish	ovqatlanish	anticipation	0.477
contemplate	tasavvur qiling	anticipation	0.477
submit	yuboring	anticipation	0.477
perilous	xavfli	anticipation	0.477
unification	birlashma	anticipation	0.477
score	Hisob	anticipation	0.477
medal	medali bilan taqdirlangan	anticipation	0.477
glide	sekinlashadi	anticipation	0.477
recipient	qabul qiluvchi	anticipation	0.477
accompaniment	qo'shiq	anticipation	0.477
praiseworthy	maqtovga sazovor	anticipation	0.473
providing	ta'minlash	anticipation	0.469
motion	harakatlar	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	ehtiyotkorlik bilan	anticipation	0.469
cash	pul	anticipation	0.469
precursor	kashshof	anticipation	0.469
opera	opera	anticipation	0.469
elite	elita	anticipation	0.469
pry	pry	anticipation	0.469
hire	ijaraga olish	anticipation	0.469
sweets	shirinliklar	anticipation	0.469
star	Yulduz	anticipation	0.469
unsurpassed	ajoyib	anticipation	0.469
successful	omadli	anticipation	0.469
unknown	noma'lum	anticipation	0.469
immediately	darhol	anticipation	0.469
starry	yulduzlar	anticipation	0.469
production	ishlab chiqarish	anticipation	0.469
football	futbol	anticipation	0.469
completion	tugatish	anticipation	0.469
scare	qo'rqitish	anticipation	0.469
invoke	chaqiring	anticipation	0.469
shaky	shang'illadi	anticipation	0.469
dawn	tong	anticipation	0.469
creeping	sekinlashadi	anticipation	0.469
cheerfulness	quvnoqlik	anticipation	0.461
soundness	mustahkamlik	anticipation	0.461
mail	pochta orqali yuborishingiz mumkin	anticipation	0.461
draft	qoralama	anticipation	0.461
preliminary	oldingi	anticipation	0.461
friendly	do'stona	anticipation	0.461
commemorative	xotira	anticipation	0.461
extricate	tashqariga chiqish	anticipation	0.461
alive	tirik	anticipation	0.461
untold	belgilanmagan	anticipation	0.461
overture	qarama-qarshilik	anticipation	0.461
excel	excel	anticipation	0.461
plight	halokat	anticipation	0.461
synchronize	sinxronlash	anticipation	0.461
punt	punkt	anticipation	0.461
sanctuary	muqaddas joy	anticipation	0.461
brilliant	porloq	anticipation	0.461
pay	to'lash	anticipation	0.461
shining	porlashi	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	vasiyat	anticipation	0.461
jeopardy	xavf ostida	anticipation	0.461
perpetuity	abadiylik	anticipation	0.453
elegance	nafislik	anticipation	0.453
career	martaba	anticipation	0.453
basketball	basketbol	anticipation	0.453
intimately	yaqin	anticipation	0.453
renovate	yangilash	anticipation	0.453
supremacy	ustunlik	anticipation	0.453
infinity	abadiylik	anticipation	0.453
unexpected	kutilmagan	anticipation	0.453
flinch	flinch	anticipation	0.453
complement	to'ldiruvchi	anticipation	0.453
prologue	prologiya	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	oldini olish	anticipation	0.453
improve	yaxshilash	anticipation	0.453
sunset	quyosh botishi	anticipation	0.453
inaugural	birinchi marotaba	anticipation	0.453
rehabilitation	reabilitatsiya	anticipation	0.453
fitting	joylashtirish	anticipation	0.445
surround	atrof-muhit	anticipation	0.445
share	ulush	anticipation	0.445
epidemic	epidemik	anticipation	0.445
sweet	shirin	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	yashirish	anticipation	0.445
confidence	ishonch	anticipation	0.445
perfect	mukammal	anticipation	0.445
sun	quyosh	anticipation	0.445
veracity	Haqiqat	anticipation	0.445
volunteer	ixtiyoriy	anticipation	0.445
conjecture	gumon	anticipation	0.445
medical	tibbiy	anticipation	0.438
prepared	tayyorlangan	anticipation	0.438
superstitious	bid'atchilik	anticipation	0.438
reconstruction	rekonstruktsiya qilish	anticipation	0.438
tickle	qaynatish	anticipation	0.438
faith	ishonch	anticipation	0.438
passenger	yo'lovchi	anticipation	0.438
saint	aziz	anticipation	0.438
respect	hurmat qilish	anticipation	0.438
rabid	qo'zg'olon	anticipation	0.438
reconstruct	qayta qurish	anticipation	0.438
recombination	rekombinatsiya	anticipation	0.438
devout	dindor	anticipation	0.438
goodness	yaxshilik	anticipation	0.438
angel	farishta	anticipation	0.438
ferment	fermentlar	anticipation	0.438
plea	so'rash	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	ketma-ketlik	anticipation	0.438
conservation	himoya qilish	anticipation	0.438
serenity	xotirjamlik	anticipation	0.430
tabulate	tabulatasiz	anticipation	0.430
install	o'rnatish	anticipation	0.430
labyrinth	labirint	anticipation	0.430
venerable	hurmatli	anticipation	0.430
perpetuate	davom eting	anticipation	0.430
strategist	strategist	anticipation	0.430
unverified	tasdiqlanmagan	anticipation	0.430
tribunal	tribunal	anticipation	0.430
charitable	xayriya tashkiloti	anticipation	0.430
luscious	shirin	anticipation	0.430
spa	berilgan	anticipation	0.430
peace	tinchlik	anticipation	0.430
clap	chiroyli	anticipation	0.430
conspirator	fitna uyushtirgan	anticipation	0.422
forestall	taqiqlash	anticipation	0.422
patience	sabr	anticipation	0.422
oasis	vohasi	anticipation	0.422
grin	kulrang	anticipation	0.422
revere	hurmat qiling	anticipation	0.422
worship	ibodat qilish	anticipation	0.422
vista	manzara	anticipation	0.422
laughter	kulgu	anticipation	0.422
volatility	o'zgaruvchanligi	anticipation	0.422
adrift	adrift	anticipation	0.422
candid	samimiy	anticipation	0.422
edification	rivojlanish	anticipation	0.422
unresolved	hal qilinmagan	anticipation	0.422
peaceful	tinch	anticipation	0.422
recognizable	tan olinishi mumkin	anticipation	0.422
calls	qo'ng'iroqlar	anticipation	0.414
weigh	torting	anticipation	0.414
probation	sinov muddati	anticipation	0.414
proficiency	malakasi	anticipation	0.414
morn	shanba kuni	anticipation	0.414
craps	barglar	anticipation	0.414
detainee	ushlangan	anticipation	0.414
mediate	vositachilardir	anticipation	0.414
continue	davom eting	anticipation	0.414
astrologer	munajjim	anticipation	0.414
punctual	vaqtida	anticipation	0.414
ordination	tartibga solish	anticipation	0.414
pretty	yoqimli	anticipation	0.414
thought	o'ylardi	anticipation	0.414
grant	grant	anticipation	0.414
withstand	qarshilik ko'rsatish	anticipation	0.414
frisky	chiroyli	anticipation	0.414
ongoing	davom etayotgan	anticipation	0.414
sing	qo'shiq ayt	anticipation	0.411
long	uzoq	anticipation	0.406
confession	tan olish	anticipation	0.406
headlight	faralar	anticipation	0.406
prophylactic	profilaktika	anticipation	0.406
mother	Ona	anticipation	0.406
debenture	qarzdorlik	anticipation	0.406
wizard	sehrgar	anticipation	0.406
university	universitet	anticipation	0.406
proud	mag'rurlik	anticipation	0.406
midwife	akusher	anticipation	0.406
banquet	ziyofat	anticipation	0.406
continuation	davom etish	anticipation	0.406
navigable	navigatsiya qilinadi	anticipation	0.406
punished	jazoladi	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	qulaylik	anticipation	0.406
opponent	raqib	anticipation	0.406
subscribe	obuna bo'lish	anticipation	0.406
outdo	tashqarida	anticipation	0.406
nurture	tarbiyalash	anticipation	0.406
twinkle	pushti	anticipation	0.406
deal	shartnoma	anticipation	0.402
efficient	samarali	anticipation	0.398
representing	vakili	anticipation	0.398
simmer	qaynatib oling	anticipation	0.398
symphony	simfoniya	anticipation	0.398
judiciary	sud tizimi	anticipation	0.398
obliging	majburiyat	anticipation	0.398
saintly	aziz	anticipation	0.398
vigil	vigil	anticipation	0.398
death	o'lim	anticipation	0.398
distracting	chalg'itadi	anticipation	0.398
mortification	o'lim	anticipation	0.398
balm	balzam	anticipation	0.398
guillotine	gilyotin	anticipation	0.398
top	yuqori	anticipation	0.398
lettered	maktub yozdi	anticipation	0.398
reliance	ishonch	anticipation	0.398
poke	poke	anticipation	0.391
unfulfilled	amalga oshmadi	anticipation	0.391
assurance	ishonch	anticipation	0.391
condemnation	hukm qilish	anticipation	0.391
undoubted	shubhasiz	anticipation	0.391
diplomacy	diplomatiya	anticipation	0.391
familiarity	tanishlik	anticipation	0.391
antidote	panzehir	anticipation	0.391
chuckle	xirillash	anticipation	0.391
objective	maqsadi	anticipation	0.391
maternal	ona	anticipation	0.391
abeyance	abeyance	anticipation	0.391
art	san'at	anticipation	0.391
linger	to'xtab qoling	anticipation	0.391
trust	ishonch	anticipation	0.391
depraved	buzilgan	anticipation	0.391
sanctify	muqaddaslash	anticipation	0.391
inoculation	emlash	anticipation	0.384
chant	qo'shiq aytish	anticipation	0.383
banger	banger	anticipation	0.383
playground	o'yin maydoni	anticipation	0.383
failing	muvaffaqiyatsiz	anticipation	0.383
ship	kema	anticipation	0.383
hymn	madhiya	anticipation	0.383
simplify	soddalashtirish	anticipation	0.383
ram	Ram	anticipation	0.383
labor	mehnat	anticipation	0.383
discretion	ixtiyoriy	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	yaxshi	anticipation	0.383
scientist	olim	anticipation	0.383
undecided	qarorsiz	anticipation	0.383
humanitarian	insonparvarlik	anticipation	0.383
depend	bog'liq	anticipation	0.383
dutiful	xayrli	anticipation	0.383
clock	soat	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	tog	anticipation	0.375
savor	yoqimli	anticipation	0.375
recurrent	takroriy	anticipation	0.375
interim	vaqtinchalik	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	asta-sekinlik bilan	anticipation	0.375
interminable	mumkin emas	anticipation	0.375
track	yo'l	anticipation	0.375
public	ommaviy	anticipation	0.375
cradle	beshik	anticipation	0.375
concealed	yashirin	anticipation	0.367
lesson	dars	anticipation	0.367
instructions	ko'rsatmalar	anticipation	0.367
shiver	shivirlash	anticipation	0.367
musical	musiqa	anticipation	0.367
towering	kuchliroq	anticipation	0.367
whim	qichqiriq	anticipation	0.367
spear	nayza	anticipation	0.367
convince	ishonch hosil qiling	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	davom eting	anticipation	0.367
biennial	biennale	anticipation	0.367
theology	ilohiyotshunoslik	anticipation	0.359
offset	ofset	anticipation	0.359
atone	aton	anticipation	0.359
timidity	jasurlik	anticipation	0.359
theory	nazariya	anticipation	0.359
undying	davom etmoqda	anticipation	0.359
plump	plomba	anticipation	0.359
audience	tomoshabinlar	anticipation	0.357
nobility	zodagonlar	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	parhez	anticipation	0.352
closure	yopish	anticipation	0.352
store	saqlash	anticipation	0.352
localize	mahalliylashtirish	anticipation	0.352
cramp	kramp	anticipation	0.352
daily	har kuni	anticipation	0.352
kindred	qarindoshlar	anticipation	0.352
farm	fermerlik xo'jaligi	anticipation	0.352
edition	nashr	anticipation	0.352
consecration	muqaddaslanish	anticipation	0.352
archaeology	arxeologiya	anticipation	0.344
mobile	mobil	anticipation	0.344
errand	harakat qilish	anticipation	0.344
wireless	simsiz	anticipation	0.344
mutable	o'zgarishi mumkin	anticipation	0.344
meditate	meditatsiya qilish	anticipation	0.344
stripped	yo'qolgan	anticipation	0.344
lessen	kamaytirish	anticipation	0.336
unaccountable	hisobga olinmaydi	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	birodarlik	anticipation	0.336
buddy	Buddy	anticipation	0.336
unbeaten	mag'lubiyatsiz	anticipation	0.336
germ	mikrob	anticipation	0.336
dove	qo'ziqorin	anticipation	0.328
digress	yo'qotish	anticipation	0.328
ribbon	Ip	anticipation	0.328
olfactory	olfaktor	anticipation	0.328
patient	bemor	anticipation	0.328
council	Kengash	anticipation	0.328
possess	ega	anticipation	0.328
secular	dunyoviy	anticipation	0.328
chastity	poklik	anticipation	0.328
disposed	joylashtirilgan	anticipation	0.320
regularity	muntazamlik	anticipation	0.320
mediator	vositachi	anticipation	0.320
scrutinize	o'rganing	anticipation	0.320
fancy	farasingiz	anticipation	0.320
immature	ololmagan	anticipation	0.320
infanticide	chaqaloq	anticipation	0.320
heft	haydash	anticipation	0.320
preservative	himoyachi	anticipation	0.320
paddle	paddle	anticipation	0.320
cove	ko'l	anticipation	0.320
denying	inkor qilish	anticipation	0.312
bugle	uchqun	anticipation	0.312
unpublished	nashrdan chiqmagan	anticipation	0.312
analyst	tahlilchi	anticipation	0.312
grim	shafqatsiz	anticipation	0.312
church	cherkov	anticipation	0.312
priesthood	ruhoniylik	anticipation	0.305
mill	tegirmon	anticipation	0.305
judicial	sud	anticipation	0.305
broadside	keng tarqalgan	anticipation	0.305
tributary	kolba	anticipation	0.297
cap	qopqoq	anticipation	0.297
thermocouple	termojuft	anticipation	0.297
dismay	dahshatdan	anticipation	0.297
instructor	o'qituvchi	anticipation	0.297
saliva	tupurik	anticipation	0.297
exhaustion	charchash	anticipation	0.297
bruise	mo'rtlik	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	uysiz	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	tarmoq	anticipation	0.289
shackle	qalqib olish	anticipation	0.289
addresses	manzillari	anticipation	0.289
noncompliance	mos kelmaslik	anticipation	0.289
cataract	katarakt	anticipation	0.289
skewed	shikastlangan	anticipation	0.281
astronomer	astronom	anticipation	0.281
neighbor	qo'shni	anticipation	0.281
holiness	muqaddaslik	anticipation	0.273
devil	shayton	anticipation	0.273
cream	krem	anticipation	0.273
picket	piket	anticipation	0.273
latent	yashirin	anticipation	0.273
immaturity	immaturiy emas	anticipation	0.273
sentence	hukm	anticipation	0.273
neighborhood	Turar joy dahasi	anticipation	0.266
morals	axloq	anticipation	0.266
lull	siqilish	anticipation	0.266
habitual	odatiy	anticipation	0.266
weight	og'irligi	anticipation	0.258
bye	bye	anticipation	0.258
forearm	bilaguzuk	anticipation	0.250
clown	palyaço	anticipation	0.250
organ	organ	anticipation	0.250
quote	taklif	anticipation	0.242
commonplace	odatiy	anticipation	0.242
dictatorship	diktatorlik	anticipation	0.234
board	paneli	anticipation	0.234
white	oq	anticipation	0.234
treadmill	yugurish yo'lakchasi	anticipation	0.234
rail	temir yo'l	anticipation	0.234
sundial	quyoshli	anticipation	0.227
tree	daraxt	anticipation	0.227
paralysis	falaj	anticipation	0.211
worm	solucan	anticipation	0.203
organization	tashkilot	anticipation	0.203
cement	tsement	anticipation	0.203
lagging	kechikish	anticipation	0.180
neutral	neytral	anticipation	0.148
cannibalism	yamyamcılık	disgust	0.953
mutilation	soqchilik	disgust	0.930
molestation	molestation	disgust	0.914
incest	ensest	disgust	0.914
gonorrhea	gonoreya	disgust	0.906
rape	tajovuz	disgust	0.906
cannibal	yamyat	disgust	0.898
rot	rot	disgust	0.891
corpse	murda	disgust	0.883
massacre	qirg'in	disgust	0.883
excrement	najosat	disgust	0.883
slaughter	so'yish	disgust	0.875
barf	NO TRANSLATION	disgust	0.875
slaughterhouse	so'yish xonasi	disgust	0.867
rancid	ranjid	disgust	0.859
sewerage	kanalizatsiya	disgust	0.859
incestuous	g'azabli	disgust	0.859
filth	ifloslik	disgust	0.859
bigot	FATOT	disgust	0.859
infestation	infestatsiya qilish	disgust	0.852
plague	vabo	disgust	0.852
bloodthirsty	qonga botgan	disgust	0.852
holocaust	Holokost	disgust	0.852
rotting	chirish	disgust	0.844
maggot	qurg'oqchilik	disgust	0.844
feces	najas	disgust	0.844
fecal	fekal	disgust	0.844
murder	qotillik	disgust	0.839
infanticide	chaqaloq	disgust	0.836
homicide	qotillik	disgust	0.836
asshole	Tentak	disgust	0.836
enslaved	asirlar	disgust	0.836
gore	gore	disgust	0.828
perverted	buzilgan	disgust	0.828
torture	qiynoqlar	disgust	0.828
slaughtering	so'yish	disgust	0.828
excretion	otilib chiqish	disgust	0.828
contaminate	ifloslangan	disgust	0.821
murderer	qotil	disgust	0.820
gory	qori	disgust	0.820
repugnant	jirkanch	disgust	0.820
desecration	haqorat qilish	disgust	0.820
grotesque	kulgili	disgust	0.820
revolting	ayyorlik	disgust	0.820
diarrhoea	diareya	disgust	0.820
manure	go'ng	disgust	0.820
terrorist	terrorchi	disgust	0.820
shit	shit	disgust	0.820
pervert	buzish	disgust	0.820
slavery	qullik	disgust	0.812
faeces	najaslar	disgust	0.812
sewer	kanalizatsiya	disgust	0.812
vomit	qusish	disgust	0.812
manslaughter	odam o'ldirish	disgust	0.812
dismemberment	ajratish	disgust	0.812
cadaver	kadavr	disgust	0.812
hemorrhage	qon ketishi	disgust	0.805
repulsive	jirkanch	disgust	0.805
perverse	buzuq	disgust	0.805
filthy	iflos	disgust	0.797
sewage	kanalizatsiya	disgust	0.797
depravity	axloqsizlik	disgust	0.797
diseased	kasal	disgust	0.797
carcass	tana go'shti	disgust	0.795
decompose	tarqaladi	disgust	0.789
vermin	xashak	disgust	0.789
puke	puke	disgust	0.789
parasite	parazit	disgust	0.789
horrific	dahshatli	disgust	0.789
gruesome	qo'rqinchli	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	shikastlangan	disgust	0.789
murderous	qotillik	disgust	0.789
decayed	parchalanadi	disgust	0.789
herpes	herpes	disgust	0.789
slime	shilimshiq	disgust	0.781
flatulence	bulbullik	disgust	0.781
monstrosity	monstrosity	disgust	0.781
carnage	qirg'in	disgust	0.781
pestilence	o'lat	disgust	0.781
malaria	bezgak	disgust	0.781
crap	bokira	disgust	0.781
toxic	toksik	disgust	0.773
loathsome	jirkanch	disgust	0.773
insidious	hiyla bilan	disgust	0.773
leprosy	moxov	disgust	0.773
morgue	morgda	disgust	0.773
pus	yiring	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	fohisha	disgust	0.766
cruel	shafqatsiz	disgust	0.766
repugnance	repugnance	disgust	0.766
revulsion	qarshi	disgust	0.766
xenophobia	ksenofobiya	disgust	0.766
regurgitation	regressiya	disgust	0.766
anthrax	kuydirgi	disgust	0.766
lynch	linch	disgust	0.766
dissection	disektsiya	disgust	0.759
canker	jangchi	disgust	0.758
cruelty	shafqatsizlik	disgust	0.758
perversion	buzuqlik	disgust	0.758
evil	yomonlik	disgust	0.758
slum	chuqurlik	disgust	0.758
infectious	yuqumli kasalliklar	disgust	0.758
mucous	shilliq	disgust	0.758
phlegm	balg'am	disgust	0.758
leeches	suluk	disgust	0.750
decomposition	parchalanish	disgust	0.750
sinister	yomon	disgust	0.750
corrupting	buzish	disgust	0.750
demon	iblis	disgust	0.742
stinking	shubhasiz	disgust	0.742
septic	septik	disgust	0.742
deranged	buzilgan	disgust	0.742
bile	hatto	disgust	0.742
soiled	ifloslangan	disgust	0.742
mucus	mushuk	disgust	0.742
abhorrence	yomonlik	disgust	0.742
abomination	jirkanish	disgust	0.742
sickening	kasallik	disgust	0.742
demonic	iblisdir	disgust	0.742
foul	faul	disgust	0.734
obese	obez	disgust	0.734
sicken	kasal	disgust	0.734
degeneracy	nasli	disgust	0.734
crucifixion	xochga tortish	disgust	0.734
despicable	haqoratli	disgust	0.734
cancer	saraton	disgust	0.734
atrocity	vahshiylik	disgust	0.734
terrorism	terrorizm	disgust	0.734
dirty	iflos	disgust	0.727
dysentery	dizenteriya	disgust	0.727
adultery	xiyonat	disgust	0.727
contamination	ifloslanish	disgust	0.727
bacterium	bakteriyalar	disgust	0.727
diabolical	shaytoniy	disgust	0.727
morbidity	kasallik	disgust	0.727
grisly	g'azab bilan	disgust	0.727
repulsion	itoatsizlik	disgust	0.727
enema	ho'qna	disgust	0.727
contagion	yuqumli kasalliklar	disgust	0.719
disfigured	shikastlangan	disgust	0.719
muck	muck	disgust	0.719
lewd	levd	disgust	0.719
garbage	axlat	disgust	0.719
autopsy	otopsi	disgust	0.719
bowels	ichaklarda	disgust	0.719
gross	yalpi	disgust	0.719
vulgar	jirkanch	disgust	0.719
barbaric	barbar	disgust	0.719
disgust	jirkanch	disgust	0.719
vicious	yomon	disgust	0.719
entrails	ichaklarni	disgust	0.719
deterioration	buzilish	disgust	0.719
pungent	keskin	disgust	0.719
bloodshed	qon to'kdi	disgust	0.714
violent	zo'ravonlik	disgust	0.711
