word	Malay-ms	emotion	emotion-intensity-score
midwife	bidan	anticipation	0.406
banquet	jamuan	anticipation	0.406
continuation	kesinambungan	anticipation	0.406
navigable	dilayari	anticipation	0.406
punished	dihukum	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	keselesaan	anticipation	0.406
opponent	lawan	anticipation	0.406
subscribe	melanggan	anticipation	0.406
outdo	melampaui batas	anticipation	0.406
nurture	memupuk	anticipation	0.406
twinkle	twinkle	anticipation	0.406
deal	berurusan	anticipation	0.402
efficient	cekap	anticipation	0.398
representing	mewakili	anticipation	0.398
simmer	reneh	anticipation	0.398
symphony	simfoni	anticipation	0.398
judiciary	kehakiman	anticipation	0.398
obliging	mewajibkan	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	berjaga	anticipation	0.398
death	kematian	anticipation	0.398
distracting	mengganggu	anticipation	0.398
mortification	pengabaian	anticipation	0.398
balm	balsem	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	atas	anticipation	0.398
lettered	bertulis	anticipation	0.398
reliance	pergantungan	anticipation	0.398
poke	poke	anticipation	0.391
unfulfilled	tidak dipenuhi	anticipation	0.391
assurance	jaminan	anticipation	0.391
condemnation	kecaman	anticipation	0.391
undoubted	tidak diragui	anticipation	0.391
diplomacy	diplomasi	anticipation	0.391
familiarity	kebiasaan	anticipation	0.391
antidote	penawar	anticipation	0.391
chuckle	tertawa	anticipation	0.391
objective	objektif	anticipation	0.391
maternal	ibu	anticipation	0.391
abeyance	abeyance	anticipation	0.391
art	seni	anticipation	0.391
linger	berlama-lama	anticipation	0.391
trust	amanah	anticipation	0.391
depraved	kejam	anticipation	0.391
sanctify	menguduskan	anticipation	0.391
inoculation	inokulasi	anticipation	0.384
chant	bernyanyi	anticipation	0.383
banger	banger	anticipation	0.383
playground	taman permainan	anticipation	0.383
failing	gagal	anticipation	0.383
ship	kapal	anticipation	0.383
hymn	hymn	anticipation	0.383
simplify	memudahkan	anticipation	0.383
ram	Ram	anticipation	0.383
labor	buruh	anticipation	0.383
discretion	kebijaksanaan	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	baik	anticipation	0.383
scientist	saintis	anticipation	0.383
undecided	belum pasti	anticipation	0.383
humanitarian	kemanusiaan	anticipation	0.383
depend	bergantung	anticipation	0.383
dutiful	bersungguh-sungguh	anticipation	0.383
clock	jam	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	gunung	anticipation	0.375
savor	citarasa	anticipation	0.375
recurrent	berulang	anticipation	0.375
interim	sementara	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	beransur-ansur	anticipation	0.375
interminable	tak boleh tamat	anticipation	0.375
track	trek	anticipation	0.375
public	awam	anticipation	0.375
cradle	buaian	anticipation	0.375
concealed	tersembunyi	anticipation	0.367
lesson	pelajaran	anticipation	0.367
instructions	arahan	anticipation	0.367
shiver	menggigil	anticipation	0.367
musical	muzik	anticipation	0.367
towering	menjulang tinggi	anticipation	0.367
whim	sesuka hati	anticipation	0.367
spear	lembing	anticipation	0.367
convince	meyakinkan	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	bertahan	anticipation	0.367
biennial	dwitahunan	anticipation	0.367
theology	teologi	anticipation	0.359
offset	mengimbangi	anticipation	0.359
atone	atone	anticipation	0.359
timidity	keberanian	anticipation	0.359
theory	teori	anticipation	0.359
undying	tidak berkesudahan	anticipation	0.359
plump	gemuk	anticipation	0.359
audience	penonton	anticipation	0.357
nobility	bangsawan	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	diet	anticipation	0.352
closure	penutupan	anticipation	0.352
store	kedai	anticipation	0.352
localize	menyetempatkan	anticipation	0.352
cramp	kejang	anticipation	0.352
daily	setiap hari	anticipation	0.352
kindred	keluarga	anticipation	0.352
farm	ladang	anticipation	0.352
edition	edisi	anticipation	0.352
consecration	penyucian	anticipation	0.352
archaeology	arkeologi	anticipation	0.344
mobile	mudah alih	anticipation	0.344
errand	tugas	anticipation	0.344
wireless	tanpa wayar	anticipation	0.344
mutable	boleh berubah	anticipation	0.344
meditate	bermeditasi	anticipation	0.344
stripped	dilucutkan	anticipation	0.344
lessen	kurangkan	anticipation	0.336
unaccountable	tidak dapat dipertanggungjawabkan	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	bersaudara	anticipation	0.336
buddy	buddy	anticipation	0.336
unbeaten	tak terkalahkan	anticipation	0.336
germ	kuman	anticipation	0.336
dove	merpati	anticipation	0.328
digress	menggegarkan	anticipation	0.328
ribbon	riben	anticipation	0.328
olfactory	penciuman	anticipation	0.328
patient	pesakit	anticipation	0.328
council	majlis	anticipation	0.328
possess	mempunyai	anticipation	0.328
secular	sekular	anticipation	0.328
chastity	kesucian	anticipation	0.328
disposed	dilupuskan	anticipation	0.320
regularity	keteraturan	anticipation	0.320
mediator	pengantara	anticipation	0.320
scrutinize	meneliti	anticipation	0.320
fancy	mewah	anticipation	0.320
immature	tidak matang	anticipation	0.320
infanticide	pembunuhan bayi	anticipation	0.320
heft	heft	anticipation	0.320
preservative	pengawet	anticipation	0.320
paddle	dayung	anticipation	0.320
cove	cove	anticipation	0.320
denying	menyangkal	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	tidak diterbitkan	anticipation	0.312
analyst	penganalisis	anticipation	0.312
grim	suram	anticipation	0.312
church	gereja	anticipation	0.312
priesthood	imamat	anticipation	0.305
mill	kilang	anticipation	0.305
judicial	kehakiman	anticipation	0.305
broadside	broadside	anticipation	0.305
tributary	anak sungai	anticipation	0.297
cap	topi	anticipation	0.297
thermocouple	termokopel	anticipation	0.297
dismay	kecewa	anticipation	0.297
instructor	pengajar	anticipation	0.297
saliva	air liur	anticipation	0.297
exhaustion	keletihan	anticipation	0.297
bruise	lebam	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	tiada tempat tinggal	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	rangkaian	anticipation	0.289
shackle	belenggu	anticipation	0.289
addresses	alamat	anticipation	0.289
noncompliance	ketidakpatuhan	anticipation	0.289
cataract	katarak	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	ahli astronomi	anticipation	0.281
neighbor	jiran	anticipation	0.281
holiness	kesucian	anticipation	0.273
devil	syaitan	anticipation	0.273
cream	krim	anticipation	0.273
picket	piket	anticipation	0.273
latent	laten	anticipation	0.273
immaturity	kekurangan	anticipation	0.273
sentence	ayat	anticipation	0.273
neighborhood	kejiranan	anticipation	0.266
morals	moral	anticipation	0.266
lull	lull	anticipation	0.266
habitual	biasa	anticipation	0.266
weight	berat badan	anticipation	0.258
bye	selamat tinggal	anticipation	0.258
forearm	lengan	anticipation	0.250
clown	badut	anticipation	0.250
organ	organ	anticipation	0.250
quote	petikan	anticipation	0.242
commonplace	biasa	anticipation	0.242
dictatorship	kediktatoran	anticipation	0.234
board	papan	anticipation	0.234
white	putih	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	kereta api	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	pokok	anticipation	0.227
paralysis	lumpuh	anticipation	0.211
worm	cacing	anticipation	0.203
organization	organisasi	anticipation	0.203
cement	simen	anticipation	0.203
lagging	ketinggalan	anticipation	0.180
neutral	neutral	anticipation	0.148
cannibalism	kanibalisme	disgust	0.953
mutilation	mutilasi	disgust	0.930
molestation	pencabulan	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	rogol	disgust	0.906
cannibal	kanibal	disgust	0.898
rot	reput	disgust	0.891
corpse	mayat	disgust	0.883
massacre	pembunuhan beramai-ramai	disgust	0.883
excrement	najis	disgust	0.883
slaughter	penyembelihan	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	rumah sembelih	disgust	0.867
rancid	tengik	disgust	0.859
sewerage	pembetungan	disgust	0.859
incestuous	bersubahat	disgust	0.859
filth	kotoran	disgust	0.859
bigot	bigot	disgust	0.859
infestation	infestasi	disgust	0.852
plague	wabak	disgust	0.852
bloodthirsty	dahagakan darah	disgust	0.852
holocaust	holocaust	disgust	0.852
rotting	membusuk	disgust	0.844
maggot	ular	disgust	0.844
feces	najis	disgust	0.844
fecal	kotoran	disgust	0.844
murder	pembunuhan	disgust	0.839
infanticide	pembunuhan bayi	disgust	0.836
homicide	pembunuhan beramai-ramai	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	diperhambakan	disgust	0.836
gore	gore	disgust	0.828
perverted	sesat	disgust	0.828
torture	penyeksaan	disgust	0.828
slaughtering	penyembelihan	disgust	0.828
excretion	perkumuhan	disgust	0.828
contaminate	mencemari	disgust	0.821
murderer	pembunuh	disgust	0.820
gory	gory	disgust	0.820
repugnant	menjijikkan	disgust	0.820
desecration	penodaan	disgust	0.820
grotesque	menakutkan	disgust	0.820
revolting	memberontak	disgust	0.820
diarrhoea	cirit-birit	disgust	0.820
manure	kotoran	disgust	0.820
terrorist	pengganas	disgust	0.820
shit	kotoran	disgust	0.820
pervert	pervert	disgust	0.820
slavery	perhambaan	disgust	0.812
faeces	najis	disgust	0.812
sewer	pembetung	disgust	0.812
vomit	muntah	disgust	0.812
manslaughter	pembunuhan	disgust	0.812
dismemberment	pemecahan	disgust	0.812
cadaver	mayat	disgust	0.812
hemorrhage	pendarahan	disgust	0.805
repulsive	menjijikkan	disgust	0.805
perverse	jahat	disgust	0.805
filthy	kotor	disgust	0.797
sewage	kumbahan	disgust	0.797
depravity	kejahatan	disgust	0.797
diseased	berpenyakit	disgust	0.797
carcass	bangkai	disgust	0.795
decompose	terurai	disgust	0.789
vermin	kutu	disgust	0.789
puke	muntah	disgust	0.789
parasite	parasit	disgust	0.789
horrific	mengerikan	disgust	0.789
gruesome	mengerikan	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	dimutilasi	disgust	0.789
murderous	pembunuh	disgust	0.789
decayed	busuk	disgust	0.789
herpes	herpes	disgust	0.789
slime	lendir	disgust	0.781
flatulence	kembung perut	disgust	0.781
monstrosity	monstrosity	disgust	0.781
carnage	pembunuhan beramai-ramai	disgust	0.781
pestilence	penyakit sampar	disgust	0.781
malaria	malaria	disgust	0.781
crap	omong kosong	disgust	0.781
toxic	toksik	disgust	0.773
loathsome	menakutkan	disgust	0.773
insidious	berbahaya	disgust	0.773
leprosy	kusta	disgust	0.773
morgue	mayat	disgust	0.773
pus	nanah	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	pelacur	disgust	0.766
cruel	kejam	disgust	0.766
repugnance	kecemburuan	disgust	0.766
revulsion	penolakan	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	memuntahkan	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	pembedahan	disgust	0.759
canker	canker	disgust	0.758
cruelty	kekejaman	disgust	0.758
perversion	penyimpangan	disgust	0.758
evil	jahat	disgust	0.758
slum	kejang	disgust	0.758
infectious	berjangkit	disgust	0.758
mucous	mukosa	disgust	0.758
phlegm	kahak	disgust	0.758
leeches	lintah	disgust	0.750
decomposition	penguraian	disgust	0.750
sinister	jahat	disgust	0.750
corrupting	merosakkan	disgust	0.750
demon	setan	disgust	0.742
stinking	bau busuk	disgust	0.742
septic	septik	disgust	0.742
deranged	gila	disgust	0.742
bile	hempedu	disgust	0.742
soiled	kotor	disgust	0.742
mucus	lendir	disgust	0.742
abhorrence	penghinaan	disgust	0.742
abomination	kekejian	disgust	0.742
sickening	menyakitkan hati	disgust	0.742
demonic	syaitan	disgust	0.742
foul	busuk	disgust	0.734
obese	obes	disgust	0.734
sicken	sakit	disgust	0.734
degeneracy	degenerasi	disgust	0.734
crucifixion	penyaliban	disgust	0.734
despicable	hina	disgust	0.734
cancer	kanser	disgust	0.734
atrocity	kekejaman	disgust	0.734
terrorism	keganasan	disgust	0.734
dirty	kotor	disgust	0.727
dysentery	disentri	disgust	0.727
adultery	perzinaan	disgust	0.727
contamination	pencemaran	disgust	0.727
bacterium	bakteria	disgust	0.727
diabolical	jahat	disgust	0.727
morbidity	morbiditi	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	penolakan	disgust	0.727
enema	enema	disgust	0.727
contagion	penularan	disgust	0.719
disfigured	cacat	disgust	0.719
muck	kotoran	disgust	0.719
lewd	lucah	disgust	0.719
garbage	sampah	disgust	0.719
autopsy	autopsi	disgust	0.719
bowels	perut	disgust	0.719
gross	kasar	disgust	0.719
vulgar	kesat	disgust	0.719
barbaric	kejam	disgust	0.719
disgust	jijik	disgust	0.719
vicious	jahat	disgust	0.719
entrails	entrails	disgust	0.719
deterioration	kemerosotan	disgust	0.719
pungent	pedas	disgust	0.719
bloodshed	pertumpahan darah	disgust	0.714
violent	ganas	disgust	0.711
tyrant	tiran	disgust	0.711
poisoned	diracun	disgust	0.711
pollute	mencemari	disgust	0.711
wretched	celaka	disgust	0.711
nausea	loya	disgust	0.711
mortification	pengabaian	disgust	0.711
gag	gag	disgust	0.711
vulgarity	kekasaran	disgust	0.703
disgusting	menjijikkan	disgust	0.703
grope	meraba	disgust	0.703
slut	perempuan murahan	disgust	0.703
poisoning	keracunan	disgust	0.703
depraved	kejam	disgust	0.703
noxious	berbahaya	disgust	0.703
porn	porno	disgust	0.703
nasty	jahat	disgust	0.703
slimy	berlendir	disgust	0.703
despotism	despotisme	disgust	0.703
nauseate	mual	disgust	0.703
secretion	rembesan	disgust	0.703
constipation	sembelit	disgust	0.703
hateful	kebencian	disgust	0.703
grime	kotoran	disgust	0.703
measles	campak	disgust	0.696
contagious	berjangkit	disgust	0.695
hellish	jahat	disgust	0.695
waste	membazir	disgust	0.695
suicidal	bunuh diri	disgust	0.695
abuse	penyalahgunaan	disgust	0.695
hate	benci	disgust	0.695
wretch	celaka	disgust	0.695
intestinal	usus	disgust	0.695
wart	kutil	disgust	0.695
obesity	obesiti	disgust	0.695
scum	kotoran	disgust	0.695
contaminated	tercemar	disgust	0.688
disease	penyakit	disgust	0.688
rabid	rabun	disgust	0.688
ooze	selut	disgust	0.688
treason	pengkhianatan	disgust	0.688
heartworm	heartworm	disgust	0.688
smut	smut	disgust	0.688
cholera	kolera	disgust	0.680
deformed	cacat	disgust	0.680
detest	dendam	disgust	0.680
bestial	bestial	disgust	0.680
sickness	penyakit	disgust	0.680
antichrist	antikristus	disgust	0.680
abhorrent	abhorrent	disgust	0.680
soulless	berambut perang	disgust	0.680
freakish	luar biasa	disgust	0.680
grimy	kotor	disgust	0.680
hatred	kebencian	disgust	0.680
pollution	pencemaran	disgust	0.680
germ	kuman	disgust	0.680
abominate	abominate	disgust	0.680
hell	neraka	disgust	0.680
dilapidated	usang	disgust	0.672
dictatorship	kediktatoran	disgust	0.672
inhuman	tidak berperikemanusiaan	disgust	0.672
greasy	berminyak	disgust	0.672
hideous	mengerikan	disgust	0.672
loathful	kecewa	disgust	0.672
obscene	lucah	disgust	0.672
loathing	kecewa	disgust	0.672
cess	cess	disgust	0.670
devil	syaitan	disgust	0.664
heretic	heretic	disgust	0.664
nauseous	mual	disgust	0.664
abominable	abominable	disgust	0.664
deformity	kecacatan	disgust	0.664
deadly	maut	disgust	0.664
swine	babi	disgust	0.664
discrimination	diskriminasi	disgust	0.664
masochism	masokisme	disgust	0.664
poisonous	beracun	disgust	0.656
prejudiced	prejudis	disgust	0.656
bacteria	bakteria	disgust	0.656
death	kematian	disgust	0.656
poison	racun	disgust	0.656
trash	sampah	disgust	0.656
abortion	pengguguran	disgust	0.656
corruption	rasuah	disgust	0.656
victimized	mangsa	disgust	0.656
oppression	penindasan	disgust	0.656
goo	Goo	disgust	0.656
latrines	tandas	disgust	0.656
horror	seram	disgust	0.656
horrible	mengerikan	disgust	0.656
nefarious	jahat	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	balas dendam	disgust	0.648
outhouse	keluar rumah	disgust	0.648
horrid	mengerikan	disgust	0.648
detestation	penindasan	disgust	0.648
sludge	enap cemar	disgust	0.648
ugly	hodoh	disgust	0.648
trashy	sampah	disgust	0.648
bitch	jalang	disgust	0.648
immoral	tidak bermoral	disgust	0.648
malfeasance	malfasance	disgust	0.641
spew	memuntahkan	disgust	0.641
pimple	jerawat	disgust	0.641
indecency	tidak senonoh	disgust	0.641
unsightly	tidak sedap	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	jahat	disgust	0.641
cystic	cystic	disgust	0.641
horrifying	mengerikan	disgust	0.641
derogatory	menghina	disgust	0.641
laxative	julap	disgust	0.641
criminality	jenayah	disgust	0.641
oppressive	penindasan	disgust	0.633
sinful	berdosa	disgust	0.633
bigoted	ketegangan	disgust	0.633
doomsday	hari kiamat	disgust	0.633
prostitution	pelacuran	disgust	0.633
ulcer	ulser	disgust	0.633
secrete	mensucikan	disgust	0.633
perpetrator	pelaku	disgust	0.633
rat	tikus	disgust	0.633
queasy	mual	disgust	0.633
mildew	cendawan	disgust	0.633
dastardly	sangat buruk	disgust	0.625
disgraceful	memalukan	disgust	0.625
ghastly	ghairah	disgust	0.625
persecution	penganiayaan	disgust	0.625
devilish	syaitan	disgust	0.625
degrading	merendahkan diri	disgust	0.625
obscenity	kelucuan	disgust	0.625
fungus	kulat	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	kerakusan	disgust	0.625
stools	najis	disgust	0.625
suffering	penderitaan	disgust	0.625
contemptible	dihina	disgust	0.625
cuckold	Cuckold	disgust	0.625
bloated	kembung	disgust	0.625
aghast	terkejut	disgust	0.625
betrayal	pengkhianatan	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	menjangkiti	disgust	0.617
spoil	merosakkan	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	lemak	disgust	0.617
louse	kutu	disgust	0.617
malicious	berniat jahat	disgust	0.617
polygamy	poligami	disgust	0.617
crusty	rangup	disgust	0.617
atrocious	mengerikan	disgust	0.617
deceit	penipuan	disgust	0.617
termite	anai-anai	disgust	0.617
loathe	benci	disgust	0.617
wench	wench	disgust	0.617
dying	mati	disgust	0.617
sickly	sakit	disgust	0.617
diaper	lampin	disgust	0.617
strangle	mencekik	disgust	0.617
drool	drool	disgust	0.609
slander	fitnah	disgust	0.609
abhor	abhor	disgust	0.609
venomous	berbisa	disgust	0.609
brothel	rumah pelacuran	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	ganas	disgust	0.609
hostile	bermusuhan	disgust	0.609
sabotage	sabotaj	disgust	0.609
deform	ubah bentuk	disgust	0.609
bleeding	berdarah	disgust	0.609
unwashed	tidak dibasuh	disgust	0.602
lunacy	gila	disgust	0.602
imprisonment	dipenjarakan	disgust	0.602
infidel	kafir	disgust	0.602
deprivation	kekurangan	disgust	0.602
traitor	pengkhianat	disgust	0.602
ugliness	kehodohan	disgust	0.602
musty	musty	disgust	0.602
illicit	haram	disgust	0.602
swampy	paya	disgust	0.602
poaching	pemburuan haram	disgust	0.602
hag	hag	disgust	0.602
butcher	tukang daging	disgust	0.594
lunatic	gila	disgust	0.594
venom	racun	disgust	0.594
repelling	menangkis	disgust	0.594
thug	panggung	disgust	0.594
misery	kesengsaraan	disgust	0.594
toilet	tandas	disgust	0.594
slug	slug	disgust	0.594
catastrophe	malapetaka	disgust	0.594
epidemic	wabak	disgust	0.594
gut	usus	disgust	0.594
intoxicated	mabuk	disgust	0.594
blister	lepuh	disgust	0.594
deceitful	penipu	disgust	0.594
hostility	permusuhan	disgust	0.594
queasiness	kekaguman	disgust	0.594
lurid	lurid	disgust	0.594
sinner	orang berdosa	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	tandas	disgust	0.586
harass	mengganggu	disgust	0.586
unclean	haram	disgust	0.586
prostitute	pelacur	disgust	0.586
pornography	pornografi	disgust	0.586
dreadful	mengerikan	disgust	0.586
deteriorated	merosot	disgust	0.586
appalling	mengerikan	disgust	0.586
unfaithful	tidak setia	disgust	0.578
rash	ruam	disgust	0.578
humiliating	memalukan	disgust	0.578
ruinous	merosakkan	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	menyerang	disgust	0.578
conspirator	konspirator	disgust	0.578
larceny	larceny	disgust	0.578
debauchery	perbuatan jahat	disgust	0.578
mangle	mangle	disgust	0.578
flea	loak	disgust	0.578
hypocrite	munafik	disgust	0.578
retard	retard	disgust	0.578
fiend	jahat	disgust	0.578
sick	sakit	disgust	0.578
quagmire	quagmire	disgust	0.578
expulsion	pengusiran	disgust	0.578
treacherous	khianat	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	meludah	disgust	0.570
devastating	menghancurkan	disgust	0.570
bastard	bajingan	disgust	0.570
messy	berantakan	disgust	0.570
flog	flog	disgust	0.570
egregious	mengerikan	disgust	0.570
swamp	paya	disgust	0.570
oppress	menindas	disgust	0.570
despise	membenci	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	ular	disgust	0.570
snake	ular	disgust	0.562
terrible	dahsyat	disgust	0.562
awful	mengerikan	disgust	0.562
harmful	berbahaya	disgust	0.562
insanity	kegilaan	disgust	0.562
indecent	tidak senonoh	disgust	0.562
sordid	kotor	disgust	0.562
loo	loo	disgust	0.562
scoundrel	penipu	disgust	0.562
enemy	musuh	disgust	0.562
stealing	mencuri	disgust	0.562
alcoholism	alkohol	disgust	0.562
humiliation	penghinaan	disgust	0.562
ruthless	kejam	disgust	0.562
sloppy	ceroboh	disgust	0.562
tyrannical	kejam	disgust	0.562
harlot	pelacur	disgust	0.562
sinning	berdosa	disgust	0.562
robbery	rompakan	disgust	0.555
insufferable	tidak dapat dipertahankan	disgust	0.555
arsenic	arsenik	disgust	0.555
bloody	berdarah	disgust	0.555
odious	jelek	disgust	0.555
ridicule	cemburu	disgust	0.555
atrophy	atrofi	disgust	0.555
beastly	beastly	disgust	0.555
collusion	kolusi	disgust	0.555
distaste	sengsara	disgust	0.555
segregate	memisahkan	disgust	0.555
discriminating	membezakan	disgust	0.555
coward	pengecut	disgust	0.555
wickedness	kejahatan	disgust	0.555
threatening	mengancam	disgust	0.555
unattractive	tidak menarik	disgust	0.555
slayer	pembunuh	disgust	0.555
flabby	lembab	disgust	0.555
varicella	varicella	disgust	0.555
miserable	sengsara	disgust	0.547
sty	sty	disgust	0.547
ogre	ogre	disgust	0.547
coercion	paksaan	disgust	0.547
thief	pencuri	disgust	0.547
slur	slur	disgust	0.547
suffocating	sesak nafas	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	purgatory	disgust	0.547
malevolent	malevolent	disgust	0.547
bitterly	pahit	disgust	0.547
burglar	pencuri	disgust	0.547
attacking	menyerang	disgust	0.547
vesicular	vesikular	disgust	0.547
condemnation	kecaman	disgust	0.547
pillage	penculikan	disgust	0.547
deleterious	merosakkan	disgust	0.547
thrash	sampah	disgust	0.539
repellant	repellant	disgust	0.539
repudiation	penolakan	disgust	0.539
infidelity	kafir	disgust	0.539
liar	pembohong	disgust	0.539
fatty	lemak	disgust	0.539
gob	gob	disgust	0.539
sneer	mengejek	disgust	0.539
drunken	mabuk	disgust	0.539
disgrace	memalukan	disgust	0.539
shame	malu	disgust	0.539
jealous	cemburu	disgust	0.539
imprisoned	dipenjarakan	disgust	0.539
pig	babi	disgust	0.539
greedy	tamak	disgust	0.539
sloth	sloth	disgust	0.539
lethal	maut	disgust	0.536
burnt	dibakar	disgust	0.531
aberration	penyimpangan	disgust	0.531
condescension	penundaan	disgust	0.531
hydrocephalus	hidrosefalus	disgust	0.531
hanging	menggantung	disgust	0.531
destructive	merosakkan	disgust	0.531
smuggler	penyeludup	disgust	0.531
intolerant	tidak bertoleransi	disgust	0.531
travesty	travesty	disgust	0.531
intrusive	mengganggu	disgust	0.531
ruined	hancur	disgust	0.531
withered	layu	disgust	0.531
disintegrate	hancur	disgust	0.531
brawl	pergaduhan	disgust	0.531
blemish	cacat	disgust	0.531
neurotic	neurotik	disgust	0.531
blasphemous	menghujat	disgust	0.531
lying	berbohong	disgust	0.531
painful	menyakitkan	disgust	0.531
avarice	haram	disgust	0.523
disgraced	malu	disgust	0.523
mistress	perempuan simpanan	disgust	0.523
disparaging	merosot	disgust	0.523
rubbish	sampah	disgust	0.523
derogation	pengurangan	disgust	0.523
accusation	tuduhan	disgust	0.523
intolerance	sikap tidak bertoleransi	disgust	0.523
incarceration	pemenjaraan	disgust	0.523
blighted	dimusnahkan	disgust	0.523
sump	sump	disgust	0.516
deplorable	menyedihkan	disgust	0.516
daemon	daemon	disgust	0.516
cringe	merosot	disgust	0.516
degrade	merosot	disgust	0.516
gutter	longkang	disgust	0.516
rob	merompak	disgust	0.516
grim	suram	disgust	0.516
defraud	menipu	disgust	0.516
tortious	tortious	disgust	0.516
eradication	pembasmian	disgust	0.516
stink	bau busuk	disgust	0.516
convict	banduan	disgust	0.516
dishonor	kehinaan	disgust	0.516
vulture	burung hantu	disgust	0.516
remains	kekal	disgust	0.516
mite	hama	disgust	0.516
betray	mengkhianati	disgust	0.516
sham	syam	disgust	0.509
endemic	endemik	disgust	0.508
bombed	dibom	disgust	0.508
distress	kesusahan	disgust	0.508
pest	perosak	disgust	0.508
incurable	tidak dapat diubati	disgust	0.508
worthless	tidak bernilai	disgust	0.508
rejection	penolakan	disgust	0.508
distasteful	tidak menyenangkan	disgust	0.508
schizophrenia	skizofrenia	disgust	0.508
belittle	kurangkan	disgust	0.508
smelling	berbau	disgust	0.508
cheat	menipu	disgust	0.508
blob	gumpalan	disgust	0.508
prisoner	banduan	disgust	0.508
idiocy	idiocy	disgust	0.508
delirium	kecelaruan	disgust	0.508
disaster	bencana	disgust	0.508
crude	mentah	disgust	0.508
resentment	kebencian	disgust	0.508
dreadfully	sangat teruk	disgust	0.508
glut	glut	disgust	0.508
polemic	polemik	disgust	0.500
derision	derision	disgust	0.500
idolatry	penyembahan berhala	disgust	0.500
taboo	tabu	disgust	0.500
screaming	menjerit	disgust	0.500
banish	buang	disgust	0.500
dirt	kotoran	disgust	0.500
goblin	goblin	disgust	0.500
shackle	belenggu	disgust	0.500
bribery	rasuah	disgust	0.500
flagrant	tegas	disgust	0.500
jealousy	cemburu	disgust	0.500
impurity	kekotoran	disgust	0.500
theft	kecurian	disgust	0.500
bitterness	kepahitan	disgust	0.500
offense	kesalahan	disgust	0.500
impeach	mencabar	disgust	0.500
blight	blight	disgust	0.500
duress	duress	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	ketamakan	disgust	0.500
tirade	tirade	disgust	0.500
squirm	squirm	disgust	0.492
robber	perompak	disgust	0.492
ill	sakit	disgust	0.492
unconscionable	tidak dapat disangkal	disgust	0.492
recession	kemelesetan	disgust	0.492
gorge	jurang	disgust	0.492
wreck	bangkai	disgust	0.492
malign	malign	disgust	0.492
boil	didih	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	bodoh	disgust	0.492
disreputable	disegani	disgust	0.492
wasteful	membazir	disgust	0.484
affliction	penderitaan	disgust	0.484
stain	noda	disgust	0.484
contempt	penghinaan	disgust	0.484
nappy	nappy	disgust	0.484
mutiny	pemberontakan	disgust	0.484
occult	ghaib	disgust	0.484
tramp	tramp	disgust	0.484
unbearable	tidak tertanggung	disgust	0.484
offender	pesalah	disgust	0.484
servile	budak lelaki	disgust	0.484
contraband	seludup	disgust	0.484
raging	mengamuk	disgust	0.484
snarl	snarl	disgust	0.484
mad	gila	disgust	0.484
subjugation	penaklukan	disgust	0.484
possessed	dimiliki	disgust	0.484
animosity	permusuhan	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	fitnah	disgust	0.484
disrespectful	tidak sopan	disgust	0.484
mess	keadaan huru-hara	disgust	0.484
nepotism	nepotisme	disgust	0.484
inexcusable	tidak boleh dimaafkan	disgust	0.484
pathetic	kasihan	disgust	0.477
