word	Swahili-sw	emotion	emotion-intensity-score
attempt	jaribio	anticipation	0.562
forewarned	alitabiri	anticipation	0.562
fun	furaha	anticipation	0.562
festival	tamasha	anticipation	0.562
trophy	nyara	anticipation	0.562
rejoice	shangwe	anticipation	0.562
fanfare	fanfare	anticipation	0.562
predilection	predilection	anticipation	0.562
exalt	kuinua	anticipation	0.562
parade	kupigana	anticipation	0.562
enchant	mchanga	anticipation	0.562
independence	uhuru	anticipation	0.562
expose	wazi	anticipation	0.562
immortality	kutokufa	anticipation	0.562
expected	inatarajiwa	anticipation	0.562
mysterious	ajabu	anticipation	0.562
hypothesis	hypothesis	anticipation	0.562
accolade	kulazimisha	anticipation	0.562
lover	mpenzi	anticipation	0.562
quicken	onyesha	anticipation	0.562
champion	bingwa	anticipation	0.562
lovely	nzuri	anticipation	0.555
rejoicing	furaha	anticipation	0.555
grasping	kushikilia	anticipation	0.555
grow	kukua	anticipation	0.555
curiosity	udadisi	anticipation	0.555
splendor	utukufu	anticipation	0.555
salvation	wokovu	anticipation	0.555
happy	furaha	anticipation	0.555
oracle	kinywa	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	kufunua	anticipation	0.555
boisterous	kiburi	anticipation	0.555
liberty	uhuru	anticipation	0.555
heroism	ujasiri	anticipation	0.555
feeling	hisia	anticipation	0.555
shopping	ununuzi	anticipation	0.555
fate	hatima	anticipation	0.555
uneasiness	unasiness	anticipation	0.555
speculative	mapema	anticipation	0.555
changeable	kubadilika	anticipation	0.547
recreational	burudani	anticipation	0.547
pray	kuomba	anticipation	0.547
warn	onyesha	anticipation	0.547
suspicious	tuhuma	anticipation	0.547
convergence	kuungana	anticipation	0.547
incite	kuhamasisha	anticipation	0.547
agape	agape	anticipation	0.547
morrow	kesho	anticipation	0.547
abundance	wingi	anticipation	0.547
delighted	furaha	anticipation	0.547
resultant	matokeo	anticipation	0.547
hungry	njaa	anticipation	0.547
monetary	fedha	anticipation	0.547
vote	kupiga kura	anticipation	0.547
glory	utukufu	anticipation	0.547
glimmer	glimmer	anticipation	0.547
apprehensive	wasiwasi	anticipation	0.547
sorcery	uchawi	anticipation	0.547
bountiful	wenye manufaa	anticipation	0.547
leisure	burudani	anticipation	0.547
probability	uwezekano	anticipation	0.547
auction	mnada	anticipation	0.539
hunting	uwindaji	anticipation	0.539
contingent	sambamba	anticipation	0.539
hankering	kukimbia	anticipation	0.539
sensual	kidunia	anticipation	0.539
blessings	baraka	anticipation	0.539
ballot	kura	anticipation	0.539
grandchildren	wajukuu	anticipation	0.539
entertainment	burudani	anticipation	0.539
vindication	uhakikisho	anticipation	0.539
worrying	wasiwasi	anticipation	0.539
tempest	msimu	anticipation	0.539
inquiry	uchunguzi	anticipation	0.539
merge	kuunganisha	anticipation	0.539
exceed	wito	anticipation	0.539
bounty	fadhila	anticipation	0.539
glad	furahi	anticipation	0.536
magnificent	nzuri sana	anticipation	0.531
feat	feat	anticipation	0.531
stealthy	stealthy	anticipation	0.531
cheer	furaha	anticipation	0.531
spirits	roho	anticipation	0.531
visitor	mgeni	anticipation	0.531
appeal	rufaa	anticipation	0.531
forming	kutengeneza	anticipation	0.531
hurried	haraka	anticipation	0.531
responsive	msikivu	anticipation	0.531
virginity	ujinsia	anticipation	0.531
deliverance	ukombozi	anticipation	0.531
betrothed	waliyetumiwa	anticipation	0.531
overthrow	kupindua	anticipation	0.531
harbinger	kizuizi	anticipation	0.531
raving	raving	anticipation	0.531
celestial	mbinguni	anticipation	0.531
dread	hofu	anticipation	0.531
germination	kuota	anticipation	0.523
preparatory	maandalizi	anticipation	0.523
pleasant	mazuri	anticipation	0.523
watch	tazama	anticipation	0.523
prophet	nabii	anticipation	0.523
prognostic	prognostic	anticipation	0.523
haste	haraka	anticipation	0.523
planning	kupanga	anticipation	0.523
importance	umuhimu	anticipation	0.523
radiance	kutangaza	anticipation	0.523
prevail	kushinda	anticipation	0.523
cheery	sherehe	anticipation	0.523
competition	ushindani	anticipation	0.523
ultimately	hatimaye	anticipation	0.523
revive	kufufua	anticipation	0.523
beaming	kupiga	anticipation	0.523
wait	kusubiri	anticipation	0.523
child	mtoto	anticipation	0.523
notification	taarifa	anticipation	0.523
hunter	wawindaji	anticipation	0.523
explosive	kulipuka	anticipation	0.523
endanger	kuhatarisha	anticipation	0.516
time	wakati	anticipation	0.516
recreation	burudani	anticipation	0.516
renovation	ukarabati	anticipation	0.516
precious	thamani	anticipation	0.516
begun	imeanza	anticipation	0.516
loom	kupoteza	anticipation	0.516
compensate	fidia	anticipation	0.516
treat	kutibu	anticipation	0.516
uncontrollable	bila kudhibiti	anticipation	0.516
present	sasa	anticipation	0.516
salary	mshahara	anticipation	0.516
celebrity	mtu Mashuhuri	anticipation	0.516
owing	kulipa	anticipation	0.516
chocolate	chokoleti	anticipation	0.516
caution	tahadhari	anticipation	0.516
fermentation	fermentation	anticipation	0.516
sensuality	utamaduni	anticipation	0.516
wilderness	Nyika	anticipation	0.508
signify	ishara	anticipation	0.508
transitional	mpito	anticipation	0.508
intermission	uingizaji	anticipation	0.508
contemplation	kutafakari	anticipation	0.508
vigilance	uangalifu	anticipation	0.508
commemoration	maadhimisho	anticipation	0.508
practise	mazoezi	anticipation	0.508
cue	cue	anticipation	0.508
infant	watoto wachanga	anticipation	0.508
dreadful	hofu	anticipation	0.508
perfection	ukamilifu	anticipation	0.508
elevation	mwinuko	anticipation	0.508
prerequisite	lazima	anticipation	0.508
cultivate	kulima	anticipation	0.508
horizon	upeo wa macho	anticipation	0.508
develop	kuendeleza	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	kuogelea	anticipation	0.500
attendance	mahudhurio	anticipation	0.500
nascent	nascent	anticipation	0.500
favorable	nzuri	anticipation	0.500
peril	hatari	anticipation	0.500
income	mapato	anticipation	0.500
ardent	nguvu	anticipation	0.500
commemorate	kukumbuka	anticipation	0.500
doomsday	doomsday	anticipation	0.500
reconciliation	upatanisho	anticipation	0.500
utopian	watu wa nje	anticipation	0.500
romantic	kimapenzi	anticipation	0.500
unbridled	haijatilishwa	anticipation	0.500
sunny	jua	anticipation	0.500
uphill	kupanda	anticipation	0.500
intuitively	intuitively	anticipation	0.500
depart	shika	anticipation	0.500
eventuality	tukio	anticipation	0.500
puppy	puppy	anticipation	0.500
zeal	jitihada	anticipation	0.500
sneaking	kupiga	anticipation	0.500
ready	tayari	anticipation	0.500
advocacy	utetezi	anticipation	0.500
airport	uwanja wa ndege	anticipation	0.500
litigate	litana	anticipation	0.500
blindfold	kipofu	anticipation	0.500
undisclosed	haijafichuliwa	anticipation	0.500
young	vijana	anticipation	0.500
horoscope	horoscope	anticipation	0.500
invocation	kuomba	anticipation	0.500
calculation	hesabu	anticipation	0.500
hero	shujaa	anticipation	0.500
court	mahakama	anticipation	0.492
repay	kulipa	anticipation	0.492
improvise	inapotosha	anticipation	0.492
parole	msamaha	anticipation	0.492
worry	wasiwasi	anticipation	0.492
inauguration	Uzinduzi	anticipation	0.492
gaping	gaping	anticipation	0.492
youth	vijana	anticipation	0.492
bless	baraka	anticipation	0.492
defense	ulinzi	anticipation	0.492
heyday	heyday	anticipation	0.492
consequent	matokeo	anticipation	0.492
proceeding	kuendelea	anticipation	0.492
eventual	hatimaye	anticipation	0.492
perspective	mtazamo	anticipation	0.492
restorative	kurejesha	anticipation	0.492
undertaking	kufanya	anticipation	0.492
highest	juu	anticipation	0.491
duel	dua	anticipation	0.484
unexplained	isiyoelezwa	anticipation	0.484
tremor	tetemeko	anticipation	0.484
sharpen	kuboresha	anticipation	0.484
generosity	ukarimu	anticipation	0.484
voluptuous	voluptuous	anticipation	0.484
shortly	muda mfupi	anticipation	0.484
vow	nadhiri	anticipation	0.484
contagion	kuambukizwa	anticipation	0.484
letter	barua	anticipation	0.484
happen	kutokea	anticipation	0.484
threaten	tishia	anticipation	0.484
conjure	piga	anticipation	0.484
sparkle	huangaza	anticipation	0.484
engulf	engulf	anticipation	0.484
god	mungu	anticipation	0.484
correspondence	mawasiliano	anticipation	0.484
auspicious	unuspicious	anticipation	0.484
princely	heshima	anticipation	0.484
adore	adore	anticipation	0.477
enroll	kujiandikisha	anticipation	0.477
determinate	kuamua	anticipation	0.477
predispose	predispose	anticipation	0.477
clue	kidokezo	anticipation	0.477
onset	kuanza	anticipation	0.477
powerful	nguvu	anticipation	0.477
glorify	kumtukuza	anticipation	0.477
glow	mwanga	anticipation	0.477
arbitration	usuluhishi	anticipation	0.477
torture	mateso	anticipation	0.477
gravitate	futa	anticipation	0.477
cherish	cherish	anticipation	0.477
contemplate	kutafakari	anticipation	0.477
submit	tuma	anticipation	0.477
perilous	hatari	anticipation	0.477
unification	umoja	anticipation	0.477
score	alama	anticipation	0.477
medal	medali	anticipation	0.477
glide	glide	anticipation	0.477
recipient	mpokeaji	anticipation	0.477
accompaniment	kuambatana	anticipation	0.477
praiseworthy	sifa nzuri	anticipation	0.473
providing	kutoa	anticipation	0.469
motion	mwendo	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	tahadhari	anticipation	0.469
cash	fedha	anticipation	0.469
precursor	mtangulizi	anticipation	0.469
opera	opera	anticipation	0.469
elite	wasomi	anticipation	0.469
pry	pry	anticipation	0.469
hire	kukodisha	anticipation	0.469
sweets	pipi	anticipation	0.469
star	nyota	anticipation	0.469
unsurpassed	haijapigwa	anticipation	0.469
successful	imefanikiwa	anticipation	0.469
unknown	haijulikani	anticipation	0.469
immediately	mara moja	anticipation	0.469
starry	nyota	anticipation	0.469
production	uzalishaji	anticipation	0.469
football	soka	anticipation	0.469
completion	kukamilika	anticipation	0.469
scare	hofu	anticipation	0.469
invoke	kuomba	anticipation	0.469
shaky	shaky	anticipation	0.469
dawn	alfajiri	anticipation	0.469
creeping	kitambaa	anticipation	0.469
cheerfulness	furaha	anticipation	0.461
soundness	uzuri	anticipation	0.461
mail	barua	anticipation	0.461
draft	rasimu	anticipation	0.461
preliminary	awali	anticipation	0.461
friendly	kirafiki	anticipation	0.461
commemorative	kikumbusho	anticipation	0.461
extricate	imepungua	anticipation	0.461
alive	hai	anticipation	0.461
untold	haijulikani	anticipation	0.461
overture	overture	anticipation	0.461
excel	bora zaidi	anticipation	0.461
plight	shida	anticipation	0.461
synchronize	onanisha	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	mahali patakatifu	anticipation	0.461
brilliant	kipaji	anticipation	0.461
pay	kulipa	anticipation	0.461
shining	kuangaza	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	agano	anticipation	0.461
jeopardy	hatari	anticipation	0.461
perpetuity	kudumu	anticipation	0.453
elegance	ustadi	anticipation	0.453
career	kazi	anticipation	0.453
basketball	mpira wa kikapu	anticipation	0.453
intimately	karibu sana	anticipation	0.453
renovate	rekebisha	anticipation	0.453
supremacy	ukuu	anticipation	0.453
infinity	infinity	anticipation	0.453
unexpected	zisizotarajiwa	anticipation	0.453
flinch	flinch	anticipation	0.453
complement	kuongezea	anticipation	0.453
prologue	prologue	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	kuzuia	anticipation	0.453
improve	kuboresha	anticipation	0.453
sunset	jua	anticipation	0.453
inaugural	inaugural	anticipation	0.453
rehabilitation	ukarabati	anticipation	0.453
fitting	kufaa	anticipation	0.445
surround	piga	anticipation	0.445
share	kushiriki	anticipation	0.445
epidemic	janga	anticipation	0.445
sweet	tamu	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	siri	anticipation	0.445
confidence	kujiamini	anticipation	0.445
perfect	kamilifu	anticipation	0.445
sun	jua	anticipation	0.445
veracity	haki	anticipation	0.445
volunteer	kujitolea	anticipation	0.445
conjecture	dhana	anticipation	0.445
medical	matibabu	anticipation	0.438
prepared	tayari	anticipation	0.438
superstitious	ushirikina	anticipation	0.438
reconstruction	ujenzi	anticipation	0.438
tickle	tamaa	anticipation	0.438
faith	imani	anticipation	0.438
passenger	abiria	anticipation	0.438
saint	mtakatifu	anticipation	0.438
respect	heshima	anticipation	0.438
rabid	rabid	anticipation	0.438
reconstruct	upya upya	anticipation	0.438
recombination	recombination	anticipation	0.438
devout	mwaminifu	anticipation	0.438
goodness	wema	anticipation	0.438
angel	malaika	anticipation	0.438
ferment	ferment	anticipation	0.438
plea	maombi	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	serial	anticipation	0.438
conservation	uhifadhi	anticipation	0.438
serenity	Utulivu	anticipation	0.430
tabulate	tabulate	anticipation	0.430
install	weka	anticipation	0.430
labyrinth	labyrinth	anticipation	0.430
venerable	kuheshimiwa	anticipation	0.430
perpetuate	kuendeleza	anticipation	0.430
strategist	strategist	anticipation	0.430
unverified	haijathibitishwa	anticipation	0.430
tribunal	mahakama	anticipation	0.430
charitable	misaada	anticipation	0.430
luscious	ladha	anticipation	0.430
spa	spa	anticipation	0.430
peace	amani	anticipation	0.430
clap	piga	anticipation	0.430
conspirator	mkimbizi	anticipation	0.422
forestall	tamaa	anticipation	0.422
patience	uvumilivu	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	grin	anticipation	0.422
revere	heshima	anticipation	0.422
worship	ibada	anticipation	0.422
vista	vista	anticipation	0.422
laughter	kicheko	anticipation	0.422
volatility	tamaa	anticipation	0.422
adrift	adrift	anticipation	0.422
candid	mgombea	anticipation	0.422
edification	kujenga	anticipation	0.422
unresolved	haijatatuliwa	anticipation	0.422
peaceful	amani	anticipation	0.422
recognizable	inatambulika	anticipation	0.422
calls	wito	anticipation	0.414
weigh	kupima	anticipation	0.414
probation	majaribio	anticipation	0.414
proficiency	ustadi	anticipation	0.414
morn	jioni	anticipation	0.414
craps	hua	anticipation	0.414
detainee	kizuizini	anticipation	0.414
mediate	patanisha	anticipation	0.414
continue	endelea	anticipation	0.414
astrologer	nyota	anticipation	0.414
punctual	wakati	anticipation	0.414
ordination	upatanisho	anticipation	0.414
pretty	nzuri	anticipation	0.414
thought	mawazo	anticipation	0.414
grant	ruzuku	anticipation	0.414
withstand	kuhimili	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	inayoendelea	anticipation	0.414
sing	kuimba	anticipation	0.411
long	kwa muda mrefu	anticipation	0.406
confession	kuungama	anticipation	0.406
headlight	kichwa	anticipation	0.406
prophylactic	prophylactic	anticipation	0.406
mother	mama	anticipation	0.406
debenture	deni	anticipation	0.406
wizard	mchawi	anticipation	0.406
university	chuo kikuu	anticipation	0.406
proud	kiburi	anticipation	0.406
midwife	mkunga	anticipation	0.406
banquet	karamu	anticipation	0.406
continuation	kuendelea	anticipation	0.406
navigable	navigable	anticipation	0.406
punished	aliadhibiwa	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	faraja	anticipation	0.406
opponent	mpinzani	anticipation	0.406
subscribe	kujiunga	anticipation	0.406
outdo	nje	anticipation	0.406
nurture	kulisha	anticipation	0.406
twinkle	tinkle	anticipation	0.406
deal	toa	anticipation	0.402
efficient	ufanisi	anticipation	0.398
representing	inayowakilisha	anticipation	0.398
simmer	simmer	anticipation	0.398
symphony	symphony	anticipation	0.398
judiciary	mahakama	anticipation	0.398
obliging	inavyotakiwa	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	tahadhari	anticipation	0.398
death	kifo	anticipation	0.398
distracting	kuvuruga	anticipation	0.398
mortification	kupigwa	anticipation	0.398
balm	balm	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	juu	anticipation	0.398
lettered	iliyosafishwa	anticipation	0.398
reliance	kutegemea	anticipation	0.398
poke	poke	anticipation	0.391
unfulfilled	kutojazwa	anticipation	0.391
assurance	uhakika	anticipation	0.391
condemnation	hukumu	anticipation	0.391
undoubted	bila shaka	anticipation	0.391
diplomacy	diplomasia	anticipation	0.391
familiarity	ujuzi	anticipation	0.391
antidote	antidote	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	lengo	anticipation	0.391
maternal	mama	anticipation	0.391
abeyance	uasi	anticipation	0.391
art	sanaa	anticipation	0.391
linger	kulia	anticipation	0.391
trust	tumaini	anticipation	0.391
depraved	kupoteza	anticipation	0.391
sanctify	takatifu	anticipation	0.391
inoculation	inoculation	anticipation	0.384
chant	mimba	anticipation	0.383
banger	banger	anticipation	0.383
playground	uwanja wa michezo	anticipation	0.383
failing	kushindwa	anticipation	0.383
ship	meli	anticipation	0.383
hymn	nyimbo	anticipation	0.383
simplify	Rahisisha	anticipation	0.383
ram	kondoo	anticipation	0.383
labor	kazi	anticipation	0.383
discretion	busara	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	nzuri	anticipation	0.383
scientist	mwanasayansi	anticipation	0.383
undecided	haifai	anticipation	0.383
humanitarian	kibinadamu	anticipation	0.383
depend	tegemee	anticipation	0.383
dutiful	unastahili	anticipation	0.383
clock	saa	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	mlima	anticipation	0.375
savor	kula	anticipation	0.375
recurrent	mara kwa mara	anticipation	0.375
interim	muda mfupi	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	taratibu	anticipation	0.375
interminable	haiwezi kuendelea	anticipation	0.375
track	kufuatilia	anticipation	0.375
public	umma	anticipation	0.375
cradle	utoto	anticipation	0.375
concealed	siri	anticipation	0.367
lesson	somo	anticipation	0.367
instructions	maelekezo	anticipation	0.367
shiver	shiver	anticipation	0.367
musical	muziki	anticipation	0.367
towering	kubwa	anticipation	0.367
whim	whim	anticipation	0.367
spear	mkuki	anticipation	0.367
convince	kuwashawishi	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	Fuata	anticipation	0.367
biennial	wema	anticipation	0.367
theology	Theolojia	anticipation	0.359
offset	kukomesha	anticipation	0.359
atone	atone	anticipation	0.359
timidity	aibu	anticipation	0.359
theory	nadharia	anticipation	0.359
undying	bila kujifanya	anticipation	0.359
plump	tamaa	anticipation	0.359
audience	watazamaji	anticipation	0.357
nobility	heshima	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	chakula	anticipation	0.352
closure	kufungwa	anticipation	0.352
store	kuhifadhi	anticipation	0.352
localize	jenga	anticipation	0.352
cramp	kamba	anticipation	0.352
daily	kila siku	anticipation	0.352
kindred	jamaa	anticipation	0.352
farm	shamba	anticipation	0.352
edition	toleo	anticipation	0.352
consecration	utakaso	anticipation	0.352
archaeology	archeolojia	anticipation	0.344
mobile	rununu	anticipation	0.344
errand	sawa	anticipation	0.344
wireless	wireless	anticipation	0.344
mutable	inasababisha	anticipation	0.344
meditate	kutafakari	anticipation	0.344
stripped	kupigwa	anticipation	0.344
lessen	kupunguza	anticipation	0.336
unaccountable	haipatikani	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	ndugu	anticipation	0.336
buddy	buddy	anticipation	0.336
unbeaten	unbeaten	anticipation	0.336
germ	virusi	anticipation	0.336
dove	njiwa	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	Ribbon	anticipation	0.328
olfactory	vibaya	anticipation	0.328
patient	subira	anticipation	0.328
council	baraza	anticipation	0.328
possess	wamiliki	anticipation	0.328
secular	kidunia	anticipation	0.328
chastity	usafi	anticipation	0.328
disposed	zilizowekwa	anticipation	0.320
regularity	kawaida	anticipation	0.320
mediator	mpatanishi	anticipation	0.320
scrutinize	kuchunguza	anticipation	0.320
fancy	dhana	anticipation	0.320
immature	mchanga	anticipation	0.320
infanticide	watoto wachanga	anticipation	0.320
heft	heft	anticipation	0.320
preservative	kihifadhi	anticipation	0.320
paddle	paddle	anticipation	0.320
cove	cove	anticipation	0.320
denying	kukataa	anticipation	0.312
bugle	chupa	anticipation	0.312
unpublished	isiyochapishwa	anticipation	0.312
analyst	mchambuzi	anticipation	0.312
grim	mbaya	anticipation	0.312
church	kanisa	anticipation	0.312
priesthood	ukuhani	anticipation	0.305
mill	kinu	anticipation	0.305
judicial	mahakama	anticipation	0.305
broadside	upana	anticipation	0.305
tributary	tributary	anticipation	0.297
cap	cap	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	kufadhaika	anticipation	0.297
instructor	mwalimu	anticipation	0.297
saliva	mate	anticipation	0.297
exhaustion	uchovu	anticipation	0.297
bruise	kuponda	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	wasio na makazi	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	mtandao	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	anwani	anticipation	0.289
noncompliance	bila ya kufuata	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	astronomer	anticipation	0.281
neighbor	jirani	anticipation	0.281
holiness	utakatifu	anticipation	0.273
devil	shetani	anticipation	0.273
cream	cream	anticipation	0.273
picket	picket	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	ukomavu	anticipation	0.273
sentence	hukumu	anticipation	0.273
neighborhood	jirani	anticipation	0.266
morals	maadili	anticipation	0.266
lull	lull	anticipation	0.266
habitual	kawaida	anticipation	0.266
weight	uzito	anticipation	0.258
bye	bye	anticipation	0.258
forearm	upangaji	anticipation	0.250
clown	clown	anticipation	0.250
organ	chombo	anticipation	0.250
quote	quote	anticipation	0.242
commonplace	kawaida	anticipation	0.242
dictatorship	udikteta	anticipation	0.234
board	bodi	anticipation	0.234
white	nyeupe	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	reli	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	mti	anticipation	0.227
paralysis	kupooza	anticipation	0.211
worm	mdudu	anticipation	0.203
organization	shirika	anticipation	0.203
cement	saruji	anticipation	0.203
lagging	kuingia	anticipation	0.180
neutral	neutral	anticipation	0.148
cannibalism	uharibifu	disgust	0.953
mutilation	uharibifu	disgust	0.930
molestation	unyanyasaji	disgust	0.914
incest	mshirika	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	kubaka	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	kuoza	disgust	0.891
corpse	maiti	disgust	0.883
massacre	mauaji	disgust	0.883
excrement	uchafu	disgust	0.883
slaughter	kuchinjwa	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	kuchinjwa	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	maji taka	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	uchafu	disgust	0.859
bigot	bigot	disgust	0.859
infestation	infestation	disgust	0.852
plague	pigo	disgust	0.852
bloodthirsty	damu	disgust	0.852
holocaust	holocaust	disgust	0.852
rotting	kuoza	disgust	0.844
maggot	maggot	disgust	0.844
feces	kinyesi	disgust	0.844
fecal	fecal	disgust	0.844
murder	mauaji	disgust	0.839
infanticide	watoto wachanga	disgust	0.836
homicide	kujiua	disgust	0.836
asshole	punda	disgust	0.836
enslaved	watumwa	disgust	0.836
gore	gore	disgust	0.828
perverted	kupotoshwa	disgust	0.828
torture	mateso	disgust	0.828
slaughtering	kuua	disgust	0.828
excretion	excretion	disgust	0.828
contaminate	uchafua	disgust	0.821
murderer	mwuaji	disgust	0.820
gory	gory	disgust	0.820
repugnant	inakataa	disgust	0.820
desecration	uharibifu	disgust	0.820
grotesque	mno	disgust	0.820
revolting	kukiuka	disgust	0.820
diarrhoea	kuhara	disgust	0.820
manure	mbolea	disgust	0.820
terrorist	kigaidi	disgust	0.820
shit	shit	disgust	0.820
pervert	kupotoa	disgust	0.820
slavery	utumwa	disgust	0.812
faeces	vipande	disgust	0.812
sewer	maji taka	disgust	0.812
vomit	tamaa	disgust	0.812
manslaughter	mchinjaji	disgust	0.812
dismemberment	uharibifu	disgust	0.812
cadaver	mchezaji	disgust	0.812
hemorrhage	uharibifu wa damu	disgust	0.805
repulsive	kupuuza	disgust	0.805
perverse	kupotoa	disgust	0.805
filthy	machafu	disgust	0.797
sewage	maji taka	disgust	0.797
depravity	uharibifu	disgust	0.797
diseased	wagonjwa	disgust	0.797
carcass	mzoga	disgust	0.795
decompose	tamaa	disgust	0.789
vermin	vermin	disgust	0.789
puke	Tapika	disgust	0.789
parasite	vimelea	disgust	0.789
horrific	kutisha	disgust	0.789
gruesome	gruesome	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	kuharibiwa	disgust	0.789
murderous	wauaji	disgust	0.789
decayed	imeshuka	disgust	0.789
herpes	herpes	disgust	0.789
slime	lami	disgust	0.781
flatulence	kupuuza	disgust	0.781
monstrosity	monstrosity	disgust	0.781
carnage	mauaji	disgust	0.781
pestilence	tauni	disgust	0.781
malaria	malaria	disgust	0.781
crap	kupamba	disgust	0.781
toxic	sumu	disgust	0.773
loathsome	inachukia	disgust	0.773
insidious	insidious	disgust	0.773
leprosy	ukoma	disgust	0.773
morgue	morgue	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	huzinzi	disgust	0.766
cruel	mkatili	disgust	0.766
repugnance	upungufu	disgust	0.766
revulsion	uasi	disgust	0.766
xenophobia	ubaguzi wa ubaguzi	disgust	0.766
regurgitation	kurudia	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	dissection	disgust	0.759
canker	mchezaji	disgust	0.758
cruelty	ukatili	disgust	0.758
perversion	kupotosha	disgust	0.758
evil	mabaya	disgust	0.758
slum	slum	disgust	0.758
infectious	kuambukiza	disgust	0.758
mucous	mucous	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	uharibifu	disgust	0.750
sinister	sinister	disgust	0.750
corrupting	kuharibu	disgust	0.750
demon	pepo	disgust	0.742
stinking	kununulia	disgust	0.742
septic	septic	disgust	0.742
deranged	deranged	disgust	0.742
bile	bile	disgust	0.742
soiled	iliyopigwa	disgust	0.742
mucus	kamasi	disgust	0.742
abhorrence	chuki	disgust	0.742
abomination	chukizo	disgust	0.742
sickening	ugonjwa	disgust	0.742
demonic	pepo	disgust	0.742
foul	mchafu	disgust	0.734
obese	zaidi	disgust	0.734
sicken	ugonjwa	disgust	0.734
degeneracy	kupungua	disgust	0.734
crucifixion	kusulubiwa	disgust	0.734
despicable	kudharauliwa	disgust	0.734
cancer	kansa	disgust	0.734
atrocity	atrocity	disgust	0.734
terrorism	ugaidi	disgust	0.734
dirty	chafu	disgust	0.727
dysentery	kifua kikuu	disgust	0.727
adultery	uzinzi	disgust	0.727
contamination	uchafuzi	disgust	0.727
bacterium	bakteria	disgust	0.727
diabolical	diabolical	disgust	0.727
morbidity	maradhi	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	kukataa	disgust	0.727
enema	enema	disgust	0.727
contagion	kuambukizwa	disgust	0.719
disfigured	imefutwa	disgust	0.719
muck	muck	disgust	0.719
lewd	upole	disgust	0.719
garbage	takataka	disgust	0.719
autopsy	kujitegemea	disgust	0.719
bowels	matumbo	disgust	0.719
gross	jumla	disgust	0.719
vulgar	vulgar	disgust	0.719
barbaric	barbaric	disgust	0.719
disgust	chuki	disgust	0.719
vicious	mbaya	disgust	0.719
entrails	entrails	disgust	0.719
deterioration	Kuzorota	disgust	0.719
pungent	hasira	disgust	0.719
bloodshed	kupoteza damu	disgust	0.714
violent	vurugu	disgust	0.711
tyrant	mshambuliaji	disgust	0.711
poisoned	sumu	disgust	0.711
pollute	uchafua	disgust	0.711
wretched	taabu	disgust	0.711
nausea	kichefuchefu	disgust	0.711
mortification	kupigwa	disgust	0.711
gag	gag	disgust	0.711
vulgarity	uchafu	disgust	0.703
disgusting	machukizo	disgust	0.703
grope	kupumba	disgust	0.703
slut	slut	disgust	0.703
poisoning	sumu	disgust	0.703
depraved	kupoteza	disgust	0.703
noxious	wasiwasi	disgust	0.703
porn	porn	disgust	0.703
nasty	mbaya	disgust	0.703
slimy	slimy	disgust	0.703
despotism	despotism	disgust	0.703
nauseate	kichefuchefu	disgust	0.703
