word	Tamil-ta	emotion	emotion-intensity-score
bargaining	பேரம் பேசும்	anger	0.167
mule	கோவேறு கழுதை	anger	0.167
insignificant	முக்கியமற்ற	anger	0.167
attentionseekers	NO TRANSLATION	anger	0.163
indifference	அலட்சியம்	anger	0.156
rheumatism	வாத நோய்	anger	0.156
coop	கூட்டுறவு	anger	0.156
forearm	முழங்கையில்	anger	0.156
uncertain	நிச்சயமற்ற	anger	0.152
bee	தேனீ	anger	0.152
justthebeginning	NO TRANSLATION	anger	0.152
involvement	ஈடுபாடு	anger	0.152
disinformation	தவறான தகவல்கள் இவற்றின்	anger	0.152
attorney	வழக்கறிஞர்	anger	0.152
underpaid	குறைவான சம்பளம் பெறும்	anger	0.152
pretending	பாசாங்கு	anger	0.152
campaigning	பிரச்சாரம்	anger	0.151
hopelessness	நம்பிக்கையின்மை	anger	0.149
feeling	உணர்வு	anger	0.147
legalized	சட்டப்பூர்வமாக்கி	anger	0.145
caution	எச்சரிக்கை	anger	0.145
subsidy	மானியம்	anger	0.141
obliging	தெளிவற்ற	anger	0.141
morals	ஒழுக்கம்	anger	0.141
sterling	ஸ்டெர்லிங்	anger	0.141
wimpy	விம்பி	anger	0.140
bummer	உணர்த்துவதாக	anger	0.139
misspell	பிழையாய் எழுத்துக்கூட்டு	anger	0.136
saloon	சலூன்	anger	0.136
repay	திருப்பி	anger	0.136
blemish	களங்கமில்லாதது	anger	0.136
surcharge	கூடுதல் கட்டணம்	anger	0.136
geez	கீஜ்	anger	0.136
birch	பிர்ச்	anger	0.135
noob	ரஞ்சன்	anger	0.133
honk	வாத்தின் கூச்சல்	anger	0.133
orchestra	இசை	anger	0.132
competitive	போட்டி	anger	0.125
wireless	வயர்லெஸ்	anger	0.125
standstill	நின்றுபோனது	anger	0.125
mosque	மசூதி	anger	0.122
reversal	தலைகீழ்	anger	0.121
inattention	கவனமின்மை	anger	0.121
lace	சரிகை	anger	0.118
elbow	முழங்கை	anger	0.117
instinctive	உள்ளுணர்வு	anger	0.112
chant	மந்திரம்	anger	0.111
lonely	தனியாக	anger	0.109
gnome	முதுமொழி	anger	0.109
tolerate	பொறுத்துக்கொள்ள	anger	0.106
management	மேலாண்மை	anger	0.102
advocacy	ஆலோசனை	anger	0.100
moral	தார்மீக	anger	0.094
roadworks	roadworks	anger	0.091
honest	நேர்மையான	anger	0.087
forgetful	மறதி	anger	0.076
gent	ஆண்	anger	0.076
liquor	மதுபான	anger	0.075
money	பணம்	anger	0.074
hood	பேட்டை	anger	0.071
curriculum	பாடத்திட்டத்தை	anger	0.063
words	வார்த்தைகள்	anger	0.062
smell	வாசனை	anger	0.061
elf	தெய்வம்	anger	0.061
playful	விளையாட்டுத்தனமான	anger	0.061
opera	ஓபரா	anger	0.061
nurture	வளர்த்தெடுப்பதே	anger	0.059
asleeep	NO TRANSLATION	anger	0.059
counsellor	ஆலோசகர்	anger	0.059
trumpet	எக்காள	anger	0.059
birthplace	பிறப்பிடமாக	anger	0.051
ribbon	ரிப்பன்	anger	0.047
youth	இளைஞர்கள்	anger	0.045
vote	வாக்கு	anger	0.045
cash	பணம்	anger	0.039
wannasleep	NO TRANSLATION	anger	0.031
dame	டேம்	anger	0.030
waffle	வாப்பிள்	anger	0.030
buffet	பஃபே	anger	0.029
celebrity	பிரபல	anger	0.026
autocorrect	தன்னியக்கத்	anger	0.015
sisterhood	சகோதரி	anger	0.015
musical	இசை	anger	0.011
tree	மரம்	anger	0.000
anticipation	எதிர்பார்ப்பு	anticipation	0.859
excited	உற்சாகமாக	anticipation	0.859
anticipate	எதிர்பார்க்கின்றனர்	anticipation	0.820
excitement	உற்சாகத்தை	anticipation	0.820
eagerness	ஆர்வம்	anticipation	0.812
exciting	உற்சாகமான	anticipation	0.797
expectant	எதிர்பார்ப்பவர்களுக்கு	anticipation	0.789
thrilling	பரபரப்பான	anticipation	0.781
hope	நம்புகிறேன்	anticipation	0.773
quest	தேடலை	anticipation	0.766
expectance	expectance	anticipation	0.750
countdown	கவுண்டன்	anticipation	0.750
start	தொடக்கத்தில்	anticipation	0.750
anticipatory	முன்	anticipation	0.750
adventure	சாகச	anticipation	0.750
eager	ஆர்வமாக	anticipation	0.742
climax	உச்சக்கட்டத்தை	anticipation	0.742
excite	தூண்ட	anticipation	0.742
prophecy	தீர்க்கதரிசனம்	anticipation	0.742
arouse	கிளப்பும்	anticipation	0.742
expect	எதிர்பார்க்க	anticipation	0.742
birth	பிறந்த	anticipation	0.734
ejaculation	விந்துவெளியேற்றல்	anticipation	0.734
announcement	அறிவிப்பு	anticipation	0.734
liberation	விடுதலை	anticipation	0.727
urgent	அவசர	anticipation	0.727
expecting	எதிர்பார்ப்பதாக	anticipation	0.727
expectancy	எதிர்பார்ப்பு	anticipation	0.727
imminent	உடனடி	anticipation	0.727
aspire	ஆஸ்பியர்	anticipation	0.719
prospect	வாய்ப்பு	anticipation	0.719
trepidation	நடுக்கம்	anticipation	0.719
reunion	ஒன்றிணைதல்	anticipation	0.719
prospection	prospection	anticipation	0.719
voyage	பிரயாணம்	anticipation	0.719
mystery	மர்மம்	anticipation	0.711
journey	பயணம்	anticipation	0.711
kiss	முத்தம்	anticipation	0.711
enthusiasm	உற்சாகம்	anticipation	0.711
suspense	சஸ்பென்ஸ்	anticipation	0.711
ecstasy	எக்ஸ்டஸி	anticipation	0.711
rapture	பேரானந்தம்	anticipation	0.711
yearning	ஆவல்	anticipation	0.711
urgency	அவசர	anticipation	0.703
destination	இலக்கு	anticipation	0.703
frantic	வெறிகொண்டு	anticipation	0.703
excitation	ஆவதாகக்	anticipation	0.703
thrill	சுகமே	anticipation	0.703
prospective	வருங்கால	anticipation	0.703
hopeful	நம்பிக்கையோடு	anticipation	0.703
lottery	லாட்டரி	anticipation	0.703
progress	முன்னேற்றம்	anticipation	0.703
tantalizing	ஏமாற்றமளிக்கும்	anticipation	0.703
advance	முன்னெடுக்க	anticipation	0.695
explore	ஆராய	anticipation	0.695
liberate	விடுவித்து	anticipation	0.695
readiness	தயார்	anticipation	0.695
hurry	அவசரம்	anticipation	0.695
arrival	வருகையை	anticipation	0.695
vacation	விடுமுறைக்கு	anticipation	0.695
expectation	எதிர்பார்ப்பு	anticipation	0.695
sex	செக்ஸ்	anticipation	0.695
achievement	சாதனை	anticipation	0.695
prediction	கணிப்பை	anticipation	0.695
allure	மயக்கு	anticipation	0.688
ecstatic	களிப்பூட்டும்	anticipation	0.688
approaching	நெருங்கி	anticipation	0.688
uprising	எழுச்சி	anticipation	0.680
honeymoon	தேனிலவு	anticipation	0.680
roulette	ரவுலட்	anticipation	0.680
crescendo	உச்சத்தை	anticipation	0.672
holiday	விடுமுறை	anticipation	0.672
wishful	ராஜ	anticipation	0.672
celebrating	கொண்டாட	anticipation	0.672
waiting	காத்திருக்கும்	anticipation	0.664
winnings	வெற்றியின்	anticipation	0.664
orgasm	உச்சியை	anticipation	0.664
winning	வென்ற	anticipation	0.664
impending	வரவிருக்கும்	anticipation	0.664
invitation	அழைப்பை	anticipation	0.664
rescue	மீட்பு	anticipation	0.664
craving	ஏங்கி	anticipation	0.664
triumph	வெற்றி	anticipation	0.664
celebration	கொண்டாட்டம்	anticipation	0.656
victory	வெற்றி	anticipation	0.656
aspiring	ஆர்வலர்	anticipation	0.656
gain	ஆதாயம்	anticipation	0.656
jackpot	பரிசு	anticipation	0.656
marriage	திருமணம்	anticipation	0.656
strive	போராடு	anticipation	0.656
bridegroom	மாப்பிள்ளை	anticipation	0.656
reward	வெகுமதி	anticipation	0.656
fortune	அதிர்ஷ்டம்	anticipation	0.656
bridal	திருமண	anticipation	0.656
courtship	பெண்தேடிய	anticipation	0.656
treasure	புதையல்	anticipation	0.648
opportunity	வாய்ப்பு	anticipation	0.648
intrigue	சூழ்ச்சியை	anticipation	0.648
delivery	விநியோக	anticipation	0.648
alertness	உஷார்நிலை	anticipation	0.648
aspiration	ஆர்வத்தையும்	anticipation	0.648
inheritance	பரம்பரை	anticipation	0.648
rising	உயரும்	anticipation	0.648
tomorrow	நாளை	anticipation	0.648
prescient	தீர்க்கதரிசனமான	anticipation	0.648
crowning	மணிமகுட	anticipation	0.648
revolution	புரட்சி	anticipation	0.641
erotic	சிற்றின்ப	anticipation	0.641
spectacular	கண்கவர்	anticipation	0.641
anxious	ஆவலாக	anticipation	0.641
expedition	பயணம்	anticipation	0.641
possibility	சாத்தியம்	anticipation	0.641
launch	வெளியீட்டு	anticipation	0.641
bride	மணப்பெண்	anticipation	0.641
celebrated	பிரபல	anticipation	0.641
prognosis	முன்கணிப்பு	anticipation	0.641
engaged	ஈடுபட்டு	anticipation	0.641
reckoning	கணக்கிடுதல்	anticipation	0.641
award	விருது	anticipation	0.641
happiness	மகிழ்ச்சி	anticipation	0.641
hype	இவருக்கு	anticipation	0.641
receiving	பெறும்	anticipation	0.641
curious	ஆர்வமாக	anticipation	0.633
succeed	வெற்றி	anticipation	0.633
birthday	பிறந்த நாள்	anticipation	0.633
graduation	பட்டம்	anticipation	0.633
beware	எச்சரிக்கையாக	anticipation	0.633
vision	பார்வை	anticipation	0.633
passionate	உணர்ச்சி	anticipation	0.633
delight	மகிழ்ச்சி	anticipation	0.633
destiny	விதி	anticipation	0.633
ominous	அச்சுறுத்தும்	anticipation	0.633
coming	வரும்	anticipation	0.633
await	காத்திருங்கள்	anticipation	0.633
passion	பேரார்வம்	anticipation	0.633
firstborn	மூத்தவள்	anticipation	0.633
captivate	இழுக்கும்	anticipation	0.633
prepare	தயார்	anticipation	0.633
miracle	அதிசயம்	anticipation	0.633
triumphant	வெற்றிப்	anticipation	0.625
lust	காமம்	anticipation	0.625
retirement	ஓய்வு	anticipation	0.625
escape	தப்பிக்கும்	anticipation	0.625
gift	பரிசு	anticipation	0.625
inspiration	உத்வேகம்	anticipation	0.625
optimism	நம்பிக்கை	anticipation	0.625
foresee	முன்னறிந்திருக்கவில்லை	anticipation	0.625
ripen	பழுக்கவைக்க	anticipation	0.625
revival	மறுமலர்ச்சி	anticipation	0.625
embrace	தழுவி	anticipation	0.617
risky	ஆபத்தான	anticipation	0.617
ambition	லட்சியம்	anticipation	0.617
simmering	கொதிப்பை	anticipation	0.617
surprisingly	வியக்கத்தக்க	anticipation	0.617
verge	விளிம்பில்	anticipation	0.617
enchanting	மயக்கும்	anticipation	0.617
bloom	மலர்ந்து	anticipation	0.617
foresight	தொலைநோக்கு பார்வையால்	anticipation	0.617
foreboding	அச்சத்துடனும்	anticipation	0.617
destined	விதி	anticipation	0.617
succeeding	வெற்றி	anticipation	0.609
magical	மந்திர	anticipation	0.609
bonus	போனஸ்	anticipation	0.609
lookout	கவனிக்க	anticipation	0.609
matrimony	திருமணத்தின்	anticipation	0.609
alerts	எச்சரிக்கைகள்	anticipation	0.609
anxiety	பதட்டம்	anticipation	0.609
seductive	கவர்ச்சிமிக்க	anticipation	0.609
forecast	முன்னறிவிப்பு	anticipation	0.609
intended	நோக்கம்	anticipation	0.602
inspire	ஊக்குவிக்கும்	anticipation	0.602
diagnosis	நோய் கண்டறிதல்	anticipation	0.602
visionary	தொலைநோக்கு	anticipation	0.602
nervous	பதட்டமாக	anticipation	0.602
deserve	தகுதி	anticipation	0.602
fulfillment	பூர்த்தி	anticipation	0.602
picnic	சுற்றுலா	anticipation	0.602
applicant	விண்ணப்பதாரர்	anticipation	0.602
foreseen	ஊகிக்கக்கூடிய	anticipation	0.602
entertaining	பொழுதுபோக்கு	anticipation	0.602
revenge	பழிவாங்கும்	anticipation	0.602
success	வெற்றி	anticipation	0.602
prophetic	தீர்க்கதரிசன	anticipation	0.602
winner	வெற்றி	anticipation	0.602
longing	ஏக்கத்துடன்	anticipation	0.602
boomerang	பூமாராங்கை	anticipation	0.602
result	விளைவாக	anticipation	0.594
accelerate	முடுக்கி	anticipation	0.594
buzz	ஒலியை	anticipation	0.594
acquiring	பெறுவதற்கான	anticipation	0.594
marry	திருமணம்	anticipation	0.594
illuminate	தெளிவுபடுத்துவதற்காக	anticipation	0.594
romance	காதல்	anticipation	0.594
rekindle	தூண்ட	anticipation	0.594
luck	அதிர்ஷ்டம்	anticipation	0.594
advent	வருகையுடன்	anticipation	0.594
preparedness	தயார்நிலை	anticipation	0.594
momentum	வேகத்தை	anticipation	0.594
arrive	வரும்	anticipation	0.594
predict	கணிக்க	anticipation	0.589
sequel	தொடர்ச்சி	anticipation	0.586
money	பணம்	anticipation	0.586
endeavor	முயற்சி	anticipation	0.586
auspices	ஆதரவின்	anticipation	0.586
fiesta	ஃபீஸ்டாவில்	anticipation	0.586
raffle	தேவையற்ற கழிவுகள்	anticipation	0.586
preparation	தயாரிப்பு	anticipation	0.586
uplift	மேலெழும்பி	anticipation	0.586
investigation	விசாரணை	anticipation	0.586
gambling	சூதாட்ட	anticipation	0.586
delightful	மகிழ்ச்சிகரமானதாக	anticipation	0.586
enjoying	அனுபவிக்கும்	anticipation	0.586
seek	தேடுங்கள்	anticipation	0.586
impatient	பொறுமை	anticipation	0.586
overdue	தாமதத்திற்குப்	anticipation	0.586
crave	தள்ளும்	anticipation	0.586
flirt	உல்லாசமாக	anticipation	0.586
enthusiast	ஆர்வலர்	anticipation	0.586
presumption	புலப்படுகிறது	anticipation	0.586
immerse	மூழ்கடித்து	anticipation	0.586
progression	முன்னேற்றத்தை	anticipation	0.586
experiment	சோதனை	anticipation	0.580
inviting	அழைப்பு	anticipation	0.578
precarious	நிலையற்ற	anticipation	0.578
blessing	ஆசி	anticipation	0.578
harvest	அறுவடை	anticipation	0.578
transcendence	விஞ்சிய	anticipation	0.578
heavenly	பரலோக	anticipation	0.578
attainable	அடைய	anticipation	0.578
enjoy	அனுபவிக்க	anticipation	0.578
divination	கணிப்பு	anticipation	0.578
excavation	அகழ்வாராய்ச்சி	anticipation	0.578
healing	சிகிச்சைமுறை	anticipation	0.578
majestic	கம்பீரமான	anticipation	0.578
clamor	ஆரவாரமோ	anticipation	0.578
thirst	தாகம்	anticipation	0.578
remedy	தீர்வு	anticipation	0.578
prosper	செழிப்புற	anticipation	0.578
risk	ஆபத்து	anticipation	0.578
angling	ஆங்கிளிங்	anticipation	0.578
completing	முடித்த	anticipation	0.578
thriving	வெற்றிகரமான	anticipation	0.578
zest	அனுபவம்	anticipation	0.570
tease	கேலி	anticipation	0.570
matchmaker	தரகரை	anticipation	0.570
prospectively	வாய்ப்புகள்	anticipation	0.570
restlessness	ஓய்வின்மை	anticipation	0.570
sweetheart	காதலி	anticipation	0.570
emancipation	விடுதலை	anticipation	0.570
ultimate	இறுதி	anticipation	0.570
invite	அழைக்க	anticipation	0.570
gambler	சூதாட்டக்காரராக	anticipation	0.570
dare	தைரியம்	anticipation	0.570
plan	திட்டம்	anticipation	0.570
magnificence	சிறப்புக்கும்	anticipation	0.570
warned	எச்சரித்தார்	anticipation	0.570
finally	இறுதியாக	anticipation	0.570
intimate	நெருக்கமான	anticipation	0.570
omen	சகுனம்	anticipation	0.570
attempt	முயற்சி	anticipation	0.562
forewarned	முன்னெச்சரிக்கை	anticipation	0.562
fun	வேடிக்கை	anticipation	0.562
festival	திருவிழா	anticipation	0.562
trophy	கோப்பையை	anticipation	0.562
rejoice	சந்தோஷப்படுங்கள்	anticipation	0.562
fanfare	ஆரவாரத்துடன்	anticipation	0.562
predilection	ஒருதலை	anticipation	0.562
exalt	பதவி உயர்த்து	anticipation	0.562
parade	அணிவகுப்பு	anticipation	0.562
enchant	மயக்க	anticipation	0.562
independence	சுதந்திரம்	anticipation	0.562
expose	அம்பலப்படுத்த	anticipation	0.562
immortality	அழியாத்	anticipation	0.562
expected	எதிர்பார்க்கப்படுகிறது	anticipation	0.562
mysterious	மர்மமான	anticipation	0.562
hypothesis	கருதுகோள்	anticipation	0.562
accolade	பட்டத்திற்கு	anticipation	0.562
lover	காதலன்	anticipation	0.562
quicken	வேகமாக	anticipation	0.562
champion	சாம்பியன்	anticipation	0.562
lovely	அழகான	anticipation	0.555
rejoicing	மிக்க மகிழ்ச்சியுடன்	anticipation	0.555
grasping	தத்தளிக்கும்	anticipation	0.555
grow	வளர	anticipation	0.555
curiosity	ஆர்வத்தை	anticipation	0.555
splendor	சிறப்புகளை	anticipation	0.555
salvation	இரட்சிப்பின்	anticipation	0.555
happy	சந்தோஷமாக	anticipation	0.555
oracle	ஆரக்கிள்	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	விரிவடைகிறது	anticipation	0.555
boisterous	மூர்க்கத்தனமான	anticipation	0.555
liberty	சுதந்திரம்	anticipation	0.555
heroism	வீரம்	anticipation	0.555
feeling	உணர்வு	anticipation	0.555
shopping	கடையில் பொருட்கள் வாங்குதல்	anticipation	0.555
fate	விதி	anticipation	0.555
uneasiness	ஊக்கமின்மை	anticipation	0.555
speculative	ஊக	anticipation	0.555
changeable	மாறக்கூடிய	anticipation	0.547
recreational	பொழுதுபோக்கு	anticipation	0.547
pray	பிரார்த்தனை	anticipation	0.547
warn	எச்சரிக்க	anticipation	0.547
suspicious	சந்தேகத்திற்கிடமான	anticipation	0.547
convergence	கூடுகை	anticipation	0.547
incite	தூண்டிவிடுதல்	anticipation	0.547
agape	திகைப்பு	anticipation	0.547
morrow	மறுநாள்	anticipation	0.547
abundance	மிகுதியாக	anticipation	0.547
delighted	மகிழ்ச்சியடைகின்றது	anticipation	0.547
resultant	விளைவாக	anticipation	0.547
hungry	பசி	anticipation	0.547
monetary	பண	anticipation	0.547
vote	வாக்கு	anticipation	0.547
glory	மகிமை	anticipation	0.547
glimmer	சுட்டெரித்துவிடும்	anticipation	0.547
apprehensive	பயம்	anticipation	0.547
sorcery	மந்திரவாதியின்	anticipation	0.547
bountiful	அபரிமிதமான	anticipation	0.547
leisure	ஓய்வு	anticipation	0.547
probability	நிகழ்தகவு	anticipation	0.547
auction	ஏலம்	anticipation	0.539
hunting	வேட்டையாடுதல்	anticipation	0.539
contingent	கான்டின்ஜென்ட்	anticipation	0.539
hankering	பெரிதும்	anticipation	0.539
sensual	பாலுணர்வு	anticipation	0.539
blessings	ஆசீர்வாதம்	anticipation	0.539
ballot	வாக்கு	anticipation	0.539
grandchildren	பேரப்பிள்ளைகள்	anticipation	0.539
entertainment	பொழுதுபோக்கு	anticipation	0.539
vindication	நியாயநிரூபணம்	anticipation	0.539
worrying	கவலைப்படுதல்	anticipation	0.539
tempest	பெருங்காற்று	anticipation	0.539
inquiry	விசாரணை	anticipation	0.539
merge	ஒன்றாக்க	anticipation	0.539
exceed	தாண்ட	anticipation	0.539
bounty	தாராளம்	anticipation	0.539
glad	மகிழ்ச்சி	anticipation	0.536
magnificent	அற்புதமான	anticipation	0.531
feat	சாதனையை	anticipation	0.531
stealthy	இரகசியமான	anticipation	0.531
cheer	உற்சாகம்	anticipation	0.531
spirits	ஆவிகள்	anticipation	0.531
visitor	பார்வையாளர்	anticipation	0.531
appeal	முறையீடு	anticipation	0.531
forming	உருவாக்கும்	anticipation	0.531
hurried	அவசரமான	anticipation	0.531
responsive	பதிலளிக்க	anticipation	0.531
virginity	கன்னித்தன்மையை	anticipation	0.531
deliverance	விடுதலை	anticipation	0.531
betrothed	திருமணம் நிச்சயமாகிறது	anticipation	0.531
overthrow	வீழ்த்துவதற்கு	anticipation	0.531
harbinger	கட்டியம் கூறி	anticipation	0.531
raving	பிதற்றுகிற	anticipation	0.531
celestial	தெய்வீக	anticipation	0.531
dread	முகாந்தரத்திலும்	anticipation	0.531
germination	முளைக்கும்	anticipation	0.523
preparatory	ஆயத்த	anticipation	0.523
pleasant	இனிமையான	anticipation	0.523
watch	பார்க்க	anticipation	0.523
prophet	தீர்க்கதரிசி	anticipation	0.523
prognostic	முன்கணிப்பு	anticipation	0.523
haste	அவசரமாக	anticipation	0.523
planning	திட்டமிடல்	anticipation	0.523
importance	முக்கியத்துவம்	anticipation	0.523
radiance	பிரகாசம்	anticipation	0.523
prevail	மேம்படு	anticipation	0.523
cheery	மகிழ்ச்சியூட்டுகின்ற	anticipation	0.523
competition	போட்டி	anticipation	0.523
ultimately	இறுதியில்	anticipation	0.523
revive	புதுப்பிக்க	anticipation	0.523
beaming	அருட்	anticipation	0.523
wait	காத்திரு	anticipation	0.523
child	குழந்தை	anticipation	0.523
notification	அறிவிப்பு	anticipation	0.523
hunter	வேட்டையாடி	anticipation	0.523
explosive	வெடிக்கும்	anticipation	0.523
endanger	ஆபத்து	anticipation	0.516
time	நேரம்	anticipation	0.516
recreation	மனமகிழ்	anticipation	0.516
renovation	சீரமைப்பு	anticipation	0.516
precious	விலைமதிப்பற்ற	anticipation	0.516
begun	தொடங்கியுள்ளன	anticipation	0.516
loom	தறி	anticipation	0.516
compensate	ஈடு	anticipation	0.516
treat	சிகிச்சை	anticipation	0.516
uncontrollable	கட்டுப்படுத்த முடியாத	anticipation	0.516
present	தற்போது	anticipation	0.516
salary	சம்பளம்	anticipation	0.516
celebrity	பிரபல	anticipation	0.516
owing	இன்னும் கொடுபட வேண்டிய	anticipation	0.516
chocolate	சாக்லேட்	anticipation	0.516
caution	எச்சரிக்கை	anticipation	0.516
fermentation	நொதித்தல்	anticipation	0.516
sensuality	உணர்ச்சி மிகு	anticipation	0.516
wilderness	வனாந்தரத்தில்	anticipation	0.508
signify	குறிக்கும்	anticipation	0.508
transitional	இடைநிலை	anticipation	0.508
intermission	இடைவேளை	anticipation	0.508
contemplation	சிந்தனையில்	anticipation	0.508
vigilance	கண்காணிப்பு	anticipation	0.508
commemoration	நினைவு	anticipation	0.508
practise	பயிற்சி	anticipation	0.508
cue	கோல்	anticipation	0.508
infant	குழந்தை	anticipation	0.508
dreadful	அச்சமூட்டும்	anticipation	0.508
perfection	முழுமையாக	anticipation	0.508
elevation	உயரத்தில்	anticipation	0.508
prerequisite	முன்நிபந்தனை	anticipation	0.508
cultivate	பயிரிட	anticipation	0.508
horizon	அடிவானத்தில்	anticipation	0.508
develop	உருவாக்க	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	நீந்து	anticipation	0.500
attendance	வருகை	anticipation	0.500
nascent	ஆரம்பகட்டத்தில்	anticipation	0.500
favorable	சாதகமான	anticipation	0.500
peril	ஆபத்தில் சிக்க	anticipation	0.500
income	வருமானம்	anticipation	0.500
ardent	தீவிர	anticipation	0.500
commemorate	நினைவாக	anticipation	0.500
doomsday	இறுதிநாள்	anticipation	0.500
reconciliation	சமரசம்	anticipation	0.500
utopian	யுடோபியன்	anticipation	0.500
romantic	காதல்	anticipation	0.500
unbridled	தடையற்ற	anticipation	0.500
sunny	சன்னி	anticipation	0.500
uphill	மேல்நோக்கி	anticipation	0.500
intuitively	உள்ளுணர்வுடன்	anticipation	0.500
depart	புறப்படு	anticipation	0.500
eventuality	எதிர்பாராத நிலைக்கு	anticipation	0.500
puppy	நாய்க்குட்டி	anticipation	0.500
zeal	ஆர்வத்துடன்	anticipation	0.500
sneaking	இழிவான	anticipation	0.500
ready	தயாராக	anticipation	0.500
advocacy	ஆலோசனை	anticipation	0.500
airport	விமான நிலைய	anticipation	0.500
litigate	வழக்காடு	anticipation	0.500
blindfold	கண்களைக்	anticipation	0.500
undisclosed	வெளியிடப்படாத	anticipation	0.500
young	இளம்	anticipation	0.500
horoscope	ஜாதகப்படி	anticipation	0.500
invocation	பிரார்த்தனையுடன்	anticipation	0.500
calculation	கணக்கீடு	anticipation	0.500
hero	ஹீரோ	anticipation	0.500
court	நீதிமன்றம்	anticipation	0.492
repay	திருப்பி	anticipation	0.492
improvise	கையிலுள்ள	anticipation	0.492
parole	பரோலில்	anticipation	0.492
worry	கவலைப்பட	anticipation	0.492
inauguration	திறப்புவிழா	anticipation	0.492
gaping	வாய்பிளக்கும்	anticipation	0.492
youth	இளைஞர்கள்	anticipation	0.492
bless	ஆசீர்வதிப்பார்	anticipation	0.492
defense	பாதுகாப்பு	anticipation	0.492
heyday	செல்வாக்கு மிக்க	anticipation	0.492
consequent	விளைவாக	anticipation	0.492
proceeding	தொடர்வதற்கு	anticipation	0.492
eventual	இறுதியில்	anticipation	0.492
perspective	முன்னோக்கு	anticipation	0.492
restorative	சீரமைப்பு	anticipation	0.492
undertaking	காரியம்	anticipation	0.492
highest	உயர்ந்த	anticipation	0.491
duel	நிகழ்ந்த	anticipation	0.484
unexplained	விவரிக்க முடியாத	anticipation	0.484
tremor	நடுக்கம்	anticipation	0.484
sharpen	கூர்மைப்படுத்துங்கள்	anticipation	0.484
generosity	பெருந்தன்மை	anticipation	0.484
voluptuous	காமாதுர	anticipation	0.484
shortly	விரைவில்	anticipation	0.484
vow	சபதம்	anticipation	0.484
contagion	பகிர்தலின்	anticipation	0.484
letter	கடிதம்	anticipation	0.484
happen	நடக்கும்	anticipation	0.484
threaten	அச்சுறுத்தும்	anticipation	0.484
conjure	சிந்தாது	anticipation	0.484
sparkle	பிரகாசிக்கின்றன	anticipation	0.484
engulf	விழுங்கி	anticipation	0.484
god	தேவன்	anticipation	0.484
correspondence	கடித	anticipation	0.484
auspicious	மங்களகரமான	anticipation	0.484
princely	சுதேச	anticipation	0.484
adore	வணங்கு	anticipation	0.477
enroll	சேர	anticipation	0.477
determinate	தீர்மானிக்கப்பட்டது	anticipation	0.477
predispose	முன்னமே	anticipation	0.477
clue	துப்பு	anticipation	0.477
onset	தொடங்கிய	anticipation	0.477
powerful	சக்திவாய்ந்த	anticipation	0.477
glorify	மகிமைப்படுத்தும்	anticipation	0.477
glow	எரியாது	anticipation	0.477
arbitration	நடுவர்	anticipation	0.477
torture	சித்திரவதை	anticipation	0.477
gravitate	ஈர்ப்பு	anticipation	0.477
cherish	சந்தோஷமாக	anticipation	0.477
contemplate	சிந்திக்க	anticipation	0.477
submit	சமர்ப்பிக்க	anticipation	0.477
perilous	ஆபத்தான	anticipation	0.477
unification	ஒருங்கிணைப்பு	anticipation	0.477
score	மதிப்பெண்	anticipation	0.477
medal	பதக்கம்	anticipation	0.477
glide	சறுக்கு	anticipation	0.477
recipient	பெறுநர்	anticipation	0.477
accompaniment	அழகுக்காக	anticipation	0.477
praiseworthy	போற்றுதலுக்குரிய	anticipation	0.473
providing	வழங்கும்	anticipation	0.469
motion	இயக்கம்	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	எச்சரிக்கையாக	anticipation	0.469
cash	பணம்	anticipation	0.469
precursor	முன்னோடி	anticipation	0.469
opera	ஓபரா	anticipation	0.469
elite	உயரடுக்கு	anticipation	0.469
pry	துருவிப்பார்	anticipation	0.469
hire	வேலைக்கு	anticipation	0.469
sweets	இனிப்புகள்	anticipation	0.469
star	நட்சத்திர	anticipation	0.469
unsurpassed	வரையற்ற	anticipation	0.469
successful	வெற்றிகரமான	anticipation	0.469
unknown	தெரியாத	anticipation	0.469
immediately	உடனடியாக	anticipation	0.469
starry	விண்மீன்கள்	anticipation	0.469
production	தயாரிப்பு	anticipation	0.469
football	கால்பந்து	anticipation	0.469
completion	நிறைவு	anticipation	0.469
scare	பயத்தின்	anticipation	0.469
invoke	செயலாக்க	anticipation	0.469
shaky	தடுமாற்றத்தை	anticipation	0.469
dawn	விடியல்	anticipation	0.469
creeping	ஊடுருவி	anticipation	0.469
cheerfulness	மனமகிழ்ச்சியடைதல்	anticipation	0.461
soundness	வலுவான	anticipation	0.461
mail	மெயில்	anticipation	0.461
draft	வரைவு	anticipation	0.461
preliminary	பூர்வாங்க	anticipation	0.461
friendly	நட்பு	anticipation	0.461
commemorative	நினைவு	anticipation	0.461
extricate	விடுவித்துக்	anticipation	0.461
alive	உயிருடன்	anticipation	0.461
untold	சொல்லப்படாத	anticipation	0.461
overture	பிரஸ்தாபம்	anticipation	0.461
excel	எக்சல்	anticipation	0.461
plight	அவல நிலை	anticipation	0.461
synchronize	ஒத்திசை	anticipation	0.461
punt	பன்டிற்கான	anticipation	0.461
