word	Albanian-sq	emotion	emotion-intensity-score
smut	vrug	disgust	0.688
cholera	kolerë	disgust	0.680
deformed	deformuara	disgust	0.680
detest	urrej	disgust	0.680
bestial	shtazarak	disgust	0.680
sickness	sëmundje	disgust	0.680
antichrist	antikrishti	disgust	0.680
abhorrent	i pështirë	disgust	0.680
soulless	i pashpirt	disgust	0.680
freakish	tekanjoz	disgust	0.680
grimy	i ndotur	disgust	0.680
hatred	urrejtje	disgust	0.680
pollution	ndotje	disgust	0.680
germ	embrion	disgust	0.680
abominate	urrej	disgust	0.680
hell	ferr	disgust	0.680
dilapidated	i rrënuar	disgust	0.672
dictatorship	diktaturë	disgust	0.672
inhuman	çnjerëzor	disgust	0.672
greasy	me yndyrë	disgust	0.672
hideous	i shëmtuar	disgust	0.672
loathful	i neveritshëm	disgust	0.672
obscene	i pahijshëm	disgust	0.672
loathing	urrejtje	disgust	0.672
cess	tatim	disgust	0.670
devil	djall	disgust	0.664
heretic	heretik	disgust	0.664
nauseous	pështjellues	disgust	0.664
abominable	i neveritshëm	disgust	0.664
deformity	gjë e shëmtuar	disgust	0.664
deadly	vdekjeprurës	disgust	0.664
swine	derr	disgust	0.664
discrimination	diskriminim	disgust	0.664
masochism	mazoshizëm	disgust	0.664
poisonous	helmues	disgust	0.656
prejudiced	me paragjykime	disgust	0.656
bacteria	bakteret	disgust	0.656
death	vdekje	disgust	0.656
poison	helm	disgust	0.656
trash	plehra	disgust	0.656
abortion	abort	disgust	0.656
corruption	korrupsioni	disgust	0.656
victimized	viktimizuar	disgust	0.656
oppression	shtypje	disgust	0.656
goo	goo	disgust	0.656
latrines	WC	disgust	0.656
horror	tmerr	disgust	0.656
horrible	i tmerrshëm	disgust	0.656
nefarious	i poshtër	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	hakmarrës	disgust	0.648
outhouse	krah	disgust	0.648
horrid	i tmerrshëm	disgust	0.648
detestation	urrejtje	disgust	0.648
sludge	llum	disgust	0.648
ugly	i shëmtuar	disgust	0.648
trashy	i pavlerë	disgust	0.648
bitch	kurvë	disgust	0.648
immoral	imoral	disgust	0.648
malfeasance	krim	disgust	0.641
spew	vjell	disgust	0.641
pimple	puçërr	disgust	0.641
indecency	gjë e turpshme	disgust	0.641
unsightly	i shëmtuar	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	i ndyrë	disgust	0.641
cystic	cistike	disgust	0.641
horrifying	tmerruese	disgust	0.641
derogatory	poshtërues	disgust	0.641
laxative	laksativ	disgust	0.641
criminality	kriminalitet	disgust	0.641
oppressive	shtypës	disgust	0.633
sinful	mëkatar	disgust	0.633
bigoted	fanatik	disgust	0.633
doomsday	fundi i botës	disgust	0.633
prostitution	prostitucion	disgust	0.633
ulcer	ulçerë	disgust	0.633
secrete	nxjerr	disgust	0.633
perpetrator	kryesi	disgust	0.633
rat	mi	disgust	0.633
queasy	i dobët	disgust	0.633
mildew	myk	disgust	0.633
dastardly	i poshtër	disgust	0.625
disgraceful	i turpshëm	disgust	0.625
ghastly	i kobshëm	disgust	0.625
persecution	persekutim	disgust	0.625
devilish	djallëzor	disgust	0.625
degrading	degradues	disgust	0.625
obscenity	gjë e turpshme	disgust	0.625
fungus	këpurdhë	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	grykësi	disgust	0.625
stools	stools	disgust	0.625
suffering	vuajtje	disgust	0.625
contemptible	i përbuzshëm	disgust	0.625
cuckold	brinar	disgust	0.625
bloated	i fryrë	disgust	0.625
aghast	i tmerruar	disgust	0.625
betrayal	tradhti	disgust	0.617
guillotine	gijotinë	disgust	0.617
infect	infektoj	disgust	0.617
spoil	plaçkë	disgust	0.617
tetanus	tetanos	disgust	0.617
fat	yndyrë	disgust	0.617
louse	morr	disgust	0.617
malicious	me qëllim të keq	disgust	0.617
polygamy	poligami	disgust	0.617
crusty	i zemëruar	disgust	0.617
atrocious	mizor	disgust	0.617
deceit	mashtrim	disgust	0.617
termite	termit	disgust	0.617
loathe	urrej	disgust	0.617
wench	grua e re	disgust	0.617
dying	që po vdes	disgust	0.617
sickly	shëndetlig	disgust	0.617
diaper	pelenë	disgust	0.617
strangle	mbyt	disgust	0.617
drool	pallavra	disgust	0.609
slander	shpifje	disgust	0.609
abhor	urrej	disgust	0.609
venomous	i helmët	disgust	0.609
brothel	shtëpi publike	disgust	0.609
ghetto	geto	disgust	0.609
violently	me dhunë	disgust	0.609
hostile	armiqësor	disgust	0.609
sabotage	sabotim	disgust	0.609
deform	shtrembëroj	disgust	0.609
bleeding	rrjedhje gjaku	disgust	0.609
unwashed	i palarë	disgust	0.602
lunacy	çmenduri	disgust	0.602
imprisonment	burgim	disgust	0.602
infidel	i pafe	disgust	0.602
deprivation	heqje	disgust	0.602
traitor	tradhtar	disgust	0.602
ugliness	shëmti	disgust	0.602
musty	i mykur	disgust	0.602
illicit	i paligjshëm	disgust	0.602
swampy	moçalor	disgust	0.602
poaching	gjueti pa leje	disgust	0.602
hag	shtrigë	disgust	0.602
butcher	kasap	disgust	0.594
lunatic	i çmendur	disgust	0.594
venom	helm	disgust	0.594
repelling	repelling	disgust	0.594
thug	bandit	disgust	0.594
misery	mjerim	disgust	0.594
toilet	tualet	disgust	0.594
slug	goditje e fortë	disgust	0.594
catastrophe	katastrofë	disgust	0.594
epidemic	epidemi	disgust	0.594
gut	gushis	disgust	0.594
intoxicated	xurxull	disgust	0.594
blister	flluskë	disgust	0.594
deceitful	mashtrues	disgust	0.594
hostility	armiqësi	disgust	0.594
queasiness	trazirë	disgust	0.594
lurid	sensacional	disgust	0.594
sinner	mëkatar	disgust	0.594
incubus	ankth	disgust	0.586
lavatory	tualet	disgust	0.586
harass	bie në qafë	disgust	0.586
unclean	i papastër	disgust	0.586
prostitute	prostitutë	disgust	0.586
pornography	pornografi	disgust	0.586
dreadful	i frikshëm	disgust	0.586
deteriorated	përkeqësuar	disgust	0.586
appalling	i tmerrshëm	disgust	0.586
unfaithful	i pabesë	disgust	0.578
rash	i nxituar	disgust	0.578
humiliating	poshtërues	disgust	0.578
ruinous	shkatërrues	disgust	0.578
squeamish	i dobët	disgust	0.578
offensive	ofensivë	disgust	0.578
conspirator	komplotist	disgust	0.578
larceny	vjedhje	disgust	0.578
debauchery	pirje	disgust	0.578
mangle	sakatoj	disgust	0.578
flea	plesht	disgust	0.578
hypocrite	hipokrit	disgust	0.578
retard	vonoj	disgust	0.578
fiend	dreq	disgust	0.578
sick	i sëmurë	disgust	0.578
quagmire	kënetë	disgust	0.578
expulsion	dëbim	disgust	0.578
treacherous	i pabesë	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	pështyj	disgust	0.570
devastating	shkatërrues	disgust	0.570
bastard	bastard	disgust	0.570
messy	i çrregullt	disgust	0.570
flog	shes	disgust	0.570
egregious	skandaloz	disgust	0.570
swamp	moçal	disgust	0.570
oppress	shtyp	disgust	0.570
despise	përçmoj	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	gjarpër	disgust	0.570
snake	gjarpër	disgust	0.562
terrible	i tmerrshëm	disgust	0.562
awful	i tmerrshëm	disgust	0.562
harmful	i dëmshëm	disgust	0.562
insanity	marrëzi	disgust	0.562
indecent	i pahijshëm	disgust	0.562
sordid	i ndyrë	disgust	0.562
loo	nevojtore	disgust	0.562
scoundrel	faqezi	disgust	0.562
enemy	armik	disgust	0.562
stealing	vjedhje	disgust	0.562
alcoholism	alkoolizëm	disgust	0.562
humiliation	poshtërim	disgust	0.562
ruthless	pamëshirshme	disgust	0.562
sloppy	i lëngshëm	disgust	0.562
tyrannical	tiranik	disgust	0.562
harlot	prostitutë	disgust	0.562
sinning	mëkaton	disgust	0.562
robbery	grabitje	disgust	0.555
insufferable	i padurueshëm	disgust	0.555
arsenic	arsenik	disgust	0.555
bloody	i përgjakshëm	disgust	0.555
odious	i neveritshëm	disgust	0.555
ridicule	tallje	disgust	0.555
atrophy	atrofi	disgust	0.555
beastly	i neveritshëm	disgust	0.555
collusion	marrëveshje e fshehtë	disgust	0.555
distaste	neveri	disgust	0.555
segregate	i veçuar	disgust	0.555
discriminating	diskriminues	disgust	0.555
coward	frikacak	disgust	0.555
wickedness	ligësi	disgust	0.555
threatening	kërcënues	disgust	0.555
unattractive	i pakëndshëm	disgust	0.555
slayer	vrasës	disgust	0.555
flabby	i butë	disgust	0.555
varicella	lisë së dhenve	disgust	0.555
miserable	i mjerë	disgust	0.547
sty	kath	disgust	0.547
ogre	vigan	disgust	0.547
coercion	shtrëngim	disgust	0.547
thief	hajdut	disgust	0.547
slur	shpifje	disgust	0.547
suffocating	mbytës	disgust	0.547
anathema	mallkim	disgust	0.547
purgatory	purgator	disgust	0.547
malevolent	keqdashës	disgust	0.547
bitterly	hidhur	disgust	0.547
burglar	hajdut	disgust	0.547
attacking	sulmuar	disgust	0.547
vesicular	fshikëzor	disgust	0.547
condemnation	dënim	disgust	0.547
pillage	grabitje	disgust	0.547
deleterious	i dëmshëm	disgust	0.547
thrash	rrah	disgust	0.539
repellant	repellant	disgust	0.539
repudiation	hedhje poshtë	disgust	0.539
infidelity	pabesi	disgust	0.539
liar	gënjeshtar	disgust	0.539
fatty	i yndyrshëm	disgust	0.539
gob	marinar	disgust	0.539
sneer	tallje	disgust	0.539
drunken	i dehur	disgust	0.539
disgrace	turp	disgust	0.539
shame	turp	disgust	0.539
jealous	xheloz	disgust	0.539
imprisoned	i burgosur	disgust	0.539
pig	derr	disgust	0.539
greedy	lakmitar	disgust	0.539
sloth	përtaci	disgust	0.539
lethal	vdekjeprurës	disgust	0.536
burnt	i djegur	disgust	0.531
aberration	lajthitje	disgust	0.531
condescension	përfillje	disgust	0.531
hydrocephalus	hidrocefalus	disgust	0.531
hanging	në lartësi	disgust	0.531
destructive	shkatërrues	disgust	0.531
smuggler	kontrabandist	disgust	0.531
intolerant	intolerant	disgust	0.531
travesty	parodi	disgust	0.531
intrusive	i bezdisshëm	disgust	0.531
ruined	i shkatërruar	disgust	0.531
withered	i tharë	disgust	0.531
disintegrate	shpërbëhet	disgust	0.531
brawl	grindje	disgust	0.531
blemish	cen	disgust	0.531
neurotic	nevrotik	disgust	0.531
blasphemous	blasfemues	disgust	0.531
lying	të gënjyer	disgust	0.531
painful	i dhimbshëm	disgust	0.531
avarice	dorështrëngim	disgust	0.523
disgraced	poshtëruar	disgust	0.523
mistress	mësuese	disgust	0.523
disparaging	i pagjind	disgust	0.523
rubbish	mbeturina	disgust	0.523
derogation	heqje	disgust	0.523
accusation	akuzë	disgust	0.523
intolerance	intolerancë	disgust	0.523
incarceration	burgosje	disgust	0.523
blighted	dëmtuar	disgust	0.523
sump	karter	disgust	0.516
deplorable	i mjerueshëm	disgust	0.516
daemon	demon	disgust	0.516
cringe	servilizëm	disgust	0.516
degrade	pakësoj	disgust	0.516
gutter	hendek	disgust	0.516
rob	vjedh	disgust	0.516
grim	i zymtë	disgust	0.516
defraud	gënjej	disgust	0.516
tortious	tortious	disgust	0.516
eradication	çrrënjosje	disgust	0.516
stink	erë e keqe	disgust	0.516
convict	i dënuar	disgust	0.516
dishonor	çnderim	disgust	0.516
vulture	hutë	disgust	0.516
remains	Mbetet	disgust	0.516
mite	çilimi	disgust	0.516
betray	shes	disgust	0.516
sham	mashtrim	disgust	0.509
endemic	endemik	disgust	0.508
bombed	bombardoi	disgust	0.508
distress	ankth	disgust	0.508
pest	e keqe	disgust	0.508
incurable	i pashërueshëm	disgust	0.508
worthless	i pavlefshëm	disgust	0.508
rejection	refuzim	disgust	0.508
distasteful	i papëlqyeshëm	disgust	0.508
schizophrenia	shizofreni	disgust	0.508
belittle	nënvleftësoj	disgust	0.508
smelling	nuhatje	disgust	0.508
cheat	gënjej	disgust	0.508
blob	pikë	disgust	0.508
prisoner	i burgosur	disgust	0.508
idiocy	idiotësi	disgust	0.508
delirium	jerm	disgust	0.508
disaster	fatkeqësi	disgust	0.508
crude	i papërpunuar	disgust	0.508
resentment	fyerje	disgust	0.508
dreadfully	tmerrësisht	disgust	0.508
glut	tepri	disgust	0.508
polemic	polemikë	disgust	0.500
derision	përqeshje	disgust	0.500
idolatry	idhujtari	disgust	0.500
taboo	tabu	disgust	0.500
screaming	ulëritës	disgust	0.500
banish	largoj nga mendja	disgust	0.500
dirt	i poshtër	disgust	0.500
goblin	shpirt i keq	disgust	0.500
shackle	pranga	disgust	0.500
bribery	mitosje	disgust	0.500
flagrant	flagrant	disgust	0.500
jealousy	xhelozi	disgust	0.500
impurity	papastërti	disgust	0.500
theft	vjedhje	disgust	0.500
bitterness	zemërim	disgust	0.500
offense	shkelje	disgust	0.500
impeach	akuzoj	disgust	0.500
blight	plagë	disgust	0.500
duress	detyrim	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	lakmi	disgust	0.500
tirade	bisedë e gjatë	disgust	0.500
squirm	përpëlitje	disgust	0.492
robber	grabitës	disgust	0.492
ill	i sëmurë	disgust	0.492
unconscionable	i paarsyeshëm	disgust	0.492
recession	rënie	disgust	0.492
gorge	e ngrënë me babëzi	disgust	0.492
wreck	thyej	disgust	0.492
malign	i keq	disgust	0.492
boil	vlim	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idiot	disgust	0.492
disreputable	i pandershëm	disgust	0.492
wasteful	shkapërdar	disgust	0.484
affliction	vuajtje	disgust	0.484
stain	njollë	disgust	0.484
contempt	mospërfillje	disgust	0.484
nappy	me push	disgust	0.484
mutiny	kryengritje	disgust	0.484
occult	okult	disgust	0.484
tramp	lavire	disgust	0.484
unbearable	i padurueshëm	disgust	0.484
offender	shkelës	disgust	0.484
servile	servil	disgust	0.484
contraband	kontrabandë	disgust	0.484
raging	ndezur	disgust	0.484
snarl	ngatërroj	disgust	0.484
mad	i çmendur	disgust	0.484
subjugation	nënshtrim	disgust	0.484
possessed	zotëronte	disgust	0.484
animosity	armiqësi	disgust	0.484
aversation	aversation	disgust	0.484
defamation	shpifje	disgust	0.484
disrespectful	i pasjellshëm	disgust	0.484
mess	rrëmujë	disgust	0.484
nepotism	nepotizëm	disgust	0.484
inexcusable	i pafalshëm	disgust	0.484
pathetic	prekës	disgust	0.477
unpleasant	i pakëndshëm	disgust	0.477
suppression	shuarje	disgust	0.477
mockery	tallje	disgust	0.477
palsy	paralizë	disgust	0.477
criminal	penal	disgust	0.477
illegality	paligjshmëri	disgust	0.477
uncaring	uncaring	disgust	0.477
antagonistic	antagonist	disgust	0.477
immorality	imoralitet	disgust	0.477
dismal	i dëshpëruar	disgust	0.477
angry	i zemëruar	disgust	0.469
repellent	ilaç kundër insekteve	disgust	0.469
cough	kollë	disgust	0.469
arrogant	arrogant	disgust	0.469
grating	i bezdisshëm	disgust	0.469
aggravation	keqësim	disgust	0.469
livid	i zbehtë	disgust	0.469
banishment	dëbim	disgust	0.469
shoddy	i dobët	disgust	0.469
banshee	Banshee	disgust	0.469
poverty	varfëri	disgust	0.469
wallow	zhytem	disgust	0.469
outrage	nëpërkëmbje	disgust	0.469
mocking	tallës	disgust	0.469
furious	i furishëm	disgust	0.469
perspiration	djersë	disgust	0.469
prick	shpoj	disgust	0.461
recklessness	recklessness	disgust	0.461
distorted	i shtrembëruar	disgust	0.461
fraudulent	mashtrues	disgust	0.461
spider	merimangë	disgust	0.461
quack	sharlatan	disgust	0.461
perdition	vdekje e përjetshme	disgust	0.461
muddy	me baltë	disgust	0.461
spurious	kallp	disgust	0.461
insulting	fyes	disgust	0.461
scar	mbresë	disgust	0.461
deceive	mashtrojnë	disgust	0.461
unjustifiable	i papërligjshëm	disgust	0.461
fool	budalla	disgust	0.461
deplore	qaj	disgust	0.461
plunder	plaçkitje	disgust	0.461
aphid	Afideja	disgust	0.453
bane	fatkeqësi	disgust	0.453
indignation	indinjatë	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	egoist	disgust	0.453
disparage	ul	disgust	0.453
cur	njeri i paedukuar	disgust	0.453
dishonest	i pandershëm	disgust	0.453
stigma	njollë	disgust	0.453
eschew	rri larg	disgust	0.453
antipathy	antipati	disgust	0.453
alienate	armiqësoj	disgust	0.453
disingenuous	i pasinqertë	disgust	0.453
elimination	eliminimi	disgust	0.453
unthinkable	i papërfytyrueshëm	disgust	0.453
wasted	i tretur	disgust	0.445
recalcitrant	kokëfortë	disgust	0.445
iniquity	padrejtësi	disgust	0.445
mosquito	mushkonjë	disgust	0.445
caries	karies	disgust	0.445
bankruptcy	falimentim	disgust	0.445
egotistical	egoist	disgust	0.445
piles	majasëll	disgust	0.445
smell	erë	disgust	0.445
vacuous	i pakuptim	disgust	0.445
despair	dëshpërim	disgust	0.445
opium	opium	disgust	0.445
garish	tepër i ndezur	disgust	0.445
lie	gënjeshtër	disgust	0.445
pious	fetar	disgust	0.445
aversion	neveri	disgust	0.438
sticky	ngjitës	disgust	0.438
scream	piskat	disgust	0.438
alien	i huaj	disgust	0.438
shun	gatitu	disgust	0.438
abnormal	jonormal	disgust	0.438
ashamed	i turpëruar	disgust	0.438
inmate	i burgosur	disgust	0.438
abject	i mjerë	disgust	0.438
hog	derr i tredhur	disgust	0.438
hopelessness	mungesë shprese	disgust	0.438
homeless	i pastrehë	disgust	0.438
obnoxious	i padurueshëm	disgust	0.438
curse	mallkim	disgust	0.430
creature	krijesë	disgust	0.430
cursing	mallkimi	disgust	0.430
illegal	i paligjshëm	disgust	0.430
lusty	i fuqishëm	disgust	0.430
shameless	i paturpshëm	disgust	0.430
debris	copëra	disgust	0.430
defiance	sjellje provokuese	disgust	0.430
pall	velem	disgust	0.430
falsity	falsitet	disgust	0.430
reflux	zbaticë	disgust	0.430
incredulous	dyshues	disgust	0.430
adverse	i pafavorshëm	disgust	0.430
trickery	dinakëri	disgust	0.430
callous	i pashpirt	disgust	0.430
separatist	separatist	disgust	0.430
undesirable	i padëshirueshëm	disgust	0.430
denounce	denoncojë	disgust	0.430
witch	magjistare	disgust	0.430
bum	të ndenjura	disgust	0.422
bovine	i gjedhit	disgust	0.422
denunciation	dënim	disgust	0.422
untidy	i çrregullt	disgust	0.422
impure	i papastër	disgust	0.422
mistrust	mosbesim	disgust	0.422
tarnish	nxirje	disgust	0.422
ferocious	i egër	disgust	0.422
gush	buron	disgust	0.422
infantile	fëminor	disgust	0.422
ammonia	amoniak	disgust	0.422
offend	ofendoj	disgust	0.422
idiotic	idiot	disgust	0.422
hypertrophy	hypertrophy	disgust	0.422
nicotine	nikotinë	disgust	0.422
tasteless	pa shije	disgust	0.422
pompous	pompoz	disgust	0.422
socialist	socialist	disgust	0.422
delinquent	kriminel	disgust	0.422
swarm	mizëri	disgust	0.422
contentious	grindavec	disgust	0.422
carelessness	pakujdesi	disgust	0.422
hairy	me flokë	disgust	0.422
wasting	gërryes	disgust	0.422
slush	llucë	disgust	0.422
affront	fyerje	disgust	0.422
collapse	shembje	disgust	0.422
badness	ligësi	disgust	0.422
dishonesty	pandershmëri	disgust	0.414
vegetative	vegjetativ	disgust	0.414
displacency	displacency	disgust	0.414
unfavorable	i pafavorshëm	disgust	0.414
disobey	shkel	disgust	0.414
sour	i lagësht	disgust	0.414
socialism	socializëm	disgust	0.414
murky	i errët	disgust	0.414
neglected	lënë pas dore	disgust	0.414
drivel	pallavra	disgust	0.414
vampire	vampir	disgust	0.414
litigious	i diskutueshëm	disgust	0.414
illegitimate	i paligjshëm	disgust	0.414
disgruntled	i pakënaqur	disgust	0.406
ignorant	injorant	disgust	0.406
outcast	i dëbuar	disgust	0.406
unkind	i rreptë	disgust	0.406
repel	zmbraps	disgust	0.406
displeasure	pakënaqësi	disgust	0.406
phony	hipokrit	disgust	0.406
shoplifting	Vjedhja në dyqane	disgust	0.406
dislike	antipati	disgust	0.406
unlawful	i paligjshëm	disgust	0.406
bogus	fals	disgust	0.406
discontinuity	mungesë lidhjeje logjike	disgust	0.406
recidivism	recidivizëm	disgust	0.406
ungrateful	i pakëndshëm	disgust	0.406
wrongdoing	keqbërje	disgust	0.406
falsify	bëj pohime të rreme	disgust	0.406
prosecution	ndjekje	disgust	0.406
failure	dështim	disgust	0.398
loon	djalë	disgust	0.398
lick	lëpirje	disgust	0.398
subvert	shkatërroj	disgust	0.398
rigor	ashpërsi	disgust	0.398
unruly	i padisiplinuar	disgust	0.398
paucity	pakicë	disgust	0.398
unnatural	kundër natyrës	disgust	0.398
averse	kundërshtues	disgust	0.398
senseless	i pakuptim	disgust	0.398
worsening	përkeqësim	disgust	0.398
disdain	përbuzje	disgust	0.398
woe	mjerim	disgust	0.398
woefully	mjerisht	disgust	0.398
amphetamines	amfetaminat	disgust	0.398
stingy	koprac	disgust	0.398
crushing	shkatërrimtar	disgust	0.398
insult	fyerje	disgust	0.393
damage	dëm	disgust	0.391
hardened	i thekur	disgust	0.391
diatribe	fjalim i ashpër	disgust	0.391
averseness	averseness	disgust	0.391
critter	critter	disgust	0.391
muff	i paaftë	disgust	0.391
antisocial	i heshtur	disgust	0.391
punishment	dënim	disgust	0.391
bad	keq	disgust	0.391
punished	dënohet	disgust	0.391
disrelish	mospëlqim	disgust	0.391
expel	përjashtoj	disgust	0.391
farcical	absurd	disgust	0.391
scorpion	akrep	disgust	0.391
sacrifices	sakrifica	disgust	0.383
plagiarism	plagjiaturë	disgust	0.383
hypocritical	hipokrit	disgust	0.383
divorce	divorc	disgust	0.383
presumptuous	mendjemadhe	disgust	0.383
discord	mosmarrëveshje	disgust	0.383
fugitive	i arratisur	disgust	0.383
fulsome	i begatë	disgust	0.383
shabby	i lënë pas dore	disgust	0.383
orc	ORC	disgust	0.383
adder	nëpërkë	disgust	0.383
anaconda	Anaconda	disgust	0.383
surly	i nxehur	disgust	0.383
irrational	iracional	disgust	0.383
disappoint	gaboj	disgust	0.383
illiterate	analfabet	disgust	0.383
lament	vajtoj	disgust	0.383
eviction	dëbim	disgust	0.383
teeming	i mbushur tepër	disgust	0.383
guilt	faj	disgust	0.383
misconduct	sjellje e keqe	disgust	0.375
blame	faj	disgust	0.375
alienation	tjetërsim	disgust	0.375
depressing	i dëshpëruar	disgust	0.375
irritating	i nevrikosshëm	disgust	0.375
plight	gjendje e vështirë	disgust	0.375
unworthy	i padenjë	disgust	0.375
dislocated	i ndrydhur	disgust	0.375
scoff	përqeshje	disgust	0.375
irritation	acarim	disgust	0.375
defective	i dëmtuar	disgust	0.375
shock	goditje	disgust	0.375
hoax	shaka	disgust	0.367
coerce	detyroj	disgust	0.367
revoke	anuloj	disgust	0.367
stripped	zhveshur	disgust	0.367
exclusion	përjashtim	disgust	0.367
blatant	zhurmëmadh	disgust	0.367
disillusionment	zhgënjim	disgust	0.367
squelch	asgjësim	disgust	0.367
unhealthy	i sëmurë	disgust	0.367
toad	zhabë	disgust	0.367
wimpy	wimpy	disgust	0.367
pitfall	kurth	disgust	0.367
vainly	më kot	disgust	0.367
powerless	i pafuqi	disgust	0.367
cad	horr	disgust	0.367
hurtful	lëndojnë	disgust	0.367
shuddering	ngjethës	disgust	0.367
wimp	superbaba	disgust	0.367
oddity	gjë e çuditshme	disgust	0.359
rebellion	rebelim	disgust	0.359
incompatible	i papajtueshëm	disgust	0.359
ineptitude	absurditet	disgust	0.359
dispose	rregulloj	disgust	0.359
disobedience	mosbindje	disgust	0.359
damn	mallkim	disgust	0.359
bug	insekt	disgust	0.359
deserted	e braktisur	disgust	0.359
litigate	bëj gjyq me dikë	disgust	0.352
ridiculous	qesharak	disgust	0.352
compost	përzierje plehrash	disgust	0.352
obi	obi	disgust	0.352
untoward	i pafat	disgust	0.352
censor	censor	disgust	0.352
uncertain	i pasigurt	disgust	0.352
lawyer	avokat	disgust	0.352
flinch	dridhem	disgust	0.352
flesh	mish	disgust	0.352
crushed	i grimcuar	disgust	0.352
displeased	pëlqeu	disgust	0.352
inept	i paaftë	disgust	0.352
wrongful	i gabuar	disgust	0.352
cutting	prerje	disgust	0.352
fierce	i egër	disgust	0.352
misbehavior	veprim i keq	disgust	0.352
frustrate	pengoj	disgust	0.352
dismissal	shkarkim	disgust	0.352
disapprove	nuk miratoj	disgust	0.344
depreciate	zhvlerësohet	disgust	0.344
tearful	i mbytur në lot	disgust	0.344
thoughtless	i pamenduar	disgust	0.336
unsettled	i pavendosur	disgust	0.336
lumpy	i trazuar	disgust	0.336
discoloration	njollë	disgust	0.336
blunder	gabim trashanik	disgust	0.336
disinclination	mosdashje	disgust	0.336
distrust	mosbesim	disgust	0.336
annoy	mërzit	disgust	0.336
lawsuit	procedim	disgust	0.336
discontent	pakënaqësi	disgust	0.336
grumble	shfryrje	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	i verdhë	disgust	0.336
heartsick	zemërvrarë	disgust	0.336
disliked	mospëlqyera	disgust	0.336
bickering	grindje	disgust	0.336
disallowed	ndaluar	disgust	0.336
unmanageable	i pashtrueshëm	disgust	0.328
hydrophobia	frikë nga uji	disgust	0.328
unsatisfactory	i pakënaqshëm	disgust	0.328
whine	ankohem	disgust	0.328
exasperation	zemërim	disgust	0.328
instability	paqëndrueshmëri	disgust	0.328
provoking	provokuar	disgust	0.328
disappointed	i zhgënjyer	disgust	0.328
inhibit	pengoj	disgust	0.328
sly	tinëzar	disgust	0.328
grievance	ankesë	disgust	0.328
materialist	materialist	disgust	0.328
excluded	përjashtuar	disgust	0.328
cacophony	kakofoni	disgust	0.328
misleading	mashtrues	disgust	0.321
disclaim	hedh poshtë	disgust	0.320
rags	copa	disgust	0.320
soot	blozë	disgust	0.320
disservice	dëmtim	disgust	0.320
unequal	i pabarabartë	disgust	0.320
humbug	mashtrues	disgust	0.320
reproach	turp	disgust	0.320
confined	i mbyllur	disgust	0.320
disapproving	mospranues	disgust	0.320
annoyance	bezdi	disgust	0.320
mishap	incident	disgust	0.320
groan	ofshamë	disgust	0.320
soil	tokë	disgust	0.312
depreciated	zhvlerësuar	disgust	0.312
disincline	i heq gatishmërinë	disgust	0.312
inappropriate	i papërshtatshëm	disgust	0.312
inconsiderate	i pakujdesur	disgust	0.312
burke	shuaj	disgust	0.312
overpriced	mbiçmuara	disgust	0.312
sneeze	teshtij	disgust	0.312
stomach	stomak	disgust	0.312
criticize	kritikoj	disgust	0.312
theism	teizëm	disgust	0.312
disparity	pabarazi	disgust	0.305
gall	vrer	disgust	0.305
latent	i fshehur	disgust	0.305
grumpy	ters	disgust	0.305
bang	zhurmë	disgust	0.305
inadmissible	i papranueshëm	disgust	0.305
unfriendly	armiqësor	disgust	0.305
shack	kasolle	disgust	0.305
disliking	disliking	disgust	0.305
unaccountable	i papërgjegjshëm	disgust	0.305
coop	kafaz	disgust	0.304
scold	shaj	disgust	0.297
growling	growling	disgust	0.297
lonely	i vetmuar	disgust	0.297
delay	vonesë	disgust	0.297
congress	kongres	disgust	0.297
disregarded	shpërfillur	disgust	0.297
disappointment	zhgënjim	disgust	0.297
backwards	mbrapsht	disgust	0.297
soreness	hidhërim	disgust	0.297
rogue	mashtrues	disgust	0.297
infamous	i turpshëm	disgust	0.289
lesbian	lezbike	disgust	0.289
notoriety	famë	disgust	0.289
catechism	libër katekizmi	disgust	0.289
flop	dështim	disgust	0.289
nettle	hithër	disgust	0.289
janitor	portier	disgust	0.289
saturated	i ngopur	disgust	0.281
gaby	budalla	disgust	0.281
prohibited	i ndaluar	disgust	0.281
remiss	i pakujdesshëm	disgust	0.281
unfair	e padrejte	disgust	0.281
desist	pushoj	disgust	0.281
wince	drithërim	disgust	0.281
aftermath	pasojë	disgust	0.281
huff	zemëroj	disgust	0.273
discolored	i zbardhur	disgust	0.273
uneasy	i shqetësuar	disgust	0.273
wrangling	zënie	disgust	0.273
tribunal	gjykatë	disgust	0.273
weird	i çuditshëm	disgust	0.266
bureaucrat	burokrat	disgust	0.266
coldness	ftohtësi	disgust	0.266
