word	Galician-gl	emotion	emotion-intensity-score
deform	deformar	disgust	0.609
bleeding	hemorragia	disgust	0.609
unwashed	lavado	disgust	0.602
lunacy	asfixia	disgust	0.602
imprisonment	prisión	disgust	0.602
infidel	infiel	disgust	0.602
deprivation	privación	disgust	0.602
traitor	traidor	disgust	0.602
ugliness	feiúra	disgust	0.602
musty	mofo	disgust	0.602
illicit	ilícito	disgust	0.602
swampy	pantanoso	disgust	0.602
poaching	caza furtiva	disgust	0.602
hag	bruxa	disgust	0.602
butcher	carniceiro	disgust	0.594
lunatic	lunático	disgust	0.594
venom	veneno	disgust	0.594
repelling	repeler	disgust	0.594
thug	matón	disgust	0.594
misery	miseria	disgust	0.594
toilet	WC	disgust	0.594
slug	babosa	disgust	0.594
catastrophe	catástrofe	disgust	0.594
epidemic	epidemia	disgust	0.594
gut	intestino	disgust	0.594
intoxicated	intoxicado	disgust	0.594
blister	blister	disgust	0.594
deceitful	enganoso	disgust	0.594
hostility	hostilidade	disgust	0.594
queasiness	queasiness	disgust	0.594
lurid	aterid	disgust	0.594
sinner	pecador	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	lavabo	disgust	0.586
harass	hostigar	disgust	0.586
unclean	impuro	disgust	0.586
prostitute	prostituta	disgust	0.586
pornography	pornografía	disgust	0.586
dreadful	terrible	disgust	0.586
deteriorated	deteriorouse	disgust	0.586
appalling	aterrador	disgust	0.586
unfaithful	infiel	disgust	0.578
rash	erupción	disgust	0.578
humiliating	humillante	disgust	0.578
ruinous	ruinoso	disgust	0.578
squeamish	inquieto	disgust	0.578
offensive	ofensiva	disgust	0.578
conspirator	conspirador	disgust	0.578
larceny	roubo	disgust	0.578
debauchery	despedida	disgust	0.578
mangle	mangle	disgust	0.578
flea	pulga	disgust	0.578
hypocrite	hipócrita	disgust	0.578
retard	retraso	disgust	0.578
fiend	fiend	disgust	0.578
sick	enfermo	disgust	0.578
quagmire	foxa	disgust	0.578
expulsion	expulsión	disgust	0.578
treacherous	traizoeiro	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	cuspir	disgust	0.570
devastating	devastador	disgust	0.570
bastard	bastardo	disgust	0.570
messy	desordenado	disgust	0.570
flog	flog	disgust	0.570
egregious	agresivo	disgust	0.570
swamp	pantano	disgust	0.570
oppress	oprimir	disgust	0.570
despise	desprezar	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	serpe	disgust	0.570
snake	serpe	disgust	0.562
terrible	terrible	disgust	0.562
awful	horrible	disgust	0.562
harmful	nocivo	disgust	0.562
insanity	tolemia	disgust	0.562
indecent	indecente	disgust	0.562
sordid	sórdido	disgust	0.562
loo	loo	disgust	0.562
scoundrel	canalla	disgust	0.562
enemy	inimigo	disgust	0.562
stealing	roubar	disgust	0.562
alcoholism	alcoholismo	disgust	0.562
humiliation	humillación	disgust	0.562
ruthless	desapiadado	disgust	0.562
sloppy	desleixo	disgust	0.562
tyrannical	tiránico	disgust	0.562
harlot	ramera	disgust	0.562
sinning	pecando	disgust	0.562
robbery	roubo	disgust	0.555
insufferable	insoportable	disgust	0.555
arsenic	arsénico	disgust	0.555
bloody	sanguento	disgust	0.555
odious	odioso	disgust	0.555
ridicule	ridículo	disgust	0.555
atrophy	atrofia	disgust	0.555
beastly	beastly	disgust	0.555
collusion	colusión	disgust	0.555
distaste	repugnancia	disgust	0.555
segregate	segregar	disgust	0.555
discriminating	discriminación	disgust	0.555
coward	cobarde	disgust	0.555
wickedness	maldade	disgust	0.555
threatening	ameazando	disgust	0.555
unattractive	pouco atractivo	disgust	0.555
slayer	asasino	disgust	0.555
flabby	flabby	disgust	0.555
varicella	varicela	disgust	0.555
miserable	miserable	disgust	0.547
sty	estilo	disgust	0.547
ogre	ogro	disgust	0.547
coercion	coerción	disgust	0.547
thief	ladroa	disgust	0.547
slur	rebelde	disgust	0.547
suffocating	asfixiante	disgust	0.547
anathema	anatema	disgust	0.547
purgatory	purgatorio	disgust	0.547
malevolent	malévolo	disgust	0.547
bitterly	amargamente	disgust	0.547
burglar	ladrón	disgust	0.547
attacking	atacando	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	condena	disgust	0.547
pillage	pillaje	disgust	0.547
deleterious	deletreo	disgust	0.547
thrash	thrash	disgust	0.539
repellant	repelente	disgust	0.539
repudiation	repudio	disgust	0.539
infidelity	infidelidade	disgust	0.539
liar	embusteiro	disgust	0.539
fatty	graxo	disgust	0.539
gob	gob	disgust	0.539
sneer	escoitar	disgust	0.539
drunken	borracho	disgust	0.539
disgrace	desgraza	disgust	0.539
shame	vergoña	disgust	0.539
jealous	celoso	disgust	0.539
imprisoned	en prisión	disgust	0.539
pig	porco	disgust	0.539
greedy	avaro	disgust	0.539
sloth	perezoso	disgust	0.539
lethal	letal	disgust	0.536
burnt	queimado	disgust	0.531
aberration	aberración	disgust	0.531
condescension	condescensión	disgust	0.531
hydrocephalus	hidrocefalia	disgust	0.531
hanging	colgado	disgust	0.531
destructive	destrutivo	disgust	0.531
smuggler	contrabandista	disgust	0.531
intolerant	intolerante	disgust	0.531
travesty	travestia	disgust	0.531
intrusive	intrusivo	disgust	0.531
ruined	en ruínas	disgust	0.531
withered	marchitados	disgust	0.531
disintegrate	desintegrarse	disgust	0.531
brawl	pelexa	disgust	0.531
blemish	mancha	disgust	0.531
neurotic	neurótico	disgust	0.531
blasphemous	blasfemo	disgust	0.531
lying	mentir	disgust	0.531
painful	Dolores	disgust	0.531
avarice	avaricia	disgust	0.523
disgraced	desgraciado	disgust	0.523
mistress	amante	disgust	0.523
disparaging	despectivo	disgust	0.523
rubbish	lixo	disgust	0.523
derogation	excepción	disgust	0.523
accusation	acusación	disgust	0.523
intolerance	intolerancia	disgust	0.523
incarceration	encarceramento	disgust	0.523
blighted	blighted	disgust	0.523
sump	cárter	disgust	0.516
deplorable	deplorable	disgust	0.516
daemon	demonio	disgust	0.516
cringe	cringe	disgust	0.516
degrade	degradar	disgust	0.516
gutter	canaleta	disgust	0.516
rob	roubar	disgust	0.516
grim	sombrío	disgust	0.516
defraud	defraudar	disgust	0.516
tortious	tortuoso	disgust	0.516
eradication	erradicación	disgust	0.516
stink	asfixia	disgust	0.516
convict	convicto	disgust	0.516
dishonor	deshonra	disgust	0.516
vulture	buitre	disgust	0.516
remains	permanece	disgust	0.516
mite	mite	disgust	0.516
betray	traizoar	disgust	0.516
sham	farsa	disgust	0.509
endemic	endémico	disgust	0.508
bombed	bombardeado	disgust	0.508
distress	angustia	disgust	0.508
pest	praga	disgust	0.508
incurable	incurable	disgust	0.508
worthless	inútil	disgust	0.508
rejection	rexeitamento	disgust	0.508
distasteful	desagradable	disgust	0.508
schizophrenia	esquizofrenia	disgust	0.508
belittle	pouco menstrual	disgust	0.508
smelling	olfateando	disgust	0.508
cheat	enganar	disgust	0.508
blob	blob	disgust	0.508
prisoner	preso	disgust	0.508
idiocy	idiotez	disgust	0.508
delirium	delirio	disgust	0.508
disaster	desastre	disgust	0.508
crude	cru	disgust	0.508
resentment	resentimento	disgust	0.508
dreadfully	terriblemente	disgust	0.508
glut	glut	disgust	0.508
polemic	polémica	disgust	0.500
derision	burla	disgust	0.500
idolatry	idolatría	disgust	0.500
taboo	tabú	disgust	0.500
screaming	gritando	disgust	0.500
banish	desterrar	disgust	0.500
dirt	lixo	disgust	0.500
goblin	goblin	disgust	0.500
shackle	grillete	disgust	0.500
bribery	suborno	disgust	0.500
flagrant	flagrante	disgust	0.500
jealousy	celos	disgust	0.500
impurity	impureza	disgust	0.500
theft	roubo	disgust	0.500
bitterness	amargura	disgust	0.500
offense	delito	disgust	0.500
impeach	impeach	disgust	0.500
blight	tizón	disgust	0.500
duress	durmir	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	avaricia	disgust	0.500
tirade	tirade	disgust	0.500
squirm	escoitar	disgust	0.492
robber	ladrón	disgust	0.492
ill	mal	disgust	0.492
unconscionable	inconsciente	disgust	0.492
recession	recesión	disgust	0.492
gorge	garganta	disgust	0.492
wreck	naufraxio	disgust	0.492
malign	maligno	disgust	0.492
boil	ferver	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idiota	disgust	0.492
disreputable	indescritível	disgust	0.492
wasteful	desperdicio	disgust	0.484
affliction	aflición	disgust	0.484
stain	manchar	disgust	0.484
contempt	desprezo	disgust	0.484
nappy	panqueca	disgust	0.484
mutiny	motín	disgust	0.484
occult	oculto	disgust	0.484
tramp	vagabundo	disgust	0.484
unbearable	insoportable	disgust	0.484
offender	infractor	disgust	0.484
servile	servil	disgust	0.484
contraband	contrabando	disgust	0.484
raging	furor	disgust	0.484
snarl	nariz	disgust	0.484
mad	tolo	disgust	0.484
subjugation	subxugación	disgust	0.484
possessed	posuído	disgust	0.484
animosity	animosidade	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	difamación	disgust	0.484
disrespectful	irrespetuoso	disgust	0.484
mess	desorde	disgust	0.484
nepotism	nepotismo	disgust	0.484
inexcusable	inexcusable	disgust	0.484
pathetic	patético	disgust	0.477
unpleasant	desagradable	disgust	0.477
suppression	supresión	disgust	0.477
mockery	burla	disgust	0.477
palsy	parálise	disgust	0.477
criminal	criminal	disgust	0.477
illegality	ilegalidade	disgust	0.477
uncaring	incómodo	disgust	0.477
antagonistic	antagónico	disgust	0.477
immorality	inmoralidade	disgust	0.477
dismal	triste	disgust	0.477
angry	enojado	disgust	0.469
repellent	repelente	disgust	0.469
cough	tose	disgust	0.469
arrogant	arrogante	disgust	0.469
grating	reixa	disgust	0.469
aggravation	agravamento	disgust	0.469
livid	livid	disgust	0.469
banishment	desterro	disgust	0.469
shoddy	de mala calidade	disgust	0.469
banshee	banshee	disgust	0.469
poverty	pobreza	disgust	0.469
wallow	wallow	disgust	0.469
outrage	indignación	disgust	0.469
mocking	burlarse	disgust	0.469
furious	furioso	disgust	0.469
perspiration	transpiración	disgust	0.469
prick	picar	disgust	0.461
recklessness	imprudencia	disgust	0.461
distorted	distorsionada	disgust	0.461
fraudulent	fraudulento	disgust	0.461
spider	araña	disgust	0.461
quack	quack	disgust	0.461
perdition	perdición	disgust	0.461
muddy	lodo	disgust	0.461
spurious	espurio	disgust	0.461
insulting	insultante	disgust	0.461
scar	cicatriz	disgust	0.461
deceive	enganar	disgust	0.461
unjustifiable	injustificable	disgust	0.461
fool	tonto	disgust	0.461
deplore	deplorar	disgust	0.461
plunder	saqueo	disgust	0.461
aphid	pulgón	disgust	0.453
bane	bane	disgust	0.453
indignation	indignación	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	egoísta	disgust	0.453
disparage	disparage	disgust	0.453
cur	cur	disgust	0.453
dishonest	deshonesto	disgust	0.453
stigma	estigma	disgust	0.453
eschew	escapar	disgust	0.453
antipathy	antipatía	disgust	0.453
alienate	alienar	disgust	0.453
disingenuous	indignante	disgust	0.453
elimination	eliminación	disgust	0.453
unthinkable	impensable	disgust	0.453
wasted	perdido	disgust	0.445
recalcitrant	recalcitrante	disgust	0.445
iniquity	iniquidade	disgust	0.445
mosquito	mosquito	disgust	0.445
caries	caries	disgust	0.445
bankruptcy	bancarrota	disgust	0.445
egotistical	egoísta	disgust	0.445
piles	pilas	disgust	0.445
smell	cheiro	disgust	0.445
vacuous	vacuo	disgust	0.445
despair	desesperación	disgust	0.445
opium	opio	disgust	0.445
garish	garish	disgust	0.445
lie	mentira	disgust	0.445
pious	piadoso	disgust	0.445
aversion	aversión	disgust	0.438
sticky	pegajoso	disgust	0.438
scream	gritar	disgust	0.438
alien	alieníxena	disgust	0.438
shun	escoitar	disgust	0.438
abnormal	anormal	disgust	0.438
ashamed	avergoñado	disgust	0.438
inmate	preso	disgust	0.438
abject	abxectivo	disgust	0.438
hog	porco	disgust	0.438
hopelessness	desesperanza	disgust	0.438
homeless	sen teito	disgust	0.438
obnoxious	desagradable	disgust	0.438
curse	maldición	disgust	0.430
creature	criatura	disgust	0.430
cursing	maldecir	disgust	0.430
illegal	ilegal	disgust	0.430
lusty	lusty	disgust	0.430
shameless	desvergonzado	disgust	0.430
debris	escombros	disgust	0.430
defiance	desafío	disgust	0.430
pall	pall	disgust	0.430
falsity	falsidade	disgust	0.430
reflux	refluxo	disgust	0.430
incredulous	incrédulo	disgust	0.430
adverse	adverso	disgust	0.430
trickery	trucos	disgust	0.430
callous	calloso	disgust	0.430
separatist	separatista	disgust	0.430
undesirable	indeseable	disgust	0.430
denounce	denunciar	disgust	0.430
witch	bruxa	disgust	0.430
bum	bum	disgust	0.422
bovine	bovino	disgust	0.422
denunciation	denuncia	disgust	0.422
untidy	desordenado	disgust	0.422
impure	impuro	disgust	0.422
mistrust	desconfianza	disgust	0.422
tarnish	manchar	disgust	0.422
ferocious	feroz	disgust	0.422
gush	guspa	disgust	0.422
infantile	infantil	disgust	0.422
ammonia	amoníaco	disgust	0.422
offend	ofender	disgust	0.422
idiotic	idiota	disgust	0.422
hypertrophy	hipertrofia	disgust	0.422
nicotine	nicotina	disgust	0.422
tasteless	sen sabor	disgust	0.422
pompous	pomposo	disgust	0.422
socialist	socialista	disgust	0.422
delinquent	delincuente	disgust	0.422
swarm	enxame	disgust	0.422
contentious	controvertido	disgust	0.422
carelessness	descoido	disgust	0.422
hairy	peludo	disgust	0.422
wasting	perdendo	disgust	0.422
slush	asfixia	disgust	0.422
affront	afrontamento	disgust	0.422
collapse	colapso	disgust	0.422
badness	maldade	disgust	0.422
dishonesty	deshonestidade	disgust	0.414
vegetative	vegetativo	disgust	0.414
displacency	desprazamento	disgust	0.414
unfavorable	desfavorable	disgust	0.414
disobey	desobedecer	disgust	0.414
sour	agria	disgust	0.414
socialism	socialismo	disgust	0.414
murky	turbio	disgust	0.414
neglected	negligenciado	disgust	0.414
drivel	drivel	disgust	0.414
vampire	vampiro	disgust	0.414
litigious	litixioso	disgust	0.414
illegitimate	ilexítimo	disgust	0.414
disgruntled	descontento	disgust	0.406
ignorant	ignorante	disgust	0.406
outcast	despedida	disgust	0.406
unkind	indeciso	disgust	0.406
repel	repeler	disgust	0.406
displeasure	descontento	disgust	0.406
phony	falso	disgust	0.406
shoplifting	roubar	disgust	0.406
dislike	non me gusta	disgust	0.406
unlawful	ilegal	disgust	0.406
bogus	falso	disgust	0.406
discontinuity	discontinuidade	disgust	0.406
recidivism	reincidencia	disgust	0.406
ungrateful	ingrato	disgust	0.406
wrongdoing	incumprimento	disgust	0.406
falsify	falsificar	disgust	0.406
prosecution	proceso xudicial	disgust	0.406
failure	falla	disgust	0.398
loon	loon	disgust	0.398
lick	lamber	disgust	0.398
subvert	subverte	disgust	0.398
rigor	rigor	disgust	0.398
unruly	incondicional	disgust	0.398
paucity	escaseza	disgust	0.398
unnatural	antinatural	disgust	0.398
averse	averse	disgust	0.398
senseless	sen sentido	disgust	0.398
worsening	empeorando	disgust	0.398
disdain	desdén	disgust	0.398
woe	ai	disgust	0.398
woefully	lamentablemente	disgust	0.398
amphetamines	anfetaminas	disgust	0.398
stingy	mordaz	disgust	0.398
crushing	esmagamento	disgust	0.398
insult	insulto	disgust	0.393
damage	danos	disgust	0.391
hardened	endurecido	disgust	0.391
diatribe	diatribe	disgust	0.391
averseness	averseness	disgust	0.391
critter	critter	disgust	0.391
muff	muff	disgust	0.391
antisocial	antisocial	disgust	0.391
punishment	castigo	disgust	0.391
bad	malo	disgust	0.391
punished	castigado	disgust	0.391
disrelish	descoñece	disgust	0.391
expel	expulsar	disgust	0.391
farcical	fofo	disgust	0.391
scorpion	escorpión	disgust	0.391
sacrifices	sacrificios	disgust	0.383
plagiarism	plaxio	disgust	0.383
hypocritical	hipócrita	disgust	0.383
divorce	divorcio	disgust	0.383
presumptuous	presuntuoso	disgust	0.383
discord	discordia	disgust	0.383
fugitive	fugitivo	disgust	0.383
fulsome	fulsome	disgust	0.383
shabby	gastado	disgust	0.383
orc	orc	disgust	0.383
adder	sumador	disgust	0.383
anaconda	anaconda	disgust	0.383
surly	sorprendentemente	disgust	0.383
irrational	irracional	disgust	0.383
disappoint	decepcionar	disgust	0.383
illiterate	analfabetos	disgust	0.383
lament	lamentar	disgust	0.383
eviction	despexo	disgust	0.383
teeming	estropeado	disgust	0.383
guilt	culpa	disgust	0.383
misconduct	mala conduta	disgust	0.375
blame	culpa	disgust	0.375
alienation	alienación	disgust	0.375
depressing	depriment	disgust	0.375
irritating	irritante	disgust	0.375
plight	situación	disgust	0.375
unworthy	indigno	disgust	0.375
dislocated	dislocado	disgust	0.375
scoff	escoitar	disgust	0.375
irritation	irritación	disgust	0.375
defective	defectuoso	disgust	0.375
shock	choque	disgust	0.375
hoax	broma	disgust	0.367
coerce	coerce	disgust	0.367
revoke	revogar	disgust	0.367
stripped	desposuído	disgust	0.367
exclusion	exclusión	disgust	0.367
blatant	flagrante	disgust	0.367
disillusionment	desilusión	disgust	0.367
squelch	escoitar	disgust	0.367
unhealthy	insalubre	disgust	0.367
toad	sapo	disgust	0.367
wimpy	wimpy	disgust	0.367
pitfall	trampa	disgust	0.367
vainly	en balde	disgust	0.367
powerless	impotente	disgust	0.367
cad	cad	disgust	0.367
hurtful	ferido	disgust	0.367
shuddering	estremecerse	disgust	0.367
wimp	wimp	disgust	0.367
oddity	oddidade	disgust	0.359
rebellion	rebelión	disgust	0.359
incompatible	incompatible	disgust	0.359
ineptitude	ineptitude	disgust	0.359
dispose	Dispoñer	disgust	0.359
disobedience	desobediencia	disgust	0.359
damn	maldición	disgust	0.359
bug	erro	disgust	0.359
deserted	abandonado	disgust	0.359
litigate	litigar	disgust	0.352
ridiculous	ridículo	disgust	0.352
compost	compost	disgust	0.352
obi	obi	disgust	0.352
untoward	inexperto	disgust	0.352
censor	censurar	disgust	0.352
uncertain	incerto	disgust	0.352
lawyer	avogado	disgust	0.352
flinch	flinch	disgust	0.352
flesh	carne	disgust	0.352
crushed	esmagado	disgust	0.352
displeased	descontento	disgust	0.352
inept	inepto	disgust	0.352
wrongful	inxusto	disgust	0.352
cutting	corte	disgust	0.352
fierce	feroz	disgust	0.352
misbehavior	mal comportamento	disgust	0.352
frustrate	frustrar	disgust	0.352
dismissal	despedida	disgust	0.352
disapprove	desaprobar	disgust	0.344
depreciate	depreciar	disgust	0.344
tearful	lágrima	disgust	0.344
thoughtless	pensativo	disgust	0.336
unsettled	inestable	disgust	0.336
lumpy	flojo	disgust	0.336
discoloration	decoloración	disgust	0.336
blunder	erro	disgust	0.336
disinclination	desinformación	disgust	0.336
distrust	desconfianza	disgust	0.336
annoy	molestar	disgust	0.336
lawsuit	demanda	disgust	0.336
discontent	descontento	disgust	0.336
grumble	chorar	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	daft	disgust	0.336
heartsick	corazonjo	disgust	0.336
disliked	Non me gustou	disgust	0.336
bickering	discutindo	disgust	0.336
disallowed	non permitido	disgust	0.336
unmanageable	inmanejable	disgust	0.328
hydrophobia	hidrofobia	disgust	0.328
unsatisfactory	insatisfactorio	disgust	0.328
whine	gritar	disgust	0.328
exasperation	exasperación	disgust	0.328
instability	inestabilidade	disgust	0.328
provoking	provocando	disgust	0.328
disappointed	decepcionado	disgust	0.328
inhibit	inhibir	disgust	0.328
sly	astuto	disgust	0.328
grievance	queixa	disgust	0.328
materialist	materialista	disgust	0.328
excluded	excluídos	disgust	0.328
cacophony	cacofonía	disgust	0.328
misleading	engañosa	disgust	0.321
disclaim	negar	disgust	0.320
rags	trapos	disgust	0.320
soot	tisne	disgust	0.320
disservice	dobrar	disgust	0.320
unequal	desigual	disgust	0.320
humbug	humbug	disgust	0.320
reproach	reproche	disgust	0.320
confined	confinado	disgust	0.320
disapproving	desaprobando	disgust	0.320
annoyance	aborrecemento	disgust	0.320
mishap	accidente	disgust	0.320
groan	xemido	disgust	0.320
soil	solo	disgust	0.312
depreciated	depreciado	disgust	0.312
disincline	desinfectar	disgust	0.312
inappropriate	inapropiado	disgust	0.312
inconsiderate	inconsiderar	disgust	0.312
burke	burke	disgust	0.312
overpriced	caro	disgust	0.312
sneeze	estornudar	disgust	0.312
stomach	estómago	disgust	0.312
criticize	criticar	disgust	0.312
theism	teismo	disgust	0.312
disparity	disparidade	disgust	0.305
gall	gall	disgust	0.305
latent	latente	disgust	0.305
grumpy	grumpy	disgust	0.305
bang	bang	disgust	0.305
inadmissible	inadmisible	disgust	0.305
unfriendly	hostil	disgust	0.305
shack	choza	disgust	0.305
disliking	non me gusta	disgust	0.305
unaccountable	inexplicable	disgust	0.305
coop	coop	disgust	0.304
scold	reprender	disgust	0.297
growling	gruñendo	disgust	0.297
lonely	solitario	disgust	0.297
delay	atraso	disgust	0.297
congress	congreso	disgust	0.297
disregarded	ignorado	disgust	0.297
disappointment	decepción	disgust	0.297
backwards	cara atrás	disgust	0.297
soreness	dor	disgust	0.297
rogue	canalla	disgust	0.297
infamous	infame	disgust	0.289
lesbian	lesbianas	disgust	0.289
notoriety	notoriedade	disgust	0.289
catechism	catecismo	disgust	0.289
flop	flop	disgust	0.289
nettle	urtiga	disgust	0.289
janitor	conserxaría	disgust	0.289
saturated	saturado	disgust	0.281
gaby	gaby	disgust	0.281
prohibited	prohibido	disgust	0.281
remiss	remiss	disgust	0.281
unfair	inxusto	disgust	0.281
desist	desistir	disgust	0.281
wince	estruendo	disgust	0.281
aftermath	consecuencias	disgust	0.281
huff	huff	disgust	0.273
discolored	decolorado	disgust	0.273
uneasy	incómodo	disgust	0.273
wrangling	arrancando	disgust	0.273
tribunal	tribunal	disgust	0.273
weird	raro	disgust	0.266
bureaucrat	burócrata	disgust	0.266
coldness	frio	disgust	0.266
impolite	impolite	disgust	0.266
politic	política	disgust	0.266
unsatisfied	insatisfeito	disgust	0.266
swig	swig	disgust	0.266
inefficiency	ineficiencia	disgust	0.266
frantic	frenético	disgust	0.266
crawl	rastrexar	disgust	0.266
instinctive	instintivo	disgust	0.258
barrow	barrow	disgust	0.258
incase	en caso	disgust	0.258
octopus	polbo	disgust	0.258
chagrin	chagrin	disgust	0.258
copycat	copycat	disgust	0.258
rascal	canalla	disgust	0.258
sarcasm	sarcasmo	disgust	0.258
gruff	pesada	disgust	0.258
misconception	idea errónea	disgust	0.250
hulk	hulk	disgust	0.250
shanghai	xangai	disgust	0.250
baboon	babuíno	disgust	0.250
disinclined	desinfectado	disgust	0.250
lose	perder	disgust	0.250
john	Xoán	disgust	0.250
cupping	cubrindo	disgust	0.250
rook	rook	disgust	0.242
gratuitous	gratuíto	disgust	0.242
entangled	Enredado	disgust	0.242
opponent	adversario	disgust	0.242
tariff	tarifa	disgust	0.242
scrub	esfregar	disgust	0.242
resign	renunciar	disgust	0.234
prolong	prolongar	disgust	0.234
backwardness	atraso	disgust	0.234
reluctance	reluctancia	disgust	0.234
questionable	cuestionable	disgust	0.234
lagging	atraso	disgust	0.234
unlucky	desgraciado	disgust	0.234
misstatement	declaración errónea	disgust	0.234
reversal	reversión	disgust	0.227
disqualified	descualificado	disgust	0.227
subsidy	subvención	disgust	0.227
ineffectual	ineficaz	disgust	0.227
fussy	chuvioso	disgust	0.227
unpopular	impopular	disgust	0.227
default	por defecto	disgust	0.227
intense	intenso	disgust	0.219
dame	dame	disgust	0.219
evade	evadir	disgust	0.219
petroleum	petróleo	disgust	0.219
weight	peso	disgust	0.219
frowning	frunciendo o cello	disgust	0.219
actionable	Accesible	disgust	0.211
tawny	tawny	disgust	0.211
donkey	burro	disgust	0.211
unhappy	infeliz	disgust	0.211
indifference	indiferenza	disgust	0.203
rave	rave	disgust	0.203
birch	bidueiro	disgust	0.203
hood	capucha	disgust	0.203
desert	deserto	disgust	0.203
owing	debido	disgust	0.203
gnome	gnome	disgust	0.203
awkwardness	incómoda	disgust	0.203
inconvenient	inconveniente	disgust	0.203
dandy	dandy	disgust	0.203
speck	mancha	disgust	0.203
fleece	vellón	disgust	0.195
howl	aullar	disgust	0.195
monochrome	monocromo	disgust	0.195
airs	aire	disgust	0.195
gelatin	xelatina	disgust	0.195
misguided	NO TRANSLATION	disgust	0.195
morals	moral	disgust	0.195
dabbling	dabbling	disgust	0.195
celebrity	celebridade	disgust	0.188
avoid	evitar	disgust	0.188
stalemate	estancar	disgust	0.188
lush	exuberante	disgust	0.188
gent	xente	disgust	0.188
lesser	menor	disgust	0.188
sunk	afundido	disgust	0.180
nose	nariz	disgust	0.180
claimant	reclamante	disgust	0.180
laughable	risible	disgust	0.180
possession	posesión	disgust	0.180
larger	máis grande	disgust	0.164
hoot	pitido	disgust	0.164
mouthful	bocado	disgust	0.164
thrift	Ahorro	disgust	0.164
pregnancy	embarazo	disgust	0.164
undoubted	indudable	disgust	0.164
clamor	clamor	disgust	0.156
misplace	enganar	disgust	0.156
sentence	sentenza	disgust	0.156
parrot	papagaio	disgust	0.156
obliging	obrigando	disgust	0.156
nameless	nameless	disgust	0.148
bummer	borrar	disgust	0.148
feeling	sentimento	disgust	0.141
elf	elf	disgust	0.141
excellence	excelencia	disgust	0.141
turn	virar	disgust	0.133
gray	gris	disgust	0.133
asymmetry	asimetría	disgust	0.133
clumsy	torpe	disgust	0.133
stall	parada	disgust	0.133
bran	salvado	disgust	0.125
finally	finalmente	disgust	0.125
lord	señor	disgust	0.125
boy	neno	disgust	0.117
cove	cala	disgust	0.117
nurture	nutrir	disgust	0.117
savor	saborear	disgust	0.117
lemon	limón	disgust	0.109
winning	gañar	disgust	0.109
powerful	poderoso	disgust	0.102
glitter	brillo	disgust	0.094
interior	interior	disgust	0.086
mind	mente	disgust	0.086
treat	tratar	disgust	0.078
interested	interesado	disgust	0.078
abundance	abundancia	disgust	0.078
honest	honesto	disgust	0.055
kite	cometa	disgust	0.055
humble	humilde	disgust	0.047
tree	árbore	disgust	0.039
torture	tortura	fear	0.984
terrorist	terrorista	fear	0.972
horrific	horrible	fear	0.969
terrorism	terrorismo	fear	0.969
terrorists	terroristas	fear	0.969
suicidebombing	NO TRANSLATION	fear	0.967
kill	matar	fear	0.962
homicidal	homicidio	fear	0.959
annihilate	aniquilar	fear	0.953
terror	terror	fear	0.953
murderer	asasino	fear	0.953
catastrophe	catástrofe	fear	0.953
dying	morrendo	fear	0.948
war	guerra	fear	0.942
bombing	bombardeos	fear	0.938
bomb	bomba	fear	0.935
missiles	misiles	fear	0.934
horror	horror	fear	0.923
brutality	brutalidade	fear	0.922
bloodthirsty	sanguinario	fear	0.922
terrorize	aterrorizar	fear	0.922
horrified	horrorizado	fear	0.922
murderous	asasinos	fear	0.920
massacre	masacre	fear	0.911
assassinate	asasinar	fear	0.906
horrifying	horroroso	fear	0.906
fatality	fatalidade	fear	0.906
murder	asasinato	fear	0.906
mutilation	mutilación	fear	0.906
terrifying	aterrador	fear	0.906
devastation	devastación	fear	0.906
holocaust	holocausto	fear	0.906
horrors	horrores	fear	0.906
killing	matando	fear	0.906
demon	demo	fear	0.906
terrified	aterrorizado	fear	0.906
suicidal	suicida	fear	0.898
kidnap	secuestro	fear	0.891
slaughter	masacre	fear	0.891
assault	asalto	fear	0.891
crucifixion	crucifixión	fear	0.891
doomed	condenado	fear	0.888
poisoned	envenenado	fear	0.886
suicide	suicidio	fear	0.879
explosion	explosión	fear	0.879
dismemberment	desmembramento	fear	0.875
slaughtering	matanza	fear	0.875
disastrous	desastroso	fear	0.875
deadly	mortal	fear	0.875
annihilation	aniquilación	fear	0.875
disaster	desastre	fear	0.875
threatening	ameazando	fear	0.875
suffocation	asfixia	fear	0.875
assassin	asasino	fear	0.875
savagery	salvaxismo	fear	0.875
rape	violación	fear	0.870
hell	o inferno	fear	0.860
anthrax	antrax	fear	0.859
explosive	explosivo	fear	0.859
warfare	guerra	fear	0.859
paralyzed	paralizado	fear	0.859
molestation	molestation	fear	0.859
homicide	homicidio	fear	0.859
barbaric	bárbaro	fear	0.859
