word	Persian-fa	emotion	emotion-intensity-score
flog	افتادن	disgust	0.570
egregious	فجیع	disgust	0.570
swamp	باتلاق	disgust	0.570
oppress	سرکوب کنید	disgust	0.570
despise	خوار شمردن	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	مار	disgust	0.570
snake	مار	disgust	0.562
terrible	وحشتناک	disgust	0.562
awful	خیلی بد و ناخوشایند	disgust	0.562
harmful	زیان آور	disgust	0.562
insanity	جنون	disgust	0.562
indecent	ناخوشایند	disgust	0.562
sordid	sordid	disgust	0.562
loo	لئو	disgust	0.562
scoundrel	ناخودآگاه	disgust	0.562
enemy	دشمن	disgust	0.562
stealing	سرقت	disgust	0.562
alcoholism	مشروبات الکلی	disgust	0.562
humiliation	حقارت	disgust	0.562
ruthless	بی رحم	disgust	0.562
sloppy	درهم و برهم	disgust	0.562
tyrannical	استبدادی	disgust	0.562
harlot	وحشی	disgust	0.562
sinning	گناه	disgust	0.562
robbery	سرقت	disgust	0.555
insufferable	ناخوشایند	disgust	0.555
arsenic	آرسنیک	disgust	0.555
bloody	خون آشام	disgust	0.555
odious	عصبانی	disgust	0.555
ridicule	مسخره کردن	disgust	0.555
atrophy	آتروفی	disgust	0.555
beastly	خنده دار	disgust	0.555
collusion	تبانی	disgust	0.555
distaste	ناراحتی	disgust	0.555
segregate	جدا کردن	disgust	0.555
discriminating	تبعیض آمیز	disgust	0.555
coward	ترسو	disgust	0.555
wickedness	شرارت	disgust	0.555
threatening	تهدید کننده	disgust	0.555
unattractive	غیر جذاب	disgust	0.555
slayer	قاتل	disgust	0.555
flabby	شل و ول	disgust	0.555
varicella	واریسلا	disgust	0.555
miserable	بدبخت	disgust	0.547
sty	استیو	disgust	0.547
ogre	جادوگر	disgust	0.547
coercion	اجبار	disgust	0.547
thief	دزد	disgust	0.547
slur	خراب کردن	disgust	0.547
suffocating	خفه کننده	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	برزخ	disgust	0.547
malevolent	خشونت آمیز	disgust	0.547
bitterly	تلخ	disgust	0.547
burglar	سرقت	disgust	0.547
attacking	هجوم بردن	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	محکومیت	disgust	0.547
pillage	غارت	disgust	0.547
deleterious	زیان آور	disgust	0.547
thrash	ترس	disgust	0.539
repellant	دفع کننده	disgust	0.539
repudiation	تخلف	disgust	0.539
infidelity	خیانت	disgust	0.539
liar	دروغ گو	disgust	0.539
fatty	چرب	disgust	0.539
gob	خندیدن	disgust	0.539
sneer	گول زدن	disgust	0.539
drunken	مستی	disgust	0.539
disgrace	رسوایی	disgust	0.539
shame	شرم آور	disgust	0.539
jealous	حسادت	disgust	0.539
imprisoned	زندانی	disgust	0.539
pig	خوک	disgust	0.539
greedy	حریص	disgust	0.539
sloth	لکه	disgust	0.539
lethal	مرگبار	disgust	0.536
burnt	سوخته	disgust	0.531
aberration	انحراف	disgust	0.531
condescension	محبت	disgust	0.531
hydrocephalus	هیدروسفالی	disgust	0.531
hanging	حلق آویز	disgust	0.531
destructive	مخرب	disgust	0.531
smuggler	قاچاقچی	disgust	0.531
intolerant	غیر قابل تحمل	disgust	0.531
travesty	ترسناک	disgust	0.531
intrusive	سرزده	disgust	0.531
ruined	خراب	disgust	0.531
withered	خشک شده	disgust	0.531
disintegrate	تجزیه	disgust	0.531
brawl	نزاع	disgust	0.531
blemish	پرده	disgust	0.531
neurotic	روانپزشکی	disgust	0.531
blasphemous	کفرآمیز	disgust	0.531
lying	دروغ گویی	disgust	0.531
painful	دردناک	disgust	0.531
avarice	جسارت	disgust	0.523
disgraced	ناراحت	disgust	0.523
mistress	معشوقه	disgust	0.523
disparaging	ناامید کننده	disgust	0.523
rubbish	زباله	disgust	0.523
derogation	معافیت	disgust	0.523
accusation	اتهام	disgust	0.523
intolerance	عدم تحمل	disgust	0.523
incarceration	زندان	disgust	0.523
blighted	مرطوب	disgust	0.523
sump	چاه کن	disgust	0.516
deplorable	ناامید کننده	disgust	0.516
daemon	دلم	disgust	0.516
cringe	ریزش	disgust	0.516
degrade	تخریب	disgust	0.516
gutter	نهر	disgust	0.516
rob	غارت	disgust	0.516
grim	ترسناک	disgust	0.516
defraud	فريب دادن	disgust	0.516
tortious	جنجالی	disgust	0.516
eradication	قلع و قمع	disgust	0.516
stink	صبر کن	disgust	0.516
convict	محکوم کردن	disgust	0.516
dishonor	ناامید کننده	disgust	0.516
vulture	کرکس	disgust	0.516
remains	باقی	disgust	0.516
mite	مایت	disgust	0.516
betray	خیانت کنید	disgust	0.516
sham	شام	disgust	0.509
endemic	اندمیک	disgust	0.508
bombed	بمب گذاری شده	disgust	0.508
distress	پریشانی	disgust	0.508
pest	آفت	disgust	0.508
incurable	ناخوشایند	disgust	0.508
worthless	بی ارزش	disgust	0.508
rejection	طرد شدن	disgust	0.508
distasteful	ناراحت کننده	disgust	0.508
schizophrenia	جنون جوانی	disgust	0.508
belittle	تسلیم شدن	disgust	0.508
smelling	بوییدن	disgust	0.508
cheat	تقلب کردن	disgust	0.508
blob	لکه	disgust	0.508
prisoner	زندانی	disgust	0.508
idiocy	اشتباه	disgust	0.508
delirium	دلیری	disgust	0.508
disaster	فاجعه	disgust	0.508
crude	خام	disgust	0.508
resentment	خشم	disgust	0.508
dreadfully	ترسناک	disgust	0.508
glut	خسته کننده	disgust	0.508
polemic	بحث و گفتگو	disgust	0.500
derision	خرابکاری	disgust	0.500
idolatry	بت پرستی	disgust	0.500
taboo	تابو	disgust	0.500
screaming	جیغ زدن	disgust	0.500
banish	تبعید کردن	disgust	0.500
dirt	خاک	disgust	0.500
goblin	غواصی	disgust	0.500
shackle	زدن	disgust	0.500
bribery	رشوه خواری	disgust	0.500
flagrant	آشکار	disgust	0.500
jealousy	حسادت	disgust	0.500
impurity	ناخالصی	disgust	0.500
theft	سرقت	disgust	0.500
bitterness	تلخی	disgust	0.500
offense	توهین	disgust	0.500
impeach	امپراطوری	disgust	0.500
blight	تهوع	disgust	0.500
duress	فشار دادن	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	طمع	disgust	0.500
tirade	تیراد	disgust	0.500
squirm	چرت زدن	disgust	0.492
robber	دزد	disgust	0.492
ill	بیمار	disgust	0.492
unconscionable	غیر قابل انکار	disgust	0.492
recession	رکود اقتصادی	disgust	0.492
gorge	گورخر	disgust	0.492
wreck	خراب کردن	disgust	0.492
malign	بدبختی	disgust	0.492
boil	جوشیدن	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	ادم سفیه و احمق	disgust	0.492
disreputable	ناامید کننده	disgust	0.492
wasteful	بی فایده	disgust	0.484
affliction	بدبختی	disgust	0.484
stain	رنگ آمیزی	disgust	0.484
contempt	تحقیر	disgust	0.484
nappy	پوشک	disgust	0.484
mutiny	سوگواری	disgust	0.484
occult	مخفی	disgust	0.484
tramp	ولگردی	disgust	0.484
unbearable	غير قابل تحمل	disgust	0.484
offender	مجرم	disgust	0.484
servile	خدمتکار	disgust	0.484
contraband	قاچاق	disgust	0.484
raging	مهاجم	disgust	0.484
snarl	مارمولک	disgust	0.484
mad	دیوانه	disgust	0.484
subjugation	زیر پا گذاشتن	disgust	0.484
possessed	مجذوب	disgust	0.484
animosity	خصومت	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	تقصیر	disgust	0.484
disrespectful	بی احترامی	disgust	0.484
mess	بهم ریختگی	disgust	0.484
nepotism	بی نظمی	disgust	0.484
inexcusable	غیر قابل انکار	disgust	0.484
pathetic	تأسفبار - رقت انگیز	disgust	0.477
unpleasant	ناخوشایند	disgust	0.477
suppression	سرکوب	disgust	0.477
mockery	خیانت	disgust	0.477
palsy	فلج	disgust	0.477
criminal	جنایی	disgust	0.477
illegality	غیرقانونی بودن	disgust	0.477
uncaring	انکار کردن	disgust	0.477
antagonistic	آنتاگونیست	disgust	0.477
immorality	بد اخلاقی	disgust	0.477
dismal	ناراحت کننده	disgust	0.477
angry	خشمگین	disgust	0.469
repellent	دافع	disgust	0.469
cough	سرفه کردن	disgust	0.469
arrogant	متکبر	disgust	0.469
grating	گریتینگ	disgust	0.469
aggravation	تشدید	disgust	0.469
livid	زنده	disgust	0.469
banishment	تبعید	disgust	0.469
shoddy	خرابکاری	disgust	0.469
banshee	banshee	disgust	0.469
poverty	فقر	disgust	0.469
wallow	چرت زدن	disgust	0.469
outrage	خشم	disgust	0.469
mocking	مسخره	disgust	0.469
furious	خشمگین	disgust	0.469
perspiration	تعریق	disgust	0.469
prick	ضرب و شتم	disgust	0.461
recklessness	بی پرواگی	disgust	0.461
distorted	تحریف شده	disgust	0.461
fraudulent	جعلی	disgust	0.461
spider	عنکبوت	disgust	0.461
quack	گول زدن	disgust	0.461
perdition	سقوط	disgust	0.461
muddy	گل آلود	disgust	0.461
spurious	جعلی	disgust	0.461
insulting	توهین	disgust	0.461
scar	جای زخم	disgust	0.461
deceive	فریب دادن	disgust	0.461
unjustifiable	غیر قابل اثبات	disgust	0.461
fool	احمق	disgust	0.461
deplore	عذرخواهی کن	disgust	0.461
plunder	غارت	disgust	0.461
aphid	شسته شدن	disgust	0.453
bane	نابینا	disgust	0.453
indignation	خشم	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	خود خواه	disgust	0.453
disparage	ناسزا	disgust	0.453
cur	کنجکاو	disgust	0.453
dishonest	متقلب	disgust	0.453
stigma	شرم آور	disgust	0.453
eschew	فرار کن	disgust	0.453
antipathy	انزجار	disgust	0.453
alienate	بیگانه	disgust	0.453
disingenuous	بی شرمانه	disgust	0.453
elimination	حذف	disgust	0.453
unthinkable	غیر قابل تصور است	disgust	0.453
wasted	هدر رفته	disgust	0.445
recalcitrant	سرگردان	disgust	0.445
iniquity	گناه	disgust	0.445
mosquito	پشه	disgust	0.445
caries	پوسیدگی	disgust	0.445
bankruptcy	ورشکستگی	disgust	0.445
egotistical	خود پسندی	disgust	0.445
piles	شمع ها	disgust	0.445
smell	بو	disgust	0.445
vacuous	خالی	disgust	0.445
despair	ناامیدی	disgust	0.445
opium	تریاک	disgust	0.445
garish	قرمز	disgust	0.445
lie	دروغ	disgust	0.445
pious	معشوق	disgust	0.445
aversion	ناامیدی	disgust	0.438
sticky	چسبنده	disgust	0.438
scream	فریاد زدن	disgust	0.438
alien	بیگانه	disgust	0.438
shun	خاموش	disgust	0.438
abnormal	غیر طبیعی	disgust	0.438
ashamed	شرمنده	disgust	0.438
inmate	زندانی	disgust	0.438
abject	شگفت انگیز	disgust	0.438
hog	قورباغه	disgust	0.438
hopelessness	ناامیدی	disgust	0.438
homeless	بی خانمان	disgust	0.438
obnoxious	ناراحت کننده	disgust	0.438
curse	لعنت	disgust	0.430
creature	موجود	disgust	0.430
cursing	لعنت کردن	disgust	0.430
illegal	غیر مجاز	disgust	0.430
lusty	شهوت انگیز	disgust	0.430
shameless	بی حیا	disgust	0.430
debris	باقیمانده	disgust	0.430
defiance	بی احترامی	disgust	0.430
pall	پال	disgust	0.430
falsity	دروغ گفتن	disgust	0.430
reflux	ریفلاکس	disgust	0.430
incredulous	بی اعتقاد	disgust	0.430
adverse	منفی است	disgust	0.430
trickery	حیله گری	disgust	0.430
callous	خوبه	disgust	0.430
separatist	جدایی طلب	disgust	0.430
undesirable	نامطلوب	disgust	0.430
denounce	محکوم کردن	disgust	0.430
witch	جادوگر	disgust	0.430
bum	بدم	disgust	0.422
bovine	گاو	disgust	0.422
denunciation	محکومیت	disgust	0.422
untidy	بی نظیر	disgust	0.422
impure	ناپاک	disgust	0.422
mistrust	بی اعتمادی	disgust	0.422
tarnish	تکان دادن	disgust	0.422
ferocious	وحشی	disgust	0.422
gush	خجالت کشیدن	disgust	0.422
infantile	نوزادان	disgust	0.422
ammonia	آمونیاک	disgust	0.422
offend	جرم	disgust	0.422
idiotic	ایدوتیک	disgust	0.422
hypertrophy	هیپرتروفی	disgust	0.422
nicotine	نیکوتین	disgust	0.422
tasteless	بی مزه	disgust	0.422
pompous	پمپاژ	disgust	0.422
socialist	سوسیالیست	disgust	0.422
delinquent	بزهکار	disgust	0.422
swarm	ازدحام	disgust	0.422
contentious	متضاد	disgust	0.422
carelessness	سهل انگاری	disgust	0.422
hairy	مودار	disgust	0.422
wasting	اتلاف	disgust	0.422
slush	شیرین	disgust	0.422
affront	اعتراض	disgust	0.422
collapse	سقوط - فروپاشی	disgust	0.422
badness	بدی	disgust	0.422
dishonesty	ناسزاگویی	disgust	0.414
vegetative	رویشی	disgust	0.414
displacency	جابجایی	disgust	0.414
unfavorable	نامطلوب	disgust	0.414
disobey	نادیده گرفتن	disgust	0.414
sour	ترش	disgust	0.414
socialism	سوسیالیسم	disgust	0.414
murky	تیره	disgust	0.414
neglected	غفلت	disgust	0.414
drivel	رانندگی	disgust	0.414
vampire	خون آشام	disgust	0.414
litigious	مشروط	disgust	0.414
illegitimate	نامشروع	disgust	0.414
disgruntled	ناراضی	disgust	0.406
ignorant	نادان	disgust	0.406
outcast	بی رحمانه	disgust	0.406
unkind	عجیب نیست	disgust	0.406
repel	دفع کردن	disgust	0.406
displeasure	ناراحتی	disgust	0.406
phony	جعلی	disgust	0.406
shoplifting	فروشگاه اینترنتی	disgust	0.406
dislike	دوست نداشتن	disgust	0.406
unlawful	غیرقانونی	disgust	0.406
bogus	جعلی	disgust	0.406
discontinuity	انسجام	disgust	0.406
recidivism	تجدید حیات	disgust	0.406
ungrateful	ناسپاس	disgust	0.406
wrongdoing	اشتباه	disgust	0.406
falsify	جعل کرد	disgust	0.406
prosecution	پیگرد قانونی	disgust	0.406
failure	شکست	disgust	0.398
loon	لون	disgust	0.398
lick	لیسیدن	disgust	0.398
subvert	فرو ریختن	disgust	0.398
rigor	سختی	disgust	0.398
unruly	بی ادبانه	disgust	0.398
paucity	کمبود	disgust	0.398
unnatural	غیر طبیعی است	disgust	0.398
averse	مخالف	disgust	0.398
senseless	بدون احساس	disgust	0.398
worsening	بدتر شدن	disgust	0.398
disdain	بدبختی	disgust	0.398
woe	وای	disgust	0.398
woefully	با احتیاط	disgust	0.398
amphetamines	آمفتامین	disgust	0.398
stingy	خجالتی	disgust	0.398
crushing	خرد کردن	disgust	0.398
insult	توهین	disgust	0.393
damage	خسارت	disgust	0.391
hardened	سخت است	disgust	0.391
diatribe	اذیت کردن	disgust	0.391
averseness	عینیت	disgust	0.391
critter	مخلوق	disgust	0.391
muff	کوپلینگ	disgust	0.391
antisocial	ضد اجتماعی	disgust	0.391
punishment	مجازات	disgust	0.391
bad	بد	disgust	0.391
punished	مجازات	disgust	0.391
disrelish	تخلیه کردن	disgust	0.391
expel	اخراج	disgust	0.391
farcical	farcical	disgust	0.391
scorpion	عقرب	disgust	0.391
sacrifices	فداکاری	disgust	0.383
plagiarism	سرقت ادبی	disgust	0.383
hypocritical	ریاکاری	disgust	0.383
divorce	طلاق	disgust	0.383
presumptuous	محتاطانه	disgust	0.383
discord	اختلاف نظر	disgust	0.383
fugitive	فراری	disgust	0.383
fulsome	پرشور	disgust	0.383
shabby	خراب	disgust	0.383
orc	اورک	disgust	0.383
adder	کمد	disgust	0.383
anaconda	anaconda	disgust	0.383
surly	فرومایگی	disgust	0.383
irrational	غیر منطقی	disgust	0.383
disappoint	ناامید	disgust	0.383
illiterate	بی سواد	disgust	0.383
lament	گول زدن	disgust	0.383
eviction	اخراج	disgust	0.383
teeming	پرتقال	disgust	0.383
guilt	گناه	disgust	0.383
misconduct	سوء رفتار	disgust	0.375
blame	سرزنش	disgust	0.375
alienation	بیگانگی	disgust	0.375
depressing	افسرده	disgust	0.375
irritating	تحریک کننده	disgust	0.375
plight	بدبختی	disgust	0.375
unworthy	نالایق	disgust	0.375
dislocated	جابجایی	disgust	0.375
scoff	ترساندن	disgust	0.375
irritation	تحریک	disgust	0.375
defective	معیوب	disgust	0.375
shock	شوکه شدن	disgust	0.375
hoax	دروغ گفتن	disgust	0.367
coerce	مجازات	disgust	0.367
revoke	لغو کردن	disgust	0.367
stripped	خرد شده	disgust	0.367
exclusion	خروج	disgust	0.367
blatant	انعطاف پذیر	disgust	0.367
disillusionment	سرخوردگی	disgust	0.367
squelch	فشار دادن	disgust	0.367
unhealthy	ناسالم	disgust	0.367
toad	خوک	disgust	0.367
wimpy	شگفت انگیز	disgust	0.367
pitfall	افتادن	disgust	0.367
vainly	بیهوده	disgust	0.367
powerless	ناتوان	disgust	0.367
cad	کاد	disgust	0.367
hurtful	مضطرب	disgust	0.367
shuddering	پژمردن	disgust	0.367
wimp	wimp	disgust	0.367
oddity	عجیب و غریب	disgust	0.359
rebellion	شورش	disgust	0.359
incompatible	ناسازگار	disgust	0.359
ineptitude	بی نظمی	disgust	0.359
dispose	انتقال	disgust	0.359
disobedience	نافرمانی	disgust	0.359
damn	لعنت	disgust	0.359
bug	حشره	disgust	0.359
deserted	ترک	disgust	0.359
litigate	شکایت کردن	disgust	0.352
ridiculous	مسخره	disgust	0.352
compost	کمپوست	disgust	0.352
obi	ابی	disgust	0.352
untoward	بی نظیر	disgust	0.352
censor	سانسور	disgust	0.352
uncertain	نا معلوم	disgust	0.352
lawyer	وکیل	disgust	0.352
flinch	تلنگر	disgust	0.352
flesh	گوشت	disgust	0.352
crushed	خرد شده	disgust	0.352
displeased	ناراحت	disgust	0.352
inept	بی منطق	disgust	0.352
wrongful	اشتباه	disgust	0.352
cutting	برش دادن	disgust	0.352
fierce	شدید	disgust	0.352
misbehavior	بد رفتاری	disgust	0.352
frustrate	خرابکاری	disgust	0.352
dismissal	اخراج	disgust	0.352
disapprove	تایید نشد	disgust	0.344
depreciate	از بین بردن	disgust	0.344
tearful	پریشانی	disgust	0.344
thoughtless	بی فکری	disgust	0.336
unsettled	ناامید شده	disgust	0.336
lumpy	یکپارچه	disgust	0.336
discoloration	تغییر رنگ	disgust	0.336
blunder	اشتباه بزرگ	disgust	0.336
disinclination	ناامیدی	disgust	0.336
distrust	بی اعتمادی	disgust	0.336
annoy	آزار دهنده	disgust	0.336
lawsuit	طرح دعوی در دادگاه	disgust	0.336
discontent	نارضایتی	disgust	0.336
grumble	خراب کردن	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	لعنتی	disgust	0.336
heartsick	دلتنگ	disgust	0.336
disliked	دوست نداشتن	disgust	0.336
bickering	تکان دادن	disgust	0.336
disallowed	ممنوع	disgust	0.336
unmanageable	غیر قابل کنترل	disgust	0.328
hydrophobia	هیدروفوبیا	disgust	0.328
unsatisfactory	نامطلوب	disgust	0.328
whine	ناله کردن	disgust	0.328
exasperation	ناراحتی	disgust	0.328
instability	بی ثباتی	disgust	0.328
provoking	تحریک	disgust	0.328
disappointed	ناامید	disgust	0.328
inhibit	مهار	disgust	0.328
sly	باهوش	disgust	0.328
grievance	شکایت	disgust	0.328
materialist	ماتریالیست	disgust	0.328
excluded	حذف شد	disgust	0.328
cacophony	جادوگری	disgust	0.328
misleading	گمراه کننده	disgust	0.321
disclaim	سلب مسئولیت	disgust	0.320
rags	جوراب ها	disgust	0.320
soot	دوده	disgust	0.320
disservice	خدانگهدار	disgust	0.320
unequal	نابرابر	disgust	0.320
humbug	هامبورگ	disgust	0.320
reproach	سرزنش	disgust	0.320
confined	محدود است	disgust	0.320
disapproving	ناراضی	disgust	0.320
annoyance	ناراحتی	disgust	0.320
mishap	بدبختی	disgust	0.320
groan	سوزش	disgust	0.320
soil	خاک	disgust	0.312
depreciated	تخفیف	disgust	0.312
disincline	تقلید کردن	disgust	0.312
inappropriate	نامناسب	disgust	0.312
inconsiderate	بی توجهی	disgust	0.312
burke	برک	disgust	0.312
overpriced	بیش از حد	disgust	0.312
sneeze	عطسه	disgust	0.312
stomach	معده	disgust	0.312
criticize	انتقاد کنید	disgust	0.312
theism	تئوریسم	disgust	0.312
disparity	تناقض	disgust	0.305
gall	گال	disgust	0.305
latent	پنهان	disgust	0.305
grumpy	بد خلق	disgust	0.305
bang	انفجار	disgust	0.305
inadmissible	غیر قابل قبول	disgust	0.305
unfriendly	غیر دوستانه	disgust	0.305
shack	کلاه	disgust	0.305
disliking	بی علاقگی	disgust	0.305
unaccountable	غیرقابل پذیرش	disgust	0.305
coop	کوک	disgust	0.304
scold	ترساندن	disgust	0.297
growling	رشد کردن	disgust	0.297
lonely	تنهایی	disgust	0.297
delay	تاخیر انداختن	disgust	0.297
congress	کنگره	disgust	0.297
disregarded	نادیده گرفته شده	disgust	0.297
disappointment	ناامیدی	disgust	0.297
backwards	عقب	disgust	0.297
soreness	درد و رنج	disgust	0.297
rogue	سرکش	disgust	0.297
infamous	بدنام	disgust	0.289
lesbian	لزبین	disgust	0.289
notoriety	بدبختی	disgust	0.289
catechism	کتک زدن	disgust	0.289
flop	فلاپ	disgust	0.289
nettle	گزنه	disgust	0.289
janitor	نگهدارنده	disgust	0.289
saturated	اشباع شده	disgust	0.281
gaby	گابی	disgust	0.281
prohibited	ممنوع	disgust	0.281
remiss	اشتباه	disgust	0.281
unfair	غیر منصفانه	disgust	0.281
desist	دست کشیدن	disgust	0.281
wince	از بین بردن	disgust	0.281
aftermath	پس از آن	disgust	0.281
huff	عصبانی	disgust	0.273
discolored	تغییر رنگ داده شده	disgust	0.273
uneasy	ناراحت	disgust	0.273
wrangling	سرگردان	disgust	0.273
tribunal	دادگاه	disgust	0.273
weird	عجیب و غریب	disgust	0.266
bureaucrat	بوروکرات	disgust	0.266
coldness	سردی	disgust	0.266
impolite	بی ادب	disgust	0.266
politic	سیاسی	disgust	0.266
unsatisfied	ناراضی	disgust	0.266
swig	جیغ کشیدن	disgust	0.266
inefficiency	ناکارآمدی	disgust	0.266
frantic	از کوره در رفته	disgust	0.266
crawl	خزیدن	disgust	0.266
instinctive	غریزی	disgust	0.258
barrow	بارو	disgust	0.258
incase	در صورت	disgust	0.258
octopus	اختاپوس	disgust	0.258
chagrin	چاقی	disgust	0.258
copycat	کپی کردن	disgust	0.258
rascal	ترسناک	disgust	0.258
sarcasm	طعنه	disgust	0.258
gruff	خشن	disgust	0.258
misconception	تصور غلط	disgust	0.250
hulk	هولک	disgust	0.250
shanghai	شانگهای	disgust	0.250
baboon	بابون	disgust	0.250
disinclined	ناامید	disgust	0.250
lose	از دست دادن	disgust	0.250
john	جان	disgust	0.250
cupping	کوک کردن	disgust	0.250
rook	روح	disgust	0.242
gratuitous	بی تفاوتی	disgust	0.242
entangled	گرفتار	disgust	0.242
opponent	حریف	disgust	0.242
tariff	تعرفه	disgust	0.242
scrub	اسکراب	disgust	0.242
resign	استعفا	disgust	0.234
prolong	طولانی تر	disgust	0.234
backwardness	عقب ماندگی	disgust	0.234
reluctance	بی خوابی	disgust	0.234
questionable	سوال برانگیز	disgust	0.234
lagging	عقب ماندگی	disgust	0.234
unlucky	بد شانس	disgust	0.234
misstatement	بی نظمی	disgust	0.234
reversal	واژگونی	disgust	0.227
disqualified	رد صلاحیت شد	disgust	0.227
subsidy	یارانه	disgust	0.227
ineffectual	بی اثر	disgust	0.227
fussy	ایراد گیر	disgust	0.227
unpopular	ناخوشایند	disgust	0.227
default	به طور پیش فرض	disgust	0.227
intense	شدید	disgust	0.219
dame	داماد	disgust	0.219
evade	فرار کن	disgust	0.219
petroleum	نفت	disgust	0.219
weight	وزن	disgust	0.219
frowning	سرگردان	disgust	0.219
actionable	عملی است	disgust	0.211
tawny	بامزه	disgust	0.211
donkey	خر	disgust	0.211
unhappy	ناراضی	disgust	0.211
indifference	بی تفاوتی	disgust	0.203
rave	دیوانه	disgust	0.203
birch	توس	disgust	0.203
hood	کاپوت ماشین	disgust	0.203
desert	کویر	disgust	0.203
owing	به خاطر	disgust	0.203
gnome	گنوم	disgust	0.203
awkwardness	اشتباه	disgust	0.203
inconvenient	نامناسب	disgust	0.203
dandy	دندانه دار	disgust	0.203
speck	پشه	disgust	0.203
fleece	پشم گوسفند	disgust	0.195
howl	صدای جیر جیر	disgust	0.195
monochrome	تک رنگ	disgust	0.195
airs	هوا	disgust	0.195
gelatin	ژلاتین	disgust	0.195
misguided	NO TRANSLATION	disgust	0.195
morals	اخلاق	disgust	0.195
dabbling	dabbling	disgust	0.195
celebrity	فرد مشهور	disgust	0.188
avoid	اجتناب کردن	disgust	0.188
stalemate	استالامات	disgust	0.188
lush	باشکوه	disgust	0.188
gent	گنت	disgust	0.188
lesser	کمتر	disgust	0.188
sunk	غرق شد	disgust	0.180
nose	بینی	disgust	0.180
claimant	ادعا کننده	disgust	0.180
laughable	خنده دار	disgust	0.180
possession	مالکیت	disgust	0.180
larger	بزرگتر	disgust	0.164
hoot	هوت	disgust	0.164
mouthful	لقمه	disgust	0.164
thrift	رفاه	disgust	0.164
pregnancy	بارداری	disgust	0.164
undoubted	بدون شک	disgust	0.164
clamor	سر و صدا	disgust	0.156
misplace	اشتباه	disgust	0.156
sentence	جمله	disgust	0.156
parrot	طوطی	disgust	0.156
obliging	موظف است	disgust	0.156
nameless	بی نام	disgust	0.148
bummer	آزاردهنده	disgust	0.148
feeling	احساس	disgust	0.141
elf	الف	disgust	0.141
excellence	تعالی	disgust	0.141
turn	دور زدن	disgust	0.133
gray	خاکستری	disgust	0.133
asymmetry	نامتقارن	disgust	0.133
clumsy	دست و پا چلفتی	disgust	0.133
stall	غرفه	disgust	0.133
bran	سبوس	disgust	0.125
finally	سرانجام	disgust	0.125
lord	خداوند	disgust	0.125
boy	پسر	disgust	0.117
cove	کوه	disgust	0.117
nurture	پرورش دهید	disgust	0.117
savor	مزه	disgust	0.117
lemon	لیمو	disgust	0.109
winning	برنده شدن	disgust	0.109
powerful	قدرتمند	disgust	0.102
glitter	زرق و برق	disgust	0.094
interior	داخلی	disgust	0.086
mind	ذهن	disgust	0.086
treat	درمان شود	disgust	0.078
interested	علاقه مند	disgust	0.078
abundance	فراوانی	disgust	0.078
honest	صادقانه	disgust	0.055
kite	بادبادک	disgust	0.055
humble	فروتن	disgust	0.047
tree	درخت	disgust	0.039
torture	شکنجه	fear	0.984
terrorist	تروریست	fear	0.972
horrific	دلهره آور	fear	0.969
terrorism	تروریسم	fear	0.969
terrorists	تروریست ها	fear	0.969
suicidebombing	NO TRANSLATION	fear	0.967
kill	کشتن	fear	0.962
homicidal	قاتل	fear	0.959
annihilate	نابود کردن	fear	0.953
terror	ترور	fear	0.953
murderer	قاتل	fear	0.953
catastrophe	فاجعه	fear	0.953
dying	در حال مرگ	fear	0.948
war	جنگ	fear	0.942
bombing	بمب گذاری	fear	0.938
bomb	بمب	fear	0.935
missiles	موشک ها	fear	0.934
horror	وحشت	fear	0.923
brutality	وحشیگری	fear	0.922
bloodthirsty	خون آشام	fear	0.922
terrorize	ترور کردن	fear	0.922
horrified	وحشت زده	fear	0.922
murderous	مرگبار	fear	0.920
massacre	قتل عام	fear	0.911
assassinate	ترور	fear	0.906
horrifying	وحشتناک	fear	0.906
fatality	مرگ و میر	fear	0.906
murder	آدم کشی	fear	0.906
mutilation	خشونت	fear	0.906
terrifying	وحشتناک	fear	0.906
devastation	تخریب	fear	0.906
holocaust	هولوکاست	fear	0.906
horrors	وحشت	fear	0.906
killing	کشتن	fear	0.906
demon	دیو	fear	0.906
terrified	وحشت زده	fear	0.906
suicidal	خودکشی	fear	0.898
kidnap	آدم ربایی	fear	0.891
slaughter	کشتار	fear	0.891
assault	حمله	fear	0.891
crucifixion	مصلوب شدن	fear	0.891
doomed	محکوم به	fear	0.888
poisoned	مسموم شده	fear	0.886
suicide	خودکشی کردن	fear	0.879
explosion	انفجار	fear	0.879
dismemberment	تقسیم بندی	fear	0.875
slaughtering	کشتار	fear	0.875
disastrous	فاجعه بار	fear	0.875
deadly	مرگبار	fear	0.875
annihilation	نابودی	fear	0.875
disaster	فاجعه	fear	0.875
threatening	تهدید کننده	fear	0.875
suffocation	خفه شدن	fear	0.875
assassin	قاتل	fear	0.875
