word	Maltese-mt	emotion	emotion-intensity-score
independence	indipendenza	anticipation	0.562
expose	jesponu	anticipation	0.562
immortality	Immortalità	anticipation	0.562
expected	mistenni	anticipation	0.562
mysterious	misterjuż	anticipation	0.562
hypothesis	ipote i	anticipation	0.562
accolade	accolade	anticipation	0.562
lover	lover	anticipation	0.562
quicken	ħeġġeġ	anticipation	0.562
champion	champion	anticipation	0.562
lovely	sabiħ	anticipation	0.555
rejoicing	rejoicing	anticipation	0.555
grasping	jifhimha	anticipation	0.555
grow	jikbru	anticipation	0.555
curiosity	kurżità	anticipation	0.555
splendor	splendor	anticipation	0.555
salvation	salvazzjoni	anticipation	0.555
happy	kuntenti	anticipation	0.555
oracle	oracle	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	tinfetaħ	anticipation	0.555
boisterous	boisterous	anticipation	0.555
liberty	libertà	anticipation	0.555
heroism	erojiżmu	anticipation	0.555
feeling	tħossok	anticipation	0.555
shopping	xiri	anticipation	0.555
fate	destin	anticipation	0.555
uneasiness	inkwiet	anticipation	0.555
speculative	spekulattiv	anticipation	0.555
changeable	jinbidel	anticipation	0.547
recreational	rikreattiv	anticipation	0.547
pray	nitolbu	anticipation	0.547
warn	iwissu	anticipation	0.547
suspicious	suspettuż	anticipation	0.547
convergence	konverġenza	anticipation	0.547
incite	jinċitaw	anticipation	0.547
agape	agape	anticipation	0.547
morrow	morrow	anticipation	0.547
abundance	abbundanza	anticipation	0.547
delighted	delighted	anticipation	0.547
resultant	riżultanti	anticipation	0.547
hungry	bil-ġuħ	anticipation	0.547
monetary	monetarja	anticipation	0.547
vote	votazzjoni	anticipation	0.547
glory	glorja	anticipation	0.547
glimmer	glimmer	anticipation	0.547
apprehensive	apprehensive	anticipation	0.547
sorcery	ħrejjef	anticipation	0.547
bountiful	bountiful	anticipation	0.547
leisure	divertiment	anticipation	0.547
probability	probabbiltà	anticipation	0.547
auction	irkant	anticipation	0.539
hunting	kaċċa	anticipation	0.539
contingent	kontinġenti	anticipation	0.539
hankering	hankering	anticipation	0.539
sensual	senswali	anticipation	0.539
blessings	tberik	anticipation	0.539
ballot	votazzjoni	anticipation	0.539
grandchildren	neputijiet	anticipation	0.539
entertainment	divertiment	anticipation	0.539
vindication	vindication	anticipation	0.539
worrying	inkwetanti	anticipation	0.539
tempest	tempest	anticipation	0.539
inquiry	inkjesta	anticipation	0.539
merge	jingħaqdu	anticipation	0.539
exceed	jaqbeż	anticipation	0.539
bounty	bounty	anticipation	0.539
glad	kuntent	anticipation	0.536
magnificent	magnífico	anticipation	0.531
feat	proeza	anticipation	0.531
stealthy	sigriet	anticipation	0.531
cheer	cheer	anticipation	0.531
spirits	spirti	anticipation	0.531
visitor	viżitatur	anticipation	0.531
appeal	appell	anticipation	0.531
forming	formazzjoni	anticipation	0.531
hurried	malajr	anticipation	0.531
responsive	jirrispondu	anticipation	0.531
virginity	virginità	anticipation	0.531
deliverance	twassil	anticipation	0.531
betrothed	betrothed	anticipation	0.531
overthrow	jitwaqqa '	anticipation	0.531
harbinger	harbinger	anticipation	0.531
raving	raving	anticipation	0.531
celestial	ċelesti	anticipation	0.531
dread	dread	anticipation	0.531
germination	ġerminazzjoni	anticipation	0.523
preparatory	preparatorju	anticipation	0.523
pleasant	pjaċevoli	anticipation	0.523
watch	għassa	anticipation	0.523
prophet	profeta	anticipation	0.523
prognostic	pronjostiku	anticipation	0.523
haste	għaġla	anticipation	0.523
planning	ippjanar	anticipation	0.523
importance	importanza	anticipation	0.523
radiance	radjanza	anticipation	0.523
prevail	jipprevali	anticipation	0.523
cheery	cheery	anticipation	0.523
competition	kompetizzjoni	anticipation	0.523
ultimately	fl-aħħar mill-aħħar	anticipation	0.523
revive	terġa titqajjem	anticipation	0.523
beaming	beaming	anticipation	0.523
wait	stenna	anticipation	0.523
child	tifel / tifla	anticipation	0.523
notification	notifika	anticipation	0.523
hunter	kaċċatur	anticipation	0.523
explosive	splussiv	anticipation	0.523
endanger	jipperikolaw	anticipation	0.516
time	ħin	anticipation	0.516
recreation	rikreazzjoni	anticipation	0.516
renovation	rinovazzjoni	anticipation	0.516
precious	prezzjuż	anticipation	0.516
begun	bdew	anticipation	0.516
loom	newl	anticipation	0.516
compensate	jikkumpensaw	anticipation	0.516
treat	jittratta	anticipation	0.516
uncontrollable	mhux kontrollabbli	anticipation	0.516
present	rigal	anticipation	0.516
salary	salarju	anticipation	0.516
celebrity	ċelebrità	anticipation	0.516
owing	minħabba	anticipation	0.516
chocolate	ċikkulata	anticipation	0.516
caution	kawtela	anticipation	0.516
fermentation	fermentazzjoni	anticipation	0.516
sensuality	sensuality	anticipation	0.516
wilderness	wilderness	anticipation	0.508
signify	ifisser	anticipation	0.508
transitional	tranżizzjonali	anticipation	0.508
intermission	intermission	anticipation	0.508
contemplation	kontemplazzjoni	anticipation	0.508
vigilance	viġilanza	anticipation	0.508
commemoration	kommemorazzjoni	anticipation	0.508
practise	prattika	anticipation	0.508
cue	cue	anticipation	0.508
infant	tarbija	anticipation	0.508
dreadful	koroh	anticipation	0.508
perfection	perfezzjoni	anticipation	0.508
elevation	elevazzjoni	anticipation	0.508
prerequisite	prerekwiżit	anticipation	0.508
cultivate	jikkultivaw	anticipation	0.508
horizon	orizzont	anticipation	0.508
develop	jiżviluppaw	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	jgħum	anticipation	0.500
attendance	attendenza	anticipation	0.500
nascent	bidu	anticipation	0.500
favorable	favorevoli	anticipation	0.500
peril	periklu	anticipation	0.500
income	dħul	anticipation	0.500
ardent	ardenti	anticipation	0.500
commemorate	jikkommemoraw	anticipation	0.500
doomsday	Doomsday	anticipation	0.500
reconciliation	rikonċiljazzjoni	anticipation	0.500
utopian	utopian	anticipation	0.500
romantic	romantic	anticipation	0.500
unbridled	mhux imwiegħed	anticipation	0.500
sunny	xemxi	anticipation	0.500
uphill	it-telgħa	anticipation	0.500
intuitively	intuwittivament	anticipation	0.500
depart	jitilqu	anticipation	0.500
eventuality	eventwalità	anticipation	0.500
puppy	ġeru	anticipation	0.500
zeal	entużjażmu	anticipation	0.500
sneaking	sneaking	anticipation	0.500
ready	lesta	anticipation	0.500
advocacy	advocacy	anticipation	0.500
airport	ajruport	anticipation	0.500
litigate	litigate	anticipation	0.500
blindfold	blindfold	anticipation	0.500
undisclosed	mhux żvelat	anticipation	0.500
young	żgħażagħ	anticipation	0.500
horoscope	horoskopju	anticipation	0.500
invocation	invokazzjoni	anticipation	0.500
calculation	kalkolu	anticipation	0.500
hero	eroj	anticipation	0.500
court	qorti	anticipation	0.492
repay	lura	anticipation	0.492
improvise	improvise	anticipation	0.492
parole	parole	anticipation	0.492
worry	tinkwetax	anticipation	0.492
inauguration	inawgurazzjoni	anticipation	0.492
gaping	ħafif	anticipation	0.492
youth	żgħażagħ	anticipation	0.492
bless	bless	anticipation	0.492
defense	difiża	anticipation	0.492
heyday	ħeja	anticipation	0.492
consequent	konsegwenti	anticipation	0.492
proceeding	proċediment	anticipation	0.492
eventual	eventwali	anticipation	0.492
perspective	perspettiva	anticipation	0.492
restorative	restawr	anticipation	0.492
undertaking	impriża	anticipation	0.492
highest	l-ogħla	anticipation	0.491
duel	duel	anticipation	0.484
unexplained	mhux spjegat	anticipation	0.484
tremor	rogħda	anticipation	0.484
sharpen	tiffoka aktar	anticipation	0.484
generosity	ġenerożità	anticipation	0.484
voluptuous	voluptuous	anticipation	0.484
shortly	dalwaqt	anticipation	0.484
vow	vow	anticipation	0.484
contagion	kontaġju	anticipation	0.484
letter	ittra	anticipation	0.484
happen	jiġri	anticipation	0.484
threaten	jheddu	anticipation	0.484
conjure	jevokaw	anticipation	0.484
sparkle	sparkle	anticipation	0.484
engulf	engulf	anticipation	0.484
god	god	anticipation	0.484
correspondence	korrispondenza	anticipation	0.484
auspicious	awspiċju	anticipation	0.484
princely	prinċipalment	anticipation	0.484
adore	adore	anticipation	0.477
enroll	iskrizzjoni	anticipation	0.477
determinate	determinat	anticipation	0.477
predispose	jippredisposti	anticipation	0.477
clue	clue	anticipation	0.477
onset	bidu	anticipation	0.477
powerful	qawwija	anticipation	0.477
glorify	glorify	anticipation	0.477
glow	glow	anticipation	0.477
arbitration	arbitraġġ	anticipation	0.477
torture	tortura	anticipation	0.477
gravitate	gravità	anticipation	0.477
cherish	għeżież	anticipation	0.477
contemplate	tikkontempla	anticipation	0.477
submit	ibgħat	anticipation	0.477
perilous	perikoluż	anticipation	0.477
unification	unifikazzjoni	anticipation	0.477
score	punteġġ	anticipation	0.477
medal	midalja	anticipation	0.477
glide	glide	anticipation	0.477
recipient	reċipjent	anticipation	0.477
accompaniment	akkumpanjament	anticipation	0.477
praiseworthy	ta 'min ifaħħarha	anticipation	0.473
providing	jipprovdu	anticipation	0.469
motion	mozzjoni	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	kawt	anticipation	0.469
cash	flus kontanti	anticipation	0.469
precursor	prekursur	anticipation	0.469
opera	opra	anticipation	0.469
elite	elite	anticipation	0.469
pry	pry	anticipation	0.469
hire	kiri	anticipation	0.469
sweets	ħelu	anticipation	0.469
star	stilla	anticipation	0.469
unsurpassed	mhux superjuri	anticipation	0.469
successful	suċċess	anticipation	0.469
unknown	mhux magħruf	anticipation	0.469
immediately	immedjatament	anticipation	0.469
starry	starry	anticipation	0.469
production	produzzjoni	anticipation	0.469
football	futbol	anticipation	0.469
completion	tlestija	anticipation	0.469
scare	biża	anticipation	0.469
invoke	invoka	anticipation	0.469
shaky	dgħajfa	anticipation	0.469
dawn	dawn	anticipation	0.469
creeping	creeping	anticipation	0.469
cheerfulness	ferrieħa	anticipation	0.461
soundness	sodezza	anticipation	0.461
mail	posta elettronika	anticipation	0.461
draft	abbozz	anticipation	0.461
preliminary	preliminari	anticipation	0.461
friendly	ambjent	anticipation	0.461
commemorative	kommemorattiva	anticipation	0.461
extricate	neħħi	anticipation	0.461
alive	ħaj	anticipation	0.461
untold	untold	anticipation	0.461
overture	qtugħ	anticipation	0.461
excel	jisbqu	anticipation	0.461
plight	qagħda mwiegħra	anticipation	0.461
synchronize	sinkronizzata	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	santwarju	anticipation	0.461
brilliant	brillanti	anticipation	0.461
pay	tħallas	anticipation	0.461
shining	brillanti	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	xhieda	anticipation	0.461
jeopardy	periklu	anticipation	0.461
perpetuity	perpetwa	anticipation	0.453
elegance	eleganti	anticipation	0.453
career	karriera	anticipation	0.453
basketball	baskitbol	anticipation	0.453
intimately	intimament	anticipation	0.453
renovate	rinnovament	anticipation	0.453
supremacy	supremazija	anticipation	0.453
infinity	infinita	anticipation	0.453
unexpected	mhux mistennija	anticipation	0.453
flinch	flinch	anticipation	0.453
complement	komplement	anticipation	0.453
prologue	prologu	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	prevenzjoni	anticipation	0.453
improve	ittejjeb	anticipation	0.453
sunset	nżul ix-xemx	anticipation	0.453
inaugural	inawgurali	anticipation	0.453
rehabilitation	rijabilitazzjoni	anticipation	0.453
fitting	twaħħil	anticipation	0.445
surround	surround	anticipation	0.445
share	sehem	anticipation	0.445
epidemic	epidemija	anticipation	0.445
sweet	ħelu	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	ħabi	anticipation	0.445
confidence	kunfidenza	anticipation	0.445
perfect	perfetta	anticipation	0.445
sun	xemx	anticipation	0.445
veracity	verità	anticipation	0.445
volunteer	voluntier	anticipation	0.445
conjecture	konġettura	anticipation	0.445
medical	mediku	anticipation	0.438
prepared	ippreparat	anticipation	0.438
superstitious	superstitjuż	anticipation	0.438
reconstruction	rikostruzzjoni	anticipation	0.438
tickle	tickle	anticipation	0.438
faith	fidi	anticipation	0.438
passenger	passiġġier	anticipation	0.438
saint	qaddis	anticipation	0.438
respect	rispett	anticipation	0.438
rabid	rabid	anticipation	0.438
reconstruct	rikostruzzjoni	anticipation	0.438
recombination	rikombinazzjoni	anticipation	0.438
devout	devout	anticipation	0.438
goodness	goodness	anticipation	0.438
angel	anġlu	anticipation	0.438
ferment	ferment	anticipation	0.438
plea	motiv	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	serjali	anticipation	0.438
conservation	konservazzjoni	anticipation	0.438
serenity	serenità	anticipation	0.430
tabulate	tabulari	anticipation	0.430
install	tinstalla	anticipation	0.430
labyrinth	labirint	anticipation	0.430
venerable	venerabbli	anticipation	0.430
perpetuate	tipperpetwa	anticipation	0.430
strategist	strategist	anticipation	0.430
unverified	mhux verifikata	anticipation	0.430
tribunal	tribunal	anticipation	0.430
charitable	karita '	anticipation	0.430
luscious	luscious	anticipation	0.430
spa	spa	anticipation	0.430
peace	paċi	anticipation	0.430
clap	clap	anticipation	0.430
conspirator	conspirator	anticipation	0.422
forestall	nieqaf	anticipation	0.422
patience	paċenzja	anticipation	0.422
oasis	oasi	anticipation	0.422
grin	grin	anticipation	0.422
revere	deher	anticipation	0.422
worship	qima	anticipation	0.422
vista	vista	anticipation	0.422
laughter	Rires	anticipation	0.422
volatility	volatilità	anticipation	0.422
adrift	maqlub	anticipation	0.422
candid	sinċier	anticipation	0.422
edification	edifikazzjoni	anticipation	0.422
unresolved	mhux solvut	anticipation	0.422
peaceful	paċifiku	anticipation	0.422
recognizable	rikonoxxibbli	anticipation	0.422
calls	sejħiet	anticipation	0.414
weigh	iżen	anticipation	0.414
probation	probation	anticipation	0.414
proficiency	profiċjenza	anticipation	0.414
morn	filgħodu	anticipation	0.414
craps	Craps	anticipation	0.414
detainee	detenut	anticipation	0.414
mediate	medja	anticipation	0.414
continue	tkompli	anticipation	0.414
astrologer	astrologer	anticipation	0.414
punctual	puntwali	anticipation	0.414
ordination	koordinazzjoni	anticipation	0.414
pretty	pretty	anticipation	0.414
thought	ħsibt	anticipation	0.414
grant	għotja	anticipation	0.414
withstand	jifilħu	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	għaddej	anticipation	0.414
sing	nijet	anticipation	0.411
long	twil	anticipation	0.406
confession	konfessjoni	anticipation	0.406
headlight	headlight	anticipation	0.406
prophylactic	profilattiċi	anticipation	0.406
mother	omm	anticipation	0.406
debenture	obbligazzjoni	anticipation	0.406
wizard	wizard	anticipation	0.406
university	università	anticipation	0.406
proud	kburi	anticipation	0.406
midwife	qabla	anticipation	0.406
banquet	banquet	anticipation	0.406
continuation	kontinwazzjoni	anticipation	0.406
navigable	navigabbli	anticipation	0.406
punished	ikkastigat	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	kumdità	anticipation	0.406
opponent	avversarju	anticipation	0.406
subscribe	tabbona	anticipation	0.406
outdo	outdo	anticipation	0.406
nurture	nrawmu	anticipation	0.406
twinkle	twinkle	anticipation	0.406
deal	jittratta	anticipation	0.402
efficient	effiċjenti	anticipation	0.398
representing	li jirrappreżenta	anticipation	0.398
simmer	simmer	anticipation	0.398
symphony	sinfonija	anticipation	0.398
judiciary	ġudikatura	anticipation	0.398
obliging	jobbligaw	anticipation	0.398
saintly	qaddis	anticipation	0.398
vigil	vigil	anticipation	0.398
death	mewt	anticipation	0.398
distracting	jfixkluh	anticipation	0.398
mortification	mortifikazzjoni	anticipation	0.398
balm	balzmu	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	top	anticipation	0.398
lettered	ittri b'ittri	anticipation	0.398
reliance	dipendenza	anticipation	0.398
poke	poke	anticipation	0.391
unfulfilled	mhux milħuq	anticipation	0.391
assurance	assigurazzjoni	anticipation	0.391
condemnation	kundanna	anticipation	0.391
undoubted	bla dubju	anticipation	0.391
diplomacy	diplomazija	anticipation	0.391
familiarity	familjarità	anticipation	0.391
antidote	antidotu	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	objettiv	anticipation	0.391
maternal	maternali	anticipation	0.391
abeyance	sospensjoni	anticipation	0.391
art	art	anticipation	0.391
linger	linger	anticipation	0.391
trust	fiduċja	anticipation	0.391
depraved	depravat	anticipation	0.391
sanctify	sanctify	anticipation	0.391
inoculation	inokulazzjoni	anticipation	0.384
chant	Chant	anticipation	0.383
banger	barger	anticipation	0.383
playground	bitħa	anticipation	0.383
failing	fin-nuqqas	anticipation	0.383
ship	vapur	anticipation	0.383
hymn	innu	anticipation	0.383
simplify	tissimplifika	anticipation	0.383
ram	ram	anticipation	0.383
labor	xogħol	anticipation	0.383
discretion	diskrezzjoni	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	tajjeb	anticipation	0.383
scientist	xjentist	anticipation	0.383
undecided	mhux deċiż	anticipation	0.383
humanitarian	umanitarju	anticipation	0.383
depend	jiddependu	anticipation	0.383
dutiful	dwejjaq	anticipation	0.383
clock	arloġġ	anticipation	0.375
sterling	sterlina	anticipation	0.375
mountain	muntanji	anticipation	0.375
savor	savor	anticipation	0.375
recurrent	rikurrenti	anticipation	0.375
interim	interim	anticipation	0.375
navigator	navigatur	anticipation	0.375
gradual	gradwali	anticipation	0.375
interminable	interminabbli	anticipation	0.375
track	track	anticipation	0.375
public	pubbliku	anticipation	0.375
cradle	benniena	anticipation	0.375
concealed	moħbija	anticipation	0.367
lesson	lezzjoni	anticipation	0.367
instructions	istruzzjonijiet	anticipation	0.367
shiver	shiver	anticipation	0.367
musical	mużikali	anticipation	0.367
towering	towering	anticipation	0.367
whim	kapriċċ	anticipation	0.367
spear	lanza	anticipation	0.367
convince	tikkonvinċi	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	jirrispettaw	anticipation	0.367
biennial	kull sentejn	anticipation	0.367
theology	teoloġija	anticipation	0.359
offset	ikkumpensat	anticipation	0.359
atone	atone	anticipation	0.359
timidity	timidità	anticipation	0.359
theory	teorija	anticipation	0.359
undying	undying	anticipation	0.359
plump	smin	anticipation	0.359
audience	udjenza	anticipation	0.357
nobility	nobbli	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	dieta	anticipation	0.352
closure	għeluq	anticipation	0.352
store	maħżen	anticipation	0.352
localize	jillokalizza	anticipation	0.352
cramp	bugħawwieġ	anticipation	0.352
daily	kuljum	anticipation	0.352
kindred	kindred	anticipation	0.352
farm	razzett	anticipation	0.352
edition	edizzjoni	anticipation	0.352
consecration	konsagrazzjoni	anticipation	0.352
archaeology	arkeoloġija	anticipation	0.344
mobile	mobbli	anticipation	0.344
errand	ħlas lura	anticipation	0.344
wireless	bla wajers	anticipation	0.344
mutable	mutabbli	anticipation	0.344
meditate	timmeditaw	anticipation	0.344
stripped	imqaxxar	anticipation	0.344
lessen	inaqqsu	anticipation	0.336
unaccountable	mhux responsabbli	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	fraterni	anticipation	0.336
buddy	buddy	anticipation	0.336
unbeaten	mhux mistenni	anticipation	0.336
germ	raħs	anticipation	0.336
dove	dove	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	żigarella	anticipation	0.328
olfactory	olfattut	anticipation	0.328
patient	pazjent	anticipation	0.328
council	Kunsill	anticipation	0.328
possess	jippossjedu	anticipation	0.328
secular	sekulari	anticipation	0.328
chastity	chastity	anticipation	0.328
disposed	jintrema	anticipation	0.320
regularity	regolarità	anticipation	0.320
mediator	medjatur	anticipation	0.320
scrutinize	skrutinizza	anticipation	0.320
fancy	fancy	anticipation	0.320
immature	immaturi	anticipation	0.320
infanticide	infanticid	anticipation	0.320
heft	heft	anticipation	0.320
preservative	preservattiv	anticipation	0.320
paddle	jaqdfu	anticipation	0.320
cove	cove	anticipation	0.320
denying	tiċħad	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	mhux ippubblikat	anticipation	0.312
analyst	analista	anticipation	0.312
grim	skura	anticipation	0.312
church	knisja	anticipation	0.312
priesthood	sacerdozju	anticipation	0.305
mill	mitħna	anticipation	0.305
judicial	ġudizzjarju	anticipation	0.305
broadside	broadside	anticipation	0.305
tributary	tributarju	anticipation	0.297
cap	għatu	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	jiddispjaċih	anticipation	0.297
instructor	għalliem	anticipation	0.297
saliva	saliva	anticipation	0.297
exhaustion	eżawriment	anticipation	0.297
bruise	tbenġil	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	bla dar	anticipation	0.289
visor	viżiera	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	netwerk	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	Indirizzi	anticipation	0.289
noncompliance	nuqqas ta 'konformità	anticipation	0.289
cataract	katarretti	anticipation	0.289
skewed	maqlugħ	anticipation	0.281
astronomer	astronomu	anticipation	0.281
neighbor	ġar	anticipation	0.281
holiness	qdusija	anticipation	0.273
devil	devil	anticipation	0.273
cream	krema	anticipation	0.273
picket	picket	anticipation	0.273
latent	latenti	anticipation	0.273
immaturity	immaturità	anticipation	0.273
sentence	sentenza	anticipation	0.273
neighborhood	viċinat	anticipation	0.266
morals	morali	anticipation	0.266
lull	lull	anticipation	0.266
habitual	abitwali	anticipation	0.266
weight	piż	anticipation	0.258
bye	bye	anticipation	0.258
forearm	driegħ	anticipation	0.250
clown	buffu	anticipation	0.250
organ	organu	anticipation	0.250
quote	kwotazzjoni	anticipation	0.242
commonplace	komuni	anticipation	0.242
dictatorship	dittatorjat	anticipation	0.234
board	abbord	anticipation	0.234
white	abjad	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	ferrovija	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	siġra	anticipation	0.227
paralysis	paraliżi	anticipation	0.211
worm	dud	anticipation	0.203
organization	organizzazzjoni	anticipation	0.203
cement	siment	anticipation	0.203
lagging	li għadhom lura	anticipation	0.180
neutral	newtrali	anticipation	0.148
cannibalism	kannibaliżmu	disgust	0.953
mutilation	mutilazzjoni	disgust	0.930
molestation	molestation	disgust	0.914
incest	inċest	disgust	0.914
gonorrhea	gonorrea	disgust	0.906
rape	stupru	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	taħsir	disgust	0.891
corpse	katavru	disgust	0.883
massacre	massakru	disgust	0.883
excrement	ħmieġ	disgust	0.883
slaughter	qatla	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	biċċerija	disgust	0.867
rancid	mogħdija	disgust	0.859
sewerage	drenaġġ	disgust	0.859
incestuous	inċestuous	disgust	0.859
filth	ħmieġ	disgust	0.859
bigot	bigot	disgust	0.859
infestation	infestazzjoni	disgust	0.852
plague	pesta	disgust	0.852
bloodthirsty	bloodthirsty	disgust	0.852
holocaust	olokawstu	disgust	0.852
rotting	taħsir	disgust	0.844
maggot	maggot	disgust	0.844
feces	ħmieġ	disgust	0.844
fecal	fekali	disgust	0.844
murder	qtil	disgust	0.839
infanticide	infanticid	disgust	0.836
homicide	omiċidju	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	skjavi	disgust	0.836
gore	gore	disgust	0.828
perverted	perverted	disgust	0.828
torture	tortura	disgust	0.828
slaughtering	qatla	disgust	0.828
excretion	eskrezzjoni	disgust	0.828
contaminate	tikkontamina	disgust	0.821
murderer	qattiel	disgust	0.820
gory	gory	disgust	0.820
repugnant	repugnant	disgust	0.820
desecration	drawwiet ta 'drawwiet	disgust	0.820
grotesque	grotesk	disgust	0.820
revolting	rewwixti	disgust	0.820
diarrhoea	dijarea	disgust	0.820
manure	demel	disgust	0.820
terrorist	terroristiku	disgust	0.820
shit	shit	disgust	0.820
pervert	pervert	disgust	0.820
slavery	skjavitù	disgust	0.812
faeces	ħmieġ	disgust	0.812
sewer	dranaġġ	disgust	0.812
vomit	tirremetti	disgust	0.812
manslaughter	omiċidju	disgust	0.812
dismemberment	diżmembrament	disgust	0.812
cadaver	kadavri	disgust	0.812
hemorrhage	emorraġija	disgust	0.805
repulsive	repulsiv	disgust	0.805
perverse	pervers	disgust	0.805
filthy	imxarrab	disgust	0.797
sewage	drenaġġ	disgust	0.797
depravity	depravity	disgust	0.797
diseased	morda	disgust	0.797
carcass	karkassa	disgust	0.795
decompose	jiddikomponu	disgust	0.789
vermin	vermin	disgust	0.789
puke	puke	disgust	0.789
parasite	parassita	disgust	0.789
horrific	orribbli	disgust	0.789
gruesome	koroh	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilat	disgust	0.789
murderous	qattiela	disgust	0.789
decayed	imħassra	disgust	0.789
herpes	herpes	disgust	0.789
slime	ħama	disgust	0.781
flatulence	gass	disgust	0.781
monstrosity	monstrużità	disgust	0.781
carnage	carnage	disgust	0.781
pestilence	pestilenza	disgust	0.781
malaria	malarja	disgust	0.781
crap	ħażin	disgust	0.781
toxic	tossiku	disgust	0.773
loathsome	loathsome	disgust	0.773
insidious	insidjuż	disgust	0.773
leprosy	leprosy	disgust	0.773
morgue	morgue	disgust	0.773
pus	timbotta	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	whore	disgust	0.766
cruel	krudili	disgust	0.766
repugnance	dispjaċir	disgust	0.766
revulsion	revulsjoni	disgust	0.766
xenophobia	il-ksenofobija	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	dissezzjoni	disgust	0.759
canker	kankru	disgust	0.758
cruelty	krudeltà	disgust	0.758
perversion	perverżjoni	disgust	0.758
evil	ħażen	disgust	0.758
slum	slum	disgust	0.758
infectious	infettuż	disgust	0.758
mucous	mukuża	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	dekompożizzjoni	disgust	0.750
sinister	sinister	disgust	0.750
corrupting	korruzzjoni	disgust	0.750
demon	demon	disgust	0.742
stinking	stinking	disgust	0.742
septic	settiku	disgust	0.742
deranged	deranged	disgust	0.742
bile	bile	disgust	0.742
soiled	maħmuġin	disgust	0.742
mucus	mukus	disgust	0.742
abhorrence	abhorrence	disgust	0.742
abomination	abomination	disgust	0.742
sickening	sickening	disgust	0.742
demonic	demonic	disgust	0.742
foul	foul	disgust	0.734
obese	obeżi	disgust	0.734
sicken	sicken	disgust	0.734
degeneracy	deġenerazzjoni	disgust	0.734
crucifixion	crucifixion	disgust	0.734
despicable	pjaċevoli	disgust	0.734
cancer	kanċer	disgust	0.734
atrocity	atroċita	disgust	0.734
terrorism	terroriżmu	disgust	0.734
dirty	maħmuġin	disgust	0.727
dysentery	disenteria	disgust	0.727
adultery	adulterju	disgust	0.727
contamination	kontaminazzjoni	disgust	0.727
bacterium	batterju	disgust	0.727
diabolical	diaboliku	disgust	0.727
morbidity	morbidità	disgust	0.727
grisly	tassew	disgust	0.727
repulsion	repulsjoni	disgust	0.727
enema	enema	disgust	0.727
contagion	kontaġju	disgust	0.719
disfigured	disfigured	disgust	0.719
muck	Muck	disgust	0.719
lewd	lewd	disgust	0.719
garbage	żibel	disgust	0.719
autopsy	awtopsja	disgust	0.719
bowels	imsaren	disgust	0.719
gross	gross	disgust	0.719
vulgar	vulgari	disgust	0.719
barbaric	barbaric	disgust	0.719
disgust	disgust	disgust	0.719
vicious	vizzjuż	disgust	0.719
entrails	daħliet	disgust	0.719
deterioration	deterjorament	disgust	0.719
pungent	pungent	disgust	0.719
bloodshed	tbattal tad-demm	disgust	0.714
violent	vjolenti	disgust	0.711
tyrant	Tirana	disgust	0.711
poisoned	enwinizzat	disgust	0.711
pollute	jniġġes	disgust	0.711
wretched	ħżiena	disgust	0.711
nausea	dardir	disgust	0.711
mortification	mortifikazzjoni	disgust	0.711
gag	gag	disgust	0.711
vulgarity	vulgarità	disgust	0.703
disgusting	disgusting	disgust	0.703
grope	grope	disgust	0.703
slut	slut	disgust	0.703
poisoning	avvelenament	disgust	0.703
depraved	depravat	disgust	0.703
noxious	ħżiena	disgust	0.703
porn	porn	disgust	0.703
