word	Kurdish-ku	emotion	emotion-intensity-score
clock	seet	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	çîya	anticipation	0.375
savor	savor	anticipation	0.375
recurrent	berbiçav	anticipation	0.375
interim	interim	anticipation	0.375
navigator	navîgator	anticipation	0.375
gradual	hêdî	anticipation	0.375
interminable	berbiçav	anticipation	0.375
track	şop	anticipation	0.375
public	alenî	anticipation	0.375
cradle	dergûş	anticipation	0.375
concealed	veşartin	anticipation	0.367
lesson	ders	anticipation	0.367
instructions	fermanên	anticipation	0.367
shiver	cirifîn	anticipation	0.367
musical	mûsîqî	anticipation	0.367
towering	berbiçav	anticipation	0.367
whim	zû	anticipation	0.367
spear	tîr	anticipation	0.367
convince	qanihkirin	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	debirandin	anticipation	0.367
biennial	bi bîranîn	anticipation	0.367
theology	theology	anticipation	0.359
offset	serketinê	anticipation	0.359
atone	hêrs	anticipation	0.359
timidity	timîm	anticipation	0.359
theory	dîtinî	anticipation	0.359
undying	daketin	anticipation	0.359
plump	dorpêç	anticipation	0.359
audience	binêrevan	anticipation	0.357
nobility	dilsoz	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	xwarinê	anticipation	0.352
closure	girtinî	anticipation	0.352
store	dikan	anticipation	0.352
localize	herêmî bikin	anticipation	0.352
cramp	tîrêş	anticipation	0.352
daily	rojane	anticipation	0.352
kindred	xemgîn	anticipation	0.352
farm	malgûndî	anticipation	0.352
edition	edition	anticipation	0.352
consecration	rûniştin	anticipation	0.352
archaeology	arkelojî	anticipation	0.344
mobile	hejî	anticipation	0.344
errand	çewt	anticipation	0.344
wireless	wireless	anticipation	0.344
mutable	berbiçav	anticipation	0.344
meditate	ponijîn	anticipation	0.344
stripped	veşartî	anticipation	0.344
lessen	kêmkirin	anticipation	0.336
unaccountable	neheq	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	birayê	anticipation	0.336
buddy	heval	anticipation	0.336
unbeaten	nebaş	anticipation	0.336
germ	bizir	anticipation	0.336
dove	kew	anticipation	0.328
digress	xemgîniyê	anticipation	0.328
ribbon	bant	anticipation	0.328
olfactory	ol	anticipation	0.328
patient	nexweş	anticipation	0.328
council	pêşnîyar	anticipation	0.328
possess	xwedîbûn	anticipation	0.328
secular	secular	anticipation	0.328
chastity	kerema xwe	anticipation	0.328
disposed	veguherandin	anticipation	0.320
regularity	rêzbirêzî	anticipation	0.320
mediator	navdêr	anticipation	0.320
scrutinize	vekolîn	anticipation	0.320
fancy	fancy	anticipation	0.320
immature	xav	anticipation	0.320
infanticide	zarok	anticipation	0.320
heft	heft	anticipation	0.320
preservative	dermanê parastinê	anticipation	0.320
paddle	bêrîk	anticipation	0.320
cove	cove	anticipation	0.320
denying	red dikin	anticipation	0.312
bugle	balkêş	anticipation	0.312
unpublished	unpublished	anticipation	0.312
analyst	analîz	anticipation	0.312
grim	hêrsane	anticipation	0.312
church	dêr	anticipation	0.312
priesthood	kahînan	anticipation	0.305
mill	aş	anticipation	0.305
judicial	dadwerî	anticipation	0.305
broadside	broadside	anticipation	0.305
tributary	tawanbar	anticipation	0.297
cap	devik	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	xemgîn bike	anticipation	0.297
instructor	dersda	anticipation	0.297
saliva	xwezî	anticipation	0.297
exhaustion	xûlq	anticipation	0.297
bruise	birîna şîn	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	bêmal	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	torê	anticipation	0.289
shackle	şaş	anticipation	0.289
addresses	navnîşan	anticipation	0.289
noncompliance	nerazîbûn	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	şewitandin	anticipation	0.281
astronomer	astronomer	anticipation	0.281
neighbor	cînar	anticipation	0.281
holiness	rûhanî	anticipation	0.273
devil	şeytan	anticipation	0.273
cream	qeymax	anticipation	0.273
picket	paqij	anticipation	0.273
latent	latînî	anticipation	0.273
immaturity	xavîtî	anticipation	0.273
sentence	biryar	anticipation	0.273
neighborhood	cînarî	anticipation	0.266
morals	exlaqî	anticipation	0.266
lull	hêrs	anticipation	0.266
habitual	hûrgelî	anticipation	0.266
weight	pîvan	anticipation	0.258
bye	xatirê te	anticipation	0.258
forearm	binçeng	anticipation	0.250
clown	palyaço	anticipation	0.250
organ	perçe	anticipation	0.250
quote	pêşnîyarîya bedelê	anticipation	0.242
commonplace	gelemperî	anticipation	0.242
dictatorship	dîktatorî	anticipation	0.234
board	pêşewarî	anticipation	0.234
white	spî	anticipation	0.234
treadmill	çîrok	anticipation	0.234
rail	hesinê tirêne	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	dar	anticipation	0.227
paralysis	felcî	anticipation	0.211
worm	kûrm	anticipation	0.203
organization	sazûman	anticipation	0.203
cement	çîmento	anticipation	0.203
lagging	xerîb	anticipation	0.180
neutral	bêdeng	anticipation	0.148
cannibalism	mirovxwarî	disgust	0.953
mutilation	nerazîbûnê	disgust	0.930
molestation	şikandin	disgust	0.914
incest	zewaca nav malbatê	disgust	0.914
gonorrhea	gonorrahiyê	disgust	0.906
rape	bazserdanî	disgust	0.906
cannibal	mirovxwar	disgust	0.898
rot	pûçbûn	disgust	0.891
corpse	laş	disgust	0.883
massacre	qirkirin	disgust	0.883
excrement	xemgîniyê	disgust	0.883
slaughter	serjêkirin	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	kuştinê	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	sewerage	disgust	0.859
incestuous	neheq	disgust	0.859
filth	gemar	disgust	0.859
bigot	hişyar	disgust	0.859
infestation	infestation	disgust	0.852
plague	bela	disgust	0.852
bloodthirsty	xwînê	disgust	0.852
holocaust	holocaust	disgust	0.852
rotting	rotting	disgust	0.844
maggot	kûrm	disgust	0.844
feces	feces	disgust	0.844
fecal	fecal	disgust	0.844
murder	kûştin	disgust	0.839
infanticide	zarok	disgust	0.836
homicide	kûştinî	disgust	0.836
asshole	bendek	disgust	0.836
enslaved	dagirker	disgust	0.836
gore	gore	disgust	0.828
perverted	veguhestin	disgust	0.828
torture	îşkence	disgust	0.828
slaughtering	kuştinê	disgust	0.828
excretion	xemgîniyê	disgust	0.828
contaminate	gemarkirin	disgust	0.821
murderer	kuştin	disgust	0.820
gory	gory	disgust	0.820
repugnant	berbiçav	disgust	0.820
desecration	neheq	disgust	0.820
grotesque	balkêş	disgust	0.820
revolting	revolting	disgust	0.820
diarrhoea	navçûyin	disgust	0.820
manure	zibil	disgust	0.820
terrorist	terorîst	disgust	0.820
shit	şit	disgust	0.820
pervert	veguhestin	disgust	0.820
slavery	xulamî	disgust	0.812
faeces	til	disgust	0.812
sewer	erqa avqirrêj	disgust	0.812
vomit	verişîn	disgust	0.812
manslaughter	derba kûştinê	disgust	0.812
dismemberment	hilweşandin	disgust	0.812
cadaver	cadaver	disgust	0.812
hemorrhage	hemorrhage	disgust	0.805
repulsive	şûndeavêt	disgust	0.805
perverse	xerîb	disgust	0.805
filthy	gemarî	disgust	0.797
sewage	avqirrêj	disgust	0.797
depravity	berbiçav	disgust	0.797
diseased	nexweş	disgust	0.797
carcass	laş	disgust	0.795
decompose	şaş	disgust	0.789
vermin	vermin	disgust	0.789
puke	puke	disgust	0.789
parasite	parsek	disgust	0.789
horrific	tirsnak	disgust	0.789
gruesome	bêde	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	çêdike	disgust	0.789
murderous	kuştin	disgust	0.789
decayed	birin	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	xemgîniyê	disgust	0.781
monstrosity	hişk	disgust	0.781
carnage	kûjarî	disgust	0.781
pestilence	cenazeyê	disgust	0.781
malaria	malaria	disgust	0.781
crap	crap	disgust	0.781
toxic	toxic	disgust	0.773
loathsome	bêhêz	disgust	0.773
insidious	bêhêz	disgust	0.773
leprosy	leopsy	disgust	0.773
morgue	morgue	disgust	0.773
pus	kûl	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	qehpik	disgust	0.766
cruel	hovane	disgust	0.766
repugnance	berbiçav	disgust	0.766
revulsion	revulsion	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	derxistin	disgust	0.759
canker	canker	disgust	0.758
cruelty	zordariyê	disgust	0.758
perversion	zirav	disgust	0.758
evil	nebaş	disgust	0.758
slum	mehella belelngazan	disgust	0.758
infectious	derbasbar	disgust	0.758
mucous	mûçik	disgust	0.758
phlegm	fembm	disgust	0.758
leeches	lex	disgust	0.750
decomposition	şewitandin	disgust	0.750
sinister	neheq	disgust	0.750
corrupting	berbiçav	disgust	0.750
demon	xerfît	disgust	0.742
stinking	şikandin	disgust	0.742
septic	septîk	disgust	0.742
deranged	dereng kirin	disgust	0.742
bile	qulikê	disgust	0.742
soiled	şaş	disgust	0.742
mucus	xwezî	disgust	0.742
abhorrence	bêhtir	disgust	0.742
abomination	hilweşandin	disgust	0.742
sickening	nexweşî	disgust	0.742
demonic	cinan	disgust	0.742
foul	xemgîn	disgust	0.734
obese	obese	disgust	0.734
sicken	nexweşî	disgust	0.734
degeneracy	derman	disgust	0.734
crucifixion	xaçkirinê	disgust	0.734
despicable	neheq	disgust	0.734
cancer	qansêr	disgust	0.734
atrocity	zordariyê	disgust	0.734
terrorism	terorîzm	disgust	0.734
dirty	qirêjî	disgust	0.727
dysentery	diranan	disgust	0.727
adultery	marşikandinî	disgust	0.727
contamination	gemarkirî	disgust	0.727
bacterium	bacterium	disgust	0.727
diabolical	dîplomalî	disgust	0.727
morbidity	nerm	disgust	0.727
grisly	kişandin	disgust	0.727
repulsion	şewitandin	disgust	0.727
enema	enema	disgust	0.727
contagion	nakokî	disgust	0.719
disfigured	veguherandin	disgust	0.719
muck	gemmar	disgust	0.719
lewd	lewd	disgust	0.719
garbage	zibil	disgust	0.719
autopsy	laşnerrînî	disgust	0.719
bowels	tewra	disgust	0.719
gross	tevlihev	disgust	0.719
vulgar	qebe	disgust	0.719
barbaric	bejîtî	disgust	0.719
disgust	girêzî	disgust	0.719
vicious	xerab	disgust	0.719
entrails	derê	disgust	0.719
deterioration	xirabtirîn	disgust	0.719
pungent	pungent	disgust	0.719
bloodshed	xwînrêjî	disgust	0.714
violent	cebrî	disgust	0.711
tyrant	zordariyê	disgust	0.711
poisoned	jehrê	disgust	0.711
pollute	qirêjkirin	disgust	0.711
wretched	hêrs	disgust	0.711
nausea	gewrîdanî	disgust	0.711
mortification	mirinê	disgust	0.711
gag	gag	disgust	0.711
vulgarity	zilamê	disgust	0.703
disgusting	girêze	disgust	0.703
grope	grope	disgust	0.703
slut	slut	disgust	0.703
poisoning	axûbûnî	disgust	0.703
depraved	berbiçav	disgust	0.703
noxious	xemgîn	disgust	0.703
porn	porn	disgust	0.703
nasty	bed	disgust	0.703
slimy	şewitandin	disgust	0.703
despotism	nîjadperest	disgust	0.703
nauseate	nebaş	disgust	0.703
secretion	tengahiyê	disgust	0.703
constipation	xetimandinî	disgust	0.703
hateful	nifretane	disgust	0.703
grime	qirêj	disgust	0.703
measles	pîvana	disgust	0.696
contagious	dersbasdibe	disgust	0.695
hellish	şaş	disgust	0.695
waste	xûrdekirinî	disgust	0.695
suicidal	xwekujî	disgust	0.695
abuse	nebaşkaranî	disgust	0.695
hate	nifret	disgust	0.695
wretch	xemgîn	disgust	0.695
intestinal	navîn	disgust	0.695
wart	bêlûk	disgust	0.695
obesity	obesity	disgust	0.695
scum	xemgîniyê	disgust	0.695
contaminated	xwarinê	disgust	0.688
disease	nexweşî	disgust	0.688
rabid	rabid	disgust	0.688
ooze	ooze	disgust	0.688
treason	îxanet	disgust	0.688
heartworm	dilberm	disgust	0.688
smut	smut	disgust	0.688
cholera	qolêra	disgust	0.680
deformed	xiloxarî	disgust	0.680
detest	binçavkirin	disgust	0.680
bestial	çêtirîn	disgust	0.680
sickness	nexweşî	disgust	0.680
antichrist	antichrist	disgust	0.680
abhorrent	abhorrent	disgust	0.680
soulless	sond	disgust	0.680
freakish	xerîb	disgust	0.680
grimy	xemgîn	disgust	0.680
hatred	nefret	disgust	0.680
pollution	gemarî	disgust	0.680
germ	bizir	disgust	0.680
abominate	tirsa	disgust	0.680
hell	cehnem	disgust	0.680
dilapidated	xurt kirin	disgust	0.672
dictatorship	dîktatorî	disgust	0.672
inhuman	nemirovî	disgust	0.672
greasy	bezî	disgust	0.672
hideous	hêrs	disgust	0.672
loathful	neheq	disgust	0.672
obscene	nebaş	disgust	0.672
loathing	hiştin	disgust	0.672
cess	ces	disgust	0.670
devil	şeytan	disgust	0.664
heretic	xweş	disgust	0.664
nauseous	xemgîn	disgust	0.664
abominable	berbiçav	disgust	0.664
deformity	berbiçav	disgust	0.664
deadly	mirarî	disgust	0.664
swine	berazan	disgust	0.664
discrimination	biçûkdîtinî	disgust	0.664
masochism	masochîzmê	disgust	0.664
poisonous	jarî	disgust	0.656
prejudiced	pêşîn	disgust	0.656
bacteria	bakterî	disgust	0.656
death	mirin	disgust	0.656
poison	axû	disgust	0.656
trash	zibil	disgust	0.656
abortion	ji berxwegirtin	disgust	0.656
corruption	bertîlgirî	disgust	0.656
victimized	mexdûr kirin	disgust	0.656
oppression	bindestî	disgust	0.656
goo	goo	disgust	0.656
latrines	latînî	disgust	0.656
horror	xof	disgust	0.656
horrible	xofane	disgust	0.656
nefarious	nefarious	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	serhevdekir	disgust	0.648
outhouse	outhouse	disgust	0.648
horrid	hêrs	disgust	0.648
detestation	binçavkirin	disgust	0.648
sludge	darizandin	disgust	0.648
ugly	nerind	disgust	0.648
trashy	bêhtir	disgust	0.648
bitch	dêlik	disgust	0.648
immoral	bêehlaqane	disgust	0.648
malfeasance	şaş	disgust	0.641
spew	spew	disgust	0.641
pimple	pizik	disgust	0.641
indecency	neheq	disgust	0.641
unsightly	nefret	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	xemgîn	disgust	0.641
cystic	cystic	disgust	0.641
horrifying	tirsnak	disgust	0.641
derogatory	derogatory	disgust	0.641
laxative	laxative	disgust	0.641
criminality	sûcdariyê	disgust	0.641
oppressive	zordar	disgust	0.633
sinful	gûnehkarî	disgust	0.633
bigoted	bigire	disgust	0.633
doomsday	rojan	disgust	0.633
prostitution	fêrbûnê	disgust	0.633
ulcer	werm	disgust	0.633
secrete	vekin	disgust	0.633
perpetrator	sûcdar	disgust	0.633
rat	cirdon	disgust	0.633
queasy	xemgîn	disgust	0.633
mildew	mildew	disgust	0.633
dastardly	xemgîn	disgust	0.625
disgraceful	riswa	disgust	0.625
ghastly	xemgîn	disgust	0.625
persecution	şopketinî	disgust	0.625
devilish	şehîd	disgust	0.625
degrading	riswakir	disgust	0.625
obscenity	xerabî	disgust	0.625
fungus	kivkarik	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	şewitandin	disgust	0.625
stools	stools	disgust	0.625
suffering	tengahiyê	disgust	0.625
contemptible	riswane	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	nepixî	disgust	0.625
aghast	xerîb	disgust	0.625
betrayal	xîyanet	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	derbaskirin	disgust	0.617
spoil	delalîkirin	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	rûn	disgust	0.617
louse	spî	disgust	0.617
malicious	xerab	disgust	0.617
polygamy	polygamy	disgust	0.617
crusty	qirêj	disgust	0.617
atrocious	dijwar	disgust	0.617
deceit	şaşkirinî	disgust	0.617
termite	gêrîk	disgust	0.617
loathe	bimînin	disgust	0.617
wench	wench	disgust	0.617
dying	dimirin	disgust	0.617
sickly	nexweşî	disgust	0.617
diaper	potikê zarokan	disgust	0.617
strangle	xeniqandin	disgust	0.617
drool	drool	disgust	0.609
slander	derewî	disgust	0.609
abhor	abhor	disgust	0.609
venomous	zehmet	disgust	0.609
brothel	zilamê	disgust	0.609
ghetto	sîteyê	disgust	0.609
violently	binpêkirin	disgust	0.609
hostile	neyar	disgust	0.609
sabotage	hilweşîn	disgust	0.609
deform	berbiçav	disgust	0.609
bleeding	bixwîn	disgust	0.609
unwashed	nixwe	disgust	0.602
lunacy	xemgîniyê	disgust	0.602
imprisonment	ceza sicnê	disgust	0.602
infidel	nebawer	disgust	0.602
deprivation	betalbûnê	disgust	0.602
traitor	xayin	disgust	0.602
ugliness	êşkence	disgust	0.602
musty	xerîb	disgust	0.602
illicit	neheq	disgust	0.602
swampy	şermî	disgust	0.602
poaching	helbestek	disgust	0.602
hag	hag	disgust	0.602
butcher	serjêker	disgust	0.594
lunatic	lunatic	disgust	0.594
venom	venom	disgust	0.594
repelling	bîr kirin	disgust	0.594
thug	thug	disgust	0.594
misery	belengazî	disgust	0.594
toilet	destav	disgust	0.594
slug	şeytanok	disgust	0.594
catastrophe	hetik	disgust	0.594
epidemic	nexweşîya zûbelav	disgust	0.594
gut	rêvî	disgust	0.594
intoxicated	serxweş	disgust	0.594
blister	nepixoka	disgust	0.594
deceitful	qelpezane	disgust	0.594
hostility	neyarî	disgust	0.594
queasiness	qirêjiyê	disgust	0.594
lurid	lêdanê	disgust	0.594
sinner	gûnehkar	disgust	0.594
incubus	kişandin	disgust	0.586
lavatory	lavatory	disgust	0.586
harass	nerehetkirin	disgust	0.586
unclean	nepak	disgust	0.586
prostitute	qehpik	disgust	0.586
pornography	suretên tazî	disgust	0.586
dreadful	xemgîniyê	disgust	0.586
deteriorated	xirab kirin	disgust	0.586
appalling	xofane	disgust	0.586
unfaithful	nedilsoz	disgust	0.578
rash	birîn	disgust	0.578
humiliating	dilsoz	disgust	0.578
ruinous	xirab	disgust	0.578
squeamish	şaş	disgust	0.578
offensive	êriş	disgust	0.578
conspirator	dagirker	disgust	0.578
larceny	dizî	disgust	0.578
debauchery	deynî	disgust	0.578
mangle	xemgîn	disgust	0.578
flea	kêç	disgust	0.578
hypocrite	derewîn	disgust	0.578
retard	vekin	disgust	0.578
fiend	berbiçav	disgust	0.578
sick	nexweş	disgust	0.578
quagmire	quagmire	disgust	0.578
expulsion	derxistin	disgust	0.578
treacherous	xerîb	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	tûkirin	disgust	0.570
devastating	hilweşandin	disgust	0.570
bastard	bastard	disgust	0.570
messy	tevlihev	disgust	0.570
flog	şewitandin	disgust	0.570
egregious	berbiçav	disgust	0.570
swamp	avî	disgust	0.570
oppress	bindestkirin	disgust	0.570
despise	çepelkirin	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	mar	disgust	0.570
snake	mar	disgust	0.562
terrible	tirsgiran	disgust	0.562
awful	xofane	disgust	0.562
harmful	zirarane	disgust	0.562
insanity	rûhnexweşî	disgust	0.562
indecent	bêşerm	disgust	0.562
sordid	sordid	disgust	0.562
loo	loo	disgust	0.562
scoundrel	xemgîn	disgust	0.562
enemy	dijmin	disgust	0.562
stealing	dizîn	disgust	0.562
alcoholism	alkolgirî	disgust	0.562
humiliation	dilsoz	disgust	0.562
ruthless	bêbal	disgust	0.562
sloppy	bêbal	disgust	0.562
tyrannical	zordar	disgust	0.562
harlot	hêrs	disgust	0.562
sinning	gunehkar	disgust	0.562
robbery	şêl	disgust	0.555
insufferable	neheq	disgust	0.555
arsenic	arsenîk	disgust	0.555
bloody	xûnî	disgust	0.555
odious	xemgîn	disgust	0.555
ridicule	şikilî	disgust	0.555
atrophy	kişandin	disgust	0.555
beastly	bêhêz	disgust	0.555
collusion	berbiçav	disgust	0.555
distaste	tengahiyê	disgust	0.555
segregate	jihevkirin	disgust	0.555
discriminating	cudatiyê	disgust	0.555
coward	tirsonek	disgust	0.555
wickedness	neheqiyê	disgust	0.555
threatening	tehdît kirin	disgust	0.555
unattractive	neheq	disgust	0.555
slayer	slayer	disgust	0.555
flabby	berbiçav	disgust	0.555
varicella	varicella	disgust	0.555
miserable	belengazî	disgust	0.547
sty	stî	disgust	0.547
ogre	ogre	disgust	0.547
coercion	zorê	disgust	0.547
thief	diz	disgust	0.547
slur	slûk	disgust	0.547
suffocating	hilweşînin	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	serhildanê	disgust	0.547
malevolent	neheq	disgust	0.547
bitterly	hêrs	disgust	0.547
burglar	diz	disgust	0.547
attacking	êrîş kirin	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	cezadanî	disgust	0.547
pillage	çepê	disgust	0.547
deleterious	şaş	disgust	0.547
thrash	şewitandin	disgust	0.539
repellant	berbiçav	disgust	0.539
repudiation	repudiation	disgust	0.539
infidelity	nebawer	disgust	0.539
liar	derewîn	disgust	0.539
fatty	rûnzêde	disgust	0.539
gob	gob	disgust	0.539
sneer	şaş	disgust	0.539
drunken	şêrîn	disgust	0.539
disgrace	eyb	disgust	0.539
shame	şerm	disgust	0.539
jealous	beecok	disgust	0.539
imprisoned	girtîgehê	disgust	0.539
pig	beraz	disgust	0.539
greedy	çavteng	disgust	0.539
sloth	dirûşm	disgust	0.539
lethal	kujyar	disgust	0.536
burnt	şewitandin	disgust	0.531
aberration	berbiçav	disgust	0.531
condescension	kişandin	disgust	0.531
hydrocephalus	hîdrocephalus	disgust	0.531
hanging	darizandin	disgust	0.531
destructive	hilweşîn	disgust	0.531
smuggler	qaçaxçeyê	disgust	0.531
intolerant	dilteng	disgust	0.531
travesty	qezenc	disgust	0.531
intrusive	xweser	disgust	0.531
ruined	hilweşandin	disgust	0.531
withered	qirêj	disgust	0.531
disintegrate	hilweşînin	disgust	0.531
brawl	brawl	disgust	0.531
blemish	kêmasî	disgust	0.531
neurotic	neurotic	disgust	0.531
blasphemous	neheq	disgust	0.531
lying	derew	disgust	0.531
painful	êşda	disgust	0.531
avarice	avarice	disgust	0.523
disgraced	şermezar kirin	disgust	0.523
mistress	malê	disgust	0.523
disparaging	berbiçav	disgust	0.523
rubbish	zibil	disgust	0.523
derogation	derogation	disgust	0.523
accusation	gilî	disgust	0.523
intolerance	neheqiyê	disgust	0.523
incarceration	girtin	disgust	0.523
blighted	tirsandin	disgust	0.523
sump	sump	disgust	0.516
deplorable	xemgîn	disgust	0.516
daemon	daemon	disgust	0.516
cringe	dirûşm	disgust	0.516
degrade	hilweşînin	disgust	0.516
gutter	gutter	disgust	0.516
rob	şêlandin	disgust	0.516
grim	hêrsane	disgust	0.516
defraud	xapandin	disgust	0.516
tortious	êşkence	disgust	0.516
eradication	hilweşandin	disgust	0.516
stink	bînbed	disgust	0.516
convict	girtîya sucdar	disgust	0.516
dishonor	neheq	disgust	0.516
vulture	teyrelaş	disgust	0.516
remains	jibermayî	disgust	0.516
mite	mite	disgust	0.516
betray	xîyanetkirin	disgust	0.516
sham	şam	disgust	0.509
endemic	bîranîn	disgust	0.508
bombed	bombebaran kirin	disgust	0.508
distress	tûnebûnî	disgust	0.508
pest	bela	disgust	0.508
incurable	saxnabe	disgust	0.508
worthless	bêqîmet	disgust	0.508
rejection	refz	disgust	0.508
distasteful	tengahî	disgust	0.508
schizophrenia	schizophrenia	disgust	0.508
belittle	daxistin	disgust	0.508
smelling	bîhnxweş	disgust	0.508
cheat	xapandin	disgust	0.508
blob	blob	disgust	0.508
prisoner	girtî	disgust	0.508
idiocy	êzîdî	disgust	0.508
delirium	delirium	disgust	0.508
disaster	filaket	disgust	0.508
crude	crude	disgust	0.508
resentment	sergêjanî	disgust	0.508
dreadfully	xemgîn	disgust	0.508
glut	şewitandin	disgust	0.508
polemic	polemik	disgust	0.500
derision	derê	disgust	0.500
idolatry	pûtperest	disgust	0.500
taboo	taboo	disgust	0.500
screaming	qîrîn	disgust	0.500
banish	jicihkirin	disgust	0.500
dirt	gemmar	disgust	0.500
goblin	goblin	disgust	0.500
shackle	şaş	disgust	0.500
bribery	bertîlî	disgust	0.500
flagrant	berbiçav	disgust	0.500
jealousy	nekêşî	disgust	0.500
impurity	neheqiyê	disgust	0.500
theft	dizîn	disgust	0.500
bitterness	talî	disgust	0.500
offense	pelixandin	disgust	0.500
impeach	bisekinin	disgust	0.500
blight	şaş	disgust	0.500
duress	xemgîniyê	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	çavtengî	disgust	0.500
tirade	tirade	disgust	0.500
squirm	çêdike	disgust	0.492
robber	diz	disgust	0.492
ill	nexweş	disgust	0.492
unconscionable	neheq	disgust	0.492
recession	karxerabî	disgust	0.492
gorge	newal	disgust	0.492
wreck	wreck	disgust	0.492
malign	xerîb	disgust	0.492
boil	kelandin	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	dînê	disgust	0.492
disreputable	neheq	disgust	0.492
wasteful	xûrdewar	disgust	0.484
affliction	dilêş	disgust	0.484
stain	leke	disgust	0.484
contempt	riswa	disgust	0.484
nappy	nerm	disgust	0.484
mutiny	bêdeng	disgust	0.484
occult	xeyal	disgust	0.484
tramp	tolaz	disgust	0.484
unbearable	nayekêş	disgust	0.484
offender	sûcdar	disgust	0.484
servile	servile	disgust	0.484
contraband	malê reş	disgust	0.484
raging	çerm	disgust	0.484
snarl	snarl	disgust	0.484
mad	bêbawer	disgust	0.484
subjugation	şewitandin	disgust	0.484
possessed	heye	disgust	0.484
animosity	dijminatî	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	derxistin	disgust	0.484
disrespectful	bêhûrmet	disgust	0.484
mess	xemgîn	disgust	0.484
nepotism	nepotîzmê	disgust	0.484
inexcusable	neheq	disgust	0.484
pathetic	xemgîn	disgust	0.477
unpleasant	naxoş	disgust	0.477
suppression	zordariyê	disgust	0.477
mockery	muxaletê	disgust	0.477
palsy	palsy	disgust	0.477
criminal	emelxirab	disgust	0.477
illegality	neheqiyê	disgust	0.477
uncaring	bêkar kirin	disgust	0.477
antagonistic	dijberî	disgust	0.477
immorality	neheqî	disgust	0.477
dismal	şaş	disgust	0.477
angry	hêrsbû	disgust	0.469
repellent	paşveavêt	disgust	0.469
cough	kûxîn	disgust	0.469
arrogant	pozbilind	disgust	0.469
grating	çêdike	disgust	0.469
aggravation	xirabbûyî	disgust	0.469
livid	şewitandin	disgust	0.469
banishment	destûr	disgust	0.469
shoddy	qirêj	disgust	0.469
banshee	banshee	disgust	0.469
poverty	bêmalî	disgust	0.469
wallow	dîwar	disgust	0.469
outrage	acizî	disgust	0.469
mocking	xerîb	disgust	0.469
furious	hêrshat	disgust	0.469
perspiration	xwêdan	disgust	0.469
prick	bikişînin	disgust	0.461
recklessness	bêbaweriyê	disgust	0.461
distorted	şaş kirin	disgust	0.461
fraudulent	bêdeng	disgust	0.461
spider	pîrê	disgust	0.461
quack	quack	disgust	0.461
perdition	hilweşandin	disgust	0.461
muddy	dilovan	disgust	0.461
spurious	bêhtir	disgust	0.461
insulting	kêmkir	disgust	0.461
scar	birîn	disgust	0.461
deceive	xapandin	disgust	0.461
unjustifiable	bêberpisîyar	disgust	0.461
fool	dînê	disgust	0.461
deplore	derxistin	disgust	0.461
plunder	hilweşînin	disgust	0.461
aphid	aphid	disgust	0.453
bane	bane	disgust	0.453
indignation	xerîb	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	xwehez	disgust	0.453
disparage	nakokî	disgust	0.453
cur	cur	disgust	0.453
dishonest	nerast	disgust	0.453
stigma	stigma	disgust	0.453
eschew	xistin	disgust	0.453
antipathy	antipathy	disgust	0.453
alienate	xerîbkirin	disgust	0.453
disingenuous	nebaş	disgust	0.453
elimination	hilweşandin	disgust	0.453
unthinkable	hişnayê	disgust	0.453
wasted	hilweşandin	disgust	0.445
recalcitrant	veguhestin	disgust	0.445
iniquity	sûcdar	disgust	0.445
