word	Greek-el	emotion	emotion-intensity-score
hoax	απάτη	anger	0.297
misuse	κακή χρήση	anger	0.297
getyourown	Πάρε το δικό σου	anger	0.297
taxed	φορολογηθούν	anger	0.297
depressed	μελαγχολικός	anger	0.297
talons	NO TRANSLATION	anger	0.297
paralysis	παράλυση	anger	0.295
displaced	μετακινηθεί	anger	0.294
limited	περιωρισμένος	anger	0.292
disapointment	NO TRANSLATION	anger	0.290
orc	orc	anger	0.289
ridiculous	γελοίος	anger	0.289
teasing	πειράζω	anger	0.288
sharpen	ακονίζω	anger	0.288
react	αντιδρώ	anger	0.288
presumptuous	αλαζονικός	anger	0.288
spine	ΣΠΟΝΔΥΛΙΚΗ ΣΤΗΛΗ	anger	0.288
homeless	άστεγος	anger	0.288
hoot	σφύριγμα	anger	0.287
twitchy	σπασμωδικές	anger	0.287
barrier	εμπόδιο	anger	0.287
myopia	μυωπία	anger	0.283
contraband	λαθρεμπόριο	anger	0.281
disconnects	αποσυνδέει	anger	0.281
spam	ανεπιθυμητη αλληλογραφια	anger	0.281
lagging	μόνωση	anger	0.281
shiver	ρίγος	anger	0.281
agh	agh	anger	0.281
restitution	αποκατάσταση	anger	0.281
flexin	flexin	anger	0.281
incompatible	ασύμβατες	anger	0.281
delinquent	εγκληματίας	anger	0.281
noncompliance	μη συμμόρφωση	anger	0.279
troll	γίγας	anger	0.279
buffering	buffering	anger	0.279
unfairness	άδικο	anger	0.279
foray	επιδρομή	anger	0.279
nether	κάτω	anger	0.278
bugaboo	φοβήτρο	anger	0.273
immaturity	άωρο	anger	0.273
bogus	ψευδής	anger	0.273
uncaring	απολαυστικό	anger	0.273
shock	σοκ	anger	0.269
feisty	κακό	anger	0.269
defendant	εναγόμενος	anger	0.266
latent	λανθάνων	anger	0.266
rapping	rapping	anger	0.266
pry	εξετάζω	anger	0.266
notamorningperson	NO TRANSLATION	anger	0.266
bear	αρκούδα	anger	0.266
nopoint	NO TRANSLATION	anger	0.266
inoperative	αδρανής	anger	0.266
quandary	δίλημμα	anger	0.266
inconvenient	άβολος	anger	0.266
feminism	φεμινισμός	anger	0.266
humbug	απάτη	anger	0.266
interrupts	διακόπτει	anger	0.265
fluctuation	διακύμανση	anger	0.265
exaggerate	υπερβάλλω	anger	0.263
lose	χάνω	anger	0.261
patter	κορακίστικα	anger	0.258
tease	πειράζω	anger	0.258
furnace	κάμινος	anger	0.258
stone	πέτρα	anger	0.258
shoplifting	κλεψιά από κατάστημα	anger	0.258
soldier	στρατιώτης	anger	0.258
incompetent	ανίκανος	anger	0.257
indoctrination	κατήχηση	anger	0.255
skid	ολισθαίνω	anger	0.250
notoriety	κακή φήμη	anger	0.250
falsehood	ψεύδος	anger	0.250
untrue	αναληθής	anger	0.250
mastery	την κυριαρχία	anger	0.250
tripping	ανάλαφρος	anger	0.250
nonsense	ανοησίες	anger	0.250
unfollow	απενεργοποίηση	anger	0.250
noisy	θορυβώδης	anger	0.250
pouting	σύλληψη	anger	0.250
cane	μπαστούνι	anger	0.250
attentionseeker	NO TRANSLATION	anger	0.250
rocket	ρουκέτα	anger	0.250
complicate	περιπλέκω	anger	0.250
socialist	σοσιαλιστής	anger	0.250
lawyer	δικηγόρος	anger	0.250
dontunderstand	NO TRANSLATION	anger	0.242
capslock	κεφαλαία	anger	0.242
fenced	περίφρακτος	anger	0.242
obstacle	εμπόδιο	anger	0.242
halter	καπίστρι	anger	0.242
witch	μάγισσα	anger	0.242
vampire	βρυκόλακας	anger	0.242
detract	αφαιρώ	anger	0.242
ringer	κλοιός	anger	0.242
frowning	φαίνοντα	anger	0.239
saber	NO TRANSLATION	anger	0.238
hunger	Πείνα	anger	0.235
recession	ύφεση	anger	0.234
lava	λάβα	anger	0.234
shell	κέλυφος	anger	0.234
wokemeup	NO TRANSLATION	anger	0.234
dabbling	αδέξιος	anger	0.234
tariff	δασμολόγιο	anger	0.234
failing	έλλειψη	anger	0.234
imtryingtosleep	NO TRANSLATION	anger	0.234
rascal	κατεργάρης	anger	0.234
politics	πολιτική	anger	0.234
undesirable	ανεπιθύμητος	anger	0.231
darkness	σκοτάδι	anger	0.227
versus	εναντίον	anger	0.227
resign	παραιτούμαι	anger	0.227
copycat	copycat	anger	0.227
soaked	μούσκεμα	anger	0.226
unfulfilled	ανεκπλήρωτος	anger	0.225
abandoned	εγκαταλειμμένος	anger	0.222
bankruptcy	πτώχευση	anger	0.221
owing	οφειλόμενος	anger	0.221
unattainable	ανέφικτος	anger	0.221
unhelpful	δεν βοηθάει	anger	0.219
twitching	συστροφή	anger	0.219
confusion	σύγχυση	anger	0.219
mosquito	κουνούπι	anger	0.219
warden	φύλακας	anger	0.219
misconception	παρανόηση	anger	0.219
compress	συμπιέζω	anger	0.219
whiny	whiny	anger	0.219
somethingigetalot	NO TRANSLATION	anger	0.219
tool	εργαλείο	anger	0.219
nosey	περίεργος	anger	0.213
overpriced	υπερτιμημένο	anger	0.212
harry	βασανίζω	anger	0.212
shortage	έλλειψη	anger	0.212
adder	αθροιστής	anger	0.212
melodrama	μελόδραμα	anger	0.212
overplayed	overplayed	anger	0.206
possession	κατοχή	anger	0.206
desert	έρημος	anger	0.206
pout	φουσκώνω τα χείλη	anger	0.203
uninvited	απρόσκλητος	anger	0.203
arraignment	κλήση	anger	0.203
inefficient	ανεπαρκής	anger	0.203
rook	κορώνη	anger	0.203
unlucky	άτυχος	anger	0.203
unpaid	απλήρωτος	anger	0.203
backbone	σπονδυλική στήλη	anger	0.203
sentence	πρόταση	anger	0.203
powerless	ανίσχυρος	anger	0.203
court	δικαστήριο	anger	0.199
endless	ατελείωτες	anger	0.198
adverts	διαφημίσεις	anger	0.197
delay	καθυστέρηση	anger	0.197
misstatement	εσφαλμένη έκθεση	anger	0.197
distracted	αποσπάται	anger	0.197
misunderstanding	παρεξήγηση	anger	0.195
excite	διεγείρω	anger	0.191
inadmissible	απαράδεκτος	anger	0.191
lightning	αστραπή	anger	0.189
incase	σε περίπτωση	anger	0.188
preclude	αποκλείω	anger	0.188
insecure	ανασφαλής	anger	0.188
mournful	λυπηρός	anger	0.188
rating	εκτίμηση	anger	0.182
mistress	ερωμένη	anger	0.182
pare	NO TRANSLATION	anger	0.182
mutter	NO TRANSLATION	anger	0.182
claimant	απαιτητής	anger	0.182
insist	επιμένω	anger	0.182
distracting	αποσπά την προσοχή	anger	0.182
opium	όπιο	anger	0.180
willful	σκόπιμος	anger	0.176
deserve	αξίζω	anger	0.176
insists	επιμένει	anger	0.175
treat	θεραπεύω	anger	0.175
misplace	βάζω κατά λάθος	anger	0.172
indecisive	αναποφάσιστος	anger	0.172
gibberish	ασυναρτησίες	anger	0.172
fleece	μαλλί	anger	0.172
fee	τέλη	anger	0.172
peice	NO TRANSLATION	anger	0.172
liberate	απελευθερώνω	anger	0.172
excitation	διέγερση	anger	0.172
hormonal	ορμονική	anger	0.172
mighty	ισχυρός	anger	0.172
thanksalot	NO TRANSLATION	anger	0.172
yelp	ούρλιασμα	anger	0.168
unequal	άνισος	anger	0.167
insufficiency	ανεπάρκεια	anger	0.167
hamstring	σακατεύω	anger	0.167
bargaining	διαπραγματεύσεις	anger	0.167
mule	μουλάρι	anger	0.167
insignificant	ασήμαντος	anger	0.167
attentionseekers	NO TRANSLATION	anger	0.163
indifference	αδιαφορία	anger	0.156
rheumatism	ρευματισμός	anger	0.156
coop	κοτέτσι	anger	0.156
forearm	πήχης	anger	0.156
uncertain	αβέβαιος	anger	0.152
bee	μέλισσα	anger	0.152
justthebeginning	NO TRANSLATION	anger	0.152
involvement	περιπλοκή	anger	0.152
disinformation	παραπληροφόρηση	anger	0.152
attorney	δικηγόρος	anger	0.152
underpaid	ανεπαρκώς αμειβόμενος	anger	0.152
pretending	προσποιώντας	anger	0.152
campaigning	εκστρατεία	anger	0.151
hopelessness	απελπισία	anger	0.149
feeling	συναισθημα	anger	0.147
legalized	νομιμοποιηθεί	anger	0.145
caution	Προσοχή	anger	0.145
subsidy	επιδότηση	anger	0.141
obliging	περιποιητικός	anger	0.141
morals	ήθη	anger	0.141
sterling	γνήσιος	anger	0.141
wimpy	wimpy	anger	0.140
bummer	bummer	anger	0.139
misspell	ανορθογραφώ	anger	0.136
saloon	ποτοπολείο	anger	0.136
repay	ανταποδίδω	anger	0.136
blemish	ψεγάδι	anger	0.136
surcharge	προσαύξηση	anger	0.136
geez	geez	anger	0.136
birch	σημύδα	anger	0.135
noob	αρχάριος	anger	0.133
honk	κορνάρισμα	anger	0.133
orchestra	ορχήστρα	anger	0.132
competitive	ανταγωνιστικός	anger	0.125
wireless	ασύρματος	anger	0.125
standstill	στάση	anger	0.125
mosque	τζαμί	anger	0.122
reversal	αντιστροφή	anger	0.121
inattention	απροσεξία	anger	0.121
lace	δαντέλα	anger	0.118
elbow	αγκώνα	anger	0.117
instinctive	ενστικτώδης	anger	0.112
chant	άσμα	anger	0.111
lonely	μοναχικός	anger	0.109
gnome	νάνος	anger	0.109
tolerate	ανέχομαι	anger	0.106
management	διαχείριση	anger	0.102
advocacy	υπεράσπιση	anger	0.100
moral	ηθικός	anger	0.094
roadworks	οδικά έργα	anger	0.091
honest	τίμιος	anger	0.087
forgetful	ξεχασιάρης	anger	0.076
gent	ευγενής	anger	0.076
liquor	υγρό	anger	0.075
money	χρήματα	anger	0.074
hood	κουκούλα	anger	0.071
curriculum	διδακτέα ύλη	anger	0.063
words	λόγια	anger	0.062
smell	μυρωδιά	anger	0.061
elf	ξωτικό	anger	0.061
playful	παιχνιδιάρικος	anger	0.061
opera	ΛΥΡΙΚΗ ΣΚΗΝΗ	anger	0.061
nurture	ανατροφή	anger	0.059
asleeep	NO TRANSLATION	anger	0.059
counsellor	σύμβουλος	anger	0.059
trumpet	τρομπέτα	anger	0.059
birthplace	γενέτειρα	anger	0.051
ribbon	ταινία	anger	0.047
youth	νεολαία	anger	0.045
vote	ψήφος	anger	0.045
cash	μετρητά	anger	0.039
wannasleep	NO TRANSLATION	anger	0.031
dame	κυρά	anger	0.030
waffle	φλυαρώ	anger	0.030
buffet	μπουφές	anger	0.029
celebrity	διασημότητα	anger	0.026
autocorrect	αυτόματη διόρθωση	anger	0.015
sisterhood	αδελφότητα	anger	0.015
musical	μιούζικαλ	anger	0.011
tree	δέντρο	anger	0.000
anticipation	προσμονή	anticipation	0.859
excited	ενθουσιασμένος	anticipation	0.859
anticipate	προσδοκώ	anticipation	0.820
excitement	ενθουσιασμός	anticipation	0.820
eagerness	προθυμία	anticipation	0.812
exciting	συναρπαστικός	anticipation	0.797
expectant	αναμένων	anticipation	0.789
thrilling	συγκινητικός	anticipation	0.781
hope	ελπίδα	anticipation	0.773
quest	αναζήτηση	anticipation	0.766
expectance	προσδοκία	anticipation	0.750
countdown	αντίστροφη μέτρηση	anticipation	0.750
start	αρχή	anticipation	0.750
anticipatory	προνοητικός	anticipation	0.750
adventure	περιπέτεια	anticipation	0.750
eager	πρόθυμος	anticipation	0.742
climax	κορύφωση	anticipation	0.742
excite	διεγείρω	anticipation	0.742
prophecy	προφητεία	anticipation	0.742
arouse	εξεγείρω	anticipation	0.742
expect	αναμένω	anticipation	0.742
birth	γέννηση	anticipation	0.734
ejaculation	εκσπερμάτωση	anticipation	0.734
announcement	ανακοίνωση	anticipation	0.734
liberation	απελευθέρωση	anticipation	0.727
urgent	επείγων	anticipation	0.727
expecting	αναμένουν	anticipation	0.727
expectancy	προσδοκία	anticipation	0.727
imminent	επικείμενος	anticipation	0.727
aspire	φιλοδοξώ	anticipation	0.719
prospect	προοπτική	anticipation	0.719
trepidation	τρόμος	anticipation	0.719
reunion	επανένωση	anticipation	0.719
prospection	αναζήτηση	anticipation	0.719
voyage	ταξίδι στη θάλασσα	anticipation	0.719
mystery	μυστήριο	anticipation	0.711
journey	ταξίδι	anticipation	0.711
kiss	φιλί	anticipation	0.711
enthusiasm	ενθουσιασμός	anticipation	0.711
suspense	αγωνία	anticipation	0.711
ecstasy	έκσταση	anticipation	0.711
rapture	έκσταση	anticipation	0.711
yearning	λαχτάρα	anticipation	0.711
urgency	επείγον	anticipation	0.703
destination	προορισμός	anticipation	0.703
frantic	μανιώδης	anticipation	0.703
excitation	διέγερση	anticipation	0.703
thrill	συγκίνηση	anticipation	0.703
prospective	υποψήφιος	anticipation	0.703
hopeful	ελπιδοφόρος	anticipation	0.703
lottery	λαχείο	anticipation	0.703
progress	πρόοδος	anticipation	0.703
tantalizing	ενθουσιασμός	anticipation	0.703
advance	προκαταβολή	anticipation	0.695
explore	εξερευνώ	anticipation	0.695
liberate	απελευθερώνω	anticipation	0.695
readiness	ετοιμότητα	anticipation	0.695
hurry	βιασύνη	anticipation	0.695
arrival	άφιξη	anticipation	0.695
vacation	διακοπές	anticipation	0.695
expectation	προσδοκία	anticipation	0.695
sex	φύλο	anticipation	0.695
achievement	κατόρθωμα	anticipation	0.695
prediction	προφητεία	anticipation	0.695
allure	δελεάζω	anticipation	0.688
ecstatic	εκστατικός	anticipation	0.688
approaching	πλησιάζοντας	anticipation	0.688
uprising	εξέγερση	anticipation	0.680
honeymoon	ΓΑΜΗΛΙΟ ΤΑΞΙΔΙ	anticipation	0.680
roulette	ρουλέτα	anticipation	0.680
crescendo	αυξάνων τόνος	anticipation	0.672
holiday	αργία	anticipation	0.672
wishful	ποθών	anticipation	0.672
celebrating	γιορτάζοντας	anticipation	0.672
waiting	αναμονή	anticipation	0.664
winnings	κέρδη	anticipation	0.664
orgasm	οργασμός	anticipation	0.664
winning	επιτυχής	anticipation	0.664
impending	επικείμενος	anticipation	0.664
invitation	πρόσκληση	anticipation	0.664
rescue	διάσωση	anticipation	0.664
craving	λαχτάρα	anticipation	0.664
triumph	θρίαμβος	anticipation	0.664
celebration	εορτασμός	anticipation	0.656
victory	νίκη	anticipation	0.656
aspiring	επιδιώκοντας	anticipation	0.656
gain	κέρδος	anticipation	0.656
jackpot	σύνολο στοιχημάτων	anticipation	0.656
marriage	γάμος	anticipation	0.656
strive	προσπαθώ	anticipation	0.656
bridegroom	γαμπρός	anticipation	0.656
reward	ανταμοιβή	anticipation	0.656
fortune	τύχη	anticipation	0.656
bridal	γάμος	anticipation	0.656
courtship	ερωτοτροπία	anticipation	0.656
treasure	θησαυρός	anticipation	0.648
opportunity	ευκαιρία	anticipation	0.648
intrigue	μηχανοραφία	anticipation	0.648
delivery	διανομή	anticipation	0.648
alertness	ετοιμότητα	anticipation	0.648
aspiration	φιλοδοξία	anticipation	0.648
inheritance	κληρονομία	anticipation	0.648
rising	αυξανόμενες	anticipation	0.648
tomorrow	αύριο	anticipation	0.648
prescient	προβλεπτικός	anticipation	0.648
crowning	στέμμα	anticipation	0.648
revolution	επανάσταση	anticipation	0.641
erotic	ερωτικός	anticipation	0.641
spectacular	θεαματικός	anticipation	0.641
anxious	ανήσυχος	anticipation	0.641
expedition	εκστρατεία	anticipation	0.641
possibility	δυνατότητα	anticipation	0.641
launch	εκτόξευση	anticipation	0.641
bride	νυφη	anticipation	0.641
celebrated	διάσημος	anticipation	0.641
prognosis	πρόγνωση	anticipation	0.641
engaged	αρραβωνιασμένος	anticipation	0.641
reckoning	υπολογισμός	anticipation	0.641
award	βραβείο	anticipation	0.641
happiness	ευτυχία	anticipation	0.641
hype	δημοσιότητα	anticipation	0.641
receiving	λήψη	anticipation	0.641
curious	περίεργος	anticipation	0.633
succeed	πετυχαίνω	anticipation	0.633
birthday	γενέθλια	anticipation	0.633
graduation	αποφοίτηση	anticipation	0.633
beware	Προσοχή	anticipation	0.633
vision	όραμα	anticipation	0.633
passionate	παθιασμένος	anticipation	0.633
delight	απόλαυση	anticipation	0.633
destiny	ΠΕΠΡΩΜΕΝΟ	anticipation	0.633
ominous	δυσοίωνος	anticipation	0.633
coming	ερχομός	anticipation	0.633
await	αναμένω	anticipation	0.633
passion	πάθος	anticipation	0.633
firstborn	πρωτότοκος	anticipation	0.633
captivate	σαγηνεύω	anticipation	0.633
prepare	προετοιμάζω	anticipation	0.633
miracle	θαύμα	anticipation	0.633
triumphant	θριαμβευτικός	anticipation	0.625
lust	λαγνεία	anticipation	0.625
retirement	συνταξιοδότηση	anticipation	0.625
escape	διαφυγή	anticipation	0.625
gift	δώρο	anticipation	0.625
inspiration	έμπνευση	anticipation	0.625
optimism	αισιοδοξία	anticipation	0.625
foresee	προβλέπω	anticipation	0.625
ripen	ωριμάζω	anticipation	0.625
revival	αναβίωση	anticipation	0.625
embrace	εναγκαλισμός	anticipation	0.617
risky	επικίνδυνος	anticipation	0.617
ambition	φιλοδοξία	anticipation	0.617
simmering	σιγοβράζοντας	anticipation	0.617
surprisingly	απροσδόκητα	anticipation	0.617
verge	χείλος	anticipation	0.617
enchanting	μαγευτικός	anticipation	0.617
bloom	ανθίζω	anticipation	0.617
foresight	πρόβλεψη	anticipation	0.617
foreboding	προαίσθημα	anticipation	0.617
destined	προορίζονται	anticipation	0.617
succeeding	επιτυχία	anticipation	0.609
magical	μαγικός	anticipation	0.609
bonus	δώρο	anticipation	0.609
lookout	επιφυλακή	anticipation	0.609
matrimony	γάμος	anticipation	0.609
alerts	ειδοποιήσεις	anticipation	0.609
anxiety	ανησυχία	anticipation	0.609
seductive	αποπλανητικός	anticipation	0.609
forecast	πρόβλεψη	anticipation	0.609
intended	προορίζονται	anticipation	0.602
inspire	εμπνέω	anticipation	0.602
diagnosis	διάγνωση	anticipation	0.602
visionary	ονειροπόλος	anticipation	0.602
nervous	νευρικός	anticipation	0.602
deserve	αξίζω	anticipation	0.602
fulfillment	εκπλήρωση	anticipation	0.602
picnic	πικνίκ	anticipation	0.602
applicant	αιτών	anticipation	0.602
foreseen	προβλέπεται	anticipation	0.602
entertaining	διασκεδαστικο	anticipation	0.602
revenge	εκδίκηση	anticipation	0.602
success	επιτυχία	anticipation	0.602
prophetic	προφητικός	anticipation	0.602
winner	νικητής	anticipation	0.602
longing	λαχτάρα	anticipation	0.602
boomerang	μπούμερανγκ	anticipation	0.602
result	αποτέλεσμα	anticipation	0.594
accelerate	επιταχύνω	anticipation	0.594
buzz	βόμβος	anticipation	0.594
acquiring	απόκτηση	anticipation	0.594
marry	παντρεύω	anticipation	0.594
illuminate	διαφωτίζω	anticipation	0.594
romance	ειδύλλιο	anticipation	0.594
rekindle	ξανανάβω	anticipation	0.594
luck	τυχη	anticipation	0.594
advent	έλευση	anticipation	0.594
preparedness	ετοιμότητα	anticipation	0.594
momentum	ορμή	anticipation	0.594
arrive	φθάνω	anticipation	0.594
predict	προλέγω	anticipation	0.589
sequel	η συνέχεια	anticipation	0.586
money	χρήματα	anticipation	0.586
endeavor	προσπαθώ	anticipation	0.586
auspices	αιγίδα	anticipation	0.586
fiesta	γιορτή	anticipation	0.586
raffle	λοταρία	anticipation	0.586
preparation	παρασκευή	anticipation	0.586
uplift	ανύψωση	anticipation	0.586
investigation	έρευνα	anticipation	0.586
gambling	ΤΥΧΕΡΑ ΠΑΙΧΝΙΔΙΑ	anticipation	0.586
delightful	γοητευτικός	anticipation	0.586
enjoying	απολαμβάνοντας	anticipation	0.586
seek	ψάχνω	anticipation	0.586
impatient	ανυπόμονος	anticipation	0.586
overdue	εκπρόθεσμος	anticipation	0.586
crave	εκλιπαρώ	anticipation	0.586
flirt	φλερτάρω	anticipation	0.586
enthusiast	θιασώτης	anticipation	0.586
presumption	τεκμήριο	anticipation	0.586
immerse	βυθίζω	anticipation	0.586
progression	προχώρηση	anticipation	0.586
experiment	πείραμα	anticipation	0.580
inviting	ελκυστικός	anticipation	0.578
precarious	αβέβαιος	anticipation	0.578
blessing	ευλογία	anticipation	0.578
harvest	συγκομιδή	anticipation	0.578
transcendence	υπέρβαση	anticipation	0.578
heavenly	ουράνιος	anticipation	0.578
attainable	εφικτός	anticipation	0.578
enjoy	απολαμβάνω	anticipation	0.578
divination	μαντεία	anticipation	0.578
excavation	ανασκαφή	anticipation	0.578
healing	φαρμακευτικός	anticipation	0.578
majestic	μεγαλοπρεπής	anticipation	0.578
clamor	κραυγή	anticipation	0.578
thirst	δίψα	anticipation	0.578
remedy	θεραπεία	anticipation	0.578
prosper	ευημερώ	anticipation	0.578
risk	κίνδυνος	anticipation	0.578
angling	αγκιστεία	anticipation	0.578
completing	ολοκληρώνοντας	anticipation	0.578
thriving	ευημερούν	anticipation	0.578
zest	ζέση	anticipation	0.570
tease	πειράζω	anticipation	0.570
matchmaker	προξενιτής	anticipation	0.570
prospectively	προοπτικά	anticipation	0.570
restlessness	ανησυχία	anticipation	0.570
sweetheart	Αγαπημένος	anticipation	0.570
emancipation	χειραφέτηση	anticipation	0.570
ultimate	τελικός	anticipation	0.570
invite	καλώ	anticipation	0.570
gambler	χαρτοπαίχτης	anticipation	0.570
dare	τολμώ	anticipation	0.570
plan	σχέδιο	anticipation	0.570
magnificence	μεγαλοπρέπεια	anticipation	0.570
warned	προειδοποίησε	anticipation	0.570
finally	τελικά	anticipation	0.570
intimate	οικείος	anticipation	0.570
omen	οιωνός	anticipation	0.570
attempt	απόπειρα	anticipation	0.562
forewarned	προειδοποίησε	anticipation	0.562
fun	διασκέδαση	anticipation	0.562
festival	Φεστιβάλ	anticipation	0.562
trophy	τρόπαιο	anticipation	0.562
rejoice	χαίρομαι	anticipation	0.562
fanfare	σαλπίσματα	anticipation	0.562
predilection	προτίμηση	anticipation	0.562
exalt	εκθειάζω	anticipation	0.562
parade	παρέλαση	anticipation	0.562
enchant	θέλγω	anticipation	0.562
independence	ανεξαρτησία	anticipation	0.562
expose	εκθέσει	anticipation	0.562
immortality	αθανασία	anticipation	0.562
expected	αναμενόμενος	anticipation	0.562
mysterious	μυστηριώδης	anticipation	0.562
hypothesis	υπόθεση	anticipation	0.562
accolade	χειροτονία ιππότου	anticipation	0.562
lover	εραστής	anticipation	0.562
quicken	ζωογονώ	anticipation	0.562
champion	πρωταθλητής	anticipation	0.562
lovely	ωραίος	anticipation	0.555
rejoicing	χαρά	anticipation	0.555
grasping	αρπακτικός	anticipation	0.555
grow	καλλιεργώ	anticipation	0.555
curiosity	περιέργεια	anticipation	0.555
splendor	μεγαλείο	anticipation	0.555
salvation	σωτηρία	anticipation	0.555
happy	ευτυχισμένος	anticipation	0.555
oracle	μαντείο	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	ξεδιπλωθεί	anticipation	0.555
boisterous	θορυβώδης	anticipation	0.555
liberty	ελευθερία	anticipation	0.555
heroism	ηρωϊσμός	anticipation	0.555
feeling	συναισθημα	anticipation	0.555
shopping	ψώνια	anticipation	0.555
fate	μοίρα	anticipation	0.555
uneasiness	ανησυχία	anticipation	0.555
speculative	κερδοσκοπικός	anticipation	0.555
changeable	μεταβλητός	anticipation	0.547
recreational	ψυχαγωγικός	anticipation	0.547
pray	προσεύχομαι	anticipation	0.547
warn	προειδοποιώ	anticipation	0.547
suspicious	ύποπτος	anticipation	0.547
convergence	σύγκλιση	anticipation	0.547
incite	ερεθίζω	anticipation	0.547
agape	με ανοικτό στόμα	anticipation	0.547
morrow	αύριο	anticipation	0.547
abundance	αφθονία	anticipation	0.547
delighted	ευχαριστημένος	anticipation	0.547
resultant	επακόλουθο	anticipation	0.547
hungry	πεινασμένος	anticipation	0.547
monetary	νομισματικός	anticipation	0.547
vote	ψήφος	anticipation	0.547
glory	δόξα	anticipation	0.547
glimmer	φέγγω	anticipation	0.547
apprehensive	φοβισμένος	anticipation	0.547
sorcery	μαγεία	anticipation	0.547
bountiful	γενναιόδωρος	anticipation	0.547
leisure	ελεύθερος χρόνος	anticipation	0.547
probability	πιθανότητα	anticipation	0.547
auction	δημοπρασία	anticipation	0.539
hunting	κυνήγι	anticipation	0.539
contingent	ενδεχόμενος	anticipation	0.539
hankering	μεγάλη επιθυμία	anticipation	0.539
sensual	αισθησιακός	anticipation	0.539
blessings	ευλογίες	anticipation	0.539
ballot	ψηφοφορία	anticipation	0.539
grandchildren	εγγονια	anticipation	0.539
entertainment	ψυχαγωγία	anticipation	0.539
vindication	δικαίωση	anticipation	0.539
worrying	ανησυχητικό	anticipation	0.539
tempest	θύελλα	anticipation	0.539
inquiry	έρευνα	anticipation	0.539
merge	συγχώνευση	anticipation	0.539
exceed	υπερβαίνω	anticipation	0.539
bounty	γενναιοδωρία	anticipation	0.539
glad	χαρούμενος	anticipation	0.536
magnificent	μεγαλοπρεπής	anticipation	0.531
feat	κατόρθωμα	anticipation	0.531
stealthy	κρύφιος	anticipation	0.531
cheer	κέφι	anticipation	0.531
spirits	οινοπνευματώδη	anticipation	0.531
visitor	επισκέπτης	anticipation	0.531
appeal	έφεση	anticipation	0.531
forming	σχηματίζοντας	anticipation	0.531
hurried	βιαστικός	anticipation	0.531
responsive	ευαίσθητος	anticipation	0.531
virginity	παρθενιά	anticipation	0.531
deliverance	απελευθέρωση	anticipation	0.531
betrothed	μνηστή	anticipation	0.531
overthrow	ανατροπή	anticipation	0.531
harbinger	προάγγελος	anticipation	0.531
raving	έξαλλος	anticipation	0.531
celestial	ουράνιος	anticipation	0.531
dread	φόβος	anticipation	0.531
germination	βλάστηση	anticipation	0.523
preparatory	προετοιμασία	anticipation	0.523
pleasant	ευχάριστος	anticipation	0.523
watch	παρακολουθώ	anticipation	0.523
prophet	προφήτης	anticipation	0.523
prognostic	προγνωστικός	anticipation	0.523
haste	βιασύνη	anticipation	0.523
planning	σχεδίαση	anticipation	0.523
importance	σημασια	anticipation	0.523
radiance	ακτινοβολία	anticipation	0.523
prevail	επικρατώ	anticipation	0.523
cheery	χαρωπός	anticipation	0.523
competition	ανταγωνισμός	anticipation	0.523
ultimately	τελικά	anticipation	0.523
revive	ανασταίνω	anticipation	0.523
beaming	ακτινοβολία	anticipation	0.523
wait	Περιμένετε	anticipation	0.523
child	παιδί	anticipation	0.523
notification	Γνωστοποίηση	anticipation	0.523
hunter	κυνηγός	anticipation	0.523
explosive	εκρηκτικός	anticipation	0.523
endanger	διακινδυνεύω	anticipation	0.516
time	χρόνος	anticipation	0.516
recreation	αναψυχή	anticipation	0.516
renovation	ανακαίνιση	anticipation	0.516
precious	πολύτιμος	anticipation	0.516
begun	άρχισε	anticipation	0.516
loom	αργαλειός	anticipation	0.516
compensate	αποζημιώνω	anticipation	0.516
treat	θεραπεύω	anticipation	0.516
uncontrollable	αχαλίνωτος	anticipation	0.516
present	παρόν	anticipation	0.516
salary	Μισθός	anticipation	0.516
celebrity	διασημότητα	anticipation	0.516
owing	οφειλόμενος	anticipation	0.516
chocolate	σοκολάτα	anticipation	0.516
caution	Προσοχή	anticipation	0.516
fermentation	ζύμωση	anticipation	0.516
sensuality	φιληδονία	anticipation	0.516
wilderness	ερημιά	anticipation	0.508
signify	δηλώ	anticipation	0.508
transitional	μεταβατικός	anticipation	0.508
intermission	διάλειμμα	anticipation	0.508
contemplation	ενατένιση	anticipation	0.508
vigilance	επαγρύπνηση	anticipation	0.508
commemoration	εορτασμός	anticipation	0.508
practise	πρακτική	anticipation	0.508
cue	σύνθημα	anticipation	0.508
infant	βρέφος	anticipation	0.508
dreadful	φοβερός	anticipation	0.508
perfection	τελειότητα	anticipation	0.508
elevation	ανύψωση	anticipation	0.508
prerequisite	προαπαιτούμενο	anticipation	0.508
cultivate	καλλιεργώ	anticipation	0.508
horizon	ορίζοντας	anticipation	0.508
develop	αναπτύσσω	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	ζάλη	anticipation	0.500
attendance	παρουσία	anticipation	0.500
nascent	γεννημένος	anticipation	0.500
favorable	ευνοϊκός	anticipation	0.500
peril	κίνδυνος	anticipation	0.500
income	εισόδημα	anticipation	0.500
ardent	διακαής	anticipation	0.500
commemorate	εορτάζω την μνήμη	anticipation	0.500
doomsday	ημέρα της κρίσης	anticipation	0.500
reconciliation	συμφιλίωση	anticipation	0.500
