word	Ukrainian-uk	emotion	emotion-intensity-score
owing	завдяки	anger	0.221
unattainable	недосяжний	anger	0.221
unhelpful	непотрібний	anger	0.219
twitching	тріпотки	anger	0.219
confusion	плутанина	anger	0.219
mosquito	комар	anger	0.219
warden	наглядач	anger	0.219
misconception	неправильне уявлення	anger	0.219
compress	стиснути	anger	0.219
whiny	хлюпає	anger	0.219
somethingigetalot	NO TRANSLATION	anger	0.219
tool	інструмент	anger	0.219
nosey	носовий	anger	0.213
overpriced	завищені	anger	0.212
harry	Гаррі	anger	0.212
shortage	дефіцит	anger	0.212
adder	суматор	anger	0.212
melodrama	мелодрама	anger	0.212
overplayed	переповнений	anger	0.206
possession	володіння	anger	0.206
desert	пустеля	anger	0.206
pout	пюре	anger	0.203
uninvited	не запрошені	anger	0.203
arraignment	виправдання	anger	0.203
inefficient	неефективний	anger	0.203
rook	ладья	anger	0.203
unlucky	нещасливий	anger	0.203
unpaid	неоплачений	anger	0.203
backbone	хребет	anger	0.203
sentence	вирок	anger	0.203
powerless	безсилий	anger	0.203
court	суд	anger	0.199
endless	нескінченні	anger	0.198
adverts	реклами	anger	0.197
delay	затримка	anger	0.197
misstatement	ігнорування	anger	0.197
distracted	відволікся	anger	0.197
misunderstanding	непорозуміння	anger	0.195
excite	збуджуйся	anger	0.191
inadmissible	неприпустимий	anger	0.191
lightning	блискавка	anger	0.189
incase	включити	anger	0.188
preclude	виключити	anger	0.188
insecure	небезпечний	anger	0.188
mournful	скорботний	anger	0.188
rating	рейтинг	anger	0.182
mistress	коханка	anger	0.182
pare	NO TRANSLATION	anger	0.182
mutter	NO TRANSLATION	anger	0.182
claimant	позивач	anger	0.182
insist	наполягай	anger	0.182
distracting	відволікає	anger	0.182
opium	опіум	anger	0.180
willful	навмисне	anger	0.176
deserve	заслуговуй	anger	0.176
insists	наполягає	anger	0.175
treat	лікувати	anger	0.175
misplace	місці	anger	0.172
indecisive	нерішучий	anger	0.172
gibberish	бруду	anger	0.172
fleece	фліс	anger	0.172
fee	гонорар	anger	0.172
peice	NO TRANSLATION	anger	0.172
liberate	звільнити	anger	0.172
excitation	збудження	anger	0.172
hormonal	гормональний	anger	0.172
mighty	могутній	anger	0.172
thanksalot	NO TRANSLATION	anger	0.172
yelp	потискати	anger	0.168
unequal	нерівний	anger	0.167
insufficiency	недостатність	anger	0.167
hamstring	суглоба	anger	0.167
bargaining	торгуючись	anger	0.167
mule	мул	anger	0.167
insignificant	незначний	anger	0.167
attentionseekers	NO TRANSLATION	anger	0.163
indifference	байдужість	anger	0.156
rheumatism	ревматизм	anger	0.156
coop	кооператив	anger	0.156
forearm	передпліччя	anger	0.156
uncertain	невпевнений	anger	0.152
bee	бджола	anger	0.152
justthebeginning	NO TRANSLATION	anger	0.152
involvement	залучення	anger	0.152
disinformation	дезінформація	anger	0.152
attorney	адвокат	anger	0.152
underpaid	недоплачений	anger	0.152
pretending	прикидатися	anger	0.152
campaigning	агітація	anger	0.151
hopelessness	безнадійність	anger	0.149
feeling	почуття	anger	0.147
legalized	легалізований	anger	0.145
caution	обережно	anger	0.145
subsidy	субсидія	anger	0.141
obliging	зобов'язаний	anger	0.141
morals	моралі	anger	0.141
sterling	стерлінгів	anger	0.141
wimpy	здоровий	anger	0.140
bummer	бомбардувати	anger	0.139
misspell	орфографічна помилка	anger	0.136
saloon	салон	anger	0.136
repay	погасити	anger	0.136
blemish	вада	anger	0.136
surcharge	додаткова плата	anger	0.136
geez	гейз	anger	0.136
birch	береза	anger	0.135
noob	новачок	anger	0.133
honk	чорт	anger	0.133
orchestra	оркестр	anger	0.132
competitive	конкурентоспроможний	anger	0.125
wireless	бездротовий	anger	0.125
standstill	зупинка	anger	0.125
mosque	мечеть	anger	0.122
reversal	сторнування	anger	0.121
inattention	неуважність	anger	0.121
lace	мереживо	anger	0.118
elbow	ліктем	anger	0.117
instinctive	інстинктивний	anger	0.112
chant	співати	anger	0.111
lonely	самотній	anger	0.109
gnome	гном	anger	0.109
tolerate	терпіти	anger	0.106
management	управління	anger	0.102
advocacy	адвокація	anger	0.100
moral	моральний	anger	0.094
roadworks	дорожні роботи	anger	0.091
honest	чесний	anger	0.087
forgetful	забудькуваті	anger	0.076
gent	Гент	anger	0.076
liquor	лікер	anger	0.075
money	гроші	anger	0.074
hood	капот	anger	0.071
curriculum	навчальний план	anger	0.063
words	слова	anger	0.062
smell	запах	anger	0.061
elf	ельф	anger	0.061
playful	грайливий	anger	0.061
opera	опера	anger	0.061
nurture	виховати	anger	0.059
asleeep	NO TRANSLATION	anger	0.059
counsellor	радник	anger	0.059
trumpet	труба	anger	0.059
birthplace	батьківщина	anger	0.051
ribbon	стрічка	anger	0.047
youth	молодь	anger	0.045
vote	голосувати	anger	0.045
cash	готівка	anger	0.039
wannasleep	NO TRANSLATION	anger	0.031
dame	дама	anger	0.030
waffle	Вафлі	anger	0.030
buffet	буфет	anger	0.029
celebrity	знаменитість	anger	0.026
autocorrect	автокоректувати	anger	0.015
sisterhood	сестринство	anger	0.015
musical	музичний	anger	0.011
tree	дерево	anger	0.000
anticipation	очікування	anticipation	0.859
excited	схвильований	anticipation	0.859
anticipate	чекай	anticipation	0.820
excitement	хвилювання	anticipation	0.820
eagerness	прагнення	anticipation	0.812
exciting	хвилююче	anticipation	0.797
expectant	очікувана	anticipation	0.789
thrilling	захоплююча	anticipation	0.781
hope	надія	anticipation	0.773
quest	квест	anticipation	0.766
expectance	очікування	anticipation	0.750
countdown	зворотний відлік	anticipation	0.750
start	почати	anticipation	0.750
anticipatory	передбачуваний	anticipation	0.750
adventure	пригода	anticipation	0.750
eager	нетерпляче	anticipation	0.742
climax	кульмінація	anticipation	0.742
excite	збуджуйся	anticipation	0.742
prophecy	пророцтво	anticipation	0.742
arouse	викликати	anticipation	0.742
expect	чекати	anticipation	0.742
birth	народження	anticipation	0.734
ejaculation	еякуляція	anticipation	0.734
announcement	оголошення	anticipation	0.734
liberation	звільнення	anticipation	0.727
urgent	терміново	anticipation	0.727
expecting	чекаючи	anticipation	0.727
expectancy	тривалість життя	anticipation	0.727
imminent	неминучий	anticipation	0.727
aspire	прагнути	anticipation	0.719
prospect	перспектива	anticipation	0.719
trepidation	трепет	anticipation	0.719
reunion	возз'єднання	anticipation	0.719
prospection	розвідка	anticipation	0.719
voyage	рейс	anticipation	0.719
mystery	таємниця	anticipation	0.711
journey	подорож	anticipation	0.711
kiss	поцілунок	anticipation	0.711
enthusiasm	ентузіазм	anticipation	0.711
suspense	очікування	anticipation	0.711
ecstasy	екстаз	anticipation	0.711
rapture	захоплення	anticipation	0.711
yearning	прагнення	anticipation	0.711
urgency	терміновість	anticipation	0.703
destination	призначення	anticipation	0.703
frantic	Безстрашний	anticipation	0.703
excitation	збудження	anticipation	0.703
thrill	гострі відчуття	anticipation	0.703
prospective	перспективний	anticipation	0.703
hopeful	сподіваюся	anticipation	0.703
lottery	лотерея	anticipation	0.703
progress	прогрес	anticipation	0.703
tantalizing	заворушення	anticipation	0.703
advance	заздалегідь	anticipation	0.695
explore	досліджувати	anticipation	0.695
liberate	звільнити	anticipation	0.695
readiness	готовність	anticipation	0.695
hurry	поспішай	anticipation	0.695
arrival	прибуття	anticipation	0.695
vacation	відпустка	anticipation	0.695
expectation	очікування	anticipation	0.695
sex	секс	anticipation	0.695
achievement	досягнення	anticipation	0.695
prediction	передбачення	anticipation	0.695
allure	привабливість	anticipation	0.688
ecstatic	екстатичний	anticipation	0.688
approaching	наближається	anticipation	0.688
uprising	повстання	anticipation	0.680
honeymoon	медовий місяць	anticipation	0.680
roulette	рулетка	anticipation	0.680
crescendo	crescendo	anticipation	0.672
holiday	свято	anticipation	0.672
wishful	бажаний	anticipation	0.672
celebrating	святкування	anticipation	0.672
waiting	очікування	anticipation	0.664
winnings	виграші	anticipation	0.664
orgasm	оргазм	anticipation	0.664
winning	виграш	anticipation	0.664
impending	наближення	anticipation	0.664
invitation	запрошення	anticipation	0.664
rescue	порятунок	anticipation	0.664
craving	тяга	anticipation	0.664
triumph	тріумф	anticipation	0.664
celebration	святкування	anticipation	0.656
victory	перемога	anticipation	0.656
aspiring	прагнучий	anticipation	0.656
gain	виграти	anticipation	0.656
jackpot	джекпот	anticipation	0.656
marriage	шлюб	anticipation	0.656
strive	прагнути	anticipation	0.656
bridegroom	наречений	anticipation	0.656
reward	нагорода	anticipation	0.656
fortune	фортуна	anticipation	0.656
bridal	весільний	anticipation	0.656
courtship	залицяння	anticipation	0.656
treasure	скарб	anticipation	0.648
opportunity	можливість	anticipation	0.648
intrigue	інтрига	anticipation	0.648
delivery	доставка	anticipation	0.648
alertness	пильність	anticipation	0.648
aspiration	прагнення	anticipation	0.648
inheritance	спадщина	anticipation	0.648
rising	піднімається	anticipation	0.648
tomorrow	завтра	anticipation	0.648
prescient	престижний	anticipation	0.648
crowning	вінчає	anticipation	0.648
revolution	революція	anticipation	0.641
erotic	еротичний	anticipation	0.641
spectacular	вражаючий	anticipation	0.641
anxious	тривога	anticipation	0.641
expedition	експедиція	anticipation	0.641
possibility	можливість	anticipation	0.641
launch	запуск	anticipation	0.641
bride	наречена	anticipation	0.641
celebrated	святкується	anticipation	0.641
prognosis	прогноз	anticipation	0.641
engaged	займався	anticipation	0.641
reckoning	розрахунок	anticipation	0.641
award	нагорода	anticipation	0.641
happiness	щастя	anticipation	0.641
hype	галас	anticipation	0.641
receiving	прийом	anticipation	0.641
curious	цікаво	anticipation	0.633
succeed	досягати успіху	anticipation	0.633
birthday	день народження	anticipation	0.633
graduation	градація	anticipation	0.633
beware	остерігайся	anticipation	0.633
vision	бачення	anticipation	0.633
passionate	пристрасний	anticipation	0.633
delight	радість	anticipation	0.633
destiny	доля	anticipation	0.633
ominous	зловісний	anticipation	0.633
coming	приходить	anticipation	0.633
await	чекати	anticipation	0.633
passion	пристрасть	anticipation	0.633
firstborn	перворідний	anticipation	0.633
captivate	захоплювати	anticipation	0.633
prepare	підготуватися	anticipation	0.633
miracle	диво	anticipation	0.633
triumphant	переможний	anticipation	0.625
lust	пожадливість	anticipation	0.625
retirement	виходу на пенсію	anticipation	0.625
escape	Втеча	anticipation	0.625
gift	подарунок	anticipation	0.625
inspiration	натхнення	anticipation	0.625
optimism	оптимізм	anticipation	0.625
foresee	передбачте	anticipation	0.625
ripen	дозрівати	anticipation	0.625
revival	відродження	anticipation	0.625
embrace	обійми	anticipation	0.617
risky	ризиковано	anticipation	0.617
ambition	честолюбство	anticipation	0.617
simmering	кип'ятити	anticipation	0.617
surprisingly	дивно	anticipation	0.617
verge	гранично	anticipation	0.617
enchanting	чарівні	anticipation	0.617
bloom	цвісти	anticipation	0.617
foresight	передбачення	anticipation	0.617
foreboding	передчуття	anticipation	0.617
destined	судилося	anticipation	0.617
succeeding	успішний	anticipation	0.609
magical	чарівний	anticipation	0.609
bonus	бонус	anticipation	0.609
lookout	огляд	anticipation	0.609
matrimony	подружжя	anticipation	0.609
alerts	сповіщення	anticipation	0.609
anxiety	тривога	anticipation	0.609
seductive	спокусливий	anticipation	0.609
forecast	прогноз	anticipation	0.609
intended	призначений	anticipation	0.602
inspire	надихати	anticipation	0.602
diagnosis	діагноз	anticipation	0.602
visionary	далекоглядний	anticipation	0.602
nervous	нервовий	anticipation	0.602
deserve	заслуговуй	anticipation	0.602
fulfillment	виконання	anticipation	0.602
picnic	пікнік	anticipation	0.602
applicant	заявник	anticipation	0.602
foreseen	передбачається	anticipation	0.602
entertaining	розважальний	anticipation	0.602
revenge	помста	anticipation	0.602
success	успіх	anticipation	0.602
prophetic	пророчий	anticipation	0.602
winner	переможець	anticipation	0.602
longing	туга	anticipation	0.602
boomerang	бумеранг	anticipation	0.602
result	результат	anticipation	0.594
accelerate	прискорити	anticipation	0.594
buzz	гудіння	anticipation	0.594
acquiring	придбання	anticipation	0.594
marry	одружитися	anticipation	0.594
illuminate	висвітлювати	anticipation	0.594
romance	романтика	anticipation	0.594
rekindle	відновлювати	anticipation	0.594
luck	удача	anticipation	0.594
advent	прихід	anticipation	0.594
preparedness	готовність	anticipation	0.594
momentum	імпульс	anticipation	0.594
arrive	прибути	anticipation	0.594
predict	передбачати	anticipation	0.589
sequel	продовження	anticipation	0.586
money	гроші	anticipation	0.586
endeavor	прагнути	anticipation	0.586
auspices	під егідою	anticipation	0.586
fiesta	фієста	anticipation	0.586
raffle	розіграш	anticipation	0.586
preparation	підготовка	anticipation	0.586
uplift	підйом	anticipation	0.586
investigation	розслідування	anticipation	0.586
gambling	азартні ігри	anticipation	0.586
delightful	чудовий	anticipation	0.586
enjoying	насолоджуючись	anticipation	0.586
seek	шукати	anticipation	0.586
impatient	нетерплячий	anticipation	0.586
overdue	прострочений	anticipation	0.586
crave	жадай	anticipation	0.586
flirt	флірт	anticipation	0.586
enthusiast	ентузіаст	anticipation	0.586
presumption	презумпція	anticipation	0.586
immerse	поринути	anticipation	0.586
progression	прогрес	anticipation	0.586
experiment	експеримент	anticipation	0.580
inviting	запрошувати	anticipation	0.578
precarious	нестійкий	anticipation	0.578
blessing	благословення	anticipation	0.578
harvest	врожай	anticipation	0.578
transcendence	трансцендентність	anticipation	0.578
heavenly	небесний	anticipation	0.578
attainable	досяжна	anticipation	0.578
enjoy	насолоджуйся	anticipation	0.578
divination	ворожіння	anticipation	0.578
excavation	розкопки	anticipation	0.578
healing	зцілення	anticipation	0.578
majestic	величний	anticipation	0.578
clamor	крик	anticipation	0.578
thirst	спрага	anticipation	0.578
remedy	виправлення	anticipation	0.578
prosper	процвітати	anticipation	0.578
risk	ризик	anticipation	0.578
angling	рибалка	anticipation	0.578
completing	завершення	anticipation	0.578
thriving	процвітає	anticipation	0.578
zest	родзинка	anticipation	0.570
tease	дражнити	anticipation	0.570
matchmaker	сваха	anticipation	0.570
prospectively	перспективно	anticipation	0.570
restlessness	неспокій	anticipation	0.570
sweetheart	кохана	anticipation	0.570
emancipation	емансипація	anticipation	0.570
ultimate	остаточний	anticipation	0.570
invite	запросити	anticipation	0.570
gambler	гравець	anticipation	0.570
dare	наважитися	anticipation	0.570
plan	план	anticipation	0.570
magnificence	пишність	anticipation	0.570
warned	попередив	anticipation	0.570
finally	нарешті	anticipation	0.570
intimate	інтимний	anticipation	0.570
omen	знак	anticipation	0.570
attempt	спроба	anticipation	0.562
forewarned	попереджений	anticipation	0.562
fun	весело	anticipation	0.562
festival	фестиваль	anticipation	0.562
trophy	трофей	anticipation	0.562
rejoice	радійте	anticipation	0.562
fanfare	фанфар	anticipation	0.562
predilection	пристрасть	anticipation	0.562
exalt	піднімайся	anticipation	0.562
parade	парад	anticipation	0.562
enchant	зачарувати	anticipation	0.562
independence	незалежність	anticipation	0.562
expose	піддавати	anticipation	0.562
immortality	безсмертя	anticipation	0.562
expected	очікуваний	anticipation	0.562
mysterious	таємничий	anticipation	0.562
hypothesis	гіпотеза	anticipation	0.562
accolade	нагорода	anticipation	0.562
lover	коханець	anticipation	0.562
quicken	прискорити	anticipation	0.562
champion	чемпіон	anticipation	0.562
lovely	милий	anticipation	0.555
rejoicing	радіти	anticipation	0.555
grasping	захоплення	anticipation	0.555
grow	рости	anticipation	0.555
curiosity	цікавість	anticipation	0.555
splendor	великолепие	anticipation	0.555
salvation	порятунок	anticipation	0.555
happy	щасливий	anticipation	0.555
oracle	оракул	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	розгорнутися	anticipation	0.555
boisterous	бурхливий	anticipation	0.555
liberty	свобода	anticipation	0.555
heroism	героїзм	anticipation	0.555
feeling	почуття	anticipation	0.555
shopping	шопінг	anticipation	0.555
fate	доля	anticipation	0.555
uneasiness	неспокій	anticipation	0.555
speculative	спекулятивний	anticipation	0.555
changeable	мінливий	anticipation	0.547
recreational	рекреаційна	anticipation	0.547
pray	моліться	anticipation	0.547
warn	попередити	anticipation	0.547
suspicious	підозрілий	anticipation	0.547
convergence	конвергенція	anticipation	0.547
incite	підбурювати	anticipation	0.547
agape	агапе	anticipation	0.547
morrow	завтра	anticipation	0.547
abundance	достаток	anticipation	0.547
delighted	в захваті	anticipation	0.547
resultant	результуючий	anticipation	0.547
hungry	голодний	anticipation	0.547
monetary	грошовий	anticipation	0.547
vote	голосувати	anticipation	0.547
glory	слава	anticipation	0.547
glimmer	мерехтіти	anticipation	0.547
apprehensive	занепокоєння	anticipation	0.547
sorcery	чаклунство	anticipation	0.547
bountiful	щедрий	anticipation	0.547
leisure	дозвілля	anticipation	0.547
probability	ймовірність	anticipation	0.547
auction	аукціон	anticipation	0.539
hunting	полювання	anticipation	0.539
contingent	контингент	anticipation	0.539
hankering	жахливий	anticipation	0.539
sensual	чуттєвий	anticipation	0.539
blessings	благословення	anticipation	0.539
ballot	виборчий бюлетень	anticipation	0.539
grandchildren	онуки	anticipation	0.539
entertainment	розваги	anticipation	0.539
vindication	виправдання	anticipation	0.539
worrying	турбуючись	anticipation	0.539
tempest	буря	anticipation	0.539
inquiry	запит	anticipation	0.539
merge	злиття	anticipation	0.539
exceed	перевищити	anticipation	0.539
bounty	щедрість	anticipation	0.539
glad	рада	anticipation	0.536
magnificent	чудовий	anticipation	0.531
feat	подвиг	anticipation	0.531
stealthy	прихований	anticipation	0.531
cheer	підбадьорити	anticipation	0.531
spirits	духи	anticipation	0.531
visitor	відвідувач	anticipation	0.531
appeal	звернення	anticipation	0.531
forming	формування	anticipation	0.531
hurried	поспішав	anticipation	0.531
responsive	чуйний	anticipation	0.531
virginity	невинності	anticipation	0.531
deliverance	звільнення	anticipation	0.531
betrothed	заміжня	anticipation	0.531
overthrow	повалити	anticipation	0.531
harbinger	провісник	anticipation	0.531
raving	мимоволі	anticipation	0.531
celestial	небесне	anticipation	0.531
dread	страшно	anticipation	0.531
germination	проростання	anticipation	0.523
preparatory	підготовчий	anticipation	0.523
pleasant	приємний	anticipation	0.523
watch	дивитися	anticipation	0.523
prophet	пророк	anticipation	0.523
prognostic	прогностичний	anticipation	0.523
haste	поспішати	anticipation	0.523
planning	планування	anticipation	0.523
importance	важливість	anticipation	0.523
radiance	сяйвості	anticipation	0.523
prevail	переважати	anticipation	0.523
cheery	веселий	anticipation	0.523
competition	конкуренція	anticipation	0.523
ultimately	в кінцевому підсумку	anticipation	0.523
revive	відродити	anticipation	0.523
beaming	сяючий	anticipation	0.523
wait	чекати	anticipation	0.523
child	дитина	anticipation	0.523
notification	повідомлення	anticipation	0.523
hunter	мисливець	anticipation	0.523
explosive	вибуховий	anticipation	0.523
endanger	загрожує	anticipation	0.516
time	час	anticipation	0.516
recreation	відпочинок	anticipation	0.516
renovation	реконструкція	anticipation	0.516
precious	дорогоцінний	anticipation	0.516
begun	почався	anticipation	0.516
loom	ткацький верстат	anticipation	0.516
compensate	компенсувати	anticipation	0.516
treat	лікувати	anticipation	0.516
uncontrollable	неконтрольований	anticipation	0.516
present	присутній	anticipation	0.516
salary	зарплата	anticipation	0.516
celebrity	знаменитість	anticipation	0.516
owing	завдяки	anticipation	0.516
chocolate	шоколад	anticipation	0.516
caution	обережно	anticipation	0.516
fermentation	бродіння	anticipation	0.516
sensuality	чуттєвість	anticipation	0.516
wilderness	пустеля	anticipation	0.508
signify	означати	anticipation	0.508
transitional	перехідний	anticipation	0.508
intermission	інтервал	anticipation	0.508
contemplation	споглядання	anticipation	0.508
vigilance	пильність	anticipation	0.508
commemoration	пам'ять	anticipation	0.508
practise	практика	anticipation	0.508
cue	кий	anticipation	0.508
infant	немовля	anticipation	0.508
dreadful	страшний	anticipation	0.508
perfection	досконалість	anticipation	0.508
elevation	висота	anticipation	0.508
prerequisite	передумова	anticipation	0.508
cultivate	культивувати	anticipation	0.508
horizon	горизонт	anticipation	0.508
develop	розвиватися	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	плавати	anticipation	0.500
attendance	відвідування	anticipation	0.500
nascent	виникає	anticipation	0.500
favorable	сприятливий	anticipation	0.500
peril	небезпека	anticipation	0.500
income	дохід	anticipation	0.500
ardent	гарячий	anticipation	0.500
commemorate	вшанувати пам'ять	anticipation	0.500
doomsday	кінець світу	anticipation	0.500
reconciliation	примирення	anticipation	0.500
utopian	утопічний	anticipation	0.500
romantic	романтичний	anticipation	0.500
unbridled	неприборканий	anticipation	0.500
sunny	сонячно	anticipation	0.500
uphill	в гору	anticipation	0.500
intuitively	інтуїтивно	anticipation	0.500
depart	від'їхати	anticipation	0.500
eventuality	можливий випадок	anticipation	0.500
puppy	цуценя	anticipation	0.500
zeal	ревність	anticipation	0.500
sneaking	підкрадайся	anticipation	0.500
ready	готовий	anticipation	0.500
advocacy	адвокація	anticipation	0.500
airport	аеропорт	anticipation	0.500
litigate	судовий процес	anticipation	0.500
blindfold	зав'язати очі	anticipation	0.500
undisclosed	нерозкритий	anticipation	0.500
young	молодий	anticipation	0.500
horoscope	гороскоп	anticipation	0.500
invocation	виклик	anticipation	0.500
calculation	розрахунок	anticipation	0.500
hero	герой	anticipation	0.500
court	суд	anticipation	0.492
repay	погасити	anticipation	0.492
improvise	імпровізувати	anticipation	0.492
parole	розстрочка	anticipation	0.492
worry	турбуватися	anticipation	0.492
inauguration	інаугурація	anticipation	0.492
gaping	розкривається	anticipation	0.492
youth	молодь	anticipation	0.492
bless	благослови	anticipation	0.492
defense	захист	anticipation	0.492
heyday	розквіт	anticipation	0.492
consequent	наслідок	anticipation	0.492
proceeding	Продовжуючи	anticipation	0.492
eventual	можливо	anticipation	0.492
perspective	перспектива	anticipation	0.492
restorative	відновлювальний	anticipation	0.492
undertaking	зобов'язання	anticipation	0.492
highest	найвищий	anticipation	0.491
duel	поєдинок	anticipation	0.484
unexplained	незрозумілий	anticipation	0.484
tremor	тремтіння	anticipation	0.484
sharpen	загострити	anticipation	0.484
generosity	щедрість	anticipation	0.484
voluptuous	смиренний	anticipation	0.484
shortly	незабаром	anticipation	0.484
vow	клятва	anticipation	0.484
contagion	зараження	anticipation	0.484
letter	лист	anticipation	0.484
happen	статися	anticipation	0.484
threaten	загрожуй	anticipation	0.484
conjure	викликати	anticipation	0.484
sparkle	блиснути	anticipation	0.484
engulf	поглинати	anticipation	0.484
god	бог	anticipation	0.484
correspondence	листування	anticipation	0.484
auspicious	сприятливий	anticipation	0.484
princely	княжий	anticipation	0.484
adore	обожнюй	anticipation	0.477
enroll	зареєструватися	anticipation	0.477
determinate	детермінований	anticipation	0.477
predispose	схильні	anticipation	0.477
clue	ключ	anticipation	0.477
onset	початок	anticipation	0.477
powerful	потужний	anticipation	0.477
glorify	прославити	anticipation	0.477
glow	світити	anticipation	0.477
arbitration	арбітраж	anticipation	0.477
torture	катування	anticipation	0.477
gravitate	тяжіти	anticipation	0.477
cherish	плекати	anticipation	0.477
contemplate	споглядати	anticipation	0.477
submit	подати	anticipation	0.477
perilous	небезпечний	anticipation	0.477
unification	об'єднання	anticipation	0.477
score	оцінка	anticipation	0.477
medal	медаль	anticipation	0.477
glide	ковзати	anticipation	0.477
recipient	одержувач	anticipation	0.477
accompaniment	супровід	anticipation	0.477
praiseworthy	похвально	anticipation	0.473
providing	забезпечення	anticipation	0.469
motion	рух	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	обережний	anticipation	0.469
cash	готівка	anticipation	0.469
precursor	попередник	anticipation	0.469
opera	опера	anticipation	0.469
elite	еліта	anticipation	0.469
pry	приди	anticipation	0.469
hire	найняти	anticipation	0.469
sweets	солодощі	anticipation	0.469
star	зірка	anticipation	0.469
unsurpassed	неперевершений	anticipation	0.469
successful	успішний	anticipation	0.469
unknown	невідомий	anticipation	0.469
immediately	негайно	anticipation	0.469
starry	зоряний	anticipation	0.469
production	виробництво	anticipation	0.469
football	футбол	anticipation	0.469
completion	завершення	anticipation	0.469
scare	налякати	anticipation	0.469
invoke	викликати	anticipation	0.469
shaky	хиткий	anticipation	0.469
dawn	ранок	anticipation	0.469
creeping	повзучий	anticipation	0.469
cheerfulness	бадьорість	anticipation	0.461
soundness	стійкість	anticipation	0.461
mail	пошта	anticipation	0.461
draft	чернетка	anticipation	0.461
preliminary	попередній	anticipation	0.461
friendly	дружній	anticipation	0.461
commemorative	пам'ятний	anticipation	0.461
extricate	звільнити	anticipation	0.461
alive	живий	anticipation	0.461
untold	невимовне	anticipation	0.461
overture	увертюра	anticipation	0.461
excel	відмінно	anticipation	0.461
plight	тяжке становище	anticipation	0.461
synchronize	синхронізувати	anticipation	0.461
punt	Пунт	anticipation	0.461
sanctuary	святилище	anticipation	0.461
brilliant	блискучий	anticipation	0.461
pay	платити	anticipation	0.461
shining	світиться	anticipation	0.461
regatta	регата	anticipation	0.461
testament	заповіт	anticipation	0.461
jeopardy	загроза	anticipation	0.461
perpetuity	безстроковість	anticipation	0.453
elegance	елегантність	anticipation	0.453
career	кар'єра	anticipation	0.453
basketball	баскетбол	anticipation	0.453
intimately	тісно	anticipation	0.453
renovate	реконструювати	anticipation	0.453
supremacy	верховенство	anticipation	0.453
infinity	нескінченність	anticipation	0.453
unexpected	несподівано	anticipation	0.453
flinch	флінк	anticipation	0.453
complement	доповнювати	anticipation	0.453
prologue	пролог	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	профілактика	anticipation	0.453
improve	поліпшити	anticipation	0.453
sunset	захід сонця	anticipation	0.453
inaugural	інавгурація	anticipation	0.453
rehabilitation	реабілітація	anticipation	0.453
fitting	пристосування	anticipation	0.445
surround	оточувати	anticipation	0.445
share	поділитися	anticipation	0.445
epidemic	епідемія	anticipation	0.445
sweet	солодкий	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	приховування	anticipation	0.445
confidence	впевненість	anticipation	0.445
perfect	досконалий	anticipation	0.445
sun	сонце	anticipation	0.445
veracity	правдивість	anticipation	0.445
volunteer	волонтер	anticipation	0.445
conjecture	гіпотеза	anticipation	0.445
medical	медичний	anticipation	0.438
prepared	підготований	anticipation	0.438
superstitious	забобонний	anticipation	0.438
reconstruction	реконструкція	anticipation	0.438
tickle	поколоти	anticipation	0.438
faith	віра	anticipation	0.438
passenger	пасажирський	anticipation	0.438
saint	святий	anticipation	0.438
respect	поважати	anticipation	0.438
rabid	гадкий	anticipation	0.438
reconstruct	реконструювати	anticipation	0.438
recombination	рекомбінація	anticipation	0.438
devout	побожний	anticipation	0.438
goodness	доброчесність	anticipation	0.438
angel	ангел	anticipation	0.438
ferment	бродити	anticipation	0.438
plea	прохання	anticipation	0.438
aloha	Алоха	anticipation	0.438
serial	серійний	anticipation	0.438
conservation	збереження	anticipation	0.438
serenity	спокій	anticipation	0.430
tabulate	табулювати	anticipation	0.430
install	встановити	anticipation	0.430
labyrinth	лабіринт	anticipation	0.430
venerable	поважний	anticipation	0.430
perpetuate	увічнювати	anticipation	0.430
strategist	стратег	anticipation	0.430
unverified	неперевірений	anticipation	0.430
tribunal	трибунал	anticipation	0.430
charitable	благодійний	anticipation	0.430
luscious	соковитий	anticipation	0.430
spa	спа-центр	anticipation	0.430
peace	мир	anticipation	0.430
clap	хлопати	anticipation	0.430
conspirator	змовник	anticipation	0.422
forestall	запобігти	anticipation	0.422
patience	терпіння	anticipation	0.422
oasis	оазис	anticipation	0.422
grin	усмішка	anticipation	0.422
revere	шануйся	anticipation	0.422
worship	поклоніння	anticipation	0.422
vista	Vista	anticipation	0.422
laughter	сміх	anticipation	0.422
volatility	волатильність	anticipation	0.422
adrift	приплив	anticipation	0.422
candid	відвертий	anticipation	0.422
edification	виховання	anticipation	0.422
unresolved	невирішені	anticipation	0.422
peaceful	мирний	anticipation	0.422
recognizable	впізнаваний	anticipation	0.422
calls	дзвінки	anticipation	0.414
weigh	зважте	anticipation	0.414
probation	стажування	anticipation	0.414
proficiency	знання	anticipation	0.414
morn	ранок	anticipation	0.414
craps	кістки	anticipation	0.414
detainee	затриманий	anticipation	0.414
