word	Chinese (Traditional)-zh-TW	emotion	emotion-intensity-score
rekindle	重燃	anticipation	0.594
luck	運氣	anticipation	0.594
advent	來臨	anticipation	0.594
preparedness	準備	anticipation	0.594
momentum	動量	anticipation	0.594
arrive	到達	anticipation	0.594
predict	預測	anticipation	0.589
sequel	續集	anticipation	0.586
money	錢	anticipation	0.586
endeavor	努力	anticipation	0.586
auspices	主持	anticipation	0.586
fiesta	節日	anticipation	0.586
raffle	廢物	anticipation	0.586
preparation	製備	anticipation	0.586
uplift	抬起	anticipation	0.586
investigation	調查	anticipation	0.586
gambling	賭博	anticipation	0.586
delightful	愉快	anticipation	0.586
enjoying	享受	anticipation	0.586
seek	尋求	anticipation	0.586
impatient	不耐煩	anticipation	0.586
overdue	過期的	anticipation	0.586
crave	渴望	anticipation	0.586
flirt	調情	anticipation	0.586
enthusiast	愛好者	anticipation	0.586
presumption	假定	anticipation	0.586
immerse	沉浸	anticipation	0.586
progression	級數	anticipation	0.586
experiment	實驗	anticipation	0.580
inviting	誘人的	anticipation	0.578
precarious	危險的	anticipation	0.578
blessing	祝福	anticipation	0.578
harvest	收成	anticipation	0.578
transcendence	超越	anticipation	0.578
heavenly	天上	anticipation	0.578
attainable	可實現	anticipation	0.578
enjoy	請享用	anticipation	0.578
divination	卜筮	anticipation	0.578
excavation	挖掘	anticipation	0.578
healing	復原	anticipation	0.578
majestic	雄偉	anticipation	0.578
clamor	叫囂	anticipation	0.578
thirst	口渴	anticipation	0.578
remedy	補救	anticipation	0.578
prosper	繁榮	anticipation	0.578
risk	風險	anticipation	0.578
angling	釣魚	anticipation	0.578
completing	完成	anticipation	0.578
thriving	熙	anticipation	0.578
zest	熱情	anticipation	0.570
tease	逗	anticipation	0.570
matchmaker	媒人	anticipation	0.570
prospectively	前瞻性	anticipation	0.570
restlessness	躁動	anticipation	0.570
sweetheart	愛人	anticipation	0.570
emancipation	解放	anticipation	0.570
ultimate	最終	anticipation	0.570
invite	邀請	anticipation	0.570
gambler	賭徒	anticipation	0.570
dare	敢	anticipation	0.570
plan	計劃	anticipation	0.570
magnificence	壯麗	anticipation	0.570
warned	警告	anticipation	0.570
finally	最後	anticipation	0.570
intimate	親密	anticipation	0.570
omen	預兆	anticipation	0.570
attempt	嘗試	anticipation	0.562
forewarned	凡事預	anticipation	0.562
fun	開玩笑	anticipation	0.562
festival	節	anticipation	0.562
trophy	杯	anticipation	0.562
rejoice	麾	anticipation	0.562
fanfare	大張旗鼓	anticipation	0.562
predilection	好發	anticipation	0.562
exalt	捧	anticipation	0.562
parade	遊行	anticipation	0.562
enchant	蠱惑	anticipation	0.562
independence	獨立	anticipation	0.562
expose	暴露	anticipation	0.562
immortality	不朽	anticipation	0.562
expected	預期	anticipation	0.562
mysterious	神秘	anticipation	0.562
hypothesis	假設	anticipation	0.562
accolade	榮譽	anticipation	0.562
lover	情人	anticipation	0.562
quicken	加速	anticipation	0.562
champion	冠軍	anticipation	0.562
lovely	可愛	anticipation	0.555
rejoicing	欣喜	anticipation	0.555
grasping	抓	anticipation	0.555
grow	增長	anticipation	0.555
curiosity	好奇心	anticipation	0.555
splendor	輝	anticipation	0.555
salvation	救恩	anticipation	0.555
happy	快樂	anticipation	0.555
oracle	神諭	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	展開	anticipation	0.555
boisterous	哄然	anticipation	0.555
liberty	自由	anticipation	0.555
heroism	英雄主義	anticipation	0.555
feeling	感覺	anticipation	0.555
shopping	購物	anticipation	0.555
fate	命運	anticipation	0.555
uneasiness	局促	anticipation	0.555
speculative	投機	anticipation	0.555
changeable	多變	anticipation	0.547
recreational	休閒	anticipation	0.547
pray	祈禱	anticipation	0.547
warn	警告	anticipation	0.547
suspicious	可疑	anticipation	0.547
convergence	收斂	anticipation	0.547
incite	煽動	anticipation	0.547
agape	純愛	anticipation	0.547
morrow	明天	anticipation	0.547
abundance	豐富	anticipation	0.547
delighted	欣喜的	anticipation	0.547
resultant	結果	anticipation	0.547
hungry	飢餓	anticipation	0.547
monetary	貨幣	anticipation	0.547
vote	投票	anticipation	0.547
glory	榮耀	anticipation	0.547
glimmer	微光	anticipation	0.547
apprehensive	憂慮	anticipation	0.547
sorcery	巫術	anticipation	0.547
bountiful	豐富	anticipation	0.547
leisure	閒暇	anticipation	0.547
probability	可能性	anticipation	0.547
auction	拍賣	anticipation	0.539
hunting	狩獵	anticipation	0.539
contingent	隊伍	anticipation	0.539
hankering	渴望	anticipation	0.539
sensual	聲色	anticipation	0.539
blessings	祝福	anticipation	0.539
ballot	選票	anticipation	0.539
grandchildren	孫子	anticipation	0.539
entertainment	娛樂	anticipation	0.539
vindication	表白	anticipation	0.539
worrying	令人擔憂	anticipation	0.539
tempest	暴風雨	anticipation	0.539
inquiry	查詢	anticipation	0.539
merge	合併	anticipation	0.539
exceed	超過	anticipation	0.539
bounty	賞金	anticipation	0.539
glad	高興	anticipation	0.536
magnificent	華麗的	anticipation	0.531
feat	功績	anticipation	0.531
stealthy	鬼鬼祟祟	anticipation	0.531
cheer	歡呼	anticipation	0.531
spirits	酒	anticipation	0.531
visitor	遊客	anticipation	0.531
appeal	上訴	anticipation	0.531
forming	成型	anticipation	0.531
hurried	慌忙	anticipation	0.531
responsive	響應	anticipation	0.531
virginity	童貞	anticipation	0.531
deliverance	救出	anticipation	0.531
betrothed	許配	anticipation	0.531
overthrow	推翻	anticipation	0.531
harbinger	預兆	anticipation	0.531
raving	狂言	anticipation	0.531
celestial	天上	anticipation	0.531
dread	恐懼	anticipation	0.531
germination	發芽	anticipation	0.523
preparatory	預備	anticipation	0.523
pleasant	愉快	anticipation	0.523
watch	看	anticipation	0.523
prophet	預言家	anticipation	0.523
prognostic	預後	anticipation	0.523
haste	趕快	anticipation	0.523
planning	規劃	anticipation	0.523
importance	重要性	anticipation	0.523
radiance	輻射	anticipation	0.523
prevail	戰勝	anticipation	0.523
cheery	愉快的	anticipation	0.523
competition	競爭	anticipation	0.523
ultimately	最終	anticipation	0.523
revive	復活	anticipation	0.523
beaming	聚束	anticipation	0.523
wait	等待	anticipation	0.523
child	兒童	anticipation	0.523
notification	通知	anticipation	0.523
hunter	獵人	anticipation	0.523
explosive	爆炸物	anticipation	0.523
endanger	危害	anticipation	0.516
time	時間	anticipation	0.516
recreation	娛樂	anticipation	0.516
renovation	裝修	anticipation	0.516
precious	珍貴	anticipation	0.516
begun	開始	anticipation	0.516
loom	織布機	anticipation	0.516
compensate	補償	anticipation	0.516
treat	對待	anticipation	0.516
uncontrollable	不可控	anticipation	0.516
present	當下	anticipation	0.516
salary	薪水	anticipation	0.516
celebrity	名人	anticipation	0.516
owing	虧欠的	anticipation	0.516
chocolate	巧克力	anticipation	0.516
caution	警告	anticipation	0.516
fermentation	發酵	anticipation	0.516
sensuality	淫蕩	anticipation	0.516
wilderness	荒野	anticipation	0.508
signify	表示	anticipation	0.508
transitional	過渡	anticipation	0.508
intermission	幕間休息	anticipation	0.508
contemplation	沉思	anticipation	0.508
vigilance	警覺	anticipation	0.508
commemoration	紀念活動	anticipation	0.508
practise	實踐	anticipation	0.508
cue	球桿	anticipation	0.508
infant	嬰兒	anticipation	0.508
dreadful	可怕	anticipation	0.508
perfection	完美	anticipation	0.508
elevation	海拔	anticipation	0.508
prerequisite	條件	anticipation	0.508
cultivate	培育	anticipation	0.508
horizon	地平線	anticipation	0.508
develop	發展	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	游泳	anticipation	0.500
attendance	勤	anticipation	0.500
nascent	初期的	anticipation	0.500
favorable	有利	anticipation	0.500
peril	岌	anticipation	0.500
income	收入	anticipation	0.500
ardent	熱心	anticipation	0.500
commemorate	紀念	anticipation	0.500
doomsday	末日	anticipation	0.500
reconciliation	和解	anticipation	0.500
utopian	烏托邦	anticipation	0.500
romantic	浪漫	anticipation	0.500
unbridled	恣意	anticipation	0.500
sunny	晴朗	anticipation	0.500
uphill	上坡	anticipation	0.500
intuitively	直觀地	anticipation	0.500
depart	離開	anticipation	0.500
eventuality	可能性	anticipation	0.500
puppy	小狗	anticipation	0.500
zeal	熱情	anticipation	0.500
sneaking	鬼鬼祟祟	anticipation	0.500
ready	準備	anticipation	0.500
advocacy	擁護	anticipation	0.500
airport	飛機場	anticipation	0.500
litigate	訴訟	anticipation	0.500
blindfold	盲目的	anticipation	0.500
undisclosed	未公開	anticipation	0.500
young	年輕	anticipation	0.500
horoscope	星座	anticipation	0.500
invocation	調用	anticipation	0.500
calculation	計算	anticipation	0.500
hero	英雄	anticipation	0.500
court	法庭	anticipation	0.492
repay	償還	anticipation	0.492
improvise	湊合	anticipation	0.492
parole	言語	anticipation	0.492
worry	擔心	anticipation	0.492
inauguration	就職典禮	anticipation	0.492
gaping	張開	anticipation	0.492
youth	青年	anticipation	0.492
bless	保佑	anticipation	0.492
defense	防禦	anticipation	0.492
heyday	極盛	anticipation	0.492
consequent	結果	anticipation	0.492
proceeding	訴訟	anticipation	0.492
eventual	最終	anticipation	0.492
perspective	透視	anticipation	0.492
restorative	恢復	anticipation	0.492
undertaking	承諾	anticipation	0.492
highest	最高	anticipation	0.491
duel	決鬥	anticipation	0.484
unexplained	原因不明	anticipation	0.484
tremor	震	anticipation	0.484
sharpen	削尖	anticipation	0.484
generosity	慷慨	anticipation	0.484
voluptuous	妖嬈	anticipation	0.484
shortly	不久	anticipation	0.484
vow	發誓	anticipation	0.484
contagion	傳染性	anticipation	0.484
letter	信	anticipation	0.484
happen	發生	anticipation	0.484
threaten	威脅	anticipation	0.484
conjure	變戲法	anticipation	0.484
sparkle	火花	anticipation	0.484
engulf	吞噬	anticipation	0.484
god	神	anticipation	0.484
correspondence	對應	anticipation	0.484
auspicious	吉祥	anticipation	0.484
princely	王侯	anticipation	0.484
adore	崇拜	anticipation	0.477
enroll	註冊	anticipation	0.477
determinate	確定的	anticipation	0.477
predispose	易患	anticipation	0.477
clue	線索	anticipation	0.477
onset	發病	anticipation	0.477
powerful	強大	anticipation	0.477
glorify	榮耀	anticipation	0.477
glow	輝光	anticipation	0.477
arbitration	仲裁	anticipation	0.477
torture	拷打	anticipation	0.477
gravitate	受引力作用	anticipation	0.477
cherish	珍視	anticipation	0.477
contemplate	沉思	anticipation	0.477
submit	提交	anticipation	0.477
perilous	殆	anticipation	0.477
unification	統一	anticipation	0.477
score	得分了	anticipation	0.477
medal	勳章	anticipation	0.477
glide	滑行	anticipation	0.477
recipient	接受者	anticipation	0.477
accompaniment	伴奏	anticipation	0.477
praiseworthy	可貴	anticipation	0.473
providing	提供	anticipation	0.469
motion	運動	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	謹慎	anticipation	0.469
cash	現金	anticipation	0.469
precursor	先導	anticipation	0.469
opera	歌劇	anticipation	0.469
elite	原種	anticipation	0.469
pry	撬	anticipation	0.469
hire	聘請	anticipation	0.469
sweets	甜食	anticipation	0.469
star	星	anticipation	0.469
unsurpassed	卓絕	anticipation	0.469
successful	成功	anticipation	0.469
unknown	未知	anticipation	0.469
immediately	立即	anticipation	0.469
starry	星光燦爛	anticipation	0.469
production	生產	anticipation	0.469
football	足球	anticipation	0.469
completion	完成	anticipation	0.469
scare	嚇	anticipation	0.469
invoke	調用	anticipation	0.469
shaky	搖搖欲墜	anticipation	0.469
dawn	黎明	anticipation	0.469
creeping	爬行	anticipation	0.469
cheerfulness	快樂	anticipation	0.461
soundness	穩健	anticipation	0.461
mail	郵件	anticipation	0.461
draft	草案	anticipation	0.461
preliminary	初步	anticipation	0.461
friendly	友善	anticipation	0.461
commemorative	紀念	anticipation	0.461
extricate	解脫	anticipation	0.461
alive	活	anticipation	0.461
untold	數不清	anticipation	0.461
overture	序曲	anticipation	0.461
excel	高強	anticipation	0.461
plight	困境	anticipation	0.461
synchronize	同步	anticipation	0.461
punt	平底船	anticipation	0.461
sanctuary	避難所	anticipation	0.461
brilliant	輝煌	anticipation	0.461
pay	工資	anticipation	0.461
shining	閃亮的	anticipation	0.461
regatta	帆船賽	anticipation	0.461
testament	遺囑	anticipation	0.461
jeopardy	危險	anticipation	0.461
perpetuity	如履薄冰	anticipation	0.453
elegance	優雅	anticipation	0.453
career	事業	anticipation	0.453
basketball	籃球	anticipation	0.453
intimately	密切	anticipation	0.453
renovate	修復	anticipation	0.453
supremacy	霸權	anticipation	0.453
infinity	無窮	anticipation	0.453
unexpected	意外	anticipation	0.453
flinch	退縮	anticipation	0.453
complement	補充	anticipation	0.453
prologue	序幕	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	預防	anticipation	0.453
improve	提高	anticipation	0.453
sunset	日落	anticipation	0.453
inaugural	就職	anticipation	0.453
rehabilitation	復原	anticipation	0.453
fitting	配件	anticipation	0.445
surround	環繞	anticipation	0.445
share	分享	anticipation	0.445
epidemic	疫情	anticipation	0.445
sweet	甜	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	隱蔽	anticipation	0.445
confidence	置信度	anticipation	0.445
perfect	完善	anticipation	0.445
sun	太陽	anticipation	0.445
veracity	準確性	anticipation	0.445
volunteer	志願者	anticipation	0.445
conjecture	推測	anticipation	0.445
medical	醫	anticipation	0.438
prepared	準備	anticipation	0.438
superstitious	迷信的	anticipation	0.438
reconstruction	重建	anticipation	0.438
tickle	癢癢	anticipation	0.438
faith	信仰	anticipation	0.438
passenger	乘客	anticipation	0.438
saint	聖	anticipation	0.438
respect	尊重	anticipation	0.438
rabid	瘋狂的	anticipation	0.438
reconstruct	重建	anticipation	0.438
recombination	重組	anticipation	0.438
devout	虔誠的	anticipation	0.438
goodness	善良	anticipation	0.438
angel	天使	anticipation	0.438
ferment	發酵	anticipation	0.438
plea	懇求	anticipation	0.438
aloha	阿羅哈	anticipation	0.438
serial	串行	anticipation	0.438
conservation	保護	anticipation	0.438
serenity	寧靜	anticipation	0.430
tabulate	製表	anticipation	0.430
install	安裝	anticipation	0.430
labyrinth	迷宮	anticipation	0.430
venerable	可敬	anticipation	0.430
perpetuate	延續	anticipation	0.430
strategist	戰略家	anticipation	0.430
unverified	未經證實	anticipation	0.430
tribunal	法庭	anticipation	0.430
charitable	慈善	anticipation	0.430
luscious	甜美	anticipation	0.430
spa	溫泉	anticipation	0.430
peace	和平	anticipation	0.430
clap	拍	anticipation	0.430
conspirator	同謀	anticipation	0.422
forestall	壟斷	anticipation	0.422
patience	忍耐	anticipation	0.422
oasis	綠洲	anticipation	0.422
grin	微笑	anticipation	0.422
revere	尊敬	anticipation	0.422
worship	崇拜	anticipation	0.422
vista	遠景	anticipation	0.422
laughter	笑聲	anticipation	0.422
volatility	揮發性	anticipation	0.422
adrift	漂浮	anticipation	0.422
candid	坦率	anticipation	0.422
edification	熏陶	anticipation	0.422
unresolved	未解決	anticipation	0.422
peaceful	平靜的	anticipation	0.422
recognizable	識別	anticipation	0.422
calls	電話	anticipation	0.414
weigh	稱重	anticipation	0.414
probation	緩刑	anticipation	0.414
proficiency	精通	anticipation	0.414
morn	早晨	anticipation	0.414
craps	擲骰子	anticipation	0.414
detainee	被拘留者	anticipation	0.414
mediate	調解	anticipation	0.414
continue	繼續	anticipation	0.414
astrologer	占星家	anticipation	0.414
punctual	準時	anticipation	0.414
ordination	統籌	anticipation	0.414
pretty	漂亮	anticipation	0.414
thought	思想	anticipation	0.414
grant	發放	anticipation	0.414
withstand	經受	anticipation	0.414
frisky	歡躍的	anticipation	0.414
ongoing	不斷的	anticipation	0.414
sing	唱	anticipation	0.411
long	長	anticipation	0.406
confession	自白書	anticipation	0.406
headlight	車燈	anticipation	0.406
prophylactic	預防性	anticipation	0.406
mother	母親	anticipation	0.406
debenture	債券	anticipation	0.406
wizard	巫師	anticipation	0.406
university	大學	anticipation	0.406
proud	驕傲	anticipation	0.406
midwife	助產士	anticipation	0.406
banquet	宴會	anticipation	0.406
continuation	延續	anticipation	0.406
navigable	通航	anticipation	0.406
punished	處罰	anticipation	0.406
chicane	強辯	anticipation	0.406
comfort	安慰	anticipation	0.406
opponent	對手	anticipation	0.406
subscribe	訂閱	anticipation	0.406
outdo	優於	anticipation	0.406
nurture	培育	anticipation	0.406
twinkle	眨眼	anticipation	0.406
deal	合同	anticipation	0.402
efficient	高效	anticipation	0.398
representing	代表	anticipation	0.398
simmer	煨	anticipation	0.398
symphony	交響樂	anticipation	0.398
judiciary	司法	anticipation	0.398
obliging	隨和	anticipation	0.398
saintly	聖潔	anticipation	0.398
vigil	守夜	anticipation	0.398
death	死亡	anticipation	0.398
distracting	分心	anticipation	0.398
mortification	屈辱	anticipation	0.398
balm	香脂	anticipation	0.398
guillotine	斷頭台	anticipation	0.398
top	最佳	anticipation	0.398
lettered	字母	anticipation	0.398
reliance	依賴	anticipation	0.398
poke	戳	anticipation	0.391
unfulfilled	未了	anticipation	0.391
assurance	保證	anticipation	0.391
condemnation	非難	anticipation	0.391
undoubted	無疑的	anticipation	0.391
diplomacy	外交	anticipation	0.391
familiarity	熟悉	anticipation	0.391
antidote	解藥	anticipation	0.391
chuckle	暗笑	anticipation	0.391
objective	目的	anticipation	0.391
maternal	母系	anticipation	0.391
abeyance	暫時保留	anticipation	0.391
art	藝術	anticipation	0.391
linger	縈繞	anticipation	0.391
trust	相信	anticipation	0.391
depraved	墮落	anticipation	0.391
sanctify	聖化	anticipation	0.391
inoculation	接種	anticipation	0.384
chant	唄	anticipation	0.383
banger	香腸	anticipation	0.383
playground	操場	anticipation	0.383
failing	失敗	anticipation	0.383
ship	船	anticipation	0.383
hymn	聖歌	anticipation	0.383
simplify	簡化	anticipation	0.383
ram	內存	anticipation	0.383
labor	勞動	anticipation	0.383
discretion	慎重	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	好	anticipation	0.383
scientist	科學家	anticipation	0.383
undecided	未定	anticipation	0.383
humanitarian	人道主義	anticipation	0.383
depend	依靠	anticipation	0.383
dutiful	忠實的	anticipation	0.383
clock	時鐘	anticipation	0.375
sterling	英鎊	anticipation	0.375
mountain	山	anticipation	0.375
savor	品嚐	anticipation	0.375
recurrent	復發	anticipation	0.375
interim	臨時	anticipation	0.375
navigator	航海家	anticipation	0.375
gradual	緩	anticipation	0.375
interminable	沒完沒了	anticipation	0.375
track	跟踪	anticipation	0.375
public	上市	anticipation	0.375
cradle	搖籃	anticipation	0.375
concealed	暗	anticipation	0.367
lesson	課	anticipation	0.367
instructions	說明	anticipation	0.367
shiver	發抖	anticipation	0.367
musical	音樂	anticipation	0.367
towering	參天	anticipation	0.367
whim	怪念頭	anticipation	0.367
spear	矛	anticipation	0.367
convince	說服	anticipation	0.367
sonar	聲納	anticipation	0.367
abide	遵守	anticipation	0.367
biennial	兩年一次	anticipation	0.367
theology	神學	anticipation	0.359
offset	抵消	anticipation	0.359
atone	贖罪	anticipation	0.359
timidity	膽怯	anticipation	0.359
theory	理論	anticipation	0.359
undying	不朽	anticipation	0.359
plump	豐滿	anticipation	0.359
audience	聽眾	anticipation	0.357
nobility	貴族	anticipation	0.352
paragon	模範	anticipation	0.352
dietary	膳食	anticipation	0.352
closure	關閉	anticipation	0.352
store	商店	anticipation	0.352
localize	本土化	anticipation	0.352
cramp	抽筋	anticipation	0.352
daily	日常	anticipation	0.352
kindred	親屬	anticipation	0.352
farm	農場	anticipation	0.352
edition	版	anticipation	0.352
consecration	奉獻	anticipation	0.352
archaeology	考古學	anticipation	0.344
mobile	移動	anticipation	0.344
errand	使命	anticipation	0.344
wireless	無線	anticipation	0.344
mutable	易變的	anticipation	0.344
meditate	幽思	anticipation	0.344
stripped	剝離	anticipation	0.344
lessen	減少	anticipation	0.336
unaccountable	莫名其妙	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	兄弟的	anticipation	0.336
buddy	夥伴	anticipation	0.336
unbeaten	不敗	anticipation	0.336
germ	病菌	anticipation	0.336
dove	鴿子	anticipation	0.328
digress	離題	anticipation	0.328
ribbon	色帶	anticipation	0.328
olfactory	嗅覺	anticipation	0.328
patient	患者	anticipation	0.328
council	評議會	anticipation	0.328
possess	具有	anticipation	0.328
secular	世俗	anticipation	0.328
chastity	貞潔	anticipation	0.328
disposed	處置	anticipation	0.320
regularity	規律性	anticipation	0.320
mediator	中間人	anticipation	0.320
scrutinize	細察	anticipation	0.320
fancy	幻想	anticipation	0.320
immature	未成熟的	anticipation	0.320
infanticide	女嬰	anticipation	0.320
heft	分量	anticipation	0.320
preservative	防腐劑	anticipation	0.320
paddle	槳	anticipation	0.320
cove	拱	anticipation	0.320
denying	否認	anticipation	0.312
bugle	號角	anticipation	0.312
unpublished	未公佈	anticipation	0.312
analyst	分析人士	anticipation	0.312
grim	嚴峻	anticipation	0.312
church	教會	anticipation	0.312
priesthood	聖職	anticipation	0.305
mill	磨	anticipation	0.305
judicial	司法	anticipation	0.305
broadside	寬邊	anticipation	0.305
tributary	支流	anticipation	0.297
cap	帽	anticipation	0.297
thermocouple	熱電偶	anticipation	0.297
dismay	沮喪	anticipation	0.297
instructor	講師	anticipation	0.297
saliva	唾液	anticipation	0.297
exhaustion	衰竭	anticipation	0.297
bruise	挫傷	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	無家可歸	anticipation	0.289
visor	帽舌	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	網絡	anticipation	0.289
shackle	鐵鍊	anticipation	0.289
addresses	地址	anticipation	0.289
noncompliance	違規	anticipation	0.289
cataract	白內障	anticipation	0.289
skewed	偏斜	anticipation	0.281
astronomer	天文學家	anticipation	0.281
neighbor	鄰居	anticipation	0.281
holiness	聖潔	anticipation	0.273
devil	魔鬼	anticipation	0.273
cream	奶油	anticipation	0.273
picket	糾察	anticipation	0.273
latent	潛	anticipation	0.273
immaturity	未成年	anticipation	0.273
sentence	句子	anticipation	0.273
neighborhood	鄰里	anticipation	0.266
morals	德	anticipation	0.266
lull	麻痺	anticipation	0.266
habitual	慣常的	anticipation	0.266
weight	重量	anticipation	0.258
bye	再見	anticipation	0.258
forearm	前臂	anticipation	0.250
clown	小丑	anticipation	0.250
organ	器官	anticipation	0.250
quote	引用	anticipation	0.242
commonplace	平凡	anticipation	0.242
dictatorship	專政	anticipation	0.234
board	板	anticipation	0.234
white	白色	anticipation	0.234
treadmill	跑步機	anticipation	0.234
rail	軌	anticipation	0.234
sundial	晷	anticipation	0.227
tree	樹	anticipation	0.227
paralysis	麻痺	anticipation	0.211
worm	蟲	anticipation	0.203
organization	組織	anticipation	0.203
cement	水泥	anticipation	0.203
lagging	滯後	anticipation	0.180
neutral	中性	anticipation	0.148
cannibalism	自相殘殺	disgust	0.953
mutilation	斷肢	disgust	0.930
molestation	性騷擾	disgust	0.914
incest	亂倫	disgust	0.914
gonorrhea	淋病	disgust	0.906
rape	強姦	disgust	0.906
cannibal	食人族	disgust	0.898
rot	腐爛	disgust	0.891
corpse	屍體	disgust	0.883
massacre	屠殺	disgust	0.883
excrement	糞便	disgust	0.883
slaughter	屠宰	disgust	0.875
barf	BARF	disgust	0.875
slaughterhouse	屠宰場	disgust	0.867
rancid	餿	disgust	0.859
sewerage	下水道	disgust	0.859
incestuous	亂倫的	disgust	0.859
filth	污垢	disgust	0.859
bigot	獨斷論者	disgust	0.859
infestation	為患	disgust	0.852
plague	鼠疫	disgust	0.852
bloodthirsty	嗜血	disgust	0.852
holocaust	大屠殺	disgust	0.852
rotting	腐爛	disgust	0.844
maggot	蛆	disgust	0.844
feces	屎	disgust	0.844
fecal	糞便	disgust	0.844
murder	謀殺	disgust	0.839
infanticide	女嬰	disgust	0.836
homicide	殺人	disgust	0.836
asshole	混蛋	disgust	0.836
enslaved	奴役	disgust	0.836
gore	血塊	disgust	0.828
perverted	變態	disgust	0.828
torture	拷打	disgust	0.828
slaughtering	屠宰	disgust	0.828
excretion	排泄	disgust	0.828
contaminate	污染	disgust	0.821
murderer	兇手	disgust	0.820
gory	血腥	disgust	0.820
repugnant	令人厭惡	disgust	0.820
desecration	褻瀆	disgust	0.820
grotesque	奇怪的	disgust	0.820
revolting	令人作嘔	disgust	0.820
diarrhoea	腹瀉	disgust	0.820
manure	肥料	disgust	0.820
terrorist	恐怖分子	disgust	0.820
shit	拉屎	disgust	0.820
pervert	反常	disgust	0.820
slavery	奴隸制度	disgust	0.812
faeces	大便	disgust	0.812
sewer	下水道	disgust	0.812
vomit	嘔吐	disgust	0.812
manslaughter	誤殺	disgust	0.812
dismemberment	支解	disgust	0.812
cadaver	屍體	disgust	0.812
hemorrhage	出血	disgust	0.805
repulsive	醜惡	disgust	0.805
perverse	悖	disgust	0.805
filthy	污穢	disgust	0.797
sewage	污水	disgust	0.797
depravity	腐敗	disgust	0.797
diseased	病態的	disgust	0.797
carcass	胴體	disgust	0.795
decompose	分解	disgust	0.789
vermin	害蟲	disgust	0.789
puke	嘔吐	disgust	0.789
parasite	寄生物	disgust	0.789
horrific	可怕的	disgust	0.789
gruesome	陰森	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	肢解	disgust	0.789
murderous	殺	disgust	0.789
decayed	腐	disgust	0.789
herpes	泡疹	disgust	0.789
slime	粘液	disgust	0.781
flatulence	脹氣	disgust	0.781
monstrosity	怪物	disgust	0.781
carnage	大屠殺	disgust	0.781
pestilence	瘟疫	disgust	0.781
malaria	瘧疾	disgust	0.781
crap	擲骰子	disgust	0.781
toxic	有毒的	disgust	0.773
loathsome	討厭的	disgust	0.773
insidious	陰險	disgust	0.773
leprosy	麻風	disgust	0.773
morgue	停屍房	disgust	0.773
pus	膿	disgust	0.773
herpesvirus	皰疹病毒	disgust	0.773
whore	妓女	disgust	0.766
cruel	殘忍	disgust	0.766
repugnance	反感	disgust	0.766
revulsion	厭惡	disgust	0.766
xenophobia	排外主義	disgust	0.766
regurgitation	關閉不全	disgust	0.766
anthrax	炭疽病	disgust	0.766
lynch	林奇	disgust	0.766
dissection	解剖	disgust	0.759
canker	潰瘍	disgust	0.758
cruelty	殘酷	disgust	0.758
perversion	變態	disgust	0.758
evil	邪惡	disgust	0.758
slum	貧民窟	disgust	0.758
infectious	傳染病	disgust	0.758
mucous	粘膜	disgust	0.758
phlegm	痰	disgust	0.758
leeches	水蛭	disgust	0.750
decomposition	分解	disgust	0.750
sinister	險惡	disgust	0.750
corrupting	腐敗	disgust	0.750
demon	惡魔	disgust	0.742
stinking	臭	disgust	0.742
septic	化糞池	disgust	0.742
deranged	發瘋	disgust	0.742
bile	膽汁	disgust	0.742
soiled	臟	disgust	0.742
mucus	粘液	disgust	0.742
abhorrence	深惡痛絕	disgust	0.742
abomination	厭惡	disgust	0.742
sickening	令人作嘔	disgust	0.742
demonic	惡魔的	disgust	0.742
foul	犯規	disgust	0.734
obese	肥胖	disgust	0.734
sicken	厭恨	disgust	0.734
degeneracy	簡	disgust	0.734
crucifixion	受難	disgust	0.734
despicable	卑鄙	disgust	0.734
cancer	癌症	disgust	0.734
atrocity	暴行	disgust	0.734
terrorism	恐怖主義	disgust	0.734
dirty	臟	disgust	0.727
dysentery	痢	disgust	0.727
adultery	通姦	disgust	0.727
contamination	污染	disgust	0.727
bacterium	細菌	disgust	0.727
diabolical	毒辣	disgust	0.727
morbidity	發病率	disgust	0.727
grisly	嚇人的	disgust	0.727
repulsion	推斥	disgust	0.727
enema	灌腸劑	disgust	0.727
contagion	傳染性	disgust	0.719
disfigured	毀容	disgust	0.719
muck	糞肥	disgust	0.719
lewd	猥褻	disgust	0.719
garbage	垃圾	disgust	0.719
autopsy	屍檢	disgust	0.719
bowels	腸子	disgust	0.719
gross	毛	disgust	0.719
vulgar	庸俗	disgust	0.719
barbaric	野蠻	disgust	0.719
disgust	厭惡	disgust	0.719
vicious	惡毒	disgust	0.719
entrails	腑臟	disgust	0.719
deterioration	惡化	disgust	0.719
