word	Kannada-kn	emotion	emotion-intensity-score
venerable	ಪೂಜ್ಯ	anticipation	0.430
perpetuate	ಶಾಶ್ವತವಾಗಿಸುವ	anticipation	0.430
strategist	ತಂತ್ರಜ್ಞ	anticipation	0.430
unverified	ಪರಿಶೀಲಿಸದ	anticipation	0.430
tribunal	ಟ್ರಿಬ್ಯೂನಲ್	anticipation	0.430
charitable	ದತ್ತಿ	anticipation	0.430
luscious	ಸುವಾಸನೆ	anticipation	0.430
spa	ಸ್ಪಾ	anticipation	0.430
peace	ಶಾಂತಿ	anticipation	0.430
clap	ಚಪ್ಪಾಳೆ	anticipation	0.430
conspirator	ಸಂಚುಗಾರ	anticipation	0.422
forestall	ಅರಣ್ಯ	anticipation	0.422
patience	ತಾಳ್ಮೆ	anticipation	0.422
oasis	ಓಯಸಿಸ್	anticipation	0.422
grin	ಗ್ರಿನ್	anticipation	0.422
revere	ಪೂಜಿಸು	anticipation	0.422
worship	ಪೂಜೆ	anticipation	0.422
vista	ವಿಸ್ಟಾ	anticipation	0.422
laughter	ನಗು	anticipation	0.422
volatility	ಚಂಚಲತೆ	anticipation	0.422
adrift	ಅಲೆಯುವ	anticipation	0.422
candid	ಸೀದಾ	anticipation	0.422
edification	ಎಡಿಫಿಕೇಶನ್	anticipation	0.422
unresolved	ಬಗೆಹರಿಸಲಾಗಲಿಲ್ಲ	anticipation	0.422
peaceful	ಶಾಂತಿಯುತ	anticipation	0.422
recognizable	ಗುರುತಿಸಬಹುದಾದ	anticipation	0.422
calls	ಕರೆಗಳು	anticipation	0.414
weigh	ತೂಕ	anticipation	0.414
probation	ಪರೀಕ್ಷಣೆ	anticipation	0.414
proficiency	ಕುಶಲತೆ	anticipation	0.414
morn	ಮುಂಜಾನೆ	anticipation	0.414
craps	ಕ್ರಾಪ್ಗಳು	anticipation	0.414
detainee	ಬಂಧಿತರು	anticipation	0.414
mediate	ಮಧ್ಯಸ್ಥಿಕೆ	anticipation	0.414
continue	ಮುಂದುವರೆಯಿರಿ	anticipation	0.414
astrologer	ಜ್ಯೋತಿಷಿ	anticipation	0.414
punctual	ಸಮಯ	anticipation	0.414
ordination	ನಿಯೋಜನೆ	anticipation	0.414
pretty	ಸುಂದರ	anticipation	0.414
thought	ಭಾವಿಸಲಾಗಿದೆ	anticipation	0.414
grant	ನೀಡಿ	anticipation	0.414
withstand	ತಡೆದುಕೊಳ್ಳುವ	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	ನಡೆಯುತ್ತಿದೆ	anticipation	0.414
sing	ಹಾಡಿ	anticipation	0.411
long	ಉದ್ದವಾಗಿದೆ	anticipation	0.406
confession	ತಪ್ಪೊಪ್ಪಿಗೆ	anticipation	0.406
headlight	ಹೆಡ್ಲೈಟ್	anticipation	0.406
prophylactic	ರೋಗನಿರೋಧಕ	anticipation	0.406
mother	ತಾಯಿ	anticipation	0.406
debenture	ಸಾಲಪತ್ರ	anticipation	0.406
wizard	ಮಾಂತ್ರಿಕ	anticipation	0.406
university	ವಿಶ್ವವಿದ್ಯಾಲಯ	anticipation	0.406
proud	ಹೆಮ್ಮೆ	anticipation	0.406
midwife	ಸೂಲಗಿತ್ತಿ	anticipation	0.406
banquet	ಔತಣಕೂಟ	anticipation	0.406
continuation	ಮುಂದುವರಿಕೆ	anticipation	0.406
navigable	ಸಂಚರಿಸಬಹುದಾದ	anticipation	0.406
punished	ಶಿಕ್ಷೆ	anticipation	0.406
chicane	ಚಿಕೇನ್	anticipation	0.406
comfort	ಸೌಕರ್ಯ	anticipation	0.406
opponent	ಎದುರಾಳಿ	anticipation	0.406
subscribe	ಚಂದಾದಾರರಾಗಿ	anticipation	0.406
outdo	ಹೊರಹಾಕಲು	anticipation	0.406
nurture	ಆರೈಕೆ	anticipation	0.406
twinkle	ಟ್ವಿಂಕಲ್	anticipation	0.406
deal	ಒಪ್ಪಂದ	anticipation	0.402
efficient	ದಕ್ಷ	anticipation	0.398
representing	ಪ್ರತಿನಿಧಿಸುತ್ತದೆ	anticipation	0.398
simmer	ತಳಮಳಿಸುತ್ತಿರು	anticipation	0.398
symphony	ಸ್ವರಮೇಳ	anticipation	0.398
judiciary	ನ್ಯಾಯಾಂಗ	anticipation	0.398
obliging	ಕಡ್ಡಾಯ	anticipation	0.398
saintly	ಸಂತಸ	anticipation	0.398
vigil	ಜಾಗರಣೆ	anticipation	0.398
death	ಸಾವು	anticipation	0.398
distracting	ಅಡ್ಡಿಯಾಗುತ್ತದೆ	anticipation	0.398
mortification	ಮರಣದಂಡನೆ	anticipation	0.398
balm	ಮುಲಾಮು	anticipation	0.398
guillotine	ಗಿಲ್ಲೊಟಿನ್	anticipation	0.398
top	ಅಗ್ರ	anticipation	0.398
lettered	ಲೆಟರ್ಡ್	anticipation	0.398
reliance	ಅವಲಂಬನೆ	anticipation	0.398
poke	ಇರಿ	anticipation	0.391
unfulfilled	ಅತೃಪ್ತ	anticipation	0.391
assurance	ಭರವಸೆ	anticipation	0.391
condemnation	ಖಂಡನೆ	anticipation	0.391
undoubted	ನಿಸ್ಸಂದೇಹವಾಗಿ	anticipation	0.391
diplomacy	ರಾಜತಂತ್ರ	anticipation	0.391
familiarity	ನಿಕಟತೆ	anticipation	0.391
antidote	ಪ್ರತಿವಿಷ	anticipation	0.391
chuckle	ಚಕಲ್	anticipation	0.391
objective	ಉದ್ದೇಶ	anticipation	0.391
maternal	ತಾಯಿಯ	anticipation	0.391
abeyance	ಅಮಾನತ್ತು	anticipation	0.391
art	ಕಲೆ	anticipation	0.391
linger	ಕಾಲಹರಣ ಮಾಡು	anticipation	0.391
trust	ನಂಬಿಕೆ	anticipation	0.391
depraved	ನಿರಾಕರಿಸಲಾಗಿದೆ	anticipation	0.391
sanctify	ಪವಿತ್ರಗೊಳಿಸು	anticipation	0.391
inoculation	ಇನಾಕ್ಯುಲೇಷನ್	anticipation	0.384
chant	ಪಠಣ	anticipation	0.383
banger	ಬ್ಯಾಂಗರ್	anticipation	0.383
playground	ಆಟದ ಮೈದಾನ	anticipation	0.383
failing	ವಿಫಲವಾಗಿದೆ	anticipation	0.383
ship	ಹಡಗು	anticipation	0.383
hymn	ಸ್ತುತಿಗೀತೆ	anticipation	0.383
simplify	ಸರಳಗೊಳಿಸುವ	anticipation	0.383
ram	ರಾಮ್	anticipation	0.383
labor	ಕಾರ್ಮಿಕ	anticipation	0.383
discretion	ವಿವೇಚನೆ	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	ಒಳ್ಳೆಯದು	anticipation	0.383
scientist	ವಿಜ್ಞಾನಿ	anticipation	0.383
undecided	ತೀರ್ಮಾನವಾಗಿಲ್ಲ	anticipation	0.383
humanitarian	ಮಾನವೀಯ	anticipation	0.383
depend	ಅವಲಂಬಿಸಿರುತ್ತದೆ	anticipation	0.383
dutiful	ಕರ್ತವ್ಯ	anticipation	0.383
clock	ಗಡಿಯಾರ	anticipation	0.375
sterling	ಸ್ಟರ್ಲಿಂಗ್	anticipation	0.375
mountain	ಪರ್ವತ	anticipation	0.375
savor	ಆಸ್ವಾದಿಸು	anticipation	0.375
recurrent	ಮರುಕಳಿಸುವ	anticipation	0.375
interim	ಮಧ್ಯಂತರ	anticipation	0.375
navigator	ನ್ಯಾವಿಗೇಟರ್	anticipation	0.375
gradual	ಕ್ರಮೇಣ	anticipation	0.375
interminable	ಮಧ್ಯಂತರ	anticipation	0.375
track	ಟ್ರ್ಯಾಕ್	anticipation	0.375
public	ಸಾರ್ವಜನಿಕ	anticipation	0.375
cradle	ತೊಟ್ಟಿಲು	anticipation	0.375
concealed	ಮರೆಮಾಡಲಾಗಿದೆ	anticipation	0.367
lesson	ಪಾಠ	anticipation	0.367
instructions	ಸೂಚನೆಗಳು	anticipation	0.367
shiver	ನಡುಗಿಸು	anticipation	0.367
musical	ಸಂಗೀತ	anticipation	0.367
towering	ಎತ್ತರದ	anticipation	0.367
whim	ಹುಚ್ಚಾಟಿಕೆ	anticipation	0.367
spear	ಈಟಿ	anticipation	0.367
convince	ಮನವೊಲಿಸು	anticipation	0.367
sonar	ಸೋನಾರ್	anticipation	0.367
abide	ಬದ್ಧವಾಗಿರಲು	anticipation	0.367
biennial	ದ್ವೈವಾರ್ಷಿಕ	anticipation	0.367
theology	ದೇವತಾಶಾಸ್ತ್ರ	anticipation	0.359
offset	ಆಫ್ಸೆಟ್	anticipation	0.359
atone	ಮುಗಿಸು	anticipation	0.359
timidity	ಅಂಜುಬುರುಕವಾಗಿರುತ್ತದೆ	anticipation	0.359
theory	ಸಿದ್ಧಾಂತ	anticipation	0.359
undying	ಅಂತ್ಯವಿಲ್ಲದ	anticipation	0.359
plump	ಕೊಬ್ಬಿದ	anticipation	0.359
audience	ಪ್ರೇಕ್ಷಕರು	anticipation	0.357
nobility	ಉದಾತ್ತತೆ	anticipation	0.352
paragon	ಪ್ಯಾರಾಗಾನ್	anticipation	0.352
dietary	ಆಹಾರಕ್ರಮ	anticipation	0.352
closure	ಮುಚ್ಚಿದ	anticipation	0.352
store	ಅಂಗಡಿ	anticipation	0.352
localize	ಸ್ಥಳೀಯಗೊಳಿಸು	anticipation	0.352
cramp	ಸೆಡೆತ	anticipation	0.352
daily	ದೈನಂದಿನ	anticipation	0.352
kindred	ದಯೆಯಿಂದ	anticipation	0.352
farm	ಕೃಷಿ	anticipation	0.352
edition	ಆವೃತ್ತಿ	anticipation	0.352
consecration	ಪ್ರತಿಷ್ಠೆ	anticipation	0.352
archaeology	ಪುರಾತತ್ತ್ವ ಶಾಸ್ತ್ರ	anticipation	0.344
mobile	ಮೊಬೈಲ್	anticipation	0.344
errand	ತಪ್ಪುಮಾಡು	anticipation	0.344
wireless	ನಿಸ್ತಂತು	anticipation	0.344
mutable	ಬದಲಾಯಿಸಬಹುದು	anticipation	0.344
meditate	ಧ್ಯಾನ	anticipation	0.344
stripped	ಹೊರತೆಗೆಯಲಾದ	anticipation	0.344
lessen	ಕಡಿಮೆಗೊಳಿಸು	anticipation	0.336
unaccountable	ಊಹಿಸಲಾಗದ	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	ಸಹೋದರ	anticipation	0.336
buddy	ಸ್ನೇಹಿತ	anticipation	0.336
unbeaten	ಅಜೇಯ	anticipation	0.336
germ	ಸೂಕ್ಷ್ಮಾಣು	anticipation	0.336
dove	ಪಾರಿವಾಳ	anticipation	0.328
digress	ಅಗೆಯುವುದು	anticipation	0.328
ribbon	ರಿಬ್ಬನ್	anticipation	0.328
olfactory	ಘನವಸ್ತು	anticipation	0.328
patient	ರೋಗಿಯ	anticipation	0.328
council	ಕೌನ್ಸಿಲ್	anticipation	0.328
possess	ಹೊಂದಿವೆ	anticipation	0.328
secular	ಜಾತ್ಯತೀತ	anticipation	0.328
chastity	ಪವಿತ್ರತೆ	anticipation	0.328
disposed	ವಿಲೇವಾರಿ	anticipation	0.320
regularity	ಕ್ರಮಬದ್ಧತೆ	anticipation	0.320
mediator	ಮಧ್ಯವರ್ತಿ	anticipation	0.320
scrutinize	ಪರೀಕ್ಷಿಸು	anticipation	0.320
fancy	ಅಲಂಕಾರಿಕ	anticipation	0.320
immature	ಅಪಕ್ವವಾದ	anticipation	0.320
infanticide	ಶಿಶುಹತ್ಯೆ	anticipation	0.320
heft	ಹೀಫ್	anticipation	0.320
preservative	ಸಂರಕ್ಷಕ	anticipation	0.320
paddle	ಹುಟ್ಟು	anticipation	0.320
cove	ಕೋವ್	anticipation	0.320
denying	ನಿರಾಕರಿಸುವುದು	anticipation	0.312
bugle	ಬಾಗಲ್	anticipation	0.312
unpublished	ಅಪ್ರಕಟಿತ	anticipation	0.312
analyst	ವಿಶ್ಲೇಷಕ	anticipation	0.312
grim	ಕಠೋರ	anticipation	0.312
church	ಚರ್ಚ್	anticipation	0.312
priesthood	ಪುರೋಹಿತರು	anticipation	0.305
mill	ಗಿರಣಿ	anticipation	0.305
judicial	ನ್ಯಾಯಾಂಗ	anticipation	0.305
broadside	ವಿಶಾಲ ಪ್ರದೇಶ	anticipation	0.305
tributary	ಉಪನದಿ	anticipation	0.297
cap	ಕ್ಯಾಪ್	anticipation	0.297
thermocouple	ಉಷ್ಣಯುಗ್ಮ	anticipation	0.297
dismay	ನಿರಾಶೆ	anticipation	0.297
instructor	ಬೋಧಕ	anticipation	0.297
saliva	ಲಾಲಾರಸ	anticipation	0.297
exhaustion	ಬಳಲಿಕೆ	anticipation	0.297
bruise	ಗುಳ್ಳೆ	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	ನಿರಾಶ್ರಿತರು	anticipation	0.289
visor	ಮುಖವಾಡ	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	ನೆಟ್ವರ್ಕ್	anticipation	0.289
shackle	ಸಂಕೋಲೆ	anticipation	0.289
addresses	ವಿಳಾಸಗಳು	anticipation	0.289
noncompliance	ಅನುವರ್ತನೆ	anticipation	0.289
cataract	ಕಣ್ಣಿನ ಪೊರೆ	anticipation	0.289
skewed	ತಿರುಗಿದ	anticipation	0.281
astronomer	ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ	anticipation	0.281
neighbor	ನೆರೆಯವರು	anticipation	0.281
holiness	ಪವಿತ್ರತೆ	anticipation	0.273
devil	ದೆವ್ವ	anticipation	0.273
cream	ಕೆನೆ	anticipation	0.273
picket	ಪಿಕೆಟ್	anticipation	0.273
latent	ಸುಪ್ತ	anticipation	0.273
immaturity	ಅಪಕ್ವತೆ	anticipation	0.273
sentence	ವಾಕ್ಯ	anticipation	0.273
neighborhood	ನೆರೆಹೊರೆ	anticipation	0.266
morals	ನೀತಿಗಳು	anticipation	0.266
lull	ವಿರಾಮ	anticipation	0.266
habitual	ದಿನಂಪ್ರತಿ	anticipation	0.266
weight	ತೂಕ	anticipation	0.258
bye	ಬೈ	anticipation	0.258
forearm	ಮುಂದೋಳು	anticipation	0.250
clown	ಹಾಸ್ಯಗಾರ	anticipation	0.250
organ	ಅಂಗ	anticipation	0.250
quote	ಉಲ್ಲೇಖ	anticipation	0.242
commonplace	ಸಾಮಾನ್ಯ	anticipation	0.242
dictatorship	ಸರ್ವಾಧಿಕಾರ	anticipation	0.234
board	ಬೋರ್ಡ್	anticipation	0.234
white	ಬಿಳಿ	anticipation	0.234
treadmill	ಟ್ರೆಡ್ ಮಿಲ್	anticipation	0.234
rail	ರೈಲು	anticipation	0.234
sundial	ಸನ್ಡಿಯಲ್	anticipation	0.227
tree	ಮರ	anticipation	0.227
paralysis	ಪಾರ್ಶ್ವವಾಯು	anticipation	0.211
worm	ಹುಳು	anticipation	0.203
organization	ಸಂಘಟನೆ	anticipation	0.203
cement	ಸಿಮೆಂಟ್	anticipation	0.203
lagging	ಮಂದಗತಿ	anticipation	0.180
neutral	ತಟಸ್ಥ	anticipation	0.148
cannibalism	ನರಭಕ್ಷಕತೆ	disgust	0.953
mutilation	ಊನಗೊಳಿಸುವಿಕೆ	disgust	0.930
molestation	ಹಿಂಸೆಯ	disgust	0.914
incest	ಸಂಭೋಗ	disgust	0.914
gonorrhea	ಗೊನೊರಿಯಾ	disgust	0.906
rape	ಅತ್ಯಾಚಾರ	disgust	0.906
cannibal	ನರಭಕ್ಷಕ	disgust	0.898
rot	ಕೊಳೆತ	disgust	0.891
corpse	ಶವವನ್ನು	disgust	0.883
massacre	ಹತ್ಯಾಕಾಂಡ	disgust	0.883
excrement	ವಿಸರ್ಜನೆ	disgust	0.883
slaughter	ವಧೆ	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	ಕಸಾಯಿಖಾನೆ	disgust	0.867
rancid	ಕವಲುಮೂಳೆ	disgust	0.859
sewerage	ಒಳಚರಂಡಿ	disgust	0.859
incestuous	ಸಂಭೋಗದ	disgust	0.859
filth	ಕೊಳೆತ	disgust	0.859
bigot	ದೊಡ್ಡ ವ್ಯಕ್ತಿ	disgust	0.859
infestation	ಮುತ್ತಿಕೊಳ್ಳುವಿಕೆ	disgust	0.852
plague	ಪ್ಲೇಗ್	disgust	0.852
bloodthirsty	ರಕ್ತಪಿಪಾಸು	disgust	0.852
holocaust	ಹತ್ಯಾಕಾಂಡ	disgust	0.852
rotting	ಕೊಳೆತ	disgust	0.844
maggot	ಮ್ಯಾಗಟ್	disgust	0.844
feces	ಮಲ	disgust	0.844
fecal	ಫೆಕಲ್	disgust	0.844
murder	ಕೊಲೆ	disgust	0.839
infanticide	ಶಿಶುಹತ್ಯೆ	disgust	0.836
homicide	ನರಹತ್ಯೆ	disgust	0.836
asshole	ಅಸ್ಹೋಲ್	disgust	0.836
enslaved	ಗುಲಾಮಗಿರಿ	disgust	0.836
gore	ಗೋರ್	disgust	0.828
perverted	ವ್ಯತಿರಿಕ್ತವಾಗಿದೆ	disgust	0.828
torture	ಚಿತ್ರಹಿಂಸೆ	disgust	0.828
slaughtering	ಹತ್ಯೆ	disgust	0.828
excretion	ವಿಸರ್ಜನೆ	disgust	0.828
contaminate	ಕಲುಷಿತಗೊಳಿಸು	disgust	0.821
murderer	ಕೊಲೆಗಾರ	disgust	0.820
gory	ರಕ್ತಸಿಕ್ತ	disgust	0.820
repugnant	ಅಸಭ್ಯ	disgust	0.820
desecration	ಅಪವಿತ್ರತೆ	disgust	0.820
grotesque	ವಿಕೃತ	disgust	0.820
revolting	ದಂಗೆ	disgust	0.820
diarrhoea	ಅತಿಸಾರ	disgust	0.820
manure	ಗೊಬ್ಬರ	disgust	0.820
terrorist	ಭಯೋತ್ಪಾದಕ	disgust	0.820
shit	ಶಿಟ್	disgust	0.820
pervert	ವಿರೂಪಗೊಳಿಸು	disgust	0.820
slavery	ಗುಲಾಮಗಿರಿ	disgust	0.812
faeces	ಮಳೆಯು	disgust	0.812
sewer	ಒಳಚರಂಡಿ	disgust	0.812
vomit	ವಾಂತಿ	disgust	0.812
manslaughter	ನರಹತ್ಯೆ	disgust	0.812
dismemberment	ವಿಭಜನೆ	disgust	0.812
cadaver	ಶವದವನು	disgust	0.812
hemorrhage	ಹೆಮರೇಜ್	disgust	0.805
repulsive	ವಿಕರ್ಷಣ	disgust	0.805
perverse	ವ್ಯತಿರಿಕ್ತವಾಗಿದೆ	disgust	0.805
filthy	ಕೊಳೆತ	disgust	0.797
sewage	ಚರಂಡಿ	disgust	0.797
depravity	ಅಪ್ರಾಮಾಣಿಕತೆ	disgust	0.797
diseased	ರೋಗಪೀಡಿತ	disgust	0.797
carcass	ಮೃತ ದೇಹ	disgust	0.795
decompose	ವಿಭಜನೆ	disgust	0.789
vermin	ಕ್ರಿಮಿಕೀಟ	disgust	0.789
puke	ಕಳ್ಳ	disgust	0.789
parasite	ಪರಾವಲಂಬಿ	disgust	0.789
horrific	ಭಯಾನಕ	disgust	0.789
gruesome	ಭಯಂಕರ	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	ವ್ಯತಿರಿಕ್ತವಾಗಿದೆ	disgust	0.789
murderous	ಕೊಲೆಗಾರ	disgust	0.789
decayed	ಕೊಳೆತ	disgust	0.789
herpes	ಹರ್ಪಿಸ್	disgust	0.789
slime	ಲೋಳೆ	disgust	0.781
flatulence	ವಾಯುಗುಣ	disgust	0.781
monstrosity	ಮಾಂಸಾಹಾರಿ	disgust	0.781
carnage	ಕಗ್ಗೊಲೆ	disgust	0.781
pestilence	ಜಾಡ್ಯ	disgust	0.781
malaria	ಮಲೇರಿಯಾ	disgust	0.781
crap	ಅಮೇಧ್ಯ	disgust	0.781
toxic	ವಿಷಕಾರಿ	disgust	0.773
loathsome	ಅಸಹ್ಯ	disgust	0.773
insidious	ಕಪಟ	disgust	0.773
leprosy	ಕುಷ್ಠರೋಗ	disgust	0.773
morgue	ಮಾರ್ಗ್	disgust	0.773
pus	ಕೀವು	disgust	0.773
herpesvirus	ಹರ್ಪಿಸ್ ವೈರಸ್	disgust	0.773
whore	ಸೂಳೆ	disgust	0.766
cruel	ಕ್ರೂರ	disgust	0.766
repugnance	ಅಸಮಾಧಾನ	disgust	0.766
revulsion	ದೌರ್ಜನ್ಯ	disgust	0.766
xenophobia	ಕ್ಸೆನೋಫೋಬಿಯಾ	disgust	0.766
regurgitation	ಪುನರುಜ್ಜೀವನ	disgust	0.766
anthrax	ಆಂಥ್ರಾಕ್ಸ್	disgust	0.766
lynch	ಲಿಂಚ್	disgust	0.766
dissection	ಛೇದನ	disgust	0.759
canker	ಕಂಕರ್	disgust	0.758
cruelty	ಕ್ರೌರ್ಯ	disgust	0.758
perversion	ವಿಪರ್ಯಾಸ	disgust	0.758
evil	ದುಷ್ಟ	disgust	0.758
slum	ಕೊಳೆಗೇರಿ	disgust	0.758
infectious	ಸಾಂಕ್ರಾಮಿಕ	disgust	0.758
mucous	ಲೋಳೆ	disgust	0.758
phlegm	ಮೆದುಳು	disgust	0.758
leeches	ಎಲೆಗಳು	disgust	0.750
decomposition	ವಿಭಜನೆ	disgust	0.750
sinister	ಕೆಟ್ಟದಾಗಿ	disgust	0.750
corrupting	ಭ್ರಷ್ಟಾಚಾರ	disgust	0.750
demon	ರಾಕ್ಷಸ	disgust	0.742
stinking	ಕೊಳೆತ	disgust	0.742
septic	ಸೆಪ್ಟಿಕ್	disgust	0.742
deranged	ಅವ್ಯವಸ್ಥಿತ	disgust	0.742
bile	ಪಿತ್ತರಸ	disgust	0.742
soiled	ಮಣ್ಣಾದ	disgust	0.742
mucus	ಲೋಳೆ	disgust	0.742
abhorrence	ಅಸಹ್ಯ	disgust	0.742
abomination	ಅಬೊಮಿನೇಷನ್	disgust	0.742
sickening	ದುಃಖಕರ	disgust	0.742
demonic	ರಾಕ್ಷಸ	disgust	0.742
foul	ಫೌಲ್	disgust	0.734
obese	ಬೊಜ್ಜು	disgust	0.734
sicken	ದುಃಖದಿಂದ	disgust	0.734
degeneracy	ಕ್ಷೀಣತೆ	disgust	0.734
crucifixion	ಶಿಲುಬೆಗೇರಿಸುವಿಕೆ	disgust	0.734
despicable	ತುಚ್ಛ	disgust	0.734
cancer	ಕ್ಯಾನ್ಸರ್	disgust	0.734
atrocity	ದೌರ್ಜನ್ಯ	disgust	0.734
terrorism	ಭಯೋತ್ಪಾದನೆ	disgust	0.734
dirty	ಕೊಳಕು	disgust	0.727
dysentery	ಭೇದಿ	disgust	0.727
adultery	ವ್ಯಭಿಚಾರ	disgust	0.727
contamination	ಮಾಲಿನ್ಯ	disgust	0.727
bacterium	ಬ್ಯಾಕ್ಟೀರಿಯಾ	disgust	0.727
diabolical	diabolical	disgust	0.727
morbidity	ಅಸ್ವಸ್ಥತೆ	disgust	0.727
grisly	ಭಯಂಕರವಾಗಿ	disgust	0.727
repulsion	ವಿಕರ್ಷಣ	disgust	0.727
enema	ಎನಿಮಾ	disgust	0.727
contagion	ಸೋಂಕು	disgust	0.719
disfigured	ವಿಕಾರಗೊಳಿಸಿದ	disgust	0.719
muck	ಹೆಂಗಸು	disgust	0.719
lewd	ಸುಳ್ಳು	disgust	0.719
garbage	ಕಸ	disgust	0.719
autopsy	ಶವಪರೀಕ್ಷೆ	disgust	0.719
bowels	ಕರುಳುಗಳು	disgust	0.719
gross	ಒಟ್ಟು	disgust	0.719
vulgar	ಅಸಭ್ಯ	disgust	0.719
barbaric	ಅನಾಗರಿಕ	disgust	0.719
disgust	ಅಸಹ್ಯ	disgust	0.719
vicious	ಕೆಟ್ಟ	disgust	0.719
entrails	ಅಂಚುಗಳು	disgust	0.719
deterioration	ಹಾಳಾದ	disgust	0.719
pungent	ಕಟುವಾದ	disgust	0.719
bloodshed	ರಕ್ತಪಾತ	disgust	0.714
violent	ಹಿಂಸಾತ್ಮಕ	disgust	0.711
tyrant	ಕ್ರೂರ	disgust	0.711
poisoned	ವಿಷ	disgust	0.711
pollute	ಮಾಲಿನ್ಯ	disgust	0.711
wretched	ದುಃಖದಿಂದ	disgust	0.711
nausea	ವಾಕರಿಕೆ	disgust	0.711
mortification	ಮರಣದಂಡನೆ	disgust	0.711
gag	ತಮಾಷೆ	disgust	0.711
vulgarity	ಅಶ್ಲೀಲತೆ	disgust	0.703
disgusting	ಅಸಹ್ಯಕರ	disgust	0.703
grope	ಹಗ್ಗ	disgust	0.703
slut	ಸೂಳೆ	disgust	0.703
poisoning	ವಿಷ	disgust	0.703
depraved	ನಿರಾಕರಿಸಲಾಗಿದೆ	disgust	0.703
noxious	ಅನಾರೋಗ್ಯಕರ	disgust	0.703
porn	ಅಶ್ಲೀಲತೆ	disgust	0.703
nasty	ಅಸಹ್ಯ	disgust	0.703
slimy	ಸ್ಲಿಮಿ	disgust	0.703
despotism	ಡೆಸ್ಪಾಟಿಸಮ್	disgust	0.703
nauseate	ವಾಕರಿಕೆ	disgust	0.703
secretion	ಸ್ರವಿಸುವಿಕೆ	disgust	0.703
constipation	ಮಲಬದ್ಧತೆ	disgust	0.703
hateful	ದ್ವೇಷ	disgust	0.703
grime	ಗ್ರಿಮ್	disgust	0.703
measles	ದಡಾರ	disgust	0.696
contagious	ಸಾಂಕ್ರಾಮಿಕ	disgust	0.695
hellish	ಯಾತನಾಮಯ	disgust	0.695
waste	ತ್ಯಾಜ್ಯ	disgust	0.695
suicidal	ಆತ್ಮಹತ್ಯೆ	disgust	0.695
abuse	ನಿಂದನೆ	disgust	0.695
hate	ದ್ವೇಷ	disgust	0.695
wretch	ದರಿದ್ರ	disgust	0.695
intestinal	ಕರುಳು	disgust	0.695
wart	ನರಹುಲಿ	disgust	0.695
obesity	ಸ್ಥೂಲಕಾಯತೆ	disgust	0.695
scum	ಕಲ್ಮಷ	disgust	0.695
contaminated	ಕಲುಷಿತ	disgust	0.688
disease	ರೋಗ	disgust	0.688
rabid	ಕ್ರೂರ	disgust	0.688
ooze	ಸ್ರವಿಸು	disgust	0.688
treason	ದೇಶದ್ರೋಹ	disgust	0.688
heartworm	ಹೃದಯಾಘಾತ	disgust	0.688
smut	ಕೊಳೆತ	disgust	0.688
cholera	ಕಾಲರಾ	disgust	0.680
deformed	ವಿರೂಪಗೊಂಡಿದೆ	disgust	0.680
detest	ದ್ವೇಷಿಸು	disgust	0.680
bestial	ಮೃದ್ವಂಗಿ	disgust	0.680
sickness	ಅನಾರೋಗ್ಯ	disgust	0.680
antichrist	ಆಂಟಿಕ್ರೈಸ್ಟ್	disgust	0.680
abhorrent	ಅಸಹ್ಯ	disgust	0.680
soulless	ಆತ್ಮರಹಿತ	disgust	0.680
freakish	ಅಸಹಜ	disgust	0.680
grimy	ಕಠೋರ	disgust	0.680
hatred	ದ್ವೇಷ	disgust	0.680
pollution	ಮಾಲಿನ್ಯ	disgust	0.680
germ	ಸೂಕ್ಷ್ಮಾಣು	disgust	0.680
abominate	ಅಸಹ್ಯ	disgust	0.680
hell	ನರಕ	disgust	0.680
dilapidated	ಶಿಥಿಲಗೊಂಡಿತು	disgust	0.672
dictatorship	ಸರ್ವಾಧಿಕಾರ	disgust	0.672
inhuman	ಅಮಾನವೀಯ	disgust	0.672
greasy	ಜಿಡ್ಡಿನ	disgust	0.672
hideous	ಭೀಕರ	disgust	0.672
loathful	ಹಾಸ್ಯಾಸ್ಪದ	disgust	0.672
obscene	ಅಶ್ಲೀಲ	disgust	0.672
loathing	ಜುಗುಪ್ಸೆ	disgust	0.672
cess	ಸೆಸ್	disgust	0.670
devil	ದೆವ್ವ	disgust	0.664
heretic	ಪಾಷಂಡಿ	disgust	0.664
nauseous	ವಾಕರಿಕೆ	disgust	0.664
abominable	ಅಸಹ್ಯ	disgust	0.664
deformity	ವಿರೂಪತೆ	disgust	0.664
deadly	ಪ್ರಾಣಾಂತಿಕ	disgust	0.664
swine	ಹಂದಿ	disgust	0.664
discrimination	ತಾರತಮ್ಯ	disgust	0.664
masochism	ಮಾಸೊಚಿಸ್ಮ್	disgust	0.664
poisonous	ವಿಷಕಾರಿ	disgust	0.656
