word	Hungarian-hu	emotion	emotion-intensity-score
pungent	csípős	disgust	0.719
bloodshed	vérontás	disgust	0.714
violent	erőszakos	disgust	0.711
tyrant	zsarnok	disgust	0.711
poisoned	mérgezett	disgust	0.711
pollute	szennyezik	disgust	0.711
wretched	nyomorult	disgust	0.711
nausea	hányinger	disgust	0.711
mortification	sanyargatás	disgust	0.711
gag	szájpecek	disgust	0.711
vulgarity	közönségesség	disgust	0.703
disgusting	undorító	disgust	0.703
grope	tapogatózva keres	disgust	0.703
slut	kurva	disgust	0.703
poisoning	mérgezés	disgust	0.703
depraved	romlott	disgust	0.703
noxious	ártalmas	disgust	0.703
porn	pornó	disgust	0.703
nasty	csúnya	disgust	0.703
slimy	iszapos	disgust	0.703
despotism	zsarnokság	disgust	0.703
nauseate	émelyít	disgust	0.703
secretion	kiválasztás	disgust	0.703
constipation	székrekedés	disgust	0.703
hateful	utálatos	disgust	0.703
grime	korom	disgust	0.703
measles	kanyaró	disgust	0.696
contagious	fertőző	disgust	0.695
hellish	pokoli	disgust	0.695
waste	hulladék	disgust	0.695
suicidal	öngyilkos	disgust	0.695
abuse	visszaélés	disgust	0.695
hate	gyűlölet	disgust	0.695
wretch	szerencsétlen alak	disgust	0.695
intestinal	bél-	disgust	0.695
wart	szemölcs	disgust	0.695
obesity	elhízottság	disgust	0.695
scum	hab	disgust	0.695
contaminated	szennyezett	disgust	0.688
disease	betegség	disgust	0.688
rabid	fanatikus	disgust	0.688
ooze	szivárog	disgust	0.688
treason	árulás	disgust	0.688
heartworm	szívférgesség	disgust	0.688
smut	korom	disgust	0.688
cholera	kolera	disgust	0.680
deformed	deformált	disgust	0.680
detest	utál	disgust	0.680
bestial	bestiális	disgust	0.680
sickness	betegség	disgust	0.680
antichrist	Antikrisztus	disgust	0.680
abhorrent	gyűlöletes	disgust	0.680
soulless	lelketlen	disgust	0.680
freakish	szeszélyes	disgust	0.680
grimy	mocskos	disgust	0.680
hatred	gyűlölet	disgust	0.680
pollution	környezetszennyezés	disgust	0.680
germ	csíra	disgust	0.680
abominate	utál	disgust	0.680
hell	pokol	disgust	0.680
dilapidated	megrongált	disgust	0.672
dictatorship	diktatúra	disgust	0.672
inhuman	embertelen	disgust	0.672
greasy	zsíros	disgust	0.672
hideous	förtelmes	disgust	0.672
loathful	undorító	disgust	0.672
obscene	obszcén	disgust	0.672
loathing	undor	disgust	0.672
cess	adóval	disgust	0.670
devil	ördög	disgust	0.664
heretic	eretnek	disgust	0.664
nauseous	undorító	disgust	0.664
abominable	utálatos	disgust	0.664
deformity	torzulás	disgust	0.664
deadly	halálos	disgust	0.664
swine	sertés	disgust	0.664
discrimination	megkülönböztetés	disgust	0.664
masochism	mazochizmus	disgust	0.664
poisonous	mérgező	disgust	0.656
prejudiced	előítéletes	disgust	0.656
bacteria	baktériumok	disgust	0.656
death	halál	disgust	0.656
poison	méreg	disgust	0.656
trash	szemét	disgust	0.656
abortion	magzatelhajtás	disgust	0.656
corruption	vesztegetés	disgust	0.656
victimized	áldozattá	disgust	0.656
oppression	elnyomás	disgust	0.656
goo	ragacs	disgust	0.656
latrines	latrina	disgust	0.656
horror	borzalom	disgust	0.656
horrible	szörnyű	disgust	0.656
nefarious	aljas	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	bosszúszomjas	disgust	0.648
outhouse	melléképület	disgust	0.648
horrid	borzalmas	disgust	0.648
detestation	utálat	disgust	0.648
sludge	iszap	disgust	0.648
ugly	csúnya	disgust	0.648
trashy	vacak	disgust	0.648
bitch	kurva	disgust	0.648
immoral	erkölcstelen	disgust	0.648
malfeasance	gonosztett	disgust	0.641
spew	köp	disgust	0.641
pimple	pattanás	disgust	0.641
indecency	illetlenség	disgust	0.641
unsightly	idétlen	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	aljas	disgust	0.641
cystic	cisztás	disgust	0.641
horrifying	szörnyű	disgust	0.641
derogatory	méltatlan	disgust	0.641
laxative	hashajtó	disgust	0.641
criminality	bűnösség	disgust	0.641
oppressive	elnyomó	disgust	0.633
sinful	bűnös	disgust	0.633
bigoted	bigott	disgust	0.633
doomsday	utolsó ítélet	disgust	0.633
prostitution	prostitúció	disgust	0.633
ulcer	fekély	disgust	0.633
secrete	kiválaszt	disgust	0.633
perpetrator	elkövető	disgust	0.633
rat	patkány	disgust	0.633
queasy	finnyás	disgust	0.633
mildew	penész	disgust	0.633
dastardly	hitvány	disgust	0.625
disgraceful	szégyenletes	disgust	0.625
ghastly	kísérteties	disgust	0.625
persecution	üldözés	disgust	0.625
devilish	ördögi	disgust	0.625
degrading	megalázó	disgust	0.625
obscenity	trágárság	disgust	0.625
fungus	gombaféle	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	torkosság	disgust	0.625
stools	széklet	disgust	0.625
suffering	szenvedő	disgust	0.625
contemptible	megvetendő	disgust	0.625
cuckold	megcsalt férj	disgust	0.625
bloated	felfuvalkodott	disgust	0.625
aghast	megdöbbent	disgust	0.625
betrayal	árulás	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	megfertőz	disgust	0.617
spoil	zsákmány	disgust	0.617
tetanus	tetanusz	disgust	0.617
fat	zsír	disgust	0.617
louse	tetű	disgust	0.617
malicious	rosszindulatú	disgust	0.617
polygamy	poligámia	disgust	0.617
crusty	kérges	disgust	0.617
atrocious	kegyetlen	disgust	0.617
deceit	csalás	disgust	0.617
termite	termesz	disgust	0.617
loathe	gyűlöl	disgust	0.617
wench	némber	disgust	0.617
dying	haldoklik	disgust	0.617
sickly	beteges	disgust	0.617
diaper	pelenka	disgust	0.617
strangle	fojt	disgust	0.617
drool	nyáladzik	disgust	0.609
slander	rágalom	disgust	0.609
abhor	gyűlöl	disgust	0.609
venomous	epés	disgust	0.609
brothel	bordélyház	disgust	0.609
ghetto	gettó	disgust	0.609
violently	erőszakosan	disgust	0.609
hostile	ellenséges	disgust	0.609
sabotage	szabotázs	disgust	0.609
deform	eltorzít	disgust	0.609
bleeding	vérzés	disgust	0.609
unwashed	mosdatlan	disgust	0.602
lunacy	elmebaj	disgust	0.602
imprisonment	bebörtönzés	disgust	0.602
infidel	hitetlen	disgust	0.602
deprivation	megfosztás	disgust	0.602
traitor	áruló	disgust	0.602
ugliness	csúnyaság	disgust	0.602
musty	dohos	disgust	0.602
illicit	tiltott	disgust	0.602
swampy	mocsaras	disgust	0.602
poaching	orvvadászat	disgust	0.602
hag	boszorkány	disgust	0.602
butcher	hentes	disgust	0.594
lunatic	őrült	disgust	0.594
venom	méreg	disgust	0.594
repelling	taszító	disgust	0.594
thug	orgyilkos	disgust	0.594
misery	szenvedés	disgust	0.594
toilet	WC	disgust	0.594
slug	meztelen csiga	disgust	0.594
catastrophe	katasztrófa	disgust	0.594
epidemic	járvány	disgust	0.594
gut	belek	disgust	0.594
intoxicated	mámoros	disgust	0.594
blister	hólyag	disgust	0.594
deceitful	csaló	disgust	0.594
hostility	ellenségeskedés	disgust	0.594
queasiness	émelygés	disgust	0.594
lurid	ragyogó	disgust	0.594
sinner	bűnös	disgust	0.594
incubus	lidérc	disgust	0.586
lavatory	vécé	disgust	0.586
harass	zaklat	disgust	0.586
unclean	tisztátlan	disgust	0.586
prostitute	prostituált	disgust	0.586
pornography	pornográfia	disgust	0.586
dreadful	szörnyű	disgust	0.586
deteriorated	romlott	disgust	0.586
appalling	megdöbbentő	disgust	0.586
unfaithful	hűtlen	disgust	0.578
rash	kiütés	disgust	0.578
humiliating	megalázó	disgust	0.578
ruinous	romboló	disgust	0.578
squeamish	finnyás	disgust	0.578
offensive	támadó	disgust	0.578
conspirator	összeesküvő	disgust	0.578
larceny	lopás	disgust	0.578
debauchery	kicsapongás	disgust	0.578
mangle	mángorló	disgust	0.578
flea	bolha	disgust	0.578
hypocrite	képmutató	disgust	0.578
retard	retard	disgust	0.578
fiend	ördög	disgust	0.578
sick	beteg	disgust	0.578
quagmire	ingovány	disgust	0.578
expulsion	kiutasítás	disgust	0.578
treacherous	áruló	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	nyárs	disgust	0.570
devastating	pusztító	disgust	0.570
bastard	fattyú	disgust	0.570
messy	rendetlen	disgust	0.570
flog	ostoroz	disgust	0.570
egregious	hallatlan	disgust	0.570
swamp	ingovány	disgust	0.570
oppress	elnyom	disgust	0.570
despise	megvet	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	kígyó	disgust	0.570
snake	kígyó	disgust	0.562
terrible	szörnyű	disgust	0.562
awful	szörnyű	disgust	0.562
harmful	káros	disgust	0.562
insanity	őrület	disgust	0.562
indecent	illetlen	disgust	0.562
sordid	mocskos	disgust	0.562
loo	vécé	disgust	0.562
scoundrel	gazember	disgust	0.562
enemy	ellenség	disgust	0.562
stealing	lopás	disgust	0.562
alcoholism	alkoholizmus	disgust	0.562
humiliation	megaláztatás	disgust	0.562
ruthless	könyörtelen	disgust	0.562
sloppy	lucskos	disgust	0.562
tyrannical	zsarnoki	disgust	0.562
harlot	szajha	disgust	0.562
sinning	vétkezik	disgust	0.562
robbery	rablás	disgust	0.555
insufferable	kibírhatatlan	disgust	0.555
arsenic	arzén	disgust	0.555
bloody	véres	disgust	0.555
odious	utálatos	disgust	0.555
ridicule	gúny	disgust	0.555
atrophy	sorvadás	disgust	0.555
beastly	állatias	disgust	0.555
collusion	összejátszás	disgust	0.555
distaste	ellenszenv	disgust	0.555
segregate	elkülönít	disgust	0.555
discriminating	megkülönböztető	disgust	0.555
coward	gyáva	disgust	0.555
wickedness	gonoszság	disgust	0.555
threatening	fenyegető	disgust	0.555
unattractive	nem vonzó	disgust	0.555
slayer	ölő	disgust	0.555
flabby	petyhüdt	disgust	0.555
varicella	bárányhimlő	disgust	0.555
miserable	nyomorult	disgust	0.547
sty	disznóól	disgust	0.547
ogre	emberevő óriás	disgust	0.547
coercion	kényszerítés	disgust	0.547
thief	tolvaj	disgust	0.547
slur	elmosódik	disgust	0.547
suffocating	fojtogató	disgust	0.547
anathema	átok	disgust	0.547
purgatory	purgatórium	disgust	0.547
malevolent	rosszindulatú	disgust	0.547
bitterly	keserűen	disgust	0.547
burglar	betörő	disgust	0.547
attacking	támadó	disgust	0.547
vesicular	hólyagos	disgust	0.547
condemnation	kárhoztatás	disgust	0.547
pillage	fosztogatás	disgust	0.547
deleterious	káros	disgust	0.547
thrash	elver	disgust	0.539
repellant	visszataszító	disgust	0.539
repudiation	megtagadás	disgust	0.539
infidelity	hitetlenség	disgust	0.539
liar	hazug	disgust	0.539
fatty	zsíros	disgust	0.539
gob	nyál	disgust	0.539
sneer	gúnymosoly	disgust	0.539
drunken	ittas	disgust	0.539
disgrace	szégyen	disgust	0.539
shame	szégyen	disgust	0.539
jealous	irigy	disgust	0.539
imprisoned	bebörtönzött	disgust	0.539
pig	malac	disgust	0.539
greedy	kapzsi	disgust	0.539
sloth	lajhár	disgust	0.539
lethal	halálos	disgust	0.536
burnt	megégett	disgust	0.531
aberration	eltérés	disgust	0.531
condescension	lekezelés	disgust	0.531
hydrocephalus	hydrocephalus	disgust	0.531
hanging	függő	disgust	0.531
destructive	romboló	disgust	0.531
smuggler	csempész	disgust	0.531
intolerant	türelmetlen	disgust	0.531
travesty	paródia	disgust	0.531
intrusive	tolakodó	disgust	0.531
ruined	romos	disgust	0.531
withered	fonnyadt	disgust	0.531
disintegrate	szétesik	disgust	0.531
brawl	pörlekedik	disgust	0.531
blemish	hiba	disgust	0.531
neurotic	neurotikus	disgust	0.531
blasphemous	istenkáromló	disgust	0.531
lying	fekvő	disgust	0.531
painful	fájdalmas	disgust	0.531
avarice	kapzsiság	disgust	0.523
disgraced	kegyvesztett	disgust	0.523
mistress	úrnő	disgust	0.523
disparaging	becsmérlő	disgust	0.523
rubbish	szemét	disgust	0.523
derogation	eltérés	disgust	0.523
accusation	vád	disgust	0.523
intolerance	intolerancia	disgust	0.523
incarceration	bebörtönzés	disgust	0.523
blighted	hervadt	disgust	0.523
sump	tócsa	disgust	0.516
deplorable	siralmas	disgust	0.516
daemon	démon	disgust	0.516
cringe	megalázkodik	disgust	0.516
degrade	lebontják	disgust	0.516
gutter	esővízcsatorna	disgust	0.516
rob	rabol	disgust	0.516
grim	zord	disgust	0.516
defraud	csal	disgust	0.516
tortious	károkozó	disgust	0.516
eradication	felszámolására	disgust	0.516
stink	bűz	disgust	0.516
convict	elítélt	disgust	0.516
dishonor	becstelenség	disgust	0.516
vulture	keselyű	disgust	0.516
remains	maradványok	disgust	0.516
mite	fillér	disgust	0.516
betray	elárul	disgust	0.516
sham	ál	disgust	0.509
endemic	helyi	disgust	0.508
bombed	bombázott	disgust	0.508
distress	szorongás	disgust	0.508
pest	kártevő	disgust	0.508
incurable	gyógyíthatatlan	disgust	0.508
worthless	értéktelen	disgust	0.508
rejection	elutasítás	disgust	0.508
distasteful	undorító	disgust	0.508
schizophrenia	skizofrénia	disgust	0.508
belittle	kicsinyel	disgust	0.508
smelling	szaglás	disgust	0.508
cheat	csal	disgust	0.508
blob	folt	disgust	0.508
prisoner	Rab	disgust	0.508
idiocy	hülyeség	disgust	0.508
delirium	delírium	disgust	0.508
disaster	katasztrófa	disgust	0.508
crude	nyers	disgust	0.508
resentment	neheztelés	disgust	0.508
dreadfully	félelmetesen	disgust	0.508
glut	jóllakottság	disgust	0.508
polemic	polemikus	disgust	0.500
derision	kicsúfolás	disgust	0.500
idolatry	bálványimádás	disgust	0.500
taboo	tabu	disgust	0.500
screaming	visító	disgust	0.500
banish	száműz	disgust	0.500
dirt	piszok	disgust	0.500
goblin	kobold	disgust	0.500
shackle	bilincs	disgust	0.500
bribery	vesztegetés	disgust	0.500
flagrant	botrányos	disgust	0.500
jealousy	féltékenység	disgust	0.500
impurity	szennyező	disgust	0.500
theft	lopás	disgust	0.500
bitterness	keserűség	disgust	0.500
offense	sértés	disgust	0.500
impeach	felelősségre von	disgust	0.500
blight	penész	disgust	0.500
duress	kényszer	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	kapzsiság	disgust	0.500
tirade	beszéd	disgust	0.500
squirm	fészkelődik	disgust	0.492
robber	rabló	disgust	0.492
ill	beteg	disgust	0.492
unconscionable	lelkiismeretlen	disgust	0.492
recession	recesszió	disgust	0.492
gorge	gége	disgust	0.492
wreck	roncs	disgust	0.492
malign	rosszindulatú	disgust	0.492
boil	forral	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idióta	disgust	0.492
disreputable	rosszhírű	disgust	0.492
wasteful	pazarló	disgust	0.484
affliction	szenvedés	disgust	0.484
stain	folt	disgust	0.484
contempt	megvetés	disgust	0.484
nappy	pelenka	disgust	0.484
mutiny	lázadás	disgust	0.484
occult	okkult	disgust	0.484
tramp	csavargó	disgust	0.484
unbearable	kibírhatatlan	disgust	0.484
offender	szabálysértő	disgust	0.484
servile	szolgai	disgust	0.484
contraband	csempészet	disgust	0.484
raging	dühöngő	disgust	0.484
snarl	vicsorog	disgust	0.484
mad	őrült	disgust	0.484
subjugation	leigázás	disgust	0.484
possessed	megszállott	disgust	0.484
animosity	ellenségeskedés	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	rágalmazás	disgust	0.484
disrespectful	tiszteletlen	disgust	0.484
mess	rendetlenség	disgust	0.484
nepotism	nepotizmus	disgust	0.484
inexcusable	megbocsáthatatlan	disgust	0.484
pathetic	szánalmas	disgust	0.477
unpleasant	kellemetlen	disgust	0.477
suppression	elnyomás	disgust	0.477
mockery	csúfolódás	disgust	0.477
palsy	bénulás	disgust	0.477
criminal	Bűnügyi	disgust	0.477
illegality	jogellenesség	disgust	0.477
uncaring	nemtörődöm	disgust	0.477
antagonistic	ellentétes	disgust	0.477
immorality	erkölcstelenség	disgust	0.477
dismal	komor	disgust	0.477
angry	mérges	disgust	0.469
repellent	visszataszító	disgust	0.469
cough	köhögés	disgust	0.469
arrogant	arrogáns	disgust	0.469
grating	rács	disgust	0.469
aggravation	súlyosbodás	disgust	0.469
livid	fakó	disgust	0.469
banishment	száműzetés	disgust	0.469
shoddy	selejtes	disgust	0.469
banshee	banshee	disgust	0.469
poverty	szegénység	disgust	0.469
wallow	fetrengés	disgust	0.469
outrage	merénylet	disgust	0.469
mocking	gúnyos	disgust	0.469
furious	dühös	disgust	0.469
perspiration	izzadás	disgust	0.469
prick	pöcs	disgust	0.461
recklessness	vakmerőség	disgust	0.461
distorted	eltorzult	disgust	0.461
fraudulent	csaló	disgust	0.461
spider	pók	disgust	0.461
quack	kuruzsló	disgust	0.461
perdition	kárhozat	disgust	0.461
muddy	sáros	disgust	0.461
spurious	hamis	disgust	0.461
insulting	sértő	disgust	0.461
scar	sebhely	disgust	0.461
deceive	becsap	disgust	0.461
unjustifiable	nem igazolható	disgust	0.461
fool	bolond	disgust	0.461
deplore	sajnál	disgust	0.461
plunder	zsákmány	disgust	0.461
aphid	levéltű	disgust	0.453
bane	csapás	disgust	0.453
indignation	felháborodás	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	önző	disgust	0.453
disparage	becsmérel	disgust	0.453
cur	korcs	disgust	0.453
dishonest	tisztességtelen	disgust	0.453
stigma	megbélyegzés	disgust	0.453
eschew	kikerül	disgust	0.453
antipathy	ellenszenv	disgust	0.453
alienate	elidegenít	disgust	0.453
disingenuous	hamis	disgust	0.453
elimination	megszüntetése	disgust	0.453
unthinkable	elképzelhetetlen	disgust	0.453
wasted	elpazarolt	disgust	0.445
recalcitrant	makacs	disgust	0.445
iniquity	gonoszság	disgust	0.445
mosquito	szúnyog	disgust	0.445
caries	csontszú	disgust	0.445
bankruptcy	csőd	disgust	0.445
egotistical	egoista	disgust	0.445
piles	aranyér	disgust	0.445
smell	szag	disgust	0.445
vacuous	üres	disgust	0.445
despair	kétségbeesés	disgust	0.445
opium	ópium	disgust	0.445
garish	rikító	disgust	0.445
lie	fekszik	disgust	0.445
pious	jámbor	disgust	0.445
aversion	idegenkedés	disgust	0.438
sticky	ragadós	disgust	0.438
scream	sikoly	disgust	0.438
alien	idegen	disgust	0.438
shun	kitér	disgust	0.438
abnormal	rendellenes	disgust	0.438
ashamed	megszégyenülve	disgust	0.438
inmate	bennlakó	disgust	0.438
abject	siralmas	disgust	0.438
hog	disznó	disgust	0.438
hopelessness	kétségbeesés	disgust	0.438
homeless	hajléktalan	disgust	0.438
obnoxious	kellemetlen	disgust	0.438
curse	átok	disgust	0.430
creature	teremtmény	disgust	0.430
cursing	káromkodás	disgust	0.430
illegal	illegális	disgust	0.430
lusty	egészségtől duzzadó	disgust	0.430
shameless	szemtelen	disgust	0.430
debris	törmelék	disgust	0.430
defiance	ellenszegülés	disgust	0.430
pall	takaró	disgust	0.430
falsity	hamisság	disgust	0.430
reflux	visszafolyás	disgust	0.430
incredulous	hitetlen	disgust	0.430
adverse	kedvezőtlen	disgust	0.430
trickery	trükk	disgust	0.430
callous	érzéketlen	disgust	0.430
separatist	szeparatista	disgust	0.430
undesirable	nem kívánatos	disgust	0.430
denounce	felmondja	disgust	0.430
witch	boszorkány	disgust	0.430
bum	ingyenélő	disgust	0.422
bovine	szarvasmarha	disgust	0.422
denunciation	feljelentés	disgust	0.422
untidy	rendetlen	disgust	0.422
impure	tisztátlan	disgust	0.422
mistrust	bizalmatlanság	disgust	0.422
tarnish	homályosság	disgust	0.422
ferocious	kegyetlen	disgust	0.422
gush	áradat	disgust	0.422
infantile	gyerekes	disgust	0.422
ammonia	ammónia	disgust	0.422
offend	sért	disgust	0.422
idiotic	ostoba	disgust	0.422
hypertrophy	túltengés	disgust	0.422
nicotine	nikotin	disgust	0.422
tasteless	ízléstelen	disgust	0.422
pompous	nagyképű	disgust	0.422
socialist	szocialista	disgust	0.422
delinquent	vétkes	disgust	0.422
swarm	raj	disgust	0.422
contentious	vitás	disgust	0.422
carelessness	figyelmetlenség	disgust	0.422
hairy	szőrös	disgust	0.422
wasting	pazarlás	disgust	0.422
slush	latyak	disgust	0.422
affront	sértés	disgust	0.422
collapse	összeomlás	disgust	0.422
badness	rosszaság	disgust	0.422
dishonesty	tisztességtelenség	disgust	0.414
vegetative	vegetatív	disgust	0.414
displacency	displacency	disgust	0.414
unfavorable	kedvezőtlen	disgust	0.414
disobey	nem fogad szót	disgust	0.414
sour	savanyú	disgust	0.414
socialism	szocializmus	disgust	0.414
murky	sötét	disgust	0.414
neglected	elhanyagolt	disgust	0.414
drivel	nyál	disgust	0.414
vampire	vámpír	disgust	0.414
litigious	peres	disgust	0.414
illegitimate	törvénytelen	disgust	0.414
disgruntled	elégedetlen	disgust	0.406
ignorant	tudatlan	disgust	0.406
outcast	kitaszított	disgust	0.406
unkind	barátságtalan	disgust	0.406
repel	taszítják	disgust	0.406
displeasure	nemtetszés	disgust	0.406
phony	hamis	disgust	0.406
shoplifting	lopás	disgust	0.406
dislike	ellenszenv	disgust	0.406
unlawful	törvénytelen	disgust	0.406
bogus	hamis	disgust	0.406
discontinuity	megszakítás	disgust	0.406
recidivism	visszaesés	disgust	0.406
ungrateful	hálátlan	disgust	0.406
wrongdoing	méltánytalanság	disgust	0.406
falsify	hamisít	disgust	0.406
prosecution	vád	disgust	0.406
failure	hiba	disgust	0.398
loon	fajankó	disgust	0.398
lick	nyalás	disgust	0.398
subvert	felforgat	disgust	0.398
rigor	szigor	disgust	0.398
unruly	rakoncátlan	disgust	0.398
paucity	csekélység	disgust	0.398
unnatural	természetellenes	disgust	0.398
averse	idegenkedő	disgust	0.398
senseless	öntudatlan	disgust	0.398
worsening	romló	disgust	0.398
disdain	megvetés	disgust	0.398
woe	szomorúság	disgust	0.398
woefully	siralmasan	disgust	0.398
amphetamines	amfetaminok	disgust	0.398
stingy	fukar	disgust	0.398
crushing	zúzó	disgust	0.398
insult	sértés	disgust	0.393
damage	kár	disgust	0.391
hardened	edzett	disgust	0.391
diatribe	gyalázkodás	disgust	0.391
averseness	idegenkedés	disgust	0.391
critter	fráter	disgust	0.391
muff	muff	disgust	0.391
antisocial	társadalomellenes	disgust	0.391
punishment	büntetés	disgust	0.391
bad	rossz	disgust	0.391
punished	büntették	disgust	0.391
disrelish	irtózás	disgust	0.391
expel	kiutasítja	disgust	0.391
farcical	nevetséges	disgust	0.391
scorpion	skorpió	disgust	0.391
sacrifices	áldozatokat	disgust	0.383
plagiarism	plágium	disgust	0.383
hypocritical	álszent	disgust	0.383
divorce	válás	disgust	0.383
presumptuous	merész	disgust	0.383
discord	viszály	disgust	0.383
fugitive	szökevény	disgust	0.383
fulsome	édeskés	disgust	0.383
shabby	kopott	disgust	0.383
orc	ork	disgust	0.383
adder	vipera	disgust	0.383
anaconda	anakonda	disgust	0.383
surly	mogorva	disgust	0.383
irrational	irracionális	disgust	0.383
disappoint	csalódást okoz	disgust	0.383
illiterate	írástudatlan	disgust	0.383
lament	panaszkodik	disgust	0.383
eviction	kilakoltatás	disgust	0.383
teeming	nyüzsgő	disgust	0.383
guilt	bűnösség	disgust	0.383
misconduct	kötelességszegés	disgust	0.375
blame	feddés	disgust	0.375
alienation	elidegenítés	disgust	0.375
depressing	nyomasztó	disgust	0.375
irritating	zavaró	disgust	0.375
plight	helyzet	disgust	0.375
unworthy	méltatlan	disgust	0.375
dislocated	kificamodott	disgust	0.375
scoff	kötekedés	disgust	0.375
irritation	irritáció	disgust	0.375
defective	hiányos	disgust	0.375
shock	sokk	disgust	0.375
hoax	félrevezetés	disgust	0.367
coerce	kényszerít	disgust	0.367
revoke	visszavon	disgust	0.367
stripped	megfosztott	disgust	0.367
exclusion	kirekesztés	disgust	0.367
blatant	zajos	disgust	0.367
disillusionment	kiábrándulás	disgust	0.367
squelch	cuppog	disgust	0.367
unhealthy	egészségtelen	disgust	0.367
toad	varangy	disgust	0.367
wimpy	tehetetlen	disgust	0.367
pitfall	csapda	disgust	0.367
vainly	hiába	disgust	0.367
powerless	tehetetlen	disgust	0.367
cad	csibész	disgust	0.367
hurtful	bántó	disgust	0.367
shuddering	borzongás	disgust	0.367
wimp	nyúlbéla	disgust	0.367
oddity	furcsaság	disgust	0.359
rebellion	lázadó	disgust	0.359
incompatible	összeegyeztethetetlen	disgust	0.359
ineptitude	képtelenség	disgust	0.359
dispose	rendelkezik	disgust	0.359
disobedience	engedetlenség	disgust	0.359
damn	átkozott	disgust	0.359
bug	bogár	disgust	0.359
deserted	elhagyatott	disgust	0.359
litigate	perel	disgust	0.352
ridiculous	nevetséges	disgust	0.352
compost	komposzt	disgust	0.352
obi	selyemöv	disgust	0.352
untoward	kellemetlen	disgust	0.352
censor	cenzor	disgust	0.352
uncertain	bizonytalan	disgust	0.352
lawyer	jogász	disgust	0.352
flinch	hátrál	disgust	0.352
flesh	hús	disgust	0.352
crushed	szétzúzott	disgust	0.352
displeased	elégedetlen	disgust	0.352
inept	alkalmatlan	disgust	0.352
wrongful	jogtalan	disgust	0.352
cutting	vágás	disgust	0.352
fierce	vad	disgust	0.352
misbehavior	neveletlenség	disgust	0.352
frustrate	meghiúsít	disgust	0.352
dismissal	elbocsátás	disgust	0.352
disapprove	elítél	disgust	0.344
depreciate	becsmérel	disgust	0.344
tearful	könnyes	disgust	0.344
thoughtless	meggondolatlan	disgust	0.336
unsettled	rendezetlen	disgust	0.336
lumpy	darabos	disgust	0.336
discoloration	elszíneződés	disgust	0.336
blunder	baklövés	disgust	0.336
disinclination	ellenszenv	disgust	0.336
distrust	bizalmatlanság	disgust	0.336
annoy	bosszant	disgust	0.336
lawsuit	per	disgust	0.336
discontent	elégedetlenség	disgust	0.336
grumble	morog	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	bolond	disgust	0.336
heartsick	szívű	disgust	0.336
disliked	Nem kedvelt	disgust	0.336
bickering	civakodás	disgust	0.336
disallowed	nem engedélyezett	disgust	0.336
unmanageable	nehezen kezelhető	disgust	0.328
hydrophobia	víziszony	disgust	0.328
unsatisfactory	elégtelen	disgust	0.328
whine	nyafog	disgust	0.328
exasperation	elkeseredés	disgust	0.328
instability	instabilitás	disgust	0.328
provoking	provokatív	disgust	0.328
disappointed	csalódott	disgust	0.328
inhibit	gátolják	disgust	0.328
sly	ravasz	disgust	0.328
grievance	sérelem	disgust	0.328
materialist	materialista	disgust	0.328
excluded	kizárt	disgust	0.328
cacophony	hangzavar	disgust	0.328
misleading	félrevezető	disgust	0.321
disclaim	elutasít	disgust	0.320
rags	rongyok	disgust	0.320
soot	korom	disgust	0.320
disservice	rossz szolgálat	disgust	0.320
unequal	egyenlőtlen	disgust	0.320
humbug	csaló	disgust	0.320
reproach	szemrehányás	disgust	0.320
confined	korlátozott	disgust	0.320
disapproving	rosszalló	disgust	0.320
annoyance	bosszúság	disgust	0.320
mishap	baleset	disgust	0.320
groan	nyögés	disgust	0.320
soil	talaj	disgust	0.312
depreciated	leértékelődött	disgust	0.312
disincline	elkedvetlenít	disgust	0.312
inappropriate	alkalmatlan	disgust	0.312
inconsiderate	tapintatlan	disgust	0.312
burke	elfojt	disgust	0.312
overpriced	túlárazott	disgust	0.312
sneeze	tüsszent	disgust	0.312
stomach	gyomor	disgust	0.312
criticize	kritizál	disgust	0.312
theism	teizmus	disgust	0.312
disparity	különbség	disgust	0.305
gall	epe	disgust	0.305
latent	rejtett	disgust	0.305
grumpy	zsémbes	disgust	0.305
bang	bumm	disgust	0.305
inadmissible	elfogadhatatlan	disgust	0.305
unfriendly	barátságtalan	disgust	0.305
shack	kunyhó	disgust	0.305
disliking	nem tetszik tevékenységgel	disgust	0.305
unaccountable	megmagyarázhatatlan	disgust	0.305
coop	ketrec	disgust	0.304
scold	szid	disgust	0.297
growling	morgó	disgust	0.297
lonely	magányos	disgust	0.297
delay	késleltetés	disgust	0.297
congress	Kongresszus	disgust	0.297
disregarded	figyelmen kívül hagyta	disgust	0.297
