word	Corsican-co	emotion	emotion-intensity-score
depravity	depravity	disgust	0.797
diseased	malati	disgust	0.797
carcass	carcassi	disgust	0.795
decompose	dicompose	disgust	0.789
vermin	vermiculite	disgust	0.789
puke	puzzu	disgust	0.789
parasite	parasite	disgust	0.789
horrific	horribilmente	disgust	0.789
gruesome	brutale	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilati	disgust	0.789
murderous	murtali	disgust	0.789
decayed	decayed	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	flatulence	disgust	0.781
monstrosity	monstruità	disgust	0.781
carnage	carnaghja	disgust	0.781
pestilence	pesta	disgust	0.781
malaria	malaria	disgust	0.781
crap	crap	disgust	0.781
toxic	tossicu	disgust	0.773
loathsome	prublema	disgust	0.773
insidious	insidioso	disgust	0.773
leprosy	a lepra	disgust	0.773
morgue	morgue	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	viru	disgust	0.773
whore	puttane	disgust	0.766
cruel	cruel	disgust	0.766
repugnance	disprezzu	disgust	0.766
revulsion	rivoluzione	disgust	0.766
xenophobia	xenofobia	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	dissection	disgust	0.759
canker	canker	disgust	0.758
cruelty	crudeltà	disgust	0.758
perversion	perversione	disgust	0.758
evil	u male	disgust	0.758
slum	slum	disgust	0.758
infectious	infizziosi	disgust	0.758
mucous	mucosa	disgust	0.758
phlegm	flussu	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	a descomposizzioni	disgust	0.750
sinister	sinistru	disgust	0.750
corrupting	curruzzione	disgust	0.750
demon	dimoniu	disgust	0.742
stinking	stinking	disgust	0.742
septic	sèpticu	disgust	0.742
deranged	deranged	disgust	0.742
bile	bile	disgust	0.742
soiled	sbuffata	disgust	0.742
mucus	mucus	disgust	0.742
abhorrence	abhorrence	disgust	0.742
abomination	abomination	disgust	0.742
sickening	sickening	disgust	0.742
demonic	demonic	disgust	0.742
foul	foul	disgust	0.734
obese	obèse	disgust	0.734
sicken	patevi	disgust	0.734
degeneracy	degenerazione	disgust	0.734
crucifixion	crucifixion	disgust	0.734
despicable	dispiable	disgust	0.734
cancer	cancer	disgust	0.734
atrocity	atrocità	disgust	0.734
terrorism	u terrurismu	disgust	0.734
dirty	bruttu	disgust	0.727
dysentery	disenteria	disgust	0.727
adultery	adulteri	disgust	0.727
contamination	contaminazione	disgust	0.727
bacterium	bacteria	disgust	0.727
diabolical	diabolicu	disgust	0.727
morbidity	morbidità	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	repulsion	disgust	0.727
enema	enema	disgust	0.727
contagion	cuntagjunu	disgust	0.719
disfigured	disfigùtu	disgust	0.719
muck	furtuna	disgust	0.719
lewd	lewd	disgust	0.719
garbage	basgiu	disgust	0.719
autopsy	autopsia	disgust	0.719
bowels	visu	disgust	0.719
gross	brut	disgust	0.719
vulgar	vulgari	disgust	0.719
barbaric	barbari	disgust	0.719
disgust	disgust	disgust	0.719
vicious	vicious	disgust	0.719
entrails	intruti	disgust	0.719
deterioration	deterioru	disgust	0.719
pungent	pungente	disgust	0.719
bloodshed	sangu	disgust	0.714
violent	viulente	disgust	0.711
tyrant	tirannu	disgust	0.711
poisoned	poisoned	disgust	0.711
pollute	pollute	disgust	0.711
wretched	miserabbili	disgust	0.711
nausea	nausea	disgust	0.711
mortification	mortificazione	disgust	0.711
gag	gag	disgust	0.711
vulgarity	vulgarità	disgust	0.703
disgusting	disgusting	disgust	0.703
grope	grope	disgust	0.703
slut	slut	disgust	0.703
poisoning	avvilinatu	disgust	0.703
depraved	depravata	disgust	0.703
noxious	noxious	disgust	0.703
porn	porn	disgust	0.703
nasty	sbagghianti	disgust	0.703
slimy	slimy	disgust	0.703
despotism	dispotismu	disgust	0.703
nauseate	nauseate	disgust	0.703
secretion	secrezione	disgust	0.703
constipation	ristrettu	disgust	0.703
hateful	odiatusi	disgust	0.703
grime	grime	disgust	0.703
measles	sarcellulu	disgust	0.696
contagious	contagiosa	disgust	0.695
hellish	infernu	disgust	0.695
waste	perdita	disgust	0.695
suicidal	suicida	disgust	0.695
abuse	abusu	disgust	0.695
hate	odi	disgust	0.695
wretch	mischinu	disgust	0.695
intestinal	intestinali	disgust	0.695
wart	verru	disgust	0.695
obesity	obesità	disgust	0.695
scum	scum	disgust	0.695
contaminated	cuntaminata	disgust	0.688
disease	malattia	disgust	0.688
rabid	rabid	disgust	0.688
ooze	ooze	disgust	0.688
treason	tradimentu	disgust	0.688
heartworm	heartworm	disgust	0.688
smut	smut	disgust	0.688
cholera	colerà	disgust	0.680
deformed	deformatu	disgust	0.680
detest	detest	disgust	0.680
bestial	bestial	disgust	0.680
sickness	a maladie	disgust	0.680
antichrist	'anticristu	disgust	0.680
abhorrent	abumineghju	disgust	0.680
soulless	inmanu	disgust	0.680
freakish	freakish	disgust	0.680
grimy	bruttu	disgust	0.680
hatred	oddiu	disgust	0.680
pollution	a pollution pollution	disgust	0.680
germ	girmoglia	disgust	0.680
abominate	abominate	disgust	0.680
hell	l 'infernu	disgust	0.680
dilapidated	fruste	disgust	0.672
dictatorship	a dittatura	disgust	0.672
inhuman	inumani	disgust	0.672
greasy	grassa	disgust	0.672
hideous	struitu	disgust	0.672
loathful	loathful	disgust	0.672
obscene	obscene	disgust	0.672
loathing	in luttà	disgust	0.672
cess	cess	disgust	0.670
devil	diàvule	disgust	0.664
heretic	hereta	disgust	0.664
nauseous	nauseous	disgust	0.664
abominable	abominable	disgust	0.664
deformity	deformità	disgust	0.664
deadly	mortali	disgust	0.664
swine	porci	disgust	0.664
discrimination	discriminazione	disgust	0.664
masochism	masochism	disgust	0.664
poisonous	poisonous	disgust	0.656
prejudiced	pregiuggiatu	disgust	0.656
bacteria	bacteria	disgust	0.656
death	morte	disgust	0.656
poison	poison	disgust	0.656
trash	trash	disgust	0.656
abortion	abbortu	disgust	0.656
corruption	corruzzione	disgust	0.656
victimized	vittimatu	disgust	0.656
oppression	oppressione	disgust	0.656
goo	goo	disgust	0.656
latrines	latrines	disgust	0.656
horror	horror	disgust	0.656
horrible	horrible	disgust	0.656
nefarious	nefarious	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	vindictive	disgust	0.648
outhouse	salottu	disgust	0.648
horrid	horrid	disgust	0.648
detestation	detestation	disgust	0.648
sludge	linu	disgust	0.648
ugly	brutta	disgust	0.648
trashy	trashy	disgust	0.648
bitch	cagna	disgust	0.648
immoral	immurali	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	spew	disgust	0.641
pimple	pimple	disgust	0.641
indecency	indecency	disgust	0.641
unsightly	unsightly	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	villainous	disgust	0.641
cystic	csticu	disgust	0.641
horrifying	horrifying	disgust	0.641
derogatory	scunforti	disgust	0.641
laxative	laxative	disgust	0.641
criminality	criminalità	disgust	0.641
oppressive	oppressivu	disgust	0.633
sinful	piccatu	disgust	0.633
bigoted	bigoted	disgust	0.633
doomsday	di a ghjustizia	disgust	0.633
prostitution	a prustituita	disgust	0.633
ulcer	ulcer	disgust	0.633
secrete	secrete	disgust	0.633
perpetrator	perpetratore	disgust	0.633
rat	rat	disgust	0.633
queasy	brisera	disgust	0.633
mildew	moite	disgust	0.633
dastardly	pichetta	disgust	0.625
disgraceful	disgraceful	disgust	0.625
ghastly	ghastly	disgust	0.625
persecution	persecuzione	disgust	0.625
devilish	devilish	disgust	0.625
degrading	degradanti	disgust	0.625
obscenity	obscenità	disgust	0.625
fungus	fungus	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	glutoniu	disgust	0.625
stools	taburete	disgust	0.625
suffering	patitu	disgust	0.625
contemptible	contemptible	disgust	0.625
cuckold	cornuttu	disgust	0.625
bloated	sanguinanti	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	tradimentu	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	infettanu	disgust	0.617
spoil	spoil	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	grassa	disgust	0.617
louse	louse	disgust	0.617
malicious	malicious	disgust	0.617
polygamy	poligamia	disgust	0.617
crusty	crusty	disgust	0.617
atrocious	atrocious	disgust	0.617
deceit	falza	disgust	0.617
termite	termite	disgust	0.617
loathe	ochju	disgust	0.617
wench	wench	disgust	0.617
dying	moriri	disgust	0.617
sickly	malignu	disgust	0.617
diaper	u diaperu	disgust	0.617
strangle	strangle	disgust	0.617
drool	babbu	disgust	0.609
slander	calumnia	disgust	0.609
abhor	abhor	disgust	0.609
venomous	venenu	disgust	0.609
brothel	fratellu	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	viulenza	disgust	0.609
hostile	ostili	disgust	0.609
sabotage	sabotage	disgust	0.609
deform	deformate	disgust	0.609
bleeding	sdrughju	disgust	0.609
unwashed	senza mancu	disgust	0.602
lunacy	lunacy	disgust	0.602
imprisonment	imprigiunamentu	disgust	0.602
infidel	infidate	disgust	0.602
deprivation	privisioni	disgust	0.602
traitor	tradituri	disgust	0.602
ugliness	bruttizza	disgust	0.602
musty	ùmigghia	disgust	0.602
illicit	illicit	disgust	0.602
swampy	swampy	disgust	0.602
poaching	poaching	disgust	0.602
hag	hag	disgust	0.602
butcher	u macellu	disgust	0.594
lunatic	lunatic	disgust	0.594
venom	veninu	disgust	0.594
repelling	ripelle	disgust	0.594
thug	matite	disgust	0.594
misery	miseria	disgust	0.594
toilet	bagnu	disgust	0.594
slug	slug	disgust	0.594
catastrophe	catastrupia	disgust	0.594
epidemic	epidemica	disgust	0.594
gut	gut	disgust	0.594
intoxicated	embiu	disgust	0.594
blister	blister	disgust	0.594
deceitful	inganne	disgust	0.594
hostility	ostilità	disgust	0.594
queasiness	cosi	disgust	0.594
lurid	scuru	disgust	0.594
sinner	piccatore	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	lavatu	disgust	0.586
harass	accordu	disgust	0.586
unclean	impuru	disgust	0.586
prostitute	prostituta	disgust	0.586
pornography	pornografia	disgust	0.586
dreadful	disgraziatu	disgust	0.586
deteriorated	deteriorate	disgust	0.586
appalling	fantasmagoriu	disgust	0.586
unfaithful	infirtu	disgust	0.578
rash	rash	disgust	0.578
humiliating	umilianti	disgust	0.578
ruinous	ruinous	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	offensiva	disgust	0.578
conspirator	conspiratore	disgust	0.578
larceny	larceny	disgust	0.578
debauchery	dissimulatore	disgust	0.578
mangle	mangle	disgust	0.578
flea	flea	disgust	0.578
hypocrite	ipocrite	disgust	0.578
retard	ritardinu	disgust	0.578
fiend	fiend	disgust	0.578
sick	malatu	disgust	0.578
quagmire	quagmire	disgust	0.578
expulsion	expulsione	disgust	0.578
treacherous	traghetti	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	spit	disgust	0.570
devastating	devastanti	disgust	0.570
bastard	bastardo	disgust	0.570
messy	messy	disgust	0.570
flog	flog	disgust	0.570
egregious	rigalu	disgust	0.570
swamp	u swamp	disgust	0.570
oppress	oppressu	disgust	0.570
despise	disprezzanu	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	sirpenti	disgust	0.570
snake	serpente	disgust	0.562
terrible	terribbili	disgust	0.562
awful	horrible	disgust	0.562
harmful	preghjudiziu	disgust	0.562
insanity	insanità	disgust	0.562
indecent	indecentu	disgust	0.562
sordid	sordidu	disgust	0.562
loo	loo	disgust	0.562
scoundrel	piccuni	disgust	0.562
enemy	nimicu	disgust	0.562
stealing	robba	disgust	0.562
alcoholism	alcoholismu	disgust	0.562
humiliation	umiliazione	disgust	0.562
ruthless	spustamenti	disgust	0.562
sloppy	sloppy	disgust	0.562
tyrannical	tirranica	disgust	0.562
harlot	prustituita	disgust	0.562
sinning	piccatu	disgust	0.562
robbery	rottu	disgust	0.555
insufferable	insufrible	disgust	0.555
arsenic	arsenicu	disgust	0.555
bloody	sanguinanti	disgust	0.555
odious	odiosu	disgust	0.555
ridicule	ridicule	disgust	0.555
atrophy	atrofia	disgust	0.555
beastly	bestia	disgust	0.555
collusion	cunvinzione	disgust	0.555
distaste	disgrazia	disgust	0.555
segregate	segregate	disgust	0.555
discriminating	discriminà	disgust	0.555
coward	cobard	disgust	0.555
wickedness	iniquità	disgust	0.555
threatening	amminazzanti	disgust	0.555
unattractive	pocu attrattivu	disgust	0.555
slayer	slayer	disgust	0.555
flabby	flabby	disgust	0.555
varicella	varicella	disgust	0.555
miserable	miserabbili	disgust	0.547
sty	sty	disgust	0.547
ogre	ogre	disgust	0.547
coercion	curazioni	disgust	0.547
thief	u latru	disgust	0.547
slur	slur	disgust	0.547
suffocating	suffocating	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	purgatariu	disgust	0.547
malevolent	malevolente	disgust	0.547
bitterly	amara	disgust	0.547
burglar	burglar	disgust	0.547
attacking	attaccà	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	cunnanna	disgust	0.547
pillage	pillage	disgust	0.547
deleterious	deleterious	disgust	0.547
thrash	thrash	disgust	0.539
repellant	repellant	disgust	0.539
repudiation	repudiation	disgust	0.539
infidelity	infidelità	disgust	0.539
liar	mentri	disgust	0.539
fatty	grassi	disgust	0.539
gob	gambo	disgust	0.539
sneer	sneer	disgust	0.539
drunken	borraca	disgust	0.539
disgrace	disgraziatu	disgust	0.539
shame	vergogna	disgust	0.539
jealous	ghjilosu	disgust	0.539
imprisoned	imprigiunatu	disgust	0.539
pig	porcu	disgust	0.539
greedy	greedy	disgust	0.539
sloth	bradipo	disgust	0.539
lethal	letali	disgust	0.536
burnt	abbruciava	disgust	0.531
aberration	aberration	disgust	0.531
condescension	cundiscendenza	disgust	0.531
hydrocephalus	idrocefalite	disgust	0.531
hanging	attaccà	disgust	0.531
destructive	destruzzione	disgust	0.531
smuggler	smuggler	disgust	0.531
intolerant	intoleranti	disgust	0.531
travesty	cuncepimentu	disgust	0.531
intrusive	intrusiva	disgust	0.531
ruined	ruvinatu	disgust	0.531
withered	siccò	disgust	0.531
disintegrate	disintegrari	disgust	0.531
brawl	rey	disgust	0.531
blemish	tacchino	disgust	0.531
neurotic	neurotic	disgust	0.531
blasphemous	blaspemi	disgust	0.531
lying	chjinata	disgust	0.531
painful	dulurusi	disgust	0.531
avarice	avarice	disgust	0.523
disgraced	disgraced	disgust	0.523
mistress	mistress	disgust	0.523
disparaging	disparaging	disgust	0.523
rubbish	basura	disgust	0.523
derogation	derale	disgust	0.523
accusation	accusazioni	disgust	0.523
intolerance	intoleranza	disgust	0.523
incarceration	incarcerate	disgust	0.523
blighted	blighted	disgust	0.523
sump	sump	disgust	0.516
deplorable	deplore	disgust	0.516
daemon	daemon	disgust	0.516
cringe	cringe	disgust	0.516
degrade	degrade	disgust	0.516
gutter	gutter	disgust	0.516
rob	rob	disgust	0.516
grim	sternu	disgust	0.516
defraud	defraud	disgust	0.516
tortious	tortious	disgust	0.516
eradication	eradicazione	disgust	0.516
stink	stink	disgust	0.516
convict	cunvinti	disgust	0.516
dishonor	offisa	disgust	0.516
vulture	vulture	disgust	0.516
remains	ferma	disgust	0.516
mite	mite	disgust	0.516
betray	tradiscia	disgust	0.516
sham	fudda	disgust	0.509
endemic	endemichi	disgust	0.508
bombed	bummardamenti	disgust	0.508
distress	distress	disgust	0.508
pest	pesti	disgust	0.508
incurable	incurable	disgust	0.508
worthless	invalidu	disgust	0.508
rejection	rejetione	disgust	0.508
distasteful	disgrazia	disgust	0.508
schizophrenia	schizophrenia	disgust	0.508
belittle	belittle	disgust	0.508
smelling	ciauru	disgust	0.508
cheat	tramuntana	disgust	0.508
blob	blob	disgust	0.508
prisoner	prigiuneru	disgust	0.508
idiocy	idiocy	disgust	0.508
delirium	deliris	disgust	0.508
disaster	disastru	disgust	0.508
crude	crudeli	disgust	0.508
resentment	resinzione	disgust	0.508
dreadfully	dreadful	disgust	0.508
glut	glut	disgust	0.508
polemic	polémique	disgust	0.500
derision	sdrigu	disgust	0.500
idolatry	idolatrie	disgust	0.500
taboo	tabù	disgust	0.500
screaming	chiancennu	disgust	0.500
banish	banish	disgust	0.500
dirt	terra	disgust	0.500
goblin	goblin	disgust	0.500
shackle	manuccatore	disgust	0.500
bribery	còmpiu	disgust	0.500
flagrant	flagrante	disgust	0.500
jealousy	ghjilosu	disgust	0.500
impurity	impurity	disgust	0.500
theft	rouge	disgust	0.500
bitterness	amarezza	disgust	0.500
offense	offisa	disgust	0.500
impeach	impeach	disgust	0.500
blight	blight	disgust	0.500
duress	durizza	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	avidez	disgust	0.500
tirade	tirade	disgust	0.500
squirm	squirm	disgust	0.492
robber	sicilianu	disgust	0.492
ill	malatu	disgust	0.492
unconscionable	inconscionable	disgust	0.492
recession	ricessione	disgust	0.492
gorge	gorge	disgust	0.492
wreck	pesu	disgust	0.492
malign	malignu	disgust	0.492
boil	fogghi	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idiota	disgust	0.492
disreputable	disprezzu	disgust	0.492
wasteful	perdita	disgust	0.484
affliction	affliction	disgust	0.484
stain	tacchina	disgust	0.484
contempt	disprezzu	disgust	0.484
nappy	nappy	disgust	0.484
mutiny	mutiny	disgust	0.484
occult	occulto	disgust	0.484
tramp	vagabunnu	disgust	0.484
unbearable	insupportabile	disgust	0.484
offender	culpèvule	disgust	0.484
servile	servile	disgust	0.484
contraband	cuntrabandu	disgust	0.484
raging	raging	disgust	0.484
snarl	grùassu	disgust	0.484
mad	bellu ghjornu	disgust	0.484
subjugation	subjugazione	disgust	0.484
possessed	pussidia	disgust	0.484
animosity	animosità	disgust	0.484
aversation	aversa	disgust	0.484
defamation	difamazione	disgust	0.484
disrespectful	disrespectful	disgust	0.484
mess	mess mess	disgust	0.484
nepotism	u nepotismu	disgust	0.484
inexcusable	inexcusable	disgust	0.484
pathetic	patettu	disgust	0.477
unpleasant	pupulari	disgust	0.477
suppression	suppressione	disgust	0.477
mockery	burla	disgust	0.477
palsy	parsita	disgust	0.477
criminal	criminali	disgust	0.477
illegality	illegalità	disgust	0.477
uncaring	uncaring	disgust	0.477
antagonistic	antagonistic	disgust	0.477
immorality	immoralità	disgust	0.477
dismal	dismal	disgust	0.477
angry	in còllera	disgust	0.469
repellent	repellent	disgust	0.469
cough	a tette	disgust	0.469
arrogant	arruganti	disgust	0.469
grating	grating	disgust	0.469
aggravation	aggravation	disgust	0.469
livid	livid	disgust	0.469
banishment	bane	disgust	0.469
shoddy	chinu	disgust	0.469
banshee	banshee	disgust	0.469
poverty	miseria	disgust	0.469
wallow	murale	disgust	0.469
outrage	scarsi	disgust	0.469
mocking	si ne ridìanu	disgust	0.469
furious	furious	disgust	0.469
perspiration	sudatu	disgust	0.469
prick	picchittà	disgust	0.461
recklessness	imprudenza	disgust	0.461
distorted	distortu	disgust	0.461
fraudulent	fraudulent	disgust	0.461
spider	spider	disgust	0.461
quack	quack	disgust	0.461
perdition	perdizione	disgust	0.461
muddy	muddy	disgust	0.461
spurious	spurious	disgust	0.461
insulting	insulte	disgust	0.461
scar	scar	disgust	0.461
deceive	burlatu	disgust	0.461
unjustifiable	unjustificabile	disgust	0.461
fool	stupidu	disgust	0.461
deplore	deplore	disgust	0.461
plunder	scupracciu	disgust	0.461
aphid	aphid	disgust	0.453
bane	bane	disgust	0.453
indignation	indignazione	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	egoista	disgust	0.453
disparage	disparage	disgust	0.453
cur	cur	disgust	0.453
dishonest	inghjustu	disgust	0.453
stigma	stigma	disgust	0.453
eschew	evitari	disgust	0.453
antipathy	antipatyite	disgust	0.453
alienate	alluntanatu	disgust	0.453
disingenuous	disingenuous	disgust	0.453
elimination	eliminazione	disgust	0.453
unthinkable	impensate	disgust	0.453
wasted	piacè	disgust	0.445
recalcitrant	recalcitrant	disgust	0.445
iniquity	iniquità	disgust	0.445
mosquito	mosquito	disgust	0.445
caries	caries	disgust	0.445
bankruptcy	fallimentu	disgust	0.445
egotistical	egoista	disgust	0.445
piles	pilami	disgust	0.445
smell	oliu	disgust	0.445
vacuous	vacuous	disgust	0.445
despair	dispirazioni	disgust	0.445
opium	opium	disgust	0.445
garish	garish	disgust	0.445
lie	minzogna	disgust	0.445
pious	piatti	disgust	0.445
aversion	aversione	disgust	0.438
sticky	peghjanu	disgust	0.438
scream	chianciri	disgust	0.438
alien	stranieri	disgust	0.438
shun	scansa	disgust	0.438
abnormal	anormali	disgust	0.438
ashamed	vargugnate	disgust	0.438
inmate	prisenti	disgust	0.438
abject	abject	disgust	0.438
hog	hog	disgust	0.438
hopelessness	ingannu	disgust	0.438
homeless	immubiliari	disgust	0.438
obnoxious	odiu	disgust	0.438
curse	maladizzione	disgust	0.430
creature	criatura	disgust	0.430
cursing	cursing	disgust	0.430
illegal	illegale	disgust	0.430
lusty	arme	disgust	0.430
shameless	senza vardianu	disgust	0.430
debris	rascatura	disgust	0.430
defiance	sfida	disgust	0.430
pall	pall	disgust	0.430
falsity	falsità	disgust	0.430
reflux	reflux	disgust	0.430
incredulous	incredulous	disgust	0.430
adverse	avversu	disgust	0.430
trickery	trickery	disgust	0.430
callous	callous	disgust	0.430
separatist	separatist	disgust	0.430
undesirable	micca indelicità	disgust	0.430
denounce	denuncià	disgust	0.430
witch	Bru Bru	disgust	0.430
bum	bum	disgust	0.422
bovine	bovine	disgust	0.422
denunciation	denunzia	disgust	0.422
untidy	untidy	disgust	0.422
impure	impuru	disgust	0.422
mistrust	suspettu	disgust	0.422
tarnish	tarnish	disgust	0.422
ferocious	firoci	disgust	0.422
gush	gush	disgust	0.422
infantile	infantil	disgust	0.422
ammonia	ammonia	disgust	0.422
offend	offend	disgust	0.422
idiotic	idiotic	disgust	0.422
hypertrophy	ipertròfia	disgust	0.422
nicotine	nicotine	disgust	0.422
tasteless	senza gustu	disgust	0.422
pompous	pompi	disgust	0.422
socialist	sucialista	disgust	0.422
delinquent	delinquent	disgust	0.422
swarm	swarm	disgust	0.422
contentious	cuntzertu	disgust	0.422
carelessness	u trascuranza	disgust	0.422
hairy	pilusi	disgust	0.422
wasting	mischiendu	disgust	0.422
slush	slush	disgust	0.422
affront	affruntu	disgust	0.422
collapse	culleghju	disgust	0.422
badness	bundanza	disgust	0.422
dishonesty	iniquità	disgust	0.414
vegetative	vegetativu	disgust	0.414
displacency	disciprazziale	disgust	0.414
unfavorable	disgrazia	disgust	0.414
disobey	disubbidisci	disgust	0.414
sour	sour	disgust	0.414
socialism	u sucialismu	disgust	0.414
murky	murky	disgust	0.414
neglected	abbandunatu	disgust	0.414
drivel	daveru	disgust	0.414
vampire	vampire	disgust	0.414
litigious	litigiosa	disgust	0.414
illegitimate	illegitime	disgust	0.414
disgruntled	disgruntled	disgust	0.406
ignorant	ignorante	disgust	0.406
outcast	pezzu	disgust	0.406
unkind	unkind	disgust	0.406
repel	repel	disgust	0.406
displeasure	displeasure	disgust	0.406
phony	phony	disgust	0.406
shoplifting	tombu	disgust	0.406
dislike	dislike	disgust	0.406
unlawful	lliciti	disgust	0.406
bogus	bogus	disgust	0.406
discontinuity	discontinuità	disgust	0.406
recidivism	recidivism	disgust	0.406
ungrateful	ingrati	disgust	0.406
wrongdoing	tortu	disgust	0.406
falsify	falsificar	disgust	0.406
prosecution	prucessu	disgust	0.406
failure	fallimentu	disgust	0.398
loon	loon	disgust	0.398
lick	liccassi	disgust	0.398
subvert	subvertitu	disgust	0.398
rigor	rigore	disgust	0.398
unruly	unruly	disgust	0.398
paucity	paura	disgust	0.398
unnatural	unnaturale	disgust	0.398
averse	averse	disgust	0.398
senseless	sensu	disgust	0.398
worsening	agghioru	disgust	0.398
disdain	disprezzu	disgust	0.398
woe	ghjustu	disgust	0.398
woefully	miseria	disgust	0.398
amphetamines	anfetammi	disgust	0.398
stingy	stingy	disgust	0.398
crushing	frantumazione	disgust	0.398
insult	insulte	disgust	0.393
damage	danni	disgust	0.391
hardened	enduisciu	disgust	0.391
diatribe	diatribe	disgust	0.391
averseness	aversità	disgust	0.391
critter	critter	disgust	0.391
muff	muff	disgust	0.391
antisocial	antisocial	disgust	0.391
punishment	punizioni	disgust	0.391
bad	male	disgust	0.391
punished	punitu	disgust	0.391
disrelish	struitu	disgust	0.391
expel	scacciallu	disgust	0.391
farcical	fuddie	disgust	0.391
scorpion	scorpion	disgust	0.391
sacrifices	sacrificà	disgust	0.383
plagiarism	plagiu	disgust	0.383
hypocritical	ipocritica	disgust	0.383
divorce	u divorziu	disgust	0.383
presumptuous	presumitu	disgust	0.383
discord	discord	disgust	0.383
fugitive	fugitive	disgust	0.383
fulsome	fulsome	disgust	0.383
shabby	brutta	disgust	0.383
orc	orc	disgust	0.383
adder	adder	disgust	0.383
anaconda	anaconda	disgust	0.383
surly	surly	disgust	0.383
irrational	irrational	disgust	0.383
disappoint	falliu	disgust	0.383
illiterate	analfabbe	disgust	0.383
lament	lamentu	disgust	0.383
eviction	evuluzione	disgust	0.383
teeming	brastu	disgust	0.383
guilt	culpèvule	disgust	0.383
misconduct	misconduct	disgust	0.375
blame	culpèvule	disgust	0.375
alienation	alienazione	disgust	0.375
depressing	depressing	disgust	0.375
irritating	irritanti	disgust	0.375
plight	svantaghju	disgust	0.375
unworthy	indignu	disgust	0.375
dislocated	dislocated	disgust	0.375
scoff	scacciallu	disgust	0.375
irritation	irritazione	disgust	0.375
defective	difettu	disgust	0.375
shock	scossa	disgust	0.375
hoax	farsa	disgust	0.367
coerce	cumbattimentu	disgust	0.367
revoke	revucà	disgust	0.367
stripped	striatu	disgust	0.367
exclusion	spusizioni	disgust	0.367
blatant	flagrante	disgust	0.367
disillusionment	disillusionamentu	disgust	0.367
squelch	squelch	disgust	0.367
unhealthy	malsano	disgust	0.367
toad	sapori	disgust	0.367
wimpy	wimpy	disgust	0.367
pitfall	pitfall	disgust	0.367
vainly	vainly	disgust	0.367
powerless	impotente	disgust	0.367
cad	cad	disgust	0.367
hurtful	fugliale	disgust	0.367
shuddering	scrusciu	disgust	0.367
wimp	wimp	disgust	0.367
oddity	oddity	disgust	0.359
rebellion	ribellioni	disgust	0.359
incompatible	incompatibile	disgust	0.359
ineptitude	ineptitude	disgust	0.359
dispose	dispose	disgust	0.359
disobedience	disubbidenza	disgust	0.359
damn	damn	disgust	0.359
bug	bug	disgust	0.359
deserted	disertu	disgust	0.359
litigate	litigate	disgust	0.352
ridiculous	ridìdiu	disgust	0.352
compost	cumpostu	disgust	0.352
obi	obi	disgust	0.352
untoward	untoward	disgust	0.352
censor	censor	disgust	0.352
uncertain	incertu	disgust	0.352
lawyer	avvucatu	disgust	0.352
flinch	flinch	disgust	0.352
flesh	carne	disgust	0.352
crushed	struitu	disgust	0.352
displeased	displeased	disgust	0.352
inept	inept	disgust	0.352
wrongful	sbagliatu	disgust	0.352
cutting	tagliu	disgust	0.352
fierce	feroci	disgust	0.352
misbehavior	misbilateru	disgust	0.352
frustrate	frustri	disgust	0.352
dismissal	licinziamentu	disgust	0.352
disapprove	disapprovate	disgust	0.344
depreciate	depreciate	disgust	0.344
tearful	vurpi	disgust	0.344
thoughtless	pinsatu	disgust	0.336
unsettled	inestazione	disgust	0.336
lumpy	bagnu	disgust	0.336
discoloration	discolorazione	disgust	0.336
blunder	piccatu	disgust	0.336
disinclination	disideru	disgust	0.336
distrust	distrust	disgust	0.336
annoy	annoys	disgust	0.336
lawsuit	a causa	disgust	0.336
discontent	scontintu	disgust	0.336
grumble	murmutulà	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	daft	disgust	0.336
heartsick	corsicanu	disgust	0.336
disliked	ùn ti piace	disgust	0.336
bickering	dumandava	disgust	0.336
