word	Polish-pl	emotion	emotion-intensity-score
hypothesis	hipoteza	anticipation	0.562
accolade	uznanie	anticipation	0.562
lover	kochanek	anticipation	0.562
quicken	ożywiać	anticipation	0.562
champion	mistrz	anticipation	0.562
lovely	śliczny	anticipation	0.555
rejoicing	radość	anticipation	0.555
grasping	chwytający	anticipation	0.555
grow	rosnąć	anticipation	0.555
curiosity	ciekawość	anticipation	0.555
splendor	splendor	anticipation	0.555
salvation	zbawienie	anticipation	0.555
happy	szczęśliwy	anticipation	0.555
oracle	wyrocznia	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	rozwijać się	anticipation	0.555
boisterous	porywisty	anticipation	0.555
liberty	wolność	anticipation	0.555
heroism	bohaterstwo	anticipation	0.555
feeling	uczucie	anticipation	0.555
shopping	zakupy	anticipation	0.555
fate	los	anticipation	0.555
uneasiness	niepokój	anticipation	0.555
speculative	spekulacyjny	anticipation	0.555
changeable	zmienny	anticipation	0.547
recreational	rekreacyjny	anticipation	0.547
pray	modlić się	anticipation	0.547
warn	ostrzec	anticipation	0.547
suspicious	podejrzany	anticipation	0.547
convergence	konwergencja	anticipation	0.547
incite	nawoływać	anticipation	0.547
agape	agapa	anticipation	0.547
morrow	nazajutrz	anticipation	0.547
abundance	obfitość	anticipation	0.547
delighted	zachwycony	anticipation	0.547
resultant	wynikowy	anticipation	0.547
hungry	głodny	anticipation	0.547
monetary	monetarny	anticipation	0.547
vote	głosować	anticipation	0.547
glory	chwała	anticipation	0.547
glimmer	ogienek	anticipation	0.547
apprehensive	lękliwy	anticipation	0.547
sorcery	czary	anticipation	0.547
bountiful	hojny	anticipation	0.547
leisure	wolny czas	anticipation	0.547
probability	prawdopodobieństwo	anticipation	0.547
auction	Aukcja	anticipation	0.539
hunting	polowanie	anticipation	0.539
contingent	kontyngent	anticipation	0.539
hankering	tęsknota	anticipation	0.539
sensual	zmysłowy	anticipation	0.539
blessings	błogosławieństwa	anticipation	0.539
ballot	balotować	anticipation	0.539
grandchildren	wnuki	anticipation	0.539
entertainment	zabawa	anticipation	0.539
vindication	windykacja	anticipation	0.539
worrying	frasobliwy	anticipation	0.539
tempest	nawałnica	anticipation	0.539
inquiry	zapytanie ofertowe	anticipation	0.539
merge	łączyć	anticipation	0.539
exceed	przekraczać	anticipation	0.539
bounty	hojność	anticipation	0.539
glad	zadowolony	anticipation	0.536
magnificent	wspaniały	anticipation	0.531
feat	wyczyn	anticipation	0.531
stealthy	ukradkowy	anticipation	0.531
cheer	dopingować	anticipation	0.531
spirits	duchy	anticipation	0.531
visitor	gość	anticipation	0.531
appeal	apel	anticipation	0.531
forming	formowanie	anticipation	0.531
hurried	pośpieszny	anticipation	0.531
responsive	czuły	anticipation	0.531
virginity	dziewictwo	anticipation	0.531
deliverance	uwolnienie	anticipation	0.531
betrothed	narzeczony	anticipation	0.531
overthrow	obalenie	anticipation	0.531
harbinger	zwiastun	anticipation	0.531
raving	bredzenie	anticipation	0.531
celestial	niebiański	anticipation	0.531
dread	strach	anticipation	0.531
germination	kiełkowanie	anticipation	0.523
preparatory	przygotowawczy	anticipation	0.523
pleasant	przyjemne	anticipation	0.523
watch	zegarek	anticipation	0.523
prophet	prorok	anticipation	0.523
prognostic	prognostyczny	anticipation	0.523
haste	pośpiech	anticipation	0.523
planning	planowanie	anticipation	0.523
importance	znaczenie	anticipation	0.523
radiance	blask	anticipation	0.523
prevail	panować	anticipation	0.523
cheery	wesoły	anticipation	0.523
competition	zawody	anticipation	0.523
ultimately	ostatecznie	anticipation	0.523
revive	wskrzesić	anticipation	0.523
beaming	rozpromieniony	anticipation	0.523
wait	czekać	anticipation	0.523
child	dziecko	anticipation	0.523
notification	powiadomienie	anticipation	0.523
hunter	Łowca	anticipation	0.523
explosive	materiał wybuchowy	anticipation	0.523
endanger	narazić	anticipation	0.516
time	czas	anticipation	0.516
recreation	rekreacja	anticipation	0.516
renovation	renowacja	anticipation	0.516
precious	cenny	anticipation	0.516
begun	zaczął	anticipation	0.516
loom	warsztat tkacki	anticipation	0.516
compensate	kompensować	anticipation	0.516
treat	leczyć	anticipation	0.516
uncontrollable	niepowstrzymany	anticipation	0.516
present	obecny	anticipation	0.516
salary	wynagrodzenie	anticipation	0.516
celebrity	sława	anticipation	0.516
owing	należny	anticipation	0.516
chocolate	czekolada	anticipation	0.516
caution	Uwaga	anticipation	0.516
fermentation	fermentacja	anticipation	0.516
sensuality	zmysłowość	anticipation	0.516
wilderness	pustynia	anticipation	0.508
signify	oznaczać	anticipation	0.508
transitional	przejściowy	anticipation	0.508
intermission	przerwa	anticipation	0.508
contemplation	kontemplacja	anticipation	0.508
vigilance	czujność	anticipation	0.508
commemoration	uczczenie pamięci	anticipation	0.508
practise	ćwiczyć	anticipation	0.508
cue	replika	anticipation	0.508
infant	Dziecko	anticipation	0.508
dreadful	straszny	anticipation	0.508
perfection	doskonałość	anticipation	0.508
elevation	podniesienie	anticipation	0.508
prerequisite	warunek wstępny	anticipation	0.508
cultivate	kultywować	anticipation	0.508
horizon	horyzont	anticipation	0.508
develop	rozwijać	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	pływać	anticipation	0.500
attendance	frekwencja	anticipation	0.500
nascent	powstający	anticipation	0.500
favorable	korzystny	anticipation	0.500
peril	niebezpieczeństwo	anticipation	0.500
income	dochód	anticipation	0.500
ardent	żarliwy	anticipation	0.500
commemorate	uczcić	anticipation	0.500
doomsday	Dzień Sądu Ostatecznego	anticipation	0.500
reconciliation	pojednanie	anticipation	0.500
utopian	utopijny	anticipation	0.500
romantic	romantyczny	anticipation	0.500
unbridled	nieokiełznany	anticipation	0.500
sunny	słoneczny	anticipation	0.500
uphill	pod górę	anticipation	0.500
intuitively	intuicyjnie	anticipation	0.500
depart	odstąpić	anticipation	0.500
eventuality	ewentualność	anticipation	0.500
puppy	szczeniak	anticipation	0.500
zeal	gorliwość	anticipation	0.500
sneaking	skradanie się	anticipation	0.500
ready	gotowy	anticipation	0.500
advocacy	rzecznictwo	anticipation	0.500
airport	Lotnisko	anticipation	0.500
litigate	procesować się	anticipation	0.500
blindfold	po omacku	anticipation	0.500
undisclosed	niejawne	anticipation	0.500
young	młody	anticipation	0.500
horoscope	horoskop	anticipation	0.500
invocation	wezwanie	anticipation	0.500
calculation	obliczenie	anticipation	0.500
hero	bohater	anticipation	0.500
court	Sąd	anticipation	0.492
repay	odwdzięczyć się	anticipation	0.492
improvise	improwizować	anticipation	0.492
parole	zwolnienie warunkowe	anticipation	0.492
worry	martwić się	anticipation	0.492
inauguration	inauguracja	anticipation	0.492
gaping	rozdziawiony	anticipation	0.492
youth	młodość	anticipation	0.492
bless	błogosławić	anticipation	0.492
defense	obrona	anticipation	0.492
heyday	szczyt	anticipation	0.492
consequent	następnik	anticipation	0.492
proceeding	postępowanie	anticipation	0.492
eventual	Ewentualny	anticipation	0.492
perspective	perspektywiczny	anticipation	0.492
restorative	wzmacniający	anticipation	0.492
undertaking	przedsiębiorstwo	anticipation	0.492
highest	najwyższy	anticipation	0.491
duel	pojedynek	anticipation	0.484
unexplained	niewyjaśnione	anticipation	0.484
tremor	drżenie	anticipation	0.484
sharpen	wyostrzyć	anticipation	0.484
generosity	hojność	anticipation	0.484
voluptuous	zmysłowy	anticipation	0.484
shortly	wkrótce	anticipation	0.484
vow	przysięga	anticipation	0.484
contagion	zakażenie	anticipation	0.484
letter	list	anticipation	0.484
happen	zdarzyć	anticipation	0.484
threaten	grozić	anticipation	0.484
conjure	czarować	anticipation	0.484
sparkle	blask	anticipation	0.484
engulf	pochłaniać	anticipation	0.484
god	Bóg	anticipation	0.484
correspondence	korespondencja	anticipation	0.484
auspicious	pomyślny	anticipation	0.484
princely	książęcy	anticipation	0.484
adore	adorować	anticipation	0.477
enroll	zapisać	anticipation	0.477
determinate	zdeterminować	anticipation	0.477
predispose	predysponować	anticipation	0.477
clue	Wskazówka	anticipation	0.477
onset	początek	anticipation	0.477
powerful	potężny	anticipation	0.477
glorify	chwalić	anticipation	0.477
glow	poświata	anticipation	0.477
arbitration	arbitraż	anticipation	0.477
torture	torturować	anticipation	0.477
gravitate	grawitować	anticipation	0.477
cherish	kochać	anticipation	0.477
contemplate	rozważać	anticipation	0.477
submit	Zatwierdź	anticipation	0.477
perilous	niebezpieczny	anticipation	0.477
unification	zjednoczenie	anticipation	0.477
score	wynik	anticipation	0.477
medal	medal	anticipation	0.477
glide	poślizg	anticipation	0.477
recipient	odbiorca	anticipation	0.477
accompaniment	akompaniament	anticipation	0.477
praiseworthy	godny pochwały	anticipation	0.473
providing	że	anticipation	0.469
motion	ruch	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	ostrożny	anticipation	0.469
cash	gotówka	anticipation	0.469
precursor	prekursor	anticipation	0.469
opera	opera	anticipation	0.469
elite	elita	anticipation	0.469
pry	wyważać	anticipation	0.469
hire	zatrudnić	anticipation	0.469
sweets	słodycze	anticipation	0.469
star	gwiazda	anticipation	0.469
unsurpassed	niezrównany	anticipation	0.469
successful	odnoszący sukcesy	anticipation	0.469
unknown	nieznany	anticipation	0.469
immediately	natychmiast	anticipation	0.469
starry	gwiaździsty	anticipation	0.469
production	produkcja	anticipation	0.469
football	piłka nożna	anticipation	0.469
completion	ukończenie	anticipation	0.469
scare	przestraszyć	anticipation	0.469
invoke	odwołać się	anticipation	0.469
shaky	chwiejny	anticipation	0.469
dawn	świt	anticipation	0.469
creeping	pnący	anticipation	0.469
cheerfulness	wesołość	anticipation	0.461
soundness	solidność	anticipation	0.461
mail	Poczta	anticipation	0.461
draft	wersja robocza	anticipation	0.461
preliminary	wstępny	anticipation	0.461
friendly	przyjazny	anticipation	0.461
commemorative	pamiątkowy	anticipation	0.461
extricate	wydobyć	anticipation	0.461
alive	żywy	anticipation	0.461
untold	niewypowiedziany	anticipation	0.461
overture	uwertura	anticipation	0.461
excel	przewyższać	anticipation	0.461
plight	sytuacja	anticipation	0.461
synchronize	synchronizować	anticipation	0.461
punt	barka płaskodenna	anticipation	0.461
sanctuary	sanktuarium	anticipation	0.461
brilliant	znakomity	anticipation	0.461
pay	zapłacić	anticipation	0.461
shining	świecący	anticipation	0.461
regatta	regaty	anticipation	0.461
testament	testament	anticipation	0.461
jeopardy	niebezpieczeństwo	anticipation	0.461
perpetuity	wieczność	anticipation	0.453
elegance	elegancja	anticipation	0.453
career	kariera	anticipation	0.453
basketball	Koszykówka	anticipation	0.453
intimately	intymnie	anticipation	0.453
renovate	odnawiać	anticipation	0.453
supremacy	zwierzchnictwo	anticipation	0.453
infinity	nieskończoność	anticipation	0.453
unexpected	niespodziewany	anticipation	0.453
flinch	wzdrygnąć się	anticipation	0.453
complement	komplement	anticipation	0.453
prologue	prolog	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	zapobieganie	anticipation	0.453
improve	ulepszać	anticipation	0.453
sunset	zachód słońca	anticipation	0.453
inaugural	inauguracyjny	anticipation	0.453
rehabilitation	rehabilitacja	anticipation	0.453
fitting	dopasowywanie	anticipation	0.445
surround	otaczać	anticipation	0.445
share	dzielić	anticipation	0.445
epidemic	epidemia	anticipation	0.445
sweet	Słodkie	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	ukrywanie	anticipation	0.445
confidence	pewność siebie	anticipation	0.445
perfect	idealny	anticipation	0.445
sun	słońce	anticipation	0.445
veracity	prawdziwość	anticipation	0.445
volunteer	wolontariusz	anticipation	0.445
conjecture	przypuszczenie	anticipation	0.445
medical	medyczny	anticipation	0.438
prepared	przygotowany	anticipation	0.438
superstitious	przesądny	anticipation	0.438
reconstruction	rekonstrukcja	anticipation	0.438
tickle	łaskotać	anticipation	0.438
faith	wiara	anticipation	0.438
passenger	pasażer	anticipation	0.438
saint	święty	anticipation	0.438
respect	Poszanowanie	anticipation	0.438
rabid	wściekły	anticipation	0.438
reconstruct	zrekonstruować	anticipation	0.438
recombination	rekombinacja	anticipation	0.438
devout	pobożny	anticipation	0.438
goodness	dobroć	anticipation	0.438
angel	anioł	anticipation	0.438
ferment	ferment	anticipation	0.438
plea	zarzut	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	seryjny	anticipation	0.438
conservation	ochrona	anticipation	0.438
serenity	spokój	anticipation	0.430
tabulate	tabularyzować	anticipation	0.430
install	zainstalować	anticipation	0.430
labyrinth	labirynt	anticipation	0.430
venerable	czcigodny	anticipation	0.430
perpetuate	uwiecznić	anticipation	0.430
strategist	strateg	anticipation	0.430
unverified	niesprawdzony	anticipation	0.430
tribunal	trybunał	anticipation	0.430
charitable	charytatywny	anticipation	0.430
luscious	soczysty	anticipation	0.430
spa	spa	anticipation	0.430
peace	pokój	anticipation	0.430
clap	klaskać	anticipation	0.430
conspirator	spiskowiec	anticipation	0.422
forestall	uprzedzać	anticipation	0.422
patience	cierpliwość	anticipation	0.422
oasis	oaza	anticipation	0.422
grin	szeroki uśmiech	anticipation	0.422
revere	czcić	anticipation	0.422
worship	kult	anticipation	0.422
vista	widok	anticipation	0.422
laughter	śmiech	anticipation	0.422
volatility	zmienność	anticipation	0.422
adrift	dryfujący	anticipation	0.422
candid	szczery	anticipation	0.422
edification	pozytywny wpływ	anticipation	0.422
unresolved	nie rozwiązany	anticipation	0.422
peaceful	spokojna	anticipation	0.422
recognizable	rozpoznawalny	anticipation	0.422
calls	połączenia	anticipation	0.414
weigh	ważyć	anticipation	0.414
probation	staż	anticipation	0.414
proficiency	biegłość	anticipation	0.414
morn	poranek	anticipation	0.414
craps	Craps	anticipation	0.414
detainee	aresztowany	anticipation	0.414
mediate	pośredniczyć	anticipation	0.414
continue	dalej	anticipation	0.414
astrologer	astrolog	anticipation	0.414
punctual	punktualny	anticipation	0.414
ordination	wyświęcenie	anticipation	0.414
pretty	ładny	anticipation	0.414
thought	myśl	anticipation	0.414
grant	dotacja	anticipation	0.414
withstand	wytrzymać	anticipation	0.414
frisky	rozbrykany	anticipation	0.414
ongoing	trwający	anticipation	0.414
sing	śpiewać	anticipation	0.411
long	długie	anticipation	0.406
confession	wyznanie	anticipation	0.406
headlight	reflektor	anticipation	0.406
prophylactic	profilaktyczny	anticipation	0.406
mother	mama	anticipation	0.406
debenture	obligacja	anticipation	0.406
wizard	czarodziej	anticipation	0.406
university	Uniwersytet	anticipation	0.406
proud	dumny	anticipation	0.406
midwife	położna	anticipation	0.406
banquet	bankiet	anticipation	0.406
continuation	kontynuacja	anticipation	0.406
navigable	żeglowny	anticipation	0.406
punished	ukarany	anticipation	0.406
chicane	szykany	anticipation	0.406
comfort	komfort	anticipation	0.406
opponent	przeciwnik	anticipation	0.406
subscribe	subskrybować	anticipation	0.406
outdo	przelicytować	anticipation	0.406
nurture	wychowanie	anticipation	0.406
twinkle	migotanie	anticipation	0.406
deal	sprawa	anticipation	0.402
efficient	wydajny	anticipation	0.398
representing	reprezentowanie	anticipation	0.398
simmer	dusić	anticipation	0.398
symphony	symfonia	anticipation	0.398
judiciary	sądownictwo	anticipation	0.398
obliging	uczynny	anticipation	0.398
saintly	świętobliwy	anticipation	0.398
vigil	czuwanie	anticipation	0.398
death	śmierć	anticipation	0.398
distracting	rozpraszające	anticipation	0.398
mortification	umartwienie	anticipation	0.398
balm	balsam	anticipation	0.398
guillotine	gilotyna	anticipation	0.398
top	Top	anticipation	0.398
lettered	wyliterowany	anticipation	0.398
reliance	poleganie	anticipation	0.398
poke	szturchać	anticipation	0.391
unfulfilled	niespełnione	anticipation	0.391
assurance	zapewnienie	anticipation	0.391
condemnation	potępienie	anticipation	0.391
undoubted	niewątpliwy	anticipation	0.391
diplomacy	dyplomacja	anticipation	0.391
familiarity	znajomość	anticipation	0.391
antidote	antidotum	anticipation	0.391
chuckle	chichot	anticipation	0.391
objective	cel	anticipation	0.391
maternal	macierzyński	anticipation	0.391
abeyance	stan zawieszenia	anticipation	0.391
art	sztuka	anticipation	0.391
linger	marudzić	anticipation	0.391
trust	zaufanie	anticipation	0.391
depraved	zdeprawowany	anticipation	0.391
sanctify	uświęcać	anticipation	0.391
inoculation	szczepienie ochronne	anticipation	0.384
chant	intonować	anticipation	0.383
banger	banger	anticipation	0.383
playground	plac zabaw	anticipation	0.383
failing	w braku	anticipation	0.383
ship	statek	anticipation	0.383
hymn	hymn	anticipation	0.383
simplify	uproszczać	anticipation	0.383
ram	Baran	anticipation	0.383
labor	praca	anticipation	0.383
discretion	dyskrecja	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	dobry	anticipation	0.383
scientist	naukowiec	anticipation	0.383
undecided	niezdecydowany	anticipation	0.383
humanitarian	humanitarny	anticipation	0.383
depend	zależeć	anticipation	0.383
dutiful	dbający	anticipation	0.383
clock	zegar	anticipation	0.375
sterling	szterling	anticipation	0.375
mountain	Góra	anticipation	0.375
savor	smak	anticipation	0.375
recurrent	nawracający	anticipation	0.375
interim	tymczasowy	anticipation	0.375
navigator	nawigator	anticipation	0.375
gradual	stopniowy	anticipation	0.375
interminable	nie kończący się	anticipation	0.375
track	tor	anticipation	0.375
public	publiczny	anticipation	0.375
cradle	kolebka	anticipation	0.375
concealed	ukryty	anticipation	0.367
lesson	lekcja	anticipation	0.367
instructions	instrukcje	anticipation	0.367
shiver	dreszcz	anticipation	0.367
musical	musical	anticipation	0.367
towering	wysoki	anticipation	0.367
whim	kaprys	anticipation	0.367
spear	włócznia	anticipation	0.367
convince	przekonać	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	przestrzegać	anticipation	0.367
biennial	dwuletni	anticipation	0.367
theology	teologia	anticipation	0.359
offset	offsetowy	anticipation	0.359
atone	odpokutować	anticipation	0.359
timidity	nieśmiałość	anticipation	0.359
theory	teoria	anticipation	0.359
undying	nieśmiertelny	anticipation	0.359
plump	pulchny	anticipation	0.359
audience	publiczność	anticipation	0.357
nobility	szlachta	anticipation	0.352
paragon	wzór doskonałości	anticipation	0.352
dietary	dietetyczny	anticipation	0.352
closure	zamknięcie	anticipation	0.352
store	sklep	anticipation	0.352
localize	zlokalizować	anticipation	0.352
cramp	skurcz	anticipation	0.352
daily	codziennie	anticipation	0.352
kindred	krewni	anticipation	0.352
farm	gospodarstwo rolne	anticipation	0.352
edition	wydanie	anticipation	0.352
consecration	poświęcenie	anticipation	0.352
archaeology	archeologia	anticipation	0.344
mobile	mobilny	anticipation	0.344
errand	zadanie	anticipation	0.344
wireless	bezprzewodowy	anticipation	0.344
mutable	zmienny	anticipation	0.344
meditate	medytować	anticipation	0.344
stripped	obnażony	anticipation	0.344
lessen	zmniejszać	anticipation	0.336
unaccountable	niezrozumiały	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	braterski	anticipation	0.336
buddy	kumpel	anticipation	0.336
unbeaten	nie pobity	anticipation	0.336
germ	zalążek	anticipation	0.336
dove	gołąb	anticipation	0.328
digress	błądzić	anticipation	0.328
ribbon	faborek	anticipation	0.328
olfactory	węchowy	anticipation	0.328
patient	cierpliwy	anticipation	0.328
council	rada	anticipation	0.328
possess	posiadać	anticipation	0.328
secular	świecki	anticipation	0.328
chastity	czystość	anticipation	0.328
disposed	unieszkodliwiony	anticipation	0.320
regularity	prawidłowość	anticipation	0.320
mediator	mediator	anticipation	0.320
scrutinize	lustrować	anticipation	0.320
fancy	fantazyjny	anticipation	0.320
immature	niedojrzały	anticipation	0.320
infanticide	dzieciobójca	anticipation	0.320
heft	waga	anticipation	0.320
preservative	konserwant	anticipation	0.320
paddle	wiosłować	anticipation	0.320
cove	zatoczka	anticipation	0.320
denying	zaprzeczanie	anticipation	0.312
bugle	dąbrówka	anticipation	0.312
unpublished	niepublikowane	anticipation	0.312
analyst	analityk	anticipation	0.312
grim	ponury	anticipation	0.312
church	kościół	anticipation	0.312
priesthood	kapłaństwo	anticipation	0.305
mill	młyn	anticipation	0.305
judicial	sądowy	anticipation	0.305
broadside	burta	anticipation	0.305
tributary	dopływ	anticipation	0.297
cap	czapka z daszkiem	anticipation	0.297
thermocouple	termoelement	anticipation	0.297
dismay	przerażenie	anticipation	0.297
instructor	instruktor	anticipation	0.297
saliva	ślina	anticipation	0.297
exhaustion	wyczerpanie	anticipation	0.297
bruise	siniak	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	bezdomny	anticipation	0.289
visor	przyłbica	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	sieć	anticipation	0.289
shackle	jarzmo	anticipation	0.289
addresses	adresy	anticipation	0.289
noncompliance	niezgodność	anticipation	0.289
cataract	zaćma	anticipation	0.289
skewed	przekrzywiony	anticipation	0.281
astronomer	astronom	anticipation	0.281
neighbor	sąsiad	anticipation	0.281
holiness	świętość	anticipation	0.273
devil	diabeł	anticipation	0.273
cream	krem	anticipation	0.273
picket	szpica	anticipation	0.273
latent	utajony	anticipation	0.273
immaturity	niedojrzałość	anticipation	0.273
sentence	zdanie	anticipation	0.273
neighborhood	sąsiedztwo	anticipation	0.266
morals	moralność	anticipation	0.266
lull	zastój	anticipation	0.266
habitual	zwykły	anticipation	0.266
weight	waga	anticipation	0.258
bye	PA	anticipation	0.258
forearm	przedramię	anticipation	0.250
clown	błazen	anticipation	0.250
organ	organ	anticipation	0.250
quote	zacytować	anticipation	0.242
commonplace	komunał	anticipation	0.242
dictatorship	dyktatura	anticipation	0.234
board	tablica	anticipation	0.234
white	biały	anticipation	0.234
treadmill	bieżnia	anticipation	0.234
rail	szyna	anticipation	0.234
sundial	zegar słoneczny	anticipation	0.227
tree	drzewo	anticipation	0.227
paralysis	paraliż	anticipation	0.211
worm	robak	anticipation	0.203
organization	organizacja	anticipation	0.203
cement	cement	anticipation	0.203
lagging	otulina	anticipation	0.180
neutral	neutralny	anticipation	0.148
cannibalism	kanibalizm	disgust	0.953
mutilation	okaleczenie	disgust	0.930
molestation	molestowanie	disgust	0.914
incest	kazirodztwo	disgust	0.914
gonorrhea	rzeżączka	disgust	0.906
rape	rzepak	disgust	0.906
cannibal	kanibal	disgust	0.898
rot	gnić	disgust	0.891
corpse	zwłoki	disgust	0.883
massacre	masakra	disgust	0.883
excrement	odchody	disgust	0.883
slaughter	ubój	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	rzeźnia	disgust	0.867
rancid	zjełczały	disgust	0.859
sewerage	kanalizacja	disgust	0.859
incestuous	kazirodczy	disgust	0.859
filth	brud	disgust	0.859
bigot	bigot	disgust	0.859
infestation	infestacja	disgust	0.852
plague	plaga	disgust	0.852
bloodthirsty	krwiożerczy	disgust	0.852
holocaust	całopalenie	disgust	0.852
rotting	gnić	disgust	0.844
maggot	czerw	disgust	0.844
feces	kał	disgust	0.844
fecal	kał	disgust	0.844
murder	morderstwo	disgust	0.839
infanticide	dzieciobójca	disgust	0.836
homicide	zabójstwo	disgust	0.836
asshole	dupek	disgust	0.836
enslaved	zniewolony	disgust	0.836
gore	klin	disgust	0.828
perverted	zdemoralizowany	disgust	0.828
torture	torturować	disgust	0.828
slaughtering	ubój	disgust	0.828
excretion	wydalanie	disgust	0.828
contaminate	zanieczyścić	disgust	0.821
murderer	morderca	disgust	0.820
gory	krwawy	disgust	0.820
repugnant	odrażający	disgust	0.820
desecration	profanacja	disgust	0.820
grotesque	groteskowy	disgust	0.820
revolting	oburzający	disgust	0.820
diarrhoea	biegunka	disgust	0.820
manure	nawóz	disgust	0.820
terrorist	terrorysta	disgust	0.820
shit	gówno	disgust	0.820
pervert	zboczeniec	disgust	0.820
slavery	niewolnictwo	disgust	0.812
faeces	kał	disgust	0.812
sewer	kanał ściekowy	disgust	0.812
vomit	wymiociny	disgust	0.812
manslaughter	zabójstwo	disgust	0.812
dismemberment	amputacja	disgust	0.812
cadaver	zwłoki	disgust	0.812
hemorrhage	krwotok	disgust	0.805
repulsive	odpychający	disgust	0.805
perverse	przewrotny	disgust	0.805
filthy	brudny	disgust	0.797
sewage	ścieki	disgust	0.797
depravity	deprawacja	disgust	0.797
diseased	chory	disgust	0.797
carcass	tusza	disgust	0.795
decompose	rozkładać się	disgust	0.789
vermin	robactwo	disgust	0.789
puke	rzygać	disgust	0.789
parasite	pasożyt	disgust	0.789
horrific	przerażający	disgust	0.789
gruesome	makabryczny	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	okaleczony	disgust	0.789
murderous	morderczy	disgust	0.789
decayed	zepsute	disgust	0.789
herpes	opryszczka	disgust	0.789
slime	szlam	disgust	0.781
flatulence	bębnica	disgust	0.781
monstrosity	potworność	disgust	0.781
carnage	rzeź	disgust	0.781
pestilence	zaraza	disgust	0.781
malaria	malaria	disgust	0.781
crap	bzdury	disgust	0.781
toxic	toksyczny	disgust	0.773
loathsome	odrażający	disgust	0.773
insidious	podstępny	disgust	0.773
leprosy	trąd	disgust	0.773
morgue	kostnica	disgust	0.773
pus	ropa	disgust	0.773
herpesvirus	herpeswirus	disgust	0.773
whore	kurwa	disgust	0.766
cruel	okrutny	disgust	0.766
repugnance	wstręt	disgust	0.766
revulsion	wstręt	disgust	0.766
xenophobia	ksenofobia	disgust	0.766
regurgitation	niedomykalność	disgust	0.766
anthrax	wąglik	disgust	0.766
lynch	zlinczować	disgust	0.766
dissection	sekcja	disgust	0.759
canker	rak	disgust	0.758
cruelty	okrucieństwo	disgust	0.758
perversion	perwersja	disgust	0.758
evil	zło	disgust	0.758
slum	slums	disgust	0.758
infectious	zakaźny	disgust	0.758
mucous	śluzowaty	disgust	0.758
phlegm	flegma	disgust	0.758
leeches	pijawki	disgust	0.750
decomposition	rozkład	disgust	0.750
sinister	złowrogi	disgust	0.750
corrupting	korumpujący	disgust	0.750
demon	Demon	disgust	0.742
stinking	śmierdzący	disgust	0.742
septic	septyczny	disgust	0.742
deranged	obłąkany	disgust	0.742
bile	żółć	disgust	0.742
soiled	zabrudzony	disgust	0.742
mucus	śluz	disgust	0.742
abhorrence	wstręt	disgust	0.742
abomination	wstręt	disgust	0.742
sickening	obrzydliwy	disgust	0.742
demonic	demoniczny	disgust	0.742
foul	faul	disgust	0.734
obese	otyły	disgust	0.734
sicken	oburzać	disgust	0.734
degeneracy	degeneracja	disgust	0.734
crucifixion	ukrzyżowanie	disgust	0.734
despicable	podły	disgust	0.734
cancer	nowotwór	disgust	0.734
atrocity	okrucieństwo	disgust	0.734
terrorism	terroryzm	disgust	0.734
dirty	brudny	disgust	0.727
dysentery	czerwonka	disgust	0.727
adultery	cudzołóstwo	disgust	0.727
contamination	zanieczyszczenie	disgust	0.727
bacterium	bakteria	disgust	0.727
diabolical	diaboliczny	disgust	0.727
morbidity	zachorowalność	disgust	0.727
grisly	przerażający	disgust	0.727
repulsion	odpychanie	disgust	0.727
enema	lewatywa	disgust	0.727
contagion	zakażenie	disgust	0.719
disfigured	oszpecone	disgust	0.719
muck	błoto	disgust	0.719
lewd	sprośny	disgust	0.719
garbage	Śmieci	disgust	0.719
autopsy	autopsja	disgust	0.719
bowels	wnętrzności	disgust	0.719
gross	obrzydliwy	disgust	0.719
vulgar	wulgarny	disgust	0.719
barbaric	barbarzyński	disgust	0.719
disgust	niesmak	disgust	0.719
vicious	złośliwy	disgust	0.719
entrails	wnętrzności	disgust	0.719
deterioration	pogorszenie	disgust	0.719
pungent	ostry	disgust	0.719
bloodshed	rozlew krwi	disgust	0.714
violent	gwałtowny	disgust	0.711
tyrant	tyran	disgust	0.711
poisoned	zatrute	disgust	0.711
pollute	zanieczyszczać	disgust	0.711
wretched	nędzny	disgust	0.711
nausea	nudności	disgust	0.711
mortification	umartwienie	disgust	0.711
gag	knebel	disgust	0.711
vulgarity	wulgarność	disgust	0.703
disgusting	obrzydliwy	disgust	0.703
grope	iść po omacku	disgust	0.703
slut	chlapa	disgust	0.703
poisoning	zatrucie	disgust	0.703
depraved	zdeprawowany	disgust	0.703
