word	Lao-lo	emotion	emotion-intensity-score
probation	probation	anticipation	0.414
proficiency	ຄວາມສາມາດ	anticipation	0.414
morn	ເຊົ້າ	anticipation	0.414
craps	craps	anticipation	0.414
detainee	detainee	anticipation	0.414
mediate	mediate	anticipation	0.414
continue	ສືບຕໍ່	anticipation	0.414
astrologer	ນັກໂຫລາສາດ	anticipation	0.414
punctual	ທັນທີທັນໃດ	anticipation	0.414
ordination	ordination	anticipation	0.414
pretty	ງາມ	anticipation	0.414
thought	ຄິດວ່າ	anticipation	0.414
grant	ມອບໃຫ້	anticipation	0.414
withstand	ທົນທານ	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	ຢ່າງຕໍ່ເນື່ອງ	anticipation	0.414
sing	sing	anticipation	0.411
long	ຍາວ	anticipation	0.406
confession	ການສາລະພາບ	anticipation	0.406
headlight	headlight	anticipation	0.406
prophylactic	prophylactic	anticipation	0.406
mother	ແມ່	anticipation	0.406
debenture	debenture	anticipation	0.406
wizard	wizard	anticipation	0.406
university	ວິທະຍາໄລ	anticipation	0.406
proud	ພູມໃຈ	anticipation	0.406
midwife	ຫມໍແຂ້ວ	anticipation	0.406
banquet	banquet	anticipation	0.406
continuation	ສືບຕໍ່	anticipation	0.406
navigable	navigable	anticipation	0.406
punished	ຖືກລົງໂທດ	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	ຄວາມສະດວກສະບາຍ	anticipation	0.406
opponent	opponent	anticipation	0.406
subscribe	ລົງທະບຽນ	anticipation	0.406
outdo	outdo	anticipation	0.406
nurture	ບໍາລຸງລ້ຽງ	anticipation	0.406
twinkle	twinkle	anticipation	0.406
deal	deal	anticipation	0.402
efficient	ປະສິດທິຜົນ	anticipation	0.398
representing	ເປັນຕົວແທນ	anticipation	0.398
simmer	simmer	anticipation	0.398
symphony	symphony	anticipation	0.398
judiciary	ຕໍາຫຼວດ	anticipation	0.398
obliging	obliging	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	ລະມັດລະວັງ	anticipation	0.398
death	ເສຍຊີວິດ	anticipation	0.398
distracting	distracting	anticipation	0.398
mortification	mortification	anticipation	0.398
balm	balm	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	ດ້ານເທິງ	anticipation	0.398
lettered	lettered	anticipation	0.398
reliance	ຄວາມໄວ້ວາງໃຈ	anticipation	0.398
poke	poke	anticipation	0.391
unfulfilled	unfulfilled	anticipation	0.391
assurance	ການຮັບປະກັນ	anticipation	0.391
condemnation	condemnation	anticipation	0.391
undoubted	undoubted	anticipation	0.391
diplomacy	ການທູດ	anticipation	0.391
familiarity	ຄວາມຄຸ້ນເຄີຍ	anticipation	0.391
antidote	ຢາຕ້ານເຊື້ອ	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	ຈຸດປະສົງ	anticipation	0.391
maternal	ແມ່	anticipation	0.391
abeyance	ຄວາມຊົ່ວຄາວ	anticipation	0.391
art	art	anticipation	0.391
linger	linger	anticipation	0.391
trust	ເຊື່ອຫມັ້ນ	anticipation	0.391
depraved	depraved	anticipation	0.391
sanctify	sanctify	anticipation	0.391
inoculation	inoculation	anticipation	0.384
chant	chant	anticipation	0.383
banger	banger	anticipation	0.383
playground	ສະຫນາມເດັກຫຼິ້ນ	anticipation	0.383
failing	ຄວາມລົ້ມເຫລວ	anticipation	0.383
ship	ເຮືອ	anticipation	0.383
hymn	ເພງສວດ	anticipation	0.383
simplify	ງ່າຍດາຍ	anticipation	0.383
ram	ram	anticipation	0.383
labor	ແຮງ​ງານ	anticipation	0.383
discretion	ຄວາມລະມັດລະວັງ	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	ດີ	anticipation	0.383
scientist	ນັກວິທະຍາສາດ	anticipation	0.383
undecided	undecided	anticipation	0.383
humanitarian	ມະນຸດສະທໍາ	anticipation	0.383
depend	depend	anticipation	0.383
dutiful	dutiful	anticipation	0.383
clock	ໂມງ	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	ພູເຂົາ	anticipation	0.375
savor	savor	anticipation	0.375
recurrent	récurrent	anticipation	0.375
interim	ຊົ່ວຄາວ	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	ຄ່ອຍໆ	anticipation	0.375
interminable	interminable	anticipation	0.375
track	ຕິດຕາມ	anticipation	0.375
public	ສາທາລະນະ	anticipation	0.375
cradle	cradle	anticipation	0.375
concealed	ຖືກປິດບັງ	anticipation	0.367
lesson	ບົດຮຽນ	anticipation	0.367
instructions	ຄໍາແນະນໍາ	anticipation	0.367
shiver	shiver	anticipation	0.367
musical	ດົນຕີ	anticipation	0.367
towering	towering	anticipation	0.367
whim	whim	anticipation	0.367
spear	spear	anticipation	0.367
convince	ສະທ້ອນໃຫ້ເຫັນ	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	ປະຕິບັດຕາມ	anticipation	0.367
biennial	biennial	anticipation	0.367
theology	theology	anticipation	0.359
offset	ຊົດເຊີຍ	anticipation	0.359
atone	atone	anticipation	0.359
timidity	timidity	anticipation	0.359
theory	ທິດສະດີ	anticipation	0.359
undying	undying	anticipation	0.359
plump	plump	anticipation	0.359
audience	audience	anticipation	0.357
nobility	nobility	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	ອາຫານ	anticipation	0.352
closure	ປິດ	anticipation	0.352
store	store	anticipation	0.352
localize	localize	anticipation	0.352
cramp	cramp	anticipation	0.352
daily	ທຸກມື້	anticipation	0.352
kindred	kindred	anticipation	0.352
farm	ກະສິກໍາ	anticipation	0.352
edition	edition	anticipation	0.352
consecration	consecration	anticipation	0.352
archaeology	ໂບຮານຄະດີ	anticipation	0.344
mobile	ມືຖື	anticipation	0.344
errand	errand	anticipation	0.344
wireless	wireless	anticipation	0.344
mutable	ປ່ຽນແປງໄດ້	anticipation	0.344
meditate	meditate	anticipation	0.344
stripped	ດຶງອອກ	anticipation	0.344
lessen	ຫຼຸດລົງ	anticipation	0.336
unaccountable	unaccountable	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	ອ້າຍນ້ອງ	anticipation	0.336
buddy	buddy	anticipation	0.336
unbeaten	unbeaten	anticipation	0.336
germ	germ	anticipation	0.336
dove	ກະດູກ	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	ribbon	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	ຄົນເຈັບ	anticipation	0.328
council	ຄະນະກໍາມະການ	anticipation	0.328
possess	ມີຄອບຄົວ	anticipation	0.328
secular	ບົດເລື່ອງທົ່ວໄປ	anticipation	0.328
chastity	chastity	anticipation	0.328
disposed	disposed	anticipation	0.320
regularity	ຄວາມເປັນປົກກະຕິ	anticipation	0.320
mediator	ຜູ້ໄກ່ເກ່ຍ	anticipation	0.320
scrutinize	scrutinize	anticipation	0.320
fancy	ແຟນ​ຊີ	anticipation	0.320
immature	immature	anticipation	0.320
infanticide	infanticide	anticipation	0.320
heft	heft	anticipation	0.320
preservative	preservative	anticipation	0.320
paddle	paddle	anticipation	0.320
cove	cove	anticipation	0.320
denying	ປະຕິເສດ	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	unpublished	anticipation	0.312
analyst	ນັກວິເຄາະ	anticipation	0.312
grim	ຂີ້ຮ້າຍ	anticipation	0.312
church	ສາດສະຫນາຈັກ	anticipation	0.312
priesthood	ຖານະປະໂລຫິດ	anticipation	0.305
mill	ໂຮງວຽກ	anticipation	0.305
judicial	judicial	anticipation	0.305
broadside	broadside	anticipation	0.305
tributary	tributary	anticipation	0.297
cap	ຫລວງ	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	ຕົກໃຈ	anticipation	0.297
instructor	instructor	anticipation	0.297
saliva	ນໍ້າລາຍ	anticipation	0.297
exhaustion	ຄວາມລອດ	anticipation	0.297
bruise	bruise	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	ບໍ່ມີທີ່ຢູ່ອາໄສ	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	ເຄືອຂ່າຍ	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	ທີ່ຢູ່	anticipation	0.289
noncompliance	noncompliance	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	ນັກດາລາສາດ	anticipation	0.281
neighbor	ບ້ານໃກ້ເຮືອນຄຽງ	anticipation	0.281
holiness	ຄວາມສັກສິດ	anticipation	0.273
devil	devil	anticipation	0.273
cream	ຄີມ	anticipation	0.273
picket	picket	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	immaturity	anticipation	0.273
sentence	ປະໂຫຍກ	anticipation	0.273
neighborhood	ເມືອງໃກ້ຄຽງ	anticipation	0.266
morals	ສົມບັດສິນ	anticipation	0.266
lull	ງົດງາມ	anticipation	0.266
habitual	habitual	anticipation	0.266
weight	ນ້ໍາຫນັກ	anticipation	0.258
bye	bye	anticipation	0.258
forearm	forearm	anticipation	0.250
clown	clown	anticipation	0.250
organ	ອົງປະກອບ	anticipation	0.250
quote	quote:	anticipation	0.242
commonplace	commonplace	anticipation	0.242
dictatorship	dictatorship	anticipation	0.234
board	board	anticipation	0.234
white	ສີຂາວ	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	rail	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	ຕົ້ນໄມ້	anticipation	0.227
paralysis	ການບາດເຈັບ	anticipation	0.211
worm	worm	anticipation	0.203
organization	ອົງການຈັດຕັ້ງ	anticipation	0.203
cement	ຊີມັງ	anticipation	0.203
lagging	ຊ້າໆ	anticipation	0.180
neutral	ເປັນກາງ	anticipation	0.148
cannibalism	cannibalism	disgust	0.953
mutilation	mutilation	disgust	0.930
molestation	ການຂົ່ມເຫັງ	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	ການຂົ່ມຂືນ	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	ຂີ້ເຫຍື້ອ	disgust	0.891
corpse	corpse	disgust	0.883
massacre	massacre	disgust	0.883
excrement	excrement	disgust	0.883
slaughter	ການຂ້າສັດ	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	slaughterhouse	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	ລະບາຍນ້ໍາ	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	ສິ່ງຊົ່ວຮ້າຍ	disgust	0.859
bigot	bigot	disgust	0.859
infestation	infestation	disgust	0.852
plague	ໄພພິບັດ	disgust	0.852
bloodthirsty	bloodthirsty	disgust	0.852
holocaust	holocaust	disgust	0.852
rotting	rotting	disgust	0.844
maggot	ຫມອກ	disgust	0.844
feces	ອາຈົມ	disgust	0.844
fecal	fecal	disgust	0.844
murder	murder	disgust	0.839
infanticide	infanticide	disgust	0.836
homicide	homicide	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	enslaved	disgust	0.836
gore	gore	disgust	0.828
perverted	ເປີເຊັນ	disgust	0.828
torture	ການທໍລະມານ	disgust	0.828
slaughtering	ການຂ້າສັດ	disgust	0.828
excretion	excretion	disgust	0.828
contaminate	ປົນເປື້ອນ	disgust	0.821
murderer	murderer	disgust	0.820
gory	gory	disgust	0.820
repugnant	repugnant	disgust	0.820
desecration	desecration	disgust	0.820
grotesque	grotesque	disgust	0.820
revolting	ປະທ້ວງ	disgust	0.820
diarrhoea	ພະຍາດຖອກທ້ອງ	disgust	0.820
manure	ຝຸ່ນ	disgust	0.820
terrorist	terrorist	disgust	0.820
shit	shit	disgust	0.820
pervert	ເຮັດລາຍ	disgust	0.820
slavery	ຂ້າທາດ	disgust	0.812
faeces	ກະເທີຍ	disgust	0.812
sewer	sewer	disgust	0.812
vomit	ຮາກ	disgust	0.812
manslaughter	ການລ່ວງລະເມີດ	disgust	0.812
dismemberment	dismemberment	disgust	0.812
cadaver	cadaver	disgust	0.812
hemorrhage	hemorrhage	disgust	0.805
repulsive	ຂີ້ກຽດ	disgust	0.805
perverse	perverse	disgust	0.805
filthy	ເປື້ອນ	disgust	0.797
sewage	sewage	disgust	0.797
depravity	depravity	disgust	0.797
diseased	ເຈັບປ່ວຍ	disgust	0.797
carcass	carcass	disgust	0.795
decompose	decompose	disgust	0.789
vermin	vermin	disgust	0.789
puke	puke	disgust	0.789
parasite	parasite	disgust	0.789
horrific	horrific	disgust	0.789
gruesome	gruesome	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilated	disgust	0.789
murderous	murderous	disgust	0.789
decayed	ເສຍຊີວິດ	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	flatulence	disgust	0.781
monstrosity	monstrosity	disgust	0.781
carnage	carnage	disgust	0.781
pestilence	pestilence	disgust	0.781
malaria	malaria	disgust	0.781
crap	crap	disgust	0.781
toxic	toxic	disgust	0.773
loathsome	ຂີ້ກຽດ	disgust	0.773
insidious	insidious	disgust	0.773
leprosy	leprosy	disgust	0.773
morgue	morgue	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	whore	disgust	0.766
cruel	ໂຫດຮ້າຍ	disgust	0.766
repugnance	repugnance	disgust	0.766
revulsion	revulsion	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	dissection	disgust	0.759
canker	canker	disgust	0.758
cruelty	cruelty	disgust	0.758
perversion	perversion	disgust	0.758
evil	evil	disgust	0.758
slum	slum	disgust	0.758
infectious	infectious	disgust	0.758
mucous	mucous	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	decomposition	disgust	0.750
sinister	sinister	disgust	0.750
corrupting	ເສຍຫາຍ	disgust	0.750
demon	demon	disgust	0.742
stinking	stinking	disgust	0.742
septic	septic	disgust	0.742
deranged	deranged	disgust	0.742
bile	bile	disgust	0.742
soiled	ຂີ້ດິນ	disgust	0.742
mucus	mucus	disgust	0.742
abhorrence	ຫນ້າກຽດຊັງ	disgust	0.742
abomination	ຄວາມຫນ້າກຽດຊັງ	disgust	0.742
sickening	ການເຈັບປ່ວຍ	disgust	0.742
demonic	demonic	disgust	0.742
foul	ເຫມັນ	disgust	0.734
obese	obese	disgust	0.734
sicken	sicken	disgust	0.734
degeneracy	degeneracy	disgust	0.734
crucifixion	crucifixion	disgust	0.734
despicable	ຫນ້າກຽດຊັງ	disgust	0.734
cancer	ມະເລັງ	disgust	0.734
atrocity	ຮ້າຍແຮງ	disgust	0.734
terrorism	terrorism	disgust	0.734
dirty	ເປື້ອນ	disgust	0.727
dysentery	dysentery	disgust	0.727
adultery	ການລ່ວງລະເມີດ	disgust	0.727
contamination	ການປົນເປື້ອນ	disgust	0.727
bacterium	bacterium	disgust	0.727
diabolical	diabolical	disgust	0.727
morbidity	ຄວາມເຈັບປ່ວຍ	disgust	0.727
grisly	ຂີ້ອາຍ	disgust	0.727
repulsion	repulsion	disgust	0.727
enema	enema	disgust	0.727
contagion	contagion	disgust	0.719
disfigured	disfigured	disgust	0.719
muck	muck	disgust	0.719
lewd	lewd	disgust	0.719
garbage	ຂີ້ເຫຍື້ອ	disgust	0.719
autopsy	autopsy	disgust	0.719
bowels	ລໍາໄສ້	disgust	0.719
gross	ລວມຍອດ	disgust	0.719
vulgar	vulgar	disgust	0.719
barbaric	barbaric	disgust	0.719
disgust	ເຮັດໃຫ້ກຽດຊັງ	disgust	0.719
vicious	ໂຫດຮ້າຍ	disgust	0.719
entrails	entrails	disgust	0.719
deterioration	ຄວາມເສຍຫາຍ	disgust	0.719
pungent	ຂົມຂື່ນ	disgust	0.719
bloodshed	bloodshed	disgust	0.714
violent	ຮຸນແຮງ	disgust	0.711
tyrant	tyrant	disgust	0.711
poisoned	poisoned	disgust	0.711
pollute	ມົນລະພິດ	disgust	0.711
wretched	ບໍ່ດີ	disgust	0.711
nausea	nausea	disgust	0.711
mortification	mortification	disgust	0.711
gag	gag	disgust	0.711
vulgarity	vulgarity	disgust	0.703
disgusting	ຫນ້າກຽດຊັງ	disgust	0.703
grope	grope	disgust	0.703
slut	slut	disgust	0.703
poisoning	ການເປັນພິດ	disgust	0.703
depraved	depraved	disgust	0.703
noxious	noxious	disgust	0.703
porn	porn	disgust	0.703
nasty	nasty	disgust	0.703
slimy	slimy	disgust	0.703
despotism	despotism	disgust	0.703
nauseate	ໂກດ	disgust	0.703
secretion	ຄວາມລັບ	disgust	0.703
constipation	constipation	disgust	0.703
hateful	hateful	disgust	0.703
grime	ຂີ້ຄ້ານ	disgust	0.703
measles	ຫມາກໂປມ	disgust	0.696
contagious	contagious	disgust	0.695
hellish	hellish	disgust	0.695
waste	ສິ່ງເສດເຫຼືອ	disgust	0.695
suicidal	suicidal	disgust	0.695
abuse	ການຂົ່ມເຫັງ	disgust	0.695
hate	hate	disgust	0.695
wretch	wretch	disgust	0.695
intestinal	intestinal	disgust	0.695
wart	wart	disgust	0.695
obesity	obesity	disgust	0.695
scum	scum	disgust	0.695
contaminated	ປົນເປື້ອນ	disgust	0.688
disease	ພະຍາດ	disgust	0.688
rabid	rabid	disgust	0.688
ooze	ooze	disgust	0.688
treason	treason	disgust	0.688
heartworm	heartworm	disgust	0.688
smut	smut	disgust	0.688
cholera	cholera	disgust	0.680
deformed	deformed	disgust	0.680
detest	detest	disgust	0.680
bestial	bestial	disgust	0.680
sickness	ຄວາມເຈັບປ່ວຍ	disgust	0.680
antichrist	antichrist	disgust	0.680
abhorrent	ຫນ້າກຽດຊັງ	disgust	0.680
soulless	soulless	disgust	0.680
freakish	freakish	disgust	0.680
grimy	grimy	disgust	0.680
hatred	ຄວາມກຽດຊັງ	disgust	0.680
pollution	ມົນລະພິດ	disgust	0.680
germ	germ	disgust	0.680
abominate	ຂີ້ລັກ	disgust	0.680
hell	hell	disgust	0.680
dilapidated	ເສຍຫາຍ	disgust	0.672
dictatorship	dictatorship	disgust	0.672
inhuman	inhuman	disgust	0.672
greasy	greasy	disgust	0.672
hideous	hideous	disgust	0.672
loathful	ຂີ້ກຽດ	disgust	0.672
obscene	obscene	disgust	0.672
loathing	loathing	disgust	0.672
cess	cess	disgust	0.670
devil	devil	disgust	0.664
heretic	heretic	disgust	0.664
nauseous	nauseous	disgust	0.664
abominable	ຫນ້າກຽດຊັງ	disgust	0.664
deformity	deformity	disgust	0.664
deadly	ຕາຍ	disgust	0.664
swine	ຫມູ	disgust	0.664
discrimination	ການຈໍາແນກ	disgust	0.664
masochism	masochism	disgust	0.664
poisonous	poisonous	disgust	0.656
prejudiced	prejudiced	disgust	0.656
bacteria	ແບັກທີເຣັຍ	disgust	0.656
death	ເສຍຊີວິດ	disgust	0.656
poison	ພິດ	disgust	0.656
trash	ຂີ້ເຫຍື້ອ	disgust	0.656
abortion	ການທໍາແທ້ງ	disgust	0.656
corruption	corruption	disgust	0.656
victimized	ຖືກເຄາະຮ້າຍ	disgust	0.656
oppression	oppression	disgust	0.656
goo	goo	disgust	0.656
latrines	latrines	disgust	0.656
horror	horror	disgust	0.656
horrible	horrible	disgust	0.656
nefarious	nefarious	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	vindictive	disgust	0.648
outhouse	outhouse	disgust	0.648
horrid	horrid	disgust	0.648
detestation	detestation	disgust	0.648
sludge	sludge	disgust	0.648
ugly	ugly	disgust	0.648
trashy	trashy	disgust	0.648
bitch	bitch	disgust	0.648
immoral	immoral	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	spew	disgust	0.641
pimple	pimple	disgust	0.641
indecency	indecency	disgust	0.641
unsightly	unsightly	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	villainous	disgust	0.641
cystic	cystic	disgust	0.641
horrifying	horrifying	disgust	0.641
derogatory	ການລ່ວງລະເມີດ	disgust	0.641
laxative	laxative	disgust	0.641
criminality	ຄະດີອາຍາ	disgust	0.641
oppressive	oppressive	disgust	0.633
sinful	ບາບ	disgust	0.633
bigoted	bigoted	disgust	0.633
doomsday	doomsday	disgust	0.633
prostitution	prostitution	disgust	0.633
ulcer	ulcer	disgust	0.633
secrete	secrete	disgust	0.633
perpetrator	ຜູ້ກະທໍາຜິດ	disgust	0.633
rat	ຫນູ	disgust	0.633
queasy	queasy	disgust	0.633
mildew	mildew	disgust	0.633
dastardly	dastardly	disgust	0.625
disgraceful	ຫນ້າຢ້ານກົວ	disgust	0.625
ghastly	ຫນ້າຢ້ານກົວ	disgust	0.625
persecution	ການຂົ່ມເຫັງ	disgust	0.625
devilish	devilish	disgust	0.625
degrading	degrading	disgust	0.625
obscenity	obscenity	disgust	0.625
fungus	ເຫັດ	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	gluttony	disgust	0.625
stools	ອາຈົມ	disgust	0.625
suffering	ທຸກທໍລະມານ	disgust	0.625
contemptible	ເບິ່ງບໍ່ເຫັນ	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	bloated	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	ການທໍລະຍົດ	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	ຕິດເຊື້ອ	disgust	0.617
spoil	spoil	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	ໄຂມັນ	disgust	0.617
louse	louse	disgust	0.617
malicious	ອັນຕະລາຍ	disgust	0.617
polygamy	polygamy	disgust	0.617
crusty	ເປືອກຫນາ	disgust	0.617
atrocious	atrocious	disgust	0.617
deceit	ການຫລອກລວງ	disgust	0.617
termite	termite	disgust	0.617
loathe	loathe	disgust	0.617
wench	wench	disgust	0.617
dying	ເສຍຊີວິດ	disgust	0.617
sickly	sickly	disgust	0.617
diaper	diaper	disgust	0.617
strangle	strangle	disgust	0.617
drool	drool	disgust	0.609
slander	ການກ່າວໂທດ	disgust	0.609
abhor	ຂີ້ລັກ	disgust	0.609
venomous	venomous	disgust	0.609
brothel	brothel	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	ຢ່າງຮຸນແຮງ	disgust	0.609
hostile	hostile	disgust	0.609
sabotage	sabotage	disgust	0.609
deform	deform	disgust	0.609
bleeding	ເລືອດໄຫຼ	disgust	0.609
unwashed	ບໍ່ສະອາດ	disgust	0.602
lunacy	lunacy	disgust	0.602
imprisonment	ການຈໍາຄຸກ	disgust	0.602
infidel	infidel	disgust	0.602
deprivation	ການຂາດແຄນ	disgust	0.602
traitor	traitor	disgust	0.602
ugliness	ugliness	disgust	0.602
musty	musty	disgust	0.602
illicit	ຜິດກົດຫມາຍ	disgust	0.602
swampy	swampy	disgust	0.602
poaching	ການຂົ່ມຂູ່	disgust	0.602
hag	hag	disgust	0.602
butcher	butcher	disgust	0.594
lunatic	lunatic	disgust	0.594
venom	venom	disgust	0.594
repelling	repelling	disgust	0.594
thug	thug	disgust	0.594
misery	ຄວາມທຸກທໍລະມານ	disgust	0.594
toilet	ຫ້ອງນ້ໍາ	disgust	0.594
slug	slug	disgust	0.594
catastrophe	catastrophe	disgust	0.594
epidemic	ການແພ່ກະຈາຍ	disgust	0.594
gut	gut	disgust	0.594
intoxicated	intoxicated	disgust	0.594
blister	blister	disgust	0.594
deceitful	deceitful	disgust	0.594
hostility	hostility	disgust	0.594
queasiness	ຄວາມໂສກເສົ້າ	disgust	0.594
lurid	lurid	disgust	0.594
sinner	ຄົນບາບ	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	lavatory	disgust	0.586
harass	ລົບກວນ	disgust	0.586
unclean	ບໍ່ສະອາດ	disgust	0.586
prostitute	prostitute	disgust	0.586
pornography	pornography	disgust	0.586
dreadful	dreadful	disgust	0.586
deteriorated	ເສຍດາຍ	disgust	0.586
appalling	ຫນ້າຢ້ານກົວ	disgust	0.586
unfaithful	ບໍ່ເຊື່ອຖື	disgust	0.578
rash	rash	disgust	0.578
humiliating	humiliating	disgust	0.578
ruinous	ruinous	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	offensive	disgust	0.578
conspirator	conspirator	disgust	0.578
larceny	larceny	disgust	0.578
debauchery	ການຂີ້ຕົວະ	disgust	0.578
mangle	mangle	disgust	0.578
flea	flea	disgust	0.578
hypocrite	ຫນ້າຊື່ໃຈຄົດ	disgust	0.578
retard	ຊັກຊ້າ	disgust	0.578
fiend	ຈິນຕະນາການ	disgust	0.578
sick	ເຈັບປ່ວຍ	disgust	0.578
quagmire	quagmire	disgust	0.578
expulsion	expulsion	disgust	0.578
treacherous	treacherous	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	ຂີ້ເຫຍື້ອ	disgust	0.570
devastating	devastating	disgust	0.570
bastard	bastard	disgust	0.570
messy	ສັບສົນ	disgust	0.570
flog	flog	disgust	0.570
egregious	ຢ່າງຮຸນແຮງ	disgust	0.570
swamp	swamp	disgust	0.570
oppress	oppress	disgust	0.570
despise	despise	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	ງູ	disgust	0.570
snake	ງູ	disgust	0.562
terrible	ຂີ້ຮ້າຍ	disgust	0.562
awful	ຫນ້າຢ້ານ	disgust	0.562
harmful	ເປັນອັນຕະລາຍ	disgust	0.562
insanity	insanity	disgust	0.562
indecent	indecent	disgust	0.562
sordid	sordid	disgust	0.562
loo	loo	disgust	0.562
scoundrel	scoundrel	disgust	0.562
enemy	enemy	disgust	0.562
stealing	stealing	disgust	0.562
alcoholism	alcoholism	disgust	0.562
humiliation	ຄວາມອັບອາຍ	disgust	0.562
ruthless	ruthless	disgust	0.562
sloppy	ບ້າໆ	disgust	0.562
tyrannical	tyrannical	disgust	0.562
harlot	harlot	disgust	0.562
sinning	sinning	disgust	0.562
robbery	robbery	disgust	0.555
insufferable	insufferable	disgust	0.555
arsenic	arsenic	disgust	0.555
bloody	ເລືອດ	disgust	0.555
odious	odious	disgust	0.555
ridicule	ridiculous	disgust	0.555
atrophy	atrophy	disgust	0.555
beastly	beastly	disgust	0.555
collusion	collusion	disgust	0.555
distaste	ຂົມຂື່ນ	disgust	0.555
segregate	segregate	disgust	0.555
discriminating	discriminating	disgust	0.555
coward	coward	disgust	0.555
wickedness	ຄວາມຊົ່ວຮ້າຍ	disgust	0.555
threatening	ໄພຂົ່ມຂູ່	disgust	0.555
unattractive	unattractive	disgust	0.555
slayer	slayer	disgust	0.555
flabby	flabby	disgust	0.555
varicella	varicella	disgust	0.555
miserable	ຄວາມທຸກທໍລະມານ	disgust	0.547
sty	sty	disgust	0.547
ogre	ogre	disgust	0.547
coercion	ການບັງຄັບ	disgust	0.547
thief	ໂຈນ	disgust	0.547
slur	slur	disgust	0.547
suffocating	suffocating	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	purgatory	disgust	0.547
malevolent	malevolent	disgust	0.547
bitterly	ຂົມຂື່ນ	disgust	0.547
burglar	burglar	disgust	0.547
attacking	attacking	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	condemnation	disgust	0.547
pillage	ການລ່ວງລະເມີດ	disgust	0.547
deleterious	deleterious	disgust	0.547
thrash	thrash	disgust	0.539
repellant	repelling	disgust	0.539
repudiation	repudiation	disgust	0.539
infidelity	infidelity	disgust	0.539
liar	ຄົນຂີ້ຕົວະ	disgust	0.539
fatty	fatty	disgust	0.539
gob	gob	disgust	0.539
sneer	sneer	disgust	0.539
drunken	ຂົມຂື່ນ	disgust	0.539
disgrace	ຫນ້າຢ້ານ	disgust	0.539
shame	ຄວາມອັບອາຍ	disgust	0.539
jealous	ອິດ​ສາ	disgust	0.539
imprisoned	ຖືກຈໍາຄຸກ	disgust	0.539
pig	ຫມູ	disgust	0.539
greedy	greedy	disgust	0.539
sloth	sloth	disgust	0.539
lethal	lethal	disgust	0.536
burnt	ເຜົາ	disgust	0.531
aberration	aberration	disgust	0.531
