word	Croatian-hr	emotion	emotion-intensity-score
grisly	grozan	disgust	0.727
repulsion	odbijanje	disgust	0.727
enema	klistir	disgust	0.727
contagion	zaraza	disgust	0.719
disfigured	unakažen	disgust	0.719
muck	đubre	disgust	0.719
lewd	nepristojan	disgust	0.719
garbage	smeće	disgust	0.719
autopsy	obdukcija	disgust	0.719
bowels	crijeva	disgust	0.719
gross	bruto	disgust	0.719
vulgar	vulgaran	disgust	0.719
barbaric	varvarski	disgust	0.719
disgust	gađenje	disgust	0.719
vicious	pakostan	disgust	0.719
entrails	iznutrice	disgust	0.719
deterioration	pogoršanje	disgust	0.719
pungent	opor	disgust	0.719
bloodshed	krvoproliće	disgust	0.714
violent	nasilan	disgust	0.711
tyrant	tiranin	disgust	0.711
poisoned	zatrovan	disgust	0.711
pollute	zagaditi	disgust	0.711
wretched	jadan	disgust	0.711
nausea	mučnina	disgust	0.711
mortification	mučenje	disgust	0.711
gag	geg	disgust	0.711
vulgarity	vulgarnost	disgust	0.703
disgusting	odvratan	disgust	0.703
grope	pipati	disgust	0.703
slut	djevojčura	disgust	0.703
poisoning	trovanje	disgust	0.703
depraved	lišen	disgust	0.703
noxious	škodljiv	disgust	0.703
porn	pornografija	disgust	0.703
nasty	gadan	disgust	0.703
slimy	ljigav	disgust	0.703
despotism	despotizam	disgust	0.703
nauseate	smučiti se	disgust	0.703
secretion	lučenje	disgust	0.703
constipation	zatvor	disgust	0.703
hateful	mrzak	disgust	0.703
grime	prljavština	disgust	0.703
measles	ospice	disgust	0.696
contagious	zarazan	disgust	0.695
hellish	paklen	disgust	0.695
waste	gubljenje	disgust	0.695
suicidal	suicidalan	disgust	0.695
abuse	zlostavljanje	disgust	0.695
hate	mrziti	disgust	0.695
wretch	bijednik	disgust	0.695
intestinal	crijevni	disgust	0.695
wart	bradavica	disgust	0.695
obesity	gojaznost	disgust	0.695
scum	bagra	disgust	0.695
contaminated	zagađen	disgust	0.688
disease	bolest	disgust	0.688
rabid	bijesan	disgust	0.688
ooze	mulj	disgust	0.688
treason	izdaja	disgust	0.688
heartworm	heartworm	disgust	0.688
smut	pornografija	disgust	0.688
cholera	kolera	disgust	0.680
deformed	deformiran	disgust	0.680
detest	mrziti	disgust	0.680
bestial	zvjerski	disgust	0.680
sickness	bolest	disgust	0.680
antichrist	Antihrist	disgust	0.680
abhorrent	odvratan	disgust	0.680
soulless	bezdušan	disgust	0.680
freakish	hirovit	disgust	0.680
grimy	prljav	disgust	0.680
hatred	mržnja	disgust	0.680
pollution	zagađenje	disgust	0.680
germ	klica	disgust	0.680
abominate	gnušati se	disgust	0.680
hell	pakao	disgust	0.680
dilapidated	trošan	disgust	0.672
dictatorship	diktatura	disgust	0.672
inhuman	nehuman	disgust	0.672
greasy	mastan	disgust	0.672
hideous	odvratan	disgust	0.672
loathful	gadan	disgust	0.672
obscene	opscen	disgust	0.672
loathing	gađenje	disgust	0.672
cess	Uspjeh	disgust	0.670
devil	vrag	disgust	0.664
heretic	otpadnik	disgust	0.664
nauseous	gadan	disgust	0.664
abominable	odvratan	disgust	0.664
deformity	deformacija	disgust	0.664
deadly	ubojit	disgust	0.664
swine	svinja	disgust	0.664
discrimination	diskriminacija	disgust	0.664
masochism	mazohizam	disgust	0.664
poisonous	otrovan	disgust	0.656
prejudiced	pristran	disgust	0.656
bacteria	bakterija	disgust	0.656
death	smrt	disgust	0.656
poison	Otrov	disgust	0.656
trash	smeće	disgust	0.656
abortion	abortus	disgust	0.656
corruption	korupcija	disgust	0.656
victimized	žrtve	disgust	0.656
oppression	ugnjetavanje	disgust	0.656
goo	goo	disgust	0.656
latrines	zahodi	disgust	0.656
horror	užas	disgust	0.656
horrible	užasno	disgust	0.656
nefarious	opak	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	osvetoljubiv	disgust	0.648
outhouse	dogradnja	disgust	0.648
horrid	strašan	disgust	0.648
detestation	detestation	disgust	0.648
sludge	mulj	disgust	0.648
ugly	ružan	disgust	0.648
trashy	nikakav	disgust	0.648
bitch	kuja	disgust	0.648
immoral	nemoralan	disgust	0.648
malfeasance	malverzacija	disgust	0.641
spew	bljuvanje	disgust	0.641
pimple	bubuljica	disgust	0.641
indecency	nepristojnost	disgust	0.641
unsightly	ružan	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	prostački	disgust	0.641
cystic	cistična	disgust	0.641
horrifying	užasavajući	disgust	0.641
derogatory	ponižavajući	disgust	0.641
laxative	laksativ	disgust	0.641
criminality	kriminalitet	disgust	0.641
oppressive	tiranski	disgust	0.633
sinful	griješan	disgust	0.633
bigoted	netrpeljiv	disgust	0.633
doomsday	Sudnji dan	disgust	0.633
prostitution	prostitucija	disgust	0.633
ulcer	čir	disgust	0.633
secrete	lučiti	disgust	0.633
perpetrator	izvršitelj	disgust	0.633
rat	štakor	disgust	0.633
queasy	osjetljiv	disgust	0.633
mildew	plijesan	disgust	0.633
dastardly	kukavički	disgust	0.625
disgraceful	sramotan	disgust	0.625
ghastly	mrtvački	disgust	0.625
persecution	progon	disgust	0.625
devilish	vraški	disgust	0.625
degrading	ponižavajući	disgust	0.625
obscenity	sramotnost	disgust	0.625
fungus	gljiva	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	proždrljivost	disgust	0.625
stools	stolice	disgust	0.625
suffering	pati	disgust	0.625
contemptible	prezren	disgust	0.625
cuckold	rogonja	disgust	0.625
bloated	otečen	disgust	0.625
aghast	prestravljen	disgust	0.625
betrayal	izdaja	disgust	0.617
guillotine	giljotina	disgust	0.617
infect	zaraziti	disgust	0.617
spoil	plijen	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	mast	disgust	0.617
louse	uš	disgust	0.617
malicious	zlonamjeran	disgust	0.617
polygamy	poligamija	disgust	0.617
crusty	s koricom	disgust	0.617
atrocious	zločest	disgust	0.617
deceit	obmana	disgust	0.617
termite	termit	disgust	0.617
loathe	gnušati se	disgust	0.617
wench	djevojka	disgust	0.617
dying	umiranje	disgust	0.617
sickly	slab	disgust	0.617
diaper	pelena	disgust	0.617
strangle	daviti	disgust	0.617
drool	balaviti	disgust	0.609
slander	ogovaranje	disgust	0.609
abhor	mrziti	disgust	0.609
venomous	otrovan	disgust	0.609
brothel	javna kuća	disgust	0.609
ghetto	geto	disgust	0.609
violently	žestoko	disgust	0.609
hostile	neprijateljski	disgust	0.609
sabotage	sabotaža	disgust	0.609
deform	deformirati	disgust	0.609
bleeding	krvarenje	disgust	0.609
unwashed	neopran	disgust	0.602
lunacy	ludilo	disgust	0.602
imprisonment	zatvor	disgust	0.602
infidel	nevjernik	disgust	0.602
deprivation	lišavanje	disgust	0.602
traitor	izdajnik	disgust	0.602
ugliness	ružnoća	disgust	0.602
musty	pljesniv	disgust	0.602
illicit	nedopušten	disgust	0.602
swampy	močvaran	disgust	0.602
poaching	lovokrađa	disgust	0.602
hag	vještica	disgust	0.602
butcher	mesar	disgust	0.594
lunatic	luđak	disgust	0.594
venom	otrov	disgust	0.594
repelling	odbijanja	disgust	0.594
thug	davilac	disgust	0.594
misery	bijeda	disgust	0.594
toilet	WC	disgust	0.594
slug	žeton	disgust	0.594
catastrophe	katastrofa	disgust	0.594
epidemic	epidemija	disgust	0.594
gut	crijevo	disgust	0.594
intoxicated	opijen	disgust	0.594
blister	žulj	disgust	0.594
deceitful	obmanjiv	disgust	0.594
hostility	neprijateljstvo	disgust	0.594
queasiness	osjetljivost	disgust	0.594
lurid	jeziv	disgust	0.594
sinner	grešnik	disgust	0.594
incubus	košmar	disgust	0.586
lavatory	zahod	disgust	0.586
harass	uznemiravati	disgust	0.586
unclean	nečist	disgust	0.586
prostitute	prostitutka	disgust	0.586
pornography	pornografija	disgust	0.586
dreadful	strašan	disgust	0.586
deteriorated	pogoršalo	disgust	0.586
appalling	užasan	disgust	0.586
unfaithful	nevjeran	disgust	0.578
rash	osip	disgust	0.578
humiliating	ponižavajući	disgust	0.578
ruinous	poguban	disgust	0.578
squeamish	gadljiv	disgust	0.578
offensive	uvredljiv	disgust	0.578
conspirator	zavjerenik	disgust	0.578
larceny	razbojništvo	disgust	0.578
debauchery	razvrat	disgust	0.578
mangle	komadati	disgust	0.578
flea	buha	disgust	0.578
hypocrite	licemjer	disgust	0.578
retard	usporiti	disgust	0.578
fiend	đavo	disgust	0.578
sick	bolestan	disgust	0.578
quagmire	močvara	disgust	0.578
expulsion	isključenje	disgust	0.578
treacherous	podmukao	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	pljunuti	disgust	0.570
devastating	poražavajući	disgust	0.570
bastard	kopile	disgust	0.570
messy	u neredu	disgust	0.570
flog	šibati	disgust	0.570
egregious	nečuven	disgust	0.570
swamp	Močvara	disgust	0.570
oppress	ugnjetavati	disgust	0.570
despise	prezirati	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	zmija	disgust	0.570
snake	zmija	disgust	0.562
terrible	užasan	disgust	0.562
awful	grozan	disgust	0.562
harmful	štetan	disgust	0.562
insanity	ludilo	disgust	0.562
indecent	nepristojan	disgust	0.562
sordid	pogan	disgust	0.562
loo	WC	disgust	0.562
scoundrel	nitkov	disgust	0.562
enemy	neprijatelj	disgust	0.562
stealing	krađa	disgust	0.562
alcoholism	alkoholizam	disgust	0.562
humiliation	poniženje	disgust	0.562
ruthless	nemilosrdan	disgust	0.562
sloppy	neuredan	disgust	0.562
tyrannical	tiranski	disgust	0.562
harlot	bludnica	disgust	0.562
sinning	griješi	disgust	0.562
robbery	pljačka	disgust	0.555
insufferable	nepodnošljiv	disgust	0.555
arsenic	arsen	disgust	0.555
bloody	krvav	disgust	0.555
odious	odvratan	disgust	0.555
ridicule	ismijavati	disgust	0.555
atrophy	atrofija	disgust	0.555
beastly	životinjski	disgust	0.555
collusion	dosluh	disgust	0.555
distaste	nenaklonost	disgust	0.555
segregate	odvojiti	disgust	0.555
discriminating	koji zapaža razlike	disgust	0.555
coward	kukavica	disgust	0.555
wickedness	poročnost	disgust	0.555
threatening	prijeteći	disgust	0.555
unattractive	neprivlačan	disgust	0.555
slayer	ubica	disgust	0.555
flabby	mlitav	disgust	0.555
varicella	varičela	disgust	0.555
miserable	bijedan	disgust	0.547
sty	svinjac	disgust	0.547
ogre	svirepo čudovište	disgust	0.547
coercion	prisila	disgust	0.547
thief	lopov	disgust	0.547
slur	nipodaštavati	disgust	0.547
suffocating	zagušljiv	disgust	0.547
anathema	anatema	disgust	0.547
purgatory	čistilište	disgust	0.547
malevolent	zlonamjeran	disgust	0.547
bitterly	ogorčeno	disgust	0.547
burglar	provalnik	disgust	0.547
attacking	napadaju	disgust	0.547
vesicular	kesični	disgust	0.547
condemnation	osuda	disgust	0.547
pillage	pljačka	disgust	0.547
deleterious	štetan	disgust	0.547
thrash	mlatiti	disgust	0.539
repellant	odbijanje	disgust	0.539
repudiation	odricanje	disgust	0.539
infidelity	nevjera	disgust	0.539
liar	lažljivac	disgust	0.539
fatty	masne	disgust	0.539
gob	gubica	disgust	0.539
sneer	podsmijeh	disgust	0.539
drunken	u pripitom stanju	disgust	0.539
disgrace	sramota	disgust	0.539
shame	sram	disgust	0.539
jealous	ljubomoran	disgust	0.539
imprisoned	zatvoren	disgust	0.539
pig	svinja	disgust	0.539
greedy	pohlepan	disgust	0.539
sloth	lijenost	disgust	0.539
lethal	smrtonosan	disgust	0.536
burnt	izgorio	disgust	0.531
aberration	aberacija	disgust	0.531
condescension	snishodljivost	disgust	0.531
hydrocephalus	hidrocefalus	disgust	0.531
hanging	vješanje	disgust	0.531
destructive	destruktivno	disgust	0.531
smuggler	krijumčar	disgust	0.531
intolerant	netolerantan	disgust	0.531
travesty	parodija	disgust	0.531
intrusive	nametljiv	disgust	0.531
ruined	upropastila	disgust	0.531
withered	uveo	disgust	0.531
disintegrate	dezintegrirati	disgust	0.531
brawl	svađa	disgust	0.531
blemish	nedostatak	disgust	0.531
neurotic	neurotičan	disgust	0.531
blasphemous	bogohulan	disgust	0.531
lying	laganje	disgust	0.531
painful	bolan	disgust	0.531
avarice	škrtost	disgust	0.523
disgraced	osramoćena	disgust	0.523
mistress	ljubavnica	disgust	0.523
disparaging	podcjenjivački	disgust	0.523
rubbish	smeće	disgust	0.523
derogation	umanjenje	disgust	0.523
accusation	optužba	disgust	0.523
intolerance	netolerantnost	disgust	0.523
incarceration	zatvaranje	disgust	0.523
blighted	blighted	disgust	0.523
sump	dio visoke peći	disgust	0.516
deplorable	jadan	disgust	0.516
daemon	demon	disgust	0.516
cringe	dodvoravanje	disgust	0.516
degrade	degradirati	disgust	0.516
gutter	žlijeb	disgust	0.516
rob	opljačkati	disgust	0.516
grim	mrgodan	disgust	0.516
defraud	pronevjeriti	disgust	0.516
tortious	PROTUPRAVNI	disgust	0.516
eradication	iskorjenjivanje	disgust	0.516
stink	smrad	disgust	0.516
convict	osuđenik	disgust	0.516
dishonor	sramota	disgust	0.516
vulture	sup	disgust	0.516
remains	ostaci	disgust	0.516
mite	obol	disgust	0.516
betray	izdati	disgust	0.516
sham	varka	disgust	0.509
endemic	endemski	disgust	0.508
bombed	bombardirali	disgust	0.508
distress	nevolja	disgust	0.508
pest	štetočina	disgust	0.508
incurable	neizlječiv	disgust	0.508
worthless	bezvrijedan	disgust	0.508
rejection	odbijanje	disgust	0.508
distasteful	neukusan	disgust	0.508
schizophrenia	shizofrenija	disgust	0.508
belittle	omalovažiti	disgust	0.508
smelling	mirisanje	disgust	0.508
cheat	varati	disgust	0.508
blob	grumenčić	disgust	0.508
prisoner	zatvorenik	disgust	0.508
idiocy	idiotizam	disgust	0.508
delirium	delirijum	disgust	0.508
disaster	katastrofa	disgust	0.508
crude	Sirovi	disgust	0.508
resentment	jed	disgust	0.508
dreadfully	strašno	disgust	0.508
glut	pretrpati	disgust	0.508
polemic	polemika	disgust	0.500
derision	ismijavanje	disgust	0.500
idolatry	idolatrija	disgust	0.500
taboo	tabu	disgust	0.500
screaming	vrištanje	disgust	0.500
banish	protjerati	disgust	0.500
dirt	prljavština	disgust	0.500
goblin	zao	disgust	0.500
shackle	okovati	disgust	0.500
bribery	podmićivanje	disgust	0.500
flagrant	vapijući	disgust	0.500
jealousy	ljubomora	disgust	0.500
impurity	nečistoća	disgust	0.500
theft	krađa	disgust	0.500
bitterness	gorčina	disgust	0.500
offense	prekršaj	disgust	0.500
impeach	pobijati	disgust	0.500
blight	medljika	disgust	0.500
duress	prinuda	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	pohlepa	disgust	0.500
tirade	tirada	disgust	0.500
squirm	migoljiti	disgust	0.492
robber	razbojnik	disgust	0.492
ill	bolestan	disgust	0.492
unconscionable	beskrupulozan	disgust	0.492
recession	recesija	disgust	0.492
gorge	ždrijelo	disgust	0.492
wreck	olupina	disgust	0.492
malign	maligan	disgust	0.492
boil	kuhati	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idiot	disgust	0.492
disreputable	zloglasan	disgust	0.492
wasteful	rasipan	disgust	0.484
affliction	nesreća	disgust	0.484
stain	mrlja	disgust	0.484
contempt	prezir	disgust	0.484
nappy	sanjiv	disgust	0.484
mutiny	pobuna	disgust	0.484
occult	pomračiti	disgust	0.484
tramp	skitnica	disgust	0.484
unbearable	nepodnošljivo	disgust	0.484
offender	prijestupnik	disgust	0.484
servile	servilan	disgust	0.484
contraband	krijumčarenje	disgust	0.484
raging	bijesan	disgust	0.484
snarl	uvrnuti	disgust	0.484
mad	lud	disgust	0.484
subjugation	pokoravanje	disgust	0.484
possessed	opsjednut	disgust	0.484
animosity	neprijateljstvo	disgust	0.484
aversation	aversation	disgust	0.484
defamation	klevetanje	disgust	0.484
disrespectful	neučtiv	disgust	0.484
mess	nered	disgust	0.484
nepotism	nepotizam	disgust	0.484
inexcusable	neoprostiv	disgust	0.484
pathetic	patetičan	disgust	0.477
unpleasant	neugodan	disgust	0.477
suppression	suzbijanje	disgust	0.477
mockery	ruganje	disgust	0.477
palsy	paraliza	disgust	0.477
criminal	kriminalac	disgust	0.477
illegality	nezakonitost	disgust	0.477
uncaring	uncaring	disgust	0.477
antagonistic	protivnički	disgust	0.477
immorality	nemoralnost	disgust	0.477
dismal	tužan	disgust	0.477
angry	ljut	disgust	0.469
repellent	odbijajući	disgust	0.469
cough	kašalj	disgust	0.469
arrogant	arogantan	disgust	0.469
grating	rešetka	disgust	0.469
aggravation	otežavanje	disgust	0.469
livid	modar	disgust	0.469
banishment	progonstvo	disgust	0.469
shoddy	bezvrijedan	disgust	0.469
banshee	Banshee	disgust	0.469
poverty	siromaštvo	disgust	0.469
wallow	valjati se	disgust	0.469
outrage	uvreda	disgust	0.469
mocking	rugajući	disgust	0.469
furious	žestok	disgust	0.469
perspiration	znojenje	disgust	0.469
prick	ubod	disgust	0.461
recklessness	nesmotrenost	disgust	0.461
distorted	iskrivljen	disgust	0.461
fraudulent	prevarljiv	disgust	0.461
spider	pauk	disgust	0.461
quack	gakanje	disgust	0.461
perdition	propast	disgust	0.461
muddy	blatan	disgust	0.461
spurious	podmetnut	disgust	0.461
insulting	uvredljiv	disgust	0.461
scar	ožiljak	disgust	0.461
deceive	prevariti	disgust	0.461
unjustifiable	neopravdana	disgust	0.461
fool	budala	disgust	0.461
deplore	žaliti	disgust	0.461
plunder	plijen	disgust	0.461
aphid	uš	disgust	0.453
bane	otrov	disgust	0.453
indignation	gnjev	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	sebičan	disgust	0.453
disparage	podcjenjivati	disgust	0.453
cur	mješanac	disgust	0.453
dishonest	nepošten	disgust	0.453
stigma	stigma	disgust	0.453
eschew	izbjegavati	disgust	0.453
antipathy	antipatija	disgust	0.453
alienate	otuđiti	disgust	0.453
disingenuous	neiskren	disgust	0.453
elimination	eliminacija	disgust	0.453
unthinkable	nezamisliv	disgust	0.453
wasted	uzaludan	disgust	0.445
recalcitrant	neposlušan	disgust	0.445
iniquity	bezakonje	disgust	0.445
mosquito	komarac	disgust	0.445
caries	karijes	disgust	0.445
bankruptcy	stečaj	disgust	0.445
egotistical	egoistički	disgust	0.445
piles	hrpe	disgust	0.445
smell	miris	disgust	0.445
vacuous	prazan	disgust	0.445
despair	očajavati	disgust	0.445
opium	opijum	disgust	0.445
garish	drečav	disgust	0.445
lie	laž	disgust	0.445
pious	pobožan	disgust	0.445
aversion	averzija	disgust	0.438
sticky	ljepljiv	disgust	0.438
scream	vrisak	disgust	0.438
alien	stranac	disgust	0.438
shun	izbjegavati	disgust	0.438
abnormal	nenormalan	disgust	0.438
ashamed	posramljen	disgust	0.438
inmate	ukućanin	disgust	0.438
abject	preziran	disgust	0.438
hog	svinja	disgust	0.438
hopelessness	beznadežnost	disgust	0.438
homeless	beskućnik	disgust	0.438
obnoxious	odvratan	disgust	0.438
curse	kletva	disgust	0.430
creature	stvorenje	disgust	0.430
cursing	psujući	disgust	0.430
illegal	nezakonit	disgust	0.430
lusty	jak	disgust	0.430
shameless	besraman	disgust	0.430
debris	krhotine	disgust	0.430
defiance	prkos	disgust	0.430
pall	veo	disgust	0.430
falsity	lažnost	disgust	0.430
reflux	refluks	disgust	0.430
incredulous	nepovjerljiv	disgust	0.430
adverse	štetan	disgust	0.430
trickery	varanje	disgust	0.430
callous	zadebljao	disgust	0.430
separatist	separatist	disgust	0.430
undesirable	nepoželjan	disgust	0.430
denounce	otkazati	disgust	0.430
witch	vještica	disgust	0.430
bum	tumaralo	disgust	0.422
bovine	volovski	disgust	0.422
denunciation	prijava	disgust	0.422
untidy	neuredan	disgust	0.422
impure	nečist	disgust	0.422
mistrust	nepovjerenje	disgust	0.422
tarnish	gubiti boju	disgust	0.422
ferocious	bijesan	disgust	0.422
gush	poteći	disgust	0.422
infantile	djetinji	disgust	0.422
ammonia	amonijak	disgust	0.422
offend	uvrijediti	disgust	0.422
idiotic	idiotski	disgust	0.422
hypertrophy	hipertrofija	disgust	0.422
nicotine	nikotin	disgust	0.422
tasteless	neukusan	disgust	0.422
pompous	pompezan	disgust	0.422
socialist	socijalista	disgust	0.422
delinquent	delinkvent	disgust	0.422
swarm	roj	disgust	0.422
contentious	svadljiv	disgust	0.422
carelessness	nemarnost	disgust	0.422
hairy	dlakav	disgust	0.422
wasting	rasipanje	disgust	0.422
slush	bljuzgavica	disgust	0.422
affront	uvreda	disgust	0.422
collapse	kolaps	disgust	0.422
badness	zloća	disgust	0.422
dishonesty	nepoštenje	disgust	0.414
vegetative	vegetativan	disgust	0.414
displacency	displacency	disgust	0.414
unfavorable	nepovoljan	disgust	0.414
disobey	biti neposlušan	disgust	0.414
sour	kiseo	disgust	0.414
socialism	socijalizam	disgust	0.414
murky	taman	disgust	0.414
neglected	zanemaren	disgust	0.414
drivel	baljezganje	disgust	0.414
vampire	vampir	disgust	0.414
litigious	sporan	disgust	0.414
illegitimate	nelegitimni	disgust	0.414
disgruntled	nezadovoljan	disgust	0.406
ignorant	neuk	disgust	0.406
outcast	izgnanik	disgust	0.406
unkind	neljubazan	disgust	0.406
repel	otjerati	disgust	0.406
displeasure	nezadovoljstvo	disgust	0.406
phony	folirant	disgust	0.406
shoplifting	Pronevjera	disgust	0.406
dislike	ne voljeti	disgust	0.406
unlawful	nezakonit	disgust	0.406
bogus	prividan	disgust	0.406
discontinuity	nepovezanost	disgust	0.406
recidivism	recidivizam	disgust	0.406
ungrateful	nezahvalan	disgust	0.406
wrongdoing	prijestup	disgust	0.406
falsify	falsifikovati	disgust	0.406
prosecution	gonjenje	disgust	0.406
failure	neuspjeh	disgust	0.398
loon	klipan	disgust	0.398
lick	lizati	disgust	0.398
subvert	srušiti	disgust	0.398
rigor	strogost	disgust	0.398
unruly	nestašan	disgust	0.398
paucity	malobrojnost	disgust	0.398
unnatural	neprirodan	disgust	0.398
averse	averzija	disgust	0.398
senseless	neosjetljiv	disgust	0.398
worsening	pogoršanje	disgust	0.398
disdain	prezir	disgust	0.398
woe	nesreća	disgust	0.398
woefully	žalosno	disgust	0.398
amphetamines	amfetamini	disgust	0.398
stingy	škrt	disgust	0.398
crushing	velik	disgust	0.398
insult	uvreda	disgust	0.393
damage	šteta	disgust	0.391
hardened	otvrdnu	disgust	0.391
diatribe	klevetnički govor	disgust	0.391
averseness	averseness	disgust	0.391
critter	critter	disgust	0.391
muff	muf	disgust	0.391
antisocial	nedruštven	disgust	0.391
punishment	kazna	disgust	0.391
bad	loše	disgust	0.391
punished	kažnjeni	disgust	0.391
disrelish	disrelish	disgust	0.391
expel	protjerati	disgust	0.391
farcical	lakrdijaški	disgust	0.391
scorpion	škorpion	disgust	0.391
sacrifices	žrtve	disgust	0.383
plagiarism	plagijat	disgust	0.383
hypocritical	licemjeran	disgust	0.383
divorce	razvod	disgust	0.383
presumptuous	drzak	disgust	0.383
discord	razdor	disgust	0.383
fugitive	bjegunac	disgust	0.383
fulsome	pretjeran	disgust	0.383
shabby	otrcan	disgust	0.383
orc	ork	disgust	0.383
adder	guja	disgust	0.383
anaconda	anakonda	disgust	0.383
surly	nabusit	disgust	0.383
irrational	iracionalan	disgust	0.383
disappoint	razočarati	disgust	0.383
illiterate	nepismen	disgust	0.383
lament	naricati	disgust	0.383
eviction	iseljenje	disgust	0.383
teeming	pun	disgust	0.383
guilt	krivica	disgust	0.383
misconduct	nesportsko ponašanje	disgust	0.375
blame	krivica	disgust	0.375
alienation	otuđenje	disgust	0.375
depressing	depresivan	disgust	0.375
irritating	nadražujući	disgust	0.375
plight	stanje	disgust	0.375
unworthy	nedostojan	disgust	0.375
dislocated	dislocirani	disgust	0.375
scoff	ismijavati	disgust	0.375
irritation	iritacija	disgust	0.375
defective	neispravan	disgust	0.375
shock	šok	disgust	0.375
hoax	obmana	disgust	0.367
coerce	primorati	disgust	0.367
revoke	opozvati	disgust	0.367
stripped	skinuo	disgust	0.367
exclusion	isključenje	disgust	0.367
blatant	kreštav	disgust	0.367
disillusionment	razočaranje	disgust	0.367
squelch	mljackanje	disgust	0.367
unhealthy	nezdrav	disgust	0.367
toad	žaba krastača	disgust	0.367
wimpy	Wimpy	disgust	0.367
pitfall	zamka	disgust	0.367
vainly	uzaludno	disgust	0.367
powerless	slab	disgust	0.367
cad	gad	disgust	0.367
hurtful	štetan	disgust	0.367
shuddering	titraj	disgust	0.367
wimp	mlakonja	disgust	0.367
oddity	nastranost	disgust	0.359
rebellion	pobuna	disgust	0.359
incompatible	inkompatibilan	disgust	0.359
ineptitude	nepodesnost	disgust	0.359
dispose	raspolagati	disgust	0.359
disobedience	neposlušnost	disgust	0.359
damn	proklet	disgust	0.359
bug	buba	disgust	0.359
deserted	napušten	disgust	0.359
litigate	parničiti se	disgust	0.352
ridiculous	smiješan	disgust	0.352
compost	kompost	disgust	0.352
obi	vradžbina	disgust	0.352
untoward	nepovoljan	disgust	0.352
censor	cenzor	disgust	0.352
uncertain	nesiguran	disgust	0.352
lawyer	odvjetnik	disgust	0.352
flinch	izbjeći	disgust	0.352
flesh	meso	disgust	0.352
crushed	zgnječen	disgust	0.352
displeased	nezadovoljan	disgust	0.352
inept	nesposoban	disgust	0.352
wrongful	nepravedan	disgust	0.352
cutting	rezanje	disgust	0.352
fierce	bijesan	disgust	0.352
misbehavior	nedolično ponašanje	disgust	0.352
frustrate	frustrirati	disgust	0.352
dismissal	otkaz	disgust	0.352
disapprove	usprotiviti se	disgust	0.344
depreciate	podcijeniti	disgust	0.344
tearful	uplakan	disgust	0.344
thoughtless	nepromišljen	disgust	0.336
unsettled	neredovit	disgust	0.336
lumpy	pijan	disgust	0.336
discoloration	obezbojenje	disgust	0.336
blunder	zabuna	disgust	0.336
disinclination	nenaklonost	disgust	0.336
distrust	nepovjerenje	disgust	0.336
annoy	smetati	disgust	0.336
lawsuit	parnica	disgust	0.336
discontent	nezadovoljstvo	disgust	0.336
grumble	roptati	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	lud	disgust	0.336
heartsick	utučen	disgust	0.336
disliked	nevoljen	disgust	0.336
bickering	svađe	disgust	0.336
disallowed	odbijena	disgust	0.336
unmanageable	neizvodljiv	disgust	0.328
hydrophobia	hidrofobija	disgust	0.328
unsatisfactory	nezadovoljavajući	disgust	0.328
whine	cviliti	disgust	0.328
exasperation	ogorčenje	disgust	0.328
instability	nestabilnost	disgust	0.328
provoking	provokativan	disgust	0.328
disappointed	razočaran	disgust	0.328
inhibit	spriječiti	disgust	0.328
sly	lukav	disgust	0.328
grievance	uvreda	disgust	0.328
materialist	materijalista	disgust	0.328
excluded	isključen	disgust	0.328
cacophony	kakofonija	disgust	0.328
misleading	varljiv	disgust	0.321
disclaim	odreći se	disgust	0.320
rags	krpe	disgust	0.320
soot	čađ	disgust	0.320
disservice	hrđava usluga	disgust	0.320
unequal	nejednak	disgust	0.320
humbug	koještarija	disgust	0.320
reproach	prijekor	disgust	0.320
confined	zatvoren	disgust	0.320
disapproving	neodobravajuće	disgust	0.320
annoyance	dosađivanje	disgust	0.320
mishap	neuspjeh	disgust	0.320
groan	jecaj	disgust	0.320
soil	tlo	disgust	0.312
depreciated	amortiziraju	disgust	0.312
disincline	ubijati volju	disgust	0.312
inappropriate	neprikladan	disgust	0.312
inconsiderate	nepromišljen	disgust	0.312
burke	ugušiti	disgust	0.312
overpriced	precijenjen	disgust	0.312
sneeze	kihanje	disgust	0.312
stomach	trbuh	disgust	0.312
criticize	kritikovati	disgust	0.312
theism	pretjerano pijenje čaja	disgust	0.312
disparity	disparitet	disgust	0.305
gall	žuč	disgust	0.305
latent	latentan	disgust	0.305
grumpy	prgav	disgust	0.305
bang	prasak	disgust	0.305
inadmissible	nedopustiv	disgust	0.305
unfriendly	neprijateljski	disgust	0.305
shack	koliba	disgust	0.305
disliking	disliking	disgust	0.305
unaccountable	neobjašnjiv	disgust	0.305
