word	Norwegian-no	emotion	emotion-intensity-score
prediction	forutsigelse	anticipation	0.695
allure	allure	anticipation	0.688
ecstatic	ekstatisk	anticipation	0.688
approaching	nærmer seg	anticipation	0.688
uprising	oppstand	anticipation	0.680
honeymoon	bryllupsreise	anticipation	0.680
roulette	rulett	anticipation	0.680
crescendo	crescendo	anticipation	0.672
holiday	ferie	anticipation	0.672
wishful	ønsketenkning	anticipation	0.672
celebrating	feire	anticipation	0.672
waiting	venter	anticipation	0.664
winnings	gevinster	anticipation	0.664
orgasm	orgasme	anticipation	0.664
winning	vinne	anticipation	0.664
impending	forestående	anticipation	0.664
invitation	invitasjon	anticipation	0.664
rescue	redde	anticipation	0.664
craving	lyst	anticipation	0.664
triumph	triumf	anticipation	0.664
celebration	feiring	anticipation	0.656
victory	seier	anticipation	0.656
aspiring	fremadstormende	anticipation	0.656
gain	gevinst	anticipation	0.656
jackpot	jackpot	anticipation	0.656
marriage	ekteskap	anticipation	0.656
strive	strebe	anticipation	0.656
bridegroom	brudgom	anticipation	0.656
reward	belønning	anticipation	0.656
fortune	formue	anticipation	0.656
bridal	brude	anticipation	0.656
courtship	frieri	anticipation	0.656
treasure	skatt	anticipation	0.648
opportunity	mulighet	anticipation	0.648
intrigue	intrige	anticipation	0.648
delivery	leveranse	anticipation	0.648
alertness	årvåkenhet	anticipation	0.648
aspiration	aspirasjon	anticipation	0.648
inheritance	arv	anticipation	0.648
rising	stiger	anticipation	0.648
tomorrow	i morgen	anticipation	0.648
prescient	forutse	anticipation	0.648
crowning	kroningen	anticipation	0.648
revolution	revolusjon	anticipation	0.641
erotic	erotisk	anticipation	0.641
spectacular	spektakulære	anticipation	0.641
anxious	engstelig	anticipation	0.641
expedition	ekspedisjon	anticipation	0.641
possibility	mulighet	anticipation	0.641
launch	lanseringen	anticipation	0.641
bride	brud	anticipation	0.641
celebrated	feiret	anticipation	0.641
prognosis	prognose	anticipation	0.641
engaged	engasjert	anticipation	0.641
reckoning	regnskap	anticipation	0.641
award	tildele	anticipation	0.641
happiness	lykke	anticipation	0.641
hype	hype	anticipation	0.641
receiving	mottak	anticipation	0.641
curious	nysgjerrig	anticipation	0.633
succeed	lykkes	anticipation	0.633
birthday	fødselsdag	anticipation	0.633
graduation	konfirmasjonen	anticipation	0.633
beware	pass	anticipation	0.633
vision	syn	anticipation	0.633
passionate	lidenskapelig	anticipation	0.633
delight	glede	anticipation	0.633
destiny	skjebne	anticipation	0.633
ominous	illevarslende	anticipation	0.633
coming	kommer	anticipation	0.633
await	avvente	anticipation	0.633
passion	lidenskap	anticipation	0.633
firstborn	førstefødte	anticipation	0.633
captivate	fange	anticipation	0.633
prepare	forberede	anticipation	0.633
miracle	mirakel	anticipation	0.633
triumphant	triumferende	anticipation	0.625
lust	begjær	anticipation	0.625
retirement	pensjonering	anticipation	0.625
escape	flukt	anticipation	0.625
gift	gave	anticipation	0.625
inspiration	inspirasjon	anticipation	0.625
optimism	optimisme	anticipation	0.625
foresee	forutse	anticipation	0.625
ripen	modne	anticipation	0.625
revival	vekkelse	anticipation	0.625
embrace	omfavne	anticipation	0.617
risky	risikabelt	anticipation	0.617
ambition	ambisjon	anticipation	0.617
simmering	ulmende	anticipation	0.617
surprisingly	overraskende	anticipation	0.617
verge	randen	anticipation	0.617
enchanting	fortryllende	anticipation	0.617
bloom	blomst	anticipation	0.617
foresight	framsyn	anticipation	0.617
foreboding	illevarslende	anticipation	0.617
destined	skjebne	anticipation	0.617
succeeding	lykkes	anticipation	0.609
magical	magisk	anticipation	0.609
bonus	bonus	anticipation	0.609
lookout	se opp	anticipation	0.609
matrimony	ekteskap	anticipation	0.609
alerts	varsler	anticipation	0.609
anxiety	angst	anticipation	0.609
seductive	forførende	anticipation	0.609
forecast	prognose	anticipation	0.609
intended	tiltenkt	anticipation	0.602
inspire	inspirere	anticipation	0.602
diagnosis	diagnose	anticipation	0.602
visionary	visjonær	anticipation	0.602
nervous	nervøs	anticipation	0.602
deserve	fortjene	anticipation	0.602
fulfillment	oppfyllelse	anticipation	0.602
picnic	piknik	anticipation	0.602
applicant	søker	anticipation	0.602
foreseen	forutsett	anticipation	0.602
entertaining	underhold	anticipation	0.602
revenge	hevn	anticipation	0.602
success	suksess	anticipation	0.602
prophetic	profetisk	anticipation	0.602
winner	vinner	anticipation	0.602
longing	lengsel	anticipation	0.602
boomerang	boomerang	anticipation	0.602
result	resultat	anticipation	0.594
accelerate	akselerere	anticipation	0.594
buzz	buzz	anticipation	0.594
acquiring	anskaffe	anticipation	0.594
marry	gifte seg	anticipation	0.594
illuminate	belyse	anticipation	0.594
romance	romanse	anticipation	0.594
rekindle	tenne	anticipation	0.594
luck	flaks	anticipation	0.594
advent	advent	anticipation	0.594
preparedness	beredskap	anticipation	0.594
momentum	momentum	anticipation	0.594
arrive	ankomme	anticipation	0.594
predict	forutsi	anticipation	0.589
sequel	oppfølger	anticipation	0.586
money	penger	anticipation	0.586
endeavor	bestrebelse	anticipation	0.586
auspices	regi	anticipation	0.586
fiesta	fiesta	anticipation	0.586
raffle	lotteri	anticipation	0.586
preparation	forberedelse	anticipation	0.586
uplift	friinntekt	anticipation	0.586
investigation	etterforskning	anticipation	0.586
gambling	gambling	anticipation	0.586
delightful	herlig	anticipation	0.586
enjoying	Nyter	anticipation	0.586
seek	søke	anticipation	0.586
impatient	utålmodig	anticipation	0.586
overdue	forfalt	anticipation	0.586
crave	begjærer	anticipation	0.586
flirt	flirt	anticipation	0.586
enthusiast	entusiast	anticipation	0.586
presumption	formodning	anticipation	0.586
immerse	senke	anticipation	0.586
progression	progresjon	anticipation	0.586
experiment	eksperiment	anticipation	0.580
inviting	innbydende	anticipation	0.578
precarious	prekær	anticipation	0.578
blessing	velsignelse	anticipation	0.578
harvest	innhøsting	anticipation	0.578
transcendence	transcendens	anticipation	0.578
heavenly	himmelsk	anticipation	0.578
attainable	oppnåelig	anticipation	0.578
enjoy	Nyt	anticipation	0.578
divination	spådom	anticipation	0.578
excavation	utgraving	anticipation	0.578
healing	helbredelse	anticipation	0.578
majestic	majestetiske	anticipation	0.578
clamor	clamor	anticipation	0.578
thirst	tørst	anticipation	0.578
remedy	middel	anticipation	0.578
prosper	blomstre	anticipation	0.578
risk	Fare	anticipation	0.578
angling	sportsfiske	anticipation	0.578
completing	fullført	anticipation	0.578
thriving	blomstrende	anticipation	0.578
zest	zest	anticipation	0.570
tease	plage	anticipation	0.570
matchmaker	matchmaker	anticipation	0.570
prospectively	prospektivt	anticipation	0.570
restlessness	rastløshet	anticipation	0.570
sweetheart	kjæreste	anticipation	0.570
emancipation	frigjøring	anticipation	0.570
ultimate	ultimat	anticipation	0.570
invite	invitere	anticipation	0.570
gambler	spiller	anticipation	0.570
dare	tør	anticipation	0.570
plan	plan	anticipation	0.570
magnificence	storhet	anticipation	0.570
warned	advart	anticipation	0.570
finally	endelig	anticipation	0.570
intimate	intime	anticipation	0.570
omen	tegn	anticipation	0.570
attempt	forsøk	anticipation	0.562
forewarned	advart	anticipation	0.562
fun	moro	anticipation	0.562
festival	festival	anticipation	0.562
trophy	trofé	anticipation	0.562
rejoice	fryde	anticipation	0.562
fanfare	fanfare	anticipation	0.562
predilection	forkjærlighet	anticipation	0.562
exalt	opphøye	anticipation	0.562
parade	parade	anticipation	0.562
enchant	fortrylle	anticipation	0.562
independence	selvstendighet	anticipation	0.562
expose	avdekke	anticipation	0.562
immortality	udødelighet	anticipation	0.562
expected	forventet	anticipation	0.562
mysterious	mystisk	anticipation	0.562
hypothesis	hypotese	anticipation	0.562
accolade	utmerkelse	anticipation	0.562
lover	lover	anticipation	0.562
quicken	påskynde	anticipation	0.562
champion	champion	anticipation	0.562
lovely	herlig	anticipation	0.555
rejoicing	gleder seg	anticipation	0.555
grasping	fatte	anticipation	0.555
grow	vokse	anticipation	0.555
curiosity	nysgjerrighet	anticipation	0.555
splendor	prakt	anticipation	0.555
salvation	frelse	anticipation	0.555
happy	lykkelig	anticipation	0.555
oracle	orakel	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	brette	anticipation	0.555
boisterous	støy	anticipation	0.555
liberty	frihet	anticipation	0.555
heroism	heltemot	anticipation	0.555
feeling	følelse	anticipation	0.555
shopping	kjøpesenter	anticipation	0.555
fate	skjebne	anticipation	0.555
uneasiness	uro	anticipation	0.555
speculative	spekulativ	anticipation	0.555
changeable	foranderlig	anticipation	0.547
recreational	rekreasjons	anticipation	0.547
pray	be	anticipation	0.547
warn	varsle	anticipation	0.547
suspicious	mistenkelig	anticipation	0.547
convergence	konvergens	anticipation	0.547
incite	egge	anticipation	0.547
agape	agape	anticipation	0.547
morrow	imorgen	anticipation	0.547
abundance	overflod	anticipation	0.547
delighted	glad	anticipation	0.547
resultant	resulterende	anticipation	0.547
hungry	sulten	anticipation	0.547
monetary	monetære	anticipation	0.547
vote	stemme	anticipation	0.547
glory	herlighet	anticipation	0.547
glimmer	glimmer	anticipation	0.547
apprehensive	engstelig	anticipation	0.547
sorcery	trolldom	anticipation	0.547
bountiful	bountiful	anticipation	0.547
leisure	fritid	anticipation	0.547
probability	sannsynlighet	anticipation	0.547
auction	auksjon	anticipation	0.539
hunting	jakt	anticipation	0.539
contingent	kontingenten	anticipation	0.539
hankering	hankering	anticipation	0.539
sensual	sensuell	anticipation	0.539
blessings	velsignelser	anticipation	0.539
ballot	stemmeseddel	anticipation	0.539
grandchildren	barnebarn	anticipation	0.539
entertainment	underholdning	anticipation	0.539
vindication	oppreisning	anticipation	0.539
worrying	bekymrings	anticipation	0.539
tempest	uvær	anticipation	0.539
inquiry	forespørsel	anticipation	0.539
merge	slå sammen	anticipation	0.539
exceed	overskride	anticipation	0.539
bounty	skuddpremie	anticipation	0.539
glad	glad	anticipation	0.536
magnificent	storslått	anticipation	0.531
feat	bragd	anticipation	0.531
stealthy	stealthy	anticipation	0.531
cheer	oppmuntre	anticipation	0.531
spirits	ånder	anticipation	0.531
visitor	besøkende	anticipation	0.531
appeal	anke	anticipation	0.531
forming	å danne	anticipation	0.531
hurried	oppjaget	anticipation	0.531
responsive	mottakelig	anticipation	0.531
virginity	jomfrudom	anticipation	0.531
deliverance	levering	anticipation	0.531
betrothed	forlovet	anticipation	0.531
overthrow	styrte	anticipation	0.531
harbinger	budbringer	anticipation	0.531
raving	raving	anticipation	0.531
celestial	himmelsk	anticipation	0.531
dread	Grue seg	anticipation	0.531
germination	spiring	anticipation	0.523
preparatory	forberedende	anticipation	0.523
pleasant	hyggelig	anticipation	0.523
watch	se	anticipation	0.523
prophet	profet	anticipation	0.523
prognostic	prognostisk	anticipation	0.523
haste	hastverk	anticipation	0.523
planning	planlegger	anticipation	0.523
importance	betydning	anticipation	0.523
radiance	utstråling	anticipation	0.523
prevail	råde	anticipation	0.523
cheery	muntre	anticipation	0.523
competition	konkurranse	anticipation	0.523
ultimately	til syvende og sist	anticipation	0.523
revive	gjenopplive	anticipation	0.523
beaming	Stråling	anticipation	0.523
wait	vente	anticipation	0.523
child	barn	anticipation	0.523
notification	melding	anticipation	0.523
hunter	jeger	anticipation	0.523
explosive	eksplosiv	anticipation	0.523
endanger	sette i fare	anticipation	0.516
time	tid	anticipation	0.516
recreation	rekreasjon	anticipation	0.516
renovation	renovering	anticipation	0.516
precious	dyrebar	anticipation	0.516
begun	begynt	anticipation	0.516
loom	vevstol	anticipation	0.516
compensate	kompensere	anticipation	0.516
treat	behandle	anticipation	0.516
uncontrollable	ustyrlig	anticipation	0.516
present	nåværende	anticipation	0.516
salary	lønn	anticipation	0.516
celebrity	kjendis	anticipation	0.516
owing	som skylder	anticipation	0.516
chocolate	sjokolade	anticipation	0.516
caution	forsiktighet	anticipation	0.516
fermentation	gjæring	anticipation	0.516
sensuality	sensualitet	anticipation	0.516
wilderness	villmark	anticipation	0.508
signify	signalisere	anticipation	0.508
transitional	overgangs	anticipation	0.508
intermission	pause	anticipation	0.508
contemplation	tanke	anticipation	0.508
vigilance	årvåkenhet	anticipation	0.508
commemoration	markeringen	anticipation	0.508
practise	øve på	anticipation	0.508
cue	cue	anticipation	0.508
infant	spedbarn	anticipation	0.508
dreadful	dreadful	anticipation	0.508
perfection	fullkommenhet	anticipation	0.508
elevation	høyde	anticipation	0.508
prerequisite	forutsetning	anticipation	0.508
cultivate	dyrke	anticipation	0.508
horizon	horisont	anticipation	0.508
develop	utvikle	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	svømme	anticipation	0.500
attendance	deltakelse	anticipation	0.500
nascent	begynnende	anticipation	0.500
favorable	gunstige	anticipation	0.500
peril	Peril	anticipation	0.500
income	inntekt	anticipation	0.500
ardent	ildfull	anticipation	0.500
commemorate	minnes	anticipation	0.500
doomsday	dommedag	anticipation	0.500
reconciliation	forsoning	anticipation	0.500
utopian	utopisk	anticipation	0.500
romantic	romantisk	anticipation	0.500
unbridled	utemmet	anticipation	0.500
sunny	solfylt	anticipation	0.500
uphill	oppoverbakke	anticipation	0.500
intuitively	intuitivt	anticipation	0.500
depart	reise	anticipation	0.500
eventuality	eventualitet	anticipation	0.500
puppy	valp	anticipation	0.500
zeal	iver	anticipation	0.500
sneaking	snik	anticipation	0.500
ready	klar	anticipation	0.500
advocacy	beslutningspåvirkning	anticipation	0.500
airport	flyplassen	anticipation	0.500
litigate	saksøke	anticipation	0.500
blindfold	bind	anticipation	0.500
undisclosed	Ikke oppgitt	anticipation	0.500
young	ung	anticipation	0.500
horoscope	horoskop	anticipation	0.500
invocation	påkallelse	anticipation	0.500
calculation	beregningen	anticipation	0.500
hero	helt	anticipation	0.500
court	domstol	anticipation	0.492
repay	betale tilbake	anticipation	0.492
improvise	improvisere	anticipation	0.492
parole	parole	anticipation	0.492
worry	bekymre	anticipation	0.492
inauguration	innsettelse	anticipation	0.492
gaping	gaping	anticipation	0.492
youth	ungdom	anticipation	0.492
bless	velsigne	anticipation	0.492
defense	forsvar	anticipation	0.492
heyday	storhetstid	anticipation	0.492
consequent	konsekvent	anticipation	0.492
proceeding	fortsetter	anticipation	0.492
eventual	eventuell	anticipation	0.492
perspective	perspektiv	anticipation	0.492
restorative	restorative	anticipation	0.492
undertaking	oppgave	anticipation	0.492
highest	høyeste	anticipation	0.491
duel	duell	anticipation	0.484
unexplained	uforklarlig	anticipation	0.484
tremor	tremor	anticipation	0.484
sharpen	spisse	anticipation	0.484
generosity	gavmildhet	anticipation	0.484
voluptuous	sensuell	anticipation	0.484
shortly	om kort tid	anticipation	0.484
vow	løfte	anticipation	0.484
contagion	smitte	anticipation	0.484
letter	brev	anticipation	0.484
happen	skje	anticipation	0.484
threaten	true	anticipation	0.484
conjure	trylle	anticipation	0.484
sparkle	gnisten	anticipation	0.484
engulf	oppsluke	anticipation	0.484
god	Gud	anticipation	0.484
correspondence	korrespondanse	anticipation	0.484
auspicious	auspicious	anticipation	0.484
princely	fyrstelig	anticipation	0.484
adore	elsker	anticipation	0.477
enroll	registrere	anticipation	0.477
determinate	determinate	anticipation	0.477
predispose	disponere	anticipation	0.477
clue	anelse	anticipation	0.477
onset	utbruddet	anticipation	0.477
powerful	kraftig	anticipation	0.477
glorify	lovprise	anticipation	0.477
glow	gløde	anticipation	0.477
arbitration	megling	anticipation	0.477
torture	tortur	anticipation	0.477
gravitate	gravitate	anticipation	0.477
cherish	verne	anticipation	0.477
contemplate	betrakte	anticipation	0.477
submit	sende inn	anticipation	0.477
perilous	farefull	anticipation	0.477
unification	samling	anticipation	0.477
score	poengsum	anticipation	0.477
medal	medalje	anticipation	0.477
glide	glid	anticipation	0.477
recipient	mottaker	anticipation	0.477
accompaniment	akkompagnement	anticipation	0.477
praiseworthy	verdig	anticipation	0.473
providing	gi	anticipation	0.469
motion	bevegelse	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	forsiktige	anticipation	0.469
cash	penger	anticipation	0.469
precursor	forløper	anticipation	0.469
opera	opera	anticipation	0.469
elite	elite	anticipation	0.469
pry	lirke	anticipation	0.469
hire	leie	anticipation	0.469
sweets	søtsaker	anticipation	0.469
star	stjerne	anticipation	0.469
unsurpassed	uovertruffen	anticipation	0.469
successful	vellykket	anticipation	0.469
unknown	ukjent	anticipation	0.469
immediately	med en gang	anticipation	0.469
starry	stjernehimmel	anticipation	0.469
production	produksjon	anticipation	0.469
football	Fotball	anticipation	0.469
completion	ferdigstillelse	anticipation	0.469
scare	skremme	anticipation	0.469
invoke	påberope	anticipation	0.469
shaky	skjelvende	anticipation	0.469
dawn	soloppgang	anticipation	0.469
creeping	snik	anticipation	0.469
cheerfulness	munterhet	anticipation	0.461
soundness	soliditet	anticipation	0.461
mail	post	anticipation	0.461
draft	utkast	anticipation	0.461
preliminary	innledende	anticipation	0.461
friendly	vennlig	anticipation	0.461
commemorative	minnemynter	anticipation	0.461
extricate	frigjøre	anticipation	0.461
alive	i live	anticipation	0.461
untold	Untold	anticipation	0.461
overture	overtyre	anticipation	0.461
excel	utmerke	anticipation	0.461
plight	vanskelige situasjon	anticipation	0.461
synchronize	synkron	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	helligdom	anticipation	0.461
brilliant	strålende	anticipation	0.461
pay	betale	anticipation	0.461
shining	skinner	anticipation	0.461
regatta	regattaen	anticipation	0.461
testament	testamente	anticipation	0.461
jeopardy	fare	anticipation	0.461
perpetuity	uendelige	anticipation	0.453
elegance	eleganse	anticipation	0.453
career	karriere	anticipation	0.453
basketball	basketball	anticipation	0.453
intimately	intimt	anticipation	0.453
renovate	renovere	anticipation	0.453
supremacy	overlegenhet	anticipation	0.453
infinity	evighet	anticipation	0.453
unexpected	uventet	anticipation	0.453
flinch	rykke til	anticipation	0.453
complement	komplement	anticipation	0.453
prologue	prologen	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	forebygging	anticipation	0.453
improve	forbedre	anticipation	0.453
sunset	solnedgang	anticipation	0.453
inaugural	innvielses	anticipation	0.453
rehabilitation	rehabilitering	anticipation	0.453
fitting	fitting	anticipation	0.445
surround	omgi	anticipation	0.445
share	dele	anticipation	0.445
epidemic	epidemi	anticipation	0.445
sweet	søt	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	fortielse	anticipation	0.445
confidence	selvtillit	anticipation	0.445
perfect	perfekt	anticipation	0.445
sun	sol	anticipation	0.445
veracity	sannferdighet	anticipation	0.445
volunteer	frivillig	anticipation	0.445
conjecture	formodning	anticipation	0.445
medical	medisinsk	anticipation	0.438
prepared	forberedt	anticipation	0.438
superstitious	overtroisk	anticipation	0.438
reconstruction	gjenoppbygging	anticipation	0.438
tickle	kile	anticipation	0.438
faith	tro	anticipation	0.438
passenger	passasjer	anticipation	0.438
saint	helgen	anticipation	0.438
respect	respekt	anticipation	0.438
rabid	rabiat	anticipation	0.438
reconstruct	gjenoppbygge	anticipation	0.438
recombination	rekombinasjon	anticipation	0.438
devout	troende	anticipation	0.438
goodness	godhet	anticipation	0.438
angel	engel	anticipation	0.438
ferment	gjære	anticipation	0.438
plea	bønn	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	serie	anticipation	0.438
conservation	bevaring	anticipation	0.438
serenity	sinnsro	anticipation	0.430
tabulate	Tabuleringene	anticipation	0.430
install	installere	anticipation	0.430
labyrinth	labyrint	anticipation	0.430
venerable	ærverdige	anticipation	0.430
perpetuate	hevde	anticipation	0.430
strategist	strateg	anticipation	0.430
unverified	ubekreftet	anticipation	0.430
tribunal	tribunal	anticipation	0.430
charitable	veldedig	anticipation	0.430
luscious	saftig	anticipation	0.430
spa	spa	anticipation	0.430
peace	fred	anticipation	0.430
clap	klapp	anticipation	0.430
conspirator	conspirator	anticipation	0.422
forestall	forkjøpet	anticipation	0.422
patience	tålmodighet	anticipation	0.422
oasis	oase	anticipation	0.422
grin	glise	anticipation	0.422
revere	revere	anticipation	0.422
worship	tilbedelse	anticipation	0.422
vista	vista	anticipation	0.422
laughter	latter	anticipation	0.422
volatility	volatilitet	anticipation	0.422
adrift	adrift	anticipation	0.422
candid	oppriktige	anticipation	0.422
edification	oppbyggelse	anticipation	0.422
unresolved	uløst	anticipation	0.422
peaceful	fredelig	anticipation	0.422
recognizable	gjenkjennelig	anticipation	0.422
calls	samtaler	anticipation	0.414
weigh	veie	anticipation	0.414
probation	prøvetid	anticipation	0.414
proficiency	ferdighet	anticipation	0.414
morn	morn	anticipation	0.414
craps	craps	anticipation	0.414
detainee	innsatte	anticipation	0.414
mediate	mekle	anticipation	0.414
continue	Fortsette	anticipation	0.414
astrologer	astrolog	anticipation	0.414
punctual	punktlig	anticipation	0.414
ordination	ordinasjon	anticipation	0.414
pretty	ganske	anticipation	0.414
thought	tanken	anticipation	0.414
grant	stipend	anticipation	0.414
withstand	stå imot	anticipation	0.414
frisky	spretten	anticipation	0.414
ongoing	pågående	anticipation	0.414
sing	synge	anticipation	0.411
long	lang	anticipation	0.406
confession	tilståelse	anticipation	0.406
headlight	frontlys	anticipation	0.406
prophylactic	profylaktisk	anticipation	0.406
mother	mor	anticipation	0.406
debenture	obligasjonslån	anticipation	0.406
wizard	veiviser	anticipation	0.406
university	universitet	anticipation	0.406
proud	stolt	anticipation	0.406
midwife	jordmor	anticipation	0.406
banquet	bankett	anticipation	0.406
continuation	fortsettelse	anticipation	0.406
navigable	farbare	anticipation	0.406
punished	straffet	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	komfort	anticipation	0.406
opponent	motstander	anticipation	0.406
subscribe	abonnere	anticipation	0.406
outdo	overgå	anticipation	0.406
nurture	nurture	anticipation	0.406
twinkle	blinke	anticipation	0.406
deal	avtale	anticipation	0.402
efficient	effektiv	anticipation	0.398
representing	representerer	anticipation	0.398
simmer	småkoke	anticipation	0.398
symphony	symfoni	anticipation	0.398
judiciary	domstolene	anticipation	0.398
obliging	vennlighet	anticipation	0.398
saintly	hellig	anticipation	0.398
vigil	våkenatt	anticipation	0.398
death	død	anticipation	0.398
distracting	distraherende	anticipation	0.398
mortification	mortifikasjon	anticipation	0.398
balm	balsam	anticipation	0.398
guillotine	giljotin	anticipation	0.398
top	topp	anticipation	0.398
lettered	lettered	anticipation	0.398
reliance	avhengighet	anticipation	0.398
poke	stikke	anticipation	0.391
unfulfilled	oppfylt	anticipation	0.391
assurance	forsikring	anticipation	0.391
condemnation	fordømmelse	anticipation	0.391
undoubted	utvilsom	anticipation	0.391
diplomacy	diplomati	anticipation	0.391
familiarity	familiær	anticipation	0.391
antidote	motgift	anticipation	0.391
chuckle	latter	anticipation	0.391
objective	objektiv	anticipation	0.391
maternal	mors	anticipation	0.391
abeyance	bero	anticipation	0.391
art	Kunst	anticipation	0.391
linger	dvele	anticipation	0.391
trust	tillit	anticipation	0.391
depraved	fordervet	anticipation	0.391
sanctify	helliger	anticipation	0.391
inoculation	inokulasjon	anticipation	0.384
chant	chant	anticipation	0.383
banger	banger	anticipation	0.383
playground	lekeplass	anticipation	0.383
failing	sviktende	anticipation	0.383
ship	skip	anticipation	0.383
hymn	salme	anticipation	0.383
simplify	forenkle	anticipation	0.383
ram	RAM	anticipation	0.383
labor	arbeid	anticipation	0.383
discretion	diskresjon	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	flink	anticipation	0.383
scientist	forsker	anticipation	0.383
undecided	usikre	anticipation	0.383
humanitarian	humanitær	anticipation	0.383
depend	avhenge	anticipation	0.383
dutiful	pliktoppfyllende	anticipation	0.383
clock	klokke	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	fjell	anticipation	0.375
savor	duft	anticipation	0.375
recurrent	tilbakevendende	anticipation	0.375
interim	midlertidige	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	gradvis	anticipation	0.375
interminable	uendelig	anticipation	0.375
track	spor	anticipation	0.375
public	offentlig	anticipation	0.375
cradle	vugge	anticipation	0.375
concealed	skjult	anticipation	0.367
lesson	lekse	anticipation	0.367
instructions	bruksanvisning	anticipation	0.367
shiver	skjelve	anticipation	0.367
musical	musikalsk	anticipation	0.367
towering	ruvende	anticipation	0.367
whim	innfall	anticipation	0.367
spear	spyd	anticipation	0.367
convince	overbevise	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	holde	anticipation	0.367
biennial	biennalen	anticipation	0.367
theology	teologi	anticipation	0.359
offset	offset	anticipation	0.359
atone	sone	anticipation	0.359
timidity	fryktsomhet	anticipation	0.359
theory	teori	anticipation	0.359
undying	udødelig	anticipation	0.359
plump	lubben	anticipation	0.359
audience	publikum	anticipation	0.357
nobility	adel	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	kosttilskudd	anticipation	0.352
closure	nedleggelse	anticipation	0.352
store	butikk	anticipation	0.352
localize	lokalisere	anticipation	0.352
cramp	krampe	anticipation	0.352
daily	daglig	anticipation	0.352
kindred	slekt	anticipation	0.352
farm	gård	anticipation	0.352
edition	utgave	anticipation	0.352
consecration	innvielse	anticipation	0.352
archaeology	arkeologi	anticipation	0.344
mobile	mobil	anticipation	0.344
errand	ærend	anticipation	0.344
wireless	trådløst	anticipation	0.344
mutable	foranderlig	anticipation	0.344
meditate	meditere	anticipation	0.344
stripped	strippet	anticipation	0.344
lessen	minske	anticipation	0.336
unaccountable	uforklarlig	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	broderlig	anticipation	0.336
buddy	buddy	anticipation	0.336
unbeaten	ubeseiret	anticipation	0.336
germ	bakterie	anticipation	0.336
dove	due	anticipation	0.328
digress	digresjon	anticipation	0.328
ribbon	bånd	anticipation	0.328
olfactory	lukte	anticipation	0.328
patient	pasient	anticipation	0.328
council	råd	anticipation	0.328
possess	eie	anticipation	0.328
secular	sekulære	anticipation	0.328
chastity	kyskhet	anticipation	0.328
disposed	anordnet	anticipation	0.320
regularity	regelmessighet	anticipation	0.320
mediator	mellommann	anticipation	0.320
scrutinize	granske	anticipation	0.320
fancy	fancy	anticipation	0.320
immature	umoden	anticipation	0.320
infanticide	barnedrap	anticipation	0.320
heft	heft	anticipation	0.320
preservative	konserverings	anticipation	0.320
paddle	padle	anticipation	0.320
cove	vik	anticipation	0.320
denying	benektes	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	upublisert	anticipation	0.312
analyst	analytiker	anticipation	0.312
grim	uhyggelig	anticipation	0.312
church	kirke	anticipation	0.312
priesthood	prestedømmet	anticipation	0.305
mill	mølle	anticipation	0.305
judicial	rettslig	anticipation	0.305
broadside	bred	anticipation	0.305
tributary	sideelv	anticipation	0.297
cap	lokk	anticipation	0.297
thermocouple	termo	anticipation	0.297
dismay	forferdelse	anticipation	0.297
instructor	instruktør	anticipation	0.297
saliva	spytt	anticipation	0.297
exhaustion	utmattelse	anticipation	0.297
bruise	blåmerke	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	hjemløs	anticipation	0.289
visor	visir	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	nettverk	anticipation	0.289
shackle	sjakkel	anticipation	0.289
addresses	adresser	anticipation	0.289
noncompliance	lovbrudd	anticipation	0.289
cataract	grå stær	anticipation	0.289
skewed	skjev	anticipation	0.281
astronomer	astronom	anticipation	0.281
neighbor	nabo	anticipation	0.281
holiness	hellighet	anticipation	0.273
devil	djevel	anticipation	0.273
cream	krem	anticipation	0.273
picket	picket	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	umodenhet	anticipation	0.273
sentence	setning	anticipation	0.273
neighborhood	nabolag	anticipation	0.266
morals	moral	anticipation	0.266
lull	lull	anticipation	0.266
habitual	sedvanlig	anticipation	0.266
weight	vekt	anticipation	0.258
bye	Ha det	anticipation	0.258
forearm	underarm	anticipation	0.250
clown	klovn	anticipation	0.250
organ	organ	anticipation	0.250
quote	sitat	anticipation	0.242
commonplace	vanlig	anticipation	0.242
