word	Somali-so	emotion	emotion-intensity-score
recombination	dib u habeynta	anticipation	0.438
devout	diin	anticipation	0.438
goodness	wanaag	anticipation	0.438
angel	malaa'ig	anticipation	0.438
ferment	malayga	anticipation	0.438
plea	codso	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	taxane ah	anticipation	0.438
conservation	ilaalinta	anticipation	0.438
serenity	Xoriyad	anticipation	0.430
tabulate	iskuday	anticipation	0.430
install	rakibi	anticipation	0.430
labyrinth	labeenta	anticipation	0.430
venerable	Weyn	anticipation	0.430
perpetuate	sii wad	anticipation	0.430
strategist	istaraatiijiyadeed	anticipation	0.430
unverified	aan la aqoonsan	anticipation	0.430
tribunal	maxkamad	anticipation	0.430
charitable	sadaqo	anticipation	0.430
luscious	kalsooni	anticipation	0.430
spa	isboorti	anticipation	0.430
peace	nabadda	anticipation	0.430
clap	xadhig	anticipation	0.430
conspirator	shirqool	anticipation	0.422
forestall	wareejinta	anticipation	0.422
patience	Dulqaad	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	gariir	anticipation	0.422
revere	dib uga noqo	anticipation	0.422
worship	cibaadada	anticipation	0.422
vista	xayawaanka	anticipation	0.422
laughter	qosol	anticipation	0.422
volatility	isbeddel la'aan	anticipation	0.422
adrift	wax dhib ah	anticipation	0.422
candid	caddayn	anticipation	0.422
edification	diyaarinta	anticipation	0.422
unresolved	aan la xalin	anticipation	0.422
peaceful	nabad	anticipation	0.422
recognizable	la aqoonsan karo	anticipation	0.422
calls	wicitaanada	anticipation	0.414
weigh	miisaamaa	anticipation	0.414
probation	tijaabo	anticipation	0.414
proficiency	aqoonta	anticipation	0.414
morn	subaxdii	anticipation	0.414
craps	burburi	anticipation	0.414
detainee	xirxiray	anticipation	0.414
mediate	dhexdhexaadin	anticipation	0.414
continue	sii wad	anticipation	0.414
astrologer	astrologer	anticipation	0.414
punctual	waqti go'an	anticipation	0.414
ordination	go'aaminta	anticipation	0.414
pretty	qurux badan	anticipation	0.414
thought	fikirka	anticipation	0.414
grant	deeqda	anticipation	0.414
withstand	hor istaag	anticipation	0.414
frisky	qallajin	anticipation	0.414
ongoing	socda	anticipation	0.414
sing	heeso	anticipation	0.411
long	dheer	anticipation	0.406
confession	qirasho	anticipation	0.406
headlight	iftiinka	anticipation	0.406
prophylactic	baaris	anticipation	0.406
mother	hooyo	anticipation	0.406
debenture	deynta	anticipation	0.406
wizard	Wizard	anticipation	0.406
university	jaamacad	anticipation	0.406
proud	kibir	anticipation	0.406
midwife	ummuliso	anticipation	0.406
banquet	diyaafad	anticipation	0.406
continuation	sii wad	anticipation	0.406
navigable	la socda	anticipation	0.406
punished	ciqaab	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	raaxo	anticipation	0.406
opponent	ka soo horjeeda	anticipation	0.406
subscribe	ku qor	anticipation	0.406
outdo	dibadda	anticipation	0.406
nurture	kobcinta	anticipation	0.406
twinkle	lakin	anticipation	0.406
deal	heshiis	anticipation	0.402
efficient	hufan	anticipation	0.398
representing	matalaya	anticipation	0.398
simmer	isku kari	anticipation	0.398
symphony	sumcad	anticipation	0.398
judiciary	garsoorka	anticipation	0.398
obliging	waajib ah	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	feejignaan	anticipation	0.398
death	dhimasho	anticipation	0.398
distracting	mashquulin	anticipation	0.398
mortification	dhimasho	anticipation	0.398
balm	balsam	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	sare	anticipation	0.398
lettered	warqad qoraal ah	anticipation	0.398
reliance	kalsooni	anticipation	0.398
poke	suunka	anticipation	0.391
unfulfilled	oo aan fiicnayn	anticipation	0.391
assurance	hubin	anticipation	0.391
condemnation	ciqaab	anticipation	0.391
undoubted	shaki la'aan	anticipation	0.391
diplomacy	diplomacy	anticipation	0.391
familiarity	aqoonta	anticipation	0.391
antidote	liddi kufid	anticipation	0.391
chuckle	xiiraan	anticipation	0.391
objective	Ujeedada	anticipation	0.391
maternal	hooyada	anticipation	0.391
abeyance	abeenance	anticipation	0.391
art	farshaxanka	anticipation	0.391
linger	kaalay	anticipation	0.391
trust	kalsooni	anticipation	0.391
depraved	naaqusay	anticipation	0.391
sanctify	quduusso	anticipation	0.391
inoculation	ku-tallaalidda	anticipation	0.384
chant	farriin	anticipation	0.383
banger	bangiga	anticipation	0.383
playground	goobta ciyaarta	anticipation	0.383
failing	guuldarey	anticipation	0.383
ship	markab	anticipation	0.383
hymn	gabay	anticipation	0.383
simplify	fududee	anticipation	0.383
ram	ram	anticipation	0.383
labor	shaqo	anticipation	0.383
discretion	xishoodka	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	wanaagsan	anticipation	0.383
scientist	saynis	anticipation	0.383
undecided	aan go'aansan	anticipation	0.383
humanitarian	bani'aadanimo	anticipation	0.383
depend	ku xiran	anticipation	0.383
dutiful	nasiib darro	anticipation	0.383
clock	saacad	anticipation	0.375
sterling	nadiifin	anticipation	0.375
mountain	buur	anticipation	0.375
savor	dhadhan	anticipation	0.375
recurrent	soo noqnoqonaya	anticipation	0.375
interim	ku-meel-gaar ah	anticipation	0.375
navigator	hagaha	anticipation	0.375
gradual	si tartiib ah	anticipation	0.375
interminable	mid aan la isku hallayn karin	anticipation	0.375
track	socodka	anticipation	0.375
public	dadweynaha	anticipation	0.375
cradle	xirmooyinka	anticipation	0.375
concealed	qarsoodi ah	anticipation	0.367
lesson	casharka	anticipation	0.367
instructions	tilmaamaha	anticipation	0.367
shiver	shiver	anticipation	0.367
musical	muusik	anticipation	0.367
towering	qulqulka	anticipation	0.367
whim	xayawaan	anticipation	0.367
spear	waran	anticipation	0.367
convince	qanciso	anticipation	0.367
sonar	Sonar	anticipation	0.367
abide	sii joog	anticipation	0.367
biennial	bienaal	anticipation	0.367
theology	fiqiga	anticipation	0.359
offset	offset	anticipation	0.359
atone	atone	anticipation	0.359
timidity	cabsida	anticipation	0.359
theory	aragti	anticipation	0.359
undying	adigoon ahayn	anticipation	0.359
plump	boodi	anticipation	0.359
audience	dhagaystayaasha	anticipation	0.357
nobility	sharaf leh	anticipation	0.352
paragon	gawaarida	anticipation	0.352
dietary	cunto	anticipation	0.352
closure	xidhitaanka	anticipation	0.352
store	dukaanka	anticipation	0.352
localize	degaan	anticipation	0.352
cramp	casiraad	anticipation	0.352
daily	maalin walba	anticipation	0.352
kindred	xigeen	anticipation	0.352
farm	beeraha	anticipation	0.352
edition	daabacan	anticipation	0.352
consecration	Quduuska ah	anticipation	0.352
archaeology	ariimo	anticipation	0.344
mobile	mobile	anticipation	0.344
errand	maamul	anticipation	0.344
wireless	wireless	anticipation	0.344
mutable	isku-dhafan	anticipation	0.344
meditate	ka fikir	anticipation	0.344
stripped	dharbaaxay	anticipation	0.344
lessen	yaree	anticipation	0.336
unaccountable	aan la heli karin	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	walaal ahaan	anticipation	0.336
buddy	saaxiib	anticipation	0.336
unbeaten	aan laga badin	anticipation	0.336
germ	jeermi	anticipation	0.336
dove	qoorta	anticipation	0.328
digress	khayaali	anticipation	0.328
ribbon	xabo	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	bukaanka	anticipation	0.328
council	Golaha	anticipation	0.328
possess	haysta	anticipation	0.328
secular	bilaash	anticipation	0.328
chastity	daahirnimo	anticipation	0.328
disposed	la dhigay	anticipation	0.320
regularity	joogto ah	anticipation	0.320
mediator	dhexdhexaadiyaha	anticipation	0.320
scrutinize	baadho	anticipation	0.320
fancy	qurux badan	anticipation	0.320
immature	aan qaan-gaarin	anticipation	0.320
infanticide	cunug yar	anticipation	0.320
heft	woqooyi	anticipation	0.320
preservative	ilaalinta	anticipation	0.320
paddle	jeexan	anticipation	0.320
cove	rabbi	anticipation	0.320
denying	diidid	anticipation	0.312
bugle	xaalada	anticipation	0.312
unpublished	aan la daabicin	anticipation	0.312
analyst	falanqeeyaha	anticipation	0.312
grim	xagasho	anticipation	0.312
church	kaniisad	anticipation	0.312
priesthood	wadaadnimada	anticipation	0.305
mill	dhagax	anticipation	0.305
judicial	garsoore	anticipation	0.305
broadside	ballaadhan	anticipation	0.305
tributary	xuduudaha	anticipation	0.297
cap	cap	anticipation	0.297
thermocouple	kuleylka	anticipation	0.297
dismay	murugo	anticipation	0.297
instructor	Macallin	anticipation	0.297
saliva	candhuuf	anticipation	0.297
exhaustion	daal	anticipation	0.297
bruise	bur burka	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	guri la'aan	anticipation	0.289
visor	sawirka	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	shabakad	anticipation	0.289
shackle	xargo	anticipation	0.289
addresses	cinwaanada	anticipation	0.289
noncompliance	raacsanaan la'aanta	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	murugaysan	anticipation	0.281
astronomer	Astaani	anticipation	0.281
neighbor	deriska	anticipation	0.281
holiness	quduusnaan	anticipation	0.273
devil	Ibliisku	anticipation	0.273
cream	kareemka	anticipation	0.273
picket	soo celinta	anticipation	0.273
latent	qarsoon	anticipation	0.273
immaturity	aan lahayn	anticipation	0.273
sentence	xukunka	anticipation	0.273
neighborhood	xaafad	anticipation	0.266
morals	anshax	anticipation	0.266
lull	lull	anticipation	0.266
habitual	caadada	anticipation	0.266
weight	miisaanka	anticipation	0.258
bye	gadaal	anticipation	0.258
forearm	dhudhun	anticipation	0.250
clown	dhoobo	anticipation	0.250
organ	xubnaha	anticipation	0.250
quote	xigasho	anticipation	0.242
commonplace	caadi ahaan	anticipation	0.242
dictatorship	kaligii talisnimada	anticipation	0.234
board	guddi	anticipation	0.234
white	caddaan	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	tareenka	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	geed	anticipation	0.227
paralysis	curyaan	anticipation	0.211
worm	dirxiga	anticipation	0.203
organization	urur	anticipation	0.203
cement	sibidhka	anticipation	0.203
lagging	gaabis ah	anticipation	0.180
neutral	dhexdhexaad ah	anticipation	0.148
cannibalism	cannibalism	disgust	0.953
mutilation	gudniinka	disgust	0.930
molestation	faraxumeyn	disgust	0.914
incest	kufsi	disgust	0.914
gonorrhea	jabtada	disgust	0.906
rape	kufsi	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	kallana	disgust	0.891
corpse	meydka	disgust	0.883
massacre	xasuuq	disgust	0.883
excrement	soo saarid	disgust	0.883
slaughter	la gowraco	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	gooynta	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	bulaacada	disgust	0.859
incestuous	jilicsan	disgust	0.859
filth	nijaasta	disgust	0.859
bigot	weyn	disgust	0.859
infestation	qashin-qubka	disgust	0.852
plague	cudurka daacuunka	disgust	0.852
bloodthirsty	dhiig-kicinta	disgust	0.852
holocaust	holocaustka	disgust	0.852
rotting	rotting	disgust	0.844
maggot	maggot	disgust	0.844
feces	saxarada	disgust	0.844
fecal	jir	disgust	0.844
murder	dil	disgust	0.839
infanticide	cunug yar	disgust	0.836
homicide	dilka	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	addoonto	disgust	0.836
gore	waxay u egtahay	disgust	0.828
perverted	qalloocan	disgust	0.828
torture	jirdil	disgust	0.828
slaughtering	gawaarida	disgust	0.828
excretion	qashinka	disgust	0.828
contaminate	wasakhaysan	disgust	0.821
murderer	dilka	disgust	0.820
gory	gory	disgust	0.820
repugnant	dib u furan	disgust	0.820
desecration	jeexasho	disgust	0.820
grotesque	Garsoore	disgust	0.820
revolting	kacdoonka	disgust	0.820
diarrhoea	shuban	disgust	0.820
manure	digada	disgust	0.820
terrorist	argagixiso	disgust	0.820
shit	shit	disgust	0.820
pervert	qallooca	disgust	0.820
slavery	addoonsiga	disgust	0.812
faeces	saxarada	disgust	0.812
sewer	bulaacada	disgust	0.812
vomit	matag	disgust	0.812
manslaughter	xishood la'aan	disgust	0.812
dismemberment	kala tag	disgust	0.812
cadaver	cadaw	disgust	0.812
hemorrhage	dhiigbax	disgust	0.805
repulsive	jebin	disgust	0.805
perverse	qalloocan	disgust	0.805
filthy	nijaasta	disgust	0.797
sewage	wasakhda	disgust	0.797
depravity	qummanaanta	disgust	0.797
diseased	xanuunsan	disgust	0.797
carcass	baqti	disgust	0.795
decompose	burburin	disgust	0.789
vermin	rinjiga	disgust	0.789
puke	qashinka	disgust	0.789
parasite	dulin	disgust	0.789
horrific	cabsi	disgust	0.789
gruesome	naxdin leh	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	la gooyey	disgust	0.789
murderous	dil	disgust	0.789
decayed	burburay	disgust	0.789
herpes	herpes	disgust	0.789
slime	jilicsan	disgust	0.781
flatulence	sinnaanta	disgust	0.781
monstrosity	dulqaad	disgust	0.781
carnage	dhuxusha	disgust	0.781
pestilence	belaayada	disgust	0.781
malaria	duumada	disgust	0.781
crap	jahwareer	disgust	0.781
toxic	sunta	disgust	0.773
loathsome	dharbaaxo	disgust	0.773
insidious	adadag	disgust	0.773
leprosy	leprosy	disgust	0.773
morgue	morgue	disgust	0.773
pus	malax	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	dhilleysi	disgust	0.766
cruel	naxariis badan	disgust	0.766
repugnance	dib u celin	disgust	0.766
revulsion	diidmada	disgust	0.766
xenophobia	nacaybka	disgust	0.766
regurgitation	isbedelka	disgust	0.766
anthrax	kudka	disgust	0.766
lynch	lynch	disgust	0.766
dissection	diidmo	disgust	0.759
canker	canker	disgust	0.758
cruelty	nacayb	disgust	0.758
perversion	qallafsan	disgust	0.758
evil	xumaan	disgust	0.758
slum	xumbo	disgust	0.758
infectious	infekshan	disgust	0.758
mucous	mucous	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	sifooyinka	disgust	0.750
decomposition	burburinta	disgust	0.750
sinister	niyadjab	disgust	0.750
corrupting	musuqmaasuq	disgust	0.750
demon	jinni	disgust	0.742
stinking	xoqin	disgust	0.742
septic	septic	disgust	0.742
deranged	dulqaadan	disgust	0.742
bile	xitaa	disgust	0.742
soiled	wasakhaysan	disgust	0.742
mucus	xabo	disgust	0.742
abhorrence	Necbaan	disgust	0.742
abomination	abomin	disgust	0.742
sickening	xanuun	disgust	0.742
demonic	jinni	disgust	0.742
foul	qalad	disgust	0.734
obese	cayil	disgust	0.734
sicken	xanuunsan	disgust	0.734
degeneracy	degenaanta	disgust	0.734
crucifixion	iskutallaabta	disgust	0.734
despicable	niyad jab	disgust	0.734
cancer	kansarka	disgust	0.734
atrocity	xasaasiyad	disgust	0.734
terrorism	argagixisanimo	disgust	0.734
dirty	wasakh	disgust	0.727
dysentery	dysentery	disgust	0.727
adultery	sino	disgust	0.727
contamination	wasakheynta	disgust	0.727
bacterium	bakteeriyada	disgust	0.727
diabolical	diabolical	disgust	0.727
morbidity	cudurrada	disgust	0.727
grisly	si miisaan leh	disgust	0.727
repulsion	diidmada	disgust	0.727
enema	enema	disgust	0.727
contagion	faafinta	disgust	0.719
disfigured	naafo ah	disgust	0.719
muck	muck	disgust	0.719
lewd	lewd	disgust	0.719
garbage	qashin	disgust	0.719
autopsy	cirbadeynta	disgust	0.719
bowels	caloosha	disgust	0.719
gross	guud ahaan	disgust	0.719
vulgar	nacasnimo	disgust	0.719
barbaric	barbaric	disgust	0.719
disgust	nacayb	disgust	0.719
vicious	wax xun	disgust	0.719
entrails	gasho	disgust	0.719
deterioration	sii xumaan	disgust	0.719
pungent	fiiqan	disgust	0.719
bloodshed	dhiig ku daatay	disgust	0.714
violent	rabshad	disgust	0.711
tyrant	Tikroole	disgust	0.711
poisoned	sun ah	disgust	0.711
pollute	diidmo	disgust	0.711
wretched	xumaan	disgust	0.711
nausea	lallabbo	disgust	0.711
mortification	dhimasho	disgust	0.711
gag	gag	disgust	0.711
vulgarity	nacasnimo	disgust	0.703
disgusting	qosol	disgust	0.703
grope	xadhig	disgust	0.703
slut	gaabin	disgust	0.703
poisoning	sumowga	disgust	0.703
depraved	naaqusay	disgust	0.703
noxious	walwal	disgust	0.703
porn	porn	disgust	0.703
nasty	xun	disgust	0.703
slimy	jilicsan	disgust	0.703
despotism	jaahwareer	disgust	0.703
nauseate	lalabo	disgust	0.703
secretion	qarsoodi	disgust	0.703
constipation	caloosha	disgust	0.703
hateful	nacayb ah	disgust	0.703
grime	qabow	disgust	0.703
measles	jadeecada	disgust	0.696
contagious	faafi	disgust	0.695
hellish	hellish	disgust	0.695
waste	qashin	disgust	0.695
suicidal	is-dilka	disgust	0.695
abuse	xadgudub	disgust	0.695
hate	necbahay	disgust	0.695
wretch	jahwareer	disgust	0.695
intestinal	xiidmaha	disgust	0.695
wart	gariir	disgust	0.695
obesity	cayilka	disgust	0.695
scum	xaraarad	disgust	0.695
contaminated	wasakhaysan	disgust	0.688
disease	cudurka	disgust	0.688
rabid	rabid	disgust	0.688
ooze	gasho	disgust	0.688
treason	khiyaamo Qaran	disgust	0.688
heartworm	wadnaha	disgust	0.688
smut	smut	disgust	0.688
cholera	daacuun	disgust	0.680
deformed	deformed	disgust	0.680
detest	gardarrada	disgust	0.680
bestial	ugu fiican	disgust	0.680
sickness	jirro	disgust	0.680
antichrist	ka gees ah	disgust	0.680
abhorrent	abhorrent	disgust	0.680
soulless	naftayda	disgust	0.680
freakish	qosol	disgust	0.680
grimy	daacad ah	disgust	0.680
hatred	nacayb	disgust	0.680
pollution	wasakheynta	disgust	0.680
germ	jeermi	disgust	0.680
abominate	abominate	disgust	0.680
hell	hell	disgust	0.680
dilapidated	xannibay	disgust	0.672
dictatorship	kaligii talisnimada	disgust	0.672
inhuman	bani-aadannimada	disgust	0.672
greasy	dufan	disgust	0.672
hideous	foosha	disgust	0.672
loathful	dharbaaxo	disgust	0.672
obscene	qosol	disgust	0.672
loathing	dharbaaxo	disgust	0.672
cess	cess	disgust	0.670
devil	Ibliisku	disgust	0.664
heretic	heret	disgust	0.664
nauseous	lakab	disgust	0.664
abominable	abominable	disgust	0.664
deformity	deformity	disgust	0.664
deadly	dhimasho	disgust	0.664
swine	doofaarka	disgust	0.664
discrimination	takoorid	disgust	0.664
masochism	masochism	disgust	0.664
poisonous	sun ah	disgust	0.656
prejudiced	nacaybka	disgust	0.656
bacteria	bakteeriya	disgust	0.656
death	dhimasho	disgust	0.656
poison	sunta	disgust	0.656
trash	qashinka	disgust	0.656
abortion	ilmo iska soo ridid	disgust	0.656
corruption	musuqmaasuq	disgust	0.656
victimized	dhibaney	disgust	0.656
oppression	dulqaad	disgust	0.656
goo	goo	disgust	0.656
latrines	musqulo	disgust	0.656
horror	cabsi	disgust	0.656
horrible	cabsi leh	disgust	0.656
nefarious	nefarious	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	udifaac	disgust	0.648
outhouse	outhouse	disgust	0.648
horrid	cabsi	disgust	0.648
detestation	nacayb	disgust	0.648
sludge	dhoobada	disgust	0.648
ugly	fool xun	disgust	0.648
trashy	qashinka	disgust	0.648
bitch	qashin	disgust	0.648
immoral	akhlaaqda	disgust	0.648
malfeasance	xumayn	disgust	0.641
spew	waaba	disgust	0.641
pimple	finan	disgust	0.641
indecency	ficil la'aan	disgust	0.641
unsightly	oo aan muuqan	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	shaki	disgust	0.641
cystic	cystic	disgust	0.641
horrifying	cabsi	disgust	0.641
derogatory	fadeexad	disgust	0.641
laxative	jilicsanaanta	disgust	0.641
criminality	dembi	disgust	0.641
oppressive	dulqaad leh	disgust	0.633
sinful	dembi leh	disgust	0.633
bigoted	weynaaday	disgust	0.633
doomsday	qiyaastii	disgust	0.633
prostitution	dhilleysi	disgust	0.633
ulcer	boog	disgust	0.633
secrete	qarsoodi ah	disgust	0.633
perpetrator	gardarrada	disgust	0.633
rat	rat	disgust	0.633
queasy	queasy	disgust	0.633
mildew	caarada	disgust	0.633
dastardly	dastardly	disgust	0.625
disgraceful	ceeb	disgust	0.625
ghastly	ghastly	disgust	0.625
persecution	cadaadis	disgust	0.625
devilish	Ibliisku	disgust	0.625
degrading	sharaf-ridid	disgust	0.625
obscenity	qarsoodi	disgust	0.625
fungus	fungus	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	macaan	disgust	0.625
stools	saxaro	disgust	0.625
suffering	dhibaatada	disgust	0.625
contemptible	cabsigelin	disgust	0.625
cuckold	ciriiriga	disgust	0.625
bloated	lakin	disgust	0.625
aghast	agtast	disgust	0.625
betrayal	khiyaamo	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	infekshan	disgust	0.617
spoil	garaacista	disgust	0.617
tetanus	teetanus	disgust	0.617
fat	baruurta	disgust	0.617
louse	naaska	disgust	0.617
malicious	xaasidnimo	disgust	0.617
polygamy	Walaac badan	disgust	0.617
crusty	qallafsan	disgust	0.617
atrocious	jilicsan	disgust	0.617
deceit	khiyaanada	disgust	0.617
termite	ereyada	disgust	0.617
loathe	loathe	disgust	0.617
wench	duufaan	disgust	0.617
dying	dhimasho	disgust	0.617
sickly	jiran	disgust	0.617
diaper	xafaayad	disgust	0.617
strangle	dharbaaxo	disgust	0.617
drool	dharka	disgust	0.609
slander	qarsoodi ah	disgust	0.609
abhor	necbahay	disgust	0.609
venomous	gumeysi	disgust	0.609
brothel	marwo	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	rabshad	disgust	0.609
hostile	colaad	disgust	0.609
sabotage	dulqaadka	disgust	0.609
deform	deform	disgust	0.609
bleeding	dhiig-bax	disgust	0.609
unwashed	aan la dhaqin	disgust	0.602
lunacy	diiniga	disgust	0.602
imprisonment	xabsi	disgust	0.602
infidel	gaalnimo	disgust	0.602
deprivation	laga mamnuuco	disgust	0.602
traitor	khiyaanayn	disgust	0.602
ugliness	ugxanta	disgust	0.602
musty	shey	disgust	0.602
illicit	sharci darro	disgust	0.602
swampy	boodh	disgust	0.602
poaching	ugaadhsiga	disgust	0.602
hag	hagaha	disgust	0.602
butcher	tuugada	disgust	0.594
lunatic	lunatic	disgust	0.594
venom	venom	disgust	0.594
repelling	dib u celin	disgust	0.594
thug	thug	disgust	0.594
misery	murugo	disgust	0.594
toilet	musqusha	disgust	0.594
slug	slug	disgust	0.594
catastrophe	musiibo	disgust	0.594
epidemic	cudurrada faafa	disgust	0.594
gut	mindhicirka	disgust	0.594
intoxicated	qarsoodi ah	disgust	0.594
blister	blister	disgust	0.594
deceitful	khiyaanayn	disgust	0.594
hostility	colaad	disgust	0.594
queasiness	safka	disgust	0.594
lurid	lurid	disgust	0.594
sinner	dembiile	disgust	0.594
incubus	xashiishka	disgust	0.586
lavatory	qaboojin	disgust	0.586
harass	dhibaateyn	disgust	0.586
unclean	nijaas	disgust	0.586
prostitute	dhillo	disgust	0.586
pornography	sawir-gacmeed	disgust	0.586
dreadful	cabsi badan	disgust	0.586
deteriorated	sii xumaatay	disgust	0.586
appalling	cabsi	disgust	0.586
unfaithful	daacadnimo	disgust	0.578
rash	finan yaryar	disgust	0.578
humiliating	daacadnimo	disgust	0.578
ruinous	burburin	disgust	0.578
squeamish	sukamish	disgust	0.578
offensive	weerar	disgust	0.578
conspirator	shirqool	disgust	0.578
larceny	xakameyn	disgust	0.578
debauchery	dhibaatada	disgust	0.578
mangle	mangle	disgust	0.578
flea	boodada	disgust	0.578
hypocrite	Munaafaqnimo	disgust	0.578
retard	dib u dhac	disgust	0.578
fiend	fiend	disgust	0.578
sick	jiran	disgust	0.578
quagmire	quagmire	disgust	0.578
expulsion	eryidda	disgust	0.578
treacherous	khiyaano	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	tufid	disgust	0.570
devastating	burburin	disgust	0.570
bastard	istiraatiiji	disgust	0.570
messy	murugeysan	disgust	0.570
flog	flog	disgust	0.570
egregious	naadir ah	disgust	0.570
swamp	Biyaha	disgust	0.570
oppress	dulqaad	disgust	0.570
despise	quudhsan	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	abeesada	disgust	0.570
snake	abeeso	disgust	0.562
terrible	cabsi leh	disgust	0.562
awful	aad u xun	disgust	0.562
harmful	halis ah	disgust	0.562
insanity	daacadnimo	disgust	0.562
indecent	aanad lahayn	disgust	0.562
sordid	sordid	disgust	0.562
loo	loo	disgust	0.562
scoundrel	cabudhin	disgust	0.562
enemy	cadow	disgust	0.562
stealing	xaday	disgust	0.562
alcoholism	khamriga	disgust	0.562
humiliation	Dulli	disgust	0.562
ruthless	daacad ah	disgust	0.562
sloppy	jilicsan	disgust	0.562
tyrannical	caqligal ah	disgust	0.562
harlot	dhilleysi	disgust	0.562
sinning	dembi	disgust	0.562
robbery	dhac	disgust	0.555
insufferable	shaqeynaya	disgust	0.555
arsenic	arsenic	disgust	0.555
bloody	dhiigga	disgust	0.555
odious	xun	disgust	0.555
ridicule	jees jees	disgust	0.555
atrophy	atrophy	disgust	0.555
beastly	beastly	disgust	0.555
collusion	wada-xaajoodka	disgust	0.555
distaste	dhadhanka	disgust	0.555
segregate	kala sooc	disgust	0.555
discriminating	takoorid	disgust	0.555
coward	fulayo	disgust	0.555
wickedness	xumaanta	disgust	0.555
threatening	hanjabaad	disgust	0.555
unattractive	jeexjeexin	disgust	0.555
slayer	dilka	disgust	0.555
flabby	boodada	disgust	0.555
varicella	varicella	disgust	0.555
miserable	murugaysan	disgust	0.547
sty	sty	disgust	0.547
ogre	ogre	disgust	0.547
coercion	khasab	disgust	0.547
thief	tuug	disgust	0.547
slur	gabbasho	disgust	0.547
suffocating	kicin	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	purgatory	disgust	0.547
malevolent	nacasnimo	disgust	0.547
bitterly	qadhaadh	disgust	0.547
burglar	jabsiga	disgust	0.547
attacking	weerarka	disgust	0.547
vesicular	ujeedo	disgust	0.547
condemnation	ciqaab	disgust	0.547
pillage	dilka	disgust	0.547
deleterious	gardarrada	disgust	0.547
thrash	garaacid	disgust	0.539
repellant	ka hortag	disgust	0.539
repudiation	diidmo	disgust	0.539
infidelity	gaalnimo	disgust	0.539
liar	been	disgust	0.539
fatty	dufanka	disgust	0.539
gob	gob	disgust	0.539
sneer	kaftanka	disgust	0.539
drunken	sakhraan	disgust	0.539
disgrace	ceebeyn	disgust	0.539
shame	ceeb	disgust	0.539
jealous	masayr	disgust	0.539
imprisoned	xidhay	disgust	0.539
pig	doofaarka	disgust	0.539
greedy	hunguri	disgust	0.539
sloth	caajis	disgust	0.539
lethal	Halis ah	disgust	0.536
burnt	gubay	disgust	0.531
aberration	aberration	disgust	0.531
condescension	gorgortanka	disgust	0.531
hydrocephalus	hydrocephalus	disgust	0.531
hanging	dhejisid	disgust	0.531
destructive	burburin	disgust	0.531
smuggler	tahriibiye	disgust	0.531
intolerant	dulqaad la'aan	disgust	0.531
travesty	dharbaaxo	disgust	0.531
intrusive	dulqaad	disgust	0.531
ruined	burburay	disgust	0.531
withered	oo engegay	disgust	0.531
disintegrate	burburinta	disgust	0.531
brawl	ujeeda	disgust	0.531
blemish	iwm	disgust	0.531
neurotic	neurotic	disgust	0.531
blasphemous	caytamaya	disgust	0.531
lying	been	disgust	0.531
painful	xanuun badan	disgust	0.531
avarice	kharashka	disgust	0.523
disgraced	qosol badan	disgust	0.523
mistress	gabadha	disgust	0.523
disparaging	kala-takoorid	disgust	0.523
rubbish	qashinka	disgust	0.523
derogation	derogeynta	disgust	0.523
accusation	eedayn	disgust	0.523
intolerance	dulqaad la'aan	disgust	0.523
incarceration	xabsi	disgust	0.523
blighted	gilgilay	disgust	0.523
sump	fadeexo	disgust	0.516
deplorable	dhibban	disgust	0.516
daemon	daemon	disgust	0.516
cringe	xajin	disgust	0.516
degrade	degrade	disgust	0.516
gutter	guntin	disgust	0.516
rob	garaac	disgust	0.516
grim	xagasho	disgust	0.516
