word	Welsh-cy	emotion	emotion-intensity-score
zeal	zeal	anticipation	0.500
sneaking	sneaking	anticipation	0.500
ready	yn barod	anticipation	0.500
advocacy	eiriolaeth	anticipation	0.500
airport	maes Awyr	anticipation	0.500
litigate	troseddu	anticipation	0.500
blindfold	blychau	anticipation	0.500
undisclosed	heb ei ddatgelu	anticipation	0.500
young	ifanc	anticipation	0.500
horoscope	horosgop	anticipation	0.500
invocation	gwahoddiad	anticipation	0.500
calculation	cyfrifo	anticipation	0.500
hero	arwr	anticipation	0.500
court	llys	anticipation	0.492
repay	ad-dalu	anticipation	0.492
improvise	byrfyfyrio	anticipation	0.492
parole	parôl	anticipation	0.492
worry	poeni	anticipation	0.492
inauguration	agoriad	anticipation	0.492
gaping	bwlch	anticipation	0.492
youth	ieuenctid	anticipation	0.492
bless	bendithiwch	anticipation	0.492
defense	amddiffyniad	anticipation	0.492
heyday	heyday	anticipation	0.492
consequent	o ganlyniad	anticipation	0.492
proceeding	mynd ymlaen	anticipation	0.492
eventual	yn y pen draw	anticipation	0.492
perspective	safbwynt	anticipation	0.492
restorative	adferol	anticipation	0.492
undertaking	ymgymryd â nhw	anticipation	0.492
highest	uchaf	anticipation	0.491
duel	duel	anticipation	0.484
unexplained	heb esboniad	anticipation	0.484
tremor	tremor	anticipation	0.484
sharpen	crafu	anticipation	0.484
generosity	haelioni	anticipation	0.484
voluptuous	voluptuous	anticipation	0.484
shortly	yn fuan	anticipation	0.484
vow	vow	anticipation	0.484
contagion	ymagwedd	anticipation	0.484
letter	llythyr	anticipation	0.484
happen	digwydd	anticipation	0.484
threaten	bygwth	anticipation	0.484
conjure	cywiro	anticipation	0.484
sparkle	sgleinio	anticipation	0.484
engulf	engulf	anticipation	0.484
god	Duw	anticipation	0.484
correspondence	gohebiaeth	anticipation	0.484
auspicious	yn addawol	anticipation	0.484
princely	tywysog	anticipation	0.484
adore	adore	anticipation	0.477
enroll	cofrestru	anticipation	0.477
determinate	penderfynu	anticipation	0.477
predispose	predispose	anticipation	0.477
clue	cudd	anticipation	0.477
onset	cychwyn	anticipation	0.477
powerful	pwerus	anticipation	0.477
glorify	gogoneddwch	anticipation	0.477
glow	glow	anticipation	0.477
arbitration	cyflafareddu	anticipation	0.477
torture	tortaith	anticipation	0.477
gravitate	diflaswch	anticipation	0.477
cherish	caris	anticipation	0.477
contemplate	ystyried	anticipation	0.477
submit	cyflwyno	anticipation	0.477
perilous	yn beryglus	anticipation	0.477
unification	uniad	anticipation	0.477
score	sgôr	anticipation	0.477
medal	medal	anticipation	0.477
glide	glide	anticipation	0.477
recipient	derbynnydd	anticipation	0.477
accompaniment	cyfeiliant	anticipation	0.477
praiseworthy	yn ganmoladwy	anticipation	0.473
providing	yn darparu	anticipation	0.469
motion	cynnig	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	yn ofalus	anticipation	0.469
cash	arian parod	anticipation	0.469
precursor	rhagflaenydd	anticipation	0.469
opera	opera	anticipation	0.469
elite	elitaidd	anticipation	0.469
pry	pry	anticipation	0.469
hire	llogi	anticipation	0.469
sweets	melysion	anticipation	0.469
star	seren	anticipation	0.469
unsurpassed	heb ei osgoi	anticipation	0.469
successful	llwyddiannus	anticipation	0.469
unknown	anhysbys	anticipation	0.469
immediately	ar unwaith	anticipation	0.469
starry	serennog	anticipation	0.469
production	cynhyrchu	anticipation	0.469
football	pêl-droed	anticipation	0.469
completion	cwblhau	anticipation	0.469
scare	ofn	anticipation	0.469
invoke	yn galw	anticipation	0.469
shaky	yn ysgafn	anticipation	0.469
dawn	dawn	anticipation	0.469
creeping	yn ymledu	anticipation	0.469
cheerfulness	hwylus	anticipation	0.461
soundness	cadernid	anticipation	0.461
mail	bost	anticipation	0.461
draft	drafft	anticipation	0.461
preliminary	rhagarweiniol	anticipation	0.461
friendly	cyfeillgar	anticipation	0.461
commemorative	coffaol	anticipation	0.461
extricate	ymestyn	anticipation	0.461
alive	yn fyw	anticipation	0.461
untold	heb ei ddatgelu	anticipation	0.461
overture	osgoi	anticipation	0.461
excel	rhagori	anticipation	0.461
plight	poen	anticipation	0.461
synchronize	cydamseru	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	cysegr	anticipation	0.461
brilliant	yn wych	anticipation	0.461
pay	talu	anticipation	0.461
shining	yn disgleirio	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	tyst	anticipation	0.461
jeopardy	peryglu	anticipation	0.461
perpetuity	am byth	anticipation	0.453
elegance	ceinder	anticipation	0.453
career	gyrfa	anticipation	0.453
basketball	pêl-fasged	anticipation	0.453
intimately	yn ddidwyll	anticipation	0.453
renovate	adnewyddu	anticipation	0.453
supremacy	goruchafiaeth	anticipation	0.453
infinity	anfeidredd	anticipation	0.453
unexpected	annisgwyl	anticipation	0.453
flinch	ffos	anticipation	0.453
complement	ategu	anticipation	0.453
prologue	prolog	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	atal	anticipation	0.453
improve	gwella	anticipation	0.453
sunset	machlud	anticipation	0.453
inaugural	agoriadol	anticipation	0.453
rehabilitation	adsefydlu	anticipation	0.453
fitting	ffitio	anticipation	0.445
surround	amgylch	anticipation	0.445
share	rhannu	anticipation	0.445
epidemic	epidemig	anticipation	0.445
sweet	melys	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	cuddio	anticipation	0.445
confidence	hyder	anticipation	0.445
perfect	perffaith	anticipation	0.445
sun	haul	anticipation	0.445
veracity	wirionedd	anticipation	0.445
volunteer	gwirfoddolwr	anticipation	0.445
conjecture	cyfieithiad	anticipation	0.445
medical	meddygol	anticipation	0.438
prepared	paratowyd	anticipation	0.438
superstitious	superstitious	anticipation	0.438
reconstruction	ailadeiladu	anticipation	0.438
tickle	ticiwch	anticipation	0.438
faith	ffydd	anticipation	0.438
passenger	teithiwr	anticipation	0.438
saint	sant	anticipation	0.438
respect	parch	anticipation	0.438
rabid	rabid	anticipation	0.438
reconstruct	ail-greu	anticipation	0.438
recombination	ailgyfuniad	anticipation	0.438
devout	beiddgar	anticipation	0.438
goodness	daioni	anticipation	0.438
angel	angel	anticipation	0.438
ferment	ferment	anticipation	0.438
plea	ple	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	cyfresol	anticipation	0.438
conservation	cadwraeth	anticipation	0.438
serenity	serenity	anticipation	0.430
tabulate	tablwch	anticipation	0.430
install	gosod	anticipation	0.430
labyrinth	labyrinth	anticipation	0.430
venerable	annwyliadwy	anticipation	0.430
perpetuate	parhau	anticipation	0.430
strategist	strategydd	anticipation	0.430
unverified	heb ei wirio	anticipation	0.430
tribunal	tribiwnlys	anticipation	0.430
charitable	elusennol	anticipation	0.430
luscious	rhyfedd	anticipation	0.430
spa	sba	anticipation	0.430
peace	heddwch	anticipation	0.430
clap	clapio	anticipation	0.430
conspirator	conspiradwr	anticipation	0.422
forestall	coedwig	anticipation	0.422
patience	amynedd	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	grin	anticipation	0.422
revere	disgres	anticipation	0.422
worship	addoli	anticipation	0.422
vista	vista	anticipation	0.422
laughter	chwerthin	anticipation	0.422
volatility	ansefydlogrwydd	anticipation	0.422
adrift	adrift	anticipation	0.422
candid	candid	anticipation	0.422
edification	edification	anticipation	0.422
unresolved	heb ei ddatrys	anticipation	0.422
peaceful	heddychlon	anticipation	0.422
recognizable	adnabyddadwy	anticipation	0.422
calls	galwadau	anticipation	0.414
weigh	pwyso	anticipation	0.414
probation	prawf	anticipation	0.414
proficiency	hyfedredd	anticipation	0.414
morn	bore	anticipation	0.414
craps	craps	anticipation	0.414
detainee	carcharorion	anticipation	0.414
mediate	cyfryngol	anticipation	0.414
continue	parhau	anticipation	0.414
astrologer	astrologer	anticipation	0.414
punctual	yn brydlon	anticipation	0.414
ordination	ordeinio	anticipation	0.414
pretty	bert	anticipation	0.414
thought	meddwl	anticipation	0.414
grant	grant	anticipation	0.414
withstand	gwrthsefyll	anticipation	0.414
frisky	yn ysgafn	anticipation	0.414
ongoing	yn barhaus	anticipation	0.414
sing	canu	anticipation	0.411
long	hir	anticipation	0.406
confession	cyffes	anticipation	0.406
headlight	goleuadau	anticipation	0.406
prophylactic	proffylactig	anticipation	0.406
mother	mam	anticipation	0.406
debenture	debenture	anticipation	0.406
wizard	dewin	anticipation	0.406
university	prifysgol	anticipation	0.406
proud	balch	anticipation	0.406
midwife	bydwraig	anticipation	0.406
banquet	gwledd	anticipation	0.406
continuation	parhad	anticipation	0.406
navigable	llywio	anticipation	0.406
punished	cosbi	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	cysur	anticipation	0.406
opponent	gwrthwynebydd	anticipation	0.406
subscribe	tanysgrifio	anticipation	0.406
outdo	allan	anticipation	0.406
nurture	meithrin	anticipation	0.406
twinkle	twinkle	anticipation	0.406
deal	delio	anticipation	0.402
efficient	effeithlon	anticipation	0.398
representing	yn cynrychioli	anticipation	0.398
simmer	mwydwi	anticipation	0.398
symphony	symffoni	anticipation	0.398
judiciary	barnwriaeth	anticipation	0.398
obliging	rhwymedigaeth	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	yn wyliadwrus	anticipation	0.398
death	marwolaeth	anticipation	0.398
distracting	tynnu sylw	anticipation	0.398
mortification	marwolaeth	anticipation	0.398
balm	balm	anticipation	0.398
guillotine	gilotin	anticipation	0.398
top	top	anticipation	0.398
lettered	llythrennedd	anticipation	0.398
reliance	ddibyniaeth	anticipation	0.398
poke	poke	anticipation	0.391
unfulfilled	heb ei gyflawni	anticipation	0.391
assurance	sicrwydd	anticipation	0.391
condemnation	condemniad	anticipation	0.391
undoubted	yn ddiau	anticipation	0.391
diplomacy	diplomyddiaeth	anticipation	0.391
familiarity	yn gyfarwydd	anticipation	0.391
antidote	antidoteg	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	amcan	anticipation	0.391
maternal	mamau	anticipation	0.391
abeyance	ymatal	anticipation	0.391
art	celf	anticipation	0.391
linger	ieir	anticipation	0.391
trust	ymddiriedolaeth	anticipation	0.391
depraved	cywilydd	anticipation	0.391
sanctify	sancteiddiwch	anticipation	0.391
inoculation	ymosodiad	anticipation	0.384
chant	sant	anticipation	0.383
banger	banger	anticipation	0.383
playground	maes chwarae	anticipation	0.383
failing	methu	anticipation	0.383
ship	llong	anticipation	0.383
hymn	emyn	anticipation	0.383
simplify	symleiddio	anticipation	0.383
ram	Ram	anticipation	0.383
labor	llafur	anticipation	0.383
discretion	disgresiwn	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	da	anticipation	0.383
scientist	gwyddonydd	anticipation	0.383
undecided	heb benderfynu	anticipation	0.383
humanitarian	dyngarol	anticipation	0.383
depend	yn dibynnu	anticipation	0.383
dutiful	Diolchus	anticipation	0.383
clock	cloc	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	mynydd	anticipation	0.375
savor	blasus	anticipation	0.375
recurrent	yn rheolaidd	anticipation	0.375
interim	dros dro	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	graddol	anticipation	0.375
interminable	ar ben	anticipation	0.375
track	olrhain	anticipation	0.375
public	cyhoeddus	anticipation	0.375
cradle	crud	anticipation	0.375
concealed	cuddiedig	anticipation	0.367
lesson	gwers	anticipation	0.367
instructions	cyfarwyddiadau	anticipation	0.367
shiver	twyllo	anticipation	0.367
musical	cerddorol	anticipation	0.367
towering	yn rhyfeddol	anticipation	0.367
whim	whim	anticipation	0.367
spear	ysgwydd	anticipation	0.367
convince	argyhoeddi	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	cadw atoch	anticipation	0.367
biennial	ddwy flynedd	anticipation	0.367
theology	diwinyddiaeth	anticipation	0.359
offset	gwrthbwyso	anticipation	0.359
atone	atone	anticipation	0.359
timidity	amseroldeb	anticipation	0.359
theory	theori	anticipation	0.359
undying	yn rhyfedd	anticipation	0.359
plump	plump	anticipation	0.359
audience	cynulleidfa	anticipation	0.357
nobility	nobeldeb	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	dietegol	anticipation	0.352
closure	cau	anticipation	0.352
store	storio	anticipation	0.352
localize	lleolwch	anticipation	0.352
cramp	cramp	anticipation	0.352
daily	bob dydd	anticipation	0.352
kindred	garedig	anticipation	0.352
farm	fferm	anticipation	0.352
edition	rhifyn	anticipation	0.352
consecration	cysegru	anticipation	0.352
archaeology	archeoleg	anticipation	0.344
mobile	symudol	anticipation	0.344
errand	nodyn	anticipation	0.344
wireless	di-wifr	anticipation	0.344
mutable	mutable	anticipation	0.344
meditate	meddyliwch	anticipation	0.344
stripped	wedi'i dynnu allan	anticipation	0.344
lessen	lleihau	anticipation	0.336
unaccountable	anhygoel	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	brawdol	anticipation	0.336
buddy	ffrind	anticipation	0.336
unbeaten	heb ei drin	anticipation	0.336
germ	germ	anticipation	0.336
dove	colomen	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	rhuban	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	claf	anticipation	0.328
council	cyngor	anticipation	0.328
possess	meddu	anticipation	0.328
secular	seciwlar	anticipation	0.328
chastity	castiad	anticipation	0.328
disposed	gwaredu	anticipation	0.320
regularity	rheoleidd-dra	anticipation	0.320
mediator	cyfryngwr	anticipation	0.320
scrutinize	craffu	anticipation	0.320
fancy	ffansi	anticipation	0.320
immature	anaeddfed	anticipation	0.320
infanticide	babanladdiad	anticipation	0.320
heft	heft	anticipation	0.320
preservative	cadwraethol	anticipation	0.320
paddle	padlo	anticipation	0.320
cove	cudd	anticipation	0.320
denying	gwadu	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	heb ei gyhoeddi	anticipation	0.312
analyst	dadansoddwr	anticipation	0.312
grim	grim	anticipation	0.312
church	eglwys	anticipation	0.312
priesthood	offeiriadaeth	anticipation	0.305
mill	melin	anticipation	0.305
judicial	barnwrol	anticipation	0.305
broadside	ochr eang	anticipation	0.305
tributary	isafonydd	anticipation	0.297
cap	cap	anticipation	0.297
thermocouple	thermocwl	anticipation	0.297
dismay	syfrdan	anticipation	0.297
instructor	hyfforddwr	anticipation	0.297
saliva	saliva	anticipation	0.297
exhaustion	golchiad	anticipation	0.297
bruise	cleis	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	digartref	anticipation	0.289
visor	gweledydd	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	rhwydwaith	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	Cyfeiriadau	anticipation	0.289
noncompliance	anghyflawniad	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	wedi'i guddio	anticipation	0.281
astronomer	seryddwr	anticipation	0.281
neighbor	cymydog	anticipation	0.281
holiness	sancteiddrwydd	anticipation	0.273
devil	diafol	anticipation	0.273
cream	hufen	anticipation	0.273
picket	piced	anticipation	0.273
latent	cuddio	anticipation	0.273
immaturity	anwyldeb	anticipation	0.273
sentence	ddedfryd	anticipation	0.273
neighborhood	cymdogaeth	anticipation	0.266
morals	moesau	anticipation	0.266
lull	lull	anticipation	0.266
habitual	yn arferol	anticipation	0.266
weight	pwysau	anticipation	0.258
bye	bye	anticipation	0.258
forearm	forearm	anticipation	0.250
clown	clown	anticipation	0.250
organ	organ	anticipation	0.250
quote	dyfynbris	anticipation	0.242
commonplace	yn gyffredin	anticipation	0.242
dictatorship	unbennaeth	anticipation	0.234
board	bwrdd	anticipation	0.234
white	Gwyn	anticipation	0.234
treadmill	melin chwyth	anticipation	0.234
rail	rheilffordd	anticipation	0.234
sundial	dydd Sul	anticipation	0.227
tree	coeden	anticipation	0.227
paralysis	paralysis	anticipation	0.211
worm	mwydod	anticipation	0.203
organization	sefydliad	anticipation	0.203
cement	sment	anticipation	0.203
lagging	lleiaf	anticipation	0.180
neutral	niwtral	anticipation	0.148
cannibalism	canibaliaeth	disgust	0.953
mutilation	tyllau	disgust	0.930
molestation	molestation	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	trais rhywiol	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	pydru	disgust	0.891
corpse	corff	disgust	0.883
massacre	llofruddiaeth	disgust	0.883
excrement	eithriad	disgust	0.883
slaughter	lladd	disgust	0.875
barf	NO TRANSLATION	disgust	0.875
slaughterhouse	lladd-dy	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	carthffosiaeth	disgust	0.859
incestuous	anhygoel	disgust	0.859
filth	filth	disgust	0.859
bigot	bigot	disgust	0.859
infestation	pla	disgust	0.852
plague	pla	disgust	0.852
bloodthirsty	gwaedlyd	disgust	0.852
holocaust	holocost	disgust	0.852
rotting	pydru	disgust	0.844
maggot	maggot	disgust	0.844
feces	feces	disgust	0.844
fecal	fecal	disgust	0.844
murder	llofruddiaeth	disgust	0.839
infanticide	babanladdiad	disgust	0.836
homicide	lladdiad	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	gwlaidd	disgust	0.836
gore	gore	disgust	0.828
perverted	yn ddrwg	disgust	0.828
torture	tortaith	disgust	0.828
slaughtering	lladd	disgust	0.828
excretion	eithriad	disgust	0.828
contaminate	halogi	disgust	0.821
murderer	llofrudd	disgust	0.820
gory	gory	disgust	0.820
repugnant	gwrthod	disgust	0.820
desecration	cywiro	disgust	0.820
grotesque	grotesg	disgust	0.820
revolting	yn gwrthdaro	disgust	0.820
diarrhoea	dolur rhydd	disgust	0.820
manure	tail	disgust	0.820
terrorist	terfysgol	disgust	0.820
shit	cach	disgust	0.820
pervert	gwrthdro	disgust	0.820
slavery	caethwasiaeth	disgust	0.812
faeces	faeces	disgust	0.812
sewer	carthffosiaeth	disgust	0.812
vomit	vomit	disgust	0.812
manslaughter	dynladdiad	disgust	0.812
dismemberment	diswyddo	disgust	0.812
cadaver	carcharor	disgust	0.812
hemorrhage	hemorrhage	disgust	0.805
repulsive	repulsive	disgust	0.805
perverse	anghyffredin	disgust	0.805
filthy	ffug	disgust	0.797
sewage	carthffosiaeth	disgust	0.797
depravity	depravity	disgust	0.797
diseased	afiechydon	disgust	0.797
carcass	carcas	disgust	0.795
decompose	dadelfennu	disgust	0.789
vermin	gwenwyn	disgust	0.789
puke	puke	disgust	0.789
parasite	parasit	disgust	0.789
horrific	erchyll	disgust	0.789
gruesome	anhygoel	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	wedi eu mabwysiadu	disgust	0.789
murderous	llofrudd	disgust	0.789
decayed	wedi pydru	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	flatulence	disgust	0.781
monstrosity	rhyfeddod	disgust	0.781
carnage	carnage	disgust	0.781
pestilence	pestilence	disgust	0.781
malaria	malaria	disgust	0.781
crap	crap	disgust	0.781
toxic	gwenwynig	disgust	0.773
loathsome	yn ddrwg	disgust	0.773
insidious	insidious	disgust	0.773
leprosy	lepros	disgust	0.773
morgue	morgue	disgust	0.773
pus	pws	disgust	0.773
herpesvirus	herpesvirws	disgust	0.773
whore	chwistrell	disgust	0.766
cruel	yn greulon	disgust	0.766
repugnance	repugnance	disgust	0.766
revulsion	diddymu	disgust	0.766
xenophobia	xenoffobia	disgust	0.766
regurgitation	adfywiad	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	dosbarthu	disgust	0.759
canker	canker	disgust	0.758
cruelty	creulondeb	disgust	0.758
perversion	perversiwn	disgust	0.758
evil	drwg	disgust	0.758
slum	slum	disgust	0.758
infectious	heintus	disgust	0.758
mucous	mwcws	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	dadelfennu	disgust	0.750
sinister	sinistr	disgust	0.750
corrupting	llygru	disgust	0.750
demon	demon	disgust	0.742
stinking	ysgubol	disgust	0.742
septic	septig	disgust	0.742
deranged	wedi'i ddirwyn	disgust	0.742
bile	bilis	disgust	0.742
soiled	wedi difetha	disgust	0.742
mucus	mwcws	disgust	0.742
abhorrence	abhorrence	disgust	0.742
abomination	ffiaidd	disgust	0.742
sickening	yn sâl	disgust	0.742
demonic	demonic	disgust	0.742
foul	budr	disgust	0.734
obese	yn ordew	disgust	0.734
sicken	salwch	disgust	0.734
degeneracy	dirywiad	disgust	0.734
crucifixion	croeshoelio	disgust	0.734
despicable	anhygoel	disgust	0.734
cancer	canser	disgust	0.734
atrocity	rhyfedd	disgust	0.734
terrorism	terfysgaeth	disgust	0.734
dirty	yn fudr	disgust	0.727
dysentery	dysentri	disgust	0.727
adultery	godineb	disgust	0.727
contamination	halogiad	disgust	0.727
bacterium	bacteriwm	disgust	0.727
diabolical	diabolical	disgust	0.727
morbidity	morbidrwydd	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	gwrthod	disgust	0.727
enema	enema	disgust	0.727
contagion	ymagwedd	disgust	0.719
disfigured	disfigured	disgust	0.719
muck	muck	disgust	0.719
lewd	lewd	disgust	0.719
garbage	garbage	disgust	0.719
autopsy	awtopsi	disgust	0.719
bowels	bowels	disgust	0.719
gross	gros	disgust	0.719
vulgar	vulgar	disgust	0.719
barbaric	barbaraidd	disgust	0.719
disgust	disgust	disgust	0.719
vicious	dieflig	disgust	0.719
entrails	entrails	disgust	0.719
deterioration	dirywiad	disgust	0.719
pungent	ysgyfaint	disgust	0.719
bloodshed	gwaed gwaed	disgust	0.714
violent	treisgar	disgust	0.711
tyrant	tyrant	disgust	0.711
poisoned	wedi'i wenwyno	disgust	0.711
pollute	llygru	disgust	0.711
wretched	yn ddrwg	disgust	0.711
nausea	cyfog	disgust	0.711
mortification	marwolaeth	disgust	0.711
gag	gag	disgust	0.711
vulgarity	dirgelwch	disgust	0.703
disgusting	yn warthus	disgust	0.703
grope	grope	disgust	0.703
slut	slut	disgust	0.703
poisoning	gwenwyno	disgust	0.703
depraved	cywilydd	disgust	0.703
noxious	yn bryderus	disgust	0.703
porn	porn	disgust	0.703
nasty	cas	disgust	0.703
slimy	slimy	disgust	0.703
despotism	despotism	disgust	0.703
nauseate	nauseate	disgust	0.703
secretion	secretion	disgust	0.703
constipation	rhwymedd	disgust	0.703
hateful	casineb	disgust	0.703
grime	grime	disgust	0.703
measles	y frech goch	disgust	0.696
contagious	yn heintus	disgust	0.695
hellish	hellish	disgust	0.695
waste	gwastraff	disgust	0.695
suicidal	hunanladdol	disgust	0.695
abuse	camdriniaeth	disgust	0.695
hate	casineb	disgust	0.695
wretch	wretch	disgust	0.695
intestinal	coluddyn	disgust	0.695
wart	gwartheg	disgust	0.695
obesity	gordewdra	disgust	0.695
scum	sgum	disgust	0.695
contaminated	halogedig	disgust	0.688
disease	clefyd	disgust	0.688
rabid	rabid	disgust	0.688
ooze	ooze	disgust	0.688
treason	treason	disgust	0.688
heartworm	llysiau'r galon	disgust	0.688
smut	smut	disgust	0.688
cholera	colera	disgust	0.680
deformed	diflannu	disgust	0.680
detest	detest	disgust	0.680
bestial	orau	disgust	0.680
sickness	salwch	disgust	0.680
antichrist	anticrist	disgust	0.680
abhorrent	yn rhyfeddol	disgust	0.680
soulless	anaml	disgust	0.680
freakish	freakish	disgust	0.680
grimy	grimy	disgust	0.680
hatred	casineb	disgust	0.680
pollution	llygredd	disgust	0.680
germ	germ	disgust	0.680
abominate	ffiaidd	disgust	0.680
hell	uffern	disgust	0.680
dilapidated	adfeiliedig	disgust	0.672
dictatorship	unbennaeth	disgust	0.672
inhuman	annhynol	disgust	0.672
greasy	sglodiog	disgust	0.672
hideous	yn anhygoel	disgust	0.672
loathful	cariadus	disgust	0.672
obscene	aneglur	disgust	0.672
loathing	gofalu	disgust	0.672
cess	cess	disgust	0.670
devil	diafol	disgust	0.664
heretic	heretic	disgust	0.664
nauseous	aflonyddus	disgust	0.664
abominable	ffiaidd	disgust	0.664
deformity	deformity	disgust	0.664
deadly	yn farwol	disgust	0.664
swine	moch	disgust	0.664
discrimination	gwahaniaethu	disgust	0.664
masochism	masochiaeth	disgust	0.664
poisonous	gwenwynig	disgust	0.656
prejudiced	rhagfarn	disgust	0.656
bacteria	bacteria	disgust	0.656
death	marwolaeth	disgust	0.656
poison	gwenwyn	disgust	0.656
trash	sbwriel	disgust	0.656
abortion	erthyliad	disgust	0.656
corruption	llygredd	disgust	0.656
victimized	wedi'i ddioddef	disgust	0.656
oppression	gormes	disgust	0.656
goo	goo	disgust	0.656
latrines	chwistrell	disgust	0.656
horror	arswyd	disgust	0.656
horrible	yn ofnadwy	disgust	0.656
nefarious	niweidiol	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	ddrwg	disgust	0.648
outhouse	outhouse	disgust	0.648
horrid	horrid	disgust	0.648
detestation	detestation	disgust	0.648
sludge	llaid	disgust	0.648
ugly	hyll	disgust	0.648
trashy	trashy	disgust	0.648
bitch	bys	disgust	0.648
immoral	anfoesol	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	ysbwriel	disgust	0.641
pimple	pimple	disgust	0.641
indecency	anweddusrwydd	disgust	0.641
unsightly	yn ddrwg	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	gwenwynog	disgust	0.641
cystic	cystic	disgust	0.641
horrifying	yn ofnadwy	disgust	0.641
derogatory	gwaharddiad	disgust	0.641
laxative	llaethog	disgust	0.641
criminality	troseddoldeb	disgust	0.641
oppressive	gormesol	disgust	0.633
sinful	pechadurus	disgust	0.633
bigoted	bigoted	disgust	0.633
doomsday	dydd Mawrth	disgust	0.633
prostitution	puteindra	disgust	0.633
ulcer	wlser	disgust	0.633
secrete	secrete	disgust	0.633
perpetrator	troseddwr	disgust	0.633
rat	llygoden	disgust	0.633
queasy	gweddill	disgust	0.633
mildew	lladd	disgust	0.633
dastardly	yn ddistardig	disgust	0.625
disgraceful	gwarthus	disgust	0.625
ghastly	galed	disgust	0.625
persecution	erledigaeth	disgust	0.625
devilish	diafol	disgust	0.625
degrading	diraddiol	disgust	0.625
obscenity	anlladrwydd	disgust	0.625
fungus	ffwng	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	gluttony	disgust	0.625
stools	carthion	disgust	0.625
suffering	dioddefaint	disgust	0.625
contemptible	yn ddirmyg	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	blodeuo	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	brad	disgust	0.617
guillotine	gilotin	disgust	0.617
infect	heintio	disgust	0.617
spoil	difetha	disgust	0.617
tetanus	tetanws	disgust	0.617
fat	braster	disgust	0.617
louse	pridd	disgust	0.617
malicious	maleisus	disgust	0.617
polygamy	polygami	disgust	0.617
crusty	carthion	disgust	0.617
atrocious	yn rhyfeddol	disgust	0.617
deceit	twyll	disgust	0.617
termite	termite	disgust	0.617
loathe	cariad	disgust	0.617
wench	wench	disgust	0.617
dying	yn marw	disgust	0.617
sickly	yn sâl	disgust	0.617
diaper	diaper	disgust	0.617
strangle	strangle	disgust	0.617
drool	drool	disgust	0.609
slander	cywilydd	disgust	0.609
abhor	abhor	disgust	0.609
venomous	gwenwynig	disgust	0.609
brothel	brothel	disgust	0.609
ghetto	getto	disgust	0.609
violently	yn dreisgar	disgust	0.609
hostile	yn gelyniaethus	disgust	0.609
sabotage	sabotage	disgust	0.609
deform	deform	disgust	0.609
bleeding	gwaedu	disgust	0.609
unwashed	heb ei dorri	disgust	0.602
lunacy	cywilydd	disgust	0.602
imprisonment	carchar	disgust	0.602
infidel	anffyddlon	disgust	0.602
deprivation	amddifadedd	disgust	0.602
traitor	cyfreithiwr	disgust	0.602
ugliness	galed	disgust	0.602
musty	mwsti	disgust	0.602
illicit	anghyfreithlon	disgust	0.602
swampy	swampy	disgust	0.602
poaching	poaching	disgust	0.602
hag	hag	disgust	0.602
butcher	cigydd	disgust	0.594
