word	Javanese-jw	emotion	emotion-intensity-score
triumphant	triumphant	anticipation	0.625
lust	hawa nepsu	anticipation	0.625
retirement	pensiun	anticipation	0.625
escape	uwal	anticipation	0.625
gift	hadiah	anticipation	0.625
inspiration	inspirasi	anticipation	0.625
optimism	optimis	anticipation	0.625
foresee	foresee	anticipation	0.625
ripen	ripen	anticipation	0.625
revival	kawentar	anticipation	0.625
embrace	ngisin	anticipation	0.617
risky	resiko	anticipation	0.617
ambition	ambisi	anticipation	0.617
simmering	simmering	anticipation	0.617
surprisingly	kaget	anticipation	0.617
verge	verge	anticipation	0.617
enchanting	enchanting	anticipation	0.617
bloom	mekar	anticipation	0.617
foresight	katresnan	anticipation	0.617
foreboding	foreboding	anticipation	0.617
destined	kepenak	anticipation	0.617
succeeding	ngganti	anticipation	0.609
magical	ajaib	anticipation	0.609
bonus	bonus	anticipation	0.609
lookout	nonton	anticipation	0.609
matrimony	matrimony	anticipation	0.609
alerts	tandha	anticipation	0.609
anxiety	kuatir	anticipation	0.609
seductive	seductive	anticipation	0.609
forecast	ramalan	anticipation	0.609
intended	intended	anticipation	0.602
inspire	inspirasi	anticipation	0.602
diagnosis	diagnosa	anticipation	0.602
visionary	visionary	anticipation	0.602
nervous	gemeter	anticipation	0.602
deserve	pantes	anticipation	0.602
fulfillment	kasenengan	anticipation	0.602
picnic	piknik	anticipation	0.602
applicant	pelamar	anticipation	0.602
foreseen	foreseen	anticipation	0.602
entertaining	nyenengake	anticipation	0.602
revenge	mbalela	anticipation	0.602
success	sukses	anticipation	0.602
prophetic	sunnat	anticipation	0.602
winner	juara	anticipation	0.602
longing	longing	anticipation	0.602
boomerang	boomerang	anticipation	0.602
result	asil	anticipation	0.594
accelerate	akselerasi	anticipation	0.594
buzz	Buzz	anticipation	0.594
acquiring	éntuk	anticipation	0.594
marry	omah-omah	anticipation	0.594
illuminate	nggambarake	anticipation	0.594
romance	romansa	anticipation	0.594
rekindle	rekindle	anticipation	0.594
luck	luck	anticipation	0.594
advent	kedadeyan	anticipation	0.594
preparedness	kesiapan	anticipation	0.594
momentum	momentum	anticipation	0.594
arrive	teka	anticipation	0.594
predict	prédhiksi	anticipation	0.589
sequel	terusan	anticipation	0.586
money	dhuwit	anticipation	0.586
endeavor	usaha	anticipation	0.586
auspices	auspices	anticipation	0.586
fiesta	fiesta	anticipation	0.586
raffle	raffle	anticipation	0.586
preparation	preparation	anticipation	0.586
uplift	uplift	anticipation	0.586
investigation	diselidiki	anticipation	0.586
gambling	gambling	anticipation	0.586
delightful	seneng banget	anticipation	0.586
enjoying	nglangen	anticipation	0.586
seek	nggoleki	anticipation	0.586
impatient	ora sabar	anticipation	0.586
overdue	overdue	anticipation	0.586
crave	crave	anticipation	0.586
flirt	flirt	anticipation	0.586
enthusiast	penggemar	anticipation	0.586
presumption	anggepan	anticipation	0.586
immerse	nyemangati	anticipation	0.586
progression	kemajuan	anticipation	0.586
experiment	eksperimen	anticipation	0.580
inviting	ngundang	anticipation	0.578
precarious	ora mesthi	anticipation	0.578
blessing	berkah	anticipation	0.578
harvest	panen	anticipation	0.578
transcendence	transcendence	anticipation	0.578
heavenly	swarga	anticipation	0.578
attainable	bisa diolehake	anticipation	0.578
enjoy	sekeca	anticipation	0.578
divination	ramalan	anticipation	0.578
excavation	penggalian	anticipation	0.578
healing	marasake awakmu	anticipation	0.578
majestic	nggumun	anticipation	0.578
clamor	clamor	anticipation	0.578
thirst	thirst	anticipation	0.578
remedy	obat	anticipation	0.578
prosper	makmur	anticipation	0.578
risk	resiko	anticipation	0.578
angling	angling	anticipation	0.578
completing	ngrampungake	anticipation	0.578
thriving	ngembangake	anticipation	0.578
zest	zest	anticipation	0.570
tease	nggodha	anticipation	0.570
matchmaker	matchmaker	anticipation	0.570
prospectively	prospektif	anticipation	0.570
restlessness	nggegirisi	anticipation	0.570
sweetheart	gendhakan	anticipation	0.570
emancipation	emansipasi	anticipation	0.570
ultimate	pokok	anticipation	0.570
invite	ngajak	anticipation	0.570
gambler	gambler	anticipation	0.570
dare	wani	anticipation	0.570
plan	rencana	anticipation	0.570
magnificence	magnificence	anticipation	0.570
warned	dielingake	anticipation	0.570
finally	pungkasanipun	anticipation	0.570
intimate	intim	anticipation	0.570
omen	omen	anticipation	0.570
attempt	nyoba	anticipation	0.562
forewarned	forewarned	anticipation	0.562
fun	nyenengake	anticipation	0.562
festival	Festival	anticipation	0.562
trophy	Piala	anticipation	0.562
rejoice	bungaha	anticipation	0.562
fanfare	fanfare	anticipation	0.562
predilection	predilection	anticipation	0.562
exalt	nggoleki	anticipation	0.562
parade	arakan	anticipation	0.562
enchant	enchant	anticipation	0.562
independence	kamardikan	anticipation	0.562
expose	mbedakake	anticipation	0.562
immortality	kalanggengan	anticipation	0.562
expected	samesthine	anticipation	0.562
mysterious	misterius	anticipation	0.562
hypothesis	hipotesis	anticipation	0.562
accolade	pinunjul	anticipation	0.562
lover	kekasih	anticipation	0.562
quicken	quicken	anticipation	0.562
champion	juara	anticipation	0.562
lovely	apik banget	anticipation	0.555
rejoicing	bungah	anticipation	0.555
grasping	grasping	anticipation	0.555
grow	tuwuh	anticipation	0.555
curiosity	penasaran	anticipation	0.555
splendor	kaluwihan	anticipation	0.555
salvation	kawilujengan	anticipation	0.555
happy	seneng	anticipation	0.555
oracle	oracle	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	mbukak	anticipation	0.555
boisterous	boisterous	anticipation	0.555
liberty	kebebasan	anticipation	0.555
heroism	kepahlawanan	anticipation	0.555
feeling	perasaan	anticipation	0.555
shopping	shopping	anticipation	0.555
fate	nasib	anticipation	0.555
uneasiness	uneasiness	anticipation	0.555
speculative	spekulasi	anticipation	0.555
changeable	ngganti	anticipation	0.547
recreational	rekreasi	anticipation	0.547
pray	ndedonga	anticipation	0.547
warn	ngelingi	anticipation	0.547
suspicious	curiga	anticipation	0.547
convergence	konvergensi	anticipation	0.547
incite	incite	anticipation	0.547
agape	agape	anticipation	0.547
morrow	Esuke	anticipation	0.547
abundance	kelimpahan	anticipation	0.547
delighted	nyenengake	anticipation	0.547
resultant	asil	anticipation	0.547
hungry	luwe	anticipation	0.547
monetary	babakan dhuwit	anticipation	0.547
vote	pilihane	anticipation	0.547
glory	kamulyan	anticipation	0.547
glimmer	glimmer	anticipation	0.547
apprehensive	kuwatir	anticipation	0.547
sorcery	sorcery	anticipation	0.547
bountiful	bountiful	anticipation	0.547
leisure	luang	anticipation	0.547
probability	probabilitas	anticipation	0.547
auction	lelang	anticipation	0.539
hunting	mburu	anticipation	0.539
contingent	contingent	anticipation	0.539
hankering	hankering	anticipation	0.539
sensual	sensual	anticipation	0.539
blessings	berkah	anticipation	0.539
ballot	suara	anticipation	0.539
grandchildren	putu	anticipation	0.539
entertainment	hiburan	anticipation	0.539
vindication	vindikasi	anticipation	0.539
worrying	worrying	anticipation	0.539
tempest	prahara	anticipation	0.539
inquiry	nakoni, nyelidiki	anticipation	0.539
merge	gabung	anticipation	0.539
exceed	ngluwihi	anticipation	0.539
bounty	hadiah	anticipation	0.539
glad	bungah	anticipation	0.536
magnificent	apik banget	anticipation	0.531
feat	feat	anticipation	0.531
stealthy	stealthy	anticipation	0.531
cheer	seneng	anticipation	0.531
spirits	roh	anticipation	0.531
visitor	Pengunjung	anticipation	0.531
appeal	mréntahaké	anticipation	0.531
forming	mbentuk	anticipation	0.531
hurried	hurried	anticipation	0.531
responsive	responsif	anticipation	0.531
virginity	virginity	anticipation	0.531
deliverance	pambebasan	anticipation	0.531
betrothed	dipeksa	anticipation	0.531
overthrow	nggulingake	anticipation	0.531
harbinger	harbinger	anticipation	0.531
raving	raving	anticipation	0.531
celestial	langit	anticipation	0.531
dread	dread	anticipation	0.531
germination	germination	anticipation	0.523
preparatory	preparatory	anticipation	0.523
pleasant	nyenengake	anticipation	0.523
watch	nonton	anticipation	0.523
prophet	nabi	anticipation	0.523
prognostic	prognostik	anticipation	0.523
haste	kesusu	anticipation	0.523
planning	planning	anticipation	0.523
importance	penting	anticipation	0.523
radiance	radiance	anticipation	0.523
prevail	menangake	anticipation	0.523
cheery	nyenengake	anticipation	0.523
competition	kompetisi	anticipation	0.523
ultimately	pungkasanipun	anticipation	0.523
revive	revive	anticipation	0.523
beaming	beaming	anticipation	0.523
wait	ngenteni	anticipation	0.523
child	bocah	anticipation	0.523
notification	kabar	anticipation	0.523
hunter	pamburu	anticipation	0.523
explosive	eksplosif	anticipation	0.523
endanger	endanger	anticipation	0.516
time	wektu	anticipation	0.516
recreation	rekreasi	anticipation	0.516
renovation	mbenake	anticipation	0.516
precious	larang regane	anticipation	0.516
begun	wiwit	anticipation	0.516
loom	loom	anticipation	0.516
compensate	ngisi	anticipation	0.516
treat	nambani	anticipation	0.516
uncontrollable	ora bisa dikontrol	anticipation	0.516
present	saiki	anticipation	0.516
salary	gaji	anticipation	0.516
celebrity	selebritis	anticipation	0.516
owing	utang	anticipation	0.516
chocolate	coklat	anticipation	0.516
caution	ati-ati	anticipation	0.516
fermentation	fermentasi	anticipation	0.516
sensuality	sensualitas	anticipation	0.516
wilderness	gurun	anticipation	0.508
signify	tegese	anticipation	0.508
transitional	transisi	anticipation	0.508
intermission	intermission	anticipation	0.508
contemplation	kontemplasi	anticipation	0.508
vigilance	kewaspadaan	anticipation	0.508
commemoration	pengetan	anticipation	0.508
practise	laku	anticipation	0.508
cue	cue	anticipation	0.508
infant	bayi	anticipation	0.508
dreadful	dreadful	anticipation	0.508
perfection	kesempurnaan	anticipation	0.508
elevation	elevasi	anticipation	0.508
prerequisite	prasyarat	anticipation	0.508
cultivate	cultivate	anticipation	0.508
horizon	jangkah	anticipation	0.508
develop	berkembang	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	nglangi	anticipation	0.500
attendance	rame	anticipation	0.500
nascent	nascent	anticipation	0.500
favorable	sarujuk	anticipation	0.500
peril	peril	anticipation	0.500
income	income	anticipation	0.500
ardent	ardent	anticipation	0.500
commemorate	mengeti	anticipation	0.500
doomsday	kiamat	anticipation	0.500
reconciliation	rekonsiliasi	anticipation	0.500
utopian	utopian	anticipation	0.500
romantic	romantis	anticipation	0.500
unbridled	unbridled	anticipation	0.500
sunny	panas	anticipation	0.500
uphill	munggah gunung	anticipation	0.500
intuitively	intuisi	anticipation	0.500
depart	mangkat	anticipation	0.500
eventuality	kelakon	anticipation	0.500
puppy	kirik	anticipation	0.500
zeal	semangat	anticipation	0.500
sneaking	sneaking	anticipation	0.500
ready	siap	anticipation	0.500
advocacy	advokasi	anticipation	0.500
airport	bandara	anticipation	0.500
litigate	liturgi	anticipation	0.500
blindfold	nutupi tutuk	anticipation	0.500
undisclosed	ora ditepungi	anticipation	0.500
young	enom	anticipation	0.500
horoscope	horoskop	anticipation	0.500
invocation	invocation	anticipation	0.500
calculation	pitungan	anticipation	0.500
hero	pahlawan	anticipation	0.500
court	pengadilan	anticipation	0.492
repay	mbaleni	anticipation	0.492
improvise	improvise	anticipation	0.492
parole	parole	anticipation	0.492
worry	sumelang	anticipation	0.492
inauguration	inauguration	anticipation	0.492
gaping	gaping	anticipation	0.492
youth	pemuda	anticipation	0.492
bless	rahayu	anticipation	0.492
defense	pertahanan	anticipation	0.492
heyday	heyday	anticipation	0.492
consequent	akibat	anticipation	0.492
proceeding	nerusake	anticipation	0.492
eventual	akhire	anticipation	0.492
perspective	perspektif	anticipation	0.492
restorative	restoratif	anticipation	0.492
undertaking	usaha	anticipation	0.492
highest	paling dhuwur	anticipation	0.491
duel	tandhingane	anticipation	0.484
unexplained	unexplained	anticipation	0.484
tremor	tremor	anticipation	0.484
sharpen	ngasah	anticipation	0.484
generosity	loman	anticipation	0.484
voluptuous	voluptuous	anticipation	0.484
shortly	sakcepete	anticipation	0.484
vow	sumpah	anticipation	0.484
contagion	contagion	anticipation	0.484
letter	huruf	anticipation	0.484
happen	kelakon	anticipation	0.484
threaten	ngancem	anticipation	0.484
conjure	nyemangati	anticipation	0.484
sparkle	cemlorot	anticipation	0.484
engulf	engulf	anticipation	0.484
god	Pengeran	anticipation	0.484
correspondence	korespondensi	anticipation	0.484
auspicious	auspicious	anticipation	0.484
princely	princely	anticipation	0.484
adore	adore	anticipation	0.477
enroll	enroll	anticipation	0.477
determinate	determinate	anticipation	0.477
predispose	predispose	anticipation	0.477
clue	pitakon	anticipation	0.477
onset	serangan	anticipation	0.477
powerful	kuat	anticipation	0.477
glorify	ngluhurake	anticipation	0.477
glow	cemlorot	anticipation	0.477
arbitration	arbitrase	anticipation	0.477
torture	nyiksa	anticipation	0.477
gravitate	gravitate	anticipation	0.477
cherish	ngurmati	anticipation	0.477
contemplate	ngelingi	anticipation	0.477
submit	Kirim	anticipation	0.477
perilous	perilous	anticipation	0.477
unification	penyatuan	anticipation	0.477
score	skor	anticipation	0.477
medal	medal	anticipation	0.477
glide	nyepetake	anticipation	0.477
recipient	panampa	anticipation	0.477
accompaniment	accompaniment	anticipation	0.477
praiseworthy	pinuji	anticipation	0.473
providing	nyediakake	anticipation	0.469
motion	gerakan	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	cautious	anticipation	0.469
cash	awis	anticipation	0.469
precursor	ngisore	anticipation	0.469
opera	opera	anticipation	0.469
elite	elite	anticipation	0.469
pry	pry	anticipation	0.469
hire	nyewa	anticipation	0.469
sweets	permen	anticipation	0.469
star	lintang	anticipation	0.469
unsurpassed	ora gampang	anticipation	0.469
successful	sukses	anticipation	0.469
unknown	ora dingerteni	anticipation	0.469
immediately	langsung	anticipation	0.469
starry	starry	anticipation	0.469
production	produksi	anticipation	0.469
football	bal-balan	anticipation	0.469
completion	rampung	anticipation	0.469
scare	ajrih	anticipation	0.469
invoke	invoke	anticipation	0.469
shaky	shaky	anticipation	0.469
dawn	esuk	anticipation	0.469
creeping	creeping	anticipation	0.469
cheerfulness	nyenengake	anticipation	0.461
soundness	soundness	anticipation	0.461
mail	mail	anticipation	0.461
draft	konsep	anticipation	0.461
preliminary	pambuka	anticipation	0.461
friendly	loropaken	anticipation	0.461
commemorative	peringatan	anticipation	0.461
extricate	extricate	anticipation	0.461
alive	urip	anticipation	0.461
untold	untold	anticipation	0.461
overture	overture	anticipation	0.461
excel	unggul	anticipation	0.461
plight	kasangsaran	anticipation	0.461
synchronize	nyinkronake	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	panggonan suci	anticipation	0.461
brilliant	sarwa	anticipation	0.461
pay	mbayar	anticipation	0.461
shining	sumringah	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	Prajanjian	anticipation	0.461
jeopardy	jeopardy	anticipation	0.461
perpetuity	terus-terusan	anticipation	0.453
elegance	keanggunan	anticipation	0.453
career	karir	anticipation	0.453
basketball	basket	anticipation	0.453
intimately	kepenak	anticipation	0.453
renovate	renovate	anticipation	0.453
supremacy	supremacy	anticipation	0.453
infinity	Tanpa wates	anticipation	0.453
unexpected	sing ora dikarepke	anticipation	0.453
flinch	ngguyu	anticipation	0.453
complement	ngompliti	anticipation	0.453
prologue	prologue	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	Nyegah	anticipation	0.453
improve	nambah	anticipation	0.453
sunset	srengenge	anticipation	0.453
inaugural	perdana	anticipation	0.453
rehabilitation	rehabilitasi	anticipation	0.453
fitting	fitting	anticipation	0.445
surround	surround	anticipation	0.445
share	bareng	anticipation	0.445
epidemic	epidemi	anticipation	0.445
sweet	manis	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	ndhelikake	anticipation	0.445
confidence	kapercayan	anticipation	0.445
perfect	sempurno	anticipation	0.445
sun	srengenge	anticipation	0.445
veracity	veracity	anticipation	0.445
volunteer	volunteer	anticipation	0.445
conjecture	konjektur	anticipation	0.445
medical	medical	anticipation	0.438
prepared	disiapake	anticipation	0.438
superstitious	superstitious	anticipation	0.438
reconstruction	rekonstruksi	anticipation	0.438
tickle	tickle	anticipation	0.438
faith	iman	anticipation	0.438
passenger	penumpang	anticipation	0.438
saint	saint	anticipation	0.438
respect	ngormati	anticipation	0.438
rabid	rabid	anticipation	0.438
reconstruct	reconstruct	anticipation	0.438
recombination	rekombinasi	anticipation	0.438
devout	taqwa	anticipation	0.438
goodness	kaluhuran	anticipation	0.438
angel	angel	anticipation	0.438
ferment	fermentasi	anticipation	0.438
plea	nyuwun pangapunten	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	serial	anticipation	0.438
conservation	konservasi	anticipation	0.438
serenity	serenity	anticipation	0.430
tabulate	tabulasi	anticipation	0.430
install	nginstal	anticipation	0.430
labyrinth	labyrinth	anticipation	0.430
venerable	sing dikarepake	anticipation	0.430
perpetuate	terus-terusan	anticipation	0.430
strategist	ahli strategi	anticipation	0.430
unverified	unverified	anticipation	0.430
tribunal	pengadilan	anticipation	0.430
charitable	amal	anticipation	0.430
luscious	luscious	anticipation	0.430
spa	spa	anticipation	0.430
peace	tentrem	anticipation	0.430
clap	clap	anticipation	0.430
conspirator	komplotan	anticipation	0.422
forestall	ngguyu	anticipation	0.422
patience	sabar	anticipation	0.422
oasis	oasis	anticipation	0.422
grin	grin	anticipation	0.422
revere	revere	anticipation	0.422
worship	nyembah	anticipation	0.422
vista	vista	anticipation	0.422
laughter	ngguyu	anticipation	0.422
volatility	volatility	anticipation	0.422
adrift	adrift	anticipation	0.422
candid	jujur	anticipation	0.422
edification	edifikasi	anticipation	0.422
unresolved	unresolved	anticipation	0.422
peaceful	tentrem	anticipation	0.422
recognizable	recognizable	anticipation	0.422
calls	telpon	anticipation	0.414
weigh	nimbang	anticipation	0.414
probation	wektu ujian	anticipation	0.414
proficiency	keahlian	anticipation	0.414
morn	morn	anticipation	0.414
craps	craps	anticipation	0.414
detainee	tahanan	anticipation	0.414
mediate	mediate	anticipation	0.414
continue	terus	anticipation	0.414
astrologer	astrologer	anticipation	0.414
punctual	punctual	anticipation	0.414
ordination	pentahbisan	anticipation	0.414
pretty	cantik	anticipation	0.414
thought	pikirane	anticipation	0.414
grant	Granting	anticipation	0.414
withstand	tahan	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	aktif	anticipation	0.414
sing	sing	anticipation	0.411
long	dawa	anticipation	0.406
confession	pratelan	anticipation	0.406
headlight	lampu	anticipation	0.406
prophylactic	prophylactic	anticipation	0.406
mother	ibu	anticipation	0.406
debenture	debenture	anticipation	0.406
wizard	tuntunan	anticipation	0.406
university	universitas	anticipation	0.406
proud	bangga	anticipation	0.406
midwife	bidan	anticipation	0.406
banquet	pesta	anticipation	0.406
continuation	lanjutan	anticipation	0.406
navigable	bisa dilayari	anticipation	0.406
punished	dihukum	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	comfort	anticipation	0.406
opponent	mungsuh	anticipation	0.406
subscribe	langganan	anticipation	0.406
outdo	njlentrehake	anticipation	0.406
nurture	nurture	anticipation	0.406
twinkle	twinkle	anticipation	0.406
deal	menehi hasil	anticipation	0.402
efficient	efisien	anticipation	0.398
representing	makili	anticipation	0.398
simmer	simmer	anticipation	0.398
symphony	symphony	anticipation	0.398
judiciary	pengadilan	anticipation	0.398
obliging	ngawasi	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	vigil	anticipation	0.398
death	mati	anticipation	0.398
distracting	distracting	anticipation	0.398
mortification	nyenyet	anticipation	0.398
balm	balm	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	ndhuwur	anticipation	0.398
lettered	dicithak	anticipation	0.398
reliance	ngandel	anticipation	0.398
poke	poke	anticipation	0.391
unfulfilled	unfulfilled	anticipation	0.391
assurance	jaminan	anticipation	0.391
condemnation	paukuman	anticipation	0.391
undoubted	undoubted	anticipation	0.391
diplomacy	diplomasi	anticipation	0.391
familiarity	mirip	anticipation	0.391
antidote	antidote	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	adil	anticipation	0.391
maternal	ibu	anticipation	0.391
abeyance	abeyance	anticipation	0.391
art	seni	anticipation	0.391
linger	linger	anticipation	0.391
trust	dipercaya	anticipation	0.391
depraved	depraved	anticipation	0.391
sanctify	ngresiki	anticipation	0.391
inoculation	inoculation	anticipation	0.384
chant	sambat	anticipation	0.383
banger	banger	anticipation	0.383
playground	playground	anticipation	0.383
failing	gagal	anticipation	0.383
ship	kapal	anticipation	0.383
hymn	nyanyian	anticipation	0.383
simplify	nyederakake	anticipation	0.383
ram	Ram	anticipation	0.383
labor	pegaweyan	anticipation	0.383
discretion	discretion	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	apik	anticipation	0.383
scientist	ilmuwan	anticipation	0.383
undecided	undecided	anticipation	0.383
humanitarian	kamanungsan	anticipation	0.383
depend	gumantung	anticipation	0.383
dutiful	dutiful	anticipation	0.383
clock	jam	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	gunung	anticipation	0.375
savor	nyenengake	anticipation	0.375
recurrent	ambalan	anticipation	0.375
interim	interim	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	bertahap	anticipation	0.375
interminable	interminable	anticipation	0.375
track	trek	anticipation	0.375
public	umum	anticipation	0.375
cradle	cradle	anticipation	0.375
concealed	ndhelik	anticipation	0.367
lesson	pawulangan	anticipation	0.367
instructions	instruksi	anticipation	0.367
shiver	Manginggil	anticipation	0.367
musical	musik	anticipation	0.367
towering	towering	anticipation	0.367
whim	kepiye?	anticipation	0.367
spear	tumbak	anticipation	0.367
convince	yakinake	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	manggon	anticipation	0.367
biennial	biennial	anticipation	0.367
theology	teologi	anticipation	0.359
offset	nutupi	anticipation	0.359
atone	atone	anticipation	0.359
timidity	timidity	anticipation	0.359
theory	teori	anticipation	0.359
undying	undying	anticipation	0.359
plump	plump	anticipation	0.359
audience	pamirsa	anticipation	0.357
nobility	bangsawan	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	dietary	anticipation	0.352
closure	penutupan	anticipation	0.352
store	nyimpen	anticipation	0.352
localize	localize	anticipation	0.352
cramp	cramp	anticipation	0.352
daily	saben dina	anticipation	0.352
kindred	kulawarga	anticipation	0.352
farm	farm	anticipation	0.352
edition	edisi	anticipation	0.352
consecration	consecration	anticipation	0.352
archaeology	arkeologi	anticipation	0.344
mobile	seluler	anticipation	0.344
errand	errand	anticipation	0.344
wireless	nirkabel	anticipation	0.344
mutable	mutable	anticipation	0.344
meditate	meditate	anticipation	0.344
stripped	diudani	anticipation	0.344
lessen	nyuda	anticipation	0.336
unaccountable	ora bisa dianggep	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	sadulur	anticipation	0.336
buddy	budha	anticipation	0.336
unbeaten	unbeaten	anticipation	0.336
germ	kuman	anticipation	0.336
dove	douk	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	pita	anticipation	0.328
olfactory	olfactory	anticipation	0.328
patient	sabar	anticipation	0.328
council	dewan	anticipation	0.328
possess	nduweni	anticipation	0.328
secular	sekuler	anticipation	0.328
chastity	chastity	anticipation	0.328
disposed	dibuwang	anticipation	0.320
regularity	biasa	anticipation	0.320
mediator	mediator	anticipation	0.320
scrutinize	scrutinize	anticipation	0.320
fancy	apik	anticipation	0.320
immature	durung entuk	anticipation	0.320
infanticide	infanticide	anticipation	0.320
heft	heft	anticipation	0.320
preservative	pengawet	anticipation	0.320
paddle	paddle	anticipation	0.320
cove	cove	anticipation	0.320
denying	nolak	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	ora diterbitake	anticipation	0.312
analyst	Analis	anticipation	0.312
grim	surem	anticipation	0.312
church	gereja	anticipation	0.312
priesthood	priesthood	anticipation	0.305
mill	Penggilingan	anticipation	0.305
judicial	pengadilan	anticipation	0.305
broadside	broadside	anticipation	0.305
tributary	anak perusahaan	anticipation	0.297
cap	tutup	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	dismay	anticipation	0.297
instructor	instruktur	anticipation	0.297
saliva	saliva	anticipation	0.297
exhaustion	kekeselen	anticipation	0.297
bruise	bruise	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	ora duwe omah	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	jaringan	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	alamat	anticipation	0.289
noncompliance	noncompliance	anticipation	0.289
cataract	cataract	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	astronom	anticipation	0.281
neighbor	pepadhamu	anticipation	0.281
holiness	sutji	anticipation	0.273
devil	setan	anticipation	0.273
cream	krim	anticipation	0.273
picket	picket	anticipation	0.273
latent	laten	anticipation	0.273
immaturity	tanpa wates	anticipation	0.273
sentence	ukara	anticipation	0.273
neighborhood	lingkungan	anticipation	0.266
morals	moral	anticipation	0.266
lull	lull	anticipation	0.266
habitual	kebiasaan	anticipation	0.266
weight	bobot	anticipation	0.258
bye	dening	anticipation	0.258
forearm	lengen	anticipation	0.250
clown	badut	anticipation	0.250
organ	organ	anticipation	0.250
quote	Kutipan	anticipation	0.242
commonplace	biasa wae	anticipation	0.242
dictatorship	dictatorship	anticipation	0.234
board	Papan	anticipation	0.234
white	putih	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	alur	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	wit	anticipation	0.227
paralysis	paralysis	anticipation	0.211
worm	cacing	anticipation	0.203
organization	organisasi	anticipation	0.203
cement	semen	anticipation	0.203
lagging	lagging	anticipation	0.180
neutral	netral	anticipation	0.148
cannibalism	cannibalism	disgust	0.953
mutilation	mutilasi	disgust	0.930
molestation	molestation	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	rudo pekso	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	rot	disgust	0.891
corpse	mayit	disgust	0.883
massacre	pembantaian	disgust	0.883
excrement	excrement	disgust	0.883
slaughter	nyembeleh	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	nyembelih	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	sewerage	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	filth	disgust	0.859
bigot	bigot	disgust	0.859
infestation	infestation	disgust	0.852
plague	Wewelak	disgust	0.852
bloodthirsty	bloodthirsty	disgust	0.852
holocaust	nandur	disgust	0.852
rotting	rotting	disgust	0.844
maggot	wedhus	disgust	0.844
feces	feces	disgust	0.844
fecal	fecal	disgust	0.844
murder	mateni	disgust	0.839
infanticide	infanticide	disgust	0.836
homicide	pembunuhan	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	dianiaya	disgust	0.836
gore	gore	disgust	0.828
perverted	perverted	disgust	0.828
torture	nyiksa	disgust	0.828
slaughtering	nyembelih	disgust	0.828
excretion	excretion	disgust	0.828
contaminate	contaminate	disgust	0.821
murderer	tukang mateni	disgust	0.820
gory	gory	disgust	0.820
repugnant	repugnant	disgust	0.820
desecration	desecration	disgust	0.820
grotesque	grotesque	disgust	0.820
revolting	mbalela	disgust	0.820
diarrhoea	diare	disgust	0.820
manure	manure	disgust	0.820
terrorist	teroris	disgust	0.820
shit	taek	disgust	0.820
pervert	pervert	disgust	0.820
slavery	perbudakan	disgust	0.812
faeces	godhong	disgust	0.812
sewer	sewer	disgust	0.812
vomit	muntahake	disgust	0.812
manslaughter	manslaughter	disgust	0.812
dismemberment	dismemberment	disgust	0.812
cadaver	cadaver	disgust	0.812
hemorrhage	pendarahan	disgust	0.805
repulsive	repulsive	disgust	0.805
perverse	perverse	disgust	0.805
filthy	kotor	disgust	0.797
sewage	limbah	disgust	0.797
depravity	depravity	disgust	0.797
diseased	diseased	disgust	0.797
carcass	carcass	disgust	0.795
decompose	decompose	disgust	0.789
vermin	vermin	disgust	0.789
