word	Serbian-sr	emotion	emotion-intensity-score
nauseate	мучити	disgust	0.703
secretion	секрет	disgust	0.703
constipation	констипација	disgust	0.703
hateful	хатефул	disgust	0.703
grime	гриме	disgust	0.703
measles	ошпице	disgust	0.696
contagious	заразно	disgust	0.695
hellish	пакао	disgust	0.695
waste	губљење	disgust	0.695
suicidal	самоубилачки	disgust	0.695
abuse	злоупотреба	disgust	0.695
hate	мрзим	disgust	0.695
wretch	несретни	disgust	0.695
intestinal	црева	disgust	0.695
wart	брадавица	disgust	0.695
obesity	гојазност	disgust	0.695
scum	сцум	disgust	0.695
contaminated	контаминиран	disgust	0.688
disease	болест	disgust	0.688
rabid	рабид	disgust	0.688
ooze	оозе	disgust	0.688
treason	издаја	disgust	0.688
heartworm	хеартворм	disgust	0.688
smut	смут	disgust	0.688
cholera	колера	disgust	0.680
deformed	деформисани	disgust	0.680
detest	одвратите	disgust	0.680
bestial	бестиал	disgust	0.680
sickness	болест	disgust	0.680
antichrist	антихрист	disgust	0.680
abhorrent	одвратан	disgust	0.680
soulless	без душе	disgust	0.680
freakish	дивно	disgust	0.680
grimy	грими	disgust	0.680
hatred	мржња	disgust	0.680
pollution	загађење	disgust	0.680
germ	клице	disgust	0.680
abominate	абоминате	disgust	0.680
hell	пакао	disgust	0.680
dilapidated	распадан	disgust	0.672
dictatorship	диктатура	disgust	0.672
inhuman	нечовјечно	disgust	0.672
greasy	мастан	disgust	0.672
hideous	одвратан	disgust	0.672
loathful	незахвално	disgust	0.672
obscene	опсцен	disgust	0.672
loathing	омаловажавање	disgust	0.672
cess	цесс	disgust	0.670
devil	ђаво	disgust	0.664
heretic	херетиц	disgust	0.664
nauseous	мука	disgust	0.664
abominable	гнусно	disgust	0.664
deformity	деформитет	disgust	0.664
deadly	смртоносно	disgust	0.664
swine	свиња	disgust	0.664
discrimination	дискриминација	disgust	0.664
masochism	масокизам	disgust	0.664
poisonous	Отрован	disgust	0.656
prejudiced	предрасуде	disgust	0.656
bacteria	бактерије	disgust	0.656
death	смрт	disgust	0.656
poison	отров	disgust	0.656
trash	смеће	disgust	0.656
abortion	абортус	disgust	0.656
corruption	корупција	disgust	0.656
victimized	жртва	disgust	0.656
oppression	угњетавање	disgust	0.656
goo	гоо	disgust	0.656
latrines	тоалети	disgust	0.656
horror	хорор	disgust	0.656
horrible	ужасно	disgust	0.656
nefarious	нефариоус	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	виндицтиве	disgust	0.648
outhouse	оутхоусе	disgust	0.648
horrid	ужасно	disgust	0.648
detestation	одвратност	disgust	0.648
sludge	муљ	disgust	0.648
ugly	ружно	disgust	0.648
trashy	трасхи	disgust	0.648
bitch	кучка	disgust	0.648
immoral	неморално	disgust	0.648
malfeasance	злоупотреба	disgust	0.641
spew	спев	disgust	0.641
pimple	пимпле	disgust	0.641
indecency	несигурност	disgust	0.641
unsightly	несретно	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	лоше	disgust	0.641
cystic	цистична	disgust	0.641
horrifying	страшно	disgust	0.641
derogatory	дерогатори	disgust	0.641
laxative	лаксатив	disgust	0.641
criminality	криминалитет	disgust	0.641
oppressive	репресивна	disgust	0.633
sinful	грешно	disgust	0.633
bigoted	побуњеник	disgust	0.633
doomsday	Доомсдаи	disgust	0.633
prostitution	проституција	disgust	0.633
ulcer	чир	disgust	0.633
secrete	сецрете	disgust	0.633
perpetrator	извршилац	disgust	0.633
rat	пацов	disgust	0.633
queasy	нервозан	disgust	0.633
mildew	мембрана	disgust	0.633
dastardly	дастардли	disgust	0.625
disgraceful	срамота	disgust	0.625
ghastly	страшно	disgust	0.625
persecution	прогоне	disgust	0.625
devilish	ђаво	disgust	0.625
degrading	понижавајуће	disgust	0.625
obscenity	опсценост	disgust	0.625
fungus	гљивица	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	опојност	disgust	0.625
stools	столице	disgust	0.625
suffering	патња	disgust	0.625
contemptible	сумњиво	disgust	0.625
cuckold	рогоња	disgust	0.625
bloated	надувана	disgust	0.625
aghast	агхаст	disgust	0.625
betrayal	издаја	disgust	0.617
guillotine	гиљотина	disgust	0.617
infect	заразити	disgust	0.617
spoil	покварити	disgust	0.617
tetanus	тетанус	disgust	0.617
fat	дебео	disgust	0.617
louse	Ваза	disgust	0.617
malicious	злонамерни	disgust	0.617
polygamy	полигамија	disgust	0.617
crusty	црусти	disgust	0.617
atrocious	грозно	disgust	0.617
deceit	превара	disgust	0.617
termite	термит	disgust	0.617
loathe	лоатхе	disgust	0.617
wench	венцх	disgust	0.617
dying	умирање	disgust	0.617
sickly	болесно	disgust	0.617
diaper	пелена	disgust	0.617
strangle	задавити	disgust	0.617
drool	дроол	disgust	0.609
slander	клеветање	disgust	0.609
abhor	узнемири се	disgust	0.609
venomous	отровни	disgust	0.609
brothel	јавна кућа	disgust	0.609
ghetto	гето	disgust	0.609
violently	насилно	disgust	0.609
hostile	непријатељски	disgust	0.609
sabotage	саботажа	disgust	0.609
deform	деформирати	disgust	0.609
bleeding	крварење	disgust	0.609
unwashed	неизбрани	disgust	0.602
lunacy	Лунаци	disgust	0.602
imprisonment	затварање	disgust	0.602
infidel	инфидел	disgust	0.602
deprivation	депривација	disgust	0.602
traitor	издајник	disgust	0.602
ugliness	ружноће	disgust	0.602
musty	беди	disgust	0.602
illicit	незаконито	disgust	0.602
swampy	мокар	disgust	0.602
poaching	ловљење	disgust	0.602
hag	хаг	disgust	0.602
butcher	месар	disgust	0.594
lunatic	лудак	disgust	0.594
venom	отров	disgust	0.594
repelling	одбијање	disgust	0.594
thug	тхуг	disgust	0.594
misery	беда	disgust	0.594
toilet	тоалет	disgust	0.594
slug	слуг	disgust	0.594
catastrophe	катастрофа	disgust	0.594
epidemic	епидемија	disgust	0.594
gut	гут	disgust	0.594
intoxicated	опојно	disgust	0.594
blister	блистер	disgust	0.594
deceitful	лажно	disgust	0.594
hostility	непријатељство	disgust	0.594
queasiness	куеасинесс	disgust	0.594
lurid	лурид	disgust	0.594
sinner	грешник	disgust	0.594
incubus	инкубус	disgust	0.586
lavatory	тоалет	disgust	0.586
harass	узнемиравати	disgust	0.586
unclean	нечисти	disgust	0.586
prostitute	проститутка	disgust	0.586
pornography	порнографија	disgust	0.586
dreadful	грозно	disgust	0.586
deteriorated	погоршано	disgust	0.586
appalling	грозно	disgust	0.586
unfaithful	невјеран	disgust	0.578
rash	осип	disgust	0.578
humiliating	понижавајуће	disgust	0.578
ruinous	руиноус	disgust	0.578
squeamish	скуеамисх	disgust	0.578
offensive	офанзивно	disgust	0.578
conspirator	завереник	disgust	0.578
larceny	ларцени	disgust	0.578
debauchery	дебауцхери	disgust	0.578
mangle	мангле	disgust	0.578
flea	бува	disgust	0.578
hypocrite	лицемер	disgust	0.578
retard	ретард	disgust	0.578
fiend	фиенд	disgust	0.578
sick	болестан	disgust	0.578
quagmire	тепиха	disgust	0.578
expulsion	протјеривање	disgust	0.578
treacherous	издајнички	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	пљувати	disgust	0.570
devastating	разарајуће	disgust	0.570
bastard	копиле	disgust	0.570
messy	у нереду	disgust	0.570
flog	флог	disgust	0.570
egregious	егрегиоус	disgust	0.570
swamp	мочвара	disgust	0.570
oppress	потлачити	disgust	0.570
despise	презирати	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	змија	disgust	0.570
snake	змија	disgust	0.562
terrible	страшно	disgust	0.562
awful	грозно	disgust	0.562
harmful	штетно	disgust	0.562
insanity	лудило	disgust	0.562
indecent	непристојно	disgust	0.562
sordid	срдан	disgust	0.562
loo	лоо	disgust	0.562
scoundrel	нељто	disgust	0.562
enemy	непријатеља	disgust	0.562
stealing	крађа	disgust	0.562
alcoholism	алкохолизам	disgust	0.562
humiliation	понижење	disgust	0.562
ruthless	немилосрдно	disgust	0.562
sloppy	неугодан	disgust	0.562
tyrannical	тирански	disgust	0.562
harlot	блудница	disgust	0.562
sinning	греење	disgust	0.562
robbery	пљачка	disgust	0.555
insufferable	неподношљиво	disgust	0.555
arsenic	арсен	disgust	0.555
bloody	крваво	disgust	0.555
odious	одвратан	disgust	0.555
ridicule	посмех	disgust	0.555
atrophy	атрофија	disgust	0.555
beastly	зверно	disgust	0.555
collusion	договарање	disgust	0.555
distaste	одвратно	disgust	0.555
segregate	сегрегате	disgust	0.555
discriminating	дискриминирајуће	disgust	0.555
coward	кукавица	disgust	0.555
wickedness	зла	disgust	0.555
threatening	претња	disgust	0.555
unattractive	непривлачан	disgust	0.555
slayer	убица	disgust	0.555
flabby	мршави	disgust	0.555
varicella	варицелла	disgust	0.555
miserable	бедан	disgust	0.547
sty	шпијун	disgust	0.547
ogre	огре	disgust	0.547
coercion	принуда	disgust	0.547
thief	лопов	disgust	0.547
slur	слур	disgust	0.547
suffocating	гушење	disgust	0.547
anathema	анатема	disgust	0.547
purgatory	чистилиште	disgust	0.547
malevolent	малеволент	disgust	0.547
bitterly	горко	disgust	0.547
burglar	провалник	disgust	0.547
attacking	нападају	disgust	0.547
vesicular	весикуларно	disgust	0.547
condemnation	осуда	disgust	0.547
pillage	пљачка	disgust	0.547
deleterious	штетно	disgust	0.547
thrash	трх	disgust	0.539
repellant	репелент	disgust	0.539
repudiation	одбијања	disgust	0.539
infidelity	неверство	disgust	0.539
liar	лажов	disgust	0.539
fatty	масноће	disgust	0.539
gob	гоб	disgust	0.539
sneer	снеер	disgust	0.539
drunken	пијан	disgust	0.539
disgrace	срамота	disgust	0.539
shame	срамота	disgust	0.539
jealous	љубоморан	disgust	0.539
imprisoned	затворен	disgust	0.539
pig	свиња	disgust	0.539
greedy	похлепан	disgust	0.539
sloth	слот	disgust	0.539
lethal	смртоносно	disgust	0.536
burnt	запаљен	disgust	0.531
aberration	аберратион	disgust	0.531
condescension	сажаљење	disgust	0.531
hydrocephalus	хидроцефалус	disgust	0.531
hanging	вешање	disgust	0.531
destructive	деструктивна	disgust	0.531
smuggler	шверцер	disgust	0.531
intolerant	нетолерантно	disgust	0.531
travesty	лакрдија	disgust	0.531
intrusive	наметљив	disgust	0.531
ruined	уништен	disgust	0.531
withered	услед	disgust	0.531
disintegrate	дезинтегрирати	disgust	0.531
brawl	бравл	disgust	0.531
blemish	шкрт	disgust	0.531
neurotic	неуротик	disgust	0.531
blasphemous	бласпхем	disgust	0.531
lying	лажи	disgust	0.531
painful	болан	disgust	0.531
avarice	аварице	disgust	0.523
disgraced	осрамоћени	disgust	0.523
mistress	љубавница	disgust	0.523
disparaging	потцењивачки	disgust	0.523
rubbish	глупости	disgust	0.523
derogation	одступање	disgust	0.523
accusation	оптужба	disgust	0.523
intolerance	нетолеранција	disgust	0.523
incarceration	затварање	disgust	0.523
blighted	оштећен	disgust	0.523
sump	сумп	disgust	0.516
deplorable	жалосно	disgust	0.516
daemon	даемон	disgust	0.516
cringe	цринге	disgust	0.516
degrade	деградира	disgust	0.516
gutter	гуттер	disgust	0.516
rob	роб	disgust	0.516
grim	грим	disgust	0.516
defraud	дефрауд	disgust	0.516
tortious	тортуно	disgust	0.516
eradication	искорењивање	disgust	0.516
stink	смрдљив	disgust	0.516
convict	осуђеник	disgust	0.516
dishonor	дисхонор	disgust	0.516
vulture	вултуре	disgust	0.516
remains	остаје	disgust	0.516
mite	мите	disgust	0.516
betray	издај	disgust	0.516
sham	срамота	disgust	0.509
endemic	ендемична	disgust	0.508
bombed	бомбардована	disgust	0.508
distress	стрес	disgust	0.508
pest	штеточина	disgust	0.508
incurable	неизлечива	disgust	0.508
worthless	безвриједно	disgust	0.508
rejection	одбацивање	disgust	0.508
distasteful	одвратно	disgust	0.508
schizophrenia	схизофренија	disgust	0.508
belittle	омаловажава	disgust	0.508
smelling	мирис	disgust	0.508
cheat	варај	disgust	0.508
blob	блоб	disgust	0.508
prisoner	затвореник	disgust	0.508
idiocy	идиоција	disgust	0.508
delirium	делириум	disgust	0.508
disaster	катастрофа	disgust	0.508
crude	сирово	disgust	0.508
resentment	озлојеђеност	disgust	0.508
dreadfully	ужасно	disgust	0.508
glut	глут	disgust	0.508
polemic	полемика	disgust	0.500
derision	Узнемиравање	disgust	0.500
idolatry	идолатрија	disgust	0.500
taboo	табу	disgust	0.500
screaming	вришти	disgust	0.500
banish	протерати	disgust	0.500
dirt	прљавштина	disgust	0.500
goblin	гоблин	disgust	0.500
shackle	схацкле	disgust	0.500
bribery	подмићивање	disgust	0.500
flagrant	флагрантно	disgust	0.500
jealousy	љубомора	disgust	0.500
impurity	нечистоћа	disgust	0.500
theft	крађа	disgust	0.500
bitterness	горчина	disgust	0.500
offense	прекршај	disgust	0.500
impeach	импеацх	disgust	0.500
blight	блата	disgust	0.500
duress	принуда	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	похлепа	disgust	0.500
tirade	тираде	disgust	0.500
squirm	скуирм	disgust	0.492
robber	пљачкаш	disgust	0.492
ill	болестан	disgust	0.492
unconscionable	неповратан	disgust	0.492
recession	рецесија	disgust	0.492
gorge	клисуре	disgust	0.492
wreck	олупина	disgust	0.492
malign	малигни	disgust	0.492
boil	чир	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	идиот	disgust	0.492
disreputable	дисрепутабле	disgust	0.492
wasteful	расипно	disgust	0.484
affliction	стидљивост	disgust	0.484
stain	мрља	disgust	0.484
contempt	презир	disgust	0.484
nappy	наппа	disgust	0.484
mutiny	побуна	disgust	0.484
occult	окултно	disgust	0.484
tramp	трамп	disgust	0.484
unbearable	неподношљиво	disgust	0.484
offender	преступник	disgust	0.484
servile	сервиле	disgust	0.484
contraband	контрабанд	disgust	0.484
raging	бесни	disgust	0.484
snarl	снарл	disgust	0.484
mad	луд	disgust	0.484
subjugation	субјегација	disgust	0.484
possessed	поседовали	disgust	0.484
animosity	анимозитет	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	клевета	disgust	0.484
disrespectful	непоштив	disgust	0.484
mess	неред	disgust	0.484
nepotism	непотизам	disgust	0.484
inexcusable	неопростиво	disgust	0.484
pathetic	патетицно	disgust	0.477
unpleasant	непријатно	disgust	0.477
suppression	супресија	disgust	0.477
mockery	исмевана	disgust	0.477
palsy	парализа	disgust	0.477
criminal	криминал	disgust	0.477
illegality	незаконитост	disgust	0.477
uncaring	унцаринг	disgust	0.477
antagonistic	антагонистички	disgust	0.477
immorality	неморалност	disgust	0.477
dismal	мрачно	disgust	0.477
angry	љут	disgust	0.469
repellent	репелент	disgust	0.469
cough	кашаљ	disgust	0.469
arrogant	арогантан	disgust	0.469
grating	решетка	disgust	0.469
aggravation	погоршање	disgust	0.469
livid	ливид	disgust	0.469
banishment	протеривање	disgust	0.469
shoddy	луд	disgust	0.469
banshee	Бансхее	disgust	0.469
poverty	сиромаштво	disgust	0.469
wallow	валлов	disgust	0.469
outrage	бесни	disgust	0.469
mocking	моцкинг	disgust	0.469
furious	бесан	disgust	0.469
perspiration	потење	disgust	0.469
prick	прицк	disgust	0.461
recklessness	безобзирност	disgust	0.461
distorted	искривљено	disgust	0.461
fraudulent	преварљив	disgust	0.461
spider	паук	disgust	0.461
quack	квак	disgust	0.461
perdition	пропаст	disgust	0.461
muddy	блатњав	disgust	0.461
spurious	лажно	disgust	0.461
insulting	вређање	disgust	0.461
scar	ожиљак	disgust	0.461
deceive	обмањују	disgust	0.461
unjustifiable	неоправдано	disgust	0.461
fool	будала	disgust	0.461
deplore	оштро	disgust	0.461
plunder	пљачка	disgust	0.461
aphid	апхид	disgust	0.453
bane	бане	disgust	0.453
indignation	индигнатион	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	себично	disgust	0.453
disparage	омаловажавање	disgust	0.453
cur	цур	disgust	0.453
dishonest	непоштено	disgust	0.453
stigma	стигма	disgust	0.453
eschew	есцхев	disgust	0.453
antipathy	антипатија	disgust	0.453
alienate	отуђити	disgust	0.453
disingenuous	неискрено	disgust	0.453
elimination	елиминација	disgust	0.453
unthinkable	незамисливо	disgust	0.453
wasted	изгубљено	disgust	0.445
recalcitrant	непослушни	disgust	0.445
iniquity	безакоња	disgust	0.445
mosquito	комарац	disgust	0.445
caries	каријеса	disgust	0.445
bankruptcy	банкрот	disgust	0.445
egotistical	еготистички	disgust	0.445
piles	гомиле	disgust	0.445
smell	мирис	disgust	0.445
vacuous	вацуоус	disgust	0.445
despair	очајање	disgust	0.445
opium	опијум	disgust	0.445
garish	гарисх	disgust	0.445
lie	лажи	disgust	0.445
pious	побожни	disgust	0.445
aversion	аверзија	disgust	0.438
sticky	лепљива	disgust	0.438
scream	вриштати	disgust	0.438
alien	ванземаљац	disgust	0.438
shun	схун	disgust	0.438
abnormal	абнормално	disgust	0.438
ashamed	срам	disgust	0.438
inmate	затвореник	disgust	0.438
abject	абјецт	disgust	0.438
hog	свиња	disgust	0.438
hopelessness	безнадежност	disgust	0.438
homeless	бескућници	disgust	0.438
obnoxious	безобразно	disgust	0.438
curse	проклетство	disgust	0.430
creature	створење	disgust	0.430
cursing	псовање	disgust	0.430
illegal	илегално	disgust	0.430
lusty	Лусти	disgust	0.430
shameless	срамотно	disgust	0.430
debris	рушевине	disgust	0.430
defiance	пркос	disgust	0.430
pall	палл	disgust	0.430
falsity	фалсити	disgust	0.430
reflux	рефлукс	disgust	0.430
incredulous	невероватно	disgust	0.430
adverse	штетан	disgust	0.430
trickery	трик	disgust	0.430
callous	непопустљив	disgust	0.430
separatist	сепаратист	disgust	0.430
undesirable	непожељан	disgust	0.430
denounce	Откажи	disgust	0.430
witch	вештица	disgust	0.430
bum	скитница	disgust	0.422
bovine	бовин	disgust	0.422
denunciation	денунциатион	disgust	0.422
untidy	неупотребљив	disgust	0.422
impure	нечисто	disgust	0.422
mistrust	неповерење	disgust	0.422
tarnish	опалити	disgust	0.422
ferocious	свесно	disgust	0.422
gush	гурати	disgust	0.422
infantile	инфантиле	disgust	0.422
ammonia	амонијак	disgust	0.422
offend	увреде	disgust	0.422
idiotic	идиоти	disgust	0.422
hypertrophy	хипертрофија	disgust	0.422
nicotine	никотин	disgust	0.422
tasteless	без укуса	disgust	0.422
pompous	помпезан	disgust	0.422
socialist	социјалистички	disgust	0.422
delinquent	делинквент	disgust	0.422
swarm	рој	disgust	0.422
contentious	спорно	disgust	0.422
carelessness	небрига	disgust	0.422
hairy	длакаве	disgust	0.422
wasting	губитак	disgust	0.422
slush	слусх	disgust	0.422
affront	опрости	disgust	0.422
collapse	колапс	disgust	0.422
badness	лоше	disgust	0.422
dishonesty	непоштеност	disgust	0.414
vegetative	вегетативно	disgust	0.414
displacency	помицање	disgust	0.414
unfavorable	неповољан	disgust	0.414
disobey	непослушни	disgust	0.414
sour	кисело	disgust	0.414
socialism	социјализам	disgust	0.414
murky	мрачно	disgust	0.414
neglected	занемарен	disgust	0.414
drivel	погон	disgust	0.414
vampire	вампир	disgust	0.414
litigious	парнични	disgust	0.414
illegitimate	нелегитимно	disgust	0.414
disgruntled	незадовољан	disgust	0.406
ignorant	незналица	disgust	0.406
outcast	Изгубљени	disgust	0.406
unkind	неукуј	disgust	0.406
repel	одбиј	disgust	0.406
displeasure	незадовољство	disgust	0.406
phony	лажни	disgust	0.406
shoplifting	трговина	disgust	0.406
dislike	Не волим	disgust	0.406
unlawful	незаконито	disgust	0.406
bogus	лажно	disgust	0.406
discontinuity	дисконтинуитет	disgust	0.406
recidivism	рецидивизам	disgust	0.406
ungrateful	незахвално	disgust	0.406
wrongdoing	погрешно поступање	disgust	0.406
falsify	фалсифи	disgust	0.406
prosecution	гоњење	disgust	0.406
failure	неуспех	disgust	0.398
loon	лоон	disgust	0.398
lick	лизати	disgust	0.398
subvert	субверт	disgust	0.398
rigor	ригор	disgust	0.398
unruly	непоправљиво	disgust	0.398
paucity	слабости	disgust	0.398
unnatural	неприродно	disgust	0.398
averse	аверсе	disgust	0.398
senseless	бесмислено	disgust	0.398
worsening	погоршање	disgust	0.398
disdain	презир	disgust	0.398
woe	Горко	disgust	0.398
woefully	воефулли	disgust	0.398
amphetamines	амфетамини	disgust	0.398
stingy	стинги	disgust	0.398
crushing	дробљење	disgust	0.398
insult	увреда	disgust	0.393
damage	штета	disgust	0.391
hardened	ојачан	disgust	0.391
diatribe	диатрибе	disgust	0.391
averseness	несигурност	disgust	0.391
critter	цриттер	disgust	0.391
muff	муфф	disgust	0.391
antisocial	антисоцијално	disgust	0.391
punishment	казна	disgust	0.391
bad	лоше	disgust	0.391
punished	кажњено	disgust	0.391
disrelish	Испразни	disgust	0.391
expel	екпел	disgust	0.391
farcical	фарцицал	disgust	0.391
scorpion	сцорпион	disgust	0.391
sacrifices	жртвовања	disgust	0.383
plagiarism	плагијат	disgust	0.383
hypocritical	лицемјерно	disgust	0.383
divorce	развод	disgust	0.383
presumptuous	пресумптуоус	disgust	0.383
discord	дискорд	disgust	0.383
fugitive	бегунац	disgust	0.383
fulsome	фулсоме	disgust	0.383
shabby	отргнути	disgust	0.383
orc	орц	disgust	0.383
adder	сабирница	disgust	0.383
anaconda	анаконда	disgust	0.383
surly	сурли	disgust	0.383
irrational	ирационалан	disgust	0.383
disappoint	разочарај	disgust	0.383
illiterate	неписмен	disgust	0.383
lament	ламент	disgust	0.383
eviction	исељење	disgust	0.383
teeming	тееминг	disgust	0.383
guilt	кривица	disgust	0.383
misconduct	лоше понашање	disgust	0.375
blame	кривицу	disgust	0.375
alienation	отуђење	disgust	0.375
depressing	депресивно	disgust	0.375
irritating	иритантно	disgust	0.375
plight	слабост	disgust	0.375
unworthy	недостојно	disgust	0.375
dislocated	дислоцатед	disgust	0.375
scoff	љутите	disgust	0.375
irritation	иритација	disgust	0.375
defective	неисправан	disgust	0.375
shock	шок	disgust	0.375
hoax	обмана	disgust	0.367
coerce	присиљавање	disgust	0.367
revoke	опозвати	disgust	0.367
stripped	стриппед	disgust	0.367
exclusion	искључивање	disgust	0.367
blatant	очигледно	disgust	0.367
disillusionment	разочарање	disgust	0.367
squelch	скуелцх	disgust	0.367
unhealthy	нездравим	disgust	0.367
toad	жаба	disgust	0.367
wimpy	вимпи	disgust	0.367
pitfall	питфалл	disgust	0.367
vainly	заустави	disgust	0.367
powerless	немоћан	disgust	0.367
cad	цад	disgust	0.367
hurtful	хуртфул	disgust	0.367
shuddering	тресе	disgust	0.367
wimp	вимп	disgust	0.367
oddity	чудесност	disgust	0.359
rebellion	побуна	disgust	0.359
incompatible	некомпатибилно	disgust	0.359
ineptitude	инептитуде	disgust	0.359
dispose	располагати	disgust	0.359
disobedience	непослушност	disgust	0.359
damn	проклети	disgust	0.359
bug	буг	disgust	0.359
deserted	напуштен	disgust	0.359
litigate	судски спорови	disgust	0.352
ridiculous	смешно	disgust	0.352
compost	компост	disgust	0.352
obi	оби	disgust	0.352
untoward	непристојан	disgust	0.352
censor	цензор	disgust	0.352
uncertain	неизвесно	disgust	0.352
lawyer	адвокат	disgust	0.352
flinch	флинцх	disgust	0.352
flesh	месо	disgust	0.352
crushed	здробљен	disgust	0.352
displeased	незадовољан	disgust	0.352
inept	инепт	disgust	0.352
wrongful	погрешно	disgust	0.352
cutting	сечење	disgust	0.352
fierce	жестоко	disgust	0.352
misbehavior	погрешно понашање	disgust	0.352
frustrate	фрустрирају	disgust	0.352
dismissal	отпуштање	disgust	0.352
disapprove	Не одобравај	disgust	0.344
depreciate	депресија	disgust	0.344
tearful	плакати	disgust	0.344
thoughtless	без помисли	disgust	0.336
unsettled	неизмирено	disgust	0.336
lumpy	груби	disgust	0.336
discoloration	промена боје	disgust	0.336
blunder	грешка	disgust	0.336
disinclination	дисинцлинатион	disgust	0.336
distrust	неповерење	disgust	0.336
annoy	аннои	disgust	0.336
lawsuit	тужба	disgust	0.336
discontent	незадовољство	disgust	0.336
grumble	зановетати	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	дафт	disgust	0.336
heartsick	срце	disgust	0.336
disliked	не воли	disgust	0.336
bickering	пецкање	disgust	0.336
disallowed	недозвољено	disgust	0.336
unmanageable	неупотребљив	disgust	0.328
hydrophobia	хидрофобија	disgust	0.328
unsatisfactory	незадовољавајуће	disgust	0.328
whine	хајде	disgust	0.328
exasperation	екасператион	disgust	0.328
instability	нестабилност	disgust	0.328
provoking	провоцирају	disgust	0.328
disappointed	разочаран	disgust	0.328
inhibit	инхибирати	disgust	0.328
sly	сли	disgust	0.328
grievance	Жалба	disgust	0.328
materialist	материјалиста	disgust	0.328
excluded	искључени	disgust	0.328
cacophony	какофонија	disgust	0.328
misleading	погрешно	disgust	0.321
disclaim	одрицати	disgust	0.320
rags	крпе	disgust	0.320
soot	чађ	disgust	0.320
disservice	лоше услуге	disgust	0.320
unequal	неједнако	disgust	0.320
humbug	хумбуг	disgust	0.320
reproach	срамота	disgust	0.320
confined	ограничен	disgust	0.320
disapproving	неодобравање	disgust	0.320
annoyance	анноианце	disgust	0.320
mishap	погрешно	disgust	0.320
groan	гроан	disgust	0.320
soil	земљиште	disgust	0.312
depreciated	амортизован	disgust	0.312
disincline	дисинцлине	disgust	0.312
inappropriate	неприкладан	disgust	0.312
inconsiderate	непромишљено	disgust	0.312
burke	бурке	disgust	0.312
overpriced	оверприцед	disgust	0.312
sneeze	кијају	disgust	0.312
stomach	стомак	disgust	0.312
criticize	критиковати	disgust	0.312
theism	теизам	disgust	0.312
disparity	диспаритет	disgust	0.305
gall	галл	disgust	0.305
latent	латентно	disgust	0.305
grumpy	грумпи	disgust	0.305
bang	банг	disgust	0.305
inadmissible	неприхватљив	disgust	0.305
unfriendly	непријатељски	disgust	0.305
shack	схацк	disgust	0.305
disliking	дисликовање	disgust	0.305
unaccountable	непрецизно	disgust	0.305
coop	цооп	disgust	0.304
scold	наручи	disgust	0.297
growling	кретен	disgust	0.297
lonely	усамљен	disgust	0.297
delay	кашњење	disgust	0.297
congress	конгрес	disgust	0.297
disregarded	занемарен	disgust	0.297
disappointment	разочарење	disgust	0.297
backwards	уназад	disgust	0.297
soreness	болест	disgust	0.297
rogue	лопов	disgust	0.297
infamous	злогласни	disgust	0.289
lesbian	лезбејка	disgust	0.289
notoriety	озлоглашеност	disgust	0.289
catechism	катекизам	disgust	0.289
flop	флоп	disgust	0.289
nettle	коприва	disgust	0.289
janitor	домар	disgust	0.289
saturated	засићено	disgust	0.281
gaby	габи	disgust	0.281
prohibited	забрањено	disgust	0.281
remiss	ремисс	disgust	0.281
unfair	неправедно	disgust	0.281
desist	одустај	disgust	0.281
wince	винце	disgust	0.281
aftermath	после последица	disgust	0.281
huff	Хуфф	disgust	0.273
discolored	дисколорисан	disgust	0.273
uneasy	нелагодно	disgust	0.273
wrangling	нервоза	disgust	0.273
tribunal	трибунал	disgust	0.273
weird	чудан	disgust	0.266
bureaucrat	бирократ	disgust	0.266
coldness	хладност	disgust	0.266
impolite	имполите	disgust	0.266
politic	политички	disgust	0.266
unsatisfied	незадовољни	disgust	0.266
swig	свиг	disgust	0.266
inefficiency	неефикасност	disgust	0.266
frantic	махнит	disgust	0.266
crawl	пузи	disgust	0.266
instinctive	инстинктиван	disgust	0.258
barrow	барров	disgust	0.258
incase	у случају	disgust	0.258
octopus	хоботница	disgust	0.258
chagrin	цхагрин	disgust	0.258
copycat	цопицат	disgust	0.258
rascal	расцал	disgust	0.258
sarcasm	сарказам	disgust	0.258
gruff	груфф	disgust	0.258
misconception	заблуда	disgust	0.250
hulk	хулк	disgust	0.250
shanghai	Шангај	disgust	0.250
baboon	бабун	disgust	0.250
disinclined	неудате	disgust	0.250
lose	изгубити	disgust	0.250
john	Џон	disgust	0.250
cupping	цуппинг	disgust	0.250
rook	роок	disgust	0.242
gratuitous	бесплатан	disgust	0.242
entangled	заплетена	disgust	0.242
opponent	противник	disgust	0.242
tariff	тарифа	disgust	0.242
