word	Tajik-tg	emotion	emotion-intensity-score
bounty	фахр кардан	anticipation	0.539
glad	шод	anticipation	0.536
magnificent	зебост	anticipation	0.531
feat	фит	anticipation	0.531
stealthy	беғаразона	anticipation	0.531
cheer	шод	anticipation	0.531
spirits	рӯҳҳо	anticipation	0.531
visitor	меҳмонон	anticipation	0.531
appeal	шикоят	anticipation	0.531
forming	ташкил кардан	anticipation	0.531
hurried	шитобед	anticipation	0.531
responsive	ҷавоб дод	anticipation	0.531
virginity	бокира	anticipation	0.531
deliverance	озод кардан	anticipation	0.531
betrothed	баръакс	anticipation	0.531
overthrow	ба ҳалокат расиданд	anticipation	0.531
harbinger	харбуза	anticipation	0.531
raving	хандид	anticipation	0.531
celestial	Селестри	anticipation	0.531
dread	тарсид	anticipation	0.531
germination	нашъу	anticipation	0.523
preparatory	омодагӣ мегиранд	anticipation	0.523
pleasant	зебо	anticipation	0.523
watch	watch	anticipation	0.523
prophet	пайғамбар	anticipation	0.523
prognostic	prognostic	anticipation	0.523
haste	шитобон	anticipation	0.523
planning	банажник	anticipation	0.523
importance	муҳим аст	anticipation	0.523
radiance	рахна	anticipation	0.523
prevail	Бештар	anticipation	0.523
cheery	хурсандӣ	anticipation	0.523
competition	рақобат	anticipation	0.523
ultimately	дар ниҳоят	anticipation	0.523
revive	барқарор кардан	anticipation	0.523
beaming	пӯшида аст	anticipation	0.523
wait	интизор шавед	anticipation	0.523
child	кӯдак	anticipation	0.523
notification	огоҳинома	anticipation	0.523
hunter	шикорчӣ	anticipation	0.523
explosive	таркиш	anticipation	0.523
endanger	хатарнок аст	anticipation	0.516
time	вақт	anticipation	0.516
recreation	истироҳат	anticipation	0.516
renovation	навсозӣ	anticipation	0.516
precious	гаронбаҳо	anticipation	0.516
begun	оғоз ёфт	anticipation	0.516
loom	данд	anticipation	0.516
compensate	ҷуброн кунед	anticipation	0.516
treat	муносибат кунед	anticipation	0.516
uncontrollable	назоратнашаванда	anticipation	0.516
present	ҳозир	anticipation	0.516
salary	музди меҳнат	anticipation	0.516
celebrity	маъруф	anticipation	0.516
owing	бо сабаби	anticipation	0.516
chocolate	шоколад	anticipation	0.516
caution	эҳтиёт	anticipation	0.516
fermentation	fermentation	anticipation	0.516
sensuality	ҳассосият	anticipation	0.516
wilderness	чӯб	anticipation	0.508
signify	нишон медиҳад	anticipation	0.508
transitional	гузариш	anticipation	0.508
intermission	intermission	anticipation	0.508
contemplation	Таҳлил	anticipation	0.508
vigilance	ҳушёр будан	anticipation	0.508
commemoration	ёддошт	anticipation	0.508
practise	амал мекунанд	anticipation	0.508
cue	данд	anticipation	0.508
infant	кӯдак	anticipation	0.508
dreadful	шадид	anticipation	0.508
perfection	комилан	anticipation	0.508
elevation	баландӣ	anticipation	0.508
prerequisite	пеш аз ҳама	anticipation	0.508
cultivate	парвариш кунед	anticipation	0.508
horizon	уфуқӣ	anticipation	0.508
develop	инкишоф меёбад	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	шинед	anticipation	0.500
attendance	иштирок	anticipation	0.500
nascent	шитобон	anticipation	0.500
favorable	мусоид	anticipation	0.500
peril	зараровар	anticipation	0.500
income	даромад	anticipation	0.500
ardent	сатил	anticipation	0.500
commemorate	ёд кунед	anticipation	0.500
doomsday	Садо Ояндасоз	anticipation	0.500
reconciliation	созишнома	anticipation	0.500
utopian	данд	anticipation	0.500
romantic	романтикӣ	anticipation	0.500
unbridled	ғайриқонунӣ	anticipation	0.500
sunny	офтобӣ	anticipation	0.500
uphill	боло	anticipation	0.500
intuitively	ба назар мерасад	anticipation	0.500
depart	рафтан	anticipation	0.500
eventuality	охирин	anticipation	0.500
puppy	сабук	anticipation	0.500
zeal	зиқӣ	anticipation	0.500
sneaking	пинҳон кардан	anticipation	0.500
ready	омода аст	anticipation	0.500
advocacy	ҳимоя	anticipation	0.500
airport	аэропорт	anticipation	0.500
litigate	драйвер	anticipation	0.500
blindfold	пӯшида	anticipation	0.500
undisclosed	тафтиш карда нашудааст	anticipation	0.500
young	ҷавонон	anticipation	0.500
horoscope	эрозия	anticipation	0.500
invocation	даъват кардан	anticipation	0.500
calculation	ҳисоб кардан	anticipation	0.500
hero	геро	anticipation	0.500
court	суд	anticipation	0.492
repay	пардохт кунед	anticipation	0.492
improvise	беҳтар аст	anticipation	0.492
parole	шартан	anticipation	0.492
worry	андеша кунед	anticipation	0.492
inauguration	ифтихор	anticipation	0.492
gaping	фарогирӣ	anticipation	0.492
youth	ҷавонон	anticipation	0.492
bless	муборак	anticipation	0.492
defense	мудофиа	anticipation	0.492
heyday	гандум	anticipation	0.492
consequent	дар натиҷа	anticipation	0.492
proceeding	идома дорад	anticipation	0.492
eventual	охирин	anticipation	0.492
perspective	перспективӣ	anticipation	0.492
restorative	барқарорсозӣ	anticipation	0.492
undertaking	амалӣ карда мешавад	anticipation	0.492
highest	баландтарин	anticipation	0.491
duel	дел	anticipation	0.484
unexplained	номаълум	anticipation	0.484
tremor	Тремор	anticipation	0.484
sharpen	шитобон	anticipation	0.484
generosity	саховатмандона	anticipation	0.484
voluptuous	возеҳ аст	anticipation	0.484
shortly	ба зудӣ	anticipation	0.484
vow	аҳамият диҳед	anticipation	0.484
contagion	мубталои вирус	anticipation	0.484
letter	мактуб	anticipation	0.484
happen	рӯй медиҳад	anticipation	0.484
threaten	таҳдид мекунад	anticipation	0.484
conjure	conjure	anticipation	0.484
sparkle	шамол	anticipation	0.484
engulf	engulf	anticipation	0.484
god	god	anticipation	0.484
correspondence	мукотиба	anticipation	0.484
auspicious	хавотир	anticipation	0.484
princely	пинҳон	anticipation	0.484
adore	шавқовар аст	anticipation	0.477
enroll	ворид кунед	anticipation	0.477
determinate	муайян кунед	anticipation	0.477
predispose	Пешгуфтор	anticipation	0.477
clue	калл	anticipation	0.477
onset	фароғат	anticipation	0.477
powerful	қавӣ	anticipation	0.477
glorify	шӯҳрат	anticipation	0.477
glow	нур	anticipation	0.477
arbitration	арбитраж	anticipation	0.477
torture	шиканҷа	anticipation	0.477
gravitate	gravitate	anticipation	0.477
cherish	ҳикмат	anticipation	0.477
contemplate	фикр кунед	anticipation	0.477
submit	пешниҳод кунед	anticipation	0.477
perilous	хавотир	anticipation	0.477
unification	муттаҳидшавӣ	anticipation	0.477
score	Ҳисоб	anticipation	0.477
medal	медал	anticipation	0.477
glide	класс	anticipation	0.477
recipient	гиранда	anticipation	0.477
accompaniment	ҳамроҳӣ кунед	anticipation	0.477
praiseworthy	шӯҳратпараст	anticipation	0.473
providing	таъмин намояд	anticipation	0.469
motion	рафтор	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	эҳтиёт бошед	anticipation	0.469
cash	пули нақд	anticipation	0.469
precursor	пешакӣ	anticipation	0.469
opera	опера	anticipation	0.469
elite	элита	anticipation	0.469
pry	шифобахш	anticipation	0.469
hire	кироя	anticipation	0.469
sweets	ширинӣ	anticipation	0.469
star	ситора	anticipation	0.469
unsurpassed	бесабаб нест	anticipation	0.469
successful	бомуваффақият	anticipation	0.469
unknown	номаълум	anticipation	0.469
immediately	фавран	anticipation	0.469
starry	starry	anticipation	0.469
production	истеҳсолот	anticipation	0.469
football	футбол	anticipation	0.469
completion	анҷом ёфт	anticipation	0.469
scare	тарсед	anticipation	0.469
invoke	даъват карда мешавад	anticipation	0.469
shaky	суст	anticipation	0.469
dawn	субҳ	anticipation	0.469
creeping	хазандагон	anticipation	0.469
cheerfulness	хушбахтӣ	anticipation	0.461
soundness	солим	anticipation	0.461
mail	почта	anticipation	0.461
draft	лоиҳа	anticipation	0.461
preliminary	пешакӣ	anticipation	0.461
friendly	дӯстона	anticipation	0.461
commemorative	ёддошт	anticipation	0.461
extricate	истироҳат кунед	anticipation	0.461
alive	зинда аст	anticipation	0.461
untold	бетағйир	anticipation	0.461
overture	такрорӣ	anticipation	0.461
excel	excel	anticipation	0.461
plight	бадбахтӣ	anticipation	0.461
synchronize	ҳамоҳангсозӣ кунед	anticipation	0.461
punt	пӯст	anticipation	0.461
sanctuary	муқаддас	anticipation	0.461
brilliant	зебо	anticipation	0.461
pay	пардохт	anticipation	0.461
shining	шиша	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	Аҳди Ҷадид	anticipation	0.461
jeopardy	хатарнок аст	anticipation	0.461
perpetuity	доимӣ	anticipation	0.453
elegance	шаъну шараф	anticipation	0.453
career	касб	anticipation	0.453
basketball	basketball	anticipation	0.453
intimately	ба наздикӣ	anticipation	0.453
renovate	навсозӣ	anticipation	0.453
supremacy	бартарӣ	anticipation	0.453
infinity	беохир	anticipation	0.453
unexpected	ғайричашмдошт	anticipation	0.453
flinch	рехт	anticipation	0.453
complement	иловаҳо	anticipation	0.453
prologue	пешрафт	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	пешгирӣ	anticipation	0.453
improve	беҳтар аст	anticipation	0.453
sunset	офтоб	anticipation	0.453
inaugural	кушодан	anticipation	0.453
rehabilitation	барқарорсозӣ	anticipation	0.453
fitting	мувофиқат мекунад	anticipation	0.445
surround	тиреза	anticipation	0.445
share	мубодила	anticipation	0.445
epidemic	эпидемия	anticipation	0.445
sweet	ширин	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	пинҳон кардан	anticipation	0.445
confidence	боварӣ	anticipation	0.445
perfect	комил	anticipation	0.445
sun	офтоб	anticipation	0.445
veracity	дақиқ	anticipation	0.445
volunteer	ихтиёрӣ	anticipation	0.445
conjecture	Тасаввур кунед	anticipation	0.445
medical	тиббӣ	anticipation	0.438
prepared	омода кардааст	anticipation	0.438
superstitious	фахрӣ	anticipation	0.438
reconstruction	навсозӣ	anticipation	0.438
tickle	тигл	anticipation	0.438
faith	имон	anticipation	0.438
passenger	мусофир	anticipation	0.438
saint	муқаддас	anticipation	0.438
respect	эҳтиром	anticipation	0.438
rabid	шиддат	anticipation	0.438
reconstruct	навсозӣ	anticipation	0.438
recombination	рекомбард	anticipation	0.438
devout	Динҳо	anticipation	0.438
goodness	хуб	anticipation	0.438
angel	фаришта	anticipation	0.438
ferment	ferment	anticipation	0.438
plea	даъво	anticipation	0.438
aloha	Алоха	anticipation	0.438
serial	силсила	anticipation	0.438
conservation	нигоҳдорӣ	anticipation	0.438
serenity	ҳасад	anticipation	0.430
tabulate	ҷадвалбандӣ	anticipation	0.430
install	насб кунед	anticipation	0.430
labyrinth	labyrinth	anticipation	0.430
venerable	боэҳтиром	anticipation	0.430
perpetuate	доимист	anticipation	0.430
strategist	стратегияи	anticipation	0.430
unverified	номаълум	anticipation	0.430
tribunal	додгоҳ	anticipation	0.430
charitable	хайрия	anticipation	0.430
luscious	зебо	anticipation	0.430
spa	spa	anticipation	0.430
peace	сулҳ	anticipation	0.430
clap	чап	anticipation	0.430
conspirator	мушовир	anticipation	0.422
forestall	ҷангал	anticipation	0.422
patience	пурсабрӣ	anticipation	0.422
oasis	оина	anticipation	0.422
grin	гул	anticipation	0.422
revere	баргардед	anticipation	0.422
worship	ибодат кунед	anticipation	0.422
vista	vista	anticipation	0.422
laughter	ханда	anticipation	0.422
volatility	ногаҳонӣ	anticipation	0.422
adrift	суроға	anticipation	0.422
candid	саъй	anticipation	0.422
edification	таъмир	anticipation	0.422
unresolved	ҳалли худро наёфтаанд	anticipation	0.422
peaceful	сулҳ	anticipation	0.422
recognizable	шинохташуда	anticipation	0.422
calls	зангҳо	anticipation	0.414
weigh	вазн	anticipation	0.414
probation	озмоиш	anticipation	0.414
proficiency	ихтисос	anticipation	0.414
morn	Мор	anticipation	0.414
craps	дандонҳо	anticipation	0.414
detainee	боздоштшуда	anticipation	0.414
mediate	миёнаравӣ	anticipation	0.414
continue	идома диҳед	anticipation	0.414
astrologer	astrologer	anticipation	0.414
punctual	дақиқа	anticipation	0.414
ordination	идора кардан	anticipation	0.414
pretty	зебо	anticipation	0.414
thought	фикр	anticipation	0.414
grant	грант	anticipation	0.414
withstand	истодааст	anticipation	0.414
frisky	frice	anticipation	0.414
ongoing	идома дорад	anticipation	0.414
sing	суруд	anticipation	0.411
long	дароз	anticipation	0.406
confession	эътироф	anticipation	0.406
headlight	нур	anticipation	0.406
prophylactic	профилактикӣ	anticipation	0.406
mother	модар	anticipation	0.406
debenture	баҳс	anticipation	0.406
wizard	устод	anticipation	0.406
university	донишгоҳ	anticipation	0.406
proud	шӯҳрат	anticipation	0.406
midwife	ummulin	anticipation	0.406
banquet	боғ	anticipation	0.406
continuation	идома дорад	anticipation	0.406
navigable	ро пахш кунед	anticipation	0.406
punished	ҷазо дода мешаванд	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	тасаллӣ	anticipation	0.406
opponent	рақиб	anticipation	0.406
subscribe	Садо Ояндасоз	anticipation	0.406
outdo	берун	anticipation	0.406
nurture	парвариш	anticipation	0.406
twinkle	дубора	anticipation	0.406
deal	шартнома	anticipation	0.402
efficient	самаранок	anticipation	0.398
representing	нишон медиҳад	anticipation	0.398
simmer	тобистон	anticipation	0.398
symphony	симфония	anticipation	0.398
judiciary	судӣ	anticipation	0.398
obliging	ӯҳдадоранд	anticipation	0.398
saintly	Садо Ояндасоз	anticipation	0.398
vigil	сӯзанак	anticipation	0.398
death	марг	anticipation	0.398
distracting	пӯшида нест	anticipation	0.398
mortification	фавтидааст	anticipation	0.398
balm	гул	anticipation	0.398
guillotine	гилотин	anticipation	0.398
top	top	anticipation	0.398
lettered	навишта шудааст	anticipation	0.398
reliance	эътимод	anticipation	0.398
poke	шӯхӣ мекунанд	anticipation	0.391
unfulfilled	бесабаб нест	anticipation	0.391
assurance	кафолат дода мешавад	anticipation	0.391
condemnation	маҳкумшуда	anticipation	0.391
undoubted	беэътиноӣ мекунанд	anticipation	0.391
diplomacy	дипломатӣ	anticipation	0.391
familiarity	шинос шудан	anticipation	0.391
antidote	зиддият	anticipation	0.391
chuckle	қаҳва	anticipation	0.391
objective	мақсад	anticipation	0.391
maternal	модарон	anticipation	0.391
abeyance	бадбахтӣ	anticipation	0.391
art	санъат	anticipation	0.391
linger	лингвист	anticipation	0.391
trust	боварӣ	anticipation	0.391
depraved	суст шудааст	anticipation	0.391
sanctify	муқаддас	anticipation	0.391
inoculation	беморӣ	anticipation	0.384
chant	Чант	anticipation	0.383
banger	banger	anticipation	0.383
playground	майдонча	anticipation	0.383
failing	ноком	anticipation	0.383
ship	киштӣ	anticipation	0.383
hymn	гимн	anticipation	0.383
simplify	соддатар	anticipation	0.383
ram	RAM	anticipation	0.383
labor	меҳнатӣ	anticipation	0.383
discretion	ихтиёрӣ	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	хуб	anticipation	0.383
scientist	олим	anticipation	0.383
undecided	рад карда нашудааст	anticipation	0.383
humanitarian	гуманитарӣ	anticipation	0.383
depend	вобаста аст	anticipation	0.383
dutiful	хомӯш	anticipation	0.383
clock	соат	anticipation	0.375
sterling	пиёдагард	anticipation	0.375
mountain	кӯҳ	anticipation	0.375
savor	ширин	anticipation	0.375
recurrent	такроран	anticipation	0.375
interim	муваққатӣ	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	тадриҷан	anticipation	0.375
interminable	мутаносибан	anticipation	0.375
track	пайгирӣ	anticipation	0.375
public	ҷамъиятӣ	anticipation	0.375
cradle	пажмурда	anticipation	0.375
concealed	пинҳон карда шудааст	anticipation	0.367
lesson	дарс	anticipation	0.367
instructions	дастурҳо	anticipation	0.367
shiver	шир	anticipation	0.367
musical	мусиқӣ	anticipation	0.367
towering	резед	anticipation	0.367
whim	кист?	anticipation	0.367
spear	равған	anticipation	0.367
convince	бовар кунед	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	истироҳат кунед	anticipation	0.367
biennial	биология	anticipation	0.367
theology	Теология	anticipation	0.359
offset	фарсуда	anticipation	0.359
atone	партофта мешавад	anticipation	0.359
timidity	шубҳа	anticipation	0.359
theory	назария	anticipation	0.359
undying	нопадид шудан	anticipation	0.359
plump	резед	anticipation	0.359
audience	шунавандагон	anticipation	0.357
nobility	золим	anticipation	0.352
paragon	парда	anticipation	0.352
dietary	хӯрокворӣ	anticipation	0.352
closure	басташавӣ	anticipation	0.352
store	захира кунед	anticipation	0.352
localize	маҳаллӣ	anticipation	0.352
cramp	микрофон	anticipation	0.352
daily	ҳар рӯз	anticipation	0.352
kindred	оилавӣ	anticipation	0.352
farm	хоҷагӣ	anticipation	0.352
edition	чопи	anticipation	0.352
consecration	муқаддас	anticipation	0.352
archaeology	археология	anticipation	0.344
mobile	мобилӣ	anticipation	0.344
errand	корӣ	anticipation	0.344
wireless	бесим	anticipation	0.344
mutable	mutable	anticipation	0.344
meditate	мулоҳиза кунед	anticipation	0.344
stripped	канда шуд	anticipation	0.344
lessen	кам карда шавад	anticipation	0.336
unaccountable	номаълум	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	бародарон	anticipation	0.336
buddy	дӯсти ман	anticipation	0.336
unbeaten	бесадо	anticipation	0.336
germ	гер	anticipation	0.336
dove	кабӯтар	anticipation	0.328
digress	ҷудогона	anticipation	0.328
ribbon	лев	anticipation	0.328
olfactory	гиёҳхор	anticipation	0.328
patient	бемор	anticipation	0.328
council	шӯро	anticipation	0.328
possess	дошта бошад	anticipation	0.328
secular	дунявӣ	anticipation	0.328
chastity	либос	anticipation	0.328
disposed	баста шудааст	anticipation	0.320
regularity	мунтазам	anticipation	0.320
mediator	миёнарав	anticipation	0.320
scrutinize	Тренинг	anticipation	0.320
fancy	зебо	anticipation	0.320
immature	номаълум	anticipation	0.320
infanticide	infanticide	anticipation	0.320
heft	дуздӣ	anticipation	0.320
preservative	preservative	anticipation	0.320
paddle	каҷ	anticipation	0.320
cove	ангуштон	anticipation	0.320
denying	рад	anticipation	0.312
bugle	хато	anticipation	0.312
unpublished	бе чоп нашуд	anticipation	0.312
analyst	таҳлилгар	anticipation	0.312
grim	гул	anticipation	0.312
church	калисо	anticipation	0.312
priesthood	рухсатӣ	anticipation	0.305
mill	данд	anticipation	0.305
judicial	судӣ	anticipation	0.305
broadside	васеъ	anticipation	0.305
tributary	данд	anticipation	0.297
cap	Бештар	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	нопадид шудааст	anticipation	0.297
instructor	муаллим	anticipation	0.297
saliva	садаф	anticipation	0.297
exhaustion	хулоса	anticipation	0.297
bruise	бӯй	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	бесабаб нест	anticipation	0.289
visor	водор	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	шабака	anticipation	0.289
shackle	Шакл	anticipation	0.289
addresses	суроғаҳо	anticipation	0.289
noncompliance	ғайриоддӣ	anticipation	0.289
cataract	катарак	anticipation	0.289
skewed	суқут кард	anticipation	0.281
astronomer	астрономия	anticipation	0.281
neighbor	ҳамсоя	anticipation	0.281
holiness	муқаддас	anticipation	0.273
devil	шайтон	anticipation	0.273
cream	яхмос	anticipation	0.273
picket	пулакӣ	anticipation	0.273
latent	латталӣ	anticipation	0.273
immaturity	беэҳтиромӣ	anticipation	0.273
sentence	ҷазо	anticipation	0.273
neighborhood	Гузар	anticipation	0.266
morals	ахлоқӣ	anticipation	0.266
lull	лифт	anticipation	0.266
habitual	одатан	anticipation	0.266
weight	вазни	anticipation	0.258
bye	бой	anticipation	0.258
forearm	пештар	anticipation	0.250
clown	қоғаз	anticipation	0.250
organ	орган	anticipation	0.250
quote	манбаъ	anticipation	0.242
commonplace	маъмулан	anticipation	0.242
dictatorship	диктатор	anticipation	0.234
board	саҳ	anticipation	0.234
white	сафед	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	толор	anticipation	0.234
sundial	рӯзона	anticipation	0.227
tree	дарахт	anticipation	0.227
paralysis	фалаҷ	anticipation	0.211
worm	кирмҳо	anticipation	0.203
organization	ташкилот	anticipation	0.203
cement	семент	anticipation	0.203
lagging	данд	anticipation	0.180
neutral	нейтрал	anticipation	0.148
cannibalism	манобеъ	disgust	0.953
mutilation	ҷарима	disgust	0.930
molestation	бадбинӣ	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	гонорея	disgust	0.906
rape	таҷовуз	disgust	0.906
cannibal	манъ карда шудааст	disgust	0.898
rot	пӯсида	disgust	0.891
corpse	ҷасади	disgust	0.883
massacre	куштор	disgust	0.883
excrement	Бештар	disgust	0.883
slaughter	қатл	disgust	0.875
barf	NO TRANSLATION	disgust	0.875
slaughterhouse	гилхок	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	канализатсия	disgust	0.859
incestuous	бесадо	disgust	0.859
filth	пӯст	disgust	0.859
bigot	Бештар	disgust	0.859
infestation	зӯроварӣ	disgust	0.852
plague	бало	disgust	0.852
bloodthirsty	хунрезӣ	disgust	0.852
holocaust	Ҳолокост	disgust	0.852
rotting	rotting	disgust	0.844
maggot	данд	disgust	0.844
feces	доғҳо	disgust	0.844
fecal	ҳаким	disgust	0.844
murder	куштор	disgust	0.839
infanticide	infanticide	disgust	0.836
homicide	куштор	disgust	0.836
asshole	Аҳмақ	disgust	0.836
enslaved	ғуломӣ буд	disgust	0.836
gore	Горбачёв	disgust	0.828
perverted	гумроҳ шудааст	disgust	0.828
torture	шиканҷа	disgust	0.828
slaughtering	забҳ кардан	disgust	0.828
excretion	сутунмӯҳра	disgust	0.828
contaminate	ифлоскунанда	disgust	0.821
murderer	кушташудагон	disgust	0.820
gory	гори	disgust	0.820
repugnant	пушаймон	disgust	0.820
desecration	ихтиёрӣ	disgust	0.820
grotesque	графикӣ	disgust	0.820
revolting	исрофкорӣ	disgust	0.820
diarrhoea	шир	disgust	0.820
manure	поруи	disgust	0.820
terrorist	террорист	disgust	0.820
shit	банд	disgust	0.820
pervert	пӯст	disgust	0.820
slavery	ғуломӣ	disgust	0.812
faeces	доғҳо	disgust	0.812
sewer	канализатсия	disgust	0.812
vomit	қамчин	disgust	0.812
manslaughter	хондан	disgust	0.812
dismemberment	ҷудо кардан	disgust	0.812
cadaver	кадрӣ	disgust	0.812
hemorrhage	hemorrhage	disgust	0.805
repulsive	нопадидшуда	disgust	0.805
perverse	бадбахт	disgust	0.805
filthy	палид	disgust	0.797
sewage	корношоям	disgust	0.797
depravity	беқурбшавӣ	disgust	0.797
diseased	бемор	disgust	0.797
carcass	лошае	disgust	0.795
decompose	фаромӯш накунед	disgust	0.789
vermin	резин	disgust	0.789
puke	хук	disgust	0.789
parasite	паразит	disgust	0.789
horrific	ваҳшӣ	disgust	0.789
gruesome	шадид	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	табдил ёфтааст	disgust	0.789
murderous	куштор	disgust	0.789
decayed	данд	disgust	0.789
herpes	herpes	disgust	0.789
slime	секунҷа	disgust	0.781
flatulence	тиллоӣ	disgust	0.781
monstrosity	монастирӣ	disgust	0.781
carnage	ҷаримавӣ	disgust	0.781
pestilence	фавтида	disgust	0.781
malaria	табларза	disgust	0.781
crap	хомӯш	disgust	0.781
toxic	заҳролуд	disgust	0.773
loathsome	нопадид шудааст	disgust	0.773
insidious	беэҳтиётӣ	disgust	0.773
leprosy	махав	disgust	0.773
morgue	morgue	disgust	0.773
pus	пусид	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	фоҳиша	disgust	0.766
cruel	бераҳмона	disgust	0.766
repugnance	растанӣ	disgust	0.766
revulsion	таркиб ёфтааст	disgust	0.766
xenophobia	ксенофобия	disgust	0.766
regurgitation	бозгаштан	disgust	0.766
anthrax	эмкунӣ	disgust	0.766
lynch	линч	disgust	0.766
dissection	данд	disgust	0.759
canker	қолаб	disgust	0.758
cruelty	таҳрик	disgust	0.758
perversion	печид	disgust	0.758
evil	бад	disgust	0.758
slum	садақа	disgust	0.758
infectious	сирояткунанда	disgust	0.758
mucous	микс	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	сехҳо	disgust	0.750
decomposition	таназзул	disgust	0.750
sinister	афсона	disgust	0.750
corrupting	коррупсия	disgust	0.750
demon	дев	disgust	0.742
stinking	шустани он	disgust	0.742
septic	септик	disgust	0.742
deranged	данд	disgust	0.742
bile	ҳатто	disgust	0.742
soiled	пӯст	disgust	0.742
mucus	луобпарда	disgust	0.742
abhorrence	нафратангез	disgust	0.742
abomination	золимона	disgust	0.742
sickening	бемор шудан	disgust	0.742
demonic	девона	disgust	0.742
foul	фоҳиша	disgust	0.734
obese	obese	disgust	0.734
sicken	бемор	disgust	0.734
degeneracy	обхезӣ	disgust	0.734
crucifixion	чапакзанӣ	disgust	0.734
despicable	нопадид аст	disgust	0.734
cancer	саратон	disgust	0.734
atrocity	золимона	disgust	0.734
terrorism	терроризм	disgust	0.734
dirty	ифлос	disgust	0.727
dysentery	дизентерия	disgust	0.727
adultery	зино	disgust	0.727
contamination	пошидан	disgust	0.727
bacterium	бактерия	disgust	0.727
diabolical	диаболикӣ	disgust	0.727
morbidity	бемориҳо	disgust	0.727
grisly	данд	disgust	0.727
repulsion	бозгашт	disgust	0.727
enema	enema	disgust	0.727
contagion	мубталои вирус	disgust	0.719
disfigured	нопадид шудааст	disgust	0.719
muck	микс	disgust	0.719
lewd	левизода	disgust	0.719
garbage	партофта мешаванд	disgust	0.719
autopsy	худкор	disgust	0.719
bowels	дилсӯзона	disgust	0.719
gross	умумӣ	disgust	0.719
vulgar	ношинос	disgust	0.719
barbaric	барбарӣ	disgust	0.719
disgust	ночор	disgust	0.719
vicious	шадид	disgust	0.719
entrails	данд	disgust	0.719
deterioration	бадтар	disgust	0.719
pungent	pungent	disgust	0.719
bloodshed	хунрезӣ	disgust	0.714
violent	зӯроварӣ	disgust	0.711
tyrant	толор	disgust	0.711
poisoned	заҳролуд	disgust	0.711
pollute	ифлос	disgust	0.711
wretched	бадбахт	disgust	0.711
nausea	дилсӯзӣ	disgust	0.711
mortification	фавтидааст	disgust	0.711
gag	гаг	disgust	0.711
vulgarity	норозигӣ	disgust	0.703
disgusting	бадбахт	disgust	0.703
grope	дандон	disgust	0.703
slut	суст	disgust	0.703
poisoning	заҳролудшавӣ	disgust	0.703
depraved	суст шудааст	disgust	0.703
noxious	зебо	disgust	0.703
porn	porn	disgust	0.703
nasty	бад	disgust	0.703
slimy	суст	disgust	0.703
despotism	лашкаркашӣ	disgust	0.703
nauseate	лутфан	disgust	0.703
secretion	сатил	disgust	0.703
constipation	қабз	disgust	0.703
hateful	бадбинӣ	disgust	0.703
grime	grime	disgust	0.703
measles	сурх	disgust	0.696
contagious	мубталои вирус	disgust	0.695
hellish	Ҷаҳаннам	disgust	0.695
waste	партофташуда	disgust	0.695
suicidal	худкушӣ	disgust	0.695
abuse	зӯроварӣ	disgust	0.695
hate	нафрат	disgust	0.695
wretch	фахр кардан	disgust	0.695
intestinal	лутфан	disgust	0.695
wart	Забон	disgust	0.695
obesity	фарбењї	disgust	0.695
scum	сақф	disgust	0.695
contaminated	пањншуда	disgust	0.688
disease	беморӣ	disgust	0.688
rabid	шиддат	disgust	0.688
ooze	бод	disgust	0.688
treason	хиёнаткорона	disgust	0.688
heartworm	дилкашӣ	disgust	0.688
smut	smut	disgust	0.688
cholera	холера	disgust	0.680
deformed	дағалона	disgust	0.680
detest	задааст	disgust	0.680
bestial	беҳтарин	disgust	0.680
sickness	беморӣ	disgust	0.680
antichrist	зиддият	disgust	0.680
abhorrent	Садо Ояндасоз	disgust	0.680
soulless	soulless	disgust	0.680
freakish	хашмгин	disgust	0.680
grimy	хашмгин	disgust	0.680
hatred	нафрат	disgust	0.680
pollution	ифлос	disgust	0.680
germ	гер	disgust	0.680
abominate	золимона	disgust	0.680
hell	Ҷаҳаннам	disgust	0.680
dilapidated	хашмгин	disgust	0.672
dictatorship	диктатор	disgust	0.672
inhuman	ғайриинсонӣ	disgust	0.672
greasy	равған	disgust	0.672
