word	Malagasy-mg	emotion	emotion-intensity-score
lonely	manirery	anger	0.109
gnome	GNOME	anger	0.109
tolerate	handefitra	anger	0.106
management	fitantanana	anger	0.102
advocacy	fisoloana vava	anger	0.100
moral	fitondran-tena	anger	0.094
roadworks	mpanao lalana nandalo	anger	0.091
honest	marina	anger	0.087
forgetful	manadino	anger	0.076
gent	gent	anger	0.076
liquor	toaka	anger	0.075
money	vola	anger	0.074
hood	Hood	anger	0.071
curriculum	fandaharam-pianarana	anger	0.063
words	teny	anger	0.062
smell	fofona	anger	0.061
elf	elf	anger	0.061
playful	mifaly	anger	0.061
opera	opéra	anger	0.061
nurture	mikolokolo	anger	0.059
asleeep	NO TRANSLATION	anger	0.059
counsellor	mpanolo-tsaina	anger	0.059
trumpet	trompetra	anger	0.059
birthplace	toerana nahaterahan'i	anger	0.051
ribbon	kofehy	anger	0.047
youth	tanora	anger	0.045
vote	fifidianana	anger	0.045
cash	vola	anger	0.039
wannasleep	NO TRANSLATION	anger	0.031
dame	Dame	anger	0.030
waffle	waffle	anger	0.030
buffet	Buffet	anger	0.029
celebrity	olo-malaza	anger	0.026
autocorrect	autocorrect	anger	0.015
sisterhood	mpirahavavy	anger	0.015
musical	mozika	anger	0.011
tree	hazo	anger	0.000
anticipation	mialoha	anticipation	0.859
excited	faly	anticipation	0.859
anticipate	mialoha	anticipation	0.820
excitement	fientanentanana	anticipation	0.820
eagerness	zotom-po	anticipation	0.812
exciting	mampientam-po	anticipation	0.797
expectant	miandry	anticipation	0.789
thrilling	mampientam-po	anticipation	0.781
hope	manantena	anticipation	0.773
quest	fikatsahana	anticipation	0.766
expectance	expectance	anticipation	0.750
countdown	Countdown	anticipation	0.750
start	fanombohana	anticipation	0.750
anticipatory	anticipatory	anticipation	0.750
adventure	traikefa nahafinaritra	anticipation	0.750
eager	te	anticipation	0.742
climax	fara tampony	anticipation	0.742
excite	manaitaitra	anticipation	0.742
prophecy	faminaniana	anticipation	0.742
arouse	hanaitra	anticipation	0.742
expect	manantena	anticipation	0.742
birth	teraka	anticipation	0.734
ejaculation	ejaculation	anticipation	0.734
announcement	fanambarana	anticipation	0.734
liberation	fanafahana	anticipation	0.727
urgent	maika	anticipation	0.727
expecting	niandry	anticipation	0.727
expectancy	fanantenana handray zavatra	anticipation	0.727
imminent	antomotra	anticipation	0.727
aspire	hiandrandra	anticipation	0.719
prospect	fanantenana	anticipation	0.719
trepidation	no nitebiteby	anticipation	0.719
reunion	fihaonana	anticipation	0.719
prospection	prospection	anticipation	0.719
voyage	diany	anticipation	0.719
mystery	zava-miafina	anticipation	0.711
journey	dia	anticipation	0.711
kiss	oroka	anticipation	0.711
enthusiasm	hafanam-po	anticipation	0.711
suspense	fitaintainana	anticipation	0.711
ecstasy	safononoky ny fahafinaretana	anticipation	0.711
rapture	fampakarana	anticipation	0.711
yearning	faniriana	anticipation	0.711
urgency	maika	anticipation	0.703
destination	toerana halehany	anticipation	0.703
frantic	tarihan'i	anticipation	0.703
excitation	excitation	anticipation	0.703
thrill	mampangitakitaka	anticipation	0.703
prospective	tendrena ho	anticipation	0.703
hopeful	be fanantenana	anticipation	0.703
lottery	loteria	anticipation	0.703
progress	fandrosoana	anticipation	0.703
tantalizing	tantalizing	anticipation	0.703
advance	Mandroso	anticipation	0.695
explore	hijery	anticipation	0.695
liberate	hanafaka	anticipation	0.695
readiness	fahavononana	anticipation	0.695
hurry	haingana	anticipation	0.695
arrival	fahatongavana	anticipation	0.695
vacation	fialan-tsasatra	anticipation	0.695
expectation	fanantenana	anticipation	0.695
sex	firaisana ara-nofo	anticipation	0.695
achievement	zava-bitany	anticipation	0.695
prediction	faminaniana	anticipation	0.695
allure	fitaoman'ity	anticipation	0.688
ecstatic	faly	anticipation	0.688
approaching	manatona	anticipation	0.688
uprising	fikomiana	anticipation	0.680
honeymoon	volan-tantely	anticipation	0.680
roulette	roulette	anticipation	0.680
crescendo	crescendo	anticipation	0.672
holiday	fialan-tsasatra	anticipation	0.672
wishful	nofinofy	anticipation	0.672
celebrating	mankalaza	anticipation	0.672
waiting	miandry	anticipation	0.664
winnings	winnings	anticipation	0.664
orgasm	levitra	anticipation	0.664
winning	mandresy	anticipation	0.664
impending	didim-	anticipation	0.664
invitation	fanasana	anticipation	0.664
rescue	fanavotana	anticipation	0.664
craving	faniriany	anticipation	0.664
triumph	fandresena	anticipation	0.664
celebration	fankalazana	anticipation	0.656
victory	fandresena	anticipation	0.656
aspiring	naniry	anticipation	0.656
gain	tombony	anticipation	0.656
jackpot	jackpot	anticipation	0.656
marriage	fanambadiana	anticipation	0.656
strive	hiezaka	anticipation	0.656
bridegroom	mpampakatra	anticipation	0.656
reward	valisoa	anticipation	0.656
fortune	harena	anticipation	0.656
bridal	mpanotrona ny mpanambady	anticipation	0.656
courtship	fiarahana	anticipation	0.656
treasure	harena	anticipation	0.648
opportunity	fahafahana	anticipation	0.648
intrigue	fiokoana	anticipation	0.648
delivery	fanaterana	anticipation	0.648
alertness	mailo	anticipation	0.648
aspiration	faniriantsika	anticipation	0.648
inheritance	lova	anticipation	0.648
rising	miakatra	anticipation	0.648
tomorrow	rahampitso	anticipation	0.648
prescient	prescient	anticipation	0.648
crowning	avo indrindra amin'ny	anticipation	0.648
revolution	revolisiona	anticipation	0.641
erotic	manaitaitra	anticipation	0.641
spectacular	mahatalanjona	anticipation	0.641
anxious	manahy	anticipation	0.641
expedition	fanafihana	anticipation	0.641
possibility	mety	anticipation	0.641
launch	fandefasana	anticipation	0.641
bride	ampakarina	anticipation	0.641
celebrated	malaza	anticipation	0.641
prognosis	fizotrany	anticipation	0.641
engaged	mpifamofo	anticipation	0.641
reckoning	fanisana	anticipation	0.641
award	mari-pankasitrahana	anticipation	0.641
happiness	fahasambarana	anticipation	0.641
hype	natrehin'ireo	anticipation	0.641
receiving	mandray	anticipation	0.641
curious	liana	anticipation	0.633
succeed	mahomby	anticipation	0.633
birthday	fitsingerenan'ny andro nahaterahana	anticipation	0.633
graduation	diplaoma	anticipation	0.633
beware	mitandrema	anticipation	0.633
vision	fahitana	anticipation	0.633
passionate	liana	anticipation	0.633
delight	sitrany	anticipation	0.633
destiny	anjara	anticipation	0.633
ominous	filazana loza	anticipation	0.633
coming	ho avy	anticipation	0.633
await	eo am-piandrasana	anticipation	0.633
passion	passion	anticipation	0.633
firstborn	lahimatoa	anticipation	0.633
captivate	hambabo	anticipation	0.633
prepare	hiomana	anticipation	0.633
miracle	fahagagana	anticipation	0.633
triumphant	mpandresy	anticipation	0.625
lust	filan'ny	anticipation	0.625
retirement	fisotroan-dronono	anticipation	0.625
escape	afa-mandositra	anticipation	0.625
gift	fanomezana	anticipation	0.625
inspiration	aingam-panahy	anticipation	0.625
optimism	fanantenana	anticipation	0.625
foresee	mialoha	anticipation	0.625
ripen	masaka	anticipation	0.625
revival	fifohazana	anticipation	0.625
embrace	manaiky	anticipation	0.617
risky	mampidi-doza	anticipation	0.617
ambition	faniriana	anticipation	0.617
simmering	NIHAROMOTRY	anticipation	0.617
surprisingly	mahagaga	anticipation	0.617
verge	saika	anticipation	0.617
enchanting	hilaza izao	anticipation	0.617
bloom	fotoana fivelaran'ny	anticipation	0.617
foresight	tsy mahatsinjo lavitra	anticipation	0.617
foreboding	velon-tebiteby	anticipation	0.617
destined	voalahatra	anticipation	0.617
succeeding	mahomby	anticipation	0.609
magical	mahagaga	anticipation	0.609
bonus	tombony	anticipation	0.609
lookout	Tandremo	anticipation	0.609
matrimony	fanambadiana	anticipation	0.609
alerts	fanairana	anticipation	0.609
anxiety	fanahiana	anticipation	0.609
seductive	manintona	anticipation	0.609
forecast	forecast	anticipation	0.609
intended	natao	anticipation	0.602
inspire	aingam-panahy	anticipation	0.602
diagnosis	aretina	anticipation	0.602
visionary	fahitana	anticipation	0.602
nervous	natahotra	anticipation	0.602
deserve	mendrika	anticipation	0.602
fulfillment	tanteraka	anticipation	0.602
picnic	fitsangatsanganana	anticipation	0.602
applicant	mpangataka	anticipation	0.602
foreseen	Hanaitra Mafy	anticipation	0.602
entertaining	voly	anticipation	0.602
revenge	valifaty	anticipation	0.602
success	fahombiazana	anticipation	0.602
prophetic	faminaniana	anticipation	0.602
winner	mpandresy	anticipation	0.602
longing	faniriana	anticipation	0.602
boomerang	Boomerang	anticipation	0.602
result	vokatra	anticipation	0.594
accelerate	haingana	anticipation	0.594
buzz	Buzz	anticipation	0.594
acquiring	mahazo	anticipation	0.594
marry	hanambady	anticipation	0.594
illuminate	manazava	anticipation	0.594
romance	olon-tiany	anticipation	0.594
rekindle	mamelona indray	anticipation	0.594
luck	vintana	anticipation	0.594
advent	fiavian'ny	anticipation	0.594
preparedness	fiomanana	anticipation	0.594
momentum	vahana	anticipation	0.594
arrive	tonga	anticipation	0.594
predict	milaza	anticipation	0.589
sequel	tohiny	anticipation	0.586
money	vola	anticipation	0.586
endeavor	miezaka	anticipation	0.586
auspices	fiahian'ny	anticipation	0.586
fiesta	fiesta	anticipation	0.586
raffle	raffle	anticipation	0.586
preparation	fiomanana	anticipation	0.586
uplift	mankahery	anticipation	0.586
investigation	fanadihadiana	anticipation	0.586
gambling	filokana	anticipation	0.586
delightful	mahafinaritra	anticipation	0.586
enjoying	nankafy	anticipation	0.586
seek	mitady	anticipation	0.586
impatient	tsy manam-paharetana	anticipation	0.586
overdue	loatra izany	anticipation	0.586
crave	mitady mafy	anticipation	0.586
flirt	manadaladala	anticipation	0.586
enthusiast	mafana fo	anticipation	0.586
presumption	heverina	anticipation	0.586
immerse	hanitrika	anticipation	0.586
progression	fivoarana	anticipation	0.586
experiment	andrana	anticipation	0.580
inviting	manintona	anticipation	0.578
precarious	mampidi-doza	anticipation	0.578
blessing	fitahiana	anticipation	0.578
harvest	vokatra	anticipation	0.578
transcendence	Ny fahamboniana	anticipation	0.578
heavenly	any an-danitra	anticipation	0.578
attainable	azo tratrarina	anticipation	0.578
enjoy	mankafy	anticipation	0.578
divination	sikidy	anticipation	0.578
excavation	fandavahana	anticipation	0.578
healing	fanasitranana	anticipation	0.578
majestic	malaza	anticipation	0.578
clamor	fitabatabana	anticipation	0.578
thirst	hetaheta	anticipation	0.578
remedy	fanafody	anticipation	0.578
prosper	hiroborobo	anticipation	0.578
risk	mety	anticipation	0.578
angling	angling	anticipation	0.578
completing	nahavita	anticipation	0.578
thriving	mandroso	anticipation	0.578
zest	zest	anticipation	0.570
tease	mpandrangitra	anticipation	0.570
matchmaker	matchmaker	anticipation	0.570
prospectively	prospectively	anticipation	0.570
restlessness	be fisalasalana toy	anticipation	0.570
sweetheart	malalany	anticipation	0.570
emancipation	fanafahana	anticipation	0.570
ultimate	faratampony	anticipation	0.570
invite	manasa	anticipation	0.570
gambler	mpiloka	anticipation	0.570
dare	sahy	anticipation	0.570
plan	drafitra	anticipation	0.570
magnificence	fahamboniany	anticipation	0.570
warned	Nampitandrina	anticipation	0.570
finally	Farany	anticipation	0.570
intimate	akaiky	anticipation	0.570
omen	fambara	anticipation	0.570
attempt	andrana	anticipation	0.562
forewarned	nampitandrina	anticipation	0.562
fun	fahafinaretana	anticipation	0.562
festival	festival	anticipation	0.562
trophy	amboara	anticipation	0.562
rejoice	hifaly	anticipation	0.562
fanfare	fanfare	anticipation	0.562
predilection	predilection	anticipation	0.562
exalt	hanandra-	anticipation	0.562
parade	matso	anticipation	0.562
enchant	enchant	anticipation	0.562
independence	fahaleovan-tena	anticipation	0.562
expose	hampiharihary	anticipation	0.562
immortality	tsy fahafatesana	anticipation	0.562
expected	andrasana	anticipation	0.562
mysterious	zava-miafina	anticipation	0.562
hypothesis	petra-kevitra	anticipation	0.562
accolade	accolade	anticipation	0.562
lover	tia	anticipation	0.562
quicken	Velomy	anticipation	0.562
champion	tompon-daka	anticipation	0.562
lovely	lovely	anticipation	0.555
rejoicing	fifaliana	anticipation	0.555
grasping	mitantana	anticipation	0.555
grow	mitombo	anticipation	0.555
curiosity	te hahafanta-javatra	anticipation	0.555
splendor	famirapiratana	anticipation	0.555
salvation	famonjena	anticipation	0.555
happy	sambatra	anticipation	0.555
oracle	efitra anatiny	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	fahatanterahan'ny	anticipation	0.555
boisterous	sahiran-tsaina	anticipation	0.555
liberty	fahafahana	anticipation	0.555
heroism	herimpon'izy	anticipation	0.555
feeling	fihetseham-po	anticipation	0.555
shopping	fiantsenana	anticipation	0.555
fate	anjara	anticipation	0.555
uneasiness	sadaikatra	anticipation	0.555
speculative	tombantombana	anticipation	0.555
changeable	miovaova	anticipation	0.547
recreational	fialamboly	anticipation	0.547
pray	Mivavaha	anticipation	0.547
warn	mampitandrina	anticipation	0.547
suspicious	mampiahiahy	anticipation	0.547
convergence	convergence	anticipation	0.547
incite	mandrisika	anticipation	0.547
agape	gaga kosa	anticipation	0.547
morrow	ampitso	anticipation	0.547
abundance	be dia be	anticipation	0.547
delighted	Finaritra	anticipation	0.547
resultant	vokatry	anticipation	0.547
hungry	noana	anticipation	0.547
monetary	vola	anticipation	0.547
vote	fifidianana	anticipation	0.547
glory	voninahitra	anticipation	0.547
glimmer	tsirim	anticipation	0.547
apprehensive	Natahotra	anticipation	0.547
sorcery	famosaviana	anticipation	0.547
bountiful	'i Soafeno	anticipation	0.547
leisure	fialam-boly	anticipation	0.547
probability	mety	anticipation	0.547
auction	lavanty	anticipation	0.539
hunting	mihaza	anticipation	0.539
contingent	hiankina	anticipation	0.539
hankering	hankering	anticipation	0.539
sensual	nofo	anticipation	0.539
blessings	fitahiana	anticipation	0.539
ballot	vatom-pifidianana	anticipation	0.539
grandchildren	zafikeliny	anticipation	0.539
entertainment	fialam-boly	anticipation	0.539
vindication	fanamarinana	anticipation	0.539
worrying	mampiahiahy	anticipation	0.539
tempest	tafio-drivotra	anticipation	0.539
inquiry	nanontany	anticipation	0.539
merge	mampiray	anticipation	0.539
exceed	mihoatra	anticipation	0.539
bounty	fiantranareo	anticipation	0.539
glad	faly	anticipation	0.536
magnificent	mahatalanjona	anticipation	0.531
feat	Feat	anticipation	0.531
stealthy	tselika	anticipation	0.531
cheer	fifaliana	anticipation	0.531
spirits	fanahy	anticipation	0.531
visitor	mpitsidika	anticipation	0.531
appeal	antso	anticipation	0.531
forming	mamorona	anticipation	0.531
hurried	haingana	anticipation	0.531
responsive	manaiky	anticipation	0.531
virginity	virjiny	anticipation	0.531
deliverance	fanafahana	anticipation	0.531
betrothed	voafofo ho vadin'olona	anticipation	0.531
overthrow	nandravana	anticipation	0.531
harbinger	harbinger	anticipation	0.531
raving	raving	anticipation	0.531
celestial	selestialy	anticipation	0.531
dread	hatahotra	anticipation	0.531
germination	itsiriany	anticipation	0.523
preparatory	fiomanana	anticipation	0.523
pleasant	mahafinaritra	anticipation	0.523
watch	mijery	anticipation	0.523
prophet	mpaminany	anticipation	0.523
prognostic	prognostic	anticipation	0.523
haste	faingana	anticipation	0.523
planning	planning	anticipation	0.523
importance	zava-dehibe	anticipation	0.523
radiance	famirapiratany	anticipation	0.523
prevail	Mandresy	anticipation	0.523
cheery	falifaly	anticipation	0.523
competition	fifaninanana	anticipation	0.523
ultimately	farany	anticipation	0.523
revive	hamelona indray	anticipation	0.523
beaming	Feno ny taratry	anticipation	0.523
wait	miandry	anticipation	0.523
child	zaza	anticipation	0.523
notification	fampahafantarana	anticipation	0.523
hunter	mpihaza	anticipation	0.523
explosive	mipoaka	anticipation	0.523
endanger	hampidi-doza	anticipation	0.516
time	fotoana	anticipation	0.516
recreation	fialam-boly	anticipation	0.516
renovation	fanavaozana	anticipation	0.516
precious	sarobidy	anticipation	0.516
begun	nanomboka	anticipation	0.516
loom	toa olana	anticipation	0.516
compensate	hanonitra	anticipation	0.516
treat	hitondra	anticipation	0.516
uncontrollable	voafehy	anticipation	0.516
present	ankehitriny	anticipation	0.516
salary	karama	anticipation	0.516
celebrity	olo-malaza	anticipation	0.516
owing	Noho	anticipation	0.516
chocolate	sôkôla	anticipation	0.516
caution	fampitandremana	anticipation	0.516
fermentation	fermentation	anticipation	0.516
sensuality	hafalian'ny nofo	anticipation	0.516
wilderness	tany efitra	anticipation	0.508
signify	mampahafantatra	anticipation	0.508
transitional	tetezamita	anticipation	0.508
intermission	fiatoana	anticipation	0.508
contemplation	fibanjinana	anticipation	0.508
vigilance	mailo	anticipation	0.508
commemoration	fankalazana	anticipation	0.508
practise	fampiharana	anticipation	0.508
cue	cue	anticipation	0.508
infant	zaza	anticipation	0.508
dreadful	mahatahotra	anticipation	0.508
perfection	tonga lafatra	anticipation	0.508
elevation	isam-ponina	anticipation	0.508
prerequisite	fepetra takiana mialohan'ny ahafahana	anticipation	0.508
cultivate	mamboly	anticipation	0.508
horizon	faravodilanitra	anticipation	0.508
develop	hampivelarana	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	milomano	anticipation	0.500
attendance	mpanatrika	anticipation	0.500
nascent	nascent	anticipation	0.500
favorable	tsara	anticipation	0.500
peril	loza	anticipation	0.500
income	fidiram-bola	anticipation	0.500
ardent	mafana fo	anticipation	0.500
commemorate	fahatsiarovana	anticipation	0.500
doomsday	Olona ny Fara Andro	anticipation	0.500
reconciliation	fampihavanana	anticipation	0.500
utopian	mitsingevana	anticipation	0.500
romantic	tantaram-pitiavana	anticipation	0.500
unbridled	voafehy	anticipation	0.500
sunny	talaky masoandro	anticipation	0.500
uphill	manatrika ilay havoana	anticipation	0.500
intuitively	intuitively	anticipation	0.500
depart	miala	anticipation	0.500
eventuality	ny iafaran'izy roa tonta	anticipation	0.500
puppy	alika	anticipation	0.500
zeal	zotom-po	anticipation	0.500
sneaking	-tsokosoko	anticipation	0.500
ready	vonona	anticipation	0.500
advocacy	fisoloana vava	anticipation	0.500
airport	Airport	anticipation	0.500
litigate	litigate	anticipation	0.500
blindfold	fanapena-maso	anticipation	0.500
undisclosed	fantatra	anticipation	0.500
young	tanora	anticipation	0.500
horoscope	tonon'andro	anticipation	0.500
invocation	Vavaka Fanombohana	anticipation	0.500
calculation	kajy	anticipation	0.500
hero	mahery fo	anticipation	0.500
court	fitsarana	anticipation	0.492
repay	mamaly	anticipation	0.492
improvise	improvise	anticipation	0.492
parole	Parole	anticipation	0.492
worry	manahy	anticipation	0.492
inauguration	fitokanana	anticipation	0.492
gaping	gaping	anticipation	0.492
youth	tanora	anticipation	0.492
bless	hitahy	anticipation	0.492
defense	fiarovana	anticipation	0.492
heyday	heyday	anticipation	0.492
consequent	vokatry	anticipation	0.492
proceeding	hanaovana ilay fandidiana	anticipation	0.492
eventual	amin'ny farany	anticipation	0.492
perspective	fomba fijery	anticipation	0.492
restorative	hamerenana amin'ny laoniny	anticipation	0.492
undertaking	teny fikasana	anticipation	0.492
highest	ambony indrindra	anticipation	0.491
duel	Duel	anticipation	0.484
unexplained	voazava	anticipation	0.484
tremor	nangovitra	anticipation	0.484
sharpen	mandranitra	anticipation	0.484
generosity	fahalalahan-tanana	anticipation	0.484
voluptuous	voluptuous	anticipation	0.484
shortly	fotoana fohy	anticipation	0.484
vow	voady	anticipation	0.484
contagion	areti-mifindra	anticipation	0.484
letter	taratasy	anticipation	0.484
happen	hitranga	anticipation	0.484
threaten	mandrahona	anticipation	0.484
conjure	amin'ny famakafakana lahatsoratra	anticipation	0.484
sparkle	Sparkle	anticipation	0.484
engulf	engulf	anticipation	0.484
god	andriamanitra	anticipation	0.484
correspondence	taratasy avy amin '	anticipation	0.484
auspicious	auspicious	anticipation	0.484
princely	andriana	anticipation	0.484
adore	mankafy	anticipation	0.477
enroll	hisoratra anarana	anticipation	0.477
determinate	voafaritra ao	anticipation	0.477
predispose	predispose	anticipation	0.477
clue	Vakio ny	anticipation	0.477
onset	nanombohan'ny	anticipation	0.477
powerful	mahery	anticipation	0.477
glorify	voninahitra	anticipation	0.477
glow	tarafin'ny hazavana	anticipation	0.477
arbitration	fanelanelanana	anticipation	0.477
torture	fampijaliana	anticipation	0.477
gravitate	tombony	anticipation	0.477
cherish	hankamamy	anticipation	0.477
contemplate	mieritreritra	anticipation	0.477
submit	manaiky	anticipation	0.477
perilous	mampidi-doza	anticipation	0.477
unification	fampiraisan-tsaina	anticipation	0.477
score	Maty	anticipation	0.477
medal	medaly	anticipation	0.477
glide	manidina	anticipation	0.477
recipient	mpandray	anticipation	0.477
accompaniment	arahina	anticipation	0.477
praiseworthy	mendri-piderana	anticipation	0.473
providing	fanomezana	anticipation	0.469
motion	mihetsika	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	malina	anticipation	0.469
cash	vola	anticipation	0.469
precursor	mpialoha làlana	anticipation	0.469
opera	opéra	anticipation	0.469
elite	sangany	anticipation	0.469
pry	midikiditra amin'ny fiainany	anticipation	0.469
hire	hanakarama	anticipation	0.469
sweets	zava-mamy	anticipation	0.469
star	kintana	anticipation	0.469
unsurpassed	manan-tsahala	anticipation	0.469
successful	mahomby	anticipation	0.469
unknown	tsy fantatra	anticipation	0.469
immediately	avy hatrany	anticipation	0.469
starry	feno kintana	anticipation	0.469
production	famokarana	anticipation	0.469
football	baolina kitra	anticipation	0.469
completion	vita	anticipation	0.469
scare	Fampitahoran'ny	anticipation	0.469
invoke	mangataka	anticipation	0.469
shaky	mihozongozona	anticipation	0.469
dawn	mangiran-dratsy	anticipation	0.469
creeping	mandady	anticipation	0.469
cheerfulness	-kafaliana	anticipation	0.461
soundness	fahasalamana	anticipation	0.461
mail	namany Sary	anticipation	0.461
draft	volavolan-	anticipation	0.461
preliminary	mialoha	anticipation	0.461
friendly	friendly	anticipation	0.461
commemorative	fahatsiarovana	anticipation	0.461
extricate	extricate	anticipation	0.461
alive	velona	anticipation	0.461
untold	tsy hay lazaina	anticipation	0.461
overture	overture	anticipation	0.461
excel	Excel	anticipation	0.461
plight	manjo	anticipation	0.461
synchronize	synchronize	anticipation	0.461
punt	Punt	anticipation	0.461
sanctuary	fitoerana masina	anticipation	0.461
brilliant	mamirapiratra	anticipation	0.461
pay	mandoa vola	anticipation	0.461
shining	mamirapiratra	anticipation	0.461
regatta	regatta	anticipation	0.461
testament	testamenta	anticipation	0.461
jeopardy	nanao vy very	anticipation	0.461
perpetuity	Azy mandrakizay	anticipation	0.453
elegance	haja	anticipation	0.453
career	asany	anticipation	0.453
basketball	baskety	anticipation	0.453
intimately	akaiky	anticipation	0.453
renovate	hanavao	anticipation	0.453
supremacy	fara tampony	anticipation	0.453
infinity	Infinity	anticipation	0.453
unexpected	tsy nampoizina	anticipation	0.453
flinch	tafintohina	anticipation	0.453
complement	famenon'ny	anticipation	0.453
prologue	Sasin-teny	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	fisorohana	anticipation	0.453
improve	manatsara	anticipation	0.453
sunset	masoandro mody	anticipation	0.453
inaugural	fitokanana	anticipation	0.453
rehabilitation	fanarenana	anticipation	0.453
fitting	mety tsara	anticipation	0.445
surround	Nanodidina	anticipation	0.445
share	anjara	anticipation	0.445
epidemic	areti-mifindra	anticipation	0.445
sweet	mamy	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	fanafenana	anticipation	0.445
confidence	fahatokiana	anticipation	0.445
perfect	tonga lafatra	anticipation	0.445
sun	masoandro	anticipation	0.445
veracity	fahamarinan'ilay	anticipation	0.445
volunteer	mpilatsaka an-tsitrapo	anticipation	0.445
conjecture	ampianarin'ny	anticipation	0.445
medical	fitsaboana	anticipation	0.438
prepared	voaomana	anticipation	0.438
superstitious	finoanoam-poana	anticipation	0.438
reconstruction	fanorenana indray	anticipation	0.438
tickle	hahafinaritra	anticipation	0.438
faith	finoana	anticipation	0.438
passenger	mpandeha	anticipation	0.438
saint	Saint	anticipation	0.438
respect	fanajana	anticipation	0.438
rabid	romotra	anticipation	0.438
reconstruct	hanangana indray	anticipation	0.438
recombination	recombination	anticipation	0.438
devout	mpivavaka	anticipation	0.438
goodness	hatsaran-toetra	anticipation	0.438
angel	anjely	anticipation	0.438
ferment	ferment	anticipation	0.438
plea	fangatahana	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	serial	anticipation	0.438
conservation	fiarovana ny tontolo iainana	anticipation	0.438
serenity	fahatoniana	anticipation	0.430
tabulate	tabulate	anticipation	0.430
install	hametraka	anticipation	0.430
labyrinth	labyrinth	anticipation	0.430
venerable	mendri-kaja	anticipation	0.430
perpetuate	hampaharitra	anticipation	0.430
strategist	tetikady	anticipation	0.430
unverified	voamarina	anticipation	0.430
tribunal	fitsarana	anticipation	0.430
charitable	mpanao asa soa	anticipation	0.430
luscious	luscious	anticipation	0.430
spa	Spa	anticipation	0.430
peace	fandriampahalemana	anticipation	0.430
clap	Miteha	anticipation	0.430
conspirator	conspirator	anticipation	0.422
forestall	hahasakana	anticipation	0.422
patience	faharetana	anticipation	0.422
oasis	lonaka	anticipation	0.422
grin	tsiky	anticipation	0.422
revere	Revere	anticipation	0.422
worship	fanompoam-pivavahana	anticipation	0.422
vista	Vista	anticipation	0.422
laughter	fihomehezana	anticipation	0.422
volatility	volatility	anticipation	0.422
adrift	adrift	anticipation	0.422
candid	ahiahinao	anticipation	0.422
edification	fampandrosoana	anticipation	0.422
unresolved	voavaha	anticipation	0.422
peaceful	am-pilaminana	anticipation	0.422
recognizable	fantatra	anticipation	0.422
calls	antso	anticipation	0.414
weigh	mandanja	anticipation	0.414
probation	fisedrana	anticipation	0.414
proficiency	fahaizany	anticipation	0.414
morn	morn	anticipation	0.414
craps	craps	anticipation	0.414
detainee	gadra	anticipation	0.414
mediate	mikatroka	anticipation	0.414
continue	hanohy	anticipation	0.414
astrologer	mpanandro	anticipation	0.414
punctual	marim-potoana	anticipation	0.414
ordination	fanendrena	anticipation	0.414
pretty	manja	anticipation	0.414
thought	nieritreritra	anticipation	0.414
grant	omeo	anticipation	0.414
withstand	hanohitra	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	mitohy	anticipation	0.414
sing	mihira	anticipation	0.411
long	ela	anticipation	0.406
confession	fiaiken-keloka	anticipation	0.406
headlight	headlight	anticipation	0.406
prophylactic	prophylactic	anticipation	0.406
mother	reny	anticipation	0.406
debenture	debenture	anticipation	0.406
wizard	Magicien	anticipation	0.406
university	anjerimanontolo	anticipation	0.406
proud	mirehareha	anticipation	0.406
midwife	mpampivelona	anticipation	0.406
banquet	fanasana	anticipation	0.406
continuation	fitohizan'ny	anticipation	0.406
navigable	navigable	anticipation	0.406
punished	voasazy	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	fampiononana	anticipation	0.406
opponent	mpanohitra	anticipation	0.406
subscribe	famandrihana	anticipation	0.406
outdo	hihoatra ny	anticipation	0.406
nurture	mikolokolo	anticipation	0.406
twinkle	namiratra	anticipation	0.406
deal	fifanarahana	anticipation	0.402
efficient	mahomby	anticipation	0.398
representing	nisolo tena	anticipation	0.398
simmer	madinidinika	anticipation	0.398
symphony	symphonie	anticipation	0.398
judiciary	fitsarana	anticipation	0.398
obliging	manery ny	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	fiaretan-tory	anticipation	0.398
death	fahafatesana	anticipation	0.398
distracting	mahavarimbariana	anticipation	0.398
mortification	hampijalian-tena	anticipation	0.398
balm	balsama	anticipation	0.398
guillotine	Tapahina ireo taratasim	anticipation	0.398
top	ambony	anticipation	0.398
lettered	lettered	anticipation	0.398
reliance	fianteherana	anticipation	0.398
poke	Kitika	anticipation	0.391
unfulfilled	tanteraka	anticipation	0.391
assurance	fanomezan-toky	anticipation	0.391
condemnation	fanamelohana	anticipation	0.391
undoubted	undoubted	anticipation	0.391
diplomacy	diplaomasia	anticipation	0.391
familiarity	mahazatra	anticipation	0.391
antidote	fanefitry	anticipation	0.391
chuckle	nihomehy	anticipation	0.391
objective	tanjona	anticipation	0.391
maternal	reny	anticipation	0.391
