word	Sundanese-su	emotion	emotion-intensity-score
church	gereja	anticipation	0.312
priesthood	priesthood	anticipation	0.305
mill	ngagiling	anticipation	0.305
judicial	yudisial	anticipation	0.305
broadside	broadside	anticipation	0.305
tributary	tributary	anticipation	0.297
cap	topi	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	dismay	anticipation	0.297
instructor	palatih	anticipation	0.297
saliva	ciduh	anticipation	0.297
exhaustion	kacapean	anticipation	0.297
bruise	eumeur	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	andar-andar	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	jaringan	anticipation	0.289
shackle	shackle	anticipation	0.289
addresses	alamat	anticipation	0.289
noncompliance	noncompliance	anticipation	0.289
cataract	katarak	anticipation	0.289
skewed	skewed	anticipation	0.281
astronomer	astronom	anticipation	0.281
neighbor	tatangga	anticipation	0.281
holiness	kasucian	anticipation	0.273
devil	setan	anticipation	0.273
cream	krim	anticipation	0.273
picket	piket	anticipation	0.273
latent	laten	anticipation	0.273
immaturity	kaayaan teu dewasa	anticipation	0.273
sentence	hukuman	anticipation	0.273
neighborhood	Daérah	anticipation	0.266
morals	moral	anticipation	0.266
lull	lull	anticipation	0.266
habitual	habitual	anticipation	0.266
weight	beurat	anticipation	0.258
bye	permios	anticipation	0.258
forearm	hasta	anticipation	0.250
clown	badut	anticipation	0.250
organ	organ	anticipation	0.250
quote	nyalin	anticipation	0.242
commonplace	lumrah	anticipation	0.242
dictatorship	diktator	anticipation	0.234
board	dewan	anticipation	0.234
white	bodas	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	rel	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	tangkal	anticipation	0.227
paralysis	kalumpuhan	anticipation	0.211
worm	cacing	anticipation	0.203
organization	organisasi	anticipation	0.203
cement	semen	anticipation	0.203
lagging	katinggaleun	anticipation	0.180
neutral	netral	anticipation	0.148
cannibalism	tindakan urang nu ngedahar daging manusa	disgust	0.953
mutilation	mutilation	disgust	0.930
molestation	molestation	disgust	0.914
incest	sapatemon jeung dulur sorangan	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	maksa mirusa	disgust	0.906
cannibal	jelema nu ngedahar daging jelema lainna	disgust	0.898
rot	jadi ruksak	disgust	0.891
corpse	mayit	disgust	0.883
massacre	mateni kalawan kejem	disgust	0.883
excrement	excrement	disgust	0.883
slaughter	meuncit	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	slaughterhouse	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	sewerage	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	runtah	disgust	0.859
bigot	bigot	disgust	0.859
infestation	infestation	disgust	0.852
plague	pagebug	disgust	0.852
bloodthirsty	bloodthirsty	disgust	0.852
holocaust	Holocaust	disgust	0.852
rotting	rotting	disgust	0.844
maggot	bilatung	disgust	0.844
feces	tai	disgust	0.844
fecal	fecal	disgust	0.844
murder	rajapati	disgust	0.839
infanticide	infanticide	disgust	0.836
homicide	rajapati	disgust	0.836
asshole	Bangsat	disgust	0.836
enslaved	enslaved	disgust	0.836
gore	Gore	disgust	0.828
perverted	perverted	disgust	0.828
torture	milaraan	disgust	0.828
slaughtering	slaughtering	disgust	0.828
excretion	ékskrési	disgust	0.828
contaminate	ngotorkeun	disgust	0.821
murderer	murderer	disgust	0.820
gory	gory	disgust	0.820
repugnant	repugnant	disgust	0.820
desecration	desecration	disgust	0.820
grotesque	grotesque	disgust	0.820
revolting	revolting	disgust	0.820
diarrhoea	mencret	disgust	0.820
manure	gemuk kandang	disgust	0.820
terrorist	teroris	disgust	0.820
shit	shit	disgust	0.820
pervert	pervert	disgust	0.820
slavery	perbudakan	disgust	0.812
faeces	faeces	disgust	0.812
sewer	solokan	disgust	0.812
vomit	utah	disgust	0.812
manslaughter	rajapati	disgust	0.812
dismemberment	dismemberment	disgust	0.812
cadaver	cadaver	disgust	0.812
hemorrhage	hemorrhage	disgust	0.805
repulsive	pikageuleuhan	disgust	0.805
perverse	perverse	disgust	0.805
filthy	kotor	disgust	0.797
sewage	kokotor	disgust	0.797
depravity	depravity	disgust	0.797
diseased	diseased	disgust	0.797
carcass	tulang taleng	disgust	0.795
decompose	terurai	disgust	0.789
vermin	vermin	disgust	0.789
puke	puke	disgust	0.789
parasite	mangandeuh	disgust	0.789
horrific	horrific	disgust	0.789
gruesome	pikasieuneun	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	dimutilasi	disgust	0.789
murderous	murderous	disgust	0.789
decayed	decayed	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	flatulence	disgust	0.781
monstrosity	monstrosity	disgust	0.781
carnage	raja pati gegedean	disgust	0.781
pestilence	pestilence	disgust	0.781
malaria	malaria	disgust	0.781
crap	crap	disgust	0.781
toxic	toksik	disgust	0.773
loathsome	loathsome	disgust	0.773
insidious	insidious	disgust	0.773
leprosy	kusta	disgust	0.773
morgue	morgue	disgust	0.773
pus	nanah	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	janggol	disgust	0.766
cruel	jahat	disgust	0.766
repugnance	repugnance	disgust	0.766
revulsion	revulsion	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	regurgitation	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	Lynch	disgust	0.766
dissection	dissection	disgust	0.759
canker	canker	disgust	0.758
cruelty	cruelty	disgust	0.758
perversion	perversion	disgust	0.758
evil	jahat	disgust	0.758
slum	daerah reged	disgust	0.758
infectious	tepa	disgust	0.758
mucous	mukosa	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	dékomposisi	disgust	0.750
sinister	sinister	disgust	0.750
corrupting	corrupting	disgust	0.750
demon	setan	disgust	0.742
stinking	hanyir	disgust	0.742
septic	septic	disgust	0.742
deranged	deranged	disgust	0.742
bile	bili	disgust	0.742
soiled	soiled	disgust	0.742
mucus	leuleur	disgust	0.742
abhorrence	abhorrence	disgust	0.742
abomination	abomination	disgust	0.742
sickening	sickening	disgust	0.742
demonic	demonic	disgust	0.742
foul	ngintip	disgust	0.734
obese	obese	disgust	0.734
sicken	sicken	disgust	0.734
degeneracy	degeneracy	disgust	0.734
crucifixion	Crucifixion	disgust	0.734
despicable	hina	disgust	0.734
cancer	kangker	disgust	0.734
atrocity	atrocity	disgust	0.734
terrorism	terorisme	disgust	0.734
dirty	kotor	disgust	0.727
dysentery	disentri	disgust	0.727
adultery	kajinahan	disgust	0.727
contamination	hal jadi kotor	disgust	0.727
bacterium	baktéri	disgust	0.727
diabolical	diabolical	disgust	0.727
morbidity	morbidity	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	repulsion	disgust	0.727
enema	enema	disgust	0.727
contagion	contagion	disgust	0.719
disfigured	disfigured	disgust	0.719
muck	kokotor	disgust	0.719
lewd	lewd	disgust	0.719
garbage	runtah	disgust	0.719
autopsy	pamarikasan mayit keur neangan sebab matina	disgust	0.719
bowels	bowels	disgust	0.719
gross	kotor	disgust	0.719
vulgar	kasar	disgust	0.719
barbaric	primitip	disgust	0.719
disgust	geuleuh	disgust	0.719
vicious	galak	disgust	0.719
entrails	entrails	disgust	0.719
deterioration	deterioration	disgust	0.719
pungent	pungent	disgust	0.719
bloodshed	banjir getih	disgust	0.714
violent	telenges	disgust	0.711
tyrant	mairan	disgust	0.711
poisoned	diracun	disgust	0.711
pollute	ngotoran	disgust	0.711
wretched	wretched	disgust	0.711
nausea	seueul	disgust	0.711
mortification	mortification	disgust	0.711
gag	banyol	disgust	0.711
vulgarity	vulgarity	disgust	0.703
disgusting	pikageuleuhan	disgust	0.703
grope	grope	disgust	0.703
slut	slut	disgust	0.703
poisoning	karacunan	disgust	0.703
depraved	depraved	disgust	0.703
noxious	noxious	disgust	0.703
porn	porno	disgust	0.703
nasty	pikageuleuhan	disgust	0.703
slimy	slimy	disgust	0.703
despotism	despotism	disgust	0.703
nauseate	nauseate	disgust	0.703
secretion	sékrési	disgust	0.703
constipation	kabebeng	disgust	0.703
hateful	mikacua	disgust	0.703
grime	kokotor	disgust	0.703
measles	cacar	disgust	0.696
contagious	tepa	disgust	0.695
hellish	hellish	disgust	0.695
waste	runtah	disgust	0.695
suicidal	suicidal	disgust	0.695
abuse	nyiksa	disgust	0.695
hate	mikangewa	disgust	0.695
wretch	wretch	disgust	0.695
intestinal	peujit	disgust	0.695
wart	kutil	disgust	0.695
obesity	obesitas	disgust	0.695
scum	scum	disgust	0.695
contaminated	kacemar	disgust	0.688
disease	panyakit	disgust	0.688
rabid	rabid	disgust	0.688
ooze	ooze	disgust	0.688
treason	panghianatan	disgust	0.688
heartworm	heartworm	disgust	0.688
smut	smut	disgust	0.688
cholera	kolera	disgust	0.680
deformed	cacad	disgust	0.680
detest	detest	disgust	0.680
bestial	bestial	disgust	0.680
sickness	panyakit	disgust	0.680
antichrist	Dajjal	disgust	0.680
abhorrent	abhorrent	disgust	0.680
soulless	soulless	disgust	0.680
freakish	freakish	disgust	0.680
grimy	grimy	disgust	0.680
hatred	hatred	disgust	0.680
pollution	polusi	disgust	0.680
germ	kuman	disgust	0.680
abominate	abominate	disgust	0.680
hell	naraka	disgust	0.680
dilapidated	dilapidated	disgust	0.672
dictatorship	diktator	disgust	0.672
inhuman	kejam	disgust	0.672
greasy	ngandung lisah	disgust	0.672
hideous	hideous	disgust	0.672
loathful	loathful	disgust	0.672
obscene	jorang	disgust	0.672
loathing	loathing	disgust	0.672
cess	cess	disgust	0.670
devil	setan	disgust	0.664
heretic	heretic	disgust	0.664
nauseous	nauseous	disgust	0.664
abominable	abominable	disgust	0.664
deformity	deformity	disgust	0.664
deadly	ampuh	disgust	0.664
swine	babi	disgust	0.664
discrimination	pilih kasih	disgust	0.664
masochism	masochism	disgust	0.664
poisonous	aya racuna	disgust	0.656
prejudiced	prejudiced	disgust	0.656
bacteria	bakteri	disgust	0.656
death	tilar dunya	disgust	0.656
poison	racun	disgust	0.656
trash	runtah	disgust	0.656
abortion	kaluron	disgust	0.656
corruption	korupsi	disgust	0.656
victimized	victimized	disgust	0.656
oppression	tekenan	disgust	0.656
goo	goo	disgust	0.656
latrines	latrines	disgust	0.656
horror	kaayaan sieun	disgust	0.656
horrible	pikasieuneun	disgust	0.656
nefarious	nefarious	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	hayang males kanyeri	disgust	0.648
outhouse	outhouse	disgust	0.648
horrid	horrid	disgust	0.648
detestation	detestation	disgust	0.648
sludge	sludge	disgust	0.648
ugly	awon	disgust	0.648
trashy	rongsok	disgust	0.648
bitch	anjing	disgust	0.648
immoral	teu pantes	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	spew	disgust	0.641
pimple	jarawat	disgust	0.641
indecency	indecency	disgust	0.641
unsightly	unsightly	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	villainous	disgust	0.641
cystic	hampru	disgust	0.641
horrifying	horrifying	disgust	0.641
derogatory	derogatory	disgust	0.641
laxative	laxative	disgust	0.641
criminality	criminality	disgust	0.641
oppressive	oppressive	disgust	0.633
sinful	loba dosana	disgust	0.633
bigoted	bigoted	disgust	0.633
doomsday	kiamat	disgust	0.633
prostitution	prostitusi	disgust	0.633
ulcer	sariawan	disgust	0.633
secrete	secrete	disgust	0.633
perpetrator	palaku	disgust	0.633
rat	beurit	disgust	0.633
queasy	queasy	disgust	0.633
mildew	mildew	disgust	0.633
dastardly	dastardly	disgust	0.625
disgraceful	ngerakeun	disgust	0.625
ghastly	ghastly	disgust	0.625
persecution	milaraan	disgust	0.625
devilish	devilish	disgust	0.625
degrading	ngahinakeun	disgust	0.625
obscenity	tindakan jorang	disgust	0.625
fungus	supa	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	gluttony	disgust	0.625
stools	stools	disgust	0.625
suffering	nalangsara	disgust	0.625
contemptible	nista	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	bareuh	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	panghianatan	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	nepa	disgust	0.617
spoil	bari	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	gajih	disgust	0.617
louse	kutu	disgust	0.617
malicious	jahat	disgust	0.617
polygamy	poligami	disgust	0.617
crusty	crusty	disgust	0.617
atrocious	atrocious	disgust	0.617
deceit	tipuan	disgust	0.617
termite	rinyuh	disgust	0.617
loathe	loathe	disgust	0.617
wench	wench	disgust	0.617
dying	dying	disgust	0.617
sickly	sakitan	disgust	0.617
diaper	popok	disgust	0.617
strangle	nyekek	disgust	0.617
drool	drool	disgust	0.609
slander	pitenah	disgust	0.609
abhor	abhor	disgust	0.609
venomous	venomous	disgust	0.609
brothel	brothel	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	rongkah	disgust	0.609
hostile	mumusuhan	disgust	0.609
sabotage	sabotase	disgust	0.609
deform	deform	disgust	0.609
bleeding	ngaluarkeun getih	disgust	0.609
unwashed	unwashed	disgust	0.602
lunacy	lunacy	disgust	0.602
imprisonment	hukuman bui	disgust	0.602
infidel	kapir	disgust	0.602
deprivation	deprivation	disgust	0.602
traitor	nu ngahianat	disgust	0.602
ugliness	ugliness	disgust	0.602
musty	musty	disgust	0.602
illicit	terlarang	disgust	0.602
swampy	swampy	disgust	0.602
poaching	poaching	disgust	0.602
hag	hag	disgust	0.602
butcher	tukang jagal	disgust	0.594
lunatic	lunatic	disgust	0.594
venom	venom	disgust	0.594
repelling	tolak	disgust	0.594
thug	preman	disgust	0.594
misery	kasangsaraan	disgust	0.594
toilet	kakus	disgust	0.594
slug	keong	disgust	0.594
catastrophe	bencana	disgust	0.594
epidemic	pagebug	disgust	0.594
gut	katekunan	disgust	0.594
intoxicated	mabok	disgust	0.594
blister	molotok	disgust	0.594
deceitful	anu bohong	disgust	0.594
hostility	mumusuhan	disgust	0.594
queasiness	queasiness	disgust	0.594
lurid	lurid	disgust	0.594
sinner	jelema nu ngalakukeun dosa	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	lavatory	disgust	0.586
harass	ngaganggu	disgust	0.586
unclean	najis	disgust	0.586
prostitute	janggol	disgust	0.586
pornography	porno	disgust	0.586
dreadful	dreadful	disgust	0.586
deteriorated	mudun	disgust	0.586
appalling	matak gehger	disgust	0.586
unfaithful	teu satia	disgust	0.578
rash	baruntus	disgust	0.578
humiliating	humiliating	disgust	0.578
ruinous	ruinous	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	karasa	disgust	0.578
conspirator	conspirator	disgust	0.578
larceny	papalingan	disgust	0.578
debauchery	debauchery	disgust	0.578
mangle	mangle	disgust	0.578
flea	kutu	disgust	0.578
hypocrite	munapik	disgust	0.578
retard	retard	disgust	0.578
fiend	fiend	disgust	0.578
sick	gering	disgust	0.578
quagmire	quagmire	disgust	0.578
expulsion	expulsion	disgust	0.578
treacherous	khianat	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	nyiduh	disgust	0.570
devastating	dahsyat	disgust	0.570
bastard	Bajingan	disgust	0.570
messy	pabalatak	disgust	0.570
flog	flog	disgust	0.570
egregious	kalakuan kakoncara	disgust	0.570
swamp	rawa	disgust	0.570
oppress	ngadedetkeun	disgust	0.570
despise	nganggap hina	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	naga	disgust	0.570
snake	oray	disgust	0.562
terrible	goreng teuing	disgust	0.562
awful	pikasieuneun	disgust	0.562
harmful	picilakaeun	disgust	0.562
insanity	panyakit burung	disgust	0.562
indecent	teu sopan	disgust	0.562
sordid	sordid	disgust	0.562
loo	loo	disgust	0.562
scoundrel	bangsat	disgust	0.562
enemy	musuh	disgust	0.562
stealing	maok	disgust	0.562
alcoholism	mabok	disgust	0.562
humiliation	humiliation	disgust	0.562
ruthless	kejam	disgust	0.562
sloppy	henteu rapih	disgust	0.562
tyrannical	tyrannical	disgust	0.562
harlot	harlot	disgust	0.562
sinning	sinning	disgust	0.562
robbery	rampogan	disgust	0.555
insufferable	insufferable	disgust	0.555
arsenic	arsén	disgust	0.555
bloody	getihan	disgust	0.555
odious	odious	disgust	0.555
ridicule	ridicule	disgust	0.555
atrophy	atrophy	disgust	0.555
beastly	beastly	disgust	0.555
collusion	kolusi	disgust	0.555
distaste	distaste	disgust	0.555
segregate	misahkeun	disgust	0.555
discriminating	discriminating	disgust	0.555
coward	sieunan	disgust	0.555
wickedness	wickedness	disgust	0.555
threatening	ngancam	disgust	0.555
unattractive	unattractive	disgust	0.555
slayer	sina	disgust	0.555
flabby	flabby	disgust	0.555
varicella	varicella	disgust	0.555
miserable	henteu resep	disgust	0.547
sty	sty	disgust	0.547
ogre	ogre	disgust	0.547
coercion	paksaan	disgust	0.547
thief	maling	disgust	0.547
slur	slur	disgust	0.547
suffocating	suffocating	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	purgatory	disgust	0.547
malevolent	malevolent	disgust	0.547
bitterly	bitterly	disgust	0.547
burglar	maling	disgust	0.547
attacking	narajang	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	hukuman	disgust	0.547
pillage	pillage	disgust	0.547
deleterious	deleterious	disgust	0.547
thrash	thrash	disgust	0.539
repellant	repellant	disgust	0.539
repudiation	repudiation	disgust	0.539
infidelity	henteu satia	disgust	0.539
liar	tukang bohong	disgust	0.539
fatty	lintuh teuing	disgust	0.539
gob	gob	disgust	0.539
sneer	sneer	disgust	0.539
drunken	drunken	disgust	0.539
disgrace	aeb	disgust	0.539
shame	rasa isin	disgust	0.539
jealous	timburu	disgust	0.539
imprisoned	dipenjara	disgust	0.539
pig	babi	disgust	0.539
greedy	rewog	disgust	0.539
sloth	sloth	disgust	0.539
lethal	ampuh	disgust	0.536
burnt	kurban	disgust	0.531
aberration	aberration	disgust	0.531
condescension	condescension	disgust	0.531
hydrocephalus	hydrocephalus	disgust	0.531
hanging	nongkrong	disgust	0.531
destructive	destructive	disgust	0.531
smuggler	smuggler	disgust	0.531
intolerant	teu boga sikap sabar	disgust	0.531
travesty	travesty	disgust	0.531
intrusive	intrusive	disgust	0.531
ruined	ruined	disgust	0.531
withered	layu	disgust	0.531
disintegrate	disintegrate	disgust	0.531
brawl	tawuran	disgust	0.531
blemish	cacad	disgust	0.531
neurotic	neurotic	disgust	0.531
blasphemous	blasphemous	disgust	0.531
lying	bohong	disgust	0.531
painful	nganyenyerikeun	disgust	0.531
avarice	avarice	disgust	0.523
disgraced	disgraced	disgust	0.523
mistress	Jeng	disgust	0.523
disparaging	disparaging	disgust	0.523
rubbish	runtah	disgust	0.523
derogation	derogation	disgust	0.523
accusation	tudingan	disgust	0.523
intolerance	Intoleransi	disgust	0.523
incarceration	incarceration	disgust	0.523
blighted	blighted	disgust	0.523
sump	sump	disgust	0.516
deplorable	deplorable	disgust	0.516
daemon	daemon	disgust	0.516
cringe	cringe	disgust	0.516
degrade	nguraikeun	disgust	0.516
gutter	talang	disgust	0.516
rob	ngarampog	disgust	0.516
grim	surem	disgust	0.516
defraud	ngagasab duit lain hakna	disgust	0.516
tortious	tortious	disgust	0.516
eradication	ngabasmi	disgust	0.516
stink	bacin	disgust	0.516
convict	narapidana	disgust	0.516
dishonor	dishonor	disgust	0.516
vulture	manuk hering	disgust	0.516
remains	nu sesa	disgust	0.516
mite	mite	disgust	0.516
betray	ngahianat	disgust	0.516
sham	syam	disgust	0.509
endemic	endemik	disgust	0.508
bombed	dibom	disgust	0.508
distress	kasulitan	disgust	0.508
pest	hama	disgust	0.508
incurable	teu bisa jadi cageur	disgust	0.508
worthless	teu aya hargana	disgust	0.508
rejection	panolakan	disgust	0.508
distasteful	distasteful	disgust	0.508
schizophrenia	schizophrenia	disgust	0.508
belittle	nganggap enteng	disgust	0.508
smelling	smelling	disgust	0.508
cheat	curang	disgust	0.508
blob	blob	disgust	0.508
prisoner	narapidana	disgust	0.508
idiocy	idiocy	disgust	0.508
delirium	delirium	disgust	0.508
disaster	bencana	disgust	0.508
crude	atah	disgust	0.508
resentment	ambek-ambekan	disgust	0.508
dreadfully	dreadfully	disgust	0.508
glut	glut	disgust	0.508
polemic	Polemik	disgust	0.500
derision	derision	disgust	0.500
idolatry	idolatry	disgust	0.500
taboo	pamali	disgust	0.500
screaming	screaming	disgust	0.500
banish	miceun	disgust	0.500
dirt	kokotor	disgust	0.500
goblin	goblin	disgust	0.500
shackle	shackle	disgust	0.500
bribery	sogokan	disgust	0.500
flagrant	flagrant	disgust	0.500
jealousy	katimburu	disgust	0.500
impurity	impurity	disgust	0.500
theft	papalingan	disgust	0.500
bitterness	kapaitan	disgust	0.500
offense	nu ngalanggar	disgust	0.500
impeach	impeach	disgust	0.500
blight	hawar	disgust	0.500
duress	duress	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	karanjingan	disgust	0.500
tirade	tirade	disgust	0.500
squirm	squirm	disgust	0.492
robber	Garong	disgust	0.492
ill	gering	disgust	0.492
unconscionable	unconscionable	disgust	0.492
recession	resesi	disgust	0.492
gorge	jurang	disgust	0.492
wreck	wreck	disgust	0.492
malign	malign	disgust	0.492
boil	ngagolakan	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	jelema bodo	disgust	0.492
disreputable	disreputable	disgust	0.492
wasteful	boros	disgust	0.484
affliction	kasangsaraan	disgust	0.484
stain	kokotor	disgust	0.484
contempt	geuleuh	disgust	0.484
nappy	nappy	disgust	0.484
mutiny	mutiny	disgust	0.484
occult	gaib	disgust	0.484
tramp	kuricakan	disgust	0.484
unbearable	teu kaampeuh	disgust	0.484
offender	palaku	disgust	0.484
servile	servile	disgust	0.484
contraband	barang nu dinyusupkeun	disgust	0.484
raging	raging	disgust	0.484
snarl	snarl	disgust	0.484
mad	gelo	disgust	0.484
subjugation	subjugation	disgust	0.484
possessed	kasurupan	disgust	0.484
animosity	kanyeri	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	defamation	disgust	0.484
disrespectful	cucungah	disgust	0.484
mess	mess	disgust	0.484
nepotism	nepotisme	disgust	0.484
inexcusable	inexcusable	disgust	0.484
pathetic	pathetic	disgust	0.477
unpleasant	teu pikaresepeun	disgust	0.477
suppression	suprési	disgust	0.477
mockery	ageung	disgust	0.477
palsy	palsy	disgust	0.477
criminal	perkara kajahatan	disgust	0.477
illegality	illegality	disgust	0.477
uncaring	uncaring	disgust	0.477
antagonistic	antagonistic	disgust	0.477
immorality	immorality	disgust	0.477
dismal	dismal	disgust	0.477
angry	ambek	disgust	0.469
repellent	panolak	disgust	0.469
cough	batuk	disgust	0.469
arrogant	bedegong	disgust	0.469
grating	grating	disgust	0.469
aggravation	kakeuheul	disgust	0.469
livid	livid	disgust	0.469
banishment	banishment	disgust	0.469
shoddy	shoddy	disgust	0.469
banshee	banshee	disgust	0.469
poverty	kasangsaraan	disgust	0.469
wallow	wallow	disgust	0.469
outrage	kalakuan cucungah	disgust	0.469
mocking	mocking	disgust	0.469
furious	ambek pisan	disgust	0.469
perspiration	kesang	disgust	0.469
prick	prick	disgust	0.461
recklessness	recklessness	disgust	0.461
distorted	menyimpang	disgust	0.461
fraudulent	curang	disgust	0.461
spider	lancah	disgust	0.461
quack	tukang obat	disgust	0.461
perdition	perdition	disgust	0.461
muddy	bécék	disgust	0.461
spurious	spurious	disgust	0.461
insulting	ngahina	disgust	0.461
scar	tapak tatu	disgust	0.461
deceive	nipu	disgust	0.461
unjustifiable	teu bisa dibenerkeun	disgust	0.461
fool	jelema nu boloho	disgust	0.461
deplore	deplore	disgust	0.461
plunder	rampog	disgust	0.461
aphid	aphid	disgust	0.453
bane	Bane	disgust	0.453
indignation	indignation	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	egois	disgust	0.453
disparage	disparage	disgust	0.453
cur	kiw	disgust	0.453
dishonest	teu jujur	disgust	0.453
stigma	stigma	disgust	0.453
eschew	eschew	disgust	0.453
antipathy	antipati	disgust	0.453
alienate	ngasingkeun	disgust	0.453
disingenuous	disingenuous	disgust	0.453
elimination	éliminasi	disgust	0.453
unthinkable	teu bisa jadi	disgust	0.453
wasted	wasted	disgust	0.445
recalcitrant	recalcitrant	disgust	0.445
iniquity	iniquity	disgust	0.445
mosquito	reungit	disgust	0.445
caries	caries	disgust	0.445
bankruptcy	kaayaan bangkrut	disgust	0.445
egotistical	egotistical	disgust	0.445
piles	tumpukan	disgust	0.445
smell	bau	disgust	0.445
vacuous	vacuous	disgust	0.445
despair	putus harepan	disgust	0.445
opium	candu	disgust	0.445
garish	garish	disgust	0.445
lie	ngabohong	disgust	0.445
pious	alim	disgust	0.445
aversion	kahoream	disgust	0.438
sticky	napel	disgust	0.438
scream	ngajerit	disgust	0.438
alien	alien	disgust	0.438
shun	shun	disgust	0.438
abnormal	teu biasa	disgust	0.438
ashamed	isin	disgust	0.438
inmate	nu nyicingan	disgust	0.438
abject	abject	disgust	0.438
hog	babi	disgust	0.438
hopelessness	hopelessness	disgust	0.438
homeless	andar-andar	disgust	0.438
obnoxious	obnoxious	disgust	0.438
curse	kutukan	disgust	0.430
creature	makhluk	disgust	0.430
cursing	cursing	disgust	0.430
illegal	henteu sah	disgust	0.430
lusty	lusty	disgust	0.430
shameless	teu euleum-euleum	disgust	0.430
debris	ruruntuhan	disgust	0.430
defiance	nyangkatan	disgust	0.430
pall	pall	disgust	0.430
falsity	falsity	disgust	0.430
reflux	réfluks	disgust	0.430
incredulous	incredulous	disgust	0.430
adverse	ngarugikeun	disgust	0.430
trickery	trickery	disgust	0.430
callous	callous	disgust	0.430
separatist	séparatis	disgust	0.430
undesirable	teu pikaresepeun	disgust	0.430
denounce	nyawad	disgust	0.430
witch	tukang sihir	disgust	0.430
bum	bonceng	disgust	0.422
bovine	bovine	disgust	0.422
denunciation	denunciation	disgust	0.422
untidy	pabalatak	disgust	0.422
impure	impure	disgust	0.422
mistrust	mistrust	disgust	0.422
tarnish	tarnish	disgust	0.422
ferocious	ferocious	disgust	0.422
gush	Gush	disgust	0.422
infantile	orok, infantile	disgust	0.422
ammonia	amoniak	disgust	0.422
offend	nyigeung	disgust	0.422
idiotic	boloho	disgust	0.422
hypertrophy	hypertrophy	disgust	0.422
nicotine	nikotin	disgust	0.422
tasteless	hambar	disgust	0.422
pompous	pompous	disgust	0.422
socialist	sosialis	disgust	0.422
delinquent	delinquent	disgust	0.422
swarm	anu ngagimbung	disgust	0.422
contentious	contentious	disgust	0.422
carelessness	kagagabahan	disgust	0.422
hairy	buluan	disgust	0.422
wasting	wasting	disgust	0.422
slush	leutak salju	disgust	0.422
affront	affront	disgust	0.422
collapse	runtuh	disgust	0.422
badness	badness	disgust	0.422
dishonesty	dishonesty	disgust	0.414
vegetative	vegetative	disgust	0.414
displacency	displacency	disgust	0.414
unfavorable	nguntungkeun	disgust	0.414
disobey	henteu patuh	disgust	0.414
sour	asem	disgust	0.414
socialism	sosialisme	disgust	0.414
murky	murky	disgust	0.414
neglected	neglected	disgust	0.414
drivel	drivel	disgust	0.414
vampire	vampir	disgust	0.414
litigious	litigious	disgust	0.414
illegitimate	haram	disgust	0.414
disgruntled	disgruntled	disgust	0.406
ignorant	goblog	disgust	0.406
outcast	outcast	disgust	0.406
unkind	kejam	disgust	0.406
repel	nolak	disgust	0.406
displeasure	displeasure	disgust	0.406
phony	phony	disgust	0.406
shoplifting	shoplifting	disgust	0.406
dislike	daek	disgust	0.406
unlawful	henteu sah	disgust	0.406
bogus	bogus	disgust	0.406
discontinuity	discontinuity	disgust	0.406
recidivism	recidivism	disgust	0.406
ungrateful	henteu ngahatur nuhun	disgust	0.406
wrongdoing	dosa	disgust	0.406
falsify	falsify	disgust	0.406
